	Decent hotel at a decent price	This hotel is older with large rooms. You get a kitchen in the suite, so if you are a with a family that is a great addition (eat inside). If you need the space and want a low cost hotel, this is a great option.	
Feb 25 2006	good value suite digged the kitchen	Stayed in one bedroom suite with 2 friends ample space. Could stay and lounge in the suite rather than just dump bags. Quite a few convenience stores nearby so bought drinks to put in fridge and brekkie items. 2 T.V'S in suite one in the lounge was massive. Lifts 1 customer lift working but allowed to use maintenance lift. In smoking room but a spray of oust soon maintained freshness. Good value for money. Not too far from attractions and shops. We did head out in blizzard conditions and made it to Macy's etc...	
Feb 15 2006	Not bad for the price - considering it's New York!	I stayed at Eastgate Tower with a few friends on January 14th. We initially booked a one-bedroom, but were upgraded to a two-bedroom suite which was extremely spacious! I agree that it was outdated, but not bad at all given the price. It was nice having a kitchen and two bathrooms! Space is a luxury in New York, so we were definitely pleased and the free upgrade was a nice bonus!	
Jan 11 2006	a disappointment	i was disapionted with the eastgate tower, the suite i stayed in was spacious but VERY outdated, the lobby was very nice, but small, also the fitness center had minimal offerings and needless to say was very small, i would not recommend this hotel unless you are on a tight budget and need to stay there	
Jan 9 2006	Great clean informal hotel for great price	We stayed in Eastgate Towers in Jan 2006 for a weekend. The cost was comparable to budget hotels in the city, but our room was a very spacious suite, which included a kitchenette. This is not a posh hotel by any means, but it is clean, affordable and (unusual in New York) not an overpriced rip=off. There is also an internet terminal in the lobby with a very reasonable cost to use. The hotel is easily accessible to subways and buses and taxicabs, and very close to many different restaurants, including one that provides room service. Overall a very satisfying experience, there will be no surprises with this place!	
Dec 31 2005	Excellent Hotel in Excellent Location	We have just returned from spending 4 nights at the Eastgate Tower Hotel and would thoroughly recommend it to anyone who is visiting New York and wants a central hotel without paying huge prices. Yes, it's a basic hotel and yes, the lifts leave a lot to be desired (one was not working while we were there and being on the 23rd floor meant a long wait at times), however, it's location (just 5/10 minutes easy walk to Grand Central Station and about 10/15 minutes to the Empire State Building) and the friendliness of the staff make it a hotel I would certainly recommend and stay in again.Our room was large with a kitchen area and wonderful views and there were plenty of bars and restaurants in the near vicinity.	
Dec 23 2005	Fine hotel	I just returned from a four-day stay here. It's true that the hotel is a bit dated but it's perfectly fine. Very large rooms with a handy kitchen...plenty of space for a family of four. It's a good location as it's only a 10-minute walk to Grand Central Station (the nearest subway stop). Times Square is a bit further but not too far away. I would definetly stay here again.	
Dec 12 2005	Excellent value	I used to live in New York 10 years ago when I was in my 20s and loved it. But now I dread visiting NY because I've stayed in so many awful hotels! Eastgate Towers has fixed that. The rooms are exactly like my old studio apartment - clean, spacious and functional. The neighbourhood is relatively central, with the subway only a few blocks away, and useful shops and restaurants on 3rd avenue. The kitchen has everything you need. The staff were helpful and courteous.If you want to know what its like to live in NY, this is the place to stay!	
Dec 5 2005	Good value - but keep checking rates	Booked this hotel for 6 people - some of which were children. $324 for a one bedroom with 2 Queens a pull out couch and we also ordered a rollaway.Huge room - were upgraded to one with 1 1/2 bathrooms. Great staff, good location, but it is about a 6 block walk to the subway (not a lot, but with kids it was a bit of a hassle).Rooms were dated, but clean. Staff was very helpful and tried hard.Lobby was nice but small. Elevators were not working but service elevator was added.Overall - good, not great location, keep checking the rate, as we booked directly with the hotel but other sites had lower rates. 3rd avenue has a good grocery store, chinese takeout, and other small shops.Overall I would recommend this for a family, large group and people on a budget...	
Dec 5 2005	Comfortable base for touring New York	We stayed at the Eastgate Tower hotel during the October downpours in New York. We found the hotel very comfortable, with a huge suite including a living area, large bed, decent bathroom and usable kitchen. Compared to similar priced hotels in New York, it earns its above average rating.The location is good for the mid-town attractions, and also has good bus and subway links to SoHo, Greenwich Village, etc.Despite the torrential rain, we enjoyed our stay and still managed to have a fantastic time!!	
Nov 26 2005	Port in a Storm	Bad weather drove us into New York a night early and our pre-booked hotel, The Kimberly, was sold out, as were most other Manhattan rooms under $400! We felt very lucky to find the Eastgate Tower with last-minute availability. For $229, we had a clean, roomy studio with queen bed, kitchen, table and chairs, small TV, and small, sparkling white-tiled bathroom. The accommodations are neither luxurious nor threadbare. Everything was fine from hot water and pressure to cleanliness. The Murray Hill neighborhood was pleasant. If you are an independent leisure or business traveler who is not looking for coddling staff or canopy beds, the Eastgate Tower is a good choice.	
Nov 21 2005	Lots of Space...Great affordable neighborhood	Just returned from an overnight stay with my husband in New York City on Nov 19. Availability in New York City this time of year is tight and rates are generally very high. Reserved the Eastgate Tower Suite Hotel on E. 39th Street for $279. We were originally going to stay a few weeks earlier but our son was ill. I spoke to the Front Desk Manager and she agreed to waive the no-show fee if we rebooked (most won't do it). We found the property to be easy to find and located in the great residential neighborhood of Murray Hill. Lots and lots of inexpensive restaurants, bars, delis, true coffee shops where you can get a hamburger for $3.95, grocery stores, etc. We found the staff to be pleasant and professional, the lobby was small but aadequate and the rooms were huge but in need of updating. If you don't mind 1980's furniture and artwork and love the luxury of alot of space in NYC, this might be the place for you. Two beds (they might have even been queen size), 1 and 1/5 bathrooms, lots of closets, a large living room, a full-size dining room table, 2 TVs and a full kitchette. Perfect for a family who wants to eat a few meals in or a group of friends on a shopping spree who need plenty of space. Not very near any of the city attractions but a short cab ride from midtown shopping and times square...quieter too!	
Nov 11 2005	A suite rather than 2 rooms: perfect for families!	I stayed for a week at the end of October with my two teenage daughters. Usually I would have booked 2 rooms, but this was not an economic proposition in NY. I realized late on that a suite was the answer. Ideally I would have liked a 2-bedroom suite but, again, this was not economical just for three of us. So, I booked a One Bedroom Suite Superior - a bedroom with 2 queen beds plus a sofa bed in the living room. I chose this hotel partly because of the good reviews on TripAdvisor but also because the Eastgate made it clear online exactly what I would be booking (unlike some other hotels which seemed to delight in being obtuse about this). I wasn't disappointed: the rooms were huge; the beds and bedroom clean; the kitchenette was great for having breakfast; and we had a view of the Empire State Building from our window (which I had requested at the time of booking). I booked directly with the hotel online, and it was made clear exactly what I'd be paying before I confirmed the booking. There were no nasty surprises on checking out either.I found the staff to be efficient rather than overly-friendly, but they were very helpful when approached. The elevators were a little slow, but that wasn't a major issue. The fridge was noisy at night, but not enough for me to complain about at the time. The internet access in the lobby was useful: $1 bill per 5 minute access was pretty good. The nearest subway (Grand Central) was a little further away than I would have liked - the novelty of walking 3 blocks soon wore off - but did not spoil things. I got the impression that this hotel was geared to the business traveller rather than the holidaymaker, but we were certainly not made to feel unwelcome.Grand Central is not the best location for the the tourist subway circuit - we rarely had a direct route to anywhere, invariably changing at Times Square. However, we made good use of the 7-day Unlimited Ride MetroCard! We also bought the 7-day New York Pass, which was expensive but avoided constantly paying out for visits (note: make sure you book in advance for entry to the Statue of Liberty monument).Shops are close by: D'Agastino is 50 yards down Third Ave, where we got our breakfast foods. We tried the Italian restaurant attached to the hotel one evening (reasonable food and prices) and the vegetarian-friendly Josie's on Third Ave at 37th &amp; 38th Street. Shame about the NY ban on sale of alcohol to under-21s, but we managed! The walks from the hotel to the UN, and to Empire State/Macys/Madison Square Garden were all fine and untiring.On checking out, we were provided with storage for our suitcases and a timed taxi to the airport to catch our evening flight, at the standard fixed price. We were a little late getting back for the time we'd said but the taxi was waiting, with our bags loaded. Such service! It rounded the week off nicely. Would we stay there again? You betcha.	
Sep 26 2005	A Very Comfortable Hotel	I spent two and a half weeks at the Eastgate Towers in NYC and found it to be a very comfortable hotel. I had a junior suite which was extremely large, clean and well-appointed: two easy chairs , a large couch (which folds out) , a desk and a dining table. . . a comfortable king bed. . . and a kitchen. It felt as though I was coming home to a little bit more than a hotel room after a hard day's work. Even the TV was a bit larger than the common hotel room television. Housekeeping was very efficient, and the staff was friendly and helpful. Amazingly enough for NYC, the room was absolutely quiet. . .in over two weeks, I heard not a sound from the other rooms or from the street. This is not a luxury hotel, the lobby is small and utilitarian, as are the two elevators. I travel to New York for business at least once a year: I think that for comfort and economy you just can't beat this hotel. I think the junior suite would be particularly good for families. .given its size , the fold-out couch and the kitchen. Great value. I'll be back.	
Sep 13 2005	Great Hotel	This is a nice hotel, in a nice area. Close to the Chrysler Building, Grand Central Terminal, and the UN building. We even walked to Times Square from here as well and took a cab back for about $10. The only bad thing about this hotel is the small lobby and slow elevators. The only time we had a problem though was at check in when tons of people were waiting for the one elevator (the other elevator was broken at the time, but worked the next day). Best advice is to wait until later to check in, like at 5 or so. Check your baggage in with bell hop then go walk around and wait until later to check in so its not so busy. But the rest of our two and a half day stay we did not encounter any elevator problems. We walked to Soho and Empire State building from here too, lots of walking! This was the best room I stayed in (we stayed in 3 hotels over our 7 days there, just to get a feel for different parts of the city). The rooms are huge, and they have a kitchen if you want to cook or prepare breakfast for yourself. Very comfortable bed and we had a nice view on the 21st floor (we could see the top of the empire state building and the spike where the ball drops on new year's eve). I would recommend this hotel to anyone as the staff is nice and the rooms are great.	
Aug 31 2005	Great Reliable Service/Space	We stayed here 2 year's ago, and again this week. Terrific place--Great service (Claudia), nice space. Yes, the furniture is a little tackey, but the room space is wonderful, it is quiet, and everything is clean. We loved the kitchen. The location is great, an easy walk to buses, grand central, and trains. We weren't disappointed at all!Restaurant, Il Sogno, was wonderful. Great patio, serivce very considerate and gracious. Prices fair, and food excellent. We arrived with 2 additional adults and 2 youngsters (5 and 2). Service was thoughtful and gracious, even with the kids. Waiters offered to make special plates for the kids, and weren't the least bit hoitey toitey about the ruckus. We tipped them well, and they deserved it!	
Jul 27 2005	Spacious convenient friendly	I stayed at the Eastgate Tower Suites with two of my colleagues for a weeklong business trip recently and was favorably impressed by this hotel. I had booked three junior suites, but because they were short of these rooms they asked whether two of us would like to double up in a two-bedroom suite. After seeing how large it was one of my co-workers and I gladly accepted (we could have easily declined -- there was no pressure from the desk clerk). We had two big bedrooms, a living room, a dining area, and a full kitchen which came in handy for breakfast and storing drinks. The staff was very friendly throughout our stay and helpful with things like directions and storing luggage after we checked out. The location was very nice ... a short walk from many good restaurants, shops, grocery stores (for stocking the fridge) and a movie theater. We had business on Long Island and were pleased that the hotel was located just a couple of blocks from the Queens/Midtown tunnel. The room was cleaned well every day and the hotel was very quiet ... especially since we were on an upper floor and (in our suite) the bedrooms did not share walls with other guest rooms. The hotel has a fitness room which contains the basics, and the rooms are equipped with wireless highspeed Internet access. All in all, we were quite pleased with this hotel and would gladly stay there again.	
Jul 18 2005	HUGE Rooms - Great Value	My family and I had planned a trip to Destin Florida - but had a change of plans when Hurricane Dennis decided to join in. We booked a last minute trip to NYC on Expedia. We stayed 6 days at the Eastgate Towers - in a two bedroom suite on the 8th Floor. There were 5 of us - two queens in one room - two twins in room 2 and a pull out sleeper in the living room. Our boys slept in room 2 - teenage daughter slept in the living room (she wasn't interested in sharing a room with us). The rooms were unbelieveably large - especially in New York - the kitchen gave us the ability to save some money by eating one or two meals a day at &quot;home&quot;. Location was very convenient - easy to walk to Times Square - Empire State Building - Grand Central etc. The space was very helpful at night after a long day - we could seperate and relax in our own worlds without disturbing each other.The room was clean - and well equipped - no frills (but not bad at all). I would definitely recommend for large groups/families and for longer stays.	
Jun 27 2005	Good Value Clean Room	The &quot;room&quot; was actually a 1 bedroom apartment, with a small full kitchen (stove, fridge, microwave, etc.), bathroom, bedroom (2 Q beds), living room (TV, desk foldout couch/bed), and dining area (seating for 6). It was very roomy, quiet, and clean. Staff was very friendly (although we did not need much from them, we had all we needed in the room). We are a family of 5 (two adults, kids ages 10, 12, 14) and this place was PERFECT for our trip to NYC. It was a nice place to wind down after the &quot;go-go-go&quot; of NYC. It was within walking distance of 42nd (lots of public transportation), the UN, and we could see the Empire State building out our window. The hotel area seemed safe (we were surrounded by what looked like residential towers) and even though we were only a few blocks from 42nd, the area was quiet. It made us feel as if we were &quot;living&quot; in NYC and not just staying at a hotel. When we return to NYC, we will stay here again.	
Jun 13 2005	Excellent Hotel and Staff	Wonderful location in Murray Hill area. Only minutes to Grand Central Station, UN, the Empire State and Chrysler Buildings and many wonderful restaurants and shops. This was our first time in NYC, celebrating our 10 year anniversary, and were so impressed with the service and the spacious rooms. The staff was very helpful and went above and beyond in helping us feel at home. Perhaps most importantly, we felt safe at this hotel and in the neighborhood. We were also pleasantly surprised with the restaurant- gourmet quality at reasonable prices. We will definitely be back!	
May 24 2005	NYC	We booked this hotel online and were a little unsure of what we were going to get. However when we arrived late at night we were pretty pleased with what we saw. The staff were very nice and made us as comfortable as possible, they were very willing to please. The hotel was ever so slightly run down, but it was clean. The rooms were fairly large. We had two queen size beds in one room, and a TV room with ample seating in the next room. The kitchen turned out to be very handy. The bathroom, it was true, was a little small, but that was not a big deal. The location was good. I would recomend this hotel highly if you are looking for space and good service for a good price in New York City.	
May 10 2005	Roomy comfortable and well situated	We booked a single double bed and received a free upgrade from the friendly staff to a much bigger double suite on arrival, without asking. I couldnt believe how big the sitting room was and it meant that Julia and I had a bathroom each (there was only two of us), which was great in the mornings. Decor is dated in a bad way (early Miami Vice), but who cares when it is clean and spacious? Location suited me perfectly, only 10 minutes walk to 42nd street and Grand Central (the nearest subway stop) but quiet enough to walk around in the evenings without getting mobbed. Plenty of friendly diners, bars and restaurants 5 minutes away on 3rd or Lexington Aves. We're veggie and found Fagiolini on Lexington a reasonably priced and tasy local for pasta.	
May 8 2005	Cheapest I Could FindWhich Wasnt That Cheap But A Nice Stay And Great Location!	Hotel : Eastgate TowerLocation : New YorkTime Of Stay : April 30-May 1 2005I spent hours searching the internet for a &quot;decent&quot; place to stay in New York i.e. somewhere with a bed and a shower (not sharing). I found the minimum price to be well over £100 because unfortunately the 1st May was the start of the expensive pricing season, and also a Saturday. That in mind, this hotel was the cheapest of the lot (with &quot;ok&quot; TripAdvisor reviews) at £135 or so. It is crazy to think I could have stayed for 3 nights in other places on my trip for the same price but that's New York for you! Anyway, I arrived rather earlier than planned about 12 - the room wasn't supposed to be ready until later, I think 4pm. When I arrived they phoned to check with someone and said 1:30pm, though they had it ready for 12:30 which was great! The room was nicely laid out. There was a corridor with a bathroom coming off it, and then another doorway a bit further down to the kitchen area (oven, microwave, fridge, cutlery). Then you came to the bedroom area which was big and spacious - it had a table and chairs which made it a nice place for having friends over. The local subway station was Grand Central Station which was just a couple of blocks away. The reception and bell people were very helpful and polite. They offered to arrange a taxi for me if needed however I walked to Grand Central Station as it was cheaper and not very far.	
Mar 30 2005	Excellent Value Large Rooms	Stayed at the Eastgate Towers (an Affinity Group Hotel) on Easter Weekend. there were 7 of us and we originally had two rooms. When we got there they said they had sold out of the suites and one bedrooms, so they gave us a two bedroom suite for $300 a night. It was huge!! I can't even imagine what an apartment of this size would rent for in Murray Hill. Tons of closet space two bathrooms, a full kitchen. It was plain, but clean and comforatable, and we had plenty of room. The hotel staff was very polite and helpful. Eastgate is a bit of a walk to the subway (about a 5-7 minute walk), but the size, value, and excellent service was worth the few extrea minutes to the subway. I will definately stay here again with a large group.	
Oct 5 2004 	Clean Pretty and Great Staff!	I stayed at this hotel in February 2004 with my best friend who was visiting from California. We couldn't believe how nice it was for the money. The service was good, and the room was clean and big for a NYC hotel. I am going to be visiting NYC next month and people must have caught on to this secret because it is booked. I am searching for hotels and can't seem to find one that has reviews as good as this one. I will continue my search and hope I pick one that is as good as Eastgate Towers. What a Great Hotel!	
Oct 5 2004	Not luxury but not bad!	Just spent 5 days at Eastgate.The downfalls, elevators werent working the first day, had to use service elevator, very average furnishings, sofa bedvery uncomfortable,bathroom very small,but the good things were , we had a one bedroom suite, very large for NYC, probably the size of some apartments there. Staff very freindly and helpful,easy to grab a cab right outside or short walk up a block to 2nd or 3rd Ave.Dunkin Donuts,Mcdonalds and Frontier diner close for breakfast,store and drug store right down the street.We did walk one night from Times Square, so if youre up for it not a bad walk or a short cab ride.Overall, for the price, a pretty good deal.We were a family of 5 and were comfortable except for the tiny bathroom.A good place to stay if your out all day anyway, and pretty quiet neigborhood to come back to at night.We were on 10th floor, not too much street noise, slept fine.	
Sep 13 2004	Average hotel	My boyfriend and I spent 5 nights at the Eastgate in a studio suite. The suite included a small kitchen with sink, microwave, stove, pots, pans, dishes. The bedroom area was larger than most NY rooms I've stayed in but was still smaller than I expected. Although the room was clean, the furniture and carpeting were quite worn. Once again, more worn than I expected. Don't be fooled by the internet photos!! The rooms are nothing spectacular.We stayed on the third floor facing south and had absolutely no problems with street noise. The location is ok but it really depends on what you plan on doing while you're there. If you're planning on using the subway to get around, you're a good 15-20 minute walk to the nearest station, Grand Central. If you're planning on going to see the major attractions, they're mostly quite a distance from the Eastgate. Frankly I see no advantage to staying in the Murray Hill area if you're a tourist. If you only want to visit the UN and stare at the Chrysler building, then it's the place for you. The hotel staff were very friendly and attentive. The restaurant staff (one waiter in particular) was rude and arrogant and I would therefore not recommend eating there or even stopping in for a drink.We paid $111.00/night + room tax through Skyauction and were reasonably satisfied. However, I would not have paid the $180.00/night + that the hotel normally charges.In a nutshell, if you can get a good room rate, there's nothing wrong with the Eastgate. It's an average hotel with average rooms. But for the same price you can stay in Times Square or anywhere in the theatre district, near subway stations.	
Aug 9 2004	A great find	I took my kids to the city for a week long vacation in August. This hotel looks like converted studio apartments and I suspect many of the units are still used as such. This hotel has much to offer for the visitor that is not looking for pampering but wants a good &quot;home base&quot; while on vacation. No concierge, no doorman, no real lobby, slow elevators. So what. Huge rooms for the price by NYC standards and the kitchenette allowed us to eat one meal a day in saving lots of money. Staff was very friendly and helpful. We were very impressed with the quietness of the room too. I think this is due to the fact that this used to be apartments where this would be more important for tenants than a hotel where people only stay a few days. Whatever the reason, we were pleasantly surprised.Murray Hill was a great neighborhood also. Go to the Frontier diner half a block away for a nice, cheap breakfast (about $20 with tip for the three of us). Many, many restaurants, bagel shops, and grocery stores on 3rd Avenue just south of the hotel.	
Aug 2 2004	Eastgate met all high expectations!	I've stayed at Eastgate Tower Suite hotel from July 10th until July 24th with my wife for our honeymoon trip. After thorough search (mostly through Tripadvisor), we opted for Eastgate based on reviews, and then location, price and amenities.We've booked a junior suite directly with the hotel even though we could've found a better deal through some other travel agency. I would've used that 'card' if found in a situation to argue the quality of service.Fortunately, it wasn't needed at all. In my reservation I had mentioned that this was a honeymoon trip, that we want to make it as special as possible and that we'd like a non-smoking suite with street view above 5th floor. What we got was beyond any expectation: great suite on 22nd floor with street view (everything is street view from that height which we found especially interesting and NY-ish), path from the door to the bed of rose petals, bed covered with petals and a couple of roses, more petals in the bathroom, couple more roses on the table, a personalized greeting card from the hotel, two small boxes with chocolate candies, a book of love poetry, champagne and, erm, can of whipped cream on a silver tray in the fridge. We were hoping for something extra but this was really nice! Suite was great, very spacious for the two of us, much light from outside and also many lamps inside, furniture in very good shape, comfy bed, all very clean, even the carpet which is usually in poor shape in many hotels. The bathroom was also in an excellent shape and as clean as possible. Everything was functioning properly: AC, TV, phone, microwave, stove, fridge... Closet space was more than enough for a longer stay like ours (for 2 people, anyway...). Towels and sheets were changed daily and cleaning staff was respecting our daily late-leaving. Surrounding didn't seem any dangerous and we didn't mind some walking from and to the hotel (5th Avenue is 5 blocks away, subway at Grand Central station also 5 blocks away, Loews movie theater 7 small blocks downtown @ 2nd and 32nd, several 24hrs convenience stores in the same block, many fine delis all around the neighborhood (we especially liked Food Merchants @ 40th st between Park and Madison for breakfast). Didn't try the resident Sogno restaurant, though...Staff was also exceptionally nice, as expected based on the reviews. As we've had a late flight back to Europe, it was no problem to check-out at 6pm.Any bad things after all this praising? Well, the elevators could be somewhat faster, the lobby is very small, as well as the corridors on the floors. Wood furniture (tables, bedside cabinets, drawer cabinet...) would look finer in dark wood than in ivory-colored combination... These aren't really bad things: if we wanted giant lobby, spacious corridors with armchairs, superquick elevators and mahogany furniture, we'd look for the most expensive hotel in NYC. For all other details, Eatsgate was just as fine. Have we just been fortunate or treated better since it was a honeymoon? I doubt it. I guess that some rooms might be in different shape but I'm sure that a staff this helpful can overcome each issue with a guest. We didn' have any, really.Eastgate Tower has met all our high expectations and we will surely come there again, hopefully already next summer for our 'honeymoon re-run'.	
Aug 2 2004	Great hotel 	Excellent hotel, with an excellent location! About 5 min walk to Empire state and 10-15 mins to Times square and about 5 min walk to nearest subway if you don't fancy walking. I would definitely recommend this hotel. The staff were so friendly, the rooms were big and clean. The kitchen and fridge were useful as it was hot and it was great to be able to store drinks somewhere cold. As our flight home was not until the evening the staff took our lugguage so we could do some last minute shopping and took the liberty of ordering a taxis to the airport for us.( cheaper taxis fare) This hotel was a great find and would definitely recommend it.	
Jun 6 2004	The Eastgate's great!	The Eastgate is a great pace to stay with friendly, helpful staff and clean, spacious rooms. All previous reviews are helpful, and add a hint to all future guests - check out the buses because it is a fair distance to Grand Central. There are stops on 3rd and 2nd streets that go uptown and downtown respectively, and link with the subway with maps available in the Eastgate reception. Metro cards for 7 days are 21 dollars, for unlimited travel on subway and bus, a great bargain. Would definitely go back to this hotel on the next visit.	
Jun 5 2004	Excellent value and good location.	My wife and I spent 6 nights at the Eastgate (16-21 May) and we couldn't fault the hotel. This was our 2nd trip to New York - 1st trip we made the mistake of staying at the Pennsylvania - having learnt our lesson there we knew we would have to pay a bit more to get acceptable accomodation -the Eastgate didn't let us down. We stayed in a one bed suite (13th floor) and it was a real treat to have a kitchen, large lounge, 2 double beds, an en-suite bathroom and a cloakroom. All of the accomodation was extremely clean, well presented and roomy. There is maid service every day and there was little noise from the street.I requested a smoking room and fully expected a smoky aroma with yellow stained walls and ceilings - I was totally amazed that the suite was so clean and without any smell or evidence that it actually was a smoking suite - I had to check with reception that we had been put in the right suite.The staff at the Eastgate all were very friendly and helpful. We didn't try the restaurant on the ground floor as we felt the prices looked a bit steep but there are so many local bars, restaurants &amp; diners that you don't have to look far for a good value meal.Some revieweres have mentioned that the Eastgate is a bit isolated and a lot of walking is needed to get to the main areas of Manhattan - with so many places to visit in the city over such a large area it doesn't matter where you stay you've got a lot of leg work to do......I personally don't mind a bit of walking - helps to burn some off some of the calories.Overall an excellent hotel and we look forward to returning.	
May 8 2004	Great location for the price	My partner and I stayed at the Eastgate over the May day bank holiday weekend. We had got the Eastgate as part of a really good deal on Expedia for £350 including flights (with good flight times) for 4 nights. The Eastgate is a lot shabbier than it looks on its pictures and is a little tatty around the edges, but its clean and tidy and has all the basics that you require. Having the kitchenette and a dining table is handy as a couple of nights we were too tired to go out we brought back some takeout and you can keep cold drinks in the fridge. We were on the 5th floor and so did get street noise and the windows dont hold out any noise at all, fortunately though its not a particulary busy street and was usually pretty quiet overnight. A maid came every day and changed our towels, made our bed and did any washing up. The Eastgate is in a great location to get to all the sites on foot or if you prefer by subway as Grand Central Station is within 5 minutes walk. There are plenty of bars, pubs, restaurants, delis and shops nearby. Basically the Eastgate doesnt offer any frills, but offers a clean place to sleep, at a good location for a great price and if you are anything like we were, you spend very little time there anyway. 	
Apr 19 2004 	Good place	My wife and I stayed 7 nights at beginning of April 04. Our room lacked any character (dreadful 'modern' paintings) and was a bit scuffed round the edges, but was comfortable enough. On the 20th floor there was no traffic noise and very little noise from neighbours. The staff were all fantastic, the neighbourhood was quiet (with lots of conveniences stores and delis). The restaurant (Il Sogno) is excellent, but not cheap. Overall an unmemorable place to stay - but for all the right reasons	
Apr 17 2004	Very nice hotel	Just returned from New York with my boyfriend (10/4/04-15/4/04) and stayed at the Eastgate. Were put on the 7th floor and there was very little noise from the traffic. Room was spacious and clean though a little drab, 2 very comfortable double beds which you need after a hard days sightseeing and I loved having the versatility of the kitchenette. We were so tired one night we enjoyed a take away in our room!! The location is not bad if you dont mind a good walk to the main attractions. Your on 39th st 3rd Ave and this being our 1st time to New York didnt know what to expect but was told theres load of walking. However having had 3 days of heavy rain wished we'd stayed a little closer to 5th Avenue but saying that there are buses if you want. The nearest metro stop (I think) was at Grand Central which is also a fair walk. But saying all that there wouldnt have been a problem if the weather had stayed fine. The staff were helpful. Checking out time is 12 noon and the receptionist said without even being asked if we had a later flight keeping our bags were no problem. Overall had a wonderful time in New York and will definitely be going back. We would have no problem in booking Eastgate again.	
Apr 10 2004	Affordable weekend getaway	We stayed overnight on 3/20 to celebrate our aniversary. We checked in, and originally were given a very smoky room, which we asked to change. (I never specified &quot;non-smoking&quot; when I made the reservations and I wasn't asked if I had a preference - so if you have a preference be sure to state it!) We were then upgraded to a very nice junior suite on the 25th floor, and were not charged the difference. Incidentally, we were also with another couple and the bellman went out of his way to go to their room (which was very nice) to let them know that we had changed rooms! This was above average service in a city where you do not always find this. The only negative comment I would make is that the decor, while nice, isn't quite as luxurious as the website leads you to believe. This was a nice place to stay in NYC and a junior suite is more than adequate if you bring your family with you.	
Apr 3 2004	Excellent value comfortable clean nice staff	Stayed here two days in late March. Staff was very friendly and helpful (sent someone up within three minutes to fix a sticky door lock). Room was very clean with no musty smell and no carpet deodorizer to cover up. Bathroom was fine, spotless. Enormous amount of closet space. Was great to have the fridge, microwave, and stove. We were on the tenth floor, so there was virtually no noise. It's in a quiet, safe area, with anything you need on either 2nd or 3rd Aves. We paid $138 on the Web, and for that price, it's pretty much unbeatable. Would definitely stay here again.	
Mar 31 2004	a good choice	The best part of the stay here was on check out when I opened my bill. For 3 nights, a spacious one bedroom suite cost only 625 dollars including taxes. After spending a lot of money in the city, an inexpensive hotel is a bonus when all is said and done. The rooms were a little dreary but perfect for a family that needs a lot of room to spread out. There was also very little street noise or noise from other guests. I was able to sleep quite comfortably and feel safe and secure. The location is good although a bit of a hike to fifth avenue but perfectly situated between up and downtown and Grand Central. A straight run down to the east village and Union Square also. A good choice all in all!	
Mar 23 2004	Fantastic	My husband and I stayed at the Eastgate Suites from 3/16-3/22/04. We were very pleasantly surprised. The rooms themselves are modest but large and the windows actually open! The hotel is in a great location and we found it to be very quiet, both inside and out. We loved having the kitchenette where we could make bkfst and coffee or have light snack and keep a bottle of wine. The bathroom is small-ish but has great storage and the shower was great with plenty of pressure. I would definitely stay there again. We found the staff to be friendly and attentive as well. As for the maid service, it was excellent. We are late risers and it only took her one day to figure that out. Thanks again Eastgate Suites!	
Mar 21 2004	Excellent Find!	I had to be in New York City for a week in the beginning of March. This hotel was absolutely wonderful for the price I paid. The staff was very nice and helpful to me even though I wasn't their regular type of customer, and the room and bathroom were spacious and clean. The location is excellent if you like that Times Square area (I do not, but the Village is just a train-ride away) and I was able to take care of my business without any hitches. As for noise, either I didn't notice any or I'm immune. The tiny kitchen had two different sized pots, one pan, four each of butter knives, spoons, forks, large and small plates, cups, wine glasses, and bowls. There was plenty of storage space and the bed was lovely. I would definitly stay there again. Thanks to the other reviewers as well.I only had two complaints: On my first day there was a smoker lurking somewhere and there was no Cartoon Network channel.	
Mar 15 2004	So-so hotel	This is a basic 3* hotel in a good location with rooms geared towards the business/long stay market - the room facilities include kitchenette with microwave, fridge, some cutlery, plus wireless LAN available to hire. Most of uptown Manhattan's attractions are within a 15 minute walk.We stayed on the 3rd floor in a room which didn't look out over the road, so no noise problems there.Unfortunately, the walls are very thin - amongst other things, you can hear water running and toilets flushing from the room next door. The room itself was large and spacious, but it did smell a little musty despite being on a non-smoking floor.The staff are very friendly and well informed. As stated in previous reviews, they are happy to arrange a late checkout even when the hotel is full.Overall, not a bad place to stay, but nothing special.	
Mar 9 2004	Okay	I stayed at that hotel on business and was fairly disappointed. It is like a 3 star hotel in Europe. The room was large and clean, but the bathroom is tiny and, having stayed on the 5th floor, there was lost of noise from the street. I ordered breakfast as room service and it was awful, packed in a paper bag, not good, and the delivery boy was not very nice. Plus, to order breakfast you have to make an outside phone call that they charge! The kitchen is alright, not many dishes and pans though. The bed was very large and confortable. It's a good place to stay for a longer period if you don't expect luxury or great service. Nicely located.	
