	Excellent Midtown Location - Great Value	Neighborhood is nothing much, but it's a great location to get to everything, and near Penn Station and Bolt/Megabus stops. Very new and clean. We were there on a Saturday night so noise wasn't a factor, but based on the printed notices in the room, the &quot;white noise&quot; generator in the room, etc. it could be a problem, especially garbage trucks, on a weekday morning - I'd ask for a high floor if you were staying on any night but Saturday. Staff is extremely pleasant and helpful. Rooms of a very decent size for NYC. Restaurant with bar on the premises (for dinner and possibly lunch - no breakfast). Continental breakfast of average quality included in room rate.	
Mar 3 2009 	great clean 	my boyfriend and i stayed here this past weekend for a 1 night romantic little getaway. the room was so clean &amp; inviting when we got there, maybe a little small, but we were on the 25th floor so the views were amazing. we ate &amp; drank at the bar downstairs, service was super friendly, food was good...drinks were a little pricey but thats kind of expected. only downside is they claimed to have soda &amp; snack vending machines &amp; when i went looking for them couldn't find them. so i went to the front desk &amp; they told me they haven't arrived yet &amp; gave me some snacks &amp; a bottle of water on them, which was obviously very nice, so they made up for the false advertising on the snacks ;) everything was great, would definitely stay there again! highly recommended!	
Mar 2 2009 	Brand new - excellent service - very near Amtrak/Penn Station	We were very pleased with this hotel. The hotel is only 2-3 months old so the hotel is immaculate. Bedding was excellent. The room was small but most in New York are. Very nice sized shower with an excellent ventilation system, the bathroom mirror never fogged although we took very hot showers. The location is great for those traveling by Amtrak. Excellent food choices nearby on 9th Avenue (definitely go to Don Giovanni's on W 44th near 9th Ave.) We will definitely stay here again.	
Mar 1 2009 	Diamond in the Rough!!	This hotel is brand new (we were told it was about three months old) and is absolutely gorgeous, though small; but, hey, this IS Midtown Manhattan after all...everything is small!! :) The surrounding area is a bit rough, but don't be fooled. This one is a gem. The rooms are very nicely decorated, with a multitude of pillows on very fine beds. The bathroom is nicely done in tile all the way around. The shower is surprisingly large for such small rooms.I recommend this hotel very highly; as a matter of fact, a friend living in the area commented as well on how very nice it is.	
Feb 22 2009 	This place is a gem in NYC for real	I stayed here when my mom came to the city to visit -- we stayed two nights. The room are small but so clean and the bed and linens were awesome, made me want to snuggle in for more days! The staff were all so friendly and welcoming and that made up for quite a few snafus--the hotel has only been open 3 months and I think they are still working out the kinks. I got an amazing deal through travel zoo--129 a night plus a 20 dollar coupon that I put towards food. And here I have to say---- the restaurant is sooo good--hats off to the chef. I wish we had eaten all our meals here, the tapas was mouthwatering and the breakfasts perfect. Since it is new everything is really clean and the lobby is very nice to chill out in--they have computers in booths colorful couches and chairs --just really nice compared to other places I have stayed in the city.	
Feb 22 2009 	Enjoyed our stay! Would come back again.	My fiance and I stayed in this hotel for one night and were pleased with the cleanliness, decor, and service. Our room was on the 12th floor. We did not experience long elevator waits. The room was the perfect size for 2 people- decent bathroom (great water pressure and lighting!) comfortable bedding, and relaxing palate of colors. Internet worked fast and was easy to establish. Convenient location- we walked to most of our destinations but the subway was only 4 blocks away. An easy walk from Grand Central too. We did not eat @ the restaurant but the tapas menu looked delicious. I had a great night of sleep and would come back next time I am in the city.	
Feb 20 2009 	Great Price. Great Location	This was a quick romantic getaway weekend. The room is a little small, but they make up for it with the bedding and flat screen. I can't imagine that other rooms in NY are much bigger, especially for the value. The bar and relax area are nice. We didn't eat at the hotel, it was just a place to crash after a long day of sight seeing. The internet was down during the weekend, which was a major bummer. We spoke to the Manager and she took a little off the bill for the inconvenience. My advice is always ask to speak to the manager if you have a problem somewhere (Restaurant, Hotel, wherever). Would definitely stay here again if the price was the same.	
Feb 19 2009 	Great Location for new hotel	Stayed at the Wyndham over Valentine's weekend. Check-in was quick and the staff were extremely nice. We had a great rate (found on travelzoo.com) which included a $20 voucher for their restaurant. The room is small but as many people have posted, it's New York. It's well decorated, clean, and the bathroom was a nice size as well. We went for a concert at Madison Square Garden and it took about five minutes to walk there, perfect! We also had dinner at the restaurant and we both agreed the food was great for the price. I would def. stay there again!	
Feb 19 2009 	Great little hotel...friendly service nice beds good location.	My husband and I brought our two children, ages ten and twelve, for a few days of fun in NYC. When we arrived at the hotel it seemed to be quite a bit smaller than we had imagined it to be from the pictures. Very nice contemporary decor. Great booths with flat screen computers and internet access as well as a counter that serves Starbucks coffee (and hot tea for 50 cents). Restaurant was lovely, but very overpriced, so we never tried it. Rooms were SMALL. However, since this is typical of NYC hotel rooms, we adjusted. Two of us stored all of our things in the drawers and cabinetry and stored our luggage over the closet area which gave us a lot more space. This hotel would NOT be suitable for infants or toddlers. I can't imagine finding the space for a crib. Beds are great with down comforters and pillows. Awesome walk in shower with plenty of hot water and Bath and Body Works toiletries. Loved the contemporary look of the sink, but didn't have the greatest function due to its design. All in all, the hotel facilities really were great and we had very little to complain about. The elevators were only slow during the busiest times (mainly in the morning), which is the case in many hotels. Most of the time, we had very little issues with the elevator being slow. We were on vacation, so to wait a few minutes during the busy times was really not a big deal. Our room on the 20th floor was extremely quiet. We never heard noise of any kind. I would definitely recommend staying in an upper level floor to avoid any street noise. We were thrilled to find an excellent little cafe called Amici on the corner of 8th and 36th (just steps from the hotel). Fantastic food at amazingly reasonable prices. The breakfasts are great! I had an egg/cheese sandwich on a freshly made croissant for $2.95. My husband had a fabulous California omelet served with potatoes and toast for under $5. It is deli/cafeteria style and made fresh on the grill while you wait. All of the breads and bagels are made fresh at the cafe. Fresh fruit and great looking hot bar/salad bar. We found this little gem the last day of our vacation and wished we had known about it earlier. If so, we would have had breakfast there daily. As far as the location of the hotel...about a fifteen minute walk to Times Square for us. The area was not necessarily the loveliest. If you are looking for an upscale area to stay, this would not be it. However, I really didn't feel like our safety was ever an issue at all. And it was actually nice staying a little bit off the beaten path away from the noise of Times Square. Would definitely stay here again!	
Feb 18 2009 	Will definitely stay here again.	I stayed here because I was going to auditions 2 days in a row at Ripley Grier studios and this was the closest hotel to the studios. I got into the city at 8:20am and walked from Penn Station to the hotel (an easy walk) hoping they'd let me let my bags there while I was at my 9am audition. They did better! They let me check into my room right then! This was extremely helpful as I was able to finish getting ready, warm-up, and relax for a second before walking to my audition. Speaking of which, Ripley Grier is about a block away, so I really couldn't have been closer. The next morning's audition was very early so it was so helpful to have a Starbucks in the lobby. I went down in my PJs to get coffee and food and then back upstairs to finish getting ready. The hotel itself is very nice. My bed was sooo comfortable, the bathroom was very nice, the exercise room, too, was quite to my liking. I'll definitely stay here again the next time I'm in NY!	
Feb 18 2009 	Excellent service nice room great restaurant and really nice to my dog entered in Westminster.	I stayed at the Wyndham Garden Midtown Convention Center, as did several friends, for the 2009 Westminster Kennel Club Dog Show. The service was wonderful from the moment I pulled up at the door. Parking was extremely convenient, and the room was great. The staff was very helpful and friendly, and the restaurant fabulous at both breakfast and dinner... The most important thing to me was the warm welcome given to my Labrador Retriever, &quot;Recon&quot;. We had a great time and were thrilled to find a STARBUCKS right in the lobby! Recon and I would highly recommend this hotel to anyone, either two footed or four footed!	
Feb 18 2009 	New nice in New York City	Received Wydham email with January special in NYC, decided to try it. Was leery about other hotels, signing up for 2 double beds and then showing up and getting switched to one and a rollaway (brought grown daughter with us). Not only did we get 2 nice beds, but a Travelzoo deal of free drinks/food coupon not promised to us, as well as a tray of fruit, flowers, candy and a bottle of good wine upon arrival in the room. Hotel is new, great and NY reasonable prices, wireless internet, and close to Times Square. Staff is obviously trying hard and are great, nice neighborhood too.	
Feb 17 2009 	Great Hotel With Painfully Slow Elevators	We stayed at the Wyndham for two nights over Valentine’s Day weekend on a $129/night rate we found on travelzoo. For the rate we paid we feel like we got a great value. The good: The hotel opened in last few months and it still shines. We had a standard room on the 12th floor. I would guess that the room was approximately 15'x15' = 225sq feet (incld bathroom). However, the room was very well designed and functional. The king bed was heavenly. The flat screen TV with HD was great. The bathroom was sparkling and the shower was one of the best hotel showers I’ve experienced. The free Wi-Fi was out of service one day but worked like a charm the second day. The bad: On Saturday night we noticed there was a music hall or dance club located in the building directly across from our room. The music went all night but we were able to drown it out with the heater fan. Two elevators service the 26-floor hotel. This equates to some very long and annoying waits for the elevator to pickup. A few times we just walked down the 12 flights instead of waiting. A maid told us one morning that she waited 45 minutes to get her cart into an elevator so she could start her rounds. I'm not sure what the hotel could do differently, but people should be aware that this is a problem.Location/parking: Approximately 10 minute walk to Time Sq. 20 min to Central Park. Parking was $40/day in the garage across the street. Street parking is limited to 4-6 hours at a time. Eating/drinking: We didn't eat in the restaurant and we rarely saw anyone eating there. We had a drink at the bar and enjoyed it. We enjoyed this hotel and would definitely consider staying again.	
Feb 13 2009 	Perfect	The hotel was clean, the staff was polite and helpful and the price was amazing...for New York City you can't beat this hotel	
Feb 13 2009 	In LOVE with the Wyndham Garden Midtown!!	From the moment we checked in until the minute we checked out the service was 5 star!!! We were treated to a glass of wine as we got in and organized and then helped up to our room.The room was clean and new and lovely.....the bed soooo confortable!!The Greenhouse restaurant is the best kept secret!! I highly recommend the scallops and the NY Steak for dinner. And breakfast was also superb. If you're in town but not staying.....try the Greenhouse anyway!!Another big PLUS....STARBUCKS in the lobby!! I loved every second at the hotel...it was close to Madison Sq Garden and convenient to everything else I had to do!!! Loved it!!	
Feb 12 2009 	Great hotel for my dog and myself!	I go to Westminster Kennel Club Dog Show every year and have stayed in several of the hotels near Madison Square Garden. A friend suggested the Wyndham and since I never liked any of the other local hotels I decided to try it. What a gem!! Not only did they greet me with graciousness and efficiency, by my dog was welcomed as well. And there is a parking garage right across the stree that you can park yourself or have a valet park. When I wanted the car in the morning it was there in 5 minutes (or less!). Yes, the rooms are small but the flat screen TV, internet, an awesome bed and pillows and the large shower in the well appointed bathroom makes it all worth it! The room was ultra quiet (I was on the 9th floor). Add in a fabulous restaurant and a Starbucks at the entrance and what more could you want. Breakfast and dinner were 5 star quality. Definitely a good find and one I will use again!	
Feb 5 2009 	Best Business Traveler Hotel in NY - By Far	The Wyndham is perfect for business travel. I have stayed in all of the 5 star hotels in NY over the past 20 years, and the Wyndham is by far the best combination of amenities, value and cleanliness. The rooms, while not large, have everything you need - wireless that works, flat screen tv's, marble bathrooms, comfortable (and new) beds and linens. Downstairs, you can get your Starbucks and papers in the morning and a beer at night. There is also a small workout room in the basement for a quick lift or run. Staff are all friendly and it has a &quot;Boutique-y&quot; feel. And the prices are extremely reasonable. Excellent value for the $$.	
Feb 3 2009 	Fab hotel	I was really pleased with the Wyndam Garden Midtown. I was on business trip and was attending the gift fair at Javitts... This location is just a few blocks away so I was able to walk. Also, Penn Station is right around the corner so I took the subway in from JFK and easily took the subway uptown to meet a friend for dinner. I didn't catch a taxi once! The hotel itself was clean, my room was very comfortable, and the staff was very nice and helpful. I loved the downstairs bar in the morning for the convenience of grabbing a breakfast and coffee on the go. In the evening it was the perfect place to go over my paperwork from the day with a cocktail.I will definitely be staying here again... Especially if they are able to keep the rates down! What a value.	
Feb 3 2009 	Great value; convenient location; clean and comfortable; everything NEW	This was our first trip to Manhattan, so I did a lot of research on hotels in the areas that most interested us. The Wyndham appealed to me because it is brand new (opened Nov. 2008) and located in Midtown close to train, bus and subway stations. It’s also adjacent to major avenues (8th and 9th) where it’s easy to catch a taxi uptown or down. The staff was very friendly and accommodating. When we arrived in the early afternoon to check in, the room wasn’t available yet, but the hotel has a place for you to stash your luggage. The concierge gave us some good recommendations for the type of food we were interested in (and there are LOADS of places within a two block radius). When we returned after doing some sightseeing and having dinner, our room was ready. We were on the 6th floor facing the back of the building. While small, the room was extremely clean and well equipped with flat screen TV, mini-fridge, hair dryer, etc. The free wireless Internet worked great. Beds were comfortable, although I’m not big on extra thick, fluffy pillows and I wish I had brought my own flatter one (or asked if they had one). I was amazed at how QUIET the room was – absolutely no city sounds during the night and only some minor construction sounds from a nearby high-rise on one or two mornings. From what I’ve read here, perhaps the front of the building is the noisier side. We did not eat in the restaurant, but we appreciated the free cookies and apple cider in the lobby during the early evening hours. Twice I was a little disappointed because housekeeping did not come to clean our room until very late in the afternoon (between 5 and 6 pm). Other than this, which was only a minor inconvenience, I would say the hotel was excellent in all respects, and is a great value for what is currently being charged. Yes, the neighborhood doesn’t look lovely after business hours (most shops close up using ugly metal shutters that completely block the entire front of the building), but I did not feel unsafe when walking with other people. It’s not a gigantic hotel filled with loads of activities, but it was perfect for our purposes and I would definitely consider staying there again.	
Feb 2 2009	New  Clean but be careful !!!	We checked in smoothly, hotel is clean , new, room nice but smallish. Problem was that we were given a room on the 4th floor and theres a grate on the street below that every truck, car etc. that passes by makese a horrible noise. So basically all night long we kept on drifting off to sleep and the next big truck passing by (and being mahatten they kept on coming) we woke up. So if you stay here ask for a room way up high or facing the back not towards the street.	
Jan 30 2009 	Wyndham Garden on 36th/8th is a dream come true!	What an experience. From the first cordial lobby greeting I knew I was in good hands. Upon checking in to my upscale room I was overjoyed at the brand new enormous flat screen tv, the complimentary dried fruit, cookies, soft drinks and chocolates. The free wi-fi is a dream come true - anywhere in the hotel I had no problem connecting to the internet. The beds were soft and cozy and I had a wide selection of pillows to choose from. The food in the downstairs restaurant is to die for. I HIGHLY recommend the Tuna Tartar, crusted shrimp and steak. The continental buffet breakfast is also a treat - eggs, bacon, sausage, pancakes, the works! The turn down service was right on time and absolutely wonderful. Ice machines come every other floor, but I certainly didn't mind the one flight walk. Excellent room service untill 10pm. I was staying with my family and some friends - and the staff couldn't have been more courteous to my entire group. Their pay per view selection is impeccable as is their free cable. The bathrooms are immaculate - the glass door shower certainly made me feel like a high roller. I was slightly concerned about the location; 36th and 8th ave, but there were a plethora of great restaurants nearby - in addition to being within walking distance of the theatre district. On the whole, I loved my stay. My only complaint was the lack of entertainment at the hotel itself, but upon checking with the management, I was informed they will be getting some lovely live dinner/cocktail music very soon. I can't wait to go back next time I'm in New York with friends, family or on business. For a non-luxury hotel, I felt like I had a very luxurious pampered stay - can't wait to come back!	
Jan 27 2009 	Clean hotel but extremely out of place in that part of town	Can't complain about the cost of the stay (great promo rate with a $20 food voucher) or anything else for that matter. There are just a few things to be aware of before booking:Room size: I never thought I'd see a room smaller than some I've stayed in while in Europe... the room in this hotel came very close. When you're thinking of the room size at this hotel think cruise ship stateroom.Neighborhood: After seeing some other complaints on this site about where this hotel was situated I google'd the location and looked at the street view. It didn't seem too bad on google... but it did around midnight walking back from Times Square. This hotel is REALLY out of place on it's block. Basically every store on this block has been boarded up. If you're out late at night plan on taking a cab back to the hotel.	
Jan 25 2009 	Pleasantly Surprised	This was a blind booking for me. I knew that we wanted to be close to Times Square and close to Penn Station. After reading many reviews, ammenities/hotel accomodations and location, I chose this hotel. I must admit I was a little concerned because there were only 2 posted reviews. But this hotel seemed to have what I was looking for as far as location and ammenities/accomendations. We walked to the hotel from Penn Station, I was still a little doubtful as to how good of an experience we would have at this hotel. The front lobby was impressive and immaculate, (my anticipation grew as we checked in and rode up the elevatior) the room was great! We had a king size bed (we two great nights of comfort on the presidential mattress!) My husband absolutely loved the TV. The bathroom was clean and modern (loved the glass shower doors). The staff was friendly and helpful. When we visit NYC again I have no doubt as to where we will stay. I highly recommend the Wyndam Garden Midtown to anyone.	
Jan 23 2009 	Great hotel - clean and great beds!	We stayed for one night at the Wyndham Garden Hotel in Midtown New York. I actually became aware of it through a deal on Travelzoo. We were not disappointed. The room was small but rooms are small in New York City. Since the hotel opened in November 2008, it's immaculate. The beds were very comfortable - one of the best hotel beds I'm slept on. Great linens and padding on the bed. Bathroom is very nice as well.Reception and staff were great. I would definitey stay here again.	
Jan 22 2009 	Great price great service really nice room	I called Wyndham reservations after reading a Travelzoo alert about rooms in NYC for $149 with a $20 food voucher. Wow, how could I go wrong? This hotel is brand new, having opened in November 08. The staff was great, the rooms were immaculate and decorated in a lovely honey and blue color scheme. The location was just where we wanted to be - 10 blocks north of the Martha Stewart studios. The amenities in the room were more than adquate.You probably won't get this good a rate again, but it is still a good hotel at even higher rates.	
Jan 14 2009 	Good hotel good price good location	This hotel is located in Midtown, within blocks of Times Square, the Empire State Building, and Penn Station. It was very convenient, safe, affordable and comfortable. I will definately stay here on my next trip to NYC.	
Jan 12 2009 	Good Hotel - Great Value	My wife and I stayed her from January 9 - 11. We got a promotional rate on their website for $134 a night.Pros: Brand new - This is a brand new property and everything is up-to-date and very nice. Not really fancy, but quality. Check-in - Very quick, I swear it was about minute to get our room key.Location - We take Amtrak so it was very close to Penn Station, which made things easier. Also easy access to the subway and a couple of the usual NYC delis close by for food. I would also recommend the Houndstooth Pub on the corner of 37th and 8th and Stitch which is a bar just across the street.Cons:Location - I have to say not the best neighborhood for a first time visitor. It's not bad; don't get me wrong, but a little sketchy. NYC is extremely safe, but I know that different people have different levels of tolerance. Overall it is a very good hotel, but as with any review keep in mind that we only paid $134 a night. I read some of the other reviews and to address some of their concerns:- We had an ironing board and iron- Sunday, when we left was the only time we had to wait for an elevator and we had a student group that was staying in the hotel- My wife and I stay in NYC about 5-7 times a year and the rooms at the Wyndham we just a little smaller than average, but a good size for NYC. There isn’t a lot of space for luggage and stuff, but you won’t find that in most NYC rooms anyway.- We had no problem with noise from the outside.	
Jan 11 2009 	Great small hotel - midtown Manhattan	I just returned from a 3 night stay at this relatively new hotel in Mid Town; the location is great – about 4 blocks from Penn Station just west of 8th avenue, and close to the E subway. The bar was great – with a happy hour – half price on most drinks until 7. The rooms are rather small, which is typical of NY hotels, but the King size bed, comfortable work desk, free Wi-Fi, large flat screen TV, frig. made it a pleasant stay. Room was clean and comfortable, and for the price, $129 (wow) plus all those taxes and fees that the City and State add to the bill – it was a real bargain. This hotel is close to many restaurants, and deli’s which provides lots of options depending on your budget. The restaurant was a bit pricy, but then most of Manhattan is like that unless you know where to go. I plan to stay here as long as the prices remain reasonable!	
Jan 11 2009 	Urban Oasis	As a former 12 yr. NYC apartment dweller who moved out to Westchester A.C. (after children), the Wyndham Garden Midtown Hotel was a delightfully unexpected return to town! Even with grown children. Or should I say especially. From the moment we entered the hotel lobby with it's transforming ambient lighting we sensed a personal welcome. The hip artwork evoked images of modern day urban living while the extra long bar reminiscent of an era gone by seemed to say, &quot;come, it's time to relax.&quot; And so we did, followed by a delicious dinner with organic veggies in the very inviting Greenhouse 36 restaurant. Guest rooms were exquisitely decorated in shades of blue and yellow. Ours had a floor to ceiling window with a view of the Hudson and with the pillow top mattress, beautiful linens and fluffy comforter, we were pampered to perfection. Nice. The following morning the generous buffet breakfast was served with Starbuck's coffee by a very pleasant staff. Teenagers said wifi is all over the place and they enjoyed checking their email in the booth at breakfast. Get back into town this year. Take the kids. See a show. Go to the museums and stay at the Wyndham Garden Midtown. For us, a return trip is imminent. Urban oasis.	
Jan 9 2009 	Excellent 3 Star Hotel	Just came back from a three day weekend, it was our first time in NYC. Hotel is new and very, very clean (which is the main reason I booked, and I was not dissapointed). I had heard NYC hotel rooms tend to be small and this was no exception, but the room was well appointed and comfortable for two people (probably cramped for more than two). From check-in to check-out the staff was simply great. Beds are super comfortable, and noise from the street almost non-existent (we were on the 10th floor). It has a good size bathroom with only the sink a little on the small side. I shot a few pics to share... Overall a great stay, the hotel is classified as a three star, and I belive it scores a five(excellent rating) for its class.	
Dec 31 2008 	Fabulous!	I booked two rooms for our December 2008 stay. One was a king bed for my husband and I and the other had two double beds for my mom and two children The rooms were immaculate. We were able to check in early about 10 am which was terrific! The check in representatives were very helpful and courteous. The concierge was awesome, simply awesome. The hotel has a coffee bar located in the lobby, just steps from the elevator-perfect if you need a great cup of Starbucks. The restaurant is quite nice. Upscale and a bit pricey however the food and the service are worth the price. FYI- it was frigid in the restaurant so bring a sweater. Overall the entire experience was very positive.	
Dec 30 2008 	A great staff!	This is a brand new hotel with some very nice touches. The guest rooms have very nice furnishings, beds are great, first rate bedding,tons of pillows, great bathrobes; really well done. The staff was outstanding, everyone friendly, helpful and professional. Nice bar, good food, great service. This was, however, the smallest room that I have stayed in in NYC and I have stayed at over a dozen. The layout of the room was such that it wasn't much of a problem, as I was traveling alone. The bath was quite large, shower only all done in what seemed like faux alabaster. Nice. The hotel was full and this made for many waits for the elevator, only two and no service elevator. Ice machines not operating yet. Irons but no ironing board (no biggie, no room for it anyway, I just used the bed). One thing that does need immediate improving is the staffing of housekeeping; it seemed the cleaning staff are given more rooms to clean than is reasonable; thus I had to call for service most of the time after returning to my room in the afternoon. Location, not the best, but close to Times Sq. and all. All in all, a great deal, comfortable and cozy.	
Dec 30 2008 	Overall Good Stay	We got such a great rate that I can't really complain. Stayed at the Wyndham the week of Christmas. The location was good for walking from Penn Station but would choose a better area next time. I felt safe but would not have wanted my girlfriend walking around outside the hotel after dark. The staff was great. Our housekeeper was very friendly as were the people working the front desk. We had one meal at the restaurant. The food was okay, nothing special, but our waiter was great. The room was clean but small. We had a king bed which basically took up the whole room. Not much room to sit or places to put suitcases. I would return to this hotel if I was traveling for business or attending an event at Madison Square Gardens but not if I was traveling on vacation.	
Dec 30 2008	Coin operated cruise ship	This is a good hotel for New York, but let me explain the title.Cruise Ship: you will find the rooms extremely clean, modern, and well equipped, but extremely small. Think cruise ship - I had to store one of our two bags on top of the armoire as there was no room for it anywhere else. The bathroom, also clean and modern, is so tight it will also remind you of a cruise ship.Coin Operated: I had booked a king room, but then called to change it to a double bed room. When we arrived around noon we were told that we had a king and there were no doubles, and our room would not be ready until 3pm. After paying a nice tip to the desk people, we had a double room and were going to our room. This is New York people, you don't get anything for free, you can argue and try to get that room, or you can pay a little and the Red Sea will part and your life will be easier.The hotel is about as far west as you would want to go, the neighborhood is fine except be cautious at night if you are a single woman. The hotel is new and spotless in all respects. Room prices are reasonable. The lobby has a coffee bar with Starbucks and pastries for breakfast. The people are very helpful and try really hard - very un-New York.All in all, I would recommend the hotel.	
Dec 30 2008 	Center of it All!	The location is in walking distance to Macy*s and the Heart of Times Square. The first night we took a taxi to Bubba Gump’s because we were not sure directionally where we were and the fare was only $4.50. Once we understood that we were only blocks away we walked the entire time to Macy's to see Santa Land, the AMC theater to see The Tale of Despereaux, ESPN zone, Juniors famous Cheesecake and much more. The room was only big enough for a queen size bed however I propped open the bathroom door to give the appearance of a larger space. The room was very clean and new. For the price it was well worth the squeeze. There is a Dunkin Donuts, taco bell, white castle on the Corner and a Fantastic Chinese restaurant (I am very particular about Chinese) on the same side as the hotel. I recommend searching Travelzoo.com for any specials the hotel may offer.	
Dec 27 2008 	Great Stay!	I found this new hotel while searching on line....great stay, warm &amp; friendly staff. The restaurant was a pleasant surprise....food was delicious and well-presented. I am also a huge fan of Starbucks coffee.While I found the rooms to be small, they were clean and well-appointed. I will definately return to the Wyndham on my next business trip and will reccommend it my family and friends.	
Dec 24 2008 	Too New For New York Interests	The Wyndam Garden Hotel in Midtown is too new . When I first walked in the lights in the lobby were off. So my first impression was that the lights are off in the whole hotel. That already started to make me nervous. I was notified that the lights were on in the hotel rooms. My hotel room was very nice. Not too big but had everything that I needed in it. The windows are cheap and aren't double pained in which should be because it's the busy city . I was awakened by building work happening on the other side. I was so upset because I couldn't get any sleep. The housekeeper knocked on my door at 8am wanting to clean my room because I was checking out that day . But I hadn't checked out but she woke me up . She should have checked with the front desk to see if I checked out before knocking on my door. I basically haven't gotten real good sleep at this hotel. Another really bad thing was that I was starving and wanted to order room service. They had a menu so you would assume that they had room service. NO they didn't....false advertisment. This hotel is not ready for the big time...they have many issues that they need to get straight before wanting to compete against the top hotels in the city . The price was good but I would have paid more to have better sleep and service.	
Dec 18 2008	Hotel with ISSUES	The staff was very helpful and courteous, but management is another story...which I will address at the end. Yes, this is a brand new hotel which everything is expected to be new and clean, but there are too many kinks that are unacceptable and should NOT be occuring. How can our room have no ironing board, no hair dryer, but yet others say they had them? Is there not a check off list management had when the doors opened 21 days ago? This is so inconsistent! I didn't spot anyone carrying an iron board around Manhattan while we were there, who would steal an ironing board anyway? It was never there IMO.Free continental brkf is a danish or muffin, w/ coffee &amp; juice. You are seated at a table so a tip is required for a bill of $26 they present. Even though the brkf is free and $26 taken off, the bill is hicked for a higher tip. We purchased a seperate muffin to go and it was $2, so how did 2 muffins and 2 drinks cost $26?I addressed no vending machine in the hotel, and was told there were plenty of places open 24 hours! If you are diabetic come with your own snacks &amp; drinks, because there is nothing after 11pm.Some company held a Christmas party last night which was to be held in the Greenroom, but most stood around the lobby. The seats, computer area, tables, bar, etc were totally blocked for guests to use. While we waited to get our luggage from storage we made our way to a seat.....comments were made to us, looks, stares and glares had us get up and leave the hotel. I called the manager when I got home to express the lobby (which is small) was for the hotel guests especially when a party is booked for a specific room. He said he was there until 7:30, and saw no problem with it. As I challenged him with no access to the computer he told me to use my own laptop, which I didn't have. He then asked me if anyone assaulted us, when I said no he said he could do nothing about it then. Is this the kind of hotel management you want to say with? I never will again.	
Dec 18 2008	Fantastic!	Just spent this past weekend at the hotel and had a wonderful stay. The staff was extremely pleasant and attentive and the rooms were very clean. Not one to usually eat in a hotel while staying in NYC, I was curious to try the organic/natural restaurant. We had our lunch there and were quite surprised with how good the food was. I had the tomato soup and steak sandwich and my husband had the potato soup and burger...DE-LISH! My only minor complaint would be that the watress, while super sweet, was a bit nervous or unsure of herslef for some reason. (maybe it was her first day?) Lovely hotel. Will stay there again next year...and have some more tomato soup too!	
Dec 18 2008 	A short get-away	My wife and I took a short 3 night stay and were really excited to return to NYC after 2 ½ years. We booked this hotel from Tavelzoo and were happy it was new and the rate was attractive ($149.00 a night). The staff was very nice and helpful and check-in was a breeze. Our room was small but what do you expect in NYC plus we were out and about all day and only stayed in the room when we were getting ready to go to bed after hours of walking around taking in all the views and shopping. We did experience several small issues but the manager (I can’t find the business card she gave me, her last name sounded French and I think started with a T) was very attentive and even wrote down notes of the issues I brought to her attention (excellent communication skills and customer service). She even contacted me after our conversation to ensure the issues I brought up were addressed. We loved our trip and would ask anyone looking to stay here, to be patient and let the staff work out the kinks before being too hard on them. If you are still not satisfied, then speak to the management.	
Dec 17 2008	Don't Stay	Just got back from NYC &amp; stayed at this hotel. Found a deal on a website, but should have made accommodations with another hotel for the same price. We did NOT enjoy our stay here with Wyndham. To kick it off, we did not have hot water for our AM showers, which actually has never happened to me before while staying in a hotel. Another slight draw back was that the room was so small you could barely move around. We have stayed in tight rooms before in Midtown, but this was a bit extreme. The temperature in the room was so hot so we decided to turn on the air conditioner. It was the noisiest thing EVER. Needless to say we did not sleep well. I got up to turn that off b/c of the noise, but couldn't decide which was better, the air conditioner or the sounds of all of the traffic running over a grate in the street. It was so incredibly disruptive to our sleep. Then the staff just seemed very wet behind the ears. They did not have answers for many of the simple questions about their hotel, but also could not answer basic questions about the neighborhood. One positive was that the Concierge was helpful. When we got our bill I just couldn't believe we were going to drop a decent amount of $ on this place. We will not be staying there again. Paying a bit more for another hotel will be worth it to us in the future,	
