	Rooms are small but overall it was a great hotel - I'd stay here again!	I would highly recommend this hotel - not only is it in a fantastic spot in Manhattan (walking distance to 5th Ave and the subway etc) but it's neat, tidy and a decent price.Our room had 2 single beds inside, I must admit it was much smaller than I expected, but it didn't bother us one bit - we're in New York, if you're going to spend extended amounts of time in your room, then you're crazy! So the tiny room suited us because all we did in there was sleep. It was clean and comfortable and was within our budget ($1000 for 5 nights - booked on expedia).I highly recommend this hotel and would definitely stay here again.	
May 16 2007 	Perfect. Anyone who say's this hotel is no good is a snob!	I don't understand some of the people on here! My girlfriend and I have just returned from a trip to New York and Hotel Thirty Thirty was the perfect place to stay! Ok the staff weren't over friendly, but check in was really quick and the porter took our bags to our room. The room was a nice size, bed was really comfortable and you've got everything you need! Empire State building is on your doorstep, there's a deli 1 min away (if that), 10 mins walk from Time Sqaure, your practically as close to everything you want as you could be! Ok its not the Plaza or the Hilton, but it was very clean and we were given fresh sheets and towels everyday. At the end of the day who the hell goes to New York and spends most of the time in the hotel? YOUR IN NEW YORK. the hotel is just for spending about 7 hours in just to sleep! And to top it all off the hotel provide a car service back to the airports for $60, which is alot cheaper than a cab with a running meter! And ours was a limo! Anyone who say's this hotel is no good is a snob and are obviously not seeing the main point of going to New York for a trip....to see New York! Not to spend the whole time in your hotel! If I go back to New York I will definatly be goin back to Thirty Thirty.	
May 12 2007	Not recomended	we booked on the hotel web site &amp; confirmed twice by email that they would keep are room as a late arrival as our flight did not arrive until 23.30. All was confirmed that this was not a problem. we arrived very tired with a 1hr delay at the hotel at 02:30 to find they had no room for us. .they put us in a cab to another hotel for the night and told to come back in the morning. They honoured our booking for the further 4 nights but the staff did not make feel us they had done good of the situation and a sorry was not given. Would not recomend. hotel is clean and basic.	
May 12 2007	Great location for a NY weekend	We enjoyed our stay at this hotel. Great location. Easy walking distance to loads of NY attractions. View of Empire State from our window. It's comfortable with well decorated rooms and is very clean. Excellent bar with friendly service. Only downside is the frostiness of the reception staff. But overall would definitely recommend.	
May 4 2007 	A terrible choice	Tiny rooms, indifferent staff, no amenities - not even an available newspaper. No bargain either.	
May 3 2007 	Overpriced rude staff don't bother!	The room looked pleasant enough but reeked of cigarette smoke (no non-smoking rooms available) - apparently the staff like to use the guest rooms as their private lounge area. It took 3 calls (and an hour) to the desk to get a sleeper couch made up - the worst mattress ever - you could literally feel the springs through it. Some of the staff members were rude to the point of nasty. Watch the billing carefully when you check out. Overpriced and a total disappointment. I definitely would not stay here again.	
Apr 29 2007	Gross. Just Gross	I arrived for check in at Thirty Thirty knowing it would be a step down. The price was great--under $200 for a single (which could be a twin bed) but the location is good, other hotels owned by the same owner are great, and a good value (On the Avenue, for one). The hotel is dirty--the front doors are dirty, the lights in the lobby are caked with dust--the hotel, while design to feel upscale, actually feels like it was designed as a contest for a cable TV show. Anyway--I checked in, took my key and went up to my room. It was a tiny room—but that’s ok for NYC. I quickly noticed the bed looked unmade. The pillows were wrinkled, like someone had been there and left, just pulling up the covers. Nothing was tucked in. I pulled back the sheets---thinking this might just be the way housekeeping does things at Thirty-Thirty--low and behold the sheets were not clean, clearly had been slept in and there were a couple hairs in the bed, which I looked for knowing this would be the tell tale sign (I travel a lot). Ok, fine, gross. I went downstairs, got a new key, went to the next room. When I arrived at the second room a bad sign--the carpet in front of the door to the room had something on it, looked like sheetrock dust or dried bread, but darker. The door in the narrow hallway next to the room was blocked partially by a walker--what a senior would use (clearly a senior was in the next room which was also so small their walker didn't fit?). I opened the door and saw the comforter on the floor and the ironing board out and bathroom lights on. Another dirty room. I went back to the lobby and told the same person at the front desk—he contacted housekeeping via walkie talkie. I asked for another room---he said they were sold out and asked me to have a seat while housekeeping &quot;verified&quot; that the rooms were in fact dirty. He said if so, they would clean one. Keep in mind, I've just flown 8 hours, it's 6:30 at night and no, I really don't want to wait. On the one hand--these things happen. On the other hand--gross. Two dirty rooms, a dirty lobby, an overall cheap wannabe international hostel feeling. The hotel is not &quot;Premier&quot; or &quot;chic&quot; as the website claims, it is a poor excuse for a dolled up mess. If you want an affordable hotel and are 23 and don’t care about anything—this is the hotel for you. Otherwise, it. Oh--after waiting a half hour, I called another hotel, got in, dropped off my key with the same front desk guy (who was overwhelmed with a line of customers while his colleague was on a smoke break on front). Good riddens.	
Apr 27 2007 	Funky bathroom but otherwise fine	Based on some of the reviews here, I thought I'd be assaulted by an army of Depends-wearing old ladies and a less-than-acceptable room.The reality was more like an appealing (if small) room and if I ran into any of the tenants, they blended into the scenery.I stayed here in late March in one of the petite single rooms. Space was at a premium, but it was very well-maintained and there was a fair amount of storage. The bathroom was something of an oddity--as some previously have said, mine was toilet, sink and shower in one place with only a curtain separating anything and everything pretty much getting wet when you showered--but aside from getting matching bruises from hitting my elbows on the lock of the bathroom door, it worked out fine.The staff seemed a bit put-upon but was anything but rude. clean.I scored this through Quikbook for $111 (the hotel website had it for $156) and if I could get a similar deal and the same room (440), I'd definitely go back.	
Apr 25 2007 	Pleasant Experience	After reading some of the reviews of this hotel, I was slightly worried that it would be a dump with rude staff who have lost your reservation! Not true. The staff were very helpful, the reservation was fine and the room was great. New Yorkers aren't as immediately friendly as some folk; there is very little eye contact, but don't mistake this for rudeness. We stayed in a standard room with two larger-than-single beds and a large bathroom. Everything was spotless and we had maid service each day with clean towels and new toileteries. It's a great location too, right in the heart of things without the nightmare of Times Square. It was very noisy (the windows don't actually seal like our double glazing) with sirens, honking horns and bin collections at all hours of the night but what do you expect? It's like that everywhere in NYC unless you stay on the 40th floor. Bring ear plugs. There are a million and one places to eat within spitting distance too. There's even a new tea shop opened at the top of the street! But don't expect a decent cup of tea the whole time you are in NY unless you like it weak and out of a paper cup. I would stay here again and recommend it to anyone who wants a nice, reasonably priced, clean hotel in a good location.	
Apr 21 2007	loved the hotel	was very worried about staying at thirty thirty but when we arrived was surpised as we had a lovely clean modern room. downside was a little small but unless you are prepared to pay lots you just dont get a large room in nyc. the maid service was very good clean towels and linen every day. would definately return as the location is the best.	
Apr 18 2007 	Poor service and overpriced	This hotel is one of the worst I have ever stayed at. The standard rooms do not have air conditioning! The website says it has all the amenities... in the US... AC is not an amentity... its STANDARD!! By US standards, the rooms are very small. The hotel staff was rude and incompetent. For the price they are charging, there are MUCH better options in the city! With the accomodations and level of service provided this hotel should be priced much lower than it is.	
Apr 18 2007 	Good value good location	This hotel is located within easy reach of Penn Station, 34 St Subway and 33 St PATH, and all the shopping around 34 St. Leaning slightly to the East it's a little less polished that other parts of Midtown, but it really is well situated to act as a good Manhattan base for business or pleasure for the budget minded traveller.My room was on the small side, but was clean and had a comfy bed. The only problem I had was the fact that there was no spearate heating in the bathroom and the week I stayed saw temperatures dip to -15, so showering in there in the mornings was refreshing to say the least, not helped by the, fine looking, but freezing, granite floor and wall tiles.I had no issues with the staff, they were polite and efficient, not offish in any way. My remote was broken on arrival and they had a engineer up to fix it within 5 minutes.For the price I paid ($148 per night which is very reasonable for Manhattan)), I thought this place more than hit the buttons.	
Apr 14 2007 	excellent location!!!	Stayed at the thirty thirty for 4 nights and i loved it. It was in an excellent location-Walking distance to most attractions- couple mins walk to empire state, macy's, broadway &amp; 5th ave..... . Don't expect any luxury or you will be disappointed- it is very standard. I travel quite a lot and didnt find this hotel particularly bad and i didnt find it dirty as some have said in their reviews and i am known for being very fussy so thats saying something!!The resturant is ok not expensive, average price's for NY. If your looking for some where standard in new york with excellent location this is a great place. I've even booked to come back here for my stay this summer.....	
Apr 12 2007 	Great place to stay	This is a great place to stay when on a break in New york. It is well situated for all you want to do, there is a great bar/resturant opposit a 24 hour deli turn left and up 50 yards on the right and they will even deliver to your hotel room for free. Yes the rooms arn't the biggest but if you go New york and do anything other than sleep in you room then you really are sad. The whole place is very clean the front desk is very helpfull and yes we saw a fwe old women about the place but they were always plesent and friendly. You must do the open bus tour in the day and do the night one aswell. We didn' do the empire state building because of the ques but what we did do on the recomendation of our virgin rep was to go the Rockafeller building on 50th street and went to the top of the building called the ROCK. It's not quite as tall as the Empire state but the view is not restricted and it also took us no longer than 10 min to get to the top in a high speed lift, do the helicopter ride(10-12 min) but do book in advance. Get a taxi from the airport at jfk as it will cost no more than $45 to anywhere in Manhatten,	
Apr 5 2007 	Good place to stay - excellent location!!	We just came back from 9 days in the Big Apple. We booked the hotel online on their website, very quick and simple. Received a confirmation email. As everything in New York, also this hotel is easy to find. Its location is excellent, just 1 1/2 block east of 5.avenue, a couple of blocks away from the nearest subway on 28th street. The hotel doesn't serve breakfast, but there are plenty of very good delis nearby( i must recommend Brooklyn Bagle on 5th/32 street). The lobby bar/restaurant also serves breakfast, but we never tried it. The rooms were clean and modern. Ok with storage room for stuff, drawers and a closet and big bedside tables. The rooms were a bit small, but we were prepared for that. It is hard to find big hotelrooms at this price in nyc i think.... You don't travel to NYC to sit in your hotelroom anyway? The cleaning was excellent, fresh towels every day, and shampoo/soap and body lotion and a nice and helpfull staff.You can store your luggage on the day you leave, if you have a late flight. They also have an hourly airport shuttle(to Newark at least..), at the price of 21 dollar pr person. A bit more expensive than the bus(14 dollar), but much more convenient . The shuttle stops at other hotels so leave the hotel 4 hours before your flight. There are also internetconnection in the rooms(cable or wifi) and in the lobby, i think 6.99 dollar for 24 hours... On the computers in the lobby you can pay pr minute usage.I would recommend this hotel if you are going to New York!	
Apr 5 2007 	No No No Never Again	Dirty. Smelly. Cigarette burns. Small room - need I say more? I only stayed here because one of the other guys in our group found this place, and apparently they had a &quot;special&quot; (it wasn't worth it). I came up for just a night for my friend's bachelor party. The lobby is grey and bland. The whole hotel - not just the rooms - smell like cigarettes. My headboard had a cigarette burn the size of a nickel in it. Our bathroom smelled like body odor. The room was so small the bathroom door couldn't open all the way. The photos the hotel show on their website are apparently just one room, because I couldn’t find a room like it. The whole place is smelly, stained and worn down. For the money there has GOT to be another place in New York that's better. If you're in town for more than one night DO NOT stay here, find some other place.	
Mar 30 2007	Would never stay here again...	Ewww! Yuck!! Wear flip flops in the shower. Don't touch the walls. I work for a non-profit and in an attempt to save money, they put us here for a recent trip. If you only want to save money then I guess you could stay here. But if you want a clean room, don't do it. There were ants in the bathroom. They don't actually clean every day - more like straighten up. I had a room that had what looked like two toddler beds - junior twins? Or maybe they were supersized cots. Not sure. The room was only a little bigger than the beds. This was not a room you could hang out in. Needless to say I won't stay here again. Oh, the lobby was nice. So if you don't mind sleeping there, that was the best place in the hotel. Words I've seen to describe this hotel - upscale youth hostel, Hotel Dirty Dirty, etc. &lt;-- very accurate. I could not wait to get out of this place.	
Mar 29 2007	Value for money enjoyed our stay!	I also was very scared and aprehensive about staying at Thirty Thirty after reading the reviews on this website, however I am pleased to say everything went well during our stay.We were checked in and in our room within about a minute and a half of walking in the main door of the hotel. I was expecting a room the same size as our beds, and true it was relatively small but we had plenlty of room around both beds plus enough room to store both of our large suitcases and all our shopping. There was a massive TV in the room with plenty of channels which came in handy while we were getting ready to go out etc. Our bathroom was huge with a basin, toilet, bath and shower. It was all clean and tidy.We ate breakfast downstairs in Zana's restaraunt so we could then go back upstairs and get ready for the days activities. The food is nice, I wouldn't say it's expensive compared to eating in a similar place at home in England (it was $12 for a cooked breakfast) but if you're on that much of a budget you can just order toast! The best bit about the breakfasts (according to my mum) is the waiter who's sole job it is to go around refilling people's cups of tea and coffee (because she's a tea addict and it tasted like &quot;normal&quot; tea) her record number of refills one breakfast was 7! Anyway, on the whole we found the Thirty Thirty to be clean and reasonabley priced. The housekeeping staff were friendly and seem to take pride in their efforts and it really showed. (We saw the corridor carpets being hoovered everyday by the way) I would however be inclined to agree that there are long term ressidents in the hotel having bumped into a few elderly ladies in the lifts on various days who did not look up to much travelling but this did not negatively impact upon our stay. This was by no means the most glamorous hotel I've ever stayed in, however we got what we paid for and were happy to compromise somewhere to sleep with more spending money! After all if you're going to NYC to spend the whole time in your hotel rather than just using it for somewhere to have a hot shower and sleep then you're going to the wrong place. But rest assured the room we stayed in had the most comfortable bed I have ever slept in!	
Mar 24 2007 	Loved ThirtyThirty	After reading reviews on here for ThirtyThirty, I must admit that we were TERRIFIED about staying there, we were certain that it was going to ruin our trip.I had to email the hotel about our requirements, they were prompt in replying and MORE than helpful, they really were, totally exceeding our expectations!We arrived to the hotel a while before the actual check in time and our room was ready, the lobby was exactly like the ThirtyThirty website shows. The receptionist was very prompt - no complaints! We stayed on the 10th floor, the lifts were quick and clean, the corridor was fine, carpets a little dirty, but who spends time in a corridor? The room was a Superior room and exactly as shown on the website. We had a lovely big queen bed, with sparkling white Egyptian cotton bedding - the bed was SO comfortable, two large bedside cabinets, a desk area and a walk in wardrobe containing a safe. There was a large TV in the room and also a CD player. The bathroom was slate and had sink, toilet, bath and shower - all of which sparkling clean. The room was more than large enough for us two and ALL of my shopping bags and luggage, and believe me there was a hell of a lot! The AirCon was a little noisy but we were able to sleep with it off so not a problem, when we needed the AirCon on, we were awake, so the noise didn't bother us at all. The toilet did overflow once but the janitor was there within 2 minutes of my call to reception and cleaned up the mess promptly and efficiently. Once we requested more towels and within 10 minutes we were provided with an abundance of fresh, clean, white towels.The room was cleaned every day of our stay, the bedding changed and we met the maids in the corridor a couple of times, they were lovely.I particularly liked the location, it's on 30th and Madison, just near to the Empire State, it's far enough out of Times Sq to get a real feel for NY and you get to see so many New Yorkers going about the daily lives, there a couple of fantastic delis around too, well worth a visit! I would however recommend that you don't eat in Zanas restaurant in the hotel, it's weird, it's over-priced and the food wasn't up to much!This hotel is a 3* hotel and is recommended by tour operators for the budget conscious traveller - if you expect a higher star rating, then pay for it! In my opinion ThirtyThirty lives up to this and the service that we received and experienced was first class, it really was. If you just want a clean, comfortable, modern base for your NYC trip, then ThirtyThirty is perfect for that. The website portrays an accurate picture of the hotel. I would definitely stay here again and definitely recommend this hotel as an excellent 3* hotel in NYC. We really enjoyed our stay!	
Mar 24 2007 	Poor I wouldn't recommend this Hotel to anyone.	We stayed at the Thirty Thirty (or the Dirty Dirty as it came to be known) for 3 nights in March. This is quite simply a poor hotel which cannot be recommended for any reason. On arrival at the Thirty Thirty we were greated by a door man on his mobile phone and a lobby area which was both unclean and populated by the tennants that also live at this Hotel (According to the Time out guide there are over 60 who live here permanently). After checking in with the barely interested staff, We stayed in a 'Superior' room which was anything but. The bathroom was so small the basin could not fit in it and was in the main body of the bedroom outside. The hallways were obviously not hovered, some with long standing stains which had not been cleaned. During the eveing there was also noise which woke myself and my wife up at 6.40 a.m by residents shouting at each other.The photos on the Thirty Thirty website are misleading. One floor has been refurbished (the 1st) but 2 to 10 have not been and do not resemble ANY of the photos on their website. The slate bathrooms are replaced by a white and green finish, the type of you would expect to find in a below average B&amp;B in England The trendy brown carpets are replaced by a garish purple.As a regular Corporate and personal traveller, I think this Hotel is one of the worse value for money I have stayed in within the last 5 years. This list includes a damp ridden room in Stevange, England. Do not stay here.	
Mar 22 2007 	Will stay there again - will recommend to friends	Myself and my partner stayed there from 11-16th March '07. We stayed on the fifth floor at the back of the hotel. Although the room is compact in terms of size, it was lovely and clean, nice decor, and a really modern bathroom. There was little to no noise, day or night and the maid service were friendly and polite any time we bumped into them. The reception staff were curteous and prompt. The restaurant is very handy, however quite expensive, but there is a new pub directly across the road called the &quot;crooked Knife&quot; with excellent food and drink and friendly atmosphere. its a block away from a subway line and 10 minutes walk from 34th street. We will definitely stay there the next time we go to New York. If you need a taxi, Its cheaper to get one on the street, rather than getting the bell boy to get you one, so dont get fooled by him!!	
Mar 22 2007 	Great Hotel Great Location	Stayed at the Thirty Thrity with friends at the begining of March and found it to be a great hotel. It is in a fantatsic loaction to be able to get to all areas of the city with ease. Some rooms are smaller than others but still larger than some london rooms. They seem to be doing the hotel up and we all found the rooms to be clean and tidy and certainly not shabby at all. Houskeeping was not always reliable when asking to make up the room but they always provided clean towels and took away any rubbish. Front desk staff were not overly friendly but always helpful. Have certainly had worse service in bigger brand hotels. Would definately stay here again when in NYC and would recomend it to others. Good value for money	
Mar 13 2007 	Don't go there in Winter!	I stayed at the hotel Thirty Thirty for two nights in March. The room was very small, but clean enough. The temperature outside was about 5 degrees fahrenheit, and the temperature inside the room was in the fifties. My bed was sandwiched between two windows, and was swept by chilly draughts all night. The heating wasn't working properly, and was so noisy that you couldn't sleep. And even if you manage to sleep with the heating on, the temperature in the room won't get decent anyway. The staff at the front desk was kind enough to provide me with an electric heater, but this didn't quite solve the problem. Other guests I have been speaking too complained about the same issue.Anyway, if you have a chance to go there when the temperature outside is milder, the hotel is in a great location - just a few blocks away from Park Avenue.	
Mar 12 2007 	Okay...but just okay	Stayed at thirty-thirty for one night. The hotel is not what it appears on the website in terms of appearance. The pictures make it seem cool and trendy, which it could be, if it was cleaner. Everything is showing its wear, the hallway carpets are stained, and it all just had a grimey appearance. The check-in person was not the friendliest, but she wasn't rude either. She seemed put upon. We got the superior room, which I'm glad we did. it was oddly shaped and you could tell what the smaller rooms must be liked because the seating area and the sleeping area were weirdly divided, the seating area had a different kind of ceiling and it was higher. The room was long and thin and the bathroom was just what I imagine it would be like on a cruise ship. The door is a shower door, you walk over the ledge of the door to enter and the toilet and shower are there. That step over is very dangerous and could pose a real problem in the dark at night. The entire bathroom is tiled in the same school shower type of tile. It was the weirdest bathroom I've ever been in. And really really dirty, like years old mold, nobody is even trying to remove anymore. The bed was comfortable but the remote didn't work. However, for a cheap price, I'd probably stay there again, if only for a night.	
Mar 8 2007	Absolutely terrible	My husband and I booked to stay from Friday 2nd March until Tuesday 6th March. We actually left after one night. The reception staff were rude, I have never seen such a small room or bed considering it was supposed to be a double room. We actually had an old lady in the room next to ours who came to the door wearing just a shirt and incontinent pad and proceeded to make an awful noise all night. We firmly believe there are &quot;sitting tenants&quot; in the hotel (can't believe this old dear was travelling) and either tour companies know and aren't letting on or the hotel know and aren't letting on. Hotel we moved to was lovely,(one we stayed at on previous trips). We only booked the thirty thirty in the first place because when we made our booking (with one of the big airlines) this hotel was recommended - for what I don't know!	
Mar 1 2007 	Great price good room	If you were to rate NYC hotel rooms on $USD/sqare foot, this would probably be an average-priced hotel. The room was small, but clean and well kept. Bed was comfortable, and I slept like a rock.My room had unique issues with noise in that it was right next to the elevator, so there was a low rumble at all times. Other problems: heater seemed to want to be on high or off; room would have been better suited with a small flat screen, as the TV was nearly over the bed (the rooms are //that// small); TV remote only worked the volume; water in lav ran brown one morning.To those who complain about room service: this is in NYC. Go out and eat. That's where you're going to find decent food. Consequently, I have nothing to complain about.Its 2 blocks north of the 6 train, which is not the most convenient stop. When in NYC, I primarily use the subways, then taxis second, so I would have preferred a bigger line. If you prefer taxis, then the location is fine.Next trip to NYC will find me putting the 30-30 in the &quot;to call&quot; list, but will not stay there if I can find a bigger room at a comparable price.	
Feb 26 2007	Was not impressed	This hotel is definitely not a three star hotel - a 2 star at the most. The photos on the hotel's actual website are very misleading as the hotel is nowhere near as modern as it &quot;appears&quot;. The standard rooms are very tiny and the bathrooms are extremely &quot;cosy&quot; to put it mildly.Although its location is good the hotel is not the greatest. They don't serve breakfast before 8.00am which is slightly strange and there is no room service! So if you arrive late be prepared to starve.Definitely not a hotel that is worth the money you pay for it! Would not stay here again.	
Feb 24 2007	great value exellent location	reading the reviews before we left i was really worried, i even rang my travel agent to try and upgrade, there was nothing available. so preparing for the worst we arrived and it looked ok from the outside, in we went staff was fine at reception we went up to our room which was on the 10th floor and all my worries was over the room was fairly small but enough room for 3 suitcases and walking around fine. It was very clean and the maid replaced towells everyday.Your hardly ever in your room apart from washing and sleeping, i was really pleased with everything, there is access to computers downstairs in the lobby so you can pre book your outward bound flights, overall all this is fantastic value for money and i would tell anyone who i knew going to new york to stay there.	
Feb 19 2007 	Brown Water in the Shower - White Water in the Sink?	This hotel should be ashamed of themselves... When we checked in, there was no one to help with bags, and we had to cart them up the entry stairs ourselves. The front desk was supremely UNfriendly and actually bordered on rude. Then, the bellman did help us to the room, and he was the only bright spot in the two-night stay. The photos online are deceiving... Technically true, I suppose, but deceiving. We had no desk or high-speed internet access in our room. The only &quot;hotel&quot; bar I saw was the restaurant/lounge next door (which had very friendly service and good italian food). The hallways smelled of urine, and it was not clean. I noticed that the maids actually just walk right in without knocking (once while we were sleeping), and then never bother to come back when you've gone for the day (even when we saw her on the way out). There was body hair in the shower to accompany the mold. I suppose that made the (I WISH I WAS KIDDING) brown water that came spewing out of the shower head feel more at home... That doesn't mean you should bathe from the sink, though... That water is cloudy and white. I felt disgusting the entire time I stayed at this hotel. Get all this and more for $229 a night! They should be ashamed of themselves!	
Feb 19 2007 	Nice room for the price...But hotel personel had bad attitudes!	My husband and I stayed at the Hotel Thirty Thirty this past weekend on Friday and Saturday night. When we checked in, the receptionist was a bit icy towards us like she did not care if we gave her our business! As we entered our room we were not shocked by the size because prior to coming to NYC I had read the reviews and seen pictures so we knew what to expect. The bed was extremely comfortable and nice. I would have liked it to have a little closer to the subway but it did our lazy behinds good to walk! For this trip we finished seeing the sights we had missed doing the first two times we came. So we went to the Cloisters in Northern Manhattan(we got off at 190th street) and it was amazing! Walking the 10 minutes to get there we saw beautiful rock cliffs that you just cannot picture in the city, plus the snow was a lot cleaner! Once inside we were amazed at the collection on medievel pieces they had-the museum itself was smaller than we thought but it was worth the trip out there! I recommend it to the traveler who wants to experience NYC other than the tourist traps. Of course, we did the &quot;tourist&quot; things. We went to FAO Schwartz to get a toy for our daughter and to look around at all the lifesize toys too. We stopped at Tiffany's and I picked out a lovely pair of earrings. Friday night we went to a restaurant called Lips. It was a drag queen bar and the food and waitresses were great. Our waitress was called All Beef Patty. The show was great too! Lots better than Lucky Chengs! One thing we had not planned was whether or not we were going to see a show-but in the end at about 7:30pm we went to the TCKTS booth in Times Square and got tickets for TALK RADIO w/Liev Schriever (he played Cotton Weary in the Scream 1 &amp; 2). It was a really good play and he played the part perfectly. Afterwards we waited by the stage door and waited for the actors to come out. We got an autograph and a picture of Liev and the added bonus of the night was seeing his girlfriend, Naomi Watts. I got a picture of her too, but my digital camera is slow so it is a profile shot of her but you can still tell its her! We ended our long trip with a meal at the Pig and Whistle just off Times Square- it was decent and cheap, just what we were looking for.Overall our trip was good. We now feel like we have seen and done what we wanted in NYC without feeling we have to plan another trip for awhile - unless we just want to go again without an itinerary and do whatever.	
Feb 13 2007	No problem - excellent location	Stayed here solo in Feb 2006; good location, just around the corner from the Empire State; Mid-town means you're in quick reach of everywhere. 5th Ave and Madison Ave are a few minutes from the front door. Room was large, albeit with view over a back yard! The downstairs bar is also not cheap, but a good place to met fellow travellers/natives. There are some OK delis and other bars/restaurants in nearby streets. I would stay here again although I'd like to experience some true NY luxury next time like, er, the Four Seasons perhaps...	
Feb 12 2007 	Trying to give a balanced view of Thirty Thirty	Seldom have I seen a single hotel have such disparate reviews on a Hotel, needless to say we were wary but had booked on a friends recommendation so trusted to that rather then the reviews. Hence I’ll try to give a balanced view.First impressions weren’t great actually, the taxi approached along W30th Street to E30th and it’s not the most salubrious of NY streets. Pulling up outside the hotel past a handful of carpet shops and empty shopfronts under re-construction didn’t add to the experience. Check-in was businesslike rather than friendly, but efficient nevertheless. The room was much as expected, smallish, practical neat and tidy though rather dull and uninteresting. Dashing to pull the blind to see our view, the blind fell off the wall to reveal the backside of some dreary dark buildings ! So not a great start, many people may have been put off, but undeterred we unpacked and never looked back. The blind was soon replaced and once settled in we found the room quite cosy, an excellent bed and shower and bathroom (to be honest they’re the important things), TV, coffee making facilities and efficient air-con (though noisy).It’s well located in midtown with (for example) Empire State, Time Sq, Madison Sq gardens, Grand Central, Flatiron Building all within 30 min walk.So the hotel was perfectly OK for what we needed, it’s not expensive for NYC and whilst it’s neither elegant nor plush we were more than content with it.What’s close by for practicalities…..Zana’s bar/restaurant is attached to the hotel and is a perfect place to chill for a drink or two and the meal we had there was more than OK.Directions from hotel front entrance by Zana’s………..Turn left outside hotel and left again and there’s a decent French restaurant on the opposite side of the road. (1 min)Left outside the hotel and there’s a good value deli 100/200 yrs on the left (corner of Madison or 5th?). (1 min)Left outside hotel and on the facing corner there’s a handy shop, also sells food. (1 min)Area between 30th and 32nd streets and Madison and 5th Avenues is an area of Eastern shops and restaurants (Korean I think), many open 24hrs. (3-5 mins)Turn right outside hotel and there’s a selection of restaurants along Park and Lexington avenues. (5-10 mins)	
Feb 12 2007	Perfect Location lovely hotel!	Myself and my best friend spent a week in this hotel on our first trip to NY in December and we were not disappointed. The location is perfect for shopping, sight seeing, eating out etc. You are literally a 5-minute walk away from the Empire State Building and 5th Avenue and it is always easy to hail a taxi from outside the hotel.The staff were very helpful when we arrived, they told us that our request for 2 single beds had not come through (we booked on the hotel website) but that if we wished to stay in a double the first night and then switch for the remainder of the week it wouldn't be a problem. We said it was fine we would just take the double room for the week. I was very pleasantly surprised by our room upon arrival! It was much bigger than expected with a big built in wardrobe, a huge double bed with the comfiest duvet I’ve ever seen on it, a big bathroom, big TV and a separate desk and chair in the corner of the room which was very handy for putting all our shopping on!!There are some residents in this hotel as I’ve read in some other reviews but these did not affect our stay in any way. In fact, one of them had a cat that would sit outside their room and greet you everytime you went in or out! I am not sure if bigger animals i.e. dogs were aloud in this hotel but we did have 2 cats on our floor which didn’t cause us a problem but if you don’t like animals beware there may be a few about the halls.The only thing that I didn’t like about this hotel was the restaurant. Myself and my friend were exhausted one night after a long day shopping/sightseeing so we decided to just have dinner in the hotel. I was shocked at the prices they were charging and we ended up paying over $100 for 2 starters, 2 mains and 2 cocktails. We went out the following night to a steakhouse around the corner, got all of the above plus dessert and drinks and paid just half that!Overall this hotel was good value, a pleasure to stay in and I would definitely recommend it. I shall be staying here on my return to NY for sure!	
Feb 10 2007 	First "boutique" hotel experience	We stayed at Hotel Thirty-Thirty over Thanksgiving weekend and found it quite enjoyable. We originally booked the hotel because it was the cheapst room we could find to sleep four-five adults. We stayed in an Executive Queen room which included two beds (one bed was very hard and we later found that it was two box springs on top of each other) and a sofa bed. Some things to have in mind before booking at the hotel. 1) Getting into a refurbished room is key. Our room was very large and actually had a lot of open space. The building looks like it was once an apartment complex so some rooms are very small. Just confirm with the hotel before you arrive about the size of your room.2) Don't bother asking for a room with a view. There isn't a view from any side of the building. While the hotel loby was kind of &quot;hospital waiting roomish&quot; it was also nicely decorated for the holidays. Probably the best &quot;view&quot; in the hotel.3) The most luxurious part of our stay at Hotel Thirty Thirty was the shower. The water pressure was great and we always had hot water. Also all of the bathrooms have been remodeled to have granite tiles on all of the bathroom surfaces.	
Feb 8 2007 	Surprised	After reading some reviews about this hotel i was worried, i need not have worried. I have recently come back from staying in the Hotel Thirty Thirty room 305, and might i say i was surprised the room was spotless, beds very clean and comfortable, pillows amazing,maid came in daily to change the towels. Also very friendly staff, there to help in anyway, i suppose if your polite to them they are polite back as are most new yorkers. Room was a little bit smaller than a double room in the uk. If your on a budget this is the hotel for you, if you want pampering stay in the Hilton. The Hotel is close to all the major attractions and overall i will be going back.	
