	Good choice for group of 3-5 people	I wish there was a 3.5 option in overall ratings for this hotel. 4 seems too high, but 3 too low.This hotel is very much as OP's have described. I found it to be a very good value. Pros:Very large rooms which are also VERY clean, lots of closet space, light-blocking window shades, good beds with good quality linens, very friendly multi-lingual staff, good location (altho I personally prefer the west side as it is easier to get around), excellent access to computers and printers- I think there may have been 8 stations- WIFI fast and dependable. Cons:We really could have used another bath or half-bath (3 women and 1 man), Breakfast was not much- yogurt, cottage cheese, coffee, juice, some rather dried out pastries..probably one of the worst &quot;continental breakfasts&quot; anywhere.Noise- the street noise did not bother me too much, but both daughters and husband commented on it. Oldest daughter said to me, &quot;mom, this is the noisiest place we've stayed in NY&quot;. Not sure why this is a problem as the street in front is not really a busy street, but there did seem to be a great deal of honking at all hours. If you think this might annoy you, ask for a room that does not face the street.We tried 'Mint&quot;, the eating establishment connected to the hotel- not impressed.My husband, our two 20-something daugthers, and myself were visiting NYC and I was looking for a way to avoid 2 hotel rooms at $275 - $325/night for each room for the weekend after Thanksgiving.The San Carlos had a suite with 2 queens in the bedroom and a pullout sleeper in the LR, along with a small &quot;kitchenette&quot; (microwave, sink, refrigerator and utensils) for $300/night. The reviews here on TA were favorable, so I booked it for 3 nights.Thanks to other members for their helpful reviews of this hotel. Very accurate reviews!Saved us hundreds of dollars over 2 separate rooms without sacrificing too much in the way of comfort and space.	
Mar 28 2006	average	In all honesty I can not say anything really bad about my stay(4 days). Perhaps, the web description and some of the reviews I read got the better part of my expectations. When I arrived(5:30p.m.)there was no one at the curbside to greet me and say &quot;welcome to the San Carlos&quot;, as a matter of fact, I had to carry my lugage inside(three of us), while a doorman looked at us with out moving a finger. The check in process was average and no special attentions or welcomes were provided. The room was fine(one bedroom suite) The a/c unit is within the inside of the room, looking bulky and occupying space. The kitchenette is a plus. Flat screen TV's do not mean flat screen TV's(not plasmas). Pillows are of foam and not confortable at all. Bath towels are very small and ver thin. Bed is ok and linnens are not what they are potrayed. Bathroom inside of master bedroom with out an independent entry from living room. Requested ice a couple of times and was delivered very promptly and courteous. A young lady at the desk recomended an Italian Restaurant&quot;Pescattore&quot; and turned to be excellent. No maps were available at the front desk. Breakfast is somewhat simple, with paper cups, plastic forks/spoons/knifes(not what I expected).I went to visit the Benjamin, The Kimberly, and the Affinia 50, all located in the same block and across the street. In my humble opinion, for the price the San Carlos charges, a better, more confortable and luxurious accomodation can be obtained from any of these three suite hotels. I can say that the best part of my stay was the reservation process. A very attentive person(susan) handled my reservation in the outmost proffesional and amicable manner. Will I stay here again? I dont know.	
Feb 14 2006	Delightful little gem	Just returned from a four day stay at the San Carlos, during the Blizzard of 2006!! I found it to be a delightful, comfortable, well located gem for slightly high but reasonable rates. The rooms are larger than typical NYC, are decorated nicely and very comfortable with wonderful reading chair and ottoman, along with desk and two double beds. Ample closet space. Bathroom was a little on the small side with little room to store toiletries, makeup, etc, but very nicely done. There is an internet room on the mezzanine at no charge, which was wonderful for checking email, etc. Had four computers with very little waiting. Also very nicely done small fitness room. Staff was very courteous and helpful, suggesting alternate transportation on the subway when cabs were not in abundance during the snow storm. No bar or restaurant directly in hotel, but an Indian Restaurant is attached and provides room service. We didn't try it, so can't comment. However, there is a great little luncheonette across the street which we used for breakfast and lunch once each. Also ate at the steak place directly across the street - it was fabulous. Wish we had tried it sooner. The breakfast buffet provided by hotel was adequate - coffee, juices, pastries, bagels and toast only. Nothing to write home about, but a nice touch for the days you don't want to eat heavy early in the day. There was a small refrigerator, a microwave, plates, silverware and coffee bar in each room, along with an honor bar, which was much appreciated. Hotel definitely has more charm than typical large chain hotels. Very welcoming and homey. The location was great, about 20-25 minute walk to most Broadway plays and Times Square, and only blocks from St. Pat's, shopping and Radio City Music Hall. Felt very safe in the neighborhood even very late at night.Would definitely stay again.	
Jan 14 2006	A fantastic stay at the San Carlos	As a Mum travelling alone with 2 boys aged 12 and 10, I would thoroughly recommend the San Carlos hotel. It was extremely comfortable and absolutely spotlessly clean. The staff were really friendly and helpful and we were made to feel very welcome. Our room had a fridge, a microwave and coffee making facilities. There were plates and cutlery too. The sheets on the beds were changed daily unless you were mindful of enviromental issues! Same with the towels and fluffy dressing gowns! We had continental breakfast each day. The gym is small but well equipped and all in good condition. There was free access to the internet.Location is very good too. You can walk to Central Park in about 15 minutes but it is close to the trains and buses. There are a couple of cafes nearby that do good meals at reasonable prices. If you are thinking of staying here, just go for it. One of my friends stayed a couple of months ago and she was really impressed too. I would stay here again without a doubt.	
Jan 10 2006	wonderful	the san carlos hotel is wonderful. although a small hotel it has friendly staff, great rooms, very clean, comfortable beds, excellent service. the location is great too, on 50th street, between lexington and 3rd, it is a quiet street, so no trash cans being collected at night, just bliss in new york. although there is no restaurant the irish bar just across the road provides the best in room service and late night drinks. the rooms were spacious and warm with everything from microwave ovens to a flat screen tv. i would strongly recommend this hotel to anyone. we are definately going to return to this hotel. it has everything and more you could want. well done san carlos, you made our holiday great!!!!	
Nov 12 2005	A gem	We stayed there for four nights. Rooms are small, but in excellent conditions. STaff extremely friendly. Free computers for internet, very helpful. The house has a nice atmosphere and is completely renovated, although it is a very old hotel. Compared to the Hotel Chelsea, which was a real adventure, this was a very good starting point for our NY vacation. Hotel Chelsea is much rougher and unique, but also has much less of luxury appeal and the amenities. One weakness clearly is the breakfast, it is very basic.	
Nov 2 2005	This was a great surprise!!!	We have booked at the Bedford Hotel but when we arrived a very rude man told us that they had problems and had no rooms for us. So he gave us $5 dollars and the address of the San Carlos...WOW! that was luck!This is a very nice, clean and comfortable hotel. The rooms are spacious as well as the bathroom. All the staff was very friendly. And it is located in a WONDERFUL zone. Definitely will stay there in the future!	
Sep 23 2005	Wonderful!	I was upset to read the review of the person who posted before me complaining about the old man in this hotel. To me it seemed the reviewer in question would prefer the staff to be grumpy and not offer him any friendly assistance whatsoever. Well I know that's not what I look for in a hotel...I stayed at the San Carlos with two other relatives for a week in September and we all thought the experience was wonderful. The hotel has a very friendly and homely feel to it as I guess it's relatively small compared to some of the other hotels around the city. It was our first time to New York and all the staff were really helpful in advising us in what was worth seeing during our stay. There was always someone waiting outside the hotel to open the door for you when you came back to the hotel and the staff always said hello; nothing seemed to much trouble.I guess it was lacking in facilities compared to some of the giant firms, there is no pool or hotel bar/restaurant, but in New York you only have to step outside the hotel to find whatever you are looking for so we were not bothered at all by this. The gym was small but I thought it was brilliant, each station is equipt with a tv so you can watch while you work out. The cyber lounge is a brilliant idea and was really useful; there is even a printer if you need to print anything off.The rooms have such comfortable beds and are kept immaculately clean everyday by the wonderful housekeeping staff; the Aveda bath products are a great addition. The TV is fab too - a pretty big flatscreen - wonderful! You get a complimentary newspaper every morning and complimentary breakfast. Some people have complained about the breakfast but I found it pretty fine. It is basically just coffee, orange juice, yoghurts, bread, pastries and toast; we all found this wonderful though because we weren't interested in having anything too heavy for breakfast.Definitely worth the money and definitely worth staying in again. I'm going to miss this hotel!	
Sep 8 2005 	Try not to make eye contact with the AM shift.....	I have travelled for business for the past 30 years and the first time I stayed here was last year and was disappointed with the annoying older gentleman at the front desk. I was first trying to check-in because I needed to get ready for a business meeting but he kept making making small talk which was very annoying. Then upon check-out he insisted that I use a particular car service, that turned out to be a nightmare in itself!Just recently I could not get in anywhere else so I had to book there again once again the older gentleman was annoying(shouldn't he retire already) but thank god for the afternoon staff, they were pleasant but not overly talkative! The hotel is lovely and a great location but until (hopefully) he retires in the next year I won't be back!	
Aug 20 2005 	Terrible Services	I was treated as a theif in this hotel. You can see housekeepings laziness during your stay at this hotel. My room was dusty, some of amenity kits seem like used already, white towels weren't white. Turndown service is mess. A housekeeper came to my room around 10:30pm. All reviewers here are saying &quot;kidding&quot; , I guess. I didn't care all the problems I saw through my stay since it was only one night. However, when I got charged $170 from the hotel, I called them and they told me that I took two bathrobes from the room I stayed. I NEVER SAW THOSE BATHROBES in my room! The office manager was keeping telling me two bathrobes are missing. Before charging customers, don't they check housekeepers? This is ridiculous. My point is you want to be treated what you have paid, and you want to be treated as a customer, not a theif.	
Aug 16 2005	Absolutely Loved It	We stayed 2 nights at the San Carlos Hotel - 3 adults &amp; 2 children. We all cannot rave enough about this hotel. The hotel staff are extremely friendly &amp; very helpful. The room we had was a 1 bedroom suite &amp; it was quite large, very clean &amp; elegant. Loved the Aveda products. The hotel is in a great location. We would not hesitate to book here again especially when you consider the price of such a large room - it seems like a bargain.	
Aug 9 2005	A quiet euro-style hotel in the heart of Manhattan	We have looked at this hotel before, having stayed at the Kimberly and the Benjamin Hotels across the street. In contrast to the Benjamin and the Kimberly, this hotel has a quiet, european feel to it.  We booked through ---, and immediately had problems at check in. The staff, however, was extremely helpful, and got things straightened out immediately. The suite was spacious and quiet. One problem we had, however, was that the bathroom was in the bedroom area. This was contrary to what we had been promised, and it proved to be in inconvenience with 4 people in the suite. The continental breakfast was very nice, and the cybersuite on the second floor provided a great opportunity for our teenagers to get away. This is a great area in which to stay. Rockefeller Center and St. Patrick's Cathedral are just 3 blocks away, and Times Square is 6 blocks away. The area is very safe; you can walk anywhere in this section of Manhattan. I would say that the San Carlos is an excellent value in mid-town. The many european tourists staying in the hotel provide an indication of its value and quality. We would definitely stay here again.	
Aug 4 2005	Fabulous as always	After flying up from Florida with great expectations for a cheaper hotel on the West side (in which we fled in horror), we found ourselves struggling to find a place to stay with no time to spare. Fortunately for us the fabulous San Carlos was able to give us a suite immediately and turn a horrible day into a wonderful stay. We had stayed at the San Carlos before with a positive experience but looked for a less expensive hotel as we were also paying for our two student family members. But as we found out, you get what you pay for. After the disappointment of another hotel, the San Carlos was worth paying for. The service as always was swift, efficient, pleasant and professional. Now if they would only give discounts for frequent guests I would feel complete...Would definitely stay again.	
Aug 2 2005	What a great place	This is the second time we have stayed at the San Carlos. The rooms are beautiful and comfortable. The hotel is in an excellent area, close to everything Manhattan has to offer. The staff was attentive to our needs and very friendly. We actually forgot some items we had just purchased and they mailed them to us. We even had a chance to meet the owner and chat with him. I would highly recommend this hotel to everyone, from singles to families. We traveled with family and the suite was perfect for our needs.	
Aug 1 2005	Great location great hotel	Recently renovated, this hotel has wonderful amenities and a great location. It makes for a terrific base to explore the city. Better than similarly priced hotels in the same neighborhood.	
Jul 27 2005	Small quiet and relaxing in NYC	At first missed the big time feel of the larger hotel but then realized how great it was to return to such a comfortable hotel after a busy day. Rooms are supberb! Do not expect much in the way in of service (i.e. concierge) but the cleanliness and location make up for that! Definately would stay again. (Walked by the Benjamin and that looked good too)	
Jun 14 2005	Was very comfortable at the San Carlos.	My husband and I stayed at the San Carlos the first week of June. We had an Executive Suite on the 12th floor. The room was fabulous! Extremely spacious and comfortable. We had a wet bar, refrigerator, microwave, 2 TVs, and a separate sitting room from the bedroom. The only complaint about the room was that the air conditioner couldn't keep up with the steamy 85+ degree weather. The staff was friendly except for one desk attendant with an attitude. We didn't let this discourage us as he was the exception to a mostly friendly and attentive staff. The hotel was in a great location! Would recommend this hotel to others and would return.	
May 29 2005	Comfort Friendly Tops	San Carlos is conviently located. We stayed in a suite with one king bed and a pull out double in adjoining sitting room. For a Manhattan hotel, room was spacious. Room temp and air control good. Room facing street a bit noisy (but what hotel in NYC isn't?). Bathroom was modern, marble floors, granite counter top. Aveda products. Two tv's with good movie rental selections. Staff was superb- all whom we encounted to be very friendly and more than willing to assist, or go the extra mile to help with any requests. Check in was efficient. Parking available next door for $30/day. Room rate included continental b'fast, which consisted of sweet rolls, toast, yogurt, coffee, and oj. Basic. Room rate reasonable for hotel location and amenities. Great place to stay, we would return.	
May 16 2005	Friendly hotel in great location	We were impressed with the San Carlos as soon as we arrived. The reception staff were very friendly and helpful. The room was very nicely furnished and clean although a little on the small side - we thought nothing of this (it is in NY after all!) until the hotel owner came to chat to us at breakfast and seemed a little apologetic when we told him our room number!Recommended for the rooms, the staff and the location.	
Apr 25 2005 	clean with all amenities	Good location. this hotel had everything you could want. My only complaint was that my room faced on to the street and was a little noisy - but it is New York so there is not much you can do about that! Recommended - good Midtown location too.	
Apr 18 2005 	Lots of room	Stayed for a few nights and had a great stay. Rooms were large and quiet and furnished nicely. The bellmen were very nice but the women working the front desk were not happy at all, never a smile the four days that we were there. I can live with that though as long as the room is nice. You can skip the continental breakfast though it was pretty weak. I would stay there again.	
Apr 12 2005	Would never stay anywhere else!	From the telephone and email contact before our trip, to the friendly and knowledgeable staff, to the beautiful and quiet suite, I loved everything about the San Carlos Hotel. The location was amazing, so close to everything and the service and accomodations were excellent. We had a one bedroom suite with two double beds and this suite had more floor space than many Manhattan apartments. The kitchenette was fine. There was no cook top but there was a sink, fridge, and microwave oven.This was my first trip to NYC and I will happily stay at the San Carlos the next time I go.	
Apr 12 2005	Differing opinions	I really liked the San Carlos, but my husband didn't. It is near the Waldorf Astoria and within walking distance to everything on the East side. (Of course, we were there on a gorgeous spring weekend, when walking is a pleasure.) The room was large and clean. We loved having a refrigerator and a microwave. Great for leftovers from dinner! Conceirge wasn't helpful or knowledgeable at all. They told us the Rainbow Room was closed when it was open and couldn't help us get tickets for a show. We didn't try the breakfast since it was only available until 10:00 on a Sunday morning and we wanted to sleep in after painting the town red. Comfortable, clean and a good price. I would stay there again but husband won't. He prefers a room with a view and a concierge that is willing and ready to serve him.	
Apr 6 2005	Great time at the San Carlos!	I stayed here 4 nites ending 4/1/05, and was very happy with the property. I actually rented 2 rooms, 1 suite and one double. Both are nice, but I would always opt for the upgrade, as then you acquire a fridge for your beer! Did I mention the rooms were very clean, and the staff was both friendly and helpful? They were. I also found the breakfast convenient and a nice time saver. The #6 subway is only about 1/2 block away so you can easily explore from the Southern tip to the museum area using one line. Can you tell I was on vacation? The staff also gave good dining recommendations. Conclusion, you will enjoy this property, I did. (So did my wife and children.) I am not in the hotel review business, but since I read numerous reviews on 6 or 8 properties and selected the San Carlos based on feedback, I don't mind sharing mine. Final note: I couldn't run them out of hot water!	
Apr 3 2005	Great Value	I have just come back from a week at the San Carlos. I got a decent rate via their website (a good $100 less than the other hotels across the road) and was very pleased with the hotel. My sister and I took a double room which was absolutely HUGE (not only for Manhattan standards) and was very well appointed and comfortable. The bathroom was similarly large, and despite my fears from earlier reviews, there were no problems with as much piping hot water as and when we desired. It would have been nice if they had replaced the shampoo and body lotion that we used (my personal test of hotel quality). To their credit, on the last night we were given refills during the turndown service. From the waiting pile of umbrellas (because let's face it, who is going to spend $5 on an umbrella you need for one day) to the friendly staff and comfortable rooms, this hotel is one to which I will hopefully return.	
Mar 30 2005	Can't beat the price or location	Spent a night at the San Carlos with a few friends over the weekend. For the price and location, its tough to beat in NYC. After taxes ($48!!!), we paid only $300 for the night. Definitely worth the price, for a 4-star hotel. Room was big enough for all of us, very clean, and the staff was friendly (not the in-your-face type). Parking was right next door at a valet type garage, for a discounted $30 for a 24 hr period, not bad at all. Have the front desk of the hotel stamp your parking ticket for the discount. Unless there's another 4-star hotel offering a much lower price than the San Carlos, I have no need to search for another place to stay while in NYC.	
Mar 27 2005	Best Deal in New York City and FABULOUS hotel!	This hotel is nothing short of outstanding and is one of the best kept secrets in New York. Our kids LOVED IT. It is a small boutique, European-style of hotel with plush robes for all guest, European quality linens and furnishings and the rooms are among the largest in NYC at 400 square feet. There is internet access and computer available for us on the 2nd floor. Every morning there is a wonderful continental breakfast with toast, bages. cereals, juices, coffee, yogurt, fresh fruit, pastries. It is simply fabulous and I would love to stay there again! It also has a great location...a block away from the Waldorf Astoria and 3-4 blocks from St. Patrick's Cathedral.	
Mar 24 2005	NOt great	Stayed here in November 04. When we arrived the reception staff were surly and inattentive - they ignored us until I inconvenienced them by politely asking if we could check in. We were then shown to a room in which the heater was not working - it was like an ice box in there. They must have known about this because it was clear that noone had been staying in the room for some time (despite all other rooms in the hotel being occupied). We complained and so they sent up an engineer who dismantled the heater while we sat shivering. The engineer eventually gave up and so we were shown to another room. It looked like a nice room until the porter realised that it was still occupied! HOW could this happen?Apparently, all the other rooms were full so we were then given the option of moving back to the icebox and the manager said they'd get us a fan heater! I told her that that was unacceptable and that they had to give us another room or find us another hotel.After a long delay we were finally given another room. In the land where customer service is king, I didn't expect this kind of incompetence.Once were installed in our new room, we quite liked the hotel (although the breakfast facilities are very mediocre). Trouble was, by then, we already had the bitter taste in our mouths. Won't stay there again I'm afraid.	
Mar 19 2005	Clean comfortable convenient	I stayed at the San Carlos with 3 children for 3 nights (March 15-18) in room 1108 - a suite with 2 double beds in the bedroom and a full size pull out sofa in the main room. There was plenty of room, the linens and bed spreads were clean and new, the bathroom very clean and modern. We had a microwave, small fridge with little freezer, and a sink and coffee maker in the kitchenette. There was a small table and two chairs in addition to the sitting area. There was a tv in both the bedroom and the sitting room. They gave us a complimentary cord to connect our laptop to the internet and there was no charge for the internet. My son forgot his toothbrush and called down and they sent us up two. There was a minimal continental breakfast served 7-10- coffee and decaf, tea and oj. Lots of sugary white breads - no bagels or whole wheat bread. Cottage cheese and assorted yogurts. Only steps away are plenty of great places for a more ambitious breakfast. The owner was very visible and greeted most of the breakfast patrons and let us know that the breakfast is entirely kosher.The fitness room is quite nice and the business center is very convenient.Our room had no view at all and was a bit dark. No overhead lights and it was hard for me to read comfortably, but that was my only problem in the room. Housekeepers, front desk and bellmen were all very friendly and helpful. I believe even the regular rooms have a microwave, coffee maker and fridge. I would be perfectly comfortable staying here anytime though I must admit I prefer staying at one of the hotels between 5th and 7th if they are available.	
Mar 18 2005	Nice hotel great location a couple of glitches	For $330 a night, one can't expect five star service in Manhattan; for that same $330, however, the San Carlos is a reasonable stay. The location is decent -- close to the 1-5-6 subway and a short walk to Rockefeller Plaza -- and the ambience is sleek. Though we had booked a regular room, we were upgraded to a suite at check-in. The suite was well-appointed, with a bar sink, microwave, and dining area in the anteroom. The bedroom was ample, as was the bathroom. There were, however, three issues that arose. First, our fifth-floor location on the street side meant a bit of noise from both the traffic and the nightclub across the street. Second, we had to wait to take showers, as we discovered no hot water flowing through the pipes; when I called to notify the front desk, the attendant apologized, claiming that the hotel was fully booked and they weren't prepared for the demand for showers. (I believe that this is the sort of planning that quality hotels are supposed to do, yes?) Finally, the front desk clerk who handled our check out was, to my tastes, unreasonably agressive in trying to sell us a private car ride to Newark Airport, using tactics that cast doubt on our &quot;quality&quot; as travelers / guests. In this, I was reminded how the attitude and behavior of even one staff member can cast a negative pall over an otherwise reasonable stay -- especially if this person's the last one with whom you have contact.	
Mar 13 2005	clean and uninspired	My wife and I entered the hotel hopeful that it would be as nice as it looked on line. It simply isn't. It's one of those hotels that seemed to have been designed fast with a formula in mind: lure customers with a neat website and then when they arrive, greet them with friendly desk clerks. The hotel felt empty, soul free, clean. The room we were shown to had lots of polyester, and a touch of Ikea. We left after fifteen minutes. With everything NY has to offer, this is one place to pass up.	
Jan 31 2005	Great Hotel	Beautiful hotel. Very Clean. Good location. Nice rooms - love the bathroom. Doorman was superb- Always offering help for various things. Internet lounge was great. Adequate Fitness facility. Would highly recomend this hotel.	
Jan 25 2005	Great Hotel But more for Business user!	Stayed at the San Carlos 8th December for 7 nights. Rooms very spacious and well equiped, even had a small cooking area with microwave, fridge etc. The hotel appeared to be full of business people so obviously populaur for them. Breakfast was included and was continental, dissapointing never had bagels in all the 7 breakfasts, same food each day, no variety... but hey if you want more there are loads of restaraunts and diners around. Could do with a bar / lounge to relax in after all the walking. Good hotel would stay again.	
Jan 22 2005	Eco-unfriendly plastic cutlery aside......	Eco-unfriendly plastic cutlery aside.... this was a great place to stay. I was in NYC for the marathon - it's a short walk down to the meeting point for runners outside the Library. The Chrysler Building and Grand Central Station are close, the subway stop is on the corner and you can even walk to the Guggenheim if you're feeling energetic. The rooms are great - clean, nice fittings, comfy bed, fridge, microwave, giant telly etc. Staff are very friendly and helpful and the breakfast was good enough - not great but hey, everything else was.	
Dec 23 2004	a littel underwhelmed	Just spent 4 nights in the San Carlos and while it was fine, very clean, nice decent sized room although very,very dark, I didn't really warm to it. The older check in clerk was nice and friendly but apart from that the staff were not . It is strange to be in a hotel that has no bar or no where to eat , you can't even get a cup of cofffe and sit in the lobby and that feels weird. I have stayed in 3 Summit Group hotels in the last year and this really didn't compare.	
Nov 27 2004	A gem in mid-town	Great location (near the subway) and a very friendly and accommodating staff. Well appointed rooms with amenities. No in-house restaurant, but a few of nice ones near by.If you're a light sleeper and going to be there on a Friday or Saturday night, ask for a room on the back side of the hotel as there is a night club across the street that's pretty busy and noisy until the wee hours of the mornings. Also lots of sirens and horn blowing all night long.	
Oct 24 2004	Wonderful vacation in NYC!	Took a well-deserved vacation in early October and was incredibly pleased with the San Carlos. I stayed in a one-bedroom suite for 9 days and I found the staff most gracious. Upon check-in, the person at reception was absolutely wonderful despite a hectic morning. When departing, a car was awaiting to take us to the airport, sparing us the sometimes dreadful taxi ride. Room was nicely decorated and quite spacious. Located in an area where just about everything is accessible 24 hours a day. I have plans to return to NYC and will most definitely be calling on the San Carlos!	
Oct 22 2004	Wonderful Honeymoon at the San Carlos	My husband and I arrived at the San Carlos in mid October 2004 for our honeymoon. When my husband told the lovely front desk clerk that it was our honeymoon, she upgraded us to a one-bedroom suite and sent us a complimentary basket of wine, chocolates, and savories, plus a handwritten note to congratulate us. What a lovely way to begin our vacation! The suite was beautifully furnished with modern pieces in gentle, neutral colors, and artwork was displayed amongst lovely lighting. It appears that their recent renovation was well worth it. The staff were friendly and very accommodating, they gave us great tips on restaurants and directions, and we felt very much at home in our suite. I highly recommend the San Carlos for it's incredible location, charm, and understated elegance.	
Oct 5 2004	GREAT	Just returned from a stay at The San Carlos, 10/04. Each member of the staff that we had contact with were friendly and very helpful. I would highly recommend you try it out.	
Sep 27 2004 	Great hotel	Just returned from a business trip that included a week at the San Carlos in NYC. The hotel is well located, the staff extremely friendly, and the rooms very large by NY standards. The microwave, fridge, and coffee maker are all appreciated additions. The price was right and the accommodations excellent. One suggestion however, check to see if the U.N. is in session during your stay. If so, security in and around the hotel is very tight and the surrounding streets can be closed resulting in difficulty getting a cab in or out of midtown East.	
Aug 30 2004	Nice Hotel	We chose this hotel based on Trip Advisor feedback. Pro's - separate fridge, microwave &amp; crockery for eating in. Complemantary NYT &amp; USA Today. Very friendly staff. Con's - small room for a quad (we were 2 adults 7 2 children). We got room with no view, but was quiet.	
Aug 27 2004	Great room friendly staff	Stayed here over Easter with the family and really enjoyed our stay. Rooms well equiped and large, staff friendly and location very convenient.Although the reception does not appear to grand and the breakfast is very basic.	
Jul 29 2004	Amazing hotel	The San Carlos is an amazing hotel. The price is so reasonable for midtown and the room was gorgeous. It was so roomy and really well taken care of. The staff was very helpful, and the doorman even helped us get a deal on a limo to take us to little italy. Highly recommended!	
Jul 29 2004	Paper cup plastic forks knives and plates in breakfast	The hotel has no cooker, no dishwasher, no drinks in stock... Consequence :- Simple continental breakfast (no eggs, no cold meat, ...)- Plastic cups, knives, forks, plates, ...- Like a Fast Food restaurant, once you had finished your breakfast, you had to clean your table yourself, and throw all the rubish and plastic place settings away in the two big dustbins that were placed nearby the basket of bread.- If you have drunk the bottle of water in your minibar, and want another bottle, you have to wait for the next day, because they have no provisions at the hotel.	
Jul 26 2004	a great hotel in NYC	This hotel greatly exceeded expectations. It underwent a renovation and wow, it looks wonderful. The location was great, the staff was great, and the rooms were great. I can not imagine anyone not being completely satisfied with the San Carlos. I lived and worked in NYC a year ago, and miss the city tremendously. I will definitely return to San Carlos for my next visit to NYC. Thank you for such a wonderful stay.	
Jul 8 2004	Loved it	A friend and I stayed at the San Carlos for four days this summer. The room and puiblic areas are beautifully appointed. Our room had a microwave and small refridgerator which was a real plus. The staff was unfailingly polite, helpful and available. The desk arranged for a car to take us to the airport. The location was excellent - we were be able to walk to and from Broadway as well as all over Manhatten. I look forward to staying there again.	
Jun 25 2004	Great Hotel in NYC San Carlos Hotel	After extensive searching on the internet, I found the perfect hotel for my first trip to NYC. The San Carlos Hotel is located in a great location, within walking distance to the theatre district, Times Square, Central Park and the Empire State Building. The staff is very accomodating and friendly and the rooms are nicely appointed. The sheets on the bed were very soft and welcoming after a long day. There is no restaurant in the hotel, but so many great choices within walking distance. The only things that would make the hotel better is if the it had a city view and if the continental breakfast were improved with more variety (got there at 9:00 and they were out of bread) but the comfort and coziniess of the room made up for those shortcomings. When I booked, I found the best price on the hotel's own website. However, if I would have booked a week or two earlier I could have gotten the room for $178 on orbitz. 	
Jun 22 2004	Another Satisfied Guest	Dear Readers,I had a wonderful time at this hotel in March 2004. It was my first time to NYC and the concierge was absolutly wonderful. They would actually draw my path on the map, reccomend all the palce close by to shop etc. They went above and beyond the call of duty. As for breakfast it was fine as well. They do specify that is continental, not buffet. (In response to one of the other reviewers) Location is great as well. 10 min walk from TS.I will definetly stay here next time I am in NYC	
Jun 21 2004	Loved the San Carlos	We stayed Saturday night at the San Carlos in order to visit my daughter living in NYC. The entire hotel recently unwent a total renovation and it has all been done in impeccable taste and very high quality. It is a moderately-sized hotel (18 floors) but has a pleasingly intimate feel. All the employees are very nice and the lobby and rooms are extremely comfortable. The location was perfect for us but the only drawback is that the hotel does not have a kitchen. Room service involves neighborhood restaurants. The complimentary breakfast on the first floor is very basic (and disappointing) with coffee, pastries, juice and yogurt. It is not in alignment with the sophistication that the hotel otherwise exhibits, it being a part of the worldwide Summit Hotel chain. The space where the restaurant is intended to be is awaiting a tennant to operate it. We would happily stay again, but we can't call it a full-service hotel.	
Jun 19 2004	Loved it!	Went to NYC with my my husband and two daughters. Searched high and low for a hotel to accomodate four. Wanted a good location and a decent size room. This hotel was excellent! The service was great. I'd stay there again tomorrow if I could. I highly recommend it.	
Jun 4 2004	Worked for me	Needed a 1 bedroom suite, to share with my Japanese guest. After reviewing many, and I mean many, hotels I decided on the San Carlos based on the favorable reviews. Wonderful experience. Good location, excellent staff. Very nicely appointed rooms. Very spacious, and well kept.The booking company I used, also highly recommended this hotel [their staff members had stayed here].	
Jun 3 2004	Great week in New York	A great family hotel. We shared a one bedroom suite with our two teenagers and everyone was happy. There was enough room to spread out and the kitchenette was great for snacks and breakfasts. Service was also terrific. The entire property is fresh and clean.	
May 24 2004	Plenty of space	After having used tripadvisor for researching other hotels in nyc, all the good reviews led me to the san carlos hotel. I booked the room for my family and I who were all visiting for my brother's graduation. We had a great experience. I was upgraded at no charge to a suite with a queen bed and pull-out sofa. The bed was great but the pull-out sofa wasn't so comfortable. We asked for extra towels and shampoo and was asked how many for each. They arrived quickly and with a smile. The Aveda products were the best and the bathrooms were spacious and clean. The living area in the suite was big and roomy as was the bedroom. The staff was pleasant from the front desk, bellhop, doorman and housekeeping. I would definitely stay here again. The location was also great with subway access nearby, coffee shop, restaurants and parking next door. Great place for a good price. 	
May 24 2004	Ideal location and property	Ideal location, - I was able to walk to every one of my appointments. It is a very friendly hotel with all you need for a business trip - free high speed internet, business centre (basic but 3 free PCs.), microwave fridge &amp; coffee machine in room. My room backed onto a light well - so no view but very quiet even with window open which is great for noisy New York. I would choose the quiet over the view.The breakfast was comprehensive for a continental tho cereal would be nice. Good size rooms and very friendly helpful staff.	
