	Is asking for a fish at a Kimpton that difficult a request???	First off the positive...a very short walk from Grand Central Station. Upon entering 70 Park Avenue I didn't get that &quot;Kimpton&quot; scent that all Kimptons have (sorry but I think Kimpton properties have a distinct fresh scent). The lobby and check-in area were very cramped and I felt claustophobic. Being a dog lover and purposesly staying at Kimptons because they are pet friendly, I found it odd that when I asked the front desk person if there were any dogs there that he didn't know and had to ask the front door man? As we were checking in I requested that a fish be brought to our room. Six hours later, still no fish, I placed phone call and was transferred to a manager's voicemail, where I politely left a message that we had requested a fish and would like one brought to our room which was on Wednesday. Upon check-out on Friday we never saw any fin friends in Room 709, which by the way I would never stay in again. This room was located right near the elevator and by a door that was used constantly by housekeeping staff and when opened or closed made it sound as if someone was knocking on our door. Apparently this hotel does not have housekeeping closets for storage. The whole three days we were there lined up in the hall right outside our room were various carts of towels, etc. The television in our room had serious malfunctions. We set the temperature in our room to 65, but it was a consistent 75?? We never used room service because I do not think any breakfast averaging $24 is worth it. The Silverleaf lounge did offer the customary Kimpton Happy Hour $5 drinks from 5-7 p.m. nightly. We were told there was live music in the lounge, but didn't hear it as it didn't start at the time it was advertized to. I do love Kimpton hotels, but will definitely stay at one of the other ones in NYC next time we are there.	
Jul 23 2006	Okay but not great	We just spent a weekend at 70ParkAve hotel and had a neutral experience. I booked on the hotel's own website for a &quot;hot nights&quot; package, and they insisted the only room they had was on the third floor - third floor is too noisy from the street below. It got quieter when we figured out that the window was out of it's track and got it closed more properly. The concierge steered us to a very mediocre restaurant that he discribed as &quot;terrific.&quot; The bathroom is good for one, but for two girls - very cramped. And the walls are thin. We had pretty good neighbors, but for a few loud moments that gave us a sense of what could have been. I think I will try a different hotel on my next quarterly visit to NYC.	
Jul 19 2006	first class	This is a no nonsence hotel where everyone from the door man to the cleaning person does their very best to make sure that you are pleased. I cant wait to go back to NY to stay at this Hotel.	
Jul 17 2006	another good kimpton experience	if a city i am travelling to has a kimpton hotel, i will usually stay there. i think that they provide a very consistent level of service for a reasonable price. my opinon was reaffirmed with a two night stay at 70 park avenue. i was travelling with my family and we had two rooms. one with a queen and one with two queens. for NYC rooms they had a decent amount of space, including a desk and big flat screen tv. the staff was very friendly and helpful with suggestions. 70 park ave is in a nice location to reach much of manhattan easily. unless you are willing to shell out $500+ per night, i think 70 park ave is a great choice in manhattan.	
Jul 10 2006 	Very Nice Boutique Hotel with a convenient quite location	I just got back from a one night stay on July 8, 2006. My experience was very good with the exception of the very noisy family that shared a door between our rooms. At this hotel, beware of sharing a door between your room and strangers. The kids were so loud that I thought they were playing in the hallway. At approximately 1:30am, I finally decided enough was enough and got up to ask my neighbors to keep it down. To my surprise, there was no one in the hallway. I then realized by the light that was shining underneath the 1-1 1/2 inch space between the floor and adjoining door, that the noise was coming from behind the door. I've stayed in plenty of rooms with adjoining doors but never experienced this before. I think maybe if there was carpet rather than tile flooring, the noise would not possibly have been so bad. It was too late for me to switch rooms so I just prayed that the noise would stop soon.The room I stayed in was nicely appointed and of average size by NYC standards. It was very clean. The bathroom is small if you're sharing but fine for one person. On another note, a good place for breakfast is the Moonstruck Cafe on 48th and Madison. It's only one block from the hotel. It has good, decent portions for low prices (at least low by NYC standards). The location is very nice because it's convenient to Times Square, the Theatre District, Bryant Park and lower Manhattan. I would stay here again.Hope this review helps someone else.	
Jun 2 2006 	A Delightful Oasis You'll be Sad to Leave	We stayed for a long weekend (Sat.-Mon.) on a trip that was a mix of business and pleasure. It was way too short. This hotel is tops in comfort and very convenient. It is in a great neighborhood of friendly people (yes, in New York). It is within walking distance of many New York landmarks. If you want to go further afield (as we did), the subway station is just a few blocks away. They thought of everything--even umbrellas and robes. And that's in the basic room. I've stayed in more expensive hotels in the U.S. and Europe that didn't begin to pay nearly as much attention to details. The hotel's long list of amenities doesn't begin to telll the story. It is the people who make this hotel and induce the most smiles. For example, as we were leaving one morning the doorman volunteered that it wasn't going to rain (despite the forecast)--and he was right! After working in marketing for over 20 years, I've become a little jaded. But this hotel impressed the socks off me. As a second-generation tightwad I can't believe I'm saying this, but it is well worth paying extra to stay here.	
May 24 2006	Great little hotel	Just got back from a 3 night stay at 70 Park Avenue....and I can only echo what every one else has said about this great little hotel. Friendly staff, the comfiest beds, plasma TVs, good location and these great little chargable candles called Candela which was good for creating a nice ambiance. Downsides would be the dark corridors, and the fact we asked for a room with a view - and although we got a corner room on the 3rd floor [that is the 2nd floor to the Brits] so we could see Park and 38th - we saw it from the height of the traffic lights - and it was rather noisy at night!For breakfast we walked down two blocks to 3rd and 38th and went to Daniels' Bagels for apparenlty the best bagels and cream cheese in town! Would recommend and stay here again.	
May 12 2006 	You want to feel welcome in New York ? Go to the 70 Park Avenue Hotel !	After a long trip (8 1/2 hour flight plus the bus trip into the city), the friendly staff with smiling faces was a real sight for sore eyes ! I had reservations for a smoking room, but had also asked for a Park Avenue view (I did not want to face a dark alley in the back). The staff convinced me that the only available smoking room was not as nice as the Junior Suite which I had reserved and since they had tables in front of the hotel where smoking was permitted, I took their advice.The room was very large (and not only by New York standards). There were fluffy bathrobes, fluffy towels, great shampoo and body lotions and the largest bathtub/Jacuzzi I’ve ever seen in a New York hotel ! And I will not forget to mention the flat-screen TV, the cotton-sheets, plumb pillows and extremely comfortable mattress.This hotel more than deserves it’s 4 stars , even though the hallways are a bit dark and dinghy and the doors could use some paint. The lobby is small, but who wants to spent time there, there was free coffee in the morning, a free New York Times and apples for grabs in the lobby.The bar/restaurant was under renovation, but drinks and breakfast were available and the weather was nice enough to just grab a coffee and sit outside (there is a Starbucks 3 doors down, in case you want breakfast before 7.00 am).Having lived in New York, I knew that Park Avenue is very quiet at night and although there is the usual New York traffic all day long, you can sleep with the windows open at night.A great place and well worth the money ( I did not get much of a special rate, having booked at the last minute) - all things considered, the 400 $ were very well spent and I would definitely stay there again.	
Apr 17 2006	70 PA: excellent and under-rated	Stayed here from 7 until 11 April, having picked it up for $195/night with Priceline, but with a little apprehension given some of the reviews posted here. But enjoyed a splendid time: great location, a couple of streets from Grand Central, but without quite the frenzy of hotels off, say, 5th/6th Avenues; enormously welcoming staff, in particular concierge John who could hardly do enough for guests; and terrific rooms, with extraordinary - to my eyes - 42&quot; plasma TVs, very comfortable beds, and adequately sized bathrooms. Street noise from Park Avenue was minimal while there were no interruptions from adjoining rooms or the corridor. Having stayed previously at the Sofitel, Bryant Park, Barclay Inter-Continental, Hilton 6th Avenue, Chelsea, and Algonquin, I'd put this near the top of that list, probably in a tie with the wonderful Sofitel. And for $195/night ....!	
Apr 14 2006	Loved 70 Park Avenue	Four of us just got home from a six night stay at 70 Park Avenue and and we were all thoroughly pleased. The location was convienent and quite. The rooms were clean,the bed comfy and we loved the flat screen TV. The staff was exceptionally professional, at the same time very friendly and helpful. I would most defiently recommend the 70 Park Avenue Hotel, and would stay there again on a return trip.	
Apr 2 2006	Good time at 70 Park	Recently dropped into NYC for a one night visit and stayed at 70 Park Ave. We were traveling with our two dogs and selected this hotel because they are pet-friendly and also were located close to the activities that we had planned for our trip. We were upgraded to a room at the end of the hallway and the room was very large, clean and beautifully decorated. The flat screen TV was a definite plus as we wanted to catch some of the Final Four action. The bathroom was surprisingly large as well - we weren't expecting much especially after reading some of the other reviews. Our room was facing Park Avenue and we didn't hear a lot of noise when the windows were shut. However, it was warm in the building (apparently, they hadn't turned on the bldg AC) so we had the windows open for part of the evening. You can definitely hear some street noise but it wasn't anything that would keep you up all night. Plus the beds are so comfy, it's hard to get a good night's sleep here. Overall, we had a great time. Service was excellent and will definitely come back again.	
Mar 6 2006	Will definitely go back	Like a lot of other readers here, i wasn't sure what to expect at the 70 Park Avenue after reading some good and some bad reviews. I can honestly say that I'm very happy that I didn't let the bad reviews change my mind about staying here, as from the moment we walked through the doors we were very well looked after. We stayed in a King Deluxe room so cannot comment on other room types but our room was beautifully decorated, spotlessly clean and tidy. I admit the bathrooms are a bit on the small side, but more than adequate. The bed was possibly the most comfortable bed that I've ever slept in. On our first night there we were tired after our flight so decided not to go too far, and we ended up dining in the Silverleaf Tavern which is inside the hotel, and this was probably the most enjoyable meal we had during our 5 nights in New York, for anybody dining there i can definitely recommend the pork.Overall I would recommend this hotel to every person going to New York, ok, so it is not on Times Square like so many hotels, but it is literally just a 10 minute walk around the corner to all of the action in one direction and 10 minutes in the other direction you are at the Empire States Building, and its nice quiet Park Avenue location makes it seem like a world away from the hectic Times Square area.	
Feb 20 2006 	Great - if a little pricey...	I had a terrific stay at 70 Pk Avenue. As I was alone, I opted for a smaller bed and therefore slightly cheaper room, and was rewarded with a huge bathroom! A colleague had the king size bed, but a tiny bathroom, so it's worth checking what you get in advance. Overall tho, a really good stay.	
Jan 19 2006 	One to avoid	I stayed at this hotel because my favourite hotel (The Regency) was booked out for part of my trip. The first room I was given had a very noisy a/c system outside the window and as a result I barely slept on the first night. I was moved to another room which was much better but both room were very small.The standard of maid service was very poor, the room didn't get properly cleaned. The staff on the front desk were not very helpful and would basically ignore me if they were dealing with somebody else - no acknowledgement I was waiting or 'I'll be with you soon' type comments.I had a safety deposit box which they would bring out and place on the front desk, no privacy at all. I really don't like having to go through my safety deposit box so publicly.I regretted staying at this hotel and wouldn't do so again.	
Jan 16 2006	It depends on the room!	I am always curious when hotels are either rated one dot or 5 dots - but not in between. I had a $200 Kimpton gift certificate that I wanted to cash in. I have always had good experiences with other Kimpton properties, but was a bit hesitant after reading the one dot reviews. After staying at 70 Park Avenue, I now understand the point spread - it depends on the room you have. My partner and I had a stroke of luck. We were assigned room 902. The bellman mistakenly took us to room 910 - we did not look at the number on the door, and maid was just leaving so we did not use the pass key. The room was great. Clean, well decorated, large by NYC standards, nice plasma TV - directly in front of the bed, OK size bathroom and nice French products. We loved the room! This was the first time in my many visits to NYC that I wanted spend time in the room. The room faced Park Avenue and was bit noisy, but great! We returned to the room after lunch and the key did not work. We checked the key envelope and realized we were in the wrong room. We went to room 902 and the key card worked. What a difference! 902 was small, window faced a wall, and the TV was not in front of the bed, but to the side (would have been impossible to watch from bed.) Fortunately, management let us keep the first room. I can now understand why some people hate this hotel and others love - we would not have been as pleased if we were in the small room. When making a reservation, ask for a room that faces Park Avenue - its worth putting up with the street noise for such a nice room. Service was good, wine reception nice, guests and staff very friendly. Want to go back. Only paid $225/night with a special &quot;hot rate&quot; listed on the Kimpton web page.	
Dec 17 2005 	Will never return	Have stayed at this hotel several times on business and pleasure. Will never, ever go back. First time, my room door didn't close and lock without repeated slamming. Another time, a/c was broken, rooms were unbearably hot, we were refused service in the restaurant, which was empty, because we did not plan to order full dinners, TV in room was broken, staff was rude, laundry trolleys in the hall, 4ÅM fire drill...Another time, the heat was on even though it was in the 70's outside, front desk staff promised I would have a window a/c then gave me a room with none and temperature of 80. Staff was consistently rude and pretentious. Room was not clean (bath had a jaccuzzi and black gunk came out of the jets). Others I've spoken to have told of exposed electrical wiring with water dripping from it. For the prices and the pretension, I expect much more.	
Nov 16 2005	Depend want you want!	First the hotel was very clean, nice &quot;as you can drink&quot; welcome wine (between 17h &amp; 18h30 at least friday and saturday). We got a room on the 8th floor with view a brick wall and into an other room!. Room is ok in term of size but the bathroom is extremely small, not even a regular bath. Ok I don't go to NYC for my hotel bathroom but if you travel with your wife and would like to add a romance touch by taking a bath: Forget it!So if you need just a room to get sleep because you will be walking all day, that is perfect. Well located. Again, very clean. But if you want to be in the hyp NYC, pass on.We paid 350$ a night (kind of last minute trip, didn't not help, I guess). For that price, I would have expected to be in a Design hotel... but not in NYC it seem...Plus, we paid 42$ each night for parking valet and guess what, they brought back my car with a 12&quot; inches white scratch on the passenger door. They says that the garage will pay for it... Still pending news!It is always the same thing: is it good or not? And it always come back to the same basic : What are you looking for? Maybe the last factor is how much you paid! For my next trip, I would try somethiong else, I will look for more design Hotel...	
Oct 28 2005	Room on the small side but comfortable	Stayed there in august. For being so hot outside the room was actually a nice relief from the heat. Although they were a little on the small side, it was inviting and accommodating. Service was nice, very personable.	
Sep 22 2005 	I'll stay here every time I come to NY	As a female business traveler who's sampled several hotels in NY, I truly appreciated this rare find--a bright, light, clean, well-situated but not hugely expensive hotel where I felt safe and pampered. Great neighborhood, spotless room, friendly staff with good recommendations for local eateries (there's a restaurant, but I didn't try it--I wanted good pizza). Rooms are small (typical NY) but well-thought-out; there's plenty of light for working or reading; nice flat-panel tv. I had a room on the 3rd floor, so there was lots of street/traffic noise, which doesn't bother me, but might bother others; I never heard another guest. Other reviewers have noted the odd placement of the toilet next to a radiator of some sort, so you have to turn a little sideways because there's no leg clearance on your right, but other than that, I had no complaints. Bed was literally the best I've ever slept in in a hotel--the linens were nice and the mattress was dreamy.	
Sep 11 2005	Happy with Kimpton	We've stayed in Kimpton hotels in Boston and San Francisco and enjoyed the boutique feel and warm touches unique to Kimpton such as the wine tastings, massage in San Francisco.I have to say, during this trip I must have called to modify our stay no less than 10 times. There was an illness in the family and things were up in the air. Each and every time the representative I spoke to was professional, helpful and even thoughtful. With all the changes I'd made there certainly would be room for error, but no, we were able to check in early - the room was as I requested (away from the elevator on a higher floor). Quiet is kind of hard to come by, it is Manhattan. And we'd much rather have a view and a little noise.Love the comfy, soft, inviting bedding. Robes are a great extra, and I loved the Thymes products in the bathroom. Color scheme is sophisticated throughout the newly renovated hotel.Everyone we encountered at the hotel was professional and curteous, even friendly. Room service for breakfast was efficient and tasty. Retrieving the car took the amount of time the bellman said it would. Concierge made a dinner reservation promptly for us. Bellman always had a smile.Yes, the rooms are small - but for the time we were in the room, it didn't matter.We'll definitely stay at Kimpton again.	
Sep 3 2005 	Extremely Disappointing	Although we do appreciate that in New York hotel rooms are sometimes on the small side, but here the room size was ridiculously small! My husband had to turn sideways just to enter the bathroom, and even then only one person could just about stand to use the facilities. My husband actually injured his back having to negotiate the wardrobe and the bathroom. The hallway was very dark and often blocked with laundry trolleys, which again had to be negotiated to get into and out of the room. We did ask to be moved, but were told there were no other rooms available unless we wanted to pay a lot more money to upgrade. We expected more from what we thought was a 4* hotel! We would not stay in this hotel again, or recommend it.	
Aug 5 2005	Quaint Hotel Great Location Very Nice Stay	I just returned from a 4 night leisurely trip to NYC. The trip turned out to be wonderful because the weather was great and we had plenty of time to see everything we planned.The hotel was above average. I was very pleased with its location, which was on Park Avenue and 38th street. Upon leaving the hotel lobby, you can look up Park Avenue and see the Grand Central Station facade and the Met Life building. There is a starbucks on 39th Street one block up Park, which we went to every night as our nightly walk. We were too exhausted to go much further than that :) Our hotel room was quite small, but very quaint with lots of nice details. For example, in the bathroom, the toiletries were above average, the fixtures were very nice, the shower had great tiling and good water pressure and there were plenty of mirrors. A hair dryer and iron were provided in the room, which is pretty important to my wife and I. We hate packing that kind of stuff. The robes in the closet were very thick and cozy. I am not a robe person, but I wore this one every night. The bed at 70 park was wonderful. It had a huge body pillow, which was unique to us. The down pillows, comforter and blanket were sooo comfortable. It made it very easy to fall asleep after a long day of sightseeing. There was also a full size mirror (huge) on one of the walls, which we dont normally see in our hotel rooms. The only cons: The plasma surround sound system did not work very well. The sound kept crackling and the volume would vary loud to soft as you flipped through the stations. It seemed like each station had its own volume control. Inside and outside the hotel was a little noisy. The housekeeping staff was constantly slamming doors as they went in and out of rooms and linen closets. Outside you heard the typical blaring horns even though we were on the 15th floor. Some reviews on this site mentioned the toilet being flush against the radiator. Not in our room. We had no issue with this at all (room 1504). Another con is that they should add one more computer for guests to use. However, the whole hotel is Wi-Fi although we didnt have our laptop to take advantage of it.The staff was very friendly as we came and went from the hotel and the concierge helped us on a couple of different occassions. He recommended a good restaurant and Century 21 for shopping by the Trade Center site. The hotel held our bags for a couple hours on our last day because our flight was at 6pm. Also, our room was ready 2 hours before check-in, which was a pleasant surprise. We were anticipating having to wait. Many more pluses than minuses. I would highly recommend this hotel if you can get a good rate like we did (through Orbitz).	
Aug 4 2005	Nice neighborhood okay room	First time in NY - was expecting a small room, but ours was very small with no drawer space (one drawer) and an okay-sized closet (there were about 10 wooden hangers in the closet, an ironing board and iron, and a safe). The bathroom was decent-sized, had good toiletries, and a shower with great water pressure and temp. It was HOT while we were there, and our A/C did not work well, but cooled the room off to probably 75-80 degrees (it was in the low-mid 90s during our stay). The plasma TV was great (there was NO room for a regular TV), and the bed and linens were very comfortable. Our friends had a room with two single/double beds and was much larger than ours (we had a &quot;queen&quot; bed). Loved the neighborhood - great pizza and breakfast a couple of blocks away, and good shopping as well. It was about a 10-minute walk to Times Square - I liked being out of the main hustle and bustle, but able to walk there easily. The concierge was very helpful, liked the wine tasting in the late afternoon, and the bar made an excellent cosmo. We ate at the restaurant the first evening, and the food was very good. The hotel also has 24-hour room service, which came in handy after a long evening out. The service was very good, always someone helpful at the front desk, two computers to use in the lobby, and everyone was very friendly.I would stay again if I got a good rate - would definitely stay in the Murray Hill area again. Can't wait to go back to NYC - we had a wonderful time!!	
Jul 25 2005	Good 3.5 star boutique	First, the pros - the lobby and rooms are decorated nicely, minimalist/modern/european styling and comfortable. The rooms are decent size by New York standards, but you're not going to be able to throw a party in them. There wasn't a dresser, the a decent sized armoire. The bathroom was large and well stocked. The bed was comfortable. Everything was very clean. And this was the first hotel I stayed in that had a plasma screen TV, very nice.Second, the cons - The hallways are narrow and dim, but its an old building so that's forgivable. The rooms are a bit rough around the edges, some scrapes, rough trim work, etc. The service, overall, was sporadic - sometimes the door was opened, sometimes it wasn't, sometimes there were bell hops around, sometimes there weren't, sometimes I waited at the front desk for awhile (at check in), sometimes they helped me with things right away. Finally, one of two elevators broke down Saturday evening and they didn't get it repaired before checkout on Sunday. There was a 20 minute plus wait to get down from the 17th floor Sunday around noon - not good when you've somewhere to be, like the airport. This won't happen all the time, but it is a boutique hotel in an old building, so things like that will happen.Overall the pros outweight the cons - it's a solid 3.5 star boutique - if you can get a good price, its worth it over many 3 star hotels in NYC. I would stay here again.	
Jul 24 2005	Comfortable stay.	Overall we enjoyed our stay very much. Staff were fine and although room is quite small it was very comfortable. On the downside was the sliding bathroom door which was very difficult to use, lack of storage and our room was next to the linen store which led to us getting woken too early every morning. Excellent location, bed and TV. Never used the restaurant as it appeared a bit on the pretentious side. Would definately stay again.	
Jul 19 2005	Overall a decent hotel	Having booked this hotel through Priceline, I was a bit worried after reading some of the reviews here. Overall, I was pleased with our stay, but do acknowledge some of the complaints here. First, other writers were indeed accurate about the toilet (right next to the heater) and the closets (very small). I would also argue that it is not a four star hotel, but a three star. Given what we paid on Priceline, I feel we got a good deal for a three star. If I had paid full price for our King Deluxe room, it would have felt overpriced. Our room was also a bit noisy, we could hear street noise on our 15th floor. However, it was not that much of a problem. We also had no problem with our air conditioning, and the bed was extremely comfortable.I do disagree with other raters about the staff, the cleanliness, and the room size. We found the staff to be very friendly and helpful. We also saw no evidence of dirt or of dirty room service dishes. The hotel and our room were spotless. Our room was also a reasonable size for a NYC hotel. I have stayed in much smaller rooms in NYC, so I was happy with ours. We did have a king deluxe, having asked for an upgrade, so I can't speak to the size of the standard room. Overall, it was a good deal for the price we paid. We would stay there again.	
Jul 7 2005	Not impressed: Nice but too Small	Awesome service but too expensive, considering the fact that, other than the bar, there's no activities at the hotel and the rooms are very small without even mention the size of the bathrooms. And even though it was nice and clean and coveniently located we had some trouble with the A/C. It was too hot and the temperature couldn't adjusted without help.	
Jul 2 2005	Bad to Great Depending on Room	Kimpton reservation agent treated us badly when I called to request a double bed and no-smoking, she said that they don't note those requests for people who booked through Priceline. She said we would have to take what was left at check-in time. She would not even make a note of our late arrival and said I would have to hang up and call the hotel directly, that she could not transfer us. All lies...The next agent I spoke to was happy to make all those notes and even transfered the call to the hotel. Our first room had noisy machinary outside the window (noise 24 hr/day), the sound on the TV kept going out, and the air conditioning did not work. When the room temp. went over 85 degrees we finally were moved to another room. They sent a bellman to help but he had a poor attitude. The new room was noise free, comfy, and everything worked. At check-out they asked us how our stay was and when we expressed displeasure over our first room, the snotty reply was that we should be thankful for the upgrade we got to the second room. So...the basic rooms are terrible, the upgraded ones are good but too expensive for what you end up with.	
Jun 22 2005	What a disappointment - do not recommend!	We booked this hotel (through priceline) as a 4 star hotel. I have no idea who gave the hotel this rating or why. With due respect to other reviewers, the fact that the bathroom has a villeroy &amp; boch sink and glass tiles does not make a 4 star hotel - particularly when the shower is full of black mold/mildew and the bedding is shabby. The 1st day of our stay we had a trickle of hot water, by morning, we had no water at all. In addition, the A/C was woefully inadequate. After 12 hours with no water, they finally told us that we could &quot;use the bathroom&quot; in the room next to us. Finally, they agreed that we could move to another room (did not offer to help us move, and in fact, required that we go downstairs to exchange room keys). The 2nd room was even smaller than the first, and yes, it is true that the bathrooms are so small that you have to sit sideways to use the commode. The wall heater is right next to toilet - I also wondered what would have happened if it was winter and we were in this room. The housekeeping services were atrocious, they did not clean our room at all for the 1st 24 hours. Dirty room service dishes sat in the hallway for 2 days! Also vacuums, cleaning carts, etc. were left in the hallway all day and night. The hallways were already very cramped so it was a challenge to get to your room, especially with luggage. This hotel did not live up to the promise of 4 star service, and yes, it is very noisy although there was no construction going on at the time of our visit. I would definitely NOT recommend this hotel. The one exception to our bad experience was the concierge who gave us excellent advice about restaurants in chinatown.	
Jun 8 2005 	It's ok no more no less	First; I'm not a demanding customer. This hotel is ok; staff are quite friendly and the location is ok, great TVs in the room but the room cleaning wasn't up to scratch. I wouldn't avoid this hotel in the future but I wouldn't go out of my way to stay there again.	
Jun 7 2005	We checked in checked it out then left!	After seeing the photos, hearing what all of you had to say &amp; even seeing this hotel in Conde Nasts &quot;best&quot; list recently, we felt confident in making this our home for 3 nights recently. One of us even went to the trouble of calling the hotel directly &amp; asking manyquestions ie: room size, view, bathroom, possible packages &amp; so on. We have also learned, like many of you experienced travelers, to check the room before commiting &amp; we did. The room (the same one you see on this site) was large, but there was no view of the Empire State building as promised. There is a view of the street. My boyfriend was promised a jacuzzi tub with a view of the Empire State Building, which I had to see to believe. Just a regular tub &amp; a tiled bathroom. Nice, but nothing fantastic about it. All in all, we both sighed &amp; realized that again we had been promised something really special &amp; found it so, so. We debated &amp; figured that at 425.00 a night we could do better. We went to the Omni, found it older &amp; even less desirable. We walked &amp; looked &amp; low &amp; behold found a Jolly poperty right around the corner that had several rooms (this was at check out time~we lucked out) &amp; found a jr. suite that had a large marble bath &amp; glassed in shower, 2 sinks &amp; even a bidet. We booked a full suite at the Waldorf for the rest of the trip &amp; I can't tell you how fabulously spoiled I felt. The room service was impeccable &amp; there is more room than you know what to do with (with 5 large rooms all to your own~you'll feel like a rock star, or at least someone really important) &amp; we had a corner of Park Ave. all to our own! The upshot? Upgrade, your worth it!	
Jun 4 2005	Beautiful Hotel!	Everything about this hotel was amazing! The rooms were beautifully decorated and cozy. There was a flat screen tv! Amazing! The staff were the most polite staff I've ever encountered. I do a lot of traveling and was very pleased. The location is perfect. I am trying to think of a bad thing to say......but, there isn't a thing.	
May 27 2005	Great Hotel!	I took a trip to NYC last month to ask my girlfriend to marry me, and we stayed at the Hotel 70 Park Avenue. The location was great (a few blocks from Grand Central), the room was beautiful, and the staff were very friendly and helpful. If you're at a loss for where to have a meal, I'd highly recommend the hotel's concierge. Knowing I was going to ask my girl to marry me after a showing of Avenue Q during a carriage ride in Central Park, I wasn't sure what a good restaurant in the area would be, so the concierge found out how long our show was and took care of reservations for two at a very romantic restaurant near the theatre district. Very helpful! And yes, we got engaged.My only complaint would be that the sound on the TV kept going down to nothing for no apparent reason at random intervals, but that was minor compared to all of the other great things at 70 Park.	
May 24 2005 	Only Great Things To Say!	We stayed at 70 Park Avenue for 3 nights in May, 2005. Although very small, we have no complaints at all. We had a &quot;King Deluxe&quot; room and found we were on top of each other as it was small. The bed was super comfortable! The sheets are a high thread count of cotton and had a down comforter. But the mattress was also so soft! Our room was spotless and we enjoyed the toiletries, including the lip balm! We also enjoyed the flat screen TV and the DVD player. Our service was excellent and the front desk staff was always friendly and willing to answer any questions we had. The bell staff was also helpful, knew the area and offered help when we needed directions, etc. Would for sure reccommend staying there but if there's more than 2 people, get a bigger room!	
May 22 2005 	Both sides are right	My wife and I had business in Manhatten and I picked the 70 Park Avenue because of its great location and the many positive reviews on Tripadvisor. I did notice the negative reviews, and had some reservations, but went for it. My experience during May 2005 was that both the postive and the negative comments were right. The good news: the staff is very courteous, knowledgeable and helpful. Ask for something and it happens right now. Even the bellman gave us a great recommendation for dinner. The rooms are appointed tastefully, with feather beds, Villeroy and Boch sinks, glass tiled showers and hugh flat-panel TVs with sound systems. The bad news: the rooms are small and noisy. The latter is common in Manhatten because of traffic noise in the concrete canyons. But, at 39th and Park Ave. it is very noisy indeed because of some sort of road excavation that the city has covered with huge metal plates. CLANG every time a bus or truck goes by. Room 1005, our first, was a corner room in which this was unbearable. In addition, that room was so small as to be unmanageable for two. The closet, for example, consisted of an 18 inch wide opening. The bath room was so small that the toilet was flush against a wall heater so that one had to sit sideways on it. Not sure how that would work with the heater on. We requested a room change which was accomplished while we were out. Room 1216, two and one-half floors up (yes), was bigger, had an adequate armoire and a bathroom which, while not spacious, was big enough for use. Although quieter, we still heard the CLANG in the night. I like the Kimpton chain, but as I have said in other Tripadvisor reviews, not all Kimptons are created equal. We won't go back the the 70 Park Avenue. But, after New York, we went the Washington and stayed at the Monaco which was about as good as it gets.	
May 21 2005 	Excellent location great staff.	Great things about this hotel: the staff were friendly, efficient and capable - nothing was too much trouble - and everyone I met smiled and said hello. Travelling as a single woman I felt completely safe. The room was spotless, definitely large by NYC standards and there were several nice touches - plasma screen, DVD player. The bed was very comfortable. Food - good. I ordered room service which was prompt and, again, very friendly. The location is also a plus with subways and taxis close by.Now the not so great - there was some heavy working/drilling/street noise in the morning. I don't mind the sound of traffic or even the ubiquitous honking cabs (you are in New York after all), but the extremely loud drilling was not very pleasant. This isn't really the hotel's fault - and you when you're in New York you probably won't be in your room too much anyway.All things considered I would definitely stay here again - the rooms are comfortable, the location is perfect and the staff go out of their way to ensure that you are welcomed and looked after.	
May 19 2005	No complaints here! Great place to stay!	I am shocked that there are any bad reviews on this hotel at all. When reading reviews keep in mind that sometimes a one time mistake or construction on the street is not always the hotels fault. It is a nice little boutique hotel in Murray Hill. In a very quiet area of NYC, but close to many attractions. The room was extremely comfortable with a GREAT flat screen TV. All the hotel staff was very helpful. There is a wine hour with complimentary wine. Not sure if it is every night or on the weekends. The lobby is small but cute. It has a fireplace and a table where everyone seems to hang out with thier laptops. Free internet access at this hotel. We had drinks at the bar. I bit pricey, but typical of hotel bars. We really enjoyed our stay and highly recommend this hotel.	
May 4 2005	Avoid - Stay In the W Tuscany	Checked out after three nights of a planned 5 night stay. Things started to go wrong at check in. The Kimpton website offers free upgrades subject to availability, but at check in we were told there was no upgrade available. When we queried this we were told we could have one for $40 a night. Eventually we were offered the free upgrade but the room (a so called premier one) was still very small and the bathroom even smaller. Moreover, there was a tiny amount of cupboard space and we had to live out of our suitcase.While the room was clean and the flat screen TV nice, the common parts of the hotel were very shabby. After one decent nights sleep, City Hall then decided to dig up a water main in the street right outside our room until 3 am! We asked for a change of room the next night but was assured by the hotel staff that the drilling work would be over. That night the work continued until 12am. Checked out the next day and we were told that for our lack of 2 nights sleep the hotel would not charge an early departure fee. No offer to reduce the room rate was made. Finally, on checking our bill we found out that we had been charged over $120 for two overseas phone calls, despite having checked the phone rate with the hotel operator before hand, who had wrongly quoted us the local call rate. Given that we had our mobiles on us and could have used them this was particularly annoying. Moved to the W Tuscany (on the next block) which for the same rate was much much better. Great rooms, good service and far more stylish. If you are staying in mid town avoid the Kimpton and stay in the W Tuscany.	
