	Clean and friendly	I arrived in New York by train and the hotel is located only a couple blocks from Penn Station, so the location was convenient. The price was reasonable for staying in the city. The room was clean (always my top priority).The front desk staff was very friendly. Breakfast was included with the room and included a buffet with cereal, fruit, bread, pastries, coffee, eggs, etc. It was busy during the breakfast rush, but I had no problem finding a table. The wireless was free and worked great in my room.My only complaint is the noise level in the room. I could hear everything in the hallway. My neighbor was in and out of her room all night and I could hear the door open and slam shut every time.	
Jun 19 2007 	Good location good clean hotel	Small hotel in the centre of New York. The rooms are a bit small, but very clean and well maintained - bathroom clean with lots of clean white fluffy towels. The reception staff were very helpful and friendly. My 20 year old son and I spent 5 nights there in a queen double which was very tight on space round the beds. But we didn't go to New York to spend all our time in our hotel room - we wanted to see the sights and the hotel suited our needs. The complimentary breakfast was good and you could eat as much as you wanted witih lots of fresh coffee, fresh fruit salad as well as hot food. I thought the prices were a bit expensive, but I would go back there again because of it's location and cleanliness. Macy's is just a short walk away and subway and buses nearby - you can walk to Times Square and Empire State building. Good internet 'business centre' in the basement with printing facilities. I thought the area was very safe and would definitely stay there again.	
Jun 15 2007 	fantastic location and breakfast	We stayed at the Holiday Inn Express for 6 nights while visiting New York. We actually picked this hotel after reading the reviews on travel advisor. The hotel is perfectly positioned for all the tourist landmarks - Madison Sq, Empire State and Macys. Handy for the subway and just very easy to navigate from. First night we were booked into a ground floor room which unfortunately was near the kitchens and not far from the lifts. Being near the lifts meant the room was bit noisy and as they started breakfast early we were awoken early. So we asked to move - no problem. Next room on 9th floor was perfect - very quiet. The rooms are smallish but very adequate especially as we thought the room rate for New York was very reasonable. The inclusive breakfast was absolute bliss. The breakfast room can seem crowded but if you are patient you will get a table. Everything you could want for breakfast and more was available.Coffee is available in the lobby all the time as well. Staff were extremely helpful. We had a fantastic holiday helped by staying in the right hotel!	
Jun 11 2007 	NIce Stay	I just returned from NYC. I stayed at the Holiday Inn Express for the first time after many hours researching different Hotels in Manhattan. I got a fair rate of $239.00 USI stayed from June 2-7/07.The hotel staff is friendly,the hotel is nice and new.The free hot/cold breakfast is an awesome way to start any day exploring NYC.The free wireless internet was nice but kindda slow.I found the area of 1-2 blocks around the Hotel to bit a bit seedy, I was not prepared to walk alone at night. Once you get beyond the Hotel I felt safer amongst more people.The housekeeping staff leave things like bags of towels and vacuums and carts in the hallways, quite an eyesore and clumsy to get around.My room was small, extremely small but that was okay since it was just the two of us, and I prefer clean over a large room any day. I did'nt really sleep well any night, the ice machine and doors closing and people in the hallways kept waking us up. I recommend wax earplugs.I would consider staying here again if the price were right, and maybe if I were as far away from the ice machine as possible.	
Jun 10 2007	Good value but not a must return	We stayed here at May 31 - June 3. We had a room on the 11th floor that was comfortable and clean. I would be willing to return here for a good rate, but would probably consider other lodging first. The hotel was very full all weekend, which made the elevators slow, breakfast crowded, etc.. Despite the crowds, we didn't have many noise problems. Slamming doors were definitely audible and I imagine noise could be a problem depending on your neighbors. Everyone raves about the breakfast, but I'm not so impressed. The hot foods are barely palatable; the &quot;coffee&quot; is brown water. I did appreciate the fresh fruit and yogurt though. And I also appreciated having beverages available at any time of the day. Location: a very convenient location for sightseeing, but definitely a business district that slows down, as much as NYC ever does, after hours. One last thing: we were told that some aircon units in the building were not operational; being a newly opened hotel, they had just become aware of the problem and were in the process of replacing the faulty units. Fortunately, ours worked, but I overheard complaints from people in rooms without working aircon.	
Jun 8 2007 	Nice enough	Brand new facility in great shape! Rooms are a little small but well furnished and very comfortable. I stayed here for 3 nights. On one of the nights a nightclub behind the hotel pumped the bass until 5:00am making it impossible to sleep. I reported this to the front desk, they were aware of the problem and said they had contacted the authorities and the club's owners but have not been able to agree to anything. I give the hotel credit for trying to remedy the situation. The hotel said that normally they would relocate me to another room however they were fully booked. The hotel delivered extra pillows and kind apologies to me. The other two nights were very restful. The location is good if you want to explore Chelsea or the Garment District. The closest subway is the #1 at 28th Street. Penn Station is about two blocks away, I schlepped my luggage from there which was difficult but practical. I would recommend this hotel but be careful of room assignment. I think I higher floor or another room in the building would have provided relief from the club noise.	
Jun 3 2007 	Great Hotel	Overall it is a very nice and clean hotel, front desk is friendly and they accommodated all my request.My deal was about $200 per night and I think it is really a good deal if it is for a group of 4 traveling in Manhattan. Book it earlier and it should be a bit cheaper.A credit to the breakfast, different things everyday and many choices. better than any other roadside Holiday Inn Express I had stayed before.Also they have snacks provided during the day, and drinks for anytime...	
May 29 2007 	Great hotel!	just spent 4 nights at this hotel on a weekend break with a friend and it was ideal for our needs. rooms are quite small but not a problem and from what i read about other hotels this is the norm for new york! bonus is that hotel has only been open for six months meaning that everything is clean and new. we had booked a non-smoking twin with two double beds. we ended up in a smoking room as we wanted to check in early - this was fine and even though the corridor smelt slightly of smoke the room did not. beds were comfy and room had air conditioning which was very welcome considering it was in the 80's F during the night and in the 90's in the daytimes! iron and ironing board and coffee maker in room too which was added bonus. bathroom has bath and good powerful shower. clean towels every day and bed sheets changed every few days. free breakfast was a big bonus - although get there early if you want a bagel...they seem to go very quickly!! good selection - cereal, toast, bagels, fruit teas, eggs, bacon, fruit, yoghurt - eat as much as you want! it does get very busy so be prepared to take-out or back to your room if you can't get a table. free internet available in the business centre downstairs. also there is a terrace somewhere in the hotel - we didn;t have time to investigate though. location is very handy - very close to Penn station and madison square garden and a few minutes walk to Macy's. easy for Times Square and Empire State Building (which we could see from our window!)all in all everything you would expect from a holiday inn express plus a little bit more. very helpful staff and great location made our stay a great one - i will be going back soon!	
May 28 2007 	Okay at best.	I stayed at this hotel from May 23 - May 27, and it was okay at best. The rooms are small, but that's not a problem considering we only slept in them. The major problem was the faulty air conditioners. Our room stayed at 80 degrees all day despite sitting the thermometer at 60 degrees. At first we thought it was a broken unit, so we switched rooms. TWICE. We had a total of three rooms and none of the air conditioners were very good. Thank goodness it wasn't Auguest. I don't expect sub-zero temperatures, but when I pay $180 a night for a hotel room I do expect decent temperatures. That was our only complaint, albeit a large one. A maintenance man was sent to each of our three rooms to check out the AC and each time he said the unit was fine, it just needed time to cool off. When we would return 8 hours later the room was still hot and the temperature did not change. Other than that, this hotel is fine. The breakfast is nice, so is the free coffee/juice in the lounge all day and night. It is VERY close to everything... we walked to Times Square with no problem.  The city is amazing. I reccommend catching the Phantom of the Opera. It was spectacular. This hotel wasn't BAD, but it wasn't great either. It is doubtful we will stay at this Holiday Inn Express.	
May 21 2007 	Great new Hotel	I just got back from staying at this hotel, it is a new hotel and is close to all the sights, got a rate of 180.00 per night off their web site. you get a free breakfeast with your stay rooms are little small but nice and clean.	
Apr 30 2007 	What a Gem!	I booked several rooms for a group of us attending a convention. We had waited too long to book and other hotels we traditionally had stayed at were booked (i.e.Hilton). Everyone was a little nervous when I told them the Holiday Inn Express...what a surprise this place turned out to be. Yes, the rooms are small but the place is immaculate and the staff is superb. The bathtub more than made up for only having a small cupboard for hanging clothes. I was lucky enough to have a room to myself so there were no complaints from me! From the moment I hobbled in with way too much luggage these people went out of their way to make me comfortable. The hot breakfast buffet (actually tasted decent!) in the morning and the hot snacks in the evening were an added bonus. I am a roamer and I felt very safe - sure there were some rather strange people on the streets but nobody threatening-day or evening. Plenty of places to eat and drink around the corner in either direction. I cannot rave enough about the staff...! What a pleasant stay it was.	
Apr 23 2007 	It should be called the barking dog hotel.	Hmmmm. Well, I'm not so happy. A few major problems. Front desk was friendly but very unaccommodating. Also it has a 3 star rating, but I've stayed in much nicer 2 stars downtown in NYC.The first problem is the barking dogs. This apparently is a pet hotel. Saturday night was horrible. The room next to me left their small yappy dog in the room alone all day. And the dog barked, yelped, cried and winded all day and all night until 4 in the morning when their owners returned. WHO DOES THIS TO THEIR ANIMALS? I would never leave my pets alone scared in a hotel room. I'm in town for a job interview and I got no sleep. none. No exaggeration. You hear everything through these walls and the dog sounded like it was 2 feet away from me. The hotel did nothing about it. The hotel was sold out so I could not move rooms. They sent security up who verified there was a yappy whining dog in the room. That was about it. Next the heat/air did not work. Again, I couldn't switch rooms because it was sold out. I had to keep the window open to try to cool it off in the room.Also, I wanted to do a late check out. I was 100% willing to pay to do so - I wanted to check out at 2 and not noon on a MONDAY and they flat out said no to it. After inquiring and saying I would pay to do so they said there would be a $50 charge. I asked how long that would give me and hey said a 1/2 an hour. CRAZY. CRAZY. CRAZY.The room was clean and well sized for a NYC hotel. It was clean and secure. I would not call this Chelsea. Technically it is but it's closer to Madison Square Garden and the Empire State building than anything quiet and trendy like Chelsea. Location was just fine though, it's close to all the subway lines. I got a good deal here through hotwire. Equal to the price of a 1 star shared bathroom this weekend. Would I stay here for the average full price of $320 a night. No way!!!! Never. I would go to The Exchange or The Avenue for a much cheaper and pleasant experience for that money.The barking dog was the worst. I'm very unhappy.	
Apr 22 2007	Price is Right ?	Inexpensive and acceptable by New York standards.Rooms are small but compact and nicely arrangedwith most of the amenities that you need for a shortstay. Since the halls are narrow and rooms close together,the slamming of doors is difficult not to hear, especiallylate at night. If you are a light sleeper, this may be a problem,as it was for me.Also, this part of Chelsea, near Madison Square Garden,is not the most desirable part of NYC. It is not close tosubways and not a neighborhood that you would care to strollin. But, if you need a cheap place to stay and don't expect tolinger in the hotel, then it is worth considering, particularly ifyou get a discount rate, e.g., Priceline.com.Incidentially, large tour groups are attracted to this hotel--whichmay or may not bode well for the quality of this hotel.	
Apr 21 2007 	Hotel fine; staff terrible	The hotel is fine. It's new -- opened in October. Room was tiny and a tad dirty (I've seen far worse in New York). Breakfast is very crowded, hard to find a table.Housekeeping leaves their carts in the hallway at all times, if that gives you an idea of what kind of place this is.My complaint, in fact is with housekeeping. I was traveling on business; I left my receipts on the desk in the room. Housekeeping threw them out. They were not near the garbage, they were sitting in the middle of the desk. I spoke to the manager about this; for my troubles, the next day I returned to the room to discover the door to my room had been left wide open. Fortunately nothing was gone, as far as I can tell. After all this, silly me left receipts on the desk again (should've known better) and they were again thrown out. I even put a note on them to the effect of &quot;don't throw this stuff out&quot; -- didn't matter. The crowning achievement was housekeeping also helping themselves to a small amount of cash that I left on the desk by accident (less than $5). After speaking with the manager the first day I never heard from him again. Left him a couple messages.Also really annoying is the fact that the street in front of the hotel was being re-paved (29th St). They -started- work on it at 6pm and wrapped up around 1 in the morning. When you're on the 4th floor facing the street this is not exactly conducive to sleeping... I asked the front desk how long it would be going on and they just said they didn't know; I went back outside and asked the workers. You'd think the front desk staff could at least take some initiative to do this and appear helpful....I'd avoid this place. I certainly wouldn't stay here again.	
Apr 16 2007 	Excellent hotel	Just returned from a week in New York at the Holiday Inn Express, Chelsea. Would fully recommend this hotel, great location, convenient for site seeing, clean, good sized rooms with huge TV, great bathroom with a strong shower, and comfortable bed. The breakfast is free and copious (hot and cold, eggs, bacon, pancakes, waffles, bagels, muffins etc), restocked every hour or so until 10 am. Coffee and tea available all day - very welcome after a days walking! Very reasonable rates - much cheaper than uptown hotels. Only one downside, the noise within the hotel at night - it was spring break and loads of high school students invaded the hotel, hence banging doors etc and the ventilation /heating system is quite noisy. However, these are minor disturbances and we'd certainly return.	
Apr 12 2007 	Comfortable	No problems to report, very clean &amp; comfortable, we had a whirlpool bath which was fantastic to relax in after a day walking. Only stayed one night. Breakfast room is very small, if the hotel is busy I expect there could be a wait for a table! Continental breakfast was good quality. Quick check in &amp; check out. Everything you would expect from a Holiday Inn Express.	
Apr 11 2007 	Excellent place to stay; included breakfast makes it more valuable.	It was a last minute decision, we were planning to stay at the DoubleTree off of Times Square, but we are sooo glad we switched. The building is so new it doesn't show up in Google Earth as of April 2007. Every thing was as promised -- the room and bathroom was super clean, the provided breakfast each morning was wonderful - filling, tasty and offered a wide variety. The coffee and juices were available 24 hours, so we tanked up a thermos for the trip home. Both bell hops we left our bags with were friendly and competent, the front desk staff was both friendly and efficient, and when we called down to request new batteries for the TV remote, they came by to replace them minutes later. The hotel was conveniently located one short block over from the 28th street Red-1 subway station and an easy five short blocks to Penn Station. To cap it off, the room with our AAA discount was $150/night less expensive then the DoubleTree (which admittedly offered a much bigger suite with king size bed.) The bathroom soap miniatures were all scented with cinnamon and were a real hit -- we would buy the shampoo for home use if the HIE would sell it in large quantities than travel size... If pressed, the only thinkg we would point to as a problem is that the elevators were somewhat slow. Otherwise a stellar, recommended place to stay.	
Apr 11 2007 	Great Hotel in great location	We stayed at the Holiday Inn Express Chelsea during the period 05-09 Apr 07 and it was an enjoyable stay. The hotel is conveniently located not far from the subway, Penn Station and Madison Square gardens, a short walk to the Empire State Building. We stayed in a room with a KS bed, a little cozy, but very clean and very quiet. This is a popular hotel as during our stayed they were booked out. We were a little worried it may have been noisy, but it was very quiet during the night. Breakfast was very good, one of the best I have experienced at a HI Express, which consisted of a hot or cold buffet breakfast. Service at the hotel was excellent.I would recommend this hotel for anyone travelling to NYC. The cost was pretty reasonable compared to many other hotels in the location.Well done HI Express Chelsea.	
Apr 7 2007	Pretty Nice Room but ....	Holiday Inn Express, Chelsea, is a nice little hotel, conveniently located -- not really in Chelsea, actually closer to mid-town and Penn Station/Madison Square Garden. The room I stayed in was clean and comfortable, and best of all, QUIET. On one of the upper floors with very little street noise.The room was nicely appointed and modern, though small. My experience at the hotel was good overall, except for one thing: hotel parking is a problem. The hotel claims to have a deal with a garage about 4-5 blocks walk from the door. The problem is, there are three garages on the same block, so if you're looking to get Holiday Inn Express's overnight parking deal for $25, you have to make sure you have the right garage. I located the correct garage, parked my car for less than 24 hours, then when I went to retrieve the car was told the hotel had stamped my parking tag as a &quot;hotel employee&quot;, so I was not eliglble for the $25 overnight parking deal. When I returned to the hotel to explain the problem and try to get them to credit my account for the difference I had to pay for parking (from the amount they advertised), the front desk clerk refused, with the explanation that because I had booked my room through Hotwire they couldn't make any credits to my account (?)Not very good customer service. I had no choice but to pay the extra $$ for parking if I wanted to get my car back -- after sloshing through the rain for several long city blocks to park the car in the first place. I was willing to accept this inconvenience in order to get the hotel's advertised parking rate, which ultimately I did not get and the hotel would not make right, without making me jump through hoops and make all sorts of calls long after I had left to anonymous &quot;managers&quot; .... ie: the buck was passed, with no satisfaction.Be prepared for a decent room and convenienct location, but much less than stellar customer service from this outfit.	
Mar 31 2007 	Our First Trip to NY - would stay here again	We stayed 3 nights, location was good,close to Penn Station,Empire State building,5th Avenue. The staff here were very helpful - we had a problem with our room on arrival but this was soon addressed.	
Mar 27 2007 	Great Getaway	I wanted to surprise my boyfriend with a romantic evening. As I was searching for hotels online, I came across this hotel which is Brand-new 15-story hotel. It opened up sometime end of last year. I booked a king-size bed that featured a jacuzzi-tub. I spread rose pedals all over the room, ran a hot bubble bath, and lit a couple of candles. The night was great and I scored extra points with my boyfriend (LOL).The breakfast also offered FREE breakfast every morning from 6-10:30am.....which I given a tray so I can give my love breakfast-in-bed. Since I live in the local NYC area, I was able to call my friends for FREE and internet was also FREE. Staff was friendly, hotel was clean and I was able to check-in before 3pm.I am definitely coming back in a month or two.	
Mar 22 2007 	I would not recommend this hotel!	I was not at all happy with our stay at this hotel.Accomodations were booked thru [--] for one room/ two nights/ three people. The reasons are as follows:-No parking garage at the hotel. We had to park 5 blocks away. -The room had two double beds. A double bed is very uncomfortable for two adults to sleep in together and I can tell you that I had two nights of very bad sleep. -The complimentary drinks were not available b /c the coffee/juice machine had a notice on it that stated it had been shut down by the dept of health. -The complimentary breakfast ended at 10:00 am NOT 11:00 am as stated in the Guest information booklet in the room. We found this out when we went down to breakfast at 10:30 and found that breakfast was over-the management had neglected to inform us of this change. -The housekeeper did not leave us any soap when she made up the room in the first morning. We asked for soap-but she did not give us any she told us to use bath gel instead.	
Mar 15 2007 	Such a deal!	We got a great last minute rate of $104 for a one night stay in mid-March. This hotel really exceeded our expectations. As has been said, the rooms are small and the showers are difficult to figure out, but this hotel is such a great deal at this price. Everything was spotlessly clean, the staff was very friendly, the free continental breakfast was extensive, and the location was perfect. I recommend this hotel highly, for this kind of money in New York you don't expect a stay this nice!	
Mar 14 2007	Excellent Holiday Inn in Chelsea	Outstanding location in midtown. Near Penn Station for most trains in NYC, and there's a station only 2 blocks away to catch the 1 train. Rooms are very very small, but BRAND NEW facilities make this a great place to stay. Beds are exceptionally comfortable, showers are awesome. HOORAY for the coffee pot in the room. Free breakfast includes more food than typically seen in this type of place. Even hot foods! Dining area is tiny, and traffic flow is a headache, but manageable on this budget. Business center includes 3 computers and printers. Doors unavoidably slam which makes late night arrivers to your floor an instant unwanted wake up call. Front desk personnel very helpful. Location is really awesome and was perfect for my trip with 26 high school kids.	
Mar 12 2007 	very noisy	Hotel was overrun with school parties, we spent 4 very sleepless night there in March 2007, having complained three times we were never taken serious, the manager was never in, he was gonna get back to us, that never happend.If you are travelling with a very large school party we think this hotel would suit you, and you want to be up all night with kids running along corridors and banging doors, it was 80% kids in the hotel, very very noisy.while lying in bed we could hear someone in the adjoining room urinating and the flush, disgusting.	
Mar 10 2007 	Great Location Awesome Breakfast	Went to NYC to sightsee with a friend. We loved the location of the hotel, close to a lot of transportation, shopping and restaurants. As women, we felt 100% safe. Hotel staff was extremely courteous; free wireless access in the rooms.	
Mar 7 2007 	Loved everything	Have just returned home from a four night stay at the Holiday Inn Express. Great Location within a few minutes walk to all the local attractions and can easily get a bus or subway to lower manhatten. Rooms were lovely and clean and the bed was so big and comfortable. We had clean towels everyday and the room was cleaned to a very high standard. Complimentary breakfast is included and we had no complaints. A variety of food from fruit, bagels, cereals, hot breakfast (including omlettes, sausages etc) plenty to eat and also buffett so eat what you like. Although there was no coffee facilities in the room coffee was available throughout the day in the foyer which was free of charge, so after being out all day you can get back and take a coffee upto the room. All the staff were so helpful and with the location makes a prime place to stay. We are planning another trip later in the year and will certainly be staying here.	
Mar 5 2007	Cannot stress enough...Stay at this hotel!	If you are looking for an affordable and safe good night’s rest after touring the city, then this is definitely the hotel for you.My boyfriend and I flew in to Atlantic City from Miami and took the greyhound to NY. When we arrived to the Port Authority, we WALKED to the hotel. It was about 5 minutes away. On the way to the hotel, we passed Madison Square Garden, which was fabulous. The hotel staff greeted us right away and we were able to check in 3 hours ahead of check-in time.The rooms are small. We had a king size bed, a TV, a desk, and a very small dresser. If you are traveling for over a week, then you might want to upgrade to a bigger room. The room was super clean (as the hotel is new) and the bathroom was a bit smaller than the normal size bathrooms. The breakfast buffet was delicious and FREE. There is a business center with about four computers for those who like to check their emails frequently. Most importantly, the hotel is in a safe and prime location. We were able to tour the city and walk back to the hotel at 2AM with no problem. When you exit the hotel, turn right, make a left on 7th street, walk three blocks and you are in Times Square. Or, you can continue on to 6th street, make a left and run into Times Square AND 5th avenue shopping! We did not use a taxi at all during our four day stay. We walked to Times Square, Rockefellar Center, MSG (it was right next door), and walked over to the subway station to visit Brooklyn and Queens.It was a great hotel and extremely affordable. We are going back in the summer and definitely staying in this hotel.	
Mar 3 2007	Awesome stay at the Holiday Inn Express Chelsea	My friend and I stay at the Holiday Inn Express in Chelsea in February of 2007; we had the time of our life. We had never been to New York and had a lot of questions; the whole staff at the hotel was so helpful and seemed so pleased to help. I work at a hotel myself so I was really noticing a lot of things that were excellent about this hotel. The rooms were spotless; the hotel is in a very convenient location, within walking distance to a lot of restaurants, shopping and the subway station. The thing I want to point out the most is the helpfulness of the whole entire staff at the Holiday Inn Express. I will stay here again in the future.	
Feb 26 2007 	Great Place to Stay	Just returned from a weekend stay. For a NYC hotel, this was great and priced well. My room was clean, the staff was friendly, each night of my stay they recommended GREAT places for dinner. I arrived early, 9:00am, and they checked my bags. Breakfast was free and was more then I expected. I would highly recommend this hotel and have plans to stay here during my next visit to NYC.	
Feb 25 2007 	Cleancomfortable 	A very clean comfortable modern hotel in a central location, 10 minutes walk to Macey's and the Empire State building.Helpful friendly staff. Breakfast was bit of a scrum due to more people than seating, nether the less we managed and the food provided was adequate. The hot and cold drinks available f.o.c. 24/7 in the lobby are an excellent extra, as was the perculator in our room.The hotel arranged our transport back to the airport and happily stored our bags for the afternoon.The free use of the internet was another plus factor. Would not hesitate to stay here again.	
Feb 24 2007	modern hotel with great value - hard to go wrong here	It's easy to make a mistake booking a hotel in NYC. Some old renovated hotels are not up to modern standards,. In fact, only the really high-end renovated grand hotels measure up to a good standard. If you don't realize this you can spend quite a bit of money and not get the greatest accommodations.  That being the case it is hard to go wrong with the Holiday Inn Express in Chelsea. It is new in late 2006 and is very convenient to Penn Station, Madison Square Garden, Macy's, the fashion district, and the theater district. The rooms are not huge, but they are functional and were very clean. The continental breakfast was much better than what I expected. Along with the usual beverages and pastries they also had omelets, bacon, cereal, and surprisingly good cinnamon rolls. It was a great way to start the day (and spend money elsewhere!)-john r	
Feb 17 2007	Loved this little gem	We found this place by accident and it was terrific. It is in a great location, the rooms are lovely, the staff are helpful, there is a decent free breakfast and a business center with three computers.Would highly recommend it! We found a great rate of $140-150 per night.Date of stay: Feb. 1, 2007	
Feb 16 2007	Highly recommended	We were most impressed. This hotel is easy walking distance to Times Square / Broadway / Madison Sq Gdns etc; and only a block away from the nearest underground station. While the room was exceptionally TINY one must remember that you only sleep there (you dont spend many waking hours in it!). We were even pleasantly surprised that the price included breakfast (eggs, bacon, hash, pancakes etc - we thought we'd get a bowl of cereal at best). Filter coffee; hot chocolate; and fruit juice is available free of charge, 24/7 in the lobby. Everything was clean and in good condition. We'd come again!	
Feb 14 2007 	Excellent Location and very Comfortable	We stayed at this Hotel over New year 2006/2007 for five days. having never been to the US before, we were not sure what to expect in terms of hotel standards, however, we were pleasantly suprised.The hotel room was quite large and very comfortable. The room had a very large double bed, a wardrobe, wide screen television (with cable channels) and a dressing table. The hotel room's bathroom was very well finished in marble from top to bottom, with an excellent bath/shower (the brand of which you can actually purchase from the hotel!). The room was also airconditioned. The hotel room was very modern, finished to a high standard, with new furniture. It was extremely clean and tidy.The hotel has a breakfast area and serves a buffet style breakfast in the mornings (which mainly consisted of processed 'fast food', but the cinnamon danish buns were delicious!). We found the hotel to be excellent value for money and the location was superb, close to Macys, the Empire State Building and transport links. We stayed at a busy time of the year and found the breakfast room to be of an inadequate size to cope with the volume of guests staying at this time. It was also difficult to get to our floor, as we sometimes had to wait a while on the lift. The hotel advertises gym facilities, however this is misleading. Its a room with only two treadmills and an exercise bike!We sent a number of items to be laundered in the hotel, and they all came back shrunk, so be aware of this!All this said we really enjoyed the hotel and would definitely recommend it to other travellers.	
Feb 9 2007 	Great Hotel~	I visited New York during the Christmas week...The hotel is located nearby main attractions(approx 10min walking distance to Macy's, subway station).Their continental breakfast is great, the quality of bathroom amenities are well above the average, the staffs are very friendly.They allowed us to check in 1.5hr early without any extra charge.The rooms is quite small but has all the necessary items. The bathroom is in great condition.I really recommend this hotel,,,Great value and great price^-^!!	
Feb 8 2007	Great deal!	Four days before a weekend trip to New York, our hotel plans fell through. After bidding for a room on priceline &amp; praying that we wouldn't get a dump for the cheap price we paid, I have to say that we were more than pleasenly surprised with this hotel. It was new, clean, &amp; the staff was very helpful with anything that we needed. It being New York, we were expecting a very poor experience for the price that we paid. It was, instead, one of the nicest hotels I have stayed at. I would recommend this hotel to anyone who is going to be in New York and needs to stay on a budget. It is close to Penn Station and a quick hop to anywhere that you would like to go in the city. The complimentary breakfast was also more than we bargined for...you can plan on eating at the hotel instead of having to eat breakfast out. Although I do recommend that you get to the buffett early; it gets crowded the later it is in the morning. The room was small, but in New York, it doesn't really matter anyway.	
Feb 5 2007	Fantastic Deal!	When two friends of mine and I decided late last week to go to NYC together, I counted on getting a decent deal through priceline.com, hoping that low rates on other sites for this time of the year meant a promising search on priceline. We got a very reasonnably priced room at the Holiday Inn Express in Chelsea--and have not been disappointed. The hotel is in a superb location, two minutes away from the 1-line that connects you with everything and in the middle of one of NYC's hot areas (fashion district, clubs, Empire State Buildng, Chrysler Building etc.). The hotel is quite new and thus in great condition; our room was small, but since you don't come to NYC to stay in your hotel, we didn't mind at all. We lucked out and got a corner room on the top floor, without a view, but also without neighbors, and it was thus very quiet except for the central heating system that hummed us into sleep. I read somewhere that the bathroom is always a good indicator of how much a hotel wants to save--but the solidly tiled, granite (?) counter tops, metal/ porcellain bathtubs, the funky collection of mouthwash and shampoo etc. and the great towels made a very pleasant statement. The staff was incredibly friendly, there is free internet access in the basement--and the complimentary breakfast is as good as in a European hotel. In my 13+ years of staying in American hotels, I have never seen such a generous buffet, all included--even the coffee is great! I will definitely try to stay there again, even if I have to pay more for it than the great steal we landed through priceline.com. A total find!	
Feb 5 2007 	Very pleased overall	Sticker shock for New York hotels in December was terrible. Finally hit this hotel through Priceline. Price was still high but better than other choices.The hotel is either new or redecorated. Room was small but clean with new furnishings. Staff was helpful and friendly. It's not as close to my favorite haunts as other hotels but still fairly convenient. Buildings along the street were under renovation and it was a bit scary walking under scaffolding at night at first but there were enough pedestrians to make me feel safe.There seemed to be lots of families and tour groups staying here, another sign of good value.Free breakfast was adequate but nothing to write home about.I would stay here again, especially when everything else is pricey.	
Feb 2 2007 	No Complaints!	Went to NYC for 4 nights at the end of January and booked the hotel after reading TRIPADVISOR reviews. Had my own personal critirea and the Holiday Inn Express Chelsea fitted them all.On arrival, I was expected, checked-in in seconds was probably in my room less than 5 minutes after walking through the front door.Asked for a 'quiet' Executive Room and was put up on floor 12. Had the window open all night and the street/traffic noise was not bad at all. Shame about some of my neighbours on the floor!The room was very nice but not over large, with big firm bed, plenty of lights, two phones, desk, clock/radio, TV &amp; the heating/AC unit that was fine and quiet. No safe which was a pain in the rear as I had to keep going down to reception. It's a modern, fairly new hotel and should have had a safe in all rooms. If I has any complaints, that would be my only one.Storage in the room was qute limited but I was on my own so it didn't really matter.The bathroom was bright, clean and large with plenty of towels, flannels, comp shampoo etc. Shower was powerful (once the receptionist drew me a map on how to get it working!!) and hot and you didn't land up with the usual floods of water on the bathroom floor. Also had a whirlpool bath. Now here is the wierd thing - bathroom and bedroom were seperated by a sliding opaque glass wall. You could either slide the wall open and step into the bath/shower - or walk in through the door as normal. Really wierd!Got the room at a what I considered to be an excellent rate and breakfast was an unexpected extra, didn't realise it was included. The other suprise was that it was the breakfast quality was excellent with wide range of cooked items, breads, cereals, pasteries, fruits, etc. Coffee was on tap 24/7, always hot and nice coffee too. That saved me a few bucks!In the basement was a fitness room. Although there were only three machines I never had to wait to use them. Next to the fitness room was a Business Centre with 3 computers, printers and a photocopier - all free of charge. I think the whole hotel was wireless broadband and free.Location was fantastic for me being 4 minute walk to Herald Sq and Madison Square Garden.No complaints - would gladly stay there again. Only reservation was if there were two of us and we would be staying more a week or so the room might start to get a little cramped.PS, come out the hotel and turn left, at the lights turn right and go up one block. Cross over the road and you will come a cheesecake shop. Do yourself a favour - GO THERE!	
Jan 31 2007	Don't tell anyone !!!	Have just returned from 4 nights at the Holiday Inn Express. Was really impressed with the friendly staff and the room which was fine for the time you spend there. A clean comfy bed with a fantastic shower facility (once I too had to ask how it worked!) so close to the subway is a real treat especially for the price.The complimentary breakfast was a real surprise and got me through till mid-afternoon without fail. The free internet too is a nice touch. These things cost so little to provide but show a willingness to provide a bit more than many larger and more established hotels. No restaurant/bars etc but there are plenty to choose from in the location.No complaints at all except that as more people get to hear about this gem of a hotel the price will inevitably go up ! Hopefully, I will return soon.	
