	Excellent location everything else was so-so	We stayed there for 7 nights - in 2 different rooms. Both rooms were noisy in the morning and you can hear people talking loudly and slamming doors. The second room we had was just next to the rooms where they were renovating which may explain the noise - not sure about the first room. The staff were mostly ok except for this grumpy lady in her 30s who was awfully unhelpful. They provide lockers at $2 per usage if you need to leave your bags at the hotel after check-out. The first room we had was very small but the second was slightly bigger and newer. The selling point for this hotel is its location at 31st &amp; Broadway which is 2min walk from Macy's and 1min walk from the subway which is just 1 stop from Times Square. Me and my wife were there on Thanksgiving and we could catch the parade literally just around the corner. Yes, if you need a cab, get one off the street for one yourself, as the reception charges a ridiculous price. Room comes with free Wi-Fi internet access and LCD tv with HD channels.	
Oct 7 2005	Fabulous - no complaints at all!!!!!	My husband and I stayed here for 4 nights and have absolutely no complaints at all. The staff on the front desk were helpful, friendly and efficient. Security is fantastic, guests are buzzed in at the front door to the lobby. Internet kiosk and vending machines in lobby along with tons of tourist information - very convenient.Our room was well lit, fairly spacious, modern and came with the comfiest of beds and a flat screen TV (a lot nicer than the Beacon Hotel where we have previously stayed in NY).The location of the hotel was excellent, 3-4 minutes from Penn Station and Madisson Square Gardens, 5 minutes from Herald Square shopping centre and 3-4 minutes to Subway Stations and Postal Office.Would definitely stay here again!!	
Oct 3 2005	Wonderful	This hotel is perfect for those of us who really don't want to spend $2000 a night. A hotel is where you sleep, not where you live, so the darkeness was fine. The window had a nice view of some old buildings that I managed to get a good sketch of. I'd stay here again. It was in the center of Manhatten and ideal for walking and seeing the sights. The staff are very friendly.	
Sep 27 2005	Nice Hotel	I Stayed at this hotel from Sept 13-15th on vacation in N.Y. I found myroom to be good size for N.Y. It was very clean and everything worked.My only complaint was when I made my reservation I asked for a smokingroom when I arrived I found out they had gone smoke-free as of Aug. 1st.I would of liked to have been notified of this so I could have made otherarrangements. But it was fine since I was out most of the time anyway.Would recommend this hotel to anyone looking for affordable rates.	
Sep 19 2005	Barely OK	My advice would be don't get the cheapest rooms, unless you are totally prepared for a tiny, extremely dark room - a cell, really. The cold tap in my room didn't work, and they didn't fix it. The batteries on the TV remote ran out, and I eventually replaced them myself. The window was so grimy you couldn't see out properly. The shared bathroom was inexplicably out of action for a whole day and we had to go to a different floor for a shower. I asked if I could pay more and upgrade to a larger room with bath, but the staff were not helpful and apparently no room was available the whole week we stayed. I was told to ask every morning if the situation had changed - I don't think it would have been too much for them to take a note of my request and inform me if a room became available. Each day I went to ask, there was a queue of people with minor complaints and it seemed to me the staff were not that interested in helping - but for the price, I guess that's not too surprising.On the positive side, the rooms were clean and the hotel was quiet. The price was excellent. Subway access is extremely good. It's an easy walk from Penn Station if you are coming from Newark Airport.I would say that there are better budget choices to be had. The Garment district is quite dull, compared to other Manhattan areas, and unless you are mad keen on shopping, or want to go up the ESB every day, you can probably find a better location. There were quite a few homelss people sleeping rough on the street (including one couple right outside the hotel who had their own double mattress and bedding!), and although we didn't feel at all unsafe, it was a bit depressing to encounter these poor souls each night and morning.	
Sep 12 2005	Girls weekend in NYCity	We wanted to be close to everything but our mothers were wary of the city. My mom heard about the hotel from a friend and insisted that we book there. It was a good choice for us. We were able to walk everywhere without getting on public transportation..the room was very clean and bright. We felt comfortable and safe. The staff answered all our questions and helped us with directions. I would recommend it to people in their twenties who are looking for a decent, safe, and very reasonably priced room in expensive NYC. I even got a care package (what my mom calls it) from the front desk since I'd forgotten my toothbrush. Definitely would return....	
Sep 1 2005	location is everything	we have just returned from staying in this little gem of a hotel in new york. we were there for 4 nights and i have to say that if you want a central hotel near to time square, macys and the 34th shopping area then this is the one for you. the rooms are very clean and yes they are not huge, but for all the time you spend in them, they are perfect for what we needed. the hotel was safe and very quiet at night which was also an advantage. the central location is a real plus and the staff where very helpful when we arrived, theuy even gave my husband the choice of two rooms.overall herald square is great and a budget place to stay so if you want to stay in a cheaper hotel in a great area...stay here!!!	
Aug 31 2005	I suspected rodents!!	Didn’t cost a lot so didn’t expect a lot. I draw the line at rodents in the rooms. Had some chocolate in a bag and it was fairly well nibbled by the time I left. Also the view from my room was just plain hideous (although Im sure those at the front of the hotel experience better). The bed-cover way pretty shabby too and also looked like it had been ‘attacked’ by some small mammal. I am pretty well conditioned to living in squalor so I didn’t complain but would not go back.	
Aug 26 2005 	Have stayed here 3 times looking foward to the 4th.	After reading many reviews from other users on this site, I decided to give this hotel a try. I arrived expecting to find a small but comfortable and clean room. This is exactly what I found, and then some. The room was extremely clean, had a safe in the room, and was very quiet. The staff at the front desk is very nice, and helpfull, and even allowed me check in at 10am, 5 hours before regular check in, at no additional charge( I wouldn't expect this all the time, but I guess I got lucky and they had my room ready early). The location of the hotel is great, and close to everything you need. Several subway stations are within walking distance, as is the HUGE Macy's. One of the highlights to any of my trips to New York is a venture to the top of the Empire State Building, and you guessed it, it's only a stones throw away!. Literally about a 3-4 minute walk. Lot's of pizza joints all over, as well as some decent Bars/Pubs. Several deli type stores dot the corners and are along the streets, with a great selection of drinks, and things to snack on. There is also a Dwayne Reed Pharmacy about a block and a half away. You are also right in the heart of what i am now calling &quot;Little Korea&quot;, so if you enjoy Korean food, you're in big time luck. The hotel doesn't have a restaurant on site, which many people might find a bad thing, but really people, YOU'RE in NYC!! get out and find some of the great food they have there. The bottom line is this. If you are someone that needs to be pampered, and waited on hand and foot, then this hotel *might not* be for you. If you are looking for a cheap, and clean room in the middle of everything, this hotel is definatly for you. This hotel doesn't offer all the amenities that other ones do, like shampoo and a toothbrush, but honestly, who doesn't travel with these things? I will definitely be staying here again and again. Who could pass up a sweet room in Downtown Manhattan for $90 a night?	
Aug 10 2005	Great Deal!	We stayed at the Herald Square while visiting New York in July. The hotel was just as many reviewers had said; it has great, comfortable beds and clean rooms! Everything worked well, from the air conditioning to the shower. Bringing your own shampoo and hairdryer is a very small price to pay for such a clean and quiet room. And on the other side of that glass in the lobby are wonderful, helpful people. We asked one of them a question about Life magazine and he have us a good story and a couple of Life 'cherub' keychains. I highly recommend this place!	
Aug 8 2005	Great Price 	Some friends and I stayed here for the week of the fourth. The room was small, but comfortably accommodated four women &amp; all of our belongings. There was a lot of construction going on outside, but the hotel itself was clean. The room was clean and was kept clean every day. The location was convenient for our daily outings. The staff was friendly and very helpful with giving directions. The beds and pillows were comfortable. It was very quiet at night. We did have to leave a deposit for the iron, but it was returned at the end of our stay. We plan to stay here on our return visits.	
Aug 1 2005 	Will be staying again.	Stayed at the Herald Square for the first time in March. Was somewhat concerned about the appearance of the lobby and reservation desk being behind glass. I had not been to NY in years, thought this might be something new regarding safety. My daughter and I were in NYC to explore the NYU option on her prospective college list. After a long day of non-stop walking around Washington Square, it was a pleasure to rest on such comfortable beds! Our room was small, but very clean, and we felt safe. I'll stay at the Herald again in the future to visit my daughter at NYU, especially now that our family is on an extemely tight budget!	
Jul 27 2005	On an island	I don't know what the rest of the hotel is like, but I got to stay in one of the newly refurbished first floor rooms(a manager recommended it). The decor was &quot;island like&quot; enhanced by a shuttered window that gave the impression of being far away from the hustle and bustle of the city outside. I returned from shopping and sank into a feather covered bed that made it possible for me to nap so long that I almost missed dinner with my friends whom I hadn't seen in years. And this from someone who has trouble sleeping!The bathroom had all the necessary amenities and the LCD screen in the room just put the crowning touch on the reasonably priced accomodations. I don't think you can find better value in the city. I certainly plan to return on my next visit from Arizona. Thank you Heral Square	
Jul 7 2005	Best value in NY	I came back from a four night stay at the Herald Square a couple of weeks ago and I wasn't disappointed in the slightest. During a slight mix up with payment procedures the staff were lovely and couldn't have been more helpful during the holiday. Although the hotel is basic, it's incredibly clean - the towels and bedding are changed every day - and things that you'd often pay extra for (safe, air con etc.) are free. The location couldn't be better - smack bang between Broadway and 5th Ave and about 5 mins from Times Square. I felt safe and looked after the whole time and wouldn't hesitate to book the Herald Square for future trips to the Big Apple.	
Jul 1 2005	Great ValueGreat Location	The Herald Square Hotel is smack in the middle of mid-town between Broadway and Fifth Avenue so gets top marks for location.The public areas are undeniably basic - linoleum rather than carpet for example, but the rooms are spotless and boast a safe as well as a TV,and the staff are friendly and helpful. There is a range of rooms and its well worth booking one with a private bathroom. I have stayed in this hotel twice now and wouldn't dream of staying anywhere else when I'm in New York - it must be the best value in the whole city.	
Jun 16 2005	Best Cheap Place to Stay in NYC	Herald Sq. Hotel is my favourite place to stay when I travel to NYC. I've been there at least a dozen times and it can't be beat. The staff is friendly, the rooms are clean, and the location is fantastic. I have never encountered a rodent (as stated in the previous review), and doubt that there are any... the place is way too clean and the staff is way too diligent.	
Jun 15 2005	Remembering the Herald Square	I think we've finally found a hotel that meets all our needs for NYC. It was close enough to the city that we could walk to most of our destinations, the room wasn't overly large, but fit our criteria. The bathroom was a little cramped, but enough to shower and everything. The staff was friendly and accomidating. All and all a great stay and will definatly be staying there again. Nice clean affordable rooms, you can't go wrong at the Herald Square Hotel.	
Apr 19 2005	A Fine Bargain Stay	We thought that overall this was a perfectly fine stay for the resonable rate of $134 a night. The queen bed was wonderful, with a big fluffy white comforter and springy new pillows. The bathroom was clean and stocked with enough towels and washcloths. When we first checked into our room, we discovered that the in-room safe was broken (we needed it for my travel partner's laptop). The staff at the front desk gave us a new room, which I thought was very nice since they weren't obligated to do so. The new room was identical but in mirror image, and the safe functioned as it should. There was a hissy radiator that worried my partner, but all radiators hiss, and I slept on that side since it's not an issue for me. It didn't keep him awake. We'd been warned of possible construction noise outside on Saturday morning, but when we came rolling in at 3:00 AM, we fell fully asleep that we must have missed any particularly severe noise. The late-night desk clerk gets extra points -- we were starving after a night out and I vexed him for any names of all-night food places that deliver. He tried very hard to find the list that the day clerks keep, couldn't find it but looked up an all night pizza place for me in the phone book. (OK, Pizza Hut, but he tried). In the lobby they have an internet pod, $1 for 5 minutes if I remember correctly. This was very helpful to me. The lobby itself is roomy and has tables and chairs for guests on their way in or out. I saw a large family with a ton of luggage making good use of them. This hotel is not ritzy by any measure, but is very much like the small family owned hotels I stay at in Europe. All in all, a great value for your travel dollar.	
Apr 6 2005	Considering the price--	For $159.00 (including taxes!) we got a clean, quiet room with a confortable bed and a spotless bathroom. The staff was very helpful and the location (within an easy walk, with bags, from Penn Station).However, if one is looking for any more than a place to leave your bags and spend the night, you will be disappointed as there are no &quot;amenities&quot;.Frankly I'd much rather spend the money I'm saving on amenities of my own choosing!	
Mar 20 2005	Wildlife Warning	I booked this hotel from its own Internet site. I had also read the reviews on Travel Advisor and thought, eh, for the cheap price/good location I can hack it. The bullet proof glass and people in the lobby were sort of scary but I still had hope that the room would be clean. I opened the door and there he was running from the bathroom to under the bed. A rat, mouse, or perhaps someone's gerbil. I went downstairs and checked right out. The staff was helpful and friendly about this so perhaps someone else had this happen.	
Mar 18 2005	Value for money	I stayed in a tiny single room. It was clean, well serviced and all the staff were helpful and efficient. Location is convenient, although immediate surrounds are not very attractive.The main thing is that it was very cheap. I have stayed at some terrible cheap places in New York over the years, but this place was okay and, at least for a single, excellent value for money.	
Mar 7 2005	Girls weekend	febuary 7 2005 we spent a girls weekend in new york,first time in new york. we really ejoyed our room, it was very nice, staff were really nice. I will stay again when i visit ny again. It is close to alot things. I really recommend this hotel.	
Feb 8 2005	The Herold Square Hotel As good as it can be...	And getting better all the time! This is a place that is worth staying at, if only for the historical context and archieve it contains. Life magazine historical covers all over the place. I'm enervated by the continual effort being made to upgrade and modernize the facility. The staff is first rate, and frankly, I've stayed in hotels all over the U.S., Canada, and Europe, and find the staff here to be as friendly and attentive as any, any where else. Additionally, the central NYC location is a big plus. Combined with the reasonable cost of a night's stay, its an unbeatable experience. The room was immaculate, the bathroom spotless, the bed comfortable, and the flat panel TV a real plus. I can't think of a single reason to not stay there, and I will every time I'm in NYC. 	
Feb 3 2005	good price great location and that's all!	when my friend and i arrived at the hotel i almost fainted! the lobby is a total disaster but i guess this is because of refurbishment works. once we got to the room we felt much better (despite the orrible curtains, carpet and decoration!). the room was clean, confortable bed and powerful shower. Regarding the staff, i am afraid they are very rude and not always helpful. this hotel is perfect if you are really tight and on a budget. personally i will not stay there again.	
Feb 1 2005 	Know A Few Things......	Arrived at the Herald Square Hotel during the snow storm on the 23rd of January. First impression from the outside is nice, but upon entering I felt as if I was at a bus station. There is a ton of construction going on in the street which makes you feel you are in a low level industrial zone. The cashier is sitting behind a bullet proof glass, personal details and money must be slid underneath glass. The key to your room is slid back to you as if you are purchasing a seat on a train. This is a clean hotel, the bed is good, the tv works, no stains in the bathroom. The hotel staff were good natured and helpful which is a big plus too.But this is certainly nothing above budget travel. There is a hostel type of feel to the place. The lobby area is a bit worn, the main elevator is a disgrace and needs to be spruced up and sped up. The lobby has a coke machine, an internet site which is affordable, and a place to sit and read up front........but the carpet was rolled up for whatever reason adding to the drab condition. There are oversized lockers in the lobby that you can store your belongings in after you check out for the day, if you are going to be picked up at the hotel later on for a late flight. But that adds to the hostel type of feeling to the place, which is fine, but not what everyone is looking for in life.This is not a place a business person wants to have a meeting with clients, even if you insist that you are merely traveling alone and dont need to impress yourself. Your biz partners will think you have no sense or have no money to invest.It is a hotel for strictly budget minded folks, that is fine, but I expected a bit more.If as someone said here you can go to one of the internet sites and find a deal on a more upscale hotel, one should aim for that. While I thought the hotel is perfect for those looking to save money, next time i will spend either the 60 or so more dollars an evening or look around for something else.For instance, to say a hotel is clean is not enough, it is supposed to be clean isnt it? A bed is supposed to be somewhat comfortable. Why should n.y.c. have a different set of rules than any other place? I can get a good affordable room in europe and other biz places in the states for an affordable price but in much nicer condition overall.Lastly, I have stayed at better hotels in n.y.c that cost more but were worth it.	
Jan 26 2005	Fine for the price	We arrived in the middle of a blizzard so the hotel lobby was very wet, and some building work was going on at the time. However, the room was warm and clean and the bed was very comfy, its worth paying the extra few dollors for a queen size bed. The location was ideal and the hotel was worth it for the price but its not the sort of place to go if your looking for luxury- enjoy New York!!	
Jan 6 2005	Definitely Budget	On our first trip to NYC in September 2004 we stayed at the Herald Square the first few nights. I must say my first impression was not a good one. Granted we checked in on a Saturday night so it was probably full, but I heard the clerk whisper to her co-worker &quot;I wish we had a better room to give them.&quot; Once I saw it I wished they did too! The room was tiny, barely had enough room for our two suitcases and to get around the full size bed. I am not a picky person, Motel 6 is usually just fine for me! I had to have them change the sheets but the bathroom was clean and smelled strongly of bleach. The next day we awoke to loud construction next door, which we barely heard over the fan/AC unit which was loud itself! But the next day the staff was very happy to move us to a different room which was bigger and I was a lot happier there. Like everyone says the hotel's dark and old and not cozy, but after a long day of walking I always welcomed the bed and really it was fine. It's very convenient to the subway and on the same block as the empire state building. A few days into our stay we moved on to the second place we had reserved, the Belvedere Hotel which we had booked through priceline and gotten for the SAME PRICE. Ohhhh what a world of difference....the room was wonderful, great location right by Times Square. So my advice? Go Priceline! You can get a MUCH better hotel for the same price as the Herald Square!!!	
Dec 12 2004	the facts!	we are recently home from our first visit to NYC as a guest at the Herald square hotel. After reading the many mixed reviews on different websites, we had mixed feelings about what to expect so, these are the facts as we found them as of 3rd December 2004The outside of the hotel is quite pretty but, there are building works at both the side and infront of the hotel. As far as the noise, we stayed over the weekend until mid-week. No noise at weekend but, distant building sounds and banging from about 7.30am, I looked at it like this, if you are staying with the intention of lying in bed in the mornings, your on the wrong type of holiday! and if there wasn't this noise there is always the beeping cabs, and police sirens!...thats the thrill of being mid town NYC.The staff were really helpful, there was a slight problem with my booking, which they straight away accepted as their mistake and put right. Very helpful when asking about directions, places to eat and arranging cabs and exchanging T.cheques too.The lobby,lifts and landings will not blow you away with the New york style and for that matter nor will the rooms. They were however, clean basic, safe and had really really comfortable beds, which given that you will never in your life feel so exhuasted at the end of a day, is a true bonus!Some of the bad things i had read post visit were, the bullet proof glass and the being &quot;buzzed in&quot; through the doors. Well why is this a big deal??...i assume the glass is there for the safety of the hotels staff!? and as for being buzzed in, well it keeps the unwanted out?!...to have a grand reception area costs the guest more to stay there, doesn't it? and afterall, you dont sleep in the reception!The rooms were dirty?, well, we had a smoking room and yes it was a little dated and could have benifitted from a new set of curtains but, the bathroom was clean, clean beds everyday and fresh towels. Basic but, what do you want, at the end of the day, if you spend any more time in your room than for sleeping then there is something really wrong!.Yes the hotel is quite dark, in respect of natural light, what can i say, the building is really old! Over all the hotel is in a FANTASTIC location and is at a give away price for New York. If you want the &quot;fairytale&quot; then pay the extra and go somewhere else! but, to be honest when there are so many fab things to spend your cash on, quite frankly you would have to be bonkers!.As the hotel says &quot;Great budget hotel&quot; and it really is!	
Nov 29 2004	Great value great location	My husband and I visited NYC for the first time this September. A friend recommended the Herald, as a cheap place with a great location. Around the block from the Empire and Flatiron buildings, and handy for little coffee shops, the recently painted exterior of this hotel looks like classic New York. Inside ain't so great, but the lobby (as the rest of the hotel) is clean and bright.This definitely feels like a safe hotel, as you need to be buzzed in by staff after hours.Don't expect luxury. This is a budget hotel and you get what you pay for. The green decor (even with the lovely Life magazine covers) was far from modern, even though our room had just been refurbished. The air-conditioner was too noisy to use much and the TV worked only sporadically. But on the flip-side, our queen-sized room was ample, and the shower and bath much appreciated after long days traipsing city streets. Worth paying for the queen-sized rather than the double - it's only a few bucks more.After difficulties finding a record of our booking when checking in, we had no problems with the staff and the room was always kept spick and span.The verdict? Great price and great location. You get what you pay for, and this hotel doesn't cost much. A clean, well-located hotel with no expensive extras was just what we hoped for, even though the rooms don't look very pretty. Stayed here for six nights and will do so again next trip to the city.	
Nov 20 2004	no brainer	I live in south beach fl. and love visiting ny for my friends and shopping. I stay a the herald square hotel, because it is affordable, has a central location. I like the staff and the choice of rooms and prices. I love that there are different room to fit my budget and have been excited about the continue upgrading of the hotel. It's a great deal and a no brainer if you are visiting ny.. Lisa	
Nov 14 2004	First Time in NYC - Loved the Herald Square Hotel!	Thank you so much to the Herald Square Hotel for making my husband and I feel so welcomed in New York City! This was our first time in the Big Apple and I must say the staff certainly knew the &quot;art&quot; of treating people. We enjoyed seeing all that New York had to offer and never feel lost as the staff provided us with everything we needed to get around. The hotel also provided a lot of history, in part to all the wonderful Time Life pictures &amp; magazine covers within the hallways. I would definitely recommend this hotel to anyone who wants great service, a great night’s sleep, and a great price!	
Nov 11 2004	Happy at the Herald Square Hotel	We found hotel on the web.Most of the reviews were good,a few not so good.We wanted to see for ourselves.The hotel is 111 years old ,so we asked for their newest rooms.We entered room 9 on the ground floor ,a double with a brand new bathroom.A great bed and a flat screen tv.Very clean and quiet,a tad small but served us well.We walked the hallways to view the collection of early Life magazines,a clean wellkept building.Staff is friendly and helpfull.The staff seems to be constantly cleaning,painting ect.Spoke to other guest from all over the globe,all seemed happy with their rooms.You cannot compare to a brand new holiday inn.A lot of history and charm here.We would recommend the 9th ,8th ,front of the hotel as well as the ground floor rooms to first timers.These are the rooms we had a chance to peek into on our hallway tour.We disagree with the negative reviews we read on the web.We will stay here again. Cheers	
Nov 8 2004	Do not stay here	Stayed here in July of 2004 and the place is dark, the room was very small with one very small window that looked out to another building. The place should be demolished. It feels like you are staying in an asylum, steel doors, cement hallways. A homeless shelter would be better than this. The hallways are creepy, stark and dirty. I couldn't get out of there fast enough. Stayed one night and went immediately to another hotel. One good thing, the staff was very kind and helpful.	
Nov 6 2004	Now this place is a true **** hole	Well, what can I say, the place looked great on the internet, then upon arrival.... OH MY GOD.... where do I start the story.After having to be buzzed in the door and then standing on the opposite side of bullet proof glass where the staff was just WAY more nasty than need to be, we got a &quot;maintenance person&quot; to get us into our room. (Apparentely they were having some sort of key problem).The hallways were filty and filled with mattress and box springs with frames and dresser drawers (jsn't that a fire hazard), I can't even begin to explain what the hallways smelled like!!! The room itself was very small, not cleaned to well, the furnishings old and broken, the curtains were OH MY GOD... dingy, stained, ripped, you didn't even want to touch them. The windows did not even open!!! There was hair all over the bathroom floor (gross); and the shower head was rusted to the point where it hardly even worked. My god... there wasn't even a toilet paper holder. The carpet didn't even fit the floor, looks like they just threw it down on the floor and said &quot;Well, that's ok&quot;. On the topic of the carpet, it was stained beyond what carpet should be.They advertised free HBO on their web advertisement, I guess the TV's didn't read that. The television in our room only worked when it wanted to. We did call to have it repaired, the guy came up and said &quot;OH well&quot;. That should tell you a bit about their customer service.Don't make the same mistake that we did. STAY FAR FAR FAR AWAY FROM THIS **** HOLE. There is a very nice place called the Wolcott across the street, this is our suggestion. I am requesting a refund from the hotel, and should it not work, will refute the charge with my bank. At a rate of $149.00 per night, a true rip off!!!!Former Unhappy Herald Square Guests	
Oct 11 2004	Okay	I just returned from a 5 night stay in room 219. The room was small, but adequately sized, with a queen sized bed. Bathroom and closet were both large. Clean and basic. Major complaint would be that the one window faced an enclosed airshaft with VERY little natural light. Even in bright mid-day the room was very dark. Major construction across the street meant a lot of early morning noise, except on sunday. Would never pay this much ($129) for a room here again unless I was unsuccessful on priceline for up to this amount as I was this time.	
Oct 5 2004	Good clean cheap excellent location	Spent 4 nights at the herald in August 04 staying in room 10, the room was small but clean with on suite and air con. Because the hotel is located pretty much in the centre of Manhatten, it's ideal for anything an everything you want to do(eating out/Theatre/sightseeing).Staff are very poilte and helpfull, and I think it's one of the few hotels where you can smoke in your room.	
Aug 18 2004	LIKED IT.	I normall stay at The Wolcott across the street,had seen Herald Square on my previous visits so decided to give it a go. The staff are really nice and helpful,the hotel is very clean.The rooms reflect the price you pay,you have heat (I VISIT IN WINTER), a bathroom and a bed,what more do you want? I take a travel kettle to have a cuppa when I wake up, but plenty of nearby places to get food and drink, a stones throw from Empire State Building. Would use this hotel again.	
Aug 15 2004	Herald the Herald Square Hotel	I am a regular repeat guest at the Herald Square Hotel.I have tried their smallest,cheapest rooms ,no views but very clean and everything works.My regular choice rooms are their queen sized doubles which are usually sold out.One must book far in advance.The staff always tries its best when and if a problem arises.Management is always available to be spoken to, they have always been fair and honest with me.I share my review with others because affordable hotels in NYC are a becoming hard to find and this one is a gem.	
Aug 12 2004	worst room ever	the room was small and faced an enclosed air shaft...when I asked for another room the service given had to be the worst I have ever experienced in any hotel or city I visited..I would advise to stay clear of this hotel...It made my NYC experience less than enjoyable	
Jun 30 2004	Good Budget choice Midtown but Noisy	We stayed at the Herald Square mid June 2004 in a Queen suite. The hotel staff were pleasant, friendly and helpful. The room was fine about standard size for a New York budget hotel. Maid service every day clean and efficient. The Herald is the former Life magazine building and as such has an interesting history. Between 31 and 34 streets are good midtown locations for subways etc but the streets around are very busy and crowded. BEWARE however if you are looking for a quiet hotel. After 3 or 4 days you generally adjust to the volume of noise in New York, however currently next door to the Herald Square hotel there is a building site being cleared for construction. We had been in New York 10 days before moving to this hotel and felt we had adjusted to the noise of the city, however even we found this particular spot VERY noisy. Check with the hotel before booking about this if you plan to stay more than one night, construction carries on late and starts early. Without the construction I would give the hotel 3.5 stars. There are no ironing boards, hairdryers, tea or coffee facilities in the room. You can obtain irons, hairdryers from the front desk for $20 deposit which we thought wasn't good customer service. We would stay here again if the construction had finished. If you require a taxi to the airport go in a yellow cab and do not use the service that one or two of the porters at the hotel will try and get you to use. This is a private company and although they say the charge is about $50 the driver will dispute this at the airport and request nearer to $100 because of toll charges, tips and service fee. Needless to say we told him where to go when we got to the airport, gave him $60 and left with our luggage, some people however may not want this type of problem at the holiday end. A yellow cabs fee to the aiport is fixed by local law.	
Jun 21 2004	For the budget traveler	Due to a last minute business trip to attend a trade show at the Jacob Javits Convention center, I stayed at the Herald Square Hotel in a room with two double beds at $140 plus tax. Every other hotel in NYC was either sold out or wanted $260-$375 plus tax. I could have stayed in Jersey for less, but didn't want the hassle of a morning commute into the city. The room was clean but my only choice was a smoking room and I'm a non-smoker. This is in a great location, within walking distance of Penn Station and the PATH station, right near Macy's. Like the other reviewers, you need to ask yourself how much time will you spend inside your room. The less time you spend in the hotel, the more you will appreciate its value. Parking is $21 per day, just around the corner; compare this to $40.00 at some of the mid-town hotels. Lots of Korean restaurants nearby for the adventurous or those on the Atkins diet; try the Korean BBQ!! The staff was very professional and courteous. 	
Jun 8 2004	Quality budget hotel!	I went to NYC just last weekend with my 2 friends and stayed at the Herald Square.The location isn't as good as it was said to be, nothing much around the block and it takes around 25 - 35 minutes to walk to Times Square.The subway stations are at least 4 blocks away, which is quite a walk considering the size of Manhattan.But the hotel itself was quite something. It's clean, spacious, well-equipped and comfortable.If you expect a nice view then that's one of the few things they don't have. Otherwise, you can expect to find all necessities there, a tv, a comfy bed, a very clean bathroom w/ bathtub, an in-room safe, a large closet and lots of lights.of course, this is a budget hotel, the staff can't be as polite as the ones in the Plaza, but their advices are useful and they are very efficient in helping guests.i would have given this hotel a 4.5 if i could, but a 4 is more like it considering the location isn't as good as ppl say	
Jun 3 2004	Do Not Herald THIS Square!!	Horrible from start to finish. Just horrible. If Elvis were alive today, he would perform &quot;In The Ghetto&quot; live via satellite from this locale. Good luck!	
May 5 2004	Like the Herald Square	Family memeber and myself have stayed at the Herald Square a number of times (but not in the past two years). I have to say that the place was very good value for money, clean, secure, well located...what more do you want. I'd also recommend the Portland Square Hotel (it's been a while since I stayed there, but on last inspection on the outside it looked ok). Please don't stay in these places if your expectations are 4 star.	
Mar 29 2004	Not my thing!	I spent an evening here in March 2004. Originally I'd scheduled a 3-day stay here before my vacations plans changed, and when I walked through the halls for the first time, I was glad I was leaving the next day! The place is intimidating - a reception desk sheilded with bullet-proof glass, grimy tile floors, dirty walls (or so they seemed). To be fair, the room was clean and newly painted...it just wasn't a place to relax after a long day of sightseeing.The staff was actually friendly for a cheap hotel in New York.It's okay if you plan to spend one night in NYC, but if you're staying longer and THAT short on funds, either get a chain hotel or a hostel.	
Mar 21 2004	A Good Alternative to the Homeless Shelter or a Cardboard Box	Out of curiosity I went to tripadvisor to hear peoples comments on the Herald Square Hotel. Several years ago we went to New York around Christmas ( the most beautiful time to be in New York City ) and did not wish to pay $200.00 a night plus 20% tax. The Herald Square looked decent online. How bad could it be? Well the location was good ( alot of Korean businesses and restaurants in the area ). Not the perfect location but fairly central. I've never been to a hotel before where the clerk had to buzz the door to unlock it so we could enter the lobby. The front desk is behind bullet proof plexiglass. Since our room was not ready you can store your bags in lockers (like the kind in a bus terminal) This is definitely not the Plaza. Upon my wife and I entering the room I knew we were going to have a problem. We were told the bed was going to be a &quot;French Double&quot; ...... we are both big people and had to sleep sideways!!! It did get really hot at night and since the window did not open we had no choice but to turn on the airconditioner in the window during the winter. You had to take a step up to enter the bathroom like on a cruise ship. Bathroom fixtures were certainly dated. --- To this day, my wife and I whenever rating a hotel always say &quot; We'll it's not as bad as the Herald Square&quot;! I travel alot and this was the very worst! It sounds like the European clients are happy with the hotel, yet the Americans are not. We paid about $80.00 a night plus tax. For a little more stay at one of the Best Westerns where they have to maintain chain standards.	
Jan 7 2004	If its a great location that your looking for!	Stayed at the Herald Sqaure in Jan 2003.We were slightly disappointed when we arrived.The web site was a bit generous in its description.The location was excellent to say the least.The fact that there is no comfortable reception are makes it feel a bit cold on arrival.The rooms were verging on tiny.They were clean &amp; very warm however.Would pass on the name of hotel to friends , but would be very clear on what they can expect.Others might not have been as complacent. Location is 5 star , hotel is debatable!	
Jan 5 2004	Not too Bad Not too Great	Mixed feelings about the Herald Square Hotel. On the plus side, the location is central, the front desk staff is very friendly, and the price is hard to beat. (Including taxes and fees, I paid $98 per night for a single room with bath.) The room was worn, but clean. On the down side: the room was an absolute inferno, and there was no way to open the window. There was incessant noise from the ice machine in the hallway (perhaps guests were trying to douse themselves with the cubes to cool off from the room heat?), so it won't be pleasant if you're a light sleeper. And the last morning I was there, one of the hotel's maintenance workers whistled so loud in the hallway, I thought my TV turned itself on to the Andy Griffith show or one of the guests checking in was Uncle Remus from &quot;Song of the South.&quot; All in all, if you just need a place to crash for one or two nights while you tour the city, it would be a good deal. But note to management, please quiet your symphonic janitor before sunrise.	
Dec 16 2003	Excellent location	Stayed here from 3rd - 7th December. Room small but clean, noisy central heating pipes but cosy inside from the snow so we didn't mind the noise. Perfect location and friendly staff. Would definitely stay their again	
