	value/location/clean	This hotel is for those looking for location,price,and cleanliness, not 5 star. This hotel was on central park west, 2 blocks from a subway, basic but clean, helpful staff, fuzzy tv reception, private bath, requested room with a balcony and overlooking central park, got both. Paid with tax $134 in nyc november. I saw hostels with shared bathrooms for that price.	
Jun 3 2006	Not for the feint hearted	Astor on the Park, New YorkWe have just spent 5 days at this hotel and although the price should have given the game away other reviews we read before going seemed OK.Our experience of the doorman, was helpful in trying to get you on trips - but getting specific information about going places the maps we already had were more informative.The room was clean but needed some tlc, eg the hanging space/shelf unit had a wedge placed to keep it balanced. For information the room we were in was 713.The last two nights of our visit were blighted by four youngsters in the next room to us calling out loudly and using inappropriate language. Yes we did complain to the hotel on the second night and were told that we couldn't move room to get a good night's sleep prior to our journey home.The morning of our departure we met the manager Robert by chance and he expressed surprise that we weren't allowed to move room, something he said he would be looking into. He offered us a room to shower in later that day as recompense.We would not recommend this hotel to anyone as it could possibly spoil their enjoyment of New York.	
May 24 2006	Nice view...needs to sort out the finer points...	We too had an issue with booking in. We had booked a twin room but were told on arrival that there had been a mistake and they did not have one available. They offered us a queen bedroom or the possibility of going to another (unseen) hotel. At no point did the receptionist apologise for their mistake and gave the impression that she was rather annoyed with us about the whole thing. After standing our ground for some time they eventually 'found' a room for us on the 7th floor with a double bed and bunkbeds. This room was quite big and was cleen, but the carpet was wet on one side of the room. The internet access in the basement is useful and quick but a bit expensive at $1 for 4 minutes.The location is great - easy for travel and brilliant if you want to spend time in Central Park. For a budget hotel this is acceptable but not brilliant.	
May 8 2006	Great little hotel for the money	We just returned from staying at the Astor on the Park for a 4-day weekend trip to NYC. It was a great little place to stay for the money. Our room was small, but I've stayed in much smaller in London and Paris. It was very clean, and linens and towels were changed everyday. Apparently it has been recently remodeled and the bathroom looked brand new with plenty of hot water every day. There was complimentary coffee and tea in the basement. The staff was very nice and friendly. We were able to use the computers in the basement to check in online for our flight out, which was fabulous! Catching a cab was a breeze. We just had to step out of the hotel and raise a hand. Very close to two subway lines. Broadway is just a few blocks over with tons of restaurants. And of course, Central Park directly across the street. We would definitely stay there again.	
Apr 29 2006	Great stay in New York City!!	During our first trip to New York City we stayed at the Astor on the Park Hotel. The hotel was nicely located on the Upper West Side with Central Park right opposite and it was easily accessible to the Sub Way, which we found was a great way of travelling around the city! We found the hotel to be reasonable for the price we paid and was nice and clean. Our room on the 4th floor was of average size with a comfortable double bed, air conditioning, sky tv, wardrobe and a lovely en-suite bathroom. The negative points were the fact that the room could've done with a lick of fresh paint, and the view we had was of a brick wall opposite!!! Whilst staying in the hotel we did have a few hours of no hot water and no electricity, but needless to say it was all sorted straight away! The only facilities the hotel actually provides is tea/coffee &amp; vending machines and also internet access. We found all the staff at Astor on the Park to be very accommodating and friendly, especially the doorman, Mohammed who gave us great tips and advice!!!! Overall i would say that the hotel was quite basic but was good for a base to sleep and change, which is all you need when you stay in New York City!!! We would definately stay at the Astor on the Park Hotel again!	
Apr 27 2006 	No Hot Water Hole in The Wall	I found the Astor to be a very small, small hotel, eruo style furniture, carpet can do for an upgrade unless you keep your shoes on the entire time before getting into bed. Nice front desk staff, very helpful. Subsequently they had no hot water. If I pay two-hundred a night or two-thousand a night or even two dollars a night.. I expect to have hot water.. No explanation from the Astor. They are working on it.. ok while they work on the boiler .. than the Astor needs to work on this bill... The front desk has no access to the computers to make bill adjustments, etc.. Not a place for children, , Expect to pay for internet access if you bring your laptop.. The location was ok if you view the hotel from outside ..Overall. I will never advise or recommend such an horrific place to anyone.. Not even a doggie motel.. Learn from these reveiews..	
Apr 19 2006	Nice Suprise!	After reading some of the negative reviews,we were as others have said a little concerned.But these worries were soon forgotten! The Hotel was ideal for what we required,granted the room was on the small side,but you had your own bathroom and shower and because you are out sight seeing all day,a bed was all you needed.The subway was only a short distance away aa was all the shops/delis and resturants you needed for breakest or dinner.The Hotel staff were all very friendly and helpful.All in all a memorable first time in New York!	
Apr 6 2006	Value for money	Despite reading all the negative reviews, I and 2 friends stayed at this hotel for 4 nights. Contrary to previous reveiws, all the staff were pleasant and helpful. The concierges were especially good - recommending local restaurants and trips.Rooms are small, as in most New York hotels, and we were given keys to two rooms to choose which was best. After two nights the manager gave us a larger room which had become available.Rooms and bathrooms very clean and there was no traffic noise from outside. No problems with noisy pipes either.Hotel is ideally located for Central Park - directly opposite. It is about five minutes walk from subway and then about six stops downtown.If you're staying at this hotel, there are some great little cafes, bars and restaurants within 5-10 minutes walk so you don't have to go downtown to eat.If you want a good, value-for-money hotel in NY there's no problems with Astor On The Park.	
Apr 4 2006	Great for the price!	I was a little skeptical about this hotel after reading some of the reviews but my fiance and I decided to chance it. We booked the Astor for a long weekend Mar 30-Apr 2. We are both extrememly fussy and were pleasantly surprised when we arrived. Lobby was a bit small but check in was a breeze. People at the front desk (on both night and day shifts) are very nice. Be careful with the doorman, he's a little pushy about bringing up your bags. The elevator is a bit small, only fitting about 4 average size people. I was extrememly suprised once I opened the room door. Yes our room was small, but it had a private bathroom and remember this is NEW YORK, if you want big, you gotta pay big. Everything, including the bathroom, was impeccably clean. Checked every single spot in the room before we decided it was perfect. Our room, 1005, has a small balcony facing out to other buildings. Not the nicest view BUT ok for us. The bed and sheets were comfortable and yes, we were woken up at around 6 a.m. on Friday morning to the rattling radiator but it only lasted about 5 minutes and didn't happen again for the rest of our stay. There is a subway station on either side of the hotel, which is perfect for getting around. It is a little far from all the attractions BUT with the subways so close, we had no problem with that. In the end, we actually prefered it that way after standing in front of the Hilton in Time Square @ 2 a.m. Check out was quick and they offered to make arrangements for a transport from the hotel to the airport at $18 p/p, which was not bad but we had already made other arrangements. To be perfectly honest, I thought it was a steal for $89 a night and would definitely stay there again.	
Mar 27 2006	Really Really Bad...	I had a truly terrible experience at this hotel, and I am not very picky. Beyond the teeny tiny rooms and the pipe in the bathroom that was so hot that it literally burnt my skin, the radiator was making horrible noises during the early morning hours and when I asked the front desk to do something about it they told me that later that day their &quot;engineer&quot; was going to have a look at it. I told them that they could have whomever they wanted check it out, but that I didn't want to have to be awoken to it again. When I called the front desk again that evening to make sure that it had been taken care of they assured me that it had and sure enough the very next morning at 4:30 it started clanking SO loud that it woke me up, again. After calling the front desk to report what was going on and telling them that I wasn't buying the &quot;engineer&quot; story a second time, a guy came up with a bucket, and emptied the radiator of the water that was within. To top off the entire experience, when I was packing my bag to leave I saw a huge roach crawl out from under the bed. It really is that horrible and anywhere else is worth the little bit more you are going to have to spend.	
Mar 17 2006	Not bad for the price	I paid $81/night and got a double bed room on 3/10 and 3/11/06. When i arrived to check in, they only had me down for one night but thankfully i had a print out of my expedia confirmation. The staff called expedia and quickly resolved the issue with no problem. The room was cheap for such a great, quiet location; there's a bus stop right in front of the hotel and there's a metro stop on 103rd st and 110th (the hotel is between 106th &amp; 107th). The staff was friendly and was more than happy to assist with any request. The rooms were tiny (i would NOT recommend this room for anyone expecting to spend a lot of time in their hotel room) and there was no closet, safe or comforters on the beds - but you're in new york city so why would you want to spend a lot of time cooped up in a hotel room?We used the room for sleeping and showering only. The room was neat and the beds &amp; bathroom were clean. The staff was very helpful in arranging transportation to the airport during checkout; i took a limo to la guardia for $45 and my friend took a bus to the airport in New Jersey for only $20.This room is perfect for those on a budget looking to spend their money on shopping and dining. Save your money for the cabs and stay at this hotel room! I would definitely stay there again - just make sure you bring a copy of your confirmation receipt!Enjoy, and have fun in NYC! =)	
Mar 17 2006	Prepare to get up 6am every morning!!! Noise problems	2 Main Problems!!I stayed there for 3 nights this early March.Firstly, the day time receptionist lady is extremely unprofessional, unfriendly and unapproachable.Secondly, there are some pipes problems which is noisy enough to wake me up at 6am in the morning. I stayed in Room 210, then when I requested a room change, the receptionist REFUSED to change the room for me and stated that due to the hotel building is very old, every room would have the same problems. So, clearly she already knew about the problem but despite there are other live-able rooms available, she chose to give me that room. It is until she was off and I spoke to the night time staff that they are able to change my room, to Room 1004, which turned out to be a perfectly fine room without any pipes problems.Somehow, the day time staff are nightmares but the night time ones are completely the opposite. I'd say that given the price I paid, it is quite a bargain. I would recommend this hotel if you prepare minimise your interaction with hotel staff as little as possible.	
Mar 17 2006	Not as bad as suggested	I was staying at the Astor last week for my first trip to New York and must admit, i was a bit worried by all the negative reviews that have been posted. On the first night, it seemed like they were all coming true! The whistling radiators, nowhere nearby to eat!But then after a good night's sleep (the beds are clean and comfortable) and a shower (the showers are really nice here!) i felt much better and then set about exploring NYC. And it's then you realise that the Astor is an ok place to stay. Once you learn how to use the subway and explore the city, the Astor becomes a really nice base. There are two decent cafes two streets behind the hotel, there is a grocery store nearby and of course, the hotel is right opposite the park, which is lovely in the mornings! But most of my trip, i found i was in central New York rather than in Central Park West (the location of the hotel) as it is a residential area and all the sights and the main attractions are further downtown - so much so, you'll hardly want to stay in the hotel area!You do get used to the noise and the rooms are clean, and towels good. I would say if you are expecting a hotel with breakfast, and extras to hand, the Astor is not for you. However, if you already know New York well and just want to enjoy the city and just need a simple base to rest, or you are prepared to find your own way and need a good starting point, the Astor is fine!One tip - if you do use the subway to get to the hotel, go to 103rd street and catch the 'C' train which is local and nearer the hotel rather than 'A' which is express and will land you up on 126th (which is what happened to us and we had to walk all those blocks back up!)	
Mar 11 2006	A Great Hotel To Stay In	My girlfriend and I stayed in the Astor from the end of February to early March 2006. We booked the hotel through Holiday Genie and the flights separately through British Airways - it saved a load of money. We paid £18 per night for 6 nights each which is REALLY good value (midtown hotels are over £100 per night).The Astor is located between 106th and 107th Street on Central Park West. Being so far up Manhattan meant it was really quiet at night, so we always got a good night sleep. Hotels close to Midtown are noisy and way more expensive. The hotel was about 5 miles from the heart of New York. However the M10 bus stops right outside the hotel, and the 24 hour subway on 103rd street made it easy to get downtown. Our room was fine. We were originally put in a smoking room but when we asked to change, the staff moved us no problem. We found the staff to be really friendly and polite. They even arranged our transport back to the Airport for $20, loads cheaper than a cab ($45).The rooms are small like a wardrobe, but then many hotels in New York will probably have small rooms. We found the room was really clean and well kept, the sheets are clean and the bathroom was really tidy as well, no complaints.Remember that there are no safety deposit boxes though, so put your valuables in your suitcase and lock them up when you leave.We used the hotel as a base, we left early morning and didn't return until the evening, because New York has so much to offer that we wanted to see and do. We used the Astor to shower and sleep.It was our first trip to New York so we went to see everything. The way my girfriend and I saw things, was that we went to see New York, not a hotel. If all you need is a place to crash, the Astor is Perfect.I would not hesitate to use the Astor again.PS - Have a Helicopter ride if you get the chance, they are well worth the money.	
Mar 4 2006	whistling radiators!!	we stayed at the astor for 4 nights in october because there was literally nowhere else with rooms in the whole city. there was absolutely no amenities within the hotel, and the room we had was very small but i found it clean enough.one problem was that you cannot control the central heating which is constantly on all night. every half an hour or so, the radiator goes a bit mental and starts whistling and hissing, loud enough to wake you up! because of this we tried to open the window in the room and the hall outside...which promptly fell out! needless to say i didnt let them know about this, but even after 2 days, they hadnt noticed and the window was just left lying on the corridor floor!the hotel is pretty poor, and is a it in the arse end of nowhere, but we didnt want to do the touristy things anyway, and set about touring the bars and restaurants of the upper west side and harlem which we found really cool and full of locals rather than tourists.	
Mar 3 2006	Okay for money if less noise!	We payed a reasonable amount for a week's stay.But no amount could make up for the continuing banging through the night.As we went in February which is cold the heating was on which makes a noise like someone in the toliet hitting the pipes with a hammer.After four nights of none sleep we had to ask for a change of room,which they did with no complaints.After this our holiday began.There is clean towels every day the rooms are reasonably clean.BEDS ARE CLEAN.The subway is near,the staff are helpful,coffee and tea downstairs is free,you can ask for a heater if you are cold,there is plenty hot running water.I myself have read some of the other reviews and notice people saying there is no near shops but if some people are willing to explore two blocks behind the hotel has loads of shops that my husband and I walked to most nights for something to eat.So if you don't mind being a little out of the buzz and for the money and right room the hotel is worth the money.My friend got a hotel in time square and couldn't sleep for sirens and noise so there's a thought!	
Mar 3 2006	You get what you pay for!	We stayed at this hotel during the heavy snowfall in February, the heating didn't work properly, and when it did, it banged all night, other guests were getting annoyed at the noise and started banging on their floors at 2am. The hotel staff did try to fix the heating, it came on for a few hours each night but not really enough given the sub zero temp outside. We didn't sleep much due to the noise of other guests and the noise from the heating.The hotel was clean and tidy and our beds were made every day, the room was very basic but for the price you cannot expect more.Staff were friendly and helpful and kept our bags at the hotel on our last day as our flight wasn't until the evening. Beware using their car service to the airports if you get travel sickness, the person who took us to JFK was a manic driver and I was ill by the end of the journey.Nearest underground station is a couple of blocks away and we didn't have any trouble using it.This hotel is suitable for people on a budget.	
Mar 1 2006	The Astor is bad even at a discounted price.	We've been to New York many times, so don't feel the need to stay in the middle of everything. If you've never been to NYC you really should choose a hotel closer to the action. Spend the extra cash and enjoy your hotel. This one leaves a LOT to be desired, so is hardly worth the inconvenience of the location.We booked the Astor after reading about it here. We requested a room overlooking the park as suggested. Our first night they didn't have one, and they moved us the next day. We should have stayed on the inside. The heat was broken in the room - we had to keep the windows open and the noise outside was unbelievable - not just traffic, but people yelling outside all night. Noise INSIDE the hotel was just as bad. The radiators banged and there was a drilling noise for a lot of one evening. If you're a light sleeper, don't expect much peace here. The walls are paper thin to the hallways and the adjoining rooms. And since it's a discount hotel, expect a lot of younger hotel guests. We could not get ahold of anyone at the front desk - ever. We couldn't get a wake up call, or someone to explain to us how to set our in-room alarm clock. We couldn't get them to deal with the noises. We couldn't get them to fix the radiator. We couldn't get them to fix the television. (We were exhausted one night and just wanted a night in, but no dice - the tv didn't work and the room was a noisy sauna) We couldn't get anyone on the phone for anything. The staff mill about like they are college students in between classes. They gossip amongst each other and complain about the other employees. Loudly, while they're ignoring you. They don't know where anything in New York is. Only a couple actually spoke english. It's difficult to get directions to the drink machine, never mind directions to Times Square. The staff are very unprofessional, and we were hassled non-stop by the doorman - different ones, when we could find one - to book their in-house limo to the airport. It's the only thing they cared about. We eventually DID use their limo, and by the time we got to JFK I was ready to boot. The smell, the lack of suspension and the chaotic driving all made it a ride from hell. You can book a car service for free from the internet terminals downstairs - I highly recommend skipping their car service.Housekeeping was great. Our room was always immaculate, the towels were nice and the bathrooms were spotless. The linens were also of a good quality, the beds were quite comfortable. Nothing went missing, and we tipped them at the end of the stay. If you're low maintenance, this may be a good bet for you. If you expect any kind of customer service from your hotel, don't book the Astor.The subway is a quick walk from the Astor, although I wouldn't want to do it at night alone. There were shady characters loitering about the subway entrance quite often. One night the man across from us was going through a womans purse and discarding things from it. A cab is about 10 dollars to times square. There are great restaurants starting in the w90s, but you have to go up a block - there's nothing but residential almost all the way of the park, not even a starbucks.You can get coffee, sodas and internet access in the basement. There is a store not far from there, but there is NOWHERE to eat for blocks and blocks. If you stay here, be sure to walk through Harlem to Amy Ruth's restaurant on 116 and Lenox.	
Feb 28 2006	Good value if on a budget	We stayed at the astor for five nights and were pleasantly surprised after reading some bad reviews before going. The room was clean (but a little on the small side) with a good view over central park. The staff were friendly and helpful, particuly Felicia from reception. The hotel is near Harlem at the top end of cental park west, however there is subway a couple of blocks away on 103rd street to take you to all of New Yorks attractions within a matter of minutes. We were told before going that the hotel offered continental breakfast, when in fact it was just free tea and coffee down in the basement. However there are a few very reasonably priced delis a few short blocks away. The next time we go to New York we would stay somewhere a bit more central but would definately recommend the astor to anyone on a budget.	
Feb 27 2006	I Am A Travel Agent	I work for First Choice Travel agents,and i treated my mum to a christmas shopping break, i felt so ashamed for booking this dump, it is no way walking distance to any shops, restuarants, bars or anything excited, the hotel has no bar or resturant, the staff are completly useless, the rooms have very little heating and the lifts are not suitable for the size of the hotel. This hotel is well below parr and i would not sell it to any of my customers, it was so bad i received a full refund, please i promise you do not book this hotel,	
Feb 23 2006	Not bad but could do better!	I stayed here with some friends a couple of weeks ago and it wasn't too bad but I don't think I'd go back there.The staff where helpful when they didn't have our reservation and we ended up in a room with an amazing view of Manhatten.I would warn people of the concierge who tried to sell us something everytime we stepped into the foyer - he even interupted a phonecall! The lift is the noisest and most unreliable lift I've ever come across. Which was confirmed just before we left when it broke down and we had to trek up ten flights of stairs. The concierge did help us with our bags though.They also decided to start banging holes in the wall half way through our stay which wasn't great, it left the place in a bit of mess.Be warned of the groups of American teenagers who might stay and shout 'drink, drink, drink' through the night.I would stay somewhere else next time so I could be more central, although its easy enough to get the subway.Oh and the maid did throw away a bag with food in that I'd bought. When I went to tell reception the guy was so serious and sincere about it that I suspect he was taking the piss out of me for complaining about something so small. A couple of towels also went missing and no one ever got back to us about it. Don't leave things lying around.I'm being a bit unfair though. The hotel suited us fine because we were never really there - we went for the city not the accommodation. If you want a reasonable, budget hotel and you don't mind a few hiccups along the way then you'll be fine here - and you get free coffee!Enjoy New York - it's fantastic!!	
Feb 20 2006 	Absolutley horrible	Everything from the reservation to the location to the elevator were horrible at this hotel. I have traveled extensively and have not been at a hotel this shabby in years. Would NOT reccommend.	
Feb 18 2006	HOTEL FROM HELL!!	Having read many poor reviews about Astor on the park,it definately lived up to it's bad reputation!.When we arrived we were checked into a room on the 5th floor and the one elevator they had was'nt working.We were'nt offered any help with our luggage at all.When we got to our room we opened the door to discover that somebody else was already staying in it.My husband went back down to the reception area only to be told that the person that had allocated us the room was on their break and until they came back there was nothing that could be done.After waiting half an hour my husband re-appeared with a key for another room, i have to say i was so relieved as we'd been travelling for 8 hours. Sadly it was short lived when we entered the room it was clearly filthy with urnine all over the toilet seat, dirty towels on the floor, need i say more.We finally got a room with a broken shower and clanging water pipes.Booked into a different hotel the following day and had an amazing stay. Astor on the park may be good for young couples trying out the club scene in New York but thats all.If you can afford a little more then it's definately money well spent!.	
Feb 16 2006	Read before u book!	I was dubious of the Astor Hotel after reading reviews however it really isn't that bad...well our room wasn't. Amazing views of park and Manhattan with balcony. We were made to feel 'lucky' we had a big room (double and a bunk) very decent size, bathroom very clean, beds and clean towells changed daily.However on checking in they didn't have our reservation (possibly tour operator's fault?). It was sorted within 1/2 an hour though.The staff were fairly friendly (conceirge maybe a bit too pushy with tyring to sell us trips etc?!)and helped with luggage etc, even when the lift broke-brings me on to my next bugbear - the noise...I've never heard such a noisy lift (there's only 1 slow, tempremental lift) and doors on each corridor bang all night long.Bear in mind that young groups may stay there as we had what I can only describe as a frat party upstairs. We also had a small wardrobe and no other storage for clothes etc so u may well live out of your suitcase, literally, but they did have an iron and board in the room.It's close to 103 subway and the park but maybe a bit too close to Harlem. Not really much in the area to do for tourists apart from the park.The trek to the city does get weary though but taxis frequent the area.My advice for New York in general? Take the comfiest trainers/flat boots/shoes you own, follow an itinerary and you'll have a wicked time.	
Feb 15 2006	Great price great view	Stayed at the Astor the week of Thanksgiving. Our first room smelled of paint - front desk happily moved us to new room. New room had a balcony which overlooked Central Park and gave great skyline view of city. Room had a queen sized bed which we used for sleeping and a twin sized bed which we used for luggage. Housekeeping staff did an amazing job - very clean everyday. TV got very few channels...but who comes to the city to watch TV?!?! Elevator is very tiny and very slow.If you are looking for a clean room to sleep in, the Astor works.	
Feb 14 2006	I liked it and I'm really fussy!	I've just come back from New York and stayed at Astor on the Park for six nights with two girlfriends (we're all aged 22-23). I don't mind admitting that I'm really fussy and was honestly dreading staying there after reading some of the reviews on this website, however I needn't have expected the worst as the hotel was fine for us.For me the facilities were level with those of a typical 'chain' hotel in England and in a modern style too. The bathroom was really nice, new and clean, our room (1001) was a good size with views over Central Park and the Manhattan skyline from the balcony and the staff were also very friendly.There is a subway station at 103 street about three blocks away and about five/six stops takes you to Times Square, although this maybe isn't ideal for people on a shorter break than us as we did get fed up of the trek back to the hotel to get changed before going out at night.I don't want to make this seem a bad review but some things to be aware of: the lift - is a bit scary and woke me up at night every time the doors shut. It broke on our last day and we had to walk up and down to the tenth floor although fortunately the staff helped us with our cases! Don't take your own towels as these might end up in the hotel laundry like ours did by mistake (their's are good anyway). Location isn't great for restaurants, shops etc. nearby although the A train runs from Downtown all through the night and there's a handy corner shop at the end of the block. I was also under the impression we were lucky to get such a big room so ask for 1001 if there's four of you and you and two don't mind bunks.Enjoy New York it's amazing!	
Feb 13 2006	stay away	the pictures don't do justice the rooms are super small the services is less than frendly and in the event of snow storms and mother nature problems they get you good so check the weather and stay in brooklyn	
Feb 6 2006	I'll be back!	The rooms are SMALL, which is normal in the city. The room was clean and the shower was great! Next time I need to stay in the city I'll be back to the Astor.	
Feb 6 2006	Really relaxing Hotel!	We stayed in a hostel for 3 days before we came to the Astor, wow it was a great change- after reading some of the reviews about the area its in and the size of the rooms, well from the room we stayed in, 508, i couldnt agree at all-our room was amazing, it was a perfect size, if anything we had alot more room than we needed, very clean-beding was really soft and comfortable. It was 3 blocks from the nearest metro-buy a metro card if your there for the week-its $24 for 7 days and really worth it, not as scary as you'd think! The area is nice enough, didnt see any problems-but to be fair didnt walk up to the harlem area so didnt see that side. There were 2 faults with the hotel 1.)it was quite noisy, could hear almost every car, truck, bus outside-but ok, 2.)i think that my camera was taken from our room-as my memory card was full so left the camera on the side, and the next day wasnt there-so just to be warned keep things safe. make sure you go uo the GE Rockefeller Building, its a hidden gem in NYC with great views of the empire state and central park-which is alot less crowded than the empire state.	
Feb 1 2006 	Completely Satisified	After spending hours and hours on line, reading reviews of the &quot;reasonably priced&quot; hotel options in NYC, I finally chose Astor on The Park. We weren't looking for anything fancy - we simply wanted clean and comfortable at a decent price for New York. That's exactly what we got. Our room (#904) looked out over the park, down to the Manahattan skyline. It was spotless clean, with cozy bedding, thick nice quality towels, great hot shower, and a new attractive carpet. The room was REALLY small, the bed was a double, so if you need space, this isn't the place to stay. It is located way at the top of Central Park, but there are 2 subway stations within blocks, and it's a quick jaunt to downtown. The service was genuine, helpful and very friendly. They have a couple of computers so that you can get on-line (you pay) but I got a wireless signal in our room. We paid $70.00 a night (reservations from lastminutetravel.com). There are 2 24 hour parking garages within 2-3 blocks, and we paid +/- $13.00 per 24 hours to park. Not bad for New York! We would most definately return, and we thank the nice people at Astor for helping to make our trip so pleasant.	
Jan 29 2006	the best hotel in new york	this hotel was top class the staff were very helpful,the rooms were very nice and well kept. the only bad thing was that we got to the top of the empire state building quicker than we got to the 7th floor of the astor!!we really enjoyed new york and this fine hotel.it was located just across from central park and it was only a short tube journey from central manhattan. or we found it nice to walk through central park and down into times square, which is quite far but the scenery more than makes up for it!Gilbert was the best concierge ever,would go out of his way to help us. overall this holiday was 100% and were already talking about going back to new york....to stay in the astor of course!	
Jan 22 2006	No regrets	Didnt quite know what to expect having read the reviews on here. Was very pleasantly surprised. The staff came to our cab and collected our bags and then delivered them to the room, on the way home they got us a ride to the airport in a very plush sedan car for the same price as a yellow cab. They were always courteous.First impressions of the room were positive too. Basic but clean with a telly and alarm clock, the bathroom was small, but stylish and pristine. First night we were gasping for a drink, and didnt realise there was a drinks machine downstairs from the reception - found it as we were leaving, doh! There was also two internet PCs and chocolate vending machine too. Just around the corner there was a grocery store so thats where we got our morning drinks from.I think some people expect too much from what is essentially a place to sleep and store your shopping. Ive paid more for a room literally half the size in Blackpool!From the bus stop directly outside, or the subway 4 short blocks away, you could go pretty much anywhwere of interest without even changing trains, all the way down to Battery Park.A walk back to the hotel means a 2 mile trek through the entire length of Central Park, well worth it if your feet can stand it, but the location sometimes made it a bit of a drag if you just need to dump the shopping and freshen up. On the other hand you get to experience things you wouldnt normally, like a fantastic breakdancing troupe on the subway train heading downtown.	
Jan 15 2006	Christmas In NY	Completely average, think motel rather than hotel. This is budget accommodation. Rooms very basic, very tiny but clean. Central heating poor, we had to request an additional portable heater. No catering just vending machines in basement. This is an old building that has received a recent face-lift. Minor irritations with poor quality finish. Not as good as picures would suggest.In our opinion just a bit too far out of town at 106th St.Some rooms have park views, but nothing special happening at this end of the park. If you are an experienced visitor and just need somewhere to sleep, this would be fine. For first time visitors to the big apple, pay the extra and get closer to the city.we would not use this hotel again.	
Jan 5 2006	OK to get your head down but don't expect the Ritz!	My friend and I stayed at the &quot;Astor&quot; in the weekend before Christmas 2005. Despite reading some mixed reviews here on TripAdvisor, it was one of the only places left in a lower price range.Astor is located opposite Central Park on the Upper West Side. The Neighbourhood is fairly quite, so expect to grab a taxi or subway if you want to get anywhere interesting. The subway (103st) is about 4 blocks away (5 mins walk). This line will get you to Times Square in about 10-15 mins and we found this to be an easy journey.The Astor isn't a pretty hotel. The lift, stairs and corridors are small and pokey. Our room (210?) was quite small and drab, but did manage to squeeze in 2 double beds, a small TV and a wardrobe. The room had one window looking out in to the centre of the building which let in no natural light, making the room quite gloomy. Some natural sunlight would have made the world of difference. Due to the high-rise nature of New York's buildings, this is quite common unless you're paying mega-bucks.The bathroom however looked excellent. Better than some more expensive hotels I have stayed in. Marble-tiles and good quality fittings, clean towels and good quality minitures. Perhaps the hotel is undergoing a refit? Problems.We had a couple of problems while we were there. The radiator in our room (the heating system appears to be steam powered and can sometimes be a bit noisy) had a small leak, and our toilet got blocked (a common problem at the Astor it seems). We also foudna couple of small cockroaches in the bathroom. On both occasions we reported this to reception and they were very apologetic and fixed the problems without hessitation. The reception staff were excellent, very polite, helpful and friendly and should be commended.There is no restaurant or food service at the Astor, so don't expect any room service. We found a great place for breakfast is &quot;Pancakes on Columbus&quot; on Columbus and 108th. Free Coffee/Tea/Chocolate is served in the basement every morning and evening.It's an OK place to get your head down, but its not somewhere you would want to bring your sweetheart for a romantic weekend! We were two single guys just in town for sightseeing and Nightlife, and we would have been embarrassed to have brought anyone back to the room! On the whole, I would probably try to stay somewhere else if I return to NYC, but if the Astor was the only place available, it certainly wouldn't be the end of the world.	
Jan 3 2006	Mixed	We visited NY between Xmas and New Year 2005 and as it was a last minute thing we didn't have much choice of hotels in our price range. Astor on the Park is a boutique style hotel, a bit far out which could be expensive if you don't use the subway and use Taxi's instead. I found it small but clean. The heating system was VERY noisy and I woke up at 4.30 each morning to clanking. We did have a bizarre experience the first night. We went to bed and woke to find water pouring through the ceiling. We immediately called reception and they changed us to a different room but after just travelling for nearly 24 hours door to door it wasn't what we needed. The next day I complained and they tried to tell me that if I had any issues I had to go through our agent (Lastminute) which seemed like a load of rubbish to me - after all it was their hotel that was leaking. To be fair to the hotel staff they did upgrade us (after us moaning) but the noisy heating didn't get any better - and I didn't like them trying to pass the buck.	
Dec 29 2005	Great Place To Stay	After reading some of the reviews I had some second thoughts, but I was wrong. The Astor is a great hotel that is situated in a nice neighbourhood. If you walk towards 110-112 street you will find a lot of nice bars and restaurants in the Columbia University district filled with fun people.It is easy to catch a sub from the hotel to the downtown area (15 minutes) and it is nice to come home to a quiet neighbourhood after all the NY - noise. If you are going for the city and only plan to shower and sleep in the hotel, this is an A-ticket, as the hotel is clean and friendly and there is morning coffee.If you are looking for some staying time on your hotel room, do not go here, cause there is no cable television, no movie channel and the rooms are small. Have fun!	
Dec 20 2005	Not A Disastor On the Park !	Great position about 3 or 4 blocks away from subway to catch B or C trains to the top of Central Park. Small rooms but clean with nice bathrooms. Fresh towels and tidied rooms when you return from a hard days shopping. Tea and coffe availavble in the bsement room but advisable to buy some of your own milk as they ususally forget to buy some!This is handy as to buy breakfast your gonna have to walk a few blocks to get some - so helps you on your way. I have plenty of designer clothes and toiletries but none were stolen or used etc - we did however keep money on us at all times. Eating before you get back is also a good idea as there are not many places to eat immidiatley close to hotel. Harlem is quite near but not in the direction that most tourists want to go, ie shops etc. Be vigalent and have a great time in an amazing city.	
Dec 20 2005	Small room but decent value for the price	We stayed 23-25.Nov.05 during the week of Thanksgiving at the Astor on the Park. The location was close to my daughter's apartment and the price was good also. The Astor was the only hotel that did not jack the quoted price for the 2 holidays (Thurs-Fri) we stayed, all 3 nights were the same price. The room was small but clean; the window view was of the Empire and Chrysler Buildings so that was nice. Elevator a little jerky but made it an adventure to go down to the lobby. Hot water took a little while to arrive but it was scalding and plentiful when it came. The only advertised feature that didn't occur was the free morning coffee, none was available the mornings we were there. Location was good, easy to catch cab and subway close by. We'll likely stay here again when we go back to NYC.	
