	Location Location Location	Great location great service the most comfortable bed ever. I stayed at the hotel for 2 nights in August and it is a great hotel. The staff are all very helpful and attentive. I dined in the restaurant for dinner and breakfast and could not fault it on either occasion. I would recommend this hotel to any of my family and friends.	
Jan 16 2006	You can't beat the location! One of Midtown's best	We've always stayed at the Essex House when in Manhattan primarily due to the excellent location and the fact it was a Starwood Property. Unfortunately, this will be our last visit there since they are leaving the Starwood Group (Westin). We use Starwood Points to get a free stay (our last one was 10 nights - 12/23/05 to 1/2/06!) We've always received some sort of upgrade (which you won't get if you don't ask). Last visit we were put on the 37th floor on the St. Regis Club level. The room was bigger than a regular Essex House room. The amenities were Acqua Parma which are a cut above. This is an old hotel so the plumbing drains slowly. The bathroom and room were clean. However, Westin's housekeeping department needs work. They kept taking our wash (face) cloths after repeated requests not to. Oh well, a small annoyance.The restaurants were a little pricey for my budget. We found some excellent ones nearby (Angelo's Pizza, Nino's Tuscany, Fontana Dei Trevi, Europa Cafe, Carnegie Deli).I found out that some Middle Eastern conglomerate has purchased the Hotel and will be doing a several hundred million dollar renovation! If these folks treat this place like hotels in Dubai, it will truly be THE place to stay in New York! While renovating, it will be not too nice. Word to the wise - ask about renovations before booking.	
Jan 13 2006 	This was the perfect place to stay.	The Essex House scored high on two scales: location and comfort. Since Central Park and the nearby museums were such an important feature of my vacation, being able to step out the doors of the hotel and cross the street into the magnificent park was a huge treat for me. The Essex House is very comfortably within walking distance of the Metropolitan Museum, the Museum of Natural History, and the great shops on Fifth Avenue. Maybe it's just a little too close to Fifth Avenue.My room was comfy but not stuffy (although, because I stayed on a lower floor with an 'Inner View', I was treated to all the middle of the night noises that make New York special: cars, trucks, sirens). The Westin chain's sumptuous 'Heavenly Bed' really is a treat for a bad back like mine and it helps restore the body after days of walking (the reason most Manhattanites seem to be very fit). My room was satisfyingly clean and well appointed. The 'Heavenly Bath' - consisting of a two-headed massage shower head, crescent curtain (for more elbow room), marble floor and sink surround, and luxury amenities - was compact but easy to move around in. My only complaint about the room would be that it seemed to be slightly dilapidated; in the bathroom, wallpaper was loose in several places and hanging from the wall in a strip - and, despite my mentioning this a member of the housekeeping staff, no effort was made to correct it. I later learned that the entire hotel is slated for renovation this year, so that may explain its having 'slipped' a little in the maintenance department. However, guests should not have to bear any burden because of this. We pay for immediate comfort, not future improvement. The wallpaper should have been fixed.I did not have the opportunity to dine in one of the hotel's fine restaurants (which I regret), but dining in my room was an enjoyable experience. The room service staff were accommodating and pleasant. The Journeys lounge was a cosy, lovely environment for hanging out with friends over a drink and a delightful snack.Without exception, the hotel staff were efficient, respectful and pleasant.I'm not sure what's in the future for the Essex, since it was acquired by the Dubai Jumeira group and will cease to be a Westin hotel this year. Since the Jumeira group has announced that they will continue to operate it as a hotel (albeit with fewer rooms), I believe that it will continue to be an even lovelier experience for visitors to the city. My only selfish concern is that, after the proposed renovation and management transition, it may be much pricier.Overall, a delightful experience, and one I'd love to repeat.	
Jan 12 2006	Great Location Good Looking Hotel	Brilliantly located for Mid/Up Town. We started in a lousy back room but got moved to the front of the hotel overlooking Central Park - this made all the difference. Beautiful view to wake up to, even though there was a little traffic noise, but the room was comfortable and to see the Park and soaring buildings surrounding it made up for everything. Staff were a bit curt on the front desks but everyone else was charming. Made a lovely break.	
Dec 21 2005	Not bad	Had a pleasant enough stay here considering I booked the cheapest rate they had (still over $400 but for NYC in Decemeber that is what it costs for any decent hotel)I put a premium on space and the Essex House scores big there. Bathroom was a decent size but missed the mark on luxurious. The Heavenly Beds are the centerpiece.Service was ok, not bad, not great. Could see how the front desk could easily get overwhelmed and my calls to the operator / front desk did go unanswered twice. Overall, this was a fine stay, but I will probably look somewhere else next time.	
Dec 21 2005	Will keep coming back!	The Essex House has become our home away from home in NYC. It's grand but not overwhelming, gracious without snobbery, and luxurious, comfortable and livable at the same time. The price is right most of the time, with park view rooms hovering between $280 and $380 per night. We stayed in all three types of park view rooms, the superior queen (small and cozy), the deluxe king (wide and spacious), and the suite (the size of an apartment). Black marble bathrooms are all the same size, with the Westin Heavenly bath and shower. Here's a tip I don't think anyone else has mentioned: don't order room service. Instead, ask the concierge for recommendations for very good local delivery places. My concierge pointed me to two amazing delivery eateries: the redeye grill, for american fusion seafood cuisine, and rue 57 for french/japanese food and amazing sushi, all of which I viewed the menus for online. We've already got our park view reservations for spring 2006!	
Nov 28 2005	Nice getway	Had a romantic, weekend-getaway in NYC. Room was very clean, comfortable, typically NYC small (but not cramped). Our room had a 6th-floor (treetop-level) view of Central Park. Lots of street action outside... tour buses, horse-drawn carriages, joggers, some honking horns, (but that's the city!). Great location near the remodeled Colombus Circle, lots of local restaurants, walk to Lincoln Center (6 blocks) and Rockefeller Center. The room was pricey, but you're paying for location. Only cons were the spa (small, no whirlpool, had sauna and steam) and no in-room safe; exercise facility was adequate. Staff and service were great.	
Nov 28 2005	Great time at the Essex House	I had a wonderful time at the Essex House over the Thanksgiving holiday with my family. Our room was a nice size for a NY hotel, and was attractively furnished, very comfortable and clean. Although we had only one sink in the bathroom it was generously sized, clean and attractive- all marble and with the signature &quot;heavenly shower.&quot; We booked the least expensive double bed room and so had an interior view. We loved the location right across from the park and convenient for shows and museums. We were able to walk everywhere. We enjoyed a drink in their cozy bar with couches and a fireplace, but we did not try any of their restaurants. We found plenty of easy and inexpensive places for breakfast right outside the hotel- try pick a bagel for coffee and bagels or Brooklyn Diner for a delicious and reasonable breakfast. The employees we dealt with were always friendly. We would definitely stay here again.	
Nov 20 2005	An interesting Westin	Why Westin puts its name on the Essex House remains a mystery to me. It was just so different from your typical Westin. And given the capital Starwood spends on developing its brands, this inconsistency seems rather strange.Unlike the typical Westin, which features contemporary facility and down-to-earth service, Essex House is all about the old New York. In many ways, it reminded me of the Waldorf. The lobby was decorated in a conservative/traditional style, but it lacked the grandeur and scale of the Waldorf or even the run-down Plaza. The room I got was on the small side, and the &quot;Heavenly&quot; amenities were nothing special. Service was quite poor - snobbish staff without the class to back it up.What really bothered me was the fact that this hotel was neither grand nor intimate. The Carlyle and the Mark are small, but they leverage on their size to offer personalized service that creates a home-away-from-home for their guests. The Waldorf and the Plaza go the opposite by impressing you with their grand public spaces. They are all clear about their strengths and weaknesses, and they position themselves accordingly.In this case, the Essex House took the worst of both worlds - impersonal service and unimpressive public spaces. Is this a bad hotel? Absolutely not. But for the rate I paid, I expected much more.	
Oct 27 2005 	Hated to leave!	We stayed at the Essex October 11 through the 21st. Upon arrival we requested a king room with a park view instead of the queen/park view room we had reserved and were told nothing was available. Our queen room on the 9th floor was impossibly small so we called to say we needed a larger room. Our bellman got on the phone and suddenly a king room, park view on the 5th floor was available. We weren't crazy about being on the 5th floor as we had requested an upper floor, but the king room was so much nicer than the queen that we stayed put. On our third night we seemed to have a smoker on our non-smoking floor. This person smoked late into the night. We never complained but others on the floor did since we saw security sniffing at everyones doors. Finally on the sixth day we asked to be moved since the smoker could not be aprehended and he didn't seem to be leaving. We were immediately given a king/park view on the 11th floor which had a much nicer view and less traffic noise.Other than having to switch rooms everything else was wonderful. To a person the staff was friendly and excellent. The bar downstairs is cosy and a pleasure to have a drink before going to our room. The carpets in the room could use a cleaning but otherwise everything was great. My one complaint is the lack of a coffee maker in the room and the extremely expensive room service menu.I would gladly stay here anytime. Just be sure to pay for a park view and a king room.	
Oct 21 2005	Magic CAN happen!	I spent five nights at this hotel in mid October. I originally chose it because of its proximity to Central Park and I was not prepared for how wonderful the experience was. Because my plane from California landed at JFK at 6AM I couldn't get checked into my room until noon but the helpful girl at the reception desk told me I could leave my luggage there (safely), go to the park or wherever, come back at noon, and go through the check-in process. This worked perfectly. I had made my reservation by phone in April and had requested a high floor on the park side. I was, in no way, prepared for the view: three huge and sparkling clean windows overlooking the park. I could see all the way to the Bronx. It had been raining for a week and the park sparkled. The city lights sparkled at night. The sight was amazing and worth every penny that I paid for that room.Not everything, however, was as perfect as that view, but the things I had problems with were very minor and very fixable. Housekeeping had left no washcloths one morning. One request brought some and they appeared ever after. The toilet seat was one of those flimsily attached by flexible plastic and it wiggled all over. The toilet had a habit of running but after handle jiggling, it stopped. The water pressure, even as high up as I was, was fantastic...in the sink and in the shower. The shower was excellent, once I figured out the controls. It would have been helpful to have had a primer on the operation because it was rather unique. The bed, as has been previously mentioned, was soft and cushy and clean. The carpet had a few stains but so what. Designer water available for $5.00 but nobody said you have to buy it. Tap water was fine! Lighting...lots of it and plenty of watts. Roominess in the room? A desk, a loveseat, an easy chair, a monster size bed, a chest of drawers with top space for luggage, two huge closets, a big TV, an end table by the bed, a table by the chair, three phones (I'm sure I've forgotten something), and still lots of space. Of all the positive things about the Essex the best of all was the human element. To a man, and woman, ALL staff was professional, professionally dressed, friendly, helpful, and cheerful. The gentlemen out on the sidewalk could get a cab in a jiffy and didn't mind arguing with drivers and calling security on drivers they thought might be trying to stiff the hotel guests. I witnessed one such exchange. Oh, the power of those Essex doormen! They were terrific. Would I go back? In a New York minute. Thank you, Essex House. I miss you already. My own bed and shower and view seem very, very lame. I almost forgot...because the hotel's check out time is noon, and because my plane didn't leave Kennedy until 7PM, once again the hotel allowed me to keep it as my base of operations (they stored my luggage and allowed me to use the &quot;facilities&quot; when I wasn't in the park and finally, their super doormen hailed one last cab for me and got my luggage safely stored in the trunk of the cab). Boy, did I hate to leave. I had the feeling there that I was being well taken care of and completely safe. I think a tourist or traveler would be wise to stay at the Essex House. I am sitting here in sunny Southern California thinking about what the first snowfall would look like from those windows. California dreaming is turning into New York City dreaming.	
Oct 18 2005	Not bad!	My husband and I stayed here for two nights on October 12 &amp; 13 and the hotel was pretty good. We had a nice, clean, comfortable room that faced the street behind. The bed was super comfy, the double showerheads different and I have no complaints. Everything is nearby or within walking distance or a quick subway ride. I just wished it didn't rain the entire time we were there.	
Sep 19 2005	Oasis of peace and quiet	The Essex is an oasis of peace and charm in this very busy and noisy city.Our room which was a deluxe with park view was excellent and very clean. My wife and I found all the staff to be very helpful except - the ones behind the concierge desk who are full of their own self importance which consequently makes them very unhelpful.That aside I would definately return .	
Sep 9 2005	Fine Stay!	Stayed 8/31 - 9/6 and enjoyed our time there. Front desk staff was very friendly and assisted with a complicated reservation (2 rooms, using Starpoints for part of the stay). Our 8th floor Queen room had a lovely view of Central Park. As expected, it was New York small but clean and comfortable (the Westin Beds can't be beat!) Didn't eat at the restaurants but the location is perfect for strolling anywhere in Manhattan. I would stay there again.	
Aug 31 2005	A Great Stay at the Essex	Outstanding hotel. The bed was very confortable, the room was quiet, the shower was wonderful. The staff was attentive, friendly and helpful. I have chuckled over the complaints about the small rooms...what are people expecting in an older, historic hotel in the middle of NYC??? I thought the room was plenty big enough and was very comfortable. The restaurants associated with the hotel are very expensive, but there are great bagel/ breakfast places within a block or two. I would stay here again.	
Aug 30 2005	horrible night at the essex house	horrible room called to get moved - even offered to pay more and they never even called back. bad service in the restaurant. there are so many better hotels we have stayed in - trump international, the peninsula, the rhiga royal, omni - very sorry we wasted a night at the essex	
Aug 28 2005	A week at the Essex House	Nine of us travelled from Aberdeen, Scotland to stay at the Essex House for one week on 28th July 2005. Two of our group got married in Central Park during our stay.We were originally booked to stay at the Plaza but our reservations were changed to the Essex House after the Plaza closed down. We had expected a totally luxurious hotel for the money we paid and some of our party were disappointed by the Essex. I am not sure if we could have had a more luxurious hotel for the money we paid or if the standard we received was correct by New York standards.Many of our group were disappointed by their rooms. My husband and I however were not. Out of the 5 rooms our group occupied ours was the largest, a very good size. The heavenly bed and heavenly shower were both fantastic! The bed was huge and the shower had a double head - bliss!We did not eat in the hotel during our stay as it was extremely expensive but after talking to guests who did I can say the food was of a very high standard. The hotel bar was also very expensive so we tended not to spend too much time there either. But I am sure this is the case in any large hotel in any city world wide.We found all of the hotel staff to be extremely polite and helpful. Nothing was too much trouble for them.The lobby area and Journeys Bar were all decorated and maintained to a very high standard.The location of the hotel itself was ideal, directly opposite Central Park, and about twenty minutes walk from Times Square down Broadway. We spent a few late afternoons/early evenings chilling out in the Sheep Meadow in Central Park and found it a lovely way to relax after a busy day shopping or sightseeing.I thouroughly enjoyed my stay at The Essex House but was left wondering if it really was value for money.	
Aug 25 2005	No Customer Service Here	After living in Manhattan for a year, I took my father back with me for an annual visit to New York. I booked a room at the Westin Essex House with two double beds and a view of the park to treat my father to a classic New York experience. After confirming the room (twice), I was given a standard room with no view of the park and apparently no access by staff. We were forgotten continually -- our luggage was left in the lobby, no morning newspaper delivery, no shoe shine, a missed cleaning, a 10 hour response time from the Concierge for dinner reservations, and not even a call back from the manager in response to our appeal for help! I certainly feel for the other reviewers who witnessed bad service here and I wholeheartedly agree. There are much &quot;nicer&quot; places to stay in Manhattan, skip the Westin, Essex House!	
Aug 15 2005	Great 6 Nights	Staying at the Essex House this past July 2005 with my husband and college bound daughter was a pleasure. Our large room with living area and convertable sofa was just the right amount of space for us not to feel crowded together for so many days. Our hotel room became a soothing retreat from the hustle and bustle of college tours. The bathroom was spacious and constantly serviced with enough towels for each of us. The &quot;heavenly&quot; bed was just as advertised....heavenly. Their lovely restaurants and great bar helped create a wonderful ambience for this full service wonderful hotel. We look forward to another stay in the near future.	
Aug 1 2005	Not worth the price	The staff was nice and the location across Central Park was great but that was about it. The room we had was the tiniest room I’ve ever stayed in for the price we paid; the queen bed took most of the space. There was no coffee maker in the room which meant I had to run downstairs, after rolling out of bed, and buy coffee for $2.00 a cup in the gift shop every morning. Bottled water offered in the room as 5.00 a piece! For what we paid that should have been free. There was hardly any drawer space for our clothes: the space under the TV was taken up by the mini bar and one of the dressers next to the bed had the safe in it. All of the furniture looked like it had seen better days based on its wear and tear. The breakfast bar was absolutely terrible (greasy bacon, runny eggs, bone dry fried potatoes) and on top of that it was $27 a person. Oh, by the way, a glass of juice to go along with that breakfast bar was $6.50. The elevators are the worst. There are 8 but they were so small hardly anyone could fit in. Wet generally had to let several elevators pass before being able to get on.	
Jul 20 2005	Fantastic!	First, the location is amazing. Only a few turns from the Tunnel, so getting lost was not possible (and this coming from a woman who gets lost going to the mailbox).It was located right on the edge of central Park, on the south end. The hotel is situated directly across the street, and our room had a wonderful view of the Park.The foyer of the hotel was amazing (BTW, this word will be used over and over here!). It was all marble and mahogany and each area, check in/out, bellhop, concieagre etc. were all well seperated so you were not waiting in line for 12 people in front of you doing something besides checking in.There is Valet parking at the hotel, which runs 45.00 for every 24 hours. this, I think, runs about the same if you were to park your car in a garge and paid the hourly charge. If you are NY suavy, you could prob. find a garge a little ways away, pay less, and take the bus or cab to hotel.moving on, each floor seemed to carry a different theme, which wall to wall murals. very well done and very beautiful. there were 6 elevators, and you need to press the floor buttons as soon as you get in, or you get taken to a floor someone else called on.The room - Amazing! it had a queen bed with the most INCREDIBLE bedding. Soft, cool, crisp - a perfect nights sleep. the pillows too - wonderful! there was a full TV cabinet with the standard tv etc. but also a built in Nintendo system. very cool. oh, and in addition to regular TV, it had a few HBOs I think.The bathroom was average, and if I am not mistaken, every bathroom had a phone. Not sure who you would talk to while on the john, but to each thier own. The shower head was a double headed multi-speed and pressure thingie. the towels, like the bedding, were heavenly!there was a large closet, 2 nightstands, a chair and side table and like I said earlier, a great view of Central Park (although we were only just above tree level, on the 4th floor).Service - Good. We only requested one item while there, a lint brush, which took about 30 minutes to get to us. a little long considering we were on the way to the theater, but still managed to get there. They also have a whole list of &quot;guest ammenities&quot; that can be asked for like toothpaste, hairbrush, deoderant etc. if you forget to bring something. The prices on the hotel dining and room-service was WAY expensive. a continental breakfast was about 18.00 per person. we spend less at the diner up the street for a full on breaskfast.the staff were amazing. The good thing I loved was that the staff asked to see a room key before getting onto the elevator, which I am sure helps with people sneaking in, causing trouble etc. also, check out time in noon, which is nice, and since we were leaving on a Sunday, we asked if they could hold our car and luggages so we could catch a yankees game. It was done without hassle! Fantastic!things to do - the Hard Rock Cafe NY was right up the street, about 2 blocks. Fantastic! On a friday night, at 9pm, we got in and didnt have to wait to be seated. and of course, the regular touristy things are good too. Cabs are great and very useful. Time Square is only about 6 or 7 blocks away, and it is ALWAYS crowded. Even at 2 am. Trust me, I know.okay, so thats about it. I hope I covered everything. if not, ask away. It was a great hotel, great service and great staff. I would Def. stay there again!OH! and if your lucky, maybe you'll meet someone famous. We did! Nicole Kidman was staying at this hotel for a press junket (we are assuming) and we exchaged pleasentries waiting for the elevator. You never know who you will run into!	
Jun 27 2005	Would not recommend!	The room was very small; the photos on the websites are very misleading. The carpets were stained; the TV was tiny and for the money was total disappointing. After spending nearly $400.00 for a park view queen room, I had to pay $5.00 for a bottle of water that is in the room...what an insult! I have stayed in other hotels in the city for much less and have gotten so much more...	
Jun 3 2005 	Nice hotel but the staffs bad attitude ruins the stay	I have not stayed at the Essex House in a year or two. I used to stay there 5-6x a year because of the location. I finaly got fed up with the horrible staff memebers and their bad attitudes. This goes all the way up to some of the assist. managers. Now I am back in NY and decided to give the Essex another try...bad move. My room was a smoking room and when I called down to see about getting another room you would have thought I was asking for something outragous. I quote &quot;why don't you just stay there and see how bad it is&quot;, &quot;are you sure you want to switch, you will have to come down and get another key&quot; and the best one &quot;sir, we do have the right to refuse service to anyone and we have done it in the past.&quot; All for a non-smoking room. Anyway I got over it until I made the mistake of calling down and asking for some extra towels ( i was only given one). the service express woman says &quot;sir this isn't the sheraton we don't just give away our towels.&quot; That ws it, never again....nice hotel but the staff is the worst in NY.	
Jun 2 2005 	Good location for Midtown business	Stayed here for business. Walking distance to many midtown locations (for business). Was a Starwood Preferred member with some bonus (I can't remember all the names) and upgraded to a suite. It was very nice but the rooms still have their &quot;old world&quot; feel to them. Bed was VERY comfortable and shower was very neat. Very clean as well. They did charge me for items in the mini bar but I never even opened it and they quickly rectified that without any further discussion. If I wasn't here on business, I probably wouldn't pay as much but then again, it is NYC.	
May 31 2005	Enjoyed my stay!! Would recommend!	My husband and I stayed at this hotel last week from 5/24 to 5/26 for 2 nights. We enjoyed our stay here and would recommend it! We booked on Priceline and got a rate of $200 a night which is great for this type of hotel.Highlights- Hotel has a GREAT location! It is in midtown Manhattan and it is central to all tourist attractions and you can get anywhere using the subway which is really close by.- I loved the Heavenly shower with the two heads. It really is heavenly! My husband liked the Heavenly bed.- The staff were really helpful. The conceirge was able to answer all our questions and help us with maps we needed and the front desk was great. The hotel was pretty full that week, but they tried to upgrade us and when they did, the room turned out to be noisy (view of park from third floor), so they moved us to a higher floor.Lowlights- No free internet access.- The rooms are a bit small, but it is New York City.- Bring earplugs if you are facing the park and are on a lower floor. We ended up on a higher floor facing another building, but that was fine with us and it wasn't that noisy.	
May 25 2005	Loved this hotel	I loved this hotel. I just got back from a New York stay at two different hotels. I have stayed at many hotels in New York and I feel that this was a really great one. The staff was friendly and went above and beyond from start to finish. Arrived at 10:00 a.m. and had no problem checking in right away, as opposed to the Paramount, where I spent the second week. Was greeted by Bob, the doorman. He told me his name and if I needed anything at all during my stay to let him know. The room was great. Yes, I had a view of another building, but that wasn't what I came to the city for. I was out most of the time. The room was spacious, especially for New York. Very clean. Well maintained. The heavenly bed was indeed heavenly. In fact, it was so comfortable, that I found myself having a hard time getting up the first two days that I was there. I had been working mega-hours before my trip to NY, so the heavenly bed sucked me in. The bathroom was large and the shower was excellent. The location at the park was superb. I was close enough to Times Square to easily get there, but far enough away to not have to walk in wall to wall people all of the time. Very convenient to the subway at Columbus circle, buses, etc. Very near Fifth Ave, Central Park, Carnegie Hall, Times Square, etc. The lobby was beautiful and the staff was first rate. I paid 149-169 per night on Priceline. What a steal. I ended up arriving a day earlier than when I had originally booked priceline and had to add a room on my own. I had to pay 269.00. I love Priceline! Without it, I probably would not have ever stayed at this hotel.	
May 12 2005	Ignore the bad reviews!	Just back from 4 nights at the Essex Park, where myself, my husband and both our sets of parents stayed to celebrate a number of special occasions. Where to start...All staff were incredibly helpful, polite, thoughtful and efficient. Our check in clerk upgraded my husband and I to a park-view room as soon as my husband cheekily mentioned that it was our wedding anniversary. The bell man came across the road to greet us, carry our bags and to argue with our limo driver (who had dropped us off across 4 lanes of traffic away from the hotel!). Our room was gorgeous - the view was only an added bonus. The room was plenty big enough, the bed - can't describe how comfortable - shower was great, it was clean and really comfortable.The two sets of parents didn't get park-views, but GIANT rooms, with equally GIANT king beds (the queen we had seemed to be the same as a king here, the king bed was the same as two double beds pushed together!) and also incredibly comfortable (you definitely need a good nights sleep after all the walking we did!).We ate breakfast in the hotel on the first morning for a treat, and although rather pricey, was delicious and worth every penny (there's a great place around the corner - the Parisienne - which does a more reasonable and 'real NY' breakfast).We ordered hot drinks from room service that were so fast and so hot, delivered with flowers and a flourish - the waiter was incredibly polite, insisting on tidying up our (very messy!) console table in order that he could safely place the hot drinks down.Reception were more than happy to change my mum's trillions of travellers cheques (don't know if you've been before, but New York is NOT the place to take travellers cheques - stores seem to hate them) at all hours of the day and night and the staff were always cheerful and always told us what the weather was planning to do.We got this hotel for a bargain through Priceline and as far as we were concerned, the hotel was robbed! After reading the reviews on here before we went, I was really worried (this trip had all been arranged by me!), but I really think that Americans must be a little more picky than the British - this hotel is just great to stay in, right on the park, right near the subway and near great shops on 5th Avenue etc... We were not once disrupted by cleaners (or lack of cleaning) and no one was rude to us. I did witness one lady yelling at many different hotel staff, and can only conclude that you get what you give - we were very polite and the staff treated us with equal respect. Perhaps if you go around giving out bad vibes, bad things happen to you!Definitely would recommend this hotel and wouldn't hesitate to stay there again.	
Apr 20 2005	Superb In Every Way	I took my 8-year-old son on a father-son bonding trip to New York last week. I struggled with where to stay; I like to avoid midtown, but felt like for his first trip we should stay in a more touristy area. I finally settled on the Essex House and am glad I did!I had used Starwood points to get a really great rate, but that meant we were destined for a brick wall view. I asked if there was any way we could swing a park view, and the desk clerk cheerfully upgraded us to a spacious (at least by NYC standards) room facing Central Park. The location was great; we walked nearly everywhere, and my son loved going to the park every day to play and climb rocks. The staff was incredibly gracious, the food was excellent and they really went all out for room service, with fresh flowers on linens on the table that was left in the room (even when all I had ordered was a bowl of soup!) Everyone treated my son like royalty, which I really appreciated. As usual, the &quot;Heavenly&quot; bed and shower were great. The concierge was helpful and friendly. And I was able to secure a 3:00 p.m. checkout time, which with our plans for our final day really helped us.Top to bottom, just a stellar experience.	
Apr 20 2005	Worst Hotel ever - do not waste your money there.......	My partner and I decided to stay at this &quot;top&quot; hotel from April 7th through to the 11th, as it was my birthday on the 8th April. The first evening we got there, I noticed that our toilet was starting to fill up and I thought it would overflow and spill out all over the bathroom floor. I reported this at reception at 5pm and we assumed it would be fixed, while we were out for the evening. We returned at 11pm and no one had been all that time! I went down to reception and complained and they apologised but confirmed that no one had been in. They said it must have been a &quot;break down in communications&quot;. We then had to move rooms at 11.45pm that evening (so repack our bags and cases) and were given two breakfast vouchers by way of compensation.The rest of the holiday seemed fine, but as soon as I got back to London I was told that my brother had organised 35 pounds worth of flowers, to be sent to me at the hotel for the morning of my birthday (April 8th). They NEVER ARRIVED. The receptionist confirmed that I was a guest there, when the driver dropped the flowers off and assured him they would be delivered. WHERE DID THEY GO? I have also found out that two friends called me from London on my birthday - I didnt get any messages, and remember checking my voicemail twice that day (as you would on your birthday!) I have contacted the hotel - who are looking into it all. That was last week and STILL no reply or call from them - 5 working days later. DO NOT STAY at this hotel -- its the worsty 5 star hotel I have stayed in and they ruined my birthday weekend.	
Mar 20 2005	Perfection at the Essex House	I planned a first trip to the big city for my niece's 16th birthday. Our trip coincided with &quot;The Gates&quot; installation at Central Park. For this reason I booked a park-view room at the Essex House in September of 2004 at a price of $289 per night. Luckily I did book that early because as the buzz of the Christo work spread park-view rooms quickly became scarce. I was worried that perhaps we would be given an inferior room because I was not a frequent customer and had no Starwood points. I did sign up for the Starwood program before our trip. Our flight departed early in the morning and we got to the Essex House at 10am, thinking we would have to deposit our luggage and come back at check-in time. To my surprise we were escorted immediately to our room. Check-in was quick, efficient and extremely courteous and the view from our 10th floor room was perfect. We had a picture-perfect view of the Gates and all of Central Park. The bed was huge and inviting, triple sheeted, a down duvet and lots of pillows. The bathroom, although not extremely large was marble and had a great two-headed shower, a phone by the toilet and a lighted make-up mirror mounted by the sink. The only bad thing I could say was that there was no counter space in the bathroom. We requested something to be brought up to the room and when the waiter arrived he rang our DOORBELL. My niece was especially impressed with that. We had a delicious three course prix fixe lunch for $25 a person at the downstairs Cafe Botanica. It has windows facing Central Park South. Service here was impeccable as well.Our stay could not have been more perfect at the Westin Essex House. Highly recommended!If you wish to see photos of our trip: (---)	
Mar 12 2005	Not a great experience	My family travels into New York City an average of 2 weekends per month. We normally stay at the Hilton or Westin Times Square, as these are the most reliable hotels in terms of customer service and accommodations. We received an email offer for $199 at the Westin Times Square and decided to take advantage of this great rate. There were no rooms available at the Westin, but the offer was extended to the Essex House Westin on Central Park South. Being a native New Yorker, I grew up thinking of the Essex House as a very elegant hotel where celebrities stay. The lobby is reminiscent of 1930’s grand style – classy and elegant. There was no wait at check in. When I booked the room, I explained that I needed one that was big enough for 3 people. I was told that the Deluxe Queen Park View room would be large enough to accommodate a roll away bed. Upon check in, I was told that was true- if we wanted to crawl over each other to get to the bathroom. The front desk clerk offered a king room with a partial park view (one small window that looks over the park – the other window looking directly into other hotel windows. I explained that we were celebrating my son’s birthday and we really wanted what we booked – a nice park view. I knew they had suites available (I had just checked with reservations out of curiosity) and I asked to be upgraded (I am, after all a Starwood Preferred Guest). The clerk said he could not upgrade us as all the suites were “spoken for”. The room is on the small size with a little area that held the desk and closets. The bathroom was very small. You had to shut the door completely to get to the toilet.As other reviews stated, the windows are very drafty and you need to keep the drapes closed or you will freeze. The temperature control in the room was quirky. It was too hot or too cold, never perfect. The carpets were stained, giving the room a dingy appearance. They offer satellite TV, which is nice because you get a few more kids channels than most hotels offering cable.The heavenly bed that the Westin is famous for is just that. The bed, pillows and comforters were magnificent. We all slept like babies.Our second day started with a very pricy ($61 for 2 adults and a child) but elegant buffet breakfast in the lobby restaurant. The eggs were a bit runny but other than that it was lovely.Housekeeping was another issue. They only made the bed. They did not refresh our towels, make up the rollaway or do any other maintenance in the room. We returned to the room at about 2:30 to see linens in the corner of the room, the rollaway stripped but not done up and no clean towels. A few minutes later, a housekeeper barged into the room without knocking. She backed out of the room embarrassed and never returned. I went to the front desk to complain and was assured that the problem would be fixed immediately. I also requested a refrigerator, which never arrived. We left and returned nearly an hour later and nothing had been done. It was time to get management involved.The manager was pleasant enough and said it was not the Essex House’s policy to have rooms half serviced, nor was it their policy for housekeeping to barge in without knocking. When I addressed the issue of the refrigerator, she told me to take everything out of the minibar and use that. I told her I was uncomfortable with that but she insisted that it was ok to do. I think it’s poor form to ask a guest to assume the responsibility of emptying the miniibar and making sure everything gets back in. She said she would send up a fridge if “I insisted”. Finally, housekeeping arrived (again entering the room without knocking) to bring towels. The manager offered to upgrade us next time we come into the city. If I were going to pay top dollar, I’d rather book a room at the Hilton’s Executive floor or the Westin Times Square. If you need to be on Central Park South, I’m sure there are better choices.	
Mar 9 2005 	Enjoyed the Essex House	Spent four nights at the Essex House in February 2005. For the price I thought it was one of better values I have found in NYC. Room was fairly big by New York standards, clean and comfortable. I would certainly return.	
