	A 3 star hotel...	My husband and I stayed there for 3 nights. Location is good. The lobby is probably 20 sqm. Staff are polite but not welcoming.The rooms: really really small. Bathroom: really really small. Bed: really really small and too soft so if there's 2 of you prepare to cudle all night long because you'll sink to the midle. No views.So, try another hotel. With the amount of money Shoreham costs you'll find other hotels, also well located (if not better) where you have a bed where you can actually sleep.It takes more than white walls and funny lamps to be a modern luxury hotel. Would not recommend it.	
Dec 19 2005 	Very disappointing	I was quite looking forward to my stay at this hotel. They advertise themselves as &quot;boutique&quot; and &quot;cool&quot;.First of all, the area is ok, not fantastic. It's central and convenient, but you can get better locations if you're loking to go out, do some people watching etc. Here you're pretty much in the business district.But that's ok, not their fault. What is their fault is that they don't tell you that 70% of their rooms are not refurbished and actually really small! I stayed in a unrefurbished room for 2 nights, it was awful. $300+ for this is a rip off. Smelly, old, bad soundproofed, small etc. Furthermore, I requested a non smoling floor, but the woman in the room opposite mine was chain smoking all the time, and despite my multiple complaints they did nothing... so I had to threaten the hotel to report them to relevant authorities for them to investigate the issue. Then they moved me to the refurbished wing, which is nicer, w views on the interior courtyard (awful, but at least quiet).Lastly, the room service is appalling: I wasn't able to eat the chicken, had one mouthful and tasted rotten, brerakfast was really bad, and although some of the staff are nice, most of them are either incompetent or rude (or both). Now that I read previous reviews, I can see this should have come as no surprise.If you want an advice, for a $100 more, you can stay at a W hotel, which is way way better. In any case, very bad value for money, would disrecommend going.	
Dec 13 2005	Met expectations	A friend and I just returned from a weekend at the Shoreham. It is a clean, comfortable hotel in an excellent location. Staff was friendly and helpful with reservations, etc. We spent $400/night for a pretty small room, and apparently we had a deal b/c we booked well in advance. Similar rooms for around $6-700/night for that weekend. That seems excessive for what we experienced. The bed size was a simple double, not a queen, and the bedding was rough with pillows like cinder blocks (we did get feather pillows on request instantly...). The small size of the hotel with boutique atmosphere is a plus. Stays at the Sheraton and Hilton previously felt like a cattle car ride, whereas this stay was more personal and memorable. Note that when you roll out in the morning, the spartan continental breakfast (fruit, yogurt, and granola)--which looks complimentary--is actually $16/person, which is a bit insulting when you're paying $4-700/night. The free access to a nice espresso machine is a plus. Also, a gym will be opening soon, but presumably will require a &quot;donation.&quot; I would stay here again, but might be tempted to try a different hotel for variety. I had an excellent stay previously at Le Parker Meridien for about the same price.	
Nov 28 2005	A complete nightmare!!!!!!!!!!!!!!!	OK, to start with, I had read all the good and bad Tripadvisor reviews before I decided to make my booking, and some of the reviews on this site said MAKE SURE YOU ASK FOR A ROOM IN THE NEW WING. I booked a twin room room for three people online (three months in advance) and specified that I would like a room in the new wing. On arrival, I was informed that I couldn't have a room in the new wing as they didn't have accommodation for three people there - something I found very odd considering that we were given a room with two double beds (does this mean they only have single bed rooms in the new wing???).Anyway, while the room itself wasn't too bad, the bathroom was absolutely horrible. Our toiled was blocked and we had to call reception three times to have this fixed. I know that they have since started or even completed renovating the old wing so things may be better but be aware that the bathrooms are still TINY (airplane toilet size - and no, I'm not kidding)!The reception area and lounge of the hotel looked very nice - even better than they did in the photos (!) but the quality of the rooms did not match up in comparison!Anyway, after an OK stay things really started to go wrong when after returning to London I checked my credit card bill and found TWO charges made by the Shoreham on my credit card statement. There was the correct charge relating to my stay AS WELL AS an incorrect charge equivalent to a 4-night stay. As if that wasn't bad enough, after ringing the hotel to get to the bottom of this I was told that the charge was made 7 days prior to me arrival in New York. I'm not kidding but it took over 4 weeks to get this matter resolved. I sent a detailed letter, credit card statements and flight coupons to prove that I had not been in New York at the time the incorrect charge was made, and had to make countless phone calls to a lady called Melissa Bourne. Miss Bourne was the most unhelpful person I have EVER encountered in my life. Every time I called her, she put me on hold while making numerous enquiries. At the end of every phone call she promised to call me back but did not ring me once! I gave her my work, home and mobile numbers as well as my e-mail address and fax number but being totally incompetent she did not ring me back once. It was only when I threatened to take legal action that she said she would arrange for my credit card to be refunded. However, a week later, I still had not been reimbursed. When I rang Miss Bourne again to find out what was going on she had another silly excuse. After yet more phone calls I finally got confirmation that the money had been charged back to my credit card.The Shoreham may be an OK hotel - especially after the new renovations - but I would never ever recommend this hotel to anyone. Not in a million years!	
Nov 6 2005 	Highly Recommended	My Mother, 6 month baby and I all stayed at the Shoreham for 4 days for a long weekend. I had stayed at the Hotel many times pre-2001 and was a bit anxious about whether it had gone downhill in the interim. Happily - things are the same or in many instances, better. The staff led by new GM Joe and Front Desk Manager Aaron are warm and responsive, from the technician who came to fix my laptop to the cheery doorman [both still here after all these years]. The decor of the rooms is still minimalist and stylish in a Japanese accented sort of way, the bathrooms are clean and bright, and the free coffee machine is still a nice touch. And the location is still wonderful. My only beef was that our room wasn't officially available until 3pm, and if you have been flying for 20 hours plus from the Far East like we had, that was a bit of a pain, though to their credit they managed to rush the cleaning and get us in a little before this. If you're looking for an unpretentious and stylish place to stay in Mid-town, the Shoreham comes highly recommended.	
Oct 19 2005	The best staff !	I stayed at The Shoreham recently, most of the time on my own, while my husband was at a Conference. Times like that it is very important that one feels comfortable with the staff, as well as the room &amp; hotel quality. And these guys were terrific!The room was excellent - the next size up from Standard. Very roomy, recently re-decorated &amp; extremely comfortable.They are still undergoing largescale renovations, and from time to time the one lift to my floor stopped working. Amazingly, instead of peeving me after an exhausting day walking round the city, the lovely young Concierge turned it into a delightful adventure for me. He gave me a glass of champagne, carried my shopping bags up 6 flights of stairs, and chatted charmingly all the way up.Absolutely priceless - and I'll definitely try to stay there again when in NY.	
Oct 11 2005	Enjoyed the stay at the Shoreham	Booked Hotel with Priceline. Asked and received Non Smoking/two bed room. Hotel staff was very friendly. Did not ask for but received a renovated, clean and quiet room on the 8th floor. It was exactly like the pictures. Beds were very comfortable. Coffee machine with many coffe and tea selections was great. The lobby is a little odd with the wall that you can write on but I guess it is a good way to cover up the renovations that are going on. Great location.	
Aug 23 2005	Fabulous Hotel	I recently stayed for a night in the newly renovated wing of the Shoreham and it couldn't have been better. The staff was tremendously helpful and accomodating. The rooms were extremely comfortable, especially the beds, and not noisy at all. The lounge, which is becoming increasingly more popular with locals and hotel guests alike, was excellent, its staff all very personable and knowledgeable, and the food and drinks well-conceived for all types of patrons. Of course, you can't beat the location and the value. When the entire renovations are complete, this hotel will clearly give many others a run for their money.	
Aug 20 2005	Terrific stay at The Shoreham	My mother, daughter and I stayed at The Shoreham for several nights. The hotel has a new manager since the previously posted negative reviews. Manager Joe Reyes, Aaron, Scott and the rest of the staff do everything possible to make guests feel welcome and comfortable. Our room was immaculate and the beds unbelievably comfortable. Wonderful to have a terrace with table and chairs. Location is great for shopping, Central Park and theatre.	
Aug 14 2005	We liked it!	My husband &amp; I checked the reviews before booking this hotel. The reviews was extremely helpful. We asked for a room in the renovated section. We were very pleased with our room. The decoration was chic and modern. The reviews said that the rooms were tiny. That was true, but that's expected in NY city. The room was clean, the bed was very comfortable. The location was good. There was nothing extraordinary or bad about this place. There was a complimetary self serve hot beverages machine that was difficult to figure out how to use, milk would run out, line ups were the result and would get people fustrated.	
Aug 5 2005	Loved the Shoreham	We have taken a family vacation to NYC for the past 10 years and this was by far our best hotel experience. We just returned from 4 days at the Shoreham Hotel and what a gem we have found in NYC. The staff was so welcoming and took care of all of our needs. From the champagne when you walk in the door to the 24-hour cappuccino machine and staff, my family and I were in heaven. The Shoreham is everything you could want especially after a long day in the city. With its ideal location, conveniently located steps away from the best shopping, shows, restaurants and even Central Park we were all satisifed (and believe me in my family that is hard to do). Every last detail was taken care of from the robes, to the wireless internet in our room, to the daily paper delivered every mornring and my personal favorite the luxurious bathrooms. Our overall experience was just incredible and we are looking forward to our trip back to the Shoreham Hotel this winter. Thank you.	
Aug 2 2005	Great staff wonderful location	Spent 3 nites in a hot July and found the hotel cool in several ways. Had a problem with air conditioning and the night manager Aaron couldn't be nicer. Cappucino machine was in the lobby (along with sparkling water and champagne). Rooms are NY small, but a huge downstairs lobby with internet made up for it. Of course the loacation is perfect.	
Jul 21 2005	Not so great	On the recommendation of a well-respected friend who lives in the city, we booked 2 rooms at the Shoreham for the week of June 13th. We have all traveled to the city many times and have never had a bad experience, but there is always a first time for everything. Upon arrival, which happened to be one of the hottest days in the city (and we're from Florida), 8 of us walked into the low-ceilinged, closed-in lobby of the Shoreham where losts of tiny halogen bulbs burned brightly, making the small room even hotter. It is definitely decorated in the modern, minimalist style, but the attention to comfort is minimal, too. We were offered Champagne and water from the desk clerk, which was nice, but not the big deal it is made out to be. As we checked in, it appeared they lost one of our reservations, and only one of our rooms was available. We took our luggage down the very narrow corridor to the elevator that could only fit 3 people at a time (without luggage). The elevator, too, had the bright, hot halogen bulbs in it, which I imagine in the cold winter months probably feels nice and cozy, but only made us sweat even more. The one room that was available, had a very small bathroom even by NY standards, and a window AC unit which was not working. At this point, it was hotter in the hotel than it was outside. We left the hotel and came back an hour later to learn our other room was still not available, and the first room had not cooled off at all. One member of our group discovered a hole next to the AC unit large enough to get his arm through. We were told they would send maintenance up to repair the AC unit and waited around another 45 minutes. By this time we figured out we were obviously in the &quot;old&quot; section of the hotel I had read about. We asked if we could be moved to the new section, but they could not accomodate us there. After our 3rd inquiry to check into our other room, which was well after the 3pm check in time, we decided this hotel was not going to suit our needs. We then took it upon ourselves to re-locate to a larger, more comfortable and better hotel located in Times Square. Perhaps if you can guarantee a room in the &quot;new&quot; section, and travel when it is winter, and get a really low rate, it would be worth staying in this hotel, but I won't take my chances with the Shoreham again.	
Jul 17 2005	Great location! Good Price performance.	Without a doubt, Shoreham's location is simply great. When I arrived at 9am, way too early for check-in, they were unable to give me an early check-in, because they were sold out apparently. When I came back after 3pm, they first put me in a quiet room facing the back of the building. The room was pretty nice, but extremey small and dark. I couldn't tell what time of the day it was even if I looked out the window. I immediately felt claustrophobic and asked for a room change. They then moved me to a room facing 55th St. There was nice natural light and surprisingly, not too noisy. The staff, while they seemed rather unprofessional initially, were extremely accomodating in my requests. The rooms you get in the range of $249-289 are good to stay for a short stay. The rooms are small, no bath (only shower stall), no fridge, no minibar... but I thought it was well kept, clean(-looking) carpets, free internet connection, and most of all, the LOCATION. You get the bare minimum essentials in a top location for great price. You kinda wish you had at least a small fridge to keep your drinks, but hey... for few nights, you can live without it.	
Jul 12 2005	Shore Bet	The Shoreham Hotel in Midtown Manhattan is a shore bet for those New York City travelers in search of a boutique-style hotel with an unbeatable location. The ultra hip building (currently being expanded to add approximately 100 rooms) has a small entry and chic lobby with lucite counters illuminated with neon from within. Upon registering, the guests are offered bubbly water or champagne by efficient, knowledgeable, and friendly staff. Our room was larger than a standard (the manager happened to be there when we checked in and we told him we were celebrating our 20th anniversary so not only did he upgrade our room, he sent us champagne) but be aware, even the upgraded rooms are on the small side. Regardless, the chic decor continues and it's spare without being cold.The Shoreham offers computers and a seating area behind the bank of elevators, complimentary espresso bar all day, and bar/restauarant that offers good &quot;small plates&quot; and unique cocktails. For those seeking something modern in an ideal midtown location, the Shoreham Hotel is sure to please.	
Jul 11 2005 	All I have to say is Cockroaches!	Yes, this is NYC, but come on. We shouldn't expect roaches in our room in such a &quot;boutique&quot; hotel. When we complained of the &quot;extra guest&quot; in our room they simply replied &quot;that's NYC.&quot; Aweful!	
Jul 9 2005	EXCELLENT VALUR	The Shoreham is a small boutique hotel which was under rennovation at the time of our visit. Be sure to reserve &quot;inside rooms&quot; in the new section as an outside room can be very noisy - street noise. The room are small but extremely comfortable and clean. The service is excellent. Given the ever increasing rates of New York City Hotels, the Shoreham was a &quot;value&quot; however the rates will o doubt increase once the new section is completed. Probably the biggest &quot;positive&quot; of this hotel is the location which is a half block off fifth avenue. Yes, we would stay there again!!	
May 25 2005	Great Shopping Location block off 5th Avenue!	The lobby is nothing much...think &quot;Asian minimalism&quot;. The hotel restaurant was good and not too expensive. The rooms were lovely but slightly small. However, with the clever design elements I learned to really love The Shoreham. I especially enjoyed the window seat and the large walkin shower in the rooms. The hotel can be pricey but is a nice choice for NYC shopping trips.	
May 22 2005	a great little place	This hotel was lovely, the staff were friendly and helpful and it was well placed to get to major attractions. Woud definitely recommend it for a cheap, clean base for exploring! Would stay there again.	
Jan 18 2005	Rundown boutique hotel	I was very disappointed with this hotel. After looking at their website, I was really looking forward to staying over the long weekend. What I found was a rundown room with stained carpets, chairs and sofa (I didn't even want to think about where those stains came from), wobbly tables, chipped sinks and dirty bathroom. The employees were not helpful at all with luggage's and helping finding us a good restaurant. I do have to admit that the lobby looked very nice, too bad I couldn't sleep there. Next time I think I'm going to stick with the W or one of schrager's hotels.	
Jan 17 2005	Beautiful elegance	Upon entering, we were greeted with complimentary champagne and an offer to upgrade to the penthouse suite...we took them up on both and had a blast.The rooms are normal NYC small but complete in all kinds of hip trendiness. Mulitple calls to our room were made to make sure we were ok and if we needed anything else...something virtually unheard of.great place, great price if booked online.enjoy the stay	
Jan 2 2005	Great Hotel	Stayed at the Shoreham the week after Christmas and had a great time. I've been to many New York hotel and this one is probably my favorite. We stayed on the &quot;new&quot; side and our hotel room was excellent. Small, of course, but extremely clean and extremely new. The bed was one of the more comfortable hotel beds that I've ever slept in and the linens, pillows, etc. were of a high quality. We didn't require much of the staff but they did deliver on the limited requests we did have. We highly recommend this hotel.	
Dec 31 2004	Great hotel great location great price!	We just returned from a wonderful vacation in New York. We were very pleased with The Shoreham Hotel. We read past reviews on this website, so we knew to ask for a room in the new section, facing inside. Our concern was that we could not be promised our room would be in the new section until we actually arrived. The hotel had made a note of our request and thankfully we were able to stay in this section. Our room was quiet, even though we were only on the 2nd floor. Requesting an inside room is very important! Also, I would suggest checking hotel prices on quickbook before booking a room here. The price on this website was $199. - a real deal for a good hotel in this area! I then phoned the hotel and was quoted $249. for the same type of room. When I questioned the price difference, the person at the desk asked which website I had used and then matched their lower price.Our room was small, but very comfortable. Everything was top quality -the linens, decor, bed, even the bath products. The staff was very helpful. The complimentary internet room, New York Times, Time Out Magazine, and coffee, tea, or hot chocolate were added bonuses! There is even a bank machine in the hotel - very convenient.We walked everywhere from this central location - to Times Square, the theater disctrict, along Broadway, 5th Avenue, Madison, and to Central Park. We will definitely stay here again. Also, breakfast at Astro (small diner near the hotel) was a nice way to start our day!	
Dec 28 2004	Shoreham...Pretty Cool	I booked this hotel for my first visit to NYC and I was satisfied with my stay. The reviews on Trip Advisor seemed to be overall good, so I went with it. One suggestion that I saw a lot was to be sure to reserve a room in the new building. I did reserve a room in the new building and it was nice, but I never did learn of what was going on in the old building. The room was not very big, but that was okay with my fiance and I because we were canvassing the city most of the time. We were only in the hotel to sleep and shower (and the shower was excellent!). Our room faced 55th and was on the sixth floor. It was smaller than the rooms shown on the Shoreham website, but okay with my fiance and me. The hotel does live up to being modern, stylish, hip, etc... Upon entering the lobby you will hear hip music being played sort of loud (not a problem for two 24 year old travelers). But the rooms are surprisingly quiet even though our window faced the street. I walked so much around the city that I was so exhausted by the end of the day that an earthquake could not wake me. The only problem that we ran into were that when we arrived at 1pm our room was not ready and would not be until 3pm. But when we did check in we were given a free glass of champagne and guests are provided free coffee, cappuccino, or tea during anytime of the day in the hotel lobby. The location of the hotel was great for visiting tourist sites such as Times Square, Central Park, Rockefeller Plaza, Trump Tower, and an endless amount of retail stores to shop. Whether you stay here or not, I strongly suggest that you visit the Italian restaurant also on 55th St. called Il Corso. It is reasonably priced for NY and the service and food are top notch. It was by far the best meal I ate during my visit.	
Dec 2 2004	Nice but not worth its 4 stars	My fiance and I booked a night's stay on Nov. 27th, '04 through Hotwire and got the room for about $200. We requested a room on the rennovated side based on the reviews we read here and they graciously accomodated; we also got a glass of champagne on check-in. There was some problem with our Hotwire reservation but they handled it all directly with Hotwire and gave us no trouble. The lobby and design of the hotel was clean and modern; likewise our room, though fairly unadorned and only looking out on a light cellar. The bathroom only had a shower but it was a large one and the aveda products were nice. But the hotel didn't have some fairly basic things, like robes, mini-bar, a table and chairs in the room, that I would definitely expect from a four star hotel. It was closer to a nice Best Western than what I would expect from NY boutique hotels.The room service menu looked tasty, as well as the breakfast menu that you could order to be delivered the night before. However, here was our real problem -- we went to what we thought was the complimentary continental breakfast the next morning in the dining room and each had a bowl of cereal and some coffee and when we got up to leave we were presented w/ a bill for $34. As it turns out, there is NO breakfast provided by the hotel, call me cheap but even the Ho Jo offers that and $17 per person for coffee and cereal is absurd. We talked to the manager who adjusted it to only charge for one person but we still left feeling like somehow it all just didn't add up to an above average experience. I would recommend The Library Hotel a THOUSAND times over this one and it's very comprably priced with all of the niceties this one lacks.	
Nov 29 2004	Hip good location great experience	A great reprieve for a night in NYC. Stayed there one mid-week night before Thanksgiving. Staff was pleasant, champagne offered at the reception desk, candles and fresh flowers in the reception area. We asked for a room in the renovated portion, using the previous notes from Tripadvisor. Assistant told us that,yes, the non-renovated rooms are larger but not as up-to-date. We enjoyed the room--yes, it was small but if you've stayed in NYC rooms before it's not bad. It was extremely clean, minimalist design, Aveda bathroom products, full-length mirror in the shower....all was good. I would definitely stay here again. We got a good deal through priceline (&lt;$200).	
Nov 29 2004	Thanksgiving Stay at the place	I was really worried about this place after I read many mixed reviews. We got our reservation Wed night from HotWire before Thanksgiving on Thurs and called the place on Thurs morning to make sure that our rooom is at the &quot;renovated&quot; part of the hotel. We arrived at the place and the staff were just amazing - they offered us water right away as we checked in and were very friendly in answering our questions. The place reminds me of some type of hip-disco club; lots of modern-glass-themed decor. The room was definitely small - but I think it's sort of a New York thing more than anything else. The bed was very comfortable, though. Better linen than most of the places I've stayed before; and down pillow/comforter. The cappaucino machine at the lobby is great - I used it every morning/afternoon when you need a pick-up. They also have this &quot;business center&quot; with 2 computers you can surf the net; even comes with a printer. Overall, I am pleased with what I see - but if you are one of those people who really cared about views, a gym/pool, etc, this is not the place for you. If you just want a comfortable room to sleep/relax after a full day of NYC, then this is it.	
Nov 28 2004	Small room hip people great value	Stayed one night in a small but comfortable room in the new tower. Walked in to Champagne, woke up to the New York Times, enjoyed the free hot drinks, and found the experience a great value ( booked via Expedia at less than $175). The Aveda bath products made up for any of the imperfections in the room! And my wife and I thoroughly enjoyed the very comfortable bed. Anyone who thinks this place is a dump has never stayed in many New York City hotels....No Dump here; great mid-town location with parking next door and the subway around the corner....	
Nov 27 2004	Pleasant Surprise	Room was immaculate. Great location. Very quiet and very clean hotel. Staff was warm &amp; personal. They learned my name and used it frequently. Would stay here again, and highly recommend it. Very important to note...the bathroom IS private.	
Nov 23 2004	Terrible terrible hotel	Awful, terrible hotel. Wanted a hip boutique hotel for a fun weekend in the city with my husband -- got a dumpy, run-down place that was far too expensive for what we got. Splurged for a queen suite -- toilet ran 24 hours a day, bathroom was so dark and nasty (chipped tub, stained toilet, mildewed tiles) that I dreaded taking a shower. Details like cedar-lined closet would have been nice if the boards weren't warped, water-stained, and missing in places. &quot;Minimalist&quot; approach to furnishings would be okay if the only four pieces in the living room area weren't wobbly, dirty, banged up, and generally disgusting. Dank hallways with water-damaged carpets -- totally unimpressive.I dont understand at all what this hotel's priorities are in terms of quality.	
Nov 23 2004 	Book it!	Booked just one night here when passing through NYC.... great location close to the shops and subway and the lovely Rockerfeller Centre. Rooms not huge, but who wants to stay in. Great cocktails at the bar... try the Cosmolini!!	
Nov 18 2004	Best deal in Town	We stayed at the Shoreham from november 11th till november 15th. I compared severall prices and got the perfectly located Shoreham at a very good price. Especially considering the travel periode and location. I read the reviews on tripadvisor and I must say I was a bit worried. Upon arrival we were pleasantly surprised with the hotel. My friends got a room in the new wing and we got one in the old wing. At first I thought our room was in the new wing because everything looked clean and the room had a modern decor. I only realised that my friens were in the new wing when I brought something to them. I must say, that although the hallways in the new wing have more light, our room in the old wing was very comfortable and clean. I usually stay in bigger hotels like the Waldorf and I can say that the shoreham was not less comfortable. I certainly would go back for the same low rate, 218$ via the hotels website.	
Oct 27 2004	Absolutely wonderful experience!	I booked through Priceline (~$230/night including taxes) for Oct.22-24. When I found out it was the Shoreham, I checked the reviews on Tripadvisor and got a little worried, because a considerable number of them were negative--especially the ones mentioning Priceline. (Maybe the hotel was treating its Priceline customers differently?When we got to the hotel, all my fears were disspelled. Right away we started seeing little touches of elegance that foretold the great experience in store for us. The hotel facade has a sleek, modern look, with colorful lights spelling out the name. We were met at the curb by a bellhop with a luggage trolley. There were glasses of champagne available behind the front desk. The lobby is filled with interesting modern art and cool art-deco lighting. The staff were very professional and polished during our whole stay.I asked for a room in the &quot;new building&quot; (because of the Tripadvisor reviews), and the request was accommodated without question. We accidentally went up in the &quot;old building&quot; elevator so got a chance to see the hallways of the old building first--they looked a little ratty. When we finally made our way to the new building, the contrast was obvious--things looked much sharper and newer.Our room (#717) was very clean and cozy, with a very big comfortable bed with luxurious puffy bedding. The bathroom was small but wisely allocated half its space to a nice big shower (with a mirror for a rear wall--nice touch). The room service menu was extensive and innovative (and reasonably priced), and the food was delicious. Example: &quot;three mini-hamburgers on brioche&quot; (came with french fries and mini bottles of Heinz ketchup). There was also a snazzy-looking bar on the lobby floor. All the other guests we saw going about seemed very happy with the place.The housekeeping staff did a great job. The front desk was happy to hold our baggage for us after we checked out (they gave us ticket stubs to reclaim it). And needless to say, the location is second-to-none.Overall, our stay at the Shoreham was an absolute delight. I'd recommend it to anyone. I'd also encourage people to ask for a room in the &quot;new building&quot;. (This is on the left as you face the hotel facade--it's accessed by the left elevator and has the room numbers ending in 10 or higher.)My only two notes of criticism: (1) The parking garage a few doors before the hotel has a sign saying &quot;Validated parking for Shoreham Hotel.&quot; We found out only at check-out time that in this case &quot;validated parking&quot; means you pay $45/night instead of $50/night. (2) Even though our room was attractive and cozy, the walls were bare--they cried out for some framed prints.	
Oct 20 2004	Better than expected	Stayed at The Shoreham 10/15/04-10/17/04. This was my first trip to NYC, so i was a bit worried about finding a decent hotel. I was pleasantly surprised by The Shoreham...The Good:-Rooms on the renovated side of the hotel. Nicely decorated, up-to-date bathrooms.-Location. Between 5th &amp; 6th on 55th was convenient to Central Park, 5th Ave, and not that far from times square-Front desk personel. They were very friendly and accomodating. They helped out with getting some family members moved to another room, helped out with some early check-ins for us, and gave me late check-out. Didnt give us a hard time about any of these things. -Free cappucino machine. I thought this would be a joke, but when you're going full speed in NYC for a weekend, its nice to have free good-tasting caffeine waiting for you in the lobby.-Free Internet access in the lobby. Also thought i wouldnt use this, but i needed to get online, and it was nice to have the option.-overall ambience. The Hotel is nicely appointed, with silver coloring and good music playing in the elevators. Its got style.The Bad:-The unrenovated rooms' bathrooms. Saw one of these rooms, and it was scary. Definitely ask for a room on the renovated side of the hotel.-Noisy on the old side of the hotel. I dont think its well insulated. This was not a problem on the renovated side.-Rooms are tiny. I think this is a NY thing. It also depends on the room you have. Ours had some of the square footage taken up by a useless hallway, others did not.Overall, i was very happy to get a nice, new room at a reasonable (for NY) price. Definitely would stay at The Shoreham again if they could lock me into a renovated room at reservation time.	
Oct 1 2004	Am I easy to please?	It's true that the rooms are very small. Ours had just enough room to slide between the end of the queen bed and the small TV and clothing drawers /built-in cabinet. Also the closet was tiny. However on the plus side are friendly, helpful staff, a cappucino machine in a lounge off the lobby that works 24/7 and the complimentary computer/internet (w/ 2 computers available). Also the maid service was prompt and efficient and the room (on the fifth floor with a view onto a drab brick wall) was quiet. There was only a shower, but it was good sized. (One of the shower walls was a full length mirror -- a definite work-out/diet incentive!) We got a decent rate on Hotwire. Considering that almost any three star hotel is $200 or over, the comparative value was okay. If I were to obtain a comparable rate next time I'm in New York City, I'd stay there again.	
Sep 28 2004	Yikes Can my room be any smaller????	The room we stayed in was extremely small with a super teensy weensie bathroom. I nearly bonked my head on the sink while wiping my ass. The closet can fit a wallet and a pair of slippers. Oh can't forget about the darn ironing board fit for a midget like my grandmother; board rested on the bed for crying out loud. Only thing I like about this boutique Hotel is their free one-time use citrus-scented lotion in a blue bottle.	
Sep 21 2004	This hotel 	This is a terrible hotel. The air conditioner was loud and wouldn't cool the room. The toilet ran all night. We couldn't sleep and the staff refused to move us. We had used Hotwire to purchase the hotel, which we will never do again. Apparantly they set aside a few uninhabitable rooms for Hotwire customers and then refuse to move the guests or fix the room. Also Hotwire is refusing to even discuss an adjustment to our bill. (4 stars--they rated it) The bed wasn't a normal sized Queen. The paint in the bathroom was peeling of the walls and the calking aroung the tub was all dried and peeling. They play hideous nouveau techno fusion music 24 hours a day. Most rooms got towels &amp; a New York times delivered daily, but not us--again another Hotwire bonus I assume. Hotwire is a fraudulent scam.	
Sep 9 2004	Average Hotel Stay	My husband and I stayed at the Shoreham on June 23-27. The location was very convenient for us. It was easy to walk to many places nearby. The rooms were clean and comfortable. Ours had a window facing the street so we could hear everything going on outside. The staff was our biggest problem. They didn't have answers to our questions and seemed put out by us asking them for things. The concierge was awful. We asked for directions to the subway and had to practically beg for a piece of paper to write them down on ourselves. Overall our stay was ok, but with all the hotel choices in NY I probably wouldn't stay there again. The rates were reasonable at about $160/night.	
Aug 29 2004	Excellent hotel	I spent one night at the Shoreham. The staff was very friendly and the room was very clean with modern decor. The location was ideal - easy walking distance to Times Square or Central Park. Would stay again.	
Jul 8 2004	would stay again	recently stayed at the shoreham. got rooms thru priceline. very nice hotel. staff very courteous and accommodating. for nyc, rooms were spacious and had plently of daylight, though no views. beds were firm, i got up each day refreshed. shower pressure excellent. cedar closet and fridge were nice touches. location perfect between 5th and 6th aves. easy walk to theatre district. two long blocks to popular delis (ben ash, stage, and carnegie).short walk to rockefeller center. 4 blocks to run in central park. would stay again.	
Jul 7 2004	Small rooms Drop your modesty	Booked two rooms through priceline and got a response for the Shoreham at $122.00 per night.Compared to the other prices for a 2 night stay in that area (short walk to Times Square) I thought I was doing pretty well with that rate. The problem was when I called the Shoreham after the reservation was made to check whether or not I would have a queen bed or 2 doubles. I was told that I would have to call back on Monday to talk to the front desk about that. They couldn't give me any additional information and didn't really seem to want to help. So I called back Monday and was told that the rooms that I had booked had queen size beds and that I would need to pay an additional $50.00 per night per room if I wanted to have double beds. So now my $122.00 per night became $177.00 per night per room. I had no other option but to pay that price as we had 3 people for each room. (This is a problem with priceline not giving you the option to advise how many people and type of beds you want.)Got to the Shoreham and my room was in the &quot;New&quot; tower which was renovated and my other party was in the old tower which was not renovated. Got to the room and it was nice, clean but VERY small. If it would have just been me and my wife, I suppose it would have been ok. But when you get the third person in there with luggage it suddenly is very cramped. Lose your modesty, as the bathroom was basically right there in the room just separated by a frosted glass wall with no locking door. Very nice look but not very private at all. The second none renovated room was actually a lot bigger and nicely decortated but not as nice as the renovated rooms. However, they at least had a bathroom that was small but offered more privacy if you needed it, with a locking door. This issue was very important to the mother-in-law. But the toilet kept backing up and maintence had to be called every night to correct it.Beds were very comfortable and clean, so I was pleased with that. The elevators with extremley small with barely enough room to get 3 to 4 people in, so if your claustrophobic, the stairs may be a better option. All in all the stay was ok, good location to everything and good restaurants very close. However, $177.00 per night it was not worth.Once we arrived the staff was very friendly and helpful, but I wasn't offerend the free drink upon arrival and after a long trip in NY traffic, could have used it! The website is deceiving so don't think you will be getting what you see, those are pictures from the &quot;New&quot; tower and not what you will get unless you upgrade or get a penthouse room. If a small room at a overpriced rate is what you are looking for then the Shoreham is for you. Otherwise do your homework, as I could have stayed at a much nicer hotel in the same area for the same price of $177.00 per night.	
Jul 5 2004	Loved it!	My daughter and I just got back from a 4 night stay at the Shoreham. We got the reservation through Priceline. Originally we were booked for a Queen bed, non-smoking room. When we arrived at the hotel, the desk clerk asked if we wanted to have a room with 2 beds at no extra charge. We happily accepted that. The room was a nice size, very clean and comfortable. We enjoyed our stay and would definately stay there again. The staff was very pleasant and polite. I can think of no bad experience at all during our stay. We would be very happy to stay at the Shoreham again.	
