	A very trendy and cool hotel right in the heart on Manhatten.	The hotel is in excellent location, just a couple of blocks away from Broadway (Time Square)I choose this hotel because of the cool pictures on their website. Altough it was not as cool as on the website, the hotel still is very modern and stylish.As I just used the hotel to sleep, I can only give my opinions regarding my room and my impressions. I did not use any of the their facilities and also did not have the chance to experience either the restaurant and bar.The room I booked was a standard room. It was very clean and stylish, but a little small for my taste.The bathroom is pretty decent and provides branded toiletries from L'Occitaine.As I almost never were in the hotel I cannot express myself to much about the staff. But the guy that brought my bags to my room was very friendly and helpful. The same guy escorted me when I departed. So, my only interaction with the staff was basically just him.As I mentioned earlier the location is just excellent, you can reach anywhere in NY midtown by foot. There is also an undergorund station just outside the hotel's entrance.In my opinion the hotel is most suitable for younger crowd (18-30)Overall I enjoyed my stay at the Dream.	
Feb 24 2005	Arrived with a girlfriend left with a Fiance!!	I took my girlfriend to new york for her 30th birthday, the whole experience was a dream! and so was the hotel. Very impressed with the service and the people were so friendly.The room was just like the photos i saw. The location of the hotel is spot on and only a 5 minute walk to central park and the same for times square.I arrived ar Dream with a girlfriend but left with a FIANCE!!I would like to thank dream for helping with my dream. Top marks!!!	
Feb 10 2005	You may want to check the building work is complete!	I was booked to stay here in September 2004, through Expedia. I arrived at 6pm on a Saturday night to a building site with no rooms open. They say it was Expedia’s fault, Expedia say it was the Dream. Either way it was a very bad experience and Dream did nothing to help me find somewhere else – poor service! 	
Feb 5 2005	Much hype little follow thru	The hotel has a fabulous location and looks great from the outside - just wait till you step in. TINY rooms, a pastiche of colors and a lot of hype for what it offers. IF you're okay with being squeezed into a closet (with some cool stuff for sure) New York has tons of better choices beginning with the Bryant Park Hotel on 40th street or the Chambers on 55th (?) street.	
Feb 2 2005	Loved Dream	I am very impressed with my experience at Dream. The Concierge was able to make a reservation for me at Spice Bar on a Friday night. If you know New York, that is close to impossible. Very Impressive! Overall, I had a fantastic stay.	
Feb 1 2005	Dream Hotel in NYC - disappointing	Hi all, I was truly compelled by the idea of the Dream Hotel. Designed by Vikram Chatwal? Golden-lit lobby with a cave-like underground lounge? Blue lighting in every room? Sounds like an surreal adventure!Not so fast. The overall effect is creepy at worst, trying-too-hard at best. The place overall seems unloved/run-down, to be honest. Not to mention the size of the rooms! They are TINY! Two outstanding things of note on this hotel, however:_GREAT_, swanky, fun bar. A must see!Amazingly comfortable matresses.Happy hotel hunting. .	
Jan 27 2005	For the price this IS a Dream	My wife and I stayed at Dream over Christmas 2004 on the tail end of our honeymoon. We had booked it purely on the recommendation of a British newspaper before it had even opened and were extremely impressed. Despite arriving a day late due to flight problems the staff were most accommodating and upgraded us to a King sized room upon check-in.The midtown location is perfect for Broadway, the well known shops and Central Park; all within walking distance. The staff were very efficient, the room was superb, the bed as good as they get, and all the little extras in the room and bathroom are a refreshing change from the norm. We had a 2nd floor room and the 55th Ave traffic noise was not a problem at all.You must check out the Penthouse Bar for guests on the 13th floor. The music and ambience is perfect and the view up Broadway towards Times Square is excellent. If you're a smoker, don't fret because there's a balcony to have a crafty cigarette. Well worth a visit.We're already looking forward to our next visit. Highly recommended!	
Jan 25 2005	not the faulty towers i read about!.	Well i have just come back from the dream hotel, and it was very nice the bedroom i stayed in was a large with two double beds in my opinion it wasnt large but neither was it small.The staff were very helpful and i will be going again but there was only one bad thing.The people in the 2 bars in the hotel are very rude and unfriendly and also the night club.so please check out the dream because it is worth a stay.thanks	
Jan 20 2005	Enjoyable stay	Just back today from 5 nights @ dream... I was very wary about my stay after reading reviews of this site. It just takes some planning to have a great stay. Book a large room with a king size bed, ring ahead to specify smoking or non... Staff are fantastic, very heplful with lots of local tips, concierge was a gift.. As for the rooms themselves, never used the heating once and considering it was -15c while I was there the room never got cold so i dont know what people r talking about (turned the heater on once n it does make a racket but u'll never need it) The beds are from heaven, I cannot tell you how unreal they are!!! Location is fantastic... Would have no problems in recomending Dream...To make the hotel perfect I would add the i-pods, a dvd player, more channels on the tv and a bigger bath(i'm 6'3&quot; and after 2 days of walking all i wanted was a bath but couldn't fit in..)	
Jan 19 2005	Good location but some staff need managing	Firstly the hotel reservation team did not know about an offer agreed between HSBC and itself for HSBC premier customers. Neither did the marketing team - I had to send a fax with the details. To be fair the person called back to explain that the person dealing with the offer had not passed on the details. Evidently the offer only related to a discount off the rack rate - this was not specified in the offer. The hotel itself was modern as expected. The lifts were working ok - this being a problem from previous reviews. The hotel has only been open for 2.5 months and still has a number of teething problems. The staff were in the main friendly and helpful. There seems to be a problem of communication between the bellmen and the concierge as the latter could only offer a car to the airport at a charge of $130+ whereas the bellman ordered one at $65!!!! A fault with the plasma TV however was fixed within 5 mins of reporting the fault. Room service trays were still in the corridor 12 hours after being placed there. Overall some matters requiring attention but if these are overcome then it promises to be a good prospect for Midtown Manhattan.	
Jan 17 2005	Will go back to Dream!	I enjoyed the Dream Hotel a great deal. I found the rooms to be quite spacious for a New York hotel. There was quite a bit of street noise, but that's just part of the course for alot of hotels in the city. I found the staff to be on top of their game. The concierge was very helpful in finding restaurants, and making reservations. We were even served a glass of champagne courtesy of the concierge at one of the restaurants. I found that very impressive.The amenities in the rooms were replaced every day. I loved the Molton Brown products. The beds were one of the most comfortable I've ever slept in. The pillows were like sleeping on a cloud.I had a chance to eat at Sarafina, and had a chance to go for cocktails as well. Enjoyed both experiences. The Dream Lounge was not my cup of tea, alittle to dark. The Penthouse Bar was very nice. The views of the city are fantastic from up there.All in all, my experience was a very good one. I would recommend this hotel to anyone. Myself, I would go back in an instant. The location was great, and the experience was even better.	
Jan 16 2005	I don't think so...	I am sooo happy I read this site. I called to cancel and the person was soo unprofessional. He started to argue with me that there would be a charge to cancel. I said that there was only one working elevator. He said, no. We have 'two' working elevators. As if that was wonderful...He refused to admit that there was any work being done on the hotel. After I pushed it, he offered to cancel and then hung up. Although it was so quick, I have to call tomorrow to make sure that he really did cancel.BTW, the website *does* say the rooms come with preloaded IPODs. So anybody that stays there should print that out.-----------------------------------?Also, some of the reviews on this hotel were so hilarious that we almost considered staying there just so that we would have some of our own funny stories.. maybe another time when we feel like wasting our time. ;)	
Jan 15 2005	Keep Dreaming if you want service	It was so bad, we changed hotels after our first night on the thought that we were paying top dollar but got horrible service. I'll give you the short recap after paying $300 for a king (Christmas week): put us in a smoking room b/c they &quot;can't guarantee smoking or non, just bed size.&quot; moved to a nonsmoking room but had full-bed, when we asked for a discount off the king rate, we had to fight for $40 off. no toilet paper when we finally got to the room, had to call for an iron and ironing board which was supposed to be in the room. either hit your head on a poorly designed shelf over the sink, or make a mess trying to splash water on your face. After bringing us to a second room that still wasn't right, the bell hop had nothing nice to say about the management or their concept of customer service. They just aren't paying attention to the important details you expect when paying these rates.I would recommend staying somewhere else but visiting Dream's penthouse bar which has an awesome view of times square	
Jan 11 2005	In this Dream.....The guest comes last!!!	OKay, Im am big on first impressions. So when I arrived to The Nightmare Hotel (Dream). We were excited for a nice little weekend getaway in NYC. Well , Everytime we exited the hotel we litterally had to walk around the DOORMEN and open the door for ourselves....I have NO problem opening a door for myself but, The thing is...each one of them were either on their Cell Phone, Talking about how cheap some guests were for not tipping them enough, or just wanted to stay under the heat lamp to keep warm. I am an occasional smoker and I do not have any problems with anyone who smokes, But I must say it looks a little trashy to have a doorman outside smoking a cigar. When you pay the rate to stay at a hotel it is not only for the room it's also the HOTEL Experience.. As for our room...yes it was the size of my bathroom at home...which again I dont mind since we are not living in that space. But it also seems like they did a rush job...like the bathroom tiles in the shower were painted tinstead of replaced...there were alot of broken cracked sheet rock in the room and in the lobby. The closet is litteraly 2x2 you ccould fit two shirts a pair of pants and 2 pairs of shoes...cant even store your luggage in it.Ipod in room......NOT AT ALL! I brought my own thinking ity had a base to plug into...when I asked the Front Dest they said &quot;I dont know why everybody thinks we have Ipod in room&quot; just because we wrote it in magazine once doesnt mean we have it....hmmm false advertising too!!Serafina.......If you want to eat a nice meal and get HORRIBLE SERVICE...thats the place for you. Food was good but the Service was soo sooosooo bad. Room Service Breakfast..if you order eggs it does not come with any choice of bacon,sausage....now an egg to me is useless without a strip of bacon....its like peanut butter without the jelly.....and the kid on the phone said sorry we dont offer that...I dont even think we have bacon....low and behold 2 orders of over ez eggs with 2 cups of coffee....no refill......$56.00.....How this hotel is a prfered property is beyond me......it is like a trendy Holiday Inn....or at least thats where the staff has worked before...If they do not like being in the service industry....they should get out!	
Jan 9 2005	A dream come true	We checked into the Dream on Christmas day and I have to admit I was very nervous after reading the scary reviews on this web page.Well here is my view on the Dream Hotel.We arrived at about 2130 on Christmas day and were checked in by a very friendly member of staff we were very impressed by the decor of the lobby.We went up to our room and instantly said Wow! when the lift door opened as there was a huge lit photo of clouds in front of the lifts.These are diffrent on each floor.Our room was a large room with two queen beds, a fair sized bath room and a cupboard. The room was very inviting after a long flight from London with it's white sheets and blue lights.Very trendy and restful.From reading other reviews it seems our room was larger than others in the hotel but you really do get what you pay for in this life and with a location as fantastic as this hotel offers if you want a larger room dig deep and pay for it because its on offer at this hotel.The TV did not disappoint and had tons of channels to choose from.The room was cleaned every morning and was always spotless, the toiletries were replaced every day, the maids turned down the beds each night and left an apple each evening which was a nice touch.In answer to a previous posting about the temp of the rooms yes they were a bit cold but it was -5/-8 over Christmas and the New Year we put the heating on while we were out and the room was just right by the time we returned.The location could not be better 5 mins to Time square not too far to Macys and a metro station on the corner and to top if off the best cheesecake I have ever tasted in the deli right around the corner.All in all we had a wonderful time in New York and in the Dream hotel I would just like to say if you are going to the Dream soon enjoy! I know I'll be going back and will be sending friends and family aswell.	
Jan 9 2005	never again!!!	We are quite used to things but this was a really bad experience. For 2 nights we paid more than 770$ and what did we get: - a very very small room (107 square feet!), even while my partner is almost 6,5 feet. A single room, and the fact that there was only one bathrobe, and one amenity set made this quite clear. Also old fashioned sheets on the bed, so small we stayed awake all night.- Even worse, the rooms were very very old fashioned, absolutely not what you see on the website. Old cupboards, oldfashioned tv, paintings my grandmother has hanging on her wall etc. In the hallways tiles were broken on the floor and wallpaper coming off the wall. Clearly not the rooms we booked, the ones with the dream conceptIpod, flatscreen, blue light?? Never seen that!Ofcourse we complained at the reception desk and with the manager, but their excuse was that the hotel was fully booked, and because we booked via Expedia we got the worst rooms!! Needless to say that now we are home, some letters will be written.We were so disappointed...	
Jan 6 2005	Tiny room modern done cheap.	Our room was a box. My friend and I had a hard time moving around. The blue neon lights are very cheesy. Room was clean, but the toilet had some nasty debris floating in it. Great location. Friendly staff. Cool view of Times Square.	
Jan 6 2005	Really Disappointed!!!	I have just returned from a week at this hotel, and i was extremely disappointed with the overall service of the staff and quality of the bedrooms. Prior to even arriving at the hotel, we had already been appalled by the unhelpful staff. We had contacted the hotel on numerous occasions to try to see if the hotel was doing anything for New Years Eve, and after being put through to the wrong department 4 or 5 times we were told that the hotel was not holding anything. However, when we arrived we were re-informed that there was in fact an event being held for New Years Eve. Subsequently, we informed reception of what had happened and were assured that we would be contacted immediately for information about this event. Disappontingly, we never heard from any member of staff throughout our holiday.Furthermore, the rooms are exceptionally small and even after being moved to a fractionally larger room, we still had no space to put our clothes and had to put the majority over the desktop which was most inconvenient.The sheets were also dirty, and the room was freezing. There was a heating system, however it made so much noise that we were forced to keep the heating off throughout the night to keep it from waking us up.Lastly, there were no ipods in the rooms, and there were very few TV channels to watch.To credit the hotel, it was in an excellent location, and the bar and restaurant were lovely. However this did not make up for our overall experience of this hotel.	
Jan 4 2005	Blue lights don't make it the W	Dream badly wants to be as hip as the W, but it doesn't come close. Dream wants to distract you from its slapdash refurbishment job (bad plaster work, two different colors of white in the bathrooms, holes, etc.) by shining blue light in the room and putting in a plasma TV. This cheapjack refurb of the old Majestic will not fool anyone over 21 into thinking they're at the W, which succeeds at being cutting-edge as badly as Dream fails.My wife and I stayed there for a few days over New Year's. I knew we were in for trouble when I asked about the much-touted iPod that's supposed to come with the room, and they told me there was no iPod. Strike 1. They didn't ask if I was a smoker, and simply placed us in a smoking room without asking or informing me of that. Strike 2. OK, that was only 2 strikes within 15 minutes of checking in.Then the little stuff started piling up. The concierge was rarely around. Or if someone was around, they'd give you wrong information (e.g., sending us to a restaurant for brunch that didn't serve brunch). The guy that puts the paper outside your door at 4:30 am doesn't set it down by the door, but instead throws it at the door. You'll get random numbers of towels in the bathroom of completely random quality. The windows are ill-fitting and almost impossible to close completely, letting in copious cold air that the heating system is ill-equipped to combat, and also letting in significant noise. Strike 3, Dream.Other reviewers are correct about the 2 of 3 functioning elevators that never come because you're competing with the staff for them, and the noisiness of the lower rooms. For the love of pete, if they put you in a lower room facing 55th street, insist on a new room *immediately*!! The garbagemen stop directly across 55th from the hotel every other night at a random time between 11 pm and 4 am, although the staff will never tell you about this. If you're on one of the lower floors, that will wreck 30-45 minutes of sleep in the middle of the night. If you insist in staying in this hotel, hold out for something on the upper floors facing Broadway or in the interior. The last straw for me came the night before checkout. We needed to check out at 1 pm rather than noon due to the timing of our flight. However, the night clerk told us that he couldn't give us late checkout, and that it was up to &quot;the girls&quot; (his words) in the morning. I'd have to see them about it sometime after 7 am. Great. If I had been at the Fairmont, that would have been trivial for any clerk to handle at any time. I asked him what time the manager arrived in the morning, thinking I'd speak to the management. He told me &quot;Nine, maybe nine thirty.&quot; That statement unintentionally summarized the lackadaisical attention to service of the Dream staff.On the plus side, the location is great; the bellmen are professional and efficient, and the two bars are as hip as the hotel desperately wants to be, while maintaining much better levels of service than does the hotel. You enter the unmarked Dream bar through the left door in the lobby in front of the front desk.	
Jan 4 2005	Some say dream I say nightmare	It was so many little things that made me realize that I would have been better off at the Motel 6--at least I know what I'm getting for my money there. The Good: the lobby lounge and the Penthouse lounge were good. The staff was cordial and we enjoyed a number of evenings having a post-tourism drink in comfort and style.The Bad: The staff. The concierge sent us to brunch at a place that had stopped serving brunch ignoring at least 3 restaurants within a block that did have brunch. The maid service was uneven, one day we'd get replacement shampoos, etc. the next day, nothing, the next day, extras. The front desk was not eager to help or to answer questions. They were uninformed regarding New Year's Eve on Times Square (you would think that they would know when barriers would be up and how we could return to our hotel, etc--luckily the local police were wonderful and happy to answer our questions). The front desk night clerk would not (per hotel policy according to him) authorize us to check-out an hour after regular check-out time as he said, &quot;it's up to the girls who come on at 7. Ask Them.&quot; The Ugly: Being put onto a smoking floor without being asked if we wanted smoking was bad enough but this floor was lower on the building. Our second night we were serenaded by the recycling truck for an hour (yes, I timed it). Having called down to the desk a woman DID offer to move us (this was after 1/2 hour). Having unpacked we choose to remain, however, what she did NOT tell us was that the recycling men come every-other-day. Twice they came around midnight and the other time (New Year's morning) at 4am. The New Year's serenade was followed by our free paper being delivered by being thrown at the door at 4:30am. This was followed up by everyone on the floor getting the same treatment.For the money I'd go elsewhere. What should have a been a dream became a nightmare of no sleep for at least 4 nights.P.S. the linens were nice, but the bug on the pillow wasn't.	
Jan 2 2005	dream was not so bad but the small room yes	i just came back from new york, and i was very disappointed with dream, disillusioned. when we arrived at the hotel, first we found the lobby small!! nothing to see with the 'pictures' of the lobby, but it was nice, modern a big statue and an aquarium. but then, what almost a nightmare. the first room they gave us, (a small one), was just a shame. it was not small, it was ridiculous, our luggage did not fit in the room. the view was disgusting, if you can call this a view. the 'view' was one of the behind of a building, just disgusting so we asked for another room. the other room was better we had a view on the street. but VERY VERY small, and the shame is that there were NO closet at all to put our clothes!!!! there were 2 little drawers, and 4 coat hanger, and THAT's IT!! so, we had to leave almost all of our clothes in our luggage, which took all of the space on the side of the bed...then, if i sat on the bed, it was not possible for my friend to go to the other side, there was like 30 cm in front of the bed. for this price, it's a shame, i strongly suggest you NOT to have a small room at dream, not even a medium one which is just a bit bigger.so, i was shocked of the size, i would not even pay a hundred dollar for it. i thought people exagerated a lot about the size, but i can assure you they did not. we did shopping, and after 2 days the room was a mess, it was difficult to move and we almost fight with my friend because it's so irritating this size.then, no ipod, the tv was great but sometimes gave headaches because it was so close from the bed, and there are no numbers for the channels, just + or - so good luck if you want to go from channel 2 to channel 30. then, the heater waws soooo noisy, horrible either it was too hot either too cold, and one day it broke so they gave us a portable heater, what i strongly suggest you because no noise, and the temperature is better, hot everywhere in the room not just only in front of the heater (if you use the one on the ceiling).then, another really bad thing for a 4 stars hotel, our room was not made during THREE days, and they changed out towels just once in a week, they even left dirty ones with make up...we left a tip everyday but we should not have, because those kind of things it's not normal.so what i can tell you is that we will probably not go back, and really dont go in a small room if you want to do shopping and have some clothes.for the good points, well the location, the confortable bed and bathrobes, and that's it..we had a drink at the ava lounge, it's very dark and i asked for a bloody mary with no spice, they told me that the cocktails were already mixed....for 14 dollars a cocktail, pfff ridiculous. and the rooms were not as fancy as i thought seeing the pictures, they had nothing special the blue neon board, the huge screen but nothing else..and the bar at the lower level, has nothing to see with the one on the pictures, i did not see it like this. the hotel did not ruin our holidays but i can presume that it ruined some other people ones, and that it will.	
Dec 30 2004	I loved the dream!	Just got back from Dream, and can't wait to go back! Great location, friendly staff, chic atmosphere, and great Key lime martinis made this trip to the city fantastic! Small rooms? It's NYC folks! Besides, the rooms were not THAT small. How much time will you be spending in your room anyway? Only 2 elevators working? Yes, but we never had to wait long for one to arrive. No mini bar, true, but I have never been a fan of paying $5 for a bottle of water. These 3 things were eclipsed by the beautiful rooms, great lounges, and superb location. Personally, I hope more people write bad reviews so I can have this great hotel all to myself the next time I go to New York. (plus it might keep the prices down) There were a couple of small glitches while we were there, but the staff took care of our needs as soon as we notified them. Overall, Dream was one of the best hotel experiences I have ever had. Definately geared more towards the 20-30 something hipsters. Families with children should consider other nearby hotels. All others, come and enjoy the Dream!	
Dec 30 2004	Dream was great	We were concerned about what we would find when we went to the Dream because we read many reviews and they were mixed. However, from the time we were greeted by Madjana at the front desk (who was terrific and gave us great restaurant recommendations) to the time we checked out, we had a great time. We found the room to be very comfortable, quiet and stylish as well. There were many special touches and it was lots of fun. Our party included younger and older persons and all loved it.	
Dec 28 2004	More like Nightmare	My Stay at the Dream hotel 13 Dec - 18 Dec. First impression when stepping into the hotel is great, looks ultra modern. But the rooms are more like ones that you would find in a 3 star hotel. Though the beds are very comfortable!!! On entering my room, I noticed that is was rather small, unlike the price. It was cold and there was not a safe in the room. And no mini bar, though a member of staff did provide as a replacement to this, 2 apples and 2 bottles of water. I asked reception if they could get an engineer to fix the problem regarding the heating, and after 24 hours, nothing was done. They did though, after some prompting move me to a room which was warm. The telly is big, but I did not see any Ipod. Though i was happy with the 2nd room. The service elevator did not work, so the other 2 lifts were often occupied by members of staff. And on one evening only one of the lifts were working, very funny evening, with guests using the stairs, very relaxing!!!! They lost my dry cleaning which eventually turned up the next day. In my opinion, the location is great, but for the price I think that they have to do more than add paint and stick a fish tank in the reception. What started as a Dream finished a nightmare, though I must admit at a certain points it was like fawlty towers.	
Dec 23 2004	Dream was fabulous	Just got back from a wonderful weekend in the city. My husband and I stayed for two nights at Dream. We were very hesitant after reading many bad reviews. However, we had a great time and really loved the hotel. The hotel is very modern/trendy, perfect for 20 somethings looking for a fun atmosphere. Our room was quiet and the bed was very comfy. I would recommend a King size bed as an upgrade from the queen. These rooms are much bigger. The location is PERFECT...within walking distance of Time Square, 5th Ave, Central Park, MoMA, and Rock Center. The bathrooms are small but you are not in your room long enough to care. Hope this helps put your mind at ease if you are worried about choosing this hotel!	
Dec 13 2004	Livin' The Dream	Ever since booking my 4 night stay at Dream I have been checking reviews on this site almost daily. To say I was nervous about how my experience was going to turn out due to all the negative feedback is an understatement.For anyone doing the same thing in anticipation of your Dream stay I suggest you stop stressing, it was a great experience!On the much-hyped construction woes: we stayed the weekend of 12/11 and saw none of it. When we returned to our room one night a new element had been added to the fishtank so they are certainly still working on things, but we saw none of it. The lobby design is eclectic, but very tasteful is a &quot;purposeful tacky&quot; sort of way. Besides actual fish in the tank, everything looks to be completed in the lobby (execpt the elevators, let us move to that...)On the elevators: There are two lifts working, and yes, there was a bit of a wait at times...but nothing long enough that irked us. Now, there were grumblings about BOTH of the lifts being down Saturday night, forcing guests to walk up trechorous stairs, but we went to bed early that night so didn't feel that pain (and I can understand why they would be upset, the stairs are steeper than K2). And yes, they desperately need service elevators, as crowding on elevators with laudry carts should not be an issue guests have to worry about, but so-long as you are not of an uber high-matinence temperament, you will find the lift situation satisfactory. (and there are 2 more lifts coming)On the rooms: Yes, they are wicked small...but they are no smaller than many similar botique hotels in the city. The bed is indeed VERY delightful, something that was almost a deterant as we slept in every morning during our stay because the beds were just that comfy. And washing your face is a mess due to poor planning on placement of the vanity mirror deal. You'll love the TVs...because really, when in the city on vacation when are you in your room other than drift off to sleep at night with the telly on.As far as service, the folks there are SO delightful. It is difficult to say who the concierges are, as they seem to double as the bellmen, but that is the benifit...everyone can help you, and they do it with a smile, going above the call of duty to make you happy. I don't remeber the names of the two gentlemen who constantly helped us, but you'll know them by the quality of their service.The Serefina resteraunt in the hotel is good...nothing amazing, but the pizzas are delightful. The bar downstairs is quiant and nice. And I couldn't help but be a bit star-struck when I dropped in for an after dinner night cap and P-Diddy had to wait until my drink was made before ordering his. The bar was never crowded, and the service and attitude is un-pretentious...example, after finishing half my Martini, I went to grab a smoke and when I returned and it had been taken up, after explaining my situation there was another Martini in front of me on the house with a lenghty apology to boot. The penthouse bar wasn't my bag. It is like a lengthy hallway, and just didn't have a &quot;feel&quot; or vibe of any sort. I would recommend staying downstairs for libations.The location is really the star here. On the same block as the Carnagie Deli and across the street from the Applejack, delicious breakfasts abound. A short walk from the shops at 5th, Time Square, any theater in the district, etc., etc. In all honesty, in any place I've stayed, or even any place I have seen walking about, I could NOT pick ANY location in all the city that would be more centrally located and convenient to an out of town visitor. Perhaps it was because I was expecting less and was delivered more, but I loved staying at Dream. In talking with folks in the elevator and throughout the hotel, I did notice one thing...those around my age (I am 28 years old) shared similar tales of satisfaction, while guests 40-plus were complaining. Take that for what it is worth, but I beleive they are catering to a younger crowd.I spent months trying to find info on this hotel (if you haven't notice, there is VERY little &quot;real&quot; info on this hotel ANYWHERE) and I hung on every review on this site...so if someone out there is doing the same, I say to stop worrying...you will enjoy your stay very much.	
Dec 7 2004	Nightmare	My parents were visiting, and had booked a room here. A room with a queen size bed. They received an unrenovated room with a full bed. Nothing else. Not even walking space. You were either in the bed, or in the hallway. No lie. One of them had to be lying down or sitting on the bed for the other to get to the bathroom -- it was actually that small. The fact that there was only one bathrobe in the closet confirmed that there was no way anyone expected two people to live there. I asked for them to be moved, and was told that they didn't have the kind of reservation that allowed for that. After much persuading, they moved them into a renovated room. No bigger, and reeking of drying paint. Interestingly, the bathrooms were large and lovely. Go figure. Elevator situation a nightmare. Front desk staff rude and without a clue. This hotel could not be worse if it tried. And where is that IPOD we kept hearing about?	
Dec 6 2004	A real mixed bag - definitely has some kinks yet pluses too	First the pros;* Great location right at 55th &amp; Broadway- you can walk to virtually every mid town attraction &amp; restaurant.*We found the space to be quite nice and roomy- we did have a suite, which offered 2 bathrooms and a very roomy&quot;living&quot; room with seperate TV - another plus those plasma screens are cool.Uber- trendy, if not downright edgey with all the blue lights and euro-techno feel- better to look at than actually get comfy though, form takes precedent over function here.* Nice ameneties like voss water, fresh fruit and paper daily even on w/e. Cashmere robes were great.Cons:* By far and a way the noisiest hotel I have ever stayed at- get a room AWAY from Broadway- terrible window insulation - the bathroom with a window was FREEZING.* Elevators are S...L...O...W! Always a wait.*Doormen sometimes there, sometimes not, same with concierge. Staff when you get their attention, helpful but often hard to find room was made up very late every day even though maid saw us leave early.* lobby is very small and uncomfortatble- not good for business.Net net it has the makiings and could be a great place but definitely needs some polish.	
Dec 3 2004	A great place!	Much has been said about the work going on this hotel. Don't be scared about it. When we arrived, and november for a business trip stay, I was pleasently surprised how little we noticed about it. Room was adequate size for our 2 nights stay, but who wants to stay in and enjoy the fantastic bed, superb plasma and dreamy blue lighting when your so close to the best NYC has got to offer?Above all the friendly staff deserves a cheer, helpfull in everyway.It will definetly be my preffered choice next time I am in New York. Give it go, I am convinced that thing will get beter (although they are currently already nearing the point of perfection IMHO)	
Nov 30 2004	Dream ROCKS!	I loved this hotel! I was there during the soft opening so there were still kinks to be worked out but I found the staff extremely accomodating and friendly. The room was much more spacious than I had expected and the bed was the most comfortable I'd ever slept in! Don't get me wrong, the rooms are fairly small but at least 4 times the size of a Schraeger property and much nicer. I really loved the fact that instead of a bible, there is a book on the teachings of Buddha. A lot of little things made it just great. The best thing about the hotel is the location, without doubt but, if you're a drinker, go to the Dream Bar and have a Key Lime Martini. THEY ARE THE BEST!!!!!I would stay here again and recommend it to most people.	
Nov 29 2004	Dream: Code name for only enough room to sleep	On the good side: The lobby was very nice and the lounge on the top floor was a good place to hang out with your friends. On the bad side: The rooms are VERY small, I wasn't sure if I was in my room or in my closet. There was only one working elevator. The in room safe was not hooked up, the mini bar was not stocked, some of the outlets didn't work. The was no bathtub, just a small shower.Overall I would say they did as much with the space as they could, but it just wasn't good enough.	
Nov 26 2004	The spirit of Fawlty lives on	Ha Ha. Laughably bad.For such a terrific location, Hotel Nightmare is quite something. First, the positives. When you complain - as you will - the staff do try their best to remedy the situation. For example, when we arrived at 10pm to check in (after an 8hr flight) and were told the &quot;room was not ready to check in yet&quot;, the staff grudingly bought us a drink. When - on the following day - the maid forgot to service the room - the hotel bought us dinner. If we'd stayed another night, we probably could have the whole stay for free!Onto the negatives, staff are poorly trained. Watch how they barge past you to squeeze into the (one working) lift; or casually slump in the main entrance occassionally mustering the energy to ask guests whether they are staying in the hotel (great security guys). Some rooms are shockingly small. The 19s, for instance. If you unlucky enough to be allocated one - demand to move asap. The hallways are a dumping ground for the room maids' trolleys; presumably because of a lack of storage although possibly to save time.The lobby is OTT - although there is something surreal about an empty 25ft goldfish bowl juxtaposed to the grunts of lift engineers working furiously on some clapped out lifts. There are abnomalies such as only one dressing gown in a double room, bell boys that forgot to take up your luggage even after being asked 3 times and 3 doors to get into the hotel and no one to help you at any.If you must go check in with a sense of humour!	
Nov 23 2004	Still working out the kinks	We stayed at the Dream Hotel for 8 nights for business. The hotel is still working out the kinks but, if you are patient, you can enjoy the stay. Positives include: GREAT concierge--Marco is incredibly helpful with dinner reservations. He's one of the best concierges I've experienced in my travels. Stylish decor. Rooms were average size--about the expected size for a &quot;boutique&quot; hotel (larger than the Hudson and Maritime). Amenities including good bath products, robes and the big plasma screen. Cool bars. Cleaning service was very thorough. Convenient location (near subways). Negatives: Elevators that didn't work. Spotty, intermittent internet service. Unstocked mini bar (they should have told us this when we booked our room). Thin walls (don't get a room by the elevators). Lack of climate control in the room. Phones that didn't work in the rooms. Keep in mind that there are only two, very small, drawers which are not enough to accommodate a long stay.Overall--glitches to be worked out, but the staff is trying to work with the many problems to insure a pleasant stay. I would not pay what we paid to stay there again until they are fully functional and you get what you pay for (or at least what is advertised on the website). However, I think that the hotel will be a nice addition to the NYC hotel scene once the kinks are worked out.	
Nov 22 2004	Frustration and some Fun	We were intrigued by the descriptions online, and expected a fresh,newly renovated hotel. However, the minute we arrived, we realized that the hotel was merely a partially reworked old hotel. There was extensive construction in the lobby, only one working elevator, and an overworked staff. The room and bathroom were quite small, and the shelf above the sink was badly placed. There is no iPod in the room although the online descriptions promise one. All of that being said, the plasma TV, Bose sound system and blue lighting were quite novel. The room keys were also quite original. The highlights of the room are definitely the Kashwere robes and comfortable bed.Overall, it is still very much a work in progress - a fact that should be noted online and reflected in the price, which is too high for its current state.	
