	Charged over 108 USD for a phone call!	Unfortunately i had a relative pass away and urgently needed to use the phone to call home. I did - there was no information or due warning regarding the potential extortion price of one phone call. One 12 minute call and i could have stayed in a better hotel for night.When i asked to speak to the manager he was no avaliable and would not be avaliable tomorrow either. I walked out upset with yet another crampy hotel service.The way i was spoken to was a joke, i walked out and vowed to write a review to inform everybody else of my wrong doing... i should have brought a phone card, but at a urgent matter arose i thought best to deal with the situation at hand.I would tell this manager, you cant charge this price, without due information avaliable on hand, as was the price listed in all the other US hotels, i stayed in..	
Feb 13 2005	No frills but great location and good value	For a romantic getaway or a hotel with lots of extras, look elsewhere. But, we (two adults, one 7-year-old child) stayed here in July 2004 and had no complaints. The room was clean and not too cramped, the staff was courteous, and the location was great - just a block from one of the main streets of Murray Hill (and the vegetarian Indian restaurants of Curry Hill), and a block or two from the subway. The rating is four stars instead of three because the price was so affordable. 	
Feb 2 2005	good budget hotel	If you stay at this hotel, you must expect what you pay for. We got an excellent rate for a shared bathroom room and were very pleased. The bed was comfortable and the room was clean. It was very small, but we had room to set our suitcase down and that was all we needed. There was a small tv on the writing desk that had cable. That was all I needed as I like to watch the news in the morning. The room had a sink with a well lit mirror so I could get ready fully in the room every morning. The shared bathroom was very clean and well maintained. The shower had good pressure and was quite adequate. I never had to wait in line to use it. The only problem: when we first checked in the toilet in the shared bathroom was backed up. I called downstairs to notify the worker and when I left my room ten minutes later someone was in there working on it. It was fixed by the time I returned a few hours later. I find that very good service.this is not what i would pick for a luxury vacation, but for a couple on a budget it was perfect. We splurged on two broadway shows since we saved all that money on the hotel room. That is more worth our money than a private bathroom!	
Jan 31 2005	A cat or two would scare away the mice.	I stayed at the Hotel 31 when the sister hotel, Hotel 17 was booked. It came highly recommended from the staff. Well, never again! While the room was large, I had the misfortune of being awaken by a mouse at 2:30am! I called the front desk and they explained that because of the construction next door that mice had come into the hotel! Not even a &quot;I can move you&quot; gesture, nothing, nada, zero. Just a chuckle and a &quot;yea we have a mice problem&quot; attitude. Disgusting! Never Never again&gt; Stay away from this mouse infested hotel.	
Jan 27 2005	Great - will be returning	We stayed in Hotel 31 for a week commencing 14th January 2005. I had read the reviews posted here beforehand and was slightly worried that my reservation would have been lost, or that the room was going to be so small we couldn't fit in or something. However, when we got there (quite late in the evening) they guessed my name from their bookings straight away and checked us in within a couple of minutes. We then got the lift, which is by no means the smallest I have ever seen, and fit myself, my friend and two large items of luggage in easily, to our room. The room was warm and cosy and there was easily enough room for us and our luggage. The decor, I admit, was a little dated, but if anyone out there actually stops in a hotel for the decor, then the word sad comes to mind. There was a double bed, a writing desk with mirror and chair, a bedside cabinet with lamp, a chest of drawers, a hanging rail and a sink with mirror/towels/hair dryer etc. The room was cleaned and the bed made up daily. We had a shared bathroom which was always clean day and night and we never once had to wait to use the bathroom. The shower was nice and warm and the pressure was amazing - just what you need to soothe aching muscles after walking for hours. The hotel is in a great location. We only got a cab back once and walked back the rest of the time. We generally walked back down 5th avenue and then down 31st and I felt perfectly safe. There is a really useful general store round the corner on Lexington if you want a bottle of water or a snack and a great diner called Pellana also on Lexington that does fantastic breakfasts. The concierge called us a taxi to take us back to the airport because it's cheaper than hailing one, and we got a huge white Mercedes. Riding in style!! All in all, a very enjoyable experience and I won't hesitate to stay there again next time I go to New York.	
Jan 18 2005	Mixed Emotions	Booked online in Jan 04 - for a 3 night stay with private bathroom in Dec 04, I anticipated that this was quite a long time in advance to book so just to confirm I e-mailed Hotel 31 a few weeks before our arrival &amp; received a confirmation e-mail to say yes our room was still booked. Guess what - on arrival there was no booking to be found!We were given a spare room with shared bathroom on arrival (luckily they had one spare) but I got the distinct feeling that they thought I was lying (as if - I mean if I were going to walk into any hotel in NYC &amp; pretend I had made a reservation it would be somewhere like The Plaza not Hotel 31!!)Anyway, they wouldn't move us to the room we'd booked until on the last day I manged to find an internet cafe &amp; I had the joy of presenting them with a print out of my confirmation e-mail (by which point there were no rooms with private bathroom left) So all in all quite a nightmare.I must say though that the concierge Bob was an absolute hoot, he was very friendly &amp; tried to help us. Our room wasn't cleaned for the 3 days we were there though &amp; our whole corridor had a strange aroma - a pungent mix of urine &amp; coconuts. Apart from that though - an ok basic hotel - just make sure you take confirmation of your booking with you!!	
Jan 12 2005	Brilliant cosy and friendly	I stayed in Hotel 31 in December with my boyfriend. We had a double room with a private bathroom which was lovely. Although the decoration is very dated the room was cosy and comfortable. Shower was fine hot water every morning and night. Room was cleaned every day and bed linen changed daily. It is in the perfect location within walking distance from everything and there is a gorgeous pizza place just 2 minutes down the road. Staff were very friendly and there to help 24 hours a day. The lift is small but it works perfectly. I would definately stay there again. Why waste money on posh hotels when this one has everything at half the price.	
Jan 10 2005	Awful	The 2nd worst hotel experience of my life. Cramped. Dirty. Noisy. Smoky. Zero amenities. And some of the staff had a TERRIBLE service attitude to boot...although others were actually somewhat helpful. The weekday staff were more helpful than the weekend staff...at least, that was my experience.In Manhattan, you get what you pay for. The cheap price (for Manhattan, that is) set warning bells going off for me, which were justified. The only reason I stayed there was because my spouse's chilhood friend picked the place out of a guidebook to New York City and made their decision based mainly on price alone. Trust me: If you HAVE the money, SPEND IT and stay somewhere nicer. While I wouldn't go so far to call the place a total dump, it wasn't a pleasant experience nonetheless.One important piece of advice for air travelers: IF you plan to stay at Hotel 31 and are planning to bring your largest piece of luggage: DON'T. Very large luggage may not fit in their tiny, tiny elevator, where you have to open the elevator &quot;cage&quot; yourself but it does close automatically on its own. We were fortunate enough to get a private bathroom, but private or shared, the bathrooms are TINY, as are the bedrooms.The location between Midtown and the Flatiron district makes for relatively easy access either uptown or downtown, but that's about the size of it. For people into Indian/Pakistani/South Asian foods, Hotel 31 is about 2 - 3 blocks away from a large neighborhood of Indian, Pakistani, and Middle Eastern shops and restaurants. There's even a Tibetan restaurant about a block &amp; a half away. Otherwise, the neighborhood is unremarkable. Not bad, but not fantastic either.For people whose biggest consideration is cost, I suppose the experience of staying would depend on your tolerance for low budget lodging. Maybe I'm just spoiled. For those of us who HAVE grown accustomed to some degree of luxury, however, I'd advise spending more money to keep in line with what you're used to. Just a thought.	
Jan 10 2005	Just right for a busy visit	This is the perfect place to stay if you do not intend to spend much of your time resting in your hotel room. The decor and amenities are strictly minimalist, but it's clean and extremely convenient. The linens are clean, but threadbare. We got a room with a private bath, and it was quite nice, but the shared baths always looked available. The TV is small, but functional. Very close to the 6-line on the subway and in a lovely neighborhood.	
Jan 8 2005	I'll stay here again...over and over and over again	I was very wary of what I would find at Hotel 31 after reading the negative postings on this site. After a long bus and train ride from the airport, I was dreading the possibility of finding a poor hotel and having to find other accomodations. But I couldn't have been more pleased. I stayed for three nights and it was everything I could have hoped for. The bathrooms on my floor were always available, daily room cleanings were done excellently, and the view of the Empire State Building from my sixth floor west facing window was perfect! The review about the thin walls could be an issue for some people. I'm a fairly light sleeper and if I turned off the a/c unit (on fan mode) and listened closely, sounds could be heard. But the white noise created by the fan eliminated it all, and that slight inconvenience (if it can be called that) is well worth the enormous savings and the quaint, cozy hotel with such a great location. I'll stay at Hotel 31 next time I visit Manhattan, and many times after that.	
Dec 28 2004	Hands down worst hotel experience of my entire life!	I made a reservation via an unknown website (now known as hotels) for the Hotel 31 for two nights. The charges showed up on my VISA immediately after making my on line reservation. Upon arrival, the hotel refused to honor my paid reservation and made me pay again on the same credit card. It suddenly occurred to me I had stayed at this hotel last year around the same time and was also double-billed. It took me five months to get the hotel to refund my money as they knew they had billed me fraudulently.In addition, I was promised in writing a room with a private bath which I was denied of also upon arrival. The room was filthy and the linens very worn.I have now reported the double billing issue to the hotel, to Hotels and to VISA. They are investigating the issue as well as the ethics of the hotel. It is true, the rates for NYC are phenomenal but it is also truly a matter of &quot;you get what you pay for. . .even if you have to pay double.&quot; Hotel 31 has told hotels that the charges were for &quot;incidentals&quot; which I found particularly interesting since there is not so much as a vending machine on the entire property.May I suggest the Edison Hotel, a very fine reasonably priced hotel in Midtown with the highest level of service, a wonderful restaurant and bar, and clean rooms.	
Dec 25 2004	Excellent hotel with one warning	Hotel 31 is an excellent hotel in many ways: the price is quite reasonable for NYC, the location is central to just about everything, and the rooms - while definitely on the budget side - are nevertheless quite clean. However, there's one very important factor to take into consideration before booking here: the walls are pretty thin and it's extremely easy to hear what's going on in the hallways and the rooms next door to you. If you're a heavy sleeper and noise doesn't bother you, I can't think of a reason why you shouldn't stay here. But if noise is at all an issue for you, I would recommend you consider staying somewhere else. The three nights I stayed here, I spent the first two staying awake due to the tv, conversation, and constantly slamming doors of my next door neighbors - who of course had many people coming by their room until 5:10am. After a second night of this, I asked the front desk if I could move to a quieter room and they put me on the 7th floor, where I didn't have any guests next to me. This was acceptable, but also a matter of luck; if they were all booked or if they had more people on that floor, I might not have had much of a change noise-wise. So again - if the noise level matters to you, I would suggest another hotel.	
Dec 22 2004	Perfect	This is a real Gem of a place. My girlfriend and I stayed here from the 13th - 19th of december in a double room with an ensuite. The location was perfect to start off with, less than one hundred yards from the subway, a 5 minute stroll to the Empire State and 10/15 minutes to Times Square. For the location and the quality it was an absolute bargain!The room was great. After reading some other reviews I was a bit wary of the size of the room, but it certainly exceeded our expectations. There was a double bed, a single bed, a tv with about 20 channels, loads of room for storage, clothes etc, the water was always hot and the cleaners were in without fail every day to change the bed &amp; towels.The staff were superb! Its complete nonsense what people say about New Yorkers if the staff in Hotel 31 are anything to go by, very friendly bunch!And being able to get takeaway delivered to your room is a nice touch!I couldn't recommend this place any higher!!	
Dec 21 2004	Great stay no problems at all.	I stayed two nights at Hotel 31 in January 2004. The staff was professional and friendly. The lobby looked renovated and well-kept. My room was clean, complete with sink and a tv that had plenty of channels to keep me entertained. I saw no rodents at all. This was my first time staying at a hostel, so I was concerned about the shared bathroom situation, only to find the bathroom very clean as well. Fortunately, I never had to wait to use it. It was convenient having a good grocery store at the corner across the street, as well as a Domino's pizzeria next to that. I was pleased to discover Hotel 31 is located in a good neighborhood. Great place I highly recommend to anyone looking to stay in Manhattan on a budget. I'd gladly stay there again.	
Dec 20 2004	Excellent Value!	This place is fantastic! It's very clean, and the bathroom was always available. Neither of us had to wait to use it, ever. The man at the front desk (regretfully, didn't get his name) was a joy, very friendly, very helpful.The only complaint I have is that we couldn't control the temperature in our room. It was approximately 40F outside. Our room was roasting! We had the window open and the air conditioner running all night. It was only a minor inconvenience though.This is an excellent value!	
Dec 18 2004	Good price good character	When we arrived here we were pleased by the hotel, and remained so throughout the stay - very typical old NY, all dark wood, maroon and patterned wallpaper. There was even a crazy old lady staring at us in the lobby with seemed to make it very authentic!!Rooms were clean and comfy, it was good to have a sink in the room and the bathroom was always free. We liked the feel of this whole place and would recommend it.	
Dec 11 2004	good budget hotel in a nice location	Just been there for a few days on holiday, place is* conveniently located (2 min walk to Empire State or 28th/33rd St. stops of 4,5,6 metro lines)* small room, but not too much (though there was no place to put clothes, aside from a small hanger)* absolutely no-frills small tv with a handful of viewable stations, no internet, no independent heating - actually room was a bit on the cool side)* reasonably clean (not 100% spotless but okay)* budgetwise very convenientI'd recommend it for a max 3 night stay, or if you're mostly out in the city (which may not be the case if you happen to be cursed with rain 3 days in a row...).	
Dec 11 2004	Great For New York	Alot more than I expected, Hotels in New york are VERY VERY Expensive and as a student I couldn't really afford it untill I found Hotel 31. Hotel 31 offered me the chance to see New York at a very cozy hotel. The room was small but just right for 2 people, the shared bathroom was never a problem always vacant when needed and always plenty off hot water and pressure (2 things my girlfriend was scared about). The bathroom were always cleaned daily. If you don't feel like blowing all your money on a hotel but still desire a nice stay at a good location (Near Subway) I recommend Hotel 31.	
Dec 8 2004	Just great	It's not THE HOTEL but it's very nice to stay in Hotel 31. We visited NYC this november and it was just great. The room is a little small but nice. Robert on the lobby was very helpfull. We will return!	
Dec 8 2004	Fab place on a budget	We were greeted by receptionist Richard, he was very helpful. Rooms were small,but clean and it had cable tv. You don't normally stay in room long enough to worry about size. The hotel is very nr Empire state building (2 blocks) i found it very easy to get about from this hotel, subway is only around the corner. Richard even arranged a limo to pick us up aswell. i cannot fault this hotel at all.	
Dec 5 2004	Perfect traveler's hotel!	This is a wonderful little hotel for travelers on a budget or if, like me, you just like to stay in NYC overnight and don't want a lot of fuss and bother. Hotel 31 is clean, friendly, cosy and charming. The building is old and so there are many &quot;quaint&quot; features. The rooms are small, but still inviting and perfectly comfortable. I had a cute little TV, a bed lamp, desk, dresser, sink with hair dryer and amenities and coat rack. I didn't have any problem with the shared bath; the bathrooms are like your bathroom at home, not shower stalls like at the Y. The halls were quiet, the location is excellent and the price can't be beat. I will definitely stay there again. Oh...and I promised Richard I would mention him by name - he's the evening guy at the front desk and is very helpful and personable!	
Nov 26 2004	Great budget choice	Hotel 31 is an excellent budget option if you're in Manhattan to enjoy the city. There are few amenities (not even cable TV) but when I'm in NYC, any waking moments spent in my room are wastes of precious time I could be spending out on the streets enjoying the city. If you want a safe, clean room and bathroom (shared bathroom options are fine; they're cleaned frequently and I never had to wait longer than a few minutes to shower) and plan to spend most of your time enjoying the city, Hotel 31 is an excellent choice. If you tend to hang out in your room and want to waste your time watching TV, go elsewhere. My rating of &quot;above average&quot; takes into account location, safety, cleanliness and value for my vacation dollar. It's far from the nicest hotel when the room and amenities alone are my only consideration. It would cost at least $300/night in NYC for me to find the basic amenities I'd get in an average hotel in other cities. At $85/night for my room at Hotel 31, I can spend the spend the price difference on at least one play and high end meals each day.	
Nov 26 2004	Great !!!	We stayed at Hotel 31 in New York City between November 17 and November 21, 2004. We were very pleased with the location of the hotel. The room is a little small but very clean. The bathroom was only a few doors down and never had to wait for it. The bathroom was always very clean. For the price we paid, I think its a great deal. We highly recommend Hotel 31. The staff were very nice and helpful. I will surely be staying there again in the future.	
Nov 25 2004	Great Hotel for the price you pay!!!	We stayed in this hotel for 4nights, and thought it was excellent. It's really cheap, very clean, and very helpful and friendly staff. The only down side is it's a shared bathroom, but that turned out to not be a problem at all. It's also very clean, and you have a sink in your room.I would recommend this hotel to anyone on a budget or just people not willing to waste money on a fancy hotel, as it was very nice, and in a great location (only two blocks to the empire state building!!)They also have a luggage room, so that you don't have to drag your cases around on your last day, and a very resonable check-out time of mid-day!Thanks for a wonderful stay Hotel 31!	
Nov 9 2004	I'd stay there again...	My husband and I stayed at Hotel 31 for 3 nights in mid-October. The room was small, but for as much time as we spent in the room it was fine. We had a shared-bath room, but were conveniently located to 2 baths, and never had to wait except for each other, just as we would in any hotel room. The bathroom was clean, the rooms were clean enough, and it was surprisingly quiet in the hotel considering all rooms were full.The location was very convenient for us, just a few buildings from Park Ave. and the neighborhood was fine even very late at night, though I didn't travel alone. I'm glad we stayed so cheaply - I'd rather spend the money on all the other fun things in NYC.	
Oct 29 2004	FANTASTIC	We stayed at Hotel 31 from the 21st to the 25th of oct and couldn't fault the place. On arrival we were offered a room that was right next to the bathroom and that had a view of the Empire State Building, we were then escorted to our room by ZIGGY look out for him if you go he's a bit mad. The room was a bit small but was very clean and in good condition , the maids came every day so the room was always clean and tidy when we got back. The location is exellent whith the subway station 33rd street just around the corner we bought a Metro card for $26 which gave you unlimited use for a week very handy to get around with. We would recomend Hotel 31 to anyone looking for a good hotel on a budget it's well worth what you pay to stay there.	
Oct 23 2004	A great wee place	I stayed here for five nights from Oct 15th to 20th,and I cannot fault this hotel,indeed I have stayed in hotels costing two and three times more and Hotel 31 beats them.I am not going to write anything new but simply agree with everything good that has already been written.What I will comment on is issues that other previous reviews have raised ,mainly shared bathrooms and the delay in hot water,and all I can say is that neither were an issue in any way during my stay,each morning and night I had a hot shower with instant hot water(at power shower pressure),and I never once had to wait for a bathroom.Hotel 31 is an absolute bargain and the staff were unbelivably friendly,I will give one example,coming from a small Scottish island the New York subway was something that I was wary of and asked the reception staff if they could explain how to use it,to my astonishment I was taken to the nearest subway station and explained the uptown and downtown stations.The location of Hotel 31 is the icing on the cake,go to NY and see how central it is and if you want to feel real smug look up the prices of other hotels nearby.We all need clean decent safe hotels charging reasonable rates and for that Hotel 31 deserves to be far higher up this list than it is	
Oct 22 2004	Amazin stay at Hotel 31	I stayed at this hotel on the 8th October to the 15th with 2 of my friends. Upon arrival we were greeted by a friendly guy at front desk called Robert! he was fantastic he made sure everything was all sorted for us. The room was fine no problems what so ever with our room after the first couple of nights they changed our room for us which was great of them. We had a private bathroom so no problems at all with that, i loved the hotel wallpaper and layout it was perfect. We are all students so the price was fantastic and you definitely get more than you pay for. The hotel is like right around the corner from the Empire State building i mean who can complain!!! The neighbourhood area felt fine no problems as a girl of 17 i was a bit worried but i had no problems with walking round to the local Walgreens store for a snack stop at 10pm. Lastly, the staff there were fantastic all very friendly and very helpful especially Robert!! hes fantastic and its definitely worth staying here if just for him!! Had a brilliant time in NYC because i stayed here!! The hotel is like a home from home!  Will definitely be back next year and will use this hotel cant wait!	
Oct 18 2004	Top Quality Budget Hotel	If you're going to be going to New York City on a budget than Hotel 31 is the place for you. My girlfriend and I stayed there from October 12th to the 15th and it was everything we hoped for. I was more than a little wary at the thought of a shared bathroom, but it was very clean. Only once during our stay were both bathrooms on the floor occupied, but I didn't need it at the moment so it didn't pose a problem for me. The room is small, but who goes to New York City to hang out in a hotel room anyways? Having a sink and mirror in the room is also very convenient. As for location it's only three blocks from the Empire State Building and in, what seems to me was, a safe neighbourhood.	
Oct 7 2004	allright.	I stayed at Hotel 31 from Sep 30-Oct 5 2004 and I thought this hotel was average. I stayed on the 8th floor that had shared bath. Having the shared bathroom was no problem because my room was right next to the bathroom and it was constantly cleaned. My compliants about my room would be that it didn't have cable. I only had 4 basic channels that were working but were fuzzy. We called down to the front desk and he said they didn't have cable that they only had satellite to get the basic channels...whatever...Also, my floor was pretty creepy especially walking in the hallways and waiting for the elevator. We meet a lady that just checked in and checked out the same day 'cause the place kinda gave her the creeps too. All in all, it was an okay place to stay for cheap.	
Oct 7 2004	So Charming!	My husband and I just spent a long weekend in NY and stayed at Hotel 31. I booked our trip through Expedia and I had originally booked with another hotel. I read terrible reviews about the other place being really dirty and spooky, so I did some research here on tripadvisor and I read terrific reviews about Hotel 31. We changed our reservations over to 31 and we were not disappointed! Hotel 31 is so clean and SO CHARMING! It's a small old fashioned hotel with lots of character. The hallways are dim and narrow, but immaculate! We were on a budget and wanted to stay somewhere well located and clean yet inexpensive and this was definitely the place! I was a little bit worried about the shared bathroom, but my fears were erased once we got there. There are two single restrooms on each floor. They have a bathtub with shower, a sink and a toilet. They are NOT community bathrooms that you would find in a college dorm. During our stay at least one of the restrooms was available any time we needed to shower, etc. They must have been cleaned several times each day. Our room was tiny, but that's what I expected at such an inexpensive place. The room had a sink, tv, desk, AC and a comfy clean bed. Even though It was early October we still got a little warm from time to time and the window AC was wonderful! I would highly recommend this place for anyone who wants a charming old-fashioned clean place in a great location. I would also recommend the Moonstruck Cafe a few blocks down the street (away from Park Avenue) it is very colorful and has great breakfast. Also, the COSI on the corner of 31st and Park Ave. was perfect to grab a bagel and juice in the morning. I will definitely stay at Hotel 31 again...that is until I can afford to stay at the Plaza!	
Oct 4 2004	Poor value for money	Reading the reviews on this site lead me to expect something much better than we got. I'd expected a hotel with no unnecessary extras, but what we got for $85+tax was, in my opinion, a flop house. The decor in the room was spectacularly awful. It looked as if it had been decorated circa 1918. With a dim lightbulb, gray/brown wallpaper, a view on to a brick wall and a single sink (there was no toilet in the room) it was very depressing. The acient air-conditioning unit didn't work. The sheets were placed straight on to the matress. The was almost no hot water. Surprisingly, though, the hotel was full when we checked in. In short, I felt that what one lost in luxuries (if hot water can be called a luxury) wasn't made up for in cash saved.Hotel 31 does seem to do a good line in &quot;Isn't it terribly post-modern to pay top dollar to stay in a flop house?&quot; and makes capital from the fact that its sister hotel was used as the location for a Woody Allen film (they wanted an old fashioned sleazy New York hotel...). If that sort of thing appeals to you then maybe I could understand why you'd like it. But after a long trans-atlantic flight checking into Hotel 31 was about as welcome as losing one's luggage or being overcharged on the cab-ride.	
Sep 15 2004	Great spot.	This place was great. The staff were helpful. The old guy thats at reception is a bit mad but a good laugh and the location is great. The only thing that was slightly wrong was that our room was a little small, but thats nothing much to complain about.We'd stayed the week before over in the terrible Carter Hotel off Times Square before heading to Boston and back to New York again. On our return we stayed here. There's a few great places for breakfast 2 minutes away and for the night its only a five minute walk over to 3rd for some great restaurants and bars between 26th and 30th. This hotel is in a great location and for the price, is more that worth it. Keep in mind that you'll only fit 2 people with luggage in the tiny elevator though!	
Sep 9 2004	Great place	My daughter and I stayed here for three nights in July. Good location,clean rooms.We would stay here again.	
Sep 9 2004	31st Street's Wonderful Little Secret near Park Avenue	I made a last minute trip to NYC during the Labour Day weekend. I booked Hotel 31 directly at the company's website for $75 a night (pre-tax). That was cheaper than what all the other affiliated-websites that sold rooms for this hotel was offering on-line at the time. I think the lesson is shop-and-compare-and-shop-some-more. Finding the hotel was a cinch! It is near the 6th Line's 33rd Street station. The hotel is within walking distance from the Empire State Building, Grand Central Station and Penn Station. Little Korea is a five minute stroll from there (there's an Internet cafe in Little Korea that charges $2 per hour, in case you're interested). Hotel 31's immediate vicinity is clean and safe. The area west of the hotel is dotted with many self-serve buffet eateries (hint: No tipping therefore you can save $$$!!) that serve a wonderful array of yummies anywhere between $4.99 and $5.99 a pound (Sept 2004 prices).Initially, I was concerned about sharing bathrooms with total strangers. Well, that turned out to be a non-issue. In fact, the experience kind of reminded me of how I would use my own house's bathroom. How much time do most single, young people spend in the washroom in a typical day anyhow? The hotel obviously has a round-the-clock cleaning schedule, because the washroom was always clean whenever I used it. There is also a sink and hair dryer in your room, so it was really convenient in the AMs (I'm a guy, so all I do is shave and dry my washed hair). There was one time when both bathrooms on my floor were occupied. So I just went to another floor. The air-conditioner worked, the TV's a bit small, but hey, I was not in NYC to watch TV. The weather channel and CNN were really all I needed to have in the background in the AMs while I shaved. The elevator's an education onto itself. Really quite charming.I truly have no complaints. The staff was great and courteous. During chek-in, I would mention that you researched them on TripAdvisor.com and that the favourable comments on that website was what won you over. I did that when I checked in, and I did notice the front desk staff (Bob) seemed impressed. I think it is just common sense to let our service providers know that their customers take the old Latin addage &quot;caveat emptor&quot; seriously; this way, I believe, we increase our chances of receiving serious service, even in at a low-cost hotel. BTW, the other front desk person who was really nice was Tariq. Let him know he's famous, thanks to this website ; )I am definitely staying there again!	
Sep 8 2004	Quite good !	In spite of some discouraging reviews about this hotel, we book one night in this hotel and we were quite satisfied of the welcome we received and of the room. The bedroom was tiny but quite clean and shared bathroom were cleaned regurlarly. AC was working well (which was a a great service for the hot and wet weather we had), even if it was a little bit noisy.All the hotel staff was polite and very kind. A good bargain in NY !	
Sep 4 2004	outstanding	this was my first time leaving California. Hotel 31 was extremely clean and the staff was beyond belief. Almost all the major attractions that I wanted to view were nearby. my next trip to new york, I plan to stay at Hotel 31.	
Sep 4 2004	small hotel	A very very small room, but who goes to New York for the hotel room.It is located in a great location near mant points of intrest.The TV was 10Inch's the bed was rock hard.The room did not meet the $85 room rate, please spend $20-30 extra and stay somewhere decent.	
Aug 27 2004	delightful experience	skeptical because of reviews, however, i was delightfuly suprised at what a nice little place it was. small room, but wasn't there to hang out in the room. it was perfect for the time i was in the room. had a great view of the top of the empire state building. bathrooms always clean and almost always available. staff extremely nice and helpful. didn't see a single bug. very relaxing and i was very happy i decided to stay there. when i go back i will be staying there again. don't believe the bad reviews!!	
Aug 16 2004	Want to be comfortable for cheap	This place was recommended to me and I will recommend it to you. It's just like spending the night at a relatives house. Nice clean room and friendly staff---I didn't have any problems w/ the staff except for when I asked for extra pillows. I didn't receive them until the following evening. Also there weren't any little friends in the rooms (e.g. roaches, mice rats etc.) you've gotta love that!!!!If you want to stay at the Ritz this is not the place for you but if you want a couple of nights at your favorite aunt and uncle's house they've got a room for you at Hotel 31.	
Aug 3 2004	Yep!!!	Stayed at the Hotel 31 in May 2004. Read mixed reviews about it but mostly seemed people said the staff was rude - well....it's New York. Anyway, personally I like a more rustic hotel as long as it is CLEAN. My room at the Hotel 31 was very clean. The room itself was more spacious than I thought it would be with a double and single bed. Air conditioning worked great. Bathroom was small but other than that it was fine. The hotel is an older hotel with a very small elevator. It can only fit maybe 3 people with their bags. It's old and slow but original and fun. All and all I really enjoyed the old charm of this hotel and was happy with the room and the cleanliness of it. Staff was just fine! It's not The Ritz but if you want something clean and comfortable with a little odd charm - stay here! I would stay here again!!	
Jul 28 2004	A cheap and clean hotel!	This hotel is very well located, near major points of interest. Cleanliness was important to me because I took the &quot;Shared Bathroom&quot; type of room. The room was pretty small but cleaned every day. The bathroom were cleaned very often and I always was able to take a shower there. No waiting. There are 2 bathrooms on each floor.Staff was kind and for that price, you won't get any better on Manhattan!!!Highly Recommended for people on a budget!	
Jul 23 2004	Not Bad...	I know I'm kind of late writing this review cuz' a friend and i stayed here about a yr ago in 2003. But the hotel was very nice to be about $80 a nite. Clean Room and never had to wait for the bathroom (although i recommend bringing like bathtub spray to clean the tub cuz' i did see a few pubic hairs lol) Altogether very decent.	
Jul 16 2004	I liked it!	The location was convenient and seemed safe. The staff was courteous and helpful, they even gave umbrellas to guests when it was raining. The room and bathroom were clean and the air conditioning worked well enough. It was a good value for the money in NYC. I noticed the following problems: The elevator broke for about an hour or two and people had to use the stairway but it was fixed after that, and the hot water was o.k. but not really that hot. Still I would stay there again. I have stayed in a few places in NYC (The Washington Square Hotel, and the Holiday Inn in the Financial District), and I liked this place better.	
Jul 11 2004	Pretty good for the money	Not a bad place. Good location, close to the Empire State Building and not too far from the subway. Recently remodeled, so everything's nice and new. Only problem was that even though the front desk guy said that all the rooms were nonsmoking, my room still smelled like smoke. Sorry to all you smokers out there, but you know it's true...Smoke is the worst and most persistent stench there is. My clothes all stank like I was a pack a day smoker after two nights here. Never waited for the bathroom. Never even saw anyone else using the bathroom.	
Jul 10 2004	so charming!	I stayed at Hotel 31 with my partner recently for two nights. We had a great time! The decor was very charming - very new york - and the old-fashioned elevator was great. we had a view of the empire state building out our window. i didn't find the hotel noisy at all. we had a shared bathroom, and never had problems with it - once my partner went to shower and the bathroom closest to us was occupied, but there was another just a little down the hall that was free. and we had a sink in our room so that helped. everything was very clean and tidy, never saw any bugs or anything like that. the location was good, it felt very safe, and just a short subway ride or walk to everything we wanted to go to. it was quite convenient for us. overall, we will definitly stay at hotel 31 the next time we visit new york!	
Jun 26 2004	Great Location at a reasonable price	We stay in a double shared bath for one day and then a double twin with private bath for three more days during mid-May.The double room was very small and with no views (facing a wall) but it do have the basics like TV, alarm, air-con, etc. The shared bath was clean and we didn't need to wait for it. Maybe since we used it at around mid-night, we don't have the problem of inadequate hot-water supply.The double twin room was more spacious and do worth the extra $40, especially since we have 3 persons staying. It had a view of the city.Overall the hotel is small but clean, and the staff are friendly and helpful. We don't need a big room anyway since we're not coming all the way to New York for a hotel stay! The location is safe and convenient, and many attractions and restaurants are within walking distance. It's also close to the subway station. Would definitely recommend to anyone who are travelling on a budget.	
Jun 23 2004	Perfect Location for a Great Price!	Perfect location - Desmonds Tavern (Irish bar) is round the corner on Park Ave, its a must! Tons of restaurants down the road on 3rd Av, 24hr deli directly opposite the hotel &amp; 33st subway station v. close by as is Empire State building &amp; Macys. Hotel room was very very small &amp; had absolutely horrendous dark tartan wallpaper which made the room dark but it was very clean with tv, video, hairdryer &amp; brilliant air con. Queen size bed was tiny though &amp; hot water didnt last long. Maids &amp; caretakers were v. friendly, our toilet became blocked &amp; it was fixed within 30 mins of reporting it. You cant really cant beat this hotel for location &amp; price I'd definitly stay here again!	
Jun 23 2004	Great location budget Hotel	Small but clean and in a very convenient location.Very close to Empire State Building and Times Square. The shared bath was kept constantly clean . Since most travellers live outside of the hotel most of the day, the small size and the shared bath are not a big issue.Price reasonable considering midtown Manhattan.All in all recommended!	
