	For the money you can find a better hotel with better service"	The location is great! But the service was awful! The rooms were large for New York standards.	
Feb 29 2008 	Excellent	Excellent Hotel with a great location in Times Square and within walking distance of all main attractions and shops. Perfect for a 1st time visit to New York.Suites were very clean and comfortable - rellay nice to have a lounge area after a longs days shopping and sight seeing. No breakfast at this hotel but there are loads of delis and diners to choose from....we particularly liked Evergreen which was just around the corner.The subway stop is right next door to the hotel so perfect when you want to venture a little further.All in all I would recommend this hotel and would definitley stay here when I visit New York again.	
Feb 29 2008 	Great Stay!	We stayed at the doubletree for Valentine's Day weekend and loved it. The room was clean, and big by NY standards. We live in NY now, but thought it might be fun to do a &quot;tourist thing.&quot; All in all, it was reasonably priced and had great views of Times Square and the Hudson River (I should mention, we were on the 31st floor).I would reccomend this hotel highly!	
Feb 26 2008 	Great Hotel in Wonderful City	My sister and I took our dream vacation to New York City and decided to stay smack dab in the middle of Times Square. The Doubletree Guest Suites is right in the center of everything. We got a one bedroom suite with a pull out sofa (okay, the sofa wasn't very comfortable) and a fantastic view of Times Square. We arrived at about 7:30 AM and check-in wasn't until 3:00 PM, but our room was ready! our intention was to have them hold our bags until check-in but they sent us right up to a room.The employees at the concierge desk were SO FRIENDLY and accomodating. They talked with us and showed an interest in what we were doing in New York and how we were enjoying our stay. They helped us with reservations for dinner, last minute Broadway tickets, directions for sightseeing, etc. I thought the noise from the street would bother me and night, but it was actually very quiet. We didn't use the hotel facilities, but there is a restaurant, gym and cafe that looked great. The doormen were kind, and although they say you are required to show your room key when entering, they didn't seem to enforce that rule too much.The rooms were clean and provided exactly what we needed, a place to crash after a day of sightseeing and exploring.	
Jan 31 2008 	Nice Time Square Suite	This is a great location and a great choice if you want to have a 2-room suite. I traveled with my teenage son and this was perfect for us. I used the bedroom and he took the pull out sofa in the living room. The bathroom is off the hallway so we did not disturb each other to use the toilet during the night. We had a Time Square view which was really cool. The only down side is that the sofa bed was really hard to open. Once the houskeeper showed us how to do it, no problem. Also, the upholstery &amp; carpet is starting to show some wear &amp; tear. This hotel is consistently sold out so I'm sure these rooms take a beating! The front desk &amp; coffee bar clerks are friendly and the door guy always checks your key. Another down side, it's pretty hard to get a taxi from here, the corner is an awkward spot, a couple times a taxi driver asked where I wanted to go, then said he was not availble! I learned to get in the taxi first, then tell them where to go! One more point, I also stayed at the Hotel Qt and at the Hilton Times Square. Both of those other properties are better for a couple or single person. Hotel Qt is perfect for under 30 party atmospere. The Hilton is very nice for a couple.Would stay again if visiting NYC with children.	
Jan 22 2008	Great Hotel Great Location	If you have never been to NYC, then the price of hotels in general may give you cardiac failure. This hotel is no exception. Over $350 for a room?!? This hotel is on Times Square, so if you want to go to the Theater, or anyplace else in the city, this hotel is well located. There is a subway stop under the hotel to take you anywhere. The hotel is clean and quiet, and large for NYC hotel rooms. Staff was helpful. No real complaints.	
Jan 21 2008 	Awesome! ONLY way to do Times Square.	This was a stay surrounding a long weekend to see a play and go shopping. It was amazing! Great service and a BEAUTIFUL view of Times Square. Go for the Square view, it is worth it tenfold. Comfy bed, great amenities...walk right out into the action of Broadway and everything else NY has to offer. The staff was courteous and the room service was delicious. Enjoy!!! We even decided to add a night and the staff was great enough to keep us in the same room, even though it was already booked. Thanks, Doubletree!	
Jan 18 2008	Accommodation	I went to New York with my 15 year old daughter for the first time in October 2007. We were originally allocated a king suite on arrival. While it had a lovely view, the sofa bed was unusable as the springs could be felt through the thin mattress. I complained to reception and was reallocated a room with double beds (as I had paid for) - but no view. Apparently the room type is not guaranteed if not booked directly with the hotel. The sofa bed was better than the first one but far short of the comfort of the bed. The result was that my daughter slept in my room. I found this extremely inconvenient and made the accommodation poor value for money - at around £300 ($600) per night I expected to be able to fully use both rooms as bedrooms and I could have saved a lot if I had been prepared to settle for a suite with both sleeping in one room. On check-out I reported that my daughter's MP3 player was missing. I followed up with an email complaint when I got home - but they did not even bother to reply.Good location but could have done better for the money. Safe was very awkward to use at it was at the bottom of a cupboard - but don't be tempted to leave valuables out! P.S. We still had a great holiday.	
Jan 14 2008 	Convenient rooms and location staff unfriendly	I travel to New York City one or two times a month with my family and it is very nice to have two rooms for the 4 of us. The hotel is convenient to many attractions in New York City and does have a restaurant on site. However, the breakfast buffet is not very good, but edible. The people at the front desk are not friendly bordering on downright nasty sometimes. One women at the front desk was downright rude. When I contacted double tree about it they did nothing, so my husband and I stay elsewhere when possible.Except for the staff and the breakfast, the rest is fine. However, when you pay $400 + a night I would like something better than fine.	
Jan 14 2008	Great location	We stayed here from Jan 9th- Jan13th 2008. A suprise trip for our daughter's 21st birthday. Asked for a room with a good view and got a 13th floor corner room.....not a good one, views over times square, but tiny room, only sofa bed and no armchair, very scruffy, bedside table on only one side of king(??) bed. Asked to change the next day and staff very accomodating, paid a bit more, but got a much bigger room on 30th floor, much more comfortable for the three of us. A superb location, fell out of bed to get coffee and doughnuts for breakfast from a large selection of places. Right near broadway for shows, subway next door, staff very helpful and friendly, room cleaned everyday and beds made up, fresh towels. Very quiet in rooms considering you are right in the hub of things, and great blackout curtains.We loved it!!Checked out at 12 noon and as we idn't have to leave for the airport 'till 3pm, they stored our luggage for us so we could do lunch and last minute shopping.Grabbed bags at 2.45, downstairs and doorman grabbed a cab, couldn't have been easier!	
Jan 12 2008 	Wonderful Christmas Holiday	We stayed here between 22nd December 2007 and 5th January 2008. We checked in at 9pm and it was really easy! We were given a corner suite overlooking Times Square on the 22nd floor. I must say, I wish we were higher. During the day, we could hear street noise and traffic. At night it was quieter, we only heard a few sirens or horns. The view was great! But the flashing signs in the windows did bug us a little, but at night the curtains blocked all of the light so sleeping was easy!The rooms are big for NY hotels. They have 2 rooms - sitting room with a couch, desk, chair and TV. Also a sink, microwave, mini bar, fridge and coffee maker. The coffee maker had take-away cups (like starbucks) so we made our morning coffee to go! The stay was great, housekeeping were wonderful and helpful and the front desk and concierge were great. HOWEVER do not book show tickets with them! We used broadwaybox.com and got 1/2 price tickets for Chicago and Hairspray. We had 3rd row for Chicago and 2nd row Mez, for Hairspray - Awesome seats at half the price! Concierge wanted to charge $152 per ticket and we got them for $62.New Years Eve was easier then we thought. We were at TGI Fridays a few doors down and left at 1am. Took around 1 hours to get back to our room. The staff were great and it was very well run!Christmas in New York is magical! Even though it didn't snow it was such a wonderful experience and the Doubletree was great!	
Jan 11 2008 	Excellent service at this Doubletree	Mr Flippitti and I stayed here from Dec 10-16, 2007. Our suite was on the 39th floor with excellent views. Our daughter flew up from DC to join us halfway through our stay. She slept on the pull-out sofa and found it very comfortable. There were extra pillows for the sofabed but we had to call the front desk to get an extra blanket. They delivered it within 20 minutes. The two-room suite also had a small fridge, coffeemaker and supplies (with styrofoam cups - yuck!) , a microwave and safe. The bedroom and living rm each had a big flat screen TV and enough drawer space to store your clothes for a long stay. The bathroom was also large with upgraded Neutrogena amenities and big fluffy towels which housekeeping always replenished. Breakfast was included in the rate which was nice because we don't like having to go out and forage for breakfast every morning. Breakfast included made-to-order eggs or omelets but the line was often pretty long. They also had lots of fresh fruit, pancakes, cereal and breads. Service was excellent and the restaurant staff was always friendly. We also ordered room-service breakfast one morning. It was delivered within 30 minutes, warm and our omelet orders were perfect!The concierge desk was very helpful, especially with restaurant recommendations and directions and helping us find our way around the subway system. Housekeeping cleaned our room every day, usually knocking at our door by 9AM. They always did an outstanding job replenishing our coffee supplies and making up the sofa bed. We also got turndown service (even the mints). We used the bellman downstairs to help us get a cab twice and both times, they delivered. The hotel entrance is on a corner and during the holidays, it's incredibly busy and congested so catching a cab out front is a lengthy process. We had a late night dinner at the hotel restaurant once when it was pouring rain and cold, our feet hurt from sightseeing and we just didn't want to go out and deal with the crowds. The dinner menu is limited and the food is pretty mediocre so I'd only eat there as a last resort.	
Jan 3 2008 	Great location.	Can't beat the location.Rooms are large enough for up to four persons and include not only a convenience bar, but also a fridge, microwave, coffee maker and security safe.Concierge service very helpful.Business center had only three computers, and I did find all three occupied one morning.No complaints.	
Jan 1 2008 	Great Location But Is It Worth It?	There is no doubt Christmas is the best time in New York, especially for this warm weather Texas couple. We wanted to stay on Times Square because of the central location, lights and just plain interest in doing so (first time). We knew the price would be high - $650 per night, high floor, Times Square view, but we also expected some value for the dollars spent. The good things: Excellent concierge service, especially for directions. Very central location - everything is easily in walking distance, including a great Irish pub just around the corner. Metro is right next door. Hotel is clean, with all suites (we had a problem - more below, our friends did not). The bad things: we left the hotel each day by mid morning and each day when we returned - late afternoon - the room was not made up. A daily call had to be made to remind the hotel we had been forgotten - even after late afternoon returns. When offered a room off of the elevator banks (I should have known better) DO NOT accept the offer, even if promises are made this is an excellent suite. It is not - more hallway than room, no room in the bedroom and no room in the second room - great view, but NO room to move around. One would think the elevator noise would be overpowering - it was not - didn't even hear it, thus our reason to stay in this room (foolish us). Yes, ask for the view on a high floor - it's worth it, but do not accept a suite behind the elevator banks. You will need to leave the room just to make up your mind. Prices are high in the lounge, but to be expected. Bring your own computer - $.50 a minute is a bit much in the business center. No need to eat at the hotel - just not worth the price or effort as there are way too many great eateries close-by. Also, forget the door man in front - too busy to get you a cab (don't know why, but that's not their thing). We did like the security and the resulting peace of mind. Would we stay again? Really, once you have stayed on Times Square there is really no reason to do it again. There are plenty of great hotels in Manhatten and it's so easy to get around, so why pay the price to stay on Times Square? Got to do it once, though, and if you want a suite (two rooms) the Doubletree is okay, albeit the value is just not there. Perhaps the W across the street has a better feel for how to take care of their customers - certainly having to ask the Doubletree front desk to clean the room each day - sometimes twice in a day - after some hard walking, sightseeing and shopping is not our idea of great service/value for the price paid.	
Dec 31 2007 	Excellent Hotel in Times Square	Stayed 7 nights in the Conference Suite on the 38th floor (Diamond Upgrade from a standard king bed) in the middle of Christmas season. Bed was very comfortable and sofa pull-out bed easily fit 2 people. The view of Times Square was amazing! The HHonors free breakfast buffet was better than any Hilton hotels I've been to. The staff was excellent! Included turn down service. Can't beat the location, walking distance to all of the Broadway shows and right next to the subway entrance. Loved NYC at Christmastime &amp; the Doubletree Guest Suites Times Square gets 2 thumbs way up!	
Dec 28 2007 	The Doubletree Guest Suites Times Square was FABULOUS	We stayed at the Doubletree Guests suites last week and had a wonderful time. It is in the center of everything. Even with kids most sites are an easy walk. The rooms were immaculate and comfortable, and extremely large by New York standards. We had a room on the 32nd floor and had amazing views and actually left the curtains to the main bedroom open all night to enjoy the lights and sights of Times Square. The breakfast buffet was good, and all hotle staff was extremly helpful. We would recommend this to anyone staying in Manhattan, and definately plan to make this our #1 choice on our next trip to the City.	
Dec 21 2007 	Spectacular Location	Big room for New York standards. Close to everything (but can be a bit hectic getting there due to all the traffic in Times Sq.). Breakfast was included since I'm a Gold Hilton Honors Member. Pretty standard stuff, but nice since it is free. Rooms were clean and comfortable. Two room suite definitely helps you spread out a little especially after fighting the crowds just to get to the front door. Great for the first time visitor to NYC since everything most people want to see is within walking distance.	
Dec 7 2007 	Big rooms- Slightly tired rooms	Great hotel for a family who wants to be right in the heart of the action. For single travellers there are nicer hotels in the area. First room I was given looked like it had been well used, second room although smaller was a corner room and in much better decoration. Annoys me that you have to pay for Internet access- now staying at the Hilton Garden Express in Chelsea. Smaller room but great neighboorhood and no charge for Internet. Laundry costs in this hotel are also exhorbitant even by NY standards	
Dec 5 2007 	DOUBLETREE GUEST SUITES - GREAT SERVICE WITH A SMILE	The Doubletree was more than we could have hoped for. After making an 11th hour decision to travel to NYC for Thanksgiving, my children (ages 18 and 15) and I, with the help of this forum, selected the Doubletree as our home away from home. We booked less than 48 hours before our arrival at a rate of less than $400 per night. Check in was a breeze even though we arrived before 3pm. Our room (2907) had an amazing view of Times Square. The most appealing aspect of the hotel was location, location, location. The King bed was exceptionally comfortable and large enough for all 3 of us (we accidently fell asleep while watching a movie). The friendliness of the staff was a pleasant surprise. The doorman always greeted us by name and the concierge staff pulled off the unbelievable feat of procuring affordable orchestra level tickets( less than 4 hours before curtain) to one of the few Broadway Shows in production at that time.I unequivocally recommend this hotel for travelers that love being &quot;in the midst of it all.&quot;	
Dec 3 2007	Great time at Double Tree Times Square	My husband and I, with our two sons, aged 10 and 14 stayed here for 3 nights. Our suite was on the 37th floor with fantastic views over times square. The rooms were great and spacious, very large bathroom which was imaculate and lovely lounge area with a pull out sofa bed that my oldest son slept on. There was plenty of extra bedlinen and pillows available in the room. We did not have any problems with check-in, very polite and friendly staff, great warm chocolate chip cookies on arrival.The hotel is in a fantastic location so we never actually dined in the hotel restaurant. There are so many diners, restaurants and fast food places nearby that we were spoilt for choice. We went on the open top bus tours. You can buy tickets from right outside the front of the hotel. It was a great way to see all the sights and they pointed out places we would never have found by ourselves.We had a great time at the Double Tree Guest Suites in Times Square, and while we felt it was expensive we would definatly return and stay here again if we came back to New York.	
Dec 2 2007 	Poor value and poor response to complaints	I stayed here for 6 nights in September 2007 with my two sisters. We arrived very late in the day after a long flight from London. I had specified that we wanted two beds plus a sofa bed; however, the sofa bed was broken. We called the reception desk, but they didn't have any solution to offer. There wasn't even any bedding for the sofa bed in the room, so we had a very uncomfortable first night and were unable to unpack. The next morning, we were allocated a different room to which we moved ourselves. The very nice lady on reception offered us complimentary breakfast for our entire stay to make up for the bad start. We thought this was fair, and accepted. The breakfast is expensive and we had not planned to eat in the hotel otherwise. (By the way, with taxes, the cost of our stay was 4,102 USD). So, I was annoyed to find on departure that my credit card had been billed for breakfast for three for the first two days of our stay - another 135.77 USD. We probably wouldn't have spent that for the whole week! There was no one on reception when we left at 4 a.m., so I have been trying ever since to get a refund. It's been promised more than once, but still no show. Every mail I send seems to sit around for at least 2 weeks before I get another hopeless response. I just decided to stop wasting any more of my time and share my experience instead. I wouldn't use this hotel again, even though it's a good location. I feel it was very expensive for the standard of service we received, and I've been more than disappointed by the lacklustre response to my complaint.	
Nov 28 2007 	Mostly Good	My family and I stayed at Doubletree Time Square for 3 nights a few days ago. This was our 2nd stay at this property. Our first stay was in 2005. I must say that our first stay was a better one. Although I would still recommend the hotel, there are a few things that I would want others to be aware of. We asked for a Time Square View and we got one. We were given a corner room, which sounds great, but the room was much smaller than the typical 2 room suite. I would recommend that you stay away from the corner units if you are traveling with children and are hoping for the extra room. The view though was pretty good. The room we stayed in wasn't exactly the cleanest room. A few lights were out. I'm sure they just needed a light bulb. Some of the outlets did not work. The hair dryer did not work either. All of these things are just minor inconveniences, that could easily be corrected. The main negative was the lack of space in our room. This room would have been fine for 2 people, but we were traveling with 2 children and it was very tight quarters. Also, you lose the 2nd vanity in the corner rooms. Overall though, you can't beat the value.	
Nov 21 2007 	Excellent 4 Star Suite Hotel in Center of Times Square	My wife and I stayed at the Doubletree Guest Suites in Times Square, NYC for two nites on Nov. 18th &amp; 19th. We picked this hotel because we were able to get an AARP rate of $254.00 compared to the $299 or higher rates of comparable nearby hotels such as the Marriott Marquis and the Renaissance. We had a king size bed in the bedroom and a sleeper sofa in the other room of the suite. The bed was very comfortable with a warm (down?) comforter in a duvet cover and plenty of pillows and soft sheets. As another reviewer wrote, you get what you see on the website. The bathroom has a single sink set in a very long counter, so there is plenty of room for all cosmetics, etc. and there is a large mirror above. it. There is a tub-shower with a shower curtain and the out-curving shower rod. The toliet is not in a separate room. There is plenty of hot water and water pressure. Everything was clean and the housekeeping service was perfect. The &quot;kitchen&quot; consists of a small refrigerator and a microwave and a &quot;bar type&quot; sink and a coffeemaker that dispenses into individual paper cups. We had no problems with leaking refrigerators or &quot;smelly&quot; shower curtains. There was plenty of hot water in the shower. We were on the 27th floor and heard no noise from outside. The airconditioning-heat worked well and was reasonably quiet. Our room did have a view of the Times Square billboards but I understand that some rooms do not. We came in on Sunday at about 1:30 pm and our suite was ready, but of course that will not always be the case. The people at the desk were courteous and quick. We did not use the concierge or room service. The three elevators run quickly and we had no waits. There is a convential TV in the bedroom and in the other room. We did not use the internet service in the room but did go to the business center where $5 is the minimum for internet service, plus $1 for each printed page. The buffet breadfast in the Center State restaurant is OK, with made to order omelets and pancakes, danish, some fresh fruit, etc. But at New York hotel prices of over $20 each, not a good value unless your room rates includes it or you are a high level of Hilton Honors and get it free. There is a 24 hour McDonalds next door to the hotel, perfect for breakfast to take back to your room. Another downpoint is that like many hotels in New York there are no vending machines and no shop, but there are newstands on the streets where you can get the New York Times and sodas at reasonable prices. Of course the &quot;convenience center&quot; in the room charges $3.50 for a soda. The big plus is the wonderful location near all the Broadway theatres so even if it is raining and cold, you can easily walk to the theatre. If you like New York Deli - walk to the Stage Deli at 53rd and 7th Ave - the hotel is at 48th st. &amp; broadway. The &quot;regular sandwiches&quot; and dessert portions will each feed two people and we think this is the best corned beef and pastrami anywhere. If you are sure the weather is going to be nice, you can get lower rates at hotels such as the Marriott Courtyards that are farther from Times Square. For comfort, cleanliness, and especially location, this is the place to stay if you are going to go to Broadway shows. We usually get tickets at a discount over the internet by going to the Playbill internet site where you can join the Playbill club for free and get discount tickets to many shows. Also the TKTS booth is across the street from the hotel.	
Nov 21 2007 	Great New York Hotel	We just got back from New York, and this hotel is an excellent find! Yes, it's pricey (but what &quot;decent&quot; hotel in NY isn't??)First of all, the location is right on Times Square. The subway is next to the hotel entrance, so getting around is a breeze. All guests entering the building must show their room key, which means they provide a high level of security. From the main entrance, you take an elevator to the third floor lobby to register. We had no delay checking in, and the reception agent was friendly and helpful. She even gave us extra home-baked chocolate chip cookies, which are a standard feature of Doubletree. YUM!Our suite was on the 35th floor. It was an &quot;upgraded&quot; suite due to my Hilton Honors points. That means we had complimentary internet access plus upgraded toiletries (by Neutregena) and a refrigerator and microwave oven. The living room had a sleeper sofa and the bedroom had a king bed.Excellent soundproofing... but if you want to open your windows, they DO open... a nice option for those who want some &quot;fresh&quot; air (I know, I know, it's New York air... but it's still OUTSIDE air instead of the recycled indoor stuff we breathe in all winter long)Nice selection of satellite channels (over 40), plus free HBO.Overall, a terrific hotel for New York visits, and I plan to return soon!	
Nov 19 2007 	Nice rooms located RIGHT ON TOP OF Times Square	Stayed 3 nights at this property on business in November. Definitely a good option in the area. Details...GOOD:--Rooms are very nice, and very large - suites in fact, at least on the 34th floor - Living room, large bathroom, nice bedroom--Bed was comfortable, had a variety of kinds of pillows--Living space had a nice office chair and modular desk to work at--Staff were all friendly and attentive--Location is, as in the title RIGHT ON TOP OF Times Square. Its right there. Walk out the door and you are there.BAD:--Have to take 2 elevator trips to the rooms, due to their security set up - 1 to enter the hotel lobby area, then a seperate one to the rooms--Be aware that many of the rooms, which face TS, will be hard to make dark at night. You can do all the usual tricks, but still, some of that neon will sneak through. Just be ready for that. The hotel does NOT have true black-out shades or anything like that.--Avoid the restaurant, which was mediocre at best and overpriced (like most of the food in that area).Overall good choice. Tends to be very pricey, even by the standards of the neighborhood - but you get what you pay for. If you need it really dark to sleep, you may want to look elsewhere. But otherwise, especially if the price is right, this is an excellent choice.	
Nov 16 2007 	Saved by the location	My Family and I stayed at the Doubletree Guest Suites Times Square for 1 week in November 2007.The hotel is situated slam in the middle of Times Square, so the location is perfect.The price we had to pay was exorbitant (500 US$ per room per day!!!), but it was the New York marathon weekend and everything else was fully booked.Upon entering the hotel, you have to show the security guard your key. His is done for obvious reasons as the entrance is right on Times Square and anyone could just march in. You then enter the elevator which takes toy directly to the check in floor. After check in you take a different set of elevators that take you to the other floors.Check-in was smooth and fast and the staff were formally polite. Our rooms were spacious as all rooms of this hotel are 2-room suites. I understand that for New York this is a big plus. We were in the 36th floor so we also had great views.However the cleanliness of the rooms left a lot to be desired. There were crumbs on the desk surface, hairs in the bathtub, and a lot of old dust in all corners. The smoke detector was very dirty and, on a whole, the rooms (as well as the entire hotel) showed signs of very inadequate cleaning. I am a Diamond Honors member so we were given a floor with free WiFi internet, as well as complimentary breakfast, but that is where the perks ended.Breakfast was awful. The breakfast room is small and we had to wait in line for 10-15’ to be seated. The whole area stinks of fried oil, the tables are dirty, the staff were bored and impolite, and the food was cold and oily. The only positive thing was that you could order eggs of pancakes to be prepared on the spot. We ate breakfast there only twice, as it was terrible.The concierge service is also very bad. Firstly they tried to sell us show tickets for 220 US$ saying it was sold out, and we walked next door to the theater and got them for 110 US$. Anytime we asked for information, they pressingly tried to sell us everything, even the Metro tickets!On the last day we asked the concierge to book a taxi to take us to the airport and they replied they could only book a private taxi for 180 US$ (as opposed to the normal 50-60$ for a normal taxi!!!).On the whole I would not recommend this hotel, even though the location is top.	
Nov 14 2007 	Supurb location Great view!	Location and great views are the draw of this Times Square hotel. I has a corner room (room numbers ending in &quot;03&quot; -- e.g. 2503 on the 25th floor, etc.) with stunning views directly down on Times Square to the east and north. What a treat! The hotel's entrance is at 7th Avenue and 47th Street, right in the middle of Times Square, so you couldn't possibly be in a better location if this scene is your thing. A warning -- crowds can be severe in this area, as can be traffic. Definitely leave the car at home. Public transit is close by and surprisingly easy to use, so you don't really need a car anyway.At $500. a night, I can't say this hotel is great value, but to be fair this is New York in late fall when all decent hotels anywhere in midtown were similarly expensive. Fortunately for me, work was paying. The lobby of this hotel is on the third floor, and is not a fun happening place like some hotels. Also, their bar and restaurant on the 5th floor was utterly dead and uninteresting when I briefly checked it out. But this is Times Square, so there is no shortage of bars, restaurants, and entertainment nearby! Try the Blue Fin across 7th Avenue, where for one overpriced drink you get to watch Theater goers stream by by the thousands. This is one of the best people-watching spots I've ever found! I also love &quot;Swing 46&quot;, a bar/restaurant/swing dancing club with a live band nearly every night on 46th street between 8th and 9th avenues.Staff at the Doubletree was friendly, if distant. I didn't get &quot;warmth&quot;, just competence.The room was very clean and well maintained. This is a two-room suite layout, with a small refrigerator and coffee maker in the outer room, but no microwave or other cooking implements. The bedroom was charming, and with its view would have been seriously romantic had my wife been able to come on this trip. Bottom Line: If you get a competitive rate, stay here for the view and location. You won't be disappointed.	
Nov 6 2007 	A Great Family Visit to NYC	We recently stayed at the Doubletree Guest Suites in Times Square during MEA weekend. This is when all of the schools close in Minnesota and everyone with kids flees to someplace else. The Doubletree was a great place to bring my kids. First, the rooms are all suites and are quite large, especially by New York standards. I'm a Hilton Hhonors Gold member, so breakfast in the hotel was free (otherwise, it would have been over $100 / day). The location is great for sightseeing as well. The hotel is in the heart of Times Square, a 5 minute walk to Rockefeller Center, three blocks from the subway, etc. Very close to everything with good transportation options.I would recommend this hotel for any tourist in NYC with or without kids.	
Nov 5 2007 	It really depends on what is important to you.	Noisy location, very pricey, no view, good sized rooms. Overpriced.	
Oct 18 2007 	Perfect for couple travelling with a teen!	Having read the reviews before going, I was skeptical, but we did not encounter any of the negatives I had read in other reviews. No stinky shower curtain, no defrosting fridge. The double elevator situation is odd, but never posed a problem. My wife and I took our fifteen year old niece on this trip so we were looking for a room like the Doubletree offers.We are Hilton Diamond members and were upgraded to a conference suite. It had a king in one room, a living area with sleeper sofa. And a conference/dining area with a table for 6. We tried and tried and could not get the sleeper sofa to unfold. We called for help, they said that in the conference suites the sofas don't unfold, so they brought up a roll-away twin bed, which was far more comfy than a sofa bed would have been. Times Square views were great and the black out curtains work perfectly. My wife and I prefer to stay downtown, and seldom spend much time in Times Square when we visit the city, but we figured since we were taking a teenager, why not? And it was perfect for her. She enjoyed the bright lights and hustle and bustle (she is from the country).Breakfast was included for us (Diamond Honor I guess) but it was not that great. The price is nearly $25 bucks, so if you have to pay for it, go somewhere else. If you get it free also, you might as well take advantage of it.	
Oct 18 2007 	Great if you love hustle and bustle	We just stayed here; me, my husband and our 6 year old daughter. Couple of quick points: (1) if you want to be centrally located, in the heart of the Times Square action, and near subways, buses, etc. this was a great pick. You step out of a very subdued entrance into the energy of the city right away so don't stay here if you don't want to be in the middle of the action (2) Room/suite was wonderful. Our daughter slept on the sofa bed and had her own tv and we had our own bedroom. Both rooms have access to the bathroom. Room was very quiet and clean with nice toiletries. (3) Hotel itself is nothing fancy; no grand lobby but has a low key bar and restaurant (which we didn't eat at). (4) staff was very helpful. Concieges were able to give us good input and front desk staff were nice (even gave us extra cookies when we misplaced the ones we were given at check-in). Fellow outside got us a taxi anytime we needed one.All in all, a wonderful experience. We used Hilton Honors points so I don't know the going rate and how it stacks up against other midtown hotels but if you want to be in this area and want the extra space of a suite, I highly recommend the Doubletree Suites.	
Oct 13 2007 	Best Hilton in NYC	Over the years we have stayed in most Manhattan Hilton facilities. This one is tops. Very functional suite. Can invite friends over for a drink before going out. Comfortable. Just the right size. Super location for night life and dining. Very quiet considering it's location. Friendly competent staff. Safe environment. Will return in the future.	
Oct 11 2007	Great Location	The location is right on 47th and Broadway. Convenient with the train stops. Walking distance to many theaters. We got the room ending in 01 and had a nice view. However, the 01 room is a little bit smaller but well worth it for the view of Times Square. Very near MTV studios, Toys R Us, and ESPN Zone.	
Oct 9 2007 	Fantastic Location Briliant Accomodation	Just back from a trip to New York. Stayed at the Doubletree Guest Suites. Room was great size by New York standards, very clean and fantastic to have a view over Times Square. The location couldn't have been better for tours (right across the street) shopping on 5th Ave and Madison Ave. Would highly recommend the DoubleTree	
Sep 28 2007 	Great location slow elevators	We stayed at the Doubletree for 3 nights with our teenage children. The bedroom had 2 double beds and the LR had a sofa bed. Modern, clean and location can't be beat if you want to be right in the middle of Times Square. Subway station on the corner. The room had great darkening curtains. We were on an upper floor and we could see the people walking up and down Times Square from the window, which was very cool. (we're country folks) Our only problem was that Columbia University Law graduates were doing massive interviews throughout the hotel and the &quot;blue suits&quot; were squeezed into every elevator during the day. Check in was VERY SLOW...we waited in line for about an hour to check in...at least they handed out bottled water to everyone in line!	
Sep 14 2007	Great hotel	What a fantastic hotel, great location and super views over times square from our 28th floor.Super size suite but sofa bed not that big but okay for kids.No free wireless in room can pay ! gym was good and all hotel staff helpful. I liked the idea that everyone had to show room card to enter hotel felt very safe.Straight out door onto Times Square but in room no sound could be heard great peaceful nights. Super fast lifts.As another review stated we found fridge was defrosting when arrived and shower curtain was smelley! but only minor things.We would stay again.Great place for breakfast round the corner called &quot;Evergreens&quot; we went there every day. Also use underground trains to get around 2 dollars for any trip.	
Sep 11 2007 	Great hotel great location	Loved this hotel. Excellent location, very comfortable rooms, lots of space, perfect for business travel.Restaurant was so-so, but with so many alternatives within walking distance, it wasn't a problem.Service was great - a bit slow at times, but still very good.Would highly recommend &amp; would stay here again.	
Sep 10 2007 	Clean Hotel - No views - Lacks conviences	Very expensive hotel at $350 and not worth it. Other expenses will add up as well. This hotel has no parking in the building and no in/out . We were told there was parking so we rented a car. Valet parking $45/per day or $35/ per day for self parking. I tipped the bellman to bring my bags up only to have them brought up to the third floor lobby where I would check in. Another bellman would take your bags to your room from there to for another tip. Forget about bringing the cart with your bags in it up to the room, the bellman told me I would have to take it out it is against hotel policy -and unprofitable. Buffet breakfast for three $48 plus tip. The business lounge is a rip off $10 for 5 minutes (bring your own laptop). I was told NY had a bed bug problem - not in this hotel it was clean and comfortable. Overall the hotel lacked hospitality and I felt like I was nickle and dimed to death. My suggestion wait for lower rates and stay at the Waldorf for the same price.	
Sep 7 2007 	Great City..okay hotel	Having already been to NYC, my husband and I thought it would be fun to bring our 3 girls to NYC for a family vacation. When my husband and I went a few years ago we stayed at the Marriott Marquis which I will do again next time I go. Trying to save money we booked The Double Tree Suites this time. What they call a suite is tiny for five us although we were told we would be comfortable. We thought we could put our 9 and 12 year old daughters on the pull out couch to sleep...it was very uncomfortable! We ended up pulling the matress off of the pull out couch and put it on the floor for them to sleep. We were told we would get a suite with a view of Time Sqaure...what view?......I looked at an office building from my window for 5 days! Which was very disappointing since the view we had at The Marquis was fabulous...and my kids really missed out! Speaking of windows, they looked like they hadn't been cleaned in a very long time! The room as a whole was okay, clean just smaller than expected. The staff was okay and prompt when asked for extra things such as pillows.	
Sep 6 2007 	Great HotelGreat location	IF you are looking for a great hotel that is in the middle of everything,look no further.This is an excellent location.Restaurants,theaters,etc are all in walking distance.I found all of the staff to be very friendly and helpful. The room was cleaned everyday and the warm chocolate chip cookie that we got on arrival was a nice surprise.	
