	Good Standard clean and efficient. Very central for shops and sights	Overall a good hotel and we enjoyed our stay. Facilities are good and staff are helpful.We were very annoyed by the 11 dollars charge for using the phone for local calls even if you only connected for seconds. Outrageous price. Don't know what the food was like, we always ate out even for breakfast. There's plenty of choice around. Wifi was expensive and only payable by the day, though there is free internet terminals in the executive lounge.	
Apr 8 2008 	Good Choice	Good Choice in New York. Room was in good repair. My room didn't have an HDTV. Expensive.	
Apr 2 2008 	A good place to stay	Stayed here for a week after Easter. We found it to be a good place to stay with no real problems. There was a large conference going on at the time which made the lobby and lifts very busy but it was not a big problem. We just had to be patient when waiting for the lift.We did not use the dining facilities so cannot comment.The room was very clean and spacious. The bathroom was good with plenty of towels and such.For food we dined out at all times and can recommend Lou's cafe for omlettes, The gourmet Deli for the best toasted bagels and the chicken and rice on the corner of 53rd and 6th. This gyro food may not look good but the very long queues tell the truth. Try it, it is fantastic street food.We would go back and probably will.	
Mar 31 2008 	Bad Idea	This hotel was like a crowded airport the entire time. Do not stay here if you are looking for peace and quiet. The staff is rude, the prices are atrocious for food considering I make better Italian food at home. When I got to my room the mini bar was empty. I called down to the front desk three times before they finally fiilled it on the third day I was there. Then they had the nerve to charge me for it. When I called to report that they charged me for it, I called about 6 times. People passed me around on the phone and I actually got hung up on by the front desk. This hotel stay was a disaster and I will never stay here again. The only good thing was that the room was nice and the bed was really comfy. I give the staff a 2 out of 10, the restaurants and food a 2 out of 10, and the stay in general a 4 out of 10. To boot, there were high school kids staying there and they were running around like hooligans and messing with the elevators (which took 10 minutes to squeeze into) and the hotel staff did nothing about it. I had kids screaming and running up and down the hallways at 1 in the morning and they did nothing.	
Mar 29 2008 	Nice Stat at the Hilton New York	I recently stayed at the Hilton New York. I originally wanted to stay at the Hilton Times Square, but was only able to get into the Hilton New York. I stay at Hiltons to earn points and rewards.First of all, the hotel is extremely large. If you plan on staying here, there will be a lot of people going and coming all of the time. There were two major conventions going on while I was there. The hotel was booked at capacity for the nights that I was there. If you are looking for a smaller hotel, then this is not for you. I believe the hotel has a little under 2,000 rooms. I really didn't have much interaction with the front desk staff, so I cannot comment too much on how polite they were. When I checked out today, one of the ladies at reception complained to a colleague that they were going to be understaffed. They should probably be careful to not let customers hear comments like this. If you stay here, you should definitely ask for a renovated room. Thanks to other reviewers, I knew to do this. My room was very very nice. The bed is extremely comfortable -- I am very critical when it comes to beds. Room was very clean and well appointed. Bathroom only had a shower, which was fine for me, but maybe not for others. I'm sure they have rooms with tubs, but you may want to ask. Shower always had hot water and great pressure. Flat screen tv was in the room with a wide variety of channels to choose from. I would recommend asking for a room that is away from the elevator. Originally I was placed in room right next to the elevator. Though I couldn't hear the bell of the elevator I could hear it going up and down the shaft which would've mad me very crazy!! So, I asked for a room change and was given this immediately with no problems. Taxis are extremely easy to get her. They come into the drive all of the time. If you are going to use the subway you are close to two stops. The F Train and the B, D, and E Trains. If you take the F Train, make a left as you leave the hotel lobby. You will be there in 2-3 minutes. It's on Sixth Ave. If you need the B, D, and E Train, make a right out of the lobby and a right onto 52nd. (I think it is 52nd street. After you make a right out of the lobby onto Sixth Ave., it's the first street. Make another right onto this street.)You'll be there in about 3-4 minutes.I also used the bus that went up and down Sixth Ave. Theres a stop less than 1 minute from the hotel lobby. All hotel incendentals are extremely expensive. I did order room service several times. The food is fabulous. I waited no longer than 20 minutes to get my food. This was very expensive, but costs were well explained in the menu. I have to say the room service was the best that I've ever received. High quality and outstanding service. Just be warned .. very expensive. The hotel was very busy during my stay. I did have to wait a few minutes for the elevator, but never found this to be unbearable. They have different elevators for different levels. The most I waited for an elevator was about 3 minutes. TV in each elevator --- always on CNN. I enjoyed this. Across the street on Sixth Ave is a Deli. I went there instead of buying items from my hotel fridge. I saw a lady in the deli who was restocking her fridge with items she consumed the night before. Thought that was a good idea. I don't know how the hotel will handle this. I did use the business center on the second floor. $10.00 minimum for ten minutes of Internet/computer time. Each additional minute is $1.00. Computers extremely fast. I also noticed that they had a shipping center near the business center as well. I thought this was a nice touch. Room was cleaned each day. I didn't feel any pressure from the maid to leave a tip. I did however have a maid knock on my door and then open my door after I originally checked in. She wanted to make sure everything was okay. I wish she would've waited for me to answer the door. I know she just wanted to see if I was okay. I recommend calling for turn down service each night. Your room is straightened up and prepared for a good nights sleep. Chocolates are left on the pillow.Hotel is in a great area. Many great restaurants around. My room was on the 34th floor. This was a renovated floor. I could not hear street traffic, nor could I hear &quot;my neighbors&quot; next door. Floor was kept clean. I am often disappointed if the area outside of my room is messy. Room service plates were removed promptly. Whenever I called for customer service, I was always greeted by my name. I never had to wait on hold. All my needs were met. Overall, I had a very nice time at the hotel. I found the accomodations to be excellent. Again, it's a very large hotel, so be prepared for a lot of people. Once you are on your floor, there will not be many people. The Hilton New York was a pleasant surprise for me. After reading other reviews, I was uncertain. My stay exceeded my expectations and I would gladly stay here again.	
Mar 29 2008 	One to forget	During a December visit to New York we spent one night here.Thank goodness it was just one night.We were aware that it was a large hotel but have stayed in larger hotels in the Far East and still been made to feel a human being.It is totally souless and the entrance like being in an airport check in hall. The doormen take absolutely no notice of arriving guests. The check in staff seem to be robots having no interest in guests and simply going through the motions. The attitude seems to be - If the hotel creates a problem it is your problem do not tell us. We had an Executive Floor Room and it certainly left a lot to be desired. We actually telephoned and asked were we in an Executive Room because that was certainly not our impression. The hotel staff were less than pleased to receive our query.There were no dressing gowns or any of the touches normally associated with Club or Executive Rooms.The hotel was full and at breakfast in the Executive Lounge it was clear that they had far too many rooms termed as &quot;Executive&quot;. The room simply could not hold the guests and one had to stand in a long queue waiting to be seated.The choice was limited as we do not enjoy fried foods and especially those which are not fresh we ended up simply having fruit. Most certainly it was not worth the money and we would not return to this Hilton.	
Mar 28 2008 	Good location	I stayed in the Hilton last week for a conference. Yes, it was very crowded, and the elevators were a nightmare, but the facilities themselves were not bad. My room had been recently renovated, and I thought it was nice. Granite countertops, flatscreen tv, good bedlinens. I didn't hear any traffic noise, and I had worried about that. The location is great. I did have security stop me at the door and ask for a room key when I entered the hotel lobby after 9pm. The wireless internet was quite expensive, as was the hotel food, but there was a deli across the street.For a convention hotel, it was fine. I'd stay here again.	
Mar 28 2008 	Get a renovated room	I stayed in the Hilton Hotel as part of a conference. Reading through these reviews I guess it is true that it was busy because it is a conference hotel. However, I had a great time. My room was wonderful. Great bed, flat screen TV, corner so had two sets of windows (room 1609). I didn't find the elevator slow but maybe thats' because 15 and 16 are the first floors on the set of elevators I used. Service was fine, though it is true internet is expensive ($14) and checked baggage is absurd. On the other hand, there are lots of very reasonable restaurants within a block or two of the hotel. And I really like the fact you can easily walk to Times Square but you're in a much quieter location.I went to see August: Osage county (half price ticket.. at TKTS. don't get in the line for musicals) it was one of the best plays I've seen.	
Mar 27 2008 	Midtown Convenience	Stayed at the Hilton New York for a conference. My standard double room was well-sized and well-appointed with a desk, soft chair, mini-bar, tv cabinet, double closet, and bathroom with granite counters and floors. The rooms were clean and well-tended with daily refreshments of bathroom supplies. The mini-bar was rather pricey, at $8 for a domestic can of beer and $3.50 for a can of coke. The room had wireless internet access that will set you back $15 a day. The tv had about 40 channels, including HBO and HBO 2 and the usual ability to buy movies and games. I stayed on the 18th floor and was surprised at how quiet the hotel was--expecting a lot of street noise. Either there wasn't any, or the hotel has well-insulated glass. The hotel sits amidst a sea of skyscrapers, so there are no views other than more buildings. The hotel conference facilities were quite large and expansive across 3-4 floors as one might expect in a major city. The hotel is well-situated across the street from the Museum of Modern Art (MoMa), two blocks from Radio City Music Hall, and three blocks from Rockefeller Center, NBC studio tours, ice skating rink, and St. Patrick's Cathedral. A short walk to the west is Broadway and all of the theatre complexes around Times Square. A short walk to the north (about 5 blocks) is Central Park with the natural history and met about 20 blocks further. A short walk to the east is 5th Avenue and all of the high-end shopping (Tiffany's, Bergdorf's, FAO Schwartz, etc.). Location is the best attribute of this hotel, as the pricey nightly rate would indicate. If you stay at this hotel, there are several dining options nearby besides the overpriced hotel restaurants. The Global Kitchen, for example, across the street and down a block on 52nd has made-to-order omelettes and sandwiches for less than $8. If you arrive too early to check-in or have a late flight after check-out, the hotel has a complimentary baggage check service by the front door and taxi stand. Good experience here--I would come back.	
Mar 23 2008 	Stressful Hilton Weekend	We stayed here at the Hilton for a long, Easter weekend. The Hilton Club actually invited my husband and I to check out their new 57th Street property - and we tacked on an additional day to enjoy the city sites - - a good idea, you would think? Well, we were probably better off going home.The hotel is like Grand Central Station - especially the entire lobby area which was loaded with people, noise and NO security! Anyone could get into the hotel off the street and onto your floor without showing ID. We were never asked for a room key.The elevators were horrible. We were consistently waiting going up and going down for an available elevator. By the end of our stay, it was growing pretty old.The glorfied &quot;cafeteria-style restaurant&quot; was SO overpriced - - breakfast for our family of 3 was $76.00!! It was just breakfast!There was no free internet, I think the charge was something like $12 or 14 per day. Ugh.And let's not forget the $42/day we paid for parking. I needed a serious trip to the cash machine to take care of all the expenses on this little NYC getaway. (and i'm from NJ!!!)The finale of the stress was upon checkout. Before we decided to tack on an additional day, the gentleman at the front desk quoted us a $225 corporate rate. We get our bill and it says $299!!! It took about 20 minutes to settle this dispute that wasn't even our fault. The manager at the front desk was rude and completely didn't take our word for this rate. (Like we made it up??). Oh, and I even forgot about how we were locked out of our room because they had us checked out. We then had to go to the front desk and get new keys!Finally, everything's settled with the front desk, they finally honored our $225. We were going to finish up the rest of our double decker bus tour. We decide to check our luggage at the hotel. Would you believe the Hilton wanted to charge us $3.50 PER bag to store our luggage? Just what I needed to spend, another $14.At that point, I was like -- let's just go home. We all had enough of this Hilton hotel. I'll never stay at that hotel and ..and forget about even thinking of buying their time share property - the reason we came to the hotel in the first place. They were very rude and unaccomodating at the front desk. If you're looking to spend some time in NYC, do yourself a favor, stay somewhere else where you can be treated like a human being. Ugh!	
Mar 22 2008 	less than 4 star quality	Although the location was good, the hotel itself fell short in several ways. I was initially given a room that had styrofoam packing bits all over the floor. No apologies, just had to go down and get another key for a similar room on a lower floor. The second room was reasonably sized, clean, with an excellent bed and flat screen TV, somewhat cramped bathroom with loose shower door handle, and a rug and a few towels that were beginning to look worn. Service was good, but not special. The hotel was always bustling, with elevators slow and crowded. For the price, I would have expected more, even in Manhattan.	
Mar 21 2008 	good buffet bfast	We went with our children (9yo and 7yo) for a holiday weekend. It was really cold, so walking outside was tough. It's a great location. Saw the Rockettes...great location for that. We stayed at the upper floor, so we had complimentary bfast...which was great w/the kids.	
Mar 19 2008 	Completely unhelpful and rude	I was suffering from a bad cold at my last stay at the Hilton New York. I ordered food from a delivery service. I got a call from the concierge desk letting me know that the food was at the concierge desk for me to pick up. I asked if it could be delivered to my room and I was told no. In the time it took me to get out of bed and get fully dressed to go downstairs, I received a second call from the concierge desk (different person) basically giving me flack for making the driver wait for me and that the driver was about to leave with my order. I rushed down thinking the driver needed my signature or something. When I got there he just handed me the food and left. Besides not helping the situation, the first call from the concierge desk didn't tell me the driver was waiting and the second call I received was rude.I was very disappointed with the service I received. I pay extra to stay at a four star hotel for the service. The room wasn't even that great. It was small, one of the phones didn't work, there was still garbage from the previous patron when I checked in the room and it was incredibly noisy at night (not from outside noises - must have been some kind of service elevator). I will never stay here again and I'm a Hilton Gold member.	
Mar 19 2008 	Great Location - Great Price!	The Hilton New York is in a great location. 1 block from Radio City, Rockefeller Plaza, 5th Ave, and Broadway. Very close to Central Park. Access to several subway stations within 1-2 blocks. Also, if you are taking a cab, a quick (and cheap) cab ride to plenty of locations, including Penn Station ($10) and Grenwich Village ($10).Rooms are great - very modern and clean. Beds are extremely comfortable! Only problem was that the shower was very slow to drain. Would choose to stay here again.	
Mar 17 2008 	So - So	For $400 a night, I expected a little more. However, what you do get is pretty nice. First, the pros: FABULOUS beds!, flatscreen tv with free HBO, Internet access in room, hotel room service was super fast and VERY friendly, pretty bathroom, spacious, central location within walking distance of some great must-see NY sights, FABULOUS beds.Cons: too noisy (I know that in hotels you can usually hear a little bit of noise, but on the 29th floor, I shouldn't be able to hear car horns, nor should I be able to determine what movie my neighbor is watching because I can clearly hear the dialogue), one restaurant was closed, I couldn't find the other one (and no one answered the phone when I called - 3 times), 1 bar doesn't serve food, no complimentary breakfast (good thing their room service was terrific), Internet access is not free, no safe.All in all, I can't complain too much as this was a business trip. It just depends on what's important to you. :)	
Mar 16 2008	Good experience.	I was a little worried based on the mixed reviews previously posted. However, we asked for a renovated room, and found our room to be clean and comfortable. The crowds of people in the lobby gave it a casino-like atmosphere. Did not eat in the hotel as plenty of places to eat in the city.	
Mar 16 2008 	Absolutely perfect!	Just got back from 5 days at the Hilton New York and can only say it was perfect! The location and price cannot be beat and our standard room on the 32nd floor was great. The room was plenty big with two comfy beds and an extra sitting chair, flat screen, big bay window with sitting sill, mini bar, and plenty of closet and floor space. The bathroom was also adequate and had clever added storage space with in-set shelves and under the sink storage. Everything was clean and well-lit. The location is right by Radio City and Rockefeller Center, one block from St. Patrick's and Fifth Avenue shopping, and very convenient to Central Park. Broadway and Times Square are also walkable, but the hotel is far enough away to avoid the noise and hustle and bustle of those areas. The hotel staff was very friendly and the lobby bars are great. We highly recommend the Hilton New York and would return in a heart beat.	
Mar 13 2008	Needs a do-over!	I stayed at the New York Hilton for a conference. Check in was fine and quick; however, the desk clerk seemed to have her specific list of things to go over for guests checking in. Asking questions seemed to distract her from her main goal.I was given a room on the Executive Level, Room 4121. I was pretty disappointed. I expected something better for this class of room.Here were my concerns:1. All evening, there was a sound coming from the hallway that sounded like a cell phone vibrating. When I called the front desk, they told me it was the elevators. 2. The A/C in the room wouldnt work. I had to sleep all night with the windows open.3 The sound on the TV quit working at 10 PM.4. The faucet in the bathroom was loose and wobbly.Also, being on the executive level entitled you to free Internet access on the Executive Level lounge. This was not mentioned during check in; when I told the desk at check out that it was n;t part of the check in spiel, I was told &quot;Sorry.&quot;The food is way overpriced in the NY Marketplace.	
Mar 11 2008 	Ok hotel but overpriced	Stayed at the Hilton for 5 nights between Xmas and New Year. Arrived early at check in 2.30pm, after a 7 hour flight (and a 5 hour time difference) and were told our room wouldn't be ready until 3.30pm by a very rude employee. We waited in the very impressive lobby until our room was ready and heard numerous people complaining about things in the hotel to staff. When our room was ready we were pleased to find that we had one of the renovated rooms (which we did book) on the 16th floor, the room itself was spacious and clean, bathroom was great with a fantastic shower. Room was cleaned daily and beds made up. Breakfast was not provided so we went to the New York Marketplace within the hotel one morning, which is buffet style I would stay away from it, there are much better places to eat outside the hotel we paid over $60 dollars for the two of us for a couple of pancakes and a cooked breakfast. We ordered room service the first night of our arrival which was way overpriced also. The location of the Hilton is great with Times Square, Fifth Avenue, Central Park only five minutes away. Overall the hotel was clean and comfortable and probably would stay there again.	
Mar 8 2008 	Very Good for Hilton	We used American Express points to convert to Hilton Honors points. Room had been renovated. Great shower and bathroom.King size bed in deluxe room on 16th floor. A very good nights sleep. Very nice decor in rust and gold. Great TV and couch.Only negatives were:1. Previous nights coffee cups and glasses were left outside the doors in the entire hallways from 1 PM when I checked in until the following day at 11 AM when we checked out. 2. Maids hung around the hallway and in one room waiting for what appeared to be tips.3. Wooden furniture in the room was severly nicked in four places. 4. At this property, I was told that using points you can not get a room with breakfast included or on the club floor. Breakfast in the NY Market Restaurant was obscenely overpriced. Two coffees, one juice, two bagels with cream cheese and jelly was $30.00 plus tax and tip.	
Mar 7 2008 	Good location good rooms	The Hilton is well situated in the middle of Midtown, within walking distance of Central Park and Columbus Circle. Other neighborhoods are easily reached by cab or by bus. The room was large by New York standards and had been recently renovated with nice decor. There were Crabtree and Evelyn toiletries, which were a nice touch. The walls are a bit thin so it can be a bit noisy when people are in the halls. The lobby is small and has limited seating but I don't think this is a big issue. Check-in and out was quick and fairly friendly.	
Mar 7 2008 	Disappointing	Not a bad price for NY City, but the hotel room I stayed in does the Hilton chain no favours. The room decor was old and tired, a handle was missing from tone of he cabinets, and there were no complimentaries (except a shower cap), an indication of poor housekeeping. Staff on the desk were not particularly friendly.There are much better Hiltons in New York (notably the Hilton Times Square, if you want a similar mid-town location).	
Mar 5 2008 	Not the greatest hotel....but great location	Was definitely expecting better....queen bed instead of a king, hotel hallways were pretty beat up, and the bed wasn't super comfy. Also, no real temperature control, room was warm for us, even though on coolest setting. However--GREAT location, in the middle of ny, walking distance to museums, theater, central park and shopping, in the end, that made up for the mediocre hotel room.	
Feb 29 2008 	We Love the New York Hilton	We stayed at the New York Hilton for 5 nights from 16 February. This was our second 5 night stay there and we love it. We arrived at 12.30 p.m. and didn't think they would have a room for us. We were nicely surprised when they did and even more surprised when we saw the beautifully renovated room with a very comfortable king bed. Thank you Nati at reception. Our mini bar was not locked so we contacted reception and they sent someone immediately to seal it. The lobby bar is very pleasant. The drinks are expensive, but no more expensive than we found drinks anywhere in New York. They also have an excellent piano player in the lobby in the evenings. We love this hotel. Even though it is extremely big and busy we feel right at home at the New York Hilton. It is central to everything and we walked everywhere. The service is good and the staff are friendly and courteous. We will definitely be back.	
Feb 24 2008 	Good location but there are much better hotels for your dollar.	We stayed here , as we were attending the International Emmys, which were held in this hotel, however i would not have stayed here out of choice. Although the location is goood, slap bang between the theatres of Broadway and the shopping of Fifth Avenue, sadly the rooms are not. We had a suite, which was a good size. However, despite having requested a double bed, my husband and i were given a room with two single beds, being told that was all there was, with a like it or lump it kind of attitude - not the best customer service. The bathroom was miniscule, the toilet was squashed between the sink and wall, had we been an inch overweight we couldnt have seen how we could have sat on it and although there was a bath, it was the shallowest and smallest i'd ever seen, bathing was not a pleasant experience. This is not what you would expect from a suite in a Hilton, in short there are far better places to stay in NY, try the Michaelangelo or the Sofitel!	
Feb 18 2008 	Wonderful hotel at a great location	The Hilton New York is at a great location: close to 5th Avenue, an easy walk to the Broadway shows, and one-half block from the subway We arrived at the hotel in the late morning and were pleasantly surprised to be able to check in immediately. The desk clerk even upgraded us to a deluxe room (it was our wedding anniversary). The room, on the 14th floor, was beautifully furnished, had top-quality sheets, a wide-screen LCDTV, and a view of the corner of 6th Ave &amp; 53rd St. Everything appeared to be new, and the room was quite spacious. The room was equipped with a safe, a coffee maker, and a mini bar. This is a huge hotel, with almost 2000 rooms.The restaurants at the hotel seemed expensive to us, but Lou's Cafe, directly across 53rd from the hotel, is a clean, reasonably priced place for breakfast, and has excellent omelets. For really cheap eats, there are street vendors nearby where you can get a full meal of chicken, lamb, or beef for $5. Also, if you are willing to walk 3 (long) blocks to 9th Avenue, there is a wide choice of inexpensive restaurants lining the avenue. Three that we can recommend are Uncle Nick's (Greek), Pam Real Thai (49th W of 9th), and Oyishi (Japanese; 46th E of 9th).When we checked out, we were able to leave our bags at the hotel - there is an attended luggage checkroom that charges $3.50 per bag. This was very convenient, since our train did not leave until the evening.	
Feb 13 2008 	Dangerous Dirty Hallways	As Long Islanders we visit New York City a couple times a year over the last ten years for our theater fix. Sometimes we spend a night or two and usually stay at the mid-town Hilton on Sixth at 53rd. It’s location is perfect – an easy walk to the theaters, decent restaurants, Fifth Avenue shopping, Central Park, major museums, in a part of town that is busy at all hours.Although the hotel has never been an elegant or trendy “hotspot,” it has always been reliably pleasant and comfortable for us two old ladies -- I travel with my 80-year-old Mom. We love the facts the rooms are very quiet, the windows can be opened, the beds excellent. We always look forward to the beautiful cosmopolitans concocted by the fabulous bartenders at hotel’s Bridges Bar. The hotel is looking a little tired. The rooms definitely need freshening. That is easy to overlook because the hotel offers exactly what we need. But, it’s hard to overlook a housekeeping staff that needs freshening.During our last few stays we encountered hallways cluttered by huge green bins containing what seems to be laundry, many -- yes, many -- housekeeping carts and equipment blocking passage, service doors propped open revealing trash bins and debris guests need not see. The housekeeping staff indifferently clustered together in chatty groups as guests struggle to pass in the narrow hallways.Now, we understand the housekeeping staff has its tasks to do and the carts and equipment used cannot always be hidden away, but the stuff seemed to be in the halls at all times of the day, some of it never moving for the entire time of our stay! (And yes, we visit our room several times during the day and evening.) At first we dismissed these observations as a one-time exception, but now, after a couple more stays, it’s annoying and rude.We have always recommended this Hilton to family and friends, but now we hesitate. A friend joined us for our last stay on February 8, 2008. We booked a suite on the Executive Level. It was embarrassing. We had touted how perfect the hotel was and now we were crawling through a rubbish field to get to our room. Several of the housekeepers were literally leaning against the walls. Ironically, it was obvious the rug in our room hadn’t been vacuumed in a while. How sad. The Sheraton, Le Parker-Merdien, and several other hotels are within a block or two of the Hilton. Need I say more?	
Feb 12 2008 	Great Hotel and Location	We stayed in the hotel for 4 nights, Executive Floor (Rm 3539). I have absolutely nothing to complain about with this hotel. This was our first time there and had an excellent stay. Our room had 2 double beds, as we had requested. Our room wasn't one of the refurbished ones, but was more than satisfactory for our trip, clean and comfortable. Beds comfortable and wonderful Crabtree and Evelyn products in the bathroom. Good New York Views!!Staff were helpful and friendly. Continental Breakfast in the Executive Lounge was more than adequate, free tea/coffe through the day, and hot nibbles served and bar open in the evening. (This lounge is for Executive rooms people only, its worth it)Hotel pefectly located for all the main attractions, walking distance to Empire State, Grand Central Station, Rockafeller Centre, New York City Library, Broadway, and the shopping on 5th Ave and many more. Also close to the tour bus (i recommend the Grayline) tour guides were real new yorkers and certainly know their stuff. Numerous restaurants also within walking but I highly recomment the following - Teds Montanna Grill (order the Bison its fantastic), Del Fusco (expensive but worth it), Heartland Brewery (great for lunch and dinner). All these restaurants are within easy walking distance from the hotel.Taxi - we got a private taxi from the Newark airport (costed about ($75 all in) we got a yellow cab from the hotel to Newark and it cost us $86 - so the yellow cabs are not always cheaper?We flew continental Airlines - even though we were delayed, they were excellent - will fly with them again.	
Feb 2 2008 	Great for business travelers	I go to New York every other month for one night business trips. This is the second time that I have stayed here. It is perfect for the business traveler. I booked through Price line for about 1/3 of the going rates for midtown hotels so it was a great bargain.Check in was super fast at 3 p.m. My renovated room was clean, well appointed with flat screen and comfy bed. Bathroom was clean and well stocked. This is a huge business oriented/convention type of hotel. Not a lot of style or charm but very efficient. I needed to ship something home and they had a little post office on 2nd floor and did not charge over what the actual cost to ship was and they even wrapped the package etc for free.Staff was helpful,etc as needed. I would agree with a previous reviewer that there is no security in this building...anyone can walk in and walk right into the elevators which is a concern. Location is excellent. I block from subway, rockefeller center, 5th ave shops, broadway, MOMA, etc. In summary, great location and a clean, modern hotel at a great price. This is not always easy to find in New York. I've paid much more for much less in the city.	
Feb 1 2008 	Bad Security Uncooked chicken sausage no housekeeping service	Security: Anyone off the street can roam the sleeping room halls, get on the elevators &amp; in stairwells. No ID required, no key for elevator. Food: They served me chicken sausage that was raw in the middle.Housekeeping did not service my room.Bell staff: Argued constantly. The bellman wanted to use my computer case as a doorstop. When I said, no, the bellman argued with me. Security: When I called to check the ID of an employee wanting access to my room, the hotel had no way to check. After I complained at check out, the hotel reduced the charges on my bill. However, I would not ever go back. I was so glad to get out of there.	
Jan 25 2008 	Great location; decent value	Stayed one night on business. Great location for both business and tourism, particularly Broadway/Times Square. Room was pretty large by NYC standards, comfortable with plenty of amenities. Staff was helpful and polite.Price was good for this property at a rate of $229 before taxes, probably due to mid-January time frame. Would stay here again on business or pleasure.	
Jan 24 2008 	good location	I have been meaning to write this for some weeks now but as per usual life got in the way!We stayed here from the 23rd December till 28th December 2007.Our flight was badly delayed and we did not arrive in the hotel til 3am in the morning. I had phoned the hotel from London gatwick to tell them of our late arival and was told all was ok. Anyway we arrived checked in, went to our rooms, just normal ones (not executive) on the 9th floor, we had 2 rooms and our children were staying on the other side ot the corridor which was perfect.Rooms very clean and the most comfy beds I have ever slept in away from home! We had booked to have breakfast included which we thought would be easier so we could just get going in the morning without worrying where to go and eat. The first morning we were late for breakfast about 9 am and there was a rather large queue (about 20 minutes wait. But we got seated got our drinks and we were of to the buffet. Great buffet fresh fruit, bacon (no one does bacon like the americans do!), sausages, eggs in ayway you can imagine, cold meats, lots of pastries (heavenly) and bread, there was also salmon and stuff for the oriental market, they also had something called Birchers Muesli (this looked too much like vomit and therefor left it well alone!!)When we left I was confused as we had paid for breakfast I thought that was it, but we had to pay a service charge of about $15.00, I was not happy with this as it was self service all they brought us was drinks and cleared the table.When we returned in the evening the girls room had not ben made, a call to reception and the room was cleaned, the next day we had no towels, then they had no towels. When they used the hairdryer and the television was on they would loose all the electricity in their room. These were small things and they were very good at putting them straight more or less immediately but it was just a bit annoying. We also had no showergel, when we asked for this we got given more shampoo and conditioner (we are not very hairy people!!) so perhaps they do not use showergel, we have stayed in other Hiltons and we did get showergel anyway this is not very important. After the first morning we used to get down for breakfast by about 7 -7.15 am and there was no queue then. Eventhough it is a very large hotel it does not feel that way, there were always people around but you never felt overcrowded.The hotel is perfectly located for sight seeing, just a few blocks from Central Park, Times Square, subway stations and the main shopping areas. Lots of great delis around, go in to the pubs as the food is great and good value. We were in New York for Christmas, which was good fun, the skating rinks got very busy, everyone looking at the Rockefeller Tree you would not be able to move for the people, the shops obviously were very busy but it was a nice atmosphere. The Radio City show was mindblowing.All in all we had a great time. When we were due to leave we got our bills under our doors, please check them very carefully as they tried to charge us nearly double, it was only because I had the print outs from the UK we got the rate we had booked for. They also tried to charge us for no show on our first night! They also take payment on your credit card straight away, so you may need to extend your limit before you leave the UK. Reception was very helpful , and took off the charges they had added. but had we not checked the bill we would have had a shock when our visa bill arrived. I even persuaded them to take of the service charge for breakfast!! All in all we had a nice stay but if we come back I will look at other hotels first.	
Jan 20 2008 	Best Location-Great experience	I didnt notice that the place needed to be refurbished when we were there. It was Christmas and it was one of the warmest holidays on record. We walked every where and had the most amazing holiday ever.Pros for hotel is location, location, location. it's a Hilton-it's clean it's safe and it has everything you need at rates that are not going to keep you from having a great time. Cabs always ready for you outside but you are within walking distance to Times Square, Central Park, 5th Ave....when we were there we walked to Rockefeller Center and I dont remember it taking long. This is a walking city and you get your best experience if you limit your cab's and enjoy the city.Con's about hotel: I thought the restuarant was very over priced and food was only average. We ate there once because I had a coupon (much to my family's horror). Oh and here is a big problem. They charged per bag if you had a late flight after check out. I have never had this anywhere else and it wasnt cheap-and they didnt take cc-cash only and I had to use an expensive atm to get the money. Radio City Music Hall is across the street and there are many places to get food to bring back to hotel. We went and got a couple of amazing pizza's walking up to Times Square from hotel and brought them back. There is a deli up the street and many kinds of resturants on the street to get a bite.The gym was small but good and the spa service was great.I would recommend this hotel to people who are not very experienced traveler, or maybe nervous about navigating your self in NYC. Girls trips, or trips with kids would also benefit from a hotel that is so well situated.	
Jan 17 2008 	Location means everything	New York is still the greatest city to visit and the Hilton hotel on 6th ave and 53rd street is an excellent base. It is being refurbished at present and the new rooms are much nicer than the old ones. What it really has going for it is location. There is a subway closeby but you can also walk to many sights from the hotel. Well worth considering when visiting the Big apple.	
Jan 17 2008 	Disappointed Overall -- Not a Four-Star Property	We were very disappointed by this hotel. Its rooms, public facilities, and level of service matched that of a 3 or 3.5-Star hotel -- and fall well short of the 4-Star rating advertised.Although this massive hotel was not full, we were placed into a tiny room (601) that was in poor repair. The room itself was worn and tired. The hotel, while centrally located, was so enormous that everything felt very impersonal and very heavily used. We felt as though we were one of 3,500 guests there.The level of service was equally as disappointing as the rooms. After much difficulty trying, we were unable to use the fast check-out kiosks with our reservation and had to wait in a very long line to be processed manually. We later learned that there was mistakenly a $0.01 balance on our account, which prevented the kiosk from working for us.Although there was a 10-minute waiting line at the front desk, the front desk attendants showed no sense of urgency or interest in moving the line along. Several, in fact, simply lingered in the back watching the line.Overall, it was a very disappointing experience. Fortunately, we only stayed one night.	
