	Nice Hotel...Great Location	Stayed here for my 40th B-Day. Got Studio King Suite for great rate. Very nice and big room, hardwood floors and balcony. Comfortable bed and great shower pressure. 2 elevators in hotel, one was big and the other was barely enough for 2 people with luggage. Bellman and Front desk staff were great and helpfull. Food, Starbucks, train, Whole Foods, Central Park all within steps of hotel. Overall this is great hotel and plan on staying here again in the future.	
Dec 17 2007 	Quick stay at 6 columbus	I decided the visit NYC for a friend's party last minute. 6 columbus was offering a rate of $258 (total!), so i decided to check it out.the hotel is located at the southwest corner of central park, directly across the street from the time warner bldg. 5th ave is within walking distance, as well as other typical NYC attractions. it is very conveniently located.The hotel staff were absolutely charming. Everyone was extremely friendly and accommodating. The hotel itself is well designed visually... a sleek and attractive space. My room was a &quot;pod&quot; room. it was quite small, as was expected, but perfectly clean and well designed for its purpose. The bed was very comfy as well. my only critique involves the insulation of the room. I was in room 72, and the wind was quite loud. you could also hear doors opening and closing, etc. I will certainly return to the hotel, but maybe next time i will bring some earplugs. ;)	
Dec 4 2007 	Fantastic Hotel!!!!	This hotel was brilliant. On arrival, the doormen asked for our names as we were a party of 6, and took our bags inside. When we were checking in, the manageress came out and asked was it OK that she had upgraded all of our rooms as she had seen it was a girls holiday!! Of course we said yes!!The rooms were spotless and the beds and pillows were the most comfy i can ever remember in any hotel I've stayed in!Each night the room was turned down and towels, toiletries and water was replaced.It was so close to Central Park, and the Time Warner building across the road has some nice shops and i would definitely recommend the Porter House restaurant in there too!We got great rates for this hotel on Quikbook.com and if i am lucky enough to get back to NYC, i'd definitely stay there again!! Well worth a visit!	
Nov 12 2007 	Nice additon to midtown	It was a busy week in NY and I had trouble finding a room at a good hotel (I'm picky) so I decided to give 6 Columbus a try. The staff is well trained, the doorman asks your name when he takes your bag and then radios inside so that you are greeted by name at the desk. As I came and went from the hotel, I was always addressed by name. I arrived around 1pm and they were able to provide a room then. I had a queen deluxe room. It did face the narrow alley but I would much prefer that to the noise of 58th street. There is no view on 58th, it is a narrow street and looks onto the glass building of the TimeWarner center. The room size is typical of a NY boutique hotel - small but comfortable and well appointed. I'd rather have a smaller nicer room than a large yucky room. (If you want large and yucky, I can give you that list.) Everything is new and clean which is always a plus. There is a small wardrobe instead of a closet so don't overpack but it is adequate. The bathroom is small also (I had one with a tub) but manageable once you figure where to put things. It might be a little cramped for 2 people, depending on how well you like each other! The doors are heavy and do slam loudly so in the morning if you are not an early riser you'll probably hear them. Each room has it's own central ac/heat which is nice and not the norm in New York. Unless it is a new building or completely renovated, you don't have much temperature control in many NY hotels. I like having my room cold at night and toasty in the morning so I appreciate the unit. But I do have to mention that the fan is very loud but it makes for good white noise for sleeping and drowning out slamming doors. The pictures on the hotel's website are accurate. There is a japanese/sushi restaurant in the hotel which was good but when it's not open, you have to go out which isn't really a big deal. But if you like to have room service in the morning, this isn't the hotel for you. There is coffee/tea and pastries in the lobby until 10am but you have to fetch it yourself. I have stayed at/checked out many hotels in the area and this one is probably one of the nicest. The Peninsula and FS are my favorites but taking a step down from those, if this is the area you want to be in, I'd recommend it. Since it's a new hotel without much history, you can email me if you have a specific question.	
Nov 2 2007 	Perfect place after venturing through the streets	I stayed at this place with my girlfriend for three nights. After trying to find a place that would suite our needs for this trip for more than a week I finally came upon the 6 on Columbus. We reserved a Pod Room (due to our limited budget) and were completely happy with it. Upon arriving we were greeted by extremely polite staff. Everybody working for the hotel was friendly and helpful throughout our stay.The room was very clean, nicely designed and comfortable for two people who use it as a place to relax after hitting the streets of New York. In the morning we found coffee and a selection of good tasting baked goods in the lobby. The location of perfect. It is in walking distance to everything in midtown Manhattan right on the SW corner of Central Park. A subway station is across the street. There are several shops and restaurants around. We would stay here anytime again.	
Oct 30 2007 	new hotel OLD building		
Oct 28 2007	Working out the Kinks		
Oct 28 2007 	A Great New NYC Boutique		
Oct 28 2007 	We ARE soooo Hip!		
Oct 28 2007 	Tiny chic boutique hotel		
Oct 24 2007	good stay but a few quirks		
Oct 22 2007 	Good Location Great Staff~ A great boutique hotel		
Oct 16 2007 	Great new place		
Oct 15 2007 	Trendy yet comfortable!		
Oct 12 2007 	New Hotel with Lots of Potential		
Sep 27 2009 	Gute Lage aber alles im Mini-Format!		
Jul 29 2009 	Super Hotel günstig gelegen		
Jun 17 2009 	Excelente ubicacion para la primera vez en NY		
May 26 2009 	Emplacement idéal chambre super !		
Dec 10 2008 	Carino ma caro!!		
Oct 4 2008 	6 Columbus		
Jul 29 2008 	A deconseiller en famille		
