	An ideal spot for visiting Manhattan	As many previous reviewers have chronicled, the staff, the breakfast, the afternoon wine and cheese all make The Library Hotel a special place and worth the bit extra it will cost over a big-box location. We also appreciated the central location *and* the fact that, in a business district, there is not so much traffic on the streets at night. It was possible to open the window and still sleep. The rooftop bar is lovely, if busy during happy hour. Grand Central is just around the corner; you can go uptown, downtown, or crosstown with ease. We will definitely return for our next nyc visit.	
Apr 26 2008 	A charming gem in Mid Town NYC.	The hotel caters to all possible interests by arranging the floors and rooms according to the Dewey Decimal System of book classification. We stayed in 7.01 which is Architecture; the room has a wonderful supply of books including an invaluable guide to New York skyscrapers. The room is a good size and the bed very comfortable. The bathroom is spacious and has a good supply of the all the essentials.The Library manages to create a feel of a home from home. One can almost imagine that one is the guest of a very wealthy friend in Manhattan. In the 2nd floor art deco style reading room you can enjoy complimentary cheese and wine as well as coffee.Breakfast is a relaxed affair with fresh juices and a good selection of bagels. pastries and cereals. Complimentary copies of the New York Times is provided.Make sure you take advantage of staying two minutes walk from Grand Central Station and indugle in a cocktail whilst people watching; it is fabulous.	
Apr 20 2008 	WOW amazing hotel	We stayed in The Library Hotel for the final night of our honeymoon. The check in was very efficient and the receptionist was genunine and friendly. As this was the final night of our honeymoon they had upgraded us to the Love Room which made the final night of our honeymoon very special. The room was beautiful and the balcony provided a lovely view to sit and enjoy New York.The bed was really comfy and they had a bottle of sparkling wine waiting for us. The complimentary contiental breakfast was lovely and had a good selection of fresh items which were regularly refilled. The free tea, coffee and pastries throughout the day was also another lovely touch.The hotel has lots of lovely touches which make it that little bit more special.Had we known it was going to be this good we would of stayed here for all of our stay in New York. If we return to NY we will defintiely book to stay here again.Book this hotel if you are going to NY it is worth every penny.	
Apr 18 2008 	Best boutique hotel I've stayed in	This is honestly one of the best hotels you will find in any city. The attention to detail is incredible and the staff are the nicest team of people I have ever encountered. They really cannot do enough for you and went out of their way to help - looking places up, calling to make reservations, printing out maps - literally everything you needed, they were happy to do.The rooms are carefully considered and whilst compact, do not feel oppressive. They are spotlessly clean and the bathrooms are lovely.The location is unbeatable, right next to Grand Central so easy to get anywhere on the subway, but we walked everywhere, because it was so easy from where we were.The countless supply of books and the welcoming bar and reading room mean its tempting not to leave the hotel but just sit and drink coffee, raid the ever-present supply of muffins and pastries, and read one of the thousands of books! But there was too much of New York to see to allow that!Wouldn't even consider another hotel for my next trip - it has to be The Library.	
Apr 16 2008	Interesting hotel but can´t see how it makes the top of the list	I spent 5 nights at The Library Hotel given the very positive reviews here. I cannot fault them for false advertising, what they call a petite room in the website is really minuscule. Bathroom is adequate for New York and amenities are non-descript. If you are a bookworm it is very nice to have a library available in the hotel and I have to say that even the selection in the room was of high quality. Breakfast, happy hour offered in the 2nd floor were a nice experience, not cheap but also not exaggerated.Service is nothing special, mostly polite and efficient with the exception of one employee. So 1 out of 3 in my experience not making the cut for New York (a place that I usually do not have high expectations in term of service). I don´t see the reason to stay at this hotel given that much better alternatives are available in this price range, perhaps a bit more expensive but just the fact that you are not in a closet sized room more than compensate for that.It would be a great place if they had half the number of rooms.	
Apr 15 2008 	The best Hotel in New York	What a great hotel. We stayed for 4 nights and loved every minute. Because of the location of the hotel it made a great base, close to everything. The staff were fantastic and because we were traveling from the UK they sorted out a lot of things for us beforehand via email and gave us loads of useful info. The room was lovely, really clean and comfortable. One of the best parts of the hotel though is the reading room which you can use for reading the paper or any of hundreds of books but also just use it as a rest point with great views down madison ave. You can grab a great cup of coffee 24 hrs a day and we used this place a lot to just have a quick break from the crazy streets. We felt safe here. We did decide on our trip if we could every come back to New York we would always stay here. I can't recommend it enough. Great, Great, Great.	
Apr 13 2008	The Library tranquility in the heart of New York	The Library Hotel lives up to the reviews on tripadvisor. It really is a gorgeous small hotel and we looked forward to returning to our room each day. The breakfast and snacks offered throughout the day were excellent, we often made the most of the free wine and cheese in the afternoon - an added little touch that makes the Library unique. Its location is another bonus, in the heart of midtown and just around the corner from Grand Central Station - yet, rather surprisingly we couldn't hear the hussle and bussle in our room and slept soundly each night. Our room was lovely, no complaints and very clean - the staff have to be some of the best around and if you need some good, honest advice on where to eat, drink or dance the night away the team on reception are ever-so helpfull.One slight grumble was the the mini-bar recorded everytime something was moved around in the fridge as a 'sale' so we had to spend 15mins on check-out going through a rather long itemised bill explaining that we hadn't consumed any of its contents - but this was a minor grumble. We would definitely stay at the Library on our next trip to the city.	
Apr 7 2008 	Wonderful hotel in a great part of Manhattan	The Library is not just for bibliophiles although book lovers should take special pleasure in selecting a room based on the Dewey Decimal System. The hotel has a great location near the glorious Grand Central Station and is within walking distance of the New York Public Library and other midtown attractions. I loved the Library for its high style and comfy accommodations. I thoroughly enjoyed my stay here.	
Apr 4 2008 	An enchanting experience	My stay at the library hotel was amazing! Each room has a different genre, in the room there is a great collection of books that follow the genre of the room. Each room pretty much looks the same, the only diffence was the books. The staff was a dream come true, they didn't talk to my eleven year old datughter like she was two, they talked to her like they talked to me. They were friendly and helpful. We are from New York City and didn't need any information on things, so I am not sure how there concierge service is. On the second floor they have free coffee, breakfast and snacks which was great. They also have a outdoor area where you can sit and read on the top floor. This hotel isn;t big and is a botique hotel which we also loved. On top of all that it is located in a great spot, Madison and 41st street. Without a doubt, stay at this hotel!	
Apr 2 2008	Amazing wedding venue!	My fiance and I were lucky enough to chance upon the website of the Library Hotel while looking for locations for our NYC wedding. We were looking for a relatively small venue for 30 guests (we and our friends and families were travelling from the UK) but we didn't want to compromise on style or sophistication. Right from the very first phonecall the hotel events co-ordinator and other staff were warm and friendly and were genuinely keen to ensure that our wedding (and in fact our whole seven night stay) was a roaring success. To say that our experience at the Library Hotel was a dream come true is an understatement! The suite in which we stayed was perfectly proportioned and immaculately presented; the complementary breakfast and wine and cheese receptions were delicious and a very welcoming touch; the uncompromising helpfulness and flexibility of all staff who were working on our wedding day was greatly appreciated; the friendly yet unintrusive approach of the staff who waited on our guests during our afternoon wedding reception added to the feeling of New York sophistiaction that we had hoped for; and the food and drinks that were served both at our wedding and throughout our stay were second to none!My new husband and I hope to return to the hotel very soon as it holds some very special memories for us!	
Mar 20 2008 	Perfect!	Upon arrival we were told we were upgraded, which got them points right there. The hotel staff were incredibly nice and welcoming and offered to help with anything...restaurant suggestions, directions, etc.We were expecting a super tiny room and were pleasantly surprised. It was small granted, but well laid out so it really did not feel small. The bathroom was fabulous! The bed was incredibly comfortable.We were in NY for a wedding and the 14th floor lounge offered us a perfect spot to go with our friends after the dinner and just visit. Again the staff was very courteous and friendly and the drinks were super tasty.It was a great experience!	
Mar 17 2008 	Perfect	I stayed at this hotel over Christmas 2007 and it was perfect. The rooms and hotel were very peaceful and made our trip a very relaxing stress free vacation. It was a perfect location to walk to the shows and dinner. We couldn’t have asked for a better hotel or location in NYC. Keep up the good work!	
Mar 13 2008 	What a great place	This is a bit belated but I wanted to write something to say how wonderful a hotel this is.We stayed for an extended weekend just before Christmas and it was perfect. The staff was friendly, the room was spotless, the bathroom amenitites were top notch, and the bed was comfortable.Great free snacks and coffee in the clubby feeling lounge.Front desk/concierge was great in making calls to restaurants we already had reservations for in order to get us extra special treatment (it worked). Perfectly located. Can't wait to head back next Christmas.	
Mar 12 2008 	I have already recommended this hotel - and that says a lot	We visited NYC for what was basicly a first time to The Big Apple as a tourist. We wanted a central location, actually a top priority, and this was as good a central location you can find. Easy walking to Times Sq, Madison Sq Garden, Empire St Bldg. And having the Grand Central on the other side of the block means you have direct access to subway network to reach any other sites.The hotel experience itself was also a near-spotless performance on the part of the Library. The people we met were friendly and helpful. The room, incl. bed, cleanliness, views and size, was very good. The A/C-heating, however, is not noiseless, to put it polite. when everthing else is fine, such things can become an issue. This is the only negative remark I'm going to need to make. Overall, everything you read in the reviews here is there: and yes, we did like to come by during the day and sit in the quiet comfort of our very own club, the Reading Room, with refreshments and of course, for me it was the NYT.There is always the risk that having acquired such a reputation, the management or personnel are tempted to slip from the standard they have set for the hotel. Let's hope this doesn't happen. If they keep it this way (and do not raise the prices any higher) many more visitors will be happy with the Library and the hotel is a continued success.	
Mar 10 2008	Truly lovely hotel excellent stay	Had a deluxe queen room for 2 nights at the Library. Very friendly and helpful staff, excellently clean rooms/grounds. Amenities such as free wine/cheese reception in evenings and free cont. brkfst help soften the blow of $399 rooms. excellent location. I contacted this hotel to help me get restaurant reservations for a large dining party during my stay and they helped me immensely, before they even saw me in their hotel. It POURED rain during our stay, they had generous umbrellas for their guests, just excellent attention to detail. I would highly recommend this hotel and its comfortable beds. They also had a clock w/ ipod docking station that surprised and delighted me! Rooms are a nice size for NYC, definitely not ridiculously small and the bathrooms were quite nice as well.	
Mar 7 2008 	excellent hotel great service	the library hotel is a unique hotel in a great city. its small scale (about 60 rooms) is a boost to service in a city where some hotels take up entire city blocks. You instantly feel welcome upon arrival, the staff may be young, they are very friendly and will do their best to make you feel at home. Our room was a decent size, and well equipped. The hotels serves complimentary breakfast (including newspapers), rare in new york if i am not mistaken. Coffee and juice are available throughout the day, and every evening there is complimentary aperitive: wines, cheese and crackers are served from 5pm to 8pm. A perfect moment of relaxation when you come back from a day in the city, and the perfect stop before going out to find a restaurant. Great location, too, just off grand central station (subway connections) and times square. Great hotel! We are already saving for our next visit.	
Mar 3 2008 	Very Nice Indeed	I stayed at Library Hotel this past Sunday night and I was very pleased with the experienced.I actually live in Brooklyn, so I wasn't exactly coming in from out-of-town. What I wanted was a one-night stay in Manhattan in order to recharge my batteries. I work long hours, often from home, and when I actually have a day off, I find myself drifting back towards my desk to work. As such, I literally needed to get out of my own home in order to get some rest and peace. I chose Library Hotel based, in part, on what I read on TripAdvisor and I got the recharge that I needed.The hotel is very nicely done. It's modern, but not in an &quot;in-your-face&quot; kind of way. The staffers I encountered were exceptionally nice and helpful. My room (including bathroom) and all the common areas were spotless. The wine &amp; cheese reception was a nice touch. I slept in and didn't partake in the breakfast. The 14th floor bar was closed because it was Sunday (as was room service, which is fine because I know the restaurant and I'm not impressed by it), but you could lounge up in the bar area if you wanted and it looked like a fine place to enjoy a cocktail. I got a pretty fair rate directly through the hotel because it was a Sunday and this is a rather slow time of year.The only drawbacks I could see is that the rooms are small. I stayed in a Junior King Suite and it was easily the smallest &quot;suite&quot; I've ever stayed in. I, however, knew this going in so I wasn't very concerned and the room itself was fine. The bed was incredibly comfortable and the shower pressure was excellent. The bathtub was not huge, but I'm a big man and I fit in it without a problem.Here's who I think would absolutely love Library Hotel: Bookworms (obviously); travelers who prefer a boutique hotel experience versus a high-end chain; travelers looking for a quiet alternative to other mid-town locations; and, people who enjoy staying in at night at least once during their stay (the common spaces, DVD library, stacks of books, etc. provide plenty of free entertainment, plus there's the nice lounge upstairs).I probably wouldn't stay at Library Hotel again, but that's because I live here and the next time I &quot;vacation&quot; in Manhattan, I'll look for something higher up the luxury scale and with more amenities (a bigger room being the biggest thing). However, I will and have already recommend it to my friends who come for a visit and want to stay somewhere nice, a little bit different and in a good location.Library Hotel gets high marks and their rating on TripAdvisor is well-deserved.	
Mar 3 2008 	The Library is the perfect read	I have stayed in many boutique hotels in the city, but the Library Hotel has to the one that has impressed me the most. The staff is gracious and friendly. the public rooms are extremely well maintained to the point it felt like I had visited on opening weekend. Breakfast, Snacks, and wine and cheese throughout the day in the 2nd floor Reading Room is a great bonus to your room rate. The location is perfect for those that do not like to walk outside the front door of their hotel into a steady stream of people (Times Square), but also want a location with many walkable dinner options and close enough to the entertainment as well. I walked easily to see a couple plays and to a few Zagat highly rated restaurants.Do NOT let the price scare you, this is not one of those hotels that you will feel you did not get your money's worth. This is a beautiful space that you will not want to leave and you will be recommending to your friends.	
Feb 25 2008 	A reader's delight	My husband and I live in a county not too far from Manhattan and work only a block or two away from this hotel. Our plan was for a weekend to enjoy the city, instead of only working in it. We are both avid readers and The Library Hotel was the perfect atmosphere. We enjoyed the ambiance and the infamous Love Room was delightful. The staff was charming and very accommodating, but to tell the truth, we aren't the demanding sort. Breakfast is continental, but fine for most purposes and the Rooftop Garden Lounge is just perfect for that pre dinner drink. We'll be back soon, I hope.	
Feb 18 2008 	Sharing a room with Lowell and Frost	Superb little hotel a block from Grand Central. The Library has a cheerful staff, impeccably clean rooms, and lovely public spaces. Breakfast is good, although perhaps could be better in a place of this caliber. Access to an expresso machine all day long is no small amenity. Open wine bar starting at 5 pm, with drinkable white (but ghastly red). The room bookshelves each take a theme: the 'poetry' room, on the 8th floor, contains the works of Robert Lowell, of Frost, of Pound, and many others. It's a single, small but tidily arranged. A third party arranged my stay: at the posted average price of $400+, one has to wonder; at the special price of the mid $200s, available on some websites, it's surely the best bargain in midtown Manhattan.	
Feb 18 2008	Excellent	This must rank amongst my best hotel experiences.As other reviewers have noted, the location is excellent: half way down Madison Av between Central Park and the Financial District and only a couple of blocks away from the big department stores. It is also close to local subway links.The reception and bell staff were friendly, responsive and very helpful. The rooms are all themed. My room was very small, but that did not matter because the communal rooms in the hotel were such that you'd incline to spend time there... the bistro looked very nice, although I didn't try it. Free drinks and breakfast were served on the second floor - itself a nice library. The so called &quot;roof garden&quot; and designers den exceeded all expectations. I only visited late in the evening: it was intimately lit, just the sort of place you might take a date to I guess; the cocktails were excellent and the bar staff equally so. The bedroom (and the bed) itself was comfortable; the shelves stuffed full with books. Nice little touches like chocolates and weather forecasts appeared by the bed in the evening; there was an iPod player; a CD/DVD, complimentary DVD hire and a well stocked mini bar.Would certainly go back. It perhaps lacks the facilities of the big chain hotels, such as a swimming pool and a gym, but the ambiance of the hotel, the room, the staff, the decor and the communal areas more than made up for it.	
Feb 16 2008	Great location!	The location is close to subways but I wish we chose something more in midtown. Our room had a very warm modern design. The staff we encountered were responsive and courteous. We dined outside the hotel because there were so many nice neighborhood options.	
Feb 15 2008	the real new york library	We booked (sorry) the library hotel for our last two nights of our honeymoon. The staff and the room were fantastic. In my initial email I stated that it was to be our last two nights and they upgraded us to the love room which has a balcony overlooking madison avenue and with partial views of the real new york library. Nothing was ever too much and Bill, thank you for getting the pizza's when we arrived too late for the two very nice restaurants next door. We tried the pera the next night, which was turkish/mediteraean food. It was lovely, although a touch expensive overall. My wife baulked at the cost of the library originally, but by the end of it, she agreed that t was well worth it. Great location, romantic and accomodating. Thank you all at the library.	
Feb 14 2008 	Library Hotel Exceeds All Expectations!	The Library Hotel is a gem, or perhaps a poem. I stayed for three nights while visiting family and attending the dog show and every interaction I had with a staff member was positive and friendly. The hotel's public areas (the second and fourteenth floors) and private rooms are spotlessly clean, well designed, and very attractive. The Library theme is charming and fun for anyone who has ever used the Dewey Decimal system. I will never stay anywhere else in New York City and I am already looking forward to &quot;booking&quot; my next visit.	
Feb 12 2008 	New Yorks Gem	Long before we arrived at the hotel, our questions were being answered promptly via email. On arrival at the Library Hotel, we were met by extremely helpful reception staff, who not only take pride in their hotel but are keen to promote NY on the whole. The room was spotlessly keen, had everything we needed and more and was remarkably quiet considering the constant city traffic that was ever present outside.The breakfast set us up for the day and the hotel staff were keen to advise on what to see, how best to get around and to suggest various places to eat.Booking tickets for events was never too much trouble and we had the best seats in the house at Carnegie Club on Saturday Evening.All in all, we are more than happy to write this review, recommend the hotel and look forward to visiting again.	
Feb 10 2008 	Greatest service ever!	My wife and I stayed at The Library Hotel for 4 nights. In that short period of time, the staff made us feel like we were family. The attention to detail and the exceptional warm and friendly staff made our stay the perfect experience. We were surprised with things such as a VIP desert being delivered to our table at Uncle Jacks Steakhouse compliments of the hotel when we didn't even think they knew where we were going to eat.In summary, We both agree that travelling would be perfect if every city we travelled to had a Library Hotel!	
Feb 7 2008 	Excellent	Outstandingly comfortable with a very personal atmosphere, staff very friendly without being intrusive. Reception staff most helpful with any type of query, rooms first rate and so good to stay in a small hotel so close to the museums/art galleries/shops and central park. Also having refreshments available at all times a real bonus in such relaxing surroundings	
Feb 3 2008 	Great for a weekend getaway!	We work in NYC, but live in northern NJ, so as a Christmas gift to my husband, I arranged a Saturday night's stay in the Library Hotel. It was great to see New York from the tourist perspective, as opposed to the daily grind, and the Library Hotel offered a lot of bang for the buck!The Library Hotel was a beautiful, serene place filled with loving details. We stayed in the Fairy Tale room, which had all sorts of delightful children's books to peruse, as well as corresponding framed prints on the walls. We loved the wine and cheese before dinner, received a complimentary bottle of prosecco in our room (since we're newlyweds), and feasted on the delicious breakfast and read the New York Times the following morning. I loved the bath amenities, and the robes and slippers were perfect.It's difficult to make full use of a hotel in one night, but I feel we really got our money's worth. I'm glad I picked this hotel for our romantic weekend.	
Jan 29 2008 	Library Hotel - stay there!	Cannot recommend this hotel highly enough. The location is as good as it gets for NYC, the rooms are small but perfectly formed, the staff are pleasant, the breakfast is lovely...the hardest part was convincing yourself to leave it every morning!	
Jan 28 2008 	Amazing serivce and beautiful hotel	This hotel was everything that it promised to be, and more. The location is fantastic, right around the corner from Grand Central Station. It is situated in a beautiful brownstone building on the corner of Madison and 41st, and the interior is just as elegant as it look on the website. The second floor lounge is a great place to relax after a hard day, the hotel provides free wine and cheese there every evening from 5 - 8pm and you can just grab a good book, rest your feet and enjoy the surprsingly good wine and prosecco on offer. Breakfast is also served in the second floor lounge and is quite basic, but certainly does the job - especially in city where most hotels are room only. There is a good choice of cereals, bagels, buns, pastries, sweet or savoury spreads, eggs, delicious fruit salad, juices, and different flavours of tea and coffee. We requested the room that we wanted in advance and were told that staff cannot promise any particular rooms in advance - however, we were lucky and got our first choice anyway. As most other reviews have pointed out the rooms here are tiny, but they are perfectly formed and very comfortable. We were on the 9th floor and you could hear traffic noise, but this is a small boutique hotel in New York City, you expect to hear some noise and the benefits more than make up for the small room and the traffic noise.Perhaps the greatest asset of this hotel are the staff, they booked restaurants and attraction tickets for us, nothing was too much trouble. Everyone was so friendly and helpful and gave a very personal service. We would definitely stay here again, and recommend it to anyone visiting New York. A general tip for getting around in New York, don't be afraid to use the Subway, especially staying so close to Grand Central. It was much easier and cleaner than we expected and at $24 for a week pass it was by far the best way to get around. In the evenings we caught cabs everywhere - but they are also much cheaper than we expected and easy to just flag down (but make sure you know the address of anywhere you are going - not one driver we had could have got to restaurant just on its name)	
Jan 27 2008	book for life	Myself and the hubby are fairly seasoned travellers and with work I have to stay in hotels on a monthly basis, so 1 hotel begins to look like the rest, well not so here. The hotel itself is very unique in style and has a 14th floor that would entise you to not move from the hotel for the length of your entire stay (fire at night, conservatory and outdoor eating area) The rooms in the hotel are smaller than normal but it really cant be the reason not to stay here. Hotel is extremely clean and its location is extremely central to pretty much everything in New York (one block away from grand central station). Above everything we cant say enough about the staff, extremely friendly and more helpful than I could ever credit them for (and not in an overbearing cheesey way). Its my 3rd time in NY and we both agree if we go again, we will book here again. The breakfast is included and the coffees great!	
Jan 22 2008 	Lovely hotel and staff except for hotel room ventilation/heating system	Our party of three stayed five nights in a Jnr Suite at the Library Hotel in early January. We had made a room floor request when we booked through the hotel's website, but we did not get any of the three we requested. However, check in was smooth and quick. Room Accommodation:The Jnr Suite was adequate, though space was limited. We shifted the coffee table to the side and used the sofabed and also the king size bed. The king size bed was very comfortable, though the sofabed could have had a better mattress. The bathroom was a nice size with plenty of essential items including shoe shine, cottonbuds, and the usual soaps and shampoo etc. We also got two complimentary bottles of water in the bathroom each day. The street noise wasn't too bad from our 6th floor room. Our only negative with our stay was the psycho ventilation/heating system in our room - the first two nights were freezing and the last three nights were swelteringly hot. No matter how you adjusted the temperature control it did what it liked.Business centre and wi-fi:We brought our own laptop and found the free wi-fi access useful. And the room safe was big enough to securely store our laptop when we went out. We also used the free business cetnre on the 2nd floor which had a printer stocked with fresh paper. Very handy for online check-in and also printing out information for sightseeing etc.Reading Room, breakfast and refreshments:The 2nd floor Reading Room where breakfast and refreshments are served is fantastic. A brightly lit and well-furnished room that looks onto Madison Ave, and also down towards the NY Public Library. We used this room constantly as the Jnr Suite can get a little claustrophobic with three people. The breakfast is wonderfully prepared and presented, with a great selection for a continental breakfast, and the staff go our of their way to accommodate. Throghout the day you can also enjoy complimentary teas, coffees, pastries, biscuits, and fruits (usually apples, bananas and oranges). The wine and cheese is pretty good too - about 5 different kinds of cheeses, two choices of wine, grapes and bread, biscuits. The best thing is that you have a friend or family in NYC meeting you, they are welcome to enjoy the complimentary wine and cheese with you.Location:The location was good. Nice part of midtown away from the noise and hype around Times Square. Also good for transport on subway, cabs and buses. Easy walk to lots of sights as well. We didn't find any particularly good eating places around the Library Hotel, but we found it very convenient to use the Grand Central subway and cabs to go to better eating locations in Soho, Greenwich, Chinatown and the Meatpacking District.Other facilities:If youre a book lover you will find something to read... the selection wasn't as wide as I expected, but there are books scattered throughout the 2nd floor, lobby, in your room and in the Poetry Garden and Writer's Den on the 14th floor. The 14th floor was very cosy during the day and had a more hip feel when the bar was open in the evenings. Both areas were much much smaller than I expected. Complimentary bottled water on the 14th floor is a nice touch.Staff:Staff throughout our stay were polite and helpful. Some were more genuine than others. We really loved the ladies working on the 2nd floor who prepare all the food and refreshments.Stay again?:Would we stay here again... probably, yes.	
Jan 21 2008 	attractive comfortable great location terrific stay	We celebrated my husband's 60th bday in NY, where he was born.Our family also booked into the Library - we were all very very pleased. The decor is simple and elegant - the staff are accommdating - the breakfast room and breakfast are wonderful - rooms smallish but gorgeous - bathrooms fantastic - the location was superb - the library theme was not &quot;Vegas-y&quot; or too cutesy. Our room was very very quiet. Prices are extremely competitive. Unless we win the Lotto we'll stay here every time we're in New York! Thank you, Library, for making the trip so great.	
Jan 18 2008 	Grand and Central	We cannot recommend this hotel highly enough. We arrived after a long flight and subway journey, probably looking tired and dishevelled. We were greeted warmly by the staff and offered a glass of wine to be sent up to our room. Each room has a different theme, which adds to the individual touches that can be found throughout the hotel. Our room was wonderful; clean and modern with every thing you could want. The bed was fantastic – never slept so well. Lots of lovely little touches too – a turn down service with the next days weather report for example.Sadly, we were too busy taking in the city to take advantages of all the services the hotel offered, such as the rooftop bar and the wine and cheese events. However, we can fully recommend the delicious breakfast, served in the library. Free internet access is also available as are tea/coffee and cookies at any time. All the staff we met were a credit to the hotel. Very friendly and nothing was too much trouble. I felt they genuinely wanted to make your stay as pleasant as possible, rather than the false “have a nice day” approach.The hotel is in an excellent location for all the major sites – just 5 mins walk from Grand Central station.We were really sorry to leave at the end of the trip, and if ever we go back to New York would definitely try to stay here again.	
Jan 15 2008 	Extraordinary hotel	I stayed in a petite single room at this extraordinary hotel in the middle of Manhattan from January 3 to 7. I loved everything about it and was surprised to find such a good deal in NYC. The free goodies like coffee (not just filter coffee!), tea, cakes and not to forget the wine and cheese offered in the evenings made my stay even more worthwile. The room was small but just perfect for a me alone and I liked the styling and the super nice bathroom. Every member of the staff was absolutely friendly and helpful. I'm definitely planning on going back to this great (small) hotel!	
Jan 15 2008 	Just got back and can't wait to return!!	Arrived on a BA flight from LHR - JFK at 4.30pm and was checked through security and in a cab winging our way to the Library Hotel by 5.10pm, a quick 40 minute taxi ride with amazing city views (keep your eyes peeled just before you go into the midtown tunnel!) we arrived to a very warm welcome from Bill and the other staff at the Library.What a fab place, warm, friendly and comfortable, with good facilities and a relaxed and homely atmosphere. Our Queen deluxe room on the 8th floor was small but perfectly formed with a really comfy bed and everything we needed for our stay.Close to all the good sights, one morning we walked 30 blocks up to Central Park and back!! but MSG, Empire State, Rockafella Plaza etc are all within a 10-15 minute stroll! There is a bit of street noise between 8am-10pm (this is a bustling city after all) so if you are a light sleeper or nap in the afternoon i suggest asking for a high floor at the back of the hotel or taking ear plugs but it never bothered us, after a heavy day shopping and sight seeing we didn't have any trouble sleeping at night!!The 2nd floor lounge with all day free coffee, tea, cappuccinos and pastries, fruit and cookies was excellent for relaxing in and reading the days papers.I highly recommend the 2 minute walk to Pershing Square (opposite Grand Central Terminal) for the pancakes or brunch.. gorgeous!All in all a fab little hotel, we are sure to be back soon!	
Jan 14 2008 	Loved It!	Loved the hotel and the staff. The concept is great-lots of fun for avid readers. We had the fairy tale room-very cute. The lounge is great and I LOVED the 14th floor area. What a beautiful, romantic spot inside and out. Great drinks! Madison and Vine was so nice to have right downstairs! We will be back for sure.	
Jan 14 2008 	A perfect haven in a manic city...	We stayed at The Library for 4 nights over Christmas and it couldn't have been better.All the previous reviews were spot on - the rooms are good sized and well equipped for New York standards, the breakfast very good, the wine and cheese in the evenings excellent and the staff...well...quite exceptional, and possibly the best staff anywhere we've stayed. They helped organise our Christmas Day dinner at the River Cafe in Brooklyn, and we couldn't have been more pleased. If you ever need a romantic dinner in New York, check it out...!The location of the hotel is great too and you don't feel like you walk too far to get to all the major attractions (Times Square, 5th Avenue, Macy's etc.) and with Grand Central 2 blocks away, commuting around Manhattan is a breeze.All in all I can't recommend this hotel enough and if we ever return, we will definitely stay here again.	
Jan 13 2008 	My New Favorite in NYC!!!	I have been wanting to stay at the Library Hotel ever since they opened and just got the chance due to a very reasonable discounted rate ($300 for a queen room) over the Christmas holiday. They did not disappoint!PROS:1. Fabulous staff - not just one or two but every single one. They were courteous, helpful and completely approachable in a friendly but not pushy way. They made us feel at home and I never felt as though we were bothering them as some hotel staff can make you feel. I don't often mention names in my reviews but these people were so stellar I must give them credit: Igor, Monique, Marlene, Manuela and especially Arman, the eminently polite bellman who seemed to work 24 hours a day while we were there. Sorry if I missed anyone - if you were working 12/24 - 12/27 you should be included in my cudos. One day it rained and Arman was at the door with beautiful umbrellas to hand out. Exceptional service and attention to detail. Owners - you have one terrific staff - be nice to them!2. The absolutely ingenious idea of a hotel based on the Dewey decimal system. It was very cool! I didn't get my requests of Fairy Tales or Paranormal but it was fun at check in to run through the choices until I found one I liked. I turned down Manufacturing, Dinosaurs and Libraries and ended up in Romance Languages. As much as I want to keep this gem my own little secret I haven't been able to stop myself from telling everyone about the design of this hotel. Awesome!3. The free (yes free) continental breakfast, snacks, wine and cheese that are available to all guests in the beautiful 2nd floor lounge. I had not a penny of additional charges on my bill when I checked out. I can't remember the last time that happened. So when you think the rate is too expensive don't forget to account for the free stuff.4. Rooms were beautiful although small, remember this is NY. My daughter and I had a queen room and it was just big enough. 5. Location is great at Madison and 41st right in the middle of everything.CONS: (These are more like minor suggestions and would never keep me from going back.)1. I was a little disappointed that the rooms were not more individualized. The only difference appears to be the handful of books specific to the room. You've got this great concept why not take it further and make the room more specific to the subject. At the very least there should be a lot more books in the room: on every surface and yes in the bathroom as well. You know, us readers like to read in there. 2. Madison and Vine restaurant was very expensive but only so-so. To be fair I am not sure the restaurant is even owned by the hotel so it's just a heads up. Best pizza I have ever had was right around the corner - I think it was called Bravo Pizza. 3. Regular rates are still a little on the expensive side even for NYC but I guess it's supply and demand...Well that's it. Believe me folks I travel a lot. I go to NYC about once a month for both business and pleasure and this hotel is the best I have ever been to in NYC. I will look forward to many more visits to this wonderful hotel!	
Jan 13 2008 	Amazing little hotel	We stayed in the Library from the 25th of December to the 4th of January for our honeymoon.It was the most amazing little hotel. The staff are wonderfully friendly and will do anything for you. We emailed the hotel before we arrived and they organised basketball tickets, hotel reservations and every little request we had.The room we had was one of the suites. Although not the biggest of rooms it was perfect. The bed was the most comfortable bed I have ever slept in. The little chocolates and weather reports at the end of each were a lovely touch.The breakfast and wine and cheese were always appreciated and just the right amount, especially in a country know for excess!When we return to New York in the future we will always stay in the Library and it made our honeymoon the most perfect holiday in the world.Thank you to all at the Library.	
Jan 11 2008	Impeccable as always	My fourth time staying at The Library; that should tell you everything! Thanks Igor, for giving us exceptional service!	
