	Good hotel but a bit far out for sightseeing with a toddler	My husband and 2 year old son stayed here for three nights over the Thanksgiving weekend. We got an excellent rate through priceline and the front desk staff upgraded us to a superior room on the 33rd floor. We had a big room with fantastic view of the hudson and jersey city. There was a small fridge in the room to put milk and yogurt for my son. The hotel is a standard marriot and the rooms are rather large for a Manhattan hotel.The 85 west restaurant has a decent menu but a bit pricy ($20 for a burger). We had breakfast from starbucks one day and the other mornings went to a diner a block away (Georges) which is excellent. I can't compalin about the hotel except I would not stay downtown again for sightseeing or shopping. Also not that many restaurants around.The hotel is one block from ground zero and in general there is a lot of construction in the area with sidewalks blocked off and traffic diverted. The subway stations are very close for getting into town. It is a 20 minute ride to midtown and 25-30 to uptown/central park. All in all, a great hotel but not the most convenient location for midtown sights, especially with a child and a stroller. We also prefer to come back to the hotel for naps and that was inconvenient from midtown as taxi ride is about $30. On the plus side, the ferry for liberty and ellis islands is 10 minutes walk from the hotel.	
Jun 3 2006	Great alternative to midtown	We stayed at this hotel during a vacation over the Memorial Day weekend. Getting to the hotel from the Holland Tunnel was a breeze, even with holiday traffic, and the valet parking the hotel provides is a great service. Unfortunately, since we were at the hotel over a holiday and the room had been booked close to the weekend we weren't able to get the room configuration we had hoped for (2 queen beds), but the hotel did provide us with a room with a king size been with a rollaway at no extra charge. The room was a little smaller than the standard Marriott room, but was as much as we needed, even with the roll away. The room was very clean (a big factor for us) and the beds were very comfortable.Everyone we dealt with at the hotel was very polite and very helpful, in spite of the very busy weekend. Since this was the first time the family had been to New York we planned on spending alot of time in the midtown area and I was a little concerned about the logistics of getting back and forth to midtown. This really wasn't a problem since the hotel is only a couple of blocks from the Rector St. station and the subways in NY run very frequently (~every 20 min), even late at night on the weekend.Even though the hotel is not very close to many of the popular tourist attractions in NY (Empire State Building, Times Square) it is close to some other interesting sites, including the World Trade Center site (it borders the site), the South Street Seaport, and Battery Park, which is where you can catch a ferry out to the Statue of Liberty. We actually left the car parked at the hotel and were able to walk to the park to take the ferry out to the statue on Memorial Day, which worked out great. As far as dining is concerned, there are a couple of restaurants in the hotel; however, we opted to try some of the other local eateries. Someone at the front desk recommended George's Restaurant, which is right around the corner from the hotel on Rector St. and has an unbelievable breakfast for about what you'd pay at McDonald's. AWESOME!Although seeing the action at Times Square was great, I'd highly recommend this hotel for any tourists who want a little peace and quiet at night.	
May 30 2006 	Third stay enjoyed every one so far	I just stayed there for a conference for the third year in a row. I really like this hotel, especially compared to the six or eight other places I've stayed in NYC, but I can understand how it isn't for everyone:Pro's - very clean rooms, nice bedding, decent but not great selection of TV channels, quiet area especially at night, excellent fitness center and pool, and a short cab ride to most places in lower manhattan, quick trip from Laguardia (under 30 minutes non-rush-hour). I had a wonderful view of the Hudson river from my corner room, others had views of the statue of liberty. Also is close to the water taxi to New Jersey.Con's - expensive Internet service, small bar, expensive (but very good) restaurant (Roy's), quiet at night, and a long cab ride to mid-town and points north. There really isn't much activity around the hotel and the nearest subway station is a few blocks away.We ate in greenwich village most nights so the location was fine, though it seems with road construction, almost every cab has to make a u-turn in front of the place and drop you off in the middle of the street, one time a cab driver figured out how to end up right in front.About the only other negatives are a fairly small lobby and bar, the room service menu is a bit limited as well.If I'm in the financial district for business, this would be hotel of choice, but if I needed to spend most of my time in mid-town, I'd look at the Millenium off broadway, which is my favorite hotel in that area.	
May 17 2006	I liked it alot	Some people think staying downtown / lower manhattan / financial district is unacceptable for leisure travel-- I say this is complete rubbish. Three subway lines which will take you to anywhere in Manhattan are within a 2 to 8 minute walk, and yes it is a safe walk even at 2 am--I did it several times and I'm from a redneck town in the Midwest. I like downtown, its quieter and the water and bridges are more influential in this part of manhattan. The hotel is upscale, not luxry but definetely upscale. The rooms are decently sized, the views are good. The staff was pretty friendly as far as NY goes. The part I liked the most was that the area on the weekends is much quieter and peaceful than midtown. Also you experience the water alot more at this hotel than in midtown--first the room I had had views of the hudson river, the Statue of Liberty ferry in Battery Park was a short walk away and thats right on the water and South Street Seaport which is a neat historical spot where they sell Broadway show tickets is on the East River with views of the Brooklyn Bridge. In Midtown, you never experience the water or the brides at all. Also the Financial Center has good access to Tribecca, Greenwich Village, Chelsea etc and alot of nightlife. You can take the subway to any of these areas in the evening and if you don'[t like riding the subway at 2 am, you can take a cab for hardly anything. I took a cab from Greenwich Village to the Marriott Financial Center at 3 am at it only cost about $6.50.	
Apr 14 2006	Great hotel	A group of us stayed here for a long weeekend when we got a good deal through British airways. Slight hiccups on checking in as requests such as 2 beds and smoking rooms had not been passed through to the hotel, but were easily resolved. Rooms were big for NYC (well 3 times the size of the room we'd had at the Hudson). Location was fine, very near subway lines so easy to get about. The staff at the hotel were fabulous, Ben at reception couldn't have been more helpful, getting us reservations and information about bars etc. The bar at the hotel wasnice for a drink before going out to dinner. All in all a lovely place to stay	
Mar 18 2006 	Very Nice Downtown Hotel	If you have business downtown, you will not go wrong staying at this hotel. While physically, the rooms are fairly average, they are nicely appointed and the beds and bedding are extremely comfortable. Service is prompt, pleasant and attentive both from the front desk and bell staff and room service (which was quite decent).Roys, the restaurant, is worth a visit even if you are not staying here. Hawaiian-themed and seafood-oriented, the food is simply delicious. While pricey, finding such a gem in a Marriott hotel was an unexpected and pleasant surprise.The work-out facilities and pool also are unusually good for a Marriott and above average for New York hotels generally.While there's not much to do in the immediate area (two blocks south of the WTC site), it is beginning to come back to life, albeit slowly.	
Mar 8 2006	couldnt find any fault	We have just got back from spending 3 nights in this wonderful hotel. All of the staff are marvellous and really go out of their way to make you feel welcome, particularly Carols the doorman. The public areas are immaculate and the food was fantastic and not overpriced. The only thing we didnt try was the leisure facilities because we simply had too much else to do but we took a look. I had to admit that the pool looked a little on the small side but then again I dont suppose that it gets used all that much as mostly the guests will be either business people or on short city sightseeing trips. It is a bit out of the way but we liked it that way. It costs around $20 per trip in a cab(including tip)to get to say Times Square which can mount up if you go in and out twice in the day as we were doing. We could have used the tube but didnt want to be underground missing the sites. The rooms were spaceous and very clean. Could have done with bigger bath sheets. Beds were the comfiest beds that I have EVER slept in and the views from the 32nd floor were amazing. We didnt eat in Roys but it looked like a very nice restaurant with a wonderful menu, the food in the cocktail bar was as good as a lot of expensive restaurants and the breakfast from room service was tremendous. I hadnt realised until we got home that the original NYMFC was destroyed in 9/11 and the building that the hotel is in at the moment was given a facelift and made into the hotel as it is now which explains the newness feel to it. I highly recommend this hotel.	
Feb 8 2006 	First timer	Just spent one night in a concierge level room -- travelling on business. Room was typical Marriott middle tier -- rather drab and antiseptic but very clean and quiet. Bed was too soft and desk was too small to hold a laptop and some papers. Bathroom was large and towels were plentiful. Concierge lounge was pretty ordinary with breakfast being better than evening. Room service was unusually good. Staff was very accomodating albeit rather rushed at check in (almost too fast). Location was prime for my business purpose although I would agree that it is out of the way for most leisure travellers. I did enjoy an early evening stroll along the waterfront.	
Jan 31 2006	Marriott Financial	Have just returned from a week end in New York and had a fantastic stay in Marriott Financial Hotel. The location was great and the breakfast in Roys hotel was a good start to the day. The staff were very helpful and everything was very clean.	
Jan 22 2006	Great Stay at New York Marriott Financial	Stayed at the New York Marriott Financial right before the Christmas holidays. The other Marriott properties in New York would do well to follow the example of the Financial Marriott. Rooms are larger and you definitely have the feeling of spaciousness. The staff is very accomodating and how bad can it be when there is a Roy's Restaurant on property. The restaurant serves breakfast (which is wonderful), lunch and dinner and of course dinner being their forte. It is very easy to catch the subway to get anyplace in the city. Also, easier to get to any of the airports from this property.Enjoy	
Jan 18 2006	AWESOME HOTEL	My mother, daughter and I stayed at this hotel when my daughter ran the NY Marathon. While I agree it was a bit out of the way as far as being right in the city, our stay there was incredible. The rooms were immaculate, the restaurant was wonderful and the bell hops were the most helpful I had ever seen. They offered to get us an SUV to take us (and 2 other people in our group)to JFK so we didn't have to pay for two taxis. They also applauded my daughter when we got back from the marathon for her accomplishment in running! We loved staying there	
Jan 16 2006 	perfect for business travelers too far downtown if you're a tourist I think	I stayed here for a week on business before I eventually moved to NYC. This is a really nice place to stay. The rooms are big, the bed extremely comfy, good size bathroom and spectacular views. I didn't experience room service although I had a couple of things laundered and the service was excellent. The business center staff were also extremely helpful. The pool area is lovely and full of natural light. The downstairs cocktail bar is great - serves excellent food and bar staff highly focussed on personal service. The week I stayed here the temperature went over 100 degrees and I'm relieved to say the a/c more than adequately coped. If you're staying here and want a local drink or bite to eat you don't have to go far - walk across West Street towards the Hudson river and you'll see a great little bar which serves wide selection of beer and food. Also carry on to the waterfront on the same street then take a right, there's a FANTASTIC seafood place with outside dining available right on the waterfront. Totally worth stepping out of the hotel and you don't have to schlep uptown if you don't feel up to it. This was one of the best hotel experiences of my NY trips and I absolutely recommend this hotel.	
Jan 3 2006	1st visit to NYC with a GREAT hotel	I just recently visted NYC for the first time (with a group of friends) last weekend. I was in NYC for the New Years Eve annual ball drop. I picked this hotel because this was the cheapest (decent) hotel I could get on the Manhattan island. My experience here was EXCELLENT. Before coming to NYC I read that NYC hotel rooms were very small. But the room we were issued was a corner room on the 30th floor, that was very large.Even with five people in the room, it still didn't feel too small or overcrowded. The front desk staff were very friendly, professional, and helpful. The concierge desk recommended a great nearby diner called George's that serves excellent breakfast. The subway is conveniently located two blocks away on Rector St.The room and bathroom were very clean when we arrived. The bathroom is spacious too! Housekeeping was prompt in issuing us more towels when requested. While leaving our room, we ran into the housekeeping staff who asked us if there was anything we would like extra in our room. We told them we needed more lotions and soaps. When we got back, they were already waiting in the bathroom for us!With a spacious &amp; clean room, spacious &amp; clean bathroom, great views, and great service. I would definitley recommend staying here.	
Jan 3 2006	Fantastic hotel!!!	My family stayed there December 22nd and 23rd. It was fantastic! Everyone is very nice and helpful, the hotel is clean, beds are extremely soft and the view is amazing. I would highly recommend this hotel. It is near the subway, good restaurants and the World Trade Center. We will be back again.	
Dec 7 2005	The Marriott Financial Center - all round great place to stay !	My mother and I stayed here at the end of October (based on other Trip Advisor reviews) and it was marvellous. Great location - very near to a subway station and the number 6 bus that goes all the way to Central Park (better than the sub-way for really getting a feel for the city). The hotel is a short stroll to Battery Park and the Ellis Island/Statue of Liberty ferries. Very safe, quiet neighbourhood. I had mentioned that it was my mother's first time in New York and also her birthday and we were given a beautiful comfortable corner room with breathtaking views of the Hudson (perfect for 2 people but wardrobe space would be limited for more than that). The very friendly and helpful staff had also arranged a beautiful bouquet of flowers for my mother ! Breakfast was included in our rate and was great - their specialities (such as french toast with apple, maple syrup and cream) are divine and will keep you going all day ! I would highly recommend this hotel - ask for a rooom with a view. I had been to New York a number of times and always stayed in mid or uptown but in future it will be downtown !	
Nov 29 2005	This Hotel is EXCELLENT!!!	Stayed at this hotel in early November 2005 and loved it! We arrived early in the morning and they allowed us to check in early. I was very impressed with the room. Got a 19th floor room with a view of the Hudson River. The room is very clean and well kept. Pretty new furnishings and immaculate bathroom! Bed is very comfortable and beddings were clean and soft. We got a single King bed which is huge. I loved our stay here and would stay again! The hotel staff are friendly and willing to help you. It is very close to Subway stops and just one block from the World Trade Center. Battery Park and Statue of Liberty is a couple of blocks away. If you want a upscale and quiet area, this is the hotel. It's not cheap, but you will get a super clean room with upscale flair. I have seen good rates for this property if you check around the different websites.	
Oct 11 2005	Good Value 	My husband and I stayed for a night at the Marriott Financial Center in mid-Sept 2005. We had tickets to see Spamalot, so took Amtrak down from Boston. I chose this hotel because we were able to get a government rate for $209 a night, which for NYC is excellent. Most of the other available hotel rooms for the night we were staying were at least twice as much. The hotel never asked to see any type of id to prove that we were eligible for a government rate.We had requested an early check-in and the hotel did try to accommodate us, however, they said they had so many other early check-ins that day that we were not able to get into our room until almost 3 pm.Our room was fine. It was clean and fairly large, with 2 double beds, an armoire with tv and honor bar (one of the ones where if you even remove an item, you are charged. Put it back, and you're charged again), and a desk and chair. The bathroom was okay, but the lighting was terrible and there was no light over the tub, which made it quite dark when taking a shower. I could hear quests talking in their rooms when I walked down the hall, but I did not hear other guests when we were in our room. The ice machine for our floor was located right outside our room door (which I found to be an odd location), and I was afraid that we would hear it all night, but either no one wanted ice, or it was not as loud as I had feared.The hotel is about 2 blocks from Battery Park and the site of the World Trade Center, both easy walks. It is also near a subway stop, and it's a short ride to Times Square.There is nothing really special about this hotel, but it's clean, the rooms are big enough, and the location is good. If I could get a reasonable price, I would definately stay here again.	
Sep 24 2005 	3-star hotel; 5-star prices	I stayed for six nights recently on business. Although very close to Wall Street, the hotel faces west to the Hudson River and you don’t feel you’re staying in Downtown Manhattan. Adjacent to the WTC site and to the World Financial Center offices, restaurants, shops and riverside walks.The hotel itself is nothing special at all. I guess around 30 years old (note the ugly metal box air-con / heater units in the rooms), and possibly a converted office block (internal bedroom walls are not brick or concrete – so plenty of scope to hear your neighbours’ televisions or other noise).I arrived around 11am on a Sunday after 22 hours of flying, and no room was available. My company had requested an early check-in, but I realised this could not be guaranteed. The receptionist was typically New York cold, matter-or-fact. When I asked when a room might be available, she shrugged “any time between 11 and 4”. I asked if there was somewhere I could wait and get a coffee and was told abruptly “there’s a seat over there [in the lobby] and breakfast is being served in Roy’s [the restaurant]”. Not wanting to spend up to five hours sat in the lobby, and not wanting to eat another breakfast, I went out to watch the 9/11 commemoration ceremony at the WTC site. That was after having persuaded a senior receptionist to try and get a room for me by noon which, thankfully, did happen.The room was quite long but narrow (see attached photos), so the beds had to be short to fit in. Windows on two sides, which would have offered nice views had they not been so dirty on the outside. Drab and dated colour scheme, 1970s furnishings, and a tiny desk that was cluttered with a phone, modem box, in-house advertising, and so narrow – 20 inches – that it would be impossible to work at in the small amount of space left. TV with enough channels and clear reception. The bed itself was comfortable but the covers, although clean, looked like they had been in use for 20 years. Likewise the towels – old, hard, and in some cases frayed. Bathroom was clean enough but with only a shallow bath tub and no lighting in the bath/shower area. For the room as a whole, no central lighting control at bed-side, or anywhere else for that matter, so entering and leaving the room always involved a tour round various lamp stands and wall switches. The fridge is of the auto-charging variety – you only have to take an item out to inspect it, and it’s charged to your bill. The contents is arranged such that it completely fills the fridge, neatly discouraging the guest from buying items at one-third the cost from outside and daring to house them in the fridge.As I was on business and did need to work from the room, I asked if I could move to a less narrow room that may have had space for a less narrow desk. The move happened the following evening and I was “upgraded” to a room that they sell for USD 500 a night, according to the receptionist. This was a bit larger than the original room, but exactly the same features inside, including the same narrow desk. It had a view of the Statue of Liberty - other reviewers have commented on this as a plus-point, but it’s so far in the distance through the haze, that I didn’t even bother to take a photo.On the positive side, the buffet breakfast in Roy’s is good, as is usually the case in NY hotels, and the staff were pleasant enough. I also enjoyed a light meal (“light” by American standards, a full meal for anyone else) and drink in the West 85 bar.I was staying on a discounted corporate rate but, even so, I found this hotel to be offering barely 3-star amenities by international, if not US, standards but at 5-star prices; the cramped and dated rooms and fixtures (other than the lobby) being offset slightly by satisfactory service levels from the staff, if you leave out the first receptionist I encountered. But I suppose all New York hotels charge sky-high prices so, relative to others in that city, perhaps it was not that bad.Would I willingly return again? For the location, perhaps; for the hotel itself, no.	
Sep 16 2005	Out of the hustle-bustle!	This is a great hotel. The beds were the most comfortable I have ever slept on! The staff was courteous, helpful, and friendly. And lower manhattan is a beautiful place to stay. Not hectic at all on the weekends--very laid back. No crowds at all, restaurants were practically empty during labor day weekend. People rollerblading and jogging near battery park. This area reminds me of the north part of downtown chicago--very elegant. I am sure it is much busier during business hours, since you are near Wall Street. You are within easy walking distance (by way of Rector Street) to 3 different subway lines to take you anywhere you need to go. I can't imagine staying in the jungle of midtown manhattan after staying here. The prices are cheaper and the rooms are spacious. Highly recommend this hotel.	
Sep 5 2005	Excellent stay at the Marriott Financial Center	We stayed at the Marriott in August 05 for 1 week.We had a double room and it was spacious enough for the family of 2 adults and 3 children.It was on the 20th floor with a view of the hudson river.The children enjoyed the swimming pool .The hotel staff were friendly and helpful.The service was excellent.Roys resturant and cocktail bar within hotel.Hotel near ground zero and subways. Felt safe around area during night because of police presence.I would recommend this hotel if you prefer to be away from the busy locations of midtown.Regular subway trains are a short ride to the midtown area.	
Aug 12 2005 	Very Pleased	Stayed here in May, 2005, for the TIA convention at Javits. Hotel was excellent. Staff, especially room service was exceptional. Roy's restaurant was great! Room was clean, spacious and well furnished with a great view of the harbor. Was little far from the Convention Center but our show had shuttle service so it was fine. Great location for visit to WTC, Century 21, Battery Park, Brooklyn Bridge, etc.. I LOVE NEW YORK!	
Aug 7 2005	Good option in NYC	Stayed at the Marriott Finanical Center a couple of weeks ago. Picked this location somewhat last minute because I was able to get a good weekend rate and the location is good. If you are particularly interested in lower Manhattan you can't beat this place. Also the service was excellent. I had several special requests and the hotel staff met each in prompt order. My only issue is the construction that is going on around the hotel and on the roadways. But given that the hotel is located next to Ground Zero is certainly understandable.	
Jul 17 2005	Perfect for a Christmas Trip	I stayed with my wife in this hotel for one week and we were very satisfied. The room was spacy, very clean with extremly comfortable beds and stylish furnitures. We had a room in the 23th floor and the view over the WFC and the Hudson River was wonderful. The front desk personal was very friendly and helpful and the location in the Financial District is not so bad for tourists, as we could read in some other reviews. The next Subway station is just a few walking minutes away. And over all we were surprised, how quiet the hotel is, probably the result of a good isolation between the rooms.	
Jul 17 2005	Very Nice	Stayed here for 3 days. Had a corner room with two queen beds. The hotel was very clean. The staff was excellent. Paid $169.00 per night over the weekend. The only drawback was that the pool was closed for renovation. However, they paid for our cab ride to Brooklyn Marriott so the children could swim.	
Jun 20 2005	Very Nice	Stayed one night this past weekend while moving our son into his apartment. Used valet parking which went quickly as did check in. Front desk was polite and accomodating - we were assigned the room type we requested (room 3010 on the 30th floor). The view of the Hudson River was spectacular. We couldn't see the Statue of Liberty as another building blocked it, but didn't mind at all. The room is traditional furniture &amp; offered a very comfy bed and a chair w/ottoman &amp; lamp for reading. Bathroom was clean and nice. I have already booked this hotel again. We paid $279.00 which included a great breakfast buffet plus $40.00 for parking. Didn't need to move the car until 5pm day of checkout, so we were able to buzz around all day by subway. We liked this hotel very much, but even better was the walk around Battery Park along the water and through gardens. This is across the street and two blocks over. The area is quiet. We used the subways with ease so the location, though away from uptown &amp; theaters, was not a problem.	
Jun 12 2005	Nothing Special	Wow, what a disappointment this hotel was. Checked in for a 3 night weekend stay to celebrate our 10 year anniversary. We decided to stay downtown this time to be closer to the shopping/restaurants in SoHo, the village, etc... The reviews of this hotel are so good, and my husband is a member of the Marriott rewards program, so I expected to be treated much better than we were. First, when checking in, I informed them that it was our anniversary, and asked if it were possible to get an upgraded room (and I was more than willing to pay the difference in price from the regular room). I was told &quot;no, all of our rooms are the same&quot;. Yeah, right! The room I was given was small (the website says the regular rooms are some 400 sq ft, but this was closer to 250!) and the bathroom was a joke (2 yelllow lights over the sink and NO LIGHTS in the shower!). Also, I had read that this hotel had been recently refurbished after the damage from 9/11, but this was clearly not the case. I called down to the front desk and asked to be moved to a different room, and preferably a newly renovated one. The response to this request from the front desk was &quot;we don't have any newly renovated rooms&quot;. Ok, whatever, I just wanted any other room and was moved to a room 4 floors lower that was pretty much identical. Small, tacky and very outdated.This hotel is fine for a business traveler, but don't make the mistake of staying here if you're looking for anything special. And even if staying for business, I would never pay more than $200 a night. It's simply not worth it and you can do better. We usually stay at the Rihga (Marriott) midtown, and let me assure you, it's an entirely different type of property, and well worth the small difference in price.One last thing I noticed is that eventhough I made the desk aware of our anniversary celebration, not one person on the staff congratulated us or went out of their way to acknowledge it. It's truly not a big deal, but very strange and, unfortunately, said a lot about the service (or lack of it).	
Jun 7 2005	Excellent value for NYC	The rooms are excellent, health club is above average - and location is quiet - just south of World Trade Center Site. Rooms on highest floors have viewsof Statue of Liberty. We were in a weekend special rate so we weren't high enough (24th floor) and couldn't see it - but I heard if you're up at the top of the hotel (40th floor and higher) there are beautiful NY Bay views. We prefer to be closer to the Theatre District - but no rooms at moderate rates were available there when we made our reservations - after all - it was Memorial Day Weekend. Make sure if you stay here on weekend rate get a rate that includes breakfast/brunch. Their Sunday brunch is tremendous and is normally some $20 per person - a good deal in itself - but with the weekend special it's only $10-$20 extra for the entire room. Don't stay here if you depend on taxis as it's a $20 fare with tip to the theatre district and going back and forth th mid-town will get pricy - but the subway stop is a short walk so if you can handle the subway this hotel is fine. But if you're going to be in the financial district area - you just can't beat this hotel.	
May 27 2005	Excellent Hotel	My husband and I celebrated our wedding anniversary in NYC. The travel agent booked the Marriot Financial Center. Because of 911 and the commute to mid-town, we thought it would be a disaster. In turned out to be an excellent hotel. The accomodations were very clean and service was outstanding. I highly recommend this hotel! Dr. in South Florida	
May 7 2005	Excellent Downtown Hotel	Stayed in this hotel in 1997 and loved it, so much so that I booked it again as a surprise for my mum for April. Unfortunately only 1 room was booked for us by our booking agent when 2 had been reserved. We had problems at check-in and would have liked the reception staff to be a bit more helpful especially as I had e-mailed customer services to let them know of the situation beforehand, but reception said they had no notes at all.Total waste of time. It kinda took the edge off the first night as we had just spent 13 nights in Vegas and hoped the next 2 nights would be as enjoyable before returning home. Our rooms were lovely though, with excellent views on 25th floor. Even after all our check-in hassle, we really enjoyed our stay. The hotel is in an excellent position for downtown NYC, with Ground Zero, Century 21 and Canal Street just minutes walk away. There are alot more eating and drinking places around this area now and really cheap too which makes this hotel an ideal place to stay when in New York.Definately recommend and stay again.	
Apr 26 2005	****Awesome***	We just returned from a 10 day stay at New York Marriott Financial Center. This was the most amazing place. I was traveling with my entire family including 2 children under 10. It started with allowing us to check in early because of our red-eye flight from California. We were in our rooms by 9:30 am. Of course the staff were friendly, accomodating and pleasant. We got to the rooms and all I can say is &quot;Large&quot; We have stayed at several hotels in Manhattan and they were not much bigger than closets....I was pleasantly surprised. Unfortunately, there was no dresser for storage but you can get over that real quick when you see the view. We had rooms on the 31 floor with excellent views of the Hudson, Battery Park, Lady Liberty and Ellis Island. The beds were awesome! My kids loved the indoor pool and I enjoyed the fitness facility. The location was perfect, you were away from the hustle and bustle, but yet just a short subway ride to the excitement. The subway is conveniently located just around the corner. We will stay at this Marriott again. We got a tremendous rate of $145 and were not disappointed. This was classic Marriott style!The Bell and Door men were so pleasant, and they loved seeing our smiling faces everyday return. They worked tirelessly to make sure our trip was good and free from negative incidents. You won't be disappointed.	
Apr 26 2005	Can't beat the Marriott	The Marriott in the Fianancial District was the best. We really wanted to stay uptown but the rates kept us downtown. My first New York experience was staying at the Marriott Marquis, but that was when I did not have to foot the bill!! Prime location, especially when you are 19 and single (living off of mom and dad) was definately needed back then. And the Marquis was the best. But now travelling with children; security, cleanliness and budget comes first. We were pleasantly surprised by this hotel. We were in a great location! We could see the World Trade site from the hallway while awaiting the elevator. The HUGE discount department store 21 was very near the hotel as were the subway stations! It was very easy to catch a cab by the help of the bellman. The conceirge helped us with finding Bubby's restaurant in Tribeca. And even when it was pouring down rain, the front desk gave us nice umbrellas!! Location is everything and surprisingly the Marriott was the best location to suit our needs. We left the hotel early every morning and returned after 10 PM every evening. I felt very safe and secure. We shopped and dined all day and when it was time to retire, it was nice to return to a quiet uncrowded area to unwind. We ate the breakfast buffet in the morning, a bit pricey at $20 per person (children were half price). The spread was fantastic, though. Everything you would ever want, from fresh fruit to made to order omelets. The fitness center and pool were very nice also. The entire hotel was spotless. We stayed in the corner room with 2 queen beds and plenty of space to spread out.There was a nice bureau and a desk with a chair and a lounging chair. The beds were out of this world comfy!!! The bathroom was full sized and very euro chic. And most importantly, CLEAN!! All in all, I have not one bad thing to write about the Marriott Financial District!	
Apr 24 2005 	Best Kept Secret In NYC	I love this hotel. I have stayed 5 times since it re-opened in January 2002(it was damaged in the 9/11 attacks). If you book at Marriots Website you can usually get the weekend rate (Thursday night checking out Monday morning) for $189.00For $189.00 in Manhattan your get a 5 star hotel, with great rooms and a friendly staff. Great Views of the Hudson and Statue of Liberty. Close to Battery Park, SoHo, Greenwich Village, and the subway.If you are a tourist it is in the finacial disctrict so you have to take a cab ride, bus tour or the subway a little more but it is worth it!!!!! You really aren't that far from Time Square, Broadway or Central Park.I have stayed at about 10 diffent NYC hotels and this is by far the best for the price.	
Apr 11 2005	Wonderful Experience	Family of four (including rambunctious 7 yo) had a great stay. Got a room on the 30th with a view of Statue of Liberty. Room was excellent, Staff was friendly and helpful. Pool was decent size with steam room and well equiped gym. Location was ideal. 1 block from Ground Zero. 5 minutes walk from ferry to Statue of liberty. 10 mins by subway to Times square and the mid town action but far away enough to sleep peacefully.Would very highly recommend especially if you can get the buffet breakfast included. Valet parking was $40/night (this is New York) but at least the car came back in one piece. Actually neighborhood was very safe late in to the night	
Apr 7 2005	Stayed there 31st - 4 April 2005	My self and family have just got back from this hotel and had 2 rooms with connecting doors. Can't really fault this hotel, we only had standard rooms but still had a view out front of the Hudson from the 28th floor.The beds are exceptionally comfortable and bathrooms of an excellent standard.Should you decide to have the breakfast in the hotel restaurant (Roys) then you won't be disappointed. You can either choose set breakfast meals or like us go for the buffet at about $18 a head.Unlimited coffee, masses amount of hot and cold things to choose from cereal, porridge, croissants to bacon, sausage, potatoes etc.There is even a couple of chefs on hand to take your orders for additional things like pancakes, waffles, eggs and hash browns, all in the buffet price.There is a subway station very close (Rector Street) and in fact Courtland Street subway is very close adjacent to the WTC site and Century 21 shop.If you want to stay downtown you won't be disappointed here.It does have a fitness room and indoor pool but we didn't see them.	
Feb 28 2005	Excellent hotel!	Just stayed at the Marriott Financial this past weekend 2/25/05-2/27/05. Very nice hotel, clean, quiet, nice staff and felt very safe (saw security walking the floors). We were in a spacious corner room looking over the harbor and battery park.. The best features were the fabulous breakfast buffet with made to order waffles and omelets, swimming pool for the kids, very comfortable beds and friendly staff. It’s a little bit away from the hustle and bustle – which is good if you want to wind down. Drove in and it was easy to find and the car was very close by in a monitored lot. All in all a very nice comfortable hotel. Will definitely stay there again.	
Feb 25 2005	Comfortable Cosy and Great Value	We stayed at the Marriott for 3 nights in February 2005 and can throughly recommend it! The weather was absolutely freezing cold, but the rooms were warm, comfortable, spacious and spotlessly clean - a real pleasure to come back to - especially after a day spent pounding the snow covered pavements of Manhattan.We had great views from our 24th &amp; 25th floor rooms of the Empire State Building and the Hudson River - fantastic at night-time!As first time tourists from the UK, we found the location absolutely ideal - away from the hustle and bustle (and somewhat dodgy hotel rooms) of Midtown, yet only a short direct (no changes) hop on the subway to Times Square and onwards to Central Park. (Rector Street subway line is literally round the corner, and a $2 fare takes you directly to Times Square in less than 10 minutes) We also found that the sites of Downtown were easily accessible - Wall Street and the NY stock exchange a few minutes away, Battery Park a short stroll, and the new South Ferry port closeby. An absolute must do is Staton Island Ferry ride from South Ferry to Staton Island and back again...you have the most fabulous views of Manhattan - we did it by night and was probably the best memory we have of the visit - and its free!! Great photo opportunities!We took the special &quot;stay for breakfast&quot; deal booked directly with Marriott hotels website. We paid $169 per room, including breakfast for two - and what a breakfast!! Its a full buffet, with items cooked to order, fresh fruit, fresh bakery items, cereals, juices, coffee...you name, you get it! Fantastic value - we all loved it!The children loved the pool - small but perfectly formed, and open sensible hours.Overall we had a fabulous time - just one word of caution, keep inquisitive fingers away from the mini-bar! The chocolate is too much of a temptation for children not to lift out - and it immediately registers with reception for a charge to your account. If lifted out by mistake reception will immediately and courteously reverse the charge - but better not to do it in the first place!Highly recommended - perfect for a busy family weekend exploring NYC!	
Feb 9 2005	A very comfortable stay for New York	I have stayed in bad NYC hotels before, as I think most people have, which is why I appreciated this one so thoroughly. The staff was friendly and helpful. The rooms were spacious, extremely spacious for New York. The bed was one of the most comfortable that I have slept on. It had a nice down feather bed and down pillows. Everything was clean and looked fresh, not faded. We had nice views of the harbor from our room, and the area felt safe and was quiet-good for sleeping. There was also an indoor pool and sauna, which is rare for NYC. The lobby was clean and pleasantly decorated. If this hotel were in another city, I would rate it above average, but since it is in NYC, I rate it as excellent. I was very happy to have selected this hotel. 	
