	good for leisure great location at a reasonable price	Room was clean and pretty big for NYC standards, TV, hair dryer, additional blankets and all first necessities were available. Only negative note: we saw several reception staff, friendly and not, but generally not prepared to give information of any sort. Overall if your purpose is tourism and your main need is a reasonable but confy room, then you're in the right place.	
Jan 21 2006	Murray Hill East Suites	Enjoyed a 2 room suite with a small kitchen very much. Sooooo much room--you definitely don't feel like you are in New York. I think I got the room on priceline--can't remember. Anyway the first room smelled terribly of enamel paint. I have asthma so asked for a different room. Somebody was complaining that their room smelled like smoke and I switched. I didn't think it smelled like smoke. So altho it seeme3d like various people have small complaints once my room was switched I was completely and totally pleased. The kitchen was really cute in a room by itself about the size of a bathroom. So much closet space my goodness! I think we were on the 10th or 11th floor. We kept the windows open and listened to the taxis honking every morning. Enjoyed getting pizza delivered there too! Seemed like a much better room that you would get in a boutique hotel on the east side or near NYU. Interesting bakery/catering place across the street, a diner a 1/2 block away, and a couple of Italian restaurants and a small convenience store within 1 block. Took a cab to Zabars which has Feline's Basement across the street and a bagel shop in the same block.	
Jan 2 2006 	Convenient clean 	I've stayed at Murray Hill twice in the past year. As an ex-New Yorker, I love being NOT in Times Square, but in a more residential/normal retail part of town. Grand Central is just a few blocks away, and there are restaurants &amp; delis all over the place. Both my rooms have been clean and comfortable. Decor isn't the most modern (think your aunt from the upper east side) but I love the extra space and the dining room table. It's been a perfect place for business trips - easy to get to and from almost anywhere in the city.	
Dec 27 2005	Great place to stay with family	We recently stayed at Murray Suites from 20-22 December with three small children and three adults. The two bedroom suite was a perfect fit for the family. The rate for the room was $105 a night for two nights through priceline, however this was for a one bedroom king without a pull-out couch. The manager on duty, seeing a family of six in the lobby instructed us that an upgrade would be 40 dollars additional each night. Part of me was hoping for a free upgrade, but that same part of me was hoping for free parking. (doesn't happen) Rooms have a complete kitchenette and a microwave is available from 8am-4pm.	
Dec 24 2005	Truly a great find!	We just returned from 5 days at the Murry Hill Suites and had a wonderful experience there. The staff was very friendly and helpful. The housekeeping service did a great job of maintaining our room. They supplied us with lots of towels, sheets, blankets and pillows. We tipped them generously. Our decor was very nice. The king bed was excellent. The queen mattress on the couch bed could have been updated. The noise level for NY City was fine. The location was within walking distance of a lot of attractions. And since we were there during the transit strike, we did a lot of walking! We just liked their quiet, relaxed and modest style of doing business. Even Ray in reservations was very helpful with rates, directions, places to see, special needs, etc. We will surely stay at Murry Hill Suites whenever we visit NY City again. Truly a great find! Thank you!	
Dec 19 2005	This is a Great Place	My teenage daughter and I stayed in the Murray Hill East Suites on a trip to New York in July. For our needs it was fantastic. No, it's not the Ritz, but our large room/suite was clean and nicely furnished. I loved having a living and dining area in which to relax after a long day of sightseeing. The bathroom was recently renovated, and the fully equipped kitchen was fabulous. The staff was very friendly, and we felt extremely safe. The location is also a plus. A three block walk to Grand Central Station could get us to anywhere in the city. There were also numerous restaurants and grocery stores nearby. Needless to say, I would definitely stay there again.	
Dec 18 2005	Loved Murray Hill East Suites	I loved the location. We rented the one bedroom suite. It was VERY spacious, of course the outdated decor could be redone (but it was clean and well kept) and for $200.00 a night during the holiday season you can not find a hotel in a better location! Within walking distance to Time Square and Rockefeller Center...The staff was top notch! They allowed us a late check out! The manager was very helpful as well! I would stay here again! Nice lobby! I think you will be well pleased with the hotel for a business or family trip!	
Dec 12 2005	Fab apartments	My sisters and I stayed in the Murray Hill Suites during our stay in Manhattan. It is one of the nicest apartments I have stayed in. The kitchen is really well equipped, it even as a dishwasher. The apartments are a really good size and the bed was huge. there is maid service daily, which meant a clean apartments and lots of fresh towels. The apartment also has quite a good fitness centre for those who are not worn out by walking around Manhattan.	
Nov 24 2005 	We will return!	I liked this place and will return. I gave it an excellent because for a 3 star hotel, it was way better then I had expected. We booked the one bedroom apartment thru apartments2book and everything went smoothly. We stayed there 6 days including the Sunday of marathon weekend so prices were high all over the city, but this was less $$ then nearly every hotel and we had room for 6. Even though they were very busy, we did not experience any problems. Check-in/check-out only took about 5 minutes and they gave us an extended check-out due to our later flight departure. The rooms were spacious and very clean.The housekeeping staff was polite and unobtrusive. Having a kitchen helped us save money by reheating leftovers. Daniels Bagels is only a couple blocks away and Patsy's Pizzaria is a bit of a walk but well worth it. We tend to use hotels merely as sleeping quarters as we like to explore, but this place was so comfortable we spent a couple evenings inside reading, planning our next day, etc. We're pretty low maintenance and don't require a lot of help so didn't have a lot of interaction with the staff, but when we did, they were courteous. The only negative I can think of is that our 8th floor apartment was above a doggie day care which had a play area on the roof. We had a couple morning wake up calls from the excited dogs on their morning romp. Since I have dogs myself, it really wasn't a big deal to me, but it may annoy some people. All in all a very, very pleasant experience.	
Nov 15 2005	Loved it!!!!!	I stayed at Murray Hill East with 2 other friends and we were very impressed!!! From the friendly staff (VERY nice door man) to the super clean rooms!! The rooms were huge with a nice view of the Empire State Building (if your window faces the right way). Grand Central was within walking distance and we were able to get around no problem! I would definitley stay here again!!	
Nov 2 2005	Only Impressed w/ the Price	Stayed with some friends here recently. Thought we would splurge a little with the location - which was nice, in all fairness. That was the only plus: we found front desk staff to be unhelpful and generally unpleasant, and there was just one person on all the time, so we always had to wait forever (this is NYC!). Also, our room had a leaking sink that went all over the bathroom floor. The best was definitely the absolute lack of soundproofing; we all woke up in a panic one night thinking someone was getting killed down the hallway when, in reality, it was just someone laughing. What hotel in any city hasn't figured out the concept of cutting down on noise traveling so as not to irritate hotel guests?? So I guess the only impressive thing, really, was the price. I would NOT stay here again...did I mention they also need to seriously redecorate and update their style?	
Oct 31 2005	Terrific Place to Stay	I am a former NY'er who goes home for visits frequently for at least a week at time. I hate hotels so I look for apartments or apartment-like accommodations. I got this through a travel deal on Orbitz and I could not have been happier. Much better than the place I have been staying in previously, which I will not name but which I will never go back to again now that I have found the Murray Hill!!We had a one bedroom suite - huge, this place obviously used to be an apartment building and I sure wouldn't mind living in an apartment like this! I love the bathroom (it's bigger than the one in my home)and has nifty art deco lights. The bathroom was white and green and the green theme continued throughout the apartment. Dark green carpet and the bed linens were also in the green hue. If you are looking for shiny new modern, then this is not the place for you. BUT if you are looking for large, comfortable, CLEAN, convenient accommodations, you can't beat this place.The kitchen has a dishwasher, some very basic pots and pans (not new but clean and they did the job). No toaster or microwave. The coffee pot is small and since we were there for a week and my husband drinks a lot of coffee we bought a larger coffee pot and 2 large mugs. No big deal to us. We had brought our own coffee and coffee pot filters.We never had any reason to call the front desk for anything and checking in and out was a breeze. The doormen were all charming, the housekeeping staff pleasant.Since I'm from NYC, I was very familiar with the neighborhood (having worked in the area for many years)tons of stores, a short walk to Grand Central,All in all, I'm loving it!We WILL be back!!!	
Oct 25 2005 	Not great but not bad	Three women traveling together, we booked at the last minute and had a heckuva time finding a hotel under $300 that would give us three beds or two beds and a rollaway. Finally found the Murray Hill Suites using Apartments2Book and got a suite with one big bedroom (with two double beds) and then a sleeper sofa in the living room.Price seemed good at $209.The suite was quite big by NYC standards. Galley kitchen was decent sized by NYC standards. Bathroom was a little tight. Closets galore. Two tvs (one in bedroom, one in living room). Squeaky clean. Towels on the thin side.My biggest disappointment was that the location was nothing special. We felt safe, and we could see the top of the Empire State Building from the living room window--that was very cool--but otherwise the hotel was on a nondescript street and the immediate neighborhood is not particularly vibrant or overly prosperous looking. I have stayed before in Times Square and that was much more fun. And, as we rode through the city on the bus and walked we saw other neighborhoods that were more prosperous-looking, and I was a wee bit jealous of folks staying in those neighborhoods. Will try for those neighborhoods next time.Each morning we walked two blocks to an excellent bagel place--Daniel's Bagels on 3rd avenue--and there were plenty of drug stores, grocery stores nearby. We were told about good restaurants in the neighborhood, but ate lunch and dinner in other neighborhoods where we happened to be at the time.Being in between Lexington and 3rd gave us great access to north and south buses, but a longish (about four blocks) walk to the subway -- I'm spoiled having stayed much closer to subways in the past. Good that the closest subway is Grand Central; we had no problems getting anywhere from there.Street would probably be considered quiet by NYC standards. Definitely an apartment building in a prior life. Has a real apartment building feel, not a hotel feel. Exterior is dated--1950s?The wait on check-in was painfully long with only one desk clerk on duty. We never saw more than one person at the front desk so it's probably a common problem. I was #3 in line when I walked in, but the clerk was so slow that the line grew to at least ten people while I was waiting.Had a snafu on check-in. I was given the key to 307, I unpacked, then fell asleep on the sofa as I waited for my other two travel companions to arrive. Was awoken by two Kiwi women opening my door as they had been given the same room. Called front desk and the clerk told me I was supposed to be in 208. When I said I had a key to 307 and had already unpacked, would he please put these women in 208, he relented and said he would &quot;fix&quot; it in the computer. However, when my traveling companions arrived, they were given a key to 208 and they walked in on the Kiwi folks. The Kiwis figured it out, told them to try 307, and again the front desk said he would fix it in the computer. When we checked out the clerk gave us the bill for #208. Not a huge deal, but I didn't understand why the mix-up was so difficult to cure.We had no problems getting adequate linens for the sofa bed.	
Oct 17 2005	Murray Hill East-Very Solid Experience	My wife and I just returned from a weekend in NYC. We stayed at the Murray Hill Ease Suites on 39th between Lexington and 3rd Ave. We truly enjoyed our stay. The room was a large L-shaped efficiency with a wall of windows, and contained a living room setup (couch, chair coffee table, TV) a small kitchen w/ fridge, sink and appliances and a queen-sized bed. There were tons of closets, and a small to average-sized bathroom. The room's decor was a bit outdated, but very clean and neat. The hotel seems more like a small apartment building than a hotel. We paid $170/night on Priceline and it felt like a bargain. The staff was courteous and even gave us an extended checkout time at the last minute. The Murray Hill area is relatively quiet by NYC standards and there were plenty of restaurants, bars, and coffee shops close by. The hotel itself has no restaurant or bar, and that is a negative for some, but it didn't faze us in the least. It seems like it would be an affordable option for a family, but if your looking for a bunch of ammenities or a romantic hotel, you'd probably do better elsewhere. I would definately recommend the Murray Hill East and wouldn't hesitate to stay there in the future.	
Oct 13 2005	Amazing price - Clean! - awesome location - no better deal in NYC	We've been to NYC quite a bit w/ lots of friends living there. Usually we stay at the Omni Berkshire or Lucerne. But Murray Hill East was the best hotel for the money that we've ever stayed at. HUGE rooms, VERY clean and awesome location. It's NOT a 4 star hotel though and the linens and towels are a little threadbare but it was spotless!! (a good solid 2 or 3 star) Kitchen was cleaned every day. I'm in public health and am a bit of a freak about cleanliness - this was really REALLY good. Very quiet street, near Mexican embassy. 3 blocks from Grand Central, 4 or 5 from NY public library. Easy walk to Theater district or uptown.I can understand how people have had problems before....the front desk wasn't great. Not helpful with directions or dining recommendations and didn't even have a Zagat's to look at for restaurant info. I overheard a guy saying his A/C didn't work and another said they gave him a key to a room that was occupied. But we had no problems. Great for families, great value and clean! We'll stay again!	
Oct 10 2005	Good choice for a good price!	We stayed here for a Fri-Sunday trip and it was a great choice! I booked it from the &quot;name-your-own-price&quot; website. The listed it as a 2-star hotel but it was much better than that! The checkin was fast and easy. It was strange that in 2005 a hotel has &quot;real&quot; keys for the doors and an old-school elevator but the amenities were mostly modern. The TV Remote was very basic but met the needs just fine.The room itself was very clean and comfortable. As all the rooms are suites, the kitchen area was complete with dishes/oven/stove with a microwave available on request- our short trip only made use of the fridge and the sink. The surrounding neighborhood is a tree-line quiet location overall. The only drawback was the short walk to the nearest subway- Grand Central is 3-4 blocks away (42nd and Lexington- hotel is on 39th between Lex and 3rd). Otherwise, I'd gladly stay there again!!	
Sep 28 2005	Great Place To Stay!	Very large rooms, especially for the money in the city. The rooms (most importantly) were great. Small kitchenette with stove and fridge (no microwave), large dinning area, living area (comfortable couch and chair - a small TV, but wasnt in the room much, so that was fine.) Large bedroom area, with a decent view, LOTS of storage, and average bathroom. Serivce was standard. The only minus' were the hallways are tight and dark, and elevator is a little slow.Great location, just minutes by foot to Grand Central, and in a nice, quite neighboorhood. Street vendors selling goods 1 block away was great, and dinners abound within a short walk. We will stay here again!	
Sep 28 2005	feels like a home away from home	The front desk was very professional and accommodating. Overall hotel was very clean and the suites were very spacious and nice.	
Sep 26 2005 	Convenient and comfortable	I have stayed in many hotels in midtown Manhattan but this will be my homebase from now on. The suite is very roomy and comfortable--as a business traveler, I enjoyed being able to spread my work on the desk and make the living room my office. The kitchenette was convenient and the nice grocery store around the corner on 3rd made it even easier to eat on the cheap. The only drawback to the kitchen was the lack of a microwave. This is the best price per square foot you'll find!My first floor room actually betrayed its apartment origins with a large unfurnished patio. The doorman was prompt and courteous, the staff friendly and knowledgeable. Grand Central Station is the nearest subway station--if you're unfamiliar with the area, look for the subtle entrance directly on Lexington Avenue just after you cross 42nd on the right. This will save you a half block. I was able to easily walk to both the Flatiron and the theatre district (20-30 minutes). The immediate dining options are mediocre (Saga on Lexington was good but the help was disguntled).	
Sep 25 2005	Loved the kitchenette! Quiet in NYC!	The hotel was great. We had a king size bed, and a pull out sofa. We also had a small kitchenette which came in very handy for left-overs, water bottles and such. The front-desk people were very nice and check-in and check-out went very smoothly. Everything was very clean.	
Sep 11 2005	Poor Service	We booked 3 adults. (2 beds and a pull out couch). When we arrived there were no linens for the pull out couch. We told the front desk and they said they would take care of it and have someone bring some sheets and pillows up. So we trusted this and went out to visit the town. When we got back at 4am, there were still no linens for the pull out couch. We told the front desk that we STILL do not have any linens. We were then informed that they do not have any more left. Apparently this hotel does not have enough linens to supply for all their guests. Needless to say it was a restless night. If you want to sleep without sheets and a pillow....this is the hotel for you.	
Sep 1 2005	Quiet large rooms and good location	Good price and good quiet location. Nothing fancy. Room had a small kitchen area and our room was at the back of the building which was super quiet on the 10th floor. Couple of good bars around the corner. Check out the Black Sheep for a beer.	
Aug 12 2005	Clean Convenient Responsive	We're a family of four with an 18-year-old and a 15-year old and just returned from a four-night stay at Murray Hill East Suites. We purchased an air/hotel package via Priceline and, when we arrived at the hotel, a quick hop, skip and jump on a Sunday afternoon from LaGuardia Airport, our two reserved rooms were not quite right. The kids' room had only one bed, not an option for teenaged brother and sister. The hotel's solution to our problem was an upgrade, not only up seven floors to the more-quiet and less-populated 12th floor, but to a huge, two-bedroom, two-bath suite with a balcony - a room worth twice what we paid for both of the original rooms. Each of the bathrooms had a vanity table with a chair and lighted magnifying mirror. Plenty of closet space, extra pillows, sufficient kitchen utensils and wares. (I don't hold it against them that there was no potholder or cookie sheet in the kitchenette!) There wasn't a single significant thing wrong with the hotel. Yes, the elevators are old and slow and the dishwasher didn't clean anything in the top rack, the tub in the master bedroom drained too slowly and the view from the balcony was laughable, but every surface in our suite was scrupulously clean and that's the most important thing as far as I'm concerned. I didn't see a single bug the entire time. The staff were friendly and helpful, the service was responsive and the location of the hotel is almost ideal - three short blocks to the subway and less than that to a grocery store, a drug store, a liquor store and seemingly infinite places to eat and, yes, even dine. The area doesn't have exactly the ambiance I expected - it's more commercial and tourist-heavy than I expected - but for this I blame my own ignorance of NYC. The other guests at the hotel seemed classy and content, no sleaze, no trouble, just the quiet comings and goings of business types and other vacationers. For a two or two-and-a-half star hotel, this place was way above average and we'd stay there again without hesitation.	
Jul 31 2005 	call ahead if you want non-smoking!	I got a 1-person deal on hotwire for about $169 +tax for 4 days in late July 2005. The room could easily fit 2 people, with a couch (not sure if it was a sleeper), comfy easy chair, smallish TV w/cable, coffee table, small desk (no internet access). Lots of storage: dresser, 3 closets, lots of hangers, ironing board, (leaky) iron, etc. It's mainly families, but quiet nonetheless. In a non-touristy neighborhood, near drugstores, groceries, Grand Central. Don't forget to ask for the toaster and microwave before you go! Basic kitchenware is provided but in cabinets so high I could barely reach them (ok, so I'm only 5'2.)My complaints: 1) Grubby, itchy blankets, lumpy bed, shapeless pillows. Please spend some money on these, hotel owners! 2) I asked for nonsmoking when I got there. The clerk offered me a ground floor rm, then a room on a &quot;smoking floor.&quot; This room reeked, of course. I was finally given a nonsmoking room, which didn't smell--unless I turned the a/c off and opened the window--it then stunk of cigarette smoke.	
Jul 28 2005	Nice Clean Hotel	I stayed at this hotel with a friend for a few nights. Got a GREAT price on it through priceline, and was very impressed. The staff was polite, the room was VERY large, and clean. The decor was a little outdated, but that was not a big deal to us. The location is great, and it's within walking distance of Grand Central Station. Would definately stay there again!	
Jul 19 2005	Murray Hill East Suites- Great Find!	This apartment is an unbelievable find. By Manhattan standards, this place is huge! Our NY friends' jaws dropped when they saw it. The neighborhood was great, too. Less than 3 short blocks to grand Central Station, you can get uptown or downtown easily or even catch a one-minute shuttle to Times Square. Or, it's a nice 10-15-minute walk to Times Square and the theatre district. We (5 females) felt very safe walking around the neighborhood at night. There was plenty of grocery/deli stores within 3 blocks as well as late night pub food available.The apartment is clean, the hotel lobby is adequate and has a clean restroom which came in handy because we had 5 females in a one bathroom apt! :) The laundry room and small gym are great if stayimg for awhile. The staff was very helpful and professional.The apartment is huge and clean. We found that the rooms had been kept up well-- no rusty, leaky sinks or tubs-- or grout. The carpet was very clean for a hotel room. The kitchen had basic cooking utensils and pots and pans, a dishwasher, toaster, and regular-sized fridge. The living/dining area was plenty big and could easily accomodate a rollaway if needed. We had all kinds of room to stash packages in corners or behind chairs. The sofa pulls out into a double bad. There was a table with 4 chairs, too. There was a nice big closet. The bedroom was certainly big enough, with plenty more closet space and dressers. The two double beds were very comfortable, with a nice spread.We found it very quiet at night, yet passed a party next door onthe way in to our room for the night. It sounded loud from the hallway but we heard absolutely nothing in our room.I really needed to have Internet connectivity each morning before everyone woke up, but the building is not broadband enabled. I could walk to the corner to a Starbucks or walk a few blocks to beautiful Bryant Park to do an hour of work while New York woke up. Next to the library, it has free broadband for everyone. I never missed a day because it was such a pleasure.Oh, did I mention, the price was much better than most crackerbox hotels? I wouldn't hesitate to recommend this place to anyone and will stay there again myself.	
Jul 6 2005	Very good place I love it	Very good place. Easy to find. Nice people (especially one - dark brown hair, lovely and sweet young lady at the reception desk). Close to good restaurants and pubs. Little bit far from subway but it is not a real problem. Clean rooms at a decent price. Change bad and clean room every day. Always fresh towels. There was a kitchen in my romm equipped with coffee maker, oven, glasses etc. Very important in extremely expensive city. I paid for a single room but there was king bad and a sofa - amazing.	
Jul 4 2005	Home away from home	I booked it through hotwire.com for $120.00 a night. Good price for 3 start hotel near 4th of july. It was a suite with full kitchen with king size bed &amp; a separate bedroom. Good for a family vacation.Room was nice and clean. Nice place to stay in Manhattan.	
Jun 13 2005	Couldn't Even Fix the Toilet!	We were very excited by the Murray Hill East Suites Hotel when we first arrived. We were upgraded to a bigger room when we checked in (for an unknown reason) and were thrilled with the large living room, kitchen and two-bed bedroom. The location is absolutely first rate...three blocks from Grand Central Station which can lead you anywhere in NY City, and there are dozens of places to eat, especially a gorgeous deli about a block and a half away. The massive problem we faced concerned our toilet! It wouldn't flush without overflowing. When we asked to have it fixed, the front desk sent the doorman in with a plunger. We were told that there was no maintenence person on duty to fix it! We realized that the toilet was not clogged, but that it must have a more serious problem. Each day we asked the management to have the toilet fixed, and each day, it wasn't. On the third day, we were told, that there was &quot;nothing we can do for you&quot;! We were forced to use the lobby bathroom the entire four days we were in New York! No one ever offered to find us a room with working plumbing, and we were given no compensation for putting up with their disineterested staff. Only the doorman was pleasant, and he was the one who kept being sent in with a plunger! I think that the staff at this hotel - with the exception of the doormen - kills the otherwise excellent experience at this hotel. For that reason, I would never recommend this hotel to anyone!	
Jun 7 2005	Not horrible not great either	My daughter (13) and I stayed at the Murrary Hill May 29 thru June 5th. Our first bad experience was with the front desk clerk. We checked in around 4pm, were told the room was not quite ready, and given keys and sent up to the room. &quot;Not quite ready&quot; was a huge understatement. The room was totally trashed from the previous users, dirty dishes, unmade bed, trash, bad smell. When I went back down to the lobby the desk clerk said &quot;I told you the room wasn't ready&quot;. Very deadpan, unpleasant individual, I ended up in an argument with him, bad way to start a 5 night stay. Thankfully we did not see him except that one time.The rooms we saw on the website were large, with separate bed and living quarters, and a kitchen. We got a large room with a couch and eating table in it, and a small kitchen. When we asked for a separate bedroom, because my daughter went to bed a lot earlier than me, but it was made clear that we were priceline customers, and could not upgrade. Our rate was 120.00 per night. The bathroom was small but nicely updated. The doormen were very nice, the maidservice was good. Elevators are small but adequate, the gym is nice, and the laundry room came in handy, 1.50 to wash and 1.50 to dry. The dryers get really hot so be carefull with your delicates! All in all was not terribly impressed. Past the lobby it seemed like a Motel 6 or any other lower end room. But I guess that's New York. The W down the street looks so much better.	
Jun 5 2005	Wonderful hotel	This is an excellent value, not just for New York City, but for any location. The entire staff, with the exception of one desk clerk, was polite, responsive and helpful. We were upgraded from a one room suite to 2 huge rooms, plus separate kitchenette. Everything was shiny and clean. And the location is unbeatable. Murray Hill is a mostly residential area, but markets, restaurants, Grand Central Station and 5th Avenue are close by. I will definitely stay there the next time I visit NYC.	
May 25 2005	Excellent experience at Murray Hill	I returned from a weekend stay in NYC and stayed at the Murray Hill on May 21 -23, 2005. Due to the U2 concert at MSG, prices for hotel rooms in NYC were out of control - and I was unable to get a GREAT deal on this room - like so many other Priceline users. Nevertheless, I was very pleasantly surprized upon arriving to my room, which was upgraded to a one bedroom suite. It was huge, especially for NYC. The main room was extremely spacious and the bathroom was exceptionally clean and looks like it has been recently renovated.The location is perfect for shoppers like me and is located in a quiet neighbourhood - I had no trouble walking back to the hotel even in the early morning hours.I would definitely return to the Murray Hill - especially if I could get the same room as this for $100.	
May 21 2005	Uncorteous attendant	I stayed in a very large room at Murray Hill for about US$ 100 (May 2005). It is really a very low price for a hotel located at Midtown Manhattan (near the Grand Central Station).However, my stay at Murray Hill was not entirely pleasant due to the following facts: (1) my room was located in front of the Lobby and in front of the entrance door (I never saw anything like this) ! So, it was impossible to sleep well due to the guests' noise until very late hours. The room is not bad (in fact, it is very large, with a small kitchen), but I cannot understand why they put a room in a place like that.(2) an uncorteous attendant, that replied very aggressively when I asked about the possibility of changing my room to another one. Due to my experience at Murray Hill, I do not recommend this hotel. It was, in fact, the worst hotel that I stayed in NYC (and I know more than 10 hotels in this city).	
Apr 22 2005	Perfect...Volume Two	Just got back from a great four-night stay with my kids at the Murray Hill. We got it through Priceline for $90 a night and while I was told on the phone and during checkin that I would have to pay an extra $20 a night, they collected nothing except the expected $6 occupany fee at checkout, so we must have lucked out. As with all Priceline transactions, it books the room for two but when they saw we were three, they put us into a one-bedroom suite.The room was great--a huge living area with a pull out queen sleeper and a surprisingly sizable separate bedroom with a king bed. There was a TV in each room and the living room TV even had a VCR so the kids wouldn't miss &quot;American Idol&quot; and &quot;Amazing Race&quot; while we were hitting Broadway shows (different rooms have different video situations--there was a DVD-VCR combo in the room across the hall and nothing in other rooms i saw into). The kitchenette worked out very well and while the water pressure was a little wanting in the bathroom, it was nothing worth bothering over.My son's only complaint was that he wished it were closer to Time Square, but it's in a great East Side neighborhood chock full of delis, bagel shops, resdrug stores and grocery stores. Will definitely stay again!!!	
Mar 16 2005	Perfect!	Not knowing what to expect from a hotel that accepted my bid on Priceline for $65/nt., I was pleasantly surprised by this hotel. We stayed 4 nights in mid-July 2004. The room we stayed in was clean, quiet and had a great view of the Empire State Building. The kitchenette was definitely an added bonus; also clean and the appliances worked fine. It was nice to have a cup of coffee or toast a bagel without having to go out. The location is ideal--the subway station is conveniently only 2 blocks away and getting anywhere seemed really easy. The neighborhood wasn't seedy at all and there was a very nice street fair on Sunday's just one block up. The staff too, were always happpy to help with recommendations or directions. They even allowed us keep our baggage in their locked closet after we checked out, as our flight didn't leave until later that evening. We had a fabulous time in NY and the Murray Hill East Suites are a very sweet deal. I'd definitely stay there again.	
Mar 4 2005	Can't beat it for the money!	I booked this for last weekend on Priceline. We got a room for $100. My friend did the same (we were traveling with our spouses and kids). Of course we did not realize that at the time of the booking it only guarantees you one bed. I've never had a problem with priceline bookings and calling to get two beds, but when I called the hotel directly I was told I could only request two beds at check-in. With my husband and two kids in tow, I was sweating it out until arrival. When we arrived, my friend and I tried to arrange for adjoining rooms so we could relax together as couples after the kids went to bed--sorry none available. We hadn't complained about it, but were just a little disheartened and ready to settle for what we could get--after all it's only a $100 hotel room, when the manager came over and upgraded us to a two bedroom suite. Two full beds in each bedroom, a pull out couch, two bathrooms, a kitchen, etc. It was perfect for our two families and it made for a fantastic weekend. While the decor is 80's modern--it was in impeccable shape with not a bit of mold, stains on carpet, faded bedspreads, or anything.I thought the neighborhood was extremely convenient and nice and will definitely plan on staying there for any subsequent trips to NY. If you like friendly service, a clean room for cheap money--than the Murray Hill East Suites is for you.	
Feb 26 2005	A hotel room bigger than my old studio apartment!	On a recent trip to Manhattan, I decided to check via Priceline to see what I could find. Priceline put me in the Murray Hill East Suites, for about $50 a night, with taxes. Normal rate for this hotel is around $180 a night. The hotel is in Murray Hill, which is a great little neighborhood very close to the U.N. (If you're familiar with Manhattan, it's on 39th street, between Lexington and 3rd Ave.) The neighborhood is very quiet, and there are plenty of delis, restaurants, grocery stores, bars, etc... within just a few blocks. You are also very close to all of the sights. The hotel is just down the street from the Chrysler Building. The U.N. is about a 10 minute walk away. Rockefeller Center, Times Square, the Empire State Building, and other sites are all within a 15 minute to half hour walk. You can also walk 4 blocks down to Grand Central Station and hop the subway to anywhere in town. (There is a subway shuttle between Grand Central and TImes Square, if you don't want to walk.) The hotel is small, but very clean. The building almost reminds you of an apartment building. There is a small lobby with places to sit. Check in was a breeze, and everyone I dealt with at the front desk was pleasant and professional. The hotel still uses keys for the rooms, instead of keycards. (How Quaint!) The front desk is small, and there is no concierge service. The hotel does have a small fitness center, and also has a self-service laundromat. The rooms are very basic, but HUGE by Manhattan standards.It was bigger than a studio apartment that I once lived in. There is a tiny kitchen with a sink, refrigerator, and a small stove/oven, and cups, plates, and utensils. A microwave does not come in the room, but you can ask for one. There is a small dining area with table, and a very comfortable couch on which an extra person can sleep if need be. The TV was only a 20 inch or so, and the remote could be used to turn the TV on or off, change the volume, or go up or down on the channels. It didn't have a number pad on it. The bed was a king size, and I had *no* problems sleeping. The bathroom is your average sized hotel bathroom with a sink and a tub. The only problem I had was that when I first got into the room, there was a slight smell to it. It took me a while to realize that they had cleaned the carpet, and there was still a lingering smell of the carpet cleaning material. The smell faded within a day or so. Overall, I was *VERY* happy with the hotel. I would not stay there for the full price, but for what I paid, I got an EXCELLENT bargain. I was very satisfied with my stay here. I have included 3 photos of the room. You can see them here: ----	
Feb 16 2005	A Good Deal	I liked this hotel. My husband and I were traveling on business and I really liked the fact that we could stay in Manhattan and have a full working kitchen. It made it much easier to get rolling in the morning without stopping off somewhere for breakfast.My only complaint is that when we pulled up to the hotel, there was nowhere to park our car while we unloaded our bags. That would not be an issue if you had taken a cab. We ended up having to park illegally and quickly haul our bags down the block to the hotel. The parking garage is around the block &amp; my husband took our car over there once we had our bags inside. Not too big of a deal but a minor inconvenience.Nothing fancy inside but it was clean and safe.	
Feb 2 2005	Best Value In NYC.	On my way for the 3rd stay at The Murray Hill East. Quiet neighborhood, close to Grand Central Terminal, lots of room, clean and safe. Staff has always been friendly. Nothing fancy, but very homey.	
Jan 27 2005	Good for the price	This is a safe, comfortable hotel for the price. Not a bad neighborhood. Service is great. Its not the Waldorf but for the price, you cant beat this one!	
Jan 18 2005	Great Service	We arrived late in the evening for a vacation weekend &amp; had an issue with our reservation made through an online reservation service. The staff on duty was very courteous &amp; gave us a room for the night that met our needs &amp; straightened out the mix-up for us the next morning without a fuss. The rooms were sizeable, clean &amp; serviced daily. The area of town was very quiet in the evenings &amp; it was only 3 blocks from Grand Central, which made it very easy to get where we wanted to go. The room was a great value &amp; the service was excellent. We recommend it very positively to anyone who wants a clean, quiet, convenient place to stay in Midtown Manhattan.	
Jan 17 2005	What a Gem	What a great value for a mini-apt in NYC. Right down the block from the W. I stayed here in Mid Jan. I took a chance with this hotel &amp; priceline has it rated as a 2 star. It's a steal. Not one complaint from me &amp; believe me I am one to complain. If you have a chance to stay here, I suggest you do it before the rates go up.	
