	Small modern quiet rooms but awesome location	My hubby and I took advantage of his miles for a night away from the kids. The location is amazing right in the middle of 5th ave shopping, tons of restaurants, and walking distance to many areas if u enjoy walking that is, hello this is NYC.The rooms r small no doubt about it but they r very modern, clean, and quiet. U can hear people in the hallways.I have seen rooms in fancy NYC hotels that r rundown and noisy so this is bliss. The staff r very nice. There is parking at a indoor lot (right side) on 46th between 5th and 6th ave which u can get a discount from staying at the hotel.	
Apr 25 2007 	Excellent in every way	It was hard to remember that this was only a Holiday Inn Express because it was just so good in everyway. The rooms are on the small side but in my experience that is how rooms are in New York City hotels. Everything in the room was spotlessly clean. The bathroom had a large walk in shower but no bath tub which may be an issue for some. However I can see from photographs that this is not the case in all rooms (ours was a King Leisure). Our room on the 18th Floor had a view of an alley way. If you want a room with a &quot;view&quot; of any sort you would have to request a room at the front of the hotel. The front desk staff could not have been more polite, friendly and helpful. There are no in room safes but the front desk has safety deposit boxes free of charge. There is an extensive continental breakfast included in the price and 24 hour tea and coffee provided in the lobby. The breakfast consisted of a selection of fruit juices, hot and cold cereals, pastries, bagels, hot cinamon buns, toast etc. The lobby area doubles up as a breakfast room and also a place where you can eat your take out food. It gets very busy and noisy at times and for this reason I would not suggest having a first/ground floor room unless you really need one. There is a business centre in the basement which consists of just a computer, printed and photocopy machine. In this area there is a stand with information about tours etc. The hotel is within easy walking distance of the midtown attractions and there are many bars and restaurants in the area. If you have a late flight out of NYC the front desk will store your luggage in a locked room, you get a receipt for your luggage which you have to show too get them back. We use Holiday Inns a lot and this one is excellent in everyway.	
Apr 14 2007 	Great hotel near everything	If you are going to New York on business or pleasure this is a great choice. The rooms care comfy and modern with huge beds and nice LCD screens. It offers free wireless and there's even a PC you can use if you don't have your laptop. Our room was on the small side but apparently most hotel rooms in NYC are small.While it was small the space was well used and there was plenty of room for the king size bed which was really comfortable, especially after an 8 hour flight! The hotel is near everything and just a short walk from Times Square and the Theater district. The staff are friendly (rare for NYC) and our room was spotless. It's a fairly new hotel and they give you plenty of fluffy white towels. The best bit was the free continental breakfast. We enjoyed hot cinnamon rolls, bagels, muffins and lots of other goodies. There are also some healthy choices if you are being good.I was horrified when I found out my boyfriend had booked a 2 star hotel but I soon changed my mind. This is like a good 3 or even 4 star but smaller without the facilities of a bigger hotel. You will spend so little time in the hotel you won't miss having a pool etc.I would highly recommend this hotel! Enjoy your stay!	
Apr 14 2007	Stayed here with a tour group of teenagers	We stayed at this hotel as part of a group of 37. We were with a group of 8th grade students and their chaperones. It was a great hotel for this purpose. There were several tour groups there at the same time, so I can see why some reviewers were disappointed by the number of teenagers. Since this was our purpose, it didn't bother us in the least.The rooms are indeed quite small, although we found them to be clean and the beds to be comfortable. Our beds were actually a bit firm. Because we were with a group, there were 4 of us in the room - 2 adults and 2 teenagers. Very cramped! Only 1 person can walk between the furniture at any given time. You will wait for quite some time for the elevators to come during peak hours, and then they may be too full. There are only 2 elevators for 22 floors. My daughter walked up the 17 flights of stairs to our room and arrived before I did on the elevator!The location of this hotel is excellent. We were on the 17th floor and didn't hear any of the outside noises at night. One member of our group was on the 5th floor and reported hearing the trash trucks at night. We always felt safe, even when we were out late at night.Overall, I would highly recommend this hotel for its location and cleanliness. Be aware that you may be sharing this hotel with many tour groups, but I suspect this may be the case throughout New York.	
Apr 10 2007 	Miserable	The Holiday Inn Express Fifth Avenue is the worst property I have stayed in during my numerous trips to New York City,. The ONLY positive comment I can make about the hotel is the location. It does have a good midtown location. The lobby is tiny, with barely enough room at the front desk for one bag, if no one tries to walk by. There are approximately 21 floors with two small, very slow elevators. Unfortunately, there were a number of teenagers staying at the hotel who thought playing on the elevators was a great pasttime. The elevators also did not always work correctly, almost stranding me and a member of the housekeeping staff between floors. When I arrived at my room, I had to kick a large bag of dirty linens to the side to even enter the room. The room was claustrophobically small, even by New York standards. It was by far the smallest room I have ever stayed in, anywhere. There was almost no room to walk around the bed. There was no closet. The entrance to the room was a tiny hall in which you had to open the door all the way, walk into the bathroom, and then close the door. The bed was so soft and lumpy, it was like sleeping on lumpy marshmallows. A two star it is not. You can find much better accomodations, for a similar price, with similar location, even three stars in NY if you look. As a business traveler who travels to NY on a regular basis, I have stayed at countless hotels in NY. This one is the worst (and only $10 less than a number of three stars).	
Mar 21 2007 	Soft Beds	This is a newer hotel and I must first say is very clean and fresh compared to many NYC hotels that I have stayed in. The staff was very friendly and accommodating. However, I must also say that the rooms are relatively small--only six to a floor. No closet, just an armoire and a few drawers in which to unpack. It would be difficult for a long stay. My biggest problem was the fact that the bed was VERY soft. Not sure when I've slept on one as soft, so sleeping was very difficult. Location was great for going to the theatre.	
Mar 14 2007 	Holiday Inn Express-Clean NeatWell-runGreat Locaction	OK, everything is relative in hotel rooms in New York City. Rooms are 2 to 3 times what you would normally expect to pay. The room is probably half to two thirds the size of what you are used to. And there are some nasty choices. Fortunately this is an oasis of what hotels should be in NYC.The hotel is clean with the basic light color woods throughout. Kind of like a hotel done in all IKEA furntiure. The hotel's footprint is relatively small and each floor has 7-10 rooms per floor. There is the front desk and the breakfast area just as you come in the door. Service was efficient; they promptly called when my lost luggage was delivered to the hotel.The room is small, clean, and everything appears relatively new. There is a flat panel television which has music choices available also. They also had bottle water and Pepperidge Farm Mint Milano cookies on the desk. I am not sure if they do thought for every room or was because of some status in the Priority Club that Holiday Inn has.You are within walking distance of Fifth Ave shopping, Rockefeller Center, and St. Patricks Cathederal. Obviously there are no shortage of things to do. I am planning on taking my family to NYC and this is where we are going to stay. Stay here with confidence.	
Mar 11 2007 	check with hotel BEFORE travel that they have room	arrived after very long trip to find that hotel had double booked the room. with two children it was not a great start. stayed in twin (had booked suite) for 2 nights and was moved to booked room. had to get someone in britan to complain before anything done. staff ok some grummpy, new yorkers dont smile. sofa bed awful and needed lots of spare quilts just to pad it out. room very cold at night because of hole in wall where fan plugs in. no newspapers delivered even though supposed tp get. great shop across the road, sells all you need to eat. location great BUT view out of window was of tower block that looked like it had a sweat shop going on, rats running around the rubbish that has been thrown from various widows etc. new york great to see but be careful on underground. would not stay again in america as to much trouble getting through imigration, no one smiles, cattle are treated better. service is added even if service bad. new york is a bit of a rip off. the big attrctions are really just empty shells. TAKE NOTE MR MAYOR get the tourism act together as i could do better.	
Mar 9 2007 	Not clean enough	Good location but expensive and our room wasn't clean and smelled horrendous. Glad we were only there one night.	
Mar 7 2007	Holiday Inn Express- highly recommended	We stayed in the Holiday Inn Express 1st-5th March 07, The location of this hotel is ideal, 5 mins walk from Times Sq,loads of deli's around the hotel, plenty of choice for eating.Rooms were small but had a nice kingsize bed and we had enough room for the 2 of us. Breakfast was a bonus, cerels,toast,bagels,yoghurts, tea and coffee are available 24 hrs down at breakfast bar. I highly recommend this hotel and I would def stay here again. :) Carol, Ireland	
Jan 28 2007 	Nice and New great location	Stayed one night this past weekend and would definitely stay there again. It is a good value! We drove up and parked at a nearby garage which honored a dicounted rate from the hotel. Everything at the hotel is new..but very very small. The lobby is efficient. They serve a complimentary breakfast which has the basics such as ceral and danish. Our room had all the nice amenities, but is really only built for two people at most. The towels were fantastic and the bed was great. The key here is the location!! Close to everything...the theatre distict, great restuarants, Rockerfeller Center etc. Think about it, how much time do you spend in your room? All you really want is a great location, at a reasonable price.	
Jan 13 2007 	Great hotel great location great price!	My partner and I spent Christmas and New Year in this hotel and had a thoroughly enjoyable stay.It is in the heart of Midtown a couple of blocks from Times Sq, just off 5th Ave with the Rockerfeller Centre just around the corner along with a host of other attractions and shops! Grand Central Station is a short walk away.As for the hotel itself : we had a very large and comfortable kingsize bed in our room with coffee making facilities, cable TV (with some free movie channels), free Wireless internet in every room and a fantastic shower. All facilities are modern, good quality and in great condition. The continental breakfast in the lobby area is all you can eat, help yourself.... the cinnamon buns they heat up are lovely! There were also coffee/tea making facilities in the lobby area throughout the day. Also if you don't fancy venturing out for dinner, you can order takeaway in your room from a few different places... we stayed in a couple of nights and had pizza, pasta and a burger - expect huge portions!! Equally there are loads of restaurant options near the hotel. At New Year we ate at Churrascaria Plataforma in the Theatre District... a brazilian restaurant where they bring different cuts of meat to your table throughout your meal and you choose what you want (sirloin, flank, chicken, sausages, lamb,ribs etc) - all fantastically cooked.We'd definitely return to the hotel as the location is second to none and at no point did this hotel feel like a budget option.	
Jan 10 2007 	good location	Room was small, but very clean. Small is to be expected in NYC. Nice mattress and the room was simply but comfortably decorated. Absolutely no view to speak of. My room faced the street, which was fairly noisy with an alarm going off constantly both nights. And, on the second night my next door neighbor returned at 2:00 AM rather loudly, and proceeded to put together something in the hallway that sounded like metal pipes being clanked together. Since there are only 6 or so rooms per floor, I'm fairly certain everyone on my floor must have heard this rudeness. Also, I heard 3 voices. Don't know how they fit 3 people in these tiny rooms. There was barely enough room for the king sized bed in my room!Bathroom was very clean and updated. Love the free wireless. People at the front desk were friendly and helpful every time I spoke to them. Would stay here again, but this is really just a place to sleep. There is absolutely no atmosphere or charm at all.	
Dec 22 2006	Fabulous!	I've stayed here twice, most recently in December 2006, and have been quite happy. I would not hesitate to visit again. The hotel is relatively new, conveniently located and very clean throughout. By coincidence, I stayed in the same room on both stays (a king room). The room was small but quite liveable, and the bed was very comfortable. The hotel has 22 floors and only 6 rooms per floor, so you don't have to worry about too much hallway noise. My room was high enough up that I didn't even hear the street noise. Someone mentioned they only have sheer window curtains. I can't speak for every room, but in mine, there was a vinyl black-out curtain, but it was somewhat hidden behind the drape. I almost didn't find it, but it was there.The hotel staff were very friendly. There is no on-site restaurant or fancy amenities (it is a Holiday Inn Express, after all), but I will happily do without those for a clean, comfortable NYC hotel room that doesn't cost me an arm and a leg.	
Dec 18 2006 	EXCELLENT stay!	Location was fantastic! Within walking distance to all the big sites in midtown Manhattan (Rockefeller, St. Pats, Moma, Times Square, Grand Central, Empire State, etc). There are deli's, pubs, &amp; convenience stores on the same block. The room was small but immaculate. Crisp, white linen bedding. Cable tv was a nice touch and you pay for HBO and the movie channels. Bathroom was newly renovated and boasts tiled shower wall and granite? floor &amp; sink. Shower water remained hot which is always nice. Blowdryer also came in handy. Tip: if you forgot to pack toothbrush &amp; paste, the hotel will supply it for you. Just ask.The best part of the hotel was the staff itself. I have never met a more cordial and pleasant front desk (Shaniqwa) who was more than willing to help with directions and answer all questions. The front desk always acknowledged us when we walked past. Even the cleaning staff made a point to say hi in the hallways or elevator. Tip: If you need a ride straight to the airport, the front desk will arrange for a car to get you there. The car is not part of the hotel, so for a whopping $45, you can get straight to the airport without the hassle of hailing your own taxi to taking the dreaded bus/subways. Our driver came 10 minutes early and got us there in no time.Cons: There is no on site laundry as the website claims. But there is a laundromat 2 blocks away. Other than that. Our stay was EXCELLENT.Bottom line: Don't be turned off by the 2 star rating, we received 5 star service. I highly recommend this hotel.	
Dec 11 2006	Hotel Is Ok - Good Location - Price Issue	My wife and I were blessed with the opportunity to get into the mid-town area of the city for a xmas weekend to see some shows, tree, etc. We could not find a hotel in the mid-town area that wasn't booked and the remaining available hotel choices under $500/night were very limited since we could not book many months in advance. So we chose this hotel based on tripadvisor reviews.LOCATIONThe hotel is located on 45th street between 5th and 6th avenue. This was an excellent location for us since we wanted to do all the things in that area - i.e. Rockefeller, Broadway, central park, shopping on 5th. The walks to any of these places were not bad even in cold temps. There are a number of stores and restaurants on 45th and restaurant row up on 50-51st is not far at all.ROOMWe had a King size bed room. The room is small but all of NY is small from what you read - but it's very small. We faced an alley so street noise was not a problem. But we had an orange security light from the alley shining in the window all night - they only offer shears on the windows so we had to jimmy-rig a solution to block that out. The room itself was very clean - the bathroom was clean as well. The room had a small LCD TV in the room – no pay per view family movies for those on extended stays. It also had a dresser with closet for a several hanging articles. Room was ok for our 2 day stay. SECURITY AND AMENITIES The property seemed safe as there were people walking in the area at all times of the night due to its location. The staff seemed nice and we had no problems checking in. The hotel offers free internet and breakfast in the morning - some bagels, toast, juice, coffee.PARKING The only thing that we did not like is there is no parking on-site IF driving. The hotel will tell you to park a block away in a 'Central Parking System' parking lot on 46th between 5th and 6th which they will voucher for you at $35/day. You park and then walk around the block to the hotel. If you are driving into the city during December as we did, and getting into the city between the hours of 2-9pm - best of luck. Traffic is horrible in that area so please plan your route to the hotel carefully - you may want to verify directions if you are using or relying on a GPS - you need to know where you can and cannot make a right or left since some avenues prohibit you from turning down them until 6pm or because of the season. So if driving and paying 300-500/night depending on season - you will park your own car and walk - the hotel does not feel bad for charging those rates and not having a better parking service - this maybe a problem for some, maybe not for others - just hope this helps if making your decisions. You can always drop your party off in front of the hotel before parking but with all the trucks on that street at certain times and no pull-in opening in front of the hotel - it's up to you to find a space - we just parked and walked from the garage.CONCLUSIONAll in all - the hotel is a mini-version of your regular Holiday Inn Express chain. If you're coming in December - you will pay Waldorf rates for a room here but don't expect any special services or anything more than a good but 2star hotel.	
Dec 4 2006 	Loved loved LOVED	I was pleasantly surprised by this property, to say the least. Booked last minute for a quick overnight trip in the city, I didn't expect too much. This was only my second time to NYC ever, and I really lucked out. This hotel was one of the cleanest I have ever been to, and the staff was extremely cordial and helpful. But of course- the location- my goodness. So close to Times Square, Fifth Ave., Park Ave., Central Park, the Theater District, and everything else! We saw everything we wanted to see and more in less than 24 hours. Will definitely stay again- can't wait and have already recommended to everyone in my office as well as my family!	
Nov 13 2006 	Great Location	Great Central Location, Friendly Staff, Rooms Small but for the time you spend in it with so much going on around you it was just the job. We stayed in a suite, it had one king bedroom and a sofa bed in a small lounge area. The sofa bed wasnt exactly comfy but it was ok. The hotels free breakfast is great if you are on a budget but you can get bagels and bacon and eggs next door for a few bucks.Would stay here again but book early as you get the best rates the earlier you book	
Nov 10 2006 	Hidden gem in over priced NYC	My wife was reluctant to stay in a 2,or 2.5 star rated hotel but was thrilled with this hotel. CLEAN, friendly, great location, free internt access, computer use, fax, and free breakfast . Best of all though it is reasonably priced in over priced New York. Our new hotel of choice.	
Nov 1 2006 	Ideal New York Hotel	This is an ideal hotel for a New York visit.Almost on 5th Avenue. A 5 minute walk to Times Square, Rockefeller, Radio City, Grand Central and Chrysler. 10/15 minutes walk to Empire State, Central Park, Bloomingdales &amp; Tiffanys. It was on a safe street and felt OK even walking around at night.Hotel staff were always friendly and helpful. Despite having a room only on the 3rd floor and at the front of the hotel it was very quiet and restful.Rooms are fairly small but perfectly adequate for the amount of time anyone spends sitting in your room when visiting NY ! Everything in the room is easily usable and with room to walk around (and even use an ironing board). The whole hotel is exceptionally clean.Breakfast is an added bonus - self service buffet so you can eat as much as you like. Tea &amp; Coffee is also on-tap all day (&amp; night) in the reception area.I would certainly choose to stay here during future visits to New York.	
Oct 22 2006 	Great location to all the sights	We stayed at the Holiday Inn Express for five nights after having been on a 10 night cruise. Whilst the Holiday Inn Express didn't have the luxuriousness of our cruise ship, it was very clean and comfortable and the breakfasts were very adequate, cereal, toast, pastries, tea/coffee. This was our first visit to New York City and we felt very safe walking around this area even in the evening. The hotel is very close to everything, Empire State, Times Square, 5th Avenue and Theatre District. There are plenty of food outlets and convenience stores just steps from the hotel for snacks to take back to your room or for that matter to eat on the premises. Having free wireless internet access was a bonus to keep in touch with home. Despite having a street front room on 45th street, we were not disturbed from any outside noise. Great little hotel to see the sights of New York City.	
Oct 12 2006 	Great location - Nice room	Arrived at 2pm and was told that one of our rooms was not ready. Still waiting at 4pm so ended up taking a ready room on an alternative floor to my family.That aside the hotel is in a great location and the rooms - once you actually get in them - are very nice, if small.The staff seemed helpful enough and the complimentary breakfast was great.A very decent palce to stay - Great value.	
Oct 5 2006 	Tiny rooms but a great location	Let's be honest. Most New York hotel rooms are tiny. This hotel is no different. My room would have been perfect for just me. It was a little cramped with my wife along for the trip.Part of the reason it's hard to move around is the room has an enormous TV, so it has an equally large piece of furniture to hold it. Two people can't walk in front of the bed, and there's not much room off the bed to open a suitcase. Each room has digital cable hooked into the enormous TV, which you don't see everyday.All of the upgraded things that Holiday Inn has been putting into the Express line of hotels is here: the soft linens, soft towels, the showerhead, the cinnamon rolls. The hotel is in a great location near Broadway. If you don't mind the cramped quarters, it's a great place to stay.	
Sep 15 2006 	Great Beds and quiet	Great hotel within walking distance to Time Square, Grand Cental Station, shopping and the Empire State Building. There are subway stations within 2-4 blocks in any directions. The beds are in great shape and bathrooms are clean. The rooms are small but if you unpack the bags it becomes much better. The only disappointment was there were no cinnamon rolls in the morning. There were muffins, juice, breads, fruit, yogurt and cereals. We've had better breakfasts at other Holiday Inn Express hotels. The beds, linens and location are well worth it.	
Sep 13 2006 	Great location!!!	This is a very nice hotel: clean, comfortable and location is really great. Rooms are kind of small, but who goes to NYC to remain in his room? I would also recommend the Re Sette Italian restaurant close to the hotel.	
Sep 4 2006	Great hotel value in mid-town Manhattan	I booked this hotel after reading a favorable mention in spring in Arthur Frommer's &quot;Budget Travel&quot; magazine on new value hotels in Manhattan. The splendid location off Fifth Avenue and walking distance to Times Square are matched by high comfort and amenities in the rooms. The room had plenty of refrigerated air to offset NYC's mugginess. It's an excellent value and I would stay there again.The reception was friendly, welcoming and accommodating. The continental breakfast included in the room rate had a couple of areas for improvement. After a first day with bananas, the only fresh fruit was an apple. The emphasis was on sweetrolls, croissants and high fat food, though cereal and instant oatmeal are offered. A container of cool if not cold boiled eggs, already peeled, looked untouched. I saw the same thing served at a H.I. Express in Hartford two weeks later, leading me to wonder if this is a corporate formula. Finally, the coffee was weak, a surprising development given the availability of good coffee in NYC. In sum, though, this was a fine establishment and shows the results of hard work and attention to details.	
Sep 1 2006 	Oh My Gosh So Good	This Was a Really Great Hotel. Lovely Check-In. Chose this hotel because of the really great reviews and was amazed. Free internet access in the basement and a great free continental breakfast everymorning. 1 minute from 5th avenue and 5 minutes from Broadway. Couldn't have got any better for my money.	
Aug 22 2006	Very good would stay again	Staying August 18/19 2006, I was pleased with this hotel. Yes, the rooms are kind of small, but well manageable. I guess its to be expected being in the middle of upper Manhattan. Times Square is a couple of blocks away, and being a bit away is great because you can sleep at night! The bed was an excellent king-size, nice pillows &amp; sheets, very clean room &amp; very clean, new feeling bathroom. The fixtures were elegant &amp; classy, and the TV was a flatscreen LG with a ton of channels. Although it was a bit pricey ($169), we had only booked the day before via the HI Express website. They checked us in around 3:15 , but were cordial in the process. The breakfast buffet is nothing to write home about, but the absolute essentials were there (cereal, milk, juice, croissants, etc.) The hallways were, for some reason, not air conditioned, so it was a bit warm waiting for the staff or walking through, but the room had a good a/c unit. Overall, 4 stars, and would recommend anybody to this place. Have had good experience consistently from HI Express, both in the US &amp; abroad, and tend to look first to this chain.	
Aug 9 2006 	Better than adequate	The Holiday Inn Express New York City 5th AVE was perfect for our purposes... which did not include frills. The location is great, room was clean (although small like any other Manhattan room), and continental breakfast, free local calls, and in-room water bottles and snacks came in much handy.My only complaint is that I requested an early check-in knowing I'd be there at 8am and they had no record of it. Even after getting there at 8am it didn't seem as though any accomodations were made for me, and I didn't actually check-in until 4... which was a pain.	
Jul 5 2006	Good deal we'll be back	I spent 4 days and nights visiting NYC with my fiance and 2 kids from 06/29 to 07/03. The hotel is very clean and well appointed. We stayed in a room with 2 double beds. The rooms are small and space is tight, especially for 4 people but we didn't spend much time in the hotel so that really didn't matter. The staff was pleasant and responded well to all of our requests. On the last day the staff allowed us to store our luggage after checking out as we did some last minute shopping. The hotel is just minutes walking distance from Times Square, Rockefeller Plaza and other popular attractions in mid town. For the location you can't beat the price. If you're looking for a hotel with a view this is not for you, we were on the 8th floor and our room was on the back side. All we could see was the alley below and the office building 30 feet away.The continental breakfast was typical but well stocked and helped us get on our way each day. There are a number of restaurants near the hotel and plenty more just a few minutes away in Times Square. I hadn't been to NYC in nearly 20 years and I was very impressed with the overall cleanliness of the city. Everyone was polite to us and we had a great time. I'm already planning my next visit! I highly recommend the Holiday Inn Express!	
Jun 23 2006	OK stay	I usually stay at H.I. Express for business, and I would not have on this trip, but I had points to use so I stayed here the night before my wife and I were heading to the caribbean for our honeymoon.My first impressions - the hotel is located right off fifth on a tiny little new yorkishstreet. The lobby is small.My reservation - I always reserve King beds, but they had me into a double. After pleading with them and explaining that I stay with Holiday Inn 30-40+ times a year, they changed my room to a King. Room was not ready when we arrived, but they put my luggage in storage untl we checked in later that evening. My room - Small! The room was nicely appointed, but cramped. If you just need a place to crash, I would suggest. If you have a family or a lot of stuff (like us), go somewhere else. The room did have what seemed to be unlimited digital cable or satellite TV which was nice. Noise - There were kids playing with the elevators and running around making a racket from about 11 to 1. We were not impressed as we had a 7am flight to catch. Might stay there on business, would not reccomend for a leisurely trip. Note: There was a lovely italian restaurant right beside the hotel that almost made the stay for us!	
Jun 14 2006	Not for a family	My family ( 2 teenage boys, my wife &amp; I) just got back from a trip to NY. First 2 nights we stayed @ the HI Express. In general - if you only have 1-2 guests - you can probably bear to stay there to save some money. Otherwise - not worth it. The property is new &amp; nicely appointed - everything works - breakfast is fine. Past that beware. We asked for early checkin - front desk said they would call when the room was ready - we checked our bags &amp; went to lunch. No call - we head back to hotel - check about 2:15 - still no room. Very crowded lobby - laundry folks are taking large carts of towels out through the lobby runs into several folks - including me. About 2:45 other folks are checking in - we get back in line - get to the desk a little after 3 (checkin time) &amp; the room is ready. On the checkin card it had room 1404, the front desk person said 1404, something my wife heard made here question if 1404 was indeed the correct room - yes from the desk clerk. We get our bags and make it up to the 14th. Room was propped open had just been cleaned. Tiny room - but we unpacked. Noticed the fellow downstaris had given us one wrong bag. I took it downstairs - got the correct bag - came back up - tried the key - it didn't work. I call the front desk &amp; asked them what room we were supposed to be in - they said 2104. I explained the situation @ the front desk - they said we would need to move. I again explained and then asked who would pack us up &amp; move us - the next time the desk clerk came back &amp; said we could stay in that room &amp; they would bring us keys that worked. We got the towels we needed from the cleaning lady &amp; we were set. Came back from the Yankees game - keys don't work.It went on like this for the 2 nights we were there. Had planned on staying 5 - but moved to the Hilton @ Times Square. On trying to reduce our stay from 5 nights to 2 - the front desk clerk said we would have to pay full price for the 5 nights - but she might be able to work it out that we only paid $50/night. On the reservation documentation - there was nothing of the sort - I showed it to her - she said we would have to speak to a manager. There wasn't one onsite &amp; there wouldn't be one on site until 10 the next monring. No way to speak to someone to try to resolve it. I called customer service for Holiday Inn &amp; got it straightened out (after speaking with 4 different folks &amp; escalating). The room is small - if you take an average man's shoe - lengthwise between the beds - it touches the covers on each bed - that is how much space between the beds. A single person - or even a couple &amp; only one bed - would work. It is clean - folks were generally courteous (though less than helpful) - good location - not for a family - not even to save money.	
May 22 2006	Cool little hotel	We spent 3 nights at this hotel,May 18-21, and were extremely satisfied. True, the room was small but laid out in a fashion that made it seem larger with a small anteroom area when you opened the door so you didn't feel that the bed was 2 feet away. The bed was extremely confortable and the staff very accomodating; our request for extra pillows was promptly filled. The room was extremely clean and the shower had great water pressure. The complimentary continental breakfast was a nice added touch with good pastries,bagels, etc., as well as cereal,hardboiled eggs,coffee,juice and milk.We go to New York at least twice a year primarily for the theatre so this location is just ideal. It's an easy walk to Times Square and any other midtown location yet it's relatively quiet at night allowing for a good night's sleep.We would recommend this hotel to anybody looking for a comfortable,clean place to stay at a reasonable (for New York) price.	
May 14 2006	Great little hotel	Our 1st time in NY booked at short notice. This hotel was much better than expected considering the price AND it included a more than adequate breakfast. Staff were very pleasant and helpful, room a reasonable size with great shower and room facilities.The big plus is its proximity to 5th Ave Times Square, restaurants, stores, subway etc..Would definitely stay here again	
May 8 2006	Excellent hotel	This hotel is excellent, there was two of us who came to new york and we were given a king size room which was sapcious for new york. The bathroom had a huge shower cubicle that could of fitted about four people in (although i didn't try :)The breakfast was brillant with buns, croissants, cereal, coffee etc and even at 9:50am when the breakfast was suppose to finish at 10:00am they were still stocking up witrh food and drink.The hotel staff were brillant and helped me in every way especially telling me directions to places. I would say the only thing you would have to do when staying at this hotel is put your 'privacy notice' on your door before you go to bed bacuse the maid can come round about 9:00am and she will knock on your door unless you have the notice hanging on your door overall i would say if you are going to new york then stay at this hotelP.S. The location is excellent, round the corner from times square, top of the rock, 5th avenue etc	
May 1 2006	Very Disappointed	My friend and I stayed at this hotel from 4/28-4/30 for a &quot;mom's weekend&quot;. My husband and I are Priority Club members and have always had great service at Holiday Inn's / Crowne Plaza's. This trip however changed all that. We tried to check into the hotel at the 3pm check in time and our room was not ready until 3:30 so we felt as though we were wasting our day sitting in the lobby. When we finally reached our room (a reserved 2 double bed room) we were given a 1 king bed room and when I called the front desk to let them know, they said the &quot;couch pulls out&quot;. This was not acceptable to us and they did change our room to what we did reserve, but after the late check in and the wrong room, it was very aggrivating. But the kicker came on Sunday morning when at 9:15 someone was banging on our door, and when we answered, it was housekeeping asking if we were checking out!!! We were SOUND asleep! I have never in my life had that happen at a hotel. To make matter worse, we laid back down and not 4 minutes later she knocked again. This time I asked her what time check out was and when she said 11am, I showed her our Privacy Please tag, affixed it to our door and told her not to knock on it again!!. I was outraged and called the front desk and received no apology. As I said, we enjoy every other Holiday Inn we have ever stayed at mainly for their cleanliness and great service, but I will never stay at this one again and would not recommend it to anyone.	
Apr 30 2006	Can't find a fault	I was really pleased with my stay here. My room on the third floor was spacious for New York and incredibly clean. Despite being a smoking room the linen and air smelled fresh. I loved the supersoft kingsize bed. The bathroom was really well stocked and the shower was large enough for two people with excellent water pressure. All the staff I met were freindly and very helpful. The location is excellent too. I really can't find any negatives about this experience apart from that there wasnt any view from my room (3rd floor) and the breakfast was a bit of a feeding frenzy in the small lobby. I will definately stay again perhaps next time I will try to get a room higher up to see if there is any kind of view from up there.	
Apr 30 2006	Good value at Holiday Inn	For location and value, can't beat it. Basic, clean and safe accommodation. Easy walking distance of the great sights, round the corner from Times Square. Not for you if you want luxury, but if you're here to sightsee and want a decent place to stay, it's perfect.	
Apr 26 2006	Great Price/Great Hotel	Stayed 3 nights from 4/20 to 4/23. Yes the room are really small but the hotel is clean, bed was comfortable, free wireless that was fast, breakfast in the morning and helpful / kind staff. Arrived at 1pm and room was ready to check in. Also requested higher room and was given 21st floor.We were 2 teenagers and 2 moms all sharing one room. Since we knew it would be small we packed smaller suitcases and used drawers in the room. Do wish there was more area to hand clothes. Maybe 7 items max fit in closet.Others have mentioned elevators were slow. We did not experience this at all and the hotel was 100% sold out while we were there. Only once was the elevator crowded.If you do stay here and need them to store bags on last day make sure you get down early. They told us they have run out of storage space (small closet under stairwell on lobby level).	
Apr 15 2006	Good Value at the Holiday Inn Express	On our most recent visit to NYC, we stayed at the Holiday Inn Express for its cost and excellent location close to the Broadway shows. Although the rooms were very small, our hotel room was clean, our breakfast was included, and the staff were exrememly helpful. They stored our bags for the day after check-out and provided directions as needed. If you don't mind a small room in a very tall, narrow building, this is a great value for NYC!	
Apr 10 2006	A Great Bargain 	Spent 3 nights with a family of 2 adults and 3 kids in one double bedded room. Paid $179.00/night thru the Holiday Inn Express website. Fantastic rate for this hotel and location. 2 blocks from Rockefeller Center, St. Patricks Cathedral, Times Square. Much shopping and many dining choices all around. Super service. Everyone at the hotel were friendly and very helpful. CLEAN - CLEAN - CLEAN. Hotel is brand new so nothing to complain about at all. Felt very safe and very comfortable.If there is a negative it is the size of the rooms. Cramped, but average for NYC. Front desk reception aisle is literally an aisle way, seperated from the breakfast area by the buffet bar. Sometimes difficult to maneuver in or out of hotel on either side as it's so narrow. 5-10 peoople in the lobby area and it's a crowd! Forget it though -- go and enjoy!	
Apr 9 2006	Clean Comfortable would book again!	Thoroughly enjoyed our stay at the Holiday Inn Express in NYC. My Mother, sister and I stayed for a weekend birthday celebration and were very pleased. It is a great value for the price. The free continental breakfast was just the right way to start a day in the city and the location is outstanding. Walking distance to Fifth Avenue attractions, Times Square, etc. Very clean, great showers and comfortable beds. Don't hesitate to book. Perfect hotel for a weekend shopping trip to the city.	
