	Great Value for NY - but SMAAAAAALL.	If you´re not bothererd by the fact that the toilet is outside the room and shared with a few other guests from your floor, it´s not an issue. If you´re on your own in the cuty and have few luggages, it won´t be a problem either. After being to NYC many times, there´s no need to stay in midtown anymore... which makes the hotel location perfect. It´s a very charming place and the owner is a really sweet person, always with a smile on his face. It´s spotless and housekeeping does a really nice work. The room is cozy, but too small, and the tiny window makes it a bit claustrophobic... Anyway - paying $150 with taxes to be that well located in Manhattan is sometimes worth it.	
Nov 5 2006 	Exactly what I expected: a good thing!	My husband and I attended a wedding in NYC and needed an affordable hotel for three days. TripAdvisor reviewers wisely recommended the Chelsea Lodge and my stay was just as good as I thought I would be. These are some things I knew from reading past posts: the hotel was on a residential street with no sign outside, it was small, charming and a little cramped in the rooms, front desk service is spotty, room service is great and sharing toilets isn't as weird as you think it might be. All of that was true. However here are some other things that made us pleasantly surprised: While the front desk doesn't exactly go out of their way for things, they certainly were nice to us--we got directions, they took some pictures for us, we got to check in a little early and they helped us with our bags. What more do you need? Also, we were on the third floor facing the street: with the window open, you get the usual NYC noises, but when we shut it, it was extremely quiet and no neighbors were loud at night, so we got great sleep. Being on the third floor does mean having to climb 2 flights of stairs, but if you're reasonably fit, it's not really a problem. In addition, even though the room was pretty small (and I agree with another poster--NOT good for long stays unless you have light baggage), we had a comfy bed, the shower and sink in the room worked fine and the room definitely had a cuteness to it. In fact, the picture of the room on the website looked exactly like ours. And sharing the toilets really was no big deal at all. They were both right across from our room and were always clean, fresh and I never had to wait once. In fact, I never saw anybody in the halls at all! I sometimes felt like we were staying in someone's guest room! All in all, if you like a quiet neighborhood setting opposed to 5th Ave. and you don't mind the smallness of the rooms or sharing the toilets with others, well, then $114 a night is worth it!	
Nov 2 2006 	To be recommended...	All the positive reviews of the Chelsea Lodge are fair, and I totally subscribe them. My only small problem was the cold: it was mid-october, it was already getting quite chilly outside and also in my room, and the hotel had the heating off. Told the guy in the reception, but nothing could be done.	
Oct 16 2006	Generally good but a few things to be aware of	Finding a low-priced hotel in New York that isn't a rat infested dive is a problem but, for the most part, Chelsea Lodge provides a good base from which to explore NYC.We stayed at Chelsea Lodge for 5 nights in early October and it was fine.The building is in a quiet side street in the Chelsea area, but is only 2 minutes from the nearest subway station on 8th Avenue. It's about a 15 minute walk to Madison Sq Gardens and a 30 minute walk to Times Sq or the the Empire State building. The nieghbourhood is very safe, very gay and has a lot of good places for eating and drinking (there's a cafe round the corner called The Dish, does great brunch deals for $10)On the plus side, Chelsea Lodge is well maintained and the rooms are nicely decorated. They have wooden floors and also have shower/sink in the room. The shared toilets are spotless and are not a problem, as there are 2 toilets between every 4 rooms.On the negative side, the rooms are very small, with many having the bed against the wall and only a few feet of space around it to move around. The biggest problem though is the soundproofing at this hotel - there isn't any! Because there are so many rooms and toilets packed onto each floor, every conversation, movement and sound can be heard from neighbouring rooms (or worse, the toilet!).The service is okay - though we had much better and friendlier service at other hotels in the USA where we stayed.Overall, Chelsea Lodge is a sound budget choice if you're going for an action-packed weekend in NYC and will hardly be in the room, but if you go expecting to have a quiet time and a romantic room with a view you'll probably be disappointed!Another tip is to try and get one of the rooms on the first floor closest to the stairs, as they don't have a toilet next to them and are slightly bigger than the others. Those that share a wall with the toilets are probably the worst - for obvious reasons.	
Oct 11 2006 	Loved it!	Great value accomodation for the price. The room was spotless and cleaned daily, towels were also changed daily. Shower in the room worked really well and I much preferred this than having to share a shower (as we had done in another place previously). If i had to complain about one thing it would be the size of the wardrobe but really we didn't have that many hanging clothes (the wardrobe is down the side of the shower in the pics). We were on the 3rd floor, room had no view but that never bothers us. Air con was a def plus point. No noise from other rooms other than opening and shutting of doors which you get in any hotel.Lovely area, plenty of restaurants and bars and subway within walking distance (23rd and 8th). Would definately stay here again.	
Oct 8 2006 	Felt at home in NYC	My husband and I stayed at the Chelsea Lodge Suites in a Parlor Suite (Suites - more like studio apts, Lodge - in a building down the street are rooms with shared bathrooms). The location in Chelsea is perfect....it's on a tree-lined street with other lovely brownstones, near wonderful restaurants, several subway lines are within a few blocks. The Suites room we stayed in had a clean kitchenette with frig and stove, making it easy to keep and grab snacks/drinks after a long day of walking through the city. The bathroom was also clean, and the housekeeping staff refreshed our towels, and made the bed everyday. It was wonderful, and we will certainly make it our &quot;place to stay&quot; when visiting Manhattan.	
Oct 3 2006 	Great spot	The Chelsea Lodge is our favourite place to stay in NYC. The location can't be beat - walking distance to many of the tourist attractions, also close to subways, and the food is more affordable because it's a real neighbourhood, not like Midtown, which just caters to tourists' wallets. The lodge is located in an old brownstone, which has been brought up to date. The rooms are very clean and modern, and you get your own shower and sink, leaving you to have to share only a toilet. Hallelujah! And for only $110 a night!We travelled there last summer with friends, and all of us stayed at the Chelsea Lodge. It was a great home base, and everyone was happy with their rooms. The dude who worked the front desk did not seem to be capable of cracking a smile or offering up a nicety, but he did let us leave our bags in his office before we checked in and after we checked out, without a problem. Well, maybe he gave us a little attitude, but no worries. It definitely wasn't enough to prevent me from staying there again. This place is a real gem!	
Sep 29 2006 	Great location	I absolutely loved the location - it was convenient to the subway and also there were plenty of great places nearby to eat at night. You could also walk from midtown area or from Greenwich Village area (which I did a couple of times). The accommodation itself - the room was small but I was expecting that. I had thought there would be a double or twin bed in the room because website specified 'a full sized bed' - but there was a single bed. It was fine, just disappointing when I had been expecting a double. Only other problem was that it seemed like this single room had originally been joined with another single room next door - as the shower cubicle for next door was built into an alcove in my room. It only happened once but my next door neighbour decided to have a shower at 6.20am - and the noise was pretty unbearable with pipes creaking etc for a few minutes. If it had happened anymore, I would have complained but I felt there was also thoughtlessness on the part of the person next door. Shower in room was fine and TV was welcome too along with an alarm clock, which came in handy when I couldn't use the alarm on my phone for a while. I liked the decor in the room and hardwood floors. Only thing I would say is that I didn't get a great first impression on arrival because the room stank of cleaning fluid. Someone had gone overboard and the smell stayed in the room for a few hours because window was closed on a warm day. It wasn't a major thing and at least it proved the rooms were cleaned thoroughly. The reception staff weren't particularly friendly I found, they weren't rude but just didn't engage in conversation much. Overall, I thought it was a good value place to stay, and the location was really perfect. I didn't spend that much time in my room so the size wasn't a big issue.	
Sep 21 2006 	awesome stay in nyc	i stayed at the chelsea lodge ove the 4th of july weekend. this was my first trip to nyc-from georgia. i was very nervous at first but when i got to the hotel my mind was eased. the place was very charming, very comfortable, and in a great neighborhood. the staff was friendly-they especially picked on my accent!! i loved it-made me feel very comfortable. the area is amazing. there are several &quot;nice&quot; restaurants with one block, a very nice little grocery strore, which i was shocked by. there are of course a million fast food, to-go places to eat, coffee houses and lots of delis. i must have gained 5 lbs in 4 days!! there is also a gap and another clothing store just down the block, and many corner stores and drug stores and a movie theater! and this was just on one side of the hotel, i didnt even make it to the other side. you could stay here and never have to leave the 2 block area. and the people watching was amazing-everytype, size , nationality, and ages all harmonious. i am planning another trip soon and will be staying here again. oh yeah good prices and you really do feel like you are staying at a house or apt. loved it loved it	
Sep 20 2006 	basic goodness	This was a nice, clean, basic place to stay in New York at an excellent price. Rooms are small, but if you don't expect to spend much time there it doesn't matter. The great thing about it is the location in a well-kept street full of brownstones, right in the middle of Chelsea, close to the A and C subway lines. There's a lot of bar/restaurant activity in the neighborhood, but the Lodge was quiet anyhow. We always felt safe even when we came in late. It is also close to a really excellent bakery, Bergamote, so your breakfast is not far away. I will definitely stay here again.My one and only criticism is that they need to start replacing mattresses. Mine was not terrible, but I did sense a little bowing in the middle.	
Aug 21 2006	Charming	We stayed in the Chelsea Lodge for 4 nights mid August 2006 on our honeymoon and loved it. The hotel is on a quiet leafy street and felt very safe. Chelsea is a busy neighbourhood which felt very down-to-earth and full of real New Yorkers. We stayed in 2 different types of room - standard and deluxe. Both were spotlessly clean and very pretty. The standard was small but perfectly adequate with a shared toilet across the hall- also spotless. The deluxe was definitely worth the small extra fee- very spacious with separate ensuite shower/ toilet. Both showers very good. The website photos do not do the rooms justice and Chelsea Lodge is excellent for such a reasonably priced hotel. Staff were very helpful yet unobtrusive. No breakfast on offer, though not a problem as loads of places nearby for breakfast, lunch, dinner/ nights out etc.The Chelsea Lodge is a charming hotel which is perfect for those who want something affordable and a bit different yet clean, safe and reliable. We would definitely stay there again and recommend it to other visitors.	
Aug 18 2006 	Great Find	What a find. From the moment I was greeted I knew I was in the right place. This is a small hotel with small rooms. The bed was very comfortable and the shower immaculately clean with plenty of hot water. True it doesn't have a WC in the room (one was immediately opposite my door) but I paid $200 for three nights, so crossing the corridor was no inconvenience! I've always paid more and got far less in NY. If you can, book early for this little gem.	
Aug 15 2006	Small in space = small in rates!	If you're looking to enjoy New York and just want a clean place to lay your head and shower for a good price then the Chelsea Lodge is your place. Located in a great central location you could not ask for a better hotel. Rooms are neat and clean, clean towels provided daily, walking distance from everything you want to see. Just wantch the parking if you rent a car.... NY parking police love to tow!	
Aug 13 2006 	Charming hotel nice neighbourhood but small room	Got to agreed with all the previous review. We stayed during the week of July 4 and it's so great to go back to a quiet neighbourhood after visiting all the busy tourist spots.Besides the thin wall, another reminder is there are 3 floors and they do not have a lift. Also, if you are bringing a large luggauge, you might find it difficult to open it in the room.Despite the above, we will still consider staying here again.	
Jul 30 2006 	Met our expectations	This hotel certainly lived up to our expectations and the other tripadvisor reviews. The hotel is located in Chelsea, in a charming residential, quiet street between 8th and 9th Avenue where you can find great places to eat and hang out as well as go out at night. The hotel as such as lovingly decorated. Our room was very much on the small side with a rather small bed, but the air conditioning was working fine, and for the small price we paid, we didnt exactly expect a palatial room in the first place! Showers and toilets were immaculately clean, our room was cleaned every morning and fresh towels provided. Our room was very sweet and the decoration so charming that size really didn't matter at all. The room also came with free wireless internet which was fantastic. The only thing I could criticise were the thin walls, meaning you could suffer if you had noisy neighbours, and the slightly unfriendly man that greeted us! The night porter was lovely, friendly and really sweet. The other guy was sort of grumpy and quiet and made me feel unwelcome. But then - who cares when you're in New York! I would definately stay here again. It's a bargain for what it is so don't tell anyone about this place. Let's keep it a secret!	
Jul 18 2006	Clean and Cute bit unfriendly though!	The Chelsea loge is in a great location, in the heart of Chelsea which is such a cool relaxed area of the city, with loads of restaurants and bars. The Lodge was very clean, and felt like you were stayng in someones home rather than being a anonymous hotel. We arrived quite late, just staying one night, but the night porter was charming and helped us with our heavy bags up to the 3rd floor. our room was small but fine for just one or two nights, with a shower IN the room (!!) and the loo right next door. the corridor was boiling hot however, so we had the air con on the whole time, and this was INCREDIBLY noisy at night --- bring some earplugs if you have trouble sleeping! the bed was quite small for two people, but overalll the hotel was so lovely this didnt matter. We paid $112 for the night. The owner the next morning though was rather unufriendly, and didnt acknowlegde us at all really when we checked out. I would return but would ask for a 1st or 2nd floor room that was a bit bigger and didnt have such noisy air con!	
Jul 17 2006	Lived up to Tripadvisor reviews and my expectations	I decided to take a last minute trip to New York for three days over the July 1 Canada Day weekend. I was travelling alone and wanted a clean place at a reasonable cost in Chelsea, not usually a realistic goal for New York. Tripadvisor reviews pointed me in the direction of the Chelsea Lodge, and I wasn't disappointed. I ususally stay in 4 star hotels when I am travelling with my partner, so I was a bit nervous. It is not fancy and the room I stayed in on the second floor was small, but it was all I was looking for and lived up to my expectations. The location is superb only 3 blocks from 23rd and 8th and the A, C and E subway lines. Only 10-15 minutes to Time Square Uptown and 10-15 minutes to the World Trade Centre Downtown. My room was exceptionally quiet, the air conditioning was welcomed on a very hot weekend, the sink and shower in the room were convenient, and the shared bathroom was no problem. I enjoyed several good restaurants on 8th avenue, and you can even have a meal at 3 a.m. in the City that never sleeps! I felt safe walking at any time.It's not luxury but a very good budget place that is clean and welcoming. Although I didn't get the names of the men on reception, I enjoyed my brief chats and they seemed genuinely interested. I would recommend this place and would return if I was travelling alone.	
Jul 12 2006	Pleasant Place to Stay	This is a great place to stay. We stayed here for 3 nights. The rooms were small but sparkling clean. The shared toilet was also always clean and we virtually never had to wait to use it. It is also in a really good location with plenty or reasonably priced restaurants nearby and also two subway stations within a short walk. We didn't find the staff to be friendly at all though actually (unlike previous reviewers). They weren't exactly rude but bordered on it with their &quot;bare minimum&quot; responses to our questions. But overall, compared with prices of other lodgings in NYC, I would say Chelsea Lodge is excellent value.	
Jul 10 2006	Upper Garden Suite- The only way to go	My husband and I stayed at the Chelsea Lodge for the 4th of July weekend. When I booked, I was not able to get the Upper Garden Suite for the entire stay, so the first night we stayed in one of the Deluxe Rooms (the only difference from the regular rooms is that it has its own bathroom). The Deluxe room was very clean, but too small for our liking. However, we cannot say enough positive things about the Upper Garden Suite. This suite makes you feel like you live in New York. It was an apartment that is now being used as a hotel room. The ceilings are high and the layout is cute. Also, there are no markings on the door so you don't get that hotel feel at all, which I truly enjoyed. The location of the hotel is superb, it is only three blocks from the closest subway (8th Ave. and 23rd St.). Some of the best restuarants are also in Chelsea. For breakfast try Murray's Bagels on 8th Ave. and for lunch or dinner try the &quot;Rocking Horse&quot; (mexican cuisine) or &quot;Spice&quot; (thai cuisine). We absolutely loved the food at &quot;Spice&quot; and the wait service is excellent. When we visit New York again, we will definitely stay in the upper garden suite at this charming hotel in Chelsea.P.S. James at the front desk is the best, very hospitable and willing to help with just about anything you need in New York!	
Jul 9 2006	like living in the city	I stayed in the chelsea lodge suites with my 2 aunts and my mother in may and the experience was really great. the room was suprisingly spacious even with 4 people. it had a well stocked kitchenette, the bed and futon were both very comfortable and although a little small, the bathroom had really good water pressure, even if the temperature was a little hard to control at first.i really loved the neighborhood. it felt safe and comfortable and was a 20 minute max. walk to time square without being too busy and crowded. it was suprising how much it reminded me of a mix of the gay village and the plateau in montreal. there's a really great place called billy's cupcakes that i reccommend going to if you want to people watch. it's crowded with minimal seating, but the people are interesting and the cupcakes are really good.having a place like the chelsea lodge to come back to after a day of exploring the city by foot was great. we've decided based on our experiences that this will be the only place we'll stay when we come to new york. prices for suites were 195$ for 2 + 15$ per extra person. fairly inexpensive for a clean spacious studio in a great central location. if you pay cash, you get a 5% discount at check out	
Jul 5 2006	Lovely hotel	My partner and I stayed at the Chelsea Lodge for ten days last month. We had to book quite a long time in advance and I now understand why. The hotel rooms are very compact but are very clean and well maintained in a New England country style. Each room has a shower and a sink but you have to pop along the corridor to the shared toilets. There are two toilets between about eight rooms on each floor and I never had to wait to use the facilities. The people on the desk are very friendly but not overly so. If you are looking for somewhere relatively inexpensive in a great location - it is in the heart of Chelsea, a five minute walk to Greenwich Village and near two subway stations - then I could not recommend a better place to stay. New York was a fabulous holiday and we will always have fond memories of the city and our stay at Chelsea Lodge	
Jun 13 2006	Chelsea Lodge - A Gem within the Big City	I just came back from my stay at the Chelsea Lodge. I have to say the previous reviews written about the Chelsea Lodge are true. The staff of the Lodge are extremely friendly. The rooms are very clean and the beds are very comfortable. I don't remember a bed being this comfortable in a hotel in quite awhile if at all. The shower is great, lots of hot water if necessary. Although the toilet is shared, I think it is a good thing because there was never any wait to use the toilet, so it would just take up more space in the room. Being a native New Yorker, who comes back to visit NYC annually, I can say that the Chelsea Lodge is in a safe part of town. Just in case you are looking for reassurance on that, on the east side of 20th and 8th (one block east of the Lodge), there is a police precinct. Subways or taxi cabs are just a few blocks away. The Chelsea Lodge is in a great central location of the city for virtually any activities you plan. For staying in the city, you can't beat the price. I would definitely stay at Chelsea Lodge again and you should try it too!	
May 23 2006	Loved the Chelsea Lodge	This beautiful brownstone is nestled perfectly into a landmark Chelsea block. The rooms aren't huge, but they are nice, and very clean. I would recommend this hotel to anyone and everyone, but book early, these guys fill up fast, and deservedly so.	
May 23 2006	Charming Chelsea Lodge	Our family of four has been ALL over, and we've stayed in every kind of lodging -- from five star hotels to very personal, homey B&amp;Bs -- and each one of us loved our time at the Chelsea Lodge.We stayed in one of the larger units, a Parlor Suite, and were surprised and delighted at the level of decoration and attention to detail for such a very inexpensive stay. This may be budget accommodation in price, but not in style, and certainly not in cleanliness! I only wish my own home would be so sparkling all the time!Our 13 year-old daughter slept on the spacious futon in the living area, while a separate cot (also quite comfortable) was brought in for our 9 year-old. The kitchenette was well-appointed and very useful for storing snack items, and the marble bathroom has a great shower.The location, in the heart of lovely Chelsea, is another big plus for this place; it's a little oasis of green and quiet to come 'home' to after a busy day in the City.There's nothing like having your own apartment in wonderful old NYC, and if you stay at Chelsea Lodge Suites, that's just what you will get.	
May 13 2006	Good price good location.	My wife and I stayed in the Chelsea Lodge for 2 nights in late April 2006.The Chelsea Lodge is in a nice and in our opinion safe area. Shops, bars, restaurants are a minute away, the subway less than 10 minutes. The property appears to be a converted house/apartments and has a lot of character. Our room was very small but in agreement with other reviews was clean. My complaints are no toilet in the room, lack of sound proofing (noise from other guests in the corridors etc), limited space for storing clothes and no safe. The hotel also does not have a lift.The staff are friendly and accommodating and for the money it is good value.	
May 9 2006	Great Hotel	I've stayed at the Chelsea Lodge before, and I've never been let down. The rooms aren't very large and the toilets are in the hallway, which I though would be a problem but I've never had to wait, and they are always clean.The staff are friendly and casual, and I like the fact that I never felt like just another guest. I would highly recommend this place.	
May 4 2006	Certainly lived up to the good reviews!	If you are not looking to spend a fortune on accommodation in NYC, the Chelesa Lodge is ideal. Well located in the fashionable and hip Chelsea, but on a very quiet side street, it is close enough to walk to the midtown sights or Grenwich Village, Soho etc.Rooms are indeed immaculate and not as small as I thought they might be. We had a garden view from the back, which probably also made it quieter. To echo other reviews - the shared toilets really are not a problem.Highly recommended for independent travellers who don't want the same old 'corporate' chain hotel experience.	
Apr 27 2006	Best Deal Around!	We have recommended the Chelsea Lodge to several friends: Location, staff friendliness, price! Arrived at JFK from California on a red eye, so got to the Lodge at 7:15am. Since a room was available we were permitted to check in immediately. Chelsea is a terrific walking neighborhood; the staff gave us tips on where to eat. Recommend getting a gallery guide, available from any of the many galleries in the vicinity: You can find out where all the artisits' openings are - normally open to the public - it's a chance to meet locals.	
Apr 11 2006	Go stay at the Chelsea Lodge great location for your trip to Manhatten	We stayed for six nights at this perfect small brownstone hotel; we wanted to experience the real New York. We found Chelsea to be a safe, quite neighbourhood. Chelsea Lodge is spotlessly clean, all rooms having a daily maid service when towels are changed every day. The rooms are cosy and small with a good shower, washhand basin, TV, ceiling fan and alarm clock, the restroom is down the hall but also spotlessly clean. The staff when encountered are friendly and helpful. The hotel is close to 23rd Street subway; we arrived from JFK via an easy journey on the airtrain and subway from Howards Beach.For breakfast can also recommend the New Venus Diner on 8th Avenue between 22nd/23rd Street where staff are friendly and attentive.For evening meals we can recommend Patsy's Pizzeria at 318 West 23rd Street which has an excellent family friendly atmosphere.We had a great stay in New York and can thoroughly recommend the Chelsea Lodge.	
Mar 28 2006	Little Gem	Excellent value for money. Staff were helpful, the rooms were very clean and the shower was great - constant hot water.Great area to stay and easy to get around New York from. Wouldn't hesitate to return.	
Mar 18 2006	Excellent	I stayed in a nice, small and very clean room. the people are nice and the lodge is near to metrostations (3-5 min. walk).an excellent choice!	
Feb 14 2006 	Excellent place to stay!	I stayed in the lower Garden Suite with my boyfriend for 5 days in mid October. (granted we went during their worst October rain in 100 years, but it was still a romantic stay.) I booked it based on reading the reviews on this site and I am so glad I did. It's a great place on a quiet street (as quiet as possible for NYC anyway) in one of the best neighborhoods there. It's right next door to a beautiful old church turned playhouse. Clean, quaint, and for NYC hotel standards, it was &quot;palatial&quot; as my NYC gallerist (I'm a painter) said when he saw the place, especially for the price. Jeez, you couldn't get a better deal. I could easily have lived in there for a few months very comfortably. You can't get a decent hotel room in NYC for less than $300 so for $195 we got our own private space with a garden, kitchenette and a giant bathroom (no tub though), but all VERY nice, and all newly renovated. I won't stay in a dump myself, and I was super pleased. I can't recommend the place more. It was fantastic! You can see the top of the Empire State building and it's very close to the C train + all the great Chelsea art galleries. We were able to walk to all the places we needed and we are not walkers at all, so trust me when I say it's close to all. A drug store is on the corner, stock up on some snacks for your kitchen and save a bit of money. (You can dine out once a day instead of 3 times that way.) Great places to eat all around. Even in the pouring rain, it was easy to get around when we hung out in the neighborhood. There isn't much in terms of room service and such, but if you like your privacy, it's great. They have even better deals if you stay in their main house a couple doors down and don't mind sharing a bathroom. Nice guys running the place too.	
Feb 14 2006	Lovely place	Spent 3 nights at this hotel in NYC and I really recommend it.It is very clean, cosy and very very quiet (we stayed in a room facing the back). The location was also great.However, when I booked the room I did not know the fact that the rooms do not have a private toilet (although we had a sink and a shower). Nevertheless, the communal toilets were always very clean, I must say.All in all, a good experience.	
Feb 4 2006	Excellent place!	I stayed there with my partner for four nights over for New Years Eve time. It's very central - and staff were very friendly. Very cute rooms with everything you need there (we had a shower in our room). For NYC at that time of the year, it was a very good deal!! Would definitely stay there again!	
Feb 3 2006 	For the money there's no better place!	Chose to stay at the Chelsea Lodge on the back of previous reviews in Tripadvisor. What can I say! If you're looking to do New York as it should be done then you need to stay here! Why spend lots of money on an expensive hotel when this is so well located and such a nice place. Rooms are spotless, I had a view of the Empire State and anybody who ever worried about the idea of shared toilets should think again - totally clean and better than many 4 star hotels!! Go, stay and enjoy!	
Jan 27 2006	Perfect for a short break on a budget	Like many others who have contributed reviews, I can highly recommend the Chelsea Lodge.I was staying in NYC on my own for a few days and found it very difficult to find somewhere that was not too expensive but was clean, warm and comfortable.I eventually settled on the Chelsea Lodge and it absolutely ticked all those boxes for me. It is close to all the attractions in the city such as the Empire State Building, Times Square etc and has two subway stops nearby to get you everywhere else. However, despite its closeness to all these things, the neighbourhood is very quiet and, indeed, very pleasant with tree-lined streets and lots of nice diners.The rooms in the hotel are fairly compact and pretty old-fashioned but very clean. Each room has a wash-basin and shower and a TV. The rooms are cleaned every day and towels and bed linen replaced.Sure, there's a shared WC, but on my floor there were two of them and one right beside my room, so that was great.I suppose the only downside is that parts of 8th Avenue can be a little seedy and the Chelsea area would appear to be the gay district of NYC, is that is something you are uncomfortable with. It isn't something I was used too but by no means was it off-putting.I have no hesitation in recommending this place. Very homely, very cosy and very reasonable. Go for it!	
Jan 17 2006	Highly recommend this cute Brownstone	First of all, all the reviews you have read about the cleanliness of this place.........BELIEVE IT! No seriously, I am a microbiologist and extremely picky about hotel rooms and the reviews were what sold me on it. We stayed here for 3 nights for the New Year's festivities. It was still decorated for Christmas which was so sweet. This place is awesome because it was only $115/night and had a 3 day cancellation policy with no charge! They didnt even jack the price up for New Year's like everywhere else does. The fact that there is a shower and sink in the room is a rare plus too. Beware, if you are a modest person and staying with someone, the shower doesnt allow for much privacy as you have to dry and dress in the room. The custodial staff were very perky and friendly and greeted us each morning. The guy that owns the place let us store our luggage there hours pre and post checking in/out which gave us much more time to hang out. When we came back, he had taken our luggage to our room. I have stayed in Chelsea before and it truly is the cleanest, safest, nicest part of NYC. Just a few blocks from the subway and you pass an Eckerd on the corner so you are easily accessable to snacks and drinks. Only a $30 cab ride from LGA. You can easily walk to Time Square from Chelsea Lodge.Anyway, highly recommend. For $100 there are a few improvements I would make like some coat hooks on the wall or non petruding shower handle.The shower is so small, we kept hitting it on accident and, OUCH! The water was scalding or like ice! Scarce storage area makes it hard to unpack bulky winter cloths like sweaters, coats, etc. Overall, I loved this place. Brownstones are cool! Especially this one. I will always stay here from now on.	
Jan 3 2006	Awsome Chelsea Lodge!	I spent months researching accomodation in NYC before I decided on the Chelsea lodge, mostly because of the reviews on this sight. I didn't want to do the backpacker thing, and had a small budget. Given there were so many good reviews, I figured that there must be truth in them, and I was correct. The Chelsea lodge was just awsome. The room was small but perfect in size. Hot water never ran out in the good shower in my room. Bed was comfy and the room warm. Each floor had a shared toilet, but I never once saw anyone on my floor in 4 days. The guys there were so helpful and friendly. The whole hotel is done up similar to what I would describe as an English pub - very homely and cosy, with interesting paintings and knick knacks decorating the halls and stair well.Location wise, there is 18th St subway a block down, or 23rd St a few blocks over. It was a great base to explore NYC. And no street noise at all! There are heaps of places to eat and have a drink - the area is very safe, as is all of New York. Travelling as a single white female for the first time to New York, I never felt threatened or worried walking about at night (only a little out of place as there are mainly gay bars in the area).In summary, I would recommend the Chelsea lodge to anyone, and I plan to be returning later this year.Thank you Chelsea lodge for a perfect stay!	
Dec 13 2005	Centrally located good value	My wife and I stayed one week in NYC at the Chelsea Lodge for sightseeing, shoping and entertainment. We chosed the Chelsea Lodge after researching on Trip Advisor. When we arrived at the lodge late we got a small room on the 2nd floor (no elevator), equipped with a queen bed, a shower, a wash basin, a set of drawers and a tv. The room was small but we had enough space for a comfortable base for our visit.The good things were: it was warm, clean and quiet. Even the shared bathroom was tidy. Staff was friendly though we hadn’t much contact.The location on the 20th street is a good deal, just three blocks from the next subway station and in a save neighborhood (a lot of gays seem to live here). It was quite easy to get there. We took the AirTrain from JFK to Jamaica Station and than the subway line E to 23rd St./ 8th Av. Took us a little bit more than one hour all in all. But watch out, there is no sign outside house No. 318 that says “Chelsea Lodge”.If you want value for your money and a comfortable, clean and quiet place, we’d recommend the Chelsea Lodge.	
Dec 7 2005	Home away from Home	Just got back from a long weekend in NY and this place made it!! We stayed in one of the Parlour suites. We would have preferred a garden suite but they were already booked, even though I booked over 3 months in advance! It was such a nice place to come back to each evening. The staff are really helpful when it comes to planning your days, with great advice on any activity.The only grumble I had was the noise from the people in the room above &amp; from the street, but neither were a problem.This is a great place and I would thoroughly recommend it to anyone planning a trip to New York	
Oct 25 2005	Good clean chelsea lodge	Stayed at this hotel for 2 nights. We had a bachelor apartment which I thought was great. Very ,very clean. Although I did not like the bed sheets (they were so flimsy and paper thin), but in the end it's only a bed. Furniture in room was old but again for the location of the hotel and the price (we pad 200 or 220 us a night, cant remember), it's well worth it. Enjoyed staying in chelsea compared to times square. The Dish restaurant (down the street), from the hotel is really good for breakfast!! Also liked the fact that it felt like we were true &quot;New Yorkers&quot;. Our batchelor apartment was in a brownstone which was really cool. If you pay cash you get a 5% discount at check out. If your looking for a place to stay that is &quot;no frills&quot; and you don't need assistance with front desk this is a good place for you. If you have your own apt, you don't run into the people who work there. People who worked there weren't that helpful, but I'm pretty easy going so I didn't mind. We stayed our last night at Best Western Hospitality house in a suite with a kitchen an seperate family room which was amazing!! ANd it was $183 us a night but they only had one night available and the other nights were $350. Subway is close by to chelsea lodge which is very convenient. Buy a day pass if your thinking of taking it throughout the day, its worth it ($7), unlimited bus and subway access. Also buy any theatre tickets online (cheaper), try Playbill or Ticketweb. Definitely buy your MOMA tickets on line, so you don't have to wait in line. If looking for a good restaurant, try Taboon (arabic food), really, really good. Warm foccacia bread served with their dips. We went for appetizers late one night, but there main courses looked amazing! This hotel books up pretty quick (the apartments), so call ahead. If you try to book online and there sold out, call the hotel directly, most likely they can probably accommodate you. Thanks for all the advice from others who have posted here. If it wasn't for them, I would of been lost. Thanks guys!!!	
Oct 7 2005	Great hotel!	A really fantastic hotel in an excellent location. I stayed there for 6 nights in Januray this year and for $99 a night it had everything I needed - a comfy doubl bed, tv, basin, and shower and the staff are really friendly and attentive. I shared a toilet just outside my room with another person, not that I ever saw them. I also had a great view of the Empire State Building from my bedroom. For people on a budget I can't recommend it highly enough.	
Sep 24 2005	Wonderful hotel!	We stayed at the chelsea lodge for 6 nights in june this summer. It was our first trip to New York. It was a lovely small hotel with nice country-like rooms. The rooms were always clean and tidy. the staff was nice. Once in the hotel it was very quiet and peaceful, even though it lays in the center of Manhatan. It felt like you were'nt in the city anymore. Which was a good feeling after a hectic day in New York. The rooms were also very cheap. It was a very pleasent excperience!	
