	Fantastic Hotel Great location Great Price Great Staff	Just back from a 4 night stay in the Marriott Eastside. I was a bit hesitant staying on Lexington Ave as on previous trips to NYC I have always stayed close to Times Square, but it was the best location ever. The hotel is located less than 5 minutes walk from 5th Ave and less than 10 minutes walk from Times Square. The staff were very friendly and efficient especially the Irish Porter from Donegal. He was so pleasant and helpful. We had room service one night as we could not walk any more after our day shopping. The food and service was great and only cost $70 for dinner for two with beer and tea included. Never again will I stay in hotels close to Times Square, I'll be staying in the Marriott. The concierge was great and organised a 'town car' for us to go the airport in and it only cost $75 including tolls and tips - again this is the cheapest fare we have ever paid to the airport from a hotel in NYC. This is my seventh trip to NYC and would have to say the best trip ever by far and this was all down to the fantastic hotel that I stayed in. I'll be back!	
Oct 8 2005	Needs to look at staff attitude	We stayed at the Marriott East side 10-14th September. The United Nations conference was on and we were in the middle of the security zone which made it very noisy and had lots of police and general chaos around. Despite this happening every year (I understand) the staff at the Marriott gave the impression of just not coping. I am a Marriott fan and stay at their hotels when travalling in the US particularly. This without doubt is the worst experience I have had. Others have mentioned the lifts ----- do they actually work???? On the Sunday, one was out of order, another one stuck between floors and the queue to go up was silly ----no member of staff seemed bothered. When the lift we got in dropped a floor and we managed to open the doors and get out and report it --- again no-one was bothered,. Eventually someone took us up to our floor in the service lift but that was only because our friends had a two year old in a pushchair.The rooms are very dull, the bathroom towels look as if they need washing before you've used them and our friends actually had damp towels placed in their room as fresh. We could not get breakfast without waiting/queuing for at least 40 minutes -- we went round the corner to a nice street resaurant and got served immediately. Checking out was met with few words and no help whatsoever to get my suitcase and bags to the taxi. Location was excellent, however the attitude of the staff here lets the Marriott name down greatly.	
Sep 27 2005 	Great Location very secure and comfortable	We stayed for 1 night at the Marriott East Side after disembarking a cruise and were thrilled to be allowed to check into our room at 9:00 am! The front desk was very professional and kind, the concierge was very helpful in answering questions about transportation etc... Our room was actually quite large with 2 double beds, the beds were fabulous! They were the new pillow top mattresses with beautiful down comforters and duvets. The beds were great after a day of running all over Manhattan!The elevators were a bit slow, common in older buildings. We did experience a problem with our telephone that was annoying, for whatever reason all the wake-up calls were routed to our room, we had our phone disconnected which solved the problem and the staff was quite accomodating and reduced our bill for the inconvenience. I would definately stay in this hotel again.	
Sep 11 2005	Wow! Far exceeded our expectations!	My husband and I booked a room through Priceline for $150 per night. The Marriott FAR EXCEEDED our expectations. In our past experiences, booking through a discount internet company usually got us the smallest rooms with the worst views and a tiny double bed. We called in advance asking for a non-smoking room with a King bed and they were more than happy to accomodate us. Check in was busy, but quick, and the people were really friendly. The room was very open and spacious, compared to other NYC hotels we've stayed in. The room and bathroom were both VERY clean. The only problem I ran into was a broken hairdryer. We called housekeeping to replace it, but we had to leave before they could bring us another one (we only had 10 minutes to wait though). To our surprsie, when we returned they had not only replaced the hairdryer, but also replaced the towels and toiletries we used, turned down the bed, and left chocolates on the pillow! The bed and pillows were very comfortable, the linens were really soft, and the AC kept the room nice and cool. There was no coffee maker in the room, but we don't drink coffee so we don't care. However, if you wanted a coffee maker in the room you could easily request it through housekeeping. The location was IDEAL! The 6, E, and V lines were just a couple short blocks away and we were close go running in Central Park. I would HIGHLY RECOMMEND this hotel and we would love to stay there again.	
Sep 8 2005	Nice hotel great location	I just stayed at this property for two nights and I didn't have any problems. The room was larger than average and nicely furnished. Of course it's overpriced like all New York hotels. The location is great--the subway is on the corner, you can walk to Bloomingdales, plus there's lots of other shopping in that area. And a Starbucks around the corner--what more could you want:)	
Sep 7 2005	It Works for Me	We spent four nights at the Marriott East Side recently. We were originally assigned a small room which faced Lexington Avenue. Although it didn't bother my husband, the street noise was so loud that I couldn't sleep. If you're a light sleeper, avoid that side of the building. After the first night, I advised the staff of my problem and they cheerfully and immediately relocated us to another room which was larger and extremely quiet. Some of the rooms are somewhat small, which his not unusual for New York. Try the W if you want to see really small rooms at prices which are equal, if not more, than the Marriott. I have to agree that the elevators were unbelievably slow. I attributed that to the fact that one of the three elevators which served rooms on the lower floors was out of order. However, it appears that this problem has persisted for some time. I've stayed at this Marriott before and I probably will again because I like the location and I've always been treated well.	
Aug 28 2005	Nice Hotel Great Location TINY Rooms	We, family of 3, just finished our stay at the Marriott East Side. It's a great location, right off of the 6 train, easy to navigate the city from this location. The hotel is very clean, but the rooms are about the tiniest I've stayed in at New York. We had a king and a roll-away, when the roll-away was down, we could barely navigate around the beds. We had a great rate though, so all in all it was worth it.	
Aug 5 2005	Don't Stay At This Hotel!!!! Read on...	Though this hotel is in a great location, it was a complete hassel in many ways and we now hate Marriott in general. The elevators are so slow and unreliable that we would have to wait 12 minutes in before getting an elevator to the lobby. Our friends actually got stuck in the elevator for 25 minutes and dropped 2-1/2 floors and Marriott handled the whole issue horribly. Other issues ... after complaining, the hotel informed us that a 30 minute wait to get an extra hanger was typical. We wished they just let us know up front so we didn't sit in our room waiting when we could have been sight-seeing. Only after a second request did we finally get our hanger. We also had to wait 40 minutes for our car to be brought around. Again, had they warned us we could have planned accordingly. The manager Nicole Ozan is arogant!! I strongly suggest you stay elsewhere. We have always enjoyed the Martinique by Holiday Inn, too bad they were booked. We were more disappointed at the general lack of care by the Marriott organization than anything (promised to call us in 3-5 to follow up on our complaint - after 10 days I called them back - on hold for 23 minutes - only to get told they weren't willing to do anything for us - not even an appology). Do not make the mistake of staying here when there are so many other hotel chains that will treat you as a valued customer. This hotel and the Marriott organization does not care if you have a bad experience and will not do anything to make up for it.	
Jul 28 2005	Definitely would NOT stay again	Having stayed in numerous Marriott hotels I was more than comfortable in booking 3 nights there for my family and myself. I expected the typical Marriott standard. However I was greatly disappointed in all aspects of this hotel. When I checked into the hotel there was no “hello” or “welcome”, the assistant simply said “name”. I felt that through out our stay the staff were rude and abrupt. We changed rooms originally due its dullness and lack of space for a camp bed, which I had emailed and received a confirmation back for but found lacking when we got our room. The second hotel wasn’t much better and had the same brown and grey colours and lack of space for a camp bed – which they tried to charge me for when I checked out when I never received one, or could have fitted into the room. My second major problem with the hotel was the time it to get a lift. I assure you that I am not exaggerating when I say we waited 6 minutes for a lift one morning. Also the room lacked a tea/coffee facility, which we waited for about 90 minutes before receiving one.I could on with why I wouldn’t stay in this hotel but I think anyone reading this review will gather that we did not enjoy out stay at the Marriott eastside, especially when they weren’t exactly charging cheap prices.	
Jul 13 2005 	Nice hotel great location	This is a very nice hotel, though it can be very expensive. The location is superb. The staff could be friendlier, but we are talking New York City. The rooms are small-to-medium, but very comfortable and very clean. I would recommend this hotel, along with the Marquis. For those who have stayed at the Marquis, it's much easier to get an elevator at the East Side!	
Jul 10 2005 	Disappointing 	As a frequent traveler very loyal to Marriott, I must say this hotel is certainly among the most dingy I have ever stayed in and seems to have been completely ignored when it comes to enhancements being installed in other Marriott hotels across the country. For example, you can forget the new lush beds that have been installed in most Marriotts - these are old and lumpy and very uncomfortable. I stayed in three different &quot;king&quot; rooms and question whether any of the beds were actually kings (mostly queens, circa 1960!).Rooms are very small (even for NY), and are run down with carpets dirty and furniture badly in need of replacement. Bathrooms are tiny. Basically, this is one of those few Marriotts that will give you a bad idea about the chain (which is unfounded, most Marriotts are excellent). Elevators are old and slow, lobby space is unimpressive, even the gym could use new equipment. You are FAR better off at the other two Marriott mid-town locations, which are on the west side (Marquis and the Renaissance Times Square). Both of those hotels offer modern room and nicer accomodations for the same price. Even the Courtyard Marriott on the east side, with its new room renovation, is a much better choice. I will say the staff does its best in light of the unfortunate surroundings. If you are a tourist and get a great deal, maybe this is the place for you. If you are a business traveler and have your choice of hotels, look elsewhere. One last thing - is it just me or does AAA automatically assign every large chain hotel at least three stars?? There is NO way this is more than a two star hotel.	
Jun 8 2005	Great Location Nice accommodations	Just returned from a four night stay at the Marriott Eastside in conjuction with book writers convention. The hotel exceeded our expectations, especially after some of the negative reviews we read on here. We had a room with two double beds for a family of four. The room was a typical size. The sink area was located outside the bathroom which was nice. The room was very clean, but I will say the carpets were a bit worn and stained. They need to be replaced. The location was great, walking distance to Times Square and R.F. Center. My boys loved the Nintendo Store.The concierge was very helpful. He recommended great restaurants that were kid friendly. The younger concierge working on the weekend didn't have as much knowledge about the city but was still helpful. We will stay here again in a heartbeat!	
May 12 2005 	Great hotel	I pretty much lived in this hotel for three weeks on business. As soon as the desk clerk saw how many nights I was staying, she decided to upgrade my room. It took some calling around for her to find something she could give me for that long, but I ended up in a large corner room with a nice view. I only tried the restaurant once for breakfast (typical New York overcharging - $18.95 for bacon &amp; eggs) and ate at the bar a couple of times ($14.95 cheeseburger). Don't bother with the mini-bar ($4.50 for a 10 oz soda) or the gift shop ($2.00 12oz can of Coke) - take a right out the front door to the deli on the corner and wet your whistle there at normal prices. There are lots of good restaurants within walking distance, and it's not a bad walk to Times Square or Rockefeller Center. The subway is close and I felt safe in the neighborhood even late at night. My only knock on the place is the $12.95 high speed internet charge when so many hotels will now give you that for free. Beds are extremely comfortable with down pillows, down conforters, and a featherbed. It's the best sleep I've had in a hotel in a long time, and I'm on the road a lot.	
May 11 2005 	Excellent Stay	Our stay was very nice at this Marriott. The location is only a few blocks away from Times Square. The rooms are a good size, nice, clean and include refrigerators. Using the hotel parking garage is expensive ($45 per night) but we were able to find street parking on Friday, Saturday &amp; Sunday evenings without a problem. The concierge was very helpful as well.	
May 3 2005	It was below my expectations and was not as good as the past	I stayed at this hotel almost exactly a year ago, and I have to say I was pretty disappointed the second time around. The room we were given the last time (the same rate level) was much larger, both in size of the main room and the bathroom. It also felt more luxe than the room we were given this time around. On one hand, that could be due to the fact that the first time we checked in around 10:00 a.m. and the second time we checked in around 11:00 p.m. But, stiil, it was disappointing. This time, the room was very tiny, not much room around the bed and the bathroom was very tiny and was almost the size of a 1/2 bath. The room was very dim and did not get much light where it was located (facing Lexington Ave.). What was really bad was that we had to change rooms when we first arrived for this trip. There was something on the bathroom door that resembled a nose &quot;booger&quot; and there were stains on the fabric shower curtain that either looked like blood or feces stain. It was really appalling. When notified the front desk clerk about the problem, we expected that we might be given an upgrade considering these problems. They did accommodate us and gave us another room, but it was comprobable. At the end of the day, and despite my issues, it did meet our needs and the bed was comfortable.One big problem with the hotel was the elevators. There were only three that went to the higher level floors. They were extremely small and could only fit a few people. Plus, it seemed that the hotel staff were using them as service elevators while they were being used for guests. With a normal, larger size elevator, this normally would not be a big deal. But, with a small cramped elevator it was a problem. They also ran very, very slow. There were times we had to wait 10-15 minutes for an elevator. On Sunday morning, we had to not only wait that long, but each time an elevator would come to us, it would be packed full of people and we had to wait for the next one. This was very frustrating.I didn't use any of the other amenities of the hotel, so I cannot comment on them.I can say that the staff was very professional, polite and helpful. There certainly was good customer service.One other positive thing is that the hotel is in a good central location. There are a lot of good places to eat and shop within steps from the hotel. Also, there was a great spa only a block away at the &quot;W&quot; Hotel, Bliss, where I was able to get a last-minute pedicure. It's also very close to about 4 or 5 different subway lines to other parts of the city.All in all, this stay was just ok, and that's why I only gave it two circles. However, if we were given a better room like last time, I would have probably added another circle. I may decide to try another hotel next time instead of returning to the Eastside.	
May 3 2005	Enjoyed the Marriott East Side	Stayed at the East Side 4/28 - 5/2. When we arrived I asked for upgrades for myself and another couple we were traveling with. We were upgraded with no problem. Yes the rooms are small, but most older hotels in NYC are. Our bed was very comfortable, nice linens and clean. Rooms are nicely decorated. Since it was a special occasion we were sent a nice bottle of wine with appetizers. Great location, have stayed at many hotels in New York, you can't beat the price at this location. I would recommend this property and will stay there the next trip. Very personable staff and good service.	
Apr 11 2005 	A Terrific Stay At The Marriott East Side	I had the pleasure of staying at the Marriott East Side on April 8th-10th, 2005.While regular check in time is 3pm I was fortunate enough that my room was ready and waiting for me when I arrived around 9am! Pretty good considering that the hotel was completely sold out (peak season-spring break). When making my reservation I asked for a king bed, smoker's room on a high floor. Upon arrival I was informed that all smoking rooms were located on the 3rd floor. I had no problem with this. My room was near the front of the hotel and the noise level from the street was quite acceptable (partly due to the thick walls and double paned glass windows);as a matter of fact, the whole floor was surprisingly quiet. The room was spacious and attractively decorated and the bath was quite spacious as well. I was very surprised that there were three telephones (two in the room and one in the bathroom). Everything was very clean, orderly and convenient. The bed in my room was extremely comfortable as it had a feather and down pillow top on the mattress and a feather and down comforter to cover up with. The heat and air controls located on the wall were a real plus as you can regulate the temperature just the way you like it. The hotel staff was very nice and they certainly went out of their way to make sure that my stay was enjoyable. The neighborhood is very safe. The hotel location is perfectly located as it is just down the street from a subway stop and is within easy walking distance to many popular sites and shopping. As a side note: There is a fully stocked mini bar and a snack rack located in the armoir but be careful; there are sensors in the mini bar and snack rack, so if you grab something from either location you will be charged a huge price for that item (example: $3.75 for a bag of chips or popcorn that you would normally find in a vending machine for $.50). You'd be better off picking up something at a nearby deli or store.All in all, my stay at the Marriott East Side was excellent and I'll definately make a reservation for this hotel again.	
Apr 8 2005	Great hotel	My Mum and I stayed at this hotel during thanksgiving and found it very nice, we had no problems at all. Nice area very close to 5th Ave,which is where we spent alot of time shopping or window shopping. The hotel staff were very helpful and organised our helicopter trip and sent us on our way in a taxi. Breakfast was very good, room was really nice beds were so comfortable. Would stay here again, loved it and loved New York	
Apr 5 2005	Will not stay again.	I stayed there March 4-6, 2005, I booked a room for 4 people. When we arrived at 11am, they told me they only had a room with one queen size bed. Then the girl told me they had a Concierge Room on the 31st floor she could give me. The room was nice, but extremely small for 4 people. I asked if some rooms would open up later in the day and she said &quot;NO, we're booked solid,&quot; which I didn't believe because she didn't even bother checking. She offered to bring in 2 rollaway beds, which they did, but then there was no room to even move in the room.Good thing we only were in there to sleep. The room was too cramped and very warm all the time, there was only one small window. I even called and faxed them to confirm that we'd have 2 double beds to accomodate all 4 people but they kept telling me they couldn't guarantee it. The only good thing was that it was in a nice area, close to many attarctions. I probably would not stay there again, I went to stay at the Hilton New York on 54th the last night and the room there was much nicer, and more roomy.	
Apr 4 2005	Good service and standard rooms	The hotel's location and service are both excellent. My husband was surprised when the lady who took care of our room called him by his first name.The room is pretty average, but good enough for what we needed.	
Mar 30 2005 	DECENT	Stayed here for 5 nights. LOCATION: NOT BAD at all and couple of blocks from 51st, 6 train station and or walking several blocks to grand central to get subway access. Not too busy around the area compared to Times Sqaure.HOTEL/ROOM: Room(s) are little small, but then again so are most rooms in NYC, anyone been to the ROGER WILLIAMS? now, that's small! My room was very clean and everything worked as expected. I've been in bigger rooms, Marriott Marquis for example has huge rooms in comparison to Eastside, If your more than 1 or 2 people expecting bigger rooms, you may not want to stay here as you will be disappointed. I would consider their KING size rooms at best: cozy.There were quite a few times we walked down the hallway and considering all the rooms were non smoking, we did smell cigarette smoke and one time, we could swear we smelled pot smoke. Hotel was overly quite at night except for typcial NYC sounds like cops/firetrucks/etc.Would I stay here again, not likely, unless it was a 1-2 day trip. If your looking for a decent place off the beaten path and aren't keen into space/amenities then this hotel/location will more than meet your needs. If you want luxury/better location/MORE ROOM, consider elsewhere.I've been in better places in NYC, I've been in worse. It met my needs.	
Mar 23 2005	Decent local average rooms	This hotel is decent, however, we have stayed at nicer places...Foremost, the rooms are too small. Unlike anything we've ever seen before. We asked for a non-smoking room, yet, are room smelled of cigarettes. They were supposed to air it out, but forgot. We were issued another room, which sufficed. We are not big complainers, but the maids were serious door slammers. This is understandable, but we just didn't care for our experience. Nor, would we go again. Decent location, but simply, undesirable.	
Mar 21 2005 	If you can avoid it--AVOID IT	Went into NYC for a business meeting. Stayed at the Sofitel for the weekend before (great place) and then had to move over to the Marriott for work after the weekend was over. Letdown doesn't begin to describe it. I was in a tiny (and I mean tiny on NYC standards) room, dirty/worn carpet, etc. Certainly not what one would expect from a Marriott. And the elevators were HORRIBLE. It was not uncommon to wait over 10 minutes. I took to taking the stairs from my 21st floor room. Next year when I return for the same meeting, I'll avoid this Marriott at all costs. The Inter-Continental, W and Waldorf are all on same corner. I'll be at one of those.	
Mar 21 2005	Brutal Elevator	I stayed here twice on business because the hotel is close to my local office. Hotel is OK (beds are better than average for Marriotts).Elevator is ridiculous. Waited an average of 8-10 minutes in the morning to get downstairs.First visit: My colleage staying on 15th floor was supposed to meet us in the concierge lounge for breakfast on 46th floor. He had to go downstairs to lobby, take a different set of elevators to the 42nd floor, then another different set to the 46th floor. It took him almost 20 minutes!Second Stay: It got worse. 1 of the 3 elevators was &quot;supposedly&quot; being repaired - but obviously no rush since I was there 4 days and it was broken all 4 days. When the waiting crowd got angry enough, one of the bell hops would take a few people up the service elevator.It's amazing how a simple thing like an elevator can really ruin an otherwise decent hotel.	
Mar 17 2005 	Terrible Room	I just stayed in this hotel on a business trip. The room was in a terrible shape. The carpet was heavily stained; there was a hole in the wall; the walls, window sills, molding were dusty, and there was mold growing around the vent in the ceiling.I got into the room so late, that I just went straight to bed and decided to call to change rooms in the morning. I had an early breakfast with 3 other people, with rooms in similar conditions. Two had try to change rooms unsuccessfully. Since I was just staying for two nights, I didn't try.Needless to say NONE of us will stay here again (we all went back to our companies and sent out email warning others to avoid this hotel and notified (in group) the company organizing the event we were attending - however, their staff was staying here and had the same experience so they already knew!).I was upset with myself for not checking TripAdvisor to see how this hotel was rated. Now, I guess it wouldn't have mattered since there were so many postive ratings, I would have stayed in this hotel.	
Mar 17 2005	Disappointment in Marriott Eastside	Stayed at the Marriott Eastside Nov. 26 and 27, 2004. I was given one of the smallest rooms possible in the hotel even though I am a Marriott Platinum member. Do not believe the detailed amenities on the Marriott website because there is no coffee maker in room, separate tub and shower, or bathtub with spray jets. Had to ask for robes. This is the worst Marriott that I have stayed in NYC. The Marquis, Rigah Royal, and Renaissance Time Square are far better choices. I informed the manager of the discrepancies on web site and he just said &quot;Oh the website is not correct&quot;. He made no effort to get Marriott to get the website to correct their lies, because months later it is still the same. The other reviewers that claim this is a great hotel have obviously never stayed in a great hotel. Marriotts in D.C., San Francisco, San Antonio, Nashville, and even Indianapolis far outclass this hotel.	
Mar 8 2005	Great Stay!	I stayed at this hotel last weekend and was worried before arrival because I was told the hotel was sold out for the weekend and I might not get the two double beds I had requested. When I arrived the staff was very helpful and although there were not many rooms left with double beds we were able to get one. The room was a great size and very comfortable. I will most definelty stay at this hotel again!	
Mar 4 2005	Great Hotel....	Stayed in this hotel for 4 days in November and it was a pleasure from start to end.... We were first greated by a very welcoming doorman (didnt get a name but he had a red beard!), he was very helpful in advising us the best places to eat and of course the best Irish bars in town. On the 2nd night of the holiday the bathroom slightly flooded due to a fault with the toilet plumbing (this is the type of thing that cause ruin your stay but....) the maintanence team were straight up to fix and although none of our belongings were damaged or the bathroom itself - It was a very small flood, were were upgraded to a better room and our room service bills were cleared.. Would definatly stay here again...	
Feb 25 2005	Great location	My daughter 12 and myself stayed here for 4 nights in February. Fabulous location, very helpful staff. We arrived early and our room was ready. The room was very dark but it didnt matter as we were out lots. Good location for subway, so close to 5th Avenue and Central Park. A lovely hotel.	
Feb 16 2005	Fantastic Marriott East Side!!	Fantastic hotel and location!! This was our first trip to the Big Apple for my wife and I so we wanted a really nice hotel in a central location so we travelled to this hotel based on the reviews of others on this site and we were not disappointed, the room was large enough to handle all the bags of shopping we had brought, the staff were friendly and more than willing to help especially the concierge and the guys who looked after our bags and booked our taxi for us to the airport. The hotel was in a perfect location being almost in the middle of everything we wanted to do and see. We didn't use the resturant here as we wanted to try food outside of the hotel. When we return to NYC we will come back again.	
Jan 15 2005	Excellent Location and Good Value	We stayed here for a week over Christmas 2004. All of the staff that we came across were efficient, helpful and polite. The room was quite large for New York and we had no problems throughout our stay.Location was excellent. The hotel is only about 10 minutes walk from Grand Central, and only about 5 minutes walk from the nearest Subway stop. Central Park is about 20 minutes walk and Times Square a pleasant 30 minutes. With Grand Central being so accessible, anywhere within the Manhattan area can easily be accessed by subway. We didn't eat in the hotel as there were plenty of good eateries in the area, covering the full range of cheap fast food, to more expensive menus. For those going at Christmas time, the Rockefeller Centre and its amazing Christmas tree is only about 10 minutes walk away. Whilst we would have to say that we have stayed in better hotels, for location and comfort in an excellent location in New York, I would highly recommend this hotel.	
Jan 1 2005	A nice stay at the New York Marriott East Side	For our Christmas trip, we chose the Marriott East Side to be away from the Times Square crowds. This hotel is very quiet at night (at least our room was!), and the beds with down duvets are lovely and comfortable. The staff is unfailingly friendly. The location is good, as it is less than two blocks from the entrance to one of the major uptown/downtown subway lines. Additionally, one of the regular stops for the Grayline hop-on/hop-off tours is right across Lexington Ave. at the Waldorf Astoria Hotel. The only negative for me was that the room/bathroom arrangement of the standard rooms isn't really convenient for a family. Our son is now 14, and we need a room/bathroom arrangement where there is a vanity and sink area located outside the bathroom, so that one person can be showering while another (i.e., Mom) can be doing the hair and make-up thing without a fogged up mirror. This made getting ready in the mornings a little more time-consuming. For two people, the standard room is fine. While staying at this hotel, venture around the corner on 50th Street and enjoy dinner at San Martin - a lovely and moderately-priced (for New York) Italian restaurant.	
Nov 21 2004	Shaky at First but Got Better	When booking I requested a non-smoking room for four with two double beds.I arrived late due to a missed flight and was given instead a room with only 1 king bed and it was on a smoking floor, so it smelled badly. (While I was told about the bed, I wasn't told beforehand that the room was a smoking room.) I went back to the front desk to see if I could switch to anything else. The desk wasn't helpful, and when I asked if could try to switch rooms that morning, the man behind the desk just told me come back in the afternoon the following day and maybe I could get a different room.I tried to get the manager but he was not helpful and I never got to even speak to him. At least the following morning the front desk had a helpful young woman who got us switched out.The rest of the staff (conceierge, bellhops) were good. The restaurant staff was good, too, and the meals all right. (I only had breakfasts there.)The rooms are ok, but even our new room twice had plumbing problems. This isn't too suprising, however, given the age of the hotel -- it was built in 1924. Aside from the smoking room, the rooms were tidy and comfortable. Size-wise, they were about average.The location of the hotel was great -- St. Patrick's Cathedral and the Rockefeller Center were just a couple blocks away. Bloomingdale's, Grand Central, and the Chrysler Building are just right down the street. Times Square, the Empire St. Building, and some other main attractions also are only 15 or so minutes away by foot.Despite some shaky service at first, overall this hotel can be recommended, mostly because of its prime location.	
Nov 18 2004	Not bad..	I stayed here for several nites for business purpose.Great rooms and loved their marble bathrooms.But if i were a tourist and wanted to do something very NYC, I don't think i'd stay here.Not saying it's not a good location because it is very close to the Grand Central and not so far from 5th Ave. but I am a downtown girl and I love the charms of downtown. Never eat at their bar though..very very overpriced even for nykers and their food is even worse than a typical NYC diner. There are tons of nice bars around the area..go down to 2nd ave. but forget the fancy looking bars on Lexington ave. It's just for tourists.	
Oct 11 2004	Great stay..great value...close to everything	We booked 2 rooms at $209 each via the web and when arrived on an early flight (9am) we were hoping to drop off our luggage at the hotel and then check in later. To our delight one of the rooms was ready so we used it to freshen up and start our journey. Staff was very friendly and helpful. Beautiful lobby with Starbucks coffee and breakfast area. We liked the quiet rooms (try booking rooms #35 or #36 on any floor which are away from the elevator). Hotel is close to 51st Street subway line. Lexington is only 6 blocks away (very walkable or a $5 cab fare) from Broadway. Glad we didn't book right at Times Square due to the 24/7 noise and traffic. Rooms were very comfortable and well decorated with interesting lighting and goose down duvets great pillows and mattresses. Close to everything yet far enough away to get a good night's sleep.	
Oct 5 2004	Great hotel great stay	Great location, great service! This was my first trip to New York, and I was so glad that we decided to stay at this hotel. We had thought about staying at another hotel, but based on reviews that we read on this site, we decided to give this one a go. We couldn't have been happier with the location, and the service was speedy and friendly. One morning while getting ready, our room lost power due to a blown fuse. We called the front desk and within five minutes a service man was up in the room and had the problem fixed in seconds. One nice touch was that wake up calls are given along with a quick forcast of the coming day. Easy to decide how to dress...	
Sep 15 2004	Very nice	Stayed over Labor Day weekend and liked the hotel very much. Got decent rate via Orbitz. Unfortunately, discovered at check-in that Orbitz does not pass along bed request. (I should have called the hotel ahead of time to check.) We had asked for 2 doubles for my wife and I and 2 young kids. All they had was kings. But the staff was very helpful and bumped us up to the largest king room they had which allowed plenty of room for a roll-away. Still ended up with 3 in the king but worked okay. Room was very nice and high up with good views. Staff was very nice and prompt with bags, car, etc. Good location just a few blocks east of Rockefeller Center and St Patrick's Cathedral. Nice exercise room. Did not eat at hotel because too many other places to eat in New York. By the way, we booked tickets for Statue of Liberty tour by phone (their web site was down). Paid a small service charge per ticket but it allowed us to book a time in advance. Get the observatory tour. Both are free but the observatory tour lets you go up to the top of the pedestal (near her feet) whereas the promenade tour only lets you in the museum inside the base.	
Sep 6 2004	3 days girls only trip!	Great hotel, great service, but the fridge they advertise you can't use because if you remove something to make room for your thingsyou are automatically charged for it. Also we noticed one of our purses was stolen out of my luggage, lock your suitcases!!!! All in all the trip was fabulous and the new yorkers we found to be very friendly, would avoid the subway though,way too confusing!!!!! Take cab or bus!shopping was awesome!!!!!	
Aug 27 2004	Ideal Mid-town Hotel	Our family of 4 spent 3 nites at the Marriott East. The hotel was outstanding for the $149.00 rate. Many other families were staying there along with the usual business people. Other hotels on Lexington were obviously not as nice. Many nearby restaurants, especially towards the train station. Times Sq. was very walkable, but Central Park was better handled with an $8 cab ride.The hotel was clean, newly decorated. There is a light fare for the breakfast on the go. Didn't use the restaurant - we wanted to try places where 'locals' eat - and weren't disappointed. We are Mariott frequent flyers and now have a free hotel stay coming!	
Aug 19 2004	Family Reunion and Great Fun	My husband, daughter and I met my family (they came from California) on August 10-15, 2004, for a family reunion and sightseeing trip - No one out of the 9 of us had been to NY before so it was a good destination. We booked the air/hotel on Priceline and so did the California family. We were lucky enough to get this hotel. In total we had 4 rooms and all were comfortable and clean. I kept reading about the comfy beds and 'yes' the beds are comfy. Our rooms were on the 5th floor and everyone was happy with them except me. We had a room right on Lexington so the street noise was a bit loud. I was happy when the A/C kicked on to drown out the traffic noise. The rooms off Lexington would have been better. We had a lamp plug that was broken, a shower head that got stuck in the massage mode, a blowdryer break, and the room lights went out after using the iron and blowdryer at the same time BUT the staff fixed or replaced everthing right away. All the staff was friendly and helpful, even the doorman offered to take some pictures of my family in the lobby on our last day - he was even pleasant after being asked to use 5 different cameras! The location of this hotel was central and convenient. Good breakfast at a Deli a few blocks away. I will be back to NY and this hotel.	
Aug 3 2004	Very nice stay at Marriott East Side	Good location. Clean, comfy, cozy room. We thoroughly enjoyed our stay here.For our 8th anniversary, I cashed in some Rewards points and booked a weekend at the Marriott East Side. First night FREE and second night $199. Parking at the lot 2 blocks away was going to cost $72 for 2 days. I opted for Marriott's valet parking for $76 instead. They probably put it in the same garage 2 blocks away, but I didn't want to tow our luggage back and forth myself. Plus, on check-out it was raining, so it was a HUGE convenience to have the vehicle waiting for us right out front on Lexington. The room was a standard king bed on the 23rd floor, couple doors down from the elevator, with a partial view looking south down Lexington (top of Chrysler also in view). We really liked the room. It was relatively small, but not cramped; cute and cozy! The king bed was comfy; flanked with endtables and lamps. The TV armoire was in a corner near the foot of the bed, well positioned. A soft chair adjacent to the armoire at the foot of the bed, with the window behind it. The good-sized work desk and phone had ample plugs and ports for setting up my laptop. I was able to get on-line for free because I have an 800 number modem dial-up with my company and the Marriott did not charge for outgoing 800 calls. The fridge in the room was stocked with all the expensive drinks and snacks, and there was no room to put any of our own things in there, but I read that they would provide a complimentary mini fridge if asked. We had a small cooler with us anyway. The decent size bathroom was all marble or granite. Very nice. Hair dryer equipped. Iron and board in the sliding mirror door closet. Didn't perceive any elevator noise whatsoever. Street traffic wasn't bad at all, especially 23 floors up. Occasional police or fire truck siren during the night, but no big deal to us. AC in the room was strong, and the shower water pressure was very good. There is a Starbucks station in the lobby, and there are Starbucks up and down Lexington St and throughout midtown. One deli next door, and hundreds all over town on every up/down/cross street. Location is 3 blocks from Rockefeller Center. Metro runs right down Lexington Street, but we walked everywhere, confining our sightseeing to the lower park and between Lexington Street and Times Square. 5 minute walk to Rock Ctr and 10 minute walk to Times Sq and Central Park. The staff we encountered was pleasant and helpful. I would definitely return to the Marriott East Side.	
