	Great Value for Money	Recently stayed here with my daughter. Really nice hotel in Downtown location. Close to Soho, China Town and Greenwich Village. Subway 5 mins walk to Uptown Manhattan. Staff very friendly and helpful. Would recommend this hotel. Within a 20 min walk to the financial district, World Trade Centre and the Staten Island Ferry. Great Value for money, with a good restaurant. Rooms clean and although not big, they have everything you could want. If you want a drink there is a central tea/coffee making service on each floor.	
Jan 3 2006	Better than I thought!	My fiance and I stayed at the Tibeca Grand between Dec 30, 2005 and Jan 2, 2006 because we couldn't get a reservation at the Mercer.All the talk of the noise from the first level bar is incorrect and we did not have a problem with that although we were on the 5th floor. There are 8 floors, so ask for the highest when you go.Service was great and we found the staff to be friendly, welcoming and accomodating without the &quot;New York attitude&quot; that so many of the hotel staff seem to have.Great bar (no too over priced) and a great business centre. The concierge was also very helpful.Book on the hotel's website to get the best rate and little goodies, like a welcome cheese platter and free local calls.I would definitely stay at the Tibeca Grand again!	
Jan 2 2006	Loved the Tribeca Grand	Stayed at the Tribeca Grand for two nights for their New Year's Eve party. We had a Grand King room on the top floor (8th). Room was good size for NYC. Bose stero and CD's were a nice touch. The noise from the atrium mentioned by other posters did not bother us at all. We walked through the SoHo Grand as well, I did not care for their lobby/bar area. The New Year's party was a blast. Would definitely stay here again.	
Jan 2 2006	Great Hotel!!	My husband and I just came back from spending New Years weekend in NYC at the Tribeca Grand HotelThey offer different packages on their website so we purchased the 1st Class package. It was $399.00 for the first night and the 2nd night was discounted at $221, which for New Years weekend I thought was a steal. After we checked in, they offered us a glass of champaign with ginger syrup and a twist. The bellman took our bag and we headed through to the atrium, which was incredible. It's very modern and trendy with a home-y feel. A glass elevator that overlooks the atrium, took us up to our room. The room is a nice size and decorated modern and simple. It has internet access and a work station right in the room which included a fax machine. There is also a 24 hour business center with computers on the main level.We received a complimentary plate of fruits and chocolates the first night there which was a nice touch.We ordered a pizza from room service one evening and it was at our room with in 25 minutes. The menu wasn't over priced as far as room service goes. Sunday morning they have a brunch set up in the atrium and it was out of this world!! It was $25.00 a person plus drinks so our total bill for brunch for the 2 of us was $77.00. The hotel accomodates pets. They have a vet and pet services available. They even have a pet menu to order from which we thought was neat. The staff was extremely helpful. Anything we wanted, they could make happen with ease.It is 1 block from the A,C,E trains so travel is convenient. 2 blocks from canal street shopping and a short walk to Little Italy.I'm not one to get star struck, but my husband and I were waiting for some friends in the lobby and Paul Sorvino(actor)came in with his daughter to get a room. It was kinda cool that he was staying at the same hotel. ;o)I lived in NYC for 7yrs and since I've moved to Chicago, I have stayed at quite a few hotels around the city when I come to visit. The Tribeca Grand by far is my favorite. It is very plush yet very affordable and it's easy to get around the city. Great neighborhood, Great food, Great Hotel!!	
Dec 21 2005	Slightly Above Average	Believe it or not, $1700 (tax included) is not bad for 4 nights in a quality hotel in lower Manhattan during the Xmas high season. My biggest beef was the small size of the room and the low water pressure in the shower. Friday and Saturday nights can get quite noisy because of the popular lobby bar and the building's central atrium design. The staff was fairly friendly and helpful. Room service was certainly nothing stellar. Overall it was an adequate stay but I think we'll try someplace different next time.	
Dec 15 2005	A cut above	I have just spent a wonderful weekend with my girlfriend at the Tribeca Grand. The service was second to none and the hotel has that real &quot;wow&quot; factor from the moment you see the centrepiece hotel bar - the Church Lounge - which just exudes cool. Light sleepers may be advised to take some ear plugs if they anticipate being distracted by the soft murmur of the bar patrons which can be heard from the hotel room, but for those looking for a taste of heaven, just try one of the cocktails.	
Nov 29 2005	wonderful experience at the Grand	My husband and I decided to spend our 10 year anniversary in New York City. We decided on The Tribeca Grand for a few reasons...1- they are pet friendly (we were unable to get a dog sitter for the night)2- it was away from Times Square (we loved being in Tribeca and so close to Soho, etc.) and 3- we loved the &quot;Tryst in Tribeca&quot; deal (included an early check in, 4 p.m. check out, breakfast, complimentary champagne toast on arrival, 2 drinks, chocolate covered strawberries, etc.). We did not get to take advantage of all it included (due to timing, etc.- but we definitely will next time!). The consierge service stayed in frequent contact with us prior to our stay to help us plan out our special occasion, confirm dinner reservations, etc. During our stay, all of the hotel staff couldn't have been more courteous!! We heard no noise outside of our room at any time (and we were there overnight Friday). We loved the &quot;white noise&quot; control in the room- so we could make it louder or softer as we like (we never leave home without our Sharper Image sound machine, so this was a nice surprise!). Check in/out took almost no time at all, and the staff was prompt with helping us with our bags and get our car parked and retrieved timely for when we were leaving. The room was clean and comfortable. The consierge was available at all times and continued to give us wonderful guidance throughout our visit. We highly recommend the hotel, its wonderful staff and the terrific location!! Can't wait to return for another &quot;Tryst!!&quot;	
Nov 26 2005 	Disappointing	It never ceases to amaze me how little one gets in NY for USD$400 per night. I was disappointed with the Tribeca Grand, for a few good reasons. No one helped me with my bag on arriving or departing. The in-house food was just average, not to mention my room service arriving without cutlery. The rooms were small and were clearly decorated 'on the cheap'. And a small but important observation; the TV remote control was impossible to use. I had to turn the television off every time I wanted to change the channel. There was also a $10 daily charge for a wireless internet connection. Are you kidding?Just not up to scratch for the rate I'm afraid.	
Nov 16 2005	not any more	Used to be a great place but falling well below average. Stabbing guests with outrageous rates on the weekends, $600 for a 230 sq ft room - The Four Seasons doesn't even go that high. It also seems that they have fallen victim to too high of a staff turnover and are left with a classless, slang mouthed, outer bourrough, &quot;I'm cool because i work here&quot; staff. Problem after problem: never a bellman, housekeeping's &quot;knock then quickly enter every 20 minutes&quot;, and the basic fumbling on behalf of the staff. I travel to New York from the West Coast and usually stay at the Mercer. I would advise paying the extra $$$ (or maybe less with how high TG's rates have been) to stay at 60 Thompson or The Mercer where the rooms are larger, the bars are less &quot;Jersey&quot;, and the staff is respectful.	
Nov 1 2005 	Won't be coming back	We stayed at the TG for 4 nights on a business trip. Our convention started on a Sunday, so we spent the weekend in New York. We had a room on the top floor and we could not sleep because of the noise downstairs as well as having noisy neighbors until 4 am. We had to call security at 4am to go to the suite next door to let them know they were to noisy. The rooms are extremely small.The hotel is trying hard to be trendy but this is all show and no quality. I find the decor dark and depressing. We won't be coming back to this hotel. The Soho Grand is a much better hotel and the price pretty much the same.	
Oct 24 2005	Love the Tribecca Grand	I just returned from my trip to New york. I travel there at least once a month. Lately I have been choosing the Tribecca Grand as my favorite place to stay. The Tribecca has to be one of the best if not the best hotel that I stay in. The service in impecable. The rooms are furnished in a very comfortable format, with wondefrul ammenities. Their sunday brunch buffet is wonderfull, not to mention a very good price. The location for me is ideal, being very close to the Village and great shopping.With all of the hotels that I have stayed in the city this has to be my personal favorite. I have introduced it to several personal friends and business associates, they have enjoyed it as much as I do.	
Sep 11 2005 	I won't be coming back	I stayed longer than a week at the TG over the summer, and I won't be going back. If you're in town for business and you need your full eight hours, don't stay here, particularly over the weekend. The noise was so loud on thurs, Fri and Sat nights, we had to ask to be moved from the 5th to the 8th floor. And STILL it was too loud!We ate in the restaurant and drank at the bar. Staff in both places had serious attitude, as though they were way too cool to be working there, really. A bottle of wine was bought was corked and tasted awful. I asked for it to be replaced and the barman looked at me as though I had two heads!The door/bell staff are nice, except at the weekends in the evening: because the bar is quite popular, they have a bouncer on the, and if you're not dressed head to toe in black, or maybe look as though you might be under 21, he is very rude and aggressive MY big issue was attention to detail. Given the prices paid in that hotel it should be paramount, but small things happened: no replacement of toiletries in the room; gym equipment was broken; gym water cooler wasn't filled; no towels in the gym; bedroom furniture was chipped and battered; a cupboard door was broken; a drawer was stuck and wouldn'y open; TV VCR doesn't record (and the TV is way too small, by the way).That said, the management was very responsive to my complaints. The assistant manager I spoke to was very solicitous and concerned, and he did his best to make up for it. Still, I'm not going back.	
Sep 8 2005	Great location	This is a great hotel. It's close to some great restaurants and bars - Nobu and 60 Thompson Street. It's also walking distance to Canal street and some cool pubs.The rooms were sleek and comfortable. The staff was tremendously helpful and the hotel lobby and entrance were bright and safe. The food was great, although the bar was a bit stuffy (roped off sections in hotels should not exist).Overall, I highly recommend this hotel.	
Aug 31 2005	Loved Tribeca Grand	I stayed at the Tribeca Grand for the 4th time and it has been one of my favorite Manhattan hotels. The rooms are very contemporary, yet very inviting. The service, from the moment you arrive, is excellent and also very friendly.I highly recomment this hotel for anyone who wants to stay in Manhattan, especially trendy Tribeca.	
Aug 23 2005	Trendy but Together!	Although prices at this hotel have shot up over the past couple of years, The Tribeca Grand will remain one of my favorite hotels in NYC. The rooms are smaller, like most New York hotel rooms, but they are well planned and thought out. The &quot;hip&quot; design of the hotel retains some warmth which many &quot;in&quot; hotels lose in their desire to be so &quot;cool.&quot; The service was fantastic and the neighborhood the best as you can walk to Soho, the Village, and Nolita. I would stay at this hotel every time I came to New York if the prices would just come down a little. Certainly, an excellent hotel experience.	
Aug 16 2005 	well over rated	Big let down. Stayed at far better hotels in NYC for half the price. Small rooms. The bar is cool but the service is very, very slow. I was really looking forward to my stay only to feel ripped off.	
Jul 27 2005 	Only If The Price Is Really Right!!	stay here only if you get a really good rate. Well located if you enjoy SOHO but for my money it is over priced and noisy. If you are a resedent you does'nt like to say couped up in your - relatively small (though pretty well appointed ) room you have no where to go at the hotel other than the very busy and noisey bar in the loby. Noise resonates up through the atrium and all rooms seem to be on the balconys that give on to this atrium- noisy despite their noise resuction sysyem that sounds itself like loud air-con. Its trendy, dark and despite what I say - if the price is REALLY GOOD - maybe worth the risk. I would not advise for senior travellers.	
Jul 14 2005	Friendly 	We spent our wedding night at the Tribeca Grand. Everything promised was there along with a complimentary bottle of champagne. Staff was extremely friendly and discreet- they didn't over do the wedding part. Could imagine interior noise being a problem as there is a club in the lobby, but they seem to be aware of it and ready to address any problem. Great smelling hotel products.	
Jul 12 2005	New York City at its best	My husband and I stayed at the Tribeca Grand over Memorial Day weekend. We live in the tri state area, but just needed a get away from everyday life.Overall we had a wonderful stay! The staff was very helpful.Location, Location, Location- this hotel has it all. Great shopping, nightlife, and NYC culture. The rooms were spacious, neat, and modern. We also loved the hotel bar, I reccomend an apple martini!	
Jun 29 2005 	excellent service	The best Room Service and door teams in america. I could not believe how friendly and down to earth the room service (the English guy was wonderful) and door staff were . The hotel is great. Noisy atrium on weekends, but rooms are quiet. This is the best downtown hotel in New York.	
May 28 2005	Tribeca Grand - A Grand Place to Stay	Lobby was well appointed, yet comfortable...Church Street Bar packed with interesting people every night. Room was spacious. All business needs furnished in room. The staff could not have been more friendly or helpful. Every request was granted promptly. Location was perfectly positioned within walking distance to China Town, Little Italy, Soho and The Village.	
May 8 2005	Excellent stay	I stayed there with my boyfriend for 5 nights, on vacation. Some reviews I had read here were pretty scary (especially the noise part) but hopefully they weren't true for us !The hotel is very nice, I loved the lounge-bar in the middle. We stayed there from a sunday night to a thursday night, maybe that's why we didn't suffer from the noise (or because we were on the 4th floor). I found the noise-reducing machine quite efficient.The room is nice, not very large and a bit dark (the view on the building on Waters St is not quite enjoyable), but we felt like home in no more than an hour. The CD player, the goldfish, the TV in the bathroom (the ultimate decadence), the iPod loaning, are fun and very good ideas.All the hotel staff seemed very nice to us, despite the fact that I don't think we exactly belong to the hip-trendy-population that comes here.2 bad points, though : breakfast is quite expensive for what you get (a continental breakfast with only one croissant, and a bowl a fruit-salad). For the same price (or less), you'd rather go to Bubby's (120 Hudson St at North Moore st), nearby, the best pancakes ever !Another bad point concerns the lounge bar : maybe, as French, we are not used to this but we went to other hotel bars (in the St Regis Hotel, for instance) were they served at least a few almonds with 2 glasses of wine. When we asked for some olives, we were quite surprised to discover they were as expensive as a glass of wine... 8 $ for a few olives seemed a little petty, especially in a place like that... However, the bar is nice.So, once you know you'd rather have breakast elsewhere, you can stay at the TriBeCa Grand ! The location is great, very close to SoHo, Chinatown for nice little restaurants, and you can even walk to Greenwich Village if you have time...Another good tip next to the hotel : if you look for a great Vietnamese restaurant, go to Nam (110 Reade St, between Church St and W.Broadway). Excellent !	
May 7 2005	Go to the W	The decor is cheap and bland. The TV did not work and the phone fell apart upon use. The staff would quickly try to fix problems but never was able to actually fix them. They thought good customer service was having engineers in your room during your entire stay. No offer to change rooms, we had to insist. I would recommend that the guest relations and services staff attend basic customer service training.The coffee provided on each floor is horrible. I travel to NY frequently and would highly recommend The W or The Bryant Park Hotel. I was trying to find a hotel downtown but will never return to Tribeca.	
May 5 2005 	Over-rated and loud	This hotel is poorly designed w/ the bar and gathering area in the middle of the hotel where noise and music travels UP! DO NOT stay on the 2nd or 3rd floors - they are loud! Also, the rooms are kinda dingy and dark...not what I expected to be honest. Lots of attitude and just thought it was overrated from the word go.	
Apr 29 2005	Trying to be Cool in New York	This hotel does it's best to be cool, and there are some very nice things about it. The rooms are modern, bigger than some in New York, and technically very well equipped -- though it doesn't have a wireless network, so you need a laptop, not a PDA, if you want to work.Like almost all American hotels these days, it is decorated in those shades of fawn and brown that become very depressing on a long business trip. The area around the hotel is bustling and raw, without being threatening. Transport links are very good.Although newly built, the Tribeca Grand is designed to look like an old conversion, with galleried industrial-style open corridors round a central atrium. For British visitors it is very reminiscent of inter-war council estates.The central well is also the bar, which gets very noisy at night because the hotel attracts lots of lively young people. The rooms have special hissing machines (under the guests' control) to cut out the noise of the music and the traffic outside (amazingly, they work).Staff are helpful, if a little consecending to anyone who doesn't fit in to the age/social class profile the hotel is aiming for. The good news is that the public areas are so dark that it's possible to look cooler than you really are.The only downside (shared with its sister hotel, the Soho Grand) is the incredibly mean (yet expensive) breakfast. No buffet, just dishes from a menu that take ages to order, and then ages to arrive. In the meantime you have nothing -- not even a glass of water -- to keep you company, though they will give you tepid coffee from a jug if you can manage to find a waiter -- and grugingly replenish it if you beg. The only quickish option is the continental breakfast. Even that takes ages to come and then turns out to be a bowl of fruit salad, plain bread rolls and a croissant (served ice cold). You can't have butter. Horrible. So get breakfast elsewhere -- it's the meal America does best almost anywhere else, and cheaper too.	
Apr 19 2005	Love the concept friendly staff but subway noise 	I stayed one sunday night here in their superior room with two double beds with a small dog. Rooms here range superior, deluxe, and up, in that order, making our room the smallest and the most inexpensive of the rooms. I booked through tablet hotels site, for 179. I tend to stay in 4 or more star hotels, and even then I'm extremely squimish and picky about cleanliness and decor. I have previously stayed at Sofitel, Hemsley, and Mariott in NYC, and prefer Sofitel over others for cleanliness, service, and warm and pleasant decor.I was curious to explore the Tribeca and was facinated by the ultra pet friendliness of the hotel, as well as some interesting amenity offerings of bose wave cd players and fax machines in every room, gold fish pet for the pets, ipod and docking stations, power shower, etc.Hotel was never crowded during our stay, there never was any wait by concierge/valet parking/reception desk. Every staff members were friendly, helpful and pleasant. The hotel exterior and lounges were modern and looked well kept or new. There did not seem to be a club scene(the hotel lobby is mainly a lounge for club goers) on sundays, so, minimal noise.The room itself was fine, though led to believe that there is no tub but only a stall shower when booking, it had a full bath. It is decorated in non-descript grays and dark brown tones. The furnishings were all veneer(not wood veener), and looked hagard, but having shopped recently for a city loft with modern decor, I can attest to the lack of quality and durability of most &quot;modern&quot; or contemporary&quot; furnishings. They tend to be inferior at more expensive prices(pay heavily for designs.), so cracks on bathroom floor tiles and peeling veeners didn't surprise nor bother me. What bothered me was:The color scheme of the room was gloomy. Some didn't match at all- dark purple carpet?!? and dark glossy redish brown doors?? And curtains need updating, noticed stains.The WORST issue, unexpectedly, was the noise and physical rattling of the room by the subway trains. The subway either runs directly below the hotel, or below the sideway lining the hotel and runs into extremely late if not all night, it seemed. (noticed subway vents lined along the sidewalk along the hotel(facing a parking lot)). I ended up having a restless night tossing and turning, but finally managed some light sleep in the wee hours with the help of my BOSE noise-cancelling headphone(my own). The room was equipped with what they call a noise cancelling device, but it is not a true noise cancelling device like the headphones that counter with a opposite wave length so that you hear less noise) but a white noise device that you can adjust the loudness of. This proved useless to me as there already were enough white noise in the room(mini refrigerator, computer, etc), and it only aggrevated the noise level by adding to it.Valet parking was about 40, cab fare to south end of the central park costs about 10+tip. I cannot recommend Tribeca Bread or was it Bread Tribeca(italian placed across hotel recommended by concierge), horribly junky food. Probably have been better off ordering room service in quality and cost.	
Apr 5 2005 	Try the Soho Grand instead	Stayed here for a week on business and won't go back. The room was comfortable, average size (by New York hotel standards) and not too unlike staying at any of the are W Hotels -- except for the noise. There is music in the bar area every night that goes on until 2AM - and the bar here is a bit of a see and be seen spot, so it tends to be quite busy.The week I stayed there was a private party at the hotel one evening, so the bar was off limits to paying hotel guests. Go figure. I also didn't appreciate being accosted at the door by a couple of thugs who were hired as security for the event. The hotel staff did little to apologize or make me feel comfortable as a paying guest.If you're not bothered by loud music until 2AM and the casual attitude of the staff, particularly if they have a private event going, by all means this is your hotel. Next time, I'll go back to one of the W Hotels or their sister hotel, the Soho Grand.	
Apr 4 2005	Never Again	THIS WAS A LETTER I SENT TO THE GENERAL MANAGER AFTER I RECEIVED AN EMAIL ASKING HOW MY STAY WAS.Mr. Nicholson, I am sorry to report that my stay and service at the Tribeca Grand Hotel was a lot less than even mediocre.  A personal emergency with my fiance's family popped up earlier that day so I called the hotel and requested either a cancellation or a change of date. I also asked if I can pay a cancellation fee. The hotel told me no, they would have to charge the whole amount, I didn't notify the hotel soon enough. I understood. Our check in would have to be late that evening, around 1AM.  Besides my Master Card not being validated for the full amount and having to pay cash for the room, the reservations woman denied us access to the mini bar. Therefore, on our walk up to the room, we were followed by a young man with a milk crate that had to empty the mini bar and whatever else was on the counter. Embarrassing for all of us is not the word. We had also requested a non smoking room. Of course when we walk in the room we were hit by a stench similar to an ashtray. The young man with the milk cart of juices and liquor, etc., enlightened us that the 1st, 2nd, and 3rd floors are in fact smoking rooms. The heating/air system was confusing us also. One minute we were cold, the next hot. I think we are both educated enough to figure out the controls of the air system. Maybe not?  Unable to sleep at 3,4 AM, maybe we should rent a movie. Nope, couldn't do that either.  At this point, we decided to just suck up the $500 something up and try to get some sleep. Morning comes, and we are woken up by a woman in our room, wanting to make the bed. Oh my God, we overslept, we must be late for check out....... Wait a minute, it's earlier than 10:00am. Very rude. We're not sure if we heard a knock.  The pressure from the shower nozzle was about the only nice thing that happened to us during our stay. The Moss products, by the way are gross too.  We wanted to have brunch downstairs while we were leaving but both agreed to not provide the hotel with more of our business. I know I may sound like a person complaining about everything, but having spent many nights in various hotels throughout the city on top of my office being located in the Waldorf Astoria, I think this has made me somewhat of a hotel savvy person. I know what to expect.  From the service to room quality, we both decided to never stay at Grand hotel again. Speaking of room quality, a beyond &quot;used&quot; bed covered with a white sheet and terri cloth blanket is NOT up to par or my expectations of a higher end hotel/room. I was truly disappointed and felt like I could've experienced better at a Motel 6. Sleaze, dirt, and low class written all over it. So I am very sorry to report back with an unhappy response, but then again, I am so very sorry that I chose to stay at the Tribeca Grand Hotel. I won't make that mistake again. Neither will friends or clients of mine.  Thank you for your time, Jaime Jaime XXXXXXXXFLORALIA DECORATORSat the Waldorf Astoria	
Mar 22 2005 	Wonderful Staff	Had a wonderful stay here. Some rooms might be noisy, but we requested a quiet one and really couldn't hear any noise from the outside when we were in it, despite the DJ on both Friday and Saturday nights! Enjoyed dinner and drinks here Friday night, loved the fitness center, the room was small but the staff more than made up for it by going above and beyond with their helpfulness. Great hotel- nice attention to detail. I particularly liked having the goldfish in the room, the ipod/sounddock, and the welcome package with art, shopping, and dining recommendations. Definitely recommended if you want to stay in a trendy place in a trendy neighborhood.	
Feb 8 2005	Above Avg. Hotel Great Location but noisy	My husband and I stayed in this hotel in November 2004. It was clean and - by NY standards - decently sized for the price. Service was excellent - especially the concierge staff. However, the restaurant was overpriced and the food was just okay. Also, the lounge area was extremely noisy until 2:00 - 3:00 a.m. on Friday night (I was really pleased we weren't going to have to try to sleep through a Saturday!) Since the hotel is designed with an atrium and the lounge is in the lobby, the noise in our 2nd floor room woke me up repeatedly throughout the night. That said ... the location was great - in Tribeca and very close to Chinatown and Soho as well as several subway stops. 	
Jan 29 2005	Totally pretentious	I have just spent 3 nights at the Tribeca Grand. This hotel is pretentious from start to finish. The staff are condescending, and the service very poor. The wastepaper baskets were not emptied, the hair dryer did not work and the wake up call was 20 minutes early. The service in the restaurant was also extremely slow, and that was when it was almost entirely empty. I would be very reluctant to stay there again.	
Jan 12 2005	Chill Pill	After looking forward to our first ever trip to New York for months, and reading the reviews on this site in anticipation I was bracing myself for a real disappointment - noise, peeling wallpaper and snooty staff.However, we just had a lovely time at the Tribeca Grand from the moment we stepped in to the moment we left. It takes a while to get used to the minimalist decor, but once you have a great power shower using the refreshing products and slip yourself between the silky egyptian cotton sheets with a cookie from the (overly-tempting!) minibar, you know it makes sense!Trying to cram the whole of this exciting, buzzing city into 4 days was, of course, impossible but Tribeca itself and The Grand with its dim lights and muzak was a real haven after seeing the sights. Yes, breakfast was expensive but there was so much of it and it was so tasty we didn't eat until the evening...treat yourself I say!NYE was great too..we tried to get to Times Square but didn't fancy staying in a metal pen surrounded by cops for six hours without the toilet so headed back to the hotel where we had fantastic mojitos, watched the celebrations on a big screen and crawled to the 4th Floor. Perfect for those who can only handle the hussle and bustle up to a point.	
Jan 9 2005	Excellent place to park yourself in lower Manhattan	After suffering through their trendy, but unusable website, and reading mixed reviews here, I went with my gut, which said that this would be a good destination for an adult night out for my wife and myself (we parked our daughter with her grandmother).Aside from a bit and of a bottleneck checking in, the entire experience was excellent. I booked the &quot;Tryst in Tribeca&quot; package which included champagne on check-in, and an excellent batch of chocolate covered strawberries in the room, breaIt fast in bed, and late check-out. True this was not an inexpensive overnight, but hey this is Manhattan. Budget-conscious should skip this one, but all in all I still thought it a decent value. Not ultra-high shelf, the hotel is new and well designed, but not in any way cookie cutter. Sure it's hip, but style is not the only thing in charge here. And for the folks who complained about noise, this did concern me as my wife is a light sleeper. This was an unfounded fear as there is a noise cancellation system in each room, and for downtown, it was relatively quiet, so no complaints.	
Jan 3 2005	Cool	Very trendy, cool hotel. Expect to meet a celeb whilst there. Real nice bar and environment, chilled and different. Totally recommend it to any young minded funky people who like a place of beautiful people (especially the staff, phew!!) Went for New Years and had the best ever. Go for it.	
Dec 30 2004	not returning	The location is great,but I won't be staying at this hotel again. My husbands 40 birthday and we wanted a cool hotel to stay at. The lobby lounge was nice but the staff have no personality and don't even attempt a smile. I'm from New York and they are taking themselves too seriously. If you have any inclination to go to bed before 4 a.m. you can forget about it. The lounge and the club in the basement are going strong until then and I thought my head would explode. If you know you are staying out late and it doesn't matter then go for it. The room is sparce and cold. The furniture is beaten up. All in all, go to the Ritz.	
Nov 23 2004	Can't recommend it	I recently stayed here and can't recommend it to anyone hoping to get a restful night's sleep...at least over the weekend. The bar/club is located right in the middle of the hotel and the rooms are located above it. Imagine a courtyard situation and that is where the club is. The bass is thumping until 4am and although we were impressed with the amount of soundproofing in the doors/walls, you could still hear that distant thump as you tried to fall asleep. If you are going to NYC to party (as we were) then the Tribeca is a fun, trendy hotel. Beware of the pricey drinks, though...$8 for a domestic mass-produced beer is just stupid. We only used the bar as a meeting place and for nightcaps. All other drinks were purchased elsewhere. The rooms aren't anything to write home about either. I typically like sleek and modern, but there was something really drab about the place. It didn't help that there were stains on the curtains. I can't say I'd stay there again.	
Sep 20 2004	Ignore the negative Reviews this is a good place to stay if you know the city	I'm not sure what people are expecting from this hotel, but I can say that I had a great experience during my 3 day stay there. When our bathroom flat-screen TV was broken (not exactly a make or break option) the staff transferred us to another room with no hesitation. Everyone was friendly, we had a champagne toast upon check in, and never at any point did I feel like anyone was being snobbish or unhelpful. The bartender even gaves us a glass full of olives for our hotel-room gin. (Note the liquor store just across 6th Ave (ahem, Avenue of the Americas) for a good alternative to minibar prices).The room was very nice, granted it was not huge, but again this is NYC. You don't get a big suite for less than 1000 a night. You don't get a big room for less than 450. So for a cozy (but not cramped), clean, stylish room with a comfy, comfy bed, (and totally quiet on weekends, don't know what everyone is complaining about regarding noise) I was quite happy with my rate. Also, I was quite happy with the location. Tribeca has some great little bars, and if you are looking for the &quot;scene&quot; it's a $7 cab ride or $2 subway ride away. I feel that many of the reviewers here expected to stay at the Waldorf or Four Seasons for around $2-300 a night. Well, that ain't gonna happen. What you have here is a clean, hip hotel that is close to many great areas and a subway ride from the rest. I can understand the shock of those people who think of NYC as Times Square and the Statue of Liberty but for those who know what the city has to offer OR are willing to explore off the tourist trap path, this is a great place to stay. Otherwise, do yourself a favor, stay at the W Times Square for double the price, and just keep an eye out for the double decker bus that will take you to TGI Fridays for free. It will come by any minute now...	
Aug 9 2004	This hotel is Rank!	Overpriced, rooms are filthy, the bed actually had fake wood veneer and it was peeling off. I can't believe this place!! The web pictures are NOTHING like the rooms, they are old (after how many years?) and the service was just as bad. We also had the Sunday buffet, the wait staff was snobby as hell and NEVER came back to refill our coffee. Unreal. I paid $2,000 for 4 nights for a 1 star, $20 motel. Pass it up.	
Jul 21 2004	Noisy poor location and bad cocktails.	I had high expectations of this hotel which were not met in one single respect (other than in the size of the bill when I checked out). All the rooms overlook the noisy bar, so don't expect to get to sleep here until well into the early hours. I had quite a high room but the noise just gets bounced straight up through the whole atrium. To add insult to injury, in said bar (if you can't beat them, join them) I ordered a martini, extra dry and straight up with an olive and received a tumbler full of ice containing some watery vodka with far too much Vermouth and a twist. The hotel sits rather awkwardly between several exciting parts of town without actually managing to be a part of any of them. Spend the considerable sum of money you were contemplating spending here somewhere else that will earn it.	
Jul 8 2004	Great place	I've just come back from several days in New York staying at the Tribeca Grand and thought it was a great place to stay. Having read several reviews on Trip Advisor I had mixed expectations but found the hotel to be stylishly decorated and the rooms were well equipped with nice touches like the Bose stereo, CD selection and mini TV in the bathroom. The bar restaurant area is a good place to hang out for a while people watching and the sanctum bar downstairs hosts a good range of DJs. The staff were incredibly helpful and friendly and the hotel's location was perfect. There are heaps of great restaurants and bars on your doorstep in tribeca such as Landmarc, the Harrison, Tribeca Bread, Tribeca Grill etc, plus the area is close to downtown, Soho etc. Despite staying over the busy 4th July weekend we had no issues with noise and on the couple of occasions when the water seemed a little cold in the shower we found a twist of the tap did the trick. A great fun hotel in a fab location - I wouldn't hesitate to go back.	
Jun 28 2004	who cares about the noise with prefect ten and tartinins.	I took my wife to NYC for her 32nd birthday and I couldn't have picked a better place, If your sick of the norm go to Tribeca Grand. Close to soho , canal street, Little Italy. Good service over all barmaids could be a little nicer but who cares after a couple of drinks. Doormen and Front Desk very helpful, Mike A at the Concierge Desk was very help with places to eat and go to. Rooms were clean, make sure you ask for a gold fish at front desk. Cd player in the room with cool music, plenty to do. Far enough away from Broadway, Time square, and Plant hollywood but close enough if you want to take the subway up town. Don't stay here if you go to bed early Church is hop'n until 2 am.	
Jun 17 2004	Very sheek hotel	Great hotel! I have been staying at this hotel over the past six months. The staff is great! Very friendly and accomodating. The rooms are of an average size and offer many amenities...one of my favorites, the luxurious bath robes. I would definitely recommend this hotel.	
