	Cleancomfyperfect location and perfect for my budget!	This is my second stay at the travel inn on 42nd street. Even with knee damage I found the location to the theatre and shops (and times square) within a comfortable walking distance.I booked a single and got a double double, near the lift as requested. I forgot my hair dryer and uk to USA adapters and these were provided for me (hair dryer in room,plugs on request)it was a handy later check out 12pm, so I still got to run a few last min errands on my last day. In easy walk to the subway and port authority. Also across the street is a drug store with food nearby too. A fridge and microwave in the room were a nice touch and it was warm too. I can't fault this place for the price and location. Small and cozy, well looked after and helpful staff.Will return and def. Reccomend to all NYC traveller who want comfort on a budget and location to 'the thick of it' !	
Jun 5 2005	Free Parking	The location of this hotel was great for Times Sq or SS Intrepid/Harbour Cruises only a few hundred yards walk to either and therefore central enough you can reach anywhere. We were travelling coast to coast so the free parking was a bonus for us. We stayed 3 nights and for £87 per room per night incl parking was great value for NYC. I would definantely recommend to car users for value &amp; location. Even if I was travelling without a car I would still consider this hotel.	
May 31 2005	Comfortable	Travel Inn Manhattan was perfect for us.We stayed in a room overlooking the pool for 2 nights .Very quiet.Easy 10 minute walk to Times Square.Pleasant staff and reception friendly but reserved.They kindly allowed us to store our bags for a few hours on our last day before going back to the airport.New York hotels are not the same standard as other cities.The beds were quite hard.But for 125.00 per night its a good deal.The remote wouldnt work on the second morning.House keeping were in the area and fixed it straight away.I felt safe the whole time in NY and having the Police across the road made me feel more secure.We used the New York Pass for one day and the hotel was very convienent to Circle Line ferry and Intrepid Musuem.Madame Tussauds was just down the road also.There is a good deli next door for breakfast.Cheap and fast and tasty.Also just down the road back towards Times Square is a supermarket for all the extra things you need.Throughly recommend for location,nice quiet room and good price.The pool was closed.But it was the start of May and only 64c outside and a really cold wind chill so the pool wasnt an option for us.Would easily stay again next time.	
May 28 2005	Loved this Hotel. A Great Find.	I stayed here from the 21st May - 26th May. With my husband and four kids and my brother. We were all very pleased with this Hotel. The maid cleaned everyday, only she didn't manage to clean to top of the headboard for some reason. It was quite dusty. The bathroom was clean with clean fresh towels in everyday. Television and playstation in the bedroom. We asked for two double non smoking rooms. I have a feeling that someone had used them to smoke in, there was a faint smell of smoke. We were given rooms overlooking the street. It was very noisy. It was even more noisy when the construction men decided to dig up the road at 1.00 AM in the morning. No one got any sleep that night. The rooms were very hot also, we didn't want to open the windows as we had young children with us. The people on the front desk were nice not overly pleasant but ok. The deli next door gets very busy on a morning so get down early. There is a new restaurant up the road called The Theatre Diner, this is very nice, very clean and the food is lovely. Would I stay again most definately.	
May 25 2005	Clean and simple	Found the hotel to be clean and simple and the staff were extremely friendly and helpful.Just what you need if you're not planning on spending too long in your hotel room.Rather disapointed to find that the pool was closed until the end of May,especially when we picked the hotel because it featured a pool and our 6 year old daughter was rather distraught!But in all a comfortable,clean and pleasant experience!	
May 21 2005	Marginal value	I can't describe this place as a bargain, even in the most expensive city in the USA. Four nights came to 710 US$, all told. For this I was given a smoking room despite requesting the opposite, and the entrance to my room was through a separate set of elevators requiring a walk through a...scenic...New York City parking garage. Bathroom was spacious, although I had to fiddle with the shower faucet to make the hot water work. Egregriously, the cable TV did NOT include YES...at least I had tickets to the Bombers' games...but most of you probably didn't come to NYC to watch Yankee games. The Empire Hotel group has a far better bargain in the Hotel Newton. Location here is the major advantage; if you really want to be close to Times Square (why?), this is one of the better deals.	
May 19 2005	Great Value 	Stayed for 3 nights in May. We had a double double room on 6th floor overlooking the pool.The room was clean and comfortable. Bathroom small.It took the hot water 5 minutes (yes 5 minutes!) to travel along the plumbing to our room.We called the reception and someone came to our room and told us yes thats right it will take 5 minutes. (What a waste of water)The hotel was well located although a little seedy area.I felt safe being across the road from the Police station.There is a great Deli next door to the hotel.The heating the the room was great, although there was no fridge.We paid $160 pn for Thur &amp; Friday and $195 for Saturday night.Location is great - only 10 min walk to Times Square.	
May 19 2005	Travel Inn	Stayed here 29/4 for 4 nights with family on a last minute trip which left our usual choice of hotel (Hyatt Grand Central) unavailable. Was a bit worried about the area before I arrived, but glad to say that the surrounding area is busy with plenty of people around which is reassuring at night. Found this hotel about the same walking distance from 42nd st/Times Square as the Hyatt. The hotel itself is fine, rooms are comfortable and fairly large for New York. House keeping was good the room was spotless every day. As previous reviewers have stated the two guys on the front desk can be a bit abrupt, but we mostly dealt with the two woman receptionists who were brilliant nothing was a hassle, any time I asked a question they treated me like a person not an annoyance, a very bad habit the Hyatt rececption staff have developed. My only complaint was the street noise, we had a room at the front and my young brother is a light sleeper which caused problems. On the whole if we could get a room at the back I would stay here again. Although not Hyatt standard, the staff are friendlier also the big advantage is that this hotel is a lot cheaper which means more money to spend in the shops.	
May 17 2005	What a bargin!	I stayed here with a friend the last weekend of April - Fri - Tues. Great location, very close to Times Sq without all the hectic-ness that comes along with staying in actual Times Sq. The rooms were good, a fair size, clean and the maid service was faultless. It was also no problem for us to leave our bags after we checked out so we could go out in NYC before catching our flight back to the UK, and also no charge, unlike some other Manhattan hotels. Unlike the last reviewer, our heating worked, and when left on while we were out at night, made our room roasting hot, so much so, we had to open the windows to cool down! Didn't use the gift shop or next door deli so can't comment on that, but did have a few drinks in a bar around the corner on 10th St which was fab! I think it was called Biggs, but don't quote me! *lol* I'd definately stay here again, for the price, this hotel is a very good bargin! We are already planning another trip over in Nov.	
May 15 2005	Exceeded expectations by a margin	We stayed in this hotel for about a week. It was just what we needed: a simple, clean hotel room. The rooms are well appointed, clean, and not too small. The bathroom was fine and clean. Bed was okay, some may find it a bit on the hard side. Downside are that the hotel is not in the prettiest neighbourhood (10 min walk west of Times Square), that the rooms are anything but soundproof (you can hear your neighbours in the bathroom, sounds from outside or the staircase resonated in the room - the hours at which people can be noisily up and about are amazing) - however earplugs should be able to fix this. There was also a wide crack between the door and the floor - in winter and summer, cold or hot air can easily come in. In May, however, this is not so much of a problem. The deli next door is nice and unpretentious.Overall, I would say this is a fine budget hotel.	
Apr 30 2005	Close but no cigar...	This was our first time staying at this establishment, we chose it because of the good reviews it had gotten on this site as well as its somewhat reasonable per night cost. We stayed 4 nites but were somewhat disappointed by the hotel. Here is my list of pros and cons.Pros:Near Times Square, subway station, CVS, Food Emporium, Kraft RestaurantNot too small a roomMaid service was amazing, made the room impeccable every morningFront desk and garage security attendants were nice and helpfulCons:The pillows are paper thin, I had to call to get some more, but they were quick to send some to us, so that was not a problem. The real problem is as follows:We were in a double double in front of the pool, when we came out of the room we were directly outside, in the cold weather. Our door had no insulation, the cold wind passed through every nite and we froze like ice cubes. There is no heating system in the room, its the equivalent of living in a cardboard box weather wise. So if you reserve a double double, please ask it be inside and not outside!! This was quite discouraging and I hope they seek to change this situation for future guests.	
Apr 27 2005	Great place on a budget	Stayed for 5 nights, arriving April 18, with wife, 16 yo son and 19 yo daughter in no smoking double double on 3rd floor near pool on inside. Relatively quiet with only passing by type hallway pedestrian noise. Check in was fair at best with 2 rude gentlemen behind the desk. I mentioned that we had requested a fridge and one of the guys said it was impossible and we could never get one. I checked with a young lady the next morning, she made a phone call and we had one within 5 minutes! Bathroom was smallish - wish it had the sink outside the bathroom itself. The location is great - near subway and easy bus access on 42nd street. The deli next door is nice and the Food Emporium about 3/4 block to the east was very handy. Evangeline, I hope that's correct, in the gift shop was extremely pleasant and helpful when it came to places to eat, directions, etc. We paid $150/night off the hotel's website which was quite good for 4 people. I would certainly stay there again and would recommend it to all with similar situations.	
Apr 27 2005 	Better than what we expected	My husband and I thought the hotel was nicer than what we expected out of a 2-star hotel. The room was clean and spacious. The location of the hotel is excellent - close to subway stations and to Times Square but distant enough from most of the traffic noise around Times Square. The staff were all friendly, helpful and accomodating. We were arriving very late at night from Virginia, and we thought that it was very nice of someone from the hotel to call us to make sure we were still checking in. This ensured us that we were not losing our hotel reservation for coming too late. The free parking was awesome especially since parking in NY is herendous. My only complaint was that the hotel rates were not too reasonable, but then again, this was NYC where all of the hotel rates are overly excessive. Also, the bathroom was a bit small - this wasn't too big of a problem except that there wasn't much room to place toiletries and clothes. My husband and I would check in at Travel Inn again.	
Apr 17 2005	Great value! Highly recommended!	Gem of a hotel! Great value prices with nice, clean rooms. Free parking was a plus. Service was friendly and prompt, and we felt very safe. Street noise was loud, but we expect that in NY! Room was a little hot/stuffy, so we opened the window and door to get a nice cross-breeze. Would stay again, but not in summer unless there is AC (our room apparently didn't have it). Overall, very pleased!	
Apr 14 2005	Unbelievable value	My husband and I stayed at Travel Inn with friends in 1991. We booked it again this year for three nights. A lot of years had passed so we were not sure what to expect. We were more than pleased to see it was in great condition. It is easy to access when coming into the city. Parking is wonderful. It poured rain one of our days but we still had a wonderful stay in the city. We enjoyed meeting the lady in the gift shop in the lobby. She was so friendly and helpful. We had her help in getting tickets for On Golden Pond. We enjoyed the play very much. We hope to come back to the Travel Inn soon. I cannot imagine finding a more suitable hotel in New York city.	
Apr 12 2005	Great value clean and comfortable	Two families traveling together April 3rd thru 6th, we got next door rooms on the third floor facing the street. The room was very clean, some street noise but what do you expect in NY, heavy curtains that blocked the light from the window, friendly but not intrusive staff. We paid $436. inc. taxes for 3 nights for a double/double. Room was larger than I expected at this price, fine for us. We drove in via the Linclon Tunnel, the hotel at 10th on 42nd St. was three blocks away &amp; very easy to get to - and parking in their attended garage attached to the hotel was included. The desk let us check in 2 1/2 hours early, then let us leave our luggage &amp; van in the garage for most of the day we checked out at no extra charge. Location was very good, three blocks from Times Square, two blocks from a subway station (five minute walk). No coffeemaker, but a decent deli next door to hotel for that necesary first cup. We would stay here again.	
Apr 9 2005	Great Place Great Budget	We stayed at this hotel April 3rd thru April 7th Spring Break 2005. It is located on 10th and W.42nd street.(Helpful information if your traveling by cab from the airport.) We had 2 rooms (there were 6 of us) My mother, my husband and 3 children. We stayed in rooms 404 and 405. Perfect view of the empire state buliding. It is spectacular at night. This place was awesome. We had no fridge but I noticed when the maid was cleaning the room across from us they had a fridge. No matter we didnt need one. The ice bucket did fine. Evangilne is the lady that runs the small but cute gift shop. It is open at 7:00 am. She is a wealth of knowledge. She told us where to dine what to see how to get there. She was a true asset to our vaction. She reccomended the Trollie Deli. About 2blocks down on 42nd street. Great food great for the budget. Again very small place. But everything in new york is small. Also a bar and grill she reccomended it was called Mr . Biggs. It was right on 10th street. I had a plate of nachos like you wouldnt believe! The front desk was great. I had some noisy people in the next room and he took care of it instantly. Our room faced the street. It was noisy but that is New York. We had the windows open and there is construction going on on our side of the street and every morning at 7:41 a very loud bus or something goes by and woke us up. But that was ok. We wanted to get up and get going for the day. NO NEED for an alarm clock.!!! The place is clean the staff is great and I would definetly stay again! Thumbs up totally. For a family of six with 2 rooms this is the greatest. Not alot of amenities besides the pool and free parking, but nice clean cheap and comfortable. We paid 125.00 per night. 582.00 for the total stay for each room. Thanks for making my first trip to New York great Travel inn.	
Apr 8 2005	Good value great location	We were sure glad we read some review before we booked into a NY hotel. We happened to see during our stay some others that we had considered - and they looked dreadful. This place was clean, tidy, well situated and reasonably priced - who could ask for more?	
Apr 7 2005	Clean accommodating Perfect!	Stayed here on 4/4/05 for one night. Hotel staff was very helpful in check-in, providing directions, maps, information. The best part was the FREE PARKING. Room was very clean, beds were extremely comfortable. Our room was quiet though it overlooked the pool which was closed for the season.I will definitely stay here again. It was easy to find and access. All my fears about staying in NYC were assuaged by this one stay. Be advised: It is not the Ritz, but it is certainly clean, accommodating, and and professional in its presentation.	
Apr 5 2005	" Arrivederci " Travel Inn	We will come back for sure. The Travel Inn has gived more then we expected.We stayed in room 376 (facing the pool) was clean and roomy.The staff at the reception friendly and helpful always with a reassuring smile.The Deli next door cheap and familiar.Breakfast was plentyful and of good quality.We stayed 6 nights and despite the Jetlag (we are from Italy)we sleep well even if the Hotel is on 42nd St. My wife my daughter my son and me ( I am not a stakeholder yet ) for sure will reccomend this Hotel because the location is great and with an unlimited 7 days Metrocard New York will be at your feet. Just opposite the Hotel , try the Kraft restaurant if you are looking for good quality at reasonable price.Every day returning from visiting the city as we were in sight of the Travel Inn neon signs we felt at home.Giovanni from Genoa - Italy	
Apr 4 2005	Good value for money	I booked a room with 2 double beds through the hotel website and paid $105 per night (excl of tax). Not in the best area of Manhattan but a three block walk from Times Square and 5 minutes to the Port Authority (for buses, subway, trains). Very big rooms by Manhattan standard and clean. It is worth mentioning that it is the first hotel I stayed in where they actually cleaned underneath the bed! Two drawbacks: the noisy heating system and the traffic (if you get a room facing the street). Recommended.	
Apr 2 2005	Great hotel even better value!	This hotel was great. The FREE parking was the icing on the cake. Room was very clean, had enough room. Our room was a double, double. It faced the street, was noisy with the window up, but everything else was great. Always had plenty of towels, no complaints at all. Staff were nice. If you want a place to stay that's clean and you don't have to be pampered, this is the place for you.	
Mar 31 2005	Bring a flask ...	I stayed at the Travel Inn for 8 days and was mostly very pleased. The room was clean and huge and the staff were unobtrusive and pleasant. I would advise visitors here to ask for a back room on one of the top floors, I stayed on a front room on the 5th and the traffic noise was very noticeable. Though I do recommend this hotel, particularly for its location just a short walk from Times Square, I would advise anyone contemplating a visit to bring a flask so they may have a hot drink in the mornings. I paid a not-inconsiderable sum for my room and was very disappointed to find it had no tea/coffee making facilities nor a refrigerator. Both of these I consider pretty essential, especially for a lengthy stay. And in the summer, how on earth can you have a hotel room with no fridge? Overall then, I consider the Travel Inn, Manhattan, to be a good, convenient, place to stay but it does have its drawbacks. Would I stay there again? Yes, but only in winter and I would bring a very large flask.	
Mar 28 2005	Great Place / Great Value / Free Parking!!!	Travel Inn is a really great deal in Manhattan!!!Easy access by car and a free parking!!!Incredible location on the 42nd, 3 minutes from Time Square!!There is a Police Station on the other side of the road (secure place).We'll stay there again next time!!!	
Feb 26 2005 	Great location 	We stayed four nights for Toy Fair. Got free parking and refrigerator. Good news we got room facing pool and it was very quiet. Only bad news was that it was on the roof so you needed a coat to leave the room. If stay ask for room inside facing pool but not above the 5th floor!	
Feb 26 2005	Great location at a bargain price!	We stayed at the Travel Inn in NYC Feb.23-26. We spent an amount of time on this website trying to find a place to stay that suited our needs- clean, affordable, and close to everything. This is definitely it! This hotel was within walking distance to Times Square (where you can catch any of the major subway routes), restaurants, and the theater district. The free parking was a HUGE plus- we left the car inside for 3 days and never had to worry about it, or pay for it! The room was clean and comfortable for a family of 4, and the front desk staff was very helpful with directions, etc. The next time we come to NYC, we will definitely be staying here! YOu can't beat it for value and location!	
Feb 18 2005	Great Economical Place To Stay	We booked the Travel Inn on recommendation from friends in New York without even seeing the Trip Advisor comments.I would recommend staying here if you are on a budget, we only paid $120+ Tax for the night for a twin double bedded room for 3 of us.The Deli / Cafe is next door and offers a great breakfast.Over the road from the hotel is the South NYPD Police station which means there is always Police around, giving you a safe feeling.It's walking distance from 34th St Penn Station and most other parts of the City.	
Feb 17 2005	Budget Savvy Stay Here! 	no frills.....perfect.who spends time in their hotel room in new york? it was perfect to come back, take a nap and go back out. the pool in July was such an added bonus!!!staff was friendly, there's a police station across the street and the subway is sooo close and it was all centrally located. The student discount was GREAT!!! I try and stay here when I make it back, but I guess the secret is out of the bag..it's always booked solid! Have a great time and check out the piano bar in the village called The Duplex. Saw more talent there than on the grammy's.	
Jan 31 2005	We love the Travel Inn!	We love Travel Inn! This is one economic hotel in NYC where the staff really cares about their customers! They are helpful and respectful! The rooms are very clean, well kept and roomy! The area feels safe! The free indoor parking is a real plus! The deli next door serves a great breakfast/lunch! This hotel is the best!	
Jan 27 2005	Best Deal in Manhattan	I have stayed at the Travel Inn on numerous occasions and would highly recommend. My most recent stay was Friday, January 21st. We were actually planning on staying 2 nights but because of the blizzard that hit the city on Saturday we asked the front desk if we could check out early without being charged. They said it was not a problem as long as we were checked out by noon. LOCATION1. The Travel Inn is minutes from the Lincoln Tunnel making it really easy to get into and out of the city. Plus I think they are the only hotel in NYC with FREE PARKING!!!! The hotel will let you check out, and leave your car in the parking garage until you're ready to leave the city. 2. There are plenty of restaurants close by including a deli right downstairs and the Kraft Restaurant (Diner) across the street. There is also a Blimpie subs and Dunkin Donuts a couple blocks away. Chevy's Mexican Restaurant in Times Square is great if you like Mexican food. 3. The Food Emporium is a full service grocery store only a block away. Great for picking up snacks and beverages to munch on in your room.4. Convenient location close to Times Square and the Port Authority, with easy access to the subway. I would suggest a 7 day Unlimited Ride Metro Card for $21. The card provides you with unlimited local transporation on buses and subways. Even if you are only staying for 4 or 5 days the Metro Card is still your best value for transportation. HOTEL5. The pool is great in the summer. Usually not to crowded and plenty of chairs by the pool.6. The staff is very friendly and the maid service is very good.7. There are a couple different types of rooms depending on the area of the hotel they put you in. The rooms inside the main building are bigger and have more closet space. The rooms that you have to walk oustide to get to are smaller and have less closet space. They also tend to be a little nosier.8. Can't beat the price! Rates are a little more in the summer but I have never paid more than $155/night. The rate I paid last weekend was $105/night. The Travel Inn is not a luxury hotel but it's definitely the best value in NYC. It's clean, the staff is friendly and the price is right!!!	
Jan 23 2005	Good value for money	Clean hotel room and very courteous staff. Nice cafe next door to get breakfast. Takes about 10 minutes to walk to Times Square. Would stay here again.	
Jan 18 2005 	Less than accomodating	Could not control heat ... just on/off switch. No thermostat in room. One slow elevator and a &quot;gift&quot; shop the size of a postage stamp (that has been closed 2 of 3 days). Wireless Internet access does not reach upper floors and printing service advertised in the rooms is not available. No explanation given for the misadvertisement ... just ... it's wrong. Noisy street across from a police station, busy all night!	
Jan 5 2005	Great Hotel	My mum &amp; I stayed at the Travel Inn for one week at the beginning of December 2004. While the hotel is basic, it really is all that is required.The staff (manager, front desk, clerks) were all absolutely lovely and extremely helpful. Our room was also kept spotlessly clean. When I go back to NY, which I hope to do as soon as funds allow (!!!), I would most definitely go back to the Travel Inn. The Deli downstairs is amazing for the price. Few blocks down from Times Square, tubes easy to use. All in all, the Travel Inn made our trip all the better. Also, look out for Aveline, the lady who runs the gift shop in the hotel. She is an absolute star and can help you get any tickets to any shows you want. We got fantastic tickets to see 42nd Street for $44 each!	
Jan 1 2005	Will stay here again when in NY	Thanks for everyone's review. A good hotel to stay in New York. Stayed for two nights before Christmas. Easy walk to Times Square and subway station. Got a metro card at Food Emporium on the next block, if you get tired of walking, you can take bus 42 that drops you right in front of the hotel. Major advantage is the free parking, check out at 10 am, but leave the car at the hotel until we are ready to leave at 9pm. Policy station across the street, felt very safe at this location. Room was a little noisy even on the 4th floor, but that's understandable. Used the wireless internet service for under $6 per day, connection was slow and not too reliable, not recommended. Room and bathroom was clean, good hot water, only small complain was the room very hot and stuffy, didn't find ways to circulate air other than opening the window. Overall, would stay at this hotel again when in NY.	
Dec 26 2004	will definitely go back	great location, three blocks from times square and central to the subway system to get you anywhere in manhattan. one block away from 9th ave where you will find great ethnic restaurants at reasonable prices. you name the cuisine it's within a few blocks. the hotel staff were accomodating, rooms kept clean. the actual setup of the hotel is interesting in that the entrance looks like any hotel, but the hotel itself is up the elevator and situated around a pool, much like any american motel. this means you are exposed to the sounds of the city but hey, it's new york enjoy the experience. there is no room service but a very decent diner is downstairs and one night when we were exhausted from the day we had a pizza delivered to our room after we alerted the desk clerk we would be expecting a delivery. we were three women ages 35-55 and we felt safe at all times, even walking back to the hotel after attending an evening show and dinner. if you are limited by budget but want to be in the heart of manhattan you can't go wrong using this as your base.	
Dec 21 2004	Great Value. Will stay here again	Stayed here December 11 for 3 nights. Staff friendly and room was big by NY standards. Hotel was 2 blocks from Theater District and within walking distance to Times Square, Macy's etc. Location away from the crowds and across from the police station. Only complaint was the location of the room, it was on the street side which was very noisy, ask for a room on the courtyard side. The hotel's restaurant was very reasonable. Very pleased with our stay.	
Dec 13 2004	Would stay here again!	I was really suprised at how nice this hotel was. I booked a double/double for 1 night at $125. The hotel I had for the next 2 days was twice as much and about the same in quality,difference was location. If I had found out about this hotel sooner I would have booked the entire stay here. Rooms were clean and normal size hotel rooms not the normal &quot;New York&quot; size hotel rooms. We had a room overlooking the pool which would be great in the summer. I just got back and stayed there on 12/9/04 and would go back for sure. Staff was nice and professional, and a big plus the free parking in a secure parking lot. Parking can cost up to $40 a night in New York and the price plus free parking, can't beat it!	
Dec 7 2004	Great Place to Stay	I stayed at the Travel Inn Manhattan on December 4, 2004 and I was very pleasantly surprised. Given that it was a weekend during the very popular holiday season, I had a very difficult time finding a hotel. I has originally booked a room at the Super 8 Times Square ($329), but based on the reviews here about bed bugs, I looked for something else. I paid $190 per night at the Travel Inn and for this time of year, that was a good price. I've also stayed in much worse hotels in Manhattan and paid more.The other reviews here about the Travel Inn are very accurate. Positives: Hotel was clean, the lobby was attractive, the people at the front desk were friendly, the reservations process was smooth, the hotel was quiet, the room (double-double) was the size of an average hotel room which is large for a city hotel, the elevators were large (again, for an older city hotel) and fast., and the bathroom was large enough to have some counter space. The pool looked nice though no one was swimming since it was December. There was an area in the parking garage to check bags between checking out and leaving town.Negatives: the towels were quite thin...I thought that the hand towel was a wash cloth	
Nov 25 2004	I LOVE NY!	Stayed here in October and had a fantastic time. The rooms were large enough to accommodate all our new purchases! Staff were very helpful. They changed travellers cheques for us when we needed cash for a cab and they also let us check out an hour late because we were shopping until the very last minute of our trip and needed more time. Would definitely recommend this hotel and we will definitely be returning. Swimming pool would be great when the weather is nice.	
Nov 10 2004	Great value hotel smack in the middle of town	Just got back from a stay in New York, and having found the hotel through Trip Advisor felt duty bound to write a little note. The Travel Inn was a gem, although not four star it was cheap and cheerful, safe and very clean. Staff were very friendly and accomodating.It's two blocks from the subway, jersey ferry terminal, port authority bus depot which has : (buses to jfk / la guardia for $15 drops you to every terminal), -gray line bus to woodbury common for $36 - huge designer retail outlet)and a great deli downstairs where you can stuff your guts for $5 with free refills.Rooms were cleaned everyday and when some gonk put his telly on REALLY loud at 6am, reception sprinted up the stairs and sorted them out sharpish. Sure it's a little worn at the edges and one of the cupboards was missing a catch - but three of us sharing for $120 - come on, that's a bargain. my advice get a cab in $45 and get the bus back to the airport.anyhoo - if's P.O.S.H u are after try the Pierre on the Park. but for value for money try the Travel Inn.	
Nov 4 2004	Super little find!!	Recently we had the pleasure of staying in the Travel Inn New York, what good value, and friendly sincere service.Big rooms and comfy beds.Swimming pool ...for the sunny days!!Excellent cleaning and bed making every day.Location 2 blocks west from Times Square...One block from subway so minutes from Broadway (by subway)All cab drivers know where to take you as its over the road from NYPD.Lovely very original deli downstairs.Cosy gift shop...really nice lady runs it couldnt be more helpful.Just one block from circleline cruises and water taxi so down town is only 10 mins.Reception were brilliant - we were checked into a smoking room (both non smokers) we asked to changed and it was truly no problem done then and there.Dont be put off by the low price we stayed previously on Lexington in a posh expensive hotel, which was totaly rubbish!! ***Raddison dont go there**** Give the Travel Inn a go its totally brilliant.	
Nov 3 2004	Nice Clean Hotel/Free Parking is a Plus	Visited during the last week of October. Hotel is easy to reach if you are driving. Both Lincoln Tunnel and Henry Hudson Parkway are close by. The onsite deli is good for breakfast. There is a great sandwich place two doors west called Starwich. Just east of 10th on 42nd there is a good sized grocery store. There is a large internet cafe at 234 W. 42nd. Around the corner on 10th is a sport's bar called Mr Bigg's that serves decent chicken wings. John's Pizza at 260 W. 44th is a must.Rooms at the Travel Inn are clean and the beds are nice and firm. The bathroomsare small, but just fine. The location is great for access all around Manhattan. Parked the car in the onsite garage, bought Metro Cards and travelled by Bus and Subway. We would not hesitate to stay here again! Good Value!	
Nov 1 2004	Great location but...........	&quot;The hotel staff are grim and they were not very welcoming&quot;......I agree!!!I will give them 5 point.....if they were friendly!!!!	
Oct 29 2004	good enough	Read all the reports and was pleased with the position. The hotel cafe was OK the Kraft restaurant across the road better quality and service and full of locals as well as tourists. An easy walk with or without suitcases to Port authority Bus station having arrived by bus from Newark. Bus good value and quick. times square was reached easily. Supermarket next door great for snacks and bought metro and bus pass $7per day adn then hopped on 42 bus from hotel to 5th or 6th Avenue for link to all parts of the city. The hotel staff are grim and they were not very welcoming. However when needed extra pillows adn assistance with TV they were soon sorted. The quad room was ok bathroom a bit dated and tatty. Room overlooking pool quieter as area noisy at night with constant sirens. Heating on last week whcih was too much but they had people complain it was cold they must have been from Florida as it was cool not cold. If you choose to stay there be prepared for clean and basic and good position if you like to be on the edge of the action. The pool area looked good if there in the summer and the parking looked ok and having seen the prices in carparks close to hotel makes this a definite choice if u have car. Think about going to the Jersey shopping Mall in New Jersey if you have a day free as there is no tax on clothes and bus from Port Authority 110 takes you there or Ikea/Toys R Us and again was really cheap and quick. Mall has 200 shops with lots of big names and a good food hall. We spent about 5 hours and bagged a few bargains. Not the designer types but Gap Old Navy etc.	
Oct 29 2004	Good hotel at a good price - stay here!	Stayed here last week for 6 nights after reading all previous reviews on this site. Excellent location, just far enough away from times sq so you avoid the chaos of that area but still only an easy 10 min walk or 2 min bus ride from there - bus stop across the st. Eat breakfast in the Kraft diner across the street - all usual stuff available there. Had booked a non smoking room on hotel website but we were given a smoking room at rear of hotel-facing that railway track! Ask for a non smoking room at front facing 42nd st - noise isnt too bad at night, bearing in mind the good location. Front desk staff were polite and room (double/double) was a good size and very clean. All in all, great value for money. (If possible, go to Jersey Gardens Mall in NJ - get the 111 bus from Port Authority Bus Terminal - only 35 mins - good range of shops there and NO SALES TAX!)	
Oct 11 2004	Great place	Stayed at the Travel Inn Oct 5-8, 2004. This hotel is an extraordinary value, clean and an easy walk to anywhere. It's just far enough from to Time's square so that you can get away from the bustle but still close to subways and sights. There are some great restaurants and bars 3 blocks NE from the hotel.The service is not at the Fairmont level, but the staff were courteous and quick. In the hallways in front of the smoking rooms, you could smell the smoke but our room was a smoking room and smelled fine. Also, the room was pretty small, but for the price we expected as much and were definitely comfortable. The 2-bed rooms are a very comfortable size.I would definitely stay here again.	
Oct 1 2004	Loved it!!! Large Rooms close to everything-Great Value	Just got back from staying at the Travel Inn, Sept. 24-27.........All the reviews were right on, great place, nice Big Rooms, nice large closet, 3 blocks from Time Square.........it was great..........I'm VERY picky about hotels........and this place was awesome.........I stayed last year on Time Square and the Travel Inn was 100% better, larger rooms, larger closet, very nice staff..........I would stay there anytime.......The front desk staff, especially Jacquelyn was so helpful........they have a small gift shop, were you can purchase tours, stamps, etc.......My car was very safe in the garage, very lighted and has cameras, and they have security.......and it was totally FREE..........If you don't want to walk to time square a cab, cost about $4-6, or the bus stops right outside of the Travel inn for $2.I asked for an inside room ----and I got a room with my window overlooking the pool, it was great and very quiet.........Oh, and all around is cafes, food, even a CVS pharmacy, (like Walgreens) right down the street, and a grocery store..........It was only two blocks for us to see the Lion King at the Amsterdam theater........My stay was very nice.............I encourage anybody to stay there........it's worth it.........the price is great and the rooms are very nice.email me if you have any questions.	
Sep 29 2004 	wonderful value	I was in town for 6 days for the NY Fringe Festival. This place rocks!!! I would bring my wife and seven year old here in a heartbeat. It is close to the theatre district(like actualyy two blocks from some of the theatres), it has a pool, it is close to subways and trains. It also has a sort of removed quality once you get inside, and you could actually forget that you are in the busiest city in the US. Ok, let's be realistic. You aren't going to be pampered. but the staff is extremely helpful(wake up calls, cars to the airport, that kind of stuff) BUT YOU GET A BIG CLEAN ROOM and the location is fantastic.	
