	Great location 	This is a great hotel for location and transport links. The rooms are very large for New York, clean, with large clean bathroom. There is use of an ironing board and a free safe in the room - would definitely return here when next in NYC.	
Apr 27 2005	A little pricey but still ok	If your in New York City for the weekend and you just need a place to crash that is in a convenient area, then the Broadway Plaza is fine. The hotel itself is nothing to sneeze at. However the rooms were clean and averageT size for a New York City hotel. The location is the best thing about it. You are 2 blocks from Macy's and other shopping outlets, and a short cab ride or subway ride into Times Square. There are restaurants everywhere and plenty of on the street purse hustlers.So if you more like me and just need a clean, safe place to lay your head and you are more worried about location and going out. Then this is a good spot.	
Apr 24 2005	Good Value Mostly Okay Great Staff	We had a three night stay and found most of the reviews to be on target (Thank you TripAdvisor). We liked the location and convenience to the subway. We left a play in Times Square, it was pouring rain and we were steps to the subway back and steps to the hotel, barely getting wet. Our room was fairly large but had one tiny window with no view. The layout made no sense. The door opened right onto the bed, and at the foot of the bed was the dresser which was so close you couldn't roll a suitcase by it so we moved it during our stay. The bathroom was also large but the toilet, sink and shower were all bunched on one wall, with a small shower. We considered moving the dresser into the bathroom. But we were comfortable while we were there. The real plus is the staff! Others have noted Richard, the consierge, but we also had great experiences with desk clerks and housekeeping. We went to the breakfast room the first day, but with so many wonderful places to eat in NYC, it was not worth returning. Overall, we got a 'special' rate so the value was very good for New York. PS we really liked the neighborhood during the day, but there wasn't much around there in the evening.	
Apr 18 2005	Neighborhood Definitely Sketchy!	Just returned from a 7 day stay in NYC - April 10-16, 2005 with my mother and 10 year old daughter. We were pleased with the actual hotel however you must know that the neighborhood is definitely sketchy! We were approached every 10 feet to buy counterfeit purses from some shady characters. On Saturday and Sunday it was so crowded walking on the street I had to hold my 10 year old very close. She was a little scared and didn't like the environment. The hotel itself was clean and the rooms were big. The continental breakfast was very convenient however I would recommend going on the early side because the breakfast room is VERY small and it gets very crowded around 8:45 am - 9:00 am. The subway is close and very convenient. I would stay there again ONLY because of the price.	
Apr 17 2005	Great value for money	Just back from a three night stay in NYC. I chose this hotel based on previous reviews, and I didn't regret it. My room was huge (and not just by NY standards!) and although it had no view (in fact the window was very small and gave on a backyard), it was very pleasant, also the bathroom was huge and clean. The continental breakfast (a rare thing in NYC apparently) was OK, although - as indicated by previous reviewers, if you show up after 8 you will want to take your food to your room, as the breakfast lounge is very small. All in all, excellent value for money (particularly if you manage to get a good rate -- I paid $149 plus tax per night through the hotel website, and as hotel rates go in NYC, it was a bargain!!	
Apr 13 2005	Excellent stay - we will be back!	We (Family of 2 Adults and a 10 year old child) booked for 9 days at The Broadway Plaza after reading the reviews on this web-site. What we wanted was a hotel that offered value for money as well as being on Manhattan itself. We also needed a smoking room and wanted a private bathroom.All in all we were very happy with our stay and the next time we visit New York this will be our first choice.Some people have complained that the hotel is in a business district and so it is &quot;dead&quot; after business hours. As someone who has stayed in &quot;the thick of it&quot; in New York I quite like the fact that I could sleep in relative quiet! For those people that think the street vendors outside are &quot;pushy&quot; try spending some time in places like India or Egypt! Neither my wife or son (or me for that matter) ever felt worried. The location is great for sightseeing and shopping and with a subway station 1 block north you can get anywhere you need quickly.Ultimately I think the simple question is would we return and as I mentioned earlier the answer is a resounding yes!	
Apr 4 2005	Great stay!	Just came back from the hotel after staying for 11 nights. This is a very nice hotel, right in the middle of Manhattan, with easy access to all parts of the city. The staff was friendly and very helpful, especially the cleaning staff whom responded very quickly after I told them that I reacted with allergies to the air freshener they used, whereupon they immediately quit using it, for the rest of my stay. The room itself was spacious, with a great king-size bed. The neighbourhood seemed a bit shady at first, but we got quickly used to it, the only complaint being that if your room is on the lower floors, you might get some noise during the daytime. All in all, a very good tourist class hotel, one that we hope to use on our next trip to New York (hopefully soon!)	
Mar 31 2005	Loved the view	We visited in March 2005, Travelling from London. My wife is in a wheelchair but access was great. The room was spacious and the facilities were excelent, we even had a view of the Empire State Building.The breakfast was pastries, donuts, bagles and coffee, there was always enough to go round.The area looks rough but we saw no trouble at night, or many people, and felt safe walking the streets at night. The bus stop is 10 feet away and they run every 10-20 mins.It is 10 mins to Macy's 15 to ESB and 20 to Times square, thats walking with the wheelchair (note all NY buses take wheelchairs but Grey line Do not).Always book direct with the hotel as the rates and rooms are better, if you book early you can oftern get a better price than even they advertise, we stayed for 5 nights and got a fuurther discount, e mail them and ask.	
Mar 28 2005	excellent hotel	we just came back from new york, we stayed at the broadway plaza from the 15/3/05 to 19/3/05 and had a fab time. There was nothing the staff wouldnt do to make you feel comfortable and at home. we went with my sis and bro-in-law who also recommends this hotel. our room was huge with a massive bed the view from the window wasnt much not that i minded, on the other hand my sister had a slightly smaller room but the view was breath taking when you looked through her bedroom window all you could see was an awesome view of the empire estate building. Each morning between 7 and 9 was a complimentary breakfast with fresh doughnuts hugh muffins bagels orange juice and tea and coffee was available 24/7 which was great, the kitchen is quite small so we use to take our breakfast back to our rooms to eat. The consiage service was amazing one of the guys there names richard was very helpful if you want to know anything just ask him, we needed transport back to jfk and left it with him to sort it out for us and he never let us down our luggage was even put in the vehicle ready for us.I went to new york last year and stayed at the pennsylvania hotel we enjoyed our stay but didnt really rate the hotel but we definetly made the right choice this time, the next time i go to nyc i will definetly book this hotel again and would fully recommend it to anyone.	
Mar 18 2005	great hotel	We felt that the Broadway Plaza was quite expensive, but we heard so many bad things about cheeper hotels that we decided to take this one, and indeed were not disappointed.The Broadway Plaza is hiding between many non-retail shops and street vendors on Broadway street, with a tiny reception area occupied by very friendly and knowledgable stuff.The room was very small, but clean, and sufficient for our needs. An unexpected perk was a very pretty view of the Empire State Building from our window. The complimentary breakfast was very good - bagels, doughnuts and muffins, with cream cheese and very good jam, coffee tea and juice. Only minus is the breakfast room is very small, and you may find yourself waiting... or taking the food to your room.The location is superb - 1/2 a block from the subway station, 3 or 4 blocks from the Empire State Building, and... well, Broadway street itself. We felt safe in that neighborhood, and will opt for this hotel again when we are in the big apple.	
Mar 3 2005	definite value for money	i stayed at the broadway plaza from 31/01/05 to 07/02/05. the broadway plaza is by no means the ritz, but it is a great deal for the price you pay. our room was on the third floor; it was spacious and very clean(house-keeping are wonderful!) and the decor was modern. the view left a lot to be desired, there was no lobby to speak of and somewhat bizarrely, for those guests lucky enough to be rooming on the 7th floor and above there was only one labouriously slow lift available. but that, i'm happy to say, was it as far as the negatives went...the location was great, broadway and 27th, subway and bus connections were well within walking distance and there were plenty of taxis available. also, the hotel is quite centrally placed and so not really that far away from anything, which made walking and more importantly, sightseeing, a more viable option. local shops are cheap and cheerful and street sellers are friendly but not overbearing. surrounding streets are bustling during the day and practically deserted at night which makes for a great nights sleep. several eateries, bars and clubs are within easy walking distance including jay-z's 4040 bar and p diddy's justins restaurant.i'll definitely stay here again the next time i visit. all in all, a great base from which to explore the city and leave you with enough money in your pocket to splurge on the things that new york city is famous for..!	
Feb 25 2005	Scary but Nice Experience.	Well I had followed the reviews here when picking my hotel, so I had to post after I came back. The hotel is in a scary location, but if you walk a block right or left of Broadway it gets better. Another note on location, the hotel is at least 6 blocks from anything you want to see, and about 20 blocks from Time Square and the theatres, so expect alot of walking or shelling out money for a taxi.But the staff at the hotel were very helpful, when we arrived they couldn't find our reservation and the desk man was going to call around for us and then we found that it had accidently been put under my husbands name.	
Feb 22 2005	Some reservations	Booked in advance on the net, read the reviews here but had booked already. We arrived in NYC on 7th Feb. got a cab to the hotel, first impressions outside were not great. The entrance is between two small shops we checked in but rooms were ready. The receptionist was ok but not overly helpful, went a walk around the area a lot of quite aggresive street vendors outside the hotel and for the next couple of blocks heading uptown. The room when we got it was very clean and seemed ok, later however a loud noise of an industrial machine droned in our room. I rang down to reception, Richard the consierege came up to check out the noise he was very helpful and appologetic. The noise came from next door he reported and nothing could be done---.We asked if they could swap the room, no they were all booked up. After a long trip we needed some rest this was not a good start to our trip at all. To cut a long story short I used the phone and yellow pages in the room to ring other hotels, got the same rate at Holiday Inn Martinique on Broadway. Checked out later that same night- no refund at Plaza not even the offer of a %. I emailed them on my return not any response from them at all. The Holiday Inn was SUPERB all areas of service quality, surroundings, food, location, customer service etc. They saved the day, the Broadfway Plaza is ok for a basic business stop over without the frills but for a family trip think again. The neighbourhood here can feel intimidating for Manhattan which we find generally safe and at ease in. Richard I felt sorry for he did his best, pity the other staff there did not live up to him. NYC is a great place to visit and we will be back again soon (at The Holiday Inn that is). Also the non smoking room at the Broadway Plaza smelt of smoke as did the landing outside.	
Feb 20 2005	Nice hotel great view.	i stayed there for 13 nights in march 03. Great location. 10 min from Macys and the empire state buliding. You have the subway right outside the hotel. I got a room on the 10 th floor with a beautiful view. Nice big clean room.	
Jan 29 2005	Good hotel convenient location	Have just returned from a 4 night stay here. As other reviewers have pointed out, the area can seem a bit dodgy at first - street traders during the day and pretty quiet at night - but we didn't have any problems. I must admit, if I'd been a female on my own, I may have found it a little intimidating. The hotel is a 10 minute walk from Macy's, 15 mins from the Empire State. There's also a subway one block away. If, like me, you're a newcomer to NYC, I'd recommend reading up on the subway system first and using a small station like this one to start with - I wouldn't want anyone to have a repeat of our comedy of errors experience at the bigger station on 34th Street!The staff at the hotel were great - very friendly and helpful. We'd put in a request for a smoking room, but none were available, so they let us have an ashtray in our room. We asked for a view of the Empire State, which we got. The room wasn't big, but more than adequate, and the bed was very comfy. There's also maid service every day.OK, so the lobby isn't a grand affair, but there's somewhere to sit down, if needed. The breakfasts consist of pastries, bagels, jam and cream cheese, and the 24 hour coffee and tea facilities are very handy.	
Jan 19 2005	A great little hotel for a great price	Terrific. Stayed at the Broadway Plaza for 4 nights in mid-January, '05. Got a great rate online. Neighborhood was fine--safe &amp; secure, one block to subway. Nice, small hotel. All staff were very helpful. Room was huge. When I made the reservation, I put in a special request for a room with two beds. Got it, no problem. The entire place is spotless, including hallways. Even the floor in the elevators shined! The bathroom was really big too, but only had a stall shower. My traveling companion, my sister, likes a bathtub, &amp; the front desk was more than willing to offer a switch. We decided not to bother, but front desk personnel were very accommodating, especially day clerk, Trinity. One day I asked for directions to a place the front-desk staff were not familiar with. They pulled out maps &amp; books &amp; tried their best to help, which they finally were able to do. They really go above &amp; beyond to give good service. Only bad experience was after checkout when doorman tried to get us to let him book a car to LaGuardia Airport for us. Tried to convince me that a cab would be more than the $40 &quot;his&quot; car service charges. This was untrue. It was $33 with toll &amp; a $5 tip included.	
Jan 10 2005	good basic hotel dodgy location???	i stayed here with my parents in oct 04. we got a room with 2 double beds and so got a really good size room, with a view of the empire state. the room was a little basic and a little tatty round the edges, but it was clean and we got a good rate. theres no real reception area to soeak of, just a check in desk, but when you're in such a great city, who wants to sit in the hotel?just down the hall from our room was a handy little room with tables and chairs to help yourself to free tea and coffee 24h and it also had pastries for breakfast. this was a nice touch and very handy to fuel you up for the day ahead. the hotel is about a 10/15 min walk to macys so not a bad location in terms of distance to places, however, its a block or 2 out of the main tourist area, where there are lots of street markets selling knock off goods and big groups of people hanging around. it didnt bother us too much, but it was just something to be aware of. all in all good hotel for price, but i guess i wouldnt stay there again, just because there are so many ther similar hotels to choose from	
Jan 8 2005	Excellent!!!	My boyfriend and myself have just returned from the Broadway Plaza hotel where we stayed from the 31st Dec to the 6th Jan. As other people have stated the lobby is small but so what? If your planning on spending your holiday stood in the hotel lobby then obviously this isn't the place for you! The rooms are large and so are the bathrooms, the beds are massive and really comfortable. The maids are excellent and the free breakfast of bagels, cream cheese and coffee is superb. The breakfast room could be a bit biggr but if you like you can take your breakfast to your room so there's no problem there. The surrounding area is typical New York. For three blocks there are loads of market tradesmen with cheap bags, belts and scarves and such. Its a busy area, that is a littered with the days rubbish at the end but this is quickly taken away by the refuse. This should not put you off as the hotel is in the best postion ever! If you turn left up Broadway you come to Macy's and 34th Street within 6-7 blocks, then Times Square is only five mintues away from there. If you turn right you can walk down Broadway past the Flatiron which is right round the corner. You can get the subway to Chinatown, Soho, Greenwich Village and Lower Manhattan. All in all it is a perfect hotel and I am definitley planning on going again this year!	
Jan 5 2005	Truthfully 	My wife and I just returned from our Holiday Vacation in Manhattan and stayed at the Broadway Plaza. We stayed in room 1103 which had a wonderful view of the Empire State Building. The rooms, lobby, and even the elevators are kept clean. The staff was very helpful and we do appreciate the price.What would have been nice is if the hotel had a restaurant, but we knew ahead of time it didn't. The subway is in good walking distance from the hotel.Kudos and hats off to Broadway!!	
Dec 30 2004	DON'T BELIEVE THE BAD REVIEWS!!!	We are a family of 4 (two kids 10,5) and we were perfectly compfortable in one of the doubles at this hotel. There is a subway station across the street from the hotel, very convenient. wonderful hotel great staff great cont bkfst. the area is a middle class working neighborhood, so it's a little lonely at night, but you soon get used to it. please stay here and enjoy!!!	
Dec 27 2004	Mediocre at best	Stayed there in May 2004 for three nights. Clean rooms, but no lobby or amenities to speak of, and very tiny rooms and facilities. For a little bit more you can stay at Novotel Times Square and have a spectacular view, better room, etc. Also, the nearby discount stores leave their trash all over the street after 6 p.m. and I'm not sure you'd want your daughter walking through that two or three block stretch late at night. Finally, I arrived at the hotel an hour early, and for the privilege of checking in just an hour in advance, I was socked with a $20 surcharge!The one redeeming factor about this hotel is that it is not far from Times Square, Broadway theatre, etc., but there are many other hotels which are simply must better. This would be like a budget motel anywhere else. Would not recommend it.	
Dec 12 2004	With a few improvements .................	Stayed there last Thursday. Immediate area was &quot;seedy&quot; however hotel is in a convenient location and there is a doorman. I walked to Macy's , Times Square, Rockefeller Center, 5th Avenue etc.. 24 hour parking a few blocks away was only 25 dollars (reg.$40) because of hotel discount. Staff was very nice. Lobby, elevator, hallways were spotless. The room was clean and basic. Nothing fancy. Bed seemed old and was creaky but fine. Linens were clean but 50% polyester. Towels were clean but could have been nicer. Bathroom was clean but grout around tub was stained and wooden windowsill in shower was covered in mildew. Bottom line: If you can get a good rate, this place is fine if you need an economical place to stay that is convenient to everything. With just a few improvements this place good be even better.	
Dec 6 2004	Not too clean	We stayed for 5 nights the end of Nov '04. I found the location interesting and convenient. The front desk staff and the doorman were pleasant. The breakfast was ok, carbs and weak coffee. Our only negative would be that our room was not very clean. Crumbs that were on the floor when we checked in were still there 5 days later. The extra blankets were not clean and the pillows smelled. I wouldn't rush back.	
Dec 5 2004	Clean convenient basic and cheap...in NYC? Yes!	This area in the Garment District looks sketchier by day than by night: your evening arrival (practically within walking distance from Penn Sta) will find a quiet urban neighborhood just blocks from Herald Square. Subway is conveniently a block away. This is not a &quot;grand hotel&quot; kinda place: reception space is minimal but the welcome is awesome. Great check-in, elevators were fine, hallways are stone-floored but very very quiet. Room was huge for NYC, spartan furnishings (reminded me of a Fairfield Inn) but clean and well-maintained. There are outlets everywhere for your chargers, laptop, iron or whatever...big chains, take notice. My bed was quite firm, and that was a huge plus for me. My bathroom was smallish with some wear-in-use but it was clean. WiFi was slow and skittish but useable---the Website quoted a $9.95 daily charge but I didn't see one on my bill. Hardly any street noise, and my low-floor room fronted right on Broadway! this was amazing.I worked through Continental breakfast the next morning but the 24/7 coffee service was a very welcome amenity. At checkout I booked another stay later this month at a rate that is so low I decline to mention it on the grounds that it may incriminate me. This place is a budget find, and I highly recommend it as a budget business traveler's best bet in Midtown East. You will find much more expensive digs with much less satisfaction if you go elsewhere in the 'hood.	
Nov 21 2004	Great Hotel!!	The hotel staff are fantastic, the location great and the room was fabulous. We had the Junior Suite and it was big enough for four girls with lots of shopping to do and it was spotlessly clean.The staff were friendly, efficient and very helpful. We had continental breakfast every morning. What more could you ask for.We would highly recommend this hotel. At first the outside does not look great and the area looks dodgy but we had no problems. No one bothered us and we were perfectly safe at all times.	
Nov 15 2004	Beware	One short item: After coming back to my room after being out all day, the door was not locked. Needless to say, not a good experience.	
Nov 5 2004	Would Stay Here Every Time!	My husband and I stayed at this hotel for 4 days in mid-August. Location was great. Close to everything by either walking or taking the subway. Never felt uneasy walking at all hours of the day and night. The rooms were large and very clean. Actually, the rooms are massive for New York. I have never seen such a huge bathroom in any hotel, in any city! Only had the continental breakfast one morning and it passable. I agree with the previous comments that continental breakfast area was busy and crowded so we opted to go out and we found a great diner with excellent service up Broadway that had 2 eggs, bacon, toast and juice for $2.50. We trekked around the area for breakfast the remaining mornings and found great food for very reasonable prices. The service was absolutely excellent from the maids to the doormen. We had a little problem getting a taxi on our departure but it was not due to our doorman. The gentleman was persistently in the middle of Broadway trying to snag one. I think many taxis had driven off when they found out where we were going and the amount of luggage we had....apparently, taxis do not prefer to go to the Midtown Ferry! He changed his tactic and we finally got one when he didn't tell the driver where we were going.	
Oct 27 2004	great value great location	Just returned from a three night stay. The above reviews are right on. The Hotel was clean and nicely designed. The elevators are a tad slow, but very nice and clean as well. The location is fantastic. It is about a block from the N and R lines and with a nice park at Madison Square Park. The complementary breakfast was really nice. Coffee was there every morning before 7, plenty of bagels, pastry, coffee and juice. There were lots of people, so we took it back to the room to eat. Our friends room was even larger, with three nice windows. The rooms were certainly large enough, nice view of the Statue of Liberty. Would stay here again. Yes the neighborhood is dead after dark, as it is a commercial area, but I never felt insecure and we walked alot. Great value!	
Oct 27 2004	a great hotel with a great staff	The Broadway Plaza was a wonderful place to stay. It was my first time to the city and I will definetly make reservations again for this hotel. The rooms were clean, the beds were confortable and we had a terrific view of the empire state building. The staff was very courteous and helpful. This hotel really has their act together!	
Oct 13 2004	Great place for budget travel	I stayed here with my husband and teenaged brother for four nights. I was impressed by the size of the room (all three of us were comfortable) and the bathroom was huge! The decor was nice and everything was very clean. The complimentary breakfast was adequate, but not terribly exciting. The desk staff was cheerful and helpful. They made sure that we had a private car to take us to the airport at a very reasonable rate. The neighborhood is mostly wholesale clothing stores, which close down at night. If you are afraid of non-white people, stay home. We felt perfectly safe at all hours, traveling on foot or by the nearby subways. Be sure to grab a slice from the pizzeria downstairs!	
Oct 13 2004	Couldn't have asked for better	As one of three females in New York for the first time I couldn't have been happier with this hotel. The rooms were very large, clean and with all the facilities you need. Who wants lots of TV channels, you're in New York. The breakfast was plentiful and fresh, and it was nice to have tea and coffee available 24 hrs. Room service is also very affordable and nice. The staff are always pleasant, we asked for a view of the empire state building and got it. The area may not be the most picturesque but it is in no way intimidating when quiet at night or during it's peak in the day. When I return to New York I will be booking back into this hotel.	
Oct 8 2004	great hotel great staff good location	We stayed here in July 04 and were very impressed with the friendly staff, especially the 2 doormen who would also deliver take out food to your door! At first glance, the surrounding area seemed shabby and a bit run down but this was only because of the cheap shops and market stalls on the street closing by 6pm. But you only have to walk approx. 2 minutes to find bars, restaurants and shops. During the day the area comes alive with market traders. Our room was very big and very clean (the towels and linen were changed every day). It also had air conditioning which was much appreciated being outside all day in 90 degrees heat! We will definitely go back to the Broadway Plaza	
Oct 7 2004	Nice hotel in a terrible neighborhood	The bad news first. This hotel is in an awful neighborhood. I visit New York every year and this area is much worse than you would normally expect. The streets are filthy and there are noisy street vendors and peddlers everywhere. Late in the evening, the area gets very quiet and rather spooky. On the plus side, the hotel room and bath were much nicer than I expected. Both were very clean with no problems. The room comes with air conditioning, a TV, a telephone, plenty of towels, a hairdryer, and an iron and ironing board. The continental breakfast each morning (coffee, juice, and pastries) is also nice. Because I am very familiar with New York, I would stay here again. For a first time visitor, the neighborhood might seem scary. Given the price, this is a good buy.	
Oct 1 2004	Marginal-a Bit Creepy	Broadway Plaza was below Par 9/27/04.-Strewn garbage on the street, looks creepy every night-Yellowed, rough, thin towels, bed very creaky, and hard.-Staff knows next to nothing about Internet Connection for the room. The web service never did work for 3 days.-Few TV channels, hotel wanted to &quot;sell&quot; you normal channel availibility like HGTV-an other standard channels.-Rental movies $14.00 plus tax etc.-Bathroom tub calking black, moldy,window edging raw and not even finished.-Bedspread and curtains needed cleaning, dark and drab colors too.Pay a little more and stay in a decent area.	
Sep 30 2004	Nice Place	My husband and I just came home this morning from staying at this Hotel. When we first drove up my husband did not like the area He was ready to go someplace else. We did go in and did spend 4 nights here. I have to say we were very pleased after we got inside. We were in room 904 and had a view of the Empire State Building. If you like to shop for wholesale items this is the place to stay. Lots of stores around the whole block. I spent my share in these stores. It was very Quite at night and not a lot of people walking up and down hall ways and making noise.	
Sep 27 2004	A great fair deal!!	This hotel totally worth the money!! (which might be an exception in NYC)!We are a young couple and liked our stay at the Broadway Plaza very much. The staff is kind and helpful, the rooms are huge, clean and quiet, the subway station is just a block away. I would recommend this hotel to anyone who is looking for a fair and good deal and isn't eager for a fancy adress.The only thing we didn't like too much about the Broadway Plaza was the breakfast. The breakfast area is very small, too crowded and the food is so-so.Above it all - stay at Broadway Plaza, you'll have a good time.	
Aug 26 2004	Terrific place to stay	I was traveling to New York City with my family for a vacation and wanted to stay near the sites and enjoy all the city has to offer. I was apprehensive about picking a hotel and wanted to ensure I found a safe clean hotel for a reasonable price. I read the reviews on this site and chose the Broadway Plaza. It was an excellent choice! Everything they say on the reviews is true. You have to walk around the corner past the little desk to see the lobby, but the place is clean and the rooms are big. I asked for and received a room facing the Empire State Building which was a beautiful site at night! My room was big and the bathroom was first rate and clean. The hotel doesn’t have many rooms per floor which gives it an apartment building feel. The area is busy during the day and quite at night. You are close to 34th St. and have a subway station on the corner.If you are looking for a terrific hotel for a decent price with an excellent staff this is the place for you! Give the hotel a chance and you will enjoy yourself. I highly recommend the Broadway Plaza and will stay there again upon my return to New York City. I hope this review helps you as the reviews of others helped me make this wise choice!	
Aug 18 2004	LOVED IT!!!	This hotel was perfect. My friend and I went for 6 days in August, and thought the hotel was clean, safe, and in a great location in the middle of everything. The neighborhood's not dangerous, just deserted at night. Within walking distance from the subway, Times Square, etc. Cannot beat what you get for the price. Would gladly stay there again.	
Aug 9 2004	I would definitely stay there again!	I thought this was a great hotel for the money. It was close to everything. The staff was very friendly and extremely helpful with giving directions. The room was nice, and it had an excellent view of the Empire State Building. I will definitely stay at the Broadway Plaza Hotel the next time I go to NYC.	
Aug 6 2004	We loved the place and the staff	My friend and I stayed there and were a touch unsure of the location initially (based on a couple of other reviews and being two women) however I have no reservations as all about recommending it. We had had a terrible experience in our previous hotel so asked to check in a couple of days early and these guys were wonderful to us. Good staff, wonderful large rooms (level 3 and 12), very clean and the location (once you get over how it appears come 10pm at night) was excellent. Once the night falls and businesses pack up and go home it did seem a bit out there with the roller doors pulled down however you are on Broadway, close to Madison Sq gardens, Empire State building, Macey's and Park Av. The location was really no worse than several of the hotels up in Times Square and in fact was quieter. This hotel location offers plenty of choice for buses and subways. Totally excellent !The staff were genuinely helpful. We loved it!	
Aug 5 2004	Great Value	We stayed at the Broadway Plaza for 5 nights in July - yes the area isn't fancy but definitely not unsafe and very interesting with some good bargains to be had. Hard to beat with the subway only a block away and easy access to any part of Manhattan. The rooms were very clean and comfortable and the staff friendly and helpful. We loved our view of the Empire State!	
Jul 27 2004	This is a dump	The hotel is situated in a bad area so everytime you come out of your hotel you are watching your back. It is very close to the main area and it is cheap. However we went to New York fo a week and it took away from the trip as the place is such a dive to return to. Pay the extra and enjoy a stay in a proper hotel. Better to have to walk 20 minutes then be in the centre of things in a hovel. The staff are very nice but as I say no girl will enjoy a stay here. BOOK SOME WHERE ELSE.	
Jul 11 2004	A great base	We stayed here for 10 nights in January 2003 and were extremely happy with our choice of hotel. This being our first trip to New York we had no idea what to expect - what areas were good or bad, what hotel was best for sightseeing or what was best value for money...the one overwhelming piece of advice that we did get though was 'whatever the bargain, do not stay at the Pennsylvania!' We settled on The Broadway Plaza mainly because they did a very good deal and although some were undecided most descriptions of the place claimed it was a 3* hotel (it now seems to be 2-3*). The staff were lovely from the start although the concierge and receptionist eyed us suspiciously when they noted we were staying there for 10 days - it was the middle of January after all, hardly peak season and more importantly it was unbelieveably cold. The rooms were a good size, the decor plain but it all seemed very clean and the cleanliness was maintained by staff daily. Breakfasts were not included in the price but every morning during our visit, coffee, bagels and pastries were laid out for guests in a small kitchen on one of the floors. (The hotel was previously an office block- hence the large rooms and kitchen area). There were also several vending machines in the building for jet lag-induced cravings in the middle of the night. The location was not, on first appearance, the most touristy or even safe looking but we quickly got used to it and had a good view of the Empire State from our bedroom. The location eventually worked in our favour. As it was fairly central we saved even more money and walked everywhere. Downtown to the Financial District takes no more than 30 minutes and following Broadway uptown to Times Square takes much less, we also walked from the hotel to a Knicks game and back at Madison Square Garden in 10 mins each way. When we did get the subway, it was right nextdoor. We couldn't have asked for more from our money. The Broadway Plaza is not flash or even tries to be but it does provide you with a more spacious and cheaper base than most to explore the magnificence of New York City. (One tip- for a full, hearty breakfast try the diner on the corner of 28th and 5th and gorge yourself on their delicious pancakes.)	
Jul 2 2004	Not Bad for the Money	As others have noted, the area is &quot;colorful&quot; - chock-a-block with street vendors during the day, and black plastic trash bags at night. However, the vendors are not insistent; a polite &quot;no thanks&quot; is all that's needed. These are not panhandlers! As for the hotel, the staff was very pleasant, and our room on the 11th floor was clean, quiet and boasted views from all four big windows of the Empire State Building. Quite impressive. The room furnishings were motel-standard, and the a/c worked very well. Next time I go to NYC I will probably try to find something in a sllightly more upscale environment, (maybe on a street with a couple of trees on it!), but the Broadway Plaza is a good value in my opinion.	
Jun 30 2004	Great little place!!	I stayed here from 10-15 June and was pleasantly surprised by it. The staff were very friendly and helpful toward us, the room was great and the location was ideal! Would definately recommend it!	
Jun 28 2004	Don't expect too much	Just stayed here last week after reading mostly glowing reviews on this site. I have to say that for the price I was disappointed. It wasn't horrible, but it wasn't worth $159 per night which is what we paid for two people in one room. As others have said, the lobby was without style...or daylight; the staff WAS friendly; and the location was convenient...though a bit seedy. The air conditioning was the noisy in-window type that never quite cooled the room enough even at the highest setting. Decor was bland. I think you can do better for this price.	
Jun 24 2004	Will Return!	This hotel was recommended my by sis-n-law. It's definitely a keeper! It is only steps from the subway and you can walk in either direction to good shopping and sites. It's like an average Days Inn (so, only 4 stars) but it's a very clean place and the location is superb! There's a pizzeria right next door! Outside our window was a neat view of the street life below. We will definitely return to Broadway!	
Jun 18 2004	What a Great Place!	What a great place! The neighborhood seemed a little dicey at first, but it's lively and crowded and very New York and very safe. My room was huge, immaculate, and quiet with great views and (more importantly) a great shower. The staff couldn't have been more helpful and friendly. The hotel is walking distance to anywhere - and do walk if you get the chance; it's the best way to experience the city - and if you can't walk to where you're going, the subway is only a block away. I'll definitely stay there again.	
May 27 2004	Nice Room	I found the hotel to be quite nice for $150. My room was rather big and clean. The neighborhood is not very scenic, but is safe and close to things. The one thing to note is that the lobby initially is very small and you need to walk to the end to see the registration desk.	
May 23 2004	Fantastic stay	Stayed May 17 &amp; 18, 2004. Booked online without having the luxury of seeing the place, so we were a bit taken back by it's initial appearance. I even called and tried to cancel my reservation because to be quite honest, we were a bit freaked out. The neighborhood was not what I expected and the lobby...well there wasn't really a lobby to speak of. However, the very courteous staff talked me out of cancelling by painting a little different picture of the neighborhood and I'm so glad. Our room was on the 13th floor and we didn't have any neighbors at all. The view was terrific...Empire State and Chrysler. But even better than those, the surrounding appartment buildings with their water towers and gigantic advertisements on the sides gave the flavor of an authentic NYC stay. We felt absolutely safe and loved our accomodations. Big room, granite (or marble?) floors, big bed. And all very clean. If you want the luxury touristy thing, book something in Times Square and pay a bunch of money. But if you want a clean, safe, close to everything authentic place to crash, this is it. I'll be coming back for sure. Email me for pictures.	
May 20 2004	Excellent Value!!	Like some other reviewers, my girlfriend and I initially thought 'where is the lobby?' Then we found it, just walk past the little desk around the corner and you find a big desk with smiling, friendly people manning it!When we got to our room, we were stunned. We booked a king sized bed and that was precisely what we got, plus a desk, dresser, private bathroom and table with chairs. Bigger than my loungeroom at home! We didn't get a good view, but who wants to spend time looking out a window?The only worry I had was that the showers next door could be heard at night. eh, a small problem. And the neighbourhood is fun. We walked all the way down Broadway in the middle of the night a felt fine. Give it a shot!!!	
