	Great location good restaurant clean rooms.	We enjoyed our stay at the Martinique as first time visitors to New York from New Zealand - it was central to everything we wanted to do and everyone was very helpful. We ate in the restaurant for the three nights we stayed in New York and the meals were great. Especially enjoyed being able to get a meal at 11.30pm after having been to a show on Broadway. Would definitely stay there again.	
Apr 19 2005	great hotel	Stayed for a week, great value for money, good location. Upgraded room two double beds, loads of space, good size bathroom. Read reveiws before hand a bit nervous because some reveiws were bad, found hotel to be fine not a problem don't now what some people were on about. Room was clean and tidy, fresh towels and cleaned everyday. Hotel by Macy's and Empire State building about a 10 minute walk to Time Square. Would stay again. Found staff fine didn't have to queue when checked in, found staff fast, efficient and friendly. Booked a non smoking room and recevied a non smoking room, did email to double check booking and responded quickly within a hour.	
Apr 14 2005 	Don't stay	For the price i paid at holiday inn martinique i expected better. On arrival lobby looked great. Downhill from there on........ Check in staff very rude and abrupt. Asked for non smoking room which was what was booked when reservation made. told no room avail. after arguing for a bit given a non smoking room. The room was TINY, no closet, no space for my bags, had to jump over them everytime came/ left room. aircon very noisy and rattled all night. On first night came back at 22h00 to unserviced room and neighbours room service tray was lying outside my door for 2 days untill i requested it me moved. then had to wait 1/2 hour for them to come service room, again staff very unhelpfull and rude. telephone system not properly working, called housekepping and got through to front desk ect ect. Also messages not given. All in all a most unpleasant stay.	
Mar 28 2005	Don't believe the negative reviews!	I stayed at the Martinique while on a March Break shopping trip with a friend. When I tried to book on Expedia several weeks in advance, all hotels within the Manhattan area were either booked solid for the two weeks that most schools were out for Spring Break, or were charging extremely jacked-up prices. I was getting ready to pay approximately $130 Canadian for a room in a very dubious-looking budget hotel outside of the main city area when an opening came up at the Martinique, $160 CAN/night for a &quot;petite room&quot; with two twin beds. Since there were only two of us and we didn't really care about bed size, that sounded perfect - expensive compared to what you'd pay for a hotel in Toronto, but it *was* March Break and hotels in NYC are expensive at all times of year.We got to the hotel two hours before check-in time and were given our room right away even though we'd expected to have to check our bags and come back at 4 p.m. to check in. The room was very clean and well-equipped - good lighting, coffee machine, iron and ironing board, TV, minibar, safe, etc. The only problem with the room was that the hairdryer in the bathroom didn't work, but it didn't matter because we'd brought a hairdryer with us anyhow. We didn't eat any meals in the hotel, but we did use the business centre on the basement floor once to check email - it's convenient to use, but you can access the Internet cheaper at one of the cafes across the street. Our room was cleaned daily and by the time we returned to the hotel after shopping each day everything was tidy and new towels, etc. were in place for the night. The hotel staff were quite helpful with getting us taxis and held our bags for us after checkout time on our last day in the city until we left for the airport several hours after the 11 a.m. checkout.The best part about the hotel was LOCATION. There is a subway stop right outside the door of the hotel, and there is great shopping within seconds - Manhattan Mall, Sephora, Macy's, H&amp;M, Victoria's Secret, etc. It is a short walk to Times Square and if you take the time to figure out the subway lines, all corners of the city are easily accessible from this spot. The hotel is in Koreatown and many cafes and restaurants in the area are open 24 hours for those who want a bite to eat after coming home from the theatre or concerts late at night. Overall, the place is definitely not a luxury hotel - if you want to honeymoon in NYC or plan to spend a lot of time in the hotel, pay extra and stay elsewhere - but for a sightseeing or shopping trip, it is a lovely place to stay and can't be beat in terms of location and price. I'll definitely stay there again!	
Mar 25 2005	OUTSTANDING!!!!Location is everything!!	I booked this hotel thru hotels.com,We got a great price @ $148.00 a night. We stayed there from March 21-25 2005. After doing hours of reasearch for a hotel in NY that was in a great location, CLEAN, a great value etc.... I finally settled on The Holiday Inn Martinque. After I booked it I read a few reviews that were not always positive so I was a little nervous to stay there. We arrived at the hotel at 12 noon and check in wasn't until 4pm. At first I was told that there was not a room available before 3pm. When I told her how tired we were from a very long trip there she looked again and found a room for us! We wer able to check in and go to our room immediately, what a blessing! We did not have to wait long to check in and the front desk staff were very friendly. Our room was a standard room with 2 double beds and was surprisingly bigger than I thought it would be. It was perfect for My daughter and I and my friend and her daughter. Our room was one of the cleanest rooms I have ever stayed in and I tried hard to find something that was not clean. The 1st night we got back to our room about 9:30pm and realized we need more blankets, towels, pillows, shampoo and a few other things. When we called houskeeping they sent someone up immediately with the things we wanted even though we did not let them know everything all at once. They came up 3 times in a 1/2 hour, always with a smile! The doormen were very helpful, it was great that they always checked that you had a room key before they would let you in. A real perk was the little gift shop in the back of the hotel on the main floor. The prices were amazingly reasonable. If I had to find a fault with the hotel, the only thing I could even think of was that the water pressure in the shower was not as strong as I like. I could definately live with that!! The hotel was in the best location possible and very convient for ANY place we wanted to go. The subway was right out our door, Penn station just 1 1/2 blocks down, Macy's 1 block, empire state building 1-2 blocks and we actually walked to times square and back a few times! (about a 20-25 min walk) We also walked to The Today show, NBC studios etc..... If I ever get the pleasure to visit NY again, I will Definately be staying at the Holiday Inn Martinque!	
Mar 24 2005	Superb Location	My first ( of many I hope ) trip to New York and stayed at the Holiday Inn Martinique on Broadway. Superb location and service and the doorman William proved to be a bundle of information.The hotel is around the corner from Maceys, the Empire State Building, Madison Square Gardens and a host of fine Deli's, fine eating places and Irish Bars .Taxi's will take you to any part of Mannhatten within a short space of time and are really inexpensive.All in, a superb base to visit New York	
Mar 19 2005	Great location	We stayed for 3 nights, booking 3 rooms during a family vist to New York in Feb 05. Booked the rooms through Hotel Anywhere at a good price of £63 per night. The checkin was fast and efficient with friendly staff. The rooms do vary in size and view, some looking on to an internal courtyard, but the staff were happy to change rooms, you may not be so lucky in peak periods.The location is great, Empire State just around the corner, Macy's just across the road and good subway connections to Central Park and Battery Park for Ellis Island etc.I've now used this hotel twice and would certainly go for a third visit.	
Mar 10 2005	Two Thumbs Up!	This was our first trip to NYC and we booked our stay through hotwire.com. We were a little nervous about trying this service as you don't know the name of the hotel until after you pay for it, but were pleased to find out that the Holiday Inn Martinique was where we'd be staying. We got an amazing deal of $99/night through hotwire.I called the hotel directly after booking through hotwire and spoke to Anna. She was very pleasant and informed me we were booked for a &quot;full size&quot; bed but mentioned I could ask at the front desk to upgrade the bed on our arrival in NY.We arrived Sunday, Feb 27, 2005 for 4 nights and were greeted by Emmanuel, another extremely pleasant hotel employee. We asked if it were possible to upgrade to a queen size bed and he said there'd be &quot;no problem&quot; and then asked us if we'd like a King size bed. Ummm... YES!!!There is a parking garage across the street from the hotel which has discounted rates for hotel guests when you validate the ticket they give you. I think the rate was $27 per 24 hour period. It ended up cheaper than we'd planned.We were on the third floor (Room 308) at the end of the hall. Very quiet. The room was quite roomy for what we expected a NYC hotel room to be. It was VERY clean and comfy with a mini-bar and in-room safe (which we didn't use). The room had a large window, albeit looking out into a dark alley so we kept the curtains drawn.The location of this hotel was excellent. We were 1-1/2 blocks from the Empire State Building, about 1 block from Macy's and across the street from the Manhatten Mall, 10 blocks from Times Square. There was a subway entrance right beside the hotel front doors or if you needed a different subway line you could walk a couple blocks to Penn Station. We got the Metrocard ($7 each per day) which allowed us to go all over the city and come back &quot;home&quot; to drop off parcels as need be.Our first trip to NYC was a huge success and in part to our stay at this hotel. The only complaint (if you could call it that) was regulating the heat in our room. There was a thermostat in the room but the last 24 hours of our stay we found it hard to get the room &quot;toasty&quot; warm (which I like). It wasn't cold, but the heater seemed to be blowing cool air out of the fan. It didn't hamper our trip though as we were barely in the room and my husband enjoys the temperature abit cooler. Also, the weather was bitter cold outside so that could have had something to do with it.This was a great hotel with friendly staff and great amenities. If you want a hotel near all the attractions without being in the heart of Times Square (and paying tons of $$), this is the place! We'd go back again!	
Feb 23 2005	Great Hotel Good Location	I stayed for three nights in February 2005 and was very impressed with the hotel. It was clean and security was very good. But the best thing of all was the location. Right in the heart of New York, 2 blocks from the Empire State Building. The only drawback I would say is that we had two kids (11,9) and the double bed was quite small for the two of them to fit into. Having said that would go back there again.	
Feb 19 2005	Outstanding place	We stayed one night in early February and it was a great spot. Good security at the door, parking right across the street for only $27 validated at the hotel. The rooms were good, the place was nice and clean and the staff were all pleasant and helpful. This is a great spot to stay in the city with the Empire State building one block over and Times Square and the theater district only a 10 mintue walk away. I'd highly recommend this property and next time I'm in the city I'll be staying there again. You can't go wrong with this Holiday Inn.	
Feb 7 2005	Excellent Excellent Excellent Excellent	Stayed for two nights in January. Quick, friendly checkin, room in perfect order, comfortable bed. I'd stay again. Good price, good location.	
Jan 27 2005	Fantastic Location	After reading previous reviews I was also a bit wary of what to expect. Arrived on the 13 January for 5 nights before check in and was pleased to be told the room was ready. We were in the 5th floor in room 523 and whilst the room wasnt overly big it was adequate for what we needed and it overlooked broadway, the noise could be heard when you opened the windows but closed with the air conditioning on you couldnt tell what was outside. The reports about the walls being thin and noisy worried me but we didnt hear a thing (might be something to do with being so tired after long days!) Didnt eat in the hotel, went to the american burger co for breakfast a few times and you must go for sunday brunch to Isabellas on W77th street, fantastic and really cheap considering the standard! Times Square was about 10 mins walk up broadway, ESB round the block, Penn Station a block away and a metro line just outside. Didnt really use the hotels facilities, being in New York we didnt want to stay in the hotel! But couldnt fault it when we needed something. Checkout time said 11 on one notice and 12 on another. We left some shopping untuil the last minute and only checked out about 12.30 but the staff didnt say anything. The maid must have had heart attacks when she saw our shopping bags in the room! Overall, I would say the location is the best thing about this hotel, would definitely go back just for where it is. Other maybe nicer hotels nearer to central park look nice (also have not so nice prices!) but unless I had money to burn I wouldnt bother as it would take longer to get to places. Also try Rauls a french bistro between thompson and sullivan st in Soho, we managed to get a table about 6pm on saturday and it was gorgeous.	
Jan 23 2005	Great Location Highly Recommended	Arrived 15th January and despite concerns with our reservation for a few minutes (which were quickly resolved) were given a room on the 16th floor (unfortuately at the back so no views). The room was clean and tidy perfect for a five night stay. The location was fantastic just two blocks from Penn Station which was handy for coming in from Newark airport. Times Square was 15 minutes walk and the ESB was just round the corner. On the corner was a subway entrance handy for further journeys on the R/W lines. We had problems with the coffee machine which we reported one morning and on our return later that day the machine was working again. We would definitley use this hotel again whilst visiting New York.	
Jan 20 2005	Very Impressed	I was pleasently surprised when we checked in to this hotel on January 14th, 2005. I had mixed expectations (after reading the reviews) but everything was top notch. I received an exceptional rate from Hotels (93.00) and figured I would probably end up with a horrible place for that price (in NYC). The first thing we noticed when we walked into our room, was how clean the place was. It was also very near the sights. We parked the car in the garage for the 3 days and walked or took the subway EVERYWHERE. This hotel is centrally located and the subway enterance is on the corner.This was an exceptional value and we will definitely stay here again.	
Jan 17 2005	Great hotel!!!!!!!!	We got started off very badly once we arrived (Dec 28th - Jan 1st). It was about 7pm and we checked in. We were sent to the 8th floor and the room was occupied. We went back down to the front desk, was given another room on the 4th floor, it was also occupied! Now we're upset. We go back to the front desk and we were given another room on the 4th floor. 3rd time a charm! It was unoccupied. Other than the mixups when checking in, our room was very clean. We got a room with 2 double beds. We stayed there 4 nights. You must show your room key whenever returning to the hotel so that was peace of mind that there is some security. I would most definetly stay at this hotel again. It was in a FANTASTIC location and located near Penn Station which was very convenient for us. They didn't even charge us for the rollaway bed. You couldn't ask for a better location. We didn't have the best view - we were in the back BUT it was very quiet and we slept great! Very quiet hotel. The staff I would give mixed reviews. Some were helpful and some were not. I would recommend double and triple checking your reservation though! All in all, the hotel was great and no disappointments. I would stay there again.	
Jan 12 2005	Location Location Location	We stayed at the Martinique just before Christmas 2004... and it was brilliant.... we were very sceptical after reading the mixed reviews on this sight, but I had to write one myself after being there. The hotel was in such a fabulous location. The staff were very friendly and helpful (thought the singing doorman was a nice touch) the hotel was well presented and clean. We felt safe the entire time we stayed there. The breakfast incuded was wonderful.... the only drawback on the hotel was the room size.... but hey your in New York City.... you don't need to sit in your room. It seemed a small sacrifice for such a brilliant location. Can't wait to go back. A *****	
Jan 5 2005	Good Value at the Martinique	We stayed at the Martinique over the 2005 New Year period. Good clean room, good security and pleasant, polite staff, especially the bell captains who were excellent at arranging transport etc. My only criticism is regarding the slow check-in where the front desk staff are very good but there are not enough of them to cope with peak periods.	
Jan 3 2005	Overpriced	Due to the disorganisation of the husband, we ended up booking this the night before our stay on 29th December and paid $220 for the room. Upon arrival, was disappointed to find out check-in was at 4pm but check-out is at 11am. The room itself was very small but had all required facilities and was clean. Our window looked onto some scaffolding and I was a little surprised to see workmen on it whilst dressing the next day! Breakfast was poor but luckily I wasn't hungry. The gym was OK but I didn't get to use it as it was a little off putting to find that the people in the office could watch you working out. The best thing about the hotel is probably the location - it is just around the corner from the Empire State Building and we walked to Times Square. Wouldn't stay there again for that price - I am sure that there are far better hotels available.	
Dec 21 2004	Recommended	Spent a few days in this hotel which in in a great location, just around the corner from Macy's. Had a fabulous stay. Room was beautifully clean and bathroom too. Was really well looked after. Continental breakfast was very impressive with lots of hot and cold choices,very good value and staff really were very helpful.Recommend you stay here. I would definately go bcak there.	
Dec 17 2004	Great location	Stayed last weekend, everyone was helpful and kind. Felt secure, they checked room keys entering hotel each time. Room was basic and clean. Paper thin walls so you can hear your neighbours. Paid alot for the time of year. No view from our 15th floor room. Overall, average.	
Dec 15 2004	Not too bad for the Price	My husband and I stayed here in May of 04, we got a pretty good deal on the hotel. The rooms are very small, but clean. Although some of the staff wasn't friendly, some were very helpful calling cabs for us and helping us with directions. The location is good. Just a short walk down to times square. If you are on a budget this hotel works well. If you are looking for an upscale hotel I don't recommed that you stay here.	
Nov 26 2004	Fiasco at the Holiday Inn	We stayed at the Holiday Inn last month for 4 nights. The best thing about it was the location, right in the centre of things.Everything else about the hotel was a shambles. I am still trying to sort out problems with my credit card where I have been billed for someone elses stay. We came back after a day out to find that our room hadn't been cleaned. We were in a smoking room despite requesting a non smoking room and the whole floor stunk.The bar was expensive and a lot of the staff were very abrupt. I would not go back to this hotel.	
Nov 15 2004	It was better than I thought it would be except for.....	Smokers alley as we called it, the smoking 8th floor which is where we got put, (even after me emailing them to advise I was pregnant and would be arriving late so could they take this into consideration when allocating rooms) As you came out of the lift, the smell of smoke was terrible. The room itself was fine, clean (Bed clothes did smell of smoke but they changed them at our request on day 2 of our trip) the beds were comfortable and the bathroom had everything you needed and it worked. The customer service was a little hit and miss on the front desk and as they are the 1st representation for the hotel, this really should be 1st class. The duty manager did let us keep our room on check out day for another 5hours at no extra cost though. The Breakfast buffet was excellent value and the restruarant staff very attentitive to your needs. The hotel is well situated and I would recommend it as long as you ask for a non smoking room when making your booking. We visited 11/11/04-14/11/04.	
Nov 4 2004	No problems	An excellent location for exploring this part of Manhattan. Service was excellent - especially when we arrived and there was no record of our booking, they rang Expedia right away and sorted it all out without a fuss.The restaurant - especially the buffet breakfast - was great, and very reasonably priced.	
Oct 18 2004	Avoid Avoid Avoid there are far better hotels for the $$$	I recently had the &quot;pleasure&quot; of arranging a business meeting and hotel rooms for 8 guests at the Holiday Inn 'Martinique'. I have never had a worse experience in my career. AVOID THIS HOTEL. It all started from the minute I called their reservation office. The person could hardly speak English and messed up every single one of the 8 reservations I made (each a single, non-smoking room) pretty straightforward or so I thought. She even listed multiple names on each reservation for added confusion. The &quot;sales&quot; department was not much better. It took them 3 days to respond to my request to book a conference room and send pricing. It also took 4 reviews of everyone's reservation to ensure they were correct, but when we arrived at the hotel they were all messed up again. My boss had to wait 45 minutes for a room. Not a good thing. For a hotel that has &quot;conference center&quot; in their title, they surely don't have any staff experienced in running a business much less a hotel. Really unbelievable, every step was painful made worse by the service, rudeness, and general uncaring attitude to &quot;make things right&quot;. Heck, I never even got a thank you or a receipt when I asked for one!	
Oct 13 2004	3 star prices for 2 star service	One would think that when staying at a Holiday Inn, no matter where it was located, there is a certain amount of quality but we didn't find that at this NYC hotel. Upon check in, we realized that the key to our room didn't work. And although this was immediately reported to the front desk, during the 3 days that we spent at the Martinique every time we left the room and returned, we had to wait for security to come let us into our room. This sometimes took up to 20 minutes!!! (I do have to give kudos to John in security -- he was a very nice friendly guy who seemed dumbfounded by the fact that our key continually refused to work -- may have had something to do with the battery in the lock losing power, at least that's the explanation everyone used to explain the problem but nobody ever bothered to recharge the battery). Then there was the fact that we were put in a smoking room when we specifically requested a non-smoking room. My inquiry into being moved to a non-smoking room seems to have been overlooked. And while the room was clean, it was somewhat shabby. However, the one thing the Martinique had going for it was location!! Perfect for tourists on a budget who wanted to stay somewhere central. Just don't expect the bare minimums of a 3 star hotel . . . this one is probably on the lower tier of 2 stars!!	
Oct 10 2004	We thought it was OK! In fact it was good!	We stayed from Sept 8th to Sept 11th 2004. We had been in New York for a few days earlier before having a weeks break in Lake George. The Skyline Hotel cost us more and we were pleased that the Hotel Martinique was better quality for less money. We couldn't fault the hotel apart from little things like providing a fridge and safe in the room and expecting you to pay extra to use them. The room was well appointed and the bathroom was of a high standard.The hotel is well situated and the staff were all very helpful and appreciative of a few dollars tip. I would have no qualms whatsoever about recommending the hotel to friends and stopping there if ever I back in NY.If you are visiting NY for a holiday I would recommend getting one of those tickets that allow you to see all the attractions for a reduced price, e.g the Empire State Building, SS Intrepid and the Manhatten Cruise.	
Aug 30 2004	a little sketchy	We wanted to stay somewhere midtown, so we thought that the Holiday Inn would be an inexpensive, but decent choice. As it turned out, the room itself met just the minimum qualifications for a 3-star hotel. There wasn't anything terribly wrong - it was just very run down. With taxes, the room cost around $150/night - not a great deal...	
Aug 19 2004	Not Typical Holiday Inn quality	I travel to NY on business frequently and thought I'd try another Holiday Inn property closer to where I needed to go. Big mistake. First of all, this property is privately owned and not part of the Intercontinental properties. It shows. At check in (2am, after delayed flight!), I proceeded to the designated Priority Club check in. As I stood there waiting for one of the two employees to wait on me, another family came to the desk in the regular line and were taken care of first. I was given a smoking room (non-smoking was reserved), the room though large for NY city standards was extremely dated, bathroom floor dirty and beds were very sagged. I awoke the next morning to banging and pounding and found two rooms next to mine were being completely remodeled! All the furniture was moved to the corridor and someone was installing carpet. This was at 7:30am! That night upon returning to the hotel, I asked to change rooms. After returning to my room to gather my belongings, I found that my magazines left on the night table were gone. After reporting this to the front desk manager, he did little but say he'd have to call security and housekeeping. Upon checking out, no one knew the whereabouts of my magazines. Surprisingly after insisting I be reimbursed, they credited my bill for the magazines. I would not recommend staying at this property. There are much better in NY. This neighborhood may be 'convenient', but it isn't worth it.	
Jul 27 2004	Great for a trip for 4	I came here in June 2003 with 3 of my girlfriends for a short shopping trip to NYC. This was one of the cheapest hotels we could find through expedia (160.00) that had room for 4 and was close to everything. The room was standard, clean, regular size. The lobby was really nice. We checked our luggage in at the front desk early in the morning and then did shopping and came back later to check in. Everythng went fine except for the check-in took FOREVER! To avoid paying for extra people we just had two people go in to check in and then one brought us out the room keys and then the other two went in (you have to show a security guard your room key before he lets you in to the elevator, which made me feel a little safer). Having never been to NY before it was a great location, there was a subway enterance right next to and across the street. You could see down the street was a less desirable area but we stayed on broadway and we were right near the empire state building, a Manhattan mall right across the street, H&amp;M, Macy's, Madison Square Garden. Central Park, Times Square, 9/11 Memorial were all within 1-2 subway stops away so it only took 5 min to get there. My only complaint is that my friends all complained that the matresses were super uncomfortable with springs in their backs, i slept fine, i must have gotten the good side of the bed :). I would come here again if i was staying for a short time with friends, but not if i had to pay 160.00 for myself. You cant beat $40/night/person in NY!	
Jul 23 2004	Great Hotel	After reading the negative reviews posted about this hotel, I was apprehensive about our stay. But, I had nothing to worry about. Everything about this hotel was great including the low rate we found online! We were permitted to check in early in order to make it to a family wedding. The room was large, clean and comfortable and the bathroom was huge! Everyone from the front desk staff, to the bellhops, doormen and maids were extremely friendly and helpful. The hotel was surprisingly quiet for being centrally located to everything...shopping, Empire State Building, subways. Our stay at the Martinique couldn't have been better!	
Jul 22 2004	Stop whining this place is great!	We stayed at this hotel on the 30th of July for one night just prior to sailing out of NY on the Queen Mary 2. The staff was just about as nice as can be and the room itself, while not posh, was incredibly clean, well maintained, comfortable and best of all, we felt safe. It's very convienient to Macy's, Penn Station, the ESB, and just about a 15 minute walk to Times Square. We drove into the city and I decided to drop the family off at the hotel before taking back our rental car. When we arrived, I asked the bell hop if he knew how to get to the National Rental Car location and he offered to go inside, call them, and then ride along with me to drop the car off and then walk back. I told him not to worry about it but, just his offering was the sign of great service. Later that night, I asked about a certain restaurant and he went inside and came back out with a discount coupon; hey, it saved me $20!Thru the years I've learned that, if you treat someone with respect and not as though they are beneath you, you'll get it in return. I can't imagine anyone having a problem with anyone who works at this hotel.I would recommend this place to just about anyone.	
Jul 3 2004	Lock up your belongings	When we stayed there in May of this year we had items taken from our suitcase and when we reported it to security we were told there was nothing they could do as we could not prove that the items were taken while we stayed there. As we had just arrived in NY and told them that the items were in our suitcase upon check in. Also when we checked in, we were early and told that they would check us in but they would not hold on to our cases until our room was ready so we had to stay in the hotel bar until it was ready. Although central and is a great base while staying in NY the stanford next door seemed nicer. Would not recommend this hotel to anybody.	
Jun 30 2004	Caution go elsewhere in Manhattan	Great location just one block from Empire State building. Check in fine and everything on first trip ok. Returned after one day in Canada and found it a totally different experience. The check in took 15. As we returned at 22.00 only smoking rooms were left. Payment was made in advance but they took no account of that saying rooms given on first come first served despite what you have asked for. Placed in the pent house! Actually it's just the top floor attic room. Can't stand up in bath come shower as I would have hit head. Staff rude and surly, but expect that everywhere in Manhattan. Not good for the money. Much better quality can be found for the price, shop around.	
Jun 29 2004	The PERFECT visit and family vacation	Five night stay from 21 June to 26 June 2004. Family of three. 12th floor Rm. 1218 The title of this review says it all! The walk from Penn Station to the hotel with our bags was no problem. The lobby was clean and the staff was very courteous and professional. From font desk check in, to our room was about 5 minutes. The room was slightly smaller than most Holiday Inns but I expected it to be. We had plenty of room for our family. The entire room was extremely clean and very well maintained. Restraunt menu was limited but we enjoyed dinner and the breakfast buffet. Housekeeper on the 12th floor (Aurora) made our stay extra special with little touches, such as leaving our daughter's stuffed animal on the bed facing the door to greet us upon our return from touring. She always greeted us in the hallway every morning, with a smile and a hearty &quot;top of the morning to you&quot;. The location was perfect and we found everything we needed within a 5 minute walk, i.e. restrauants, subways, shopping. Bottom line: I will recommend this hotel to anyone wishing to visit NYC, and will stay there again, should we visit NYC in the future.	
Jun 19 2004	Check in disaster	Would not recommend this hotel to anyone unless you are desperate.Its in a very busy central area and not very pleasant. The public rooms are small, the bar doubles up as breakfast area. The barman can't make cocktails. Breakfast is poor with a very limited selection. Staff are friendly but not very interested. The rooms are clean but small.We arrived at 14:00hrs and were told there were no rooms available and told to come back at 16:00hrs. At 16:00hrs we were given two rooms, one was Ok and the other turned out to be occupied by another guest. They gave us a key card for his room!!! So much for security.Next we were given a room on 18th floor business suite which was totally unacceptable. It was dirty, smoky and dark. Then finally after applying pressure on the duty manager we were given a twin room for my two daughter's after almost 4 hours wait. Do you need this after a long flight?Would not stay there again, there is much better around. Stay at your peril and if you do, don't give in. Push for what you asked for. Geoff Crisp UK 	
Jun 17 2004	Great Stay	I read the reviews fom others and decided to take a chance. The rooms were clean, the service friendly and the location was sensational. I did not try to use the internet connection as I used an internet cafe right down the street from the hotel. I especially was pleased with security as the doorman checked for your key as you entered the lobby. I would stay there again!	
Jun 8 2004	A Memorial Day Weekend to Remember	I also read the negative comments about the hotel and was ready for anything when I got there over the weekend...I was VERY surprised. Despite a mix-up w/ our room (HOTELS.COM at fault)...our stay was part of a very, very, nice vacation. The location couldn't have been better...it's close to everything! Not only were the staff members friendly and helpful....one of them even took me and my friends site-seeing around the city after he got off work...how much more helpful and friendly can you be?!!! So thanks to Anthony our new friend and tour-guide...I can't wait until my next NYC vacation....I know exactly where I will be staying! ;)	
Jun 4 2004	Great location!!!	Stayed here in May 2004, saw mixed reviews but have to say it was fantastic! Bit of a mix up at check in as we wanted a twin room but some free drinks sorted that one out! After hearing comments about the size of rooms in New York I couldn't believe the size of our room - it was huge! The staff were very friendly, breakfast buffet was very good and could not fault the location as it's so convienient for everywhere. All in all a great hotel, in a great location and would go there again!	
May 25 2004	Good Price Good Service	My Husband and I stayed at the Holiday Inn Martinique for 1 week in April 2004. Our stay was more than pleasant, Our room was cleaned each day with fresh linens daily. The coffee pot and coffee packets each day were a plus. Budget minded yes, but this hotel does not lack service. Wouuld recommend to anyone looking for a clean and affordable place to spend a vacation.	
May 25 2004	Good value for the money!	This hotel was above average. There were mixed reviews on the boards and not that much information out there when we were booking it, so here goes:Great location, very clean. Two blocks from Macy's, 10 blocks from Times Square, two blocks from the Empire State. Cleanliness in a hotel is the most important thing for me, and I'm fairly picky/squeamish about some things. I can put up with bad service, but not a dirty hotel. So we were pleasantly surprised! The rate was about 115/night I believe. But I ended up getting a discount, paying 99/night 9see below) Excellent service, especially the bell desk. The bellman was loading our bags onto his cart minutes after we arrived, took it up to our room right away. Check in was easy, although we arrived late at night. Check out was even easier. Good security, you have to show your room key every time you come into the hotel. Good buffet breakfast in the lobby restaurant (not included), 11.99). Again, good service in the restaurant. The room was clean, good towels, decent furniture, tv, alarm clock, iron, big closet. I think the hotel must have been recently renovated, as everything looked new-ish. Small room, average bed, a double I think, no view. We stayed in Room 1815. It was very quiet, fairly secluded and tucked away at the back of the hotel, on the top floor. Our friends had a good room, good view, no closet. We noticed a lot of airline staff stayed there. That says a lot, I think. They even had their own check in desk! Problems were minor: 1) first morning, our room was not cleaned. We arrived back about 10 pm. I called the duty manager, who apologized profusely, sent up clean towels within minutes, and knocked our rate down to 99/night for the duration of our stay. No problems at all after that. 2) we ordered coffee from room service Friday morning *almost 7 bucks for three cups!! When we left on Monday, the tray was still sitting in the hallway, right where we left it. Again, a minor problem. Advice: go to Speedy's across the street for coffee. Great food too, we ate there three times and it was amazing. The coffee provided for the coffee maker in the room was horrid. Room service coffee was good. Overall, this was a good hotel, great value for what we paid. We will definitely stay there again. 	
May 18 2004	Wonderful Mother's Day weekend!!	My mother, sister and I just spent 3 nights at the Martinique on Broadway for 3 nights. We had some problems when we got there with our room not being ready but the front desk manager got us another room right away and gave us free coupons for drinks and appetizers in their bar. I found the staff to be friendly and the security very good. Whenever we needed anything (pillows, towels,washcloths) the staff was always very prompt in bringing it to the room. We really enjoyed the Irish Pub down the street &quot;Jack Dempsy's&quot;. We ate dinner there twice and I would go back again.	
May 11 2004	Friendly and helpful staff	We stayed at the Martinique for 3 days and can only compliment the attitude of the helpful and friendly staff. We initially had a problem with our room due to work on the heating system which was not fully completed. The duty manager immediately apologised and moved us to a superior room. Would most certainly stay again. 	
