	Good stay apart from lacking service hospitality	I and my girlfriend spent one week in New York to celebrate her 30th birthday and we spend four of those nights at Carlton and the remaining three at The Surrey which was a much better choice in every way (see separate review). Given the competition of New York hotels in this price range, I would not recommend nor stay at the Carlton again.Pro's:- Location, close to pretty much everything including two subway lines making transport to e.g. Grand Central or points south (Union Square, Financial District) very easy- Quality of the breakfast at the in-house restaurant Country- Well-priced (by NY standards)Con's:- Small room (we had a Deluxe room)- Quantity of the breakfast (we have breakfast included in our package)- They charged us $50 for a three minute US long distance phone call- Lack of customer service. The front desk and bell boy service was not what you expect from a hotel of this standard (given the price tag). At check out, when I asked for help with our luggage they just pointed to the elevator. The friendliest staff there were the maids and porters who would always say greet you in a kind manner and have a little chat with you.	
May 27 2005	Great room crap service... would stay again	Our room was wonderful... very quiet, very clean. Hot shower, excellent bed. Nothing wrong there.Be warned, the staff acts like they are temporary and aren't much help. Carlton is tremendously understaffed for a place that is always booked. One bellman for a very busy Saturday morning. Things were nuts and there wasn't really much of a good plan to accomodate all active flow of customers.Took over an hour to get our car from the valet service after being promised a fifteen minute wait. (Turns out nobody called it in.) Nobody was gracious about it or very apologetic. They seemed content to blame each other at the front desk. I've heard prices will go up once construction is finished. Here's hoping they can pull their staff together after that.It was a great bed, great shower, good location.And now that I know what the staff is like, I'd actually stay there again.	
May 23 2005	Renovations schmenovations--this one's a keeper	I'd booked the Carlton as a cancellable backup in case I couldn't get anything through Priceline and after staying there, I am SOOOO glad Priceline didn't work out. The Carlton is one of the nicest hotels I've stayed in in New York.Yes, it's undergoing renovations, most of which seems to be confined to the ground and first floors plus areas right next to the elevators on several floors. And yes, the 9th floor full bed room my partner and I stayed in was small, but I've stayed in smaller rooms at the Super 8 and Red Roof Inn and it was perfect for two. What sets this above the rest is the plushness of the rooms-white and gold with thick white comforters, plenty of pillows, two armoires and a bathroom with the same color scheme, ample, fluffy towels and a magnifying mirror that lets you see every last pore whether you want to or not. The room was immaculate except for one tiny detail we didn't comes across until we were packing to leave ourselves--a pair of Calvin Klein socks in the back of one of the armoires that didn't belong to either of us. They made a quick date with the garbage can.The front desk stuff was very friendly and efficient, making a great stay even better.	
May 22 2005	the Carlton is amazing!!!	Before our first trip to New York City, I reviewed hotels with trip advisor...needless to say I was a bit scared of staying in new york with a hotel less than $400...then we found the Carlton!! The Carlton was wonderful!!! The Carlton was an amazing deal...around $200 USD. The rooms were exactly as pictured on the website. The hotel room was CLEAN (and I am very picky), a nice tan and white decor with wood accents and the bathrooms were spectacular (marble countertops and marble shower/bath). The room had wonderful windows and beautiful roman blinds for privacy. The staff was extreamly helpful (allowing us to check our bags because we arrived before check-in, so we could start touring...AND allowing us to do the same after we checked-out because our flight was later at night). The hotel location was perfect....very close to the Empire State Building, 5th Avenue, Penn Station, Time Square...all in walking distance. The lobby of the hotel was still under construction--but who cares!!!... We would suggest the Carlton anytime you are going to New York!!!!!	
May 12 2005 	Loved The Carlton!	My husband and I just returned from a 4 night stay at The Carlton in New York and thought it was a fantastic hotel for the price. We were given an excellent room that was spacious, clean and comfortable. The service was great and the staff went out of their way to help answer any questions we had. My husband is a light sleeper so we were a little nervous about the noise from the renovations but we were not at all disturbed by any noise whatsoever. The location is also fantastic and close to anywhere you want to go. I would absolutely recommend this hotel to anyone and will definitely stay there again on my next visit to New York.	
Apr 29 2005	Never again thanks!	Stayed here for 5 nights in April. We booked a superior room through Expedia and due to a problem with the plumbing and an overflowing toilet we asked to move and were amazed to find that we were then downgraded to the smallest room I have ever stayed in in my life, and coming from England that says something!!!! The noise from the construction was incredibly loud and started before 7.30am. The reception staff weren't particularily friendly or helpful and there was no safe in the room despite assurances in the in-room literature. I would not stay at this hotel again and due to the fact we booked through an agency I don't feel they treated well at all.	
Apr 27 2005	Great price great location	We stayed at The Carlton Hotel in mid-town Manhattan for 3 nights (April 20th to the 23rd). The staff were friendly and courteous even offering a recommedation for a nearby restaurant which was much appreciated after a long day of travel. Our room was moderately priced, clean, comfortable, and a good size. The location of the hotel was perfect and the area was safe. The hotel is mid-town which gives you easy to access whatever part of town you want to visit whether by foot, subway or taxi. I would recommend this hotel to anyone visiting New York. We sure enjoyed our first trip to New York! A sincere thank you to the staff at The Carlton for making our trip an even more enjoyable one.	
Apr 27 2005 	LOve It Stay there often	What can you say? A great Hotel, Great Staff very attentive to your needs. Once the remodelling is done is will be the hotel to stay in. I travel to NYC every month and stay there eveytime and have never had a bad experience.	
Apr 13 2005	family friendly	Have just returned from 5 days at the Carlton with husband and 2 [young teenage] children. All was great, including polite, helpful service [despite inconvenience for them of reduced reception area and lack of dining-room]. We were checked in quickly [no lost booking] and settled in with an unwell daughter, to our lovely, quite spacious room. All very clean, lovely beds and linen, beautiful bathroom, and everything we needed. Felt safe to leave daughter in soft bed, watching big T. V. whilst we went for a quick explore. Very central, near plenty of restaurants [went to Danos across the street in 5th ave 3 times], and very near Empire State [which, as requested, we had a great view of from our window]. I was anxious, having read some of the other reviews, but was relieved and impressed once we were there. The scaffolding that remains is only on the ground floor, and made very little difference to anything.	
Mar 30 2005	First time visitor to New York great value hotel!	I stayed at the Carlton over Thanksgiving with my boyfriend for just over a week. I have to admit when I saw the lobby I was rather scared (a little bit dump-ish, they are currently constructing a new lobby so this is a temporary arrangement). The lift is absolutely ancient but I have to say the rooms were impressive.The linen is absolutely stunning and the fixtures are gorgeous. The room has a mix of &quot;old world charm&quot; about it (particularly in the bathrooms). Whilst there are no refridgerators, there are ice machines in the lobby and a bucket in your room. The rooms are small-ish (but this is New York!) but you do have a small desk, a TV with a variety of channels and a big closet. The bathroom features a large-ish shower with nice toiletries but no bath.The porters were quite rude and disinterested but the front desk staff more than compensated that by being absolutely wonderful! They advised us how to get cheaper Broadway tickets (good ol' ticket lottery!) and some good little eating spots around the area.For cheap take-out to the restaurant check out Bella Napoli (the menu can be found in the room) which does some pretty decent Italian fare. For something a little more pricey, Ixta around the corner does some nice tequila!I felt very safe at this hotel and it is only 6 blocks to 34th Street (where the action starts!) and only a quick walk to the 29th Street subway station. It is also a very clean hotel, the staff should be praised.I believe we paid around $120 a night with expedia and I felt we got a really good deal. Can't wait to come back and see the improvements at this hotel!	
Mar 29 2005	A total Gem !	We stayed in this hotel late last year and it was brilliant. Great Location, very friendly staff, very clean room with an excellent view of the Empire State all in all a good experience. Yes the lobby is being renovated and it did say so when we booked so we expected it. The fact that you had to out for breakfast was not a hardship at all as most people do this I suspect when they visit the Big Apple !I would recommend this to anyone.	
Mar 29 2005 	One of the best kept secrets!	I stayed at The Carlton from March 24 to March 27. The cost was reasonable and the room was beautiful and extremely clean. I slept beautifully in room 833 and it was far from the noise of the city and still had a nice view of the skyscrapers around the hotel. The hotel is very accessible to the subway and in walking distance to so much in the town. I encourage anyone who is hesitating to please go and give it a try. It's well worth it.	
Mar 27 2005	Scary Lobby/Nice Room	We were just down from upstate NY for the night and were very pleased with our room. We had severe misgivings upon arrival as the lobby is really not in good shape at all. Once we arrived at our floor (We were in room 620.) we were relieved to see newly redecorated curving hallways. Our room had a beautiful bowed window and a great marble bathroom. The Frette linens were another nice plus. The slight negatives were: still no fridge in the room - although this is supposed to be coming, and the whole bellman/doorman thing is chaotic and just generally not well organized. We got a reduced rate through a last minute reservation service, so we feel we received real value for the money.	
Mar 21 2005	Don't judge a book by its cover	Located at Madison &amp; 29th, this hotel is undergoing a multi-million $ renovation. So, scaffolding covers the exterior of the building and there are construction evidences in the lobby and other places. However, the ROOMS are newly renovated, nicely appointed and very comfortable. True, they are smaller than some older hotel rooms, but they are large enough. During the construction, the restaurant is closed and so there is no room service. However, a great delivery menu is provided. I highly recommend the speed and pricing of Cafe 28, a nice deli/grocery store nearby that delivered most meals in under 20 minutes!!	
Mar 21 2005	Very nice	We stayed for 9 nights and had no major problems. The elevator was out of order for a few hours one night but that was no big problem. The room was always clean and the staff was helpful and professional. I'd have no problem staying here again.	
Mar 18 2005	An enjoyable stay at the Carlton	We have just returned from our trip to NYC and our stay at the Carlton Hotel was great. Despite the hotel undergoing renovation there was very little noise or disruption. The rooms were a good size, clean and very comfortable. The staff were always helpful and even insisted on moving us to a suite because there was a problem with our heater even though we were perfeclty happy with our room The hotel is in a fairly good area with a few bars, restaurants, cafes and shops nearby. Empire State building and Macy's literally 5 minutes walk away. There are several subway stations for different lines also closeby which we used all the time. The only downside was no restaurant/bar due to renovations. However this was probably reflected in the room rate which was very reasonable for New York.	
Mar 17 2005	The worm in The Big Apple	I stayed here once, not a great stay. I checked my bags so that I could play for the day and when I came back, they had put my bags on a bus to Canada with a tour group. They were no help in getting it back. I actually had to get an attorney to make some phone calls to the manager. My luggage was eventully returned to the hotel and I had to go back to NYC to pick it up (I live at Exit 1 on NJ Turnpike) because they wouldn't ship it. When I went back for the luggage, I wanted to speak w/the manager and he wouldn't see me. As I was getting ready to leave I heard him paged to the desk so I waited for him. We had a rather heated discussion in the lobby. He was very rude. The second time I stayed was because I was in a pinch at the holidays and had tried 20 other hotels and nothing was available. We were upgraded to a suite because the manager was at the front desk when we checked in and he remembered me. The suite had not yet been cleaned and was a dump. The bathroom was very, very nasty. Someone had been sick in there and it was never cleaned. There were pizza boxes and groceries all over the place. It had obviously been used for a long term stay. I would &quot;eat&quot; theatre tickets or drive to and from the City before I stay here again.	
Mar 17 2005	Great value for money	We stayed at The Carlton between 9th and 16th March and really enjoyed our stay. Whilst the building is definitely still being renovated, the lobby is functional and in good shape. There are obviously no communal facilities, e.g. restaurants, gym etc. The staff are attentive whilst not being overly enthusiastic. Previous comments about reception facilities are misleading -- there is a restroom available (if required pre- or post- checkout) and though the lobby can get busy, who really hangs out in a lobby anyway?Room itself had a stunning view of the Empire State Building (as requested -- surprised to get one though, ask for one overlooking 29th st). The room isn't huge but there's enough space considering you'll be out seeing/doing things most of the time anyway. Bathroom is marble finish and functional, though could do with bathrobes. Housekeeping do a great job cleaning and replacing towels as necessary, you get a free newspaper weekdays.Location is a little quiet in the evenings (hit the village if you want somewhere more vibe-y) but it's very well located in between two subway stations (great choice of lines) and it's quick and easy to get almost anywhere in Manhattan from the hotel.We'd really recommend it at the price, it's going to hike up I expect when renovations are finished, but go for it now.	
Mar 14 2005	Not worth it	We celebrated my husband's birthday in New York last weekend. Weather was great but he Carlton Hotel was a disappointment. Their guest rooms may have been renovated recently but housekeeping leaves a lot to be desired - I found 3 short kinky brown hairs on our bathroom wall on the second night. Had they been there from the previous guests? Or from another room?? Disgusting! The fabric blinds are grey with dust and grime. Our room was small but adequately furnished - typcial for Manhattan. The photos on their website are deceiving. Expect traffic noise from 29th and Madison. The lobby is small and cramped partly because of the ongoing construction for their new lobby. There is no restroom facility on the lobby level, actually there is nothing there except for a small one-star hotel front desk counter. Definitely not what I expected for the price or neighbourhood. The complimentary morning coffee is fine if you enjoy watered down coffee. Stick with the teas - interesting blends like Chai Spice and Xiao's Blend. For my money I prefer On the Ave Hotel in Upper West Side, incidentally rated close to this hotel although I don't understand why. When their renovations and constructions are complete the rates will likely soar - avoid this place unless money is burning a hole in your pockets.	
Mar 11 2005	Very confortable and Very nice staff	This hotel is really a diamond in the rough. Why am I saying &quot;in the rough&quot; ? Because they are actually under construction which of course hides some parts of the buiding, but really doesn't impact on your stay at ALL !It's a diamond for its usually low prices, the staff there which was more than helpfull (they provided me in less than 2 minutes with a shaver since I'd forgotten mine, took care of all luggage as we arrived and the day of our check-out, arranged the limo service to drive us back to the airport, answered all kinds of questions about where would be best to eat, how to get to some point, and so on...).The rooms are quite small but really confortable. Just speaking of it makes me wanna sleep in these sheets again ! TV in the room, large bed, and the bathroom is all made of marble and convenient to use.Certainly a good pick if you're looking for comfort. Of course it is a 3 stars hotel, so you would expect this from a 3 stars, wouldn't you ?	
Feb 14 2005	Excellent value!	Booked at $139 per night through hotels.com, this was a superb value. For those who like a library, or to sit with a glass of wine near the lobby, this will not work. The hotel is definitely undergoing renovations, and the greeting area is small, and functional only to check in. That said, for those who are looking for a nice room at a reasonable price, and aren't concerned with lobby appearances, this is an excellent choice. The renovations were complete (at least in the room provided me), and everything appeared both new and relatively plush. The room was small, as are most in the city. But for 1 or 2, it was fine. The renovations in the bath were particularly niceTwo separate subway stops are both two blocks away, albeit in opposite directions. But that gives the choice of varied lines. The location is away from the prime tourist markets, but most are certainly walkable. And Penn Station, for those coming by Amtrak, was a 15 minute walk for me.	
Feb 14 2005	lost reservation terrible service	I planned on staying at the Carlton with a large group of friends on a Saturday night. When I arrived, with my reservation confirmation information in hand, the unhelpful staff informed me that my reservation had been lost. This same thing happened to our friends who arrived directly after us, as well as 2 other guests. I found it especially confusing because we had each booked our reservations in different ways. I had booked through the hotels website, my friend had phoned his in and the other guests had used expedia. Each of us had hotel confirmations. Instead of the manager coming out to the crowded, mid-renovation, lobby, we were told that someone was &quot;working on it&quot; and the front desk staff ignored us for over an hour and 20 minutes. After repeadedly asking to speak with a manager, we were told they were &quot;on the phone.&quot; I have never experienced such irresponsible, and unhelpful customer service in my life. When we asked how something like this could happen, we were told that all reservations were made through people in Omaha, which the front desk girl pointed out was &quot;very far away.&quot; Thank you for the geography lesson. Finally after an hour, the assistant manager came out and told us we would be moved to another hotel down the street. When we arrived at the other hotel (The Hampton Inn, W 24th St.) we were relieved to find a helpful and friendly staff that was ready to assist us with anything we needed... not to mention, the rooms were larger and in better condition. 	
Feb 13 2005	old luxury feels like home	This old hotel, currently under construction (Valentine's Day 2005), offers cozy little rooms with many luxurious fixtures and furnishings. Updated with contemporary metropolitan charm, this hotel offers tourists a comfortable stay while in the city that never sleeps. Desk staff was very professional, friendly and apologetic for the hotel's current inconveniences due to the construction. For example, the restaurant was not yet operational, so my wife and I had to settle for bottled water out of a vending machine and ice from an ice machine. The bell hops seemed a little unorganized and flusterred. The room itself was the best part. Small, but very New York. The bathroom was very luxurious in look in feel as well...although the marble tile floor, while nice on the eyes, was unpractically slippery. No mini bar, bath robes and, currently, no room service. Heat was also cranked on high and our room thermostat prooved difficult to control. But just open the windows and you should be fine. Beds were very comfortable...leave your egg crate or matreess pad at home! Also leave your hair dryer at home, because each room should have one tucked away in a contemporary cabinet in the bathroom. Nice location, a bit far from the excitement of mid-manhattan, but worth it for the price. We are considering staying closer to Central Park next time, due to the price of cab rides, but might stay again. Looking forward to the completion of the hotel's restorations. 	
Jan 25 2005	Clean Chic and close to Herald Square	I stayed at this hotel labor day 2004. and i have nothing to complain about. the service is great. the room is clean and plush/luxurious. the room is not very large, the standarad room with one double bed is literally meant for no more than two people--so if you are friends traveling beware-the rooms are very small. but again everything is clean, and the service is great.it's also actually a 'nice' hotel. i highly recommend staying here.	
Jan 24 2005	the best deal in the city	If you can find a better, nicer hotel in NYC for the cost (we paid $129), please let me know. Despite contruction, which is mainly to the exterior of the building, the Carlton was a great place to stay. Nice staff, elegant rooms (small, but it's New York and should be expected) great location. The subway is just a block or two away, restaurants are nearby, very accessable.	
Jan 17 2005	fun in the city	Wife and I took last minute trip to NY and booked hotel at The Carlton based on positive reviews by others that stayed here. The hotel is perfectly situated for a trip out to town. We were able to walk to-pretty much-everywhere in Manhattan from here. Although, there isn't much action at the hotel location at night. Don't be put off by the renovation of the hotel, the rooms inside are very nice. I would definitely come back here again.	
Jan 15 2005	Hotel Overbooked!	We were meant to stay at this hotel from the 27th of Decemeber to the 30th of Decemeber, a total of three nights. BUT......we arrived late in the evening, at about 11.30pm, only to find that the hotel had been overbooked, and that we would need to be moved to another hotel. This was despite the fact that we had pre-paid (through Expedia), and had rung up the hotel to confirm that we were arriving albeit a bit late. I'm not too sure about how hotels operate, but in my opinion, this practice of overbooking is ridiculous and detrimental to the concept of customer service! At least the receptionist agreed with us on that one. And funnily enough, the hotel we were sent to was actually better than this one anyway. Too bad we couldn't have stayed there.We got sent to Hotel Thirty Thirty, which thankfully wasn't far away. We were told that because of this, we would be upgraded when we returned the next day.The room that we eventually got was actually quite nice. The bed was comfortable, the room and bathroom were tidy, nothing to complain about. However, the whole affair was soured by the initial overbooking fiasco, and I'm sure we would have enjoyed the hotel a bit more, had this not occured.The hotel is still in the middle of their renovations, so as a result, the entire hotel was only being serviced by 1 small lift, and the service elevator, which was a hassle. The location of the hotel is good, being only a few blocks away from the Empire State Building. There are also a couple of subway stations nearby, which is extremely convenient. The area is quiet, and we had no trouble with any outside noise from our 7th floor room. The staff however, were not as friendly or helpful as some of the other New Yorkers in the service industry, but they were still a far sight better than what passess off as service staff in the United Kingdom!All in all, an average hotel. Nothing bad, but nothing amazing. Nonetheless, we would still be a bit hesitant in booking there again due to the fact that we might not be guaranteed a room!*Postscript*The reason we find having to change hotels is because of the whole checking-out and checking-in. Aside from having to pack and repack your bags, you also have to contend with wasting half your morning checking-out, dragging your bags over to the next hotel, checking in only to find that check-in is not until 3pm! Then having to store your luggage, go out briefly, AND be back at 3pm to check-in properly. This stopped us from going on the ferry to Liberty and Ellis Island, which takes the better part of the day. Consider that we were only staying for 3 nights in the city, and you can understand our frustration.	
Jan 9 2005	Great value!	My wife's x-mas present was a trip to NYC. This hotel helped make her first NYC experience a good one. The room was nice and the people were friendly. I would definately stay here again!	
Jan 5 2005	Good hotel great location	After just getting back from NYC i thought id share my experience with other travellers. I stayed at the Carlton on Madison Avenue for four nights and it was a great hotel to explore the city from. The location is perfect - just one block from the empire state, a 5min walk to fifth avenue and the subway seconds away for those further afield trips. The hotel is going through a refit and there is scafolding hiding the impressive traditional building on the outside, however dont let that put you off, the rooms are very comfortable and less than a year old so everything still has the new feel to it. The bathroom is one of the major plus' for the hotel - all marble set with gold fittings. If there had to be one downside to the hotel it would be that the rooms were slightly on the small side - however being in a city so densley populated i assume that many of the hotels are the same if not smaller. For Sex and The City fans the hotel is also opposite a fourth season (episode 49) set - the little church around the corner (the one where Samantha fancies a priest) where celebrities can be seen on sundays!!! Great reason to stay. All in all a great holiday - definitley planning my next trip soon...	
Jan 4 2005	New York 	We stayed at the hotel 29th Dec to 3 Jan 05 and at moment its going through $5million renovation so doesnt look much from the outisde as road is dug up and scaffolding everywhere. inside is very comfortable but was surprised at lack of front reception area and no bar/public toilets/breakfast area (although this isnt a problem as honestly 5th Avenue is 2 minutes walk with lots of deli/eating places there within a variety of prices.Hotel room was clean and bed was comfortable. The downside was that there was 3 of us sharing a 2 double bed room which with clothes and 3 cases wasnt much storage space etcHotel is in a great location for all main sites and walking distance to most.Also tip was to book shuttlebus back and fore to ariport we found this quite handy on our first visit to city.Enjoy your trip !	
Jan 1 2005	Staff attitude in need of renovation	Stayed 26th to 31st December 2004.First of all - very comfortable bed! Great midtown location. However, hotel IS undergoing renovation, when it is probably the attitude of the staff that needs it more. Elevators not sufficient - very cramped one in main lobby only holding four. No bathroom in lobby for changing after late checkout - advised to use Starbucks by receptionist!	
Dec 30 2004	Very Nice Room	I stayed at the Carlton from December 27-29, 2004. As mentioned in other reviews, the hotel is currently undergoing renovation. There really is not much of a lobby at this point in the renovation and what little space the hotel has for a lobby is very crowded. That should change when the renovations are completed in 2005. I stayed in room 715, which was fantastic. The room was exactly as pictured on the hotel web site and very clean. I was especially impressed by the large size of the room---huge by NYC standards. The bathroom was small, but more than adequate for one person at a time. The high end bed linens and toiletries were a great touch and the bed was very comfortable. The room had a view of the Empire State Building and was ideally situated in midtown. I will seriously consider staying at the Carlton again during future trips to NYC.	
Dec 29 2004	Reservations Not Necessarily Guaranteed	I made a reservation at the Carlton in mid-November for this past Monday night. I reconfirmed the reservation the night prior to check-in, and was told everthing was on record. When my husband and I arrived for check-in at 3:30 on Monday, the front desk staff told me they had overbooked, and they were holding a room for us at the Thirty-thirty. I said OK, as long as we can have a queen-sized bed, as that was what we had booked at the Carlton. That was not the case. Although the bathroom was large, the room was tiny and had two twin-sized beds. The Thirty-thirty staff said that's all they had available (for relocated Carlton guests, I'm thinking to myself). After an angry call to the Carlton, plus a stakeout in their lobby, we were eventually comped. I have no idea how to make sure a reservation at the Carlton is actually guaranteed, but be aware that you may end up at the Thirty-thirty!	
Dec 29 2004	Xmas Xtra Special	I stayed here at the beginning of December 2004 and after reading some of the reports was very worried before I arrived but the stay was great.My double double room was exactly as pictured. There was morning coffee available in the foyer every morning.The reception staff were very friendly and the bellman helpful. Two lightbulbs blew when I was staying and they were changed within minutes of my call to reception.Clean, comfortable and very convenient. Recommended.	
Dec 15 2004	Exactly as described (great!)	I traveled to NYC on business during the hustle and bustle of the holiday season, so it was extremely difficult to find an inexpensive, yet nice, hotel in the city. I read the reviews for this hotel, and proceeded with caution. Though the hotel was under construction (I knew that going in), and there was a slight odor in the lobby (typical NYC), I was more than pleased when I arrived. The bell person took my bag up the stairs, and hailed me a cab the next morning. Staff was pleasant and friendly, and the neighborhood felt safe, considering the city I was in. The room was exactly as the photo depicted on their website, complete with marble countertop in the bathroom. Comfortable bed, nice amenities, hot shower, and working heat. For a room I spent a mere 11 hours in, the Carlton was an ideal stop for a business traveler looking for a safe and good night's sleep.	
Dec 15 2004	Very nice room good location	Although I had to pay a premium to stay at the Carlton because of the holiday season, it was a much better deal than most of the hotels I could find in Manhattan for this time of year. It's not a top tier hotel by any means but it is a good option for a mid range hotel if you are just looking for a well located comfortable room.My room was very nice, a comfortable bed with down pillows and comforter, a large spacious room, a shower and a tub and all the other amenities I needed-an in room safe, ironing board, toiletries, hair dryer, cable tv. I did not have a view except of the apartments next door. A copy of USA Today was delivered in the morning (weekdays only) and there was coffee in the lobby.The hotel is undergoing major renovation but there was no noise to disturb me, the only problem is that the elevators are pretty slow, I used a service elevator because of my room location which made the elevator even slower. The lobby area is pretty small, just a few chairs and a couple of small sofas.I did see one of the smaller rooms (currently using a single room as a guest bathroom) and it was much smaller than the room I had and only had a shower. Not sure if they are renovating that one or not.The location is on Madison and 29th, just a 5-10 minute walk to the Empire State Building, a couple of blocks from the subway. I felt perfectly comfortable walking back to my hotel after seeing a show, there were always people around.	
Dec 8 2004	A fantastic hotel - was great value for money	We stayed at The Carlton for 5 nights from the 21st Nov. 2004. We were not offered any help with our bags after checking in and seeing all the refurb work around us we feared for the worst. When we found the room (this hotel is very big) we were delighted to see a luxuriously furnished room with a beautiful marble bathroom and a huge TV that faced the bed. The bed was fantastic, not quite as amazin as the &quot;Heavenly Bed&quot; you get in one of the big chains but fantastic nonetheless. We booked on Expedia and it was well under £100 a night (although we were booking for five nights, but also Thanksgiving). Expedia rates it as a 3 star hotel but I would say that the rooms are easily 4 star quality. One the multi million dollar refurb is fully completed some time in 2005 I expect the rating to go up and the prices to rocket!My advice is go for the Carlton if you can get a good rate, particularly during the Refurb.Anyone not used to New York may find the rooms a little small but unless you are prepared to spend huge sums of money that is what you always get. You don't need a big room in New York as you shouldn't be in it for long - there is far too much to eat, see and do to just stay inside.	
Dec 5 2004	The Carlton was great!	I thought the Carlton was awesome! We recently stayed at the Carlton from Dec 3-5. It was great! The room was a little bit smaller than what we expected - but we found it comfortable and enjoyable! The bathroom was exquisite - with the marble counter top and huge vanity mirror! The bed was extremely comfortable and the linens were so soft! This was my first time staying in New York City - and I would love to come back to the Carlton in the near future. The staff was friendly - and even though they are going through repairs - it is very clean and inviting!	
Dec 4 2004	A magic Thanksgiving experience	Recently we stayed at this hotel for three nights during Macy's Parade. We passed greatfull moments in NY City and The Carlrton was part of this. We make an early checkin at 12:00pm without problems. The room was very clean and the hotel is very close to the Empire State Building. The bathroom was clean and each detail make feel us in a paradise (the towels are tender and smoth). Its very centrical. The bed its the best, so much .... I have no words to describe it. Our room was located in the six floor and I think that is brand new one. I recommended this place to stay 100%. The property changes are in progress but you dont need a great lobby to have an excellent room. The rooms are small if we compare with other places as Orlando but it is an excellent choice for people who want to know more about NY City. We pay about $206 per night with hotels. That was really good because was Thanksgiving weekend.	
Dec 4 2004	Hotel Under-Refurbishment Yet OK	The Carlton is medium sized hotel currently undergoing major refurbishment, yet I would go back again. Arrived at The Carlton after a short walk of a dozen blocks from Grand Central Station, to find the small lobby area crowded with others checking in. The small lobby accessed from the side of the Hotel gives a poor first impression, but is as a result of the refurbishment going on. The congestion around temporary reception was not helped by the fact that initially only one member of staff was serving but after a short wait this was supplemented by further two receptionists.Once checked in I went to the room (1039) to find a comfortable, recently refurbished and clean room. The view from the room was in the direction of Madison Gardens and I could see the top of Met Insurance building. Each weekday I received a complementary USA Today and the room was serviced daily to a good standard. The only criticism is that the bed was only a standard double in this room and the en-suite only had a shower and not a bath. Both of which were perfectly adequate for my stay.I can confirm the situation with the lifts is as reported previously. There are a total four lifts. The nearest to the temporary reception is slow and only holds four people so once it has left the top floor (#10) it is generally full, the second lift described by others as the service lift holds more people is faster but is not decorated and during the day I found was used by the builders. The final two lifts have yet to be commissioned.The location of the hotel is good being only three blocks away from the Empire State Building and about 25 mins walk to Times Square past Macy*s. Nearest Subway station 28th Street on the 6 line, is 1.5 blocks away, which goes straight Downtown to Bowling Green, in order to go on the best value for money attraction the Staton Island Ferry.The hotel at present has no restaurant, but the in-room guide does contain menus of a selected few close by. Two of which I can recommend and are each only a block away. Café 28, which is a large deli ideal for Breakfast (tried their buffet in the evening this was poor) and Bella Napoli which gave good portions and value, see their website for typical menu.Do not be put off by the refurbishment although it caused a little disturbance in the public areas once in the safe haven of the room I was not disturbed all week. If I visited New York again I would for the price choose this hotel again.	
Nov 30 2004	The worst hotel in NYC	The worst hotel experience ever. I used to live in NYC and now live in Boston. This hotel was the pitts....On-line said three and a half stars...but it was a one star at best. Homeless people sleeping on ripped sofa in tiny tiny hall area they calll a lobby. Dirty filthy conditions. One desk clerk and one bellman for the entire hotel, Took forever just to get waited on then the hotel bellman and clerk were grouchy and so unwelcoming. Don't waste your money here....be warned....STAY SOMEWHERE ELSE.	
Nov 29 2004	Stay at The Carlton	I made our reservations thru Expedia before I read all other posted reviews, thus I was a little apprehensive about our visit, however I fretted over nothing. I have stayed at the Marriott Marquis and Doubletree on Times Square in the past so I had some reservation about the location but found it to be easily acccessible and centrally located. If you plan to take the subway after dark, I wouldn't suggest taking the N as the path to the hotel takes you thru Little Korea and it was a little scary. Take the number 6 after dark, which is only a block and a half away from the hotel. Within 1.5 blocks of the hotel we found a McDonalds, Taco Bell and Dunkin Donuts and 2 Starbucks. Not a lot of choices for dinner close by. Best mode of transportation is the 7 day subway/Metro card, at $21 total, even if you don't use it for the full 7 days it is a bargain. As for the hotel, we found the staff very accomodating. Expedia put 3 people in each room (we had a party of 9) but when we got there we were told that in order to put 3 in each room we would have to upgrade- problem was they had no rooms available to upgrade to. They explained that this is a common problem they have thru the web travel agencies, who of course claim no accountability. Since they had no rooms with 2 beds available they agreed to put a cot in each room at no additional charge (normally costs $20 to $25 per night). They were very helpful with directions around town when they had they time, however most of the time the front desk was understaffed. There was only one bellman on at any given time. PLan to transport your luggage alone or wait a while during peak times. Our rooms (901, 905 and 915) were great for a 3* hotel. 901 had no view but a great bathroom (large). 905 and 915 had small bathrooms but good views. As they are renovating there was a degree of inconvenience such as small elvators that run slow. Request a room on the higher floors and you won't find the elevator constantly full as our friends did on the 3rd floor. We recieved our daily paper timely, fresh coffee in the lobby every morning. Fresh and beautiful floral arrangements in the lobby were a nice touch for a 3* hotel. When renovation is done the price will go up. The slight inconvenience we expereinced was worth the stay for the moderate rate quoted.	
Nov 25 2004	OK	Stayed here the first weekend in October 04. It was ok, nothing great. Outside, it wasn't very functional - meaning there are many stairs leading up to the front door/desk and if you have a lot of luggage noone is around to help with it. They should have a ramp for your luggage.Also since it's being renovated, there was ONE elevator that can hold like 2 people (and my bag would barely fit) so it took forever and a day to get up and down. I normally took the stairs. Lobby is non-existent, no breakfast or coffee available. However, the room was nicely decorated, but very small, nice bathroom though. Good location close to Empire State, easy to get taxis.	
