	Everything was wonderful except the size of the rooms.	If you are by yourself or staying with just one other person, this hotel is a great choice. My husband and I both said that we would absolutely stay here again..... as long as we were by ourselves. We stayed here for 2 nights over Thanksgiving with our 1 year old and 2 year old and the room was WAY too small for the 4 of us. The room we stayed in (611) was not much bigger than the Queen size bed that was in it. However, room size aside, the hotel was great. It is located very close to the Subway on the 6 line. The staff was very friendly and helpful. The lobby was nicely decorated with leather couches and fresh flowers and the attached restaraunt is very nice. They served a great breakfast with croissants, bagels, juice, yogurt, fruit, etc. And for the price, it was FABULOUS! We found a deal on the internet where we only paid $139/night. However, NYC kills you on taxes: $12.34/night State tax with $8.17/night city tax and a $3.50/night Occupancy tax.	
Nov 25 2005	Good little hotel	We stayed at The Park South hotel for 5 nights this Nov and had a great time! And i think we were lucky to find this hotel as we had to cancel our original hotel and i was beginning to panic. Yes the hotel room was small but it was clean, tidy and very quiet which ive been told is almost unheard of for New York. My only grumble was we had a shower room and not a bath, which would have been nice after long days walking everywhere. Yes the subway is right there but i have a boyfriend who likes to walk everywhere!!!!The hotel staff were helpful and the breakfast is included in the price which was fantastic as you can have as much as you liked and there was always lots there. The resturant and bar were also nice although maybe on the pricey side, but still is was nice to be able to come back and relax and have a drink before crashing out. Also there is a fantatic resturant next door to the hotel called the Copper Kettle, highly recommend it if you like your curry's. Was probably the best meal we had all week. I would definatly recomend this hotel because all we really wanted at the end of the day was a nice safe clean and welcoming hotel to go back to and that's exactly what we got.	
Nov 21 2005 	Small but Good	This is a terrific little hotel with a lot of good ammenities in a great location. I just returned from a business trip and stayed on for the weekend when my husband joined me and we spent time with friends who live in the city.--The rooms are not only clean but up-to-date--The hotel is relatively small but it is extremely quiet which is an anomaly in NYC--The water pressure is good--Continental breakfast is really quite nice--The business center has 3 computers with email/printer access--They even have a small workout roomYes the rooms are small, but they are small in Manhattan unless you are staying at the Waldorf or Pierre. Even then you can get the infamous &quot;rooms with views of brick walls and airshafts&quot;.I hate to say this but if you are in NYC and you are hanging out in your hotel room for more than sleep you are really missing the point.New Yorkers are always out because their apt's are small and there is no end to the fun things to do in the city (night and day). This is a good hotel -- it is a clean, quiet safe place to sleep with a few nice bonuses like the 6 - Subway at the corner, trust me this is extremely useful. I would stay at the Park South for certain next time I visit NYC.	
Nov 5 2005	small room but good value	Our room was small, even uncomfortably small. The small size meant that there was little storage space and no spot for a coffee maker or a fridge. As a result, you find yourself tripping over your suitcases a lot and constantly going down to the corner deli for coffee or a cold drink. That being said, the majority of NYC hotel rooms are tiny, and you could pay a lot more without getting that much additional space in return. I think the room size was a fair value.Beyond room size, we were very happy with all other aspects of our stay. The staff is very friendly. The hotel is clean. And there’s a large continental breakfast available downstairs everyday at no extra charge.But the best feature of the hotel is location. A typical NYC tourist might frown on the location because it’s not next to any major attractions. But experienced subway riders will appreciate staying virtually on top of the Lexington line, which allows quick access to Greenwich Village, Chinatown, Little Italy, Grand Central (with a shuttle to Times Square), the Met, and Central Park. St. Patrick’s and Rockefeller Center are also only a few blocks from the Lex line.Overall, if you can find a room here for around $200 a night, I would recommend reserving it for your NYC trip.	
Oct 29 2005 	Tinniest of Rooms	I booked an overnight stay at the Park South Hotel expedia. I called the hotel directly and confirmed my reservation a few days before my stay on October 24, 2005, and they had my reservation no problem. I checked into the hotel at 4:00 PM, check-in went quick and smooth. Went directly to my room on the 6th floor, opened the door and bumped into the bed. It was by far the smallest room I have stayed in New York City. I did find the room very clean, but if my wife was with me, we would have been bumping into each other. The bathroom was very clean, however, had a smell which seemed to be a seweage type smell, but I could not be certain. The bathroom was so small that I had to shut the door to use the shower. Television was a 19 inch, had HBO, but not movies on demand which I like. Bed clock had a alarm which I used with no problem. A continental breakfast in the hotel restaurant is included in the price of the room, it was simple, but good enough, with bagels, toast, hard boiled eggs, cereal, juice and coffee. Quick and easy. I checked out after breakfast with no trouble. While I found the hotel to be convenienct to my business location, nor did I experience any problems with the hotel, I would not stay there again because for the price I paid I expected a larger room than I received.	
Oct 24 2005	Comfortable hotel solid location	Stayed at the Park South three nights last week. Friendly front desk staff and doormen. Excellent complimentary breakfast. Tastefully decorated room. Hotel is very close to great restaurants (check the Murray Hill/Union Square section of Time Out NY's Web site for suggestions) and the 6 line. Because no room was available here on Saturday night, we had to book a room at the nearby Shelburne Murray Hill; I wasn't as impressed. I would definitely stay at the Park South again.	
Oct 22 2005	Elevator Room	We stayed at this hotel for 6 nights and had booked via the internet after consulting with traveladvisor site.Unfortunately, the size and location of our room was the crux of the problem. The room was tiny. There was a queen size bed a desk/chair with a tv on the side of the desk and these furniture pieces encompassed the entire room. Both my husband and I could not be showering/dressing at the same time as there was absolutely no space to move. Also the location of the room was right behind the elevator and thus was very noisy.We complained on 2 occasions to the front desk staff to try and have the room changed but were told that this was a &quot;standard room&quot; as booked on the internet and they had no other rooms available even if we wished to upgrade at a higher cost.I don't feel that this space which they consider a &quot;standard room&quot; should be offered to the unsuspecting tourist at a cost well above $200 U.S. a night. If you are claustrophobic don't even consider it!P.S. The remainder of the hotel facilities and complimentary breakfast was certainly adequate.	
Oct 20 2005	crazy manager	i have book a room in this PARK SOUTH HOTEL through internet, and make the confirmation to the manager whether he receive it.At the beginning, everything is ok., but one day, he cancel by my booking with no reason, and cheat me that it is cancelled by the agent, and i check with the travel agent that it is cancel by the manager in this hotel, the travel agent also very surprise why the manager cancel it with no reason and blame the the guest cancel it?this event disturb my whole plan and make another option very urgently.	
Oct 18 2005	Good Value	My girlfriend and I stayed at this hotel from Oct 12-16th, 2005 while visiting NYC for theater and fun. We would definitely come back. The location is good with the #6 subway stop near the corner and the theater district just a short cab ride away. Dont miss the good Sushi restaurant, the excellent Italian Wine bar and good jazz at the Jazz Standard, all three are just around the block on 27th. Our room was clean and the staff were very helpful and friendly. Our standard room was small and did not have the view like the deluxe room they show on their website, but hey it's NYC and we were mainly there at night to sleep. We learned the building was only converted to the hotel about 4 years ago so most everything still has a new (and nice) feel. The room was quiet and we did not hear anyone else above or around us. Our toilet did clog one night but they had someone up to snake the drain in 10 minutes. It was a situation easily resolved. The front desk staff and porter staff were friendly and helpful. The continental breakfast is simple but enough to get you out the door to the day's activity where you can think about a nice lunch. For the price ($200 via Price line) I think this was a good deal. We'd definitely go back.	
Oct 9 2005	Solid Hotel and Good Location	Stayed at the Park South Hotel in Mid-September and found this to be good value hotel with a very convenient location. The free breakfast was a big bonus and was great quality too. The hotel decor was smart and contemporary and proved a relaxing place to stay for our vacation. Value for money was excellent and I would certainly recommend a stay here. There is an underground station two minutes walk from the hotel which gave great access to the city. There are plenty of bars and restaurants close by and the hotel is close to the Chrysler Building, Empire State, Grand Central and Macys. On the downside, we found housekeeping somewhat lazy and the room was not always as clean as it could have been and storage is very limited. Be prepared to live out of your suitcase if you are here for more than a few days.Tip: Book a twin double room as we did for the same price as a standard double, you get much more floorspace in your room.Well worth a look at.	
Oct 2 2005	A Reasonable Find	We ended our month-long vacation in NYC and as we are frequent visitors of this vibrant city, we wanted to find a hotel that was moderately priced. The Park South Hotel is in Mid-Town South and although it's not directly located in the happening spots, the half-block walk to the 6 subway line was very convenient for us. First of all, don't be put off by the look of the lobby. It's rather depressing because of the lack of light and decor (definitely needs a remodeling). I highly recommend any of the rooms facing East 28th, floors 6 to 8. Be very specific and adamant in requesting a view room; I called twice prior to arrival and was willing to wait for an available room the day we arrived (they will hold your luggage until the room is ready). It's worth it-- we got a view of the Chrylser Building, room 707. It was a clean, very comfortable room with large windows, high ceilings and surprisingly quiet. Non-existant closet space so be prepared to store your suitcases in the room corners. Adequate bathroom with toiletries. Housekeeping services were erratic; one day we didn't receive bath towels, but a call down to the front desk quickly solved the problem. They have a strange turndown service time-- between 6:00 to 6:30, which I consider really early. If you ask them to return in say, 15 minutes, no one comes. Extremely slow elevators; there are 2 but they're small. Fantastic continental breakfast (bagels, pastries, cereals, etc.) in the room price; it's communal in the hotel restaurant (between 8:00-11:00). You also get the NY Times delivered to your door in the mornings. For the price it's a good stay, but don't look to be pampered here.	
Sep 29 2005	Park South - helpful friendly staff	We did some research before travelling to New York, the Park South was highly rated. We weren't disappointed. The staff were extremely helpful, and the place was clean, well-maintained, and cheerful. Room was a bit small, but, that's Manhattan.All in all, a great experience. I'd recommend the place to anyone.	
Sep 22 2005	A cute boutique	I think my fellow Londoners who said 'This is not a boutique hotel' are a bit confused. True, it is not a hip hotel. It's a lot more traditional and less self-conscious than the Hudson or Muse. But it is everything a boutique should be: quirky, personal, intriguing, and with nice little extras thrown in. It has a library of books and a library of DVDs. High-speed internet is included, as is a continental breakfast. It's also in a likeable neighbourhood (who can dislike Park Avenue?) and the rooms have a very good square-foot-per-dollar ratio for Manhattan. I would certainly use it again. And as for moving to the W instead ... well that may be hip, but it's a chain hotel! Personally I prefer an unhip boutique to even the hippest chain. (I am writing this from the lobby, having just checked out - did I mention the helpful staff?)	
Sep 13 2005	Stay here!	I have just come back from a 5 night stay at the Park South Hotel, and couldnt fault it.The staff were very friendly, from check in to check out, and they were always willing to give information, and answer any questions.The room I was in (510) was quite small, but as I was a single traveller it was not a problem. The room was very clean, and the bed very comfortable. The bathroom was nice, and the power shower was excellent.The buffet breakfast in the hotel restaurany had a wide choice of things to eat &amp; drink, and never ran out of anything, as staff were always on hand to stock it up.The location is pretty good as well, as you are on the 6 subway line, which is 2 minutes from the hotel, which takes you just about anywhere you want to go. It was safe walking about at any time of the day or night, and there are a few 24 hour stores close by if you need anything.All in all, it was a pleasure to stay here, and when I return to New York I will stay here again.	
Sep 12 2005	Loved this place	My two girl friends and I stayed here because of the location, and we were very happy with the quality of the hotel too. It was very clean and inviting. The continental breakfast (included) was the best I have had for selection. I had something different each morning. I liked the decor in our room, and the beds were quite comfortable. Conveniences outside the hotel include a drug store, bakery, small market, many Indian restaurants, McDonalds and the #6 green line subway a few steps down the street. It was great!	
Aug 28 2005	Very Nice	I found this hotel through Orbitz or Expedia and reviewed the hotel's website. I felt like I was getting a really good deal and, of course, had a bit of concern as to why. However, upon arrival I was very pleasantly surprised. It really is a great little hotel with a nice bar and restaurant (although I just had a couple of drinks there, no dinner), a computer room/office, and very nice, helpful staff. I had a single queen room although I swear the bed seemed more like a full. But, it was a comfortable bed. The room and bathroom were quite small though and so our luggage and stuff kind of took over because there wasn't really anywhere to put it. But, heck, it is right in the middle of Manhattan, a block from the subway and is central to everything. I would definitely stay there again.	
Aug 10 2005	Nice 	My hausband &amp; some relative from Italy stayed at the Park South Hotel on the 4th &amp; 5t of August 2005. We found the hotel well located (eventhough the front view as you step out of the Hotel is a parking lot), a short walk from/to the Empire State building, &amp; in a nice saved area to walk at night. In comparison the other hotels that I prevoiusly stayed at, &amp; according to New York standars, I found that the rooms are clean &amp; spacious, the bathroom a bit small, but well equipped (with bathrobe), the breakfast has a nice selections of foods, the personel very accomodating &amp; prompt to the customer needs, the computer rooms well organized &amp; equipped (fax, 3 computers, photocopy machine, printer). The only negative point is that the rooms on the 2nd level facing the interior of the building, are noisy becouse of the air condition machinery located on top on the 2nd level roof, therefore avoid all the rooms on the 2nd &amp; 3th level facing the interior.(28th street is not very busy, so the rooms facignnthe street will not have to much noise pollution)I will definatly stay again at this hotel for it Cleaness &amp; Great value.	
Jul 31 2005	Great Hotel in a Great City	This hotel is very nice. The staff are very friendly and helpful. The rooms were clean and over all well maintained. A block from the subway makes getting around even easier. My only complaint is there is a no pet policy! Will always stay here when I dont have my dog!	
Jul 28 2005	Nice personal touch	The hotel is situated in a good, but not fantastic area. It is a block away from the subway station and within close proximity to Empire State Building. Other large attractions are a short walk away.We arrived early in the morning, 5th July and stayed for 2 nights. The receptionist gave us a free upgrade as she said the rooms that can be booked online are quite small.Room:The room was a decent size, clean and well decorated. It contained a fax machine, telephone with voicemail, computer data ports and a room safe. The bed was very comfortable and large.Our room overlooked the road with a car park opposite.The television reception wasn't very good, but I remembered seeing on the internet a mention of free DVD's for hire.At reception they have a list of all the DVD's available for use, some were recent releases, apparently they even have a variety of children's DVD's.There isn't any schedule in the room about the how to retrieve voicemail or hire of DVD's, you need to ask at reception.The bed was turned down in the evening with chocolates on the pillows.Bathroom:Nice variety of bath products, clean, fresh towels, a hairdryer, one bathrobe, a coffeemaker and coffee and clean glasses.The bathroom was compact but clean and nicely decorated.Breakfast:We were offered breakfast as soon as we checked in as we arrived very early in the morning. Continental breakfast was well presented and a good variety. There was cereal, 2 varieties of milk, 3 varieties of juice, fruit, cheese and ham platter, croissants, bagels, muffins, breads, even poptarts. Tea and coffee.The breakfast is complimentary, which saves a lot of money and is served in the diningroom.Staff:Receptionists were very helpful and polite, chocolates were available on the front desk. The doorman was always ready with a helping hand and a smile. We needed to leave our suitcases stored in the hotel on our last day as we were only leaving that evening. As soon as I sat down with my luggage in reception the doorman had wisked my cases away and given me receipts for them. He also recognised us when we returned to the hotel later that day and instantly fetched all our luggage without even seeing the receipt s- good memory. Overall, we had a lovely stay, no complaints, we were impressed with the rooms and service.	
Jul 20 2005	Absolutely fantastic	The hotel was fantastic. I was really happy that we chose that one.immaculately clean. Staff were friendly If I had one complaint it was the paper cups at breakfastbreakfast was greatwould definately stay there again and would recommend to anyone going to New York.	
Jul 11 2005	Good room at a great price	Just spent 2 nights at the Park South with 3 friends.At check-in, they gave us a free upgrade, but found out it wasn't 2 doubles like we reserved. But they quickly changed our rooms, and we ended up with 2 doubles, on the ground floor, just a few steps away from the hotel's restaurant/jazz club.The room was cute, bedding was super comfy, and the bathroom was small but nicely remodeled with great water pressure. We only had one small window in the corner looking into a small maintenance courtyard, so it was like we didn't have a window at all. The air conditioner was noisy at times, but that's the way those units are and we all still slept fine. The room was very clean and housekeeping cleaned everything up (including our dirty wine glasses and chocolate wrappers). The free DVDs and breakfast were a nice touch. The only other complaint would be that it was right by the lobby so we could hear the live jazz music from the restaurant. Luckily we didn't go to sleep until late anyway so it wasn't a problem.On business trips to NY I've stayed at the Ritz Carlton, Marriott and Millenium Hilton, all way downtown. Obviously this wasn't the Ritz, but I was still very pleased with the room and convenient location. We could walk to Union Square or take the subway right on the corner. And it was so close to the train station, it was a cheap cab ride. I've stayed at the Hotel Pennsylvania by the train station and payed the same price as here, but this is by far, was so much better. You can't beat the $170/night price.	
Jul 9 2005	Great location clean hotel great breakfast!	A girlfriend and I did a long weekend shopping trip and I cannot fault this hotel. The location is perfect, right near the Empire State building and in the middle of Manhattan. Our room was clean, large enough for 2 girls and loads of shopping bags! And the breakfasts each morning were so varied and large that we didn't need to eat all day until evening.For the price and the location this hotel is perfect for a long weekend's shopping trip or any other trip to Manhattan.	
Jun 22 2005	This is not a boutique hotel!	The Time Out Guide to New York wrote that this hotel was a small 4 star boutique hotel that has recently been refurbished. When we arrived we were utterly dissapointed. The hotel is situated in a noisy street opposite some curry restaurants. The foyer was dark and very tired looking with just some worn out looking sofas and a dying rubber plant for decoration. When we had checked in we went up to our double room along some very brown dark corridors. The room itself was tiny and narrow, there were two beds and a small dirty window. The bathroom was even smaller with none of the products one would expect from a &quot;boutique hotel&quot;. We were utterly dissapointed and left immediately (we had booked in for 7 nights).Even though I lost one nights board we just had to leave. We had the good fortune to find the W Hotel on Lexington Avenue - a true Boutique Hotel (Bliss Products, Lovely showers) everything one would expect from a wonderful city like New York!	
Jun 20 2005	Stay Here!	We just returned from an 11 night stay at the Park South Hotel and had a very good experience. Our room was spacious for New York - a king executive - and although we only had one chair at the beginning, housekeeping provided us with the extra chair and small table as shown in the picture on the hotel website. Sandra at the front desk was responsible for this - she was so friendly and helpful, as was Jesus (pronounced Hey-soos) who arranged our return ride to LAG. We also requested a full sized ironing board since we were staying for so long and this was provided immediately as well. The closet was small but there were hooks by the door and if you hang your long things on hangers and then hang these on the hooks, it works. The room was very clean and smelled good and the bathroom was spotless (and I am a picky person who notices these things). Toiletries like shampoo, conditioner, shower gel and lotion are provided as well as a white robe, which was handy. The bed was very comfortable and we slept well every night. The a/c was loud but not enough to keep my husband awake and I use ear plugs anyway. We loved all the extras like the chocolates at the front desk (we ate many), the free videos (we watched several) and the breakfast which is every bit as wonderful as the reviews say and served until 11:00 for late risers. Also, we did not see any sign of gang activity and we were out some nights as late as 11:30 p.m. We took the subway everywhere and appreciated that it was so handy. There are scores of restaurants of every nature and kind close to the hotel, especially on Lexington and Third Avenues. My only disappointment was that we did not have a view of the Chrysler Building as shown on the Website but we probably wouldn't have had time to look at it much anyway. In any event, we certainly recommend this hotel and would probably go back.	
Jun 16 2005	This is a fine hotel	June 15, 2005I stayed at this hotel with a friend for 3 nights in a room with double beds. The room was emaculate and furnished beautifully. Although small, as expected, it was extremely comfortable and very quiet. The temperature was in the high 80's and we were able to keep the room nice and cool. The beds were very cozy and the bathroom was clean. The staff was pleasant and very helpful. The continental breakfast was incredible and was provided in a beautiful setting. Although Murray Hill is not directly near the theater district, the subway access is only steps away. I feel that this hotel is an incredible value and plan to stay there again.	
Jun 10 2005	WOW! My new favourite!	I am just back from a four-night stay at the Park South, and I'm already prepared to return! Starting from check-in: I e-mailed the hotel that I would be arriving on the red-eye flight. I came by the hotel, prepared to drop my bags and see the City until the 3:00 p.m. check-in. Amazingly, they had my room ready for me! And, it was exactly the room I had hoped for when I made my reservation requests, right down to the extra pillows and the view. The staff was so friendly and helpful. We seriously felt as though we were at home in Gramercy Park. Insider tip: instead of apples in the lobby, the Park South has a gi-normous bowl of chocolates always filled and ready for the rejuvenating nosh.Everyone mentions the room size (my exec double-double was generously-sized and comfortable); the a/c (effective and quiet); the beds (wonderful Sertas with down comforters). Housekeeping was efficient, but as another review said, not so good about the coffee maker or the tumblers and cups. The pillow chocolates were amazing, though, and made up for a little oversight.Here's a huge bonus: the &quot;continental breakfast&quot; is fantastic! Luncheon meats, cheeses, boiled eggs, yogurt, in addition to standard and specialty breads, pastries and cereal. The restaurant serves fantastic food at supper, as well.The area is convenient to everything and the nearby subway stop is great. The seedy element that was discussed in another review was completely non-existent on our stay (we felt comfortable walking in the area at all hours of the day and night), except for some &quot;professionals&quot; on Saturday night.The Park South is my new favourite!	
May 24 2005	would not return	I have just returned from a four night stay in the Park South Hotel. Overall it was only OK. We had a executive double double room. It was an OK size room but the bathroom was very, very small and they had only left one bathroom, there were plenty of towels. I did see into some of the other rooms and they were very small indeed.There was no information in the room at all - the only info was the room service menu. Given they had a DVD library in the hotel they really should have provided us with the list in the room not just a reception. The hotel is generally looking a little tired. My biggest disappointment was their inability to clean our room properly each day. They only replaced the towels. On one day they didnt clean the two glasses we had used. We were on the sixth floor and had an air conditioning unit outside our window which meant ear plugs had to be worn at night time. The beds were comfortable. The 28th street subway station is on the corner (number 6 train) and there is a McDonalds on this corner as well - this sometimes led to gangs standing on the corner at night time.This hotel is classed by them as four star, I would strongly disagree with this. I will not be returning to this hotel again. The conceige Chunk was a really nice guy - very helpful and polite all the time.	
May 13 2005	A great base in NY	Stayed in this hotel for four nights in April 2005. In my perfect world I had been looking for something closer to midtown/central park - but in fact this hotel proved to be in the perfect location. Situated at 28th and Park, it is less than one minutes walk from the greenline subway which runs the length of Manhatten Island. If you prefer to walk, its five minutes walk from the Flatiron Building, around 10-15 minutes walk from the Empire State and around 20 mins walk to north to Grand Central Station or south to Greenwich Village. The hotel itself is described as a 'boutique hotel' and rooms are certainly compact. However, the room has just about enough storage space. View from window non-existant (other brick walls) but only to be expected in NY unless you are up a tower block. Beds, furnishings and bathroom all excellent. The size of the hotel means limited public rooms but there is great bar/resturant called 'The Black Duck' which also serves complimentary breakfast (seemingly irrespective of how you book). This is excellent - huge choice of bread, d-i-y toast, bagels, English muffins, cereal, hardboiled eggs, cold meats, yoghurts and tea/coffee. The whole system was very 'laid back', so that although there was no coffee maker in the room it was easy to pop down and collect early morning tea/coffee in the takeaway cups provided, and return for breakfast later! There is a pleasant if slightly dark reception area, the highlight of which is the bowl on the reception desk which is filled not with the usual tired apples or oranges, but with minature Hershey's chocolates! There is also complimentary internet access (including printers) in the basement, which is invaluable. The only real complaint we had was the noise coming into through the (shut) bedroom window from the hotels airconditioning/heating units, which was very loud and made me glad to have hung onto my airline earplugs. If you need perfect peace to sleep ask for a high or an externally facing room. All in all though a very good choice of hotel which, whilst not cheap, does represent good value for money in the heart of NY.	
May 4 2005 	great place for business	i spent five nights in the Park South over April/May 2005, and found it to be really good value for money. The room was small, but immaculate, with a fair-sized bathroom. Receptionists and porters were friendly and helpful all the time. There are free DVDs available from reception if you want them, and in the basement is a complete free business centre, with high-speed internet access, printing and so on. Really useful. Breakfast was good - a bit low on fruit (lots of apples and bananas) but lots and lots of cheese, muffins, breads, bagles, etc. And free newspapers are also a nice thingAnd the location is great - twenty yards from the subway, surrounded by great Indian restaurants (and a McDonalds up the road if you really need one!), easy walk to places like the UN, Empire State, etc. I'll definitely stay here again.Oh, and I booked with quikbook, and had no problems with the booking.	
Apr 7 2005	Good value friendly place to stay.	We booked two rooms directly with the hotel internet site- an oversize king and a double double. We chose the package that included Broadway tickets, a meal in the Black Duck and a free drink at the bar. The rooms were spotlessly clean, extremely comfortable and spacious enough for our needs. Storage space was limited but ample for our four night stay. The Black Duck served good food - they even prepared a special vegetarian meal. The complimentary breakfast was ample with a great selection of pastries, muffins, cereals, cheese, meat, fruit and eggs. Our theatre tickets were first class with seats in the Orchestra stalls - market value $100 per seat. The hotel is close to the subway line making getting around fairly simple. A huge added bonuus was the reduction they gave in the rate I'd already booked saving us almost $200. Will stay here again.	
Apr 6 2005	Little Gem in a big city	We have just returned from the big Apple and stayed seven nights at The Park South which is located very close to the subway at Lexington Ave. Line 6 gives easy access to Uptown;Shops, Central Park etc and Downtown, into little Italy and further south into the Financial District. The Hotel is cosy, clean, well run, with a good mix of guests from Europe, Asia and the USA. The Breaky and free newspaper was a big bonus and set you up for a day exploring the Big Apple. About 5.00 in the evening, the Hotel bar comes alive for Happy hour or two and buzzys most of the evening especially at weekends, when a Jazz band plays live in one corner. The menu was tastefull and adequate, however the local area is peppered with lots of good priced establishments, for those with a spicey palate. Some of the rooms can seem small but in the city that never sleeps we had no problem despite the general noise of NY. If you want to stay close, but not on top of the action, this is a great choice of Hotel. Rated eight out of ten on all major pointers. You will not be dissapointed.	
Mar 21 2005	messed up reservation	Clean, decent, with tiny, tiny rooms. Okay location in fairly quiet no-man's land between grammercy park and murray hill areas. They messed up resevrations for us- booked two beds but got one for three people- so one of us had to sleep on the floor in a room where there was no real room on the floor because it was so tiny. The breakfast is nice and a nice touch but they screwed up and it was hard to really enjoy our stay.	
Mar 8 2005	Great Value 	Rooms are &quot;cozy&quot; but very clean, nicely appointed and well maintained...only negatives: heater/fan were noisy and view out our window was of a brick wall...there are no closets to hang your clothes in...our &quot;08&quot; room was slightly larger than our friends' &quot;09&quot; room next door...complimentary continental b-fast was surprisingly ample: cold cut &amp; cheese platter, hard-boiled eggs, yogurt, assorted cold cereals, bagels, muffins, breads, fresh fruit, juices &amp; coffee served in the restaurant downstairs until 11 a.m.! fitness room adequate...staff was courteous and helpful!...#6 subway and Les Halles bistro are 1/2 block away! ...check their website for weekend specials...OVERALL AN EXCELLENT VALUE FOR NEW YORK CITY!	
Mar 3 2005	Good location	We spent 3 nights here last weekend and were impressed. It is in a good location, easy to get around the city on foot from here. Go for a double double to get a bit of extra space. Room and bathroom very clean and well stocked with hairdryer, toiletries, bathrobe &amp; plenty of towels. Breakfast was a help-yourself affair with oodles of cerals, bagals, toast, tea, coffee &amp; juices. If we were going back we would stay again without a doubt.	
Feb 11 2005	great breakfast!	If you are looking for a value and a great breakfast this is your place. However the rooms and the lobby required a bit of getting used to... clean but spare. Booked through Quikbook and upon confirming reservation I asked for a room with a view. Got just the opposite however.. a room on the second floor in the back overlooking the interior of the hotel. The neighborhood also seemed a little seedy at times despite the fact that the hotel is positioned right at the top of the Park avenue south area.  The free breakfast was wonderful however. It reminded me a little of an English breakfast in a European hostel and it really made this hotel selection worthwhile. All types of pastries, fruit, cereal, boiled eggs, yogurt, bagels, granola bars..perfect. 	
Jan 23 2005	LOVED IT!	I was nervous booking the hotel online but once i got there.. WOW! The rooms were cute and cozy. Not too tiny. Nice interior design in bed rooms. Good Service as well.. however, the restaurant and bar reminded me of titanic.. they need to help decorating that room. Overall, cute, easy access, and would stay there again.	
Jan 16 2005	Great Find.	I was a bit worried as I booked this hotel online, but I was pleasently surprised. The area is great as it's a bit further away from the touristy annoyances of Mid-Town. At the great restaurants in the area, we felt we were paying for great food and atomsphere, instead of touristy hype. Yes, the room's a bit small, but we had as much room as we needed. Absolutely no view, but it didn't matter. The bed is very comfortable, the bedding feels clean and luxurious, and the bathroom...spotless! Great Value. The morning breakfast was definately a plus.	
Jan 2 2005	I'll be back	First time stay, employees very polite and helpful. Room was very clean, nice bed with great pillows. The best pillows I have ever had in any hotel room. Continental breakfast was filling, everything fresh witha nice selection of food and beverages. I'll be back!	
Jan 1 2005	Happy with the Park South	We just returned from a 3 night stay at the Park South. The hotel was very clean and the bedding was comfortable. The hotel is close to both the Empire State building and the Chrysler building. We loved the location as it is actually not in the middle of all of the touristy stuff (the crowds were arriving for New Years Eve) and the area was a little quieter. We ate at L'Express one night which is a few blocks away and was very good. There are a lot of very good bars within a few blocks. The breakfast in the morning was included and was good. We would definitely return.	
Dec 31 2004	Loved it!	Reiterate others' positive comments about great location (no jokes about the 28th subway being literally 20 steps away in a quiet residential area), courteous staff etc but would like to add that their restaurant (Black Duck) serves excellent food.If travelling in groups of 2 or more, recommend taking their car service to JFK - $49+tip - as it was punctual and clean, much better than taxi.Our driver also mentioned that the owner of Park South also has a hotel in Miami - I would def consider staying there too.	
Dec 23 2004	A New York Bargain	Just returned from a 4 day Christmas shopping trip to NYC. We wanted to save our dollars for the shops so chose the Park South. What a bargain. $200 a night including breakfast for a superior room was real value for money is this town. Spacious room, great bed, right next door to a subway station, friendly staff and a view of the Chrysler building. What more do you want! On the downside the area the hotel is in isn't the cleanest plus 1 or 2 of the room furnishings were showing some sign of wear. Apart from that, great!	
Dec 14 2004	Excellent value for money !	Just returned from a long weekend with girlfriends - celebrating a major birthday!! Could honestly not fault this hotel - the rooms were exceptionally clean, good size and stylishly appointed.Situation is excellent being just a few mnutes walk from the subway Would definitely book again and would recommend wholeheartedly !	
Dec 11 2004	Park South: excellent overall	Best place in my 5-hotel stay in these days in New York (jumping from a place to another to avoid dropping _several_ extra hundred dollars on the floor...):* excellent rate booked online (and I _mean_ excellent)* spacious room (for the NYC standards anyway)* very clean* in-room Internet at DSL speed included in rate* continental breakfast included in rate* 40mt to the 28th street 4,5,6 metro lines stopDefinitely the place I'll want to try and book for future trips in NYC.	
Dec 10 2004	Depends on who is at the front desk.	I have stayed at the Park South Hotel on different occasions (all booked via quikbook.com) - perhaps 5 trips in all. Three of those times my room was excellant, beautiful, small but well designed and clean. Two of those times - not! I arrived one afternoon and I was given a supposedly non-smoking room that &quot;reeked&quot; of stale cigarettes and when asked to be moved they put me up one floor, same room and that one had a percular odor as well. Both of these rooms seems to be the &quot;cheap seats&quot; and falling apart, dark, dank and I couldn't wait to get out. Nothing at all like the rooms that I stayed in the previous trips. I am afraid to go back and get the &quot;bad&quot; rooms.	
Dec 6 2004	Recommended boutique hotel.	We would return here. The hotel is very clean and well appointed, and well positioned for seeing the sites, in midtown. It was also pretty competitive at about £100 a night INCUDING taxes etc. and including a good continental style buffet breakfast (it was cheaper to book online with 3rd party than directly with hotel). We had a lovely big double-double room (views not great though). Beds were very comfy too.Restaurant and bar in the Hotel is quite pricey, but the food is good and the whisky measures large. Hotel itself is Definitely value for money.We thoroughly enjoyed our stay.	
Nov 27 2004 	Alternative to overpriced New York rooms	Great place. New rooms. Nice location.	
