	Great Hotel	This hotel is a great find considering it is in Manhattan, if you love Broadway and that is part of your reason for coming to NYC, stay here. Its very close to the broadway theatres (Especially the Gershwin, where &quot;Wicked&quot; plays..one block away). The rooms are very small and are great if you are traveling alone or with your spouse. I would NOT recommend this hotel if you have children with you as most of the rooms are single twin beds or double twin beds. Other than that, the rate was great and although the hotel does have a restaurant, I found it too expensive and there are cheaper places to eat, you just need to walk around and explore until you find something that appeals to you.	
Jun 14 2006	Great location tiny(!!) rooms	We stayed here for 3 nights during the Txgiving Weekend. The location of the hotel is very convenient to practically everything in Midtown; the service was professional and curtious; everything was clean and somewhat tidy; my only complaint is the size of the room - when you walk in, you have to choices, you can either stand against the wall or lay down on a queen size bed.. we could barely fit 1 large bag and two people into the room w/o leaving the door open; the same goes for the size of the bathroom, it's almost the size of the airplane bathroom on United. That being said, we still enjoyed our trip, considering that we didn't spend that much time in the hotel. It's also in a very quiet street, which is an added bonus in a noisy city.	
May 27 2006	Highly Recommend	I stayed at the WJ for 6 nights in total, and I was blown away by how great this hotel was! The rooms are very small, but they are updated, cute, and very clean! The staff was amazing, the nicest staff of any hotel I have ever stayed at! They knew my first name and said hello each and every time I entered the front doors! I will tell all my friends and family to stay at this hotel, it was wonderful! Plus the prices can't be beat (especially in NYC), and you're only a block or so from Times Square, Central Park and all the Broadway shows! We went to see the Color Purple, it was less than a 5 minute walk! Amazing! A must stay!	
May 10 2006	The Color Purple	The room was small and cozy. Booked this room thru my travelers advantage travel club. $169.99 per night. We (me and hubby and two other couples) stayed the weekend of St. Patricks Day holiday. There was lots going on during this weekend. St. Patricks Day parade, my girlfriend's birthday celebration. Went to see the Color Purple. Awesome Play !The staff was nice and very accomodating. Caution though, the room is extremely small. High points of the hotel, very clean, friendly staff. We visited Chinatown, Little Italy and even Harlem (Sylvia's restaurant &amp; the Apollo). We all picked up really quickly and learned how to catch the subway $7 for an all day pass. If you walked in off the street and wanted to book this hotel, the price is very high ($200 plus range). I don't think the hotel is worth it because the rooms are extremely small for $200 plus. They say most hotel rooms in New York are small anyways....i don't know. Yes, we would stay here again.....Now I honestly can say ....just like the commercial......I LOOOOVE NEEEEW YOOOORK. lol !Patricia &amp; Willliam (Que)Newark, DE	
Apr 22 2006	The hotel staff was wonderful the room very small but clean	I have been to NYC many times in the past, but this was the first time I stayed in the WJ hotel. I was on a strict budget on this trip and I paid a total of $301.00 per night (250.00 for the room and then a bunch of taxes). The room was extremely small, and the bathroom was even smaller. I think it iss about the size of your average cruise ship room with the bathroom on ships larger than this bathroom. Also the heat and air are controlled by the hotel and if you are too hot or too cold you have to call them to come and adjust the temperature which they will.The hotel was in a good location for shows, shopping, eating and central park. We felt safe. It is 2 blocks from the E train which takes you to Queens so that you can ride the Q33 bus to LaGuardia Airport. (It cost about $ 3 to 4.00 each way vs a taxi. The trip took us about 50 minutes total from hotel steps to terminal )The staff was excellent, helpful and just plain nice. All of them were that way. The rooms were very clean and the bed comfortable and firm. I would stay there again. Once you get over the &quot;small room&quot; shock, it is a wonderful place to stay if you are on a budget.	
Mar 27 2006	Third time in under a year and still quite happy!	This was our third time staying here in less than a year (it's where we stay when we're in town for shows) and we were quite happy with the hotel. The staff recognized us at check-in, which was quite nice. The room (room 390) was quite large for one of the cheaper rooms - even had sufficient spaceto successfully sit on the toilet (something we didn't have the very first visit). The bed was pretty comfortable (not ideal, but we still slept soundly, the rooms were very clean, and (as I said), the servcie was friendly and prompt. Only real problem was that at about 6:00am on Sunday, it sounded like they were taking the trash out to the dumpster for thirty minutes. Will still return here in spite of this. For the price and the location (1/2 block away from the Gershwin Theater where Wicked is playing), it's a great place to stay.	
Mar 26 2006	Small but worth it	Me and my partner spent 2 nights at the W-J March 21-22, 2006. The room was small but clean, and more than adequate for $145/night. The place is a little shopworn (carpeting and blinds were stained and torn), does not provide much in the way of amenities(useless ironing board), but the location was perfect. The staff were very helpful when needed to be and never unpleasant. We went to see Wynton Marsalis at Lincoln Center which was within walking distance, as was Times Square, from the hotel. We rode the subway up to Harlem and down to the Village. Subway stops are all over the area. So our room did not have a bathtub, I was never as keenly aware that people took so many baths, especially while spending limited time in NYC, as I have become after reading hotel reviews on Tripadvisor. I would return to The W-J, no problem.	
Mar 26 2006	Gem of Manhatten	My boyfriend and I stayed at the Washington Jefferson in end Jan early Feb. We booked it based on price and previous reviews and were not disappointed!It was easy to find and get to via public transport (we had a suitcase each, so not just hand luggage) although getting suitcases around the subway isn't always easy.The room was cosy (read small), but all we needed as we were out most of the time, bed comfy if a little short (we are 5'9&quot; and 6'1&quot;) but always scrupulously clean.Staff were polite and helpful. Hotel is also only 5 min walk from Times Square &amp; theatre district.The only bad point I would say that this hotel may be too warm in the summer as there is no air conditioning. We were there during a mild Feb (before the 2.5 feet of snow!) and it was warm enough to have the window open during the night.Would recommend for any couples/singles who want a clean, comfortable base to sight see from.	
Mar 18 2006	To Room at the W J or Not Room at the W J ? : That Is The Question	Hello. My name is R.C. I stayed at the Washington Jefferson in MidTown Manhattan, from Tuesday, March 14, 2006 till Friday morning, March 17, 2006. Where shall I begin? Aesthetically, it was a pleasing place. The decorating in fine, the outside exterior was okay. It doesn't have a rundown look by any means. The hotel itself is an old building that was reconfigured into a hotel, obviously.  Having said that, by converting an old building into a hotel, they obviously were not able to have more space in particular rooms. I stayed in the least expensive room (for NYC standards). I'm not a tall person (almost 5'9&quot;), but goodness gracious, the room seemed to have been built for a Munchkin (i.e. the movie, the &quot;Wizard of Oz&quot;). There is VERY little surface space to put store/place things.  The bed size was okay. The combination comforter/bedsheet was soft, but kind of bulky. I would have preferred a standard hotel bedsheet. At the end of the bed, there was a tiny bit of space, where you could place your luggage, but two pieces at the most.  The small closet dresser was average. There was a tiny bit of surface space on top, but not much at that. Inside the closet, you have a small iron and ironing board. (I didn't use it, because I had no way of knowing if it would sputter on my clothes or not.) The best feature of the entire room was the security safe. It is the type where you punch in four digit numbers to open and close the safe. THAT I liked. The door of the dresser/closet is quite close to the side of the bed. Can we talk about the bathroom? It has a nice decor. If you were thinking of taking a bath, fuggedaboutit. There is a stand up shower, with surrounding glass, all around. The water pressure was fine and the water nice and hot, as you prefer.The vanity/sink? Oh my!. Once again, a Munchkin would have LOVED that one. It has a tiny sink, with the spigot protruding about three quarters of the way into the middle of the sink. If you want to splash your face or what not, then you have to be careful about splashing water on the floor.  They do include some tiny little containers of soap, conditioner and body wash and a few little grooming kits. (Of course I took them home with me.) The lobby: Very nice, with cushioned seats and sofas here and there. Glass entry doors. There are usually two gentlemen who are there to help. The normal check in time is 3:00 p.m. (which is usually not mentioned in the online sites). I got there around 12:30 p.m. and managed to check in around an hour later. The hotel itself is divided into two sections, with each section having its elevator. I had a room on the second floor, so I could either walk up to my room or use the elevator.  Aside from the room safe, the best thing about this place was the location. Since I had a ticket for &quot;Wicked&quot;, the Gershwin Theatre was only a block and a half away. There are plenty of places to shop and eat. Around the corner, there is a Rite Aid (pharmacy / store). I loved eating at this place called the Cosmic Diner, located at 888 8th Avenue, at the corner of 52nd Street. The prices are reasonable, plus they're open 24 hours a day.  There is a subway/Metro station located on 50th Street, close to the hotel. I only used the subway during my brief stay, no buses or taxi cabs. I paid $7.00 for single day card (good till 3:00 a.m. the next day). It was quite useful.  In conclusion, if I ever go back to NYC, it will not be at the Washington Jefferson. Although I'm not claustrophobic, I feel a bit constrained inside my room. Nearby, there is a Hampton Inn on 8th Avenue. I may check them out next time. I think I'd rather pay a little more $$$ to guarantee a room with a more comfortable size. The W J is okay, but I'd rather have more space.  Speaking of safety, the hotel is located in a safe area. There was a bit of garbage bags waiting to be picked up. Also, if you're out and about into the wee hourrs of the morning, then expect to show your room card to the hotel personnel at the door. It makes sense. Enjoy your stay in NYC!	
Mar 13 2006	try a different hotel	Ultra small rooms. Room for bed and two feet of space on each side. No/AC No bath tub, shower only. No box spring on mattress. Top mattress is on a sheet of lumber. No chairs in the room. No coffee maker or ice in the room. A two star at best.	
Jan 6 2006	Better Than Expected	I stayed at WJ with my boyfriend and a friend for 5 nights. We were on the highest floor (room 636) in a room with 2 queen beds. The room was clean and the size was fine, although we could have used more closet space. The beds were nice, but a bit on the firm side. The shower was a bit small but adequate and the staff was extremely helpful. We were able to check out late and they arranged a cab for our departure. If you are expecting a luxury hotel, you will be disappointed. But if you want a boutique hotel that is close to many great attractions, then the WJ is for you.	
Jan 5 2006	Great find in NYC!	Loved staying the WJ Hotel! Staff was very friendly and accomodating, and happy to check our bags while we shopped on 5th Ave before our bus ride home. Maria Pia across the street looked great, but get a reservation! The host there couldn't seat us, but sent us to thier other restaurant on 47th (Scarlatto), and that was fantastic! The Location of the WJ was perfect, as its just off 8th Ave, and close to all the theatres. 5 minute brisk walk from the Schubert (with about 3 Starbucks on the way!). Very clean room, excellent linens and well decorated. Only problem would be that the door was hard to close (required a good slam) and the small proportions of everything. If you're looking for a great view and a spacious room with huge bathroom, this is not the place; things are cozy! But the location and value can't be beat! Excellent hotel for staying sightseeing in NY!	
Jan 1 2006 	Adequate But SMALL Rooms	Having travelled to NYC several times now, I know that you have to go 4 star or above, or you are taking your travelling life in your hands. The Washington Jefferson was adequate, but the rooms were terribly small. The hotel was clean, the staff was effective and courteous, but our room was two twin beds squished into a tiny tiny space. Even the bathroom was similar to an airliner and gave very little space...even by New York standards. A decent hotel for business travel where you just are looking for a place to lay your head at night, but if you are planning on spending any non-sleeping time in the room, prepare to feel clostrophobic.	
Dec 29 2005	Unique Boutique Hotel in the Theater District	On a small side street off the Broadway Theater District is this small, compact hotel with an elequent but small lobby and excellent, friendly service. We were given a room in the &quot;Under Renovation&quot; area. Althought some would be completely insulted, this was an adventure. We went up seperately in the only &quot;one man, one bag&quot; elevator (door looked like a closet door), actually I took the stairs up 3 flights, to a hallway where we were instructed to take the 1st door on the right (truly looked like a service door enterance). Down this hall and to our right were gutted out rooms, wires hanging, some rooms with long-term, pre-renovation tennants complete with eviction notices! As if seeing the gates of &quot;Oz&quot; we saw a new door with brass knocker and handle.... walked into the room and could touch opposite walls lying flat with arms overhead. Window looked out to an enclosed area with fire escapes that looked like a scene from Westside Story (expected to see Maria and Tony). The room was extremely small (average for New York I'm told) but it was upgraded with top of the line bed, bath fixtures, etc. Unbelievably fantastic location... 1/2 block to subway, walked to Times Square, Rockefellow Center, etc. Was a great experience... not the Plaza but, an excellent adventure.	
Dec 4 2005	location location location	Nice hotel, Fantastic location, small rooms but then you won't be spending much time inside the rooms. The rooms were very clean, nice fresh sheets on the beds, toiletries in the bathroom were lovely, bed was very comfortable and had a very good sleep whilst i was here the goose down quilt was extremely warm. There is no air conditioning so wouldn't advise staying here in mid summer, we stayed here in November 2005 from the 26th till the 30th and it was very warm we had to leave the windows open all night and the central heating was switched off too. There is a good bar a couple of doors away which was very nice and there are plenty of food places and a 24 hour store around the corner. The subway is also just around the corner and we felt we were very well located. Ideal location for all attractions in New York, Times Square and Broadway are a block away. The Bellboy was very nice and couldn't do enough to help - we loved it so much will be returning next year.	
Nov 17 2005	Bathroom for Lilliputians	This hotel has been redone and done-up quite aestheticly well. The bed linens &amp; toiletries are wonderful, but our bathroom was exceptionally too small to even turn around in! Heating was either extreme and our window(street side) was single pane and seemed and felt like it was open to the outside. Location was very good for walking mid-town.	
Nov 16 2005	Low price - Small Hotel - Excellent service and location	Clean and nice little hotel in the heart of New York. The hotel has excellent service, and the location is a only few min walks from Time Square, Central Park and St. Patrick’s. The rooms are small, almost to small - but comfortable and very clean, and who spend times in a hotel room when visiting New York City?	
Nov 9 2005	You'd be better off at the Bates Motel	I knew we were in trouble when the halls reeked of disinfectant and there was a radio blaring next door (which it continued to do for the next twelve hours!).Room 302 was a nightmare. This is a room the WJ Hotel deems a &quot;Superior Guest Room&quot;! There was no desk, no chair, no closet. No place to store the luggage or put your clothes. I had to pile mine on the floor. The room was maybe 8x5. It was impossible for two people to change clothes at the same time. One person had to lie on the bed and wait for the other person to finish. There were huge holes in the wall and roaches greeted us in the cramped bathroom the next morning. This room could be a challenge on &quot;Fear Factor&quot;! Luckily, we were able to find other accommodations and only had to spend one night there.	
Oct 30 2005	Surprised!	I decided to get a hotel in NYC through Priceline, as I had had some success with it before. I had to &quot;up&quot; my dollar amount to $205 per night before a hotel would accept it...that hotel was the WJ. It was a Friday night, so I can understand the high price...coming into NYC two weeks prior we were able to stay at the Radisson in a spacious room with two beds for $199 on a Sunday night! Anyway, after finding out the hotel was the WJ, I came on here to read reviews. I was floored. I tried to get out of it, but was unable to. Most reviewers gave it such a poor rating, and since I was taking my parents to the East coast for their first time, I didn't want to have them in a cruddy room. I just decided to warn them ahead of time that it would be SMALL and I wasn't even sure of the neighborhood.Turns out I was worried for nothing! Yes, the roooms were small. Yes, the elevator was slower than walking up the six flights! But the rooms were clean and in good condition, and we were quite pleased. Would I chose the Radisson over the WJ for the same price? YES. But the WJ wasn't the complete horror I thought it would be. Considering I would have paid over $300 bucks a night to return to the Radisson on a Friday night, WJ wasn't bad at all.	
Oct 23 2005	Scratched from my list of NYC hotels	I have stayed at the W-J three seperate times over the past two years but I am now scratching the hotel from my list of NYC hotels. I know the rooms are small but the ones in the back of the hotel are quiet and the windows open into an inner court. This time there were bugs (possibly cockroaches) in the room and I couldn't regulate the heat which blasted all afternoon and evening turning the room into a sauna (not good when in the middle of a hot flash.) Convenience to Times Square and Broadway isn't enough to counter the bugs and heat (sounds like I stayed in a desert.)	
Oct 14 2005	really good hotel	After reading the reviews I was actually quite concerned about staying at this hotel, but I can honestly say it was a lovely trip, spent 5 nights here with my boyfriend and just had a lovely time, room had a large, high comfortable bed, and sofa, wardrobe was small, but I just lived out of my case anyway!The bathroom was huge with whirlpool tub and amazing shower, everything was very very clean from the goose down comforter to the fluffy new towels.hotel toiletries were excellent, smelled heavenly and very stealable :P The girl on the front desk was not the most intelligent woman in the world, if truth be known, however the other receptionist and the bell hop were very helpful, checking our bags until my late flight and were very chatty and pleasant.our view was of a brick wall, but who needs a view when you're five minutes from times square, everything was clean and well appointed, all in all a great stay and a great location.	
Sep 15 2005	Great room for the price	After reading other reviews I was very hesitant to stay at this hotel. However, I was pleased. The location could not be better. The rooms were small but they were clean and as previously stated it is NYC and you shouldn't be in your room! I was disappointed to have 2 twin beds instead of a queen or king but that's not enough to keep me from staying there again	
Sep 3 2005	We're going back!!	They only thing I can think of as a complaint would be the street noise can get a little loud. There is a hospital down the street so every once in while an ambulance would screech down the street but other then that we loved the hotel. The front desk staff was awesome (Bobby is the best!!). I had to stay an extra night and they gave me a deal. The room was very clean and the bed was comfortable (firm!). The shampoos and soaps smell yummy. It's close to everything and there is a great Italian place across the street (Maria Pias - try the crab cakes!!!). We loved this place so much that I've already booked a trip there for New Years since it's right around the corner from Times Square. I think you will enjoy this hotel if you don't expect a huge room but it's New York and you shouldn't be spending a lot of time in your room!!	
Aug 31 2005	Great value excellent location	I stayed at the Washington Jefferson and Waldorf Astoria during a recent visit to NYC, I was very impressed with both hotels, if you're looking for affordable accommodation that is in a central location the WJ is for you, the staff aren't overly friendly but they are helpful with answering questions, assisting with cab's etc.The room was comfortable and recently renovated, it was small but larger than London hotel rooms I've stayed at. The bathroom contained a great shower, the view was of surrounding rooms, there was a great directory in the room containing alot of info on New York, including the history of the local area (Hells Kitchen) We walked to Central Park, Times Square, Broadway theaters and Subway every day and night, would recommend the city sightseeing bus located nearby for daily tours, plenty of places to eat located nearby, a very quiet hotel, no traffic noise.Overall would definately stay here again	
Aug 30 2005	The WJ is Okay!	After booking the WJ through Priceline, we were a bit nervous about it after reading bad reviews here. But overall, we were quite happy with the WJ and would stay here again. The staff were courteous and let us check in early. The room was nicely decorated, the beds were comfy, the A/C was blasting and it was clean. What more do you need? With the white noise of the A/C we were very happy with the noise level. You could barely hear street noise at all and most places I've stayed in NYC have been much louder.The sink was slow to drain and there wasn't a mirror in the room - only in the bathroom. But those are very minor problems for such a low price in NYC.Our checkout was absolutely no hassle and they stored bags for us and were quick and efficient.The WJ is okay!	
Jul 27 2005	Great Location but don't expect to sleep too much!	Me and my wife took our first trip to the city that never sleeps quite literally. Our room was OK (exept there was no hot water first) and there was a horribe banging noise from the heater all night long. They gave us a new room from the upper floor but it was even smaller than the first one. But the location was great. One can walk everywhere - Times Square and Broadway shows are just couple of minutes away.	
Jun 27 2005	No A/C! No Customer Service!	My mom and I planned a trip for NY and heard about this hotel through the internet. I assumed the rooms would be small..but not this small! You could barely move. The first night it was 98 degrees and our AC was broken! I called the front desk three times and finally they brought in a working one. The customer service was horrible. We were offered no apology and when we asked about a refund or discount for the first night they were very rude and said NO!. No one helped us with our bags. They barely even spoke to us. I would not recommend this place to anyone. There are thousands of hotels in NY...leave this one off your list!	
Jun 16 2005	a shoe box!	I booked the room for my younger sister in June last year. We picked it as we were staying at the Sheraton a few blocks down the street and found a fairly good deal (airfare from Europe + hotel). The website seemed nice and the rooms quite modern. Having booked a single I was a bit worried about the size but thought it should be adequate. It was our first trip to NY and we didn't intend to spend much time in the room.What a shock when we got there! The room was the size of a cupboard. Looked neat but was tiny. Never seen anything like it. When we discovered the size of the room we realized that the deal we had was a bit of a rip off!Part of the hotel was being renovated and the noise started everyday around 8.30am.Nevertheless we had a great time and the location of the hotel is great as it is a short stroll to Times Square.Wouldn't book it again.	
May 4 2005	Great Location	I definitely had some concerns about this hotel before I arrived. So much so that I was close to finding another hotel a week before my arrival. I found the reviews below useful for setting my expectations so here are my 3 likes and 3 dislikes about this hotel.1)Great location, the subway is a hop skip and jump away. Times Square and most of the popular theatres are well within walking distance.2)Room has comfortable bed and good shower. Two essentials!3)Friendly and helpful staffOkay now for the not so great things:1)Room is quite small, not a lot of room for two adults. But, when you’re in NY you don’t expect to spend too much time in the hotel room right?2) The windows couldn’t be opened. A little fresh air would have been nice.3)No luxuries, this is a basic hotel room. No tea/coffee, no fridge, no bath, no full-length mirror.This is a good hotel if you need a basic room that is fairly inexpensive for those of us on the sterling.	
Apr 22 2005	Great location not a great hotel.	The good thing is that the hotel is very centrally located. We walked to Central Park every day, ate on restaurnat row as often as we could, and never worried about traffic. When we arrived they were doing a remodel, something the hotel failed to mention when I spoke to them to confirm my reservation. I had to call twice as both times they had not confirmed the room I asked for. We did get the correct room when we checked in. We waited in the elevator lobby for 15 mintues, amidst all the move debris, before the night manager finally recognized we would need the elevator for the 4 bags we were carrying. No offer of help was made to us. The room was swelteringly hot with no way to control that other than opening a window, one of which was not installed properly. The bathroom could barely contain the sink, commode and shower, let alone the addition of 2 peoples toiletries, etc. There was no closet, just a small armoire that did not allow for clothes to hang poperly. The room safe is also in the small armoire, so try and imagine 2 suits, 2 tuxes and various other items of dry cleaning for 2 people fitting in there. We were there for 4 days and the staff never bothered to greet either of us with the exception of check in and check out. Some other good points: the lobby was nicely appointed, the sushi place was good and again the location was perfect for a leisure trip to NY. This is definitely not a corporate/business hotel.	
Apr 9 2005 	Do Not Stay Here	To everyone who says &quot;remember this is NY&quot; and you should be prepared for a small hotel room......I don't know how you can even compare this horrible hotel to anything else. I have stayed in MANY New York hotels and this was by FAR the smallest room I have ever seen. No one helped me with my bags on my way in or out - despite the fact that there was a bellman present who simply chatted wtih the desk clerk. The room was about 100 degrees and you can't adjust the temp. If you open the window you will hear the neighbors all night long (I was lucky to have someone next door coughing until 1 a.m). The room itself was dirty - stained carpets, lampshades. The remote control didn't turn the TV on so you had to climb on top of the bed to do that or to adjust the volume. The bed was uncomfortable - super hard. I asked to move my room twice and was told i could pay $50 more for a different room. I booked through orbitz so I had pre-paid (a LOT comparatively) and I didn't have much leverage. THIS IS NOT A 3 STAR HOTEL!	
Mar 18 2005 	Cruddy hotel refused to stay	When I arrived at this hotel for a business/holiday stay with my family, I was given a room that was 90 degrees, smelled like someone threw up in it. The room was advertised as a family/double room, but if it was even 200 sq feet, I'll eat my socks. It was so small they had to mount the (tiny) TV on the ceiling. No closets. The room was not even clean. When I complained to management, they offered to put me in another room that was exactly the same. I refused that as well, went to the Hilton and booked a room on the spot. The WJ charged my card anyway, refused a refund and was generally ridiculous about the whole thing. They don't care about their guests, just their money.It's in a crummy neighborhood as well, lots of sketchy people wandering about. When I book at the Hilton, it may not be 5 star, but at least I know what to expect.This is the worst hotel I've seen in NYC, and the prices are actually more than other hotels that are better.	
Mar 7 2005 	Great location	After reading the mixed reviews on this site, I was a little nervous about booking the WJ. But, upon arrival I was delighted. Located at the edge of Hell's Kitchen (P.C. renamed &quot;Clinton&quot;), this hotel was clean and in a great location. We had EASY walks to Rockefeller Center, Times Square, and a longer, but enjoyable walk to Central Park and on to the Met. Restaurant Row (W. 46th Street) was a boon! Excellent Italian and Thai food just around the corner. Check our pre-theater price fixe menus. Coffee and bagel shops all along 8th Ave.That's the location. The public spaces of the hotel were clean and nicely furnished. Free NY Times. There IS a restaurant in the hotel now--a sushi place. There is only one elevator, but the marble steps are easily managed. We stayed on the 6th floor. The room was exactly as found in the photos--nothing more! The rooms are small, but there is space to walk around, put your bags, and not be cramped. Bed was comfortable. Not noisy (we were on the back side of the hotel), but the usual noises--street noise, some doors. The bathroom was spotless and the toiletries were very nice. Remember, this is an OLD building. Spaces are smaller than your average American hotel, but that doesn't mean it isn't nice. If you've ever been on a boat, you will appreciate the efficiency of this room! I also noticed bathrooms in the hall that I think may be there for rooms without baths or for handicap access.I would stay here again. I wouldn't pick this hotel if I were staying for a week, just for a weekend or so. The smallness might start to wear on you. Our price was much less than other hotels nearby and I can't think of anything we lacked because of it.Try the WJ!	
Feb 3 2005	Not all that bad!	Room was small but staff were very friendly. Great location would stay there again!	
Dec 20 2004	Pleased with the WJ	I was a little worried too after reading all the negative reviews, but when I finally got to the room my worries were gone. Yes, the room was small but we could fit 2 suitcases in without falling over them and we did do alot of shopping so that meant that we had a lot of bags, but still we had room to store them. The beds were comfy and I slept everynight really well, with the window open a little. The bathroom was nice and clean, and I found the inhouse movie service great, perfect for when your resting your feet! I would recommend this hotel to others. People have to remember, this is New York, a city that never sleeps! As long as your hotel is clean and comfy, which I found this one to be, then you shouldn't have to worry about the rest. There are plenty of restaurants close to the hotel so it's not like your going to starve because there's no restaurant in the hotel, you can also order room service. I would go back to this hotel in the future, it's clean and comfortable and it has a great location.	
Dec 19 2004	The WJ was FANTASTIC! Highly Recommend!	I was a little worried after reading some of the reviews, but I have no compliants about the WJ! The staff was fantastic, the location was perfect, and the price was right. The room is small, but not unbearable. Clean bathroom. The staff is extremely friendly, always willing to help. Within walking distance from Central Park, Times Square, Macy's, and the Empire State Building. If you are looking for a clean hotel, I highly recommend the WJ.	
Dec 18 2004	A Nightmare	A hotel ? A hoStel would be a much more appropriate name - no restaurant, no bar, no gift shop, not even a shoe shine buffer.Room #1: Found a pair of used socks under the bed. The 'wardrobe' as outlined on hoteldiscounts was, in actual fact three coat hangers on the back of the bathroom door.Room #2: Identical to room #1 (minus the socks) - try again.Room #3: This was in the old part of the hotel - this was actually a really nice room, but at 11PM I was awoken by periodic loud noises from the ventilation system (resident ghost ? I wouldn't be surprised) - time to move againRoom #4: This must have previously been the wardrobe for the adjoining room at one stage - I'm not joking; I've stayed in Hotels with bigger bathrooms. Like the set of a 'B' movie, the walls moved every time a door was closed.If I hadn't paid in full up front, I'd have checked out after the first night and made my way the Metropolitan Hotel. Still, it was a fantastic trip - I just won't be staying there ever again.	
Dec 6 2004	living hell at the WJ hotel	Don't make the mistake of staying at the WJ hotel on W.51st . The rooms were tiny, the noise terrible, the ventiliation non-existent and the staff rude. To make matters worse, there aren't even any ice machines, coffee machines or drink machines anywhere in the place. There is no room service (contrary to the info I was given)and hotels.com was not the least bit bothered by any of the misleading info they posted. Do yourself a favor and go elsewhere or don't go at all.	
Oct 31 2004	very disappointed	We have just returned from our 2nd trip to New York, and having left it very late to book were limited to our hotel choice. After reading the reviews I prepared myself for the worst, and unfortunately this is what we experienced. Positives - A good location, but there are loads more hotels in the vicinity. Staff were friendly, but as there were no facilities we weren't quite sure what they did apart from check-in. Clean sheets and towels every day. Clean (tiny) Bathroom, comfortable bed.Negatives -The hotel rate was far too expensive for the non-existent facilities and poor standard of accomodation. It felt more like a hostel than a hotel.The decor was dingy and depressing. The lobby looks really nice, but step into the communal hallways and you feel like you are in a negelected public building. Drab walls and carpeting were made worse by the musty smell. The room smelled of vomit which kept us out most of the time- we wanted to spend as little time in the hotel as possible.	
Oct 19 2004	Tiniest Room I have ever stay in!	The web deal room is way too small. And there is no room for clothes or other items. The bathroom is almost unusable.	
Oct 19 2004	Great location-Good value for the money outstanding staff	Although the room was small and there was only one tiny elevator, this hotel was more than adequate. If you are interesed in theatre, this location was fabulous. It was also close to the subway and Central Park. There were many good restaurants nearby and safety was never an issue. What made this hotel so great was the outstanding staff. They were helpful, friendly and more willing to make our stay as enjoyable as possible. We would not hesitate to stay there again.	
Oct 16 2004	WJ okay but could have been better	I was a little disappointed with the WJ. The location is great and the rooms comfortable but during our stay the restaurant was being renovated so there was nowhere in the hotel to even get a cup of coffee.One day we came back from sightseeing at 5.00pm to find our room had not been serviced. I have never experienced that in many years of staying in hotels. When we asked the staff to follow up - there was no apology. The staff were not the friendliest hotel staff I have ever met. It was okay but as it was not cheap I expected the basics to be better.	
Sep 26 2004	Nice place we enjoyed our stay	I felt I had to write a review since the last 3 posted were so negative. I thought the WJ was a nice, clean place and a great value. 3 positives: very safe as there was a security guard at the door every night; staff was very pleasant to us (the concierge walked a block down the street just to hail a cab for us!); updated rooms.Also, the location was ideal. Only a few blocks from Times Square, theaters, Restaurant Row, subway station.Yes, the room was very small but I expect that for older hotels in large cities. All in all, unless you want to pay $300+/night for a hotel room in NYC, then something has to be sacrificied. The sacrifice here is a small hotel (lobby was also tiny and had no restaurant) with small rooms. However, we were only a block or two from all of NYC's amenities. I'd definitely stay here again and recommend this place to others.	
Sep 24 2004	No problems here!	This was my first trip to NYC so I can't really compare the WJ to other hotels here. From reading the previous reviews, I was expecting the worst. However, if you are prepared for a very small room and you are not too picky, this turned out to be a good place to stay. It was very close to many attractions (ie Times Square) and also very close to the subway.The room was very clean and smelled good. The staff were quite friendly. Overall, I think that NYC has so much to offer in terms of entertainment that you never really stay in your hotel room except to sleep. (Mind you, I came to NYC alone .. if you have nocturnal or even diurnal activities planned with someone else, then these hotel rooms may not give you the freedom to &quot;play&quot; ;) )	
Aug 26 2004	Terrible Disappointment	The room was NOT as represented on their web site. Staff is very uncoperative. I will never recommend this hotel.	
Aug 25 2004	Bad News!	The room was definitely not as advertised. When we asked to move to another room, we were advised that it would cost an additional $50.00 per night for a similar room. The staff was incredibly rude.	
Aug 25 2004	DON'T EVEN CONSIDER IT	NOT as represented; horrible rooms; extremely rude staff; unsafe environment; don't even consider staying here!!!	
Jul 21 2004	Postage Stamp Size!	The room had just enough space for my body, my suitcase and my carry on. No closets, no dresser drawers, no extras. Bathroom was small compared to other hotels, but large compared to your room size. Room consisted of a twin bed, TV mounted on ceiling to save space, a small table, a very thin floor lamp, and wastebasket (which had to be put under the table because I needed room for luggage). If you're claustrophobic, don't stay here.	
Jun 28 2004	Latest on the Washington Jefferson	I had read several reviews about this hotel and they were all over the board. If you don't mind VERYsmall bedrooms (reasonable sized bathroom), then you'll enjoy this hotel. Construction work limited use of the elevator. Price was reasonable and the location was OK although not ideal.There's very little room to place your luggage. The staff is courteous but not overly helpful.	
