	Great location great service and comfort at the best quality/price!	This hotel is a gem. If you like smaller hotels with attentive service, this is the place! The whole staff is very nice, polite , smiling at all times, from front desk to housekeepers, breakfst staff etc. Breakfast is included and is very good, including good coffee. Rooms are clean but a bit small.But who cares, we are in NY to visit and shop, not to stay in the room! The location is perfect, litterally 2 blocks from Penn station, Macy's, Empire State building etc. We even walked all the way to Times Square, Broadway and Central park (need time for that however!) I will go back and recommend it anytime! The price makes it even more attractive : app. 250$US for room with 2 double bed) .	
Jul 22 2007 	Decent Place but we were also a victim of movie fraud.	Price is good for NYC, $179. Includes real breakfast, not &quot;continental&quot; crap, only about 100 yards from Penn Station, clean new rooms, Short walk to Times Square, great friendly service (except for the charge for movie when we were not even in the room which is to be &quot;investigated&quot; by manager and credited to card. This will not happen in your lifetime so raise loud hell at checkout in front of as many people as possible). Until this scam we had a very nice stay. Cheating people out of $10.00 is pretty petty and hardly worth the trouble. If you are going to steal make it big time.	
Jul 19 2007 	greatcleanCLOSE TO EVERYTHING	We have just returned from a 5 night 6 day stay in New York City.What a great place to stay. The free breakfast is worth it's weight in gold. I'm talking sausage, bacon, eggs, waffle maker, juices, fruits. The staff is there to help with your every need. The rooms were spacious and VERY CLEAN. The hotel is on 36th street. 5 blocks from Broadway. The subway is 1 block away. You are very close to the center of everything. This was one of the best value hotels we found that stated non-smoking.Would recommend and stay there in a hearbeat again.	
Jul 19 2007 	Wingate is a Winner!	My two sisters and I recently stayed at the Wingate for 8 nights. We were very happy with our stay, and we found the staff to be very friendly and accommodating. Unlike a few of the other reviewers, we thought the staff was very friendly, from the people at the front desk to the sweet little housekeeper polishing the wood in the elevator who greeted us with a smile and told us to enjoy the day.The room was cozy for the three of us (2 double beds), but we understand that hotel space in NYC is at a premium, so we were prepared. The decor was updated and appealing, the granite bathroom counter was generously sized for all our stuff, the room and bathroom were clean, and the beds were comfortable. The shower was strong, the water was hot, the towels were thick and fluffy. Even the toilet was an upscale brand--Toto,which is one of the best on the market. The microwave and refrigerator came in quite handy. I will admit that the bathroom fan is loud, but it works well, and the room air conditioner is noisy also (many hotel A/Cs are like that). We discovered a curious thing about it --we realized it wasn't just a coincidence that the A/C came on whenever we entered the room after a long day of sightseeing. It shuts off during the day as an energy saving measure, and as soon as a warm body comes back in the room, the A/C starts up again. The manager explained that there was an infrared sensor that was responsible for this curiosity. This wasn't a problem (cudos to the hotel for conservation), and we were fascinated by it. The breakfast was good, though I personally didn't care for the scrambled eggs--on the dry side. There were lots of other things to choose from--sausage, bacon, pastries, bagels, waffles, cereals, fresh fruit, yogurt, etc. The location is convenient, and the hotel is easily accessible to several different subway lines (1-3 blocks away, depending on the line you want.) It is 1 block from Macy's, and is close to Penn Station and Madison Square Garden.Now for the downside. The hotel isn't perfect, and if you are looking for a 4 Star hotel, this isn't it. It is on a dingy side street, and the view from our room was looking at a warehouse- type building. The housekeeping was hit and miss, but this could have been due to our particular housekeeper. On a few occasions, we didn't get fresh mugs and glasses; toiletries weren't replaced during our stay even though the manager said they should have been; and one day, the housekeeper forgot to leave us any towels. We found ourselves calling down for stuff like this more than we should have had to. However, the management and front desk always cheerfully and apologetically took care of the requests, so I can't complain too much. All in all, I rated it a 5, mainly because of the good value compared to other NYC hotels.	
Jul 16 2007 	Great first trip to the Big Apple	Where do I start, Me and a buddy (Early thirtys) booked this hotel through travelocity as part of a package deal with room and air fare . We chose this hotel because we wanted to be garanteed two beds in the room. This was one of the few hotels that would do this for us. We flew into Newark, and took the 20 min train directly into penn station ,which happens to be about a block from the hotel.We walked to the hotel and it is located on 35th st between 7th and 8th ave in the fashion district. Other reviewers have stated its in a bad area or off the beaten path but its just on a small street with a bunch of textile or fabric stores and from my perspective a gem of a hotel. The lobby is clean and small nothing fancy but the staff was helpfull and got us our room with zero problems. Our room was on the 18th floor witch was the top floor 1806. The room had two double beds a flat screen tv. complimentary bottled waters , a desk area, a small fridge, microwave , wireless internet access, in room safe , and most importantly a clean , good size bathroom. There was a nice little workout room and a small buisness center also below the lobby floor. This hotel is located a block from pen station , 7 blocks from time square and the theater dist. 4 blocks from the empire state building and subway access less then a 1/2 block.So all and all this hotel was a great homebase for me and my buddy to get to all the sites , yankee games, and would recomend this hotel to anybody. Please just remember your hotel experience is what you make it . If you want it to be positive most likely it will.	
Jul 11 2007 	Wingate's a Scam!	When my husband and I checked out we had a mysterious movie charged to our room. We never purchased a pay-per-view movie while we were there. The desk clerk stated he couldn't do anything for us and then provided a specific &quot;movie&quot; Memo from the Manager stating that movie charges could only be adjusted by the Manager. And of course, the Manager wasn't available when we checked out. Seemed like a scam to us. I will never stay in this chain of hotels again and do not recommend this hotel.	
Jul 11 2007 	Great place to stay	Stayed for 5 nights with my wife and child and was very pleased with the hotel. Good free breakfast buffet and hotel was very clean. The location at first looked bad but was ok . The room we had was 1002 and no street noise which was a big plus in NYC. Close to everything would stay again here	
Jul 10 2007 	Excellent stay great value	Our 3-night stay at the Wingate was a wonderful experience. The rooms are spacious (by Manhattan standards), modern, clean, and comfortable. Our only suggestion for improvement would be that all 4 of the pillows are thick and fluffy--so bring your own if you require something thin for comfort. The 35th St. location in the fashion district isn't very scenic but is quiet at night, and subway stops are within a block so transit is not a problem. The complimentary breakfast was fabulous, making our stay an overall great value.	
Jul 4 2007 	Wingate's a Winner	We had a wonderful experience at the Wingate. The room was wonderfully cozy. As we only needed room to unwind, this fits the bill. The bed was incredibly comfortable, the flat screen tv was a nice touch, and the room itself was impeccably maintained. Absolutely no mold or crud in the restroom,(no tub either but that's o.k.), the furnishings were in excellent repair, and the amenities were as described. It is by no means a luxury hotel, but it is a great place to stay if cleanliness and comfort are the most important things on your list.They also offer a discount on parking. Make sure you get the sticker from the front desk. The attendant was kind enough to let us know were to park, but he didn't go the extra half a centimeter to tell us about the discount.Otherwise a great trip. Within walking distance to timesquare, empire state building, madison square garden, and more. We often returned to our room at 1 or 2 in the morning. We stayed in room 205. Enjoy!!	
Jun 26 2007 	Everything you need	By New York standards, a good size room that is not much smaller (if at all) than you would find elsewhere. Refrigerator and microwave in room; unfortunately, the coffee maker is one of those one-cup machines, but no mind, we brought our own 4 cup drip pot. Comfortable bed, good size bathroom, wall mounted TV, and although the air conditioner was a bit noisy, we were so tired after walking and walking and standing in musems (before our evening shows) that it was no bother at all. The breakfast was also quite good. Yes, the scrambled eggs are not great, but there's sausage and bacon and muffins and New York bagels, and English Muffins and toast, and waffles, and hot and cold cereal and juice and hard boiled eggs, and yogart, and coffee and milk and a friendly staff to make sure that items are replaced. Not sure what else one would want and not sure why a handful of other reviewers have complained. Sorry folks, hotel breakfast bars do not serve eggs benedict, et. al.  The location is convenient to the theater distrcit by walking or subway. And of course, the Empire State buidling, Madison Square Garden and Macys are close by. Overall, we like this hotel better than others we have stayed in, one of which was the Warwick. We will be back.	
Jun 19 2007 	Very Impressed	My husband and I went to New York for the first time and LOVED everything about it! We pretty much went there knowing nothing about New York except for the obvious sightseeing attractions. We booked our hotel off of the reviews (it had the most positive experiences than the others.) We arrived on a Monday to our hotel - my first impression walking into the lobby was - how beautiful and modern it looked. We arrived 2hrs. before check-in, so I thought for sure they would say our room wasn't ready and we'd be stuck with our luggage, but to my surprise it was ready. We had a king size bed (very comfortable) and the room was very spacious. From the various reviews we read for several hotels - the complaints were usually: very tiny room, air conditioner didn't work, dirty, bugs etc. Our experience was far from it. Our room was VERY clean, air conditioner always worked (in fact - sometimes we had to turn it down a bit), never dirty and didn't see one bug - plus the room was the same size as any other hotel we've stayed in. The breakfast was good and the hotel staff was very helpful with our questions. We called for extra pillows and had someone knocking on our door 10 min. later with them. We saw the exercise room (very nice) and used the business office to access our email and printed out some ferry schedules. Not thinking we would need to access a computer - it was helpful to be able to use their's any time you needed.The hotel is in a nice location to some things however I think I was expecting to reach Times Square within 15 min. as previously read, but it seemed a little longer than that (25 min) - maybe I was a bit anxious and it just seemed to take longer.I really have no complaints about the hotel except that I wish it was a few blocks closer to Times Square and all the action there, but for the quality of this hotel - I would be happy to stay there again. Who couldn't use the exercise - walking is good for you, right?	
Jun 18 2007 	A Wonderful Vacation in NYC	We visited NYC in Mid-June and stayed at the Wingate for 7 nights. What a WONDERFUL HOTEL! We couldn't have asked for an overall better experience.The Hotel is in a fabulous location within a few minutes walk of subway stations, Penn train station (we daytripped into Philadelphia), and Times Square. There are also many great restaurants within about 5-10 minutes walk from the hotel and Starbucks on each end of the block. The Hotel complimentary breakfast is wonderful (we all stuffed ourselves each morning because we didn't know when we would be able to take time from our sight-seeing to have lunch). We were able to easily walk to Rockefeller Center in about 15 - 20 minutes and the subway ride to Central Park (and 5th Avenue shopping) could not have been easier.Our room was very clean and quiet. The beds were very comfortable and the flat-screen TV was great. The hotel has a very boutiquey feel to it (despite its being a chain) that we found charming.We had absolutely no complaints and will definitely be back to the Wingate the next time we visit New York City.	
Jun 14 2007 	Awesome!	My family and I just returned from our first trip to NYC and the Wingate Inn couldn't have been a better choice. The location was great! It was close to everything!The room was nice and spacious and the beds were nice and comfy. The breakfast every morning was excellent. With an 8yr old in tow this was very convenient.The staff was extremely nice and helpful. They allowed us to store our luggage at an early arrival and a late departure which was extremely great. I couldn't recommend a better place when visiting NYC! We will definitely stay again!	
Jun 14 2007	Fabulous hotel only 5-10 minutes from Times Square!	Fabulous hotel only 5-10 minutes from Times Square! This was a great hotel (and fantastic price, booked on their website for $180-209 per night!). We have stayed right in Times Square at much larger hotels (for 4X the price) however this was by far the best hotel we have been at to date in NYC. Rooms are incredibly clean and very large and spacious. I have not posted pics on here as the hotels pictures are an exact replication of the hotel. One note about our reservations – we booked a room that may be cancelled (up to 48 hours in advance) you pay about $20 more per night – but by phoning to confirm and asking for a prepaid reservation we received a lower rate and saved some $$.The breakfast was very handy – it is free with your room and includes waffles (really good!), eggs (not so great), bacon, muffins, croissants, toast, etc. Service at the hotel was mediocre – dont expect any small talk or pleasantries. That said they were helpful in booking us a car to get to the airport on our departure date and very speedy at fixing our room safe which locked up on us. Great features are the breakfast, location (half block from Macys), cleanliness, price and room size (the room safe is big enough for a laptop! Great feature!)The only think I can point out as a negative would be the location at night. It is rather dark and deserted when walking back from shows. That could be remedied by simply taking a taxi.	
Jun 12 2007 	Agree with disappointed	I studied all tripadvisor reviews of New York City hotels before selecting Wingate in Midtown Manhattan. I decided that even though I thought the price was steep, that it would be worth it. I am fairly easily pleased and not unreasonable. I though all sounded well. The hotel is located down a dreary sidestreet that closes down at the end of a working day and has little open. A warning sign of what was to come was the fact that only the &quot;Wi&quot; is lit up on the sign. I thought there might be some offer to help with the luggage but the staff tends to just stand around and not really look at guests in the lobby. A venture out onto the major street only provided pizza joints, McDonalds, and unappetizing sandwich shops. As it was terribly late (hmmm maybe ten), we gave up and got a cheeseburger at Burger King --welcome to New York?The room is small. I do not know where one review got the &quot;roomy&quot; from. In a room with two double beds, one might expect four people but three suitcases will barely fit. A waste of space is a large executive style chair that is unnecessary. The air conditioner is horribly noisy and will awaken you as it cuts off and on in the night. The exhaust fan is also obnoxiously noisy. Have them both on at the same time and you need ear plugs. We booked for four nights. One morning for breakfast was one too many. It is advertised as &quot;hot continental&quot; but the only hot items were bad eggs, tasteless sausage (McDonald's style), and the requisite generic waffles (oops no spray oill so forget that one), As far as convenience, it is my third trip to NYC and it is the first time I have been near Macy's -- must be because there is nothing else I want in this area. So, my advice is to try another hotel. I just did not see anything that would bring me back here.	
Jun 12 2007 	WONDERFUL FANTASTIC STAFF	I booked our first trip to NY through Orbitz. We chose Wingate Manhattan due to the reviews I read here at tripadvisor. What a marvelous place. It is not the most fancy of places, but it is new, clean and within walking distance to most anything. All the reviews were on point. The staff here at this hotel are amazing. They were the most courteous, helpful, delightful group of people we have encountered within hotels. Elvis, manager, is great. Any questions, problems, see Elvis or anyone for that matter. We had much chaos during our trip. Upon our arrival my husband became ill and the staff assisted us with making arrangements to a local clinic. From there my husband was hospitalized and what an ordeal when you are so far from home? NOT at all.. with the friendly, wonderful staff at NYU Medical Center and the assistance of the staff at Wingate Manhattan, we made it fine without too much difficulty. The staff was very supportive, called to check on my husband several times per day, and always offered to do anything if we needed. If you plan a trip to NY, I highly recommend this little treasure.	
Jun 6 2007	Disappointing	Based on the positive comments I found on TripAdvisor, coupled with the location in walking distance from Penn Station, I chose to stay at the Wingate. I’m slightly mystified by the reviews, as my experience was nowhere near as satisfactory as others included here. Problem one – I was on the 17th floor, which would normally be welcome, since it means less street noise. But in its place, I was greeted with the non-stop hum/rattle from some kind of huge industrial motor that’s near the room (there are only 18 floors). It’s loud enough to be quite annoying. I called to complain and was told it would be turned off at 8. Less than ideal, but OK. I called at 8:20 when it wasn’t off, was told someone would call me right back, and no one did. Called again around 9, an engineer came to the room, and told me that it would automatically turn off at 10 (which it seemed to do). But when I woke up at 7:30, it was back on. Problem two – the A/C unit was extremely loud, so much so that it was difficult-to-impossible to have a telephone conversation while the unit was on (it did, however, drown out the sound of the industrial motor). I had a telephone interview to conduct in the late afternoon, which I got to sweat through (literally) since I couldn’t turn on the A/C. Most problematic of all, the A/C made it very difficult to sleep. I was left with its loud volume, or being hot all night. Problem three – for a hotel that bills itself as a business hotel, the chair at the desk is extremely poor. It’s too big for the desk, so I couldn’t get close to desk. In order to simultaneously type and talk on the phone, I had to wrap myself in a very odd (and uncomfortable) position. And it meant that rather than work on my laptop at the desk, I had to sit on the bed. Not what I’d expect to be doing at a business hotel. I didn’t use the business center or the gym, so can’t comment on those, but note that there is no room service. There are, however, lots of restaurants nearby. The free breakfast was nice, though a quick look around suggested that the primary clientele for this hotel is not people on business, but tourists. Free Internet access is a plus, but I found it worked much better in the lobby than in my room.All in all, an unsatisfying stay, and not a hotel I would return to.	
Jun 4 2007 	Terrific Location Perfect Hotel!	I had read all of the previous reviews of the Wingate Midtown, so I was a little nervous that I might set my hopes too high. Due to the fact that the hotel is amazing, that was impossible! The rooms were nice and big, the staff was terrific, and the linens were always clean and fresh. I could write a book about the breakfast, but I'll spare you. I will just say that it was wonderful. There were so many selections, pastries, waffles, fruit, yogurt, cereal, juices, bacon, eggs, sausage, toast, bagels, english muffins...I could go on and on. For a breakfast like that you would drop a quite a few bucks in New York City. Thanks to the Wingate and its staff for making my first trip to New York a wonderful experience.	
May 29 2007 	Awesome!	A friend and I just stayed at this hotel over Memorial Day weekend 2007. I can not say enough nice things about this hotel. First, the hotel was so clean. The rooms are nice and big, with very comfortable beds. The bathrooms are large and extremely clean. The staff was most helpful. They held our bags for us and let us check in early! The locatation was awesome! It is only 1 block from Macy's! The shopping near the room was great! There were several places to eat nearby. Overall, I would recommend this hotel to anyone wanting to have friendly service with a great location in the city! I will stay there again! :) You will not be disappointed!	
May 27 2007	Wonderful!	I was leery of what I was going to get considering that the arrangement was very last minute (the day before?), but this was the hotel that had the best price for a 3 person room that was available on such short notice. I was impressed! The room was clean and very big, the bathroom was wonderfully stocked and the service at the front desk and throughout the hotel was very friendly and willing to assist us.They have a wireless connection, but if your computer can't pick it up (like mine, haha) they have a courtesy computer in the lobby.The location is also nice -- you're right next to quite a few karaoke bars and the shopping area on 34th street.I was moving out of my dorm and used the place to keep my stuff and they were very helpful in getting my things upstairs -- without them, I'm pretty sure the majority of my things would have stayed in the lobby!I definitely recommend it, and while it may not be the least expensive, you're definitely getting your money's worth!	
May 22 2007 	Fantastic Hotel in Great Location	Myself and my friend chose this hotel after researching and reading of alot of hotel reviews and then booked directly with them and secured a fixed price at time of booking.Our room was great , very clean , ample sized beds , great shower and widescreen tv to watch the various channels for the very short time we were in our room.Also had a fridge , free water every day and microwave which came in great use on our arrival night as we grabbed a pizza from around the block and took it back to eat.We had a room at rear of hotel on 10th floor and it was very quiet , only noise I recall hearing was the alarm that we forgot to switch off one night and the sound of thunder (not very loud due to good double glazing).The breakfast was a great perk , got us on our way everyday but if you fancy a change there is a great diner at end of street called &quot;Andrews&quot; which did great pancakes, waffles, bacon,eggs, basically anything you wanted.The staff were very helpful and will recommend restaurants to eat as well as places to visit.Penn Street subway can be found at either end of street , Macy's and Empire State at end of street and block away and it only took 10 mins to walk to Times Square.Of course we cannot forget Starbucks , again one at each end of street.We visited all the tourist sites but would recommend a trip to The Bronx Zoo(take the subway) and a helicopter ride , expensive but well worth the experience.(helicopter that is).Our trip to New York was brilliant and having a great place like the Wingate to stay at made a difference , we would highly recomend this place and will definately be staying here when we return , hopefully not in the too distant future.	
May 10 2007 	Everything you need!	Wingate Manhattan has a great location for getting around the city - A block north of Penn Station/Madison Square Garden, a few blocks south of Broadway/Times Square, and enough happening in the vicinity to make for entertaining evening walkabouts.The rooms were clean and quiet, the staff was friendly, and all business amenities were provided as advertised - including an excellent breakfast selection.Definitely recommended!	
May 10 2007 	Fantastic Hotel	What a find this hotel is. I read the review before I booked and saw some of the minor issues people had, but I saw that the review were glowing and they were all correct. This hotel is brand new, clean, comfortable with a friendly staff. The noise issue was neither here nor there. I knew I was coming to New York City know as the city that never sleeps, there is only so much control a hotel has on outside noises. I have stayed at many hotels in New York and they all get noise, its the city folks if you want quite go to countryside, not New York City. The breakfast was great, plenty of great food and free, no reason to complain when you are getting something for free. If you want something different each morning then you should go out, but why waste your money when you get great stuff included. All in all I just think it would be silly for anyone to stay somewhere else. Location, Location, Location...you have 12 subway lines within walking distance and you can walk to Empire and TimesSquare/Broadway area.Hotel Rocks!	
May 7 2007	Another very satisfied customer.	I spent a considerable amount of time and planning looking at various hotels in Manhattan as a base for our first visit the United States to celebrate our 25th Wedding Anniversary.After hours reading various reviews,comparing prices,all roads seemed to lead back to the Wingate Inn Manhattan,built at a cost of 2O million dollars,this must be the newest hotel in Manhattan having opened in Sept.2006.I can only endorse evrything that has been written by other reviewers,the location is perfect for Midtown Manhattan,Macys,Madison Square Garden,Times Square,Empire State Building,Etc Etc,are all within walking distance.The front staff are a relatively young crew,so may not have detailed information on specific restaurants,etc,but they were always very polite and courteous.A special mention to Keyla and Answar who are a right double act.We were on the 17th floor as we requested a room on a high floor as advised,by a previous reviewer,which was absolutely fine with minimal background noise.Save yourself the time I spent reading the various hotel reviews,this hotel for the price represents excellent value.We had a superb visit to this fantastic city and we cannot wait to return.	
Apr 29 2007 	Wonderful position clean and well-maintained	We booked this hotel because of the excellent reviews on TripAdvisor and because of the amazingly low price (worked out to £31pppn b&amp;b). We were not disappointed. The fittings and hotel interior looks new and is in excellent condition. It was extremely clean throughout and the staff were helpful. The fitness suite and the free internet access on the communal pc were a bonus. Breakfast had a wide variety to choose from, although the room did get a little crowded at times, and the tv being constantly on was a distraction. Our own room offered two doubles (unfortunately no roll-out bed as an option) which were comfortable. The cleaning was excellent and efficient. We had a high room at the back and did not hear a sound (except the air conditioning in the room coming on one morning) all week, not even from other guests. The hotel's main selling point has to be its location. 100yards to Macy's, 150yds to Madison Square Garden, 250 yds to Empire State; 100 yds to one subway line, 150yds to a different line and 250yds to a third line. Ten minutes walk to Time Square. The street outside may be scruffy and dirty (as many seem to be in NY), but is only 100 yards or so long, and was never threatening in feel. My wife and daughter felt perfectly safe travelling back from 'Wicked' at 10.45 at night on the subway on their own. I would definitely stay at this hotel again, and recommend other to do so. Some other recommendations - Staten Island ferry (free) as opposed to the Statue of Liberty ferry; walk the Brooklyn Bridge (there is a subway station at both ends); book all your tickets for the theatre and sports from the UK - we did and went to see the Yankees, Mets and Knicks - Ticketmaster's 'WillCall' system works well. Finally for those who have waited twenty or so years to return - what a difference - NYCity is SAFE!	
Apr 25 2007	A gem!	An excellent hotel in a prime location. The room was faultless as were the staff, the breakfasts were a bonus, all in all great value and we would definitely return.	
Apr 17 2007 	Another satisfied customer	I am going to keep this short as most people have already covered the points that I would have made.The rooms are a good size for the price. The beds are comfy and, unlike some other reviewers, I had no problem with the pillows.We stayed on the 3rd floor which made me a little nervous of street noise but our room was at the back of the hotel so there was no noise as such. However, every morning at 7am without fail some music started up. Not loud but insistent it sounded like some sort of music school.If you find the airconditioning a bit loud, as I did, then you can turn it on to standby which effectiverly switches it off.Breakfast was pretty good, although after 7 days I was getting a little bored. The scrambled egg, burgers and bacon were the weakest element.I found all the staff extremely helpful throughout our stay.The street is a bit unexciting but this is not a problem given how close it was to other attractions. With an underground station at each end of the block, it was very handy for getting around. We got a taxi to the hotel in the first place, but took the underground plus Airtrain back. This was very easy and a lot cheaper than the taxi.I won't spend too much time on eating places in this review but I can recommend the Napa restaurant across the road from the hotel for an all you can eat luch time buffet.	
Apr 12 2007 	Recommend it to all....	Fabulous Hotel! Would recommend to my friends and family…RoomsWe stayed at this hotel from April 7 through April 11… We payed 237.00 a night plus taxes.i used the hotel website and got that rate through early booking (two months before), no refund. i did see it on hotels.com for 239.00 a night... Hotels lets you cancel with in a day or two... I just cjose the website instead.It was with my husband and parents. It is very new, clean, and well kept. There are about 6 rooms per floor and there were about 16 floors in the hotel. We had to two rooms, I had cousins in another room also and both rooms looked just like the picture on the website. There was a coffee maker, microwave, refrigerator, and LCD television, desk, comfy chair with a ottoman, leather office chair, two double beds that were like a full sized bed each, with a iron , iron board, alarm clock and two telephones in the room. The water would turn hot very fast and everything was very clean. Every morning there was a morning newspaper delivered to our room outside the door. The view outside out room was of another tall building. The heating and air conditioning worked well but you could hear it (didn’t bother me though). Location The location was less than a block away from Macy’s, close to many subways lines! Times Square is about five blocks away. The Port Authority is about five blocks away also (this is where Greyhound buses drop you off and pick you up!)… Subway Blimpie, and Starbucks next to the hotel. The Bread Factory was very good for breakfast, pizza, desserts, and sandwiches… They were well priced and cooked things in view of you…It is in the middle of most New York attractions.Breakfast Breakfast at the hotel was okay. Their waffles are really good, you make them fresh in the waffle iron and wait 2 and half minutes for it to be done on a timer. It’s pretty neat.There was cereal, fresh whole fruit, hard boiled eggs, bagles, coffee, juice, toast, bacon and English muffins. There were also eggs (I think it was egg beaters) and sausage that were really yucky…. I don’t recommend the eggs especially…. Tasteless….. Services The internet at the hotel was really fast. You can log on wirelessly and their office chair in the room is leather and pretty comfy to do your work. There are a lot of workers at the front desk who are very helpful! Special thanks to Kayla who was sweet and very hospitable… They gave me directions almost everywhere…. They will print them out for you and give you suggestions of places to go, make arrangements for you to be picked up and dropped of from the airport (JFK). You can arrange for a limo to have six people picked up from the airport for about 130 plus toll which is 4.50 and tip. We booked too late and ended up with a bus. For our ride back to the airport, it was 65 dollars for three of us in a big SUV… We chose to go with a service because we had a lot of luggage and the rate from you hotel to the airport in a taxi is not a flat rate but your ride from the airport to the hotel is. The taxi ride from the (JFK)airport to the hotel is a flat forty five dollars. There is a nice little gym and a small room for business in case you didn’t bring your own computer and printing is free. They will keep you luggage before and after you check in until your flight time for you with luggage tags so nothing gets lost. I had my laptop there and everything. We arrived at 7:30 A.M. and went to Top of the Rock (which I highly recommend, worth the 17.50 because it beautiful, warm and has the best view in all the attractions) and came back to the hotel at 3 to check in. When we were going to leave they had our bill under our door for us and we left our luggage at 9:30 A.M. so that we could go to attractions and picked it up at about 2:00… We were going to Canada from New York and it takes about 40 minutes to get to the airport because of all the traffic.Activities While we were in New York we went to Top of the Rock, Brosdway Show (Curtains, a berlesk show), shopped in Chinatown (Canal Street), Statue of Liberty, Ellis Island, Jeckyll and Hyde Restaurant, Day trip to Atlantic City, Times Square, Walking Central Park Tour, Lips Restaurant(Transvestite Hosted Restraurant), Stomp, Natural History Museum, 5th Avenue, and shopped a lot… The best souvenirs were bought in Chinatown where shot glasses are only two dollars each as well as I love NY T-shirts. Our day trip from Atlantic City took was a great experience. The bus tickets were only 31.00 dollars and , if you get off the Greyhound at Tropicana, the give you twenty two dollars cash and then your trip only ends up costing nine dollars round trip! Everything I did was a great experience. I will write about the other attractions on the attractions spot. I strongly recommend Lips.. The hostesses were really fun. We went on Tuesday night, Karaoke Night. I loved it! The food was pretty good too. We had appetizers. If you like Halloween places, Jekyll and Hyde was a cool dining experience and is close to 5th Avenue.	
Apr 8 2007 	Best hotel for the best price in Manhattan	My husband and I have been to NYC several times and I've never stayed anywhere better - and at such a good price! When visiting NYC again, we will definitely stay at the Wingate.Our room was well-sized for a Manhattan hotel; very clean and well-decorated. Everything looks just like the pictures on their Web site. The location is great for accessing the subway and Penn Station, and is in walking distance of many major shopping areas. It is located in the Garment District, so there aren't a ton of local restaurants, but that's a minor detraction. (I do recommend Lazarro's on W. 38th St. between 7th and 8th for a nearby, casual Italian restaurant with good pizza.) What impressed us the most about the Wingate was how efficient they were and how many amenities were included in what was (at about $263 a night, *including* tax) a very inexpensive rate for an above-average Manhattan hotel. All of the following were FREE or inclusive: bottled water in our room every day; wireless and wired internet access in the room; a business room downstairs with an internet-ready computer plus printer; access to a small but good gym downstairs; and a warm and cold breakfast buffet. We also had a mini-fridge, microwave, and coffee maker (with free coffee) in our room. Plus, the hotel is very accommodating when it comes to storing luggage (both before we checked in - as we'd arrived early, and when we checked out - as we had an evening flight). All in all, the hotel was everything you'd expect to find in an above-average business hotel - but it was pretty amazing to find it at that price in Manhattan!	
Apr 8 2007 	Very Good	My wife and I stayed at the Wingate for 4 nights. This was our first visit to NYC. The location is excellent. Close to most tourist attractions and the subway. The Hotel room itself met all my requirements (ie. clean, big room, fridge/microwave, coffee maker, good TV, comfy bed). The free breakfast was above average. Probably the best complimentary breakfast that I have had at a hotel. The only issues we had were: the window in the room would not totally lock closed, thus allowing some street noise in. We had ear plugs with us so it didn't bother us but would have been an issue otherwise. The computer in the business centre room was down for two days, thus not allowing me to print off Yankee tickets that I bought online. The front desk staff were not that friendly or that helpful (could not call me a cab on our departure and did not give me a summary of our charges upon checkout, I had to go back and ask for one). The bellman was very good and friendly as were the cleaning staff. Overall, we really liked the Wingate and would not hesitate to stay there again.	
Apr 6 2007 	Great room great location new building and rooms	Great room, great location, new building and rooms. Breakfast was a little crowded, but we waited till it was ready to close like everyone else. Close to Times Square, Penn Station, Broadway, and all the attractions. We would definetly stay here again.	
