	A very good choice	The Stanford is well situated in Korea town, close to Macy's and good shopping. Although we were in NYC on business we also had some downtime so we were able to enjoy the delights that the city had to offer. The rooms are on the small side, and there is only one elevator but this did not present a huge problem for us. The bathroom was clean and the sheets and towels smelled freshly laundered. We were at the back of the hotel so we overlooked other windows but this did not present a problem either as it was quieter than being street side. If you craned your neck you could just about see the sky so you were able to see what the weather was doing and dress accordingly. Breakfast was bagels, doughnuts and other carby things - buns, rolls, toast etc, but this was ok too. The staff were very helpful and pleasant. As this is in mid-town we did struggle to find restaurants other than Korean ones which stayed open late.	
Jan 11 2006	Don't even think about it	ok here's the thing,,the hotel is located in koreatownand that's not one of the things you would enjoy in nyc.the staff struggled with english, the room smells, very very very depressing, the TV set is like 50 years old,the room is so small, and the most horrible thing was the mouse traps, well i didn't see any rats around on my short stay, one night, but seriously there was 2 mouse traps in my room.actually i'm writing this review now while i'm stayingat the Hilton Times Square, after i spent 4 lovely nights with my girlfriend at the hilton's we were planning to stay 4 nights at stanford but after spending only one night there, we decided the hell with the budget and we went back to the hiltons.i wouldn't stay at Hotel Stanford even if they pay ME to stay.	
Dec 20 2005	Great value	Certainly not the Ritz, but the Stanford Hotel was clean, polite, and all about the location, which is at 6th and 32nd streets. We had a suite, typical New York, small but clean and well stocked. Located in Koreatown, we felt very safe on the streets, and had a blast with the manager of the jazz bar in the hotel. For the budget minded traveller, this hotel is definately a good find!!!	
Dec 8 2005	Great Stay	I was a little concerned on reading some of the reviews, but was very satisfied with this hotel. The staff was helpful--they immediately let me know a cheaper room was available, which I very much appreciated; I was able to check in early; and they stored my bags for me when I checked out. The room was small but clean and pleasant. (The view out the narrow window was disappointing, though. The window was dirty and looked out on a narrow gangway with no real daylight coming in. Also, the only room lighting is overhead, operated from a switch by the door, which is inconvenient and not very pleasant, either. It wouldn't hurt for them to invest in some bedside lamps.) The bathroom was good-sized, very clean, and looked as though it were recently updated, with nice amenities. (Here, a minor annoyance was the fact that the exhaust fan--which got quite loud--was activated automatically by the light and couldn't be turned off.) Breakfast was adequate to get you going. The room had a small refrigerator, which was also most appreciated (how about a coffee maker, too?) The elevator was slow, but I used the stairs most of the time anyway. And I couldn't have been in a better location: everything nearby, and as a woman traveling alone I always felt safe.	
Nov 29 2005	Worked well for us	We traveled to NYC from Austin for my birthday. My boyfriend had never been to NYC so I looked for somewhere midtown that worked within our budget. The location was perfect for us, we flew to Newark, took the train to Penn Station, then walked a couple of blocks to the Stanford. This also made going back to Newark easy. Empire State is right around the corner (a must for first time visitors; going there was too easy). Our room was a decent size, 11th floor, and was actually kind of quiet (a first for me while in NYC). It was clean and we had fresh towels both mornings. There was also a fridge where we kept drinks. We did not have the breakfast, but did stop by the pastry/coffee shop that is part of the hotel, very good. Also, if you like Korean food, this hotel is in the right place. I suggest seeking recommendations if you want to try a restaurant on the street (we were going to, just ran out of time). Overall I would recommend this to folks who are in NYC to see the city and plan on hardly spending any time at their hotel. The hotel staff (who were very nice to us) also held our luggage on Sunday since we had to check out before noon, but our plane didn't leave till 7:00pm.	
Nov 15 2005	OK but nothing to get excited about...	I stayed in the Stanford for 8 days at the end of October 05. To be honest, the prices in general in the area were quite high. The hotel room was basic enough. As others have said, the rooms could do with a really good vacuum! I had a small double room on the 7th floor. The bed was fine, and it was cleaned well every day. The fridge and the room safe were a big bonus. My window looked out on the Empire State Building - a nice thing to wake up to! Breakfast is a scramble (and not the eggy type!), so I generally opted to get something the night before in the Deli across the road and grab a coffee and a doughnut in the breakfast room. The hotel is really well situated in Midtown, and if you have your walking shoes on, you're within a few blocks of all the great sights. There is a subway station at the end of the street, and that gives great access everywhere. There was talk on other reviews about wireless internet. It never really worked for me, but the price, at $10 a day was a rip-off, so I took my laptop across the street to a little cafe on the 5th floor, where I could get my emails etc for $2. Staff in the Stanford are really pleasant and helpful. OK for the 'independent' traveller who doesn't mind a lack of luxury, but...	
Nov 9 2005	Don't stay here! Very dissapointing...	I stayed at the Stanford for 4 nights whilst in New York to run the Marathon. I was very dissapointed: the hotel is run down, my room was grubby, and the breakfast was poor (particularly by New York standards). I was not impressed by the staff either - customer service seemed to be a low priority. You can be liberal in your expectations about 'budget' hotels in Manhattan, but when I pay $950 for 4 nights accommodation then I expect more than the Stanford has to offer. Make the effort to look elswhere - you won't regret it!	
Nov 8 2005	Great value	We have just returned from four nights at the Stanford and had a great time. We were slightly worried after a few of the reviews but found everything more than satifactory. The location is fantastic and we felt safe and the staff were helpful. The room was large and the safe in the room was a plus. The room was slightly &quot;warn&quot; but more than ok. The edges of the carpet could of done with a good vacuum but couldn't really fault anything else. The free breakfast was fine although the room was a little small. You had a choice of hot and cold drinks, plenty of pastries, doughnuts, cereals, fruit, bagels etc. All in all great value for money. By saving on the cost of the hotel it gave us an extra £300 spending money each. Fab!	
Oct 29 2005	The Stanford Hotel A pleasant surprise!	My two friends and I just returned from a week's stay at the Stanford Hotel (girls week in NYC). We had some concerns about what our room would be like because of the price - very inexpensive for NYC!. We were delighted with our accomodations. The room size was more than adequate. We had two twin beds and a roll-a-way at no extra charge. The room was clean and the staff was very accomodating when we asked for extra towels etc. The room also had a small refrigerator which was an unexpected bonus. The price of the room included a continental breakfast every morning that was more than adequate to start your day. The location was great, an easy walk to Times Square and very close to several restaurants and an all night deli that carried all kinds of foods and beverages should you need or want hot and cold foods, bottled water, juices, fresh coffee,fruits and vegetables. The hotel is located very near the Manhatten Mall, Penn Station, the Empire State Building, and Macys. We felt very safe in the neighborhood surrounding the hotel and in the hotel. There are double locks on the room doors and the doorman does a very good job of watching who comes into the hotel. I would not hesitate to stay at this hotel on a return visit or to recommend it to a friend.	
Oct 26 2005	Loved Staying at The Stanford	We stayed here for a week and found the accomodations to be absolutely A-One for a budget hotel in Manhattan. Clean room with a clean, cold fridge and a huge, lit closet with a sizable safe inside, plenty of hot water and good water pressure to deliver it by. We had a room at the back with a view of the Empire State building (ask for a room on the B side of the hotel at the back...the A side looks out onto another building). Two minutes walk to a subway, central to everything. Cafe Muse, downstairs off the lobby, featured excellent coffee and amazing pastries, many Korean inspired, all delicious. Wonderful Korean and Vietnamese restaurants right outside the door, as well as a 24hr take out deli across the street. We never once felt afraid in this neighbourhood nor in this hotel. The Stanford beats the more expensive budget hotel, the Ramada East Side, that we stayed in last year, in every way. The staff were helpful, friendly and eager to please. Loved it and will stay here again, absolutely!	
Oct 11 2005	Skip This One!	We are a California family who stayed in Hotel Stanford's largest suite for a week in mid-September. The room's size was one of the few nice things we can say about it. It featured 2 double beds, a sofa sleeper couch, recliner chair, dresser, small refrigerator, and was plenty spacious for 4 people. The price was also right, but those benefits weren't enough to offset the negatives.Hotel Stanford is located in Little Korea adjacent to Herald Square. It is conveniently close to stores, a subway station, and many Midtown sights. Unfortunately, you will feel like you are staying in a Third World country, not just a foreign hotel. The neighborhood is seedy, smelly, and jammed with people....most of whom are NOT middle class American tourists! The hotel staff struggled with English and there was not the even the minimum amount of customer service that one would expect from a Motel 6. Next time we will know enough to stay in an American hotel with the level of service to which we are accustomed.The hotel is not handicapped accessible and doesn't try to be and there are no handicapped rooms. We had to routinely ask for the basic amenities such as soap and towels, and felt that the staff was looking at us like we were there to steal the linens. Our suite was shabby and not very clean with mold in the shower, that sort of thing. Some lights and things did not work. There was a nice tile seat in the shower though. The room had no coffeemaker, and the continental breakfast was a joke. In a week there we couldn't even get a hot cup of coffee, and there was no cream. We also found a cockroach in our room. I never saw an ice machine, but at least we were able to keep a pitcher of cold water in the little refrigerator.The worst problem, however, was the ventilation system. The weather was hot and humid the week we were there, and the air conditioning only worked in some of the rooms.....when they bothered to turn it on. When our first room had no a/c at all, they moved us to a different one, but every day they would randomly turn it off. The thermostats in each room didn't work, and the air seemed to be controlled somewhere on each floor. When the a/c was on, we got quite a bit of cigarette smoke from somewhere seeping in our room through the vents, but when it was OFF the smoke was even worse. It poured in through the vents so heavily that we could barely see across the room. All our clothes and luggage were smoke-damaged by the time we returned home. (We were supposed to be on a non-smoking floor, but their a/c didn't work on that floor.) Two of us ended up sick before we left, and I'm sure the poor air quality didn't help.I have stayed in old but lovely little boutique hotels in other American cities and in Europe. This was not one of them! This one was relatively inexpensive for New York, but had no class.	
Oct 6 2005	We loved this hotel!	I seriously can't understand why the last few reviews of this hotel have been so derogatory. Only weeks ago we stayed at this location for five nights and loved everything from the rooms to the location!The foyer itself is of a resonable size with helpful staff who seemingly know everything - they were even able to talk us through knowledgably setting up a wi fi connection for our lap top.The room itself was much bigger than we imagined with a lovely big bathroom, walk in wardrobe and modern decor. Also, the room safe proved to be invaluable as we could lock the laptop and tickets up whilst we were out and avoid worrying!Breakfast was nice - you could take your pick from a selection of bagels, pastries, doughnuts, cereals and even noodles with two juices, tea and coffee available to drink.The stairs were rather narrow but we did not find this problematic, didn''t even attempt to use the lift as we were in a room on the second floor.The location was amazing - a short walk to both the East Village and Times Square/Broadway/Macys and so so close to the Empire State! In fact, we ended up in Macy's most days we were there as a result of its close proximity!In short, a four star hotel without the pricetag. Friendly staff, great location, free breakfast and lovely rooms. Couldn't recommend more highly!	
Oct 3 2005	Good Location. Mediocre Tiny Rooms.	We stayed at the Stanford because we were seeing Paul McCartney at Madison Square Garden on 09/30 and chose the hotel because of its location to MSG, and because of the reviews on Trip Advisor were pretty good, compared to others in the same price range.Our check-in was smooth, however, the person at the front desk neglected to inform us that the following morning there was a Korean Festival taking place and if you parked on 32nd Street (which we did directly across the street from the hotel), that you would have to have your car out before 8:00am or you would be stuck there until 6:00pm when the festival ended and 32nd Street reopened.It wasn't until 12:30am after the concert, when we headed up to our room did we notice the plain white flyer posted on the wall stating that the street would be closed off. Not being early morning people, and had not yet unwound from the concert, we had no desire to be leaving prior to 8:00am so we ended up driving home at 1:00am that night . So we weren't real happy with the lack of information. We understand the hotel does not control street closures, however, the staff could have been more informative so we could have parked elsewhere and saved us alot of hassle. Needless to say, we paid $200 for a hotel room we basically only used to change clothes.As for the room itself, it is very small and not kept very clean. The bed was uncomfortable, the tv old and the fridge kept things luke warm at best. The towels in the bathroom were clean, however, the bathroom itsself was not and the tub was disgusting.The pictures of the room and bathroom are greatly enhanced on their website.If you are looking for a reasonably priced hotel with a great location and are only staying 1 night this hotel will do. For anything more than that, pay extra and get a nicer place.Lastly, I was a bit apprehensive about it being in Koreatown, however, there is a ton of activity going on and great restaurants at your doorstep. I never once felt unsafe. And MSG was literally 2 blocks down the street.	
Sep 29 2005	Hotel Stanford - Not awful not great.	The Hotel Stanford is very much a small budget place. It’s fairly conveniently located on 34th Street and Broadway and is right next to a subway station, Manhattan Mall and Macy’s. The delights of Times Square are a 10 block walk if you are suitably energetic or one stop on the subway. There are a couple of nearby bars such as Jack Dempsey’s on W 32nd which was pretty good and had excellent food but if it’s a wild night out you be better heading to the Village or up to Hells Kitchen for a better selection of pubs.The Hotel itself seems to cater for the Korean market as that’s who the clients seemed to be on the whole as well as a good proportion of the staff.The room was small even by New York standards and could probably do with a bit of basic redecorating. The linens and towels were clean and replaced each day. The in room facilities were basic but the safe was a welcome addition. The bathroom was functional and clean but don’t expect loads of fluffy towels. The air conditioning was not great and even at the lowest setting didn’t really get the room totally cool and comfortable, in fact it was even malfunctioning when we arrived and had to get the Front Desk to arrange for an engineer to get it going.The biggest minus for the room was the bed. A double in name but designed for a far smaller person. I’m 5ft 9 inches, hardly a giant and even I found the bed very small and narrow, but with another person in the bed it became very cramped and very uncomfortable.The Hotel was relatively quiet although we were at the end of a corridor and on the 9th floor, with a partial view of the Empire State Building. You’d still be better off trying to sleep using ear plugs as NYC never really gets quiet even at the dead of night.We didn’t take up the offer of the complimentary breakfast so cannot comment.In general I would say that the Hotel was basic and functional. Clean with so-so staff and fairly convenient if you want to explore New York as a tourist.The cost for the room was probably a little over the top for what we got but as with all budget hotels you take your chances. The low rating for this place is based on comparisons to better experiences in the past at other budget Hotels such as the Edison, Milford Plaza and the excellent Belvedere all of which were of a much higher standard than this place for only a few bucks more per night.	
Sep 27 2005	never again	Overseas visitors....stayed 10 nights.......ongoing problem with a/c....room too hot....a/c was turned off to accommodate other guests.......very little help from management.......had to ask for bedsheets to be changed after 5 nights......breakfast was a joke.......lift too slow......lobby smelt strongly of fish cooking in the restaurant....never would one find such distasteful accommodation in Australia in same price rangeOnce bitten very much twice shy.......put a damper on overall holiday	
Sep 19 2005	Great value	Three of us stayed at the hotel Sept 16-18. For $200 per night this hotel was a great value. We had a big room with 2 queen beds and a queen sleeper sofa. We had a view of 32nd st. below, which was better than a brick wall. The hotel is in the heart of Koreatown which provides for an interesting cultural experience. There is a great 24 hour Korean bbq directly across the street. We went up to the hotel's lounge to have a few drinks and were pleased with the friendly staff. Check out Cafe Muse right next door to the hotel for some great gelato and pastries. Great place to stay if you'd like to be near subway, Penn Station, Madison Square Garden, Macy's or the Empire State Building.	
Sep 19 2005	Wonderful Hotel	A friend and I stayed in this hotel last week and were very pleased. The room was tastefully decorated and very clean. Great bathroom, water pressure was good, the tub is large enough to take a bath. The location of the hotel could not be any better. Close to attractions and subway. The staff was friendly and helpful. I stayed in a twin room and the beds were a little firm and an extra pillow would have been nice. Great place to stay at a great price.	
Sep 13 2005	it was ok. but raise your voice!	i showed up at this place to have a one night stand. i know, totally. but the room they gave for the price was horrifying. i complained and got a better room, but there were still roaches in the bathroom and the overall vibe is pretty disconcerting.	
Aug 23 2005	Convenient clean good value	Nice location, one block from Penn Station, in Koreatown, with 24 hour Korean restaurant next door. Clean, quiet. I had an inside room with essentially no view, felt slightly claustrophobic with drapes drawn, but acceptable. A/c a little weak: could get insufficiently cool. Overall, for its price range ($150 - 175 approx), good value and much, much better than other nearby ones (Hotel Penn, New Yorker). Would unhesitatingly recommend it.	
Aug 20 2005	Basic but good	We stayed at the Stanford for 3 nights at the beginning of July and found it more than adequate for what we needed. It is in a really central location, only a few minutes walk to the Empire State building. The room was comfortable if not a little old fashioned, but reasonably priced. Breakfast was not much to write home about though! As mentioned in other reviews, the lift is very slow so don't be in a hurry to get anywhere!!	
Jul 17 2005	Great Place! Great Value	I stayed at this hotel for three days with my girlfriend. What a find!!!! The location is superb, close to everything. The room was immaculate and renovated. Very cozy and clean... For the price. this hotel could not be better. The furnishings and the atmosphere of this hotel seems like a 240 dollar per night hotel. What a gem! If you are planning a trip to NY and don't want to pay excess of 300 dollars a night, please go to this hotel, and you will be happy, and spend the extra bucks going out.	
Jul 1 2005	Rockin' Good Deal	I just got back from my trip and I had to write a review of the Stanford. I wasn't expecting anything fabulous, because this hotel was only 139.00 bucks a night, but boy was I happily surprised!Our room was small but very comfortable and clean. The bathroom was immaculate and the shower pressure was awesome. Our room was cleaned well every day and the maid staff was great. We had a bunch of channels on the t.v., a vcr, refrigerator, and great thermastat control in our room.We had a zillion questions about New York and the front desk staff was helpful and friendly on every occasion. They even remembered us by name. This hotel has 24 hour desk service and 24 hour security which was very reassuring. The hotel is super close to a subway stop and 2 blocks from the Empire State Building. There is a Walgreens, Bank, 24 hour deli, and Macy's within walking distance. Great location!The only drawbacks were a small and slow elevator and the lack of a view from our room. Our windows faced out to the brick building beside the hotel. If you're looking for a reasonably priced and clean, comfortable hotel choose the Stanford.	
Jun 18 2005	I Highly Recommend This Hotel!	I stayed at the Stanford for one week in June 2005 and I had all my expectations exceeded.The location of the hotel could not be more perfect. It's right beside a beautiful area called &quot;Herald Square&quot;, where you will find everything you need (including a pharmacy, Starbucks, Macy's, Gap, Manhattan Mall).A 10 second walk from the front door of the hotel will bring you to a NY Subway. A 2 minute walk will take you to Penn Station.THE HOTEL LOCATION COULD NOT BE BETTER!!!Then the room - I don't know if I just got lucky, but the room I had was just awesome. Huge, beautifully clean and perfectly decorated / furnished. Amazing air conditioning (it was 90' Farenheit outside every day of my stay, but my room was as cold as I could want!).You have a superb FRIDGE in your room, 30-channel TV and a VCR (which can be handy). The ensuite bathroom was just STUNNING - again, it was huge, and luxuriously finished.The staff could not be any friendlier - they are simply outstanding. The complimentary breakfast of freshly baked croissants, donuts, danish, bagels, fruit juice, cereal, coffee etc. is PERFECT and the charming dining area is overlooking busy Manhattan - it's superb.In the lobby there's a SUPERB cafe to buy great value and great tasting coffees for your room.Four years previous, I stayed at the similarly priced Pennsylvania Hotel which is just round the corner from the Stanford. There is just NO COMPARISON. The Stanford is worth DOUBULE the amount of what the Pennsylvania charges.If you are going to NYC for a visit - I say, don't risk disappointment, stay in an amazing hotel for a good price.	
Jun 7 2005	You get what you pay for	200 dollars a night is a good deal by Ney York standards yet it is still a lot of money so I expected to get what was promised. Their web page stated that they have newly remodeled rooms. The room I was in was so small, which is understandable but the furniture was so old and uncomfortable. The mattress was virtullay unsleepable and the bedding had cigarette burns on it. The rest of the furniture was at least 15 years old and in bad shape. The &quot;cable&quot;TV didn't even receieve CBS, FOX, NBC and ABC. Not to mention not even a movie station. The shower went from extream cold to extreamly hot like someone was flushing the toilet over and over. Next time to New York I will pay the extra money and get a decent hotel.	
Jun 6 2005	Week end in New York	Location is perfect (within walking distance from Penn station, Empire State building etc.)Room was quiet and clean but relatively small, staff was friendlyBreakfast (continental) starts only at 7:30am in a very small room. This is obviously an attempt from the management for minimizing the number of people having breakfast.We would definitively go back to this hotel	
Jun 3 2005	Fantastic hotel great location	Just a quick note to say if you are considering booking this hotel, then consider no more - book it!It's location is excellent, minutes from Times Square, Empire State and Broadway - Macy's is a stone's throw and the subway is at the end of the street and if you've never been to NYC before, then the subway will get you anywhere in the city with maybe only 1 or 2 changes of line - get your own subway map as the one's in the stations are few and far between.One final piece of advice for a first time visitor - there is a bus service from all 3 airports to Manhattan and back again which only costs around $20 return - get this as it drops at the Port Authority and Grand Central which should only be about $5 in a cab to the hotel - enjoy!	
Jun 3 2005	Great place to stay in Newyork	The rooms were very spacious... The bathroom were very clean... Breakfast was good... Location wise its a great place to stay in Newyork . Few minutes from Madison Square garden and Penn Station... Empire state building couple of blocks away .. Time Square a few minutes walk... Enjoyed our stay at the hotel... Looking forward to stay in this hotel if I visit New york in future.	
May 24 2005	Excellent value for Money	Stayed at the Stanford 5th March to 10th March, with the snowstorms... Excellent value for money with basic room but in the heart if Manhattan main attractions within walking distance...Hotel is situated on the edge of Little Korea. With Empire State Building two blocks (5Mins) walkway, including Macys around the corner. Times square 20Mins ish walk....which is hardly anything compared with all the walking you would do on this trip to NY. We actually managed to walk from the hotel to Central park and then around central park through to Jackie Onassis lake...With painful calves the next day....but there is no better way to experience new york, and the grid system of avenues and streets.Recommend gray line tours as can purchase a ticket which is valid 48hrs and included different loops and you can jump on and off the buses going the certain routes (Loops) around main attractions/sights....Back to hotel review...as said basic room but not spending that much time there really only to sleep and was extremely clean. bathroom was new and very nice. We didn't have a room with a view but then going to New York with High rise buildings there isnt really that much to look apart from other buildings. So if looking to go on a budget but to be close to the action then this is perfect	
May 24 2005	Great find!	Very clean, large room (Junior suite) with sitting area, but not separate rooms. 4 Messy adult women had plenty of room to scatter luggage and shopping bags. Staff very helpful. Breakfast (included) very good. Same items as sold in bakery next door - large selection. sweet rolls, breads with toaster, cereals, juices, tea and coffee. Wonderful location, safe at nite for getting out and walking, or walking back from theatre district.Advice: Take your own wash cloth and be prepared to wait for single elevator (but never too long as it ran quickly.) Also, turn left out door, right at first block (on corner) for best souvenir bargain prices we found.	
May 17 2005	Great Staff - Great Location - Great Price	Talk about a NY bargain. We booked a room with a queen size bed for the weekend. Since we don't travel often to NY we weren't sure what to expect at $149 however armed with other folks reviews I was confident that I wouldn't be surprised. Well even with the reviews I was still pleasently surprised. We were greated at the front of the hotel by the doorman who helped us up the 4 steps to the small but lovely lobby. Also present was a security officer who alternated being just outside the hotel and perched by the elevator. Not sure why he was there as I never did see any problems or cause for a SO. Felt safe and secure.Let's see....I had emailed to let the hotel know that we were arriving by train and that we would be in about midnight. When I gave our name at the front desk the staff knew about our email and asked about how our train trip was. The room was perfect at the price. Remember this is NY so space is at a premium. The room is just large enough to hold the bed, dressor, TV with enough space to walk around the bed to the bathroom. Unexcpected as a refrigerator in the room and a small safe in the closset. The bathroom sparkled as we walked in. This was exactly what we wanted. Clean, good price, and friendly staff. The only negative I could find was that at peak times there was a wait for the elevator. But this gave me an opportunity to say hello to other folks also waiting. After we got settled upstairs we went down to the lobby to Gam Mee Ok next door. Had a wonderful late night/early morning meal of fried pancake and a raw beef and vegetable dish that was quite refreshing. Rounding out our meal was really wonderful kimchi. Considering it was after midnight the place was totally full. Basically we really enjoyed the hotel and would stay there again. Great staff, great location, great price, and great dining options up and down the street. What more could you ask?	
May 11 2005	Great valuegreat location	We stayed at this hotel for 4 nights. Although room was small with no great view it was very clean and so was the bathroom. Continental breakfast was excellent. Lift took forever but apart from that we had no complaints. Hotel is also in a very good location. Subways nearby. Surrounding streets safe enough to walk about late at night. Would definitely choose this hotel on my next stay.	
May 10 2005	Fantastic hotel for the price. Very friendly.	I stayed at the Hotel Stanford for three nights at the end of April 2005 with two friends. It was a joint 'friends weekend getaway' and birthday celebration. We had two rooms (one with two doubles and one queen). We found the rooms to be quite spacious and clean - a very good deal for the price. The staff were very friendly and extremely helpful - expecially when I left my purse on the subway (long story - but I had it returned with everything in tact - New Yorkers really are helpful and friendly!). The excellent location really adds to the value of this hotel. It is right around the corner from the Empire State Bldg on one side and Broadway on the other - and a subway stop is about 20 steps from the door. The included breakfast is a nice touch but we didn't partake since real New York bagels and coffee are right around the corner. I would definately recommend this hotel and will not look elsewhere on my next trip to NYC!	
Apr 11 2005	Great Value and Clean Comfortable Room!	Stayed here for 2 nights at $130 per night. Room was very clean and bed was comfortable. Continental breakfast was very good compared to most hotel continental breakfasts. Staff was fairly friendly compared to other NY City Hotels I have stayed at. Wish they had a second elevator, but the wait wasn't too bad. Great Location!!	
Mar 6 2005	Excellent Value! Excellent Location!	I must say that I really enjoyed staying in this hotel. The location is excellent, I actually could see a part of Broadway from my window. The subway is just a few steps away. The room was big and the hotel management kindly allowed us to stay 4 adults and two children in the same room making this hotel an excellent value for us. Our room was clean and had a fridge which was good to cool soft drinks in.The breakfast which is included in the price was nothing special - bagels, corn flakes and doughnuts, but satisfying enough. The hotel staff let us leave our luggage in the lobby after check-out even though it occupied alot of space. All in all I was very pleased with Hotel Stanford!	
Mar 2 2005	A great deal	Just got back from staying two nights at the Stanford. What a great little find in the heart of NYC. I traveled alone so I only needed a single. The room was a decent enough size for one person, but what impressed me the most was the cleanliness of the place. Not a speck of dust anywhere, the bathroom was spotless, and the furnishings, though not modern, were clean and comfortable. I even had a refrigerator in the room--something I've usually paid extra for in more modern hotels.The neighborhood is fine, just across the street from the Empire State building, and within walking distance to Penn Station and subways. As a female, I felt safe, even walking around at night. It is a busy area so there are always tourists about.No room service or big restaurant attached, but there are plenty of places to eat all over the neighborhood. Certainly can't be beat for the price and location. I will definitely stay there on future trips to NYC!	
Feb 28 2005	very satisfied	I was very satisfied to Stanford Hotel. It was clean and frienly. The room was not even so small that I expected. It was a good place to sleep in New York and the price was okey. I will recommend this hotel.	
Feb 26 2005	Great Location	Stayed here 9th Feb thru 13th Feb 2005. This hotel is in a great location for first time visitors who want to see all the attractions in a few days. The rooms were clean and average sized. The only downside to it was the size of the windows, they were tiny and this meant the rooms were very warm.Staff were exceptional! Helpful and courteous at all times. If I was on the same budget (£80 per night) I'd stay here again.	
Dec 16 2004	Great hotel	This is a great hotel and I would recommend it highly to anyone travelling to New York. I shared a triple room (one queen size, one king size bed) with 2 friends - the room was clean, tidy and spacious. The complimentary breakfast was also a definite bonus, and the staff were friendly, helpful and accommodating.However, the best thing about the Hotel Stanford is its location, extremely close to the Empire State Building, Macy's and excellent shopping on 34th St. There is a Subway station almost directly outside and plenty of eating places nearby.I would definitely stay here again - incredibly good value for money.	
Dec 1 2004	Clean basic rooms - good location	This was our 2nd stay at the Stanford &amp; we are already considering booking our 3rd. The hotel is basic. The rooms are clean. We had a twin room - plenty of room. Our friends had a double room along with a sofabed. The rooms had tv, video, hairdryer, alarm clock, telephone, ensuite bathroom, safe. At the end of the day we would rather spend money on our entertainment rather than a luxurious hotel room that you spend very little time in.	
Nov 18 2004	great location and value for money.	four girls on our first visit to ny. the hotel room was excellent, large and kept clean. we had two kingsize beds which were comfortable with the maid tidying daily. we did have to ask for four towels daily as they only left two but they did so after we left a note. the only inconvience was that the room remained very warm at all times. the lobby staff were also friendly, helpful and very courteous. the inclusive breakfast is another plus and adequate to get you off to a good day.couldn't ask for a better location, with metro on your doorstep and penn station a 3 min walk as well. shoppers will be delighted with the position, macy's and empire state building within 2 blocks. the hotel seems to be located in a korean influenced street. would definetly recommend for those who want a relatively inexpensive hotel that is comfortable and has a great location. would use this hotel again.	
Nov 9 2004	Good Choice	We were two ladies going to New York for the first time. I reserved the room at Stanford after checking prices, location, etc. We were very happy with the choice. For those folks whose reviews were not positive, I can only say that you expected too much. This is a nice, clean, friendly place, close to many attractions and subway. The room was small, which we expected. We left the window open for awhile to cool it off, the thermostat was not working properly. The free breakfast was everything we could want: bagels, toast, donuts, cereal, fruit, juice, coffee and tea. We will stay here again.	
Oct 25 2004	only if price is your main concern	I did not stay here, but I want to look at a room this past weekend, as I had resrvations for an upcoming weekend in December. I was very disappointed upon looking over the room, it was a good size, and the bathroom did look very new and clean, but overall the Hotel was run down, and much more appropriate for college students on a budget, rather than 4 women on a relaxing shopping weekend. Even for the $259 rate for a suite, I could not bring my girlfriends here to stay, as they are spoiled from our recent stay at the San Carlos, and prior to that the Muse, this Hotel is no where near the quality of those, so now I am booking another Hotel for that weekend.	
Oct 19 2004	Very convenient location decent hotel for the price	Very convenient location. With the Empire State Bldg and Macys just minutes away, and drug stores and supermarkets just downstairs we cannot ask for more for the price we pay for an October stay in Manhattan ($149/night for two twins). The rooms were relatively clean and of decent size and quiet in terms of traffic noise but the cleaning maid kept talking right outside our room early in the morning and did not refill our toilet paper of tissue paper, so don't expect too much in terms of room service but the staff in the lobby were very helpful and courteous. The complimentary breakfast was a plus too. We hardly stayed in the hotel anyways so definitely would stay here again if money is an issue.	
Oct 18 2004	KEEP LOOKING	You get what you pay for here. We weren't expecting much and we got exactly that. The rooms were too small, no a/c, no room service, mediocre breakfast and our room also looked into a brick wall.We left and went to Doubletree. I will give them a clean bathroom.	
Oct 9 2004	Stay away	We checked into this hotel for 4 nights at the end of Sep't. We weren't expecting much for what we paid. It was $594 and this was a reasonable price. We decided to stay here as it included breakfast. The location is fantastic, right opposite Penn Station and walking distance to Empire State Building. However the hotel itself is a joke. We dont usually expect much and have always gone along with the theory that if it is clean then anything else is a bonus. Well it wasnt clean-it was mucky, dirty and there were things that the previous guests had used that hadnt been disposed. The service was even worse. First we requested the room be cleaned 3 times-this was never done. We also got a room with the view of a brick wall-and were advised all double rooms faced this way so there was no point in changing. The lights in the room kept blowing and they were never changed. And to top it all the air conditioning didnt work so we were kept awake in 80 degrees heat. So we hardly slept for 4 nights. When we informed them of this they said they would fix it but never bothered.I urge you to never stay in this hotel. I am so surprised at the positive reviews I have read about it in this website, I cant believe it is the same hotel!	
Sep 27 2004	Location location location	My wife and I stayed at Hotel Stanford in June of 2004. It was the perfect location. The subway, for two different lines, was less than a block away. You can get around all over Manhatthan with an allday metro pass for only $8. We took the Amtrak from new york and it is only 2 or 3 blocks from Hotel Stanford. The hotel itself was fairly nice. The rooms are a little small, but quiet. The staff was fairly friendly also. If I got back to New York, I wouldn't mind staying at Hotel Stanford again. There is also a little .99 store by the hotel to pick up anything you forgot or need to snack on.	
Jul 14 2004	A nice hotel to stay	It is a nice hotel, great location. My parents, my daughter and myselft booked a room with sofa bed, room is not that big but it is clean and bathroom is clean too. the complementary breakfast is very good too.i would stay there again!	
