	location is everything	i will agree with some of the earlier posts ,The decor does look slightly tired ,It could possibly do with a facelift ,BUT the location is superb ,the view of central park is spectacular,the subway is 2 minutes away ,as are 5th and 6th avenue.times square is 15 minutes walk as are the rockefeller centre and empire state building .A great alternative if you cannot afford the Plaza ,Ritz or Trump ,overall good value for money.	
Aug 24 2005	Pleasantly surprised!	Glad I didn't cancel due to negative reviews! Wonderful stay! Our party had 3 rooms booked for 3 nights on 3 different floors..........all very clean, nice views! Yes, a little outdated and worn but just can't beat the location AND our price [booked 4 months in advance]. Staff was friendly and helpful with all of our many questions! Purchased Gray Line tickets directly from concierge- - - carriage rides AND Gray Line pick ups right across the street!	
Aug 4 2005	Rubbish hotel	We stayed here in June this year and I can honestly say that the only decent thing about the hotel is the close proximity to Central Park. We has reserved a non-smoking quiet room and had arrived late from a flight from London, and were dying to get some sleep, and were horrified to find that it took about 20 minutes to check in at the desk owing to the incompetence of the reception staff. For a start, they were rude, and arrogant, and totally unprofessional. The man we initially spoke to at the check in desk was unhelpful and merely passed us off onto another man, who then seemed to totally ignore us then eventually after about 15 minutes (without speaking) gave us our key to the room! What a joke. The room was no better, we didnt get the quiet room nor a non-smoking room which was ridiculous and we were really frustrated at this point. The room itself was small, and not what you would expect for the money that you had paid. The rest of the staff were equally unfriendly and made you feel uncomfortable during your stay. Sorry, no redeeming features, only Central Park!	
Jul 22 2005	Getting away with murder	I have stayed in this hotel five times in the last ten years. It has gotten worse, for reasons most likely related to the management and onwner-occupied suites on the upper floors. The female concierge is aggressive and offensive. At my last trip I complained about the broken locks, cracked tub, etc. The man at the front desk actually said, &quot;That's the kind of room you get if you book through a hotel consolidator.&quot;This hotel needs to be updated, and the staff needs to understand that travellers, especially to New York, Central Park South, expect to be treated in a decent manner. I will never return to this hotel, unless, of course, it is upgraded, and a change of ownership occurs.It doesn't matter if you get a decent rate -- it's not worth the con! Plenty of hotels exist in similar price ranges, with properly furbished rooms, and pleasant staff.	
Jul 17 2005	No complaints here!	I had read some poor reviews about the hotel so I was a bit trepidant but we had a great stay there. The location was perfect - right on Central Park and right beside a subway station. The room wasn't spectacular but it was clean and pretty and air conditioned. Room services prices were (of course) outrageous but there is a little cafe right next door to the hotel on 58th that has great coffee, breakfast and snacks. Ladies - just send your partner out to bring back coffee and breakfast while you shower! We worked out at the gym and found that while it wasn't hugely top of the line it was adequate enough for a good work-out. I would definitely stay again.	
Jul 13 2005	Horrible!!!!	This was the worst experience I ever had in any one hoetel...EVER! If I could give it a zero I would. I had booked three nights, but checked out after the first night to go to a real hotel. The staff (and manager) were rude and unorganized. They didn't keep the room that my wife and I had requested. We wanted an upper level room that was non-smoking with a king-size bed overlooking the city. We had a late check-in and they failed to reserve the room for us that they had promised. They said they could give us a room on a smoking floor and spray some Lysol in the room! Are you kidding me! Besides that the decor was dated and quite offensive to my wife who is asian.I would not book this hotel unless you are really desperate. There are so many choices in New York. If you want to feel miserable stay here.	
Jun 20 2005	poor service high price	when i made a reservation for this hotel it was a member of the leading hotels of the world. So i was sure to find a very good hotel and service. The hotel is very old, the bath is little and the service very poor. I bought 2 hamburger without any drink with room service and i paid 100 dollars! The staff was absolutely not friendly. However, the position is very good.	
Jun 16 2005	Great Location	Great location across from Central Park.; easy access to subway, Rock Ctr and Times Sq. Mickey mantle's is right next door. It is a lot quieter than staying on Time Sq, but not that far away( and you don't spend half of your weekend waiting for an elavator). The refrig in the room was a nice convenience. The rooms are a good size, with a closet. It is about time to begin remodeling the rooms, but far from &quot;run down.&quot; I think this is a good value for the price and we are staying here again this year.	
May 26 2005	Far from a four star Hotel	The only thing we can say good about this hotel is the view &amp; location was awesome. However the staff was rude and completely unprofessional. The place really needs a makeover. I would never go back to this Hotel.	
May 23 2005	I Love NY	This was a great hotel for the price. When you compare the outrageous prices in NY, the rates at the Parklane are reasonable. (still a little pricey for an older hotel) Location is everything in this city and really its location is great!!! Its next door to the famous Plaza hotel and across the street from central park. For those high end shopper its also next to 5th Ave shops (bergdorfs, Tiffanys, prada...you get the idea). Its location made it easy to get to everything. The subs are right there, cabs, even the carriage rides start from in front of this hotelThe hotel itself has a gaudy-80's feel to it with golden banisters and red carpets but it is very clean and all you really need. It would have been very glamorous in the late 80s. Although. Our room was very small (normal in NYC) but we didn't spend much time in it anyway. The city is filled with so much to do that we really only were there to shower, change and sleep. We found a great little deli up the street which we grabbed coffees and bagels at every morning. There was no shortage of places to eat around the hotel. The room was equip with Internet and the TV channels told you everything available in the city and where to find it. I liked that the hotel gave us a map which made it easy to get around. I was happy with this hotel. Its not the plaza but its decent, clean and affordable. The staff at this hotel was friendly and helpful. I don't know why people say New Yorkers are rude because everyone was friendly and it felt very safe. It was an incredible trip and the location is often seen in movies and on TV. I would stay there again.	
Apr 29 2005	Out of the 40's	My daughter and I stayed at the Helmsley across from the park and had a fine experience. We arrived about two hours early, imagine, no traffic in NYC! We sat in the 40's, over decorated, restaurant until our room was ready, two hours later. That was our fault, as we did get there early. They did offer us a &quot;smoking room&quot; with one bed, but we opted to wait on the one we reserved for the weekend. We had a very cozy and private spot in the restaurant with comfortable high back chairs and a lovely view of the park. The service was wonderful. I had tea and a small cup of asparagus soup, as we ate before we got there, and they brought out the most delicious warmed bread basket with a variety of homemade treats. Location was excellent. It's directly across the street from the park and two blocks from FAO Schwartz. The subway was also two blocks away at Columbus Circle and we took it everywhere. We ate on the north side and the west side of the park and the hotel was in a most convenient spot. We were also able to walk to the show we saw. (Go see, WICKED!) The staff was more than courteous. When we arrived in our room, the room was clean and the bathroom was fine. I really don't think they’ve decorated since the 40's. Mirrors and gaudy red and gold wall paper everywhere, with a flat screen, plasma TV &amp; a computer hookup as well. That made me laugh! It’s extremely over decorated, with the triple molding in gold leaf everywhere. I think when they finally did do some upgrading, they just put MORE MIRRORS up! I believe it’s all French provincial. I really didn't mind the decor as we were most interested in LOCATION and CLEANLINESS! The tub was a bit yellow with spots of mold starting to grow and the drain was not working. I called for the tub to be repaired and it was completed in 20 minutes. The alarm clock didn’t work and the phone made a rattleing sound when we used it, but we were on vacation and really didn’t really care anyway. That made us laugh. All in all, I would go there again, the price was right for $190.00 a night.	
Apr 17 2005 	Not a Leading Hotel	We stayed here for several weeks in summer 2003 while renovating our NYC apt. Hotel falls FAR short of other midtown hotels (which we also spent time in) - uneven cleanliness, horrid decor (we tried several rooms since had booked a lengthy stay in advance), poor service, motel atmosphere in lobby. Can't imagine any reason for staying here unless every other three-star hotel in town is booked.	
Apr 6 2005 	Don't book your boss here!	A plywood enclosure for the reception/check-in area, holes in the walls of the room, rusty bathroom fixtures ... other than its location I can find no saving graces for this property. Certainly NOT what you'd expect of a 3.5 star hotel. I made the mistake of booking my boss's daughter here ... you can bet I won't make the same mistake again!	
Apr 5 2005	Loved the hotel	I had a wonderful time with my wife and 3 year old child. The staff was wonderful, the rooms were a little larger that you expect for a New York hotel. I would definitely return time and time again. I got a really good deal when booking online 3 months in advance at helmsleynewyork. I reccommend this hotel to anyone traveling to New York for business or pleasure that wants to be in the heart of it all and near Central Park and Times Square.	
Apr 4 2005	RED ROOM! RED ROOM!	First checked into a garishly decorated very Blood Red Room!! It was quite scary!! Moved down the hall to a room with beige and blue which was much easier on the eyes. Carpet was dirty as well as the tub. Had a large flat screen TV which was nice but a bit difficult to figure out. Internet access seemed to be constantly down or having technical difficulties but tech support was very helpful. My second room was a good size even for NYC standards. The location of course is great and not bad price for the neighborhood. Once I moved out of the red room and tipped the maid everything else was pretty smooth. It was okay. I might go back just not to the red room!!!	
Apr 1 2005	do not stay at this hotel	we stayed in the Helmsley park land on the 26th december 2004.On arrival of an awful flight we were greeted by the hotel staff at reception.They seemed quite nice but when shown to our room I was shocked, this is not a 5 star hotel as quoted by virgin holidays. This hotel is just about a 3 star . I took my daughter and my sister as a christmas treat, and from start to finish this hotel got worse and worse. The hotel room was shabby and worn, dirty bed linen and towels were not nice either, wires from the lights were hanging out the walls, the t.v was very old on its last legs, wallpaper and pictures were very shabby. I have to say the location is fantastic but pay the extra money and stay at the plaza, where we had afternoon tea, which was really something else.The city views were wonderfull but thats about it. This hotel needs total refurbishment even down to the toilets and reception.If your bugeting your holiday it's not badly priced but, i would not stay at this hotel again. Room service was a joke 3 times i asked if we could have 2 hot chocolates and 1 coke, and then the tray was still sitting their the next day, even when we ordered some food through room service it took forever and was very poor and stayed in our room till the next day, even though i rang 4 times to ask for the table to be removed. And as far as tips were concerned they expected something for just directions! As i said stay at the beautiful plaza hotel 4 doors along we wish we had.!	
Mar 30 2005 	Great location but hotel needs an update	Stayed at the Helmsley for a meeting. I was glad I did not spend my own money for the stay. No specific problems with the hotel, but it is very much outdated and in need of a renovation. Room was clean, shoe shiner was a nice touch, flat screen tv was nice, but looked out of place with the decor.Size of the room was disappointing for the price paid. Bathroom sink water pressure was low, maybe due to the sink draining slowly. I have stayed at less expensive hotels with larger and nicer accomodations. Breakfast in the restaurant was expensive and while the food was good the quality was no better than a diner. Maybe I am being to critical, but I was expecting better.	
Mar 28 2005	Stay here only for the location	It's right on Central Park South (59th St.), between the Plaza and Ritz Carlton. And that's about all that's good about this hotel. The hotel is hopelessly outdated and garishly decorated. The hallways have peeling, scratched (by luggage carts) wallpaper, hideous carpet and crooked mirrors (even the damask fabric lining the walls of the elevator was peeling off). Hard to believe this is a member of The Leading Hotels of the World. My suite on the 33rd floor faced Central Park -- but it had purple carpeting and a silver (spray painted) baroque framed upholstered headboard. Flat LCD tv received only a handful of channels -- the old, conventional tv still sat on its plastic stand next to the desk. Outdated bathroom -- hair in sink and tub upon checkin. The room was heated to 77 degrees when I checked in -- way too warm. If location is the most important thing and you can snag a great deal, this might be the hotel for you -- but I won't stay there again.	
Mar 25 2005	Great Hotel in a great location	Stayed here with my girlfriend recently and was really impressed - the location is absolutely excellent - just off Fifth Avenue and a two minute walk into Central Park. Although the hotel decor is not to my taste - a bit 1930's, everything was really clean and the service was brilliant. We got a rate of just over £100 a night for a double room - which is brilliant value for NYC. Our room had a partial view over the Park and had everything you need for your stay.Would definitely stay here again and cant understand any of the negative reviews on this site!	
Mar 1 2005	terrific weekend!	Stayed here last weekend to see the Gates in Central Park. Found the best room rates here by calling the hotel directly, better than on Expedia, etc,and helpful also because it was important to me to guarantee a view of the park. (be advised; they don't send confirmation unless you ask for it - that was a bit unsettling) And what a view! What people say here about peeling wallpaper, etc, is true. The rooms are not kept up well. However, the linens were clean and fluffy, the beds satisfyingly firm (and a king size - yeah!), the shampoo was by Neutrogena, and the hot shower had great pressure and heat and staying power. I made my bathroom into a spa; no wonder the wallpaper is peeling!They have just upgraded to flat-screen TVs and it's not working well. They have a very nice tech guy to address the problems but it seemed overwhelming. Just as well; I didn't want to turn away from the view out the windows anyway.Best of all, we were treated with wonderful courtesy by the hotel desk clerk. We arrived at 10 am after a red-eye flight from the West Coast. Though rooms would not be available until 3 pm, the lovely clerk saw my exhausted little boy and found a vacant clean room for us anyways. She made all the difference in the world to our trip, and for this reason alone I would return here, and the wonderful hot showers and priceless view and location are just bonus.	
Feb 25 2005	Still the "Queen of Mean"	Owing to a family emergency, my partner, who made the reservation through Expedia, couldn't arrive the same day I did. We started trying to change the name of the reservation two days earlier. When I arrived, nothing had been done. The reception staff were surly and unhelpful, making it clear that my problem was not their problem and that they would rent the room to someone else pretty soon. After about an hour of telephone calls to Expedia and the hotel (which wasn't answering) the manager finally accepted the change in name on the reservation, saying &quot;It's not our policy, but I'll do it for you.&quot; even though we had been told for two days not only that it was possible but that it had been done (including by a member of the hotel staff). At first, I thought I'd picked one sour apple from the barrel, but an overheard conversation in the elevator made it clear that another family had a similar problem (a check misplaced by staff followed by plenty of unhelpful attitude). The room was in so-so repair (leaky faucet, nonfunctional thermostat). The maid on the floor, however, was friendly and helpful. The view was terrific.	
Feb 11 2005	Brilliant	My boyfriend and I stayed for a week in the Helmsley Park over New Year. The hotel was perfect, check-in was very fast and we were given a choice of rooms good view/smaller room or poor view/bigger room. We chose the first option but were told we could change the next day if we wanted to. The room and views were both fantastic. The staff were always helpful and friendly, our room was cleaned everyday. The safe did not work initially but was fixed within minutes. We ate in the hotel restaurant, which was expensive for our budget but worth it.   Having orginally booked the Hotel Penn for our stay we changed because of the reviews on this site and it was worth every penny. 	
Feb 10 2005	Horrid Four Nights	Stayed in January 2004 for 4 nights only to find this supposedly 4 star hotel really only should have rated 2 stars. Bathrooms were small, old, and in great need of retiling due to &quot;grunge&quot; instead of grout. Found blood stains on sheets. We contacted management and although they compensated with two free breakfasts...it was in their stuffy, creepy, and overly priced dining room. We would never stay again even though the location is fabulous. 	
Jan 31 2005	Garish decor but great location	I stayed at the Park Lane in January 2005. It can be an excellent value for a NYC hotel if you avoid peak holiday rates. I paid just $179 a night for a 25th floor room with a city/partial central park view. I have stayed there before and paid less than $300 for a full park view. The location and views, combined with reasonable rates, make this hotel a good value.The decor is garish. Too much gold, mirrors and chandeliers make it feel more like a casino or fancy ball room than a hotel. But the furnishings, if in questionable taste, are nevertheless of high quality, clean and well maintained.Check-in service was a bit frazzled, but the bellman and room service were first rate. You won't be disappointed if you pay under $200 for a cityview room or under $300 for a park view.	
Jan 30 2005	Poor hotel considering it's four star status	Most unimpressed with this supposed four star hotel. I expected luxury and elegance and was sadly disappointed. The place looked tired, grubby and in need of a facelift. The pushy bellhop gave me no choice but to take my bags and stood waiting until I gave him a tip and then walked off without thanks. The check-in staff were unattentive and seemed somewhat overworked running all over the place. I would not recommend this hotel to anyone and find it unbelievable The Plaza is in the same class as this when they are clearly worlds apart. The location is great but that counts for little if the hotel is poor. The bathroom looked like something out of a 1970's motel with peeling watersealing and melamine sink surround	
Dec 31 2004	Great Hotel Excellent City	I stayed here between the 18th-22nd of december 2004, and thought that the hotel was great, its in an excellent location and i found the staff to be very helpful. I paid top dollar for the room, but what a room it was, i stayed on the 33rd floor in a large room with a kingsize bed and a view over central park, the view is what made it so special as i took my girlfriend to NY to ask her to marry me. Come monday morning there was 1&quot; of snow covering central park, where later in the day i purposed, it was spectacular. Granted the room needed updating but everything worked including the thermostat. To be honest all i wanted was a romantic view of the park and a warm tidy hotel room, i mean who goes to new york and stays in their room all day.the room was cleaned twice a day, and i could not fault the hotel service.	
Dec 20 2004	3 Star overall / overpriced.	Are you familiar with the concept of grade inflation? I have a theory that the concept is also is at work regarding NYC hotel rooms, with most hotel grades inflated by 1 star. In other words, a 4 star hotel would be considered equivalent to a 3 star hotel in another city; a 3 star equivalent to a 2 star and anything below that we probably don’t want to talk about. If you looking for a one sentence summation of this hotel, it reminds me of a Hilton or a Sheraton, which to me are solid 3 star hotels. In another city, this hotel would be acceptable for a 1-3 night business stay, but not for a special occasion or if you have a need to impress clients.My wife and I stayed at the Helmsley Park Lane this past weekend for a little getaway, without our children. I have to say that the multiple reviews posted on this site were accurate. We chose the hotel based upon location and through Internet research, so we had an idea of what to expect. We paid a Christmas season price and at that level, do not think that the hotel represents a good value. We had a city view room, on the 42nd floor. The view was looking east and in the early morning sunlight was quite nice. Our room was clean and reasonably sized (for a room in NYC). The bed was comfortable and the sheets had a nice feel to them. The décor was dated and fraying around the edges; chipped paint on a few pieces of furniture and snares/loose threads on chair fabrics. It is ironic that people pay a premium price to purchase newly distressed furniture yet when this hotel renovates, you will likely be able to get real “distressed” furniture for cents of the dollar. The bathroom was fine with hot water on demand and excellent water pressure. The towels were rough and thin however and could certainly stand to be replaced. One of my pet peeves regarding hotel rooms is the shower curtain. In most cases (Helmsley included), there is no way to secure the inner liner such that water does not end up on the floor. Our room was equipped with a flat screen TV. The remote control was weak so that you had to be within a few feet of the screen and directly in front for it to be effective. The picture was not very good either. Then again, the TV was on for a total of maybe 40min during our stay (checking the weather and making sure that nothing much had changed in the world). The heating/ac system was another matter entirely. Our room felt like an oven when we walked in. I turned the thermostat down to 50 and opened the widows (2 windows in our room could open ~6inches each). There was no way to turn off the heat. I called the front desk and was told that the heat had been turned on for the hotel, but they would see what they could do regarding our side of our floor. We went out to a late dinner and when we returned we noted no change in temperature. Oh Well…. By the next morning, according to the thermostat thermometer, the temperature was ~77, where it stayed for the remainder of our visit. At the price we paid, it is simply unacceptable not to be able to regulate the temperature in your room.On the other hand, basic hotel service was excellent. We noted that the maid service cleaned rooms twice per day and that was a pleasant touch. Check in and Check out went smoothly and they were able to accommodate our request for a room with a view, on a high floor. The elevators were very fast and even though the hotel was almost completely booked, we never had to wait more than a minute or 2 for an elevator to arrive. We didn’t try room service so cannot comment on that. It was nice to receive a copy of the NY Times each morning, instead of the generic USA Today or something like the Daily News.Overall, a 3 star rating. If you can book this hotel for a discounted rate (say under $175/night) then you are getting a good value for a NYC hotel room in a desirable location. Spend any more than that and you will probably not be satisfied.	
Dec 16 2004	Helmsley park lane	The hotel was very nice but the people that worked there were extremely rude. After spending thousands of dollars there, they refused to let me eat a bagel in the lobby and said i had to leave. How pathetic.......	
Dec 14 2004	peeling wallpaper boken toilet seat	Over priced, over crowded, poorly maintained. Tourist trap, definetly not worth the money. I have stayed in motels with a better bathroom. After paying over $300 for one night they had the nerve to charge my credit card for incidentals we did not even use. An all around disapointing experience. Not recomended!	
Dec 13 2004	Only the little People pay high prices	I stayed at the Park Lane Hotel Last Weekend. I will tell you this, I am not made of money, the value was excellent for a leading hotel of the world. The Staff was friendly, and responed quickly to all of my requests. The location was the cream of the crop. The rooms are not dirty, just &quot;old&quot; in style. however you can tell the items in the room were very expensive. Lets get real if you are traveling to NYC to hang out in the room, why not rent a room in your own town? Although it was not a hotel that reflected my personal style, i found the room large with an awesome view of Central Park which I will never forget.	
Dec 6 2004	Great Location but a Little Worn Round the Edges!	As many reviewers have already said, the location of this hotel is fab! Very close to most things recommended to see for a first trip to New York. (NB subway nr. hotel shut at weekends!)However, a good deal of investment is required to update the old fashioned and tatty furnishings, particularly in the bedrooms. Ours was very shabby, but very clean with lovely crisp white sheets and fluffy towels! Its decor/general maintenance did let it down badly. We requested two single beds when booking, and then e-mailed the hotel a few days before arrival to stress the point again. We were told it would be no problem. On arrival, guess what?! We had a double bed only!! Great for a married couple etc etc but not 2 ladies on a New York shopping spree! We ended up having to have a fold up bed in the room, which was not the most comfortable in the world!Harry's Bar was tiny, but served great Cosmopolitan's and staff were efficient and pleasant. May well return, but because of the old fashioned/fusty furnishings we will investigate other hotels in the area before we book!	
Nov 19 2004	Not worth the money	Stayed at the Helmsley Park Lane from Nov. 5-10, 2004 for the NYC Marathon. The hotel is very average with really lousy concierge. The location is good, however, in speaking with others, I would have spent the extra $25/night and stayed at the W Hotel in Times Square. We paid $300/night for a very average room...should have been $169/night. Would not stay there again.	
Nov 9 2004	Best Location and Spacious Room	I stayed twice at the Park Lane. Once in July, 2003 and July 2004. I thought it was a terrific value. I was born and raised in NYC and drove a cab my last 2 years of college and I can tell you that this is the very best location in NYC. Close to everything especially Central Park which is right across the street.Yes, the funishings in the room are some what dated, but the room was clean and very spacious.The lobby is small and is not a place to hang out. But, this is NYC so the focus should be on getting out and enjoying the greatest city in the world.I found the staff friendly and helpful.Something To Consider: If you are going to eat at any NYC hotel restaurant expect to overpay for a meal of equal or less quality than a randomly selected restaurant on the street.	
Oct 25 2004	Good location but needs a facelift	Just returned from a three night trip to NYC. My husband and I took our teenage children. Had read the many comments on the web site, so I pretty much knew what we were getting. Made me very mad we had to have two rooms, even though both rooms had two double beds - one would of been enough. The clerk said it was a NYC law that we couldn't all stay in one room. It is a wonderful location. However, our heat was broken and even though we complained, it was never fixed. It's a shame with such a great location, they don't upgrade the rooms.	
Oct 20 2004	Awful Awful Awful	Lobby is dumpy, with no place to sit and piped in Sinatra. Concierge knows nothing, and is usually away from desk. Promised room on hight floor. Room was on low floor and faced an air shaft. Bathroom water stained. Rude at front desk.Maybe if you get a view of the park you can forget about everything else that is lacking	
Oct 12 2004	Fantastic place to stay!	My Fiancee and I have just returned from New York this morning, having spent a few nights staying at the Helmsley Park Lane. What can I say about this hotel, Fantastic! We loved the place. The location cannot be beaten. You have a subway station located right across the road, or just around the corner. You are right across the road from Central park. We didnt pay the extra for a park view room because we figured we wouldnt be spending a lot of time in the room. However as we checked in the receptionist informed us that the room we had been given, (on the 36th floor) had a split view, partly of the city and partly of the park. The view was fantastic! The room was extremely comfortable, grand decor, but not signs of wear and tear as other reviewers had noted. The rooms were clean, and of a good spacious size, and so were the bathrooms (great water pressure in the shower). And as for the staff, they couldn't have been nicer, from the moment we arrived we were made to feel welcome! If you visit New York my advice would be to stay here. And if you do you must pop down the block to the Plaza for cocktails in their bar, fantastic!	
Sep 15 2004	great city great hotel great holiday	Stayed in the helmsley park lane in july for a week, and thoroughly enjoyed our stay. Hotel room was very clean and tidy, large and spacious, with all the comforts you would wish for. the bathroom was in good order, clean and tidy, with a great shower!!. I had read many reviews on this hotel, some of which were very negative, but found the hotel to be terrific, especially since we paid an ecomomy room rate thru the internet. Location is faultless too, walking distance from all the mid-town attractions, not to mention being a stones-throw from central park. Would stay in this hotel again without hesitation, can recommend the helmsley park lane to anyone who wants to enjoy NYC, greatest city in the world.....................	
Sep 5 2004	Nice stay but regular upkeep lacking	Stayed 2 nights July, '04. Received great rate from hotels.com ($189 per night) and expected no great room. Size was OK but conidition of room was marginal. Light bulbs out in several lamps, AC very load. Everything fixed once we complained but you might think regular room maintainance would be done to avoid such problems. View was nice, above expected air shafts but the really great views of Central Park were clearly reserved for others willing to pay standard rake rate or more. Walls were heavy enough to prevent noice from the hallway. Bellman acted like I slapped him when I gave him a $3 tip for carrying our overnight bag to the room. TV worked but very limited standard cable. Great location	
Sep 1 2004	Great but not spectacular...	My sister and I stayed here with a promotional discount rate (deeply discounted), so I'm sure that affected our status with the front desk. We arrived in the morning after a red-eye flight, requesting an early check-in. We were denied. It was a Tuesday morning, so...At the &quot;proper&quot; checkin time, we were put on the top floor, but we only got a view of the buildings behind us. Can't really call it NY skyline, because we were surrounded by skyscrapers and couldn't really see the sky. I did sneak into the room across the way while they were cleaning, however, and if you're fortunate enough to receive a room on the Central Park side, you're the luckiest man alive. The hotel probably affords the best view of the park out of all the buildings in NYC.Location is terrific and easily accessible. Fifth Avenue is a stone's throw away, as is the famous Plaza Hotel, so you know you're in a good, safe area. Walking through the park at 700AM while waiting for your room to open is a great treat and made the wait worthwhile. Times Square is an easy walk or a very inexpensive cab fare. Rooms were ornate, but older. The plus is that they were a good, large size (for NY anyway). Extending our stay was no problem. Overall, it was very nice, and I wouldn't mind staying there again (wouldn't mind trying somewhere new, though).	
Aug 18 2004	Incredible hotel!	We are a family of four and stayed for four nights in a suite with a living room and two double beds in the bedroom. There were two full bathrooms with bathroom scale, a really good magnifying mirror &amp; a blow dryer in each, plus niceties like a mini fridge in each room and lots of closet space with decent hangers. We were on the 21st floor with an unbelievably beautiful view of Central Park with the city on either side. The rooms were lovely, very clean and spacious. I especially loved the comfy armchair with ottoman in the bedroom, great for putting your feet up after a long day walking through the city! We found the help very pleasant - one of the concierges, Mr. O'Brien, was extremely helpful and informative, while another on duty the next morning, a woman (didn't get her name) gave us erroneous information and was not at all helpful. The maid service was good including turn down service in the evening, although my daughter was looking forward to a chocolate on her pillow and none was forthcoming. All in all, highly recommended - as other reviewers have stated, the location is fabulous, minutes away from Museum Mile, near all the Broadway shows, and of course the park!	
Jul 19 2004	Great water pressure!	We've stayed at the Helmsley Park Lane twice. None of the reviews I've read comment on the fact that, unlike many other fine hotels in New York (including Essex House, the Intercontinental Central Park South, and the Waldorf), the Park Lane has showers where the water's always hot and always plentiful. We've found everything else satisfactory as well. At $159-$179 per night for a basic room, it's the best deal in town	
Jul 12 2004	Helmsley park lane great location but terrible rooms	I booked my hotel through Voyage now and got a good deal. My first choice was Le Parker Meridien but that was fully booked. So Voyage now adviced me to stay at the Helmsley Park lane instead which should be the same standard and similar location. I got a room on a high floor with partly park view which was great but the rest of the room was not even close to a 4 star standard.. Thick carpet, dirty, wet from a leeking air conditioner, temperature in room could not be adjusted, paint was peeling in the bath tub, phone was not working and they could also not have it repaired before I left. Service was also not as promised, ignorant personnel and a not very friendly concierge. Location fantastic with subway close and the park just across the road, but the room was a big disappointment. As always the rooms look great when you check the website of the hotel. Like for most NY hotels I think it is time to update those pictures on the web!!!	
May 8 2004	Very disappointing	Location cannot be beat. However, the furnishings are old and ragged and the service was poor. TV did not work first day. Had to call three times before a technician arrived. TV stopped working the second day -- I called twice but nobody arrived to fix it. Returned from business on second day at 6:00 pm hoping to take short nap before dinner. My room had not been cleaned. Had to call twice before someone arrived. No explanation given. On final day, invoice not left under door, then had to wait ten minutes to check out because only one person at front desk and long line of guests. Others employees standing around doing nothing. 	
May 8 2004	Friendly Staff Great view	Fabulous view and friendly staff! We booked through expedia and the reception desk discreetly moved us out of the rooms we were to have had (2 twins - only ones available on the website), into 2 w/king beds and overlooking Central Park. I have traveled all over the world and was still amazed by the view. It was mystical in the early morning, twinkling in the evening, and I was out all day, so who knows how it was in broad daylight! Convenient location, helpful concierge. The furniture &amp; bathroom showed wear (abraded upholstery, tub, etc.), but the room was huge and overall (the view has spoiled me for anywhere else!), it was even better than my usual favorite in NYC, the Sofitel. Also - we had the wine dinner (unlimited different wines) at Cite restaurant, which was great. 	
Apr 15 2004	Disappointing stay - good location	Loved NYC - but the hotel was the only real disapointment. The staff were indifferant and unattentive. The room had numerous problems. The water dripped continously in the tub. The TV remote was weak, the refrigerator and room safe were broken, the carpet and furnishings were dingy, and the maid service did not replenish the towels and supplies daily. I have heard if you want to pay for the park view you get a much better room, but the city view side leaves much to be desired.	
Apr 13 2004	Great location great views...	We stayed here for 3 nights from 7th April. The hotel is in a brilliant location, overlooking Central Park, and views from the hotel room are either city or park views. We had a city view from the 32nd floor and were not dissapointed! The hotel itself was very clean, as was our room. The decor and furniture however, was a little dated, and becoming worn. There were no tea/coffee making facilities in our room, although room service was available at about $9 for a large pot of fresh coffee. The majority of the staff were very pleasant and helpful, changing our keys over when we stupidly left ours in our room was no trouble at all. I found the bar prices were high, about £16 ($30) for 3 drinks, especially as the bar itself has seen better days and is very ripped!! There is however, a small shop in the hotel to buy drinks and snacks if preferred. Overall, what the hotel lacked in style, it more than made up for in its location and views. Would definately go back again.	
Apr 7 2004	Fantastic view!	This hotel is in a superb position for views of Central Park and access to the City; particularly if you like to walk up the upper east side to the art galleries and museums (just 15 mins on foot to the Metropolitan). We were given a lovely junior suite with amazing views of the park; the room was very spacious (one of the largest city hotel rooms I have ever stayed in) although the furniture looked better put together than it really was. The bed was enormous and comfortable; the bathroom was adequate, if nothing special, and there were plenty of towels. When I couldn't switch one of the lights off because the switch was broken it was fixed very quickly. Room lights were not controllable from the bed (except the immediate bedside lights) which is unusual in a refurbished hotel room. The lack of tea/coffee making facilities in the room lets it down but at least the fridge keeps the wine cold! I would certainly stay here again. It is rather strange that the check in/out desk should be so pathetically small; there are a lot of rooms in this hotel! The staff cope quite well though; and a bit of selective palm-greasing keeps the lobby staff on the look out to be helpful.	
