	Crowne Plaza Times Square	Amazing hotel. Very posh and pricey but in a wonderful place with brilliant views of times square.	
Mar 30 2008 	ny break	I booked this hotel via the auction on Priceline. I paid $130 for what should have been a $300 room. When we arrived, I asked for a room with a view of Times Square, so the check in assistant upgraded us to a corner room with great views. The room was large, well decorated and clean. The hotel has a fantastic location for tourists - close to Times Square and on Broadway. The room was quiet. This is the best hotel I have stayed in in Manhatten. I have also stayed at the Hudson hotel, Four Points sheraton and a couple of others. I would recommend this hotel.	
Mar 30 2008 	Just ok	We stayed at the Crown Plaza for four nights around Easter for a conference my husband was attending. When we arrived at 7:00pm, they did not have a room ready for us yet, but they did give us two days worth of free breakfast vouchers because of the problem. Our room was very nice-- quite large, actually, for a NYC hotel room. It was quiet--no noise from the street--but we weren't facing Times Square. The one problem that we did have was the shower. We could get hot water in the sink and somewhat in the bathtub, but for the first three days, we couldn't get enough water to take a hot shower. The second day, they sent an engineer up, but the third day it was so cold that we skipped the shower. Finally, on the third day, they changed our room to a different one--a hassle, but they did move our stuff for us. The concierge was very friendly, but their recommendations were really hit or miss. They seemed to keep directing us to more touristy haunts--and we really wanted to avoid that. Overall, the location of this hotel was great--on the northern edge of Times Square and very close to Metro stops, but they're in the middle of a big remodel right now, so the amenities are hit or miss.	
Mar 25 2008 	Great Locationspacious room	We stayed for 4 nights early March, this is a great location within easy reach of all the major attractions.Our room was much bigger than we expected for a New York hotel.Very comfortable bed, our room (on the 18th floor) was quiet and peaceful to come back to after a hard days sightseeing.The decor is a little dated however the hotel is currently undergoing an exciting refurbishment project - not that this interferred with our stay in any way.	
Mar 24 2008	Good Location Near Times Square	We have stayed at this hotel several times and they have always provided us with a good room that allowed us a comfortable stay in New York. The Crowne Plaza is on Broadway and is in easy walking distance to many attractions (Time Square, Central Park, Fifth Ave., Rockefeller Center, etc.) The hotel is undergoing a renovation and the room rates are high, but not for the location. Because of its location we have always found it to be a good choice for a quick weekend in the city.	
Mar 17 2008 	Great location substandard service/room for the $$$.	I've always had good experiences with the Crowne Plaza line, but this $400+ a night hotel in the heart of Times Square left much to be desired. Granted, it's New York City, but I still think a hotel should live up to its &quot;brand&quot; and reputation, especially knowing the kind of money folks are paying to stay. The front desk service was rude from the first minute we arrived, and when we asked if we could store our luggage until check in time, you would think we'd asked if we could stay for free. The only employees in the entire hotel who rose above the dismissive and rude attitudes were the day concierge and the night bartender at the one restaurant/lounge. Which, for the record, closed up at 10 pm three of the five nights we visited.The wallpaper in our room was peeling - badly - and the bathroom was not as clean as it could have been.Overall, a very disappointing performance by an old, trusted travel &quot;friend&quot;.	
Mar 13 2008 	Expected more from a 4 star hotel !	just returned from a 4 day trip to NYC and stayed at the Crowne Plaza Time square. Great location, within easy reach of most major attractions. Hotel itself was a little dissapointing for a 4 stars, room was relatively large as we were told on arrival that we had been upgraded to a room facing the broadway. However the decor was a little dated to say the least, broken tiles in the bathroom and the worn out fixed shower unit on the wall caused quite an inconvenience when trying to wash our 4 year old daughter's hair. The bath was cracked and dirty, despite the room being cleaned every day the bathroom floors was never once swept. The hotel needs a series revamp before it can be classified as a true &quot;4 stars&quot; !	
Mar 10 2008	Poor attitude	Never got to stay there. I requested a non smoking room and then spoke to them and they tried to charge me substantially more for that &quot;luxury&quot;. Poor business sense. Will never book with them!	
Feb 20 2008 	Great location comfortable beds	I stayed here for three days in January and really enjoyed my stay. I wasn't sure I'd like it here, given that it's right in the middle of chaotic Times Square, however, my room was very quiet. The staff were very friendly, and I especially enjoyed my interaction with the female concierge who was on duty. She gave many recommendations of places to go and eat, and she also handed out numerous maps with directions to everywhere. The room I stayed in was small but certainly more than adequate. The bed was heavenly! I usually don't sleep well when I'm out of town, but the quiet room and comfortable bed made the trip a lot better. The location is also great, as there's a lot to see and do in Times Square.	
Feb 10 2008	Disappointed	Terrible stay. Loud, tiny room. Incredibly overpriced.	
Feb 8 2008	open windows 27 floor up	Location was great, and room was fine, though dated (cracks in tile under sink, faded carpet. My main complaint was that I was there with my 5 year old son and the large window facing Broadway opened completely. No screen, no nothing, just stick your head out and gaze down Broadway. This was a concern for me since I had a young child, and the hotel could not relocate us to another room. I noticed - from the street - that looking up there were many windows open.	
Jan 23 2008 	weekend getaway in nyc	My husband and I had a wonderful weekend in NYC Jan 18-20. We bid on a hotel through priceline on Tuesday of last week, won the Crowne Plaza Manhattan for cheap and I was thrilled. We got there after 7pm Friday night, asked for a room that is higher up...was told all rooms start on the 16th floor...the check in was smooth, friendly and helpful. We were on the 26th floor...in a corner room looking over Times Square. The room was huge for New York. My husband travels a lot and is in New York some, says this was the biggest room he has been in in NYC. The room was clean, comfortable and just what we were looking for! The hotel is right on Broadway right in the middle of everything!! We were happy with our entire stay. We were able to leave our bags on Sunday with the concierge until our flight out that evening. Definitely would stay there again and recommend it to frineds, family, anyone going to NYC!!	
Jan 22 2008 	Not that Bad	I reserved two nights at this hotel through Hotwire. Since I had never stayed here before I immediately came to this site to read the reviews. The many negative comments made me nervous, but it turned out to be be OK. The room was clean and decent size, and the staff was friendly enough. The biggest negative was that the bathroom was very dated (think 1980's) and is in need of a facelift. I would probably not be willing to pay much more than $200 per night to stay here, but for the Hotwire price of $165/night this hotel was a steal.	
Jan 20 2008 	Great Location in Times Square	We stayed at this hotel for four nights in November, leaving two days before Thanksgiving. We found it to be in an ideal location, with all major attractions within reasonable walking distance. We found it cheaper to eat out all of the time, having only one breakfast and one dinner in the hotel but being charged for an extra breakfast, which we did not have, and took a long time to sort out. The room was large and nicely furnished,and as the brochure says they specialise in having comfy beds to give you a good nights sleep. The Concierge at this hotel were most helpful with all of our enquiries. We did not use the pool, but it did look inviting.	
Jan 17 2008 	Brilliant	I booked this 5 day trip trip via lastminute.com &amp; i cannot grumble about anything.The hotel was spotless (our room was basic, no fridge but a very large TV! but who comes to NYC to sit in the hotel room!!!), room was cleaned everyday/fresh towels etc. Room was warm without the need for the heating on.When we arrived a the hotel, the check in was a little slow, the staff were all very helpful, we requested a room high up as we was worried about the traffic noise, we got a room on 38 floor overlooking Times Square - Result!Ate breakfast out most days, apart from the last two where we ate at the hotel &amp; i wish we had for the whole duration of our time here, we opted for the buffett breakfast &amp; wasnt disapointed.NYC as a whole was brilliant (cold) &amp; i am looking forward to going back but maybe not stopping as long in NYC itself.We did the skating in central park, boat cruise around Manhattan, helicopter, Top of the Rock, Empire at night, watched the Rockets Xmas show, went to watch the NICKS at Maddison Square Gardens &amp; spent a fortune in MACYS oh &amp; bought some UGGS!Was a little disapointed that NYC wasnt more Christmas'ie (the tree at the Rockafella Centre is amazing tho).I would stop at this hotel again, no questions asked!	
Jan 17 2008	new york  new york i wanna go back	flight from bhx not too good continental ,bit cramed , but the hotel best ever right on times sq ,43rd floor ,views fantastic ,nice staff ,went to shows every night , and on the grey line tour bus in day, q ed at ticket booth in times sq ,v good prices , i booked radio city in uk never again ,wait till u get there and q , only downside was the wind it was sooo cold at night , want to go again in may one year	
Jan 12 2008 	A pleasant stay	Returned for a 2 night stay. Room was ready for early check in, staff was helpful and welcoming. Location is great, restraunat is fair,great view of the Hudson River.	
Jan 8 2008 	Quality Stay	My Mom, sister and I shared a room with two doubles this past week and were very pleased with this property. Arrived at 11 a.m., well ahead of normal check-in, but were provided a room immediately. Views are great (ours was a partial view of the Hudson River), rooms are spacious and clean; beds super comfy, decent shower pressure, flat screen hdtv, fast elevators and friendly staff. What really seals the deal is the location - in the midst of Time Square. The bar/restaurant, Samplings, has great views of the Time Square action and is reasonably priced for Manahattan. The bartenders could have been more attentive, but it was hardly noticeable. Lastly, the baggage storage is extremely convenient. We checked out at noon, stashed our bags with the concierge and were on our way. Truly helpful when you do lots of shopping and overpack :o)In closing, I would definitely stay at the Crowne Plaza again and am confident you will enjoy your time there as well!	
Jan 1 2008 	If you want inefficient staff 	We arrived tired from the UK at 8pm at night &amp; waited in the check in queue for 40mins, only to be told that the room was not ready We had to wait 2hrs for rollaway bed for our daughter. The reception staff are totally disinterested. We had booked breakfast, but the cashier forgot to give us the necessary vouchers, but wished we hadn't as the long wait for a table just isn't worth it. Go to the diner down the road. the room was ok but dated &amp; was next to the service lifts, the shower did not get hot &amp; the washbasin was in the bedroom as the bathroom was so tiny. We went to reception the next morning to request as room change. as we are platinum priority club this should be complimentary, we were told that the manager will not upgrade platinum club guests as he can sell the better rooms for more money! After 3 tries &amp; standing our ground we got an upgrade &amp; the room was fine although the room card kept de activating itself. If you are looking to have a relaxing swim after a busy day sight seeing think again- the pool it is a lap pool. Some of the NY swimming clubs use it, so it is roped off in lanes &amp; used for speed swimming, so unless you can do front crawl at breakneck speed forget it. The location is absolutely terrific but unless you want to come back more stressed than you went don't go there.	
Jan 1 2008 	Bait and Switch?	The hotel itself was okay - location was good, room was clean and big enough for a New York hotel; overall the accommodations were fine and we have no complaints about the room or our stay. But, the lines to check in and get info were horrendous. We have never seen lines like this before. Also, we had made reservations on line for $269/night and when we got to the hotel, they tried to charge us $419 for the second night. Luckily we had a printed copy of our reservation showing $269 per night. I travel a lot and I have never had anything like that happen before. Would have rated the hotel a 4+ had it not been for the long, long lines to check in and the bait and switch attempt on the room rate. Also, this is the first time in NYC when we have been bothered by traffic noise even though we were on a very high floor. Must have been because the hotel is basically in Times Square, which was great for doing things and getting around.	
Dec 27 2007 	Never again	I read all of the reviews and they were mostly good but I must say we did not have a pleasant stay. Our first room was motel like at best. The wallpaper was lifting off the walls, the carpet was stained and I could have found better furniture on the the curb. I called and expressed my displeasure with the room and was very polite but was told that night the only other rooms that were available would cost an additional $200. We were able to change rooms the second evening and it was much better but we will never go back.	
Dec 23 2007 	Great location but needs to be refreshed / spend play money elsewhere	Booked two rooms at the Crown Plaza directly through their website using a corporate discount. At $225 per night (Fri &amp; Sat) the price was good given the accomodations. The rooms were clean but showing their age. The furniture was a bit worn &amp; chipped and the bathrooms are far behind the times (dated wall paper and counter tops). Beds were comfortable and the linens were fresh. -- Check in took 55 minutes+. A hotel this size needs more than six check-in stations. We were told the rooms we booked weren't available and the staff person tried to move us away from the double bed rooms we booked to king sized beds with cots. I was surprised I had to hold my ground and insist on getting what we booked.... even confirmed the booking two nights prior. After digging in and staying at the check in counter for 30 minutes, two double bed rooms appeared. -- Dinner at the hotel's 'Samplings' was poor. One adult dinner was sent back and another adult meal was half touched (too tired to fight again after the check in). It rained hard Sunday morning so we tried the breakfast buffet, which was was good, but at $80 for two adults and two children under age 9 was pricey. -- Asked the concierge for a recommendation of where to eat Saturday night and had them make a reservation (name withheld). We asked for someplace nice but reasonable for 4 adults and 4 young children. Out of all of NY, we went someplace and spent $450 for 3 good dinners, one fair dinner, and 4 bowls of pasta for the kids. OK, buyer beware, but be aware of the concierge! I thought they were on our side.... first time I was gigged by the concierge! --- Bottom line, great, great, great location. Good place to launch your adventures and get a good night's sleep (even if you pay a bit more). BUT - do your homework and spend your play money elsewhere.	
Dec 12 2007	Slap Bang in the Middle of it all	I stayed in the Crowne Plaza as part of my trip to New York with the charity &quot;Sense&quot; to run the ING New York City Marathon 2007. As you arrive at the hotel the porter comes to take your luggage up to your room (they LOVE a tip in New York - there is someone to do nearly everything for you for a small tip). The hotel is lovely and couldn't be better placed (literally opposite the neon lights of the famous Times Square. Our room faced the Hudson River so the view wasn't as amazing as it could have been had we been round the front of the hotel BUT it was still a great view as its New York City and everywhere you look is an amazing view. I love New York. The beds in this hotel are designed to help you get a better nights sleep and my it works and its just what I needed after the marathon.	
Dec 4 2007 	Disappointing	Excellent Location, almost right on Times Square.However I redeemed points and could only book a double wheel-chair access room. A few weeks before our stay I send an email requesting a 'normal' King size bed - which was according to the website available, received a 'maybe' answer. When checking in, a trainee checked us in and gave us exactly the double wheel-chair room. That was ok, but given tha fact that it was a Crowne Plaza house really disappointing, stains and burns on the carpet, really nothing to get exited about. Porter was alsi kind-of rude.	
Nov 26 2007 	Remodel scheduled!	Just returned from a nice stay at the Crowne Plaza/Mahattan/Times Square.Staff was &quot;New York cordial&quot; and there were some problems with getting a FedEx package shipped, but overall a pleasant stay.Just a note that the hotel begins a 6-MONTH REMODEL in January 2008, so BEWARE of construction noise during this time.Good eats nearby-Ruby FooBlue FinThaliaHeartbeatI'll review this hotel again after the remodel.	
Nov 18 2007 	From Hero to Zero in just over a year	I have stayed that the Times Square Crowne Plaza two or three times a year for about five years, and have written reviews about it before. I think this may be my last stay. I used to love the hotel, but it's gone down hill. I arrived earlier than the 3 PM check-in time and my room was not ready. That's fine: I had no expectations that it would be. But the relish with which the front desk clerk told me this, and then the joy she had telling me that &quot;we used to upgrade platinum members but we stopped&quot; was really offputting. It was as though she was waiting for the opportunity to put a frequent guest in his place by reporting that things had changed. And on her lapel she was called &quot;Front Desk Trainer&quot;. This kind of surly, service with a snarl was fairly frequent; perhaps half the staff did their job but without any kindness. There were gems though: the woman who checked me out caught a billing error I missed, and one of the bellmen was great. But for hundreds of dollars a night I'd expect more consistent warmth.The room felt dirty and was not properly cleaned. The coffee maker was wet when I looked at it when I arrived, and soap was not replaced, nor trash removed, during my stay. The internet was unusable. I believe that guest usage has outstripped the hotel's bandwidth and it needs to be expanded. The room was musty when I arrived and just did not feel clean. When I checked in (after 3 PM) the woman at the front desk told me that the internet was complementary with my rate plan. But the internet was on my bill when it was slipped under my door. I did not notice this, but the clerk at the desk at check-out did: she told me that it happens all the time and she looks for it to reverse the charge, which she did. I wonder how many people just pay for the internet not realizing that is a mistaken charge.Anyway, for years I've looked forward to my stays here. Now I am looking for an alternative place to stay.	
Nov 13 2007 	Good loation for Broadway	My Mother and I stayed here for my Birthday. The check in was a little painful not allowed into the room until after 3PM (She wanted to have the journey we'd had from the UK) and so we ventured out. The location's good for Broadway, Times Square, 5th Avenue and all the regular sights. The room was spacious and clean but old and in need of refurbishment. The bathroom was out of the 70s and like a shoe cupboard. We had a problem with the toilet and after reporting to reception were told &quot;they'll be up when they can do it&quot; friendly eh... not!The best service in the Hotel was from 1 of the bar tenders (sorry didn't get a name but very attentive), the consierge (Andrew I think very very helpful indeed) and the door men who love blowing their whistles to get you a taxi.	
Nov 13 2007	A Great Hotel!!	My husband and I just spent 4 nights there and have no complaints. We enjoyed every aspect of the stay from the good food, service, cleanliness and comfortable beds. I would recommend this place to everyone. We were on the 41st floor. Merry	
Nov 9 2007 	Extremely Satisfied	Just back from a 4 night stay at the Crowne Plaza, New York City. From the moment I walked in the door to the moment I stepped out of the door and into the car to the airport I enjoyed every moment of my stay there. The lobby area is beautifully designed. The check in process was very smooth. We got a fanstastic corner room on the 43rd floor almost over looking the river. They have thought of everything in the room. There is a &quot;dream machine&quot; CD player with a CD in it to help you sleep, lavender spray for the pillows, internet access and on-demand movies/TV shows, ice machine conveniently located in the hall with drinks machine. Breakfast to room is expensive but worth it. Any time we rang reception they were very helpful and very friendly. The concierge desk can book trips for you. Samplings Bar serves very nice food and very friendly staff.I will definetly stay there on my next trip to NY.	
Nov 5 2007 	Avoid at all costs!!!	Out of all of the hotels my husband and I have stayed at in Manhattan, this one was by far the worst. We travel there at least twice a month, so we have had the chance to try out a lot of the hotels in NY and this one is just terrible. The front desk staff is rude, unhelpful and completely uninterested in helping to make your stay an enjoyable one. If you do stay here, there are a few things you should not expect including: a helpful friendly staff, clean towels in the rooms, bellmen to help you with your bags, late-night room service, comfortable beds, clean rooms and unclogged showers (just to name a few). Everything about this hotel was a disappointment. Be aware also, that regardless of what the hotel's reservation line tells you, they will give away your room if you are not there to check in by 3 p.m. The only thing this hotel has going for it is that it is located in Time's Square, but, there are numerous other hotels in the same vicinity that are so much better than this place. Don't let the name fool you, this place is a complete dump. I will say that the valet staff was fast, friendly and efficient.	
Nov 3 2007 	Overrated and not worth the cost	I just spent three days at the Crowne Plaza Times Square Manhattan for a business conference. It is not worth $400 a night. Regular rooms on the 20-floor range are tiny and average - nothing special. &quot;Priority Club&quot; rooms like mine, on floor 37, were nice but nothing extraordinary.I had nothing but problems with the $15 wireless internet and it was frustrating to waste time trying to log on. no ambience, plain generic atmosphere and indifferent staff made this a hotel to skip on my next long visit to New York.I wished I had booked at room at the Hudson Hotel - now THAT is a place that will make a trip to New York special.	
Oct 31 2007 	Great location and service	My husband and I just returned from a last minute trip to New York.We had booked the Crowne Plaza through Priceline for a rate of $150.00 a night-quite a bargain for what we received! We arrived early,and were told we had to wait until the room was ready later that afternoon.I asked Jaime,the desk clerk if we could get a high floor room with a view.The adorable boy said,&quot;No problem,I have a great room on the 29th floor overlooking the harbor.&quot; Terrific-we went out for lunch and to see a show and returned at 4:30 PM.The room was incredible-it was double the size of the others on the floor-room 2912-and the view was lovely.The room was immaculately clean-one queen size bed with new bedding,a huge bathroom with tons of towels,a desk ,and a center console with TV.We also did not have a refrigerator.I think they removed them all,but no big deal.The only problem was the lack of pressure in the shower,but it was nothing to complain about.I figured out later that this was probably a handicap accessible room,thus the size.Some people feel that since Priceline is so deeply discounting the rooms that you will only obtain the worst rooms available.I always find that if you ask nicely,and you arrive early enough,you can get an upgrade.Especially if the desk clerk is Jaime-I wanted to adopt him,he was so sweet.Kudos as well to Natasha,another lovely desk clerk.All in all,great experience.The location is perfect-everything at your doorstep,Starbucks everywhere for coffee,and fabulous breakfast at Cafe Europa just up Broadway.The Marriott Marquis is down the street,where you can obtain half-price tickets to shows,and subway staion at 50th and Broadway.I'm from New York originally,and I love going back to visit.The Crowne Plaza is well worth staying in.And try Priceline-the regular rate for my 2 nights was 339.00!	
Oct 31 2007	great location average hotel	I stayed over a weekend in October. In general, the CP is a decent, no frills, large hotel that is centrally located in Times Square. If you want to be in Times Square, for theater or touristy activities, you can't beat the location. If you are not going for those things, by all means avoid Times Square and this hotel. The hotel is well run, despite having a huge number of rooms. Customer service, house cleaning, restaurant/bar service, and conceirge service all get high marks. A couple pleasant suprise features of the hotel is the drive under taxi drop off/pick up and the fitness center. The covered/drive under back entrance is great for taxi entrance and exit without using Broadway. Being covered, it came in handy while it rained. It's not a glamorous feature, but a very practical one. The fitness center, is a NY Sports Club, which is a private fitness center chain. It is right in the building and has everything one would expect from a big gym - weights of all kinds, cardio machines, and even group classes. It is a significantly better fitness center offering than most top end hotel offer.Areas in need of improvement include the common spaces of the hotel, which need updating and freshening. The hotel has a somewhat dated feel to it. The same goes for the rooms. While the beds were comfortable, the amenities were only on par with a Best Western. The TV was old and low tech, the closet door was pretty flimsey, and our one sink was cracked and discolored. Nothing horrible, just a space badly needing updating. Given that the hotel is far from cheap, these are definite knocks against the place. Again, if you want a well located, well run hotel near the action, you will be fine with the CP. If you want a romantic or luxury style hotel in that area, I'd opt for the W hotel, which probably isn't much more expensive.	
Oct 28 2007 	Great place to see in the New Year	I took my then girlfriend to New York for a week around New Years 2002/03.I booked directly over the phone from the UK after being let down by my booking agent. They were very helpfull staff and I explained that I would be proposing to my grilfriend and could they do anything special for our arrival. Our room had a bottle of champagne and strawberries set out ready and they offered me the use of their top floor lounge to propose. I subsequently did the deed ontop of the Empire building, but was gratefull of the hotels help. If you are seeing in the New Year, the hotel is excellently positioned in times squre and has security only allowing hotel guests in on the evening itself.p.s. Top tip, there is a steak restaurant opposite the hotel, which name escapes me. Book a table in there for about 9pm, take a nice leasurly meal and enjoy drinks etc, then come out onto the street for the countdown. Beats standing in the throngs for 7 hours!	
Oct 24 2007 	Very Central	we arrived on the 11/10 and stayed til 14th.. lovely hotel, on checking in at 2.30/3pm we were told our room would not be ready for another hr, so we had a bite to eat there while we waited. We were given 2 cards for our room and one didnt work so we had to go and get that sorted and you needed ID etc..Breakfasts were good, fill you for the day!! Overall the rooms were clean and views were spectaciluar of Times Sq. we were on the 40th floor. Cleaners in everyday to make beds and change laundry.. it cost us $389 a night.. The only thing i would suggest is dont ring home from hotel phone, i rang Ireland for 5 mins and it cost $30, i thought this was a bit expensive.. Defo go back again	
Oct 22 2007 	Very Bad - will not return	First let me say that I have stayed at the Crowne Plaza, Manhattan several times for business and pleasure since 1995. We booked this hotel for one night (which it in itself, too long a stay) for the evening of October 9, 2007. My son and I had just gotten back from Paris and always enjoyed staying at this hotel.We stayed in Room 2309 - which was unbelievably run down....the curtains were old....the Sleep Room beds had two little pillows, soft and worn, no large sham pillows at all.....the desk had multiple wires running under the chair and around the carpeting which was worn and dirty. Just about every bath, wash cloth, etc. had hair from previous guests in them.....it was disgusting.....Since we had major jet lag that evening, we waited until morning to contact the front desk where the line to check in and out was extremely long and we had a plane to catch home but waited until the next day.I did make my comments known on the Crowne Plaza website and a lady by the name of Lashana of Guest Relations called. I was given 2,500 points towards my Priority Club Gold account. The entire cost to me was $512 for a very bad experience.My suggestion is to STAY AWAY.	
Oct 18 2007 	No Class - Crowne Plaza Times Sq	Reservations made on hotel website 3 weeks prior to stay. At check in - told I could not have 2 double beds for myself and friend that all they had was a king. I said that was not acceptable and we were told we would have to wait (2+ hours) for room. Tried to charge $30. more per day but I had printed confirmation so that was changed from 599 to 569 for Thurs and 499 to 469 for Friday and also Sat night. Finally got to room and it was not the quality of room for the rates charged. When I complained to the manager I was told I did not qualify for a discount because I made the reservation online (at their website) and she could not do anything about the situation. Note: Do not make reservations on line. The Priority Club amounted to a key to the gym which I never used. The furniture had a drawer front removed with a room safe stuck inside and the refrigerator had been removed. The carpet was dirty. The employees of the hotel were great - very courteous and helpful. The food was ok. I stayed here 5 years ago and enjoyed because the hotel was convenient but this time it was the pits. Very expensive for the low quality rooms and amenities. I do not recommend this hotel unless major improvements are made.	
Oct 16 2007 	A little run down...	I stayed at this property about 7 years ago on my last visit to NYC and thought it was a good value. The location is its best attribute as it is smack dab in the middle of Times Square and within walking distance of many attractions, including area theatres. However, this hotel is not what it used to be and is not a good value for the price. We booked a club level room for $469 per night which is steep by most people's standards. The nicest club floor amenity was definitely the afternoon cocktail appetizers and drinks served in the lounge. The breakfast was ok but pretty bare bones. The room itself was not up to par. The room was tiny and the bedding was ok, but not superior by any means. The bathroom shower drain did not work and was not in workable form the entire time we were there. I expect more for $469 per night. Upon arrival in our room, there was a letter stating that due to scheduled upgrades of the facility, it was possible that during most of the day there could be a man outside my window. How's that for privacy? Also, when I booked the room, I was assured that I would be able to get a late check-out on our last day and that was not honored. I felt that customer service was not adequate and neither was the room itself. If I had paid $200-250 per night, I would have been satisfied, but at the rate we paid, I was not pleased and will not return.	
Oct 14 2007	Decent hotel good location but no special charm.	Booked this hotels for two nights on the Labor day week end. Got a corporate rate on the first night so that was worth it. Paid full price on the second, which is too much for what we got. But it’s Manhattan, so I'm a not complaining.Overall: decent room, great view onto Times Square. So centrally located. Quite a nice room. But it remains a big hotel, without any charm. This being said I am a bit biased as I spent the following 3 weeks in great little guesthouses in South Africa. So I might be comparing apples and oranges. It could really have gone either ways for the rating, 3 or 4, but at the end there was nothing really special about this place. If you get a corporate price it's a good deal. If not it's an average Time Square hotel I guess.	
Oct 11 2007 	An Excellent Hotel All Around!	We won this hotel on Priceline for $160 a day, which was an incredible rate.The Crowne Plaza Times Square was exceptional from the moment we checked in the staff was warm and friendly. The clerk that checked us in would say hello daily and ask us about our day.The room was large by New York standards because it was a Priceline win we had 2 double beds which made for a larger room. The maid service and ammenities were exceptional. The bed was beyond comfortable and the room spotless.Yes, as other reviews have mentioned the hotel rooms do need a little updating/refreshing but it didn't take away from our enjoyment of the room. Check out my pictures....Thank you Crowne Plaza Times Sqaure for a wonderful 5 days. We can't wait to visit you again!!!	
Oct 8 2007 	Class Class Class...	This hotel is a must for travellers who want a smack bang central location in Times Square. This place is class. The rooms are fantastic with spectacular views of Times Square. Good value too. Definitely going back to this hotel....	
Oct 1 2007 	Great location	We stayed at the hotel 15-18 September 2007 and paid £200 per night for a club room on the 36th floor.The room was fine the beds were very comfortable the only thing missing was a mirror in the bedroom.We had a couple of problems the main one being that the pool was closed for refurbishment while we were there and we had not been told in advance. The second was we wanted to use the business centre for online check in of our return flight which opened at 6.15pm but the business centre closes at 6pm and we were told to use the internet cafe round the corner. We did but felt the hotel should have offered the use of their facilities. The staff did not go out of their way to be helpful.Overall the hotel was good and in a great location for sightseeing/shopping however the staff/service was at best average.	
Sep 26 2007	nice hotel great location	clean hotel, great location, friendly staff and great price through priceline. If you're a tourist in NYC, this hotel will work great for you and your family. we had no complaints.	
Aug 19 2007	Crowne Plaza Manhattan...The perfect hotel choice!	I stayed at the Crowne Plaza Manhattan for five nights from June 19-June24, 2007. This was my fourth time staying at the Crowne Plaza, and just like my previous stays, I had a fantastic experience. We arrived at the hotel well before check-in and was able to make it into our room around noon. The room itself was amazing. Not only was it clean and well kept, but the view of Times Square made the $400 per night charge well worth it. We were on the 23rd floor and must say that it was very quiet for our entire stay. The staff was friendly and very helpful making sure my needs as a hotel guest were met. If you're looking for a hotel that's located in the center of everything, then look no further than the Crowne Plaza. The hotel is right in Times Square and is in walking distance to many of the Broadway theaters. Not to mention, Rockefeller Center and 5th Ave are just several blocks away. You definitely can't beat the location! There are also lots of eating choices in the area, so you never have to be worried about looking for a place to eat. All in all, the Crowne Plaza Manhattan is the perfect hotel choice for anyone looking for a place to stay while in NYC. Yes, the price is a bit on the expensive side; however, after staying there, you'll realize that it's worth every penny!	
Aug 2 2007 	It was okay...not worth the money	The room wasn't bad, but for $300/night, I expected much more. I guess we were paying for the location. I've stayed at nicer Holiday Inn Express'. As a Priority Club member, I did get a few perks, but nothing to brag about. We had to kill 2 (flying) bugs in the room, which was odd since we were on the 26th floor. The beds were pretty comfy and the staff was helpful and friendly. I might stay there again for half the price.	
Jul 29 2007 	Higher floors have good rooms	We had one of the good rooms on a high floor and it was excellent. Was a good view from up there too. Location is great and breakfast was decent. Staff was helpful. All in all, a fair priced Manhattan hotel is a good location. No bargain but you get what you pay for.	
Jul 26 2007 	Hotel with Large variation in quality of rooms	A colleague and I stayed at the Crowne Plaza on a business trip that was booked and paid for by the company. Due to flight delays we arrived after 10 p.m. It seemed from the extended discussion at registration that the hotel was nearly full but with considerable pushing I was able to get an updated room on the 41st floor with a partial view of the Hudson River. My colleague accepted what she was given and ended up in a room that had obviously not been updated in years, had chunks taken out of the furniture, appeared to have not been cleaned recently and had only two bars of soap for amenities. She stayed that night but was at registration first thing the next morning requesting a change. The staff refused to believe the room was not updated and clean (had they looked at it?) but eventually and begrudgingly moved her during the day to an updated corner room on the 40th floor overlooking Broadway toward Time Square. The hotel was fine for the business meetings scheduled on the 15th floor with several meeting rooms available for small group division meetings. The breakfast, lunch and mid session snacks provided by the hotel were generally quite good (except for the one totally healthy snack afternoon when people from each group made a run across the street to the M+M store). The concierges were quite helpful with restaurant suggestions and making reservations. The restaurant in the hotel was good for a late night meal when we first arrived and the staff was even pleasant about staying open later than scheduled because of our late arrival.All in all, the Crowne Plaza was a decent hotel. It was a five or six block walk to the main theater district but the area is always lively and interesting. When I book my own travel I prefer to stay at the Marriott Marquis where I've always had better accommodations and service but this was certainly acceptable for a business trip when I wasn't paying.	
Jul 17 2007 	rooms shabby but other areas i.e. lobby great	We changed room after one night the hairdryer and the wardrobe door were broken in 1st room. We were told they would move us the next day which they did but 2nd room was in worse condition. They only good thing about room was the beds were nice but then both my husband and daughter got bug bites while staying there... The good things were the staff were very helpful and the bar and lobby area was lovely, however I would prefer a better quality bedroom so would never stay with them again. I am sorry I didnt take photos as you would never believe from the furniture in bedroom that it was above a two star hotel.	
Jul 16 2007 	Great Location!	Everything about our experience was great. The room was very clean and provided a great view of Times Square. The concierge was very knowledgeable. I would recommend the hotel to anyone.	
