	I am not sticking my neck out here---great hotel.....lol	Stayed here for 2 nights. Excellent staff,especially the breakfast and wine and cheese staff.Front desk staff very good also. I agree with the Irish girls,Dos Caminos ,is a good restaurant just around the corner.You are in a very good location and can walk everywhere.You cannot go wrong with this hotel,the value of the breakfast and wine and cheese makes up for the extra dollars you spend.	
Dec 20 2007 	Friendly and wonderful	Hotel was superb - staff so helpful and accomodating. We have a 6 month old baby, and they couldn't do enough for us. Room was comfortable and large, and location great.Thoroughly recommended!	
Dec 18 2007 	Great place great location	This a fantastic place unless you look for an over crowded luxury place with no personality. Booked a suite and it was great with a tv-room and a rather large bed room. Opening the balcony door we had a great view of Park Avenue.The lobby is just cool and never crowded, great staff and don't forget the complimentary wine &amp; cheese in the evening - a nice way to start your evening. The location is great both going uptown and downtown. Times Square only 15 blocks away is a nice walk, a short cab ride or just use the subway, it's only two blocks away.Next time in NY it's no doubt i'll be staying here again!	
Dec 17 2007 	great stayvery hospitable	Stayed the first week in november and found our visit to be superb. Average size room but clean and comfortable. The staff was quite hospitable, especially Jose and Melvin. We would return just because of them. The location is quite good for Manhattan with the subway just a few blocks away.	
Dec 14 2007 	Modern and New but Noise from Street	In 2006, paid ~$400/night. Very nice bathroom and nice bed. Smallish room but comfortable: not yet worn out.Located adjacent to busy street - try for upper floor facing side street.Free computer in lobby, though it was oddly just a laptop set on a bar table.Great location near shopping.	
Dec 13 2007 	Great Hotel	What a fantastic Hotel !The rooms were superb, the staff were friendly and the location of this wonderful hotel is excellent!I would recommend this hotel to anyone staying in New York.	
Dec 12 2007	Brilliant Time!	I really enjoyed my stay here. After reading some other reviews prior to staying l was a little worried about the noise and the hotel staff. I have to say that l worried needlessly as the hotel staff were perfect. Friendly and very helpful. We were on the 5th floor and the room was very quiet - even though it was opposite the lifts. We had a fantastic time and if you stay in room 503, step onto the balcony as this is where my boyfriend proposed to me!	
Dec 11 2007	a bit of a stretch	I have just returned from a business trip to NY and stayed at the hotel Giraffe. Staff were very polite and accomodating for my entire weeks stay. Value for money? Well i'm not too sure, the travel company we use secured a rate of over $400 a night, which apparently was a special for our company for a standard room. If it was me booking this, i'd certainly shop around as it was not worth over $400 a night!The room I had was a decent size, had a small balcony, as do most of the other rooms (I think). If you're looking for a hotel where you can open the windows, this one should suit you down to the ground.If you're a light sleeper, beware, it can get quite noisy. Again the staff were very accomodating and relocated me to a higher floor. so to summarise - not good value for money, service excellent, friendly staff. As long as you can cope with the noise, and have deep pockets you'll enjoy!	
Dec 4 2007	Perfect retreat.	We have just returned from a week stay.We read the reviewsbefore going,but they can be very hit and miss,but we really did make the right choice.There is nothing negative to say about the Giraffe.From the moment we walked into the lobby the feel was more like a private club,calm and relaxing.The staff were the best ,friendly,helpful and nothing was to much trouble.The room was far better than expected,large and clean with a balcony onto Park Ave and the king size bed was the best we have ever slept in,wanted to take it home.The buffet breakfast was just right to start the day with and you could pop back anytime during the day for coffee and cookies and unwind for a while.It was my birthday while there and they must have seen my cards laid out in our room,because when we got back late that afternoon there was a bottle of sparkling wine in ice bucket along with birthday wishes from the management,what a nice touch.Wine and cheese in the evenings was just perfect before setting out,and made even more enjoyable by the piano player and Jessica the friendliest host you could have wished for. All in all we will be going back.	
Dec 3 2007 	Great service lovely rooms	Having stayed in New York on several occasions, I'm pleased to say that this hotel is one I would definately revisit. The staff were so friendly and helpful, the rooms and their facilities were excellent, nothing was too much trouble for any of the team. Although not a cheap tourist class hotel, cost us $559 dollars a night for the room, with the great exchange rate it made for a real value for money stay, particularly because that included breakfast, as much tea and coffee etc as you could drink available all day, and the excellent free wine and cheese each evening! The location was great, only a couple of blocks from the Empire State, Macy's and in the other direction the Greenmarket in Union Square, and a subway right opposite taking you easily up and downtown. The only downside was the noise from the traffic outside, maybe because we were only on the 3rd floor, so ask for a room a little higher up and that may help!	
Dec 2 2007 	pricey but a class act	Booked a suite - beautiful rooms, good sized, no amenities lacking. I found housekeeping and door staff eager to help, front desk pleasant and professional. Lobby/common areas very nice, with free wine/cheese in the afternoon, and a.m. pastries were, well, free - a nicety, but in NYC would walk to a real cafe. Park Ave S location is great.I would gladly stay here again.	
Nov 27 2007 	Stay here - it's a great hotel!	We stayed in a double double room (two double beds) and it was big by New York standards and huge by European standards. Room was clean and tidy and decore modern and on trend. If I had to find something negative to say it would be that the paint work on the celing was peeling away in some parts - but I wasn't there to look at the paintwork. Beds were extremely comfortable with lovely linens. We were in room 705 on the 7th floor and like all hotels I have stayed in in New York you can hear the garbage men collecting the bins at 5am so bring your earplugs. Note that the private balcony advertised is little more than a few inches of concrete so don't expect to be lounging in deck chairs. However, the roof terrace looked great (too cold for us) and would be fabulous in summer.It's rare to find a hotel in New York that includes breakfast in the price. I really enjoyed the breakfast at Giraffe. Fresh mini-muffins &amp; pastries, full size bagels, cereals and fresh fruit salad, juices, teas and coffees. If you are looking for a fry up then head to a diner down the road. The complimentary wine, champagne (prosecco) and cookies were not quite what I was expecting from a quality point of view given the other high standards of the hotel. Giraffe would do well to upgrade these to be in line with the rest of their services; better quality wine and home made (rather than out of a tin) cookies or scrap them all together.The staff were efficient and courteous. We only had to wait for a lift once. Note that there is a bar/restuarant (Barna) next door that seems to be popular with the late teens/early twenties crowd well into the early hours so I would make sure to request a room as far away from this as possible (705 was fine).Overall a great stay and worth the money.	
Nov 22 2007 	Baby friendly	We stayed at the Giraffe this spring, with our six month old baby, for four nights. We had a suite which was more expensive (around $500) but we wanted two rooms for baby-free evenings and this seemed to be the best option for this in the city. We were so glad to have booked here - there was the potential for it to be a stressful trip, but being at the Giraffe made hotel life with a baby smoother than it has been in other hotels, however lovely they may be in other ways. The suite was small and a little dark, but very comfortable, great bed, and best of all with a CD player as well as the cable TV, so we could enjoy our evenings (liked the room service with prices the same as the restaurant below, and a very reasonable one-off service charge rather than a percentage). The atmosphere in the bar downstairs was intimate, warm and calm - lovely barmen in the evening, and a pianist every night - it offered the home away from home that you really need in New York, and that I had not found in any other hotel. The area is great, nothing special just outside the door, but an easy walk to Union Square and surrounding shops. The staff were great, just normal and friendly, not the supercool doormen you can find elsewhere.I'd stayed at the Paramount, Royalton, W's Lexington and Times Square, and Gershwin, pre-baby, overall this was the most satisfying experience of all.	
Nov 21 2007	Good but not great	Just returned from 2 nights at the Hotel Giraffe. Beautiful hotel, nice location. Very nice room, average-to-small size. Pleasant but inpersonal staff. Minuses: 1. Water pressure: every time either of us took a shower, the water completely cut off for about a minute during the middle of the shower. Not fun. 2. &quot;Gourmet European Breakfast&quot; very poor quality. Really bad, old fruit salad. Not nice pastries. Disappointing.3. Housekeeping: came back to the room at 4:30 after being out since 9 am and room hadn't been cleaned. Overall, very pretty hotel, but for the very expensive price (over $800 for two nights) I expected a little better.	
Nov 19 2007	ronseal does exactly what it says on the tin!	The staff were freindly and helpful, hotel was immaculate, room to die for! Complimentary wine, champagne and breakfast and also in a fairly good location!You will be hard pushed to beat this hotel!	
Nov 17 2007 	An incredible experience...You'll love it!!	My husband and I just returned from a wonderful get away to NYC. We traveled from San Diego and needed to arange care for our gaggle of six children we had left home. There was much planning but many things, including this hotel, made it worth the effort.The common areas and rooms were simple and classy, yet warm and inviting. Beautiful bathroom, cozy robes, comfortable beds, and great linens were an excellent start. There were many extras that added much....turn down service with more fresh towels, an expesso/ coffee machine all day and night, always with a little something there to go with it (Nice continental breakfast, cookies, crackers and cheese.... depending on the time of day.) Neat to have a complimentary glass of good wine in the evening too.What really made this place special however was the service and the people who work there. The staff were a very international group, which we loved. There were incredibly attentive, but not overbearing. Always there with a quiet charm. We often asked for help getting a cab ( it is an art!) and they were always accommodating and didn't seem the least bit put out. We felt like royalty! A young gentleman recommended Celani's....a great recommendation. He was so fond of it, we thought about asking him along! We were also graciously accommodated with early check in as our room was ready, and a little later checkout as well. I must admit that before we arrived I was a bit worried about the possible attitude of the staff, as a rare previous review had suggested that they could be cold and inattentive (and I read ALL the reviews!). During our four day stay, this never happened. We think of ourselves as friendly and down to earth and did not want to feel snubbed...but we also did not want to be overwhelmed. The staff was perfect.Bottom line: An incredibly special place that is elegant, warm, and not a bit pretentious. HIGHLY recommended. (We are already working on figuring out a way to return!)	
Nov 16 2007 	Elegant little hotel in good location	We stayed at Hotel Giraffe for 5 nights at the beginning of November. Our 8th floor room was roomy, elegantly decorated and quiet considering it is in the centre of a city that really is 24/7! It was a good place to escape back to after days packed with sightseeing, eating and shopping. We found the staff polite and the bottle of wine they left in our room for my birthday was a nice touch. We liked the laid back approach to breakfast in the reception area. Others must share the view that the building looks quite 'New York' as Sex and the City was being filmed right outside when we were there! Good value for money and probably more laid back and 'NY' than the big name hotels, which could be in any city anywhere in the world. (Ref comment below re lifts, yes we did have to wait a while for the lifts but we were on holiday so sometimes it is good to be forced to slow down!! Didn't change the fact this is a great hotel in it's price bracket)	
Nov 14 2007 	Great hotel!	Just returned from first visit to America - New York is a fantastic city to visit and our stay was made even better by this great hotel. Accommodation is as featured on the website and the staff were efficient and friendly. The breakfast is great to set you up before a day of sightseeing and the complementary glass of wine rounds the day off nicely. Would have no hesitation in recommending this hotel	
Nov 13 2007	Elegant accommodations for a little price!	This was a delightful oasis in the middle of Manhattan. I used to live in NY and love coming back to the old neighborhood to visit. Staying at this hotel made me feel like I was part of NY again. The rooms are clean, the staff is gracious, and little niceties like flowers on the table at breakfast in a well lite lobby made it a haven of civility.	
Nov 7 2007 	Just the job	We stayed here for a long weekend recently. What this hotel does, it does well. The basics are all there and in working order - free WiFi, breakfast included, friendly staff, well appointed rooms etc. The location is right too, within walking distance of most things. Only reasons it didn't get five stars from us were the occasional long wait for a lift and the not so helpful concierge on restaurant recommendations (though we found later there are some in the room). We would certainly stay here again.	
Nov 4 2007 	Chill Bachelorette- totally worth it!	Seven girls traveled from all parts of the country to NYC for a bachelorette. We had a double room and a suite next to each other. We had a terrible time getting the keys synched, but otherwise, this hotel was fabulous! The staff: I arrived at 10am and they held my bags graciously until check-in. I walked down to the farmer's market at Union Square and found some beautiful flowers for the bride-to-be... asked for a vase to put the flowers in and the Giraffe staff was right on it. The doorman had the best smile ever! I agree, there is a &quot;cool aloofness&quot;of the staff in the lobby, but it is New York. The maid was as sweet as could be, as was the bellhop. I called for extra towels and ice, they arrived within minutes. Very professional and respectful indeed. The room: Clean, spacious, ample outlets for several hairdryers to operate simultaneously. Didn't find any dustbunnies or otherwise neglected spots when I was looking for outlets. :) Good iron that had strong steam. Slippers came in handy. Beds were super comfy and spacious. Didn't hear anything on the 5th floor- perhaps we were the loud ones. The unbeatable perks: The breakfast was great- definitely allowed us to save some money on food. There's always a bowl of granny smith apples- you can grab one and a glass of ice water anytime. The complimentary wine, cheese &amp; crackers in the afternoon was a huge bonus too- pepperjack, smoked gouda, red or white, champagne, no tipsexpected either!The roof top deck- great, Low key. They serve tapas and drinks up there too, but we chose to take our wine and cheese from the lobby on up, and no one hassled us for not purchasing anything.Parking- I parked in a parking lot two blocks east for pretty cheap.I made a reservation at a garage on a pretty good website (found the closest garages to your location and compared prices for the times you needed to park there, printable reservation receipt was recognized at the lot). I didn't find the walk bad at all, even with an overpacked suitcase, and had two cabs ask if I wanted a ride on the way. There's no reason to wait a long time for someone to fetch your car, when you can pay less and leave when you like. I spied one hour street parking right out front too, so if you're lucky... I highly recommend this and am trying to talk my boyfriend into taking me at Christmastime. Book it!	
Oct 30 2007 	Worth the money	The Hotel Giraffe was perfect for a special NYC weekend. Check-in was quick and easy. We requested a suite, which was only slightly more expensive than a regular room. It was definitely worth the money; we had an adequate sized bedroom, a great bathroom, and a larger than expected living room. We also requested a room that was high in the hotel to avoid the noise from the disco downstairs. We were on the 11th floor and didn't hear anything at all; the hotel was pleasantly quiet, although I overheard a woman at checkout who was apparently on a lower floor complaining that the noise bothered her. The hotel has a lot of unexpected extras, such as complimentary bottled water in the room, a complimentary wine and cheese time each evening and a complimentary breakfast each morning, with coffee, cappuccino, cereal, yogurt, danish, bagels, and fruit. You can get a pass to a local fitness center, but we didn't have time to take advantage of that. The hotel is located in a great area -- a short walk from Grammercy Park and many great restaurants. We would definitely recommend the Hotel Giraffe for a romantic weekend or business travel.	
Oct 30 2007 	Great position otherwise average and expensive	Arrived into Newark late at night and straight to the Giraffe to recover from the jet lag. First impressions were good, desk staff were efficient, decor was modern and very clean. Didn't get any help with bags, which I didn't mind but an offer of help would have been appreciated. Sheets etc on bed were high quality and the beds were very comfortable. Room was, I thought, rather small but I have been told by friends that it was large for a hotel in New York. Room Service was quick, although the meal wasn't exceptional.The hotel is ideally positioned to get anywhere, right in the middle of everywhere whilst at the same time offering a little bit of sanity from the crowds.	
Oct 19 2007 	fantastic	We booked Hotel Giraffe on the back of the positive reviews we read on this website and we were not disappointed. The hotel is really well situated and the decor is classy. We had a family room (2 double beds) for us and our 2 kids and it was spotless. It was cleaned and tidied each day (also, the beds were turned down each night and chocolates put on the pillows) The staff were absolutely, without fail, fantastic; so helpful and friendly. A special mention must go to Jose, who helped us enormously. The breakfast was ample and the complementary wine, cheese and piano each evening was most welcome. All in all we thoroughly recommend this hotel.	
Oct 6 2007	poor service and dirty carpets	stayed at Giraffe a few years ago. we loved it. great service and lovely hotel. this time staff was indifferent. we ended up with a third floor room. very noisy. we were moved with an attitude. carpet in both rooms was worn and dirty. when i booked room i stressed it was my anniversary. unimportant to staff. we moved out and went to w after one day. will not return.	
Oct 2 2007	How much do you like TECHNO?!?!?!?	I have to say that it pains me to write this review as a mixed review. My sister and I booked this hotel based on all of the rave reviews that we saw and we're very excited for a little pampering in NYC. (Maybe I should mention it was my first weekend away without kids or hub in 4 years!! So I was a bit over excited.) This hotel is amazing. The room was huge and so well equipped with every detail addressed. The bathroom was gorgeous. The room was perfect for relaxing, which is just what we wanted. In addition, the hotel had a great lobby and offered breakfast and snacks. I was very impressed. With all of these positive things to say, I hate to break the news, but this hotel has a little secret. The first night (Fri) we arrived home from dinner to watch a movie and crash. As soon as we walked in our room, there it was...The ever pulsing beat of TECHNO!!! It was so loud an quite unbearable. We tried to get over it and enjoy, but neither of us could get comfortable. At this point we called down stairs (@ 1:30 am) to complain. The front desk clerk came to our room and listened...in fact... it was some sort of techno, but he couldn't figure out where it was coming from????...a well rehearsed act. We bit the bullet and laid there. No sleep until 4 am...The next day we went to &quot;check out&quot; the restaurant/bar to see if it was the source of our problem. A young lady gave us the scoop on the food, etc and in a very excited voice told us that from 10 pm to 4 am in became a &quot;high energy lounge&quot;...BINGO! We smiled and headed right to the front desk. We asked the front desk clerk if most people who stay in our room complain about the noise and he smiled and said &quot;some&quot;. Well, then we asked to be moved to another room, where perhaps we could sleep. We were told we complained to late in the day and they only had suites available, but to move us we would have to be charged for the upgrade. Great customer service especially when the hotel obviously has had issues with this complaint before.Well, we made the mistake of not throwing a fit in the lobby and were stuck in our room above the &quot;high energy lounge&quot; up until 4 am for another night. Upon check out, we asked to speak with the manager and gave him the whole run down, but apparently managers can no longer make decisions at hotels and we would need to speak to the general manager, but he's only in on weekdays. So, we got his number.I am appalled that a hotel of this caliber would have such poor customer service, especially with an issue that has obviously arisen many times before. It's disappointing and for those of us who don't get out that often a real bummer!I haven't checked with my sister to see if this issue was resolved and we were in some way reimbursed for our lack of sleep, but regardless, at a $400.00 a night establishment, the whole thing is ridiculous!	
Sep 25 2007 	charming hotel	This was my first stay at the hotel and I iwill definitely return. I travel to New York for a week every September and have to say that this experience was one of the best. The staff was very friendly and by the third day acknowledged me by name. My boyfriend and I had a room with an adorable petite balcony overlooking Park Avenue. The room was well appointed and very clean. The rooftop area was by far my favorite aspect of the hotel I hope to return next year during my yealry visit to NYC.	
Sep 18 2007 	Great concierge	This is a great little hotel with a good location. We had a smallish room but it was very well equipped with a nice balcony!! The breakfast was very nice. We were there during new york fashion week, and one of the main fashion shows was held in an old hall opposite the hotel and from our room we could watch all the action and the celebs! The concierge is brilliant, we wanted to go to the gramercy tavern which we were unable to book ourselves, with one email to the concierge it was all booked and made the last night of our honeymoon fantastic!!! We will definitely visit again!	
Sep 16 2007 	nice boutique hotel	My husband and I stayed at the Hotel Giraffe in the days just before and over Labor Day. We requested an early check in which was accomodated after a short wait. The amenities were lovely; the room was clean and of average size (for NYC) with high thread count linens, blackout drapery and upscale bath products. We faced 26th street which was quiet. Breakfast each day was included and consisted of fruits, juices,hard boiled egg, muffins/bagels, yogurts, cereals, and coffee: an espresso/latte machine (which is available all day as well as fruit, cookies and water). Only a few NYC hotels offer breakfast included in the basic room price. This hotel is centrally located, but just a bit off the beaten path in Murray Hill, though a few nice resturants and a subway station are within 2 blocks. It has a nice roof top lounge.Going to and from JFK is a breeze using the subway, and is inexpensive.My only criticism is that the 20-something staff was a bit indifferent. They were polite, but cool. I questioned concierge about a local cinema and was sent 10 blocks away to a dodgy square, when a multiplex was located within five. Best to know your way around and read the guide books prior to leaving home. All in all, I would stay at the Hotel Giraffe again for what it offers and for its location.	
Sep 14 2007	Lovely Hotel~ Great Location	We thoroughly enjoyed our stay. Our room was spacious and very clean with a lovely view out over the street. We loved the IHome bedside clock! We enjoyed the complimentary wine and cheese in the Grande Lobby before walking to a wonderful restaurant nearby (Eleven Madison) for dinner and then took a short cab ride to Village Vanguard for some live jazz. The continental breakfast the next morning was good too. The cappuccino machine was not working initially however that was quickly rectified. We would definitely stay at this hotel again.	
Sep 2 2007 	Lovely Hotel but Staff could do better!	This was our first stay to New York and after much research we chose the Hotel Giraffe.We were not at all disappointed with our choice of hotel. It is conveniently located in Park Avenue and a cab ride up to Times Square or Central Park never was more than $10. We stayed in a 1 bedroom suite on the 7th floor for 5 nights. Their website pictures are 100% accurate and the room was beautiful, clean, and very comfortable indeed. We were left choccies for the turn down service each evening and the radio left quietly playing. The bed was massive - I am 5 foot 10 and my fiancee 6 foot 1 and we had loads of room! Plenty of New York guides were left in the room, which were very handy when we were planning our next trip.Our room had a small juliet balcony which we loved. You could just watch the world pass by..... We couldn't really fault our suite at all, but if I did, it would be the frosted glass in the bathroom door that you could still see through! Plus the bath was very shallow - not really deep enough for a good soak - but as the shower was superb, this was not a problem for us!Breakfast is great! Great choice of pastries, bread, bagels, jams, peanut butter, hardboiled eggs (not my choice!), fruit, cereals, yoghurts, fruit juices, coffee. Try to get there before 9 as the bread runs out quickly. I asked one female member of staff if there was any more - initially she could not understand what I was saying (?) but when she understood my question, she simply replied &quot;no&quot; and walked off! No apologies nor offer of anything else instead. I was a bit shocked to say the least.We found generally that staff never seemed to go that extra mile to help or make you feel welcome. I once asked for Italian Restaurant recommendations and was only told of one local one and then the staff member just went back to what he was doing.We were never asked if we were enjoing our stay. Never asked if it was our first trip. Never given a customer feedback questionnaire when we left. We felt we could have been anyone doing anything and as long as we paid, that was all they wanted!However, do not let this put you off the hotel - we would certainly return but just wish some of the staff were a bit more customer friendly and more helpful. They did their job, just nothing more.We packed quite a lot of sightseeing in our trip and here are our recommendations for things to do:1) Go to the Top of the Rock - Rockerfeller Center - fabulous views over New York2) Have wander round Central Park - we also had a ride in horse and carriage!3) Whilst in Central Park, their are plenty of artists who do a wicked caricature - great momento to take home!4) Do the bus tours. We did the Uptown Tour, the Downtown Tour, The Brooklyn Tour and the Night Tour (my personal favourite).5) See a show on Broadway. We saw Mumma Mia - highly recommend this!6) Do a 3 hours Circle Line Cruise round New York. Amazing sites and a must do.Of course there is always the shopping....!!Make sure you have a big memory card for your camera! I took nearly 300 hundred photos in 6 days - okay just a bit obsessive I know! Can only post 10 on Tripadvisor, but have so many great shots of the Manhattan skyline by day and by night, Empire State Building, Times Square, Statue of Liberty, World Trade Center Site etc. Basically if it was there, I have a photo of it - so if you want to see more photos or have any further questions, please just get in touch.	
Aug 30 2007 	nice boutique hotel	My daughter and I stayed at the Giraffe for 4 nights. The room was very nice, and lareg enough. The bathroom was also nice, and clean. Each night there was a turndown service, which was nice. We stayed on the 9th floor facing Park, and it was quiet. the only complaint qas that the 2 elevators were a bit slow, but overall a very nice, well located hotel. Around the corner on Park is an excellent Mexican restaurant wiht the best guacamole I have ever had!!	
Aug 29 2007 	Lovely hotel in a huge city	We have just returned from staying at the hotel and it was a very enjoyable stay. The roof top terrace is beautiful and it was so lovely having a drink in the evening. The room was excellent, very comfortable and lots of space. The staff were extremely helpful. Ideal location in New York City. Would stay here again next time we visit.	
Aug 21 2007 	loved the hotel giraffe	My husband just returned from a 5 night stay at Hotel Giraffe. What a great find ! The breakfast in the morning was more than we expected...bagels,muffins,danish,yogurt,cereal,frest fruit , boiled eggs, juices,and of course coffee. Our room was good size and very clean. Doormen very helpful and accomodating. Location close to subways and also within walking distance to many places of interest. Complinentary proseco, wines and cheeses in the early evening were a nice touch also. Our only complaint was a fight around 4am outside the hotel on Saturday night that was very noisy and irritating...but, this was no fault of the hotel. We would definately stay at Hotel Giraffe again .	
Aug 21 2007 	Third time at the Giraffe	Stayed here during early August for 4 nights. this was our third time at the Giraffe. We still love this hotel but we did find this time that the level of service was slightly down on previous times. Seemed to us that some cost cutting was taking place. The concerns were the lower standards in the lobby area for complimentary drinks /breakfast etc .......I could never seem to get a really hot cup of coffee! plus room was not cleaned one day and not until 4pm next day so we ran out of clean towels. Also one of the lifts was out of action for our entire stay which was a bit surprising.So maybe next time not our first choice and we would probably look at other hotels as well as the Giraffe and compare prices more. I do love this Hotels location though.	
Aug 15 2007 	Chic Relaxing NYC Hotel!	I just got back from NYC. I've been to New York 3 times and have stayed at a variety of hotels in the city. The first time I went I stayed at the Sofitel. Great hotel, but nothing superb. The second time I went I stayed at the Ritz Carlton Central Park. I was not impressed. For being so expensive, I expected a better hotel. This time I went I stayed half the time in Hotel Iroquois and the other half in Hotel Giraffe. I loved this hotel! The staff was nice and helpful. I had a horrible experience at Hotel Iroquois so this hotel seemed like heaven. The lobby was a great place to come relax, have a drink, and chat. There were lots of seats/tables and the environment was nice. The rooms were gorgeous/roomy. Definitely get a suit overlooking Park Avenue. The color/decor was beautiful. The location is also wonderful! I personally prefer the lower part of Manhattan as opposed to uptown. The buildings are lower and it seems more like home. The location is perfect because wonderful restaurants are nearby in Greenwich. And of course, SoHo shopping isn't too far away. Overall I loved this hotel.	
Aug 10 2007 	You've got to be kidding me...	This is my second stay at the Giraffe via a corporate account. The hotel is generally fine. Only negative is that it's a bit noisy.However, I'm writing this review from the hotel lobby while waiting for my car to be brought from the garage. I've been instructed by the staff that the wait will be upwards of 1.5 hours!!!!Yes, the time to wait for my car is measured in hours.The compensation for this absurd delay (which will translate into 2-3 since I'll now be departing in rush hour), was an offer for an on the house espresso.Now that's service! I and the rest of my company will now stay elsewhere.	
Aug 7 2007 	Great Botique hotel	We just returned from a two week trip from NYC to Boston to DC and stayed at the Hotel Giraffe 2 nights at the beginning of the trip (standard Queen w/balcony) and 3 nights at the end of the trip (jr. suite no balcony). The location is very convenient. The service is excellent, wonderful buffet breakfast, afternoon wine &amp; cheese. Everybody is attentive and extremely helpful. The rooms are spacious for NYC and the rates for the standard room are reasonable. At the last minute, we did have to add one night , a Thurs., to our stay. The only thing available was a jr. suite for $450 (their weekday rate). Since we didn't want to have to move after one night, and the rate went down to $379 on wkends, we took it for all 3 nights. We did have a separate room w/couch, tv, table &amp; chairs. However, the jr. suite was rather dark because the front room faced a brick wall with offices (so we had to keep the shades down during the day on Thurs &amp; Fri.) and the bedroom faced offices above Staples (so we had to keep shades closed there also). I would stay there again but would ask which direction the rooms faced.	
Aug 5 2007 	Great location	The Giraffe is in a great neighborhood. Young folks seem to flock to Barna and Dos Caminos next door. The staff is slightly aloof, but in a relatively pleasant Manhattan way. Short walk to a 24 hour deli, decent &quot;Pax&quot; breakfast place &amp; Chelsea/Union Square happenings. Definitely worth a repeat stay!	
Jul 30 2007	best hotel in this neighborhood!	Absolutely the best hotel in this area of NYC. I think I've stayed in every other hotel from Soho to 34th st. and the Hotel Giraffe was by far the best. The staff is so friendly and helpful, the rooms well appointed and clean, a very, VERY good deal for NYC.	
Jul 30 2007 	Beauty and Class at the Hotel Giraffe	For our future trips into NYC, we will always stay at this stylish, beautiful and classy hotel. Compared to other Manhatatn hotels, with their cramped, tired rooms, ridiculous prices and stuffy staff, the Hotel Giraffe soars above the mundane to offer a very special experience. The rooms are decorated with soothing and sophisticated colors and every conveniece was at our fingertips -- from an umbrella for a rainy day to a sound and light-blocking window shade that was controlled by a switch next to the bed. This is a most beautifully designed hotel with impeccable interiors, spacious rooms, lovely bathrooms and a professional and courteous staff. Well done!!	
Jul 24 2007 	Another wonderful stay at the Giraffe	Stayed 3 nights in a suite at the Giraffe last week. The room was absolutely wonderful. So clean and beautifully furnished. It was so quiet and peaceful. This was our 3rd stay at this hotel. As usual we enjoyed the breakfasts and afternoon wine and cheese. We cannot wait to go back to this hotel. We always say that we should try another hotel but why mess with a great thing!	
Jul 23 2007 	Comfortable pleasurable stay	We stayed only one night but very much enjoyed our comfortable, pleasurable, tastefully appointed room. Regretted not having the time to fully take advantage of the wine and cheese hour--but did grab a cracker and cheese in passing. The breakfast buffet was also quite nice. Would definitely come again and highly recommend it.	
Jul 17 2007 	like Home away from home!!!	My daughter attends NYU so we decided it would be nice to take in a play last weekend and stay in a Boutique Hotel and treat ourselves. We wanted to escape the crowds and craziness of NYC and could not have found a better choice than the Hotel Giraffe! The room was spacious and even had a nice balcony to sit and enjoy the outdoors. Great closet space and the hotel even GIFTED my daughter with as free pair of slippers which was a nice touch. We loved watching the flat screen TV til late hours with so may stations and choices. The Bed was like being at home. This is the first time I can remember sleeping in an Hotel bed that did not cause me aches and pains the following morning! Great Bathroom too! Lots of places to eat nearby although I would NOT recommend HALLES French restaurant down the street. POOR service !!! The Hotel Giraffe is a GEM and I will be sure to return! I am in NYC often and look forward to more stays there!	
Jul 17 2007 	Charming place and great location!	We spent 2 nights at the Hotel Giraffe before a cruise in June and loved the hotel. The room was a decent size by NYC standards and the bathroom and amenities were first rate. The continental breakfast buffet was very good, too. The staff was very accommodating. Though our room was not ready when we arrived, the bell man stored our luggage and delivered it as soon as we got our keys. We took a short walk to Madison Square Park and had lunch. It's a great neighborhood.My only criticism of the hotel is there was a considerable amount of street noise when the garbage trucks came through around 11pm - midnight. We were on the 4th floor and it's possible that the noise might be less intrusive on a higher floor. I mentioned it to the front desk after the first night and they were sympathetic and offered to re-locate us to a higher floor. We declined because we only had one more night. The noise was still present on the second night but not as bad. I would definitely stay at this hotel again. I loved the location and loved the room/bathroom. It's an easy walk to Chelsea, Union Square, Soho, Grand Central Station. It's a great alternative to hotels in Midtown/Times Square.	
Jul 17 2007 	Very nice hotel.	We stayed in a 1 bedroom suite Saturday night 7/7/7. The hotel staff called in advance to find out our arrival time (late morning), and had a room ready when we arrived. Everyone was very nice, the room was clean &amp; functional, well appointed.The stay was excellent &amp; I would return again.	
Jul 15 2007 	great stay at the giraffe	My boyfriend and I stayed here for three nights at the beginning of our NY stay. I had previously emailed the hotel to advise them that we were celebrating our anniversary and if possible could we have a room on a high floor. On our arrival, even though we arrived three hours before the check in time, we were able to go to our room which was on the 11th floor. The bay windows in the room are fantastic and the room itself was very large with nice big closets and a big bathroom. The dvd and cd player in the room was great to have. When we arrived back to our room on the first night, we were pleasantly suprised to find a bottle of champagne in our room and a note saying congrats on our special occasion. It was a great touch. The champagne and wine with cheese in the evening was great and there was tea and coffee, fruit and pastries available during the day. The pianist that was there on the friday night was fantastic and it created a great atmosphere. There was a subway stop right opposite the hotel but the entrance closes at 7 in the evening so you have to walk two blocks down to the other entrance after that time, but it only takes a minute or two so it was very handy. Union square was about 5 minutes walk away and it was great to have the restaurants and the bars nearby. Breakfast was great with bagels, cream cheese, fruit, youghurts, pastries and cereals. There was also a computer in the lobby which was connected to a printer if you needed to print anything. Staff were helpful without being too smothering. Check out was quick and they had a cab straight away for us to go onto our next hotel. I would definitely stay here again.	
