	Kimberly Suite	We had a two bedroom suite with an outside deck with limited but nice views from the 19th floor. Full compact kitchen, two baths, really nice older hotel. Lots of action by the lobby and out on the street.	
Aug 12 2005	Kimberly OK place to stay	Our family of 4 stayed at the Kimberly for 5 nights in August. The hotel is older, but very clean. The King in the master is very comfortable. I loved the down feather bed and the down comforter. The pull out couch mattress was too uncomfortable for even my 100 pound daughter, so she just slept directly on the couch. My son slept on the roll away which was fine. The furnishings were fine, having two tv's was nice, although they are old and small. The location was really great. Close to shopping and dining. Upon check in I tried to upgrade to a larger room with an extra bathroom and although they had it available, one person told me it would be an extra $150 per night and the next day I asked someone new and he said it would be an extra $200 per night. My feeling is that we are staying for 5 nights, so why not be gracious if it was available. Also, I had requested a renovated room, but was told none were available. I did chat with others who were able to get them on the 22nd and 23rd floor.My two biggest complaints are 1) the bathroom was too small and 2) The air conditioning. Because it is an older unit it goes on and off all night long and it is loud, so it definately interrupted our sleep.We did have one bad experience with the concierge. We told him we wanted two Met’s tickets for a Wednesday night. He found them for us at a Sporting goods store a couple of blocks away. We went over there, purchased the tickets and went to the game. When we got to the game, we were told the tickets were for the night before. We spent $70 on the first set of tickets and then $100 at the door so we could see the game. It was a bummer. The only other thing is that I left behind my digital camera and no one seems to have found it. Hmmmm.All in all a fine place to stay.	
Jul 27 2005	Kimberly-Good place to stay	Just spent a weekend at the Kimberly, 50th betw. Lex &amp; 3rd. We had 7 people in the group so we splurged a little and got one 2 BR/2 bath suite and one 1BR/1bath suite. Rooms were nice, roomy, kitchenettes in each. Nice view from the walk out patio on the 30th floor. We went with the suites beause it would have cost similar to have 3-4 rooms at a standard hotel. Kimberly is an older property, so there are a few imperfections, but all in all I'd stay there again. Staff is nice &amp; helpful.	
Jul 24 2005	We loved this place!!!!!!!	We pulled up in our rental car around noon, planning to stash our bags and hit the streets, as we did not expect our room would be ready. Not so! Not only were we allowed to check in early, they held the rental car at the curb while we settled in to our 2bdrm suite on the 25th floor. The suite was unbelievably spacious, especially for New York, with a nice kitchenette, living room and dining area. We had a lovely view of the Chrysler building and the East River. The beds were so comfortable (and HUGE) with high quality linens, featherbed and tons of down pillows. I am a pillow fanatic. I never travel without my own pillow, but next time I go to the Kimberly, I will leave my pillows home! The hotel staff was the best! Everyone was extremely friendly and helpfully. Our teenage kids loved being able to check their email in the complimentary business center. The common areas of the hotel were small, but who wants to hang out in their hotel in NYC? In fact, that was the only downside of this hotel. Our room was so nice, I would have wanted to spend more time in it, but I also wanted to see the sights. The location of the Kimberly is great for that! It's East-side, Mid-town location made it an easy walk to so many of NYC's great attractions. The rest were easy access by subway, with a stop only one block away. And for all this, we paid less than we would have for 2 regular hotel rooms anywhere else.	
Jul 14 2005	Excellent choice excellent location.	My family of four enjoyed a great four nights at the Kimberly from July 4th thru July 8th. We were located in a one bedroom suite that gave us plenty of room to spread out especially with a 17 and 19 year old. We really took advantage of the fully equiped kitchen for breakfast each day. The Kimberly staff was tremendous, and service was first rate. The smaller scale of this hotel was 'just right' for us. Location was quite good since most of the midtown sites were no more than a 10-15 minute walk away, and a subway stop at 51st and Lexington or Grand Central got you to anywhere else. We would certainly stay here again.	
Jul 11 2005	Summer in the City!	Stayed for one night at the Kimberly. Had an executive King suite with a balcony overlooking 50th. The great room was really large with a kitchenette and comfy sofa (a little worn). The bedroom had a great bed with featherbed and down comforter and tons of pillows. The sheets were high quality as well. The bathroom was old and a little small but clean and good shower pressure. The staff was exceptionally nice and took great care of us. We used the concierge extensively and she did a great job. I highly reccommend the NYHRC cruise - pretty casual, edible food, cheap price and the best (albeit expensive) long-island Iced Tea I've ever had.The only reason I don't give it a 5 is that I paid ~$525, for one night including room service breakfast (very overpriced and not very good) so I don't think it was a great value. But I enjoyed it anyway!	
Jul 11 2005	Great Value Great Service!	My wife, two small children and I stayed at the Kimberly last May. The staff was very friendly and accommodating. We found the hotel to be a great value and centrally located. The hotel restaurant is also excellent and family friendly. We will recommend the Kimberly to friends.	
Jul 3 2005	Stayed at the Kimberly June 24-27	I had a confirmed reservation made two months before arriving for a 2 bedr, 2 bath suite - upon arrival was told I was being upgraded to a 3 bedr suite - how nice! Only problem was 3 bedr had no living room and no full kitchen and we needed those rooms for our group of 6. They moved us to 2 one bedr suites across the hall from each other - beds were comfortable, pull out sofa not comfortable - you could feel the springs - good location, nice doormen, and I would ask for terrace with a view - our first 3 bedr upgrade had a beat up looking terrace and looked into another bulding - depressing - other than the reservation being not what I wanted we all said we'd stay again -	
Jul 1 2005	Huge room for New York and most comfortable bed EVER!	After a recommendation and lots of research, we chose The Kimberly for a short stop off in New York this past May. The hotel staff was very friendly and accomodating and allowed us to check in early at 10am as we arrived fresh off a red eye from San Francisco, California. The hotel's common space is on the smaller size since this is a boutique hotel, but the one bedroom suite we stayed in more than made up for that! There is a nice sized kitchen complete w/ stove, oven, dishwasher, and refridgerator, spacious living room area w/ a sofa and television, and large bedroom, esp for New York. The bed had to have been at least a King (if not Cal. King) and was THE MOST comfortable bed I have ever slept in at a hotel. Crisp linens, plenty of pillows, and a high quality feather bed to top if off!! Room was quiet except for some morning traffic noise that filtered in. Only complaint is the bathroom is small and some of the decor was a bit dated and tired (hence the above average rating), but the hotel's prime location, room size, bed, and overall price is unbeatable. Also, many discount sites offer lower rates for this hotel. I would definately stay here again.	
Jun 27 2005	Loved it-want to go back!	My husband and daughter and I stayed four nights at the Kimberly and absolutely loved it. I usually book much less expensive hotels but wanted to enjoy NYC at its best. The hotel was excellent and comfortable without being overly fussy. The location was great and we walked to nearly everything. I don't get the opportunity to stay at higher end hotels much but this rated only 1 step below the Grand Hotel in Oslo Norway for me.	
Jun 26 2005	Charming Place	My parents and I stayed at the Kimberly this past weekend. We were in the City for overnight to attend a family wedding. We took a chance on the hotel because of its location and price. From the minute we pulled up curbside until we got in our car, the treatment was outstanding. We had a room with two beds , beds I might add I wish I could have taken home and so many pillows! We had stayed previously at another &quot;boutique&quot; hotel midtown that we found on the internet and were very disappointed. Not so with the Kimberly! The only drawback was that my mother, who is not so young anymore could not use the bathtub/shower as it was too high for her to get into. There was a great brunch offer for hotel guests which we unfortunately did not have time for, but there was a great luncheonette next door and plenty of choices for dining if we were there longer.Would definately stay again.	
Jun 23 2005	Not bad but still overpriced	Stayed at the Kimberly Hotel in Manhattan in June 2005. Not bad, but still too small for the price. First night, hot water handle broke, so we could not shower that night. But repairman came first thing in morning. Cable went out for about six hours. Relatively clean but carpet could be replaced. Convenient location (I guess that's why the price is so high). Personnel were friendly and helpful. Doorman was always pleasant. Whatever you do, don't eat at O'Neills in the lobby (unless money is no object). WAY OVERPRICED! Millions of other places locally to chow down that are much cheaper and good.Would recommend, but reserve far in advance. Prices skyrocket as your date gets closer, especially in summer.	
Jun 19 2005	Very pleased with the Kimberly	My cousin and I stayed 6 nights at the Kimberly in a 1 bedroom on the 26th floor. The beds were wonderful, the best I've found in New York - including The Plaza. The furniture was a bit worn, but fine. The room was very quiet and the balcony was an added plus.The door staff was friendly and helpful and the hotel was in a good location near the subway and many great restaurants.I will definately stay at The Kimberly again.	
Jun 18 2005	Fantastic Hotel!	The Kimberly is truly my favorite hotel in NYC!!!! The one bedroom suite I requested was perfect, with a great added touch, a private balcony with a view of the city. The beds and bathroom were very nice, as well as the staff, who were all very helpful and friendly! The FREE Internet kiosk off the hotel lobby is also an awesome feature. The location is also with in walking distance of several midtown attractions and the shopping on 5th. Ave. ! The concierge recommended MAMA MEXICO, a fabulous mexican restaurant just down the street from the hotel for dinner one night, and it was truly amazing!!! I love this hotel and hope to return ASAP!!!	
Jun 14 2005	Will definitely go back.	Excellent hotel staff, service and location. The two bedroom suite was perfect for our group, although not inexpensive. We loved having a balcony to got some fresh air, and a full kitchen was very nice. The decor is somewhat tired. However, the beds were the most comforable I've ever encountered in a hotel (and I've stayed at several Westins). Clean and a good value. Great luncheonette next door, Starbucks, McDonalds and a great bagel place right around the corner.	
Jun 2 2005	Has to be the best kept secret in nyc superb	From the moment we arrived at the front door and was greeted by the wonderful staff our incredible experience began. My self and three of my friends (all girls) stayed for 3 nights May 26- May 28, we never felt crowded at all in the very spacious rooms. Very clean, beds wonderful, bath was fine even for 4 ladies trying to get ready. We definitely will be back to the Kimberly, we recommend it to everyone. Good bye Waldorf Astoria, the kimberly is our new home away from home.	
Jun 1 2005	Great all-around hotel!	The Kimberly hotel was an excellent experience. We were on a bachelorette/girls weekend and the hotel staff did everything from making dinner reservations to coming to our room to take a group photo of us on the balcony. They were extremely polite, the beds were wonderful, great location and price! I would definitley recommend this hotel!	
May 25 2005	Absolutely loved it	What a great find. The rooms were huge and very comfortable. The location was extremely convenient to everything we wanted to see and the service was impeccable and very friendly. I highly recommend it for anyone wanting a comfortable, affordable hotel with genuinely friendly, helpful staff!	
May 23 2005	A great hotel in a great location	Just got back from NYC and spend 3 nights at the Kimberly. We were most impressed. Good rooms with great space and fantastic beds.Location is great. We ate at O'Neills the steakhouse joined to the hotel (they also serve breakfast). I had the best steak I have eaten in years and superb service. I would highly commend both the hotel and restaurant. As and earlier reviewer mentions, if you are looking for modern chic this is not the place as it is a very traditional hotel. All in all a great place and one of the biggest suite we have had in any hotel. They also have access to a local gym and health club which was a nice bonus.	
May 17 2005	Lived Up to My Very High Expectations	We had an early flight from Greensboro, NC to La Guardia on May 12th and we arrived at the Kimberly at 10 am. We were met promptly by a doorman who loaded our bags on a cart and directed us to Kurt who checked us in. Altho our room wasn't ready at 10 am, it was ready at 12:30 when we returned after lunch. We booked a one-bedroom suite for which we paid an average of $270 per night for our 6-night stay.I think the pictures I've posted tell the story. The room was lovely . . . very traditional style furnishings . . . but very comfortable and tasteful. The small kitchen was well-equipped. We had no need for pots and pans, and dishes but they were there and everything was very clean and neat. The lighting throughout was excellent and there were lots of extra outlets (which I needed to charge my camera batteries, cell phones, and PDA.) I brought my laptop and paid extra ($7.95 a day) for high-speed internet access. It was simple to set up. There was a printer/fax machine on the desk in the living room (no charge for activation and private fax number). The bedroom was a good size with a very large closet and a safe big enough to hold a laptop. (I left mine sitting on the desk during our entire stay; just used the safe for some cash.) There is a 4-drawer double dresser in the bedroom and two night stands each with 2 drawers. If additional drawer space is needed, the armoire in the living room has 3 large drawers and there's a small drawer in the desk. In addition to the closet in the bedroom, there is one just inside the entrance to the suite and a large closet with shelves just outside the bathroom.Two very plush terry robes were provided and we loved lounging in them (I would have purchased one for my husband but he was worried that someone might think his name is &quot;Kimberly&quot;.) TV sets are conveniently located in the living room and bedroom. They were a bit small but certainly adequate and in good working condition (19&quot; screens I think).The bed itself was the most comfortable bed I've ever slept on. The bedding was immaculate and soft and plush. There were 7 large pillows on the bed (some down, some foam) and the comforter itself was down and very heavy.Previous reviewers said that the bathrooms are small. Yes, they are a bit small but not lacking in amenities. A very large medicine cabinet (3 separate doors) contained shelf space for every toiletry we brought and then some. The doors to the cabinet were mirrored and opened to form a 3-way mirror. There were lots of towels and extras in the closet.The service provided by the entire staff was outstanding. The New York Times was outside of our door every morning. Our room was made up each day between 9 am and 2 pm. Turndown service was provided each evening while we were out to dinner. This included remaking the bed with chocolates on our pillows as well as another bathroom cleaning and fresh towels. Everything was always clean and tidy. I must make one other comment about the staff. On our first night, we rushed out of the suite after putting $300 in cash in our safe. Not only did we forget to lock the safe, we forgot to close it as well, and also didn't close the door to the closet containing the safe. When we returned later that night, our room had been made up and the money was still there. I'm not advising anyone to leave their cash unsecured, but the incident convinced me that I could feel comfortable leaving my laptop on the desk throughout our stay.A couple of final comments about the Kimberly's location. Located on 50th street between Lexington and Third Avenue, everything you could want is nearby. Subways and bus lines are within 2 blocks as are small delis and breakfast spots. (Au Bonne Pain has the best cafe au lait and chocolate croissants!) If you stay at the Kimberly (or almost anywhere else in the city) remember you're not in Kansas anymore! You will have noise . . . fire engines, police vehicles . . . sirens galore, and horns blown by impatient taxi drivers. There is no escape from the sounds of the city. Our room was on the 20th floor. We heard noise all the time, but it didn't bother us; actually we love it! We could have closed our windows to block out some of it, but the weather was lovely and we wanted the fresh air.To sum up, The Kimberly is a wonderful home base for a trip to New York City. The staff, without exception, were professional and very friendly. My husband and I were satisfied beyond all expectations and would certainly choose the Kimberly for our next visit to NYC.	
May 9 2005	Highly recommended	We stayed at the Kimberly for 6 nights in April and we would recommend it to anyone. It was convenient for subway, bus routes, 5th Avenue shops and Central Park. The staff were incredibly friendly and very helpful. We had a suite which had a sofa bed in the lounge area and two very comfortable double beds in the bedroom. Also two TVs and unexpectedly well equipped kitchen complete with dishwasher, microwave, oven and kettle! We also had a balcony - nice to get fresh air in the mornings.Our only complaint was that the sofa bed was a bit lumpy and, to be really picky, the bathroom was a little small. The decor is very traditional - if you want chic and modern this is not for you. However, it was clean and very comfortable.Ask for a room as high as possible - more light and better views. Also rooms at the back of the hotel avoided the street noise.	
Apr 19 2005	lots of room great location	stayed over spring break '05 - book with the hotel direct to be sure of room type - good front desk and concierge - excellent housekeeping staff - linens were great. Best thing was the amount of space in the suite! 3 in the family means we loved the extra room. Good moderate price cafe next door! Central location close to the Waldorf means easy access to Rockefeller Center and Times Square is a 10 min. walk. Undergoing rooms renovation. Needed. Service makes up for it. Would recommend.	
Apr 10 2005	Everything I expected	Just stayed 5 nights at the Kimberly with my wife and 2 young teens during spring break. The hotel was everything it was cracked up to be in the recent reviews. Location was perfect for a family vacation. I would not recommend staying in Time Square which is too hectic and noisy and does not feel as safe. The staff was overly courteous the entire time. The 1 BR suite was more than adequate and had plenty of room even with a rollaway bed (no extra charge.) As others have stated, the bathroom is a little small but not a problem. Did not eat breakfast at the hotel but excellent and reasonable breakfast could be had around the corner at Essa Bagel or the Metro. The bed was very comfortable and had a nice down comforter and pillow top. Only negative was that the bedroom door did not have a lock which took away some of the privacy factor...oh, well. Would definitely go back next time.	
Apr 6 2005	My Honeymoon was wonderful!!!	I love The Kimberly Hotel!!! My new husband and I spend the week there for our honeymoon in March 2005. Every employee was so friendly and really made us feel special. The hotel is in the best location... walking distance from many of the best New York sites. We were in the one bedroom suite and it was so roomy... we spent a few days just in the room and it never felt crowded. The balcony was a nice touch, too. Best in New York for the price.	
Mar 28 2005	Great weekend at the Kimberly	We just returned from a trip to New York where we stayed at the Kimberly. The service was tremendous. The doorman was the best we have ever had. The lobby was clean, the elevators were small, and the rooms were clean. We stayed in a one bedroom suite and although it was clean there were some improvements that could be made. When you turned on the lights, you could see what appeared to be burn marks from the light bulbs, also there was a picture on the wall and the frame was coming apart. Everything was within walking distance. We ate breakfast at the restaurant and it was ok. We went back to the restaurant for desert and coffee and as we were eating my wife spotted a mouse near the front of the place, the waiter acted surprised and then came back and said &quot;did it leave yet&quot;, like it was a joke or it happend all the time. I would not recommed the place. The best restaurant we ate at was St. Andrews on West 46th street the steak and chicken dishes were spectacular and the price was right on. Can't wait to go back.	
Mar 17 2005	Can't wait to go back!	Just got back form a 4 night stay at the Kimberly. The location of the Kimberly is great! Just a quick walk to Rockefeller Center and St. Patricks. Within walking distance to Times Square and ESB. We felt extremely safe in the location. The resturant (George O'neils) has a $10.00 breakfast buffet that is great! The room was huge! It had a full kitchen stocked with everything. The decor was a little dated, but everything was clean. The staff was extremely friendly and helpful. I will stay at the Kimberly the next time I get to New York!	
Mar 8 2005	Fantastic place to stay!	We have just come back from a 3 night break in New York with our 3 year old son having had a fantastic time. We booked at the Kimberly Hotel last minute when an appartment company let us down... and we were so glad that we ended up here! The location is great, staff couldn't have been more helpful (suggesting child-friendly restaurants etc). Suites were very roomy and well furnished - beds were amazingly comfy!(although we overlooked the air-conditioning units at the back of the adjacent hotel). The breakfast at the adjoining restaurant was a bargain $10 buffet and they didn't charge for our son! We will definitely be staying here again. (More comfortable and better value than the Waldorf Astoria where we stayed last time!)	
Mar 6 2005	Great hotel great location A+++	Stayed at The Kimberly Feb. 26-28th and was very pleased with our choice. I booked it because of the reviews I read on Trip advisor and everything was right on. The location was perfect ,close to walk to the 5 th Ave. stores and the play we saw on Broadway.The beds are so unbeleivably comfortable I am buying a feather bed for myself.We stayed in a 1 bedroom suite that was really big and had a nice kitchen and a balcony! It was very clean. I would highly recommend having the breakfast buffet in the connected O'neils Restaurant for $10.00.Omlets to order, carmelized french toast, carved ham etc... it was wonderful as was the price.I can't beleive the price of the rooms, for New York you can't beat the value and the quality.	
Feb 9 2005	Can I move in?	The staff and rooms are soo wonderful. This mostly suites property provide clean very spacious rooms at extremely affordable rates. A rarety for NYC.   Conveniently located in midtown, the staff make you feel like you're at your 2nd home. Little things like remembering your name, turn down service, craftmatic beds (not in all rooms), balcony, too many benefits to list.  Can't wait to come back! 	
Jan 7 2005	What a gem!!!	My husband and I stayed at the Kimberly from Dec. 12-15 and were delighted with the room we were assigned. We did not have a suite, and I wasn't sure what to expect as far as room size, since so many posts talk about the small rooms in NYC. What a pleasant surprise to find our lovely, large, spotlessly clean room! The staff were all pleasant, helpful, and friendly. There is a subway station just one block away (or less), and the Manhattan Cafe next door was a great place for a filling, delicious, inexpensive breakfast. We did a lot of walking, day and night, and always felt completely safe walking to the Kimberly, even though it is 2 or 3 of the long blocks from the 5th Ave. area. My husband and I agree that we have never slept on a more comfortable bed--anywhere! He even removed part of the bedding trying to find the brand name!! The robes were plush and comfortable--and meant one less thing to pack! We were not on a very high floor, but if there was any road noise, we didn't hear it. Our only complaint might have been a rather loud band playing somewhere one night---but before we could think about complaining to the desk, that comfortable bed just put us right to sleep! We would certainly stay here on future visits, and highly recommend the Kimberly to everyone.	
Dec 28 2004	It was the best	We stayed here for 6 nights including Christmas Eve. I don't think there is any comparable hotel suite this size at this price. We found almost everything to be top notch. I am astonished at the negative reviews and can't help thinking that the hotel must have since then undergone some renovations and/or upgrades at least to the 2 bedroom I stayed in (28B). I found it elegant and beautiful. The furnishings aren't meant to be modern and they were certainly not outdated. Since we were there during the winter, we didn't get much chance to use the balcony but what an added benefit. It is obvious that the Kimberly was once an apartment building as our suite was the size of a NY apartment, far larger than the ordinary (and even expensive) hotel room. While the bathrooms may not be marble, they are spacious enough and nicely appointed. The towels and bathrobes are plush. Unlike one review said, I found the lobby to be very beautiful and beautifully decorated for the holidays. And there wasn't a time when a doorman or two wasn't there to help with the revolving door and to hold the elevator. There is a full time concierge available to arrange for your every need. I will agree with one review that the kitchen is not well supplied for cooking. There is a medium size frig, a small oven and range and microwave and coffeepot. There is a basic set of pots, silverware, glasses and dishes. But no baking pans, mixing bowls, or microwave dishes. So don't plan on doing a lot of cooking. All of the staff are extremely delightful and friendly. I felt like it was a home away from home and would highly recommend this hotel to everyone.	
Dec 6 2004	Wonderful!	My cousins and I spent our annual cousins weekend there! It was wonderful! People were so friendly, the rooms were great! Location.. couldn't ask for better! If I have to say anything I would have changed it would have been to stay on a higher floor. The only view we had was into a building next door! The Kimberly will be my home away home anytime I am in the city!	
Dec 3 2004	Good experience overall with the Kimberly	My wife and I and our son, age 13, stayed in a 1 BR, 1 bath suite at the Kimberly October 23 for one night.The hotel location was great for us: We were in NYC visiting relatives in Yorkville (Upper East Side), and the entrance to the Lexington Ave. subway was just a block from the Kimberly.The suite was spacious, and the furnishings, though more formal than we're used to, we're fine. The bathroom was small but not intolerably so. We used the kitchen only for coffee, but would have used it more had we stayed longer.We drove to the hotel. The bell captain on duty promptly and attentively handled our valet parking. The next morning after checking out we left our luggage in the bell captain's care so we could window shop before reclaiming our car. This arrangement went off without a hitch.One problem: Our suite was awfully warm. The heating/cooling controls seemed useless. We kept the room comfortable only by opening the windows and the balcony door.The $10 breakfast buffet at George O'Neill's is a great deal. The service was only fair though.	
Nov 11 2004	Great location comfy beds dated decor	Found the Kimberly via this website and couldn't believe the good things written about it. We (two moms, 3 kids) spent 3 nights in October, and found the 2 bedroom, 2 bath suite accommodations more than adequate. While the furnishings were quite dated and needed replacement, the beds were fabulously comfortable with their featherbeds over the mattresses. The 2nd bedroom was small, but adequate as we were here to sightsee, not spend time in the room. The master bedroom was quite spacious. George O'Neill's is as stated by others - the best bargain to be found!! Huge, beautifully displayed and delicious buffet with carving station, made-to-order eggs, etc. If I lived anywhere in the area, I'd eat there every day - you can't buy groceries for the cost of what they serve!If you're looking for finely appointed accommodations, our suite wouldn't fit the bill. But it was clean, well-priced, spacious (except for the bathrooms) and very convenient for all of our sightseeing activities.	
Nov 1 2004	fine value for a suite but not as good as I expected	We stayed here just this past weekend. Our 1-bedroom suite with terrace was airy (I loved being able to open the windows), quite clean &amp; well-maintained (e.g., no stains on the carpet), had great storage/closet space (there was even an umbrella for our use in the foyer closet). The bathrooms, however, are not full marble as you might expect from their website, (the walls are only partially clad in marble tile); the lobby is ho-hum &amp; provides almost no seating space for those waiting; and our suite's kitchen was not as well equipped with serving/cooking pieces &amp; utensils as the typical Residence Inn. The furnishings are not high-end, but attractive enough; the lighting is excellent; there was a fax/printer/copier atop the desk; and our bed was exceptionally comfortable.The Kimberly's level of service was appreciably lower than we were expecting based on recent reviews here. No doorman or bellhop greeted us upon arrival; we had to ask the front desk clerk if one was available, and when he appeared, he appeared to be only half-awake &amp; was still struggling to get his uniform jacket buttoned. The $10 breakfast buffet is a terrific deal, especially in Manhattan, and the omelet chef was personable; the wait staff was not attentive, e.g., we never did get the coffee creamer we asked for twice. And check-out was inordinately tedious: front-desk operations are not fully computerized, and they couldn't find our paper billings &amp; kept on looking for our folder long past the time when I would have apologized and re-opened the account.I'm willing to believe that the service we experienced was below their norm. But even so, I would say that if having a suite is not important to you, there are better choices available in the same (or lower ) price range. such as the Iroquois.	
Oct 26 2004	Kimberly Hotel - Fantastic!	We spent a week in mid-October at the Kimberly in a one-bedroom suite. The staff was very accomodating and gave us a corner suite with a terrific balcony view on the 26th floor at check in (yes, we had requested a view and high up). We loved our room! It was sparkling clean, plenty of closet space, well-appointed kitchen, living room with big balcony and great view, great feather bed, and marble bathroom with lots of storage. The attached restaurant, George O'Neill's is a steak house, but offers a huge $10 buffet breakfast. Consequently, we hardly used our kitchen. This is in a great midtown location and is just around the corner from two different subway lines.	
Oct 11 2004	Great for Families	I stayed at the Kimberly Oct 8-10. The one bedroom suite was large, comfortable and clean. I loved the balcony. The bed was very comfy. My kids slept on the pull out couch and had their own TV . It was nice to have the extra space. The bathroom is small but it has lots of storage space and a lighted make up mirror. The staff was friendly and professional.The hotel restaurant George O'Neils had a nice breakfast with a piano player. I look forward to my next stay at the Kimberly.	
Sep 15 2004 	Great Hotel	Went to New York to set my son up for Culinary studies and so after researching the net for over 6 months and comparing hotels I settled upon &quot;The Kimberly&quot;. Very glad I did. Centrally located to alot of what you go to New York to see. The staff (everyone included) made our stay most enjoyable. We were there for 12 days. I got to know several of the employees by name and they knew me and my family by name. The staff at the adjoining restaraunt &quot;George O'Neills&quot; was just as friendly. The service was great and the food excellent and they have a staff that they should be proud of - as I know they are. Loved the outside cafe. Thank you Vince for putting up with me just sitting outside soaking up the city and people watching. The conceirge staff at the Kimberly were very helpful in anything that I inquired about and very knowledgeable. The suite was good size and very clean and the noise level was hardly noticable. Slept like a baby. I was very impressed. Would I recommend this hotel to anyone - YOU BET. Thank all of you for the help, directions, watching over me, the ideas and most of all good service and great food. Will be going back in March and hope to see everyone again. - till then - the Matthews family.	
Sep 8 2004	Excellent hotel	My husband and 18 year old son and I stayed at the Kimberly 1-4 September 2004 and we had a great time. What a great asset the doormen Gregory and Jose are - always smiling and helping out - I would go back just to see them at work again!The one bedroom suite was clean and roomy(the king size bed had the most comfortable bed I've ever slept in) and the hotel is in an excellent location - within walking distance of most places but also near the subway.The 3 hour boat trip was very good - what a fantasic way to see New York in the evening. We would recommend this hotel to anyone and hope to go back one day.	
Aug 22 2004	Kimberly is great!	We stayed at The Kimberly from July 31st to Aug 8th 2004. The suite was great, with enough room for all four of us. My two sixteen year old girls found the sofa bed quite comfy and plenty roomy enough. The bathroom is small but spotlessly clean.All the staff were very friendly and helpful, but a special mention has to go to Greg, the doorman, whose welcoming smile was a pleasure to come home to after a long day of sightseeing. Don't bother looking for any other hotel!	
Aug 17 2004	wonderful choice!	Surprised my husband with a birthday weekend in NY. Chose the kimberly from user reviews and a great deal at hotels. It exceeded expectations - the spaciousness, the balcony, the staff. Some of the perks include passes to NY Health &amp; Racquet club a couple of blocks away with a great pool/sauna/whirlpool. for working off that fabulous breakfast buffet). Several subway lines and the crosstown busses on 49/50 make this very convenient for low cost getting about. If you need a cab, just call down ahead and concierge will arrange it - they were always more than willing to help - for ex. our smoke alarm battery was beeping, maint. was there in less than 5 minutes.If your looking for space, cleanliness and a smile, (without needing luxe in furnishings) visit the Kimberly...... Couldn't figure out &quot;The Vue&quot; next door - is it a nightclub, bar, restaurant - ??? Doorman/bouncers looked ominous.	
Aug 12 2004	Wonderful Stay	We had a wonderful stay at the Kimberley Suites Hotel. Our room was spacious and very clean. It was great to have a bedroom separate from the kids and a kitchen (although we didn't use it). The staff was kind and helpful and the ajoining restraunt had a fabulous buffet breakfast for only $10. We were there for pleasure for only 2 nights but I can certainly see staying here on an extended stay for business (or pleasure, if Manhattan's your thing). The ONLY down fall was that it was very difficult to get a cab in the rain, so leave early if you have a curtain or reservation to make.	
Jul 28 2004	Great for families	Stayed 5 days and couldn't have been happier! Rained one full day of our vacation but the spacious living area and kitchen felt more like home watching TV than stuck in a hotel room. The balcony was a great bonus! Bathroom was rather small but the rest of the amenities made up for it. Clean, good price for the area, great location and very friendly staff. Will stay there again.	
Jul 25 2004 	My Favorite New York Hotel!	I loved this hotel! It is far superior to better known hotels in the area. The value much exceeds the reasonable price. The hotel is quiet (for Manhattan), my suite was very nicely furnished, large and luxurious. The high speed internet connection and laptop-sized room safe were a great advantage. I was quite pleased with everyone I met on the hotel staff. This is a small, boutique hotel (by New York standards), and with a living room and kitchen, I felt that I could &quot;come home&quot; at night more than anywhere else I've ever stayed in New York. There was simply not one negative thing I saw in a four-night stay at this very lovely hotel, and I have only good things to say about it. A rare treasure!	
Jun 24 2004	Excellent condo hotel	Well maintained hotel coverted from former condo building.Understand it was rehabed completed within past 4 years.Very comfortble, amenities good. All come with small kitchen and dining areas, high speed internet lines, etc. In upper east side of Midtown, one block to east side subway lines. Rates are reasonable for NYC, but get far better prices from hotel websites as hotel just refuses to &quot;deal&quot;.	
Jun 3 2004	Outstanding	I travel to NYC every six weeks and have found a new home.The Kimberly Hotel is wonderful. The staff is great and always remembers my name. It has a great location and large suites. It is like being at home. I spend about 30 nigths a year in NYC and would not stay anywhere else. Highly recommend.	
May 22 2004	Loved The Kimberly	We stayed at The Kimberly May 13-16 and from the time we arrived we were treated great. The entire staff was wonderful. Our room (1 bdrm with a terrace) was quite roomy and pleasant (there were 4 of us). We ate at the restaurants outside tables and had a blast with the staff. The food was good. We wished we could have stayed longer and we will go back.	
May 18 2004	What a great hotel!	Made my first visit to NY 3-18 to 3-21. Had a 2 bedroom suite. It was wonderful! The bathrooms are clean and well stocked with goodies. Had a problem with the heat in one bedroom. Dont really think they fixed it, but opened the window.The suite was very spacious. Even had a doorbell! Nice to have a kitchen. The location is great. On a quiet street, yet close enough to everything you would want to see! The staff was very friendly.The consierge was great! The big plus was the balcony! What fun to sit out on nite in the city that never sleeps! Only had breakfast at George Oneil's. It was very good and almost too pretty to eat! Would surely recomend this hotel to anyone.	
