	Quiet Haven Amidst the Noise	We celebrated our wedding anniversary with a trip into NYC and enjoyed the quiet of the Ritz Carlton. Our room was on 6th Avenue, but we were able to see Central Park. The room was spacious, spotless and serene. The service is impeccable. This hotel is highly recommended!	
Jun 18 2005	Spectacular!	My husband and I stayed here for 2 nights in April; we got a club level room. The location was great - close to so many things and right on Central Park. The only disappointment was our view...of a brick wall - other than that it was wonderful! The room was beautifully decorated, the bed was comfortable, the bathroom was large and covered in marble. The evening turn-down service with jazz music was a nice touch. The club lounge was great, it was very nice to sit in the lounge and enjoy the food and drinks while overlooking Central Park. I especially enjoyed the afternoon tea service. The club concierge was very helpful. The spa was wonderful too. The hotel staff was very pleasant and we were always greeted by name. To top it off, we stayed for free using our Mastercard rewards. We will definitely return to the Ritz on Central Park and look forward to it! We didn't know about the Maybach, we'll have to try that on our next visit! This was my husband's 1st visit to NYC and my 2nd - we loved it and we are already planning another trip!	
May 23 2005	Lived up to expectations	This was every bit a professional and impressive as expected. (But they do charge you for it!)Took my mother as a treat for her 60th last November and didn't regret paying the extra - great location and staff fantastic.If I win the lottery I'll definitely return!	
May 4 2005	Exceeded my high expectations	We stayed in a Parkview room 22-25 April 2005 to celebrate our 10th wedding anniversary. This was to be a no-expense-spared blow-out. I was a little anxious that my high expectations might not be met - I needn't have been. The room was great, the staff friendly, welcoming and eager to please. I had read on the internet about the Bentley 'house car' available for guests and boldly asked the doorman if it was available to take us to the Empire State building. Not only did he call round the stretch Maybach mentioned by the previous reviewer (a truly astonishing car), but the concierge provided us with the hotel's VIP pass for the Empire State, which allowed us to jump all the queues. We were in and out in 20 minutes. The burger I had from room service one lazy afternoon was the best burger I've ever had (and I've had a few!). I now have 10 years to work out how I top this for our 20th anniversary. Any faults? Well, everything's expensive (food, cocktails) but then I expected that, and the quality justifies the high prices.	
Apr 26 2005	Loved The Ritz	Me and my wife stayed at the Ritz Carlton Central Park on April 22nd and 23rd. Our experience there was wonderful. The employees of the hotel where friendly and helpful. For example, we asked the doorman to catch us a cab for dinner after being unsuceesful for less than a minute he called over the hotel limo to take us. The limo is a $400,000 Maybach mercedes Benz. Which we thought was going above and beyond great customer service. Im very selective when it comes to hotel and seldom pleased. My stay here was very refreshing. I've stayed at many five star hotel and I would say this Hotel ranks among the best. So enjoy you wont be disappointed.	
Apr 17 2005	It's all about service here	Service is this hotels strong point. If your traveling here with children they appear to put you on the 5th floor in the back. No view, just the back of the other buildings around you, so bad you don't want to open the curtians. We traveled here with our friends and thier two children. I was not impressed with the location of our room. That would be the only negative thing I could say about the hotel. Everything else here was great. The attitude of the staff made you feel welcome. The food was very good. Many celebrities were staying at the hotel including Jennifer Anaston, Courtney Cox, Frasier (Kelsey Grammer?) Charles Barkley and so on. The location is great, just around the corner from 5th ave the shopping. Across the street from Central Park, one block away from the subway station, but you don't need that as the hotel car (450K Maeback) not sure that is correct, is available to drop you off. This is a true 5 star hotel. And I say that as we have recently had the misfortune of staying at a Sheraton dba Starwood hotel which claims to be a 5 star but really is a one star hotel. This is really nice hotel with great service, give it a try.	
Apr 17 2005	Ritz Carlton - average!	I booked the Ritz Carlton to finish off a Queen Mary 2 cruise in style. Sadly during our 4 night, 5 day stay we were not impressed. (2nd to 6th April 2005) The staff were very young and seemed poorly trained. We had a park view suite (over £1,000GBP per night!). For example; every day we had to ask for towels; the mini bar was examined in minute detail whilst we were in the room. There were also other niggles regarding the standard of cleaning and the operation of the Club Lounge. I know this might sound like nit picking but at the cost and their reputation the experience should have been a lot better. We stay at top hotels and go on 'no expense spared' cruises and holidays with our two children aged 7 and 9. Disappointingly, this visit to the Ritz Carlton, Central Park, NYC was not up to the standard expected.	
Apr 13 2005	Perfectly Fine Nothing Fantastic	The five days I spent at the Ritz-Carlton Central park marked my first visit back to New York since I moved away from the city. I splurge when I travel... and am usually a Four Seasons addict, but the FS New York property leaves much to be desired, so I tried to find the most luxe hotel in NYC. After looking at this website, and the Ritz-Carlton website, I decided to stay at this hotel. I booked a Park-View room for $590 per night, through AmEx Platinum. Upon arrival, I was given Club Lounge access as an upgrade. The first room the receptionist escorted me to was unacceptable: dark, shabby (fringe torn off the curtains), and an ugly gold color that didn't suit my tastes. I didn't like the room, so she was kind enough to show me two others, one of which was perfectly lovely. The bellman kindly moved my luggage and the flowers and giftbasket which had been placed in the room before my arrival (however, they lost the cards that arrived with them, so I had no idea who they were from until someone said, &quot;Did you get the flowers???&quot;).Yes, the rooms are nice... but nothing to die for. (Sometimes I wonder what the homes of Tripadvisor users must look like since they're drooling over hotel room decor...) Small but elegantly furnished. Room service is a little better than average. The lobby and bar was happening every night, but the restaurant was EMPTY. The whole &quot;club lounge&quot; concept isn't my scene. Guest excited about FREE FOOD and drinks hovering around appetizer platters is disappointing. It is a lovely hotel, and the service is good. But, is this the best NYC has to offer? Is this as good as it gets? If so, I'm terribly disappointed. I imagined so much more. I think every hotel should aspire to be like the George V is Paris: absolutely flawless.	
Apr 7 2005 	Why stay anywhere else?	The Ritz was everything they speak it up to be... I got an incredible rate on it through my company, so it was hard to say no. We didn't have a faboulous club level room, but the room we did have was 100 times better than anything else I've stayed at in New York. The room was huge, bathroom fantastic, and service top notch. Its a great star-gazing place, too. In 2 days we saw 4 &quot;low key&quot; celebrities coming in and out while we just happened to be coming in and out.	
Apr 2 2005	Luxurious but not the best Ritz	We stayed over the Easter Weekend for 3 nights. Had a club level room. No view but use of the club lounge and their own concierges. Great location opposite central park . Room luxurious but internal view...we paid $625 per night , but we did have two kids with us so had a room with 2 double beds so not too bad. Lobby was very small and not as spectacular as other Ritz we have stayed in but no doubt New York is short on space! Club Lounge a little disappointing . Concierges here were low key...helpful yes but not overly. Food presentations were pretty meagre (compared with Ritz Key Biscayne where we went after) eg no champage left out. It was there but you had to ask for it.Overall not my favourite Ritz and if, like us you are sight seeing all day you probably don't need to spend so much on a room. Would I go back to New York...yes! Would I stay at the Ritz...don't think so. We like luxury but will try somewhere else next time	
Apr 1 2005	Treated Like Royalty	I proposed to my girlfriend at the Ritz Carlton a couple weeks ago. I booked a Park View Room and worked with the hotel staff to make the moment perfect. Katie in guest services and the rest of the staff exceeded my expectations. Our upgraded room had stunning views, we felt pampered - the hotel and staff made us feel like royalty. Having stayed in top hotels in Hawaii, Paris, Italy and across the US, my experience at the Ritz Carlton Central Park is without compare.	
Mar 29 2005	The best of everything	We spent 3 fantastic days in New York at the Ritz. It was great to have a large room that is new in interior construction. Service was perfect from the front desk to the bellman checking out. Be sure to ask the concierge if the house car is available to take you to dinner or the theatre. Arriving in a Maybach will get you stares as if you are a celebrity.	
Feb 28 2005	VERY over rated	I really can't see what all the fuss is about here.The rooms are OK (but small) and the rates are way too over-priced. The location is OK but everything else was just about average. - Still, if you've got money to burn, don't listen to a word!	
Feb 20 2005	Died and Gone to Heaven..Meet Saint Ritz Carlton!	There are not enough stars in the galaxy to rate this fabulous hotel.We were really going for it anyway. Valentine's Day spoily excess had already been booked. We're talking Park View with access to the Club Lounge package. Not cheap and my wife was initially somewhat in awe of the $845 per night price tag. So was I, this was a 'it had better be good' scenario.Needless to say this crowned emperor of the hotel world delivered beyond our wildest expectations. Where do I start?I cheekily asked for an upgrade and was initially turned down.Embarrassed, I smiled and muttered something about if one didn't ask one didn't get. Then as we were being escorted accross the lobby, the deft sign language/telepathy/5 star communication systems so unique to the best hotels indicated that yes an upgrade was available later in the day.We went to the Museum of Modern Art (Tip: Avoid Mondays, it is a fabulous museum stuffed full of some of the world's greatest treasures, but you need dedication to wait in the cold and the rain for 45 minutes and then queue yet again to deposit bags) and returned several hours later.We were allocated a brand new Park View suite (2014) on the 20th floor.We were literally the second or third set of people to stay there.It all smelt wonderfully new and the view of the park was unbeatable. As art lovers we were very much looking forward to seeing The Gates installation but were concerned that our room would not afford much of an overview. Imagine our delight at seeing from the 20th floor this entiresaffron (we thought orange!) multi million dollar art extravaganza in front of our windows!I prefer plain decoration but somehow the Ritz Carlton furnishings work wonders with patterns. French styled without the overkill.I adored the stripey padded walls.If you can afford it, I strongly urge you to go for the Club Lounge package. The staff are so helpful and friendly and the 6 complimentary food presentations just sumptuous. I have to admit we took full advantage of the hotel's generosity including champagne for my wife and vodka tonics for me.We were treated so well and all staff were genuinely thankful for their $10 tips. The delightful young woman from reception who showed us our $1695 (we think) suite, even initially refused her tip!We were sent on our way by everyone with a cheery smile and plenty of banter. The commissionaire who opened our taxi door commiserated with us regarding our next sojourn to the Hotel Giraffe, but that's another story if it gets printed!In the words of Kojak.....'Ritz Carlton...We loves ya baby.'	
Feb 11 2005	Absolutely impeccable!	Just spent three nights here with my mother and my daughter (age 8). It was my second stay at this hotel and I enjoyed it even more than last year. The location is wonderful. We walked to MoMA, American Girl Place, Barney's, the theatre and much more! The level of service is excellent and traveling with my daughter seemed to get me even BETTER service than without. Upon arrival one of the staff members gave my daughter a Lizzie Maguire DVD to watch in the room. Our first morning, on the way out the door, the doorman greeted my daughter by name! Our bellman was very grateful for his tips...everyone was fantastic! Our room was at the back of the hotel. We needed two double beds so we booked the lowest room category, which is the only way to GET 2 doubles. It was exquisite! And we still had three large windows, including one in the spacious bathroom. We had breakfast every morning at the hotel's restaurant, Atelier.Again, the service is unparalleled. Dinner at Atelier our last night was divine (and now prix fixe); the Master Sommelier was very kind. Although I love shopping and exploring downtown...I will never be able to stay anywhere but the Ritz Carlton on central Park - as long as I can afford it. It is absolutely a dream hotel! I'm hoping to take my daughter again this summer. 	
Feb 6 2005	Just Perfect!	My wife and I have just returned from a trip to NYC, we stayed at the Ritz-Carlton Central Park for five nights. Everything was perfect inculding the rooms, food concierge and service. Only small let down was the lack of gym/pool facilities.	
Jan 22 2005	Absolutely beautiful	Absolutely beautiful.The only bad thing is that it's a shame that the people in New York can be so cold sometimes. It would be great if they were alot friendlier.	
Jan 6 2005	Staff is Putting on the Ritz	This property is fantastic! From the linens in the rooms to the way the lobby is decorated, you know you are in a deluxe environment.The restaurant, Atelier is outstanding. I was surprised to hear that the original chef has moved on. The menu remains inspired, the food is delicious and the service fantastic.The lobby bartenders are extremely attentive and informative about the wines they serve. Of course there is Norman, an institution at the Ritz, but there is also Celine. Celine is friendly and always professional. She takes a personal interest to ensure that her guests have a wonderful experience inbibing her creations. When a celebrity is there, she tactfully ensures that their privacy remains intact without insulting curious guests. She really is an asset to their organization. Overall, I feel that this Ritz property is NYC's finest hotel. Great location, great amenities and great staff make for a great experience.	
Dec 23 2004	Great Stay in New York	Great Classy hotel. Fantastic service...really the nicest hotel I have ever stayed in. Really comfortable beds which is important to me (I have a bad back).	
Dec 2 2004	They thought of everything	Just about as perfect as you can get for a hotel. Although the rates are steeeeep, the service is impeccable as are the rooms. From the DVD players to the bath products to the pillows (THE best), the rooms are appointed perfectly. Room service was a tad dissappointing (especially given the price of a $22 caesar salad and a $14 bowl of soup), but everything else in the hotel is superb.	
Nov 5 2004	A perfect Hotel	We spent 3 nights at the Ritz Carlton and have to say that it was the most beautiful and perfect hotel we have ever stayed in. We found all the staff very friendly, efficient and helpful and always courteous. We especially liked the juice and apples laid out for returning morning joggers every morning! The room was very spacious which is a real plus in New York. It was also very quiet - we had a back room - and although we didn't have a view of Central Park, we didn't feel at all disappointed. The bed was the most comfortable I have ever slept in - I am now busy changing all my bedding - and the bathroom was simply luxurious. A hotel which could not be faulted and to be recommended to all.	
Oct 29 2004	Awesome	Perfect location, great service, friendly and helpful staff, good concierge, well-equipped workout facility, good spa, beautiful views from parkview rooms, convenient and quick valet parking, more intimate size - not cheap, but worth every penny. The best all-around hotel we have visited in NYC.	
Aug 23 2004	First Rate	Stayed for two nights and thought it was the best I've stayed in so far in NYC (much better than the run-down Plaza next door). Rooms were great, bathroom was huge, service was excellent. When you pay this much, this is what you should be getting. No complaints.	
Aug 17 2004	Wonderful stay!	My boyfriend and I stayed here for a long weekend and had THE MOST comfortable and splendid stay. The rooms were absolutely wonderful - BEST BEDS EVER with high quality sheets, GORGEOUS LARGE marble bathroom with huge tub, separate shower, and separate room for the toilet, high end toiletries, robes, slippers, DVD/CD player, stocked fridge, and impeccable service. We noticed the room was turned twice a day, once after we left in the morning and once in the evening. They replaced any towels and toiletries used throughout the day, remade the bed, left chocolates and fresh water by the bed every evening before we returned from dinner. The doormen were absolutely wonderful - opening the door, greeting us, and calling taxis for us. The concierge knew the area well and made dinner reservations for us. The fitness center was also fantastic! State of the art equipment with personal tvs, fresh fruit and ice cold evian water bottles on hand! I didn't indulge at the spa, but it definitely looked inviting and the staff was extremely courteous and over the top! If I wasn't moving to new york, I would definitely stay here all the time when visiting!! It is WORTH the price!	
Aug 16 2004	Great hotel.	The room, service, and food were all great. The view of the park was fantastic and the hotel has a very convenient location. You can walk with easy to most midtown locations, if not the hotel will gladly drive you. You can't go wrong staying here.	
Jul 27 2004	Best value in NYC	Of all the luxury hotels I've stayed in NYC including the Peninsulas and the Four Seasons, the Ritz Carlton Central Park is the only hotel that I would look forward going back to. Great service, decent-sized rooms, nice bathrooms, and Frederic Fekkai shampoos and cleansers!! It's a rare find in NYC. I actually didn't think New York hotels were all that bad after the stay at this Ritz.	
Jun 1 2004	pure luxury	We have stayed at some very fine hotels and this one definately falls into the category of 5 star. We stayed with our three very young children in a beautiful park view suite. It was magnificent. The staff could not do enough for us and greeted us each time we saw them. The bar and lounge area as well as the restaurant are excellent in every way. We LOVE this hotel and can't wait to go back for a weekend getaway. The best part was that they were so warm and hospitable towards our children.	
May 7 2004	FIRST CLASS	Surpirsed my husband for a birthday-Easter~Yankess/White Sox opener weekend getaway in April. There is no finer hotel in New York City. The Ritz Carlton~Central Park has superior service, amenities and ambiance. Our Park View Room on the 19th floor overlooking Central Park was magical. From the concerige services, room decor, frette linens, club level amenities, Central Park location/view and overall luxury melted our hearts with pleasure. What a way to rekindle any marriage, at the Ritz, first class! 	
Mar 28 2004	Elegant room beautiful Central Park view	We stayed here the last weekend of January and loved it. Our room, although on the small side, was gorgeously decorated and had the best view of any NYC hotel I've stayed in. There was even a telescope on the windowsill, and Central Park in the snow is breathtaking, especially after dark. Room service was amazing -- cocktails were delivered within 10 minutes of our placing the order, and came with a rose in a bud vase on the tray. Granted, the lobby public areas are confined, but everything is beautiful and elegant.	
Mar 24 2004	location luxury and a car!	just spent five days here. can't imagine how it could have been any better. the rooms and bath luxurious, the staff available but not over-bearing. best was the hotel car available in the evening to take us to the theatre. la prairie spa is expensive but lovely. obviously a great location. last time in nyc stayed at the waldorf which the ritz outshines many times over..	
Mar 1 2004	Simply the Best	Having just spent the weekend at the Ritz Carlton Central Park we are hard pressed to think of ANY other luxury hotel which even comes close to offering the stellar service that this Ritz Carlton does. Our suite was enormous, immaculate and impeccably decorated. Having reserved a suite enabled us to take advantage of the exclusive Club Lounge which offered a delightful Breakfast, light Lunch, Afternoon Tea and After Dinner fare-all complimentary and of the highest quality. No request was too grand and the Concierge was even able to secure a last minute reservation at an exceptional restaurant- a normal impossibility in NYC. One gets the feeling that not only are the Staff well trained but also treated well and truly enjoy their jobs-nothing gratuitous about the service at any time-even after our car was delivered upon departure we were presented with 2 bottles of Evian for our trip home-it's those details that matter. (And for those who are not familiar with NYC the Ritz Carlton is in the perfect location-accross from Central Park on the Upper East Side-convenient to the theater district, 5th Avenue, Rockefeller Center, etc...)The Ritz Carlton Central Park does everything right-we will never stay anywhere else in New York again~	
Feb 14 2004	Not what it use to be...	I stayed there once. It was good service but the food (when ordered room service ) came only luke warm and the lobby was tiny! Not worth the money, but it is ok, the views are great of central park, great location.	
Jan 6 2004	Expected a little more		
Oct 30 2003 	Could do better....		
Oct 29 2003	Great and quiet place		
Oct 28 2003	Looking Back		
Oct 21 2003	It ain't what it used to be.		
Sep 8 2003	Perfection....		
Mar 3 2003	perfection		
Feb 5 2003	The Best		
Jan 30 2003	superb		
Oct 24 2002	St. Mortiz on the Park		
Oct 9 2009	Geschäftsreise in New York		
Dec 1 2008 	?????		
Aug 14 2008 	A couper le souffle		
Mar 14 2008 	La Grande Classe donnant sur Central Park		
