	FIRST CLASS ALL THE WAY	Stayed at the Bryant Park Hotel for a quick overnighter with my friends. The room was gorgeous, bathroom was beyond amazing, and the amenities offered were first class.After running around the city looking for a fun place to go, we ended up at the Cellar Bar and were mad that we didn't come earlier! Music was great, crowd was fun, and the staff was very nice and funny.Only downfall was the &quot;late night&quot; menu -- food was obviously microwaved, but what else can you expect at 3 a.m.?	
Nov 21 2006 	What a great spot!	We spent a great long weekend in NYC staying at the Bryant Park. It has a great location, easy to get both up town and down town either via the numerous cabs or the subway. The park across the street had free ice skating and a Christmas fair the weekend we were there.The rooms were very chic, minimal and comforatble. The bathroom was a great size for NY city rooms - great shower too. The staff were always helpful and responsive&gt;Only small complaint was that the bar didn't open until 8pm on Saturday, too late for pre-dinner drinks, and didn't open at all on Sunday evening. Not a big problem thought as there were plenty of other paces to go. We'll definitely go back again.	
Nov 6 2006 	Cool hotel great location	Just got back from a week's stay at the Bryant Park Hotel with my fiancee. It is a really cool hotel, very trendy. We went for a superior room (I think- it was the next one up from a basic). The room was large and minimalistic, but with a large, comfy bed, plasma TV and huge bathroom, with Molton Brown accessories. My only gripe about the room was that there was no view- we faced the back of another building. It was also only on the 5th floor. I felt for the money spent we could have at least had something to look at! Immediately outside of the hotel is Bryant Park, a really peaceful little area. On the day we arrived, an ice skating rink opened for the Christmas period, which was amazing, the atmosphere was very chilled and jovial.The location of the hotel is just off 5th Avenue and Broadway, and Times Square is only a couple of minutes walk away. In fact, it was so well positioned that we never got a train anywhere and tried to walk.The restaurant, Koi, is a sushi restaurant in the evenings and very pretentious. We had our least enjoyable night there, yet our most expensive.The Cellar Bar is the bar at the bottom of the hotel, and again was really trendy. We had a great (heavy!) night there. Bit disappointed when we were told to not sit on the sofas after 11.00 unless we bought a bottle of vodka! I think this is typical in the USA though, so no hard feelings.All in all it was an amazing stay- the staff were always helpful and polite, and got to recognise us after a few days which made it even nicer. I would stay again, as long as I get a room with a view!	
Oct 29 2006 	Cool Hotel!	I have just returned from a 3 night stay at the Bryant Park Hotel.This is a very trendy place to stay and the size of the rooms were certainly well above average for New York. The bathrooms were HUGE and the bath was like a swimming pool!The bedrooms were very well equiped with plasma TV and Bose stereo system.Our room overlooked Bryant Park and was a little noisy on the Saturday evening (why do the cab drivers have to beep their horns all the time?)!! Our friends rooms were on the back of the Hotel and were much quieter, however earplugs were available in each room.Disappointed that there were no recreational areas in the lobby for us to meet up with our friends, in fact the lobby is rather small.We chose not to eat in the Koi Restaurant as there is such a selection of eateries within easy walking distance.We did have a round of drinks in the Cellar Bar but they were extremely expensive so did not pay it a visit again!All in all our stay at the Bryant was most enjoyable and it's location is superb whehter you want to visit New York to shop or to sightsee.	
Oct 20 2006 	Absolutely Perfect! Recomendable 100%	We spent 5 nights in this great hotel. We booked in advanced and we got a Junior Suite with Terrace. I strongly recommend this hotel, it is not cheap but it is very balanced quality-price.We loved it. The service very good and also it was a very private stay.Great area and quiet at night.I would go again for sure.	
Oct 19 2006 	Super modern great staff	This is the most modern-style hotel I've ever seen. The staff was great, even let us check in early, but the hotel itself just wasn't really our style. Very art deco and cold, but clean. When I needed an ironing board, it took the staff about 2 minutes to bring me one, which was great. The bar downstairs was beautiful, but seemed to have that young club-hopping crowd. Great view of the park across the street, and super close to all the great sites in mid-town. It wasn't especially romantic and I did not see one guest over the age of 45 there. But its great, if that's what you like.	
Oct 11 2006 	absolutely faultless	We stayed at the bryant park for four nights in sept and absolutely loved it. The location is absolutely perfect, just a few blocks from times square yet set around a tranquil park, a really peaceful haven in the hustle and bustle of this city. We were upgraded to a junior suite which was a lovely bonus and the staff couldnt do more to help us. We ate in the restaurant where the food was great and the service good and we drank and danced in the cellar bar which was great although the cocktails were very pricey.Adrienne, the concierge sorted a few nights out for us and got us on the gust list to some of the hottest night clubs which was a great service in a city you dont know.Overall, I cant reccommend this hotel enough, we certainly werent disappointed.	
Oct 2 2006 	Could not have been happier!	Stayed three nights in a large suite with a lovely terrace. I love the Bryant Park area and the view of the park from our terrace was spectacular. Also hosted a small gathering of friends in the room. The catering staff was superb, from set-up to clean-up. They provided a delicious assortment of hors d'ouevres, beautifully presented. Yes, it was expensive, but worth it. I found the staff friendly and helpful at every turn. I loved the minimalist, modern decor, although I realize that is not for everyone. Shower was heavenly!	
Sep 24 2006 	Great Hotel !!!!!!	My husband and I just returned from our weekend stay to celebrate our 1 year wedding anniversary at the Bryant Park Hotel. We were very impressed by our room and the staff. We got a great deal through Expedia too. (Tip:&quot; Expedia does not mention that the hotel does not accept Discover Credit card for any incidentals when you check in&quot;.) We did not have another card on hand, so the staff worked with us and allowed us to leave cash. Don't be fooled by the very plan hallways. (White walls ,brown carpeting and no artwork or anything else on the walls) Our room was clean and big with lots of windows, even two in the bathroom. Our bathroom was unbelievable. It was huge. My husband and I are big fans of a great shower and we were not dissapointed. There were two shower heads with ridiculous pressure. We didnt want to get out. The room came with a flat screen tv and a bowes radio. They both worked very well. The location was great. (Just a few blocks from Time Square). There is a mini bar, but as expected prices are high. Saturday morning after drinking late we both NEEDED a drink and had to take one of the Iced Teas from the bar. We were charged $6.50 for the one. My advice would be to buy water or any other drinks in advance. Friday night we were all over the city, but when we got back to the hotel we were'nt ready to go to sleep yet. We headed downstairs to the club &quot;Cellular&quot; in the hotel. It was decent in size,kinda small, but very empty. Maybe about 10 people in the place. The drinks were also quite pricy. (I got a Budlight and my husband, a vodka cranberry, total cost= $22.00 +tip) Maybe they charge a little more for the show. Two half dressed girls were up on these platforms behind the bar dancing. Nothing skanky or anything though. The elevators were dark with padded red walls. They play techno music as you ride to your floor. Unfortunately we never made it to the park, but the view from our room was great. If you like Fondue and great Martini's try &quot;Dip&quot;.(416 3rd Ave. Between 29th &amp; 30th Street.) It is pretty dark in there and the music is somewhat loud. It was what we were looking for for a late night snack and drink. If you're looking for a quiet romantic dinner, this place is not for you. I would have to say that I think the Bryant Park hotel was just what we were looking for. This place is targeted for a younger crowd or anyone who likes Modern style furnishing and a club like atmosphere.	
Sep 15 2006 	Enjoyable and convenient	I stayed 3 nights with my fiance over labor day weekend. We had a junior suite, room 1406, for $339 per night. That seems to be a pretty good rate for this hotel and has maybe colored my impressions of value (which is very favorable)Overall, I really enjoyed my stay.Most of the reviews I've seen capture the essence of the place, so I'll focus on things I haven't seen mentioned.The room was larger than expected with huge windows that actually opened to a limited extent - the lower pane slid up about 5 inches (presumably limited so children can't squeeze through). You don't often see this feature on the 14th floor, and it's nice to let the air in sometimes.The floor in our room was wood (actually pergo) which was a really nice change from hotel carpeting and I think added a lot to the airy, comfortable feel of the room.This was the week before fashion week, so they were building the tents across the street in Bryant Park. Even though they worked through the night, the noise was tolerable and no worse than many midtown hotels. I can imagine this might be a really quiet hotel for a street-facing room in midtown if you don't come immediately before or during fashion week.This was a smoking room. When we arrived, it was a little smoky so I called the desk. Housekeeping arrived within 3 minutes with some air freshener and told us they would put an ionic cleaner in the room while we went to lunch - when we returned it was very fresh smelling without a trace of cigarette smoke. The hotel has a very strict policy about smoking in non-smoking rooms with a $500 penalty for doing so, which I was told about on check in (although it didn't apply to this smoking room). I chose the smoking room because we had arrived early (at noon) and it was all that was available unless we wanted to wait until regular check in time. It was also on a high floor - the clerk told me that floors 6 - 12 are non-smoking and 14-16 are smoking.Didn't try the restaurant as we had other plans each night. Location is fantastic.Best surprises: the really friendly, laid back staff; the size and airiness of the junior suite room (at least large and airy by Manhattan standards)Most disappointing: the mystery of the sometime there, sometimes not doorman; the small size and lack of public space in the lobby.	
Sep 13 2006 	We loved Bryant Park	We stayed at the Bryant Park Hotel for 4 nights for our honeymoon, and we had a great time. We stayed in a Junior suite on the 20th floor that had a huge balcony overlooking the park; the room was nicely decorated (minimalist but appealing), the bath was huge and the chocolate covered fortune cookies were a nice treat after hours on the plane. I can't remember the room number (2004?), but if you can make sure you get a room with a front-facing view of the park, rather than a corner suite that only has a small balcony space. The staff were courteous and helpful. The Cellar bar was good; the drinks were expensive, but complimentary cocktail vouchers made my Cosmopolitan very appealing. We didn't order room service, because the prices were outrageous, so every morning we went across to the park and bought coffee (and soup) from the food kiosks. We spent hours and hours choosing a hotel and hoping that we had chosen well, and we weren't disappointed. All in all staying at the Bryant only enhanced the memorable time we had in New York.	
Aug 28 2006 	Very fine	I just spent a weekend at the Bryant Park with my girlfriend and I thought it was quite good.First, we booked one of the package rooms that included American breakfast, a slightly larger room with a view and a late check-out. I would say that the room was not particularly large, but did have three large windows at the corner of the building and two more in a very spacious and well appointed bathroom. It was every bit as a large as many a Manhattan studio apartment. This package rate was $340 + tax. For the $450 room someone below had, I would expect they would be in a suite. And the standard room was around $250.Second, I found the decor to be nice, standard American modern. Hardly chilly, but then not B&amp;B comfy. Some of the furnishings were Ikea-esque, though not substandard. And as the previous poster said, yes there was no &quot;art&quot; on the walls, but we had huge windows overlooking Midtown Manhattan on two walls and a large plasma TV on another. That seems a strange complaint.The plusses: the location was ideal, the staff was helpful and professional, the bathroom was incomparable, the lobby and building architecture were great.The minuses: the only eating option in the hotel in the morning was breakfast in the room. If you didn't want to pay that expense, you were sort of out of luck in the hotel itself, though Midtown Manhattan isn't exactly without the food options of, say, smalltown Arizona. That being said, the room service b'fast was timely and quite large. The aforementioned $80 breakfast was priced at $26, though probably gets to $80 with tip and tax for two, which included two eggs, bread in any form you like, tasty potato croquettes, juice, coffee, a mimosa and water. Hardly being ripped off for $26. This is room service in New York -- I've paid that much for a cinnamon roll and coffee elsewhere.Being local, we did not use their concierge services for anything so I cannot comment on it. I think the hotel has a &quot;cool&quot; feel and like it might be trying a bit too hard. As a consequence, I think it's being judged a little too harshly. If it were understated and cute, I think the same result would be given a bit more lenience by reviewers.	
Aug 27 2006 	Hip Midtown Hotel	The Bryant Park Hotel is slap bang in Midtown Manhatten, unsuprisingly overlooking Bryant Park that sprawls out from the New York Library.The hotel is handily 2 Blocks from Times Square, but doesnt attract the mad buzz associated with Times Sq.Smart Koi (Japanese) restaurant also available in the hotel - quite expensive, but nice food. Reservation required...Cellar Bar - Smart gothic bar in the basement, drinks are expensive, but this is norm in New York.We stayed for 7 nights in a Junior Suite - We were housed on the 6th floor. Modern room - Flat Screen LG TV and King Size bed. The bathroom was a real plus point, a massive bath tub, along with a seperate walk in shower. Minibar, but no tea or coffee facilities in the room. Starbucks otherside of BP though.Being next 2 Bryant Park was twofold. Firstly Byrant Park was a cool place to hang out, a nice green space to chill out in the madness that can be NYC. Free Wireless internet, HBO movies on the big screen in Summer every Monday, clean and very well maintained. HOWEVER the flipside to this can be the noise (music, sounds of rigging being dismantled etc...) from the park - first thing in the morning and also late at night with the big screen. This is very much a personal thing so consider how it may affect your stay. BP has its own web site which I recommend you check out for scheduling and events.	
Aug 22 2006	Not for the hungry...	We recently stayed at the Park Bryant Hotel, NYC. While the staff was beyond courteous, the decor and ambiance left a lot to be desired. For two weary shoppers, a day in NYC battling the street crowds and emptying our wallets - we thought the $450.00 a night rate would pamper our senses and revive our souls. Au contrar...The entrance and lobby was done in red naugahide and black. Cold lines and uninviting boldness sequed into another odd choice of decorating...a red light was all that guided us through the elevator to our room whereinit consisted of platform beds and stark walls - no art. The bed was adorned with naughahide bolster pillows in purple.The accents brown. While I am not a huge fan of modern, This decor could of easily been purchased from Target. It reminded me of a dorm room before students moved in. The bathroom touted state of the art spa amenities - if you wanted to purchase them. A sewing kit and tampons(2) could be purchased for $6 each. Amazing after a room charge so high, everything was ala carte. We were pleasantly surprised with a faux chinese box of chocolate covered fortune cookies...nice touch.The room service was staffed excellently, but again the food stunk. I would never again pay $80.00 for eggs, toast and a lump of potato, served with freshly squeezed orange juice and coffee. My companion ordered a waffle (soggy) adorned with fresh berries. Yes, folks, all this for $80.00 ! and then a midnight snack awarded us with a pitiful pizza - I would not recommend that.The adjoining japanese restaurant Kio is excellent, as is the Cellar bar where we had a delicious &quot;The Long Goodnight Kiss&quot; drink - I do say try it, you will be pleased.  All in all, the hotel did not live up to its price.. even though it's NYC and in a great location, it fails miserably at it's attempt at being hip.	
Aug 8 2006	Is it a Hotel? Is it a Nightclub?	Bryant Park is a fabulously located niche hotel a stones throw from the Empire State Building and Times Square. Without doubt NY is a cool city, and this hotel makes a 110% effort to be ice cold. We read all of the reviews on Tripadvisor before booking here, and the question of just what this establishment wants to be is a constantly recurring theme. Thing is, we wanted to stay somewhere with a bit of life and probably booked not only on the strength of the hotel, but also the fact that the Cellar Bar is supposed to be one of New York's finest.The reality is that if anything we felt slightly let down by the whole experience.We paid extra for one of the Bryant Park Suites which allegedly have views across Bryant Park. Room 1804 does, but only from the side and if you crane your neck, so we felt a touch swizzed with the very average New York view (side of another building and Bank of America construction site) from the start. The suites are allegedly 650 sq ft (which I would question) and are very neutrally and minimalistic in their decor. They are pleasant, but we have stayed in some of the world's best &quot;boutique&quot; hotels and this just felt a bit IKEA-ey and could have done with a lick of paint. Facilities in the room were adequate, but for $500 a night we would have expected two sinks and not to have to pay extra from the mini bar for sewing kits, shaving kits etc.The restaurant Koi is superb. We had dinner there on the Saturday night and found the food amazing and the service attentive.We then proceeded to spend the rest of the evening in the Cellar Bar. We arrived around 1030 and sat ourselves down at an unreserved table. After half an hour we were told that the table was now reserved and that we would have to move! The staff did not even have the courtesy to ask us to move themselves - they sent the girl who was supposed to have the table over instead! We sought out the manager who informed us that our stay in the hotel meant nothing, and that after 11pm &quot;it becomes a nightclub and that's the way it is&quot;. When we spend over $2000 to stay in a hotel we do not expect to be told we are second class citizens.Generally we found the staff to helpful if a little preoccupied/distracted. For example, two days into a five day stay our room inexplicably locked us out - the receptionist insisted on picture ID before unlocking it for us, and was at first not going to accept that our passports were locked - errrrr - in our room! This being despite the fact that she personally had checked us in not 48 hours earlier!So to all those entering the nightclub.v.hotel debate I would argue strongly that the Bryant Park is a nightclub with rooms bolted on. It is cool, the building is fabulous, the location is execellent and the idea is right. A-list it is not, and there are far better places to stay in New York which do not have delusions of grandeur.	
Jul 24 2006	Fantastic location	Having stayed at this hotel last year and much enjoyed it I was keen to use it again on a revisit to the area. The location is really great, easy walking distance to most areas, nice safe place didn't seem to be any problems. The hotel itself is pretty swish with red lacquered walls in the reception area and soft lighting everywhere. It looks more like a nightclub than a hotel really. Which in effect seems to be what it is changing into - where last year there was a great bar to the front open all day this is now a restaurant (Koi - very nice but more for a business lunch than something casual) with no bar AT ALL in the hotel even for guests before 5pm. The Cellar Bar remains but likewise does not open before 5pm. Seems to be more inviting to outside visitors really than actual hotel guests. Still...the rooms are not a bad size, always very well cleaned with a selection of Molton Brown goodies and a great big tub to chill out in. Also a flat screen TV, DVD etc. Overall would recommend just hope the staff remember it is a hotel and that the guests should come first.	
Jul 10 2006 	Excellent location make sure you get a good room	I've stayed here several times this year for work, for varying durations. We chose this hotel due to its location right next to Bryant Park, which has free internet access and a nice place to hang out after work if the weather's nice.You need to make sure you get a good room at this hotel, because some are much better than others. I havent had the pleasure (or the budget) to stay in one of the rooms facing the park, but I've stayed in most of the rooms on the other side of the hotel. You should get a room above the 8th floor, at least - there is a very loud electrical unit (air conditioning?) towards the bottom floors in the back of the hotel which makes those rooms very loud (though the hotel has kindly provided ear plugs). After a few days, you get used to the noise, but it's initially not pleasant.I can speak for rooms -01, -03 and -05 -- the rooms ending in these numbers are the same whichever floor you're on - meaning that room 601 and 801 have the same layout, etc. Room -01 is the largest, with the most windows and floorspace. Room -03 is the next best, but it's smaller and has less windows. Try to avoid -05 because you really get ripped off - it's a lot smaller than -01 and -03, the bed appears to be smaller, you don't get a couch like you do in the other rooms, and where the other rooms have windows, you have a wall with a tiny window. I've been charged the same price for -01, -03 and -05.The amenities in this hotel are great (and the same whichever room you're in) - I love the flat screen tv, the bathroom fixtures, and the molten brown toiletries (but what's with the purple cylinder thing that's put on the bed?). The hotel staff are very nice and cool - they appear to have low-turnover in the staff, since I've seen all the same people there during my stays this year, and they always remember me and my colleagues. I think they're some of the best staff I've seen in a hotel (management, give them all a raise!).The restaurant in the hotel is fine, but it's way over-priced and there are so many better restaurants in NY. I've had room-service from the hotel several times, and you get very little for a lot of money - bypass the room service and order takeout from one of the many restaurants in the area, if you need food delivered to your room.I would stay here again in a heartbeat, even in room -05!	
Jul 4 2006	I'll stay here again	the Bryant Park Hotel is a real gem in NYC. The black and red lobby outfitted withhip staff dressed entirely in black is nothing, if not trendy (almost too trendy). However, once past the dark red-lit elevators, you'll find beautiful, light and airy rooms. The rooms are large, have hard wood floors and are of clean modern design. the lighting is superb, the windows large and the linen very high quality. the bathrooms are very large with nice two-person tubs and separate showers with two showerheads (a&quot;rain&quot; and a hand held). Each room has a flatscreen TV, Bose wave radio, and a sound machine that can lull you to sleep. The only thing less than satisfactory were the doormen. Upon arrival at 8:30 pm on Saturday eening, there was not a door man in sight. The doorman were a mystery. sometimes there. Sometimes not. More often, not. That was a slight blemish on the rest of a nic stay.	
Jun 27 2006	Great Time at Bryant Park Hotel	Just got back from a weekend in NY at the Bryant Park, and I have to say I was very pleased. The room was much larger than I thought, modern looking and stylish. The bathroom was huge for NY standards. I am very much into the nightlife scene in NY, and chose this hotel because it had a few things I wanted - a cool bar (Cellar) and restaurant (Koi), and I thought both were great. The hotel in general is very stylish, yet very laid back....exactly what we were looking for - not touristy, somewhat trendy and cool, yet not too sceney or attitudey. Never had a problem with the front desk, as some others have shared. Found them to be very helpful, as well as the door staff and concierge, (booked reservtions, etc for us ) It's across from Bryant Park, which is a great place to just sit and relax in the middle of town.	
Jun 19 2006	My fourth stay and still my favourite hotel...	I’ve just enjoyed my fourth stay at The Bryant Park. After five nights at the New York Palace on business (an excellent hotel by any standards but where after a week the gold, marble, over-sized floral arrangements and extremely attentive staff all begin to feel a bit much) it was, as always, a pleasure to check in to the BP - my favourite hotel in the city.Why the Bryant Park? Rooms are a good size and well furnished (in an understated way); it has the most comfortable beds, the best bed linen and the bathrooms are gorgeous. The location is superb for Fifth Ave shopping, the Museums or easy access to Soho, East/West Village etc, and I've always found the service be excellent and attentive without being cloying. But what really sells it for me are the views from rooms at the front of the building – especially above the tenth floor – which are breath-taking. By NY standards, it’s excellent value too.I’ve stayed in a junior suite here, which was wonderful, but most recently my ‘Queen size room with view´ (corner room) was my haven of tranquillity for the weekend. Above the tree canopy of the park, surrounded by the ever-changing skyline of this extraordinary city, I was reminded of why I love NY and the Bryant Park so much - and why I’ll be staying there again.	
May 30 2006	Cool hotel but friendly staff. Loved it!	After having stayed at many boutique hotels in NYC (e.g. The Alex and The Library etc), the Bryant Park hotel has to be one of the best we have stayed in so far. After reading some negative reviews, we were a bit hesitant at first, but our experience proved otherwise. The staff were always nice and friendly towards us, we enquired about eating at the popular hotel restaurant Koi at the last minute and the concierge managed to get a nice table for us even though the restaurant was completely full. Our room and bathroom were huge by NY standard (or any standard) and we also had a nice view of the park. The Molten brown bath products were an additional bonus. The cellar bar/ club looked cool but the music was so so on a Friday night. However, we were told by the staff that Sat night is supposed to be the best night to go. There are some minor problems with the hotel, e.g. the lobby is quite small and the constant techno music playing inside the lift/ elevator can be quite annoying at times. Besides that, we would highly recommend this hotel and we will be definitely coming back again very soon.	
May 9 2006	Terrible experiance with front desk staff	We stayed at this Hotel in November and I must advise future guests that in all my years of travel,having stayed in some of the very best hotels around the world.I have never experienced such terrible service by the front desk staff and management.i would not stay at this hotel again ever,totaly disinterested in dealing with any problems.What terrible attitude and lack of customer service .Quite nice rooms.	
May 8 2006 	actually a good value	we recently rented out the penthouse suite for an event. I want to mention that the staff went above and beyond in an effort to insure our success, and it did. The penthouse is really a great value (for a splurge)...a sleek rather West Elm style suite with fantastic views north/west/south. A terrace, tiny but nice. Fantastic baths, 2 of them and a great bedroom. The suite also has.2 large plasma tvs, stereos, ipod hook-ups, printers and etc... With the dining table and good catering I would reccomend the hotel for anything special...and the cost of the penthouse is great when compared to the same at other ny hotels and it really feels like a penthouse!THANKS	
May 8 2006	Loved it - will never stay anywhere else	I just returned from a long weekend in NYC, I do this trip often and this was my first time staying at The Bryant Park hotel ... I will never stay anywhere else again!!! I have stayed in a lot of hotels in NYC and I have never even bothered to write a review because they were just blah ... nothing really bad to say, nothing good to say. However, The Bryant Park Hotel, I can't stop talking about it. I work in a travel agency and I am literally calling clients who go to NYC often to tell them that they have to stay there. Our room was huge by NYC standards, the bathroom was huge. The bedding was to die for, bright bright room. Right across the street from Bryant Park which just makes you feel like your not in a noisy city even though you are. The Hotel is on 40th between 5th &amp; 6th ... close to everything but has the feel of being far away when you are there. The Cellar Bar was beautiful and a very hip spot. I have read previous reviews and the ones that say it was like a night club NOT TRUE AT ALL but It's New York City if you don't like all the energy you won't like anywhere you stay in NYC. Once you get into that elevator (which by the way there is never a wait to get into them) you are away from all the noise and energy. Sit in the park during the day you somehow don't notice the noise its just so beautiful. When we were in our room we did not hear anything from the halls or surrounding rooms and the Hotel was booked solid. A very good looking staff ... if you have our luck, ladies be prepared to be checked in by very handsome men. We so enjoyed our stay very very much I have never stayed in a hotel in NYC and spent so much time in and around our room/hotel. I will never stay anywhere else Bryant Park will be my new home away from home.	
Feb 23 2006 	Loved the details	I stayed here for 2 nights in Feb 13. I am usually hard to please, but the details impressed me. I booked a deluxe room 1604, one step up from their standard room. I was a little small, but perfect for myself here on business. It may not be worth it to pay the money for the upgrade. I found a good deal on ---- and got the deluxe for cheaper than the standard rate. I'll tell you about the things I loved first:-the bathroom was beautiful! a wonderfully powerful rainfall showerhead with independent handheld showerhead. long bath tub and beautiful sink. and the bathroom was about the same size as the bedroom area minus the closet and entry. robes, slippers, and superlong bath towels were a plus. i'm picky about details, so I was pleased to find that the next day the bathroom was completely spotless and there weren't even water marks on the faucet knobs or spouts.-The room decor was modern and simple. the pillows are the best! better than at the venetian - and that's pretty good. flatscreen tv was nice. You'll want to use the sound machine in the room since sometimes the honking becomes a bit much. -if you get room service at midnight, the turkey club is one of the best i've had ( and i'm not saying that because it's the only thing substantial to eat on the 6-item-menu at midnight) -Trendy magazines in your room for your leisure: gotham, vantity fair, vogue. sweet! even some office supplies on the desk: highlighter, binder clips.i was pretty pleased with the whole experience, but somethings they could improve were:-the sound from the hallway was louder than I and hoped, although it didn't seem like I could hear my neighbors through the wall.-the elevators are small and can barely accomodate 3 ppl + luggage-the noise from the street is kinda unavoidable.-they charged me for a $6 bottle of sparkling water that I didn't order. (but i didn't notice until i was on the plane home)overall, i was pretty impressed and would stay again if the price was decent.	
Feb 20 2006	Great stay at the Bryant park Hotel	We stayed at the Bryant Park Hotel and loved it. The front desk was so helpful and the room was large, clean with a wonderful large bathroom and shower. We had a balcony with spectacular views. Location, location..... the hotel was a quick walk to Times Sq./ Grand Central and MOMA. We would definately stay again.	
Jan 8 2006	Great experience	We really loved our experience here!1) We took a red-eye flight and arrived into NY around 5:30am, the hotel allowed us to check-in (eventhough their official check-in time is 3:00pm).2) The room was fairly large for NY, large soaking tub, cashmere blanket, plasma tv, cd's w/ bose stereo, closet, nice modern design...clean and comfortable.3) The front desk staff was ALWAYS helpful and never snooty, even at 6:00am.4) Koi Restaurant (in the hotel) - very trendy, very delicious 5) Great location, walking distance to the Broadway Theatre, where we saw &quot;The Color Purple&quot;Bottom line, great modern hotel, great service, hip crowd, no attitude. Probably wouldn't pick this hotel if I had three kids or grandma was with us...	
Dec 13 2005 	Chic but friendly	Our stay for a weekend getaway was great. We were upgraded to a Junior Suite facing Bryant Park. The room was absolutely huge by NYC standards. Decor was modern and minimalist but that's what I expected. Amenities were top notch. Contrary to some postings here, I found the staff to be very friendly and accomodating and neither of us are models :). The location is great...close to Times Square but without the masses, plus a 5 minute walk to Grand Central. We will stay here again.	
Nov 16 2005	And the beat goes on!	This hotel tries too hard to be chic. If it just relaxed a little, some of its natural beauty would show through. For example, in the hotel brochure it talks about the importance of getting a reservation at the restaurant since it tends to book up early with &quot;the A list crowd&quot;. Now give me a break. If you have to talk about it, then it probably isn't A list to begin with.The architecture is neat, including the lobby and the cellar bar. The room we had, 804 was very small. The bathroom was the same size as the bedroom. The bed was a double, not a Queen as we requested and it was a bit tight for two people ( booked as a standard room through Expedia). The bathroom was very nice and the amenities were top flight. The choice of CDs for the Bose system was OK, but all of them had the same disco, runway beat that plays everywhere in the hotel, including the elevators, healthclub and Cellar bar. It would be a bit more relaxing to get away from the beat now and then.The hotel does not have a lobby in which you could meet friends and the bar had continuous throbbing music, so it wasn't a good place to talk. If you want to have a quiet conversation in public ( as opposed to in your room), then this is not the hotel for you. Overall, I would stay here again, but at the rate we paid, it wasn't a bargain or a must revisit.	
Nov 2 2005	Not impressed	The hotel is very chic and trendy and the cellar bar hosts the &quot;beautiful people&quot; nightly, a plus if that's your thing. I was not impressed by the lack of service and facilities in the hotel, there is no hotel lobby or bar to sit and meet people or relax during the day, the staff are a little aloof and if you do not fit into the surroundings they would seem to prefer you not be there. When you return back to the hotel on an evening you will be met by cue's of people waiting to get into the cellar bar, this give you the feeling of staying at a night club. On the plus side the rooms are very spacious and well apointed.	
Oct 24 2005	Well Here is the way it is.	We were at the Bryant Park for a full week in the Raymond Hood Suite - so here is the real truth.1. The room was NYC big. A nice layout with two balconies and two - yes two flat panel televisions. Our room had a Bose player for my I-Pod and every type of stereo I could ask for.2. The Bathroom was excellent - but needs a little more storage. Ours had a steam shower which was a suprise since I never saw it mentioned anywhere. I wish it had a seat but it was very relaxing.3. The view of the Empire State Building was awsome - fills the bedroom window. Ask for the side that face the ESB. 4. The hard wood floors are well worn and make the rooms seem a bit older than I think they really are. The same as the throw rugs and the lack of art. The room decor is fashinable but it needs a bit more life.5. The bed was soft and the sheets very correct. I slept well every night.6. Room service was inflexible - they could not make even the slightest changes and you can't get food from the very good returant Koi - except what they allow. 7. The location is perfect - you can walk to it all - the subway is right there.8. Free wireless in Bryant Park - I walked down every day to get my mail. 9. The Staff was very helpful - but you do need to ask for the help. Be specific and they respond with specifics but they are young and have a young persons focus.10. The building is nice and the feel is hip but the touch of it all lacks the flair and sophistication of a Ritz or a Four Seasons - but then again for the same price as a base room in the Ritz I got all of the above.In the end it is a good hotel - not great - but solid. I recommend the Bryant Park - but with one last BIG problem. We could hear everything that the people in the next room were saying - lucky us it was empty for 6 of our 7 days - if it had not been, no matter how much I liked it I would have probably moved.	
Oct 23 2005	Fun Comfortable and Accomodating	We stayed at the BP for 7 nights. Business for my husband, pleasure for myself.This hotel is perfect for 20-40 somethings looking for a fashionable, upbeat, hip experience with the price tag to match. Rooms vary widely, you may want to ask to see a couple and choose. Cellar Bar is fun people watching and good music. It is packed on the weekends, with a line outside. If you are coming back to the hotel during the chaos, the Hotel Doormen move people aside to get you in if you are staying at the hotel. Makes you feel &quot;taken care of&quot;. Koi has delicious food and friendly staff (although don't go too late or they seem to forget about you). If you need to go somewhere on Thurs-Sat, may want to have them arrange a car, cabs are HARD to come by, even though the Doormen are great about trying.Upon arrival we were greeted by a friendly staff and prompt service (even though we came in late). We were in the &quot;superior category&quot; (their base model). Our room was on the 15th floor (1501). It was a corner room with large (for NYC) open floor space, modern decor, comfy bed, cool furnishings, tasty treats in the mini, and huge windows. Only problem, we requested a non-smoking room, and smoke was coming in from all directions. Yuck.After a move to a smaller, noisy room for one night(still in the same &quot;category&quot;, we complained and they said it was all they had for that night) they moved us to 1801, same larger room as 1501 without the smoke. Better view as well. Concierge is not always available and did not always return phone calls. BUT when we worked with Adrienne and she did a FABULOUS job of arranging anything we needed as well as making excellent dining recs. The staff in total was helpful and friendly.Get your hair done at Pipino by Hector, get a workout in the clean user friendly gym, relax and enjoy the city. And quit your complaining.	
