	Best hotel for value in NYC	My mom and I recently stayed at the Ramada Eastside for Thanksgiving to enjoy the Macy's parade. The hotel is in a good location and we could walk to everything. Continental breakfast is included in room price, which is nice. Our room was compact but very clean. We had a coffee maker (which is rare in NYC), flat screen tv, comfortable queen bed, and for the price and location, we would definitely stay here again. If you want a cozy, nice, quiet, clean, safe, convenient, and reasonably priced hotel in Manhattan, the Ramada Eastside is the best value!	
Nov 7 2005	Coudn't ask for better	I was in Ny on business and stayed at this hotel Oct 29 - Nov 2nd. After reading some of the reviews I was a little hestitant, but it was a last minute thing and the price was right. The room was perfectly adequate. It was a bit small but just fine for one (or two) adults. Most importantly it was clean. No bugs, critters or the like. The area is actually quiet during the night.Will definitely stay here again.	
Nov 7 2005	Great Deal Great Stay!!!	We (2 persons) have been there for a one week stay from 17. Sep. 05 to 24. Sep. 05, our first trip to New York. The personnel was very friendly and helpful. The room (one Queen bed) was big enough for two persons, including a huge TV. The included continental breakfast was served in a very clean room and was satisfactory for starting the day . Also the possibility to use one of the two PC's (including free Internet access) in the business center was useful. This is a perfect hotel for tourists who want to stay budget (139$ plus tax, but depends on bed type), but not want to have bad surprises. The location (30th Street, Lexington Ave.) is great. See also the other hotels of this small hotel chain and reserve directly on the cooresponding hotel sites. In contrast to some other reviews I cannot say that it smells of smoke in the Ramada Inn. Try to get a room above the 5th floor and on the side to the 30th street, which should be more quiet.	
Oct 7 2005	Stay far far away!!	I just got back from a girls weekend in NYC (Sept. 30th - Oct. 2). This particular hotel was chosen for the value of 4 people in one room ($50/night per person). I honestly don't know how 4 of the girls slept in this tiny room. I shared a room with only one person and we barely had enough space for our stuff. Our room was $199/night and that was with a discount, so in my opinion, it is no value hotel!!! Honestly, this hotel was probably the worst hotel I've ever stayed in. It was dirty, small and the entire place smelled like smoke (the lobby included). The elevators were extremely slow and they were super tiny.I would never stay at this hotel again.	
Sep 29 2005	Couldn't have asked for better...	...at least not for what we paid. I don't understand the bad reviews I read on this site before we left. They must be from less experienced travellers because we quite enjoyed our 7 day, 8 night stay.We stayed on the 7th floor and it was a quiet room, the odd siren or horn could be heard at night but we were never actually awoken by any of this. The bedroom itself was smallish, which I expected in NYC, but it was comfortable. We had some closet space and a dresser which helped for our week-long stay. The queen bed was comfortable but I'd ask for extra pillows. The bathroom made up for it-big enough for two of us to get ready at once(plus my girlfriend enjoyed not having to pack her hairdryer). We were especially concerned about cleanliness. No worries, our room was cleaned everyday and although the staff was not always cheery they were certainly never rude to us. And no, there were no bugs or mice.The continental breakfast was simple but good-coffee, juices, cereal, porridge, doughnuts, bagels and fruit. It was nice to have access to the internet in the hotel as well.The location was fine...a couple of minutes by foot from a subway, 5 minutes by foot from the Empire State building and 15-20 minutes by foot to Times Square.We weren't on an extreme budget but the money we saved by staying here allowed us to spend elsewhere. If you aren't wanting to spend loads of time in your room (we were in our room maybe 10-11 hours out of the day-basically just to sleep and unwind) and want a central, safe, clean location this is the place for you!	
Sep 28 2005	Most unpleasant staff I have ever met on my travels.	Good points. Exellent location, good price for budget traveller, bedding and bathroom clean, and the room maids were polite and efficient.Bad points, Very small rooms and bathrooms, very old building in desperate need of renovation.Very bad points, The staff at the Front Desk need to go on a training course on good manners and public service awareness. They are by far the worst I have ever witnessed in my extensive travels around the world. It was too much trouble for them to raise their head to acknowledge your existence in the hotel, never mind a &quot;Good Morning&quot; or &quot;Have a nice day&quot;. If you asked for any information like &quot;Where is the best place to buy a Metro Card&quot; they would grunt, shrug their shoulders and point out through the door.The breakfast was until 10.00 am, at 09.50 am the doors were closed and all the food started to be removed, you were given the impression that breakfast FINISHES at 10.00am prompt.If you want a cheap, very central hotel then this is fine, but if you want good polite service this is not the hotel for you.Would only stay here again if there was no other rooms available in the city!!	
Sep 18 2005 	Small but clean room	Stayed for two nights; front desk staff was busy (fully booked) but helpful. Room was small, with an above average shower, very clean especially considering the age of the hotel. Good value and location away from busier parts of Manhattan. Near a great French restaurant, La Petite Auberge. Would stay there again.	
Aug 26 2005	rude staff/blood in bathroom	Don't stay here. The front-desk staff were rude and unhelpful (and I don't mean New York gruffness which does not bother me) and the bathroom was not clean -- dust bunnies and most disturbingly, blood! Front desk staff did not care. I wrote to Ramada when I got back home and was assured the general manager would contact me (I neither asked for nor expected anything other than an apology and an assurance that he would address these issues with his staff) and have not heard anything. Clearly these customer service issues start at the top.	
Jul 28 2005	Most Terrible Hotel in New York	Worst experience ever! New York trip was ruined due to unfriendly staff, horrible attitude towards the guests. I have had a decent experience with the Ramada Inn's in other locations but this was the worst hotel experience ever.	
Jul 27 2005	Good value for money	The Ramada is a good budget hotel. We stayed here for six nights. My husband and I wanted somewhere comfortable and clean and the Ramada was certainly both of these. The breakfast in the morning is good (and complimentary) and set us up for the day ahead.My only criticism is that I did not know what AAA meant (as I am from the UK) so the quote I got with Expedia when booking it was misleading. The AAA is a the american version of AA and apparently you get a discount only if you are a AAA member. I had a heated argument with the reception lady about this and she refused to give me the rate I had booked at as I did not have one of these AAA cards (my AA card was not good enough).I even showed her my email print out that I got sent by Expedia with my booking reference number on it, the hotel address, the dates of my stay and the rate i booked at but this was not evidence enough for the receptionist.After this shaky and disappointing start (and 45 mins of arguing with the receptionist and manager) I decided I wasn't going to let this blight the rest of my hols and conceded to paying $200 odd more than I had originally agreed to.OK, that I have had my rant, it was a good clean hotel. Free internet and good breakfast bar that was regularly topped up and kept clean.Susie	
Jul 22 2005	Worth Checking into	Have stayed here several times when relative hospitalized at NYU. Excellent continental breakfast, adequate rooms, close to movies, stores, laundromat, and delis. Rooms clean, but I found an occasional bug--which I chalked up to an old building. Worth a bus or subway ride from midtown to avoid $300 nights. Staff helpful--Lexington Ave is noisy all night, but so is the rest of NYC, I imagine.	
Jul 18 2005	an Okay hotel for the price	A friend and I stayed in this hotel for 3 nights in July. I must say the location of the hotel is great, close to everything and if you can't walk to your destination a cab ride will be less then $10 (we went to Soho and the Meatpacking district mostly). Our hotel was on the 12th floor and had great views of Lexington Ave and the Chrysler Building. The room was a bit small and the bathroom was almost as large as the bedroom, which I thought was weird. There was also a ceiling to floor window in the bathroom, but instead of having curtains the window was painted over with paint. Yeah it doesn't make any sense? Also the water pressure was TERRIBLE! It would take 10 minutes to warm up and it was like showering under a leaky faucet. I would do as much washing in the sink I could before trying to get into the shower. I have to say the room was always cleaned and the air conditioner worked really well.	
Jul 1 2005	Good clean simple affordable accommodataion in Midtown Manhattan	We stayed here for 4 nights after stayng in The New York Helmsley, near Grand Central Station. The move to this hotel was planned so that we could experience the Midtown area.The hotel is in a good location, where the streets are less busy than around Times Square. You're close to the subway and there are several cafe's and restaurants around the hotel. You are a short walk from the Murray Hill area, where you can sit in Madison Square Park, under the shadow of the flat-iron building. It's a nice area.The hotel was fine. Less formal than the Helmsley but I found it more comfortable and the price is more affordable too. We had clean towels every day and the room was cleaned/bed made etc every day.We stayed on the 6th floor, in a non-smoking room (as we had specified when booking through Expedia). The water pressure was fine in the en-suite bathroom, which was small but clean and well laid out. The bed was comfortable - not too soft, nor too hard.We didn't eat the complimentary breakfast - eating out in New York is so easy and affordable that we chose to skip the continental breakfasts and eat in one of the many eateries nearby.The hotel staff were courteous and helpful. We had trouble with the electronic key on a couple of occasions, but the staff at the front desk were quick to respond. My only other dealings with the staff happened when we would access our safety deposit box each day (a complimentary service).The room had an air-conditioning unit which worked fine but we still felt the room was too warm at night. We stayed over the memorial day weekend and found the weather outside to be very hot, so that probably explains the warm room. The air-conditioning *was* doing its job, it was obviously competing against some very warm weather.I would definitely stay here again and found the area to be very safe and pleasant.	
Jun 27 2005	Good hotel in a great location	The Ramada Inn is in a good hotel in a great location. It's walking distance to almost everything (that means if you like to walk!!). The front desk folks were very pleasant. We got to our hotel very early in the morning (730am), however check in time is at 3pm. The front desk manager noticed how tired we were and checked us in at about 8am or so. Very nice of him. This is a great hotel to stay in if you don't plan on staying in the room too much. The ONLY problem that we faced is the outside noise in the middle of the night. It's true what they say, &quot;the city NEVER sleeps&quot;. at 2 am you can hear cab drivers honking, the sirens of the ambulence and cops.... Not as bad as it sounds, but it did annoy me a night or two. Overall the place is affordable, in a great location and one of the nicest one in the surrounding areas! Have fun on your trip....!!!	
Jun 12 2005 	really okay but not great	My experience was similar to others. Despite a confirmation that clearly stated I had reserved a non-smoking room, I was told too bad 'we don't have any'. One has the feeling the front desk is numb to complaints. I accepted the smoking room and it was indeed perfumed worse than a rental car. But I guess that's better than the odor of stale cigarettes. I did however still smell the slight musty smell of mold in the hallways. Being prepared by another reviewer for the loose shower turney-thing helped me gingerly get the shower to work without the handle falling off which it was close to doing...Other than those 3 or 4 things - the room seemed clean, small and functional with coffeemaker, wireless internet access, continental breakfast and small business center all for 125. night. A rip off - no, but not a fabulous find either.	
May 31 2005	Dissapointed.	I arrived with all my family after a trip of more than 5 hours and when I arrived our room was not available due to lack of water, electricicy, etc. can you believe this?Even if the above was true, they do not give us another room, no rooms of any kind, can you believe this?They only offered to call other hotel nearby, ask the price (more expensive) the availability, and sent us there. Also did not offer a taxi, even that it was at walking distance, it was after midnight, it was raining and we were carrying heavy luggage, can you believe this??I would not recommend this hotel, you never know if you will get your room even if you reserved with plenty of time.Really, I did not know this could happen in the big apple.I will never visit this or other same kind hotel.Carina Aguilar/Amanda de Arroyo	
May 31 2005	Not Bad!!	I was happy with the hotel. For the budget consciuos traveler I highly recomend this hotel. It's in a great location and readily accesible to some NY attractions. Our room was small but the bathroom was not very confined. For the amount of time we spent in the room it was adequate. Our room was cleaned daily and the staff was nice and polite. The hotel is old so you do have the smell of mold that is distinctly covered with the smell of cleaning products. Besides that I dont have anything negative to say. I would definetly stay here again.	
May 29 2005	Great little hotel in NYC!	We stayed at the Ramada Inn Eastside on May 6-8, 2005 while visting NYC for several Yankees games. The room was tiny, but adequate and definitely worth the price! The location is great....within walking distance to the Empire State Building and great restaurants and shops. We were impressed with the food and the price (very reasonable) at the Murray Hill Diner for breakfast, only a block away. Also, many Indian restaurants are right around the corner. Definitely try Curry in a Hurry! The subway line is right around the corner (the 33rd Street subway and the 28th Street subway).....one stop away from Grand Central/42nd Street and a quick trip to Little Italy and Chinatown. The only negative we found in the room was the lack of water pressure. The shower provided barely enough water pressure to get the shampoo out of your hair. On the third morning, the entire hotel had no water for over 3 hours! We were unable to shower this day, and only received a 10% discount for this inconvience. Despite this, we would definitely stay there again. Great bargain for NYC!	
May 19 2005	The best your money can buy	Maybe the best budget hotel in Manhattan. The rooms are not so big, but clean and featuring some amenities only found in upper category's hotels. Extraordinary location, quite (yes, it's possible a quite hotel in NYC) and close to main attractions. Subway is a block away and the staff are also ok. For $80 a night you won't find better place. Lots of inexpensive deli's and restaurants right through the door.	
Apr 22 2005	Good Inexpensive Option for NYC	Stayed here on a peak April Saturday night when most other hotels were sold out. Front desk staff were helpful from the time I called to confirm my reservation to the time we checked out. Room #911 had a view of the Chrysler building from the bedroom and the Empire state Building from the bathroom. Our small room was very clean, and the bath was a decent size with no problems with water pressure. Temperature control worked fine and there was a coffee pot and supplies for making coffee &amp; tea. It is not fancy, but a basic accommodation in a safe area. Breakfast was plentiful and the serving area was clean. Although I prefer a location further north for my own convenience, I would not hesitate to stay here again.	
Apr 19 2005	Great Value and Location!!	Stayed for a full week in March, 2005 - our first trip to NYC. Found Staff very friendly and helpful. Allowed us to extend our stay one extra day even though the central Ramada reservations agent said they were full. Accepted AAA discount without question. Had room with 2 Queens that was clean and comfortable for 3 adults, although we were in the room only to shower and sleep. Provided extra towels and pillows on request. Continental breakfast - available 7 days until 10am each day - ok just for a light morning snack. Another perk that is unusual for hotels these days - they don't charge for local calls ( 212 area code) or 800# access. Must be well insulated because it was in the 20's at night but we didn't need the heater at all (and we're from LA and not used to the cold!) Only issue was an elevator that squeaked horribly and took 2 days to fix - granted, it was the weekend. Luckily we brought earplugs for sleeping, which we recommend anyway if you're not used to traffic noise 24 hours a day. Great location - felt safe and secure in the hotel. We walked everywhere and felt comfortable walking at night. Easy to get taxis - most expensive taxi ride was $12 from Central Park. Lots of sights, restaurants and shops in the neighborhood. This is a great budget hotel and we can't wait to go back!	
Apr 14 2005	Great value	I wasn't expecting much for the price, but was pleasantly surprised to find a generously-sized (by NYC standards) queen room and bath. The room was clean, the bed was comfortable, the bathroom was actually attractive and appeared to have been recently renovated. The staff was friendly and helpful, and the continental breakfast was decent. I've had far worse in NYC for more money. The neighborhood is safe, but there's not a whole lot going on in the immediate vicinity; the subway is nearby and taxis are plentiful. This is not a destination hotel, but a safe, clean, comfortable place to spend the night. In other parts of the city, you wouldn't blink an eye to pay twice as much for the same room.	
Apr 1 2005	Lots of little problems	My company probably booked me into the cheapest hotel in midtown Manhattan. For three nights, Mar 27-30 2005, the price per night was 89, 99, and $119.For that price you get a lot of problems. First thing upon getting to my room, I had to call back down to the front desk because I had no TV remote. By the time the guy came up to the room with a new one, I had a list of other problems. 1: toilet would not flush. 2: shower water handle fell right off when you touch it. The guy fiddled around with the toilet until it flushed. As for the shower handle, he looked at it and determined that a screw was missing. Not that he was going to expend any energy to fix it. More of an informational, &quot;That's why&quot; type of thing.Also later I was disappointed to find out that the fitness room was not open (renovation), the water pressure was just a trickle of lukewarm (at best) water, and worst of all, the heater just would not heat up the room at night to a comfortable level. it was not even that cold outside... but it was that cold inside too.The room had a strong smell of perfume, no bugs... and it was full of ashtrays, even though I had requested a non-smoking room. I would take my chances almost anywhere else.	
Mar 22 2005	It was awful	We were very unhappy with this hotel. We took it because it was cheap, but you definately get what you pay for in this world. The sheets were itchy, and there were long waits for the elevators. The cleaning staff use one of the two elevators for sheets during the day. And the rooms were very small.	
Mar 19 2005	Good Hotel for travelers on a Budget	This was a nice little hotel. My boyfriend and I stayed there from March 12-15. We got a room on the 4th floor facing the front of the building, I thought it would be noisy but I was pleasantly surprised. The room was cleaned and the bed made up daily which was nice. We got a smoking room because everything else was booked up, but thankfully it smelled fresh and nothing like smoke. Another plus was the free wireless internet which was great since we had brought a laptop along. We only went to the continental breakfast once and it was the normal fare; doughnuts, bagels, ceral and the like. The location of the hotel was alright, within walking distance to the Empire state building and Macy's and the shops on 34th St. It's also only a few blocks from the 28th St. Subway stop for the green line. The m16 bus on 34th St. will take you straight to the Port Authority bus terminal. There's also a nice Mexican restaurant called La Cocina a block away on 3rd Avenue, and the hotel is surrounded by indian restaurants which we were too unadventurous to try. The downside was that it was hard to keep the room at a comfortable temperature. When the heat was on it got really hot, and when it was off it was too cold. The elevator was also a little slow and smelled strongly of cleaning products which wasn't that bad considering what it could have smelled like. Also the front desk wouldn't change four dollars into quarters for us, so if you're planning on taking the bus which only takes quarters remember to bring them with you! Overall this hotel was nice and we would stay here again.	
Mar 18 2005	Great Value for Money	This hotel is great value for money! The rooms and the bathrooms were very clean and comfortable! If you are looking for a cheap place to rest your head this is definately the place to go. Next time I am going to New York and I am booking this hotel again!	
Mar 13 2005	Great Value for the Tourist	Our first time in New York (Mar 4 - Mar 9). Hotel not quite up to site images but found staff very helpful, room was cleaned daily and warm. Breakfast was more than sufficient - nothing fancy, all self service with disposable plates. We asked for a high floor and were given the 9th with good views over Lexington. Location is reasonable although we would not walk too far at nights. Too much to see and do in NY to spend much time in room but looked forward to the comfortable bed at nights. Would strongly recommend to those looking for a good tourist-class hotel and would return ourselves. Only one warning to all non-yanks going to NY - watch out for the room taxes as there are three additions to the rate quoted which can add up!	
Mar 9 2005	You take the good. You take the BAD!	My feelings about this property are mixed. On one hand it is a good location and we got it at a decent price for NYC. Our rooms were clean and we didn't see any roaches (which other people mention in their posts).On the other hand, when we made our reservation they told us that they have cots available. There was a large group of us staying at the hotel and some were planning on sleeping 3 to a room. I repeat that they told us that they could fit 3 in a room. When we arrived, they did not have cots and were NOT apologetic in the least. We ended up having to get another room to compensate for this. Also, when we returned home from the trip, they had charged one of my friends twice on her VISA. She spent hours upon hours on the phone with the Ramada Eastside staff trying to resolve the problem. They were extremely UNhelpful and RUDE. She finally got the problem resolved with the Ramada corporate HQ.Despite all of this, I would probably consider staying there again because of the location and price in such an expensive city. Just watch your back and remember: they do not have cots!	
Mar 8 2005	Loved the location loved the room facilities	We stayed for three nights last October in the ramada Inn Eastside and were surprised how clean and comfortable the whole house was. The location of the hotel was supberb, breakfast was sufficient, the atmosphere of the staff was friendly and helpful.We can recommend this place to everyone and we hope to be back very soon.Eberhard und Birgit Herbst, Bremen Germany	
Mar 6 2005	Not too bad great price!	Overall, a good experience. We received a 10% AAA discount when we booked our room, but you need to bring your card! (Not just your little key ring AAA card, but the full side credit card size AAA card).Anyway, the rooms were average to small size, clean and quite managable. We stayed there overnight on Saturday near the end of February 2005. The check in clerk was excellent, held our bags in a locked area while we viewed the city and got us into the room early. When we returned back later to check in the other couple that was with us, the clerk wasn't so nice. He started to tell me that the AAA rate was only 5% and did not want to hear any explanations. The next day, the original clerk gave us 10%, but we had to deal with this nonsense in between. In the scheme of things, it wasn't a big deal, it was the principle!  We got a great price on the room (about 100 dollars) and the subway was only 3 blocks away. There was a 24 hour diner we visited the next morning for breakfast (named &quot;Moonstruck&quot;) which wasn't too bad! TIP: Use the subway! Buy a one day unlimited ride pass at any subway station for only 7 bucks! Ride all day on this card and save some money. Ask for a NYC guide at the Ramada's desk and inside you will find a subway and bus map that your unlimited $7.00 &quot;Metrocard&quot; will cover for all mass transportation. Take the 4,5 or 6 train (subway) uptown from the hotel for a direct stop to Grand Central Station if you want to jump on a Metro North train back home (we're from CT).Anyway, good experience and we will stay there again. We're going in May, but the rates are about 30 % higher since the season will be in full swing for tourists!Take care and enjoy fabulous New York City! Go Yankees!Mike	
Feb 27 2005	What a Bargain!	I stayed at the Ramada Inn Eastside from February 10th to 12th 2005 and was VERY pleasantly surprised, especially considering the price I was paying ($89 per night) and the location. I had a room on the top floor (11th I think) so noise wasn't a problem at all. The room was clean and comfortable, although my only quibble would be the erratic nature of the shower - underpowered and a little temperamental. But other than that, I had no complaints whatsoever.The rooms aren't huge, but perfectly adequate, and if like me you are in NYC to see the sights rather than hang out in your room, this shouldn't be a consideration when choosing this hotel.The Empire State Building is only a few blocks away, and the subway is around the corner.I can't comment on the hotel breakfast however as I was in NYC to visit a cousin and we ate breakfast at local diners which were plentiful and cheap.All in all, great value and excellent location.	
Feb 2 2005	Great value for the location	The hotel is located in an excellent position, great value (89$ per room per night). Rooms are clean, daily maid service, breakfast included, very nice staff. Nothing more to ask if you want a cheap holiday in New York!	
Jan 22 2005	Good Property	Stayed here for 4 nights Jan.13-17. The room was clean and the King size bed was very comfortable. I had stayed here before when it was a Comfort Inn ( or maybe a Quality Inn-same company) I had a room by the street that was pretty noisy. This time the room was away from the street and much quieter. So, if noise bothers you-ask for a room away from the street. The location is not bad, close to Macy's and Empire State Building, but pretty far from Time Square. I would recommend this to anyone who doesn't mind walking a little, or who doesn't mind riding the subway.	
Dec 31 2004	A great value	A great value in New York. Located at 31st and Lexington, this hotel is about 2 blocks from the 6 Subway, and one stop from Grand Central. Our room was well priced ($159 for 4 adults in 2 queen beds). Our room was clean, and the bathroom adequate. I was pleased that the room we got matched the picture on their website. There are numerous great indian, and italian resturants within walking distance. One of the best bagel shops in NYC is just around the corner. This hotel is about 20 minutes from the heart of times square, but very easy to get to. We had 7 day subway/bus passes and had no trouble getting around.They also have a deal with a parking lot around the corner for $20/day (no in and out privleges though).We didn't check it out, but they boast a fitness center.The continental breakfast was pretty basic though...bad bagels, donuts, ok coffee and fruit juice.This is part of a chain of budget new york hotels---------------------------------------I would definetly stay here again.	
Dec 19 2004	A great place to stay	Booked this hotel as preferred to spend the money in New York rather than spending it on a 5* hotel. Going budget is always a risk, but rest assured - the Ramada Inn on Lexington proved that it's worth taking risks.The reception has a lot of olde world charm and character, and the staff were helpful. Rooms, whilst not being massive (this is a budget hotel remember) were an adequate size and catered for all we needed. The beds were comfortable and the rooms were clean. Breakfast was a complimentary continental breakfast - bread, bagels, donuts (?), cereal and fruit. Tea, coffee and juice were also included.The best part of this hotel though is its location - from its door you can see the Chrysler building. A 30-second walk to the right provides views of the Empire State Building. Grand Central Station is a 15-minute walk away and Times Square is well within walking distance.We stayed on the 9th floor and the view from the window was stunning. Yes, there is a road outside, but trust me, the noise isn't that bad at all, and if anything it adds to the whole 'New York character'.In short, this hotel is definitely worth staying at if you don't want to spead a fortune on accommodation. If you want to go to New York and spend time in a hotel swimming pool, or in its gym, feel free to fork out the additional £'s.	
Dec 18 2004	Excellent Value	Only paid $89 a night in December! Great value, clean comfortable room, friendly staff, free internet access, small gym ( not that we used it) and a continental breakfast ( delicious fresh donuts!). Close to subway, ESB and Macys. Can't fault it!	
Dec 15 2004	Comfortable Hotel	Booked into the Ramada Inn via the Apple Core website based on the reviews on tripadvisor and was not let down. A nice comfortable and simple hotel that was clean and met with our expectations. In a great location to explore midtown Manhattan but still just that little bit outside the hectic tourist and shopping areas so you can catch your breath. A ten minute walk to the Empire State and Macy's. Handy small internet cafe right next door and a lovely Italian restaurant at the other side (both seperate businesses). Staff were very helpful and we were able to leave our luggage with them after check out without any problem. They also booked us a cab back to the airport which was great. Would have no hesitation in staying there again the next time we are in NYC.	
Dec 6 2004	Nice place to stay.	Second time I've stayed here. For the price you can't really complain, plus as the hotel is only a couple of years old it is in good condition. Room was smaller than my last one but still an okay size for a double, with built in wardrobe and a decent sized bathroom. Plus how many New York hotels give you a breakfast included for these prices, even if it is only a Continental one?Location on Lexington and 31st is at the lower end of midtown but very handy for the Empire State Building, Macys and Herald Square. Overall, in a good location for exploring New York.The staff were courteous and will happily store bags securely after check out at noon - useful as European flights usually leave New York in the evening. Small cafe (separate business) located in the building by the entrance. Handy for getting a snack, paper or to use the internet.	
Nov 29 2004	Nice little hotel...	this is a relatively small hotel ...the staff is quite nice, as well as the service ...the rooms are a bit old, but hey... its NYC!the only problem was that whenever you turned on the a/c all that would come out was HOT air...overall... it's worth the price!	
Nov 23 2004	Everything I expected	I booked this hotel off the back of the reveiws on this site and was not disappointed - good clean hotel, nothing special but amazing position and you really don't need anything else. Go somewhere boring if you want to lounge ina gorgeous hotel room all day, go to the Ramada Inn if you want to see New York.	
Nov 14 2004	excellent hotel	excellent hotel. have stayed in New York 4 times and this was the best hotel. very clean, quiet and cheap. great location with easy access to the metro and the Empire State. the inclusive breakfast was also a bonus. would stay there again. top marks.	
Nov 10 2004	Tiny room horrible shower	This hotel was okay but the room was TINY, the typical size of a European hotel room and there was no water pressure and the shower barely got luke warm. We called for someone to come up and make sure it was working properly and were told it was. When we tried to adjust the water temperature, the faucet knob literally fell off! Cheap price and feels cheap too. Would not stay here again. The neighborhood was not bad and if you like Indian food there were lots of Indian restaurants.	
Nov 4 2004	THIS PLACE WAS GREAT!	My mom and I stayed at this hotel for our first trip to NYC. I booked this hotel by mistake (wanted the Ramada Plaza). But it turned out to be a fraction of the price and I would stay there again! After reading some of the reviews I was really nervous, but it turned out better than i could have hoped for! The staff was VERY friendly and accommodating. The hotel was very safe. The rooms were VERY clean (and I'm really picky) we stayed on the 11th floor with a great view. It looked like the room must have been renovated a few years ago. I have traveled quite a bit and this is the FIRST hotel I have ever stayed in that didn't stink...it smelled very fresh and clean! The beds were great and it was very quiet every night!This location is great if you want to get the REAL NYC experience. There are a ton of great Indian restaurants and spice shops all around. If you like curry you HAVE to eat at curry in a hurry just around the corner, it's GREAT. The hotel was about 2 blocks from a subway station. We bought the &quot;fun pass&quot; for $7/day unlimited rides, it was great~ just make sure you have a good map of where the subways run! This hotel was located in a more residential area where you got to see how people REALLY live in NYC and it was a nice rest from the hustle and bustle of Times Square. *TIP: if you're taking a cab from the airport make sure you tell the driver 30th &amp; Lexington, because if you just say the Ramada in Manhattan they are likely to take to the other one.I LOVED NYC one of the BEST trips if you like site-seeing and Shopping! Feel free to e-mail me if you have any questions, I'll be happy to share any info!	
Oct 14 2004	Scandalous - Better Business Bureau Should be Called	I am still at a loss for words. Even after confirming my reservation (they had my credit card number and told me I could not change within 24 hours), AND calling the day before my arrival to confirm the hour, I arrived in NY at the Ramada at 11 pm to learn that they had GIVEN AWAY MY ROOM!EVEN AFTER I HAD CONFIRMED TWICE, the day before and the day of!! The manager told me he heard me call earlier, and did not understand why his colleague told me my space was available as he knew they had given it away. I am serious!So not only did they give it away, but they did not tell me when I called to confirm, and I came in from the airport to find NO ROOM, despite their having told me the day before that I could not cancel within 24 hours because my credit card would be charged!Furthermore, when I asked their help in finding a hotel they told me to use the public phone in the hallway.The manager told me he would pay my cab to stay with family I had in NJ ONLY if I came back the following night.I have never had this experience in my entire life. Customer service could not help me either - they told me the closest they could place me was a hotel in Bergen county NJ - over an hour outside of NY!This is absolutely scandalous, and furthermore, I have had no apology AT ALL from management. Moreover, as a young woman on my own in NY, with my luggage in hand, they had no qualms of telling me that I would be out on the street.I am still beside myself about this. Never in my life will I ever stay in NY at the Ramada or anywhere in the world again. This is incomprehensible, and I would not wish this on my worst enemy.It was so bad that at the end of the evening, I even had to call the police. To this day, I have had no news from their management.AVOID AT ALL COSTS!	
Oct 13 2004	Exellent Neighbourhood Decent Hotel	For the price, a bargain. Staff were helpful and friendly, and the place was clean enough (only one roach spotted). The only real trouble we had was with the hot water, which ran out twice during our stay. In a wonderful neighbourhood on the east side of Manhattan, and close to some of the best restaurants/deli's...try Tibetan Kitchen on 3rd Ave for a great meal. Hotel was also near a subway stop on Park Ave. A very good location and a decent hotel for the price.	
Oct 11 2004	great value	I thought this hotel was a great value. The price was good and I had no problems with the room and staff. For this price range, choose this hotel.	
Oct 5 2004	Good value in an expensive city	I spent ages trawling the web looking for a hotel with decent reviews and at reasonable prices and ended up plumping for the Ramada. Couldn't really complain to be honest. It's pretty basic and if you're expecting huge rooms, big bathrooms, 5 star restaurant then look elsewhere. It's ideal for people on a budget as NY is one expensive place. Walking distance from Empire State, Grand Central, 5th Avenue. Couple of blocks from the subway for attractions further afield. It's an ideal location. It is pretty basic and the free breakfast isn't going to fill you up or anything but for the price in a city as good as NY then you can't complain. Oh, and book via the Ramada website.	
Oct 5 2004	indian rhapsody	we stayed from from sept 24-27 yes there were roaches yes the girl at the front desk is always sleepy but location and room were okwe will be back! best places for indian lunch westof new deli a block away	
Sep 15 2004	Nice place!	It was my first trip to NYC, and I loved this hotel! It was out of the tourist-y parts so we got a chance to see a cute part of the city. Very close walking distance to many things, and the neighbourhood is very multi-cultural. There are also some great restaurants beside the hotel- a cute spot for a warm breakfast. Being a university student on a budget, this hotel offered a price comparable to some hostels, but it was so much more comfortable and it had a very retro and classy feel to it. I will definately consider staying there again!	
Sep 8 2004	Nice Price Ok hotel	Stayed here for a week in August. For NYC, the price of this hotel is very nice. Especially for the location in the Upper East Side. The room is small but clean. The street noise isn't bad. Free breakfast wasn't anything special. If you like bagels-you're in luck! That's about all they offer besides bruised bananas and apples. Coffee isn't good, either. But hey, it's free. The staff was average. The control for the AC is annoying-either you freeze on the high switch or roast on the off. There is no in between. Good walking distance to the Empire State Bldg, about 3 blocks and to a subway entrance. Great location for catching a cab. There is also a very charming Italian restaurant right next door called The Belvadere-we ate there several times, wonderful salmon and steak. My husband and I loved NYC. Be sure to visit the Met and have lunch in Central Park!	
Sep 8 2004 	The one problem with this hotel was a BIG one	Ramada Inn was comfy and quiet, the rooms were nice, the staff was excellent and helpful...BUT there was one big problem. I was surprised after all the good reviews for this hotel on here. There was a bad roach problem. I saw at least 8-10 roaches in my room during my three night stay (during the first week of Sept 04) overall, and there was even a roach on the counter while we were checking out. Yikes. Maybe that's just par for the course in New York City, I don't know. But they should at least stock the rooms with some RAID! If the management tackled the roach problem, this would be a great little hotel.	
