	Amazing Service!	I was so happy with the overall value of this hotel. The service was incredible - the location was awesome - and the rooms were comfy!!! I loved the breakfast in the mornings - great coffee!! The free internet service was extremely helpful.... There was a complimentary bottle of Perseco and chocolates in the room.... Wine at night.. awh....The room was pretty good size - for NY, especially. They offered passes to the gym, but who wants to do that on vacation? I found NO complaints at all with this hotel. We could walk to 30 Rock and to Central Park. Subways are only a few blocks away... and 5th Avenue is only 1 block away! It doesn't get better than that.	
Mar 29 2007	Hotel Elysee -- absolutely first rate	What a great NYC hotel. The service was excellent -- the staff very well trained and geniuinely helpful. The continental breakfast was more than adequate and the dining area was different: a casual lounge, much like a luxury home, with sofas, small tables, alcoves. They had free wi-fi in the rooms or you could use the hotel's computer and printer -- all at no extra charge. No nickel and dime-ing. We had a small suite -- it was very nice, HD TV in the living room, nicely furnished. Even the sofa-bed was of high quality. Overall a very good value for NYC. As good a hotel experience as I've ever had in NYC -- highly recommended.	
Mar 26 2007	Loved Hotel Elysee Will Go Back	This was a perfect hotel, very nice, great location, not outrageously priced, and small enough to be personal. The room was charming, lovely and very clean, complementary water bottles in the room upon arrival were nice, as was the bathrobe and slippers. The shower had great water pressure and the towels were fantastic. All staff were friendly and helpful. The continental breakfast was very convenient and good: yogurt, hard boiled eggs, cereal, juice, coffee, bagels, pastries, I'm sure anyone could be happy with this offering. I will definitely stay again, and will recommend to friends.	
Mar 26 2007	Great Hotel no Monkey Bar	This is a wonderful hotel that is similar to many classy European hotels. The room (76) was elegant and clean, and the location was perfect. The only negative aspects of our stay were the construction across the street (noise) and the fact that the Monkey Bar was closed for renovation (no mention of this on the hotel website). If you stay here...ask for a room away from the street to avoid the construction noise.	
Mar 22 2007 	Great Overall Experience!!!	We stayed at the Elysee Hotel back in August 2006 and had a wonderful experience! Before arriving I explained to the sales manager that the weekend I had planned was a very special one and that I needed certain accomodations to make it happen. The staff went above and beyond the requests I made and helped tremdously making the weekend a memorable one. The room was lovely! We had a nice size room, very comfortable bed, very clean, and a balcony over looking the streets below with a table and 2 chairs. We didnt spend too much time in the room, but when we were there, it felt so homelike. The breakfast in the morning was perfect. I am not a breakfast person, but coffee, lattes, muffins, cereal, bagels, etc. You had many choices and just enough to get you through the morning.Like I mentioned above, the staff was extremely nice and personable! I had a few extra requests that they did above and beyond what I asked for. Just another example of their professionalism at the hotel.Overall, a great stay, lovely room, wonderful staff and manager, and a perfect location near the Rock.	
Mar 21 2007 	Wonderful cozy haven in the middle of NYC!	This was the most relaxing stay in NYC we've ever had. This hotel has many things to recommend itself, and I just wanted to mention a few:1. The decor is very welcoming and cozy. It feels like you stepped into a private home when you visit the Library for breakfast, or come back to your room. Very nice. Please be advised, the hotel is small with only one elevator, and sometimes the climate control in the room is a little finicky, but these are minor issues when considering the serivce.2. The staff service is impeccable! The maid staff takes tremendous care to keep track of when you are in or out of your room. We would leave for breakfast at 10, and come back 1/2 hour later to find our room beautifully refreshed. Very comforting.3. The location of this hotel could not be better. While it is located on a busy side street, it is moments from the 6 train subway stop and all of the best shopping one expects to do in NYC. The conceirge was very kind and was able to provide us with a map of the basic subway system that saved us time and time again.4. The breakfast provided at the hotel was delicious. While they didn't have ready to order omlets or other such amenities, the spread available was healthy and yet delicious.While other reviews have had issues with the noise on 54th street, I have to say the room we stayed in (on 10th floor) was quiet and the windows seemed updated and sound proof, even though they could be opened. The entire staff, from doormen to conceirge to maid staff were nothing but impeccably mannered and generous with their help. I would recommend this hotel to anyone I know. I will definately stay there again the next time we visit!	
Mar 19 2007 	Outstanding experience!!	This hotel was as wonderful as can be. A beautiful facility, excellent staff, and comfortable and homey beyond what anyone could expect in Mid-Manhattan. The atmosphere was like a charming country inn, our room as well as the lounge were delightful.	
Mar 16 2007 	Great Botique Hotel	I've stayed at this hotel 3 times over the last year and absolutely love it. The location is great (midtown) and very close to most things. The staff is very professional, helpful, and knowledgable....they will recommend a Broadway play, or set you up with dinner reservations around town.The accomodations are nice. Plus, they have a great continental breakfast, as well as, a nice wine and cheese &quot;happy hour&quot;.The Monkey Bar is really cool and has a lot of history. If you love Italian food, definitely go to Cellini's across the street.	
Mar 14 2007	Country hotel the city	Like an English country hotel in mid-town Manhattan. Comfortable room, very helpful staff and affordable valet parking. Included continental breakfast and complimentary tea, cookies, wine, and cheese in the afternoon are nice touches. Note that the Monkey Bar is currently closed for rennovation (until May?), although room service is available.	
Mar 8 2007	Go back every time we get a chance	This was our fifth or sixth stay. It's our favorite among a handful of similar small hotels we've returned to in Manhattan. Service is excellent and friendly. The lounge with complementary wine and cheese in the evening and breakfast in the morning makes it feel very relaxed and homey, while at the same time preserving a romantic and &quot;European&quot; flavor.	
Feb 27 2007	First Time at Elysee - Great Hotel	We stayed at the Elysee the weekend of Feb. 23-24 to attend a wedding. We tried the Casablanca, our favorite hotel, but it was full. However we discoved the Elysee is owned by the same owners so booked it. It was a great hotel. We had a small changing room, large bedroom with a sitting area and large upscale bath. The staff were very attentive and we enjoyed the sitting room(s) on the 2nd floor as well as a very nice continental breakfast included in the room rate. We'd recommend this hotel in a heartbeat.	
Feb 22 2007 	Great place to stay because of location amenities and service	After an exhaustive search using Trip Advisor, Expedia and countless other avenues for seeking out accommodations, we decided on Hotel Elysee. And we are so happy we did.To us, cleanliness, service, value and location are imperative and the Elysee offers all that;- Immaculate was how we found our fair size room at the end of every long day adventuring. Yes the room (145) was a little worn, but the king size bed, marble bathroom, spectacular view, turn down service more than made up for it.- Service is what we expect. And we received it from the entire staff. The doormen are great, the front desk staff are quick and everyone @ the Monkey Bar(great place) knows how to make a Martini- Value is key. $275.00 during the week and $245.00 on Friday, Saturday and Sunday in February. Breakfast was excellent, cookies and tea in the afternoon was a nice snack. Decent wine, champagne, cheese and crackers in the evening was always a great way to start the night.- Location – within a few minutes walk we were at Central Park, Bloomingdales, Louie Vuitton, Radio City Music Hall, a Subway Station, Rockefeller Centre, Times Square and more decent restaurants than I can count. New York is a great city to visit, a great place to create a lifetime of memories and the Hotel Elysee is a great place to start	
Feb 21 2007	This Hotel is WONDERFUL!	We stayed at the Hotel Elysee for the week of New Years 2005 to 2006. This hotel made our trip that much more wonderful. The staff was helpful, friendly and fun. The included breakfast was very good, served in a delightful setting. On New Years morning we looked out the window, from the diningroom / library, to the snow covered street below. Christmas wreaths hung on every window which added to the warmth and hospitality. The service was always great. The period charm of the hotel was addicting. Rooms were of good size with wonderful decor and comforts. It isn't a large modern hotel, the description of &quot;boutique hotel&quot; fits it perfectly with all the modern necessities. I hope to come back to this hotel more than once!	
Feb 14 2007 	Great weekend at the Elysee	We returned yesterday from a great weekend in NYC.The Elysee is centrally located for Times Square and Central Park, and the buses are cheap enough to get out and about in Manhattan.We loved the Elysee, the staff were very helpful. Our room was very clean, and the bathroom was well stocked with toiletries and towels.The breakfast in the lounge was really good, with a great selection of bread and pastries, as well as delicious fresh fruit, and a range of teas and coffees.We enjoyed the informal drinks and nibbles in the lounge and met some lovely people over drinks there.The purpose of our trip was to meet up with our daughter and her husband who had flown over from their home in Seattle.I would recommend this hotel, and hope to return one day, but in the summer - it was bitterly cold for this trip!!	
Feb 13 2007 	Gorgous Hotel	Had a lovely time at the Elysee - the location is great for 5th avenue shopping, and the staff are extremely friendly and helpful. Cute little bar downstairs was nice for cocktails, but the highlight of our stay was the lovely lounge area overlooking the street, where free drinks and snacks are served in the evenings. They also had a fantastic breakfast here, which is included in the price of the room, a big plus on a holiday in America where they usually charge extra for everything! ~The only snag is that the rooms are very small, and not particularly spectacular inside - but easily forgiven when relaxing in the lovely drawing room, ideal for chatting, reading, and chilling out. Would recommend this hotel for women travelers, for kids, teens, and would especially recommend for older travellers or couples as it is very cosy and handy for Mid Town.	
Jan 30 2007	Wonderful botique Hotel	Mid town location. Easy walking distance to Times Square, theatre district, 5th Ave shopping, three blocks from MOMA, excellent restaurants in easy walking distance. Rooms are well appointed and quiet. complimentary breakfast more than adequate and wine and cheese in the evenings gets you off to a good start.	
Jan 29 2007	Great Location for a getaway!	My husband and I stayed at the Elysee for a getaway weekend. We loved the location and traditional styling of the rooms in the hotel. It was walking distance to the best shopping in New York, Times Square, and the Museum of Modern Art. It was a terrific value and our package came with continental breakfast in the parlor room. We had a great time and we capped off our evenings with a martini at the stylish Monkey Bar off the hotel Lobby.	
Jan 22 2007 	More than impressed	Having read the reviews earlier in the year when I originally made the booking I was a little concerned that the later reviews gave me cause for some concern.We are a family of 2 adults and 3 teenagers. We booked a suite and a superior room. We arrived very late at night and were swiftly processed and taken to our rooms. I can understand the comments posted on a few points, yes in places it is wearing but I found it immaculately clean and comfortable. The staff were excellent and very obliging.The evening drinks and snacks were great and apart from the greediness of some of the other guests, particularly hogging the free internet access, we thoroughly enjoyed it.We would definitely return.	
Jan 21 2007 	Best business hotel for me	I have used this hotel since 1994 primarily for business. I can stay in any hotel in NYC; however, I ALWAYS choose the Elysée.This hotel's location is optimum for me. It is central to my place of business and affords me access to midtown's best restaurants, shopping and cultural venues. Also, as a female traveler I feel very safe and attended to here.The staff at this hotel is sublime. They know me by name and they are always sure to have one of my favorite rooms available for me upon arrival. Without mention, all of my previous requests are attended to, i.e. coffee maker in room, iron and board. Their new amentities are an improvement from what they had in years past. I use the hotel approximately six times a year, for at least a week at a time. It is comforting to see the same faces at the Front Desk who always remember me by name.My preference is always a boutique hotel. The Elysée may not be for everyone, should you need 24 hour room service, a butler outside your door, this may not be the place for you. If you do want a great location and an intelligent staff who remember what you like, then this hotel is definitely for you.Their breakfast is wonderful and the staff there could not be more helpful, especially Lina. She always greets me with a big smile when she sees me. My favorite amentity is their wine and hors d'oeuvre hour from 5-8 pm, a perfect way to end the day. On my last visit, they had a wonderful Argentine Malbec and a fantastic Sauvignon Blanc from New Zealand.To sum it up, I always look forward to staying here. If I must be away from home this is definitely the place to be.	
Jan 20 2007	Pluses + Minuses	We are baby boomer travellers who require comfort and a bit of luxury.The hotel was a little shabby but the room was a little bigger than what you usually get in NY. Staff were friendly and the location central. The breakfast was awful but I think that this is what American accept as OK. Please can someone teach them how to mkake coffee..ahhhh. What is this thing about flavoured coffees?The one big positive about the hotel is Bill's Bar right across the road. Forget about the Monkey Bar in the hotel (it closed at 2am after New Year's Eve can you belive it??). Bill's Bar is this tiny tiny bar populated by octogenarians, I am not kidding, who were once great jazz, stage singers. The piano man starts playing and they start to sing. It is fabulous and you really are back in time. They are wonderfully polite and gregarious and you will have a great evening. Don't foget to tip the piano payer.	
Jan 12 2007 	Disappointing	My husband and I recently went to NYC for our honeymoon. We had originally planned to stay at a large hotel chain, like the Hilton, but decided that a small, romantic boutique hotel would be much nicer. After reading reviews and seeing that it was rated Most Romantic Hotel in NYC in a travel guide, we decided on the Hotel Elysee. We booked directly through the hotel, told them it was our honeymoon, and stayed for 11 days. We were both less than impressed.The concierge I dealt with over the phone (we used him for help in making restaurant reservations) was usually very polite, but seemed very new at his job. I had to call and remind him to do things several times. I was not being a nag, but when I called to check on things (We stayed over the New Year's Eve holiday, so I wanted to make sure that restaurants weren't booked up.), he often had forgotten to call certain restaurants when he said he would. I also had to call and confirm every reservation on my own. In past experiences, the concierge usually does this for you. I also asked him several times for restaurant recommendations, and never got any. He pulled out his Zagat guide over the phone and flipped through it. I'm sorry, but I have a Zagat guide, too, and I don't need someone to read it to me over the phone. I feel that if you are a concierge, it is part of your job to know about restaurants in the area and be able to make recommendations upon request.The room itself was very average. We had a king suite, and were told twice over the phone that we would have a kitchenette with a full-size fridge. When we arrived, there was a mini fridge in the living room and that was it. We got in so late and were so tired that we didn't complain and just kept the room, but in retrospect, especially considering it was our honeymoon, we should have requested a different room. The flat screen tv in the living room was nice, but the couch was so uncomfortable (just an old fold-out) that we never sat in there to watch. Our view was ridiculous-a lovely air shaft overlooking another building. There are better views in that hotel. The bathroom was small but fine, we understand that rooms are much smaller in NYC. However, we did expect it to be clean. One morning, every new towel that had been left by housekeeping the night before had hair on it. Not a great thing to wake up to.The service was fine, and everyone was helpful in getting our bags to and from our room, but no one was very friendly. We realize that the attitude is different in NYC, but when you're staying in a small hotel like that, you expect more, especially when you're paying so much. It made us feel a bit unwelcome, and as if they were doing us a huge favor just by being there.All in all it's a nice hotel, but not great, unless maybe you have the piano suite. I would try somewhere else next time.	
Jan 9 2007 	Charming hotel in great location	We stayed at the Elysee over New Year. It's a charming, elegant little place. Very classy and well appointed, yet unpretentious.The library and club room are superb, as is the breakfast (fresh juice, fruit salad, bagels, pastries, toast and cereals). Another nice touch was the coffee and cookies that are available all day long. Due to our hectic schedule we didn't manage the evening cheese and wine.The staff were very respectful and helpful, yet have a bit of fun at the same time. And the guests were equally charming.The whole ambience is very French (as you'd imagine from its name). And the Monkey Bar serves lovely food.All in all, a lovely experience and I'd recommend it to anyone who is looking for a small, quiet, elegant place that is only a few minutes walk from 5th Avenue. Everything about the place is wonderful.	
Jan 4 2007 	Calm Oasis in Manhattan Hustle 	Myself and my boyfriend stayed here for 5 nights between Christmas and New Year. The location is excellent - close to everything you want to see - Time Square, Central Park etcThe Bedroom (no 61) was nice, and quite large, although the decor did look a little bit tired. The bed was great - huge and really comfy. If i was being picky i would say it was a bit noisy - we were at the back of the hotel near all the heating vents, so it was quite noisy - but we didn't complain as i expected noise in a city. If we had complained I am sure they would have moved us with no trouble. The Bathroom was fab -all marble and the shower was great - very powerful.The best thing about the hotel was the service - anything you wanted, all the hotel staff would bend over backwards to get for you. The communal areas are very nice, and the complimentary breakfast was excellent - really good fresh fruit salad, croissants, breads etc.Another tip -if you are a smoker like us, there is a great cigar bar called Club Macenudo 9 blocks from the hotel where you can still smoke - yipee! It is really nice inside, the staff are good, and they do good food - what more can you want!We went to the bar in the hotel once, but weren't that keen - it is nearly pitch black inside and quite expensive compared to the other places we went.I would also recommend Cellini the Italian Restaurant just across the road from the hotel - great food and service and good value - two course and a good bottle of wine for two was $100.Overall we had a fab time in New York and at the Hotel - we will definatley go back and will definatley stay at the Elysee.	
Dec 30 2006 	My New Home In New York City	I had stayed the Elysee's sister property the Casablanca in June and really liked it and decided to try the Elysee because of the location in midtown. This was going to a quick 48 hour trip from LA to NYC so I e-mailed the hotel ahead of time and requested a room at the back of the hotel as I'm a very light sleeper, and with the trip being so short I was really hoping they would me able to accommodate me. I had booked a deluxe king room. While checking in I was told that I had been upgraded to a one bedroom suite at the back of the hotel. I felt like reaching across the counter and planting one on the nice young man! I was escorted up to my suite and absolutely giddy with delight as this never happens to me. The suite was spectacular! The living room was very large for NYC standards and had a plasma tv in the armoire. The bedroom was equally large and spacious and the bathroom was done in marble. I only wished my stay was to be longer than 48 hours.The complimentary breakfast can be delivered to your room for only $5. I called and requested this service in the morning and it was brought immediately up which consisted of a large pot of coffee, bagels, and fruit. I tipped the deliveryman and dug in! I couldn't believe what incredible service I was getting. The wine and cheese in the evening was generous and relaxing. The free wi-fi in the room was also very much appreciated.What sets the Elysee apart is the staff. Each request or inquiry was met with a professional response. The hotel is boutique style so its very intimate and the staff addresses you on a first name basis, making it feel like home. I travel to NYC quite a bit for business and pleasure and I have tried them all, but this will be my new home away from home. The abundant complimentary breakfast, wine and cheese and free wi-fi make the Elysee such a great value. And no, its not cheap, but what is in NYC? If you add in the complimentary services and the fantastic staff the Elysee simply can't be beat. And thanks again to everyone who made my stay so effortless. Only wish I could have stayed in the suite for a week!	
Dec 5 2006 	I love the Elysee	A warm and cozy hotel, with a great midtown location, without the crowds and noise of those big hotels. The rooms are immaculate and beautifully appointed. The staff is friendly and courteous. It's always my first choice if I need to stay in New York.	
Nov 26 2006 	Not That Impressed	I was so excited having read some wonderful reviews on Trip Advisor but... it was just okay. I liked the quaintness though, and our room was lovely. But, our bathroom was not clean - hair in the sink and tub upon arrival - and quite small. I never thought I would care if my room had a peephole or not but the door buzzers on the rooms to either side of us were so loud, I thought there was someone at my door several times and had to open the door to find out.Staff was very friendly and helpful. Breakfast was very good. Great location but I think not a great value.	
Nov 18 2006 	An OK Value for the Price	My wife and I stayed at Hotel Elysee for three nights in November over a long weekend. I would agree with another review that says that the hotel is not a great value for the money.Here are some of the high and low points:High Points:- The wine and cheese receptption from 5-8 each weekday night is very nice with good cheese selections and good wine and champagne- The continental breakfast is great with fruit, wonderful pastries, juices, and coffee with a great staff- The location is fairly convenient to most places- Good service throughout with prompt attention to requests (like printing boarding passes, etc)- Very clean throughout- Good quality sheets and towels- Great shower water pressure- I had a package delivered to the hotel and it was promptly delivered.Low Points:- The bathrooms are extremely small with no vanity to place belongings and the toilet was so close to the wall, it was actually hard to use. You end up using the closed toilet lid to place your belongings- Some may say the furniture is &quot;vintage&quot; or &quot;charming.&quot; I just call it old and well worn. - The one elevator is extremely slow- Any rooms facing the street have windows that leak, so you will hear wind, noises, etc. all night- The A/C unit isn't exactly quiet and will cycle on and off and on and off throughout the night- You will wait up to 5 minutes to get hot water in the morning- No coffeemakers, peepholes, or morning paper as mentioned in the previous reviewSo, all in all, if you are looking for a smaller hotel, with great service, and the nightly wine hour with breakfast, this can't be beat. If you value larger, newer rooms and bathrooms with more space, you may be dissappointed.	
Nov 16 2006 	Great small hotel	I stayed at the Hotel Elysee quite by chance. I booked Casblanca(a smaller, sister hotel in Times Square) on the wrong date! The concierges there promptly started calling and got me a room at the Elysee. The location was great(although the party I was attending was in Times Square, hence my first choice of Casablanca) and the hotel was lovely. I believe the rooms have recently been renovovated. There was no noise from the street even though my room was on 54th. The bathroom was clean and nicely decorated. There is a clubby, library-style lounge on the second floor where a complimentary continental breakfast is available( wine &amp; cheese later in the day and coffee all day).  The hotel is small but my room was large by NYC standards; there was a small seating area as well as a double bed. The staff was friendly but not obtrusive. I will definitely stay here again.	
Nov 13 2006 	Fantastic Hotel	We stayed at the Elysee for 3 nights. The hotel is very central to all the major sights and shopping streets. When we arrived we were put on the 3rd floor at the front. The room was lovely but very noisy and we didnt get any sleep that night. We complained and were moved, without any fuss, to the 6th floor at the back. What a difference. The room was lovely and spacious and very quiet. The breakfast is lovely and so is the wine and cheese in the evening. I would recommend this hotel to anyone if you could guarantee a room at the back of the hotel.	
Nov 8 2006	My favorite hotel in all of NYC!!!	I travel a lot and this is the most accommodating, professional staff I have ever experienced! The rooms were immaculate and quiet. I can't recommend it enough. I tell everyone I know that the Elysee is the best of the best, and that's saying a lot for an avid traveler.	
Oct 23 2006 	Not a good value	We chose the hotel because of all of the good reviews on Tripadvisor. It is true that the location is excellent and that the staff is quite nice. And, there is a certain quaintness staying in a 99 room hotel in NY. But, for $425 per night for a basic room, the value is not there. Let me explain.No disrespect to our European friends who review on this site, but American expectations for a proper hotel room are quite different: The room must be quiet, the bed superb, and the room spacious. First, why not a coffee maker in the room? The continental breakfast is free in the library, so it's not as if they are trying to force you to pay for the product. It is so darn inconvenient to have to get dressed, go down to the library and fill up a cup and hoof it back to your room with cup in hand.Whatever happened to a free morning paper at your door? Is 50 cents too much for the hotel to spend for a NY times? Or am I one of the last dinosaurs that likes to read a paper in the morning?Because the hotel is old, you will have to listen to the air conditioning unit under the window starting up and shutting down all night long (just like at a Motel 6). (Up to date hotels have units that are vented into the rooms overhead and the compressors are located elsewhere.)Our room was in the back, overlooking an air shaft. I was not interested in a view, just quiet. However, there was a 24 hour low roar from some rooftop mechanical units below us. If the windows had been proper, double-glaze soundproof windows, this would not have been a problem. But, they were not.Our room 92 had no full length mirror (my wife likes that kind if thing), no peephole in the door (to see who is buzzing outside), and, no counter space in the bathroom. If I had stayed at a hotel like this in Europe, I would have thought, &quot;how charming&quot;. But at $425 per night in one of the most competitive hotel markets in the world, it just doesn't meet New York standards for that price level.	
Oct 19 2006 	Friendly Personal Atmosphere	I have stayed in other NYC hotels but found this one the best. Spacious quiet room, wonderful breakfasts and friendliness from both staff and guests. Sometimes had to wait for the lift at peak breakfast time but never for long.Rooms all vary and those lower down facing the street can be noisy but I had no problems. I will definitely return.	
Oct 18 2006	enjoy our stay	Yes, everything you've read below is spot-on. I can add that the place is booking up far in advance, thanks in part to all the endorsements here. Stayed at the Elysee hotel many times in the past. My wife and I returned recently for a wedding and enjoyed our stay as usual. Hotel is just beautiful and peaceful, refined and atmospheric. If you want a quiet, intimate setting, a real feeling of old-style glamour then this is the place to stay. Breakfasts were perfect. The only think we missed this time was Italian wines that they used to serve here. Even though that was a little disappointed, we did enjoy our stay.	
Oct 10 2006 	Nice hotel...	First, I love the location. The hotel is located on a nice side street and just minutes from a lot of action. The folks at the front desk are very nice. The hotel is small and quaint. My room was located on the 15 floor and I didn't experience any long delays with the elevator. The room was small, although very clean. The bed was comfortable. Pros: Wine from 5-8 on the 2nd floor was great. The location is great and the rooms are clean and comfy. Breakfast was goodCons: At 400+ per night, it felt a bit too expensive	
Sep 24 2006 	Very nice but would try elsewhere next time.	I found The Elysee not as European as others. For starters, nobody spoke French. It was more British in feel. Ours was one of the &quot;pantry&quot; rooms (604). It had a wierd, meandering hallway with a small wet bar, microwave and fridge on the way to the decently sized bedroom. Good king bed, but definitely not great. Standard sheets. Gilchrest and Soames toiletries. All of these choices were not as high-end as I would except for the price. The breakfast was nice, especially because of all of the guests around reading the papers. It had tables and sofas, very comfortable. The coffee was pretty bad, BUT I asked and received complimentary cappucino (doppio). The bottom line is that for upwards if $400. a night, it ain't worth it. Would be for less.	
Sep 8 2006 	New favorite hotel in NY	Great hotel! Large rooms for NY. Good A/C. Quiet. Marble bath, hallway and wet bar. Spotless. Maids did not disturb when sign was on the door. I didn't eat breakfast but hubby said it was great. Great location. Fine linens, good amenites, firm comfy bed. I liked it better than the Casablanca, the Michelangelo, the Algonquin (tiny rooms), the Lucerne and all the others I've stayed at with the exception of the St. Regis which is twice the price and maybe the Lowell (also twice the price) Will definitely stay there again.	
Sep 3 2006	A hidden gem in the center of Manhattan	We love small European hotels and rarely see anything similar in the United States. We could have sworn we were in Paris but we were in the middle of New York. The hotel oozes charm, the breakfast is incredible, the stafff very friendly and helpful and the price is right!	
Sep 1 2006 	fabulous	just returned from a 3 night stay at the hotel elysee.. what a fabulous hotel!! the hotel is gorgoeus, the rooms are charming .. the marble bathroom just right.. i thought i was back in paris!!the hotel staff was uniformly pleasant and helpfull ...always had a cheerful attitude.. i travel alone and am a &quot;more mature &quot; lady so really appreciate this!! and what a treat to have breakfast and &quot;wine and cheese&quot; in such a deligtful atmosphere!! to sum up, this is the only hotel in new york for me now!! i just hesitate to tell everyone about this gem.. i'd rather keep it a secret!!!!!!	
Aug 22 2006 	Great Hotel 	Just back from this hotel after staying there for a week. Hotel, rooms and bathrooms were absoutely spotless. Room had a mini refridgerator and mini bar and the beds were so comfortable and big. Breakfast was very filling and it's included in the room rate. Afternoons were also nice to meet up and chat while having complimentary cheese &amp; wine. Staff were friendly. Only problem was the elevator was slow but we got over it. Location for this hotel was brillant, 2 blocks from 5th Ave and all it's glory and a few streets from Central Park. Restaurant in hotel was excellent, great steaks and The Monkey Bar was lively every night. Would defiantely stay in Hotel Elysee when I return next.	
Aug 21 2006 	Loved the bed!	We booked our stay for two nights based on previous positive reviews of Hotel Elysee. We were not disappointed. I loved the 'marshmallow creme' comfortable bed and slept great. It was nice to have a small frig in the room and thought the size of the sleeping area and bathroom was fine. I liked having a good size soap for the shower, Gilchrist &amp; Soames brand was nice. I thought the front desk staff to be extremely reserved, I really didn't approach them for info (restaurant recommendation, etc.) as they didn't seem very open. I really liked the continental breakfast - they had a huge bowl of delicious cut up fruits which really jazzed up the pastry, cereal etc. choices. If you want your bagel toasted, ask one of the staff, also, one morning we were offered a cappucino which was a nice touch. This is a lovely quiet hotel in a great location.	
Aug 8 2006 	Old world elegance without killing your pocket book	It was so hot in NYC that when I opened the car door, it felt like I was standing in front of a blast furnace, so when the cool air of this hotel's lobby wrapped its comforting arms around me, I just started to smile. This hotel is great, because it combines the old world elegance I expect to find in NYC, with the extra values that other upscale hotels just soak you for. Here parking for 24 hrs is $25.00 not $45.00, wireless internet is free not $10.00 per day, a wonderful continental breakfast which includes: fresh fruit, bagels and baked goods, cereal, hard boiled eggs, coffee, fresh juice, and tea. The bathrooms are marble, the room furnishings elegant topped off with a crystal chandlier. The elevator is a tad slow, but hey nothing is perfect, nor should it be. I had only one problem which was that drain in the shower didn't work well, it was fixed promptly. The chamber maids to the front desk staff were all considerate, and helpful. The location is wonderful, two blocks from 5th Ave, several incredible restaurants, 2 blocks from the &quot;6&quot; train, and 3 blocks from the new MOMA. A hotel is simply a building, but it is people with the right management who make it work, and this hotel has got the right stuff.	
Aug 6 2006 	Unbelievable	We just returned from a three night stay at the Elysee. IT COULD NOT HAVE BEEN BETTER. There were nine ladies and every single one of us felt that we made the right choice. Meeting in the morning in their second flour lounge was terrific. We could set an approximate time to meet and would then be able to enjoy the best continental breakfest we have ever had. FRESH was the word of the day. Could it get any better. Yes. The wine and cheese hours were spectacular. After walking all day, and before the theater, we just loved meeting there. We also loved the location. If I had to make one comment, it would be that the carpet in our suite should be replaced. However, carpet or not, this is where my husband and I are staying on our next trip there.	
Aug 4 2006 	Really nice boutique hotel	We recently stayed here for 6 nights and I can honestly say there's not one real thing to complain about the hotel. The bar is another story!! Not great service there and noisy. We actually saw a couple wait to pay their bill and getting ignored so they left with their bill in their hand because they were so angry! The hotel itself is small and quiet. We had a room on the 12th floor and it was very hard to hear traffic from the street. The room itself was very nice, mostly antique type of furnishings but very clean. The bathroom is small and no fan in there, but that's a minor quibble. At least you could open the window in there for some air. The breakfast in the am was pretty good. The evening wine and cheese very nice-they even had champagne! We never had to deal much with the front desk staff but they seemed friendly and efficient enough. I loved the second story breakfast/wine and cheese room as you could sit by the windows and see out to the street below and people watch. I think I could sit there all day. This is a very quaint and elegant hotel. We really loved it. We hope to come back next year, hopefully it won't be another record heat wave!	
Jul 28 2006 	Another bullseye for Tripadvisor!	I picked this hotel out for our 4 night stay in Manhattan in July because of the rave reviews on Tripadvisor. I was not disappointed.Positive features: Great location in midtown Manhattan; very helpful staff; complimentary buffet breakfast with free newspapers; large bedrooms for New York; complimentary drinks and nibbles in the Club Room from 5pm to 8pm Monday to Friday; room rates very reasonably priced.Negative features:Only one rather slow elevator; bedrooms somewhat dark and dingy.These are minor gripes. I can highly recommend the place and would certainly stay there again.	
Jul 7 2006 	Discovery of a Manhattan Treasure	From the moment we stepped through the vestibule of this utterly charming Europeran style boutique hotel, we knew we had made the perfect decision. All of our usual hotels were completely full, and we were thus forced to try something new. After much research, and a little apprehension, we settled on the 'unknown to us' Hotel Elysee. I can't begin to tell you how very, very happy we were with the outcome of this decision. The Hotel Elysee is now our FIRST CHOICE destination when visiting New York. From the pleasingly congenial and intelligent front desk staff, to the elegant yet understated and tasteful decor, to the wonderfully comfortable beds and luxurious pillows, to our room's rejuvinating sitting area and fireplace, to the kind and accomodating housekeeping personnel-- this hotel delivers everything a guest could wish for. I shouldn't forget to mention the two complimentary bottles of water and delicious chocolate bar that was waiting for us when we entered our spacious and well appointed room, OR the savory and thoroughly satisfying complimentary wine, cheese, crackers, and fruit that was provided in the evenings, OR the tasty 'gratis' European breakfast that was served every morning, OR the unlimited provision of coffee, tea, fruit and cookies that was made readily availablle at all times in a beautiful sitting area. Perhaps most importantly, we were treated with the highest level of care by the friendliest and most efficient staff I have ever experienced in NYC. This hotel is a gem in every way! An unforgettable home away from home!	
