	Clean pleasant convenient hotel.	My husband and I stayed here over Thanksgiving (2 nights). We purposely chose a hotel away from the craziness of the parade route, even though we knew we'd be going to watch it. This hotel is located less than one block from the W 4th St. subway entrance (a pleasant surprise), making it easy to come and go as we pleased. We quickly learned when getting off the subway here to follow exit signs for W 8th St. (not W 3rd). That brings you up to the Waverly Place and W 4th intersection, closest to the hotel. The hotel lobby is small, but clean and nicely decorated. There is only one small elevator, which was not a problem until morning hours when we had to wait for it to arrive. Continental breakfast was typical (croissants, muffins, fresh fruit, cereal, etc.) but I noticed people were waiting in line to be seated when we had finished. Glad we got there early. Our room was spacious for New York (if you can walk around the bed, it's spacious), and the bathroom was very clean and nicely appointed. I did not find the mattress that comfortable, but liked the bedding. The room was stuffy so we used the AC and it worked fine. Our windows looked out onto another building, but the view was unimportant to us since our plan was to go out and DO things vs. look out the window. However, it was a bit disconcerting to have no blinds/shade in the bathroom; just the bubbly privacy glass. And there WAS a room across the way where someone could have enjoyed voyeuristic views, I suppose. I just kept the bathroom light off. All in all, a pretty good experience.	
Aug 1 2006 	"Deluxe" makes all the difference...	We spent 5 nights here in July, and it was excellent. We had a deluxe, and our 2 sons (20+) were in a superior. BIG difference. Pay the few extra dollars and the better room is wonderful. Service was good, and the location was great. Easy access to the subway, and easy walking to the village, SOHO, etc. Our room was quiet, good bed, and small but very nice bathroom. The hallways are a maze, and the building was old.... but so what? Our experience was excellent. Frequent travelers from Dallas, Texas.	
Jun 29 2006 	Cute doesn't count!	So called deluxe queen room was tiny with closet space for a mouse (a large mouse, anyway) and a toilet that flooded the bathroom when I wasn't looking. Charming otherwise and nice staff, but not enough to overcome the rest or justify $220/nite.	
Jun 18 2006 	Delightful little place great location	Just checked out of WSH. What a great place. I had one of the deluxe rooms on the ninth floor. It was very small but the double bed was extremely comfortable and the room was newly rennovated and very well appointed. Being in NYC I wasn't expecting spacious accomodation. My only complaint about the room was that I had a view of a brick wall. But since I was hardly in the room except for sleeping it really wasn't that big of a deal. Location, Location, Location. This hotel is in one of my favourite places in NYC. Located in the heart of Greenich Village on Washtington Square Park, you are close to all the action and many subways. There are great bars and resturants in the area and dinner at the hotel is excellent as well. Continental breakfast is included in the rate and is adequate--fruit, bagel, muffin, OJ and coffee or tea. The breakfast staff in not particularly friendly but all the other staff was.The fitness room is small and woefully outdated but with all the walking one does in NYC that is not such a big deal.Overall I would definitely recommend this place.	
May 23 2006	A Perfect Gem	We recently visited the Washington Square hotel for a three night stay and were very pleased with all that the hotel offered. We loved everything about this hotel. The reservations, front desk, housekeeping and other staff members were wonderful. They were always extremely pleasant, helpful and gracious. The accommodations were lovely - we were in a newly renovated room, and the decor was just beautiful - everything was brand new. The continental breakfast was very nice - juice, coffee, bagels, fresh fruit, etc., and it was brought to our table by the enthusiastic and very efficient staff. The hotel is very convenient to everything the city offers - the subway is right down the street making transportation very easy, and the hotel is right across from Washington Square park, which was a nice perk. We look forward to returning to this hotel in the very near future.	
May 18 2006	Great Location Acceptable Hotel	We chose this hotel for its location despite mixed reviews on Trip Advisor. We made a specific request for an upgraded room when we booked, and also asked for a high floor. Although we did get an ugraded room it was on the second floor so quite noisy. However, if you're staying in a busy part of Manhattan you should expect noise so we always pack earplugs! The room size was above average for NYC and was freshly decorated with a nice bathroom and good shower. The bed was very comfortable.The service from reception staff was acceptable, but the concierge was excellent...extremely friendly and helpful. Breakfast was provided in a pleasant basement cafe and consisted of plenty of coffee and orange juice, a small fruit salad and toasted bagels and muffins. You could also order additional food from the menu which was reasonably priced. Staff were very friendly and cheerful. The location of the hotel was ideal for exploring Greenwich Village, SoHo and the East Village. We would recommend this hotel, but be sure to request a renovated room.	
May 5 2006	A Treasure	The location is excellent, bang in the middle of The Village, adjacent to washington Square park. The staff is accomodating and ultra friendly. The rates are more than fair, considering the location. Breakfast is included, which is a simple continental, but more than enough to get your day going. The subway is close by, as is everything else, it seems. Now, for those with a need for larger rooms, this isn't it. Wireless is free, if you sit in the lobby an that's not the most comfortable place to work, although after three pm, one is welcome to sit in the tearoom, have a pot of fresh brewed tea and work in peace and comfort.	
Mar 10 2006	Washington Square Deal!	As a visiting Brit I've stayed in far too many hotels in Manhattan - from the midtown big ones, to the Chelsea, The Paramount and many more. For value for money, location and quite generous size rooms - get one of the recently renovated ones - this is a great place. Friendly staff, great comp breakfasts and spot bang between Soho, The Village and Broadway all at the bottom of 5th. If you are visiting mainly for tourist spots or the uptown galleries I'd stay midtown and save on the cabs, otherwise if you want to get away from the tourist traps and hang out with the locals this is a great area and hotel. Oh and it's a REALLY good price as well.	
Mar 2 2006	A very good choice	Washington Square Hotel is very well situated in Greenwich Village. There is alot of &quot;ambiance&quot; without the &quot;crowdyness&quot; of Time Square. Around the hotel, there is the beautiful park and many little shops and restaurants.At the hotel, peoples at the front desk are very nice and helpful. You feel in security because there is always a doorman. The rooms are small but that is what we expected. Small is ok because we dont stay in the room when we visit New York. The room are very clean and the bed are comfortable and I think that is the most important. If there is a place they could upgrade, it is for the continental breakfast... it is poor. We got a fruit salad, some bagels and muffin with jam. You can have cheese for your bagel but they don't offer it, we had to ask for it. Maybe we could had something else if we ask for it...Anyway, we really appreciate the place and we will go back for sure.	
Feb 13 2006	Very disappointed	We stayed at this hotel because of its location - near my daughter's dorm. The room was not what I booked (I booked a deluxe). It was tiny, no chair, and the bed was small as well. Also, our window looked out on an airshaft which only added to the claustrophobic feeling. The t.v. didn't function properly. The shower curtain was inadequate. Worse than all this, the staff was not helpful and bordering on rude. When we were trying to check in (with an online confirmation) they had to process it somehow and kept telling us to sit down. We would have, but all of the seating in the lobby was occupied. When we were snowed in and needed an extra night's stay we were told they would call us back in 10 minutes (and they didn't). The heat in the room could not be regulated except by turning up the air conditioner. I would not stay here again.	
Jan 11 2006	Perfect little bolthole	First of all, the rooms are really quite small and don't have a lot of storage space. Every guidebook, hotel website, review etc, mentions this. So don't have unreasonable expectations. Who wants to spend all their time in their room anyway? This is a wonderful little hotel. It has real character. The location, right off Washington Square in the heart of Greenwich Village is perfect. You are less than 2 minutes from the subway. One of the best Italian restaurants in New York is opposite, and the food in the hotel restaurant itself is excellent. The free breakfast is more than adequate for most people - juice, tea or coffee, muffins, bagels and fresh fruit. The beds are extremely comfortable (I stayed in a deluxe room so can't vouch for 'superior' rooms) and the bathroom, though again small, was clean and new, with instant hot water, fluffy white towels and amenities. The staff could not do enough for us. Really friendly front desk lady in the mornings gave us no end of help and advice for tours and sightseeing. We loved it here. We paid around $200 per night which I think is about average for the type of hotel and the location. My last two trips to NYC were spent in more expensive hotels that were not as inviting and were staffed by people who were completely indifferent to us.	
Jan 9 2006	Just book the right class of room	This little hotel has a great location, the charm of a European hotel. The rooms are really fine - provided you book a DELUXE and not the &quot;Superior.&quot; A chambermaid showed us a Superior, and believe me, you REALLY want to stay in a deluxe - it's worth the extra money. My guess is that all the negative reviews were from people who stayed in a Superior. Nice little bar, nice restaurant in the lowerlevel. The comp breakfast was fine, and the lunch we had there was very good. It's a fine place to hang your hat as you spend (hopefully all) your time exploring NYC!	
Jan 3 2006	it was ok for the price	2 nights over new years eve weekend...third floor. the window would not fully close, so lots of fresh air. bathroom looked like it was brand new but the shower curtain was a pain -need curved curtain rod or shower door. room small, no chair! little room for storage...bed was very comfortable. hallways need to be redone, very tired. the exercise room is a joke. continental breakfast is included- juice, coffee, fruit, mini muffins and bagel halves. good location as others have said. if you are visiting your kid at nyu i would say stay here. if not, you can probably do a lot better for a bit more money.	
Dec 14 2005	Tried to steal money from my credit card	ok, this hotel was not the greatest thing i have ever seen and was a bit overpriced, but it was comfy enough, and in a great location. i payed by credit card for the first night, as we didnt know how long we were staying but we ended up staying four, and paying each day for the room instead of in a lump sum at the end of the stay (we paid around £80 a night)- i suppose this meant they had plenty of opportunities to make a copy of my card numbers. when i got back to the uk i had an urgent letter from my bank telling me that that money had attempted to be taken from my card on 3 occasions (amounting to about £1000) and giving the exact LOCAL time of the attempts- all of them being around 3 or 4 in the morning. for some reason, barclays had been able to spot that there was some suspicious looking stuff going on with my account, and had not allowed the money to be stolen- but i was the lucky one, and they have probably done this before... there is no doubt at all that it must have been staff at the hotel, as i had used cash for everything else that trip, except paying for the rooms there.	
Dec 6 2005	Great location lots of character!!	After looking at all sorts of hotels in New York from the bargain basement budget to the ludicrously priced luxurious, I settled on the Washington Square Hotel based on positive reviews on this site and a desire to be in Greenwich Village. Since it was my first trip to New York a place I had dreamed of going to having grown up with Flashdance &amp; Fame, I wanted it to be the perfect experience. I enjoyed my stay at the Washington Square Hotel except for the first night which was disappointing as the room was not acceptable. We arrived quite late in the night from London and I think we were given any room that was available. This particular deluxe room (which we paid extra for as it was supposed to be one of their newer rooms) was small and filthy especially the bathroom or the bath tub. As it was so late there was nothing they could do but we were promised another room the following day, which they delivered with a smile and no bad attitude. The room was one of the biggest in the hotel and located in the annexe area where they were doing a lot of rennovation. The room was perfect as it was a really good size (big), no noise and the bathroom was spotless. Evey morning we were greeted by friendly staff in the restaurant and started the day with a very filling complimentary breakfast of bagels, muffins, fresh fruit and juice/hot drink. The Washington Square is not the Ritz but it has lots of character, friendly staff (even the work men renovating the rooms)and was in the best part of New York, Greenwich Village with it's cool bohemian vibe, shops, bars, restaurants and Soho and Tribeca only a stones throw away. Washington Square Park is directly opposite the hotel and for 'Sex and the City' fans the Patricia Field shop is a couple of blocks away from the hotel (which I did not get to visit).I would probably stay there again mainly for the location but I would recommend booking a deluxe room, newly rennovated (3rd Floor Annexe) preferably with a view of Waverly Place although view is unimportant with so much to do and see in New York!!	
Dec 6 2005	Not the best	This is probably one of the worst hotel rooms that we have ever stayed in. The website gives a great impression of all rooms, even those that have not yet been refurbished - one of which we stayed in. The room was on the ground floor, with no double glazing - so noisy it was difficult to sleep. It was also over the kitchen so we had roller doors being opened and closed during the night! The bathroom was tired to say the least and the carpet tiles were lifting from the floor. Staff attitude tended to be 'so what? be grateful for what you have' We had asked for non smoking rooms and our friends had to be moved as they were given a very smelly smoking room - never mind the new room (that was much smaller) overlooked a brick wall!Having said that the art deco lobby and public areas were lovely, the public lounge and restarant were popular with locals and the location is great for Greenwhich Village and the metro.	
Dec 6 2005	Fears Laid to Rest	After reading recent reviews of this hotel, I was terrified that the group of six women who had entrusted me with making room reservations would lynch me after our first night. However, instead of the tiny, noisy inadequate rooms I had read about we had very nice, quiet, and recently redecorated rooms. The bathrooms had instant hot water and nice towels. Our $190 per night room rate for the busiest weekend of the year even included breakfast each day. We were one block from the subway station, and the neighborhood was fun. One of the best restaurants in Manhattan is right across the street. I wouldn't hesitate to recommend Washington Square Hotel--it's a great place for the price.	
Dec 5 2005	Very Nice Hotel	Stayed here for one night, first weekend of December. This hotel sits right at the NE corner of Washinhgton Square Park, just about at the NYU campus. The hotel is an older boutique style hotel with much character and charm. We booked months in advance for $210 a night, Christmas season. After reading previous reviews, I realized some of the rooms had been renovated, so I made sure I was getting a renovated room. The room was small, but very nice and comfortable, new wallpaper, furnishings, bathroom, etc. No view, but that was fine. This room is fine for 2 people. I can only speak for the renovated room, the lobby and the lounge. The lobby was also very nice, and neatly decorated. The lounge at the lobby level was small, but warm and cozy and fine to have a quick drink in. Staff were friendly and helpful. I have absolutely no complaints about this hotel for the price, room and absolutely for the location. The area around the hotel is great to walk around, shop and stop in the many small pubs, bars and restaurants for a drink. It is a young, vibrant crowd in the area since it is right next to NYU. All was good with this hotel and I recommend it. Ask for one of the renovated rooms.	
Nov 22 2005	Awful	My husband and I had only one request when we booked a room here. We wanted a quiet room. We were given a room on the ground floor, which I was reluctant to accept, but the staff member insisted it would be quiet. I did not sleep at all throughout the night. The walls were paper-thin and there was a very, very loud party going on all night. Once the party settled down at around sunrise, I was then kept up by morning street noises. I packed up and left at 6:30 am because I could not take it any longer. It was miserable. Also, the quality of the room was not much better than &quot;flophouse.&quot; The mattress had a plastic feel, the carpet was ancient and institutional looking, the towels felt like cardboard, and there was not one pleasant or comfortable touch in the whole room.	
Nov 21 2005	Location Location - stop moaning people!	I stayed in the washington Square hotel for 7 nights. I was never disturbed by noise and the room was always clean. The rooms here are small but every travel guide and website tells you to expect this - you don't go to NY to sit in your room. The bathroom too is adequate. I personally prefer the fact that this hotel does not have doormen, bell hops etc as if i wanted all of that I would stay at a luxury hotel that costs a lot more and this hotel never claims to be that. It isn't 'dated' it is a period building. The location is simply perfect - two subways covering 4 different lines just a block away and easy walking distance to Soho, east Village etc - all in all a great stay!	
Nov 16 2005 	Horrible hotel horrible staff	This hotel has to be one of my worst hotel experiences to date. I travel frequently but have never seen something quite like this &quot;hotel&quot; as they call it. I would call it more of a hostel. There is no doorman, no bellman, no friendly faces on the staff. The place looks extremely dated, despite the front desk manager telling me that the rooms were recently renovated. Putting a new duvet on the bed is not renovating. The elevator opens into a stairwell, there is an ancient metal door between hallways which I was told was for fire safety, although the door was about 80 years old. The walls are paper thin and I didn't sleep at all due to the noise from the street and the halls. There are window A/C units. I haven't seen a window a/c unit in a hotel ever before. There was no desk, the TV was hanging from the ceiling and the carpet was stained. The first room I was in had a questionable stain on one of the beds, when I asked to be moved, the mgr insisted that there was no stain when he checked the room earlier that day. I asked him if he'd like to see it for himself and he declined. The room they moved me to had hair in the bed when I pulled back the covers. Needless to say, I would not recommend this hotel to anyone. The manager informed me that for the price, the accomodations are quite reasonable. I don't care about price, I expect service and quality. There are many places to stay in NY that are in great locations and charming, unfortunately this hotel is not one of them.	
Nov 9 2005	Terrible hotel - great location	My boyfriend and I arrived to find out that our request to stay in a room several floors up was ignored. We were given a room on the ground floor for that evening and promised our reservation the next morning. We could not sleep due to the noise on the street. We also found out the next morning that it was on the direct route to the restaurant and awoke to the sounds of high heels hitting floor boards and people talking loudly outside our door. We arrived at the desk the next morning with our copious amounts of baggage to change rooms and were given blank stares by the day staff member. The only other room was a room on a smoking floor that smelt of smoke. We accepted it in the hope that we would at least get some sleep and were promised an air refresher machine which never arrived despite repeated requests. By far the worse aspect of our stay was the faulty ALARM SYSTEM!!! It went off accidentally 3 times during 4 days two being at 4am and 6am. We were informed by staff that it happens regularly and was offered no form of compensation. While standing around in the foyer with the other guests, cold and in my pyjamas, I firmly decided that (a) I would not stay here again; and (b) would write this review to warn others. It is in a great location though so look for somewhere else in the same area.	
Oct 15 2005	Nice little hotel	This is a really nice hotel in a great location. It's a short subway ride to battery park or central park, and it is right across the street from the exxtremely family-friendly Washington Square park. We stayed at this hotel with our two children (age 3 and 5) and having a park across the street wtih pleasant, accessible playgrounds was a real plus. We also splurged on the newly rennovated rooms, and that was money well spent. We were in New York with several of our family members, and the unrennovated rooms were adquate, but nothing special. Also, we had a corner room--it was spatious. My sister's family had a much smaller room, and the four of them were quite cramped.The hotel has character--winding hallways, a slow old elevator. The staff was wonderful. Very accommodating, and great about dealing with our little kids. We would definitely stay there again.	
Oct 13 2005 	Great location great value!	I've stayed in all kinds of whacky hotels in NYC over the past twenty years of visits, always trying to keep below $200/night, and the WS hits the mark for location and value. Beside my most recent visit I originally tried the hotel in 2003. At that time the experience was marred only by the lack of non-smoking rooms--which they have since changed. This hotel is very popular with European visitors.Yes, the connecting hallways and stairs have that typical New York rat-warren quality--narrow passages with weird level changes, strange doors and unpleasant smells. But the rooms are fine. This time I had a standard &quot;single&quot; (twin bed), which was about the size of a small bedroom in my house, with a bathroom attached. On my previous visit I had a queen room which was quite comfortable by New York standards. The furnishings and extras were all there (blow-dryer, iron, soaps, safe, extra bedding) and everything was finctional, including a master light switch by the bed. The window, unfortunately, opened onto a classic NYC air shaft, but I was surpised to find it had a screen and new blinds! The bathroom was clean and the towels fresh. My only complaint was that the air conditioner, being right next to the bed, was disturbing when the compressor cycled on and off (the fan alone was actually great at blocking out external noises, although the neighborhood is fairly quiet).It was all really just fine, and the location, in the heart of the West Village is fantastic--a block from the subway, walking distance to all kinds of great stuff. There were no shenanigans with the reservation or the bill and a simple continental breakfast is included. The WS is a great find and I'd definitely go back!	
Oct 13 2005	Great Location	Stayed for four night. We also stayed 2 nites at The Essex and 2 nites at Hotel QT to experience different areas.If you need a room for other than sleep, the WSH may not work for you as the rooms are quite small. If you want to be in the middle of action and close to subway stops, then you have found the right hotel.I love the history, and if you read the list of celebritys who have found their way to this hotel--you will feel like you are part of an elite club!I would stay again without a second's hesitation. BTW--the other two hotels did not have that much more space than WSH.	
Oct 4 2005	Fabulous find!	We stayed 11 nights at this hotel and loved it. Although the rooms are really small, they are clean &amp; well presented.The staff at the hotel were always on hand to answer any questions and very friendly. Basic breakfast included which is handy.The location was wonderful, right in the heart of The Village.Highly recommend and would definitely stay there again.	
Sep 27 2005	Great deal and great location	While the rooms are not luxurious and the decor is a bit dated, this is a gem. The sheets are high thread count European with down comforters. The rooms are air conditioned and there are TVs. A basic breakfast is included with the rooms, there's wireless internet in the lobby and some rooms and the staff are very friendly. The hotel is in the heart of the village near several subway lines so it's super convenient. I would stay here again in a minute.	
Sep 26 2005	Great	For the price, location, service and room...brilliant value. Stayed at 3 different hotels during my visit to New York (the Trump ...expensive, and the Larchmont ...budget) This was our mid price hotel and my boyfriends fave! Lovely room with decent size bathroom (nicer than Trump!) and really helpful friendly staff. No room service which would have been nice, and I didnt get to try the massage ...but the lobby is really nice and we had a renovated room with queen bed. Tv was a bit high on the wall but not really a problem as we were out all the time exploring the great location/!would definately stay again.	
Sep 1 2005	Great hotel right in the heart of Greenwich	This hotel is great for it's location only a short walk to Bleeker St and all the roads running off it for brilliant restaurants. Some of the rooms can be small - it better to pay the extra and go for the 'Deluxe' rooms and if possible ask for a corner room - or one facing the street. We had an internal room last time which was very quiet but also small and dark. But when your in New York it's not really about how much time you spend in your hotel room. The beds are comfy and have crisp white sheets. The breakfast is also very good value. I've returned to this hotel twice - it is really all about location but the accomodation is worth the money too!	
Aug 28 2005	Location location location	A friend in Greenwich Village recommended the Washington Square Hotel as a great base for a first-time visitor to New York, and he wasn't wrong. Right off Washington Square Park, within easy walking distance of practically everything you'd want to see, near many great bars and eating places, it offers well-priced rooms and an inclusive continental breakfast. Unlike many faceless international chains, there's a distinctive atmosphere about the hotel itself, as well as the quirky West Village location.Downsides? Well, make sure you get the right room. I booked the most expensive option - the deluxe Queen - and the first room I was offered faced the back of the building, with no view and a strange damp smell. The desk staff were fine about changing it, and the alternative was great: fifth floor and facing onto Waverley Place, it wasn't large but was neatly decorated with a decent bathroom and hanging space in the compact wardrobe. I can understand previous horrors about back rooms on lower floors; it's quite a noisy road, but that goes with the locale - students down the road at NYU, chess players in the park, etc, etc. The Washington Square Hotel's not a super-attentive-doorman kind of place, either, which suited me fine, as an inexperienced English tipper! If you want the hotel to be as much of the holiday experience as the sights and sounds, then you might be a little disappointed with the somewhat shabby hall, less well-appointed rooms and basic breakfast, but again, that's the real character of the place.I'd definitely go back - business commitments forced to me to check in at the peak rate and it was still reasonable. Off-season, it'd be an even better deal.	
Aug 23 2005	Washington Square too old and drabby	Unfortunately, we had to check out of the Washington Square Hotel. I love the neighborhood and the bar and restaurant are just great. However, the rooms were just too old, antiquated, tiny and depressing. I wanted to love this hotel! It is in my favorite area of New York. But until they refurbish the rooms or I go on Prozac, I will have to find a downtown hotel with rooms that do not look like a neon sign should be flashing through the window.	
Aug 13 2005	Excellent air conditioning	I'm from Houston and I find traveling in the summer difficult since few places air condition like I'm used to. This hotel had an excellent window unit that was welcome after a day of walking around the Village. Hotel is accross the street from Washington Sq Park which is my favorite NYC landmark. Excellent restaurant on site with continental breakfast and where we also enjoyed dinner. The location can't be beat. Bed was comfortable; bathroom was tiny but very clean and pleasant. I plan to stay year again.	
Aug 6 2005	Best locaton in NYC!!!!!	Stayed here for 5 nights in June 05. $195 /pn + tax for a budget hotel - but hey it's NYC!The rooms are smallish but very clean. Security staff on front door at all times - I think that is because of the proximity to Washington Sq. Park, which during daylight is a fun place with lots of musicans and people-watching but at night - not so plesant!The front desk staff are fine and helpful - restaurant staff a little grumpy- but complimentary breakfast is adequate. The hotel has a great litttle bar(with wi-fi) but it was most used by laptoppers - not tipplers!2 metro stations nearby and buses stops for uptown and downtownGreat restaurants and bars within walking distance.I live in San Francisco and found NY a much safer place, especially at night.hWe had a great trip - and highly recommend this hotel.	
Jul 17 2005	relatively cheap and cheerful	Whenever I visit NYC I stay in this beautifully located hotel. The rooms are simple, but efficient. (But bring candles to give the room ambiente!) The bathrooms are quite spacy and have a window. If you're staying in the double bedroom with q-size bed ask for the higher floors, as you will have a lovely view of the Village even from your bathroom! The staff is friendly and helpful. Breakfast (included) is very sober, but there are many nice breakfast places and restaurants in the area. The location is superb: within walking distance from SoHo, East Village, West Village, Union Square, Meat Packing District, Chelsea etc. Subwaystations around the corner. Very good price value!	
Jul 12 2005	Clean 	The room we had in this hotel was clean but simple. The rooms are not large but are adequate. Bathroom was very clean, fresh towels each day, maid service was excellent. Great location, close to many restaurants and sights. Continental breakfast included with room at $199/night. Looking forward to staying again next time we are in NYC.	
Jun 7 2005	Great Location simple small rooms! good value	YOU CANT BEAT THE AREA OR LOCATION! I love to save money on cheap hotels in the city. I say save your money, stay here, and spend a few extra days in NYC! Dont expect much from your room and you will love it. Great rates, nice lobby, super small rooms, free breakfast, and spotty internet access!	
Jun 6 2005	Very nicely done!	Stayed for 3 nights in June of 2005. Cost was roughly $195/night. First things first, the rooms are not large. Our room was about 10 feet by 10 feet, with a bathroom off to one side. Enough room for a double bed, two nightstands, small desk, tv.For all the other reviewers who complained of the tiny hallways and rooms, it's Manhattan...grow up and deal with it. I've yet to find a cheaper alternative in Manhattan, let alone in Greenwich Village that provides what this hotel does.Free breakfast consists of coffee/tea, bread, muffins and fruit. Breakfast menu is also available.Location, location, location. It's about a block and half to the West 4th St Subway station, and 5th avenue is about two blocks away. Took the subway nearly everywhere, only needed a taxi a couple of times.We'll make the Washington Square Hotel a regular spot when we're in New York.$195/night may sound kind of pricey, but you have to look at the overall bang for the buck. The convienice of location, price, food, etc make the Washington Square Hotel a great spot.	
Apr 28 2005	Nice hotel at even nicer location!	We stayed at WSH between march 25 - april 1. We had a &quot;superior&quot; room (whick is the cheaper one) with twin beds. The room was small but quite nice, perhaps a little bit sterile with nothing on the walls. The beds and linens were of very high standards, we slept well except from a couple of nights when noise from the corridor woke us up early. The bathroom was modern and fresh. The towels were clean and changed every day. The cleaning of the room was excellent. Breakfast (included in room price of about $200 a night) was a fruit sallad and bagel/toast with coffee and tea. They can make you an omelett or something else if you want, if you pay extra for it. The breakfast tasted good and the dining room was nice, in the &quot;art deco&quot; - design as the lobby of the hotel. The location of the hotel is perhaps its strongest point, right beside the Washington Square Park and NYU. The surroundings are very nice, with lots of small cafes, restaurants and bars. It is also takes just a 5-10 minutes walk to reach Soho, excellent for us as we were here as tourists and wanted to spend some money shopping... We can recommend this hotel to anyone who wants to stay in the West Village area. Perhaps it is a little overpriced for such small rooms. If we return, we will probably go for the &quot;deluxe&quot; rooms, which are pricier, but seems to have a cozier decoration.	
Apr 14 2005	Room 125 Hell On Earth	Stay away! The only good thing about this dump is the position – close to the subway and walking distance to Soho, Chinatown, Little Italy and The Village. Otherwise, pay a little extra and stay somewhere else. We’d prepaid the room through a travel agent in Australia and found a poky space barely big enough for the bed, just off the lobby and on a direct route from the lobby through to the restaurant – with the marble corridor, we were kept awake through the night with people walking past. The noise from the restaurant below (the kitchen staff were playing the radio loudly as they packed up for the night) made it even worse, as did the exhaust fans from the kitchen in the airshaft right outside our window, which had to be kept open (even in the cold of winter when we were there) cause the heating couldn’t be shut off and we could have grown orchids in the heat. Reception staff had that fixed smile of people who’d heard too many complaints and couldn’t care less anyway. We were told we could upgrade for another $US25 (despite having prepaid $US100 a night above their declared walk-in rate). It’s the only hotel I’ve ever encountered where I had to wear earplugs to get to sleep! This place is worse than sleeping in the street. Come to think of it, the rats scurrying through the garbage in the street outside seemed a lot happier than the Washington Square’s clientele.	
Apr 4 2005	super little haven	delighted to have found this little haven in busy NYC! breakfast was indeed very convenient and you could chose to pay extra for a varied menu. The room (Quad) was small but very clean and comfortable, the staff were helpful and the guests varied from savvy european to NYU visiting dons!	
Mar 3 2005	Quaint Hotel with lovely staff	My partner and I stayed at this hotel for our last night in New York last week. On arrival we were greeted with very pleasant staff who made us feel like real people not just a room number. However, they could only offer us a room with a shared bathroom but at the time no one else was in the other room and they said they would only let it out to a female. Later we were informed that a female had checked in. (I suspect she had been booked in all the time). Anyway the room was rather disappointing as it was cramped and pretty run down and shabby. Also it was only on the second floor so was noisy from the traffic down below. The bathroom itself had no heating and was freezing with a cold tiled floor, however, that was not the case with our room which was boiling with a noisy radiator! However, the bed and pillows were very nice and comfortable with soft cotton linen. And the location was great with plenty of places to eat and drink in and around the area. I paid £100 for this room which I think was definitely too much for the room but I guess it's about location location location. Also I booked it late so that could also be why. I think if we were staying there longer we would have asked for a better room but as it was only for one night it was OK and you also get a continental breakfast included which was very nice.	
Feb 28 2005 	great location very pleasant	Stayed at the Washington Square Hotel for one night last weekend with my teenage daughter. The staff of the hotel were exceptionally nice, the room was nicely decorated in a modern style, although it was a bit small. It was very clean. The breakfast, included in the price of the room, was nice and quick. You sit down, they fill your glasses with orange juice, they plunk down a fresh fruit salad in front of you, then plunk down a basket of toasted bagels and muffins. If you're in a hurry and don't want something fancier, it's fine. If you want eggs and bacon you may have to go elsewhere. Yes, the hotel architecture is interesting, at best. Yes, there's crazy hallways and staircases and deadends. But what can the hotel do about that, short of tearing down and rebuilding? It's an old, historic building. Get over it. At least the rooms and bathrooms are modernized. Unfortunately, the heating system is not. Our room was at least 120 degrees F. It was more comfortable after I completely turned off the radiators. The only other minus was that the pillows were terribly hard. Otherwise, it was a fun, if a bit funky, place to stay right in a very nice, fun area.	
Jan 23 2005	Loved This Hotel!!!	I stayed at the Washington Square Hotel for 11 nights over New Year with 4 friends and we thought it was perfect. The staff are all extremely friendly and helpful, with nothing being too much trouble.We had a free breakfast included and although they don't start serving until after 7:30 this wasn't a problem for us at all!It is well situated with cafe's, pubs, restaurants, shops and subway stations all within walking distance.All in all, I would definitely stay here again!	
Jan 13 2005	Loved our stay here!!	We stayed here over New Year this year and had a wonderful experience. The room was well sized and very clean as was the bathroom. Hallways are no indication of how the rooms look. Decor is really cute and foyer looks great too. No real concierge or door service but that means no tipping required which was more than fine with us. Complimentary breakfast is great .. bagel, muffin, small bowl of fruit with yoghurt and juice/tea/coffe ....a bit samey after 10days but free so no complaints. The area is an absolute winner. So close to great restaurants/bakery's and the subway is 2min down the road. Only complaint was that our room got terribly hot when sleeping at night and no-one could seem to turn off the heat. Recommend asking for a room where the window opens onto the street so as to get air flow if this is a problem. Would definately stay here again!!	
Jan 12 2005	Good Hotel	We spent 5 nights at the Washington Square over New Year and had a great time.The location is good as has been mentioned before, as well as being in walkable distance of loads of places the hotel is also 1 minute from the Subway.The room was very clean and well maintained and probably as small as most other New York hotel rooms, and definitely worth paying slightly more for the better rooms.Breakfast was okay - unless you fancy a huge fry up every morning there was a good amount as well, and we didn't have to queue at all!The staff were helpful and I was very impressed that when we reported our toilet was blocked at 8:30 on New Year's morning the problem was fixed within 2 minutes!	
Jan 12 2005	This place blows	Very narrow hallways, small rooms. Window had view of a wall 5 feet away. Radiator heat way too load at night and room way too hot. Steam from heat in bathroom created pool of water on floor. Not worth the $150 to stay the night. Would have rather stayed at a Motel 8 or the like. Never again.	
Dec 21 2004	Perfect Hotel	My husband and I stayed at the Washington Square Hotel for 4 nights in Dec 2004. We thought it was perfect and very good value for money. The location was excellent, just off Washington Square between 5th and 6th Ave, in Grenwich Village. Lots of good local shops and restaurants and everything is within walking distance whilst at the same time you are staying somewhere with more of a village atmosphere. The rooms are fairly small and compact but clean and tidy, the staff are helpful but not overly friendly and we did have to queue to get a table for breakfast - so decided not the bother. I would certainly recommend this hotel, and would not consider staying anywhere else.	
