	Disappointment	I had high expectations for this hotel given its reputation, and was really wowed by the architecture upon entering. Things went mostly downhill from there. The staff lacked the warmth and willingness to assist I would expect from a Four Seasons. This was obvious from the moment we checked in, but got worse when we notified the front desk that we had no hot water. They said they would flip a switch and get the hot water running, but that did not happen. When we called again, they finally sent a repairman (rather than simply send us to a room that had hot water). He still did not get it fixed. After calling one more time and getting blown off, we just shivered for the rest of our visit (it was snowing outside). Smaller issues, but ones that I would not expect at this hotel: dirty dishes stacked up and abandoned on a tray next to us at the restaurant; a 45-minute wait for room service to bring granola and coffee, with no explanation offered. The room is big by NY standards and of course the location is great, but St. Regis and Ritz-Carlton are far superior in terms of the appointment of the rooms and service in this area.	
Jan 13 2005	Great rooms	We stayed over the New Year period at this hotel, our first room over looked two huge air conditiong shaft from the next building (so close we could touch them if the windows opened!!!) we where moved to a great room with views of Central Park and beyond. The rooms are a great size and bathrooms have a great soaking tub. The best service here is the maids they are invisible but your room get made over and all done expertly (unlike the Mandarin Oriental - bad service). The room service is good but very expensive over $100 for breakfast. We will come again but be sure to get the roomwe want.	
Jan 12 2005	Just another 5 star hotel - 2005 Review	As a connoisseur of 5 star hotels worldwide, and a marketing specialist, I know quality. In my opinion, attention to detail is what makes a hotel memorable or forgettable.. There were several disappointments at this hotel, the least of which was the feeling that I was just a number, just another guest.I stayed here for 2 weeks over Xmas &amp; New Year's Eve Dec 2004 - Jan 3, 2005. The staff who greeted me were lovely, but after that everything was very mediocre. I appreciate they have a lot of things to deal with, but if that is your job you need to be an exceptional person.. Firstly, the rooms (apparently recently renovated) were clean and tidy but too 'modern', there was no warmth, (although the bathroom was spacious and lovely) and very bland coloring; now I like neutral tones, but combined with the minimalist design, it was just not that comfortable. The movies were blocked regularly, I had to call down 3 times to have them switched on so I could watch a movie. I asked for the dvd player to be attended to, as it wasn't working. Turns out it wasn't a multi-zone dvd player, and they didn't have one for my use. (do they expect all their guests to be Americans?...)I sent a bunch of flowers and some doughnuts to the front desk &amp; concierge to thank them for their assistance, and as a gesture to gain some respect; when you give, you get - not here. I had to call down the next day to see if they were even received (no 'thank you'), and was told &quot;oh yes, they did arrive. OK?&quot; Lovely...I ordered room service many times, and there was one dish that arrived as I'd ordered it. Every other dish had some mistake, even though I specifically asked for certain things (eg skim milk, vinegar instead of oil etc) When I asked for a pasta bosciaola, the &quot;chef&quot; had no idea what it was! I explained it was a common Italian dish, like Cabonara only with mushroom instead of egg, and I was sent a bowl of plain pasta and a jug of cream mushroom soup... 5 star? I think not.Twice when I attepted to order room service, they put my call on hold to answer another call, and left me on hold till I hung up! No call back, of course. As far as I know, professional reception involves placing the second caller on hold &amp; coming back to the first.. Concierge is also constantly putting calls on hold for extended amounts of time, obviously very under-staffed.The concierge is nice but rather powerless; several times I requested assistance and they were unable to help. I also needed a car to be sent after being stuck in the city with no cabs for 2 hours at night. They said I would have to wait an hour in the cold for a car, and it would be a 2 hour minimum. $170 for a $8 cab ride! I called 24-hour limos (212-712-9000), they are a great company with the best rates in town, they got me a car in 10 minutes. Similarly, on NYE when I needed transport to and from the Rainbow Room, the concierge told me it would be a 6 hour minimum @ $190 an hour! Please!! I ordered a car with 24 hr limos, and it was arranged, $77 each way... Avoid asking concierge here for assistance. Very mediocre, and taking full advantage.The 'do not disturb' sign is continually ignored, I was buzzed about 3-4 times a day, never mind that I was jet-lagged and sleeping... If I was awake and did not have the privacy sign on, I was bothered about 14 times a day, for cleaning, mini-bar checks, and a simple 'do you have any trays or tables to collect?' - if I'd had one, I'd have called to have it collected! Over-done service in all the wrong ways. The chamber maids were very friendly and polite, though.There were no comments/ gifts/ mention of Xmas on the day, I was expecting at least a note under the door wishing merry Xmas, perhaps with a chocolate or something! These special little touches make all the difference. In fact not once during the entire stay did anyone contact me to ask how my stay was, whether I was happy/ needed anything etc. I expect a little more from my 5 star hotels :-)The location of the hotel is ok, however it is set back a bit in midtown, great for Barney's &amp; Bloomingdales etc, but I find the Plaza a nicer location for the park and open space, only a few blocks up. Personal preference.The four seasons NY lobby is small but tasteful, and the restaurant and bar are the same, small but nice. However I will never stay at this hotel again, it is just not good enough for me to consider a second home when I travel. I have stayed in other Four Seasons hotels, my favourite being the George V in Paris, which is superb and totally unrivalled, but the New York branch is sorely disappointing - I will try the Four Seasons Pierre next time, see if they are any better :-)	
Jan 11 2005	Luxurious Wonderful Stay	Spent 3 nights at the Four Seasons New York in Jan 05 and it was an amazing experience. From the moment we stepped into the lobby, we knew it was going to be a great stay. We booked the Bed and Breakfast package. Upon arrival, we were upgraded from a Moderate to a Superior room. You can either enjoy the breakfast in your room or in the restaurant. The room is very big for NY. The bathroom was beautiful and the tub does fill in 60 seconds. Loved the Bulgari bath products. We have stayed in other FS properties such as Hualalai and Santa Barbara and have never been disappointed. If you are looking for a luxurious hotel, this is the place for you. A great location if you like shopping on Madison and 5th Ave. The museums are also very close.	
Jan 9 2005 	Not what I was hoping for	My husband and I stayed at this hotel the first week in December 2004 we reserved a suite. We arrived and the room seemed to be mostly hallway (1500 dollars a night for hallway). We got in to our room in the evening and the lights were not on for us and it was a chore to try to find all the lights in the room to turn on. We seemed to be searching for about 10 minutes in the dark trying to get us to where we could see the rooms we were in. The rooms were a neutral tone and not very exciting. There was the bedroom, bathroom, front room (very small) and lots of hallway. We were not impressed with the lobby either, very small and not very exciting. We ordered room service one night, got a bowl of soup, a small individual pizza some tea and a coke and it was over a hundred dollars. I can appreciate that this hotel is pricey and we new this before going but that is ridiculous. If you are going to get a massage be sure to ask the prices a normal regular 1 hour massage was over $200, and it wasnt even that great! I did love the conciere at this hotel they were the nicest most helpful gentleman and hooked us up with show tickets and a great sushi restaraunt in noho. The restaraunt 5757 was wonderful although when I checked in at the front desk I told her we had a reservation there in the next hour and needed to get our bags upstairs asap, she told me not to wear what I was wearing (how rude) I was wearing a pair of nice jeans, boots and a long nice black coat. I called the restaraunt to cancel (because I needed my suit pressed, and didnt have time) and he asked why and I told him and he was upset and said we would be his guest and treated us wonderfully (That was nice). To some this hotel may be perfect to us it was only a hotel, nothing special, not worth the money.	
Dec 14 2004	Flawless	A flawless experience. The space was intimate but glamorous. Exceptionally courteous staff that's hard to find in new york these days.	
Nov 8 2004	Superb Luxury		
Oct 13 2004	Great location for shopping but Hotel needs a little work		
Oct 12 2004	Like an Exquisite Marble Palace		
Aug 22 2004	Four Seasons is the NY Hotel for the Pampered Traveler		
Aug 7 2004	Sophisticated luxury		
Jul 13 2004	Perfect!		
Jun 4 2004	Best in Service		
Mar 21 2004	i'll be back		
Mar 16 2004	Definitely the best hotel in New York		
Oct 3 2003	The Four Seasons : "Highly recommended!"		
Nov 19 2009 	Muy bueno		
Jun 9 2009 	???????????		
Sep 13 2008 	??????????		
Jul 13 2008 	Was für eine Enttäuschung....		
Jul 30 2007 	Todo a lo grande		
Jan 17 2007 	Ausgezeichnetes Hotel		
