	I LOVE SOHO GRAND HOTEL!!! ;)	Hello there,I stayed at Soho Grand one time but it was a fantastic experience. The room was very noisy the first day so I asked to change the room and they gave me one at the 15th floor with great views. All staff was very nice and helpful so I left good tips ;) I am going back in January and have booked it again there.Relation quality - price: Excellent.	
Jan 9 2006	Very dissapointed by the Soho Grand Hotel !	The Soho seems to live on its reputation. The building is nice, and the bar is cosy.But :a. the rooms are much smaller than they appear on the website,b. the staff level, the facilities, the amenities, are not consistant with the price : we waited almost half an hour to check in, one lamp in the room was out of order, the key for the minibar was lost and it took them an hour to bring a new one, there was no bath foam, the robes were whether durty whether torn, the room service forgot our order and we had to call them three times before they realise it and finally bring us our meal, which was desappointing, the butter was in a little pot with old ketchup in it !!We were very disappointed and, as a result, decided to move to the Mercer Hotel after 4 nigths, for the last 4 nights of our stay in NYC. And the Mercer is great, the quality difference is worth two our four times the price difference, which is not so big...Enjoy !	
Jan 4 2006	Soho So fab	Our second stay at the Soho Grand in as many years was just as wonderful as the first. Rooms and service excellent, location just perfect for wining, dining and shopping in the soho/broadway area plus just a hop over to meatpacking district. Not cheap, so the rooms feel a little small compared with a similar priced room in the UK but no less luxurious.	
Jan 3 2006	Soho Grand Hotel Recommended for Everyone	The Soho Grand Hotel deserves its four star rating. The accommodations were first class. The staff was friendly and accommodating. Even our eleven and thirteen year old boys were impressed. We could not have enjoyed our overnight trip to Manhattan more.	
Jan 3 2006	Soho Grand Hotel is Elegant and Hip	Over the New Year's week-end, my husband and I chose to stay at the Soho Grand Hotel. We found it extremely comfortable, easy going and incredibly well decorated in a modern but elegant style that many people can enjoy. We have stayed at modern hotels before that really don't hit that balance between modern and relaxing. But the Soho Grand has large comfy sofas and chairs in the breakfast/drinks area next to the lobby which enhanced our experinence towards the more comfortable range of the spectrum. The room, a deluxe King, was small but very well appointed with fabulous bed linens and nightside reading lamps, and a handsome dresser and armoire for clothes. The flat screen t.v. could have had a better picture. The bed was perfect for sleeping- very comfortable. Street noise is audible so maybe an interior room would be advisable for those who are sensative to noise. The staff was both accomodating and friendly. The breakfast was very good- great eggs, fruit, waffles and capuccinos.( Fun hip music without being overbearing.) The concierge did not come through as much as we had hoped so any dinner reservations you want to make that require a phone call that is one month in advance I suggest you do yourself. Otherwise they were knowledable and very helpful. 4 stars!!	
Jan 3 2006	New year's eve at the soho grand	the hotel was as nice as boutique hotels get in manhattan. the turn down service is markedly thoughtful, and the level of hospitality is a level above the majority of hotels.that being said, there were two issues with the hotel:1. i requested a goldfish and a bose sounddock three days before I checked in. It took 3 phone calls and 2.5 hours for me to get it.2. room service food was below average, not something that i would expect from a 1st tier boutique hotel. but despite those two annoyances, the hotel is stunning, and i would gladly go back.	
Jan 2 2006	Great New Years Eve Stay at SoHo Grand	I was a little nervous about staying at the SoHo Grand for New Years Eve. When I lived in NYC a few years ago, this place was as trendy as they come. I was happily surprised that every member of the staff seemed to appreciate our business from the front desk to the bell service. The rooms on the north side of the hotel are smaller but not too small and the city views are incredible! Part of the New Years Eve package had plenty of little surprises too. They offered glass of champagne at the front desk, there were cookies waiting in our room for us. The 2nd night they left chocolate covered strawberrys and went out of the way to make sure we took advantage of free breakfast offered to &quot;Grand Guests&quot;. Be sure to sign up for this Grand Guest program before you book. Bottom line: the SoHo Grand gave us a wonderful stay and we'll be sure to stay there next time we're in town.	
Jan 2 2006	Loved the bed	Great bed, slept very well. Upon arrival it's not very clear if you've never stayed that the lobby for checking in is on the first floor, and not ground floor where the concierge is. I waited 10mins with my baggage before someone asked me if I was checking in.Room was nice, clean - Tv could use a dvd player and better tuning on tv of the channels as the sound and image were not very crisp.I was dissapointed to find that the wireless internet acess was charged as an extra, and was not that fast when connected.But overall a very nice experience, the food was amazing, the chef is very good (and this is coming from someone living in Paris used to very fine dining)! Location is great for shopping in soho, much cozier than the atmosphere around the 5th ave etc.-Damien	
Jan 1 2006	Grand !! at the Soho Grand	Upon arrival to the Soho Grand Hotel you are completely enveloped by a feeling of style &amp; class . From the warm greeting I received by the doormen, to the wonderful restaurant recommendations given by the concierge, my entire stay was fabulous. It is away from the hustle and bustle of time square etc..., yet it is close enough to enjoy a short cab ride into mid town. The surrounding shops and boutiques are great, and all within walking distance! Although this past visit was not my first to the big NYC, it was my first at the Soho Grand. I will definitely be a repeat patron!!	
Dec 31 2005	the soho grand was very chic!	The staff was very friendly, especially for New York. And if you have a dog, take him or her with you. Everyone was nice to the dog. They even provided a bed and 2 bowls for the dog.The bed for the humans was also very nice. Sleek contemporary design. We'd stay again.	
Dec 31 2005	Another nice stay at the Sono Grand	always have a good experience at the Soho Grand; especially nice bathrooms with good amenities; be sure and check their website--often good deals there.	
Dec 30 2005	Modern Elegance	My second stay at the Soho Grand was even better than my first....I brought my husband this time for the Seduction in Soho package. We loved the chocolates waiting for us when we arrived, and breakfast in bed every morning was divine. The staff was friendly and attentive as always. We loved the comfy bed and fine linens, and the Cafe Mocha just steps from our room was a great way to start each morning. Do not miss an opportunity to have drinks in the ultra cool lounge area, may I recommend the Perfect Ten martini? Also, the concierge is a great help...got us in at Mercer Kitchen which I highly recommend. Skip the touristy mid-town crowds and average hotels....the Soho neighborhood is lovely and the Soho Grand is First Class! Can't wait to go back....	
Dec 28 2005	Soho Grand was great	We stayed at the Soho Grand &amp; loved it. It was in a great location (next to lots of shops &amp; restaurants), the food was great, and hotel staff was very friendly!	
Dec 23 2005	The Best Hotel in Downtown....and one of the best in the NYC	The Soho Grand is always my first choice of any place to stay in NYC. People seem to complain about the size of the room.....perhaps they should get out more! Admittedly, the rooms are on the small side, but I am not there to hold meetings or orgies....well, maybe mini-origies! But the rest of the hotel should meet everyone's expectations and needs. The food and drink selections are above just about any other hotel, the lounge area is THE BEST, and most importantly, the staff is beyond compare. From the moment I get out of my cab and am greeted by Martin, Jose, Chris (or any of the doormen for that matter), I feel like I am home. In fact, Martin and Jose have been greeting guests almost from opening day of the SGH - - that speaks volumes to me about the kind of people who work there. The desk-staff as well as the concierge are always eager to make my stay as pleasant as possible...special kudos to Mildred!!	
Dec 20 2005	Love the SoHo Grand	I stayed at the SoHo Grand this past weekend and had an excellent experience. The staff was very nice and attentive. The rooms are small like every other hotel in NYC. 225sqft-250sqft. However, the cocktail lounge makes this place one of my favorite in NYC. You really don't have to leave the hotel for entertainment. The bed was ultra comfy. The waitresses looked like runway models each and every one. Decor is awesome. I've stayed at alot of nice hotels in NYC and the SoHo grand makes my top 3. Proximity to excellent shopping and restaurants is just another great feature of this hotel. Bloomingdale's Soho is a 2 min. walk.	
Dec 20 2005	Loved it!!	Returned home on the 8th of December and I cannot wait to go back. I read such mixed reviews on this hotel so I was quite apprehensive. I needn't have worried, from stepping out of the cab to getting back in for my return journey home 4 days later my stay was perfect. The staff were totally professional, but still approachable and friendly and very very helpful. The rooms are small compared to some hotels but we didn't feel cramped at all, even taking into account our 3 huge suitcases. We were on the 11th floor and had brilliant views of the Chrysler building, Empire State etc. Watch out for the measures in the hotel bar they are very friendly!!!! We had quite a night in there, or so my husband tells me, I don't remember a thing and I only had 2 drinks!!The food in the hotel is excellent and there are also plenty of great places to eat in the area around the hotel. The shopping is also good.In short I would definitely recommend this hotel.	
Dec 6 2005	Always welcome at Soho Grand	My friend and I meet at the Soho Grand every December. Every year we are treated well and the doormen greet guests with a smile! The hotel is clean and staffed with professional, courteous people. Wonderful hotel!	
Dec 2 2005	Loved the Soho Grand Hotel	My boyfriend and I stayed for 2 nights at the Soho Grand - business for him, pleasure for me. It was fabulous and lived up to all my expectations. The location was wonderful, Jason the Concierge was so helpful with restaurant reservations and spa reservations for me. (The Soho Sanctury (spa) women only, Pilates, full spa, lovely locker room, excellent service, perfect, just a few blocks away). Room Service was great, the rooms were big and nice (with bathtub, comfortable bed. Would def. stay there over and over.	
Dec 1 2005 	a great hotel	a great hotel, with great service in a very hip area of New York.	
Nov 30 2005	Best place to stay!	Everything was perfect, breakfast in bed, grand margarita, perfectly clean; employees are intelligent and helpful. What else can you say?	
Nov 30 2005	Find another hotel	For $500/night, I should have no negative comments but I do, but first, the positives.The room was clean, comfy (although small), with a nice view. I ordered up the &quot;Seduction in SoHo&quot; package.Negatives: these are small, but I feel for the price, this place should have impeccable service and attention to detail. Firstly, I was supposed to get a champagne toast on arrival - part of the package. It didn't happen. Secondly, I received an email saying I could have an iPod docking station. I requested it, and again, it didn't happen. Only one cup for coffee delivered on a brekfast for two. A no-wait check out via TV didn't work - ironically the TV continued to say &quot;please wait&quot; for 15 minutes. I shut it off. The cleaning staff was a little too eager to get in the room in the morning, in one case without knocking, thank goodness for lock bars.The final kicker, I got an email from the manager after my return asking me to post positives to this site, but if I had negatives to send them to him directly.Stay somewhere else and save some money. I think this place was great at one time, so I've been told. I had friends tell me to stay at the Tribeca Grand instead...should have listened to them.	
Nov 28 2005	Great hotel and location	I have just returned from staying at Soho Grand on the Seduction package which was superb. Inludes breakfast, discounts on some shops in area, complimentary cocktails in their very cool bar, champagne on arrival and candles and roses in the room! We stayed in the recent renovated rooms which were great. Spacious, very trendy with all lastest mod cons (plasma TV, hire of ipods). Excellent location as well. Concierge very knowledgable too. Couldn't fault it. Definitely worth the money.	
Nov 28 2005	Great Experience - as always!	I have been staying at the Soho Grand for about 5 years now - it is a great place to stay and the service is always phenomenal. I am in New York 5-6 times/year and in the past have tried other hotels (New York Palace, Plaza, etc . . .) and albeit they were all nice hotels, I would choose The Soho Grand over them any day!	
Nov 28 2005	Soho Grand was great!	We stayed at the Soho Grand over American Thanksgiving. It was our second time there and we had a really good experience. The woman who checked us in was very friendly -- big warm smile and a &quot;welcome back&quot;. We had booked a regular Queen size bedroom and were upgraded to one of the newly renovated rooms. Very comfortable bed -- three or four different types of pillows -- from soft and feather to harder and foam -- nice duvets, a welcome plate of cookies and water and a personalized note from the manager -- generous bath products, windows you could open a titch to get some fresh air. They also threw in a free continental breakfast. All good. Small complaints -- not very good hot water pressure in the shower, especially in the evening for some reason. Hair dryer old and smelly (hard to explain, but the warm air coming out of it had an odd smell). We'd periodically see our check-in woman -- always very warm with a big smile. She was great! All of the staff were open and friendly, including the guys on the door, though the concierge(s) could be a bit stiff. Great drinks at the bar with a really good D.J. spinning fun tunes. Fabulous location. I've read some negative things about the Soho Grand, but both times (and especially this one), we've had a positive experience. We'll go back in a flash! Love the location.	
Nov 26 2005	soho grand/nice	soho grand is a nice hotel. the rooms are small but with comfortable beds and good baths. the service is very friendly. best is the convenience. their location in soho is perfect. short walk to all shops and restaurants. we would go back.	
Nov 25 2005	I want to live in this hotel!	my husband chose this hotel to stay in after seeing it in the sopranos, and I just loved it on sight. Funky, modern decor in both the public areas and rooms, friendly and helpful staff and the best cocktails (I recommend the &quot;perfect ten&quot;) This hotel is right in the middle of soho, but the area isn't too noisy. Our room was on the top floor with a fantastic view of the manhattan skyline outside the window. The room was generously sized with gorgeous frette bed linen, well stocked (but damn expensive) mini bar, big tv, safe etc, and a bose docking station was provided for my ipod which is a great touch. Breakfast was promptly delivered with fantastic coffee, and the hotel is pet friendly so there were plenty of cute dogs running around to cuddle.We also had eddie izzard staying just down the hall!The only cause for concern I had was that my in-room gold fish looked seriously in need of therapy!!I've stayed in a lot of hotels in my life, and this was one of the best. I can't recommend it more - it may be expensive but it's definitely worth it.	
Nov 24 2005	Great Location but soooooooo noisy	Just had a 3 day break at the Soho Grand. The public areas are wonderful, very trendy. The bar is hip &amp; fun, the staff friendly. But our room was tiny &amp; dark and very very hot. Couldn't sort the air con out. Wonderfully the windows did open but the traffic noise was non-stop - yellow cabs hooting and honking. (7th floor so quite high). Felt the hotel was overpriced, not very comfy and we wouldn't go back again. There is too much competition. The Soho area is a must to stay in.	
Nov 21 2005 	Will not go back to the SOHO Grand.	Upon entering the room at 12:00 am: Our toilet wasnt working. Our television wasnt working The night manager moved us, which was decent, but not until I insisted.  The rooms were like saunas. We were very uncomfortable the whole time. Our register didnt produce any cool. Then, it was our anniversery, and my gift was taken from the room, no one told us, and after I hunted it down, did I find it in security, but not until the wrapping had been removed on both items. The hotel is situated in a find area, and its almost the only game in soho right now, but I would NOT hurry back. For the money, 499.00 per night, I am used to a LOT better room. You obviously can get that for a room, but I felt ripped off. I travel extensively. I am in hotels all over the world. I think that for the money, I can find a place much more amenable.	
Nov 21 2005	Great Hotel 	Great Hotel. Location is perfect. The staff was very friendly and helpful. The coffeee machines on each floor were a nice touch and much appreciated in the morning.	
Nov 10 2005	Go here for fun.	Fantastic place. Great service and great location.	
Nov 10 2005	SoHo Grand - Seduction Package	Just returned from a 3 night short break in the Big Apple. The SoHo Grand provided a fantastic, funky base for our stay.The hotel is well positioned in West Broadway close to some great spots to eat out and shop! The ambience of the hotel and the staff combine to provide a hip but professional feel. The cocktail bar particularly hit the spot.The weekend seduction package was great value and the extra detail was appreciated by us.	
Nov 9 2005	Great location!	The hotel was above average with its ammenities. However, the location is excellent!	
Nov 8 2005	Great location	Great location. Easy access to Subways. Quick cab ride to central Manhatten. Fantastic restaurants within walkin distance. Wonderful beds, cool bar.	
Nov 7 2005	Anniversary	The Soho Grand Hotel is terrific. The service is great and the location is perfect for this end of town. Especially appreciate the staff's attention to the guests. We stopped by early to drop off our bag before check in and were told we could check in to the room then if we wanted. Nice touch. Also, breakfast on Sunday was as delicious as it was comfortable.	
Nov 7 2005	Great as usual	Whenever we stay in NYC it is at the Soho Grand. We have never been disappointed. Service, location, decor are all great.	
Nov 3 2005	Great choice	I just went to the Soho Grand along with my girlfriend and found it great, despite previous comments I read here. The staff is friendly and helpful (they open doors when you walk in, they take your luggage, but, most of all... they are prompt and fast!), the hotel design is very good and reminds you of the &quot;old NY&quot; (it's not one of those so-called minimal-chic like W, hotels that seems old after a couple of years...).Rooms are good although pretty small, like everywhere in the city. What really makes a difference is the hotel location and friendly staff, besides the glamour you feel when you are there.I recommend this hotel to all Soho lovers.	
Nov 1 2005 	Nothing can compare to the Soho Grand Hotel!!	I have been a regular at the Soho Grand. Recently they renovated some of the rooms and this weekend we stayed in one of them.The staff are wonderful, we stay there so often that they know us by name. Always friendly and very quick with service. Its within walking distance to all the great shopping , great restaurants and even you can have fun and shop at canal street which is 2 buildings down.Spring Street and even Broadway for great deals.Little Italy and Chinatown within walking distance.The hotel is like home to us. I have stayed at other hotels in NYC but nothing compares to The Soho Grand. Its very trendy looking but does not have the feeling.Nothing 'uppity&quot; about them.You will probably run into a celebrity or two while your there, we always do and you know what, even they are friendly and warm.My 12 year old daughter had a crush on one celebrity who was staying there and he spent the night talking to her and really made her day!!!I hate to leave everytime I go.	
Oct 30 2005	Soho Grand is Grand	The Soho Grand is grand is every way. They cover every little detail so that you feel that someone actually cares! The corner king view is the best. Pillows, blankets...total comfort!Since we travel alot we see a lot of shotty hotels passing themselves off as 4-5 star hotels. NOT the Soho Grand. They are truly GRAND in a very good way.Thanks!	
Oct 21 2005	Do not waste your money	The minute you walk into this hotel you know you are in for problems. the 4 doormen outside basically doing nothing, they do not open the doors nor do they get you taxis. I'm not sure why they are there as they are not even eye candy like in other trendy hotels. They do mention that the check in desk is on the second floor but of course offer no help with your luggage. We arrived after 3pm and they told us our room was not ready. Offered no apologies. Just told us to wait until the room was ready. Enough has been said about the rooms on this site, tiny and with no character, I guess they spent all the money on the lobby which is not even that nice.  We stayed in this hotel because the Mercer was booked on sat night but we had reservations for sunday and monday. the next morning we fled to the Mercer. Everything there was perfect. Attentive doormen, our room was ready at 10AM, the concierge was very nice and the room was beautiful, and larger than those at the Soho Grand for the same price. It was like the difference between flying in coach and then going to first class, thats how I would describe the entire experience. Quality/price the Soho Grand is a complete rip-off. Stay at the Mercer if you want to stay in Soho.	
Oct 18 2005	Emperor's New Clothes	Is the Soho Grand an example of Emperor's New Clothes? People were telling me this is a great place to stay. Well - it is trendy; and at nearly $500 a night it is certainly exclusive. But why on earth do people stay here? The staff are snooty; the room was so small my wife and I kept falling over each; there was no proper wardrobe and very little storage space anywhere else; and the decor was dingy and depressing We complained about the size of the room. They didn't seem that interested but there was a solution - we could pay another $60 for a bigger one. We chose an alternative strategy - we'd booked for 4 nights but checked out after 1.	
Oct 17 2005	Perfect Seduction Weekend	We recently stayed overnight at the Soho Grand with the New York Seduction Special. We were welcomed with a glass of champagne, had early check-in to our room (which was upgraded to a corner room without our asking), had complimentary cocktails before dinner, an excellent full breakfast in our room the following morning, and late (4 PM) check-out the next day. All that for $414 in one of the liveliest quarters of New York City!!!!!!!!! We can't wait to do it again. And neither can our Maltese Pup who has never had a warmer welcome in a hotel!!!!!!!!!	
Oct 16 2005 	Great ambiance - Rooms could use some help	I recently spent 2 nights here and loved the staff and ambiance of the hotel. The atmosphere at both bars was very cool and you can't beat the location of the hotel. The coffee machines on each floor were a godsend. The only downfall were the rooms. The cover on my bed had a couple of moth eaten holes and the overall room did not live up to the price as the rest of the hotel did. I'd stay there again only this time ask for a room with better sheets!	
Oct 10 2005	A fabulous weekend at the Soho Grand Hotel NYC	My husband &amp; I truly enjoyed our recent trip to NYC. Staying at the Soho Grand Hotel was the foundation of the entire getaway. Every aspect of our experience there was very impressive. From the rooms themselves, to the location, to the hotel lounge, and through the service of each &amp; every employee that we encountered, it was phenomenal. The Soho Grand Hotel offers a wonderful environent for an adult weekend getaway. We hightly recommend it to all couples out there!	
Oct 9 2005	Loved the Soho Grand	I have just returned from a stay at the Soho Grand Hotel in NYC located in the very posh Soho district of NYC. The registration staff person was wonderful as were all the staff I interacted with. The bed was very comfortable (which is very important to me) with nice, fresh modern decor and I had a fabulous view of the city from my window. The internet connection was great to have which I believe was included. While the room wasn't huge (but it was fine by NY standards) and not inexpensive, the location was PERFECT!, right in the heart of tons of excellent restaurants, cafes, high end stores all within easy walking distance and some just a few steps away. The hotel was also convenient to easy public transport if you want to get uptown to the MOMA in a flash. I'm pretty picky and this met all my expectations. I would definitely stay here again the next time I visit New York -L. Saul, San Francisco	
Oct 2 2005 	First choice in hotels when traveling to NY.	I travel to NY at least 6-8 times a year and THE SOHO GRAND has become my first choice in hotels. THe staff is great. love the location, easy to get around, even if you have to go uptown once in a while! Rooms are spacious, cool bar, great food in the restaurant. Highly recommend this hotel!!!	
Sep 20 2005	feel like a rock star at Soho Grand	You will feel like a rock star when you stay at the Soho Grand....or we did anyway. It's so nice to stay in a place where they really &quot;get it&quot; regarding service. Walk out the front door and your in Soho for goodness sake. How cool is that? The bar is open late which is pretty cool if you want to have a end of the night drink and talk about how awesome NYC is!Stay here!!!	
Sep 20 2005	how about a one star hotel?	This place is no where near a four star hotel. It provides nothing unless the thing that matters most to you is your 'hip' image. Hip replaces service, quality and a decent room. Hip gives you a big fat stain on the carpet...and 'cool' means the bathroom has a broken fan and an air conditiioner that rattles and pings all night long interrupting your attempts to sleep on a brick of a bed. I was so thrilled to be soho grand hip at the end of each evening while I rode the elevator from our room to the front desk four (4!) different times to wait in line to for a room key that never worked for than once or twice. The hippest part of all came when we ordered a meal before a broadway show in the restaurant....that just never came. We begged for some bread but alas that didn't even show so we feasted on the oh so hip apples that are free in the lobby. (You get what you pay for with the apples) I'm sure the wait staff were too busy looking in the mirror to worry about our food,...or maybe they were preoccupied with the cheap vanilla products they give sparingly away in your room. If you want a decent place, this is NOT it. If you want a place that helps you be 'hip' and 'cool', waste your money.You are exactly who they designed this place to accomodate. How much is hip worth to you?	
Sep 18 2005 	Soho Grand Hotel - Never again!!!	We were shocked at the room we had. For $556.00, we got a dirty room with a dirty bathroom. No joke. I realize its an old building but for the money do not expect it to be falling apart. Save yourselves the trouble of finding another hotel and moving as we had to do. Needless to say, we learned our lesson and will not stay at the Soho Grand again.	
Sep 13 2005	I'm a regular at the Soho Grand	I stay at the Soho Grand about once a month when I'm in the City for business. It's the only place I've stayed since I discovered it 7 years ago. I like its understated elegance, helpful staff, great (room service) food and it's cool, without trying too hard. I work in the art business, so location is important. It's close to Chelsea, the Village, and walking distance to Little Italy and Chinatown for adventurous dining. Great beauty salon next door (Prive)! The rooms are small and intimate and some have dynamite views. However, I hope that none of you chooses to book at the Grand since it's getting more difficult to get a room there!	
Sep 9 2005	Not what I expected - brilliant pet gimmick!!	I stayed here with my husband on our honeymoon for 3 nights. I was very dissapointed with this hotel however my husband loved it.The bathroom felt very hospital and so basic, but the freebie products were fabulous! The best I've seen.The location was a walk away from all the great treats, shops and restaurants. The subway is only round the corner, so the location was great for getting to Times Square etc...The staff were 'okay'. They were not rude, but they weren't pleasant. They were helpful and answered all of our questions about what to do and where to go.As I said my husand loved this hotel, I expect more luxury in a 4 star hotel and this felt very hospial ward to me.The best thing about this hotel was the pet fish I was given to look after throughout my stay!	
Sep 8 2005	Soho Grand is OhSo Grand!	From start to finish, this was a great experience. This hotel is the embodiment of &quot;cool&quot; and they do it with total &quot;warmth&quot;! We are a couple in our late 40's and brought our 15-year-old daughter with us, and it was great for all. The staff was helpful and totally accomodating in every way. We really felt like we were someplace special. The room, which which was a recently renovated corner king, was immaculate and comfortable. The plasma TV pleased my daughter immensely and the view was great. I especially loved the coffee machine on every floor -- just press a button and you had a cup of whatever strength you preferred, including hot chocolate.We spend some time in the outdoor restaurant and enjoyed the excellent burgers and salads. Very relaxing atmosphere.The location of the Soho Grand is fantastic. There is a true neighborhood feel, and it's fun to stroll down the street and look in the shops and stop for a bite. My husband and I like to jog, so we took advantage of the proximity to the river area and had beautiful runs with the Statue of Liberty looming in the distance. The hotel also has bikes that are provided free of charge and we took our daughter bike riding on the bike paths that are all along the river.A short cab ride and we were in Central Park and also saw a show and visited MOMA. But having stayed on Central Park many times before, we looked forward to getting home to Soho and strolling down the street for ice cream. The Soho Grand will be our only choice when staying in New York in the future.	
Sep 6 2005	SoHo Grand is Grand Indeed!	While the room was smaller than I anticipated, its comfort, luxury, and view made up for it in spades. The doormen and front desk staff (especially Karina, who is one of the most fantastic people I've ever met) were disarmingly friendly and helpful--very warm and unpretentious. I have to admit to a bit of disappointment in the concierges, as I felt they were a bit cold in comparison to the other members of the staff and ironically less helpful. However, I don't think that aspect had any negative effect on my stay at all....The positives outweighed the one negative by a longshot. I will definitely stay at the SoHo Grand again!	
Aug 31 2005	Soho Grand grand indeed!	Our wedding night. They greeted us very warmly, gave us complimentary champagne while we checked in and a fruit and cheese basket once we were settled into our room. The room was beautiful and very comfortable. Couldn't have been happier!	
Aug 31 2005	Good to be back.	We admit we strayed and tried some of the new 'Young Pretenders' in NY like the Gansvoort (pretty, but service very very lacking), and the Maritime (rooms way to small), so it was good to go back to The Soho Grand where we have stayed for some years. Some of the rooms may be looking slightly tired around the edges, but the welcome and service is second to none. It was real good to be back.	
Aug 24 2005 	Classy hotel nice stay at impressive hotel	Having seen the lobby of the hotel, I wanted to stay at the hotel for so long. I booked a special weekend package and got a very good deal. The service was nice, people are very kind and very helpful. the athmosphere is very stylish and the hotel is calm. It has a soothing effect. My room was very nice although not so extravagant as the lobby. I was hoping for more art deco in the room. The bathroom has a classic design and was nice. The Shower was good which is important to me. And of course, the view. I had a delux grand room, it has a superb view of midtown, empire state, Chrysler, time Square ... And all the water containers of SOHO. I had a great experience and hope you will too.	
Aug 23 2005	Location Location Location	The Soho Grand was one of downtown's first truly hip hotels. Taking hints from the architectural history of Soho, the hotel was designed with a certain neo 19th century industrial chic. However, while certainly groundbreaking at the time, the hotel has begun to be passed by newer and more comfortable establishments. The rooms seem plain, drab, and small, and the lobby and bar dark and somewhat pedestrian. Yet, the location is the best! You will be in the heart of the Soho scene directly on West Broadway. If this hotel had better prices, it would be wonderful. However, at the prices they charge, it simply is not worth it.	
Aug 22 2005	luv to go back to SGH	Went to New York last week. would like to explore soho area this time. I choose SGH. First, i kind of bit worry because there are negative reviews about this hotel in here. Anyway, I trust myself when choosing this hotel. arrived there. this is what i can share: from the very front doors, The valet parking, and the front desk they are excellent and very efficient. The service is excellent and we luv the in dining menu. All and all, next time we go to new york, we would stay in this hotel.	
Aug 22 2005	Soho Grand	Nice hotel in an interesting area... my wife and I went for our anniversary and had a great time. They had a package (I think it is called &quot;Romance in the City&quot; or something like that) where the hotel included decorating the room with flowers and chocolate, drinks at the bar, breakfast and champagne... and of course the views were great from the room (where we spent most of our time). Lots of fun things to do around the area of the hotel, plus they gave you a list of where to go and what to do to help. All in all, a great experience that I recommend.	
Aug 22 2005	Wonderful place	I had a wonderful time at the Soho Grand. The room was clean, well appointed, there was a great view. There was a business center so I could check my email. Soho Grand probably had the best room service of any hotel I've been to. If you like Greenwich Village and Soho, you can't beat the location. It's pricey, but it's worth it.	
Aug 11 2005 	stay somewhere else!	This hotel stinks. I have stayed here (for business) at least once a year for the past 7 years. In that time The Soho Grand has gone from trendy hot spot to shabby, dirty, overpriced and obnoxious. The service was deplorable (I had to call down to the front desk to enquire about the whereabouts of my luggage 1/2 hour after checking in. They asked me what it looked like, and then it still took another 1/2 hour for them to bring it begrudgingly to my room). The furniture was threadbare and stained, there were hairs in the sink, the air conditioner was very loud, corn flakes cost $13 a bowl. I don't expect friendly service in New York hotels but at least professional would be nice. I hope this hotel goes out of business soon so that a new and better hotel can open.	
Aug 10 2005 	AMAZING! I cannot wait to return....	I travel all around for business and I am extremely picky, but this hotel did it all right! From the very helpful doorman who took my bags from the door straight to my room (being a grand guest, I had be pre-registered) to the concierge who helped me with clubs and restaurants. The renovated room was clean and designed beautifully. It was just an incredible stay all around...and will be my home in NY!	
Aug 9 2005	My new favorite home away from home	I stayed at the Soho Grand for the first time last week and it was excellent. From the front desk lady to the hotel food, the service and quality were outstanding. I am making this hotel my new home away from home for all my New York visits to come!!	
Aug 8 2005	Not Grand at all...except for the price you pay	I was recently in NY for a couple of days and stayed at the Soho Grand for one night (as opposed to my planned 5 nights). I was actually enchanted at arrival: amazing deco in the lobby, jazz and laughs at the bar and I was sipping champagne while checking in...how wonderful!I was less smiley when I saw how small my $300-a night room was but yet again room size was never a selling point for the Grand. And the mini bar was filled with chocolates and nuts from all over the world and chic of the chicest Fiji water...My enchantment really vanished after the first night: was it the constant noise from the central air con ventilators, the $100 I paid for breakfast (consisting of miserable eggs and toasts and not so good pancakes), or the bathroom so tiny that you could not close the door if there was more than one person in it?All I know is I checked out as soon as possible the day after, checked into the Sofitel Hotel midtown (really great one btw) and made great use of the tube and (cheap) cabs to go downtown.	
Aug 2 2005	4 stars???? Are you kidding	Let me start by stating that I have stayed in many hotels in Manhattan over the years, and that I will not be getting into small room issues, as that is just Manhattan. Below is a list of my complaints:1) Dirty bathrooms2) Bad Air Conditioning3) Losing a fax not once, but twice4) Forgetting to tell us there was a package delivery of a basket from friends until we checked out.5) Uncomfortable bed6) Bedside light did not work7) It took 3 phone calls and over an hour to get an iron8) The tv was small and didn't work right9) Our room had a lovely view of an outdoor bar that was hopping until 3 am, and we had to turn on the loud air conditioner to drown out the noise10) I appreciated the drunk high school kids going to their penthouse party on the top floor of the hotel with a joint in their ear -- you are a hotel, not a club11) All this cost $300 a nightIn all honesty, if you are trying to look cool and be in a past-its-prime Manhattan party atmosphere of trying-to-be-hip tourists and high school kids, than this is the place for you.The Soho Grand is an outdated, sorely in need of a makeover botique 3-star Manhattan hotel that somehow has a 4 star rating. I feel like I paid $150 a night for their taste in CDs in the room, and that was it. Save your money and stay somewhere else in Manhattan	
