	The Manhattan Club	I found this hotel to have very comfortable accomodations. Travelling with a family or group, it is ideal as a place to sleep and relax. The services were excellent, catering to just about every need and giving excellent suggestions, whether it be for dining or theatre or a museum. The location is perfect. Right between Times Square and Central Park and across the street from Carnegie Hall	
Oct 26 2006 	Frustratingly difficult to book a room	I am an owner of a one week timeshare and it is frustratingly difficult to book a room. You can book as much as 9 months in advance and you have to otherwise it is impossible to get a room. Typically the call center, for booking rooms, leaves you on hold for 15 minutes, I’ve waited as long as 25 minutes, before a person answers. Although owner services represents there is a resale office there isn’t. Owner services forwards you to a voicemail box that asks for you contract number name, phone number and email address then never gats back to you. Believe me you are on your own when trying to sell.	
Oct 16 2006	Wonderful place	Our travel agent found The Manhattan Club suites after her first choice of accomodation fell through. We absolutely loved it. The location was fantastic, the staff were very professional but also very friendly, (we found some of the 5 star places we stayed were so professional there was no friendliness left in them!!) and the room was so spacious. We very much appreciated having our own room &amp; tv separate from the kids.The concierge was so helpful. He helped us out with a number of things and all in all our first visit to New York City was one of the highlights of our holiday.	
Oct 7 2006 	Perfect base for girl's weekend	I stayed at the Manhattan Club with a group of four other girls earlier this year - we were looking for something cheap, but not nasty, as we are all a bit squeamish! We get what we wanted.We were a little nervous, as we had read mixed reviews, but first impressions were great. The reception staff were so friendly and we were all cheerful as we made our way to the room - coming from five girls who had been without hair straighteners and a shower for about ten hours, this was an achievement!We were very happy with the hotel standards - very clean, very well finished, not at all like some hotels I have used in NY, for the same price. Happily, we were on one of the top floors, so we had ZERO noise - again, a far cry from previous NY experiences. I think the higher floor apartments make a difference.A little disappointed with the sleeping arrangements - we had booked a room for 5 to share, and had one double bed, one double camp bed, and we took it in turns to sleep on the floor on top of the sofa cushions...However, we had a spacious bathroom, a nice living area with kitchen facilities and a dining area - and as we were out early in the mornings and back late at night (sometimes early the next morning!) it suited us fine :)Location is EXCELLENT - you are right in the heart of things, minutes walk away from Central Park , shopping, Carnegie Hall, etc. First timers be aware, you are in the tourist area so local delis are tourist rates, you get better rates if you eat on the way downtown, sometime a quarter of the price for a breakfast.Just remember - you're not in a hotel, so don't expect hotel service. I wouldn't buy one of these timeshares, but short-term rentals through the various online travel services are definitely worthwhile.	
Oct 6 2006 	Don't buy here!	The Manhattan Club is one of the biggest ripoffs in NYC for owners, although it might be a decent deal for renters. The rooms are relatively big compared to other NYC hotels, and the small kitcheonette is nice. Location is superb--a couple blocks from Central Park and Columbia Circle, right across from Carnegie Hall, easy walk to the theater district, subway stops nearby--but for owners, the club has been hideously oversold so that it take as much as six months advance booking to get a room--hardly the convenient pied a terre that we were sold on five years ago when we bought a unit. And to think they have the gall each time we are there to try and sell us a bigger unit or more weeks! The elevator situation is hideous and the &quot;club&quot; at the top of the building has been under reconstruction for so many years that I assume it will never again materialize. The business center is laughable; the gym isn't much better. No room service, of course, and charging extra for coffee on the second day seems to be the heighth of arrogance. But the worst, in my estimation, is that they continue to list rooms available on Expedia, Hotels, etc. on days when there are no rooms available to owners!	
Aug 22 2006 	Great weekend	Rented this timeshare for two days -August 18th and 19th, 2006. We arrived about 1pm and were allowed to check in even thou checkin was listed as 4pm. The suite was very nice -two bathrooms, plenty of towels. There was a guest lounge on the 26th floor that had coffee, tea, ice tea and cookies all day from 11am. There was a continental breakfast that looked quite good but we didn't want to spend $12.95 each. We walked around the corner and had breakfast for half that. The bar in the lounge opened at 4pm. Drinks were expensive. But they were expensive in most of the area restaurants and bars also. Central park is only a block and a half away. Strolled over to Tavern-On-The -Green and had a cocktail in the outdoor garden. Went to Patsys on 56th St for dinner. Very good and very expensive. But I figured if it was good enough for Rush Limbaugh it was good enough for me. He frequently dines there. Concierge at the hotel was very helpful in looking up a rooftop lounge I had heard about but didn't have the full name or address. All in all had a great time and enjoyed my stay.	
Aug 17 2006	Don't go	The place advertises as an &quot;all suite&quot; hotel. The advertisement is false. The first room was tiny single room with a pullman kitchen. It was literally the smallest room in a Manhattan Hotel I have ever seen. After complaints, we were moved to something bigger, but it was a smoking room which also wasn't a suite. The pictures on the net show palatial suites. If they exist, they must be just for time shares. The decor is cheap motel and so are the halls and public spaces. The bed was a very hard, uncomfortable queen. The t.v. was tiny. Only one elevator was working. Some desk staff were borderline surly. We heard others bitterly complaining at the desk so we weren't alone. There were two occasions when the front desk was empty and we had to wait to get the coffee that should have been left by the maid service. We could have stayed at our favorite very nice hotel for the same price, but decided to try this because we were staying for 3 nights and thought a &quot;suite&quot; would be a treat. Big mistake that will never happen again.	
Jul 12 2006	Can You Say YUCK?	Don't be fooled by the website. This place, albeit in a great location, was shoddy, run down and the staff was virtually non-existent. The only good thing was the bathrooms had been rehabbed; other than that, it was just another New York tired looking musty hotel. The pull out sofa mattress was thin, thin, thin. And, the kicker was none of the common areas were air-conditioned! No kidding. In July. Talk about a way to save money. The only reason I booked here was for tickets for a sold out show, but trust me, never again.	
Jul 7 2006	vastly overpriced if booked through RCI	My stay was a five night RCI getaway, which was a gift for my brother and family. They couldn't make it up from Atlanta. My previous stay was a bargain, as it was a studio booked through skyauction. The rate of three hundred plus per night for a one bedroom is at least thirty percent too much. I asked for a quiet room, as I'm a light sleeper. I was put on a high floor, but adjacent to the elevator utility room. I was moved to the fourteenth floor, but a suite with much traffic noise. Maybe it's me, but the studio I stayed in across the hall was quiet. One could do better on sidestep. It seems rates are cheaper if booked outside of RCI.	
Jun 29 2006 	I'm an owner.....	I have 7 days to stay every year. I bought in 2001. The problem is trying to get a rep on the phone. You will be waiting for 15 minutes or more everytime!! I just sent them an e -mail. It's a very nice accomodation and I stay in NYC regularly but the service is not the best and the front desk isn't the friendliest. The bellmen are wonderful!	
Jun 28 2006	Great fo our purposes	Went to the MC on an RCI timeshare exchange. Small room, but had everything we needed: bed, tv, microwave, refrig, shower &amp; bathrm. Only quibble: elevators were slow in coming at rush hrs; but we were never in a big hurry, so it didn't matter all that much. The best point, of course, is its location! Walking distance to so many things, incl. Times Sq. and pts in between and farther. If you're up to it, you could walk to the Met. We took a bus there, but walked back, about 30 short blocks. Since the Met is in Central Park, you could walk thru the park one or both ways. There are so many delis in the immediate area, many of which are half groceries, that eating is not a problem. There are a couple we'd avoid, but not sure whether we're supposed to name them. One big name one, because of the outrageous prices; the other, with a street # in its name, because it cheated us. But, they have nothing to do with the MC. The service personnel were good, esp. the housekeeping staff.	
Apr 25 2006	This one's a keeper!	As most reviewers state this timeshare is terrific in all aspects but three, possibly four. Forget about the business center if you're a businessman, in fact, forget about the business center even if you aren't. It is a joke! There is no room service. The elevators are amazingly slow. And the front desk staff are |New York City| bored with you as well as life in general. And above all do not go to the timeshare presentation but then only stupid people do. Otherwise run, don't walk to this facility, if you're lucky enough to get a reservation. We've been there twice and it is truly outstanding in almost everyway.	
Apr 10 2006	Outstanding facility in a great location; service could be improved	We rented a week in a Manhattan Club suite from a timeshare owner and had a very positive experience. It's a GREAT location on 56th between 7th Ave and Broadway -- walking distance to Carnegie Hall, 5th Ave shopping, Rockefeller Center, Times Square/ Broadway shows, Central Park, Columbus Circle/ Lincoln Center. Within a few blocks are lots of little neighborhood restaurants and takeout places, as well as the legendary Stage Deli and Carnegie Deli, plus a Duane Reade(huge drugstore)and a good wine &amp; liquor store. Bus and subway are within a couple blocks -- the Broadway bus takes you straight down to Ground Zero and you get to see a lot of different sections of the city along the way. (By all means get a weekly subway &amp; bus pass for $24 if you'll be in town for several days.) Taxis are easy to hail on 56th, 7th Ave, or Broadway.The 1-BR suite is huge by NYC standards. Very large private bedroom w/ king bed, desk, nice adjoining bath done in marble. The living room has a queen sofa bed plus a comfy chair. The dining area has a round table with four chairs. Mini-kitchen has sink, dishwasher, half-size frig, microwave, and china/utensils service for four -- even a decent wine opener. There's also a second full marble bath for whoever's sleeping on the living room couch. And two big white terry robes are hanging in the closet.There's also apparently a smaller &quot;executive studio&quot; suite with no door between the bedroom and living room, and no second bathroom. (Floor plans are available at the Manhattan Club site.)The website says there are VCRs, but our room didn't have one -- just two 25&quot; TVs. The &quot;business center&quot; is a joke -- four computers with Internet access, plus a single printer, but the security guard locks it at 11 p.m. (Hard to understand why, since a room key is required for entry.) If you bring your notebook computer, dial-up from your room is $6/hour for a local call. Also in the &quot;nickel-and-dime-you&quot; category is a $2 charge for a coffee packet after the first day. BYOC!No room service, of course, since it's not really a &quot;hotel.&quot; The lobby is tiny. There is a concierge desk that closes very early in the evening -- doesn't matter, they weren't very knowledgeable and didn't seem to know where to find the answers. Front desk staff is fine in person, but too eager to get off the phone when you call with a question.Housekeeping (daily service) was excellent! Very clean rooms and they even load and run the dishwasher for you. The biggest problem was slooooow elevators -- there are only two, and we sometimes waited 10 minutes for a car that wasn't already overcrowded.We would never *buy* a timeshare (immediately previous review says it all), but renting was definitely a good deal. We paid less for a spacious bedroom -- PLUS living room, dining area and mini-kitchen -- than we would have for just a bedroom in a mid-range hotel in an equally convenient location. (Since we rented directly from an owner, we did get a much better price than what I see on some of the hotel reservation sites.)We stayed a few years ago at a similar suites facility -- Phillips Club -- around 66th and Central Park West. Though that suite was perhaps even nicer than Manhattan Club, the location wasn't as convenient. Either choice is far better than just a hotel room. Having a separate living room and an efficiency kitchen makes a real difference when you're in New York for a week. Much more relaxing to flop on the couch after a day of walking, and the kitchen helps keep the food bill a little lower, even if you just keep breakfast food in the frig.	
Mar 14 2006	Disappointed	My wife and I have never been involved with a time share presentation before. The presentation was nice and the stay was very nice. Personally we felt there was not enough time to digest the large amount of information they supplied, but signed up based on the time and questions we did get answered. After returning home, we took a closer look and determined that it is not a great deal. In fact it is not really a deal at all. There are a lot of details you will not learn while you are there and most likely not find out before the 7 days cancellation time in up. There are too many to go into, but the biggest problem thus far has been canceling. We called and discussed the process with several people at the Club. We did as they said and have now received charges and NO call back from the club. Very frustrating. My advice. Take your time and get as much info as possible. Do not sign up because you think time is against you. It is not. If something seems too good. It probably is. We don't dislike the people there. In fact they were very kind, but they lose interest when you learn the facts.	
Mar 5 2006	NYC was a hit for first time visitors!	My husband and I just returned from from 6 fun-filled days in NYC. We stayed at The Manhattan Clubby Carnegie Hall. The location is in Midtown which we found extremely helpful. Times Square, 5th AvenueSt. Patrick's Cathedral and so much more was within walking distance. We found the people to be very friendly. We ate atlocally owned Delis and the food was great! The portions are big enough to share and the prices very reasonable. We had plans to visit two top rated restaurants during our stay, however after walking around the city in our jeans and boots (weather was below freezing every day) we really did not want to go back and change into proper dining attire. We took in two Broadway shows instead (Bought 50% off tickets at TKS)where we could wear jeans.We highly recommend the Dim Sum experience in Chinatown. We followed other readers comments on the Forum and ate at the Golden Unicorn. It was good and great fun. We also recommend the Foods of New YorkGreenwich Village Food Tasting and Cultural Tour. Itis a 3 hour tour full of interesting facts-only $38per person! It was a deal! Our tour guide was Bari--she was very informative!We also found out that New York has an up and coming wine region! Many do not know this (we did not) because up until 6 months ago it was illegal for New York to ship wines any wereelse in the US! We had a great time at Vintage NYWine Shop at 482 Broome Street in SOHO. David was our wine tour guide and he did a great job explaining the region and the grape difference!It was bitterly cold one day so we took refuge in the New York Metroploitan Library on 5th Avenue. We took the FREE tour and what a wealth of information!The tour lasted 1 1/2 hours and it took us into the Trustee room which is where the fireplace from themovie The day After Tomorrow was shot.We did take the subway to the business district andBattery Park. (R W Routes) It was not bad at all!We did take the A train to Greenwich and that was a bit scarier. Rougher looking people on the bus.For tickets we highly recommend TKS-we got tickets for Mama Mia &amp; Chicago. We were dissapointed to find that we could not go intothe NYSE. It is sealed tighter than a drum. We alsowanted to see the National Reserve Bank- we could have toured it but we had to call at least 2 weeks in advance.	
Feb 23 2006	A Great Time Share	We bought our time share at the MC eight years ago when MC would let you reserve one night at a time. The reservation policy still works for us, but we understand the option of a single (or two or three or four) night stay disappeared. This is a perfectly located place...two blocks from Central Park, across the street from Carnegie Hall and about four short blocks from Times Square. The front desk is lightly staffed, but that's not proven to be a problem. Cleaning service has always been prompt and effective. Elevator service can be problematic in the morning as can be shower temperatures between 8 and 9 AM. I don't think there's any meal room service, but I could be wrong. A one bedroom unit will accommodate four people who are reasonably flexible, and don't mind whatever inconvenience is associated with early risers in one room and late risers in a community roonm. The MC is a little chintzy on their coffee, so you might want to bring some small 2-4 c packets as a supplement. There are grocery stores, delis, liquor stores (and a McDonald's that delivers) within a couple of blocks. There's also a Hooters and an American Cafe for those so disposed.	
Jan 9 2006	Great hotel	We stayed 28th Dec to 2nd Jan. Had a great time there, staff are very friendly and helpful. The rooms are spacious and clean. Handy with a fridge and microwave. Great location we could watch Times square celebrations and Central park fireworks from right outside the hotel. No timeshare buying harrassments which was a big plus. Would stay there again next time.	
Oct 5 2005	I Love NY	Across from Carnegie Hall, a few blocks from Times Square-Location, Location, Location!! Near everything!! Concierge desk to help with all your desires. Accomodations-neat, clean, with everything you need, including an efficiency kitchen.	
Sep 14 2005 	Above First Class Community	The Manhattan Club is a perfect community of enjoying the luxury of New York City at it's best. When I take the time to enjoy My Manhattan Time Share it isabove first class accommadations.The Concierge Services are one of the best that I have encountered through my travels domestic and international.I am a millionaire at the Manhattan Club. The association is sincere in maintaining a top first class establishment through constant remodeling and updating building standards.Cheryl GrazianoOwner	
Aug 7 2005	great place will be back	Excellent place, rooms are clean and nice, staff is friendly and the location is safe and great. I felt safe walking around late at night.	
Jun 25 2005	Great location price and staff	I go to NYC every year for the Christmas Holiday. I have been going to the Manhattan Club and bought a &quot;Penthouse Suite&quot; after my 7th visit there. One bedroom suites accomodate 4 people easily and the kitchenette and dining room table allow me to make coffee and breakfast with food that buy at the local market a block away. My guests and I love the short walk to Times Square, the theater and Central Park. Once you learn more about the city you learn to eat where the locals eat for less and which activities they love to go to in the heart of the city. Remember that you are in the center of Manhattan and your average dinner in a restaurant will run $30-100 per person but there are less expensive options available, you just have to ask where they are. $5 to $7 pays for a Taxi ride to most locations like the Metropolitan Museum of Art at the Northern end of Central Park on 5th Ave. or to the Theater District on 42nd Street (13 blocks away at the South end of Times Square) otherwise you can take the subway for $2 each and the entrance is less than a block away. This Spring I stayed in the TimeSquare Marriott for $347 per night (a great hotel) because there was no room at the club where I can stay for for less than that per night using one of my FLOATING nights. If you are friendly and cordial to the staff, they are friendly and cordial just like any where else. I love being an owner of a Suite at The Manhattan Club and recommend it to anyone who likes to visit NYC several times a year. It is like old home week every time I visit as I renew aquaintences with staff members that I have come to know. I love New York and I love The Manhattan Club.	
Jun 24 2005	Great base for NYC weekend	The Manhattan Club is close to Times Square, subway station, Central Park. This is really a great place to stay for a weekend in NYC. The rooms were clean, staff friendly. One bedroom suite served well for three adults...one couple, and single friend stayed in living room area with rollaway. Much better than squeezing into overpriced small hotel room. We did not have problems with hot water, and many times, elevators were standing open in the lobby. I would like to clarify we stayed in the Manhattan Club rooms, not the Park Central hotel, which is connected via lobby walkway (owned by same corporation). There are separate elevators, check in facilities, conciere, exculsively for Manhattan Club. I believe MC members stay on floors 16-26. Reasons for not giving it an Excellent rating were that the upstairs club area is closed for renovation and the outside area can be quite noisy. I know...this is midtown NYC. Not a knock on the hotel, more of an observation of the area vs. UWS. Two great eateries within two blocks are Carnagies Deli (huge sandwiches) and Maison (24 hour outdoor upscale dining).	
Apr 19 2005	The Manhattan Club - A Well Kept Secret Gem	The Manhattan Club is a wonderful haven amidst the Golden Triangle section of Mid Town Manhattan.Just a short walk from Broadway, Columbus Circle, Central Park South, Times Square, Radio City and is directly across the street from Carnegie Hall.This in the only urban fractional ownership timeshare in New York City. I plan to own a unit before the end of the year, as the majority of owners do, that live 1 to 3 hours outside Gotham and are looking for a place to call home in the city on a very part time basis.	
Apr 13 2005	Rip Off!! Don't go!	We recently went for an overnight at the Manhattan club. We were quoted a price of $159 for the room, which inlcluded 2 play tickets, dinner or shopping spree and a $20 gift cert. at Mickey mantles. The requirement was going through the 90 minute timeshare presentation, which we were interested in. Well, we ended up being charged 179 plus tax for the room-my error--nothing anyone receives ever has te original quoted price for the room. You do get a call confirming the &quot;final&quot; plus tax figure, but they never tell you the room price. Also, if you don't purchase the timeshare the choices for plays are horrible. I didn't find out what dinner choices were. Also, the Mickey Mantles gift certificate has a minimum purchase of $50--for lunch. If you have two people and don't plan on drinking, then you probably won't be able to meet the minimum purchase.The owner of the Manhattan club also owns the hotel, so he is in a win-win situation. You get overcharged for a room, obviously ignored if you don't buy and when questioned they treat you professionally, but with a &quot;too bad&quot; attitude.I strongly recommend anyone to not fall prey to this. If you choose to try it, get everything in writing--including the original room price. Also, find out what your choices will be if you do and don't buy--you have a right to know. I was too trusting and naive not to get all this information and now I'm upset I didn't. The experience was absolutely terrible.	
Mar 3 2005	Cold showers bad stay	I too had a bad experience in February.......ice cold showers and elevators that were as slow as snails!	
Mar 2 2005	Poor mangament	I stayed at the Manhattan Club in February and found out this world class hotel to be a big dissapointment! Not only did I wait 20 minutes for elevators, but there was no hot water and a very rude front desk host.The room was loud from an adjoining utility room....what a waste! No satisfaction from upper management with my unpleasant stay. Please reconsider when booking or buying!!!!!!!	
Feb 20 2005	And they say New Yorkers aren't friendly	Once you are through the tubes, depending on the traffic the Manhatten club is only 10 min. away. Pull up to the valet parking and don't touch the car again until you sign out. Now thats the way to see NY. The hotel staff is extremely friendly beginning with the bellmen who meet you curbside to the check in personnel. They try to accomodate your every wish to include a larger room if it's available. The suite was quite spacious and included two rooms; a master BR w/king size bed, TV and as my wife said, a to die for bathroom w/tub. The entry fower, led into a living room w/a pull out queen size bed, a 2nd large bathroom, and small kitchenette. it also had a TV. More than enough room for 4 people. The amenities were what you would expect from a 4 star hotel. The location makes NY accessable by walking to the theater, dineing, or central park. A subway station is conviently located out the side door and gets you to anywhere you want to go on the island to include Brooklin. A definite value for the $ spent.	
Nov 23 2004	Great NY Style	LOCATION: FantasticBUILDING: very nice lobby and friendly staffROOM: we had one bedroom suite which is HIGE for NY standards. Bathroom had enough space to fit 10 people. Nice and clean rooms. Living area had small kitchen with micro, coffee maker,dishwasher and fridge. Dishes and glassware also provided. Free coffee, and pop corn provided daily. Plenty of towels and shampoo/soap.This is a FANTASTIC hotel to stay at...great location and the serivce is out of this world.	
Aug 17 2004	Further Review of the Manhattan Club	Further to my earlier review:Staff at the Manhattan Club were pleasent, polite and chattie. One Concierge - Mara - was extremley helpful and full of knowledge of the New York area. She booked our trips to the theatre, boat trip, helicopter trip and Niagara Falls trip. Nothing was too much trouble for her. Whenever she had time she asked how we were and were we able to find what we had asked directions for. The house keeping staff were curtious and friendly, and they did a great job everyday. The only problem was waiting for the lift - I think everyone felt the same, but apparently this is going to be sorted.	
May 9 2004	Great Timeshare	We have stayed at The Manhattan Club three separate times and enjoyed it very much. The room was nice and clean with a very comfortable bed. We especially enjoyed the 26th floor lounge. There was a smoker's room with very comfortble furniture. The elevator was fast considering the amount of floors in the building. It is in a great location, close to Time Square and Central Park. Would love to visit it again. One reason for not going there too often is the traffic getting there on Rte 95. and the expense of parking.	
Apr 29 2004	Highly Recommend The Manhattan Club		
Apr 2 2004	A lovely place with no soul		
Mar 9 2004	Don';t buy a limited timeshare		
Jan 20 2004	Last minute		
Dec 28 2003	NO room service is an important factor.		
Dec 27 2003	Manhattan Getaway		
Dec 15 2003	In the heart of NYC		
Dec 11 2003	Wonderful choice! :-)		
Aug 27 2003	Great Hotel		
Apr 9 2003	A lot of Class for a little Cash!		
Nov 23 2009 	da tenere in considerazione		
Nov 14 2009 	fue increible		
Sep 20 2009 	excelente		
Mar 5 2009 	avevo paura di cosa avrei trovato ma.................		
Oct 28 2008 	Non pagate anticipatamente		
Feb 11 2008 	buona posizione		
