	Great Location	My friend and I stayed at the Comfort Inn in November for a week. We found the reception people most helpful and friendly. The food in Brendan's was very good, don't forget to use your key room card to get money off-we did-and they don't ask!!! The hotel may be a bit dated, but it was very clean. What a fantasic location. The subway, Macy's and the Empire State Building within 5 minutes. On the whole we loved our stay here. A bit of paint would help brighten it up. It was noisy at night with the dustbins being collected and the New Yorkers do like to use their car horns!!!	
Jun 27 2005	Ok hotel good location some rude service	My wife and I stayed at this hotel because we were in town for a Yankee game and do some sightseeing. We arrived a little early (around 12ish), and I stopped in to find out about parking and early check in. Basically was barely given the time of day by the lady at the front desk. She told me where I could get discount parking (18.00 per day), and said my room wasnt ready but didnt offer any time estimate of when it would be. I stopped back and asked two more times (at 2, and then 2:45), and did not even say anything when I could finally check in. She was continually rude the remainder of our stay, and a letter will be sent to them regarding her. Anyways, the room was ok. We stayed on the 11th floor, and elevators were definately an issue. Slow is an understatement. The hotel needs some TLC. Our room was clean, but the bathroom is small, the AC is front a window air conditioner. The room was a decent size though. The location was good. There was a subway stop a couple hundred feet away from the front door, Times Square was a 15 minute walk, some good diners/coffee shops were close (breakfast). Ground Zero and Statue of Liberty were easily accessible by subway, as was Yankee Stadium. I wouldnt stay here again on the next trip to NYC. The subway is so easy to use, I would probably stay outside of the city, and utilize mass transit to avoid parking and hopefully pay reasonable prices for food.	
Jun 23 2005	Not our best choice	Room for 2 for site seeing and Yankees game, only 1 night stay. Cant say that I would venture back to the same hotel in NY. Yes, Alex was great, he advised multiple things to see and gave decent directions. Only 1 of 2 elevators were working on the day we stayed, making the wait a little long. The elevators were about a 5x5 size so not many people (luggage) could even fit for the trip up or down. Getting off on the 7th floor, the entry flooring was damaged and in bad need of repair. The room was just as bad. Yes we had what looked to be clean bedding and towels. The air conditioning was a well worn window unit and I also noticed the heating system enclosed in a wall cover that was really out of shape. The drapes and sheers would not open properly over the window unit, so we had to utilize chairs to hold back the drapes so the air would flow into the room. We did not need to use the tiny closet area. The bathroom was really the laugh of the day. The sink was probably a 1 1/2 foot by 1 foot size, really small and there was a glass shelf placed below the mirror to hold glass, tissues, etc. Well, trying to brush my teeth and utilize the sink was a chore. Either you bang your head on the glass shelf or stoop over to use the sink. The toilet was crammed between the bathtub and wall. If I was a larger person, I would not have been able to utilize the toilet. The toilet paper roll was directly next to the toilet causing even less room. The shower was hot and that was about the best of the entire room. We stayed because we did not really expect to spend much time in the room anyway. The continental breakfast was a joke. My husband went down to get a light snack for me. The mechanical toaster was broken and you had to manually place the toast or bagel on the rack and watch it carefully to turn with tongs. A 9.99 replacement toster would have done the trick. Not much to choose from, toast, bagel or cereal. And he had to walk down the stairs becuase the elevator was apparently stuck. Well, we did the town, it was a good location and the bed was comfortable. Want to see the Yankees again, will try another place to stay. I recommend not to use room 708.	
Jun 7 2005	Sight-seeing central!	We (2 adults + 2 17 year-olds) stayed at the Comfort Inn for 4 nights at the start of June. It's a bit basic, just about clean enough and in need of a coat of paint but if like us you are only going to use it to sleep in (about 5 hours a night!), more than adequate for a sight-seeing based trip. The lifts get some stick but generally behaved OK although being on the top floor there could be a slight wait sometimes. There are only two small lifts (5 people each max.) so if you got there at a busy time - we saw 3 large school parties arrive during our stay - there could be problems.The famous Alex deserves his reputation. A mine of knowledge who steered us towards some great sight-seeing tours and eateries. Got the impression that he might be making a buck or two out of his recommendations but wouldn't begrudge him that as the tours we took were excellent. Overall the service from all the staff was helpful and polite.Location is superb. 2 minutes from Macys, Broadway, the Empire State and the subway. Also right opposite is the Metro Hotel with a fantastic roof terrace. Late night cocktails on the 14th floor over-shadowed by the ESB was one of the highlights of our trip. We also had a sneaky look around the Metro while we were there and I have to say if you can get good rates it would be a good step up from the Comfort.Didn't try the complimentary breakfast as there is just too much choice elsewhere so can't comment on that.NYC was an unbelieveable place. I had high expectations which were surpassed. Not one part of our break was disappointing and this might lead to the Comfort Inn being viewed through rose-tinted glasses which is why I have only given it an average rating but don't be put off, there's nothing wrong with it for a budget hotel.	
Jun 6 2005	Not awful but not good for whatever that's worth...	I gave this an okay rating because it was mostly clean and the front desk man, Alex, was really out-of-his-way friendly.Pros - Location was pretty good. The price was reasonable for NYC. No sign of bugs.Cons - The doors on either side of our room had clearly been reattached with the help of a lot of screws, so that was creepy. Both tiny elevators were running, but they were still really slow for 13 floor building. The floor we stayed on (sixth) had a very strong bleach/cleaner smell, as did our room. Still and all there were pubic hairs in the bathtub on the wall along with a brown smear that looked like rust. Mold on the bathroom ceiling, a precariously placed shelf above the sink that looked unstable, and overall the room was dark and sort of dank. My socks weren't particularly dirty for walking around the room so I think the carpet was fairly clean. The bed sheets seemed clean but I didn't sleep well. We saw no signs of bugs anywhere so that was reassuring... all in all, it was okay, but then we only were in the room a total of 7 hours over three days.I wouldn't stay here again - the Best Western Presidential on 48th was in much better shape and only slightly more expensive.	
May 19 2005	Everything you'll need	We chose the Comfort inn as the hotel for my wife and myself as a one night getaway to Manhatten, Being that I work in the Manhatten I knew this was a great location and I was right!!!You are nestled in the middle of everything and you can have a nice walk to many attractiions.The room was actually very nice and the staff was great!!!We really liked the great shower and the bed ws really comfortable. No, it's not the lap of luxury but it is more then fine. The elevators need work - but the stairs give you a good workout. I would stay here again and would recommend this to everyone.	
May 3 2005	Superb location and excellent value for money!	My fiancé and I stayed at the Comfort Inn for 7 nights. We flew BA from Manchester (don't listen to what they say on their website about the benefits of World Traveller, the Manchester flight is awful).We caught a taxi from JFK and cost about $55 after tolls and tips. It took half an hour and was well worth the yellow cab experience. On arrival at the hotel, we were greeted by Benny who helped get our cases from the cab. A very helpful man, we saw more of him than we did of the now famous Alex.The safe costs just over $1 per night, so don't be surprised when they tell you it's a compulsory charge. It's insured and well worth the payment. You choose your own code and everything was very secure.Our room was on the 5th floor (Room 509 actually) and was overlooked (as is most of midtown!) by the Empire State Building. We weren't facing the road and it was generally quite quiet. Because of the reviews on this site we weren't expecting 5* accommodation. Far from it. We knew that it would be relatively old, in need of a facelift and generally ok. In fact our room was a good size for NY standards, and very clean. Nothing can prepare you for the central heating system though. Our radiator was hidden behind a massive radiator cover. On the first day I wondered what was inside and took a look... A huge rusty antique radiator that even Tommy Walsh wouldn't want to restore! I thought 'this could never work'. But it certainly did, and you'll know about it!!!!!!Despite the notices in the bathroom about using towels twice to save the environment, our towels and bedding sheets were changed on a daily basis.Breakfast was a little bit disappointing, but nonetheless worthwhile. Make sure you're there before 9 otherwise you'll be faced with just cereal or oatmeal. If you do miss breakfast the small cafe next door does some excellent muffins.The location is without a doubt worth the old room. You are literally 2 minutes walk away from the Empire SB, Macy's, Gap, H&amp;M. 5-10 minutes from Times Square. We walked everywhere for the first 3 days. Yes you can walk to the south of the island, but paid for it when our legs seized up. The subway is amazing and the R line (takes you up to Central Park and down to South Ferry (Staten Island Ferry)) is on the doorstep. Beware the entrance at the end of the block is closed on Sundays. The metrocard is cheap and fantastic value.A word of advice, if you're walking to the Flatiron Building please walk down 6th Avenue and not Broadway. We went the 'wrong way' twice down Broadway and felt very uncomfortable on that section.If you're like us and the labels you buy are Diesel, G-Star etc. then the best shopping for you is down Broadway in SoHo. The streets are lined with excellent shops, and one to look out for is called Yellow Rat -------. Starbucks a plenty, so there's always a coffee or hot chocolate stop.Before you buy in Bloomingdales or Macy's visit the Visitor Bureau for a 11% off card. And look out for the free gift vouchers in the NYC guide. Beware, Macy's don't offer a free gift anymore. It's an 11% discount voucher, so get it BEFORE you spend!We will be returning to New York in the future, and will without doubt stay there again. Whether it's old or not, the location outweighs all the bad points. The way we saw it was 'It's clean, and the only time we're here is to have a shower, drop off shopping bags, and sleep.' The bed was comfy and that was enough for us!Don't expect New Yorkers to bend over backwards to be nice to you either. The whole 'service with a smile' seems to have escaped many of the people we came across. Even a street beggar yelled at me when I told him that I had no change. The truth of the matter was I didn't in fact have any change at all. I had my credit card and that's it. He retorted with a hateful 'I'm sorry I'm so goddamn polite', and that was on 5th Avenue! A bit of a down point, but I didn't let it spoil my day.Incidentally, if you're a Brit and want to know what to do about money then we took $900 in cash for food sightseeing etc, and this was plenty for a week. Everthing else we spent was on the credit card. The best credit card to get is the Nationwide Card. No loading and an excellent rate.	
Apr 27 2005	we had a great time	we stayed in this hotel of 5 nights. well located for empire state building, times square, broadway, shops and other attractions but long walk to central park. nearby easy access to subway and bus stop.our room on 11th floor was small, tired and grubby with room for 1 standard sized double bed and little else, but clean towels every day and lots hot water. upstairs halls and stairs looked dirty and in need of updating.only 1 lift working but sometimes needed staff to twiddle something to get doors to close plus we had to walk up 11 floors one day as people stuck between floors.reception area, bar and restaurant all looked clean and smart which was a little deceptive. bar &amp; restaurant was average. very good basic continental breakfast was included. all staff friendly and helpful. hotel was full so as an inexpensive hotel it was popular.	
Apr 20 2005	Locationlocationlocation but not much else!	We stayed at the comfort Inn Manhattan for three nights. If location is what you are interested in, it is great. We could walk to many places- Times Square, Empire State building, UN, Broadway, and more. However, the room with 2 double beds was small and we could barely get into the closet or to the air conditioner because the beds were so close to the walls. The halls and stairwells are in sad need of repair and were not kept clean. The furniture in the room was cheap and worn. The one working elevator didn't always work unless an employee fixed something that kept the door from closing. At times the ice machines weren't working. (When we complained about that, the manager told us ice machines are an &quot;amenity&quot; and didn't count toward dissatifaction guarantee.)The houseKeeping was not good. Peanuts I dropped on the floor the first night, stayed for the entire 3 days we were there. The positives were that the beds were comfortable and the shower was hot.It seems like you should get more for what you pay. But, then, in NYC it is an inexpensive hotel.	
Apr 12 2005	Would do it again!	We booked the Comfort Inn Manhattan as a &quot;backup&quot; hotel, hoping to get a nicer place on Hotwire. That never happened. I have to say it was clean, the people were very nice, the breakfast was basic but a perfect start to teenage boys, the location was wonderful and it was perfectly quiet on the 11th floor! I think it was a bargain for $135 for 2 double beds! Now about that 1 small elevator.....ridiculous! (I hear the other one has had the sign on it for 5 years now.) When you're on the 11th floor, you better have everything you need the first time down! I wouldn't hesitate to stay there again though!	
Apr 12 2005	Great location - rooms a little tired	Stayed here for 5 nights at the beginning of April Paid 199 dollars for a room with 2 beds.Good points:-Location Location Location the bestWe got room 311 which had a small very dirty window overlooking a brick wall but the advantage was that we did not get any street noise.Lots of clean towels no smell of smokeFree coffee in receptionThe breakfast was Ok if a bit boringNot so good points:-The lifts we never saw anyone working on the lifts so I would be suprised if they impove in the near future, only one works and the queues were very long, as least we could use the stairs.Room was very dark but then we only really slept thereIt needs good renovation job but then what do you expect from a heavily used city hotelSummary, Excellent location which made up for the somewhat tired surroundings, We were satisfied but not ecstatic.	
Apr 11 2005	Great location would recommend	The Comfort Inn Manhattan was an excellent base for my trip to NY at the beginning of April. In fact I couldn't have asked for a better position. Out of my window I could see the Empire State building and at the end of the road was Macys! And, in just 15 minutes I was at the Rockefeller Centre and Saks. Times Square is literally 10 minutes, away, if that.The rooms are comfortable and definitely bearable for five days. Mine had a TV, hairdryer and bath/shower. The only thing they lacked was tea/coffee making facilities. Having said that, downstairs in reception there was free tea and coffee available.Breakfast was included and was in the adjoining restaurant which I later found out is not actually anything to do with the Comfort Inn. There serve great eveining meals if you don’t eve feel like venturing out. Breakfast was fine - toast, bagels, oranges and apples, donuts and muffins if you can stomach them at 8am, cereal and at a price a cooked breakfast NY style was available.This is a great place to stay if you don't intent to spend hours on end in your room. After all, that's not the reason for visiting NY.The only problem I experienced while here was the lifts. One had been taken out of service to be modernised which is fine, but when the second lift was playing up and was totally unreliable the nine flights of steep stairs were no fun!Overall: great location, comfortable stay and would definitely recommend for the price.	
Mar 30 2005	Nice stay at Comfort Inn	My sister's family and mine stayed at Comfort Inn for 6 days (22-28 March). We had 2 rooms, in each room 2 adults and two children, with a double bed and a sofa. My room 601 was large enough and clean. The bathroom was quite small, the washbasin tiny. All the staff were helpful and polite. The continental breakfast was ok, with nice pastries and fresh fruit ( apples and oranges). Free coffee and tea all day long in the lobby. Complimentary USA Today. Its great location, just a few steps form the subway and Macy's, makes the stay super. Of the 2 elevators one didn't work (we were told the elevators are under renovation), so we usually used the stairs instead of waiting. If possible ask for rooms on top floors because the street is quite noisy during working days, quiet at the weekend.No possibility to regulate the radiator, the temperature was really hot at night. In March we slept four for 170 dollars per night plus taxes.I believe this price is unbeatable considering the standard of the hotel.We all will stay at CoMfort Inn , 36th Street again.	
Mar 30 2005	Location Location location	Stayed in hotel one Monday night March 28. Location was excellent a short walk to Macy's, Herald square. Parking was very close with reduced rates for hotel. Down side--elevators....one was not working at all,which left only one which also had troubles. We spend alot of time waiting for an elevator since hotel help also were using them and only 5 people could use them at a time. At check-out we actually walked the skinny stairways down 10 floors with our luggage because there was no assurance you could get one or not. Staff said they are up-dating elevators and one should be ready in 6 weeks. I would check. It could be dangerous if there was a fire or someone who would have trouble walking. Good side breakfast was good in restaurant in hotel. Enough to eat and very helpful staff.	
Mar 29 2005	A Great Place	Have been using the Comfort Inn Manhattan for Shopping Trips from theUK since 1995. What can I say Great Location, excellent Staff that make you very welcome. Feel very much at home at the Comfort Inn	
Mar 26 2005	Our stay at the Comfort Inn Manhattan	My fiance and I stayed and the Comfort Inn, Manhattan for 6 nights in February this year and we would return to that hotel again. This hotel is not a luxury hotel and its not fancy but it was great for a few days in New York when we didn't spend much time in the room apart from for sleeping. The hotel is in a good location being close to the subway and its within walking distance to Time Square and we felt very safe in the area. There are not a lot of places to go in the evenings; bars, restaurants or clubs around and so in the evenings we would have had to travel a little distance but this was no problem considering we got a good deal on the price of the hotel. The staff were really helpful, always willing to assist us, offer advise about what to do and really attentive. Our room was on the top floor, floor 12 and when we stayed there was only one old fashioned elevator which was working this meant waits of up to 10 minutes so we often took the stairs. However, I am assured that this is a temporary problem while they install new elevators. Our room was small but not tiny and the bed was comfortable. Our view was of the tops of buildings but this wasn't an issue for us as we spent most of the time out side the hotel anyhow. The bathroom had mould on the ceiling, the bath in the tap leaked all the time and generally wasn't very pleasant. We were, however, very comfortable at the hotel, and were able to overlook the issue with the lift, the bathroom and the old fashioned room and all in all, I would stay in this hotel again for the location, the friendly staff and the enjoyment of the wonderful city of New York.	
Mar 20 2005	This was not good	During a five-day stay we encountered numerous problems. The elevator was out of commission (we walked 11 flights), our bathtub had hairs in the drain (not our hair), the sink did not drain, could not reach the desk via telephone to leave a wake-up call. The breakfasts, however, were wonderful.	
Mar 18 2005	great hotel	this is the third time iv been to new york in 6 months...i have stayed here twice..room was very clean and cosy..staff were great.great location.and will stay here again	
Mar 17 2005	Very good value for the money	I stayed in the Comfort Inn Manhattan 35 st between 25/02/05 and 3/3/05 (5 nights with three friends) in a quad room.The staff at this hotel were very friendly especially our maid, which is unusual in NYC as people tend not too care. Our hotel room was clean, beds changed every second day and we were given fresh towels every day along with our beds etc being made. My only criticism would be that the hotel corridors, lifts and rooms etc were all dated it was very 80s. If this was to be modernised it would be excellent. We had a complimentary breakfast every morning which was nice this set you up for the day.At this time of year, it was very cold, it was a freak weather storm when we were there, we had a lot of snow over a few hrs. At the end of our street was Macy which was very handy, you could pop back with purchases and dump them in your room. Also I would recommend doing the Dinner Dance cruises (World Yacht) superb view and excellent service	
Mar 17 2005	Great Location	We stayed here between the 9th - 13th March on our honeymoon and found it to be great. The place looked tired, but the location and breakfast made up for it. We found the staff were both friendly and helpful. As long as you are not expecting things too posh, this place is great and I would recommend it.	
Mar 12 2005	Definitely would stay there again	Our first ever trip to New York and the Comfort Inn was ideally situated with Maceys a couple of minutes away, Broadway and Times Square, 5th Avenue within walking distance. Hotel could have done with a bit of renovation decoration wise and the lift was a joke especially when trying to get the cases downstairs when booking out. The staff were very helpful and pleasant, the rooms were very comfortable and clean. I have recommended it to all my friends and colleagues and would definitely stay there again.	
Mar 11 2005	Good for the price!!	Stayed at the comfort inn manhattan from mar5-11th and found it to be perfectly adequate for us!! not luxury by any means, but for the price it was very decent!! staff were fine and alex we found was very imformative...(previous poster must have got him on a bad day) he even dug out the scottish footie results for me ( he doesn't normally ...only premiership usually)!! have no complaints really ..apart from the lift , it was murder, so slow only one of the two works, so we took stairs most days and we were on 11th floor, location is the main thing here ..so central to all major attractions and subway just outside!! would stay here again!!	
Mar 9 2005	Not as good as expected	Stayed at the Comfort Inn from 18 - 21 Feb 2005. The advantages of this hotel are it's excellent location, it's a stone throw from Macy's and the Empire State was right next to our bedroom window. It is also only a 10 minute walk to Times Square. It has a nice bar next door called Brendan's where you can get the british footie results. However, on the negative, our room reaked of cigarette smoke, and even though we are both smokers it was unbearable. The hotel couldn't give us another room and despite them promising to elimate the odour and us purchasing air freshener, it did not go away. Also the receptionist Alex was abrupt to the point of being rude on some occasions, and the heating was roasting hot and very noisy. The breakfast was ok, just cereal, bagels, toast &amp; doughnuts etc. But it's worth going to a diner for the real american breakfast experience. Try the Empire in Chelsea it's fab.I would recommend this hotel if you are on a budget but request a non-smoking room and hope that you get one as some people checked in when we were checking out and had requested this but ended up with our old room - poor them!	
Mar 7 2005	Great stay!	Stayed In the Comfort Inn Manhatten during a really cold snap in February 2005, we only had to put the heating on once, it was noisy but we were so tired from sightseeing we slept like babies. Its an excellent location and the bar downstairs is reallt handy. Great breakfast too if you need to fill up for the day. Overall I would definitely recommend.	
Mar 7 2005	Good Central Hotel	Spent 7 days at this hotel. Staff were excellent and we were checked in efficiciently mid evening. Our room overlooked the Empire State Building (please note that there are offices either side of the building so when i theatrically threw open the curtains in the morning there were several office workers waving at me so i wouldnt advise it just in underwear). The room was quite small but it is typical for a city centre place and we had a queen sized bed. The bathroom was very small however and whilst clean not what i expected. We did nt spend too much time in the room, well you dont in NY do you?Reception seemed really nice and all the staff were friendly and informative. We never ate breakfast there even though it was included in the price as the diners around will be infinitely better and quite cheap. The most memorable thing is that its location is in little Korea and the smell of breakfast buns and hon su rolls being cooked as we left the hotel is something i fondly remember.The location cannot be beaten, around the corner from the ESB, macy's is a couple of blocks away. We never used the subway as everywhere is walkable. All in all this hotel was very good value for money.	
Mar 2 2005	Overall good value	It would be easy to make criticisms of this place - the bathroom was tiny, the heating incredibly noisy, everything could have been a little cleaner, and the one operating elevator was a joke. HOWEVER!! Overall, the room was spacious and comfortable, the breakfast was a good start to the day, the location is ideal and the staff were always pleasant and helpful. Considering how much hotels in NYC can cost, and how little time one would usually spend in ones room, the CI Manhattan is great value for money and I'd definitely stay there again.	
Mar 1 2005	Location Location	Just back from a 4 nite stay in the comfort inn manhattan, great location, easy walking distance to fifth ave, all the shoppping areas, times square, broadway! Only complaint was that one of the lifts was out of the order and since we were staying on the 11th floor, sometimes had to wait a long time for the lift. Great location for access to JFK airport, overall impressed with what we got for the price we paid! I didn't eat in the hotel so cannot comment on that, we had breakfast every day at the oxford cafe on fifth ave which was v. nice Overall great recommendation but if you want luxury book somewhere else!	
Feb 15 2005	Great hotel	Stayed in the Comfort Inn Manhatten from January 17th to 20th. Good hotel, great breakfast each morning. Superb location. And so easy to get to the airpport. Would reccommend this hotel.	
Feb 9 2005	Brilliant	I work for a tour operator and feature this hotel amongst others. i have stayed in many hotels in NYC and this is definately my favourite for the price/location/staff.  definately stay here next time i go! 	
Feb 7 2005	Superb location	We stayed at Comfort Inn Manhattan for 9 nights from Jan 25th. The first room we were shown to was tiny, cold &amp; depressing however after speaking with the receptionist we were moved to a large room with big bathroom &amp; 1 double &amp; single bed. Bedroom was v clean-new towels every day. Showers were powerful w/loads of hot water. TV was added bonus. We did not eat breakfast at hotel-great diners nearby. (We loved PAX deli). The hotel is literally 2 mins walk from Macys, 5 mins to Empire state &amp; subway is located at end of st(practically outside the hotel door).On the downside.......the radiators made alot of noise at night time, but cos we were so tired it didn't bother us at all. Hotel is a bit run down &amp; lifts are a joke.BUT excellent location more than makes up for anything lacking in the hotel. We had a room at back &amp; could not hear a thing which was great. Prob would stay here again	
Jan 30 2005	comfort inn very comfortable!	great hotel in a great location. booked on the strength of the recommendations on this site and they were spot on. spent five nights here and saw everything - very proximate to macys, empire state, 42nd st and penn station (handy for getting train to and from airport and which costs only $9.50 for a single trip) alex (the receptionist) isn't as good as the other reviews make out. it took him 20 minutes to tell us where to get the sight seeing bus from because he wouldn't let any of the other receptionists deal with anyone else and kept breaking off from dealing with us to deal with others which was quite annoying. breakfast was handy but lift is a bit slow. great price though for a good sized room with a big bathroom in an excellent location. ps the restaurant (brendans) is very good - possibly the nicest place we ate in all trip!	
Jan 15 2005	Amazingly quiet hotel in super location	Considering the competition in New York, this little gem stands out proud and is thoroughly recommended. The rooms are fairly small, but I could hear a pin drop from my rear facing room. There was no view from the 5th floor (even though I faced the Empire State) but that did not bother me.The room was brightly decorated and exceptionally clean, a real surprise from what you first experience when you walk into the hotel (and use the prehistoric lifts!). The bathrooms are well stocked and the water quality superb.Continental breakfast is included, although it's a small affair, with a couple of cereal dispensers, some brown/white bread with a toaster, juice, bagels and of course, tea &amp; coffee.On the downside, I noticed the walls are a little thin so hopefully the naughty goings on in the adjacent room won't keep you awake! There is also a noticable lack of security on the lobby level, and at breakfast I think at least 2 people sat there were from off the street - there is nobody checking who comes in or out.Overall a tidy hotel in a perfect location - if you plan only to be here for a good night's sleep after a long day in the Big Apple, then I think you'd be foolish to look elsewhere for the price.	
Jan 5 2005	Great deal!	We wanted a room for Nov.6-9, 2004, not realizing that was the weekend of the NY marathon. The Comfort Inn was the only place under $300 per night we could find. We booked it, expecting the worst. To our delight, it was wonderful! Clean, cozy, and incredibly convenient. The view from our room of the lit-up Empire State Building was an unexpected bonus. Even if you can afford a more expensive hotel, I'd recommend staying at the Comfort Inn and using the &quot;extra&quot; money on more shopping or fancier dining out. Terrific experience!	
Dec 8 2004	Absolutely Fabulous... can't wait to go again	Me and my other half stayed at the Comfort Inn Manhattan between 3rd and 7th Dec 04 to celebrate my 21st Birthday on the 5th. We arrived a couple of hours before check in and were really pleased that we were able to check in early so we could have a good walk around everywhere as this was our fist time in NY.Alex at the front desk was an angel throughout our trip and he really helped us with many things, from where to go to eat and directions and sightseeing. He is truly a tree of knowledge.Now a little bit about the hotel and room. I was worried about the size of the bathroom after reading a few reviews from this site, however i found it was not only ample, but larger than my bathroom at home. (and we ALWAYS had hot water). Regarding the radiators, they do make a wierd noise throughout the night and i suppose it was a little annoying, however, as we were that busy during the day shopping and seeing the sites, when our head hit the pillow we were out for the count and it didn't affect our sleep at all. The breakfast was basic, bread, toast, donuts, tea, coffee etc but it's so cheap to eat out and everything is in close proximity. The lifts were amusing- not slow (we never really waited more than a minute of so and the hotel was full) but the one nearest the desk has a tendency to bounce slightly on ground floor!Macys is at the end of the street and the Empire State Builidng around the corner, and there is a subway stop at the end of the street, only a couple of minutes walk. We used the subway for the first time ever on the second day and and then constantly after that. Of course you have to be careful but it is so easy to use and cheap and really worthwhile considering, as most of the major tourist sights are on the same line. Times Sq is only one stop on the Subway heading Uptown and amazing.All in all the hotel was great, the staff ever helpful and Alex a gem, and we will DEFINATELY be back again soon.Another thing to note, however not relating to the hotel; we took a tour whilst we were there which we booked in advance called a Phototrek Tour. Marc , our photographer and guide was fantastic, he took loads and loads of photo's, delivered the CD-ROM within a couple of hours, and they turned out great. I would suggest visiting his site to have a look as this was one of the best experiences we had whilst we were there. W also now have loads of photo's of use TOGETHER in and around what we thought were the most important tourist sites to us. Go to : ---------------------------------------------------------and mention Jennie and Ian Francis reccommended him.Hope this has been helpful and have a safe a fun trip.	
Nov 23 2004	Wonderful Hotel	Had the holiday of a lifetime, 30th Oct - 5th Nov 2004, based in Comfort Inn.Hotel is excellent. Rooms clean, bathroom cleaned and fresh towels daily, exceptionally comfy beds. Nice breakfast - endless fresh bagels, doughnuts and coffee.Brilliant staff. All are helpful and friendly, making you feel welcome and wanted - thanks Benny, Alex, Milady and the lovely Jackie the best chambermaid on the planet! Follow Alex's advice on touristy places to visit, and get Jackie to tell you about Harlem then go and see it.Hotel location is superb. One of our party has minor walking difficulty, but found getting about on foot is dead easy. Macy's, Empire State and subway are minutes away, and Times Square is easily walkable.	
Nov 2 2004	Couldn't have been better!	Stayed in the Comfort Inn, Manhattan for 7 nights in October 04. Nearly booked other hotels, but read terrible reviews for them on this site, so opted for the Comfort Inn based on lots of good reviews. As soon as we arrived we decided we'd made a good choice - great reception area with flower displays changed regularly, really comfortable room with a great view of the Empire State building. (some rooms at the back of the hotel seem to have this view &amp; are quieter.) The room &amp; ensuite bathroom were really clean with towels changed daily. A real bonus was a complimentary buffet breakfast - bagels, cereal, toast, doughnuts, coffee, juice, served in 'Brendan's Bar'.Macy's is 1 minutes walk, the subway is even closer, there are a couple of bars opposite that served good food (if you mentioned you were staying in Comfort Inn at 'Playwrights' they gave you a discount on your bill.) The concierge, Alex, was brilliant - lots of great tips about places to go &amp; ways of avoiding queues. When we return to New York we will definately book to stay here. For a 'chain' hotel &amp; the $130 a night we paid, we really couldn't have done better. Can't recommend it highly enough - ten out of ten!!	
Sep 27 2004	FANTASTIC	Staff are great very helpfulRooms clean and tidyGreat locationwould stay at this hotel again	
Sep 7 2004	A Prime Location	We stayed for five nights in June 2004, encouraged by all the positive reviews the hotel had previously received. We were delighted to find those reviews were very accurate in respect of the excellent value for money, helpfulness of the staff and the close proximity to a lot of the main attractions.As a base for a sightseeing trip, we are sure it will be very hard to beat. Our room was clean and tidy, good sized and, being at the rear of the hotel, very quiet. The buffet breakfast was adequate enough, but we didn't choose it for the cuisine. As a budget hotel we would certainly recommend it to anyone visiting the city for a few days.	
Aug 16 2004	great location	We stayed here for 3 nights in August. Although it was older, our room was clean. The kids pointed out that the floor squeaked and slanted in the room but we were all comfortable and slept well. We had a back room and were not bothered by the noise in the streets at all. The breakfast buffet was average and the kids certainly missed not having a pool. The price and convenience of the location made up for those downfalls in my opinion. It's a block from the ESB, Macy's and the metro. It's between 5th &amp; 6th Avenue so very easy to get to Times Square or shop. There's a parking garage next stores &amp; across the street so that was also convenient. Would definitely recommend to someone who wants a good budget hotel. If it weren't for not having a pool I think the family would definitely stay there again.	
Aug 15 2004	Excellent choice	We stayed at the hotel between the 6 th August and the 12 th August. The staff was very good and friendly. The cleaning was perfect, and Alex at the frontdesk was very helpfull. Every morning he gave us good advises, and had a answer for all our questions. The breakfast was fine, og location superb.Would deffinately stay there again.	
Aug 10 2004	Friendly handy home base	We visited in April, 2004 with our 12 and 17 year old children. The desk clerk made an effort to win them over with wit and trivia. The continental breakfast was a plus, and close proximity to the subway another plus. The room was adequate, especially considering that we were only there to sleep and shower. We felt safe and had a handy home base. Though little things weren't perfect, we'd stay there again, especially if it's a deal.	
Aug 5 2004	definitely stay here again	Stayed here July 2004. Absolutely loved the location. A quarter block from the Herald Sq. subway station, one block from Empire State Bldg., etc. Good 24 hour deli around the corner. Hotel did have slow elevators, so I took the stairs. Some shabbiness in common areas, but the room, while small and dark, was clean and everything worked in bathroom, A/C, etc. Loved the electronic safe in every room, made it very easy to lock up valuables. Price was $130 avg., and I would definitely return.	
Jul 20 2004	Great Hotel	Great hotel, staff was excellent. They held our luggage for us all day and gave us excellent directions on how to use the subway and how to get to museums, etc. Location was a little shady, but seemed safe enough. The room was small, but the beds were comfortable and large. Juice and coffee was available all day and complimentary breakfast was nice. Internet computer downstairs with wireless access if you have wireless laptop. Very clean. For a mid-priced hotel, it was very nice.	
Jul 18 2004	loved it loved it	I stayed at the Comfort Inn Manhatton between the 30 th June and the 5th July and totally loved it. The Staff were all friendly and welcoming especially Alex and Tony. The rooms were clean and spacious we stayed on the 12th Floor and had a fantastic view of Empire state building, After reading alot of bad reviews on here i thought i was going to dread it and was expecting the worse but it was totally wonderful. It was also very close to all attractions with Empire State building being about a 5 min walk and Times Square at about 15mins. I will deffinately be going again.......	
