	Nice hotel	I agree with great service and very nice room. We upgraded to a one bedroom suite and it felt like we were in our apartment in NYC. A nice apartment at that. Everyone was very helpful.Now onto the opinion side of things. This is a great hotel if you want to be in a residential part of NYC and not close to the big attraction. If you want to party, stay in the meatpacking district. This is not a party hotel. It does have a nice bar downstairs, but you are not getting in at night just because you stay there. The rooftop was a dissapointment because it was enclosed and stuffy and not much of a view. If you wanna party ,stay at the Standard. If you want a rooftop, check out the Gansevoort. This hotel just seemed dark and stuffy. The W-Union Square, which is close by and closer to hustle and bustle, looked more airy and more people hanging out in lobby.I think I was just looking for a little bit more fun hotel. This hotel is a good place if you want a quiet getaway to NYC and want to stay in your room. Which I don't know who is looking for that? Celebs that don't want paprazzi? It is a &quot;nice hotel&quot; just not what I was looking for this time in NYC.	
Apr 27 2007 	Attention to details location and friendly employees!	I stayed at the Gramercy Park Hotel on April 25th. Checked in around 3pm with no problems at all. A fire was burning in the lobby (real) and there is this very distinct smell. Earthy... pleasant. Almost familiar, but not completely.I loved it! Later I found out that it is a custom blended fragrance and you can buy the candle to take home.So anyway... the bellman took me up to the room and gave me the grand tour. Once he was gone I had the chance to really take it all in.I travel a lot... I see a lot of hotels. I see a lot of fancy hotels that are furnished with Pier One type stuff, which is ok. The GPH is furnished with artisan creations. I had to admire the quality of the rug, bed, leather desk, chairs, art and other furnishings. There are plenty of lights and large windows, so I did not have any problems with the room being dark during the daytime. At night it was a tad on the dim side, but not that bad. There is a huge plasma TV in the room and crazy luxury items in the mini-bar. The mini-bar had everything from Coke to Remy Martin. M&amp;M’s to luxury bath products. And it is not one of those annoying auto-charge systems. I was able to keep my ‘special’ water chilled without any problems.The big, fluffy bed was very comfortable and after a long day of travel, I was happy to see that I was pretty much guaranteed a decent night sleep.It was warm outside and I had no trouble adjusting the temperature of the room to my preference.The big windows faced the front of the hotel with the park to the right. I thought it was a nice view... Obviously this hotel attracts a lot of interesting people. I wish I could have seen the people coming and going better from my window but I was just beyond the point of face recognition. The room was absolutely silent. No noise at all. Possibly there are noise ordinances in this part of Manhattan? It is a very quiet area, in general. No sirens, no trash trucks, nothing.There were 3 floral arrangements in the room. 1 next to the bed, 1 next to the sink and one in the bath/shower.Which brings me to the bathroom. I LOVED this bathroom! I only wish I could duplicate it at home!In the center was a lovely brown marble counter with a huge Corian sink. There was a beautiful floral arrangement next to the sink. It looked like Asparagus with flowers.To the right was a room with the toilet, with a frosted glass door. To the left was the custom tub/shower combo. At first I was disappointed that there was no tub but then I noticed that the enclosure was a huge roman looking tub. Made of tile, the ‘bathtub’ is about 16-18” deep, 3 feet wide and 5 feet long. I could be totally wrong about those dimensions but it was big. There was an overhead shower head, a hand held shower head and a faucet. All operate independently and all had good pressure, even when using at the same time.There is a large bench built in to this shower/bath and one side is shaped like the curve of your back, so you can lay down in a reclining position.There is a large, functioning window and a vase with fresh foliage.Obviously I was quite taken by this… in less than 24 hours I used it 3 times!The bath products are also impressive. Hamadi hair products, Hakansson liquid cleanser, Lather bar soap and Mario Badescu lotion. It was like someone hand picked the best products at Sephora! The products are all 2oz, which meant I had plenty to bring home.There was a little card in the bathroom that mentioned that they used a selection of products listed as the “Best of” in Allure magazine. I am not sure if these rotate or change periodically, but I suppose you can’t go wrong with any selection.There were 2 Frette robes, slippers and plenty of soft towels. Also I noticed one linen hand towel. A nice touch and it was soft, not over-starched.The slippers are in a cotton drawstring bag, the laundry bag is cotton, the shoe bag is cottonAgain… details.Now, hopefully I am not out of space … The Park.The hotel gave me a key to Gramercy Park and I could not resist the urge to check it out.How anyone could say this is not a nice little park? It is simply beautiful. There is a wide variety of blooming plants, squirrels, robins and other songbirds. The park has a walking path in the shape of an oval and it sort of crisscrosses the park in the middle.You are not allowed on the grass but there are many benches available.It is clean and peaceful. A perfect place to watch people walk by, inside the gate and out… I took my camera and took photos of the various varieties of flowers. There were lots of toddlers playing in the center section and people spending a sunny afternoon reading. I adored it! I took a stroll around the perimeter and wondered what sort of people lived in the grand lofts and apartments that surround the park.Now THAT’S a neighborhood where I would like to live!The next morning, check out was a breeze... and the lobby still smelled really good. I can only hope that I am lucky enough to stay at the GPH again…	
Apr 17 2007 	We loved the Gramercy!!!	My husband and I got married at the Gramercy Park Hotel on the 6th April. We had a fantastic time. We stayed there for a week. The staffwere excellent especially David, Eddie and Adrienne, the concierges. They were really helpful, prior to our stay, when we were emailing them constantly about our future wedding and during our stay too. They just couldn't do enough for us, whether it was for booking a table at the restaurant, organising my hair and make-up or checking availability for tickets to see The Knicks! The porters too were also extremely friendly.The location is excellent, make sure you go to &quot;Pete's Tavern&quot; around the corner, for a drink or two, and stay for the biggest steak you've ever seen!It is true that our room was a little dark but it was fitted with the best equipment. Don't forget to bring your I-Pod; our room had its own docking station! We were staying at the Gramercy on a room only basis, and it is true that breakfast is expensive, we had it a couple of times and it was lovely but walk out of the hotel across to Irving Place and you'll find a fantastic coffee shop where we spent a lot of time.The toiletries by Hamadi in the bathroom are amazing, I would definitively recommend you buy some whilst over in NYC. Housekeeping staff were also very friendly and efficient. You could also benefit from a turn-down service at night if you wished.The Rose Bar, were we got married is excellent, but again you should expect higher than average price for drinks and food. The music is always fantastic and after ten, it becomes the place to be for young and trendy new yorkers, they also have a DJ playing some excellent music.If it is quality you are after, which we were, the Gramercy is the place to go. We will absolutely stay at the Gramercy again and would recommend this hotel to anyone going to New York, especially if you are looking for somewhere really different and special.	
Apr 9 2007 	Lovely hotel	We stayed here for a week with our 7 and 8 year old and had a great time. We originally booked a small suite and found on the first night that our sofa bed was broken. They brought an airbed for the kids but in the morning when I called the front desk and explained that I didn't want to deal with the airbed for the whole week they upgraded us to a park suite which was great! Plenty of closet room, a great shower, plenty of windows (which was great-- from previous stays in this hotel--I've noticed it can be a bit dark)The neighborhood is great-quiet with plenty of places to walk. The staff was friendly and professional. We would definitely stay here again.	
Apr 9 2007 	Bring your flashlight	Our first impression was very good, but hallways and rooms are very dark. Housekeeping left lights always in a low intensity. We needed to turn all lights up as well as blinds to avoid self injuries. Loft rooms are equal to regular rooms in other US hotels, but I think these had very nice space compared to other New York hotels. Location is excellent. Loved the area of Gramercy and Union Square, filled with new restaurants. Staff always say YES, but things NEVER happened. Room service is slow and food quality is ok, small breakfast selection.	
Apr 8 2007 	Great atmosphere nice people but dark and sometimes over expensive	Nice hotel, great bar, nice people, good service, location ok, the rooms are extremely dark and cold, the bathroom are too small and have no bath in the suites but love the Hamadi products.Breakfast is good, room service are fine but extremely expensive.The rooms are confortable but dark and noisy. We stayed with our three children and the staff was helpful and easy, but we would have needed more space and light.	
Mar 18 2007 	What a joke!!!	Of all the hotels in NYC, the Gramercy Park Hotel is the WORST! The place is dark and not welcoming. The rooms feel old and are not comfortable. We could not even get into the bar. This hotel does not care one bit about paying guest. For $500 a night you get NOTHING!!!! We could not wait to leave and change hotels. Save yourself the aggravation and stay somewhere ells. A note to the hotel manager. Please don’t respond to my review. It is bad enough that you feel compelled to defend you poorly run hotel on every bad review. Face it, there are much better places to stay in NYC.	
Mar 12 2007 	NYC gem 	We had an excellent weekend at The Gramercy Park Hotel. The room was comfortable and well appointed, staff were very professional and friendly. The in room dining was very good especially chocolate truffles upon arrival . Housekeeping was very nice and all of the maids were really professional and super-fast while making up the rooms. The door people are great and made us feel welcome at the hotel. I will absolutely stay here again and would recommend this hotel to anyone heading to New York for either business or pleasure.	
Mar 5 2007	Gramercy hotel: Schragers losing it...	The trouble with this place is that it relies to heavily on image and the name Schrager. Staff are very young and although sharp simply do not have the type of experience required to make guests at their hotel feel in any way special over ordinary members of the public visiting the hotel. This is reflected by their attitude towards reservations for the Rose Bar by hotel guests and also in general when (in our case) there are problems with the booking itself. We made a reservation 4 months in advance. We specified a smoking room with a bathtub. A week before we received an email enquiring what sort of time we'd be arriving and our flight details. Impressive. However when we arrived three hours later than the informed time (after delays from london to nyc) we were given a non-smoking room with a shower instead. After speaking to the front desk at some length and waiting 45minutes we were told taht a room to our specification would take a while to prepare. By now it was 2am london time and we were ready to drop. However we had to have drinks in the bar while waiting. No-one came to keep us informed and another hour later we enquired and were shown our room. The room was very nice but we ended up in one of the nicest rooms of that level (room 603) . The night manager offered us room service on the house but when we ordered our 2 courses each we immediately got a call from him to say taht the limit was 50 bucks. I cant remember the weasels name but mate- if you are going to offer something dont be cheap about it otherwise just dont bother. Whats 50 bucks mean in a 500 a night room?! The guy was 27 years old or something with clearly a long way to go before he learns the ropes of sophisticated customer liason! Anyhow we liked the hotel itself and the behind the scenes staff like room service/ house keeping were very industrious and helpful. Front desk were a little on the hopeless side. I agree with the lady who wrote about false advertising. We too expected the roof bar to be open and yet it was still being built. NOBODY mentioned that it would be closed- I suggest that anyone who goes to this hotel lodges a formal complaint and applies for compensation as its bordering on unlawful to obtain money for a misrepresented product or service in any country let alone the U.S of A. Schrager must really be losing it if he's resorting to this sort of marketing- its really below the belt and not simply slipshod. By law you are entitled to damages for loss of enjoyment or disappointment especially for example if you say you were there specifically to photograph on or from the roof terrace or that this was the main reason for your staying at the gramercy. I am appalled that this sort of advertising is not regulated in a country where people sue someone for sneezing in their direction. Having said that the roof terrace will be completed soon. Anyhow the thing is the hotel is cute to look at and the Jade bar (which I personally preferred to the Rose Bar for its more vibrant atmosphere) is pretty cool. But people want and should be able to expect more bang for their buck from a hotel that presents sucha high end image. And I think the Gramercy just falls short of that. Sorry guys.	
Feb 28 2007 	A Different Kind of Ian Schrager Experience	I have loved Ian Schrager hotel ever since i stayed at the Sanderson, Delano, Mondrian, etc..so I was dissapointed to find that he wasn't working with Phillipe Stark again. While I don't think the design of the Gramercy Park is up to par with say the Sanderson, it is still beautiful and unique. There really isn't any other hotel like it in New York. The mix of wood, modern paintings and luxurious furniture creates an atmosphere that is sophisticated but still trendy as all Schrager hotels are. The Jade and Rose bars are elegant but fun and serve great food/drinks at a price that is almost justified. The whole hotel is pretty dark - a little gothic maybe? Some people would definately not like that - big change from the stark white of his other hotels. But I didn't mind that. We were upgraded to a suite with a separate living area which was very nice (loved the blue chair). The HD tvs, bathroom/amenities, service were all also great - no faults. The bed was heaven - as i expected it to be. The location is also pretty good but the park is kind of dull in the winter. The hotel should get even better when Park Chinois and the roof garden open. The gym area was very nice but the spa was not so much a spa - just 2 treatment rooms.	
Feb 28 2007 	Experience lovely overall but marred by false advertising	My boyfriend and I chose the Gramercy Park Hotel out of several luxury hotels in NYC to celebrate our anniversary. The staff was nice and accomodating, and I loved the decor of the lobby and the bars and the room! The bed was very comfortable, and the products in the bathroom were very nice. My biggest disappointment was that the rooftop bar which was advertised both on the website and in the list of amenities found in the room, was not open. I was so looking forward to hanging out in an exclusive club with a great view, we weren't told it wasn't open until we ran into a staff member in the elevator. Also, we were told we couldn't even go to the Rose Bar after 9 even though I had attempted to make reservations over a month in advance and was told to check with the concierge when I arrived. I emailed the info email to let them know of my disappointment about the rooftop bar, and received no reply. This surprised me as I expected such an expensive hotel to have better customer service follow-up, especially since I was just trying to be a good consumer and share my experience.So, all in all, it was a nice hotel, but not the oasis of exclusivity and luxury I had expected for the price. We would probably try somewhere else next time, but I would definitely like to see the rooftop bar when it finally opens and would revisit the Rose Bar.	
Feb 21 2007	A very unique experience	Enough has been said about the paintings, the Rose Bar and the designers. Suffice to say that it is less full of itself than many lessor boutique hotels, but still has enough attitude to give you a buzz. I'd like to point out some plusses and minusses which have not received much attention.The lobby is actually quite small, with a very pleasant wood-burning fireplace. It's a really nice touch---unusual to have actual wood burning instead of gas and fake logs. You are greeted in a quite friendly manner. I expected it to feel snobby and arrogant, but in fact, all of the people I encountered were extremely pleasant. Some have written that the concierge is like a gatekeeper to the &quot;precious&quot; Rose Bar reservations, but they were actually quite accomodating and even chatty. By the way, the Rose Bar becomes a kind of cliche scene late at night, the usual NYC club posturing and pricing. During the day you see husbands schlepping their wives' Barneys bags to the tables, which later at night are reserved for those silly enough to pay $350 for a bottle of Absolute.The room is a very different sort of place. I had a small suite, and it was definitely odd. The living room area had a table and a bunch of chairs around it. There was no couch or other type of comfortable seating area. There is a flat screen tv in both the living room and the bedroom. The bedroom is not entirely a separate room---the whole suite is one long room separated by french doors. The odd touch here is the red velvet floor-to-ceiling drapes which you can wrap around most of the walls and windows of the bedroom.A really silly aspect of this suite is that there is almost no way to plug anything in to the electrical system! The only accessible outlet was at the base of a table lamp in the living room. There were no reachable wall plugs in the bedroom at all.The bed is quite comfortable, nice linens, nice bathrobes, and very fine lotions and potions. As has been said, everything in the room is for sale, but &quot;sale&quot; is not exactly the word I'd apply. Prices are insanely high. I have never understood why hotels reveal such greed so openly. woudln't it be a better move to charge a premium but not to an offensive magnitude???Room service is very nice, quick, and hot! It is also quite expensive, around $80 for breakfast for two. Location is awesome, a wonderful part of the city which many tourists never see. You can walk to Union Square in a few minutes, and there are many restaurants, groceries and clubs nearby. I would stay there again for the location, the ambiance, the professionalism, and perhaps for the artfullness, although I found the taste to be a bit dated. Bare lightbulbs screwed in to hardware-store recepticals is not exactly a new idea. Regarding technology, the lcd screens are fine, but you would expect they would have gone the extra step to install surround sound speakers. This would have been a special touch, as would have been a better Ipod speaker system. In fact, i would say that ultimately, technology has been given short shrift and because of that, I don't think you could actually say this is a true 2007 5 star hotel.	
Feb 8 2007 	Money better spent elsewhere	I know this was supposed to be the hot new hotel, but I thought it was really disappointing.The rooms are decorated in an &quot;eclectic gothic&quot; style which translates into blood red carpeting, blood red drapes, and blood red velvet shower curtains. There is almost no lighting whatsoever in the room, and even less in the bathroom. I took a shower in pitch darkness because the little light there is, is then filtered by the blood red velvet shower curtain. The specially selected beauty products was really the best part of my entire stay.The breakfast buffet was awful for a hotel of these standings. It looked like they brought everything in from the deli across the street. And there's no proper restaurant, so if you don't like the deli food at the buffet - your only other option is the coffee shop two blocks away. The worst part about everything was that despite the $800 per night room charge (for a single) I had to argue with the hotel bar doorman to get a drink with two friends. Apparently staying in their hotel only buys you one spot in their bar.	
Feb 5 2007 	Not the best in the area for the money	I stayed at the GPH ten years ago and to say that it is improved would be an understatement. The lobby, Jade Bar and Rose Bar are beautiful. Was not as impressed with service or rooms. It was raining when we arrived and the staff seemed very stressed out. Rooms were spacious yet extremely dark. Almost oppressively dark. The restaurant and the roof top are not open yet. One can order light fare during the day in one of the bars. I believe service stops at 3 or 4 pm. Had room service Fri. night, Sat. morning and Sat. evening. The food is shockingly expensive as are drinks in the bar. ($18.00 for a glass of wine and that was the least expensive!) Room service was average. Unfortunately we did not have reservations at the Rose Bar and they could not accomodate us. We settled for the Jade Bar which is very small. It's unfortunate that guests of the hotel, who are eager to spend time and money in the hotel, are not priority. The doorman told me they are trying to create exclusivity by requiring reservations in the bar. Too bad. The gym was spotless and very bright and the equipment was new. No water in the mini-fridge in the room and they don't leave a bottle at turn-down. Bring your own. Heat didn't work in the room and they were unable to fix it. A guest on our floor was smoking the entire weekend. They sent a staff member up to spray air freshener and they lit a candle in our room but he smoker continued to smoke. Last, but not least, it took 20 minutes to get our car from valet. We called the front desk and they assured us it would be 10 minutes. When we inquired again, they apologized and said they forgot to call it in for us. There were several angry guests experiencing the same thing. All in all, not a terrible place. I've stayed at Gansevoort, Soho Grand and the Mercer in the last 8 months and for the money, I think the Mercer is the best choice. I might give the Gramercy another try when the restaurant is open but I doubt it. I felt like the service and food was better at the Mercer.	
Feb 1 2007 	A very unique hotel with lots of extras	I stayed 2 nights/ 3 days at the Gramercy Park Hotel in late January. This is a really unique and interesting hotel. The decor is certainly different than anyplace else I've ever stayed. The lobby is just as it looks online and really dramatic and lovely. In the hallways, the walls are blood red and the lighting is so dim you can barely see a thing. My room was painted a dark sage green with red velvet curtains, red velvet chairs, big queen beds with purple velvet throws and artsy photography on the walls. It was like some sort of crazy, high fashion bordello! I really enjoyed the decor, but my big (and perhaps only) complaint would be the darkness. Even if you turn on all the lights in the room, it's still dark. It didn't bother me for the amount of time I was here, but it might have for a longer stay, or if I was trying to do business while there. The bathroom was large. There's no tub but a good, oversized shower. Everything was spotless.The room also had two large closets, a mini bar and flat screen TV. The mini bar is a thing of beauty. There are several shelves of goodies in addition to the bar. Mario Badescu beauty products, special candles, designer t-shirts, full bottles of wine, champagne, etc. Crystal glasses to drink from. There's even an iPod docking station (and you can borrow an iPod from the front desk if you didn't bring your own). The hotel will lend you DVDs to watch in your room. The list of available titles is several pages long-- very nice selection. I really enjoyed all these little touches.Guests at the hotel are allowed to borrow keys to Gramercy Park, which is a private park. I did go over and walk around in the park, since it's not every day you get to do that.I did not spend time at the bar or restaurant, but the people I was traveling with did and on both nights they saw some pretty big celebrities. I never noticed any kind of crowds or extra security in the lobby, though (on Sunday and Monday nights). I didn't eat in the restaurant but I did order room service. It was jaw-droppingly expensive ($41 for a cheesburger and bottled water, with tax) but delivered very quickly and the food was delicious.The staff at the hotel really went above and beyond. Once you get out of a cab in front of the hotel, there are multiple staff members to greet you, take your bags, and walk you to the front desk. The staff (who are all really, ridiculously good looking for some reason) were wonderful, helpful, polite and gracious. I was thoroughly impressed by the service.I really enjoyed this hotel. It was definitely a splurge, but I'd consider staying here again. I wish the rooms offered additional light, but in all other respects I was very satisfied.	
Jan 14 2007 	Ian Shrager has better hotels. The vibe was kind of serious.	The Hotel is OK. In terms of Design, we missed Phillipe Stark’s vision which had a large sense of humor &amp; a real magical quality. We love staying at the hotel’s designed by him. I felt this hotel took itself too seriously (evidenced by the too precious for words guests, prancing around the lobby &amp; unisex bathrooms). Kind of gothic &amp; a modern Baroque style, there were clever things that stood out but really, didn’t do all that much for us. As for the Dark rooms. Yup..ours was, which was fine... @ night, but during the day, We had to turn on all the lights even with the blinds open. I also thought most of the furniture was uncomfortable. Thought the bed was a too firm &amp; lots of stiff, high back chairs (Even in the lobby). We ordered room service both mornings. Extremely expensive. Higher than most but very, very good. The staff were very friendly all around &amp; accommodating even after not having our reservation (I forgot the Conf. # &amp; booked through TableThotels.com). HOWEVER, a couple of things that REALLY annoyed us &amp; they should get rid of this ridiculous policy pronto, is having to show your keys to the “bouncer”, at night, before entering the hotel lobby! Both nights we went out to see friends &amp; came back @ 12am the 1st night &amp; 1am the next. The 1st night the Bouncer/Doorman was talking to a gaggle of people &amp; he was blocking the entrance. When we went to move around him to go in, he slid over &amp; blocked us &amp; said ”Can I help you?” Hmmm.......yeah , you can move out of the way so we can go to bed. So we just said:”We’re trying to go in” &amp; he said: “Oh, You’re staying here?”, when we nodded w/an surprised looked, he let us in right away but we thought that was too much really. He was nice enough but how stupid to make them do that. That’s never happened to either of us in all of our lives, when entering a hotel &amp; we’ve stayed in over 40. We thought maybe it was a one off but the 2nd night it happened again &amp; we had to show our keys this time to prove we were staying there!! It’s a freakin’ hotel not a club for cripes sakes. Even @ the “members only / hotel guests club” like Soho house, we never had to flash our card before entering or even when we got through the door! The other big thing that annoyed us was that stupid rule that even hotel guests have to make a reservation @ the Rose Bar. Just pretentious. We made a reservation to which we were an hour late for due to a dinner party we went to starting later than expected, the bar was practically empty &amp; still, wouldn’t let us in. Crazy. Overall, we’re glad we saw it &amp; tried it but won’t go back &amp; doubt we’d recommend it. There are much better hotels in the city. Great area though.	
Jan 9 2007 	Gracious Gramercy ...	Ian Schrager has done himself proud with this hotel and we experienced nothing but courteous and efficient service whilst we were there. Great bar with a pool table, excellent recommendations for dining and the cool scene you associate with his hotels. All in all, would highly recommend. It was pouring with rain one day, so the doorman insisted we take the hotel limo - that's what I call servcie!Note that the restaurant isn't open yet - but there are loads of great places to eat nearby. The bar serves lunch.	
Jan 8 2007 	Waste of money	My husband received overnight room for a special birthday gift .Based upon Ian Shraegers name and reputation we wanted to see what the hype was. We had stayed there before renovations and had a pleasant experience and really enjoyed rooftop bar.Unfortunately the hotel was not what we expected. Unless you want to cross every palm with a tip beware of what the results might be. We arrived at had a pleasant check in...our room had been upgraded from a superior to a deluxe although the heat and air did not work. We reported it immediately and left for the boat show giving maintainance 4 hours to correct. I suppose since we did not tip Aiden to make the report nobody ever showed and as a result I had to complain at 7 oclock when we returned.By the time somebody came and finally told us that the valve needed to be replaced we were a little harried as we were expecting friends by 8:30.Finally they moved us to what they said was an upgrade although the room was the same but had a view of the park.Try and get into the RoseBar even though empty ...forget it....stay out with the peons and drink at the small Jade bar....we did have fun and laughed as the so called beautiful people pranced past us to the Rose bar at midnight...I did try to make a reservation online as suggested although they did not honor it without going through the concierge who of course wanted a reward as well.Better off going to the Hudson or any of the other boutique hotels	
Jan 1 2007 	Beware dated ecor and lack of customer serice	Had stayed at the old Gramercy many times and though it was down on it's heels and in need of refurbishing, I appreciated the low rates, the old world charm and in particular the warm and charming hotel bar,which was a destination unto itself.I was appalled at Ian Shrager's out dated and hideous &quot;design&quot; . I mean, honestly - a turkish theme in 2006?? Sponge washed walls and velvet curtains? Most distressing was the decemated lobby bar, transformed into two hideous and uncomfortable spaces. The &quot;jade bar&quot; with it's 3 tiny and uncomfortable table crammed up against the bar was &quot;generously&quot; open to hotel guests. The exclusive &quot;rose bar&quot; was not. The &quot;rose bar&quot; was another shocking display of outdated decor - it's patronized by the uncoolest the boroughs has to offer -all in all, a conglomeration of everything bad about the 1980's. The fact that we, as high paying hotel quests in an otherwise empty hotel, were turned away from a sparsley occupied crowd on a wednesday night, was the final idignity.The poor service (completely unhelpful &quot;concierge&quot;) and outrageous prices for &quot;extras&quot;, hidden $15 + daily internet service rates, unparalled room service and mini bar rates (think $350 for a bottle of jack Daniels) the most surprising think about the hotel remains the outdated and ridiculous decor.i cannot imagine this hotel will ever last through 2007.	
Jan 1 2007 	wonderful boutique hotel in NYC	This hotel definitely deserves better reviews. First, I had not originally planned to stay here for a New Yrs Birthday celebration for my 18 yr old and myself because of location and reviews. However, when the hotel offered a great rate, I changed my mind. We were upgraded to a lovely 2 bed deluxe room on a quiet floor. The amenities were great- plentiful towels, robes, slippers, and the bellman explained how everything worked- no problems. However, what makes this property exceptional is the service. The staff was courteous and responsive to this middle aged mom and her daughter. They even treated my daughter to a small cake for her birthday. As to the bars, and as one who never made it to Studio 54, I preferred the egalitarian Jade Bar where I could still reflect on the Julian Schabel painting on the wall, but I could have gotten in the Rose Bar New Yrs. Yes, prices are high but this is NYC. The lobby art is incredible, as is the decor in the room. (Loved the photos in ours, esp. the one of Warhol). Only downside is the location- you need to take cabs, and NY cabbies are the worst. Some insisted on dropping us off a few blocks from the theater or a restaurant. This happened to other tourists I talked to as well. Within walking distance is a phenomenal restaurant- BLT Prime- well worth the price and deserving of its reputation. (Best part- I got chef's famous recipe for Popovers..) Gramery Park was a lovely boutique hotel with the latest in amenities, internet, and the best in service. I highly recommend this propery and hope to return when I am in NY.	
Dec 22 2006	schrager nonsense	Stayed there at $700 a night. Room was very cool and nice (I had a small suite). Biggest negative was ridiculously small dark bathroom. Hotel would have a got a decent review if I hadn't experienced the most ridiculous situation in my only night hanging at the hotel. Went to the lobby bar (the only place to have a drink) with a friend. Popped out to the restroom and was refused re-entry with my friend still in there with our drinks wondering what happened to me!!!!!!!!! Seriously?! The place was now booked for a private party. Obviously I went berserk and was allowed back-in but ruined my night. I can't even believe they get away with allowing the only communal area to be booked in the first place - what are hotel guests supposed to do? Outrageous even for a Schrager hotel. What you get when you stay at a hotel that also tries to be a happening spot. Still I've never had this before and I've stayed at the Delano, Sanderson etc. Last time at a schrager hotel.	
Dec 5 2006 	Worth every penny by NYC standards	Spacious room, interesting decor, 2 cool bars and friendly staff was what we found. The only anti climax was a key to Gramercy Park. What a joke! The park is a small dump. The rose bar had an unbeliveably high celeb count on Friday night but be warned, you must book ahead. This was a far superior experience to our next stop 60 Thompson that was similarly priced but had none of the wow factor.	
Dec 4 2006 	Overpriced and arrogant staff	I stayed one night in the GPH and that was more than enough. The rooms are very tinny, specially the bathroom. If you pay $500 you can expect a little bit more.The lobby is ok and the bar is nice, if they allowed you to get in. I’ll tried to get in the bar but the bouncer refused to let me in. Hotel guest or not made no differences. Friends of the doormen walked in and out but No Hotel guests.. In the morning I made my complains to the concierge but he was not under the impression. He reacted very arrogant and didn’t take the time to listen to my story. Avoid this overpriced Hotel with their arrogant staff (specially the bouncer and concierge). It is not worth your money, you can find much better in NY.Amsterdam, december 4 2006	
Nov 28 2006	Trying to be too cool	I stayed for 4 nights, overall its a nice hotel, nice decor, moody lighting throughout inc bathrooms( not good when getting ready). I found the hotel nice enought but was let down by poor service and the ultra trendy bar was just a nigtmare to get into. I have stayed at similar hotels (60 Thompson) although found they treat you quite well if you're a guest, here it made no difference. I tried 3 different nights to get in, the doorman was totally oblivious to the fact that I was staying there. In addition when I checked out the bellman sent me with someones else suit carrier....luckily I realised an hour aftewards otherwise it could have ended up very badly for me. I didnt find the concierge particualrly helpful either.	
Nov 13 2006 	An Experience	As with all Schrager's hotels (I have stayed at two others) I must say that it is an experience. Costly but fun. I found the staff very helpful and polite. They were responsive to all my needs such as changing rooms to accomodate my last minute change of plans, concierge staff was wonderful with reservations and recommendations for dinner and very attentive to my lost luggage tag and need for a nail file. I found the rooms tasteful with nice touches such as tassle Do Not Disturb signs. Linens and beds were fantastic. Lobby bar and lobby decor was fantastic. The only negative was the lighting throughout the hotel. Very dark in the hallways and unless you are looking down and realize the room numbers are on the floor etched in the carpets, it is very difficult to figure out which room you are looking for. Also, the lighting in the bathroom and room is not great for most individuals over 40 years old. All in all a wonderful experience.	
Nov 8 2006 	BIG disappointment		
Nov 5 2006 	Great lobby and bar but....		
Oct 29 2006 	Great and Original HotelBut.....		
Sep 11 2006 	Amazing new NY hotel experience		
Sep 8 2006 	Models on parade		
Sep 2 2006 	Fabulous Stay!		
Aug 28 2006 	Not impressed		
Aug 20 2006 	Reborn? A mixed bag		
Aug 7 2005	It's Still Rock and Roll to me ...		
Jul 28 2009 	rivoluzione nello stile degli hotel		
Jun 12 2009 	Jederzeit wieder !		
Jul 20 2008 	mauvais rapport qualité/prix		
Mar 14 2008 	Bel Hotel avec quelques défauts au vu du prix..		
Jan 11 2008	Nie wieder Gramercy Park Hotel!		
