	Will not say Good ... just OK types	Travel Time: November 2006Reviewer : Gaurav KumarI happened to Stay at this hotel during a business trip to New York. I stayed here for about a month. It was convenient for me to stay at this hotel as this was very close to my office, which was at 1180 Avenue of the Americas.The location of this hotel is excellent as it is at walking distance from Times Square, plus being in Manhattan has a lot of eating options around it.The was comfortable although the staff wasn't very courteous (at times even rude). After Check in I discovered the phone in my room was not working properly. I was unable to take calls in my room, On complaining I was told that this is a problem which only the IT could handle and the next two days being a holiday, it would be done only on the third day.They could not change my room as no rooms were available in the category in which I had a booking. I had to run down to the reception to take calls. Anyways after two days when the IT guy finally came in, I was told there was some wiring problem which would take another day or two. I finally had to put my foot down and after a lot of arguments I was finally upgraded to higher category room :) Leaving this aside the stay was OK.	
Aug 9 2005	Pleased...to check out	I stayed here for 6 nights. That's a long time in hotel years. RoomOur room was small, noisy, ugly and uncomfortable. We paid for a room for 3 adults, but got a standard double with a horrible unsupportive wire based cot squeezed in. The cot was not even unfolded on our arrival. When we unfolded the cot we had to climb over it to get to the bathroom. AppearanceThe decor in the room was uninspiring. Dark, mismatched, worn out and dreary. The air con, fridge and springy cot were very noisy and we could not unplug the fridge. The real bed was comfortable, but only a double. The view out of our window was brick.Don't tell yourself you'll spend your time in NY outside and not in your room. Where you wake up and come home to every evening matters a great deal. This place completely lacks charm, style or comfort. Service (cue the tumbleweeds)The attitude of the manageress was far from friendly or helpful - rather begruding &amp; virging on rude. We repeatedly had to request towels for the 3 of us, although we booked a room for 3 people. A fax sent to me at the hotel was not delivered. I prefer to stay in hotels where guests are valued customers and their comfort is important to the host.Elevator problemsThe building has two tiny elevators only one of which was in service for part of our stay. This meant climbing stairs, as the wait for the working elevator was too long. Guests on higher floors were not impressed at having to walk. As an added bonus a housekeeping trolley blocked the stair well. The upsideGood location (45th St is a bit messy, but a short walk to nicer ones). Internet access in communal areas. Cheaper than some other midtown addresses. Take it from meStay in a real hotel - not here. This Club Quarters location doesn't feel like a club nor a hotel. If you're in town for a night or two alone or with another person you will be ok here if you are willing to cut corners for a price cut. 4 star it isn't. If you want a nice hotel, I suggest you go to the Benjamin, a world apart.	
May 25 2005	Great Hotel	This is the third Club Quarters that I have stayed at. The others were Boston and New York (Downtown). I just love Club Quarters. When you arrive, you put your credit card in a machine and out comes a piece of paper with your room number. Then your pass card comes out. You need this card to activate the elevator as well as to get into your room. There is a reception desk with very friendly and helpful staff if you need assistance. My room was on the 12th (of 13) floors. Very nice room. Clean, quiet and nicely furnished. Fabulous flat TV attached to the wall.The dining room has an excellent continental breakfast buffet for $8 plus tax ($10.18 inclusive). A full breakfast buffet was available Mon to Friday for about $12. They also serve lunch and dinner but I did not have a chance to try it.Free internet in the lounge and free use of two computers available for guests. Contrary to other reviews, these were in use most of the time so if you need regular access to the internet, you might want to bring your own laptop.The location (on 45th street between 5th and 6th Avenue) is fantastic.It's a great hotel. You feel safe and secure and it is clean!Andrew	
Apr 29 2005	Perfect place to stay in Manhattan	After several nights of combing the internet for reasonalbe hotels in Manhattan I decided to book CQ again. I have stayed there twice in the past 5 years. My sister and I had the most wonderful time. The room may have been small but very adequate for 2 people. The rooms were better than I remember them, they may have renovated. The bed was the best I have ever slept in and the linen felt like Egyptian cotton. CQ is convenient to all theaters and subway stations. We felt safe walking from the theater to the hotel even past midnight. Front desk staff was friendly and informative. The housekeeping lady was specially nice it felt like my mom was taking care of us during our stay. I definitely recommend this hotel and they deserve an excellent mark.	
Feb 23 2005	Small but quality...	My wife and I stayed at Club Qtrs. in Midtown NYC 45th St. and 5th Ave. for 3 nights. Good location, 2 blocks to Grand Central Station or 2 blocks to Times Square. Our room itself was smaller, however, one of the better appointed rooms we've stayed in; flat screen TV on the wall, nice desk area and chair, modern bathroom with granite/like counter, plush bedding and very nice pillows, very clean. And at just under $100 all taxes and fees included, a bargain. Good check in and out system using credit card if you don't need to change card at checkout. Two computers you can use in the lounge that was nice. We'd stay there again, especially at that price. We felt secure also as you need room key to use elevator. Friendly staff.	
Feb 1 2005	Good value	We stayed here during the Republican convention August, 2004. We were in a room right by the elevator, which I thought would be noisy, but in fact we didn't notice any noise. The room was average size for NYC, but modern and very well kept. The desk staff were helpful. The elevators are quirky - only two of them, and only one goes to the basement where the exercise room and vending machines are located. Also you need your room key to get on the elevator from the lobby, which is a nice safety feature, for what it's worth. There is free internet in the lobby-ish area, and newspapers. This room was always empty when we were there, so no problem using the computers.I'd recommend the place as clean and reasonably priced.	
Jan 12 2005	HAPPY!	Stayed here Jan 1/2. Check-in done like LAX, just swipe your card in this atm-like machine, your room keycard is ejected from a slot, then off you go to your room. The main lobby has a quiet elegance. Free internet access! Requested 2 twin beds. I got a penthouse suite with one queen bed. Staff provided a complimentary rollaway bed. Room is small but not cramped, and very, very clean! Shower, not tub, in the bathroom. Bring your own travel iron, though. Considering that you are in the heart of Midtown Manhattan, with Times Square 2 blocks from your doorstep, the $110/night rate is a steal! I will stay here again and again. I'll spend the $200 saved for a decadent dinner in SOHO.	
Jan 10 2005	Very Nice	I would have given this place 4 stars, but the shower wouldn't warm up on our second morning. Other then that the hotel was lovely. We stayed there for two nights on New Years Day. The room was small but big enough for two. It had a really nice flat screen tv and the bed was really comfy. I really liked it here. With the location and helpful staff i would recomend this place to anyone wanting a good place to stay in New York.	
Jan 4 2005	Great Location	We stayed at this location from December 28 to 31/04. We checked the earlier reviews and we're mindful of concerns expressed as to room size and staff response. These concerns, at least in our experience, we're groundless. This property has a superb location (presuming you're looking for midtown Manhattan). It's a short stroll to fifth avenue shopping or Times square. Staff were very pleasant and helpful on the front desk. Yes the rooms are small, but you should be able to get a very favourable rate through one or more of the on line booking services (we were $160 Cdn. a night in the Christmas season). At this price, we had a nicely finished room with a good queen size bed, small desk area, decent bathroom, and that's it. Just ask yourself if you're going to be spending any significant time in the room. If you're in NYC to explore the city and just need a room to clean up and sleep in, this is a good place to stay.	
Dec 27 2004	great location and value	I do not know why you would stay anywhere else. This hotel is in a great location a 1/2 block from 5th avenue and a block and a half from Times Sqaure. We stayed for 5 nights and only paid $109 a night during the holidays. The room was small but had plenty of room for our luggage and for my husband and I. Nothing fancy but it did have a flat screen TV and free wireless internet which we used every night. The staff was accomodating and provided us with everything we needed. The bathroom was small but that would be my only concern. Our room was extremely clean and a great value for the location and what you get.	
Dec 27 2004	A Little Gem of a Hotel	I stayed at CQ over the busy Christmas weekend, and I was pleasantly surprised from the moment I walked in. I was struggling a bit with my luggage, and someone from the front desk immediately came to my assistance. The staff is super friendly and helpful, the facility is lovely, and my room was ideal for one person. In addition to being handsome, it was sparkling clean and quiet. The location is ideal, and I consider this an incredible find!	
Dec 8 2004	Small room but very efficient use of space - good price	Stayed on business and checked in late thanks to LaGuardia. Very well located hotel in NYC. External city street is in a quieter area - with no real noisy businesses around it - a definite plus in NYC. I had not stayed at a CQ before, so I found check in to be very cool - they have atm-like machines just like at airline check-ins (think like United or American) that spits out your room key. Helpful staff at the front desk oriented me quickly. One strange thing on the way to the room...the hallway off the elevator required me to go through two fire doors to get to my room...felt fire safe but a bit of a hassle to get luggage through.The room is small - about the width of two king beds and deep 1.5 king beds - with a small bathroom that is really well laid out with a biggish shower (no tub). The bed was very comfy and long enough for me 6'1&quot; with good lighting and electric outlets abundant. There was a desk as I walked in that had a 19inch (my estimate) LCD TV on a retracting movable tilt mount - that you could aim to wherever you wanted to watch. Very high ceilings for a hotel room gives it more charm and looked to be plaster walls and ceiling. One window looked out on the street and office buildings. The room was very clean, and the desk was efficient and stylish black. Nice toiletries and the desk even had books for reading if you needed them. The stand up shower had a nice Grohe shower corded head - very nice touch - you would think more hotels would put in these relatively cheap but nice touches...What's missing from your typical hotel? No closet - just an open hangar rack. The provided fabric covered lounge chair was not comfy so you would not want to sit in it. If I was a large person, I don't think I would be comfy in the bathroom since the toilet space was tight for me. If two people were in the bed, the one nearest the wall would have problems moving in the narrow space between the bed and wall.An excellent value for what we paid (negotiated rate on business), but small size held it back from a higher rating.	
Nov 25 2004	Club Quarters rooms are small but comfortable		
Jul 8 2004 	A true good value hotel		
Jul 7 2004	Excellent Stay @ Club Quarters		
Jun 16 2004	CQ- good value		
Jun 10 2004	Not luxurious but nice!		
Feb 19 2004	Not worth it!		
Oct 9 2003	Our stay at Club Quarters		
Aug 23 2003	tiny and cramped		
Apr 8 2003	Great staff small rooms!		
Sep 6 2009 	Déçue !		
Aug 6 2009 	Posizione perfetta !		
Mar 7 2009 	Tolle Lage gute Zimmer - eher empfehlenswert in den oberen Etagen!		
Sep 10 2008 	Excelente		
Aug 17 2008 	Chambre très petite - Excellente situation		
Aug 4 2008 	???		
