	Great comfortable room in a stylish hotel	We booked two deluxe double doubles and the rooms were spacious. The beds were comfortable. The room was very hot despite turning off the heat and turning on the A/C. The second room had some plumbing issues. The staff was really friendly and helpful and displayed none of the superior attitude that you often encounter in upscale hotels.	
Apr 15 2005	terrible business	My husband and I booked a room through Expedia, called twice to confirm our reservation and reiterate we would have a late check-in. We arrive at the hotel at 2 in the morning, they had no room for us. We had already paid in full through Expedia. In 2004 a friend booked a room there and had EXACTLY the same thing happen. Don't book a room at this hotel!!!	
Apr 14 2005 	Prepaid Reservation Yet Room Given Away Apathetic Staff	On the morning of my scheduled arrival, 4/9/05, at the Marcel Hotel in NY, I called the hotel and was able to confirm my reservation with them for 3 nights, which I had made through expedia. When I arrived at the hotel to check in just a few hours later, I was told by a woman named Albina FD, behind the front desk, that they were &quot;having some problems with the rooms upstairs.&quot; I was then told that I would be moved to another hotel approximately 30 blocks away from this hotel. I spoke with both the manager and Albina. I expressed my overall disbelief at such an unacceptable situation. I told them that the reservation was pre-paid, asked them again how a hotel room could disappear within the span of a few hours, and then demanded that I receive all of my money back. They assured me that I would receive a full refund. This refund has not yet appeared on my credit card statement and I am becoming anxious about time lapsing as there is still an absence of this refund on my statement. So, not only was I robbed of accommodations, having to find another place to stay downtown within the span of an hour, but I am now being inconvenienced by also having to follow up on the refund to my credit card, something I would expect to occur as the most fundamental form of customer service from any reputable company. This ultimately disrupted an invaluable meeting of my own, both with a family member, and then later, a business partner. I am already dismayed at having to go to such great lengths to get money back for a service that I never received. So far, I have been robbed of over $600.00, by either Expedia or the Marcel Hotel. I don't know who is ultimately responsible at this point, but as Expedia's name is on my credit card as the payee, I shall first pursue this refund through Expedia.I am numbed by the apathy by both parties involved thus far, and by the underhanded way in which these companies have conducted business.	
Apr 1 2005 	Loved it	This hotel is really great, an excellent value and good clean room. Staff was very accomodating to my needs and listened to every request I had. Enjoyed my sleep there in a very comfortable bed.	
Mar 22 2005	Some don't like it hot	First impressions were good with a neatly dressed door guy, pleasant reception staff, and a tidy lobby.The room was boiling hot with constant heat that couldn't be adjusted. On complaining to the front desk we were told it was due to health and safety issues and that the hotel had to be kept to a certain temperature. I thought that was a neat twist on ' it's broken' The only way to cool it down was to open the window which due to traffic noise had to be shut at night.The bed was very comfy, the one chair was stained. The TV was in a wooden cupboard and angled so you had to sit on the right side of the bed or else you couldn't see the screen. There was no light switch for the main light by the bed, it had to be turned off at the doorThe bathroom was adequate, but lacked space to put your toiletries, the only shelf had the usual hotel freebies on it.There was only one lift for the 8 floors and you shared it with the hotel staff.A plus point was the very drinkable coffee available 24 hours a day in the lounge.From the reviews posted, the rooms in this hotel are not of a consistent standard and I would not recommend it.	
Mar 21 2005	Very Happy	I loved this place,i have just recently stayed at this place in New York City for 6 nights and before arriving to the hotel was not really sure what to expect when thinking of some reviews read on the tripadviser,upon arriving,first thing i noticed it seemed to be a quite place which it really was,the staff was very helpful,always responded on time if any requests,and made arrangements for transportation to the airport,arrangements to visit statue of liberty,restaurant reservation and almost everything.I would again like to thank the young lady in the morning and the young man in the afternoon who tirelessly worked hard for their guests.I felt bad the other day when i saw a man yelling at the young lady regarding his reservation his 3-rd party agency messed.Anyway,i did enjoy the stay,very quite place,small cozy rooms.Will definitely be back.TIP:From now on i am going to ignore some reviews because most of these bad ones from people who expect TRUMP International for $30 a night.	
Mar 19 2005	Disappointed	I guess you don't expect much for $200 in NYC but even at that the Marcel was a disappointment. The room was tiny and cave-like and the heat / AC had one setting: &quot;blast furnace&quot;. To be comfortable we had to leave a window open but that meant the risk of allowing ledge roosting pigeons to enter. Worse was the front desk service. We got the run around on making shuttle arrangements and wound up having to take a car service to Newark Airport.	
Mar 7 2005	Avoid this hotel	What do you get for $200 in New York City? Not much, judging from my recent stay at the Marcel Hotel where I calculated it cost me $50 for each hour of sleep I managed to get. The room was very small, very dark and ugly beyond belief in shades of prison grey-green and carpeted in German-style Art Deco brown in various patterns which make it look as it has been pieced together from off-cuts. The hotel is very noisy - every time anyone opens or shuts a door it reverberates through the corridor making sleep impossible. I was also disturbed by guests in the room opposite to mine having a noisy party with the door open and later woken by someone shouting obscenities and threats in the corridor. The front desk did solve this problem when I called down to tell them about it. There are no comforts at all, the TV is tiny, the bathroom cramped with thin towels and cheap shampoo, no coffee, no water, no room service, no fitness facilities. The room is clean and the check-in staff efficient.	
Jan 23 2005	This hotel is perfectly fine	My husband and I stayed here for a week in mid January and I really found it fine. Our first room was near the emergency stairs and was a little loud as I am a very light sleeper, I mentioned this to the man who checked us in and he moved us with no problems to a different room towards the back of the hotel. The view wasn't great back there, but the room was clean, the shower FANTASTIC and the bed very comfy.It's pretty well placed for me as I don't spend all my time up in midtown, it's within walking distance of the East Village, Union Square and the Empire State Building. There's good bars on the nearest Avenue, a comedy club on the same road and the Lyric diner is a great close by place for breakfast if you're a little low on funds.This hotel is not a four or five star hotel, it is ??????60 a night in Manhatten job, it's not going to be perfect, but i found the staff helpfull and friendly and all the things I need, local info, cab booking, late check in, luggage holding, laundry service ect ect, were all present and correct.Also, when we left they called us a car service cab, a nice big Lincon, which cost $50 to JFK including tolls, and if you've ever had to get a yellow cab out there you'll know how usefull that is.Oh, and there is no way this hotel is dirty, it simply isn't, that's not up for discussion.	
Jan 18 2005	Never never book this	Booked a room over the internet. Called day of travel to confirm the room and request late checkin and was told that all was fine. When we arrived late at night our room had been given away. Furthermore, the hotel lobby looked terrible compared with the photos. I hate to imagine what the rooms were like. It was dirty the man behind the desk was rude. I would only suggest you book this place for your worst enemy	
Jan 13 2005	Not bad	We satayed here over the xmas weekend 2004Unlike other reviews we did not have great problems. the hotel is a budget hotel - perhaps not a 3 star but not bad. When we arrived we got stuck in the lift. After having problems at the airport with the arrival time and problems with luggage this was the last thing we needed. There were 7 people in the lift and when we got out we were told that there were too mabny people in their there should be only 4 - which was supririsng as there was no sign to this affect. The frondt desk behaved like this was a noraml occurance. All trips in the lift were fine and there were more than 4 people in thereWhen we checked in they only had it down for 2 people although I booked for 3. We got a extra bed and towels quite promptly There was the continental breakfast + coffee in the lobby which was good. The linen was clean We also got a car called for us on our last day which was nice.All in all not a bad experience. The area was so quiet I think I would have prefered to stay in times square or on the upper west side where I have stayed previously.I wander those who say it was noisy what days they were staying. Maybe as it was Xmas weekend but the area looked like a residential area - as if it was the outskirts of the busy areas - Times Square, Macey's etcThe staff were pleasant I would say that is worth staying again	
Jan 13 2005	A great base for a very happy week	We booked The Marcel through last minute .com as part of a flight and hotel package recognising it would be cheap and cheerful. The 1st room we were given after checking in was on the 2nd floor, we took one look at it and point blank refused to stay in it (Think the hotel room Tom Hanks stayed in the movie 'Big'!) The guy on reception was very accomodating and moved us immediately to a room on the 6th floor, which whilst being relatively small was perfectly formed with a great view of the Empire State Building. All room amenities functioned perfectly, the bed was exceedingly comfortable, and the Bathroom was fine.Location-wise the hotel is in a good area, with most attractions being walking distance, Greenwich, Union Square etc... are also accessible by foot, and the subway is nearby for those attractions further afield. Surrounding areas are good for food and bars, the nearby Hairy Monk Irish bar has to get a special mention for friendly staff and a decent pint!We had a great week in NY and couldn't really find much at fault with the Marcel	
Jan 12 2005	Bad times at the Marcel	I made reservations by phone and internet for two separate occasions and both times my reservations were &quot;invalid&quot; when I arrived at the hotel. Both times, the desk manager did little in the way of helping us locate another hotel, claiming the mixup was unavoidable. The second time it happened, they sent us to a hotel that required a 20 minute cab ride, the cost of which did in no way make up for the &quot;good deal&quot; they supposedly gave us. The two times I did stay at the Marcel with no reservation problems, the person handing out beverages in the breakfast &quot;dining&quot; room, arbitrarily decided who could get more than one beverage at a time. Don't say you weren't warned!	
Jan 10 2005	Positive review good bargain hotel for NYC	I read the other reviews posted here and wanted to share my positive experience. This is a budget hotel, the rooms are smaller than average but clean and the bed was very comfortable. Duvet covers on the bed were clean (white!) and the sheets and towels smelled fresh and were also clean and white. The staff was courteous and helpful and even called a town car for us on our day of departure. They gladly let us store our bags for the remainder of our last day there without a problem.Two things were a problem, the heat in the room was impossible to regulate. We slept with the window open (in January), and the elevator could use some work. It was very slow.Sightseers, shopping spree-ers and generaly anyone looking for a hotel to just sleep and shower in would do good here. Business travelers would do well elsewhere as the rooms are not business friendly. I did not hear any noises from any bars or restaurants nearby as other reviews stated, even with the wondow open the whole stay. I inquired at the front desk about a bar and they did not have one so perhaps the motel is on an upswing, or perhaps I just picked a good weekend to stay, but I felt comfortable.	
Dec 23 2004	Don't Do It!	My best girlfriend and I stayed there for 3 nights. It was the most horrible hotel room we had every seen. We were expecting a trendy comfortable room near all the attractions, and what we were left with were bags under our eyes. The room was constantly dark, we actually had to take the lamp shades off to see what we were wearing. Open the window shade you say? It looked right into another couples' room. The bed was creaky and uncomfortable, and in the morning, our saving grace was the luxury breakfast of warm orange juice and stale bagels. It is close to alot of attractions, but just not worth the hassle of an uncomfortable bed and smelly, dark rooms. If you don't expect much from the service (they took 2 hours to bring us additional towels), and a not so clean atmosphere, come to this hotel.	
Dec 22 2004	Don't stay here if you need to sleep!	I have stayed at the Marcel several times over the years since it was refurbished. When I first stayed there it was a relatively quiet (given the location) and undiscovered hotel offering good rates. The upper floors had just been refurbished and although some of the rooms are small they were all furnished to a high standard, with good bathrooms. Since then however I have noticed a marked decline in standards, to the extent that I will no longer stay there. The main problem is the bar and nightclub that operates on the ground floor and basement of the hotel. On Thursday, Friday and Saturday nights it's impossible to sleep because of the constant thump thump of the music. One night I stayed there the music continued until 3am, and I had to get up at 5am to catch a flight home. On subsequent stays I requested a room on higher floors but even then there's the noise made by clubbers leaving the hotel in the early hours, the taxis and cars that pick them up, and accompanying shrieking and shouting. I've also noticed that the hotel, which was originally marketed as an upmarket business hotel, is now favoured by teenagers and as a result there was a lot of nocturnal thumping, banging doors and running about. On my last stay I ended up going to stay with some friends nearby just to get a decent night's sleep! This is for me the main issue with the hotel, that the hotel management are trying to run a nightclub at the same time as presenting the hotel as a superior destination for business travellers, which it isn't. There's also the problem that there's only one v-e-r-y slow lift, so you can end up waiting up to ten minutes just to leave the hotel; the staff are friendly enough by New York standards but things often seem disorganised, and the bar doubles as the breakfast room so looks pretty shabby and worse for wear the mornings after the nights before.My recommendation would be: great if you're under 20 and not looking to sleep, but if you are older and want a decent night's sleep, stay elsewhere.	
Nov 23 2004	Don't stay at the Marcel	Stayed at the Marcel for 1 night a month ago. Was quite happy to check out the following morning. And even happier that I had followed the gut feeling I had got from other TripAdvisor users and cancelled the other 6 nights I had booked at first. The room we got was small and very dark - window facing a brick wall - and the 'design' was nowhere to be found. Can't complain on the service as we really didn't get any. All in all, you can do a lot better in NYC - even in the same area as the Marcel. I can truly recommend the Park South Hotel - very nice rooms, great breakfast, excellent service and location (close to the no 6 subway line).	
Nov 18 2004	Great Weekend	Getting a hotel for the marathon weekend was always going to be difficult and after reading the reviews I was worried about staying at The Marcel however the accommodation was fine for what we required. We were hardly in the place, who wants to lounge around a hotel when you have the City to explore; coffee and breakfast were provided but why use it when you can have a mountain of food and re-fills in the dinners close by? At least you had the option.....The staff were friendly and helpful when getting cabs and with luggage. No problems with the water temperature. Rooms were on the small side but for the location what do you expect?This hotel isn't the best in Manhattan but for a short break and at a reasonable price compared to the other hotels for that weekend, I'd go back.	
Oct 27 2004	not bad but there are better values available	My wife and I recently stayed at the Marcel for four nights. I had read other reviews here, both good and bad, and remained optimistic for our stay. Too bad, we should have rebooked our stay at another property.On our first day we arrived early and the hotel stowed our bags until check-in. When we returned we were checked into room 312. Our room was very small (15 feet by 15 feet) and had a queen bed with one small closet, a small bathroom, and one window. We immediately noticed the room was hot, stuffy, and dry. The room had a hvac unit under the window, and we turned on the AC. The AC unit got cold but it's fan did not blow air into the room. Even with the window open it was impossible to get a draft going. When we called the front desk they were unsympathetic and said there was nothing they could do. Eventually the room cooled off, but it was still stuffy and dry. We woke up every morning with dry sinuses and throats.The room was clean, but in need of repairs. There were some gashes in the wallpaper and the roman shade was frayed on the edges and difficult to operate. The lighting in the room was dim, and there was no workspace area. The bed was comfortable, the sheets and towels clean, and the bathroom's water pressure was good and the water temperature was hot. There is plenty of audible street noise in the room, but it's New York, what do you expect?We tried the coffee machine in the lobby and it was awful. It is not maintained regularly and operates poorly. There is a Starbuck's one block away and well worth the walk. The hotel's breakfast of bagels and juice are average. They also provide copies of the Financial Times each morning in the lobby.Overall, this hotel should be two stars. It is trying to be a boutique hotel when it is clearly a budget hotel and an overpriced one at that. Any photos on the internet have clearly undergone some photoshop magic. My guess is that some rooms fair better than others, if you are willing to take that chance. We did not complain too much because it was a business trip and the room was prepaid. However, we would not stay here again as there are much better properties to stay at in the same price range or less (Habitat NYC, On The Ave, and the Roger Williams to name a few).	
Oct 20 2004	Great value!	We stayed at the Marcel for eight days and had a very good experience. Yes, things are getting worn and frayed in this always booked, heavily travelled hotel (and whoever laid the carpet/hung the wallpaper was inept) but overall everything was just fine and most importantly CLEAN. Please keep in mind that this is a budget hotel, not the Soho Grand. For the price, it offers a lot more value than other hotels I've stayed at in the area. The employees were extremely helpful and prompt, the view out our 7th floor windows was great, and the bed was so comfortable it was hard to get out of it in the morning. We will stay here again.	
Oct 13 2004	Until day 7 it was good!!	Our stay was generally satisfactory until day7 when $770 worth of cash and travellers cheques had been taken from our room!!!! This hotel had no safety deposit boxes or room safes which i find incredible for a hotel in a chain of 4 in 2004!!! Horay to the person that went into our room as they obviously needed it more than i did, &quot;you live and learn&quot; as they say but we went on to have the most enjoyable day of our hols despite this incident (the new york police dept is certainly an experience) So would i advise this hotel....... NO trust is not too much to ask. A reputation should be built upon this, although this hotel has a good location i cannot advise anyone to stay here!	
Oct 12 2004	Marcel great for us!	The one thing I can tell from these reviews is that the Marcel must be very inconsistant. However, for my family (3 rooms for 2 nights), it was great! The staff were helpful and nice and the accommodations were pleasant. To be honest, the rooms didn't seem exceptionally small to me for a NYC hotel in this price range. I can say that rooms 407, 803, and 804 were very nice. The air conditioning (something some reviews complained about) was just fine. So, perhaps you can request one of these rooms and be satisfied.	
Oct 10 2004	Great Hotel	september 23th till october the 3th of 2004 was our 10 days in The Marcel hotel.We had from the day that we arrived, till the day we left, a very good experience in that hotel.We knew that the rooms where small and with 3 adults it was a bit small but we could managed, you can't expect much for the money we paid for the rooms....When we arrived some one directly came to help us out of our taxi, at the desk we got a nice reception from the staff and we got without problem our cards(keys) to go upstairs.As we enter the room, put the light on and we saw a (small) room with 2 double beds and a tv and a gameconsole for the kids( you have to pay for these games and films) for 3 adults it's enough space but when you use that room for 4 adults it's way too small then, but good for 3 people (adults) that's for sure.The room are cleaned every day and the service to guest is superb...nice and friendly staff.The hall downstairs is in the morning a breakfast hall where you can toast your bagels with cream cheese and jam and get fresh coffee and orangejuice every morning.There is also a expresso machine where you can get as much coffee as you can drink in many ways.But you must now how to handle the machine, sometimes the coffeebeans won't go down( so do as the man who serves breakfast in the morning,make sure that you losing up the beans with the plastic knife in the coffee container on top of the machine....LOL) as the machine grinds it's own coffee makes it in expresso or capuchino or what ever you want to make......Everything went well with our stay, but of course there where some customers, who did not get what they bargained for(budget hotel!)...but this hotel has 97 room and sometimes it can go wrong....but in our case everything went smooth and pleasant....Only a tip for those who stay there with 3 adults make sure you get enough towels and toilet paper!!!!!This hotel can't go wrong for the money I paid for and the area it was in!!!!!!!!!!Great area to eat and drink!	
Oct 3 2004	Beware!!	I have been to New York many times and this was by far the absolute worse hotel I had ever stayed in. What made it even worse was this was the first time I had brought my children with me. I really wanted them to have a wonderful time, but this hotel just ruined everything. I always read the reviews before I stay soemwhere and when I read the ones already published I was a bit wearly. The latest ones did however portray a picture of things that may hvae been unpleaseant in the past have been fixed. WRONG!! The airconditioning in our room never worked and when I called the front desk about it they could have cared less. The toilet in the room constantly backed up and again the staff seemed to not care. If they knew I was staying an entire week (7 days) why did they put me in a room where nothing worked. I will NEVER stay here again and I suggest none else does either.	
Sep 21 2004	Good experience for a long weekend.	My sister and I stayed for a 3 day weekend. We loved the location of Marcel. The staff was very friendly and accomodating on every level. The bagels and juice were quite good too. The only complaint we would have is the lack of hot water. It was hard to turn the knob far enough to make it hot. And the hot water knob on the sink kept popping off. The walls are thin but it's New York City. You are going to hear noise 24/7. The beds were very comfortable.	
Sep 13 2004	Underwhelming	This place trys to be a hip, unique boutique NYC hotel, but it's pretty rough around the edges...i.e. not that clean and a bit tattered. The decor reminded me of Ikea-cheap. The service was indifferent, not even a smile when you walk in the entrance. And don't expect anything beyond &quot;no frills&quot; ameneties. The room was what I called &quot;The Cave&quot;. It was TINY and the only window was down this small hallway that served no purpose and faced another hotel room window in the back of the hotel which meant a depressing, dark and dreary room, not to mention the fear that your neighbor could be looking into the room if your shade was up. My husband arrived a few days before I did and had I been the first to arrive I would have asked for a different room considering he was staying for 9 nights, but he was tired and isn't as picky as I am. The bathroom was nice and clean but your arm hit the toliet paper dispenser everytime you sat on the loo because it was such a small bathroom. We had the A/C on HIGH the entire time just to keep the temp comfortable, even though it was not that hot outside. The location of the hotel is fine and pretty centrally located. But, for the same range price, you can find better places in New York.	
Sep 10 2004	Good experience	The Marcel was a nice, clean hotel with funky decor. Our room was nice and the bed was really comfortable. The air conditioning seemed a bit noisy at first but you get used to it and at least it drowns out the noise of Third Ave. The only problem we encountered was the lack of hot water in the hotel. We were there for a week and, for two of those days, we had no hot water (nor did the rest of the hotel). The reception staff weren't very sympathetic and kept saying the problem would be fixed 'in an hour' which was a complete lie. It was really hot in NY and it wasn't pleasant to have to spend a day sightseeing and then go on a long-haul flight without having had a shower...	
Aug 30 2004	Don't expect to much and it'll be great	When we arrived, we needed to present a credit card. We don't have one, so we had to pay a $200 warrant. It was refunded without any problem after a friend helped us out.We had no problems with the staff, the AC worked fine and the rooms were very clean. The toilet didn't flush properly. TV had about 20 channels, including NBC, CBS, FOX, ABC,... and a Nintendo, but I guess you'll have to pay for that. You can also order a recent movie at your TV. Nice shower, low bath, very nice bed. We had a lot of noise from 3rd Avenue but hey, this is NYC. It didn't bother us.If your looking for a nice place to rest your head: this is it. Don't stay here if you're looking for much more.	
Aug 17 2004	Terrible experience	We had a voucher for 3 persons (2 adults, 1 child). When we arrived they were quite surprised to see The room they offered us had one bed! They said that they'll put in a bed for the child, but there was no space in the room for that bed. We didn't accept it and got offered a room with two beds. The room was located towards the backyard and was dark because the window was covered. Outside the window there was a pump noising 24hrs. The electronic keys never worked. At least not for our room but - as we were told - for the room next to ours. The included breakfast was ok and the italian coffee machine was marvelous.	
Aug 9 2004	Horrible experience!!!	I went to NYC for a long weekend escape (4 days) and slept in a different bed the 3 nights we stayed at The Marcel. The first day we got in, my husband and I noticed that the room felt a little humid but we thought: &quot;hey, no problem maybe in a few hours it'll get cool, we just got here!&quot; A few hours turned into NEVER and we called to have our air conditioner fixed. They came, they saw, they didn't fix and we were given an &quot;upgrade&quot; to another room, which was even worst than the one before. We were offered to be moved to another hotel since we were so dissatissfied but we had to wait...there were no rooms available. It was already 1 o'clock AM, so we decided to sleep in our little oven and deal with the problem in the morning. I called the front desk to verify if we were going to be moved and they had no idea what I was talking about. Once again, we were offered an &quot;upgrade&quot; to another room and guess what??? That one didnt have any air conditioner either. Surprise, surprise!!!! I went down to the front desk with my card key collection and explained my situation...they really didn't care. And so, we were given a &quot;downgrade&quot;...yes, we went from the penthouse to a second floor, full size bed, smoking room, which had an air conditioner that worked for 4 minutes every 2 hours. It was our last night and decided to give up. It was cooler outside than in the hotel, so we spent all of our time exploring NYC and went to the hotel to take a bath and sleep as little as we could. I don't recommend this hotel to anyone. It ruined my little vacation.	
Aug 9 2004	Excellent	I was kind of nervous to see what the hotel was like since this was the first time that I had been to NY, but this hotel was excellent. The rooms were small, but what do you expect in Manhattan. They were very clean. The hotel in general was very clean. The beds were sooooooo comfortable. They offer a free continental breakfast which is hard to come by in New York, and it is close to the 6 train. The only problem that I had was the water pressure sucked and the staff could have been happier, but other than that i would stay there again.	
Jul 26 2004	Terrible experience	We came to NY with a friend at about 9 pm. I had a reservation for 1 double room with 2 double beds. Luckily, I had a printout confirming our prepaid reservation. Upon arrival at the hotel the clerk at the reception desk informed us that they did not have any rooms left! I showed him the printout, and he told me that he did not care too much, and that they did not have any rooms left. It was the first time in my very extensive experience with hotels that a clerk could be either so rude, or so blatantly unhelpful. They did not honor the reservation, but instead sent us to a different hotel (Bentley) belonging to the same chain. We did not receive any apologies, and at the other hotel the staff were equally unpleasant. I know that the same owners have several hotels around NY, and I would like to warn anyone from staying at any of their hotels! The service is non-existent, and the staff are out-right rude. As for hotel Bentley, we also did not like the location of the hotel. It is far from anywhere you might want to go, and the area goes dead after 8 pm which is very unusual for NY. Be ware of hotels Bentley and The Marcel!	
Jul 22 2004	Would stay for business not for pleasure	The hotel looks far nicer and considerably more spacious when looking on Expedia. The front desk was friendly and helpful; unfortunately, the hotel furnishings (rooms and lobby included) remind me of worn IKEA furniture, which while modern, doesn't necessary make me want to stay there again. Other little things I noticed were stained drapes in my room as well as a bathroom air freshener (yes, those pastel disks that are in public bathrooms) stuck to the wall of the elevator. Hotel needs a facelift, but it's certainly cheap. I would stay there for business (to stay at a low cost hotel) if I had to, but would not choose this hotel for a leisure visit.	
Jun 28 2004	Efficient clean cheap and quiet with a comfortable bed.	We had room 511. EXCELLENT room for a couple. Quiet, clean, efficient. Don't expect to be waited on hand &amp; foot, but do expect quick check-in and check-out, as well as courteous staff. Bed was so comfortable, we over slept. Room is small, but well designed use of space. No ESPN, though. Definitely going back.	
Apr 12 2004	Good for the price	We stayed at the Marcel for a week in April, and had been a little apprehensive before arriving because of some of the reviews on this site. So how does it compare with what contributors have said? It is true that the hotel could do with some remodelling - it looks like it underwent a makeover a few years back and hasn't been touched since. However, if this happened, I'm sure the room prices would rocket. What you do get is an adequate-sized room (in our case with a pleasingly large and comfortable bed), a great location (very handy for midtown and downtown and with good subway links), a complimentary breakfast (with unlimited tasty bagels), as well as efficient and friendly staff. If you want all this on a moderate budget, then go for it. You will find far worse in Manhattan at a similar price!	
Apr 2 2004	Good but it just needs a little bit more	We stayed at the Marcel for 4 nights. First the good: The staff was very pleasant. Being greeted by a doorman, the lobby cappuccino machine and wonderful continental breakfast were very nice touches. I really liked the decor as well, it was simple &amp; stylish. Yes the rooms in Manhattan are small. At the Marcel, I saw a single bed room and I was very glad we weren't staying in one. The double bed room we had was a good size for the city. The showers had fabulous hot water all of the time. The hotel location was wonderful. Friendly pubs, groceries, &amp; diners right there on the block, a Walgreen's down the street &amp; very convenient to the #6 train, and the bus stop right outside on the corner. The hotel really has the potential of being great, it just needs a little more attention to detail, once you leave the lobby area it loses its glimmer. There is only one (slow) elevator for the entire building, and the staircases are used primarily by the maid staff -- I ended up in the service area when I tried to take them down. The AC didn' t work at all in our room so we had to open the window which looked out to a brick wall and roof below. There was no screen on the window, and we were nervous about the many visible pigeons making there way into our room if we kept the window open to high. Unlucky for us that our neighbors above woke us up at 4:30 a.m. each morning, and the shower pipes seemed to rattle up there. I would stay here again, but for the price, I would really like to see some improvements with the quality of the facilities.	
Mar 31 2004	Needs an Excellent Managment Staff to bring it to life!	Small and centrally located, this hotel could use some work. I was completely ready for small rooms since I had travelled to NYC before and knew small rooms were normal. Since it was concidered to be a &quot;boutique&quot; hotel, i thougt it would pay more attention to detail, however, the airconditioner wouldn't perform as any normal unit would. The desk staff were very friendly and accomodating. The music in the lobby was more than loud enough to start a party. The cappucino maker in the lobby was a very nice touch with continental breakfast as complimentary. The used gilchrist and soames bath products which raises them to a boutique level hotel, but over all it had a feeling that seemed musty, a bit dirty and in definite need of an excellent management staff that could easily make this a little gem of a hotel to stay. A note about me, I'm a guy and a bed, bathroom, and airconditioner is what I normally require however when one of those items isn't running properly, I tend to get bent out of shape. I'm simple and when going to a boutique hotel isn't a simple and easy fix, this seasoned traveller tells others. The end result? Would I stay here again??? Yes, if the damn AC is working properly and the locks would give a proper sense of security. I hope you enjoy your travels wherever you go.	
Mar 28 2004	Great value for your money!	I stayed in the Marcel last weekend for a quick trip to NYC. This is a great place to stay if you're looking for a place to sleep on a tight budget. The bed was large, very comfortable, and looked exactly like it does in the pictures on the hotel's website. What the picture does not convey so well is how small the room is. However, its New York and if you want what would be an average sized room anywhere else, expect to pay for it. The bathroom was very nice with marble and a pedastal sink. We had a view of the Empire State Building which was unexpected, but nice. I have also stayed in the Ameritania and prefer the Marcel because it was better lit and not so dingy looking as the Ameritania. There is only 1 elevator and it is slow and small. Do not stay in the Marcel if you are a heavy packer and have loads of luggage as there is very little space to store them in the regular rooms. I have no idea how much space is availabe in their studios. However, if you'll only be in the city for a short while, the Marcel would be a great place, especially if you want to save your money for more fun activities in the city!	
Mar 15 2004	Good Budget Hotel	I stayed at the Marcel Hotel last week with a few apprehensions after reading the reviews on this site about the lack of heat. But, my friend recommended this hotel to me, saying that it was a decent place despite the very small rooms, so I decided to give it a shot.The sleeping rooms are definitely small, but if all you need is a place to lay your head at night, it'll do. The bathroom was pretty nice with marble floors and tiles and a pedestal sink. I love pedestal sinks, but there wasn't much space to put my toiletries down.The decor of the hotel and the rooms is minimalist chic and reminds me of IKEA furniture. I liked the furniture decor in the lobby and the lounge.A nice feature is that the Marcel offers free bagels, orange juice and coffee in the morning...not too many places offer complimentary food anymore!My biggest complaint is that my room was way too hot for me! (opposite from other reviews I've read here) It was an oven when I walked in and I had to turn on the cooler which helped me that evening, but when I woke up the next morning, the cool air turned into hot air and I was sweating and roasting again! I called to complain and ask about the heating/air controls and they told me it was central heating and could not be controlled in individual rooms, so they sent an engineer up to help me open my window which helped immensely!The down side was that my room faced E. 24th St. so since I had to sleep with the window open so I wouldn't sweat to death, I ended up not sleeping well due to the noise from the street below.The walls are thin, the hallsway are narrow, and the elevator is tiny, but it's still a decent hotel for the price you're paying.I liked the area because it was less touristy and more residential (it's near a college) and it was a nice walk to Greenwich Village and Soho.The price I got for this hotel was $109, but I think it could be a little less for what you get...like $89-99.But, since it's New York City, $109 is probably still a good deal.	
Feb 20 2004	We thought it was great	We were also a bit worried, having read a bad review just before we left England. However, we were very pleasantly surprised. The hotel staff were all very helpful and friendly. The room was extremely clean and very warm. The breakfast included in the price was an added bonus as we thought the price was only for the room. Coffee was available at all times and free of charge in the downstairs foyer. We would certainly recommend the hotel.	
Feb 17 2004	Pleasantly Surprised!	I was very weary about going to this hotel after reading some shocking reviews, but I am happy to report that our stay at the Marcel was very comfortable. Fair enough, the room was small but like prevoisly said, space is hard to come by in NY. The bed was extremely comfortable, the bathroom was spotless and the room was cleaned every day. Heater/AC was in excellent working order though our latch was a bit suspect, but you always have another lock. The elevator was in prefect condition and breakfast was always waiting for you coming down at 7am. The doorman always opened doors for us and even arranged to store our baggage after we checked out so we could finish off some sightseeing, he even arranged a car to take us to the airport. All the staff greeted you with a smile and were pleasant. All in all I would definetly recommed the Marcel for anyone on a tight budget or who are just looking for a place to rest their weary feet. WELL DONE MARCEL! You made our trip complete.	
Jan 23 2004	Shocking - Never again!!!!!	This hotel is a disgrace. I stayed for three nights in December 2003. They overcharged; took unauthorised payments from my credit card; and were rude and unco-operative. Most of the people who work for the hotel who I have dealt with have a poor command of English and a &quot;can't do, won't do&quot; mentality. New York was fabulous, but the Hotel Marcel provided me with the one of the worst hotel experiences I have endured.	
Jan 13 2004	Funky Hotel Great Value - Would stay again.	I recently stayed at the Marcel for a few days and must say it was a great find! It's only about a 10 - 15 minute walk from Grand Central Station and the walk is a small price to pay. The hotel is very clean, safe &amp; friendly. I loved the decor - very funky / trendy. The bed was sooooo comfortable. The rooms are small - but this is NYC; space is hard to come by! For the value, I would definately recommend this hotel, or one in it's chain (nychotels.com) they are all great; if you are planning to visit NY.	
