	It's a place to sleep between activities	•Clean•Good Location for parade &amp; museum, local food 24x7•Close enough to Subway lines•Good mattress•Desk helpful and responsive•Toilet so close to walls on both sides, that …&lt;censored&gt;… (couldn’t use)•Wind loudly whistling through the closed/locked window one night•No window screen to allow room to cool down w/o risking bird entry•Bed too short – need queen sizes, but room too small•Nobody at desk for a time one morning	
Mar 21 2005	Cute and clean but cold and noisy	My husband and I came up to NY for a quick getaway with out going broke and I chose the Hayden for the price, location and the photos. We knew we wouldn't be spending much time in the room (so close to Central Park!) so, a lux room was not really what we cared about. We got in late, parking was right around the corner, not too expensive, and we were given our key. The lobby was small but nice, with an old slow and rickey elevator that gave more of a period charm rather that a fear factor. The room was smallish and a bit spartan, but adequate and I loved the bathroom (the shower for me was divine). THe only problem was there were only sheets and a polyester bedspread on the bed and the heater seemed not to know how to do its job. - then once we finally settled down and started to get warm, people started coming back from the clubs- you could hear everything!!! the hallways have wood floors and it seems that there is no insulation around the door (you can see light) it is like the people in the hallway are in the room with you! between the cold and the noisy hallway (foodsteps woke me up sooo many times) I barely slept. It was cute and clean, but cold and noisy. we're staying there again next weekend and I am bringing my own earplugs and quilts :)	
Mar 12 2005	Don't believe the older bad reviews!	I stayed at the HH last weekend (March 6 thru 9, 2005) and it was great. The staff were friendly, the room was very small but clean and up-to-date, and the location was perfect for sightseeing. The staff has a locked luggage room in case you need to leave your bags before checkin or after checkout.We saw a couple of roaches but this is NYC! They were very tiny and didn't bother us a bit. The hot water took a while to heat up but the building was old, so it was to be forgiven. They are in the midst of a renovation so construction was going on while we were there during the day, but if you are spending your time in the hotel instead of out in the city you are wasting your vacation.All in all the experience was great for the price. The only complaint I would have is that there are some permanent residential dormitories on the middle floors and some of the residents could be a little loud. But if you want to vacation somewhere without roaches, loud people and a room with character, go visit the Holiday Inn in Wichita. The Hayden Hall is great for an authentic NYC experience.	
Mar 3 2005	Ignore ALL Old Reviews - This Place is Wonderful!	My boyfriend and I stayed at the Hayden for a long weekend. As a returning New Yorker, I had very low expectations of this place... and I was so very, very wrong! This is a charming building lovingly redone. The staff was friendly, helpful and energetic... I never once felt that I was imposing, although I expect that I in fact did several times. They were knowledgeable about the neighborhood and able to give very clear directions and great recommendations. There is a &quot;hostel&quot; feel to the hotel. Shared bathrooms and long waits for the elevator create a certain comraderie among the guests. However, far from detracting from the general elegance of the place, it creates an even more &quot;old New York&quot; atmosphere.Because of bad weather, they were unable to completely fulfill our reservation (we had reserved a room with a double bed, but ended up settling for two twins). They were, however, incredibly gracious about this and even apologized at check-out. It was nice to see it wasn't simply done and forgotten. Again, it all points to the GREAT attitude of the staff.	
Mar 3 2005	Getting better!	Stayed for eight days in late February. Our room on the third floor was just recently remodeled and had everything one could ask for in just a place to sleep: firm beds, a working &amp; new TV set, a functional albeit small bathroom with a hot shower. Staff were reasonably friendly.Only con: renovation is still in full swing, so prepare for noise and people around in the hallways. Otherwise, due to a great location and good pricing , this place might become one of NYC's best deals.	
Feb 3 2005	Visitor from Chicago	We booked this hotel on line and the photos do not reflect the rooms. I went with a friend for a girls weekend and they gave us a room with one bed. We were able to change to a smaller room with two single beds but there was no heat and barely hot water. The toilet could only be flushed once an hour. We also learned that this hotel has been home to many people who are in NYC for medical treatements and live at the hotel while they are there. The building itself seemed to have potential and they were remodeling while we were there but overall it was just a place to crash. If you are looking to relax in your room this is not the place.	
Jan 17 2005	Think of it as a walk back in time	Imagine living in NY in the early fourties, this Hotel has amazing potential. The location was wonderful, just around the corner from every scene in 'You've Got Mail'.The worst for me was no curtains on the shared bathroom windows on the 7th floor. It was like going to camp sharing a bathroom.I did love the Old building but there were no amenities except the free shampoo and hand lotion.Might stay there again...will definitely not share a bath, this is the US not Europe!	
Dec 2 2004	Not as bad as people make out!	I was nervous about my stay here after reading some of these reviews, I took one person's advice and called prior to leaving to request a finished room.After expecting the worst my friend and I found the room to be clean and warm. Ok so it's not the Hilton but you can't complain when your paying peanuts for such a great location. The refurbishment is nearly complete and the top three floors look amazing.We found the staff to be very friendly, they suggested a place for breakfast which we visited every day of our stay.Don;t be put off by any of the earlier reviews, I really don't think you'll be disappointed with the Hayden Hotel.	
Nov 7 2004	Not too bad...	I stayed at the Hayden Hotel for 3 nights in late October 2004. I had read some of the reviews on this page after I'd booked the hotel, so I called (several times) to make sure I got a renovated room. The room was on the 6th floor and was small, but finished (except the door trim) to a decent standard and clean, as was the shared bathroom. The room had a working sink that appeared to be very new. The linen was clean and was changed once in our 3 night stay. The front desk staff were reasonably friendly. There was still some construction work happening in the hallway on the 6th floor and from comments we heard from other guests, on the other floors as well. We did talk to other guests who stayed in a room with no running water.Overall I enjoyed my stay at the Hayden. It's wasn't too bad, great location, good value (I paid $85/night). Just make sure to ask for a renovated room!I probably would stay in this hotel again if I couldn't find anything else in this price range, but first I'd try: The Larchmont, Hotel 17, Belleclaire, East Village Bed and Breakfast or Broadway Plaza	
Oct 13 2004	Pleasant Stay	I stayed here over the weekend as I was in town for a friend's wedding. I stayed in one of the hotel's new rooms. It was nice, clean and spacious. I had a chance to go to the American Museum of Natural History as it was just down the street.	
Oct 12 2004	The people who operate this place should be put in jail!!!	The crooks who own and operate this property should be put in jail. Don't be fooled by the picture of the room on the web site...it is not what you will stay in. Our room had a bare light bulb hanging down from a wire as it's light source. Electrical wires were runing wild throughout the room. The levelour blinds were all bent and broken. Flea infested, we were bitten all over, mice too. There was no blanket on the bed. Toilet paper was placed on the floor due to a lack of a holder. Never in my life have I stayed in anyplace so utterly horrible. I cannot emphasize it enough, Do not stay here!!	
Oct 11 2004	Run! Run fast!!	Run and run away fast from this garbage dump! The room we stayed in (418) was absolutely the most disgusting thing I've ever seen. The carpet was moldy, stained and old. The walls were stained with God knows what. The bed didn't have a mattress pad and I could only hope the sheets were clean. The clincher was that there was a rat trap in our bedroom. I couldn't sleep well after seeing that. Who knows what else lives in that hole of a hotel. It's a pity the charlatain owners of this pit don't take more pride it in because it is in a great location.Let me reiterate...Run from the Hayden hellhole.	
Oct 10 2004	Think 'House Arrest' in Soviet Russia circa 1966 and you are half way there	Thank god for Trip Advisor because it helps disgrunteled travelers like us find some closure when we get screwed.Ok, so you know that finding a decent cheap hotel in NYC is a feat in itself. Finding a good location is a whole other ordeal. I was coming to the city for a vacation and booked this hotel w/o seeing the reviews on this site, of course, as luck would have it. I got a reasonable (for NYC) deal for a room with bathroom. I couldn't bite the bullet and share, don't even want to know what that would have been like. I saw the pics on the website and you would think that they would be kind of similar, but I had no such luck. Let me paint you a little picture.....So the outside is not bad. Once you pull up, you think, OK, could be worse. It is in a posh part of town, Central Park West. Cute shops and restaurants abound. Great.....til you enter. So staff are only fairly surly depending on who checks you in. The elevator is smelly and small, but it's not only an elevator- it's time machine. All of a sudden you are transported to Cold War Europe. Renovations are underway so there is buliding crap all around. Hardwood floors in the hallway provide a way for noises to bounce around nicely into the guest rooms. When I say Cold War Europe, I am not kidding. There is no art on the walls, they are dirty and scuffed. There is no molding around the door, so the room is nice and drafty and you can hear the maids trilling early in the morning. They don't even provide you with &quot;do not disturb signs&quot; so I got to know the maids more than I would like to admit.The bedsheets have a threadcount of 2. I am so glad that I didn't have a UV Light to see what was on them. God knows when they are washed. They are really thin, so I used the scary scratchy blanket they provide for warmth. The bathroom is done in a particularly clostorphobic shade of grey tile that makes it feel smaller than it already is, it proabably was on special at Home Base.So that is just a few highlights from my stay at this palatial retreat. I feel better now it's off my chest, and maybe it will persuade you away from the Hayden Hotel.	
Sep 27 2004	Worst hotel ever!	I booked a room at this hotel online, they describe themselves as &quot;a first class hotel&quot; and &quot;beautifully appointed guest rooms create an air of tranquility.&quot; Rate quoted was about 130 a night for a single. They gave me a room on the third floor. While reading in bed, two mice came out on the bedside table, on the dresser. Ran around the floor. I was up, the light was on, and they didn't seem to care. Neither did management. I travel to NYC about once every 3 weeks or so, and this was the absolute worst, most disgusting experience in a hotel I have ever had anywhere. Stay away!! I reported them to NYC Dept of Health, hope they close them down.	
Sep 25 2004	Terrible hotel	Terrible hotel, unfortunately we didn't know about this site and therefore couldn't read the reviews. We came to the hotel late at night and were shocked. The toilet in our room didn't worked properly and we had to think twice before using them (if you know what I mean). The room was falling apart (old dirty cupboards) and noises went on constantly due to renovations in our floor. Don’t go to this hotel and don't try to save money its better to add $ 20 more and rent a normal room than go to this hotel.	
Sep 13 2004	Worst Hotel I have ever or imagine I will ever stay in.	This is a list of my issues with the Hayden...1) Blanket on the bed was disgustingly stained.2) Sheets had little black hairs on them.3) Paint was peeling off the walls.4) There was something brown splattered substance on the walls of the room.5) There was a randon sink in the corner of the room This would have been convienient considering we had a shared bath if it had been actually been hooked up. My girlfirend actually poured the rest of a drink down the drain to find it draining all over the floor. 6) TV with non-functioning remote.The hotel overall was a dirty dump. They claim they are doing renevations, but I see there are reviews saying this from 2003(hmmm). The hotel employees absolutely had no interest in helping us with any of the above issues. Now, I understand you get what you pay for. The rates in this hotel were very cheap. I can do without major ammedities, but I can not put up with just plain unsanitary conditions. Believe me I am not trying to be over dramatic when I say that if I had a picture in my mind of what a crack house would look like, the Hayden Hotel fits that image perfectly.	
Sep 11 2004	wouldn't bother go back	ok jus recently got back from the hayden hotel and reading most of these reviews before i went i was really scared...upon arrival the building didnt look that nice but i mean im not there for that i was just eager to see the room.... the hotel lobby was ok.....upon arrival to the room renovations were still being done to our floor (3rd floor)..the room smelt old and musty but it was ok and spacious enough for 4 people(4 girls)..... the shower was a bit small but it had running water..... the beds, sheets and towels were clean and changed everyday...we stayed for 21 nights and by the last week thats wen all the problems started...we started getting the biggest cockroaches ever...but being summer and with windows open i could maybe accept that...until we started to get mice/rats whichever...thats when things got really bad....they moved us from our room to get away from the mice...but when moved in to the other room there were mice in there as well....the supervisor didn't give a toss...very rude...no compensation...nothinafter being in the hotel in the beginning i might of considererd going back but after seing mice no way.. i mean when u go on holiday u dont stay in your hotel anyway its just sumwhere to rest....the cleaners here were nice and none of our things were stolen....my opinion don't stay here pay for else where...and for other people that have posted on this site that you can get hotels nicer than the hayden for the same price, please post the name f these hotels so i know where to lok for next time.	
Sep 7 2004	Absolutely Horrible!!!	Do not give the Hayden even a hint of consideration if you are planning a vacation to NYC. Our group was promised first class accommodations. This has to be the worst place I have ever stayed in all of my travels. They promised the world and delivered nothing. We were placed on a floor in which renovations began every morning promptly at 08:00 am. We were told ahead of time about this, but that no guests stayed on the floors as they were being worked on. They will tell you this is a first class, 3 star hotel with all the luxuries, but for half the price, which is completely untrue! Do not believe anything they tell you, it is not true!! The place is old, dirty, under construction and the staff is non-responsive to any of your needs. Pay the extra 20 dollars a night and stay someplace else, you will be very thankful that you did.	
Aug 20 2004	you could do better	I stayed here in September 2003, and there still seemed to be some renovations going on although I didn't hear construction from my room. The different floors looked like they varied widely in how far along they were in updating. Maybe this hotel would be worth a try after it's remodeled, but I would not stay here again. For the price, I do not expect luxury accomodations. However, I do expect some basic standards of cleanliness, which this hotel did not have. For example, the sheets in our room were not changed for the entirety of our 7-day stay (I could tell because there was a noticeable hole in them, along with a small blood stain), and the bed was only made up about half the time. We had a shared-bath room, and there was a huge hairball in the drain of the shower for several days at a time. It just kept getting bigger and bigger! It this doesn't disgust you and you want a safe and convenient location, by all means, stay here. I wouldn't. I still get a little queasy thinking about it.	
Aug 2 2004	This Old Hotel	We didn't read the reviews before either!! I would have been better off if i stayed in a tree house in Central Park!! Staying there felt like I was in the middle of a Urban Renewal project. We stayed 3 nights, which is 3 too many! At 5 pm one nite the maid decided to come in when we were in the room &amp; when I told her we were resting she finally stopped trying to knock the door down (she only knocked on the door after trying to open it first). I would like to see this hotel when they finish it but until then they should let people stay for the price of a subway ride!! My only regret is not telling the people checking in after us to run as fast as you can to that tree house in Central Park! OHHHH IT'S GREAT TO BE HOME.................	
Jul 29 2004	Wet carpet and cockroaches!	Me and my friend stayed at this hotel in may 2003.The room was small and the blinds was dirty and wouldnt come up. One day when i was standing bare foot on the carpet i noticed that it was wet from the leaking shower... I guess that the mold sponges are huge.The tv barely worked. My friend spotted a cockroach big as a hand one day in the hallway.Our room was adjacent to the next room only separated by a thin plywood door. Next door neighbour tried to get in to our room probably thinking it was a wardrobe door.Towels were a bit dirty and humid.The only good is the location, pretty close to 79th street station 1-9 trains.Won´t come back!	
Jul 28 2004	disgusting had rats	ok, it said it was a 3 star hotel on expedia and had nice pics. Turns out they were both wrong. After waiting for 2 hours to check in, I saw many disgusted guests leave for another hotel. A mouse came in my room from crack of floor and wouldnt leave. Looks more like a jail cell. Add $5 and stay in a real hotel. I signed up on this site just to ***** at that hotel cuz it was so nasty.	
Jul 26 2004	Good And Bad	I also booked before reading the reviews. I was sooooooooooo scared to stay there, but it was right for my budget. When we go there I thought the outside looked nice, the check in area was nice (old-fashion looking but I like that) The check in guy was very slow and really did not seem to know what he was doing, but we checked in and paid (the require full paymet at check in)Once we stepped into the very small, smelly, and slow elevator I got scared again. We were squished in with a few people one of them being a very scetchy weird guy, who looked like he may have lived there not just staying there...anyways a lady got off on the 2nd floor and we saw a bit off the hall. It was stained, dirty, and gross. So, I expected the same with the room. Well, we got off on the 5th floor and the outside of the elevator was stained there too, but once you step aside and go down the hall I was quite surprised. The 5th fllor has been renovated, the floorss were hardwood, pretty wallpaper fresh, paint and lovely light fixtures. It was very victorian/old-time looking. The seem to have made alot more rooms out of what they had, perhaps at one time the rooms were more spacious. There are ALOT of doors (rooms) on eash floor. We were in room 516 (deluxe w/private bath) It was a small room but I was surprised. It was nice looking, the furniture was all matching, nice prints on the wall, clean floor, etc. The bed however was as hard as a rock :( The bathroom was very small (may have been a closet) but it was modern and nice enough (it did kinda have a weird smell, and the flush was kinda airplane like but, it served its purpose.) I think it may have originally been a room in the room on the otherside of the hall, cause you could hear the TV in there like it was in the same room (which means they can hear you too) but, as long as we kept that door close the room was pretty quiet other than when someone was in the hall. Room had working TV and A/C.We did have problems with getting towels and maid service. When we checked in there were only 2 bath towels, but we figured we would get more the next day when the made up the room. We went to the desk to get more and they would only give us 1set (it was raining to the point of flooding in NYC on Friday 7/23 so, we needed towels) the maids did not even come to make up the room 2 out of our 3 nights, and when the did they just made the bed (did not change sheets) and took our dirty towels and our soap and did not leave any. We went to get more and again got, we cannot give you more than 1 towel we need them for others checking in, and when we told them the maid problem it was like the did not believe us or care. And when we open the bag with the soap and stuff in it I notice the lotion was not only opened but half used~ So, clearly they just reuse the left over stuff!It was over all better room-wise then I expected but, I did expect to get the normal amount of towels. The customer service needs improving and the maid service needs to be more regular or something. Like we saw them and heard them, but it is like they only seem to make up the rooms people were checking out of.It was fine for our budget but, I do not think we would stay here again unless we had too $$ wise. And if I did I would bring my own towels and ask for the same room (516) as I already know it is ok, and really would not want to gamble after reading about other rooms on here.	
Jul 16 2004	reviews pretty accurate	I, like many, unfortunatly read the reviews AFTER booking my trip. We made it through the check in without too much of a misshap... or so we thought! It was about midnight when we checked in (lobby not too shabby, perhaps I was wrong about my apprehentions). The hallways on the 4th floor where still a construction zone with drywall dust partly painted stuff everywhere (OK the reviews where right!). When we opened the door there was already someone sleeping in the bed who awoke and started screaming at us! (Sorry Buddy!) When we lugged our stuff back down to the lobby, the clerk didn't seem too surprised or appologetic about it either. After having told us that that was the last room we discovered that there really was another room available... but it didn't have running water for the sink (did at least have the plumbing)... ok fine... though another couple steaming in the lobby was not too happy about it, as he had also told them that there where no more rooms and they had also pre-booked! (So the problems with booking are also true. Let's just say they where not to happy about having to find a new hotel at MIDNIGHT!)We got to the new room and discovered that the walls truely are thin. There where three people having a normal conversation in the next room and I felt like they where 2 feet from me! The old spring bed was more like sleeping in a hammock than a bed, but hey, I was tired and the place LOOKED reasonably clean. The communal shower in the morning backed up though, and we where standing in about 4&quot; of water...The next day we asked to change rooms due to the lack of water and the renovation construction zone. We moved up to the 7th floor which was marginally better, but the room STUNK and now we not only had no water, but no piping connecting the sink either. This second night we decided to stay with friends rather than bare the kakalaka inn, as we re-named it.The next night we where expecting friends, though the hotel didn't know it. Upon returning to the room, we heard voices in the room. Due to our shocking experience the last time, we decided to knock before entering! It was my friends (Thankfully!), who told us that they had told the front desk that had friends staying in 702. The front desk staff then said, &quot;is your friend XYZ?&quot;, &quot;Yes&quot;, &quot;Do you want a key?&quot;! Remember the staff did not know I was expecting people. Security is not a strong point obviously! I think they would let anyone in who gave them a room number.Anyway, the rest of our stay (5 nights) was tollerable. The bathrooms on the 7th floor where better, though on our last morning the shower doors fell off! Sheets where clean, and towels where plentiful. The elevator is the slowest I have ever encountered and I developed the opinion that there must be a bunch of donkeys on the top of the building pulling on ropes to operate it! I took the stairs even after walking all day as it was MUCH faster!All in all the hotel is not one I would recommend to the faint of heart. Staff where not willing to do much about the fact that we had no water in our room, yet had paid for it. But I must admitt, the location is great and if you are not squeemish, on a budget and not planning to stay in your room much, it would be tollerable but you could likely do better. I will make sure to consult trip advisor BEFORE booking my next hotel! I think I will skip staying at the Hayden again, once was enough.	
Jul 15 2004	Room Okay Common Areas Undersirable	The pictures on the hotels internet site do not truly depict the condition of the rooms or the common areas of the hotel. The outside of the hotel is attractive, especially at night. The hotel is under going a renovation and once you step inside, it seems that either the management is short of the cash required to complete the renovations, or is going at in the wrong manner. I stayed in two different rooms during my stay, both were clean. The bathrooms were the highlight of each of the rooms as they had been renovated. The furniture was old and mismatched. The common areas such as the lobby, elevator and lower floor hallways appeared dirty with stained carpeting, and old fashion furnishings. The hotel over all, based on its pricing, is not a bad deal, for an inexpensive weekend trip to a great NYC neighborhood. However if you are traveling for business or for an impressive romantic weekend, spend the additional dollars for more upscale accomodations.	
Jun 23 2004	Just Terrible	This was one of the worst hotels I've been in. We were meant to stay for two night but checked out after one. The lift did not work (we were on the 7th floor), you bathroom could barely fit the toilet, the shower had not been cleaned and consisted of two pieces of plastic (I would think the floors below would get rather damp), the room was falling apart and was dirty and the renovations noises went on constantly.The only redeeming feature was then when we complained the rate was reduced for the night.	
Jun 23 2004	Never again	I'm still having nightmares! The room was what you would expect for the price, however, the constant circular sawing and drilling in the hall outside the room was not. We had originally intended to stay for 2 nights, however, after the toilet backed up and the elevator broke down within the first 30 mins we quickly made arrangements to move the next day. This meant of course that we had to carry/drag our luggage down 7 flights of stairs, but management was reasonable enough to not only give us a full refund for the 2nd night, but we managed to get the 1st night at half price...we had a very long list of complaints. 	
Jun 19 2004	You get what you pay for	I was on a budget so the Hayden's price fit the bill. The hotel is in a very nice neighborhood with a number of places to grab a quick bit 24/7. As I entered the lobby I was struck by the dingy dacor. The attendent was very curteous. I was informed that the elevator was out of service so I had to walk up to the secopnd floor. The halleay leading to my room was as dingy as the lobby. The walls had water stains and pieces of wall board was falling onto the floor. As I opened the door to my room it was very stark and reminded me of a college dormatory room. The television barly worked as there was no cable connection. The bed mattress was rock hard. The bed linen was clean. There was a sink in the middle of the room. I discivered later on that there was no bathroom in the room itself. There was a community bathroom down the hall.Bottom line: If you want to save some money the Hayden is fine, however for me I will pay a little more and stay someplace else.	
Jun 1 2004	Fine for the money/location	I read the reviews for this hotel only after I had booked it for two nights. Let me tell you that I was scared to death about staying here, but after my arrival everything settled down. The renovations are currently in full swing -- I stayed on the fourth floor which already had the rooms redone. The halls are in flux, but so what? The bed was comfortable and the bathroom, while admittedly tiny, gave me plenty of hot water. The room itself was clean and tidy, dust- and bug-free. There was an in-room a/c unit that worked fine, although tourists in high summer might want to bring a small fan. I was not disturbed by noise or foul smells and felt safe in the room. For the price and the location, I thought this was reasonable. The management was nice, too, offering me a cough drop when my allergies kicked in upon arrival to NYC. Quite courteous. This place is definitely not the Ritz, but for budget-minded travelers who are traveling singly or in pairs, the hotel is a great place to hang your hat at the end of a long day of sight-seeing. It reminded me a bit of a pensione I stayed at in Florence, which is not necessarily a bad thing.	
May 27 2004	Clean and adequate pity about the shoddy renovations.	MAY 18TH-21ST 2004 Having read the reviews, after I had paid in full for my three night stay through alpha-beds, I was dreading going to the Hayden. I became even more concerned after contacting a representative at alpha-beds as he said that he could not guarantee that the room would be clean...he said he had never been there so could not comment. I felt they should not advertise accommodation that failed to meet basic standards. If I'd cancelled I'd have lost £50 and anyway my visit was imminent and I was concerned that I wouldn't get anywhere else in the Upper Westside so I kept the reservation. My son and I went equipped with bedding and towels and fearing the worst.In the event the room (710) was clean, new carpet, new beds, nice enough furniture, nice pictures on the wall, clean bedlinen and towels, air conditioning unit and the staff were very nice...especially Jolande!On the down side, the renovations are extensive and to a very poor standard...the bedhead was nailed to the wall and fell off when I attempted to move the bed, the sink in the room was attached to a leaking plastic pipe so all the water simply gathered in a cupboard underneath and after a couple of hot days began to smell, the drain in the shower was higher than the base so the water didn't drain properly and that too became offensive in the heat, the shower cabinet was very makeshift and the rail was hanging off. the general decor was pretty poor. the light could only be switched on by pulling on a ceiling cord that I (5'5) could not reach, fortunately my 6'2 son could....there were no other lights in the room. In all I was greatly relieved that the Hayden was not as bad as we'd feared. However, I left feeling disappointed in the owner/ management that is sitting with such a gem in a great location and making such a hash of the renovations. Improvements that have been made will not last...the new mattresses had no protective covers and the plumbing fitments and workmanship were awful!I(50+) might return but my 23 year old son most definately won't!!!!	
May 25 2004	absolutely filthy 	The most filthy, disgusting, unsanitary hotel in which I have ever stayed. I would have been better off pitching a tent in Central Park. My room had no air conditioning, which they failed to mention on the website, and the temp. at night was in the low 90's. My room had mice (plural!!) and was full of roaches. The bathroom had holes in the walls allowing you to see right through the pipes and into your neighbor's room. The walls were paper thin. The door, which had huge cracks in it, was paper thin and not secure. I felt very unsafe. I checked out after staying one night! 	
Apr 21 2004	Good Basic no frills hotel	Just got back from staying at the Hayden and before we left, I read all the reviews (most of them negative!) so was expecting the worst when we got there. We stayed in 412 which has its own shower/toilet and although it was small and could have done with a lick of paint, it was clean, and met our needs. The lady at reception was very nice and the housekeepers were all very friendly (big shout to Yolanda!) English is not their first language (most of them are Hispanic) but they try and if you learn a bit of Spanish, (Hola and Gracias!) it goes a long way. The room was cleaned everyday with fresh towels left and the sheets were changed a couple of times during our 5 night stay. We were looking for something cheap and clean and we got it. I would rather pay less on a hotel, considering the amount of time we spent in the room and save my pennies for shopping! great location, right next to central park and the subway is close too, with good shops and coffee bars right round the corner, will deffo go back there the next time we go to NY. The communal bathrooms were clean and they are slowly re-decorating the place. It is a safe clean cheap (by NY standard) hotel. Wide variety of people stay, and a few people we met had stayed there before....cant be that bad!!	
Apr 21 2004	Worst hotel we've ever been it	Went in April 2004 - The place is a dump. Dirty, lots of things broken and damaged (like windows that don't close), shower enclosure windows broken, No curtains, filthy carpet, electricity wires open etc etc - the list is endless. This place is a health hazard and should be closed down. Better to spend a bit more and get a decent place, you will regret staying in this place.	
Apr 8 2004	OK for the price	I stayed here for one Saturday night in August 2003. The location was awesome - right near Central Park, Natural History Museum and a great Sunday flea market. It was what I expected for the price - a place that a starving artist might live in. (Made me feel like a real struggling New Yorker&lt;g&gt;!)The room was a decent size, had a functional tv, a wash basin, two twin beds (which I pushed together) and even a private toilet - all for around $90 (including tax). The toilet cracked me up though - it was smaller than an airplane toilet and had been obviously been added as an afterthought. You had to walk up one step and a large person would not have fit in there!The one complaint was that the elevator took way too long to get up to my floor (was near the top floor) so I had to keep taking the steps.I was only staying for one night so I was able to tolerate the room b/c the location was so nice. I even found free parking right on the street just steps from the hotel!	
Jan 26 2004	almost but not acceptable	I was pleased when my girlfriend and I first arrived at the hotel -- the location is good (right next to Central Park, two blocks from Zabar's and Sarabeth's, very close to a couple of different subway lines and a cross-town bus) and the room was tiny but perfectly fine. The problem came up at night, when we realized that everything in the next room (as a previous poster has said, what was obviously once part of the same room, now partitioned off by a thin sheet of plywood) was as audible to us as if there had been no wall. Until 2:00 am we clearly heard their TV (X-Files), their conversations (about some hot but manipulative girl being into one of them), their cell-phone arguments (with someone in Chicago, over what time someone's sister was getting home from a date), their nose-blowings, mysterious steam sounds -- everything. And though they were up late for my own taste, they were not talking or TV-watching particularly loudly. We ended up pushing the bed to the other side fo the room, so that our heads were by the window and the sounds from next door were a little drowned out by the traffic noises. Also, minor problem: the cosmetically renovated bathroom had cheap enough plumbing that the sink had no gas trap. The bathroom smelled of sewage.	
Jan 6 2004	Oh MY GOD!	This is the worst hotel I have ever stayed in. I can understand the point that some of the other poster's have made,i.e. If you want luxury then you should have to pay for it, but I have stayed in Paris (x3), Amsterdam, Barcelona, Cologne and many other budget hotels and have always had an enjoyable experience. I usually like to spend quite a lot of money when I go away, but I prefer to spend it in restaraunts, bars, shopping etc which is why I thought that a budget NY hotel would suit me fine. I have always thought of hotels as primarily a place to sleep, after all, who wants to go to NY and spend all of there time in a hotel room? I always thought of myself as the kind of guy that would be happy with anywhere as long as I could get my head down for the night....how wrong I was!!I booked the Hayden by yahoo.co.uk travel. I arrived at about 13:00 on a Thursday and was able to check in straight away. Sitting in the lobby were two guys who happened to be from where I'm from in London. they were just leaving to get to the airport. They told me that it wasn't very good, I now realise that this was an attempt at the understatement of the year so as not to ruin my holiday by telling me the truth!I was immediately a bit suspicous as none of the desk staff spoke english, I went to my room and I couldn't beleive that I had actually booked it. It was an absolute disgrace, I half imagined that I would see prostitutes and crack dealers roaming the halls! The first night that I went out I was in a state of panic at the thought of having to go back to the hayden and was seriously considering booking into the Hilton for the rest of the trip. My one saving grace was that the Friday night/saturday morning (4am EST) was the rugby world cup final which i went to watch in Clancy's pub. Therefore I didnt actaully go to bed on friday night and just about managed to grab a couple of hrs sleep on saturday morning so I suppose technically I only spent 2 nights at the hayden. Anyway, to summise, an all round horrible experience and I would advise anyone to stay well clear. YOu can find much better for the same price, alternatively, it really is worth the extra few bucks for a nicer hotel.	
Dec 12 2003	Fair but you can do better for the same price.	The Hayden is rather run down. There was some renovation activity going on during our visit, but most of the rooms I saw, including ours, were not top flight.The private baths are rather jury rigged affairs that are neither inviting nor comfortable. They appear to be hasty installations to a hotel that originally had no private facilities.The room itself was drab, with bare light bulbs. On the good side, the staff was fine and the clientele mostly other middle-class people looking for a bargain.For the same price, you can get better accomodations, but you have to be willing to look.	
Oct 29 2003	Hayden Hall is good enough!	I didn't have any problems. The main thing is I felt safe. If you're not real picky, you certainly can't beat the price. You tend to walk a lot in NYC anyway, so a bed to lay your exhausted body until you go out again the next day is good enough for me.	
Oct 24 2003	Best Hotel Ever	Best hotel ever. Had a jacuzzi in my room and they brought the compimentary breakfast up to the room in the morning. Excellent service.	
