	Great deal and great location great comfortable beds and nice lobby	This is my second time staying on the upper west side and my friends first time. They are now convinced that this is the place to be in NYC. It is so convenient to the subway, great cafe's, decent street vendors, fabulous markets and stores and the museum and park. The beds were so comfortable and the warmed cider available in the lobby was great. We had a small suite and the kitchenette was perfect to bring leftovers back. We loved the stay and the location.'Gail in Vermont	
Dec 15 2005	Good Holiday location	After reading some of the reviews i was a bit nervous especially with the staff supposedly being rude. But as in most cases staff respond to how you treat them. They were very friendly and helpful and I personnaly cannot fault them. The Rooms were clean but sometimes a little too hot for me but a good size and all you need. Bathrooms are small. Excellent location for Central Park with a Subway two blocks down.Breakfast at Nikos 50 yards from the hotel which has excellent food at a good price. Personally I was impressed by the staff and the Hotel. Good value for money.	
Dec 11 2005	Worth every dollar!! Superb!	Based on the favourable reviews on TripAdvisor,we booked our room at the Milburn and were not disappointed at all.Large,clean rooms, friendly service from the staff. We had a junior en-suite at the 12th floor, with fantastic views. The kitchenette,microwave,fridge were in the &quot;living room&quot;, which further included dining table, couch and large TV.In the bedroom, we had more than enough space, including a small walk in closet for clothing. Again a nice TV,so we could watch SpongeBob or CNBC in the morning. Bathroom wasn't large, but well maintained,clean soft towels every day.Can't understand why people complain about this hotel; no there isnt a fancy lobby, or a hotel bar, but that's not the main reason for me to stay in a hotel anyways. Main thing is a place to stay, a good bed, decent shower,and good location. Well...guess what...The Milburn delivers on all fronts. Upper West side is just 10 minutes away from Time Square, with the 1 or 2. Subway is 4 blocks away (5 minute walk) on 72th street. Breakfast is available at Manhattan Diner, just across the street, $15 for 2 persons! Dinner is okay at Niko's, also across the street. Already mentionned in other reviews is Fairway market, large selection of fresh products; vegetables, meat,bread,take-away dinners.We paid $215 a night, which I think is a steal, this timemof year, and considering the neighbourhood.I compared many prices of similar hotels on the UWS or Midtown, and the Milburn was always the most attractive one,also based on the reviews.Book the Milburn, you wont be disappointed!Stefan LaszloThe Nethelands	
Nov 29 2005	Ah the upper West Side!	The Beacon was full, so we tried the Milburn. We won't be going back to the Beacon. The staff was very helpful and friendly. Our Jr. Suite had a queen bed, and I thought it was supposed to be a King. I took my reservation form to the front desk, where the man pointed out that it could be either a queen or king. He then offered to switch me to a King if I preferred! The Hotel was quiet, clean and secure. The neighborhood is great, and subway connections are three blocks north or four blocks south--short blocks. My wife and I both loved it, even the &quot;very firm&quot; bed was fine. This is a great choice! p.s., the creme puffs are to die for 1/2 block north at beard's papa.	
Nov 28 2005	OK Very Budget Quiet Convenient Location	The Milburn is NOT a luxury hotel. If you're looking for a place to sleep, take a shower and a friendly staff, then Milburn is a good hotel. My family of 4 visited NYC Nov 23-26. NYC is packed throughout Thanksgiving weekend so we were lucky to even have hotel accomodations. We stayed in a corner suite on the 3rd floor. Our 2 room suite with kitchenette was spacious, but the decor was very, very dated. The wallpaper was peeling, the paint was chipped on trim work and there were scuff marks on the walls. The rooms were very warm. We couldn't regulate the heat. In the front room the window A/C unit wasn't properly installed in the window. The small gaps around the A/C unit allowed outside air get into the room. Maybe that's why the heat was so high in the suite. The Milburn is located on the upper west side of Manhattan. The nights were quiet so we could sleep peacefully. Good markets, the Natural History Museum and the Thanksgiving Ballon Blow-Up are very close.	
Nov 19 2005	The Milburn did nicely!	Myself and two daughters, aged 17 and 20, were at the Milburn November 9 to 14 and enjoyed our stay. Did not see any roaches, and while a touch shabby, our one bedroom suite was comfortable. Lots of clean towels and the bathroom was a decent size, lots of mirror space. Little things could be improved, such as replacing mattresses on the twin beds (the girls said they sagged a bit); better heat regulation (too hot for us most of the time); and a more consistent water temperature (all of us found the water suddenly went cold or suddenly went too hot. For us, the location was ideal and we stopped at Fairway Grocery nearly every day to stock up on snacks and ready to heat meals. Fairway is two blocks away on Broadway with a tremendous selection including organic and health food floor. The famed Zabars is just another few blocks north on Broadway -- yummy blintz! Great shopping closeby, and we highly recommend the lemon tart at the Columbus Bakery, Columbus and 82nd. 30 minute walk across Central Park to the Metropolitan Museum of Art or the Guggenheim. A great place to stay if you want quiet while you save money for other things that matter more than luxury accommodation.	
Nov 17 2005 	reservation lost!	I had a reservation to stay here. The previous day, not sure if my trip was going to be called off, I called the hotel to ask about cancelling the room. I was told that I could not cancel. One hour later I called again to say I did not want to cancel, and asked if my reservation was still in place. I was told that it was. When I got to the hotel, my room had been given away. My first phone call had been recorded in their log; my second call hadn't. This oversight caused me a great deal of inconvenience and should have been avoided.I can't review the hotel, obviously. The neighborhood is nice.	
Oct 31 2005	A little shabby/great location/good price/large rooms	We stayed in a junior suite on the 14th floor. For the price, the size of the room is enormous--actually a bedroom and sitting area. We have friends in the city with smaller apartments. The room was fairly clean, the bathroom could have been cleaner. The fixtures and bathroom are a bit on the shabby side. The front desk is fairly helpful, and you can stash your bags before you check in and after you check out easily. There is not much of a lobby, and there's only one bathroom in the lobby, hidden in the area where luggage is stored. One computer in lobby for checking email. Wicked slow elevators. Really great location for subways and busses, just a few blocks to Central Park. Several wonderful restaurants and grocery stores nearby. The little kitchenette in the room was nice. Microwave, tiny coffee maker, dorm-sized fridge. We paid $215 which is average-to-economical in the area. Overcharge for local calls (.75) and even toll-free and credit-card calls cost. We have stayed at the Excelsior (good rooms, horrible, horrible staff), The Lucerne (wonderful all around but no longer moderately priced) and Comfort Inn Central Park West (room tiny even by Manhattan standards). The Milburn is a good spot if you aren't too fastidious. NY isn't really about the room, anyway, so stay here if you want a great, quiet neighborhood and aren't in need of swanky surroundings.	
Oct 29 2005	Value in Manhattan	If you want a good base for your Manhattan visit and you want to save enough money for a night out at Montrachet, I can recommend the Milburn Hotel. It is safe, quiet and a great location on the upper west side.Just two blocks from the subway and right around the corner from Fairway groceries, you can pretty much walk to anything you need. The room we stayed in was a suite on the 12th floor with a small kitchen and a sleeper sofa in the living room. There was plenty of room for our family of three.There were a few small things that could be improved. The dishes in the cupboard needed to be washed. The bedroom was stuffy at night and it was difficult to regulate the temperature. You had to be careful in the shower- I was nearly scalded by the fluctuating water pressure. The towels are scratchy. The beds are rock hard.BUT-- the front desk was courteous and they let us store our luggage for a day after we checked out. It felt like a pretty safe neighborhood. Free internet access in the room (just ask the front desk for the access code). The room was shabby, true, but clean (I saw no cockroaches). It was quiet (on the 12th floor, anyway-- I can't vouch for the other floors) and for the money, a very good value. Hey, it's New York City.This is not your choice for a blowout romantic getaway, but I would definitely stay here again. Perfect if you are visiting Columbia. Hope this review helps. We had a really fun trip.	
Oct 12 2005	Good Value Hotel	Stayed at the Milburn for a 3-day weekend. We chose this hotel based on the many positive reviews we read posted here. Started to get concerned when the last few posts were turning up negative -- regarding bugs, etc. Turns out we had nothing to worry about.This hotel was terrific. We knew it would not be fancy or chi-chi. The decor is typical americana -- kind of what you would get at a best western. What we got was great value for the money. It is an older building, but very well kept. Our room was large, immaculately clean, and had two windows looking out the back of the building into a tree canopy. The TV was huge, the kitchenette was clean and useful. The bathroom was small, but very modern. Thankfully, we did not see any bugs in the room/kitchen/bathroom. Every person we spoke with at the front desk was very helpful and friendly.The neighborhood cannot be beat. Lots of markets, bakeries, restaurants, coffee bars, etc. Any and all amenities one could ever need.The only minor criticism I have is that the shower water was a bit hard to regulate -- someone else posted this same criticism also. However, I have found this same issue in hotels the world over and it's not enough to keep me from staying at a particular place.This hotel is a great value for the money -- especially in New York. We will definitely return.	
Oct 12 2005	Liked my staying there.	we were three ladies- me and my sister and my niece who is 26. We liked our staying there. The location was o.k. Near the a subway at 72 th st. and and feeling safe to walk even late at night. Once I know more about New York city this days' I would prefer next time to stay nearer to the Village. The loacation is near central park and I enjoing a daily walk. The rooms are big and comfortable. The saff were polite and helpfull. It was very comfortable to be able to use the kitchenette. we enjoy eating fresh vegtables and frutes and do not like heavy food and fancy restaurants. We discover a lot of nice happenings in just walking in the nighborhood at different times and hours. Tere were croaches - small. two of them. Not very nice but not that awul.	
Oct 3 2005	Terrible so stay away	The room was full of cockroaches. The airconditioner barely worked. The staff was unfriendly. The bathroom was dirty.	
Sep 27 2005	Poor Service	The hotel is in a good location. However, the front desk staff was very rude to me in my attempt to resolve a misunderstanding regarding a mistaken booking of two rooms when I only needed one. They made no attempt to resolve the matter in a fair manner. They simply said they had no authority in the matter and referred me to a manager who would not return any calls. We were in NYC to attend a wedding and the location of this hotel is good. However, the room we had was very small, the furnature was worn, the toilet ran constantly, the shower was very difficult to regulate in terms of temperature and there were bugs in the room. The staff was so unresponsive that it seemed pointless to ask for any assistance with these matters. I would never stay in the hotel again and would never recommend it to anyone.	
Sep 14 2005 	Large ugly rooms	As a business traveler in New York, I have come to expect small but fashionably-appointed rooms in hotels with amenities for business travelers. When my associate booked us rooms in this hotel, I was nervous about the fact it was &quot;family-friendly&quot;, and I was right to be hesitant. If you're looking to supply sleeping area for your five children, by all means, stay at the Milburn. The rooms are twice as big as an average New York Hotel room and four times as ugly. The fabric on the couches is reminiscent of roadside motels. The side tables look as if they've been bashed by a hundred rolling suitcases. The chandalier is reminiscent of those installed in a suburban rental apartment from 1987. Peeling wallpaper, cracked bathroom tiles, chipped paint, formica, and cheap posters of impressionist art in plastic frames all add to the charm of this hideous hotel. If you have any aesthetic sensibility, you'll have nightmares! Also, they're really not equipped in any way for business travel--if you have a wireless connection you can get on the internet, but there's no real business center, and I couldn't even figure out how to call down to the front desk for a wake-up call.	
Sep 6 2005	Excellent value and terrific location	My daughter(20) and I just returned from 5 nights at the Milburn. The room (fifth Flr) was large, comfortable, clean and quiet. The kitchenette was a bonus. The staff were very helpful and accommodating. The neighbourhood (and I mean neighbourhood as it feels like people enjoy living there) is great; close to good restaurants for all tastes and hours; easy bus and subway access; even interesting grocery stores! Our rate was only 159/night. We have stayed in Gramercy Park area and Times Square on previous trips...this was so much better...less flash, better value. We will stay there again.	
Sep 3 2005	Excellent Choice the Milburn!!!	My wife and I spent 8 nights at the Milburn in New York City (76th street at Broadway) this August (2005)...two room suite on 13th floor...very clean, almost like just remodeled...spacious, plenty of room, quiet, everything worked fine, including a/c, showers, etc; staff very helpful and friendly. Great location, close to subway (79th and 72nd), 20 minutes to Times Square and Broadway shows via subway. Great places to eat nearby at 79th Street Boat Basin Cafe, Tavern on the Green and a ton of restaurants within walking distance. Museums and Central Park, also, within walking distance. Summer special room rate of $169 was very competitive. We definitely will stay here on our next visit to New York City.	
Aug 31 2005	Good location great neighborhood reasonable price	We stayed for 6 nights in the 2 room suite. Comfortable rooms, bathroom is very small, loved the Greek restaurant across the street and the market around the corner. Safe neighborhood close to Central Park. Would stay again, reasonable for a family of four.	
Aug 29 2005	Great value great location	This was a pleasant surprise. I didn't expect much given the really reasonable room rates for NYC. In fact, the staff was enthusiastic and helpful, the location was fabulous (1/2 block off Broadway and very near some wonderful groceries &amp; wine stores if you want to take advantage of the kitchennete in each unit) and the room quite adequate. We had a junior suite. The corner, 12th floor room was quiet. The bathroom was small, but fine. The rooms also come equipped with a DVD player and there is a film library available at the front desk.We will definitely be back. This was an excellent value and a great experience.	
Aug 22 2005	Ok hotel in great location	Stayed at the Milburn for 4 nights in July heatwave. hotel acceptable, We stayed in a suite (2 large rooms just right for a family of 4) A television in each room was a plus and although the shower was great the bathrooms are very very small. Overall the hotel position is great and quiet, staff friendly. Air conditioning worked well particularly given the temperatures of over 90. An ok hotel in a great loction. i would stay again.	
Jul 30 2005	Excellent value for the money	My twelve-year-old daughter and I spent five nights at the Milburn in July, 2005. We had a junior suite on the first floor. We loved our room (#106) and would stay there again. The rate was $169, and with taxes it worked out to almost $200 a night.The room was as pictured on their website. The pleasant furnishings were of recent vintage. The bed (we had a queen) was comfortable, although on the first night we noticed a sort of crackling noise when we moved (but we didn't notice it after that). The air conditioner (central, not window) worked just fine and was very quiet.Because of a review on Trip Advisor which mentioned roaches, I was worried, so I took along a Roach Motel. I found no roaches in it at the end of our stay.The hotel is on a quiet street and our room faced the back of the building. We heard absolutely no street noise. We did hear some noise (voices) from the elevator area, but there was enough of a buffer that it didn't bother us.The location is excellent. There are two food markets just around the corner, where you can buy ready-made salads, sandwiches, etc. We saved a lot of money by eating in our room. You have to wash your own dishes, but they supply paper towels and dish soap. I used some Palmolive dish wipes that I normally take along when I travel.Within a short walk is the Beacon Theatre. I noticed from the marquee that my favorite band (Crosby, Stills, and Nash) was going to be playing there a few days later. ---! Would love to stay at the Milburn and have tickets to see a good concert. I see on the Beacon's website that Winnie the Pooh will be playing there in December, which would be ideal for families with young kids.Our room had players for both VHS and DVD. The hotel has movies in both formats to borrow.My only complaint, about which I didn't speak to the front desk until checkout, was an unpleasant smell which I noticed in the bathroom in the mornings. It was a sewer gas kind of smell. The front desk said they would have it checked out.I have no complaints at all about the service.I absolutely would love to stay at the Milburn again, although I don't want to go back to New York during a July heat wave.	
Jul 22 2005	Great for Families	We stayed at the Milburn Hotel located on the Upper West Side for 2 nights last week. We had a deluxe room with a king sized bed/full bath in one room, queen sized pull out couch and tiny kitchenette in the other room. Accomodations were perfect for us. Incredible water pressure for the best shower you will ever have. Staff was polite and accomodating, not overly friendly. Very conveniently located for neighborhood gourmet grocery stores, 3 blocks from Central Park. I would highly recommend this hotel for families with kids willing to bunk togethor on the sofa.	
Jul 11 2005	Affordable Milburn in a Great Neighborhood	I ventured out to find the Milburn after a midtown chain hotel stay would have cost too much, even with redeeming Frequent Stayer points. When I calculated 4 nights at the Milburn versus the 3 paid nights at the midtown hotel, I still came out ahead with the $139 rate at the Milburn. This hotel made staying in the City affordable. The building is fine, and steps away fro Broadway, as well as 3 blocks from the Subway. It is extremely quiet compared to Midtown. The microwave and refrigerator were a big plus. The carpeting was not as plush as some pricier hotels, but the tradeoff was well worth it. You also get a discount at neighborhood eateries. My only small complaint is that the kitchenette had a few roaches ... hard to avoid in an older building but something that would have been a big turnoff to my 9 year old if she had noticed it. Overall, I would highly recommend this hotel	
Jul 10 2005	corner room good!	July2 to 6 Great stay at Milburn. Upper West Side is the best. Great neighborhood and parked free on street outside front door of hotel. No problem. Had corner room on 8th floor. Large bath in two room suite(wheelchair access) Dvd/vcr players and tv in each room plus kitchenette. Dad and sons (17 and 11) had lots of room (3 beds). Bought metropass. 72nd st. station to Times Sq. one stop on express train. Wonderful 5 min walk down Broadway even after 11:00 p.m. Felt perfectly safe! Streets busy with shoppers at 24 hour markets. No complaints here. Love the Milburn!	
Jun 28 2005	What a find!	We go to NYC once a year, but don't like to spend a ton of money on the hotel. We usually stay around Times Square, but rates in that part of town were more than we wanted to spend this year. We found the Milburn on the Internet, read the Trip Advisor reviews and decided to give it a shot although we were not familiar with the neighborhood.We loved it!! The room was large by NYC standards. The bathroom was not huge, but adequate and we loved having the refrigerator and microwave. Several great neighborhood groceries for items like juice, snacks, etc. Nikos greek restaurant across the street was good as were several other neighborhood restaurants. Compared to Times Square, it was SO quiet at night, which was nice. They have a computer at the front desk you can use for free to check email or get on the Internet. The subway is only a few blocks away and there are great stores such as Sephora in the neighborhood as well as a Loews movie theatre. You can take the subway to Times Square or it is about a 15 minute walk. It is also just a short walk to Central Park and there was a fun street fair on the weekend.We will definitely stay here the next time we come!	
Jun 27 2005	good value good location	We stayed at the Milburn for 5 nights beginning June 16. The location was great - a short walk to Lincoln Center, Central Park, Museum of Natural History, Beacon Theater, approx 4 blocks to the subway at 72nd. The hotel rooms have a small kitchenette and the nearby Fairway Market has great fruit, coffee, breads - everything you need for breakfast. Our room had a king bed, table, and plenty of space. The free wireless internet was problematic for one day, but worked perfectly the rest of the time. The bed was comfortable, and the window a/c worked fine. The bathroom was small but not a problem for us. We would definitely stay here again because the price was great, the room was large, and the location was great - besides who stays in the room when the NYC has so much to offer!	
Jun 22 2005	Excellent Hotel	My teenaged son and I stayed at the Milburn for an absolutely perfect visit. All of the compliments in previous reviews are accurate. We had a twin room (the smallest, I assume), but the room had more floor space and more furniture than a 4* hotel in Daytona Beach, where I recently stayed on a business trip. One plus not often found in hotels was an overhead light fixture, so that you don't have to crouch under a small lamp to read!Self-service laundry is available after 5 p.m., and a hotel employee doing sheets in the laundry room assured us that we could go to eat while the machine was running and not need to worry. Our room was directly across from the elevators, but we heard not a peep from hall traffic during the entire week. We were away from all street noise too.Even the smallest rooms have a kitchenette. In addition to the nearby Fairway Market mentioned in a previous post, the amazing Zabars is a few blocks north. For diners who like Mediterranean food, Niko's is reasonably priced and just across the street. The hotel has discount coupons for some neighborhood restaurants. Some of these deliver to the hotel though we didn't use this service.The Milburn will be my first choice for any future NYC visits.	
Jun 16 2005	Loved the Milburn	My sister and I took my niece to NY for a four night graduation trip. Wanting this trip to be special, I was hoping that I had made the right choice in accomodations. I'm pleased to say that it surpassed all my expectations. We stayed in a king suite on the 6th floor. The location was great; the front desk staff was friendly and accomodating; and the rooms were clean and spacious. Every day when we came in tired from the day's activities, we all commented on how nice it was to be &quot;home&quot; and that is what our suite felt like. I would definitely stay here again.	
May 30 2005	Solid Value and Great Location	My wife and I stayed at the Milburn for 3 nights during Memorial Day weekend and were basically pleased with the accommodation and service. We booked a &quot;Queen suite&quot; and were upgraded to a King bed and living room with a pull-out bed. The room was clean, spacious and quiet. We also had two TVs, three phones and a stereo in our well-equipped room. Staff were courteous and maid service was prompt. You should read the hotel book to maximize your stay (e.g., we learned that complimentary bathrobes were available on request). The hotel also has an arrangement with a pool next door which friends of ours tried and enjoyed. There is also a long list of videos and DVDs, many for kids.The neighbourhood is handy to the whole West side and to transit, and is a bit more relaxed than downtown. There are numerous delis and diners steps away, so the kitchenette comes in handy although it's not really adequate for full meal preparation. The only downsides were the bathroom's size (not a real issue for us... plenty of hot water and everything worked), sometimes slow and untidy elevators and difficult to figure out TVs. I would stay again although I get the sense from reading other reviews that you may want to request specific rooms.	
May 29 2005	great hotel	My husband, my 8-yr old daughter daughter and I stayed at the Milburn Hotel (242 West 72nd Street, NYC) on 23 and 24 May 2005, in a 1-bedroom unit.Both bedroom and livingroom were very spacious; the kitchen tiny (but I wasn't in NYC to cook!) and the bathroom average.The staff were beyond excellent -- the front desk staff were soooooo friendly, and they really seemed to care about making our visit a pleasant one.The rooms were clean, the corridors clean, the lobby immaculate. The neighbourhood was great -- just around the corner from Broadway on 76th street, so there were tons of shops &amp; restaurants (etc.) to browse in; in the a.m. I noticed lots of parents taking their children to school -- it seems like a very safe, pleasant area. Central Park was only a short walk away; I went for a 10k run in Central Park (incluing running around the Reservoir) in the a.m. and felt very at ease. The Museum of Natural History was a short walk away, too.We would highly recommend this hotel as a family-friendly location. We got a &quot;deal&quot; on parking through the hotel ($25/day) and each bought a $7 bus/subway pass that was good for a day, which we made good use of.Overall, a very positive experience for us as first-time visitors to NYC!:-)	
May 21 2005	Adequate for a 2-Star	I'll agree with the review previous to mine, stating that accomodations are fair at best, and that the minimum possible is done to placate guests. We stayed for three nights in a &quot;junior suite&quot;. We were told that this was one of their 'newer rooms', which we later found out to mean that one of the residents (apparently the hotel was not completely converted and there are still some residents, most elderly) had passed away, and they had very recently converted the room to a hotel room. Our room didn't have the window A/C unit discussed in previous reviews, and we had to call to get one installed (next day). Also, the room didn't have the clock/radio that was promised. It wasn't worth complaining about - we made due with wake-up calls. I suppose the room was clean for a 2 star property, but it was still quite small, and the bathroom was ridiculous. We had to actually step to the side of the bathroom in order to close the door. The table and chairs and the kitchenette were useful and suprising in a 2-star property, and I must say that the staff was very nice. Location was good, if you have reason to be on the Upper West Side, and as New York goes, it was quiet. That is until a massive group of kids on a tour checked in, after which there was much stampeding up and down halls, and behavior you'd expect from 50-60 14-17 year-olds. A warning - it would appear that The Milburn is on the list of at least a couple tour companies catering to kids - not sure if that's a regular annoyance throughout the year or if we were just lucky. May be a fair question to ask the reservation agent before booking.Would I stay here again? No - but I should in fairness state that I'm not someone who frequents 2-star properties often. If you are looking for a property that is relatively clean and quiet, and don't mind missing some perks of a pricier property, I'd say the Milburn rates a solid 2 Star rating. Maybe 2.5. In any other city in America the room rate would be about 25% of what we paid - being where it is, expect to miss the money from your wallet come checkout time. I did.	
May 1 2005	Just Adequate Lodging	The decor at the Milburn is perilously close to shabby. The furnishings are just barely adequate, and the various bits of equipment in the room we had were the cheapest things that could have been found to do the job. The air conditioner had a front piece that didn't fit quite right. When I tried to put it into place, the whole front came off. The oddest thing about our room is that it took several minutes (and I am not exaggerating) for the water to heat up, though it did eventually heat up. The bathroom was tiny, by the way.One gets the impression that the least is being done to get by. While our rooms were adequately cleaned, the floor in the elevator looked as if it were not cleaned in the four days that we were there. There are some positive things to day. Our room (a suite) was spacious. The hotel's location is fine, but we're very fond of the West Side. And there are other choices in the area. But I would like to mention two things. First, we took a look at rooms in the nearby Riverside Tower, and they made the Milburn look good. Their rooms are barely bigger than the bed, and they are grim. Second, if you do wind up at the Milburn, there are a couple of places one block south on Broadway for terrific take-out food to have up in the room. But they shouldn't tempt one to ignore the true deli shrine of Zabar's a few blocks north on Broadway at 80th.	
Apr 29 2005 	Well worth a stay	I spent six nights on a combined business/sightseeing trip. My room was spotlessly clean and very quiet for a city - especially New York. the Upper West Side was a great neighbourhood to be in with food stores, bookshops and plenty of restaraunts nearby. The kitchenettes in the hotel give useful flexibility for eating.	
Apr 28 2005	Wonderful; place location staff	Wife and I stayed here April 2005. Selected it after reading reviews here. This is a great place. The staff is wonderful. Very friendly and helpful. The building is quiet. The location is perfect. Plenty of restaurants and shops within a couple blocks. We were there five nights and never ran out of interesting yet inexpensive dinner options. It is between two subway stations 79th (local) and 72nd (local and express. Walking distance to Central Park and American Museum of Natural History. The one negative might be heat. I never quite figured out why the building was so warm. Opened the windows in April and it was fine. Didn't try the air conditioning. They are window type units. Wonder if they would keep up in August.We'd definitely go back and recommend to others.	
Apr 12 2005	Very pleased.	Just got back from a 6 night stay at the Milburn and we loved it. My wife wanted to stay closer to the mid-town action but I can't say enough how great it was to stay in a more residential area surrounded by restaurants that aren't out to gouge tourists. The subway is a 5 minute walk away and there are a ton of great places to eat within walking distance of the hotel. The room itself was fairly basic, but the bathrooms seemed recently remodled (we stayed on 1st floor) and we didn't have a problem with lobby noise. All-in-all a great place to stay. We would definitely stay here again.	
Mar 31 2005	Thoroughly recommended	Great location, large and comfortable 1-bdrm suite (slightly tired decor), enough of a kitchenette to do basic food for family, reasonable price, friendly staff - all in all, thoroughly recommended. The added bonus is the amazing Fairway supermarket 1 block down Broadway - the best collection of food you will see for some time.	
Feb 20 2005	Friendly staff...great room...shhh!	We arrived before check-in time and the room wasn't ready, so we did the paper work, stored our bags and joked about a getting high corner room...We were there for Christo's &quot;The Gates&quot; so we headed straight for the Central Park. After 4 hours we made it back to the hotel and got our key...Room 1500..Top floor (sort of) corner..with a small river view to the north..AND a small city view to the south! Two windows! And not ONE neighbor. Awesome!!! Plus. there was space around the King bed...and a good sized table...and great water pressure in the shower.This place has some very special rooms...I believe 1300 and 1301 have terraces...and there is a secret penthouse you have to ask about. The kitchenettes are really small, but functional. Yes, it is a little worn around the edges, with strange carpet and cracked tiles etc in the bathrooms, a banged up window air conditioner...and an elevator that takes its good old time. If that stuff is OK to you, then this place is totally cool...if it's not OK, then you won't like it here. But the bed was comfy, the room spacious, (although the bathroom and kitchette are tiny) pleasantly decorated with posters from the MET, and the staff entirely delightful. The hotel offers 24 hour room service from the nearby Manhattan Diner (no major mark-up!!!) and discounts at about a dozen neighborhood restaurants as well as free access to a neighborhood swimming pool. All in all a great experience...	
Feb 7 2005	Brill	If you want a child friendly hotel, on the Upper West Side, that has huge rooms look no further. We took a 12 month old baby and we loved staying here. The staff provided a cot/crib and a portable 2-ring hob for us to heat boiling water on. The location is fabulous if you want to be on the edge of town, very safe and interesting, residential with smaller branches of most all the big brand shops ie gap, baby gap, sephora, anne taylor, victoria's secret etc.We would definately stay here again.	
Jan 18 2005	Comfortable hotel in a good location	My husband and I stayed at the Milburn from December 5 until December 12, 2004. While making the reservation I requested a quiet room due to jetlag. However, when arriving we got a room exactly opposite the elevator. But, due to my amazement, we did not hear anything outside our room during our entire stay. As mentioned before the bathroom was tiny. However, it was not that terrible brown colour like on their website but it was cream and white. Hot water was plenty. Cleaning was also good. 80 channels on the tv. Very good (yes, we had to rest our poor feet at night).Good size fridge and microwave. Utensils, everything was there. Even paper towels and extra sink in the kitchenette.The only thing that was not good was the airco. Yes, it was december, but we still needed it. It was warm in the room. The airco made lots (and I do mean LOTS) of noise but did not cool one bit. We were located on the inner side of the hotel so opened the window, no problem.The neighbourhood is nice and safe with lots of great shops and eateries. And not to far from the subway.All in all, we would definitely stay at the Milburn again.	
Nov 6 2004	Credit card theft	I have stayed at the Milburn several times through the years, and recently twice in the course of a month. You get a lot for the money and the location is great, but a warning: Last time I stayed there, I was quoted one rate $149, I think it was, and told, when I arrived it would be $30 higher. I told them I had been quoted the lower rate and paid it a week before. They assured me it would be corrected on my Mastercard. When my charge card bill came, and it was not corrected, I repeatedly called the manager and e-mialed him. He never responded. In my book this is theft, maybe petty theft .... but you wonder if they would steal from your room at well	
Nov 2 2004	Great Location Terrific Room	The location, a bit away from the Midtown madness, is terrific. Rooms are ample and comfortable and the staff is helpful. By New York standards, the Milburn is a bargain. When you explore the neighborhood, it's an even better deal. And because it's not on main street, it is relatively quiet. It's a hard deal to beat.	
Oct 25 2004	Great value overall and secure	I stayed two weeks in October. I had a 1bedroom suite with a kitchenette, which was nice to be able to stock groceries in the fridge.The rooms are spacious, but the bathroom is small but clean and in good working order.The bed was too firm for me however, but in good condition.I stayed in the quieter end of the hotel (room 710) and enjoyed it.The rooms overall are clean and comfortable, but pretty basic furnishings, however in pleasing colorful taste.The rooms are very secure with good locks.This is an older hotel with signs of wear (used to be a resident hotel and I believe it still is in one section), but it is a well-run hotel and in good working order.The shower has excellent strong water pressure which I miss! :-(The hotel staff is nice, courteous, and very attentive! Adam is especially helpful with a great personality! :-)The hotel is in an excellent location within walking distance to many resturants, grocers, and shops.There are also 2 subways closeby (79th and 72nd St.).The Upper West Side neighborhood is lovely and very safe.Central Park is a comfortable few blocks from the hotel.I was pleasantly pleased overall with my stay at The Milburn and would stay there again. :-)If you don't need the extra &quot;frills&quot; and luxury, this hotel is an excellent value in an excellent location! :-)	
Oct 21 2004	Terrific value on the Upper West Side	My parents and I had a one bedroom suite for 4 nights in mid October. We were impressed with the size and facilities of the rooms, the lack of excessive noise at night and the cleanliness of the bathroom. The front desk staff were very helpful (for example, when we had only been supplied with 2 sets of towels not 3 initially). Tiny gripe; the chambermaids were a bit careless with the odd personal item in the rooms, but this was the only thing I'd find minor fault with. Nearby are countless good places to eat (breakfast at Niko's on the corner, Asian feast at Ruby Foo's,good diner at Viand), great shops, good local vibe and 2 subway stations within minutes. Really hope to go back to the Milburn, great value!	
Oct 4 2004	Would stay here in the future - great service	Great service, suite for the price of a room as we arrived at 1.30am, late at night having been duped from another hotel booking; polite, courteous excellent service. Suite was spacious, small bathroom and kitchenette, but all very functional. Quiet location, safe surroundings. Price did not include extra taxes (not mentioned at time of booking - would be helpful for Aussies); extra taxes seem to be the way of life in the USA.Would go there again.	
Sep 28 2004	Would Recommend This Hotel	We stayed at the Milburn for 9 nights in September, 2004 and were pleased with the accommodations. As other reviews have mentioned, the location is only a short walk to either the 72nd or 79th St. subway stations. There is an abundance of nice restaurants that are really inexpensive and we never seemed to have to wait for a table no matter how busy they were. They have room air conditioners but the rumble of them can drown out any street traffic, although that was not even a problem. The living room and bedroom we had were very spacious (and we liked having TVs in both rooms). It was great having the little kitchenette (nothing fancy but very functional - and the market was around the corner-very convenient). My only &quot;complaint&quot; was with the bathroom. It was very tiny which I'd expect in Europe but not here. It also seemed a little run down. And then there was a bit of a bug problem. Let's just say that under the bathroom sink there was a roach motel and this was a good thing. So, if you like sparkling and spacious bathrooms, you might have an issue here. However, all the positives of this place outweighed any &quot;bathroom blues&quot; since we spent so little time in the room. I'd go back.	
