	Great position and excellent rooms with a view	This was my third stay at the London in the past 12 months and it continues to be excellent.Book a &quot;Vista Suite&quot; and you will get a room with a separate, generously proportioned sitting area with a bay window and a big curved sofa where you can sit and read the New York Times over coffee and a spectacular view up Central Park (and both rivers if you are on a high enough floor). I really believe these rooms to be great value considering size/cost options of other mid town hotels of this standard. Located just a couple of blocks from the park, shopping on 5th avenue, Carnegie hall and only half a block from Moma, this is the ideal position for a long weekend in NYC. It feels like your very own private apartment. While some of the newer boutique (hip) hotels may eclipse the London for the &quot;cool factor&quot; , this hotel offers good looking, functional, immaculately clean rooms (that still smell brand new because they have never been smoked in) that are above all, quiet. I am getting too old to want to hear the thumping of a hotel bar at 3:00AM and the London is pleasantly peaceful. The restaurant food is good, especially the breakfast selection. The gym is very well equipped and there is free WiFi. The concierge department are very helpful but the doormen remain just a touch edgy. In all, you cannot go wrong with choosing the London.	
Jan 23 2008 	clean chic perfect hotel in Midtown Manhattan	I spent many days browsing reviews on this site before I booked this hotel, and I was not disappointed. This hotel is wonderful. I took their most basic room, and it was large (esp. for NYC) and new and chic and spotlessly clean. I can't believe the size of the shower stalls (with two different kinds of shower heads, one on each end of a long stall). The suite was so spacious and had so many great features. Where do I begin ? Maybe just look at the photos I took. This hotel is close to all the great shopping (5th Avenue, Saks, Bloomingdales, Bergdorf's, Barneys), Rockefeller Centre, Broadway, Central Park, and so many more great places.The hotel itself includes a Gordon Ramsay restaurant and a great cocktail bar. The bed was so comfortable I could have stayed in all weekend. The hotel staff were all very helpful.	
Jan 19 2008	Absolutely SUPERB - Highly Recommended - Favorite Midtown	This is one of my favorite hotels. I loved it! The rooms are all suites and just beautifully done. Very well thought out and had tons of nice features - TVS with plugs for my laptop and the amenities in the bathroom were very nice.Bathroom has both shower and tub. Loved the colors of the room. Cannot overstate how nice the rooms are. Bed was one of the most comfortable ones I have every slept on. Location was perfect Midtown. Staff was extremely friendly. Of course, everyone knows the restaurant - run by Gordon Ramsay -and they gave me a tour of the kitchen after I asked the bar tender a bunch of questions. She was nice enough to show me the kitchen and the chefs table. All of the staff could not be friendlier. Bar is really nice and just off the lobby. Its not a large lobby but the height of the ceilings gives the allusion that it is bigger than it is. I read some of the negative reviews here and am completely dumbfounded!! Must be chronic complainers - there are so many of those out here. They dont represent themselves as a 5 Star but a 4 Star. Frankly, they are a very good 4 Star. It will now be one of my favorite hotels because my stay was so comfortable. I love the suite concept and the idea of being able to invite a business associate to my room and having the room to get work done separate from the bed room. Highly recommend.	
Jan 12 2008 	Loved it!	This is a great hotel, cool and hip with five star service. Being British, living in Los Angeles, we had heard about it and the rooms were not expensive by New York standards, we paid around $450 for a London Vista suite for four nights just after new year. To be honest, I would not pay the extra cost again for the high floor and subsequent view because there is a large building blocking the central park vista, and it's not as though there is a balcony to sit out on and enjoy the view. That's just a bit of knowledge to put away for next time - and there will be a next time, we loved it here.I knew that the Gordon Ramsey restaurant would be impossible to get last minute reservations for, so called a week ahead and even then could not get a reservation before 10.30pm which for us LA residents, was way too late to eat. I don't blame the hotel for that fact. We did eat in Maze but weren't blown away - the service was quite slow and our white wine was room temperature. Everything was small portions until the rum baba, which was giant donut size!The bar was very expensive, but hey, we were on vacation and it's New York so what do you expect? We had fun in there, sampling some great appetizers and working our way down the cocktail menu. The staff could not be nicer or more helpful, from the bar waitress, to the door man, and especially the concierge staff. The London Vista room we had was perfect, just know that if you want a bath tub you need to ask for it in advance, some rooms only have showers. The decor is hip - this is not the Ritz Carlton, but you know that when you see the hotel web site. The additional seating area was very useful although not that comfortable, but we weren't spending much time sitting around. Room service could not be faulted, again not cheap. Gordon Ramsey's scrambled eggs with smoked salmon were fabulous. What was missing was a light switch by the door, but I wasn't going to let that be a big deal.If I did have a general complaint, it was that the lobby does not have any seating. Presumably it was to keep the area looking minimalist. Whenever I had to wait for my husband I had to perch on a cold stone step and felt a bit of a hanger-on, as if I wasn't meant to be there. That did not affect my overall view of the place. Some recommendations for dinner (as Gordon Ramsey being full will necessitate eating out!!) - Spice Market, Buddakan, Spotted Pig (lunch).Your hotel bill will be way over the cost of the room, but so what, it was fun running up the tab! We had a great trip, love NYC, we ate and drank our way through it and look forward to doing it again, and to staying at LondonNYC.	
Jan 12 2008 	Good Midtown Hotel	I travel to New York on business about three times a year, and for one reason or another, usually related to availability, I don't stay at the same hotel twice. I will make an effort to revisit this one though; it was all good - service, rooms, amenities, everything. The only downside, and it is a small downside, is that the doorman can be a bit overzealous with his whistle when hailing taxicabs, and this can be heard in the rooms facing the front. But room size is excellent and more than makes up for any minor problems. Room size is important for me, especially in New York, and especially after staying at one NY hotel where the bathroom was so small I kept knocking my razor off the bathroom sink and into the toilet. You get the idea.	
Jan 8 2008	The Overrated London NYC	On arrival at the London NYC it appeared to be a modern glossy contemporary hotel which is what we were expecting. However, service and helpfulness from staff was in short supply. Over the course of our 7 day stay, due to bookings we were only able to eat one evening meal at the hotels Gordon Ramsey Maze Restaurant unless we wanted to eat at 5.30pm on another occassion. We did not expect to have to eat out every evening. The one meal we were able to book was for 9.30 pm on our 5th day there and on arrival at the restaurant we were told our table was not ready. After sitting at the bar for 25 mins, we had to go and ask if our table was now ready. It was, but we were seated for another 10 mins before a menu and wine list were presented to us. Despite a 9.30pm reservation, we ordered our meal at 10.30pm. Dress code was not adhered to and many people ate in jeans and trainers which spoiled the whole ambience. We had an afternoon tea at the hotel on one occassion and were amazed that we were charged $35 each for half a dozen mini-cakes and half a dozen mini-savouries and a pot of tea &amp; coffee! Our suite at the hotel was very blandly decorated and not comfortable. Lighting in the bedroom was abysmal. We didn't have enough light to select our clothes off the hanging rail properly. (There was no wardrobe which made the room look untidy). We ordered room service a couple of times (for coffe etc as there were no facilities in the suite) and although delivery cost and gratuity was already added to the bill, the room service guys hung around for a tip each time. Overall I think this hotel relies on the fact that it has a 'Gordon Ramsey' restaurant tag, which unfortunately does not live up to its own hype.	
Jan 5 2008 	Fab Midtown Pick	The new London NYC is a fabulous midtown pick. Walking distance from Times Sq, shops on 5th Ave, and the MOMA. Trendy décor, slick staff, efficient concierge desk - just what you expect from NYC. Our suite was nicely appointed in shades of blue, grey, and silver. The rooms are very airy and spacious, a rarity for New York. The living room had an elegant but comfy semi-circular couch hugging the window. Loved reading the paper or having a coffee there. Well designed work station -- ample light, sleek and ergonomic chair, and several plug points. A door divided the two rooms, which was nice for privacy. Really great bed and well calculated lighting in the bedroom. Loved that there was a separate dressing room with plenty of space and a huge mirror enough for two. Plenty of space to spread out luggage without making the room messy. The bathroom was nice. Very minimal, but well designed with lots of counter space and lighting. The commode was at the far end of the rectangular bathroom (all the better). The shower space was uber chic but practical – rectangular space with a shower head at each end for side-by-side showers. Great for a couple in the AM and PM when both have to be somewhere. Not so great if you’re sharing with anyone else! Vur and I loved our 3 night stay	
Dec 31 2007 	Poor Service at The London	The room was large and that gym had good machines. Those were the high points. Every service was subcontracted out, including the concierge. We only ate breakfast at the restauant, which was comped to make up for the dismal service provided by the concierge. I requested a fun night out for my 50th Birthday with a great restaurant and some fun entertainment afterwards. The concierge sent us to a restaurant that provided what I would consider one of the most overpriced and disgusting meals that I have ever eaten. Their imaginative suggestions for entertainment was a comedy club afterward. They were unfamiliar with any of the comics or routines. I could have gotten better advice from any cabbie. The room was large but the furniture was stark and cold and uncomfortable. Not a drawer in the room except for the desk and night stands by the bedside. I would give this place one or two stars on a good day.	
Dec 22 2007 	Love It!	I thought that the hotel was wonderful! It was very very clean, the sevice was very helpful. The only problem was that from our room we could hear some noise from the street, they did provide ear-plugs, but it still was noisy.	
Dec 11 2007 	Great Looking hotel disappointing service	Group of 4 girls on annual visit for shopping to NY. First time visit to London NYC. Wanted to stay in a suite all together so took a 2 bed on the 29th floor. From the minute we arrived the service was disappointing. Messages left with reception not passed on. Concierge can handle basic reservations for hotels but anything more complicated is resisted. Room service really does take 30mins for teapot. Rooms themselves were really nice. Beds, sheets and pillows absolutely fab. Towels and showers fantastic. Privacy for bathrooms not good as doors are sliding with gaps. No view from our room. We did eat in both the bar and Maze (the bistro). In both the food was good. In the bar the small portions are a bit of a surprise as the price doesn't reflect. Maze is a brilliant concept. Food and service was without fault, with the exception of the hostess who uses the popularity of the restaurant as an excuse to be less than fully courteous! Location is great for shopping and eating if you want the uptown buzz. Doorsmen are great characters and have been brought over from the Riga, so very experienced and delighted to chat. All in all, this is such a shame, if they sorted the service out, this has all the other elements to be firm favourite. London is just too expensive to have such inconsistent attitudes to service and GR may be hot and new just now, but that crowd will move on and the arrogance of the hosts will be noted. BTW we did lunch at the St Regis on Sat - fab little bar, amazing service felt like royalty on one of the busiest days of year without a booking. Old style service, real sense of the brand they are representing, London could learn.	
Nov 27 2007 	We expected more from a supposed 5 star hotel.	We expected more from a supposed 5 star hotel. The room had no bath, only a large shower. There are also no fans in the bathroom, so privacy is non-existant if you have a gastrointestinal need for solitude.When we arrived, we turned down our bed to find goo under the sheets and were transferred to a different room immediately.The lobby is small, without any kind of sitting area. Stay at the Ritz or the Plaza for this price.	
Nov 21 2007	Gorgoeus Rooms	This hotel was recommended through my American Express Platinum card so was really impressed with getting late check-out, free breakfast and an afternoon tea with my booking. The rooms are fantastic - excellent size (considering it's NYC), great decor and really quiet. The staff were lovely and very helpful and I found the location ideal for shopping on 5th Ave. My only criticism was that the service for breakfast was a little slow and inefficient, but would definately stay there again	
Nov 18 2007 	Not bad; was hoping for more	I wanted to surprise my fiancé for her birthday weekend with a little getaway right in the city. Let me say that as New Yorkers we were partial to the Parker Le Meridian which we've stayed at several times. But I wanted to try a different hotel that had the same flair as the Le Meridian but might turn it it up a notch in terms of style and comfort.I picked the London based on reviews I read here on Trip advisor. Given the fact that our reservation was last minute, I expected it to be expensive. Even still overall I found the hotel to be comfortable and the staff friendly.The room was comfortable and large. The food, however, was only average and the staff botched our first room service order. They were very gracious about resolving the problem. Overall I would say that the London is a good hotel, especially if you're visiting New York and you want to be in the center of the city within easy striking distance of good dining, good shopping, theater etc. Book early to get the best rates you can on the rooms!	
Nov 7 2007 	For the price you can do much better!	This hotel is an impersonal, soulless midtown monster with high room rates and tepid service. I go to NY frequently (once a month or so), and I think I know what can be had and for what price. This hotel did not deliver. This is my first TripAdvisor review ever; I was so disappointed with the London NYC I was moved to sign up and post this review. Room service was slow; they ALWAYS made sure they took up to the maximum time to deliver the food (30 minutes), even coffee. Once, they left something off of our dinner order and had to go fetch it. While that is rather common, it really shouldn't be for a hotel in this price range, and with all of the hotel's other shortcomings (below), it simply added to a growing list of disappointments. We learned that this room service mistake was par for the course here. When we decided to request a newspaper, we had to ask twice. Also, when we called the concierge and said we'd like to order two newspapers (meaning the NY Times AND the Financial Times) he misunderstood us and said that we could only have one paper, that the hotel had to make sure there were enough papers to go around! (Hello, we said. We're looking for one copy each of two different papers.) How miserly. The papers showed up about 20 minutes later. When we asked for a refill of room service coffee, and begged for it to be delivered more quickly than the standard 30 minutes, we got this reply: &quot;I'll ask, but I can't guarantee they'll be able to do it.&quot; As if we were asking for the moon. We also tried to have brunch in the lobby restaurant. That was a waste of time. When we walked in, we could see the restaurant was overrun with crowds who looked like they were being ignored; there were at least a half-dozen unbussed tables in clear view, and no one was on the way to clear them. It was almost squalid. The hostess begrudgingly offered to clear a table for us. After a very long pause, she wandered over to a table and lazily picked up a few items; but she seemed to have lost interest halfway through the task and began a conversation with a co-worker. We stood around awkwardly for a few moments and then wandered off, which is probably what she'd hoped we'd do. A truck-stop coffee shop would have better service, and only slightly less ambience. We ended up at the Carnegie Deli, a block away, and were so glad we did. And now the hotel's decor: cold and sterile. Relying heavily on a color I would describe as &quot;sage&quot; it seems they really broke their necks to stay squarely within the bounds of the current notion of &quot;tasteful,&quot; whatever that is. They took no risks. The result is stultifyingly bland. Any white-shoe law firm would be very happy with this look. In a few years' time it will look tired and institutional - just let the veneer wear off. It has no warmth and zero personality; a sort of metaphor for their service ethos. This hotel is a 54-story building just south of Central Park and probably has some stunning views. We wouldn't know...sadly, we were consigned to the 9th floor, looking into the back of someone's apartment and fire escape. Aside from the usual traffic noises one gets in NY (we're used to that) we heard a dog barking all night. Our room was outfitted as though it was Leona Helmsley's penthouse, with overstuffed circular sofa and marble top table, but with a dreary back-alley view (see picture). They could have been more creative with the lower floor rooms, warming them up a bit and skipping the Louis XIV-meets-South Beach look, but why bother. They undoubtedly got a volume discount on furniture, carpet and draperies. When we checked out, the front desk clerk dutifully asked us how our stay was. We said we weren't so impressed. I forget exactly what she said, but it didn't matter. To be honest, she really couldn't have cared less.The friendliest people there were the bell staff, and that's because they're tipped.	
Oct 31 2007 	Outstanding hotel first class!	Have just returned from three nights at the London nyc, New York. This is a first class hotel with beautiful suites. I totally agree that the pictures do not do it justice, the rooms are much bigger and exceeded my expectations. There are no negatives to this hotel at all, service great, food fantastic (although expensive, as you would expect from a 5 star hotel) and the beds are just the best! Really, really comfortable. If you are thinking of choosing this hotel please do go for it, you won't be disappointed. Me and my family shall definately be staying here next time we visit the Big Apple..	
Oct 27 2007 	My Favorite HOtel in NYC	I was there in August and again in October and will stay there again this Christmas. We love it! The staff is so friendly and I love the afternoon tea. The room was very large; we had a 1 bedroom suite with 2 beds. My one daughter slept on the couch and had plenty of room. The bathroom was very big. I recommend the 25th floor and higher because the rooms are decorated with warmer colors and a much more comfortable sofa; and the bathrooms are larger; they have a bathtub, where the rooms on the lower floors have only a shower. This hotel is a 5* for sure!	
Oct 20 2007 	Absolutely loved it!!!	I spent a weekend alone in NYC post a long week of work. The London NYC is a little haven in the middle of NYC! Photo's on website do not do it justice. Rooms much bigger. Very comfortable. Great friendly efficient staff. Super bar! Very trendy. Didn't eat at Gordon Ramsay's but it was packed out each night. Definitely recommend this hotel. Location is perfect - I walked everywhere!	
Oct 15 2007	Amazing hotel excellent service	I stayed at the hotel for 2 nights at the end of July. This hotel wa sone of the best i have every stayed in. Near to everything in New York.Rooms were amazing and the view from the 37th floor was excellent.Staff were also brilliant we arrived at 10am even though we could not check in until 2pm. We were surprised to hear that our room was ready and were amazed at the speedy service from the staff.We were even allowed a late check-out as our flight was not until the evening.	
Oct 15 2007	Miss the Righa but London NYC Is Fine	I had been a long time fan of the Righa and loved it. This was my first stay after it had converted to the London NYC. In contrast to the Righa, the London NYC is hip, stylized and fun. The aesthetic of the rooms is visually stunning. The living room portion of the room is much more work friendly than the Righa was but the couch is very uncomfortable and not very much fun to sit on. The bed is nice; great foam mattress. Our bed was a California king and not the traditional king. The linens are top notch. The bathroom again is visually pleasing but the bathroom I had was smaller than the ones I had at the Righa. The tub was taken out but the shower was made larger. All in all, the hotel was still very nice and great location. I think the new hip stylized look will not wear well (my stylized couch already had stains on it) but it is still a great location and great room size.	
Oct 2 2007 	Great Hotel	I am very fussy when it comes to hotels - especially in New York! But this hotel was a nice surprise. The 'candid' photos make the rooms look a bit dingy when infact they are much larger than I expected and nice and clean. The beds were extrememly comfortable and the location is perfect - a few blocks away from Central Park and very close to 5th Ave for Tiffanys and Saks - and just up the road from the MOMA. Nice hotel.	
Sep 6 2007 	Close to being a premier hotel	We took a chance and booked a 3 night stay despite the negative reviews on Tripadvisor. This hotel has been operating as the London for less than a year and the new owner obviously spent millions of dollars on renovations using top of the line materials. Yes, the modern livingroom furniture is more attractive than comfortable, but the bed makes up for the hard couch and chairs. The management spared no expense on the mattress, sheets and pillows. The cleaning person kept forgetting to replace the dirty glasses with clean glasses, and he/she left a cleaning rag in the room one afternoon. We waited 20 minutes for our car, only to find out that it had been sitting out front but we hadn't been called. But we were willing to overlook these mistakes because of how wonderful everything else was. Better staff training would move this hotel to the next level and would make it a premier hotel. Not only would I stay here again, but I would be disappointed if I had to stay anywhere else the next time we're in New York.	
Sep 2 2007 	I'm fussy but The London "kept me satisfied"	This hotel is excellent. Well situated for Central Park, the major stores, Apple,MOMA etc.I had a suite which was superb - modern,stylish and super comfortable.The staff could not do enough and were extremely professional. Like I say in the heading, I'm fussy but The London gave me absolutely nothing to complain about.I wanted a late check out because my plane was leaving in the evning. I spoke to reception who said it was absolutely fine .Most other places pull a face , moan and groan and then relcutantly give you an extra 2 hours over the check out time, at a charge.I got 5 hours at no charge.Would I go back? - Yes. Would I recommend it ? YesGo!	
Aug 22 2007 	everything i expected!	i can't believe ALL the people complaining about everything, making each thing into a major ordeal!! If you wanted the best hotels in NYC, you should have stayed somewhere else and expect to pay alot more per nite! My wife and I stayed at London NYC 3 nights and loved it! Very modern and contemporary feel - which is exactly what we wanted. Everything was &quot;new&quot; since the remodelling was last year - so, clean and very spacious rooms. Great location, check-in staff were nice. Service in London Bar could have been better, especially at $15 per drink! My advice, go elsewhere for food and drinks - there are so many great establishments in Manhattan, why bother sitting in your hotel to eat! Overall, this hotel is excellent value and I will absolutely come back here next time. I truly think the recent naysayers posting here are extra, extra picky...	
Aug 19 2007 	Relaxing Stylish Hotel.. Great Location!	My husband and I were visiting friends in New York and we were away without our 4 children. From the moment we walked into the hotel we were taken away! The beautiful lobby was so nice to walk into. Front Desk staff were excellent. We were shown to our room and we were really happy with the decor. We stayed in a King Bed Flat. which is smaller than the suite, but just as nice. We didn't need a suite. THe only thing we didn't have was a minibar. Again, fine.. We were out most of the time. We have travelled and stayed in many fine hotels throughout the world and we are very picky. I really thought the decor was beautiful. The bathroom was all done by Waterworks and the tile floor was beautiful as was the shower. We used the concierge service several times and they were excellent. Very friendly and gave us some great ideas. We would definately stay here again. I never experienced bad service. Everyone was extremely friendly.	
Aug 15 2007 	Just what we needed!	We spent four nights at the London NYC recently for a friend's wedding. This is a terrific hotel centrally located in Midtown next to the Ziegfeld Theater and several blocks from the Park. Our room was spacious and very nicely appointed; it had a sitting room with a divan, chair, and desk, and a separate bedroom with a king bed and huge bathroom with a double shower. Both rooms had flat panel televisions and wireless internet. We found the bed to be very comfortable with super soft sheets and the room itself was extremely quiet for NYC; we were on the 27th for. The towels and toiletries were very nice as well.Enjoyed a meal downstairs at Maze one evening. It's a lively place with attentive servers and delicious tapas sized offerings. We did not reserve far enough in advance to be accommodated at the Gordon Ramsey, which, according to several people who have dined there, is like no other place on earth!	
Aug 13 2007 	The Most Uncomfortable Hotel With Terrible Service	We stayed for four nights here on July20th in a one bed suite and a two bed suite..Whilst we loved New York ,the same could not be said of this Hotel.The suites were spacious, but the furniture was soooo uncomfortable.There were no tea or coffee facilities in the suites, and the service was the worst we have ever experianced.Room service was slow, and when it arrived the order was wrong. At breakfast, three of us got breakfast whilst the other two had to wait another twenty minutes, and then they got the wrong order.Better by far to go out for food.But on our third morning it was raining and we decided to try again.Bad decision.Service was even worse,two got breakfast after 25 minutes,the others getting wrong orders after 40 minutes.When we checked out they even gave us the wrong bill.For these prices this level of comfort and service is totally unacceptable.Would we stay here again? No.Absoloutly not. NEVER.	
Aug 8 2007 	Great Experience	Just back from the London NYC in New York and overall it was a great experience. There were some admin frustrations though.We had originally planned to rent an apartment on the Upper East Side but about a month ago decided to try and switch to a hotel.Reserved two London Suites online and asked for two twin bedded rooms close to each other.All this was confirmed although when I rang to confirm a week before travelling they were a bit vague but promised.On arrival in NY after a tiring trip the initial impression of the London was &quot;Wow&quot; Sadly our room bookings were as I feared not as we required and after apologising we ended up with a twin and a large double.After this initial annoyance the stay was superb... until the checkout which I will comment on later.The rooms were first class, comfortable, cool (good air con in 95 degree heat outside) and great attention to detail has been applied.The rooms had superb technology, Ipod docks, Plasma TVs, interactive phones and electric blinds.One of our rooms (both on the 51st floor) had great views over Central Park (worth asking for the view)The bathrooms were luxury all the way. A abundance of fluffy large towels lots of toiletries and great walk in showers !The staff were all very friendly and the concierge very helpful.Overall our time at the London was fantastic, it is very central, immaculately clean and as a frequent business traveller I am very fussy.Our kids adored the place and everyone was friendly and kind to them.Onto the checkout then. A frustrating over charge took place and although it was sorted, it took a long time and put a low on our last couple of hours enjoying a light meal in the bar whilst waiting for our car to JFKIf we set aside a bit of admin frustration the overall experience was first class and we would go back tomorrow without hesitation !Do beware of the prices of extras, minibar, breakfast and food &amp; drink in the bar are priced on the high side !Top place - Go there !	
Aug 7 2007 	Give it a miss !	Well we read the various reviews on Trip Advisor and they were mostly positive . We like contemporary hotels and we are regular customers of Gordon Ramsays in London. We took the plunge and it was an error.We are half way through our stay but already I was moved to brief fellow travellers.We have 2 x 1 bedroom suites for myself my wife and my two 22 yr old sons. The suites are spacious but lack room for clothes.We checked in at 8pm and the maid was still finishing off our room. We ordered room service and one of the dishes was missing arriving when the rest of the family had finished. A few items were missing and we had to ask for them. Herein lies a theme everything at the London you have to ask for and you have to chase.Breakfast at the Maze was major aggro a 45 min wait for food, no orange juice ! and surly service. Being a non meat eater I found half way through my mushroon omellete that I had ham in it !We were rescued by the Lady Manager who was very apologetic and breakfast was on the house.The Hotel said that the GYm would be ready in early in 2007, its not ready and housed temporarily in some dingy hot rooms that would not grace a run down state run sports centre.Mini bar is not stocked and we have to chase every day to get it restocked.In summary the service is very poor and seems to be part of the culture so my advice is that there are plenty of other hotels in NYC that live up the expectations we have of US levels of service. I think Gordon you have made a big mistake associating your culinary standards and service levels with this outfit. Steve &amp; Linda Jones UK	
Aug 7 2007 	Very Spacious and Comfortable Hotel	My wife and I stayed at The London NYC 8-2 / 8-5. Our suite on the 51st floor was fabulous, room 5114. We had the open floor plan with several large windows. The bed and linens are top notch. Just one little f.y.i., the beers are a little steep in the lounge off the front lobby. We had just returned from seeing The Police at Madison Square Garden so I picked up a couple of beers to take to the room. They were $10 each, ouch. All in all we were very very pleased. Our room was quiet, comfortable and I felt the rate was very reasonable for this level of quality and size of room.	
Aug 6 2007	Pleasantly surprised!	Clean and well located to Central Park. The price is not bad for Manhattan. I’ve stayed at the St Regis and The Four Seasons. This hotel was just as clean and the room was larger. I would recommend giving it a try. The décor was a bit funky but who cares as long as it is clean and spacious!	
Aug 6 2007 	Stylish Solitude in the City	My boyfriend &amp; I planned a last minute trip to the City to see some friends, catch a show and a Yankee game, and eat to our hearts content. We chose The London as the perfect Central Midtown location to unwind, take a shower, lay down our heads after a day's hard work tromping around the city, and of course to catch the occasional quick bite.Basically we wound up doing all of the above except for the latter. Like the Rihga Royal, this property’s prior incarnation, this is an all-suite hotel. The rooms were spacious and stunningly simple in their décor. We got the opportunity to see more than one room as our first room was just above a smoking floor and as a result smelled like a casino, so we asked to have it changed. The Bellman made a quick phonecall and took care of this for us immediately. We didn’t even have to go back down to the front desk. He brought us up to a higher (and larger) corner suite, let us in with his Master key and went down to reprogram our key cards for us. What service!After a long day of travel, we chose to grab a quick bite at Gordon Ramsey’s restaurant (Maze) downstairs. This would be our first and last time doing so… not terrible food – just too much $$$$ for little &quot;tasting menu&quot; portions that were almost insultingly small. Think tapas, but much more expensive! Don't go in there with an appetite, and if you do, make sure at least your WALLET is full.As for the rest of the hotel, we encountered EXCELLENT service with a smile from all staff members we encountered, and thoroughly enjoyed our stay. The room was wonderful, the bed incredibly comfortable, and the ability to listen to my own tunes from my own iPod using the room’s iPod docking station (all the rooms have them) allowed me to make myself at home quite easily.The style of the room and hotel itself is very modern, so if you are looking for a vintage “Old School” New York experience, then this is NOT the hotel for you. In fact the modern décor was what posed the only problems (minor ones) that I would caution other travelers about:1) The sofa in the living room area is comfortable enough for sitting on for a few moments, but should not be considered as an option for sleeping whatsoever. In other words, no quick afternoon siestas, or stowing an unexpected overnight guest there. Which brings me to…2) The bathroom’s décor is so modern that a small sliding door is all that separates you from the rest of the entire suite. It is not lockable, and neither sound nor view-proof, so I would recommend that those who are NOT “well-seasoned” couples or solo travelers bear that in mind when booking. Also this door is the only one in the bathroom, meaning there is no shower door either (see photos) which can be messy if one is an enthusiastic cleanser.Overall this was a delightful experience and one that we would absolutely repeat!	
Jul 30 2007 	Midtown Glam Chic. Very Nice.	Very Swish Lobby, had a great vibe form the moment you walked through the door. Our room was huge by NYC standards. Liked the decor except for that powder blue settee which is dated looking already &amp; will get even more so, quick. The powder blue decor is not my fav. &amp; a bit cold &amp; hotel-y but it was still a very nice room. The bathroom though was fab. Gorgeous double ended shower. Very clever use of space. Staff was very nice &amp; well trained. Concierge was great. Breakfast was delicious &amp; might be the best omlette I've ever had. The bar/non-formal dining room was very slick. I loved the room. Art Deco &amp; Hollywood Regency meets 2007. I would definitely recommend. Esp. the summer specials on the room. Definitely worth the money. Esp. in NYC.	
Jul 27 2007 	Would love to stay at this hotel	We were in town to see the Kelly and Regis show and decided to go check out the London Hotel. We thought we might have a drink and ask the hotel manger for a sneak peek at one of the rooms! I stay in NY at least 6 times a year. We live in NJ and like to stay in the summer and during the holidays with the children or for special occasions. We normally stay at the Marriott in Times Square or at the New York Palace. I was checking out the fabulous reviews and just had to go see the hotel for myself before booking a stay. We walked in and were greeted by the doorman who was extremely courteous. He showed us the way to the bar area. We arrived around 4:30ish~ The place was empty and we had our choice of seating. Bar staff was excellent. Bar manager Joshua was exceptionally friendly offered suggestions from the bar menu. We ordered the Champagne Pear Cocktail and Ginger Provincial both drinks took our breath away~ All drinks were over $12 most of them were $16 so the bar area is expensive but I tell you they were the best two drinks I ever had! We were a little short on cash so we decided to just order two drinks and share! Ha! They were so good that we decided to have some more and charge the bill!!!! The ambiance and the drinks and the service~ We just couldn't leave! Just so happens that it was restaurant week in the city so they had a dinner special 3 course meal for $35!!! So we decided to stay for dinner! We asked Joshua if he could show us one of the rooms and he hooked us up with the Front Desk Manager Michelle Matthews~ She was awesome! She took us to an empty room and we were in awe of the decor. The room was super clean~ Fabulous art deco couch under the window! You have to check out the hotel photos~ They are exactly accurate! They had a double shower! I travel a lot and I had never seen a double shower~ They had the rain shower fixtures and the bed~ was sooooo comfortable~ Yes I laid on it! Couldn't help myself. Michelle gave us some history of the hotel~ It is only 8 months old~ And showed us the new meeting area room they were working on over looking all of NY city! When we got back on the elevator we were pleasantly surprised to see a famous actor! The dinner was fabulous! Everything was cooked to perfection! They have a famous chef Gordon Ramsay~ They say he comes in weekly to say hi to the guests and that he was there the night before~ Joshua and a guest told us that information. We befriended a guest staying at the hotel in the bar and questioned him about the hotel service and rooms~ He gave it 5 stars~ Says this was his third time there on buisness~ He was a laywer and loved staying at this hotel. OHHHH I forgot to mention the bathroom in the bar area! They are awesome~ about 10-15 intimate stalls~ With fabric towels~ lots of anemities and cleaned right on the spot as soon as you leave! You have to check them out even if you don't have to go to the bathroom! Ha! By the time we left the bar area around 7ish~ Yes, we were there quite a while! it was jam packed~ So get there early! One last thing! I noticed only after we ordered drinks and appetizers that people were having afternoon tea there~ They had tea service there too from 3-5:30. I can't wait to stay at the London hotel!!! I am going to reserve a room today to stay in August! Let you know how it goes~Sue	
