	Not recommended	This Hotel really sucks... from outside it looks nice and is close to Times Square, however, the hotel does not deserve 4 Stars.Its an old Hotel and the Hotel Lobby is nice, but the rooms are really bad and small.... I was there with my Mother and we had to split a Queen size bed, they said that they dont have double beds and not even King beds and that i received a complimentary upgrade to Queen Size Bed anyways....usually they give out full size... even for 2 people...I found out then that they had Kingsize Beds and did not gives us those...Anyways, rooms are really small and very dark...some rooms doesnt have a window etc...If you get a nice room, it might be ok... but the standard for this Hotel is not 4 Stars !!	
Oct 5 2005	Classy central and a bit stuffy	Stayed at the Algonquin for 3 nights in September for my first time in NYC. Hotel was lovely - and very very classy. Only really 2 complaints - the room we had was very very small - nice, but small!! Oh and the concierge who initially appeared very helpful was offering tickets for Broadway around 200 dollars each - i walked up to the Ticket Booth and got 2 tickets for 100 dollars for mamma mia. Then when asked to book us a table at a particular restaurant we had asked about - she recommended somewhere else - when we stated no we wanted &quot;Smith and Wollenskys&quot; - she came back to us to say no reservations.....strange that an hour later i walked to the restaurant and got a table immediately. That said, very comfortable hotel which i would be happy to stay in again. Oh and if you love cats - Matilda is a gem!!	
Sep 28 2005 	Worst hotel for the price! Don't waste your money!	Okay, I don't understand this one bit! I went to this site because I was going to stay at the &quot;Dream&quot; Hotel. I changed my mind after seeing all these reviews.Now, I got to clarify something. I am 26 years old. If you are over 50, don't even read my post as this wont apply to you. My buddy who was rooming with me is 19! We were the youngest people that I saw in our hotel. It seemed like a bunch of coffin-dodgers congregating in one location! I am so sorry if some of you are offended by that statement, but that will sum up your stay in this hotel.The good:Great service, FANTASTIC bed, One of the oldest hotels in the city! Very close to midtown.The bad:One of the oldest hotels in the city! Tv is antiquated! Room size is a JOKE! I paid 200 buckaroos to stay in a matchbox. If I had a large enough rental car, I would have been better off. It's not fancy at all, nor technologically savvy.All in all, this place is great for shut-ins, old people, poets, people who like to wallow in self pity and live away from civilization. Absolute waste of money. For 200 bucks a night I should've chosen Dream. Make your own decision and I hope this review helps. If you are under 50, forget about going to this dump!	
Sep 23 2005	Great Hotel!	My daughter and I stayed at the Algonquin in August. I loved the hotel. Everyone was so kind. The doorman very helpful and polite. The room very clean. I would stay there again. To compare we also stayed at the Hyatt Grand Central and my daughter and I were dragging luggage and carrying luggage and NOONE helped us or even opened the door for us. Our room was not even cleaned until after 6:30 PM. I felt like we got better service at the Algonquin. Sooooo clean and comfortable. Great ambiance. Matilda the cat lives there and gives it a homey feel. We also got a great deal by booking online.	
Sep 19 2005	Lovely Staff 	I stayed here with my boyfriend for 4 days in September &amp; loved it!The rooms are compact, but lovely, well furnished, well equiped &amp; with enough space for our clothes/suitcases/shopping etc. The bed was soooo comfy I really wanted to take it home with me! Bathroom was lovely, natural light (unusual for a hotel) and room was v clean.This hotel is quirky, with really entertaining wallpaper and a cat! The staff were so helpful and friendly, always said hello when we passed through the lobby and helped us will all our queries.I really like the location too as we were able to walk pretty much everywhere, up to Central Park and down to the Empire State Building. I would definitely stay here again if I got the chance.	
Aug 31 2005	Would def. return again	This hotel was absolutely wonderful. We were able to check in early and got to see the lobby kitty, Matilda. We recieved helpful and friendly information from the man that took our bags up, and on the way out to door. When we got back from shopping in the early evening, we called down to the desk to get a restaurant reccomendation. They called ahead for us, without us asking, and the restaurant was EXCELLENT!!!! When we got up the next morning to check out, we went next door for breakfast and were offered an umbrella on our way out the door, and it was only overcast. I cannot rave enough and will definately stay there again. **Best bed and pillows I have ever slept on.	
Aug 30 2005	I liked it but the view was awful!	I stayed 2 nights at the Algonquin with a friend. We both live here in New York so we are well aware of the &quot;average&quot; Manhattan hotel room. It was nice because I didn't have to do any of the planning or review reading or anything. The Algonquin is a historic hotel with a great look and a perfect location for tourists. We wre in room 407. (Remember this if you want to avoid a view that will make you keep the blinds closed tightly.) Upon entering the hotel, attentive doormen opended the doors, the desk staff greeted us each time we came and went and the resident feline, Matilda, was usually somewhere nearby. (Beautiful cat but not very social lol) There are 2 elevators, a large lounge with dark wood furnishings and dim lighting. There is also a library that you can borrow books from and they place a couple books and magzines in the rooms as well.The RoomI really liked our room. By Manhattan standards, it was not cramped and was a square room rather than rectangular like many are. The original architecture really adds a cozy charm and the walls are cream with white moulding. The textiles are shades of deep reds, golds and greens with traditional dark wood furnishings. I'm not a big fan of the &quot;traditional&quot; look, but here it was balanced nicely and the room didn't feel old at all.The bed---ahhhhh, the bed. So comfortable. Pillowtop Queen size mattress complete with Egyptian Cotton linen, a lightweight down-type topper, a mixed batch of pillows including down and synthetic, and a throw at the bottom of the bed that nicely coordinated with the carpeting, drapes and bedskirt. There are 2 chairs in the room, both nicely upholstered. An arm chair and a desk chair at the writing desk. In the desk drawer is a nice selection of stationery including post cards, all neatly arranged in a folder. There is a nice closet with a safe, iron and ironing board and plush bath robe behind a solid wood door.(There was only one though. We didn't ask for a second but I would think there should have been two.) The TV was only 20&quot; I think, but I didn't mind. It's housed in a wood armoire on top of which is your tray with ice bucket, glasses and a dish of candies. Beneath are drawers and there are also drawers in each nightstand and the desk. The bathroom is spacious but the bathtub is of the smaller hotel-size variety. The toilet is taller than the standard household toilet. There are nice bathroom amenities including shower gel, lotion, shampoo and conditoner, a shoe shine, shower cap and mini shower cap and hair dryer. There is a full-length mirror on the bathroom door. The shower has a nice handheld, highly polished shower wand. I saw no signs of aging or wear in the room. Everything was very clean..except the top of the armoire, which was in need of dusting. The hotel does have room service, but we did not order anything. Expect higher than usual pricing. You have to get ice from room service, which I found odd. We got ice at the front desk instead. The room is very cozy, it feels like a bedroom. The ceiling fan adds a nice touch and the A/C is very adequate. The carpet and bathroom floor was clean and we never heard any noises inside our room from other guests/staff. The reasons I did not give The Algonquin 5 stars are:No poolNo continental breakfastTerrible view from our roomAll very minor details since these are very common problems with Manhattan hotels.	
Aug 28 2005 	Pleasant (but not perfect) stay ... Great location though	Rooms can be a bit small and a noisy (tip: ask for a room away from the elevators!), but overall, it was a good experience. Reasonable price, decent staff. Some folks better than others, but generally helpful and sincere.It's like Vegas in that, if you stay there, you are staying for location, not for the room. It's right in the middle of the island and walking to 5th Ave., and Times Square. And not a bad can north and south cab to other attractions. It's truly a tourist hotel in that sense.WIFI Internet access is free in the lobby, nominal charge in the rooms, which are old, but updated for the most part (no tub though in our rooms).The lobby and bar are very quaint and friendly. One of the best things about the hotel. My guests enjoyed the stay, it was a pleasant one. I will probably be back. But I might poke around the Sofitel a couple doors down, we'll see.	
Aug 17 2005 	This is what a hotel is supposed to be like!	From the moment you walk into the Algonquin Hotel you feel like a New Yorker. Its established class can’t help but rub off on you, and when I mean class I don’t mean the fake snobbery NYC attitude. You feel like you’ve stepped back in time when living life meant enjoying a cocktail and the lively art of conversation. This hotel has history, a friendly staff and the most comfortable hotel beds I’ve ever slept on. True, the rooms are “cozy” but you’re in NYC so who wants to stay in the room? It’s beautifully appointed, great towels and robe in the bathroom and plenty of fluffy pillows. And they have Matilda. Could you imagine the Plaza having a friendly feline mascot? Puhlease. Don’t miss out staying at the Algonquin if you want to truly enhance your NYC experience. After staying there I get why New Yorkers love their city so much.	
Aug 16 2005	Best Hotel in NYC	The Algonquin Hotel is the absolute best hotel in NYC. The rooms are a bit small, but the beds more than makes up for it. The sleep you get in these beds is perfect. The staff is a collection of some of the nicest and most knowledgable people in New York. And the location is to die for! Just a minute walk from 5th Ave., and less than 5 mins from Times Square. Also in walking distance from the Public Library, Madison Square Garden, Rockafeller Center, Trump Tower, and the Empire State Building.The Algonquin truley is the best NYC has to offer. 10 out of 10	
Jul 31 2005	Great location!	my boyfriend and i stayed in the algonquin for 1 night. the only bad thing about it is that the rooms are pretty small. although we've never stayed in the city before and we have nothing to compare to, we still felt that it was pretty tight even though we had the deluxe queen room it is definately not for more than 2 people. although it was small it was AMAZING! totally renovated, spotless walls, ceilings, clean and fresh bathroom tile, nice tub and great water pressure. we had a flat screen tv with satelitte cable and the drapery really made it a very classy room. ONE THING THAT WE LOVED WAS THE BED!! IT WAS EXCEPTIONALLY COMFORTABLE WITH 6-8 SOFT BIG PILLOWS(NOT THE USUAL HOTEL PILLOW). air conditioning was great with a remote control and self regulator. also the location is prime. you're a 3 min walk from times square and everything, 1 min walk from subway, but you're not right in the center--which makes it quiet and peaceful. definately recommended!!!!(i'll add pictures soon)	
Jul 22 2005	Just Perfect	My daughter and I had a deluxe twin room from July 17 - July 20, 2005. The hotel has been spiffed up since my last stay in the late 1970s, and it's a real gem. The building is handsome and cozy. The entry's tile floor and dark woodwork are welcoming, as is the friendly staff. Matilda, the aristocratic hotel cat, is imperious and amusing. The lobby is dim-in a good way, and a very happy place to chat and drink and eat, and fun to snoop around in at the painted upper walls and carved woodwork and oriental light fixtures. The elevators are tiny and have funky buttons. There is an open staircase from top to bottom of the building. The halls have New Yorker cartoon wallpaper. The room doors are original, solid, heavy wood. The bedrooms are small, but so very solid and well-designed, and now clean and light, that our room ranks among my favorite of all hotel rooms. Our window was on an airshaft, which gave me entertaining views of about 20 office workers across the way in the daytime. Our room was quieter than any other city hotel room I've had, and certainly quieter than any new construction hotel. A room fronting on 44th Street would doubtless be louder. I had the impression that the hotel staff is making a big effort. The place is much cleaner than I remember. When my daughter and I were ensconsed in the lobby plotting our day, a staff person brought her various Matilda The Cat trinkets to keep. We're sold; I'd stay there in preference to any other NYC hotel, including the St Regis and the Plaza. The Algonquin is not in their luxury class, but is so very much more homey and comfortable while not feeling at all like a budget choice.	
Jul 6 2005	Laughably small room.	The Algonquin in itself is a great hotel. Its in the perfect area, the hotel is emaculate, very historic and has a terrific bar. However, I payed the lowest rate possible and was stuck in a room that was so small me and my girlfriend broke down laughing when we saw it. To say it was more then 100 square feet (not counting bathroom) would be a stretch. The bed took up more then half the room and when our room service breakfast was brought to us there was hardly any room to walk around and eat. I have stayed in many NYC hotels and understand that they are small, especially if you pay the lowest rates, but this was just absurd. The decor was fine and it was clean, but I dont know ANYONE that would feel comfortable in a room this small. Im sure from reading some other reviews that people on here were in larger rooms. I would still REC. this hotel though, just make sure you dont get stuck in my oom. We were so tired when we checked in that we couldnt muster up the engery to argue for a bigger one.	
Jun 29 2005	Very atmospheric	It is a few years since my wife and I stayed here, on honeymoon, but I thought it worth sharing our excellent experience. I imagine the timeless character of the place will never change.The 1930's design was wonderful and the fact that my wife was a Dorothy Parker fan made this the perfect place to stay in New York. The staff were friendly and helpful and we got the traditional free bottle of Champagne in our room which was very acceptable. The location is very convenient too.Was there any downside ? Will the room was small and a little tatty - I hear there has since been a refurbishment. The view from the window was grime and air conditioning units, however this was so stereotypical New York I quite enjoyed it. Breakfast was excellent and most atmospheric but also exhorbitant. Little did I realise that every time the waiter topped up our freshly squeezed orange juice (which was frequently) it was an additional $15 on the bill. After the first day we had breakfast at the diner next door which was very good value.I would thoroughly recommend the Algonquin for a honeymoon stay or other romantic break. Treat your partner !	
Jun 23 2005	Algonquin A++	Whenever I travel to New York again. I will make sure that I stay at the Algonquin. The staff are great and the rooms are immaculate! I highly recommend this hotel.	
Jun 13 2005	Great experience	We loved The Algonquin. Our room was very nice - yes, a little on the small side, but what do you expect from an older hotel? It still had everything you would expect, including a large walk-in closet. And quiet! We never heard a peep from our neighbors or any street noise. The staff was wonderful - we had many, many questions, and they were always extremely helpful and pleasant. Also very convenient to theatre district, Times Square, and Rockefeller Centre. Will definitely stay there again.	
May 31 2005	Great Hotel	The Hotel is exceptional, stayed at the Hotel May 14 -21 with my mom. The rooms are small, but who spends time in a room when your in NYC only but to sleep and rest before going out again. I read reviews before actually staying at the hotel and I hate to say but people some times go alittle over board on the truth. The only down fall is no vending machines nor ice machines are available in the hallways you have to call room service for a glass of ice. Last but not really an issue, the food at the Hotel is very expensive. There is a resturant call the Red Flame next to the Hotel and it's great on prices and the food is good. Over all the Hotel is a great place to stay especially with all the History it holds... Make sure to see Matilda the cat, she's everywhere... And if your visiting NYC for the first time, please experience the Subways and Metro Bus so you can get the full experience of NYC. Also this Hotel is next to everything, Broadway, Time Square... Be on the look out you will spot many Celebraties, we saw Denzel Washington, Chris Rock, Brad Garrett, Zach Braff, Aretha Franklin, Lawrence Fishburne, Montel Williams, and the cast from the View.	
May 25 2005	Wonderful Little Hotel	Myself, along with 7 other women stayed at the Algonquin May 18 through the 23. We had a great stay. Yes..the rooms are small but they are clean, comfy and room service was on the spot. The beds are to die for comfortable. We all slept like babies! The people are wonderful, friendly and always happy to help with questions from finding the right bus, subway or last minute tickets to a Broadway show. I have read that the drinks are expensive and yes its true but they are everywhere you go. The lobby is the perfect meeting place to catch up on the day, have a cocktail or even spot a celeb...Robert Downey, Jr. The location is excellent! Don't believe all of those cranky people in the reviews....I researched for hours on Trip Advisor before choosing the Algonquin and I am happy to have made the perfect choice! It is fantastic!	
May 24 2005	History and Charm	Anyone expecting a flashy grand hotel will be disappointed here, but I was thoroughly thrilled to find the Algonquin exactly what it professes to be -- a charming, old-world-style hotel amid the bustle of the Big Apple. Staff always friendly and helpful, the legendary bar is warm and cozy, plenty of hot water available, and the beds are incredibly comfortable. Yes - the rooms are small (like most big city hotels) but more than adequate in size for two people with a moderate amount of luggage. Well worth the $264 a night. And Mathilda the cat is a unique extra!	
Apr 14 2005	Wonderful Birthday....	My Son took me to NYC for my 50th birthday August of last year. What a wonderful hotel. From the moment we arrived to the minute we left a truly nice and good experience. Arrived 5 hours before check in time, no problem. Staff always helpful. Rooms nicely decorated and very clean. Nice location seemed to be close to everything. Would stay again and actually plan on it.	
Apr 4 2005	Fantastic	Just returned from a 4 night stay with my 13 year old son. We had a wonderful time here! The atmosphere alone is worth a visit. The history of the hotel has been kept but made better! The staff was friendly and helpful every time we needed something. The lobby is filled with locals enjoying a drink or meal but also allowed my son to sit and read and have a soda in the afternoon. Matilda the cat is a hit with everyone and very visable at the front desk - always glad to take a picture!Our room was two twins (had heard they were the largest) and we were not disappointed! Freshly painted - looked totally new! Comfortable beds and pillows, very clean and neat, room temperature controlled by us, bay window, lots of space for luggage and extras. The bathroom was small (stand up shower only), but with a large desk in the room had plenty of space there. No problems with hot water any time of day. Lots of thick towels (no skimping here) and robes. I can't say enough about how clean everything was from the front door to our room. I would recommend this hotel to anyone and I've stayed in some really great hotels!	
Mar 21 2005	Loved the Algonquin	Just got back from a 5 day trip to NYC. Stayed in a 2 bed suite with our 2 college daughters and their boyfriends. The bedrooms were not too small - actually perfect for two people. The couch was confortable to sleep on. The hotel has been redecorated and is very nice. We enjoyed the busy lobby and the overall feel of the hotel. The location couldn't have been better! We will definately stay there again.	
Mar 20 2005	OK but room so small...	Stayed at the Algonquin over New Year 2004/5. Hotel looked impressive and staff attentive and helpful.Food and drinks expensive.Room was very small - hardly any floor space at all. Although I was not expecting much of a view in New York it was a bit disappointing to look out of your window at a brick wall! Reedeming feature of the stay was the wonderfully comfortable bed.	
Mar 17 2005 	Disappointed	I usually stay at the Sofitel but thought I would give the Algonquin a try. I won't be returning. I arrived early evening and there was no bellman outside to help with my bags. After fighting with 2 doors, I noticed a bellman standing inside watching me. No offer of help. The rooms were nice, if alittle worn. I felt like I was taking up the front desks' time with checking in and checking out. I really wanted this stay to WOW me, but unfortunately it didn't.	
Mar 10 2005 	A Gem with History	Have just returned from a business trip to NYC where I stayed at the Algonquin for 4 nights. If you are looking for a hotel with acres of marble, flashing lights and glass elevators, this is not the place for you. However, if you are looking for a relaxed atmosphere, friendly staff and tastefully decorated rooms you should like it here. I was particularly impressed with the extremely comfortable bed, great bathroom and general all round attention to detail. In contrast to some of the other reviews my room, whilst not huge, was of a decent size. This is not a place for young children or even teenagers but is great for the over 30's! I will be back.	
Mar 4 2005	Tiny room and no hot water	I'd heard wonderful things before going to this hotel, but it seems as though the cache is all in it's history and not in the actual experience staying at this hotel.My room was tiny even by NY standards, and hadb't been updated in some time. More frustrating, there was no hot water. I let it run for almost an hour and got lukewarm. It then took nearly an hour for an engineer to show up to fix the hot water. Not a great experience.	
Feb 23 2005	Best Hotel Experience	I stayed at the Algonquin for 2 nights in December 2004. I love this hotel. I was expecting small rooms without a view, and I have no memory of its &quot;better days&quot; so I was not at all disappointed. Beautiful lobby, cozy and luxurious, helpful and friendly staff, convenient and inexpensive parking across the street. The place is drenched in modern literary history which appealed to me immensely. Perfect location for me, close to everywhere I wanted to go. I loved hanging out in the lobby lounge, drinking $15 cocktails (little steep) people watching and chatting with friends, or surfing the internet on my wireless laptop. I was a little out of place as a young guy, most guests were gentrified older couples, but everyone was friendly. Downside, our waiter was a little dismissive of me as he served my sister and I our delicious $150 dinner in the roundtable room. Perhaps I shouldnt have opened the sideboard cabinet to take a peek at what was inside, but it was right next to my seat, within arm's length, and I couldnt help myself. Huge stack of pressed white tablecloths, so you know.	
Feb 21 2005 	Algonquin's room smallest I ever stayed in	We've always enjoyed stopping in the lobby at the Algonquin for a drink after a busy afternoon. We finally took the plunge in November and stayed there four nights. We like the atmosphere, and the room was recently redecorated. But I can honestly say we will never stay there again.I asked for a bigger room and a regular tv as opposed to a smaller room with a flat screen tv. The clerk must have misunderstood me because we got a flat screen tv in a small room. In order to go from the bathroom to the doorway, I had to crawl across the bed when my husband was sitting at the desk. If the desk wasn't being used, I could walk on the floor the whole way. He was particularly shocked at the size of the room. We planned to ask for a change, but our timing didn't work out.The other thing--we dislike staying at hotels where we can't get our own ice. The first night I had to come down to the front desk, and the next night, they brought it up which surprised me because the night before they told me the person to deliver it was gone for the night. The staff was nice.	
Feb 17 2005	A Wonderful New York Memory	Apprehensive returning after the renovation, I found myself excited with an anticipation akin to a meeting with a long-ago love. Some of the reviews I had read were not entirely favorable. But I tossed caution to the wind, and I am so glad that I did. When I arrived late, the front desk person arranged for the restaurant to remain open for a delicious late night dinner and while dining brought the key to a room with a queensize bed that I had requested. The room was as I remembered, only now with vibrant colors, buttery linen, plush towels, sparkling bathrooms and a welcome, relaxing water pressure in the shower. The bed was so comfortable, I immediately fell asleep while watching the new flat screen television. Housekeeping was efficient, replacing a bulb within minutes. Room service is prompt and congenial.The signature bottled water is a charming touch and plentiful upon request. When I forgot my reading glasses at a store around the corner from the hotel, the concierge, Kevin retrieved them while I warmed myself from the February chill in the sumptuous lobby, sipping a brandy, reading one of the many complimentary newspapers and sampling a sweet. Although I did not have reservations for the Oak Room, the lovely,accomodating hostess arranged a table for me where I experienced a not soon forgotten fabulous performance by KT Sullivan and Mark Nadler. How luxurious not to have to leave the hotel for such high calibre entertainment! The location is central to the theater district,shopping and many restaurants. As a woman traveling alone, safety is always important. The front desk staff and doormen always greeted me personally so that I felt more than comfortable. At the last moment, I went to Central Park to take in the spectacular Gates, Cristo and Jeanne Claude's gift to New York City, and spontaneously bought a print which was too big to carry on the plane. The concierge arranged to have it sent to me and it just arrived!Thinking of my stay in New York, while I am reluctant to recommend the Algonquin, since I would like it to remain my special place, I truly feel this unique hotel and it's staff should be appreciated and highly recommended as the jewel that it was and STILL is. It was a memorable week, and I can only hope there will be availability for me when I return to New York	
Feb 8 2005	Favorite Midtown Hotel	The Algonquin is my favorite Midtown Manhattan hotel, and I've stayed at most of them at one time or another over the past few years. It's not the best hotel in New York City, nor even the best in Midtown, but it's my favorite. Why? Because it is most decidedly not a chain hotel, not a formula, and it's not for you if your prefer that. It is a gem of a friendly place chock full of history, and the recent renovation is more than enough to make it fastidiously clean and comfortable. The fast Internet connection should be free, but like most Manhattan hotels it's about $10 a day. The water pressure is very good, the bathrooms excellent, the towels first rate. The beds, pillows and sheets are the equal or better of the Heavenly Bed at the W -- very high thread count. Flat, thin-panel televisions in every room. Sure, the two elevators could use some help, but how many hotels have a resident feline that works the front desk? Room service is very good. New York Times, Observer and USA Today are free every day. The location is very convenient, and when you can get a good rate here it's worth a stay for the high value it provides by comparison with some high-priced competition in the neighborhood: Royalton, Iroquois, City Club, Millenium, W, Marriott, Hilton, Renaissance, etc.	
Feb 3 2005	We love this hotel!	I have stayed at the Algonquin several times in NYC and just returned from a long weekend there. The location is great, the ambiance is wonderful and we are always pleased with our rooms. Other reviewers complain about the lack of counter space in the bathrooms and while that is true, this hotel makes up for its lack of counter space by being a quaint, charming property. I highly recommend staying here.	
Jan 24 2005	Stay here only in a pinch	I have stayed at the Algonquin on and off for the last thirty years and can honestly say that it really IS coasting on a long and very past reputation. Whatever vestiges of the original charm,such as the tiny little bar to the right as one entered, have long gone in previous &quot;refurbishments&quot; and into history. She is like the old matron that has had one facelift too many.No matter how much you do to her, she's never going to fool anyone about the fact that she's had a lot of work done to her and in turn make her eventually look even older and more pathetic. This trip we were given room 611 overlooking 44th Street. Physically the room was beautifully re-decorated but so small (as all the rooms have always been) you needed to leave it to change your mind. Somehow they managed to squish in twin beds in it however and these beds were exquisitely comfortable... if one were able to get any sleep in them. We woke up to single digit freezing temperatures as we had shut off the very noisy heater before going to sleep. Problem was it wouldn't heat when started up again. We called front desk and within minutes a maintenance man came in to fix it. All fine and dandy however forget about getting anymore sleep with it on.Also the noise from the street is very intrusive even with all the windows tightly shut. I'm amazed at the poor soundproofing seeing the hotel was recently refurbished. The bathroom configuration was awkward with virtually no space for one's own toiletries. Some call it old world charming, I call it tiresome and badly planned . The staff were blandly pleasant and neither aided or abetted our stay. Having learnt long ago to avoid the ridiculous prices of the drinks and so-so food at the Algonquin, (The Red Flame diner is right next door to the hotel and is where EVERYONE goes for an excellent breakfast at more than half the price of a hotel one) we nevertheless were happy that we had only paid a very low Internet rate.It certainly is not worth more.	
Jan 4 2005	Dorothy Parker Would Expect No Less	Okay, if you're going to be near Times Square which is good because of your proximity to both sides of town and both train stations, why not be in one of the most famous hotels in the world? It's worth it and you won't find many rooms like this in NYC. The beds are extremely warm and cozy, the art on the walls all tell tales of the history of the hotel from illustrations depicting the originators of The Atlantic Monthly to hand-written poetry of Dorothy Parker to letters to his editor by Truman Capote. The bathrooms are deep, the water warm, it really has everything you need including vintage old NYC furniture that is comfortable and in unbelievably good condition. And to think you are only a few floors above The Round Table... to be so close to a round surface with simple wooden legs that at one time hosted the liveliest, most important and humorous ongoing literary dialogues in the world. If you have a large enough group, you can actually reserve that table! Positively remarkable considering this piece of furniture should be stored in The Smithsonian. One drawback: some of the help. There are the nice men and women who are the waiters and the maids. We decided some of the waiters were straight out of New Yorker cartoons. And you can't help but get the feeling most of the help has been there since 1934 and still get a kick out of each other and their job. They're not the problem. It's some of the unpleasant and/or inefficient characters at the Front Desk. Though one or two were friendly and helpful, most were snobby and seemed put upon -- as though they had better things to do. And while the day concierge was sweet as all get out, he did not, as promised, provide me with a special store he and I had a lengthy conversation about. A slightly less inocuous example of poor behavior occured when I explained to the current Front Desk man that the man from the previous evening promised me a great rate for the following night *which he truly had. The man at the Front Desk smirked, barely looked me in the eye, and said he didn't know why that happened, that gentleman shouldn't have promised me that and he couldn't help me. Then he went about his business as I stood there. At the moment, if I hadn't liked others in the hotel as much and the room, I would have asked he move my stuff out and I get my money back. His manner was postively rude and discourteous. Perhaps he was correct, his colleague should have made no such promises, and perhaps I should have taken up his colleague's offer when he put it out there, but this charming man could have handled it without being so disgustingly unpleasant. I was further underwhelmed when I discovered I had lost a piece of jewelry. Once having discovered the loss on my way to another location, I phoned the Front Desk to explain what I had missing. But after that call, no one got back to me, and it was a family heirloom. I phoned the hotel to find out about the follow up and had many short conversations that seemed perfunctory with the front desk pleading they check again with Security. But neither they nor their Security Officer has bothered to phone me to this day. Honestly, even if it were to simply say, &quot;Miss, we've interviewed everyone, there's nothing we can do. We are so sorry,&quot; I would have been disappointed but felt the proper attention had been paid. Instead I am left angry and disenchanted. Granted I was there during the holidays and no one wants to work during that time, but as long as they're there and I'm there and we are all there together, I think they could have bent over backwards or sideways or bent their bodies upwards to look me in the eyes, so as to make my stay more pleasant and prevent such a complex review. These to me though are luxurious problems. It's not like I would call downstairs, ask for tea and it wouldn't arrive within ten minutes (although everything cost a buttload -- watch out for the costs. One one minute phone call to LA cost me ten dollars). There were many moments of excellent hospitality. And regardless of my specific disparaging remarks, The Algonquin is a charming, beautiful, comfortable hotel in a good location. Just bring a little attitude in your bag so when necessary, you can throw it back to Mr. Charming Pants at the Front Desk. Dorothy Parker would expect no less. p.s. If you make ressies on line, be careful you are not quoted one rate for one evening and another rate for another evening. I got stung that way and insisted, prior to checking in, it be changed at once. They did so, which was helpful, but keep your eye on the ball. I'm positive this is common practice amongst many hotels but it's an odd practice and the ethics of which I question.	
Jan 4 2005	Living on past reputation	My group occupied three rooms for four nights over the New Year's Eve weekend. The location of the the hotel is wonderful. There is easy access to Times Square, the theater district, Rockefeller Center and shopping on 5th Ave. The staff was quite pleasant and helpful. I was very disappointed in the size of the rooms and the bathrooms. They say on other websites that they offer rollaway beds, but even they will tell you if you call that there is not room for one in the room. Even though they just finished an extensive renovation, things still seem, well, cramped and dated. Our rooms were on three different floors and none had a view of anything but rooftop and ventilation units. The beds are quite comfortable and our rooms were quiet. I think this hotel is trying to live on the reputation of being a gathering place for long-dead famous writers many years ago. I'm all for historical significance, but it doesn't make for comfortable accomodations. I think for the money there are better values out there.	
Jan 4 2005	Comfortable NYC Stay	My wife and I recently returned from a 4-night stay at the Algonquin. Since we enjoyed reading these reviews prior to our trip, I thought I would reciprocate. We were in NYC the week prior to Christmas, a great time to be in the City.First and foremost, the Algonquin is the antithesis of the big-chain, homogenous hotel. It is a relatively small, cozy inn where the traveler is made to feel welcome and at home. All of the staff were very friendly and outgoing. We engaged several of them in lengthy conversations, especially Raul (I'm certain I have misspelled his name), the food and beverage manager. As others before me have noted, it was a pleasure to duck into the relaxing lobby of the Algonquin a long day.The hotel is conveniently located and is within easy walking distance of several well-known attractions - Times Square, Empire State Building, 5th Avenue, Central Park, Rockefeller Center, Radio City, etc. There are also two subway stations within a few blocks which made other destinations within the city accessible.Our room (708) was fairly small but was clean and very comfortable. Since the room itself was somewhat tight, the lobby bar became our hangout - plenty of tables and chairs, good food and beverages, newspapers, and high-speed wireless internet service.My only critical observation would be the price of food and beverages in the lobby bar. I may have paid more for bottled beer ($7) or a simple coctail ($14) but I don't remember when.All in all, the Algonquin was a very enjoyable stay. I would consider it for our next trip but there are many, many great alternatives.	
Jan 4 2005	Like a cozy Bed and Breakfast in NY!	I wasn't sure what exactly what we would find when we arrived. I had never booked a hotel in New York before. When I searched the web, this one seemed like our kind of place to stay. We arrived a little early to a nice welcome. We were able to check in early which, after a four hour drive, was nice that we could relax for a bit before heading out for our adventure in the city. The hotel lobby and lounge area was dim lit and very cozy. We sat there and had a glass of wine and it was romatic. Our room was about the size of an average bedroom - not real big, but very nice. The furnishings were replicas of the early 1900's. The best way to describe it - it was like being in a small town cozy Bed and Breakfast. Very peaceful because it was back off the main drag, yet only a few blocks from Times Square, Fifth Avenue, Broadway, etc. Parking was right across the street which was great. When we go back, we will definitely be staying here again. Very nice stay!	
Jan 3 2005	Ambience friendly staff nice room good bed very central	Stayed 21-26 Dec 2004. Contrary to the previous reviewer, this is a delightful central hotel that exudes ambience and history and is personal and friendly. It's like being invited into someone's gracious old home. It was always nice to return to a clean, neat room that was warm, welcoming and quiet. Room 904 to be precise. Small like most NYC hotel rooms but a comfortable bed and good night's sleep. Flat screen HD TV with plenty of channels to watch when you get in really late after tramping the streets. Highly recommend it. Also, recommend checking out the shows at BB Kings Bar and Grill in 42nd St. $15 each for a two and half hour tribute to the Beatles in a cabaret environment. Fabulous. That would cost you over $80 in Las Vegas. Carmines is a good place to eat if you like HUGE meals and good drinks. The Red Flame next door to the hotel is ideal for the quick and cheap breakfasts.	
Dec 26 2004	Loved this hotel	My son and I stayed there for five nights in December 2004.We loved the newly-renovated decor, which was very tastefully done, and we found all the staff very friendly and helpful. Our room was a good size, with a large ensuite shower and a walk-in cupboard with hanging rail and iron/ironing board and a safe.We would definitely go back, as it had the added bonus of being so central, we could walk to Times Square and many other attractions.It gets five stars from us!!	
