	Fantastic hotel in a perfect location	We stayed here for 4 nights over thanksgiving. The hotel is absolutely fantastic- rooms were super clean and spacious and everything was of high quality- the bed was really comfortable and the bedding was nice and soft. Bathroom was also really nice- it was big and the complimentary toiletries were great- they were neutrogena and got replaced every day. The staff were sensational- they knew the answer to any questions we had on how to get places, where the best deals for shopping were, where to stand for the parade etc. They even had flyers for 3 different price options on where to go for a traditional thanksgiving dinner. The only bugbear was that we had someone knocking on our door and attempt to come into our room at 9am on the day we were leaving to ask when we were checking out- this just seems ridiculous and hopefully they will change this for future guests. Will stay here again though without hesitation we had a fantastic time.	
Apr 16 2008 	Still good but not as good	Having stayed at this hotel for 6 weeks before Xmas I returned for another week in April. The hotel rooms are still very clean and the overall experience is still good. The one really bright spot was the Breakfast room and this unfortunately has changed. The food is fine but the service is now poor. For the week I was there both male servers seemed more interested in doing anything else than serve customers. The only service you do get from them is the bill for the meal otherwise it is up to each individual to work out they need to order their meal at the hatch and for the cook to cook and give you your meal. Overall this is still a good value but the pricing has definitely gone up with the popularity. I would still recommend but please get new people in the Breakfast room!	
Apr 12 2008 	Great Value in Chelsea	This hotel is a great value. It is a brand new (opened Fall 2007) property, so everthing is up to date and functions properly. The rooms are well equiped and include a flat screen TV, microwave oven, refrigerator and very comfortable beds. The windows have have thick shades which keeps the light out so you can sleep past dawn. TV is hooked up to the local cable network, so you can get about 100 channels (in case you can't find anything to do in Manhattan :) ).Location is good, but not in the heart of the main tourist or business areas, which can be an advantage, since it is in a less congested area. Easy walk to Penn Station and the Harold Square Macy's; several subway stations are within couple of blocks. Adequate workout room and business center.Hilton Garden Inns are not full service hotels, so the lobby is small and the restaurant is only open for breakfast.The staff is very helpful.The only negative to this property is that the rooms are small even by Manhattan standards. This is fine if you are alone or with a significant other, but they would be a little tight for two friends sharing a room.	
Apr 10 2008	A pleasant surprise!	This hotel was a pleasant surprise. Rooms are simple, clean and spacious for New York. They're decorated very trendily too, which is a plus. Beds are soft and comfortable. Wireless was free - HUGE bonus! plus you got free bottled water as an HHonors member. Wine reception daily in the lobby. Definitely stay here!	
Apr 9 2008 	Will stay again	What a great hotel. We stayed here from April 3rd to April 7th. The rooms were very big with plenty of space to unpack luggage...a small size closet and a dresser. The in-room microwave and fridge really helped as well. The hotel was sold out so we were stuck in a handicap accessible room. The room itself is much bigger than the other rooms (friends stood in a regular room) but the bathroom does not come with a tub. It is a standing shower and water splashes everywhere. Make sure that you request a room that isn't handicap accessible (if you don't need it).The hotel staff was so friendly. The lobby was beautiful. We did not use room service but it is available. There is a gym on the first floor as well as a business center. The bed was very comfortable and the room came with an HD flat screen tv. It is also CLEAN. That was my biggest concern and I was so pleased with how clean the entire hotel is.The hotel is also very close to everything. If you make a right out of the hotel, the next street is 7th Avenue. Make a right on 7th and within 3 blocks, you are in front of Madison Square Garden. Walk a few more blocks and you are in Time Square. I suggest the pizza parlor that is on the corner of 7th and 28th and also the one on 8th and 28th. The prices of things like water and snacks at the hotel is very expensive but there is a McDonald's on the corner of 6th and 28th that delivers as well as a pharmacy on 7th and 28th.This really is a great hotel and I will stay again.	
Apr 4 2008	Wonderful Stay At The Chelsea Garden Inn	We had a very nice stay at this hotel from March 28 to April 2nd, 2008. The room was recently updated with very trendy decor. The bedding was luxuruious!! Rooms were very clean. The plus for the location was the proximity (within 1/2 block) to the 1 2 3 subway. Just a few steps and your on the subway system which will take you to Penn Station (next stop), Time Square, and Central Park. This hotel is located on 28th street right in the wholesale flower district. The streets and local shops are filled with plants and flowers! Just lovely.We had a marvelous stay and would recommend this hotel. We obtained a great price per night on Priceline.com	
Mar 26 2008 	Great Hotel	Stayed here March 12 to March 16 2008. Can't say enough about this hotel. We got an excellent rate booked through the hotel website. Hotel is walking distance from Penn Station, 5 min to Empire State building, 5 Minutes to Macy's, and about a 15 min walk to Times Square. It is right in the flower district so when you look out your window you look down on a street of colourful flower shops. The Subway is close by, and for a couple of girl's from a small city who though the subway would be confusing and complicated, it truly is the best way to get around the city! The hotel rooms are small but how much time are you really going to be spending in the room? The bed and linens were really comfortable. The only thing I was dissappointed in was the housekeeping. They changed our towels daily but they never cleaned the bathroom the entire time we were there. We are pretty tidy people anyway so it wasn't like we made a mess but the floor was never swept, and the mirror was never cleaned. They have an environmmental inititive where they only change the sheets if requested which is really great but I still expect the bed to be made and not just the Duvet to be thrown back over the rumpled sheets. If I had been paying the rate listed rigfht now on the website I would have said something, but like I said, we were barely in our room. Check in was quick and the staff was really nice and helpful. If you get back to your room and are hungry but your feet are too tired to go out again ask the front desk a good place to order pizza. They recommended a great place to us that is a block away from the hotel and has great thin crust wood-oven baked pizza. To Die for! Too bad I can't remember the name!I would recommend this hotel to everyone and if I ever make it back I would stay there again!	
Mar 24 2008	Hidden Gem- Not a grand hotel but cosy 	This hotel opened in mid 2007 but it is still unknown to many cabbies. It does not come with a lot of fanfare that grand hotels bring. It is simple and elegant and being a new hotel, it offers the crisp, neat, clean and comfortable experience.It is located on 28th between 5th &amp; 6th Aves and is a 2 min walk from the Subway. Internet is free and beds are comfortable. My room on the 22nd floor had a great view of the Empire State Building. Hot breakfast is above average. The hotel is a pricey but still below many other brand name hotels (but then hotels in NY are ridiculously priced).I forgot my laptop cable in my room. Called the hotel and they kept is for me at the front desk to pick it up.	
Mar 20 2008 	Good Quality	This hotel is new, clean and of a good standard. It's on 28th Street, a short walk from Madison Sq Gdn and Penn Station.Rooms are okay in size, not massive but adequate and good for the price. I paid 100GBP through the Hilton website.I missed having an in-room safe and the elevators are a bit slow but neither of these was a major hassle.Staff were friendly and helpful. I'd stay here again if watching my pennies.	
Mar 13 2008 	Surprisingly good hotel	I stayed here for two nights on business, booking this hotel based on previous reviews. And guess what? The reviews are correct! This place doesn't over-promise - it's not a 5* luxury hotel, but everything is clean, calm and well cared-for. My room was a good size (for Manhattan standards). It looked newly fitted-out. Bathroom was clean and new - shower had lots of power. And it was quiet at night. Breakfast was easy going and friendly. I would definitely stay here again - the $299 rate I paid was good value from a business travel perspective.	
Mar 9 2008	Great location	Great rate compared to other hotels in area. Rooms are very clean and new. Tiny but cozy with flat screen tv -nice size bathroom and very nice staff. Location is great---near Penn station-various subways lines in either direction on street ( 28th). Neutrogena products-lots of hot water and good pressure. Comfy beds.	
Feb 29 2008 	Clean and nice features	This is my new favorite for the area - the place is newly renovated so it's clean. The room has a refrigerator, microwave, flat-screen hdtv with a HD cable tv with channel guide. Free bottled water in the room, and free high-speed internet (wired and wi-fi). Printer access in the lobby. Fresh baked cookies in the evening!	
Feb 29 2008 	Perfect and Convenient!	My husband &amp; I stayed here because we were seeing a concert at MSG. It is a very short walk to the Garden and Penn Station. The rooms are not large but no too tiny either. From the window in our room, we got a PERFECT view of the Empire State Building. (That was pretty cool!) The TV is a flat screeen HDTV with loads of channels. Other posters had only one complaint about the slow elevators...we must have got lucky because at no time did we have to wait long at all..(although we were there on a weekday...)I am glad we decided to stay here!	
Feb 27 2008	Small affordable and convenient	I booked a two night stay at the HGI Chelsea through my booking system at work. I am a travel counselor so I received a great agent rate for $94.50 a night. This was my first time staying in Manhattan and I was very pleased! The hotel staff was very helpful. They were knowledgeable of the area which helped us a great deal. This hotel was clean and new (love new properties). The television featured at least 200 cable channels. We were very pleasantly surprised to discover that. The hotel is also close to Penn station which was helpful since we took the train up from Philadelphia. We only paid about $5 in cab fare for that. Our stay at the HGI Chelsea was great overall. I would definitely stay there again.	
Feb 10 2008 	Central location	Well, to summarize :- room are quite big for Manhattan, where usually hotel room are ver small- the hotel seems to be very recent or renovated, so everything is nice and clean- sympachic personnel- good breakfastHowever,my room was noisy - even on the 18th floor- street trafic wake up me a 2:00 AM the first night and, the second night my neighbour were a bit noisy. Insulation could be better. So, if you are sensitive to the noise, this is maybe not the best place. But as you might know Manhattan is noisy at any time,including night, so this is very difficult actually to find a noiseless central hotel.I might come back but asking a room even at a higher floor.	
Feb 8 2008 	Great Stay!	I got tickets to the Martha Stewart show and needed a hotel close by. This place was brand new, clean, friendly and well located! The rooms were small but had a microwave, coffee maker and a fridge. We ordered from room service (provided by a local restaurant) and had a great meal at a REALLY reasonable price. We also had their buffet breakfast - also a good price. All in all - if you want to explore Chelsea, the fashion district and shop at Macy's this is the place for you!	
Feb 6 2008 	Great Business Hotel Choice	Great new clean hotel on northern border of Chelsea - convenient to Penn Station and all midtown Manhattan. Lobby is very nice and staff extremely attentive. Rooms are typical of New York in terms of size, but lovely. I had a King Size bed, desk, flat screen tv, fridge and microwave. Free wireless and hi speed internet in room is a major plus. Hotel does have a restaurant that serves breakfast. I did not try, as Whole Foods is 2 blocks away.I will definitely stay again due to location and cleanliness. Nice hotel choice for the business traveler.	
Feb 4 2008 	Very nice Hotel	I had a very nice stay here it is 15 minutes walk from time square5 minutes from empire state building.Sometimes the staff were a bit unsure what they were doing as they tried to get me to leave a day early and were unsure about credit cards etc.The only problem with my room was the constant noise of the air con system down the hall which was on all day and night and was very loud.Overall this is a very nice hotel with big tv, very very comfy bed.Its also great that the rooms have a fridge and a microwave.	
Jan 28 2008 	A Perfect Stay	Needing a quick weekend getaway from Philly - we decided on NYC and I chose the Hilton Gardens, based on the reviews here ... I was NOT disappointed! The location was great for us, since all of our destinations were below 28th Street - so being able to walk a few blocks from Penn Station to the hotel saved us cab fare and also placed us on the 'right' side of the island. (i.e. if you're going to be spending most of your time uptown, it's still a good location but you might be able to find something closer)The hotel had a seamless check in - and the one complaint listed below (slow elevators) was NOT an issue at all for us the entire weekend. The rooms are comfortable - space to move around a bit with a nice size bathroom and a sweet HD flatscreen tv with a huge selection of channels to chose from - even a microwave and fridge are located in the room, so you can swing by any bodega and get a few things to help u cut costs on those late night snacks etc.The one minor issue was the heating system - each room has a unit and it worked great - so much so that we set it to auto and kept the room at 70 (it went down to 20 degrees at night) ... the problem was that once the room reached 70, the unit would shut off and then the breeze from outside would trickle in through the now-off unit, which would slowly chill the room, and set off the unit to heat it up again. Again - a minor thing but one that might be annoying to those a bit more sensitive to temperatures. I strongly recommend this hotel - a great space for 2 people exploring the city...	
Jan 22 2008 	All Around Great Hotel	I booked the Hilton Garden Inn based on reviews and because it was a hhonors reward stay. The entire staff was very helpful when checking in and during our entire stay. From the front desk to breakfast, everyone greeted us with a smile and was more than eager to help. They even hooked us up with a great view of the Empire State Building (room 1907).The rooms are big enough and very clean. There is full cable TV, not just a few channels and HBO. This along with a refrigerator, microwave and free Internet means they provide you with just about everything you need. The bathrooms were clean and provided a place to hang and store our personal items. The location is very good, although there is not much in the immediate area. Within a few blocks there are great restaurants, and you are only a short taxi ride away from just about anywhere you might want to go in Manhattan. It is also within walking distance to the art galleries of Chelsea which are a fun activity to do on a weekend afternoon.	
Jan 22 2008 	Fantastic Hilton in NYC	Dave: January 18, 2008Reviewer: Guest, Dallas, TXIf you're looking for a great, reasonably priced hotel in the heart of the city, THIS IS IT! Very comparably priced to other local hotels in the Chelsea area but 100 times better! A brand new hotel that offers workout facility, free WiFi, HD TV's, comfortable beds/pillows, great restaurant, 24hour pantry, microwave and fridge and even warm cookies in the evening! It's a 24 floor building, so you can get great views and it's very well insulated so street noise is not an issue. The staff was friendly and helpful, and this place was just awesome! You're within a 15min walk to Times Square, 5 mins to Madison Square Garden and close to many places to eat/drink. You're halfway between Central Park and the Finacial District, so you have easy access to trains/buses. I was staying at another hotel 1 block away that had NONE of these amenities, and this Hilton was only $50 more - and well worth it! You can't miss the facade on this hotel, it sticks out like a sore thumb in the neighborhood (in a good way!), but what a find! You'll have no regrets staying here!	
Jan 15 2008	All-round good quality - excellent value	Having not stayed in NYC before, I did considerable research to find a suitable central hotel. Most &quot;cheap&quot; (i.e. sub-$250) hotels seemed to get dreadful TripAdvisor reviews... apart from this one.So, slightly puzzled, I booked it. And was not disappointed! The location may partially explain the price: it's in a sort-of dead zone that seems to be undergoing significant rebuilding. This, despite the fact it is only a few streets away from the bustling 34th/Broadway intersection. But you're never far from anywhere in midtown, so there's no real problem with location, it is frankly excellent.Breakfast fine, service fine, rooms are reasonably large, comfortable, good bathrooms... and free Internet access! All in all, very little to complain about. Sure, this isn't 5* luxury, but it's astonishingly good value for the price. Would stay again!	
Jan 9 2008 	very satisfied with this hotel	After having read all those positive reviews here, we decided to book this hotel, too. And we were not disappointed. Rooms are big enough, even for us, a family of four, travelling with two teenagers, bathroom large, convenient to have a microwave and fridge. When we thought very hard to find negative things we found that we may have missed a safe in our room, and that one day we came back at 4.40 p.m. and housekeeping hadn't yet made the beds.All in all we were very happy there, even used the simple fitness room, and were very pleased by the extremely friendly and helpful staff. Subway on the corner, very comfortable beds, nice view of ESB!	
Jan 7 2008 	Very Very Nice Hotel - Near Perfect	New hotel with great rooms and price for NYC. All of the staff were exceptionally friendly. Really enjoyed the morning chef, he was just an all-around great guy. He would clearly say back to you what your breakfast order was to avoid any confusion, then he may even bring your food to you if the waitress was busy. This fellow made you feel as if he loved his job!	
Jan 3 2008	A good stay for the money	My family and I stayed here during a two day trip to NYC. The location is very convenient to PENN station and the subway. Since we do not mind walking, we walked to almost every place we had to go in the city.The room size was modest, but I expect that in NYC as all space is tight. However it had all of the amenities we wanted in a hotel (mini-fridge, microwave, coffee maker, HDTV, etc.). The beds were comfortable, but the soft down pillows were microscopically thin come morning (not very good for a side sleeper). The room temperature was kept to about 70 degrees even though we changed the setting to 64 (we are from New England and are use to colder temperatures in late December) so I thought the room was a bit hot.The staff was very friendly and accommodating. They quickly sent up an extra box of tissues (allergy season) when asked. The breakfast buffet staff was also pleasant and friendly.We had no problems checking in or checking out.	
Dec 26 2007 	Great Place!	Brand new hotel right in the heart of Manhattan. Convenient location. Super clean and fresh, rooms nicely sized for Manhattan. Hotel staff was friendly and welcoming. I highly recommend this hotel, you won't be disappointed.	
Dec 24 2007 	Functional		
Dec 10 2007 	Comfy and a good deal		
Dec 5 2007 	So far my favorite NYC Hotel		
Nov 19 2007	Tidy and convenient		
Nov 12 2007 	Perfect		
Nov 8 2007 	Perfect		
Nov 6 2007 	Good Hotel Bad double charging		
Nov 6 2007 	Semplicemente perfetto		
Nov 13 2009 	Immer wieder gerne		
Nov 8 2009 	buono		
Oct 23 2009 	Intachable		
Oct 15 2009 	Excelente !!!		
Sep 24 2009 	Gran dirección.		
Sep 17 2009 	????????????????		
Aug 28 2009 	Hotel centrico buenas habitaciones de espacio justo desayuno genial		
Jul 23 2009 	Excellent rapport qualité / prix pour New York		
May 2 2009 	Da non perdere		
Mar 10 2009 	Satisfaits		
Dec 19 2008 	Giudizio positivo su ...		
Dec 1 2008 	?????		
May 30 2008 	Davvero una buona scelta		
May 2 2008 	provare per credere		
Jan 17 2008 	hotel muy recomendable		
Jan 17 2008 	buonissimo rapporto zona/qualità/prezzo!!!!		
Jan 15 2008 	Ubicación Limpieza y Funcionalidad		
Jan 8 2008 	Très bon hotel		
Jan 5 2008 	Hôtel neuf donc très propre et confortable mais dans une rue très moyenne		
