	Great hotel great location!	I stayed here for 5 nights with my dad from November 14th-20th. Check in was quick and easy, we were given a room on the 10th floor with a view of the Empire State Building. The rooms were of good size, we had a twin bedroom and were pleased with the size. There was also an electronic safe in the cupboard that was free to use and the rooms were cleaned everyday. Breakfast was fine - we thought we would probably have to go out and buy breakfast as it was only continental but there was plenty of choice and always enough food to go around. It was a buffet style breakfast with muffins, cereal, toast, youghurt, bagels etc and tea and coffee which you could help yourself to throughtout the day and night. The hotel was great location wise - down the road to macy's and empire state and about a 5-10 minute walk to times square. Beware though it IS the city that never sleeps - I don't think I had a night where I slept straight through without being woken up by a binman at 3am or noisy people coming back to their hotels. Our window was also broken the first night which meant the noise was awful but the staff did fix it straight away the next day so I have no complaints with that.The hotel also sell tickets to most attractions for exactly the same price as the attractions themseleves which is handy and means no queuing!! The staff are friendly and are really helpful, they reccommended a boat trip that we didn't even know about and it was fantastic. We did all of the main attractions and walked to most of them. People are quick to tell you to get in a taxi to get everywhere when you can walk it in 10 minutes!! We walked to central park from the hotel and to John Lennon's old house but people couldn't understand why we walked the 20 minutes to get there... The only place we did get the underground to was to Ground Zero and you can walk from there to the Statue of Liberty dock in around ten minutes if that.When you get given the map everything seems really far away... but it's not. Save yourself some money and walk, it really doesn't take that long and there is so much traffic on the roads it's not worth getting in a taxi.The security over there is immense so be prepared to be prodded and poked! It's good considering everything that has happened and makes you think that Britain should be the same. For Top of the Rock, Empire and Statue of Liberty you get searched and go through metal detectors etc before you can go up, understandable and makes you feel more secure plus it doesn't actually take that long.Coming to and from the airport we booked with Supershuttle.com before we went. Excellent service, you can tip when you book (tipping is a huge thing over there and most places if you go out and eat will actually add their own tip on..then ask if you want to leave anymore!!). We shared the ride with about 4 other couples and it did take about an hour to get to the hotel but it gave us time to take in the sights and sounds so we didn't mind at all. Going home we were the last to get picked up and the ride took about 20 mins! It's cheaper than getting a taxi they have a flat rate of about $43 one way. One final thing... I have to reccommend Keen's steak house. It is literally round the block from the hotel and was the best meal I've had!! It was expensive but well worth it. Don't go around 5/6pm though all the businessmen go there for their dinner and it gets stupidly busy. We went on a Sunday and it was quiet. Lovely place, excellent staff and fab food.	
Aug 29 2007 	Great location a real gem	I just wanted to add a review for Hotel Metro to endorse most of the comments added.We stayed in November 2006 for 6 nights on our first trip to New York. The hotel is in a fantastic location with Macy's and the Empire State building very near by.The room was very clean and maid service excellent. The room was average sized with the bed very comfortable and a great shower. There were fresh towels daily and the bed was also changed every day.We found the staff very helpful and always friendly. Our in room safe was not working and within 15 minutes of reporting to reception a maintenence guy knocked on our door and fixed it. The reception staff were always willing to help with queries and booked us some tours and the airport taxi service with no problems.The 24 hour coffee in the lobby was always appreciated. We needed to ask for fresh milk a couple of times but this was sorted with a smile! The breakfast was plentiful every morning consisting of bagels, muffins and fresh fruit.The rooftop terrace looks out onto the Empire State building and is a lovely place to sit in the evening after being on your feet all day. Being November it was never busy but I bet in summer it gets crowded.We would recommend this hotel to any traveller. We will certainly be booking to stay here again.	
Aug 16 2007	Great Hotel	I stayed at the Hotel Metro for one night when I was in NYC for a concert. We chose the hotel for the positive reviews and the proximity to Madison Square Garden and Penn Station. It was only a few blocks away. I thought the price was high, but that's NYC. When we checked in, we were actually upgraded to a family suite, not that we needed it. The rooms were lovely and very clean. The bedding and pillows were very comfortable. The ceilings were high, adding to the spacious feeling of the rooms. The continental breakfast was good, with the standard mix of bagels, pastries, cereals, yogurts, coffee, tea, and juice. I would definitely stay at Hotel Metro again if I needed to stay in this part of Manhattan.	
Aug 7 2007 	thanks to other reviewers	Firstly thanks to all reviewers of the Metro &amp; other NYC hotels - we studied them carefully but decided the Metro was the most likely to suit us best &amp; I think it did.Room size is a lottery, ours 1215, was small by any standard ( except maybe cheaper hotels in Paris ) however 1214 was large as was 1209 opposite the lifts.The bathroom was minute but well planned &amp; the shower was good. Towels &amp; toiletries good. The air con was a little noisy. The room was very well appointed with top quality furnishings,spotlesslyy clean &amp; a very comfortable bed. The mini bar was hopeless beverages would have been cooler out of it. I asked for it to be fixed &amp; George displayed great empathy but it remained useless for the whole of our stay. There is a lot of building work adjacent to the hotel &amp; therefore it may be noisy at the front. We had requested a high up room &amp; were offered a choice of front or back by charming receptionist.Breakfast is cereals,fruit,yogurt,muffins &amp; bagels - all self service &amp; disposable cutlery,plates,bowls etc. Very good &amp; no signs encouraging tips.Staff friendly. Terrace bar a bit of a dissapointment - plastic glasses &amp; tacky signs saying &quot;table service only &quot;The location as widely reported is fantastic 34th str subway station is 100yds from hotel - yes on 35th Str.All day fun pass on subway &amp; buses $7 - less than the minimum fare on the London tube!! Cleaner than the tube as well. Ignore any reports of it being in a poor,rough or run down neighbourhood. Its just spoilt a little by the building work &amp; scaffolding nearby however there is building work &amp; scaffolding ALL over New York incl 5th Ave &amp; The Waldorf Astoria.it cost $280 a night which is more than we would have liked but compared to all the others that we researched it seemed to be good value certainly helped by free tea &amp; coffee &amp; a good breakfast served from 6.30 until 11.00am . Whilst Hotel was slightly more than would have been ideal everything else seemed either cheap or good value - of couse almost £2 to the pound helped.! We were there during a heatwave &amp; that may have been partly to blame for poor air con in corridors &amp; especially the lift. We enjoyed our stay , didnt mind our small room &amp; feel that we wouldnt have done any better for the price.Whilst in NYC consider an off Broadway show Tony &amp; Tina's wedding - do yr own research it wont appeal to all. we loved it.	
Aug 5 2007	Lovely Pleasant central NY Hotel	Hotel Metro on the 35th Street NY is an excellent hotel to stay.We had 4 nights in NY so we had very little time so we wanted to stay in the city.The hotel itself is very well situated from all attractions,especially if you want to pick up a HOP_ON_OFF bus terminal which is mins. away,next to empire states building.Staff were good,rooms were clean,breakfast was good,what more could one want.I could not fault this hotel,i certainly will go to this hotel again.	
Jul 31 2007 	A Good Find!	We had won a 5 night trip to New York that included this hotel.It is in a great location - you can walk everywhere! We didn't get one taxi - lots of blisters though!!! You can be in Macy's within 1 minute and at Empire State Building within 5 mins!Room was large - Bathroom small.Hotel is in little need of some TLC - it was very dissappointing that the roof terrace was closed as this is supposed to be a hi light of this hotel.Hotel bar is great for that cold beer at the end of the day!Try Keens Chop House just round the corner - fabulous!Would I return? Maybe......	
Jul 26 2007 	Art Deco and much more	My stay at this hotel was a lovely experience.Great location, friendly helpful staff and wonderful art deco decor.Free breakfast and 24 hr coffee machines are a real bonus.the rooms are cleaned daily ,bed was very comfortable and also changed daily ,another bonus.This was my first trip to NYC and if I return I would definitely stay here again.	
Jul 21 2007 	Don't go to Hotel Metro.	Room was extremely tiny. Rude staff. No one helped us with our luggage getting settled in. Has got to be the most horrible service i've had in a long time.	
Jul 21 2007 	Perfect location great customer service	I have been to New York City for four straight years and stayed in average hotels and first class hotels. My favorite was the Hotel Metro because of the staff, location, and rooms. The room was clean and spacious (suggest upgrading to the double bed size - it's large considering others in NYC). The front desk staff was very helpful and pleasant. The hotel was close to Times Square, subway and Macys. Hint: the rooftop bar was very popular, so go early and get a seat. The fitness center was clean and everything worked. I checked on different sites for rates and got different prices, so check all the resources- don't forget to empty the temporary files and cookies on your computer when you check around, the web site will remember the rates that were previously given to you and won't change unless you update them every time you go to the same web site.	
Jul 21 2007 	don't believe the odd negative review	I had a panic when I read a negative review of this hotel just before I stayed there but decided to go for it and was pleased I did. Yes the area is not the leafy Upper east side but the location is amazing in terms of the subway and Empire State. I couldn't fault the hotel and the staff were excellent and very helpful. Don't believe the negatives and go for it!	
Jul 16 2007	Loved the Metro!	My boyfriend and I stayed at the Metro in Feb 2007 for our first trip to NYC. We both absolutely loved it!! The staff were always very friendly, one in particular, the receptioninst George was always very helpful, and was always smiling and chatting. The rooms were very clean, and were immaculately cleaned by the time we got back for the night. The breakfast was nice, it was the same everyday, but there was lots of it and it was good to set you up for a day walking around the city! We are going back to NYC in November, and wanted to stay at the Metro again, but it was a little too expensive for that time at year, but I would definately reccommend it!!	
Jul 15 2007 	Would Stay There Again!	Stayed at the Metro for 4 nights at the beginning of July 07 and had a very comfortable and pleasant stay. The room was plenty big enough for us , certainly roomier than in the hotel we stayed in on our previous visit to New York , as was the bathroom and both were very clean. Great location , just a short walk to the subway and to Macys and the construction work didn't bother us unduly.Enjoyed the breakfasts and didn't see any sign of mice! The staff were very pleasant and helpful , particularly George on reception.Would definitely stay there again .	
Jul 13 2007 	Some positives mostly neutral great location	Please have patience whilst I get something off my chest - why are some of the other reviewers basing tsome of their criticism on some neighbourhood properties &amp; some of the hotel guests being of Far East origin??? I think that closed-minded travellers who wish to visit somewhere that does not contain a 'melting pot' of cultures are rather naive in choosing to visit New York. Afterall, isn't the wonderful preponderance of Minority Ethnic neighbourhoods, cultures &amp; cuisines one of the truly great things about New York?? Plus, the restaurants referred to ignorantly as 'Chinese' are actually Korean. And the rubbish that was left outside them was the same rubbish left outside every NY restaurant every night!!! OK, the hotel - not brilliant, but not bad either. Luckily we did not come across any evidence of mice at all, and may feel defirrently if we had. The hotel seems expensive compared to other US destinations, but is a pretty standard price for London for example, and you expect higher prices for NY. Our room was very small (but again we expected that) but very clean. We enjoyed the MP3 docking station/speaker unit, the breakfast was useful (toast, bagels, fruit, yoghurts, chesse, ham, cereal, danish pastries, muffins, T&amp;C &amp; juice), and the 24/7 T&amp;C was very very useful. The staff were neither friendly nor rude, they got the job done in a quiet non-chatty way - so nothing to rave about, but crucially no complaints either. The lifts were limited &amp; slow, so we often took the stairs, but again - you only have to wait 2 or 3 minutes &amp; it would arrive. We didn't have any problems with noise &amp; we thought the location was superb - v close to subway stop/Macys/Empire State Building. THe area felt very safe, we often returned at 22.00 to 01.00 and didn't feel worried about doing so- the 24 hour Korean restaurants next door help this as there is always a pretty lively crowd outside. There is a newsagents to the left of the hotel for drinks &amp; papers, the area is slightly whiffy - but it only takes you 1 minute to walk through it &amp; then you're back in the excitement of New York. This hotel is a perfectly decent place from which to see NY, it is better than 'basic' but not luxurious, the rooftop bar is still closed. If you just want somewhere to bed for the night, get a decent shower, good air con, have a cup of tea after hitting the city &amp; a free breakfast to get you ready for the day - this is it. Just don't expect huge rooms, smiley 'have a nice day' service &amp; low prices. (Extras - if you're buying an iPod in NY make sure it is actually the gB requirement you need - don't accept the sellers reassurances that 'this is 8gB' for example - especially around Times Sqaure. Bargain hard, walk away &amp; the price gets knocked down by $$$- over $150 off the asking price for a Sony camera for us. Half price ticket booths for Theatre tix are well worth it despite the wait of up to 2hrs - great seats, especially for Weds matinees - for $55. Chicago &amp; The Colour Purple were both superb - the first very polished, the latter very moving. Washington Square is wonderful for people watching, and dog watching, at the weekend. The New York Water Taxi is a great way to take a trip over to Brooklyn, ~$11 pp with excellent views of the Statue of Liberty)	
Jul 11 2007 	Loved the service	The hotel in general is great.Very clean and comfortable,a home away from home.A smile on everyones face.Great location.A whopping five star goes to the service.I forgot some very valuable item in my room but managed to get it in Texas just 2 days later.Very helpfull hotel manager.Shall recomend hotel to fellow South Africans.	
Jul 5 2007 	Fab location	We loved it here! It was a brilliant location just a block away from the Empire State Building and near the subway. The staff couldn't do enough for us.The room was perfect other than it was a twin bedded room rather than a double.We'd definitely stay here again.	
Jul 3 2007 	Great hotel at a great price and locaton 	The Hotel Metro is great! The hotel room was spacious and very clean. The bed was very comfortable. The shower was one of the best I have ever used. The location is the best, only one block from Macy's and a few blocks from the Empire State Building. The subway is on the same block as the hotel. I would highly recommend this hotel and will plan on going back there in the future.	
Jul 3 2007 	Great location and free coffee!	Friends recommended us to this hotel and we are so pleased they did. Friendly staff, clean rooms and a great location near the Empire State, Macy's, Time Sq and the Rockefeller Centre. The area immediately around the hotel wasn't great - lots of construction work so noise and dust but we always felt safe. The roof terrace was still closed for refurb although we saw little sign of any work going on. Our room overlooked the multi-storey car park so no view but clean and comfortable and the shower was wonderful! One small criticism is their strict rules over the mini-bar and fridge. We didn't put it to the test, but the info says that if you even lift something up to look at it for more than 20 seconds, it will be charged to your room! Our supplies weren't filled until the third or fourth day we were there and so we hadn't realised there should have been more chocolate and stuff. They tried to charge us but we refused and they were okay about it. You couldn't use the fridge to store any of your own drinks (even water) at all.The breakfast room got pretty full but it was a great not to have to go out to find breakfast. If anyone keeps kosher, there are two or three restaurants and a deli within a couple of blocks.	
Jun 30 2007 	Not as good as everybody says...	I, like many of you, before deciding which hotel to choose, tend to spend hours and hours on places like this finding the best hotel for the money. I read a lot of excellent reviews of this hotel and on the outside sources the hotel's website mention. So, even tough this hotel was a little more expensive than the others I was planning to choose, I decided to book this hotel based solely on the reviews I read. The hotel is not bad but it's not the wonder people tend to believe. It is located in a block surrounded by chinese/korean commerce (of course, not the kind of place like Chinatown) but just regular bars and hotels but with a an almost 99% asian clientele. The room size is good from a NYC point of view, but the bathrooms are tiny. The very first day I used the bathroom, one of the towels tray went off and it stayed there my whole stay. I didn't care for asking in the desk for its repair but the cleaning personal saw that tray broken every day and they didn't have the iniative to ask for its repair. The hotel staff is neutral, nor friendly, nor rude, except one day when the staff at the desk was rude and uninterested. The hotel is clean and the bed is confortable, the complimentary breakfast is a plus. But let me tell you that I didn't find this hotel nothing extraordinary nor charming and I doubt I'll be back again because I know there are equal or even better hotels with better prices than this one. Hotel Metro is not as good as they want you to believe.	
Jun 27 2007 	Love this hotel!!	Transform yourself into 'old Hollywood' in this beautiful, charming, not to mention economical for NYC coolest of hotels - not a chain with all the amenities of same - very special! Great location to so much. Cozy lounge - great martinis! We didn't want to leave! The staff are friendly, helpful and even fun. Our only regret was that the rooftop was closed for rennovations but from what we could see - what a view - feels as if you can reach out and touch the Empire State Bldg. Can't wait to go back for another stay!	
Jun 22 2007 	Cute but some problems	The decor is charming, the free breakfasts are excellent, our room had a walk-in shower and the staff is surprisingly friendly and helpful for NYC. On the other hand, the neighborhood is a little creepy, esp. passing by the gauntlet of garbage piled high on the sidewalks every day and night. Don't be misled by &quot;all new plush top mattresses&quot; as I was - that apparently means nicer ticking, not pillow top. The bed was too hard for me. I awoke with back pain for the first time in many years. Minibar had only coca-cola and alcohol. Storing water, fruit, or juice prohibited with an electronic alarm to enforce it. Cheap plastic cups - no glasses. &quot;Superior queen&quot; sleeping room 10'x12', bath 4'x5', pretty small for 3.5* even in NYC. Roof deck closed.Maybe all one can expect for the price in NYC ($310 weeknight) but next time I will try somewhere a little more expensive.	
Jun 18 2007 	great hotel	First time in NYC in April. Booked this hotel after reading reviews on this site. I wasn't disappointed. Excellent hotel, breakfast very good. Bedrooms great. We were in a back room, didn't have a great view but the it was very quiet. Can't wait to return.	
Jun 16 2007 	Excellent Stay	I stayed for a week on a business trip. The room was very clean and a little larger than I had expected for NYC. The room was very quiet from the outside noise,;didn't even realize I was in the city. The continental breakfast had more than just a bagel and muffin; it had fruit and yogurt as well. That was great!! Free interent was very nice. The staff was good.	
Jun 7 2007 	Perfect	Excellent quality hotel, particularly for the price we paid. Staff was quick to help us with anything. Breakfast in morning was very complete (and allowed us to stock up on snacks for the rest of the day!). I highly recommend this hotel!	
Jun 6 2007 	Quirky with Great Geography	If location's all you're after, this may be the hotel for you! The Hotel Metro is a half block from the subway and Harald Square/Macy's, and only a five minute walk from Penn Station and Madison Square Garden. It has nice thick cotton towels and free internet access during specified hours in a key-carded room for which you must procure a pass from the front desk. That's where the good points end. My major gripe was that there was a strange rustling sound, that may have been a rodent in the wall, which woke me up all night in my room. At first I thought it was air conditioner condensate dripping, or the mini bar sensor, so I turned off the A/C and later unplugged the frig. The sound persisted and kept me from sleeping much for the two nights I spent there. There was no noise during the day. It was kind of creepy and unsettling. Room 710 was average size, about 16x12 with cutouts and a small bathroom with almost no counterspace and a bathtowel-sized floorspace. I was told I was being upgraded to a king, and I thought it was all talk, until I saw the tiny rooms with almost no walking space when the maids left doors open along the hallways. Furnishings and carpet were dingy gold, brown, orange, and the fake marbled bathroom had incongruous plastic cups and thick, comfy white cotton towels. The rooftop which everyone raves about was closed, there was heavy construction going on immediately to the west of the building, and that block of W. 35th is seedy and filthy. Location is ok, but it's overpriced for the amenities and questionable rodent problem. I only stayed there because I couldn't find a room at any 4 stars+ in the city that weekend due to multiple events.	
Jun 4 2007 	HORRIBLE CUSTOMER SERVICE	The front desk staff was horrible...especially in the afternoon. The man (george) was extremely rude and unhelpful. If something happens to go missing in that hotel...good luck in getting anyone to help you find it. Totally ruined my trip. I would not reccommend this hotel to anyone.	
Jun 2 2007 	No problems great location	This was my first time booking a hotel in NYC. After reading lots of reviews for lots of hotels, some of which sounded scary, I opted for a relatively expensive, but safe bet. The Hotel Metro matched my expectations. There were no problems at all. I had a single room with a king size bed. It was small but comfortable. The amenities (bed, towels, toiletries, TV, etc.) were those of an average hotel like a Holiday Inn. The staff were professional but not particularly friendly or helpful. The location is really great, half a block from the subway at Herald Square, plus there are quite a few places to eat around the hotel, especially Korean food.	
May 30 2007 	Good Hotel	The Metro is very central. Empire State building, Macy`s very near and Penn Station and Time Square within easy walking distance and a subway station on the cornerWe found the hotel to be very clean (bed clothes changed every day). Staff friendly and helpful our room (601) overlooking an alley was a bit small. It was slightly noisy with extractor fans from nearby reataurants working all night. Our own air conditioning system worked well but was also rather niosy too. but we soon got used to it. The breakfast was better than we expected with a good choice and plentiful. Overall the Metro is a great hotel and we would recomend it to our friends and stay there again.	
May 27 2007 	fabulous!!!!	me and my wife stayed here for 5 nights in late may,ive gotta say the experience from start to finish was excellent,the hotel was clean,the staff were great and the location was brilliant. anyone who goes check out andrews coffee shop just down the street at west 35th at 7 avenue, the only moan is that the roof terrace was closed due to building work,but we will check it out when we next stay here!	
May 27 2007	Excellent - Quiet and great location	What a find. We picked the Metro on a wim out of the massive range of available accommodation in MidTown New YorkThe streets a little dingy but the hotel is a quiet and calm little oasis away from the noisy streets and bustle of the big city. The lounge is comfortable and the general decor theme is consistently smart throughout the whole hotel. The continetal breakfast is good value and the restaurant serves good value and well prepared meals each night.Bedrooms are comfortable and well maintained - though ours was a little cramped and next to a bulding siteA major selling point is the location - round the corner from Times Square, Macys, the Empire State Building and Fifth avenue	
May 25 2007 	Fantastic hotel!!!	I stayed at this hotel with my fiancee and brother for 5 nights in August 2006. To our delight we were upgraded to a 2 bedroom apartment. This was our first visit to New York City and what a wonderful experience we had! The only small criticism I have is that the internet room was a little too hot but it was free to use the internet so that made up for it. The muffins we had for breakfast each morning were delicious! I highly recommend this hotel and I will definitely stay there again.	
May 24 2007 	Just the right amount of comfort with a lot of convenience.	The Metro Hotel is right in the middle of midtown, just steps away from 34th St./6th/B'way and its subways. It's fairly priced (all things being relative in Manhattan), and has adequate niceties: a comfortable bed, a clock/radio that has an iPod dock, and clean, clean, clean. My room at least was in excellent condition. Free breakfast is nice too (as is the fact that it runs until 11am -- evenings in NYC can get late!). All my staff interactions went well, so no real complaints about the hotel. That said, it's an old building (in shiny new clothes), so you shouldn't expect rocket-fast Big Hotel elevators or heavy-duty water pressure, but both were more than adequate.	
May 17 2007	Wonderful Hotel	This is a wonderful hotel with a reasonable prices for New York City. It was very clean and well kept. The hotel staff were customer service oriented and went above and beyond to assist their customers. The location was accessible to subway and tourist transportation. I will definately stay there again. PAF	
May 15 2007 	Great Hotel*	Came back from NYC just now .....can't wait to write a review here for this great place...My mom and I arrived at around 2 in the morning ....the staff at night were efficient and took only 5 mins to check us in..I heart their 24 hour coffe/tea service...since there are no convinience store near the hotel..Didn't get to go on the sun deck since it was under construction during the time of our stay........Macys, victoria secert, forever21 etc are just 30 seconds away from the hotel ....and Korean town is just 2 blocks down (They got yummmy food)...Subway Stations are around the corner....highly recommand and would definitely stay there again....	
May 9 2007 	Fantastic stay at Hotel Metro	Stayed at the Hotel Metro for 4 nights on honeymoon at the end of March 2007.Great hotel-no complaints at all! Couldn't have asked for a better location, 2 minutes away from Macys and 10 minutes walk from Times Square-everywhere is easily accessible from the location.The hotel itself-we always found staff to be very efficient and helpful, the room was small but fine otherwise with decent shower in bathroom. We had requested a room at the back which was great as it was very quiet and we were able to get a good nights sleep every night!Breakfast was also fine, always plenty to choose from and the 24 hour coffee/tea facilities is a great idea.Overall would highly recommend the Hotel Metro for travellers on a budget but who don't want to make too many compromises!BTW-would also recommed the 2-day hop on-hop off bus tours which can be booked at reception-really resonable price and you get to see so much more of NY than you would on foot!	
May 6 2007 	Best Kept secret	Great Place to stay in new york.Stayed here about 4 times now. Never had any complaints.Staff are freindly and very helpful.Rooms are excellent. a bit small. but you are in new york.All rooms are refurbished. So everythings new.Nice comfy beds. Brerakfast included. Tea &amp; coffee free all day in reception.Fantastic location. 100 yds from Macys. Times sqaure just around the corner.Dont bother trying to find a better hotel on a budget. This is the place to stay...	
Apr 29 2007 	Great location great breakfast	My husband and I stayed at the Hotel Metro in late April, 2007. We loved it. We were initially put in a smoking room, but our request to change to a non-smoking room was immediately granted. The new room was very small but at least it didn't smell like smoke.The room we were in seemed to be recently renovated, the carpet was new and fluffy. The bathroom was marble. The shower was great - high pressure and no waiting for hot water.There is free high-speed wireless, and a safe. While we were there, our clock radio was switched out to one with mp3 hookup - nice touch! Too bad I didn't bring my ipod.The best part was the location - near Macy's and the Empire State building. Very central regardless of where you want to spend your time in Manhattan. A subway stop is a few steps away.The continental breakfast was free, fresh, and good.Overall, I'd recommend this hotel, especially for the price.	
Apr 28 2007 	Great Hotel	Excellent location and the complementary buffet breakfast and 24hr availability of coffee and tea was a real bonus. Did some research on hotels in this area before booking, and this hotel did not disappoint. Its location is superb - 5 mins walk to Macy's and 20 mins walk to Times Square. Staff were friendly and the room was clean and relatively spacious (superior queen bed size) and came equipped with iron, hairdryer and safe . Not much of a view from the rear of the hotel but if you're not used to the constant hum of traffic all night long its probably the best side to be located. The roof terrace is currently being refurbished and the gym is well equipped. Tip: If you are travelling by road to reach JFK and you leave between 3.30 - 4.30 - rush hour, allow at least 2 hours to reach the airport!!.	
Apr 27 2007	our stay ...	Location,Location, Location... couldn't have picked a better hotel location for a first vist to the big apple. With macys at the end of the road and empire states building around the block and a 10min walk to times square, you feel right in the thick of the action. Hotel rooms, as previous reviewers have stated, are fairly small but adequate and very clean. Our safe didnt work and reported to reception would of sent a man to repair but used receptions instead. Bathroom was tiny but again clean and adequate. Lifts were abit of a pain, we went week after easter so hotel was not to busy but still had to wait a few times so would imagine its a right pain in peak times!! Didnt get any noise in the room thought, I think we were on the back on the hotel, with a great view of a multistorey carpark, but wasnt there for the room view so didnt bother us. Was abit gutted as the roof top terrace was closed for repairs so missed out on that. :( I must mention the metros resturant next door. Excellant service and food and relativley cheap and hotel guests get a discount, bonus! One of the best things about the hotel however is the breakfasts. Great selection of bagels, bread, croissants with soft cheese spreads, jams , butter etc.. with tea, coffee and fruit juices too boot, and being a tea belly was grateful of the allday tea and coffee service.Sadly I have to mention the poor service from hotel reception. I found them quite rude at times and stopped asking for any advice from them, didnt spoil the stay but better service would have made it a great hotel instead of an above average one. Must try harder!.p.s please try a steak at brendans ( opposite hotel) truely great !!!	
Apr 24 2007 	Fab Location and Great Breakfast!	It was my first time to New York and I absolutely loved this hotel.The location is fantastic- within spitting distance of Macys and Times Square. The rooms are quite large and are very clean and comfortable. We had a nice bathroom and walk-in closet plus ironing facilities, mini bar and snack basket.The breakfast in the morning is one of the best bits- I can't believethey throw it in for free! Loads of fresh tasty muffins and bagels aswell as bread, spreads, pastries and cereals. The hotel also does comlpimentary tea and coffee all day long- another bonus!Another great feature of the hotel is its rooftop terrrace. Here you can enjoy the view of the city including Macy's and The Empire State Building. t's a great suntrap and they even open up a bar at certain times of the day. Next to it is the indoor gym and there is also a handy drinks vending machine and ice machine.I would definitely stay here again.	
Apr 21 2007 	Unresistable Location (less than $10 cab fare to almost anywhere in the city)	Hotel Review:1.LOCATION: This hotel is one block from Macy’s (Harold Square), which is known to be the largest store in the world and contains just about every designer you could ask for. Therefore, the location is amazing for a first time to New York traveler. Also right around Harold Square is a Victoria Secret store, many other chain type stores, and even a Daffy’s (which is great to find bargains and little treasures.) If you wake up in the morning you pass by a donut and pastry cart on your way, and in the afternoon on your way back you pass by a hot dog and sauerkraut stand. That’s hard to beat. You’re also only about 8-10 blocks from Times Square, which many tourists like to at least see during their visit, and only a few blocks from the Empire State building.2.VIEWS: Although some rooms have beautiful views, our room had a view of a multi-level parking structure. I realize its New York, and there’s not much they could do to avoid that view, but luckily we closed the curtains and only heard a car alarm go off once.3.ROOMS: The rooms have comfortable beds unlike many hotel beds. I did not wake up sore once. The rooms have everything that you would need in a room and are perfect for any tourists basic hotel room needs. The only complaints about the rooms are that the walls are very thin and disturbing other guests or being disturbed is likely, however we were so tired by the time we got to our room each night that it never bothered us personally. The rooms also lack wireless internet and full length mirrors. Also, make sure to put the privacy sign on the door, as my brothers room was walked in on around eight in the morning by a male maid which his wife wasn’t very happy about.4.CONTINENTAL BREAKFAST: I don’t know how you could ever complain about this part of the hotel. The breakfast lobby is beautiful with multiple couches, a fireplace, flat screens and the lounge itself is always open to sit in with coffee and tea. In the mornings they constantly refill the selection of items so unlike most, all the good stuff isn’t gone if you’re a late riser. Also, the quality of food is above most. There were about 10 different types of “Costco” style muffins (if you are unaware of this analogy, they are the really big fresh ones, not stale little things.) They also provided a selection of bagels and Philadelphia cream cheese, little cheeses, pastries, a selection of yogurts, fruits, hot chocolate, cereals, and juices.5.SECURITY: We got in late every night and there was always a man at the desk and a security guard on the couches just keeping tabs of everyone. He kept a good eye on everyone and remembered the guest if you asked him. I was very impressed on how well he payed attention to the comings and goings of the hotel.Overall, this hotel might not be the trendiest but it is modern and stylish. It also may not be the most luxurious but it does have comfortable beds and some really great amenities and rates. I would stay here every time I return to New York, unless of course I wanted something slightly more expensive/romantic. Other than that, this hotel works for a variety of people. We’re in our late 20’s and my mother is 60 and we all loved this hotel equally and wouldn’t ever feel the need to stay elsewhere.Cheers and travel safe.	
Apr 20 2007 	Fantastic stay	We boooked this hotel on the internet, something which is quite new to us (mature couple). We arrived and recieved a very warm welcome and were told that we had been given a room upgrade. The reception staff were really efficient, and when we mentioned we would like to go to a jazz club that evening, they offered to find out about some clubs for us and would check them out for price, availabillity etc. They said they would ring our room when they had details, this they did very quickly.We couldn't fault the room, it was great, spacious and very clean. The breakfast was plentiful the only thing which could have been a problem was the size of the lounge at peak times - but then you could have taken breakfast to your room. We didn't experience any difficulty.Oh and the coffee being available 24hrs a day was also great.All in all a great place to stay, we would certainly go back again.	
Apr 20 2007 	It is a good location but is it worth the money?	Only stayed one night between coming in from Boston and travelling out to Long Island but that's enough time to form an opinion. Check-in was possible at mid-day - which is a plus. Buffet breakfast was OK. All staff met were friendly. However, it was quite a lot of money for the room quality - a recent stay in Toronto at a five star cost much less! For a central location, it is ideal though as a previous reviewer has mentioned it might be worth paying a little more for something much better!	
Apr 20 2007	Excellent experience	This hotel was very updated and very clean. The room was also very spacious. We had stayed here for a wedding and the next day we could walk to see the Empire State Building, that was great. We would come here again.	
Apr 18 2007 	Great Value for New York	Stayed 2 nights April found the hotel to be very friendly. We arrived at 8.30am just expecting them to store our luggage which they did no problem but also told us to go ahead and have breakfast which is a very good extended buffet served in a lovely lounge The bedroom was clean but small and very noisy being at the front of the hotel. The safe did not work they did try to repair it but they do have safety boxes at reception no charge for them The friendly staff and breakfast make this hotel an ideal stay in New York not to mention the great location  We travelled from JFK to Penn Street by Airtrain and Metro from Howard Beach $7 each walked from Penn Street to hotel Metro	
Apr 18 2007	Not bad free for all at breakfast time.	A great position, near subway, Maceys etc - ideal for nipping back to whilst you are out and about. There is even coffee available 24 hours in the lobby area.The rooms were ok. Our's was on the 12th floor and a little pokey and 1980's but lets face it you're hardly in the room at all. The staff were ok, cannot say much about them as had little contact. . My only warning to you is watch out at breakfast time. Peak breakfast time was about 8-9am and there were not enough chairs, people were standing to eat their crunchy nuts - bizzare! We were there at peak time - Easter, but still. In fairness though, a clean and well run hotel. All in all pretty much what you would expect for your money. The city itself however! Fantastic.... Book Up!! Happy Holidays.	
