	Welcoming Staff!	The reception staff was very welcoming and very helpful even in the late hours of night. The hotel is nice, very well located. The room was basic, a bit small with very basic furniture. The bathroom however is really nice with multiple amenities. Breakfast during the week end is really good, on weekdays however there is a limited choice but you can always ask the staff for hot food.The only negative comment is the hours of opening of the bar. It closes on 11 pm on a Sunday.	
May 31 2006	Fabulous Trip	This has got to be the best hotel I have ever stayed in. Don't listen to any of the negative reviews above. My husband and I stayed here for two nights to celebrate our 10th wedding anniversary. We paid £360 which included 2 nights bed &amp; breakfast and dinner on the first night, which was a very good deal. (I did hear that some people were paying £215 room only excluding vat, which I thought was a little excessive). Everything about the hotel was luxury and exceeded our expectations, the staff were very friendly, food was delicious, room was modern/very clean, I especially liked the roof terrace with stunning views. The hotel gave us a free bottle of wine on arrival in our room and congratulated us on our anniversary, which I thought was a very nice touch.	
May 28 2006	Fabulous	My wife and I recently spent 6 nights at the Trafalgar. Everything was excellent: location, room, service, food.Don't let the negative comments about the noise and the service dissuade you from staying at the Trafalgar. We're in our 50's, not the partying type, and still had a wonderful experience. The hotel was the headquarters for the Gumball Rally 3000 during our stay. The hotel contacted us in advance and offered to move us to the Waldorf, explaining that there would be an all night, noisy party. We declined their offer and did not regret it. The view from the bar on the roof is awesome. A panorama of some of London's best sites.As for the service -- the staff went above and beyond in making our stay pleasant. Several of the staff -- all quite young -- would check with us on our way out, offering suggestions on where to go and what to do. And on our way in they would ask us what we did and how our day was, occasionally riding up the elevator with us to continue the conversation.Expensive, but well worth it.	
Apr 20 2006	Excellent Experience at the Trafalgar Hilton	My wife and I stayed at the Trafalgar Hilton from April 14 to April 20. The experience was excellent. The Trafalgar Hilton exceeded my expectations. Simply put, these are the pros of staying at the Trafalgar...1. LOCATION, LOCATION, LOCATION: Located right on Trafalgar Square, the Trafalgar Hilton was within walking distance to Trafalgar Square, National Gallery, St Martins-of-the-Fiends, Parliament/Big Ben/Westminster Abbey, Piccadilly Circus, Carnaby Street. There is a London Underground station right the street from the enterence of the Trafalgar Hilton (Charing Cross - Cockspur Street enterence) You are literally in the heart of central London. There are also several restaurants/eateries nearby.2. Friendly and attentive staff: The staff was friendly, professional, helpful and attentive to our needs. Never rude nor aloof. They took care of our needs from helping to carry our baggage and hailing cabs to converting money and handling postage. 24 hour room service is also a plus.3. Attractive hotel/rooms: The hotel is ultramodern and this may not be for everone, but I enjoyed the decor. While a tad minimalist, everything was sleek, clean and cool. The rooms has all the basic amenities one would expect (toiletries, hair dryer, iron/board, internet access, TV/radio/clock, amble lighting, minibar, stationary, bathrobes &amp; slippers). Even the newspaper (The Times) was delivered to my doorstep daily. The rooms are clean and pleasant.The only Con I can say against the Trafalgar that prevents it from getting a perfect score was that the reception/consigere desk was in the midst of a restaurant/club with somewhat loud music. However, I didn't have any problems with it, but some people might.I can wholeheartedly and honestly recommend the Trafalgar Hilton to anyone staying in London who wants to be in the center of the action!-- Esper	
Apr 13 2006	Way cool	This is not your typical Hilton and that is a good thing. The attempt at being young and trendy seemed to work. As fiftyish Americans who had just schlepped their bags all over Europe and weren't feeling the least bit fashionable I was prepared to feel intimated but they could not have been nicer. We were first given a room that was directly over the bar. Fortunately there was some construction noise going on in the afternoon and when I complained they were very nice about moving us up a few floors. If we had stayed in that room it would have been a disaster as the bar got quite loud at night. The staff was attentive and helpful at all times. The breakfast was good, they got us a cab to Victoria Station when we needed to leave, the location was perfect. Definitely recommended.	
Mar 26 2006	Excellent service and perfect location	I too was a little worried after reading past reviews of this hotel - it was a surprise for Mother's Day and wanted everything to go well...and it did, the staff were excellent, service very friendly and attentive, could not fault it at all. The rooms were a great size, especially for London hotels, and the breakfast was a feast. I think things must have changed since some of the earlier reviews as in my opinion this is a great hotel with a superb location and a very friendly and efficient staff, nothing was too much trouble. I would have no doubts about staying here again or reccommending it to others	
Mar 14 2006	Loved the 'whole thing'	I stayed at the Hilton with my friend and younger sister. Well we had the time of our lives!!! It is in a great location and I wouldn't have swapped the weekend for the world. Ok, it doesn't have the best reception, but bare in mind hotels these days try to have the more 'modern' look. The service was great, everyone was helpful. The bar was very LIVELY in the evenings and had a good atmosphere!!Although we were staying in standard rooms, we were very impressed with these. The rooms were clean, smelled great and all in all to a good standard!! We had our bathrobes and slippers waiting for us when we got there. They left complimentary lipbalms/resting creams on your bed with a little card. We chose which newspapers we wanted in the mornings etc. It was really nice...!!! WE stayed there for 2 nights.. Had breakfast at the Hilton!! I have to say I was very impressed with the selection for brekkie.. only quarm would be, the scrambled egg was more like porridge!! but nonetheless, it was a great weekend and we thoroughly enjoyed our stay. If you like the whole clubbing/eating out scene, then this hotel is ideal for location!!!	
Feb 27 2006	loved it	My wife and I booked two nights 24th feb untill the 26th the deal included dinner for 2 on the first night and breakfast for 2 on the following 2days.I must say that we were a little apprehensive about staying here after reading the other reviews our fears turned out to be tottaly groundless, from the moment we arrived untill our departure it was first class .We had booked a delux room and with the opition to E-mail prior to our arrival we requested a high floor room with views of Trafalger Square all our requests were met in full.The room was super large,very well fitted with large TV DVD Audio system and Mini Bar,the bathroom was superb large bath walk in shower and large bottles of all the gels and bath creams you could need.we decided to have the included meal in our room and it only cost us £5.00 for this service,and the meal was 1st class as was the young lady that brought it two us .On the Saturday morning we had breakfast in the dinning room and again it was 1st class everything you could want was laid out in a very comfortable fashion.On Sunday we decided to have the included breakfast in our room and what a breakfast fresh fruit, porridge,cooked breakfast fresh jucices and much more ,the whole deal including the extra sevice charge and newspapers cost a mere £379 .My wife and i have spent many weekends in london Friday to Sunday at the Horseguards and the Thistle trafalger and we must say this was the best of the lot ,great postion super room and a very friendly staff who looked after our every request with no fuss I would stay here again and would look forward to it	
Feb 18 2006	Who they trying to impress?	Firstly, this place isn't cheap. On the last two occasions I've stayed, the rate was around £240 / night. Even in London this is expensive.I stay because of the location only. Despite having a home in West London, I get an extra hour in bed if I have a meeting in the West End! and an excuse to have a night out beforehand.The staff can be very helpful, although on occasion treat guests as a distraction to their standing and modelling routine.The rooms are OK, althought the bathrooms are a triumph of style over common sense. Expect a very wet floor.The prices can kill. Room service breakfast (average at best) is over £15. The previous evening's bar tab for two people (a few of brandies and cocktails) was £100. Location is great though. That's the ONLY reason to stay in my view. The Dorchester isn't much more expensive and it feels like a proper hotel.The bar looks cool and trendy - but in rbarreality it's not much more than a noisy, albeit &quot;aspirational&quot; hang-out for local office workers.	
Feb 3 2006	Who is this place for anyway?	I had booked 4 nights here which included 2 free nights using a whopping 80,000 Hilton Honors Points I'd been saving for 10 years. What a waste of these points! I still feel sick about it. The location is fantastic for sightseeing but there are many hotels in this area. The Trafalgar is right on Trafalgar Square, kind of the &quot;Times Square&quot; of London. We were across the street from the Academy of St. Martin of the Fields. We could walk to some of the biggest attractions in London, including Buckingham Palace, Westminster Abbey and the London Eye. When we first arrived at the hotel, it was difficult to find the entrance since the main entrance looks like the entrance to a bar. The front entrance is unattended. There is no real front desk. There is a table in a darkly lit part of the bar. There was a young ice maiden looking young Russian(?) fashion model type woman working at the &quot;table&quot;. She just stared at me as I approached the desk. (No hello, no &quot;welcome to the Hilton&quot;, no nothing.) I gave her my reservation sheet and politely asked for a room with a view of Trafalgar Square if available. Even though the hotel seemed empty for most of our stay, there was no view room available. She showed me a room on the 2nd floor that she called a view room, even though there was only a view of the building across the street. AND she said we couldn't have it for &quot;free&quot; but would have to pay a supplement of 50 pounds. I declined. The fashion model/desk clerk said that they were putting rooms aside for their New Year's Eve packages so she coudln't offer me anything else. This was December 28. I never saw this event advertised nor was I invited. Why wasn't I invited? Our room had to have been the worst room in the hotel: small, in the back, overlooking a brightly lit 24 hour parking garage and an office building. I pleaded for a better room so she swung the computer screen at me and said &quot;Look, do you see an available room? You're a blue Hilton Honors member. If you were higher I could give you a free upgrade, but you're not.&quot; When I pointed out that I'd been collecting these points for ten years she just ignored me. When I asked if there was a newspaper in the morning she acted exasperated and asked which paper I wanted. When I asked which ones were available she acted really annoyed and let out a breath. Which one did I want? they have many, even American newspapers. Did I mention that we were the only people in the lobby? It wasn't like I was holding up the line. What was the big rush? I took the card key and began to walk to our dismal room. (Jet lag setting in or I would have fought a little harder to stay out of the lowest level room that the desk clerk kept calling the free room) As I left, the fashion model/clerk mentioned that the restaurant was going to be closed while they got ready for their New Year's Eve Party that was to take place in 3 days. I turned to leave for my room when the fashion model/desk clerk acted panicky and said, &quot;Wait, I'll get someone to take your bags.&quot; Since we each had just one suitcase on wheels I didn't see the point and just kept walking like I hadn't heard her. The elevators are so dimly lit I had to squint to find which button to press. One elevator is lit pink, one is blue. Great, what's the point. The hallway of our floor reeked of room deodorizer. In the room, there were 2 large wardrobes instead of closets. They were too large for this small room. the room is very plain--wardrobes, bed with duvets, desk and chair. I think they're going for minimalist/modern. The card that maid service left on my pillow said the Trafalgar is &quot;stimulating, fun, easy, relaxed, straightforward and natural.&quot; The Trafalgar is what is called a &quot;lifestyle&quot; hotel. It's trying to be cool, like the W hotels if you like them. For instance, instead of light switches there are light buttons. Instead of a &quot;Do Not Disturb&quot; door hanger, there is a &quot;Do Not Disturb&quot; magnet. I couldn't figure out where to put this magnet, since the door was wood. I ended up hanging it loosely from the door knob. Only later did I see the metal strip outside the door jamb, on the wall in the hall. Another &quot;lifestyle&quot; touch is the modern bathroom. There is a huge sink with no counter space. There was a narrow rim around the sink to place toiletry articles. Everything kept falling in the gigantic sink. The shower/bath is another odd touch. The drain is in the center of the tub instead of in the traditional spot at one end of the tub, under the spout. So, when you shower, you're constantly stepping on the plug and closing it and it is difficult to reopen. The shower quickly starts filling with water. The modern tub has a rim around it that collects water that doesn't drain. It was disturbing to see that this rim is filled with black mold. So on one side of the tub the water sits and mold grows; on the other side of the tub the water runs all over the floor since the curtain doesn't close all the way at one end, no matter what you do. The corner behind the toilet was filled with water for most of our stay. The thermostat is also &quot;modern&quot;, it doesn't have temperature settings, it just has a range from +5 to -5. I never figured it out. In the morning I thought I was sick with a fever, but it was just the +5, -5 thermostat set on the wrong setting. There was something wrong with the remote for the television, maybe just a low battery. At 5 am I was woken up by my free newspaper slamming against the door each morning. I checked out after my &quot;free&quot; days were up. If I hadn't, the rate would have been $275 a night. I wasn't sure what kind of person would live this Hilton Trafalgar lifestyle. Sitting in the nearly empty bar drinking $15 martinis and listening to old throbbing loud rave music. Who is this hotel for? Walk past the check in table and there is the staff in their cool black uniforms, staring at you, trying to figure out if you're a guest or a transient? I'm from San Francisco and was part of the whole dot com craziness here. I know how to be cool. This place is just bizarre, the hospitality non-existent, the food, well I never found the restaurant so I don't know but one thing is for sure, this place is definitely not cool.	
Jan 28 2006	Different...	You will either love or hate this hotel. No middle ground. The whole place is very minimalistic. Everywhere in the public areas is black, grey, beige or brown. The only colour to be seen is in the couple of flower arrangements on display. The check in area is just strange. An awkward sideways facing desk that seems to have been added to the bar area as something of an afterthought. Whilst on the subject of the bar, it does seem to get very lively, and very noisy. Our room was on the fourth floor and we could hear the dull thud of the music downstairs, not enough to interupt our sleep, but it must have been very intrusive for those on lower floors. If you want peace and quiet, request a high floor room! The room we had was, as you would expect, very minimalistic. So minimalistic in fact that they found it unncecessary to put handles on the wardrobes! The DVD player and mini hi-fi are a nice touch. The bathroom was perfectly functional but not particularly noteworthy. Just a note about the mini bar. Dont even think about it! £5.00 for a coke is just blatant profiteering even for a central London hotel.Breakfast was taken sitting in a black chair at a black table in a room with dark brown walls, bare concrete columns and minimal lighting. The food was acceptable, but very very expensive.Some will love this hotel because it is very diffferent. Personally, I found it dark, dull, dismal and depressing and I couldnt wait to get out of the place!	
Jan 3 2006 	Worst Hotel experience ever. Beware	I have travelled the globe on business/pleasure largely without incident. I made a reservation at the Trafalgar on a friends recommendation. I arrived at The Trafalgar for a 3 night stay whilst on business in London. After finding the check-in desk (not obvious) the girl looked at me and said &quot;I don't think you will be staying here tonight.&quot; And that was it. I repeatedly asked her what was the problem and showed her my reservation, but all she would say was that I had to wait for the manager.The manager arrived after about 15 minutes. I meanwhile stood with luggage in the bar/reception area. When he finally arrived he agreed that I had a reservation, but said there had been a mistake and I would have to stay at another Hilton a few miles away. They offered to pay my taxi fare. I was transferred to the Waldorf Hilton. What a disgrace. They showed me 4 rooms, all of which were horrible. I left and went to The Metropolitan. I will never ever stay at a Hilton Hotel again. Beware as a confirmed reservation is meaningless.	
Jan 3 2006	Regular's view of the Trafalgar	Hotel: Hard to find -even cops on foot beat couldnt find it! Kudos to the hotel for honoring public space by staying traditional (noncommercial) on the outside. Super minimalistic atmosphere. Newspapers free in lobby daily. The location though is A++...high rent area for sure.Room: Bathroom is modern design, with shower and bathtub. Toiletries are very nice. TV comes with a DVD player, so you can rent videos nearby at an affordable price. TV has adequate channel selection, but could be better considering the price of the hotel. Bedding has high threadcount and mattress is soft. Room is very big for London standards. Walls need to be more insulated, as you can hear your neighbors clearer than desired. I couldnt understand everyword my neighbor said, but knew when he was talking. Double pane windows keep most (but not all) noise from the street. I stayed on the square side and could still sleep. If you stay on a lower floor, the bass from the DJ music will percolate up to your room. Drapes do better than average job keeping light out of the room.Food: expensive to American standards. Breakfast is $$$. Tapas only served in the restaraunt &amp; will set you back $100 per person for dinner (no wine either!). The bar is classy and modern with a DJ playing house music. Only two types of beer offered though. Rooftop lounge is in urgent need of updating, but is a must at least once if you stay here. The minibar is expensive too - go to Tesco just down the street instead.Services: I only used dry cleaning, but they did a quick good job and returned the clothes in a zippered liner. Staff downstairs is nice &amp; helpful, although the hotel has hired Eastern Europeans learning english and does not yet understand what 4-5 star hotels really stand for. A variety of magazines come with your room, but the maid threw my personal magazines out when updating the monthly periodicals!Price: expect to pay 15% more for this hotel versus others. Since you should not rent a car in London, perhaps the money can be used on the room. I have stayed at the hotel numerous times, and the riff-raff is non-existent. If you are elderly/traditional, stay at the Leicester Square hotel instead!	
Dec 16 2005	Showplace Fabulous but Beware	We booked four nights through Hilton Honors points. The room we had was roughly 300GBP a night so getting it FREE was wonderful. The bed, room, bathroom and bath products were superb. Because I am a Hilton Gold member, we were given free continental breakfast everyday (15GBP each) in lieu of a room upgrade because they were full. The breakfast was GREAT but I would have not paid for it.The location - right on Trafalgar Square -- is perfect for being in the center of London!Staff were friendly, especially the fellows at the door. The lobby is not a lobby but a bar. One night there was a private event and it felt awkward passing through the curtained off areas. There is always music and Londoners stopping in. Great for people watching but not your typical lobby atmosphere.Prices for mini-bar, drinks and extras are high so be careful. We walked two blocks to Tesco and purchased beverages, water and snacks for the room.The warning: the walls are very thin with no soundproofing. If we would have had noisy neighbors this review would be totally different. One night, the fellow in the room next door had a meeting with a business associate. Every word came through the walls clearly. I was thrilled when I heard &quot;See you in the morning...&quot; and the meeting was over.The music from the bar does filter up ever so slightly -- we were on the third floor. If you are at all sensitive to noise, ask for a high floor.I think I'll try some of the other Hiltons in London next time. For TRENDY, happening and atmosphere, this is one to try.	
Dec 15 2005	Great Hotel / No Organisation	Great Hotel in a fanatastic location. I still think this a is a great hotel that is not like any other Hilton. I stayed here 2 years ago and it was fantastic. Now it's dissapointing due to its staff. They are providing average to poor service in a fantastic hotel. This is very frustrating. I took a group of 58 people to this hotel so have heard much feedback. Breakfast took forever, I can't write about experience as you would be bored. But the hotel has many staff with no one really in charge and no one taking responsibility. It's a shame!	
Dec 9 2005	brilliant!!!!!	My husband booked a room via the net,within minutes they had mailed us a confirmation!Check-in is at 2pm,we arrived at 9am....they organised a Rush clean of the next available room.During that time we went to Harrods,they phoned us on our mobile at 12pm to let us know that a room was clean and available!Without asking, they had already made up an aditional bed for my 5yr old daughter!The service was incredible!Lovely room and very friendly accomodating staff.Unique,funky lobby!When my bank balance can afford it....We will be back.	
Dec 9 2005	great location	We stayed at the Trafalgar because we were visiting my daughter who is studying in London and the hotel is only two blocks from her classroom building. The location can't be beat.Right on Trafalgar Square, right across from the National Gallery, a short walk to theaters and restaurants. The hotel is a little different and I was worried after reading some of the reviews on this site. We had a great time with no problems. The staff was friendly and greeted us by name beginning the first day. Our rooms were on the first floor and even though the bar was closed two nights for very loud parivate parties with loud music - we didn't hear a thing up in our rooms. One room was free with points and it was nice sized. The other room was a paid standard room with breakfast included and was much bigger. The breakfast, if not included, is ridiculously expensive, so only 2 of us ate each day. They also tend to make only one trip to the table with coffee - never a refill, but very nice polite young staff. Hot breakfast was 40 GBP! We just bought rolls and drinks at Tesco express 2 blocks away, or &quot;Pret&quot; is right next door with coffee and sandwiches and salads. The bus stopped right outside the hotel, but we were able to do lots of walking too. We ate at &quot;Galileo&quot; a few blocks away, reasonably priced Italian, pretty, lovely with delicious food, after a play at the Haymarket, also a few blocks away. We ate at &quot;W'San&quot;, recommended by hotel, the first night, a short walk, good, a little pricey, but nice. We ate at (know I'm misspelling it) &quot;Hakassan&quot;, also recommended by hotel. My family loved it, but I was horrified by the prices and was searching the menu for something to order that was reasonable, and left hungry and with sticker shock. But I guess it's supposed to be a &quot;fun&quot; place. All in all a great choice of hotel for us because of the location. Our only problem was that twice our young adult daughters were hassled by the staff when they attempted to enter the hotel and told there was a cover charge (because of the bar / lobby), and they weren't quick enough to believe that they were guests. But all in all, a really great trip.	
Nov 20 2005 	Good Hotel Great Location	This hotel obviously has a great location, although from the outside just looks like you are going into a bar. It's very contemporary and you really get the London vibe.The standard rooms are very nice with an extremely comfortable bed and pillows. The bathroom was great too and there were a good selection of magazines in the room.Breakfast and room service is very expensive (it's the Hilton after all) but there is live music all the time to compensate. Staff were friendly, but not the most efficient.Overall a nice experience, even nicer as my company was paying. I would not stay here again, not because I didn't like it but because I think it is slightly overpriced and not as good as other Hiltons.	
Sep 16 2005	My favourite hotel in the world!	I just love this place. It's beautiful and the rooms are great (very spacious and light). Whenever I need to stay in London for the night I always get a room here. If you like clean, minimalist, modern design but don't want to fork out too much money then this is the place for you.I've stayed in a variety of rooms (suites, kings, doubles) and they are all of an excellent standard. The beds are very comfortable. The food (Rockwells) is superb (although quite expensive .... I paid £170 for a meal for two once!). Service throughout the hotel is very good.The gym is great. All the machines are new and it is tastefully furnished (like the whole hotel). The bar is very relaxing and I often find myself using it even when not staying here. As for the location what more can I say. Slap bang in the middle of West End London. I really wonder why so many people bother with all the other rubbish London hotels. They even have a car park out the back where you can get a reduced rate of about £30 per day.	
Sep 7 2005	Bizarre entrancebut great place to stay	The lobby is a large frequently noisy bar with a desk in one corner which is the entire check-in and service area--really weird...HOWEVER..the ultra modern rooms in this older hotel shell are great.You look out on Trafalgar Square-a superb location-through absolutely noise proofed TRIPLE glazed windows. The breakfasts and food in general are excellent, but the best feature of the hotel is the staff--probably the most helpful, friendliest,and best trained young people we've seen at a hotel except possibly the Broadmoor in Colorado Springs. A boutique gem in the Hilton crown.	
Sep 1 2005 	Not good	Me and my friend arrived here at the end of September, having booked two rooms for one night, through priceline. On arrival, the doorman took our luggage for us and showed us the reception desk. So far so good. On approaching the reception desk, I was rather somewhat confused. It seems to be badly layed out, and the receptionist seemed to be wearing her every day wear, rather than a uniform. We were then told that only one room had been booked. I thought this was a simple misunderstanding and told her that two rooms had been booked. The reply was, &quot;well, what do you expect me to do?&quot;.I was livid, we spent a futher twenty minutes arguing with the receptionist. She seemed insistent, that there was only one room available, and eventually we accpeted a twin room on the third floor. The room itself was nice. It was large and had nice beds and a modern decor. And that is as far as it goes on the positive note. Both the room service and restaurant menu were by far the worst in any Hilton I have stayed in. There is no swimming pool. There is no business centre. The hotel lobby is a mini nightclub. The breakfast was worse than that in a bed and breakfast, yet very overpriced. No memeber of staff seemed to be wearing a name badge. No comment cards in the room. Housekeeping who decide to walk in at 7.30am without knocking, or even noticing the do not disturb sign, which is shaped like a jigsaw puzzle; so no wonder they pay no attention to the signs. The list is endless, and in conclusion: do not stay here.	
Aug 28 2005	Tres Chic Trafalgar	The Trafalgar (there is no Hilton on the sign outside), was a very chic, clean-lined contemporary hotel. Was such a treat being the last night of our stay in Europe. Very cool bathroom too. There is a cool zen-like bar on the first floor (I mean ground level - their 1st floor is really 2nd floor for Americans). Only recommendation - do stay anywhere close to the first floor. There is a live band (a loud live band) that plays at night. We were on the 3rd floor and did not here a thing.	
Aug 26 2005	Great hotel in a fabulous location	We spent 3 nights at the Trafalgar Hotel and thought it to be a truly great experience. The rooms are fairly spacious, clean and well-appointed. We booked a room with a view of Trafalgar Square and National Museum that had a wonderful view, which was especially effective at night with the lights and fountains. Big props to the staff. We were traveling with my sister-in-law and 6-year old niece, the latter getting sick in the middle of the night (unfortunately in the BED!!). The late night staff promptly came up and changed the sheets and were quite helpful. The breakfast room had lovely meals and a nice selection. The hotel is within walking distance to some of the most important sites of London, including Buckingham Palace, Westminster, Big Ben, etc. Good restaurants are nearby as well.While this hotel is quite hip, it is very welcoming and fun (they play great music in the lobby bar!). We were traveling with 2 children (ages 3 and 6) and they were incredibly accomodating and helpful. You never felt out of place, despite the fact I was lugging a stroller and a toddler. We will definitely be back for a future visit whether it is with kids or without.	
Aug 3 2005	Excellent location very good hotel	Stayed at the Trafalgar one night, having had a bargain rate courtesy of Priceline. Unfortunately, the hotel was undergoing a major refurb on the ground floor, which probably accounted for the keen price.It has one of the best locations in London. Although part of the Hilton group, it has no Hilton livery, but instead is a rather hip, cool, hotel. Excellent, friendly staff gave a warm welcome on arrival.My standard room was nicely furnished in a minimalist style, and was very quiet, having a rear outlook over the British Council office building. The only gripe was the absence of a trouser press (all decent hotel bedrooms should have one), but there was an iron and ironing board. The bathroom was well equipped, with quality toiletries.The restaurant was closed due to the refurb. Breakfast was served in a room on the first floor, with great views over Trafalgar Square (one of the iconic sights of the world). A slight complaint was that the food was not as hot as it might have been.I'm not sure that this hotel will really merit five stars, even after the renovation is complete. It certainly deserves a four star plus rating, however. I would nevertheless recommend it highly, particularly to tourists who wish to be close to the major sights of this world class city.	
Jun 19 2005	Great hotel great service	We stayed at the Hilton Trafalgar in London in June, 2005 using Hilton Honors points. We got free upgrades and the service was wonderful. The front desk clerk Victoria is especially great. I recommend the hotel. It is quiet, there was no noise from the bar or street. (they have double pane windows). The continental breakfast was great and the service and staff are great. In London I would always choose this hotel.	
May 23 2005	Great Location Very Good Hotel	My wife and I spent 6 nights at this Hilton hotel and enjoyed both the city and the Hotel. However, this hotel is a lot different from other Luxury Hilton hotels that my wife and I have stayed at. It is more &quot;hip&quot; in the sense that they do have a mini night club in the lobby area with somewhat loud music playing. The elevators have red and blue light bulbs which is a little odd the first time you check in. We stayed on the 4th room and were pleased with the size of the room. There was plenty of space and had a large bathroom. However, you will need to place a towel in front of your shower door or else all of the water will flow onto the bathroom floor (because of the way the shower is built). The staff was extremely helpful and friendly which we greatly appreciated. Our hotel was within walking distance of Big Ben and the local theatres. I would recommend this hotel to anyone interested in going to London.	
May 5 2005 	Not your typical Hilton	This is not your father's Hilton. Upon arrival we found out that it was a &quot;lifestyle&quot; hotel. We had no idea what that meant, but it quickly became obvious that this wasn't the kind of Hilton we had come to expect. The lobby was a more like a nightclub or pick up joint, than an upscale 4 star hotel. The lobby was literally packed with people who were in a real party mood. The cigarette smoke was overwhelming in some places. There was a DJ playing music with speakers that must have been 10 feet tall. The music was so loud in the lobby that we couldn't hear the people at the reception desk when we checked in. I had to lean over the desk and shout at the reception staff - and they had to shout their answers back to me. When I told the staff that this wasn't what I expected from Hilton, they just said that the Hilton &quot;lifestyle&quot; hotels were something new and different for Hilton. What an understatement!Our room was on the fourth floor. The room was nice, the views were adequate, but the walls were paper thin. The music from the lobby radiated up through the walls into our room. The walls in our room literally vibrated from the sound. The people in the other rooms were constantly partying and didn't seem to notice (or care) that some of us were traveling for business and actually needed to sleep at night. Also, the wireless internet was only available in the lobby, which was simply to noisy, smoky and crowded to use.After one night, we couldn't take it anymore, so we asked to be transferred to another Hilton property. The Assistant Manager was wonderful. She understood our dilemma and helped book us into the Hilton Waldorf. That was much more our style. I guess it's true, my partying days really are long past!The bottom line is that if you want to party, stay up all night and feel like crap the next day, this is the place for you. However, if you are a business traveler who needs a refuge after a hard day - this ain't the place for you - or me for that matter!	
Apr 11 2005	Hip at the expense of basic convenience	There are some steps to enter, so, if there's no hotel staff at the front door when you first arrive (which occurred to me), you have to lift up your luggage by yourself (unless you first get in with empty hands and catch someone for help.)Lobby/Reception is too noisy as it's literally a &quot;Club&quot; playing dance music. There's no suitcase rack even in my Delux Plus room, so it lies down on the floor throughout the stay. The floor of the separate shower room is only an inch lower than the floor outside. Therefore, INEVITABLLY, as I shower, the hot water overflows the shower room into the space around the toilet seat, which makes me wonder every night throughout my stay, what kind of an architect/engineer designed this structure based on what kind of mathematics. Like all other equipments in the hotel, the design of the washstand sink is hip; it's rectangular and FLAT. Therefore, whatever you dropped on it, e.g., toothpaste slime, stays there until you wash it away with water, which makes me wonder every morning throughout my stay, why do I have to clean a washstand every day in London?The location is great, though.	
Apr 4 2005	Bad Choice	Over priced, poor service (had to ask 4 times for a roll away bed which had been prebooked weeks ahead), noisy and no residents lounge despite paying exorbitant room only fees.Only thing the hotel has got going for it is its location.	
Mar 30 2005	Best Hilton I've Ever Stayed At	I do a lot of corporate travel and had piled up enough Hilton points to book a 5 night stay. Came to London over Easter weekend, and according to the staff they were relatively empty because of the holiday. You can only reserve a standard room with points, but I asked if upgrades were available and they said it could be done for 30pounds a night - sold! Staff was sincerely friendly and helpful without being obsequious, they're all young and in their twenties and they all seem to genuinely enjoy working there. Quite a change from the blase' service I'm accustomed to seeing at the large hotel chains. Hotel is very sleek and cool, a lot like the W's. This is not your father's Hilton.We asked for a higher floor so the bar music couldn't be heard. They originally put us in room 301 which was nice - on the corner overlooking Trafalgar Square. Bathroom was nice size but it was an average size room at best by US standards, not much room to move around the bed. We hadn't even unpacked our bags when the front desk called and said they had a bigger room available down the hall, #317. Much bigger, has a nice big bay window that looks over the Square plus a sofa and large chair and plenty of floor space. I think #316 is probably the same layout, as would floors 2-6. Even though the windows were on a busy street directly above a busy bus stop you couldn't hear ANY noise at all, the windows are double glazed and completely soundproof. Very comfortable and quiet room, king size bed, my wife and I slept like a stone each night. I would HIGHLY recommend this hotel. I'm from Chicago and travel a lot and think my standards are pretty high, and I really liked this hotel. Was out and about constantly so I didn't have a meal or any cocktails at the hotel so I didn't feel the outrage of being gouged, and there's plenty of pubs and bars and restaurants around as alternatives. Besides, you're going to get pummelled drinking or eating at any decent hotel in the city. We would definitely stay here again, the location can't be beat, I love to walk and this is dead center of London. Anyplace of interest is literally within an hour's walk. Plus I am not a fan of the Tube - I don't find any romance in it's dirt and general decrepitness, and you usually have to walk the equivalent of 4-6 blocks underground to get to your platform so it's not really very quick, especially Charing Cross Station which is enormous. I much prefer taking buses in London, you can't beat the price nor the sightseeing sitting on top. And being right on Trafalgar Square, once you figure out the bus mapping system you step right out your door and can reach any compass point of London in a short time on one bus without transferring. This hotel has a lot of pluses in it's ledger as far as I'm concerned.	
Mar 27 2005	Loved It	Thoroughly enjoyed my stay; I did not encounter any of the noise problems in other reviews of the hotel. I stayed in room 220, which had no view but was overlooking a quiet back street thus cutting down the noise. Everything was quite pricey, but if you feel like splurging, then do it. The hotel staff was friendly, but I find all Brits to be that way. Do not expect to approach a hotel with Hilton splashed on the front of it -- it is more trendy nightclub-cum-internet cafe in the rear. Close to most major London attractions and for me, an avid city walker, it was the perfect location. It is near the Charing Cross transit station, which makes it a brief train ride (1 change @ London Bridge) from Gatwick airport. The transfer to Heathrow from the hotel, although shorter does involve a taxi, thus makes it more expensive. Overall, I would definitely stay again and would recommend with the caveat that you will spend a lot of money.	
