	Incredibly noisy room	Unbeatable location which is both the best and worst asset of this hotel.Just across the road from Victoria Station, it is situated strategically, especially if you arrived in London from Gatwick. The drawback is... the room (4th fl) was facing Victoria Station and it was INCREDIBLY noisy at nights. I cannot believe that, when designed, nobody realized that being so close to Victoria the rooms should have been, at least to some extent, soundproof. I stayed for 2 nigths. First one barely slept. I got up from bed several times to double check that the windows were closed as I just could not believe so much noise could come into the room. Second night I slept much better... because I had previously bought earplugs.By the way, the internet connection was free, but very slow.	
Oct 6 2006 	Great location. Poor service and poor attention to detail.	Hotel is right across from Victoria Station and very conveniently located. That's about the only good news.Air condition didn't work and I put in 2 service calls on the 4 night stay. The only difference I could tell was that the fan got progressively more noisy the more they did to it. I guess the background noise made it easier to sleep.Wireless internet was unavailable and spotty. Maintenance only worked from 7am until 5pm and nobody on the property knew how to reset the routers which is all maintenance would do when they had problems. Visits and calls to the front desk showed no concern or no sense or urgency.THE WORST PART: I was charged the equivalent of $7700 for a 4 night stay that should have been around $1100. They were unable to provide me with a detailed bill at checkout and were telling me my account was paid in full. I finally gave up on getting a receipt or bill because I had to get to the airport in time. Who is to argue if they say there are no charges anyway? Upon arriving home I noticed I was overcharged by about $6600 on my visa statement. I have contacted the hotel through email, their corporate office through email, called several times and a week after the charge they still have not processed the credit. I have now had to file a formal dispute with Visa and fill out a ton of paperwork and nobody at the hotel is concerned or being expedient about issuing the credit. STAY AWAY FROM THE WHOLE HESPERIA BRAND NAME in my opinion. Nobody within the whole chain has any sense of urgency over this matter and it concerns me that the whole Hesperia brand is like this. This was my first and last stay at a Hesperia hotel.	
Oct 4 2006 	Good value clean hotel	We stayed two nights Sept 9-10. Reviews were on target, smallish but clean recently renovated rooms. Our A/C was cold, as we like it. If you are staying during the week construction noise at rear may be an issue, but just ask for a room away if you plan to sleep late. Pillow menu was a nice touch. Great breakfast, friendly staff, and great location across from Victoria Station. Best rate was from hotel web site.	
Sep 18 2006 	Great location just what was needed	I was looking for a reasonable hotel for a one night stay in London to go to an event in Battersea. I chose the Hesperia after reading the reviews and was really glad we made the choice. Location wise it is right next door to Victoria, but there is no need to worry about the train noise. Staff were fairly good and the general look of the hotel was clean and new. The room (£98 for a double) was of a reason size for central London. The bathroom was good, with a shower in the bath. The bed was extremely comfortable and the curtains blocked any light coming in. Overall very pleased with this hotel, especially due to its closeness to Victoria and the subesquent links around London.	
Sep 17 2006 	Well worth a stay here.	Brilliant location next to Victoria Station. Handy for the theatres nearby and they did a very good pre theatre dinner. Breakfast pricey so we went out for that as there are so many places nearby.Very clean and comfortable.Pool area and gym a bonus to unwind at the end of a long day.	
Sep 17 2006	A Bit Disappointing	First, the good news. The hotel is located on one of the quieter sides of Victoria Station, so it is very convenient to the London underground and trains. Parliament is only a 10 minute walk. The rooms are comfortable and nicely furnished.Now, the bad news. Our nonsmoking room smelled of smoke. During a hot week in London, the air conditioning did not work and repeated requests to fix it (and a broken light) went unanswered. Our colleagues had some trouble with the hotel laundry and asking for some basics like an extra towel for the room.So, our stay at what should have been a good hotel for business or leisure trips was overshadowed by some poor customer service.	
Aug 29 2006 	Would stay there again	Finding a good hotel in London for a decent price is difficult, esp. since the city is SO expensive! Hesperia was a great hotel for the price we found (about $350 for two nights). The location was in Westminster....within walking distance to the Underground at Victoria Station, Buckingham Palace, Big Ben, Westminster Abbey, London Eye and many other attractions. There were several Pubs and shops nearby. The staff was very friendly and they allowed us to drop off our luggage prior to check in so we could sight see a bit. The conceirgie helped us to find a way to the airport and was very helpful with our other questions. The room was clean as well as the bathroom. Bathroom looked to be recently remodeled. Only complaint would be the view... it overlooked the train/underground station. However we weren't there for the view and the price/accommodations were right. Also....I suggest the breakfast buffet. It was pricey at about $18 a person, however there was a large selection to choose from and it filled up until midafternoon/dinner time. Well worth it! I definately suggest the Hesperia.	
Aug 24 2006 	Good choice if you can get a good deal	The London Victoria HESPERIA is a good choice if you need a &quot;homebase&quot; in London. Across the street from Exit 1 (Hudson Place) at Victoria Station, it is ideally, centrally located for bus-, train- and taxi service. Plus, the station offers a wide variety of snack opportunities, a Marks &amp; Spencer Food market is right there and also a Sainsbury Supermarket can be reached within 5 minutes walking distance.The HOTEL is modern, clean, nice, and comfortable. ROOMS and bathrooms are pretty and pretty spacious for London standards and I found the beds to be very comfy, too. NOISE from Victoria Station didn't bother me at all. In fact, I could hardly hear any, which was a wonderful surprise (considering previous reviewers' complaints). Also, the building site next door was never a problem. The windows are definitely soundproof!The BUSINESS center lacks a bit privacy since it consists of two pc terminals in the &quot;lobby&quot; of the meeting room facilities, which means: you step out of the lift and are right at the computer desk. Internet access costs 4 Pounds/15 minutes.The FITNESS center was disappointing. It was too dark for my taste, giving the &quot;wellness area&quot; a rather dingy, shady air, not to be confused with mood lighting. It didn't look well kept, unfortunately. The exercise room was freezing (felt like 16°C in there) and the temperature could not be adjusted. The water temperature was cozy warm but the pool didn't look inviting (again, the lighting problem). A pity, because I would have liked to try and really, the pool was one factor on which I had based the decision to stay at this hotel rather than at another one. Also, there was a flooding during two days of my stay in the changing rooms. With really just a little more care and better lighting, maybe a plant here and there (as shown on the hotel's flyers) this area has great potential, though.At check in, my initial impression of the STAFF wasn't the best, since receptionist Luisa seemed to be slightly bothered by the fact that I couldn't immediately understand everything she told me. I see how poor command of the English language could be a problem (as stated by previous reviewers). It's not that Luisa was rude, she just seemed very unsure of herself and maybe had a bad day on top of that. Anyway, smiling would help a lot. The desk manager who took over was much friendlier and accommodated me nicely. At check out, Sara (a young Italian lady with perfect command of English and Spanish) was a real pleasure and explained apologetically that since most of the staff members are Spanish (and a lot of the guests, too), it is spoken much more frequently at the hotel than English. I don't have a problem with that, but I can see how other people might be annoyed if they cannot &quot;get through&quot; to the staff.My last and really only substantial complaint would be that, in general, the staff took too long to respond to questions/requests (for extra pillows, e.g.). Upon arrival, though it was August 19th, my room was freezing. I tried to figure out the in-room air control system but couldn't. It took me four phone calls to housekeeping and the front desk and two hours waiting time to get the problem taken care of. Finally though, a very friendly young man from maintenance brought up an individual heating unit to my room so that I could adjust the temperature to my liking, and I was happy!My standards are very high that's why I give the Hesperia &quot;only&quot; 3 out of 5 points. But OVERALL, I would definitely recommend this hotel if you can get a good deal! Check out their website: I got a double room (no breakfast, taxes not included) for 102 Pounds/night. (Regular room rate is 254 Pounds!!). London is outrageously expensive, so you'll be hard pressed to find a decent accommodation for less. Best thing is to shop around and compare prices!	
Aug 23 2006	Convinient Hotel at the Heart of London	Having scoured Tripadvisor for hours in search of a comfortable and decently priced accommodation, I eventually chose Hesperia London Victoria. Upon spending the first night at the hotel, I realized that my endeavours were paying off. In the following paragraphs I will be commenting on the location, room, service, and breakfast of the hotel.Situated opposite Victoria Station, Hesperia Victoria hotel offers easy access to London’s main tourist attractions. Many of these attractions, such as the Buckingham Palace, are accessible by foot. The underground ride from the airport to Victoria station takes between 40 to 60 minutes. Because Victoria Station is not equipped with escalators, one might experience hardship carrying heavy luggage. Hotel guests can also take advantage of a tourist information centre, which is located at the station. This centre provides not only assistance with directions, but sells tickets to many attractions. When in need of help for directions, I preferred to stay in a queue and pose my questions to the information clerks as opposed to the hotel receptionists who, according to a Tripadvisor commentator, were not of any assistance. A Hop-on Hop-off bus station is only five minutes walk from the hotel. Unfortunately, proximity to a station is always accompanied by a few disadvantages. For instance, in my room, which opened to the parking lot of the station, I was often irritated by the noise of the vehicles loading and unloading their cargo around the clock. To mask the noise, I had to resort to the fan; hence freezing temperatures in the middle of the summer! Apart from the noise, the room was agreeable. In fact, compared to other European hotel rooms, the rooms at Hesperia are very spacious. My room was equipped with a mini-bar, i.e, a small fridge containing overpriced beverages and chocolate bars where I could place a small sandwich and a few drinks, which I bought at the Mark &amp; Spencer located at the station. I also had a kettle, tea bags, instant coffee, sweetener, and biscuits. When noticing the rust on the bars of my electric kettle, I informed a cleaning lady who provided me with a brand new kettle instantly. The bed was very comfortable and the sheets looked clean. Like other guests have reported, the toiletry was adequate; it contained toothbrush, toothpaste, comb, shower cap, shoe sponge, soap bar, and shower gel. While at most hotels one receives Dove or other popular brands, the soap bars and gels here were unique; they had a pleasant Aloe Vera fragrance. As a Canadian resident on her first trip to England, I was hoping to hear the British accent at all times, which I would be imitating later on!! To my slight disappointment, none of the hotel crew was originally British. Some were hardly able to converse in English. At times, I had difficulty making my request understood to members. Nonetheless, they were always helpful and smiling. Everyday, between 16:00 to 18:00, a cleaning lady would knock on my door to enquire whether I needed anything. Such a service made me feel privileged. I can claim that staying at Hesperia London Victoria I enjoyed great customer service. One could also avail himself or herself of the free daily newspapers and magazines placed on a table by the elevator. Having never considered myself a big breakfast eater, I walked into the breakfast room with contempt. Upon seeing various types of foods and smelling tantalizing aromas, I could not resist copious amounts of food every morning. The breakfast catered to all tastes, even a vegetarian like me found plenty to eat. Different brands of cereals complemented by many types of dried fruits were placed next to a big bottle of milk. Exploring the two-shelved breakfast self-service table, I was pleased to come across several of types of muffins, breads, jams, compotes, fruit, cheese, yogurt, as well as hot foods such as scrambled eggs and grilled tomatoes. To summarize, I must say that I found Hesperia London Victoria an agreeable hotel in the heart of London.	
Aug 17 2006 	Loved Hesperia	I stayed in this hotel at the start of August with my mother. We got an excellent rate of £333 total for three nights B&amp;B -- full price per night was £254.We just loved the hotel, the room was a good size with two single beds, plenty of wardrobe space, fabulous bathroom with the most divine toiletries, of course I had to take some home for my own bathroom!The breakfast was delicious -- we had to wait on two mornings to be seated but that was only to be expected as it was a long weekend and the hotel was full.The maid service was very good , we did not use the swimming pool but went down for a look and it looked fine although the pool is quite small.It is totally deserving of its 4* status -- very friendly and helpful staff both in reception and in the restaurant.Plenty of lifts (4 I think) which were always quite busy.Proximity to Victoria train station perfect and also Victoria bus station which we used all the time for trips to central London.And the Gatwick express brings you right into Victoria train station so perfect location for flights too.You can't go wrong with this hotel and to be perfectly honest I can't understand why anyone would give this hotel a bad review -- I have fairly high standards and I have stayed in plenty of hotels around the world -- but those who have given a bad review of this hotel -- their standard must be right of the richter scale!!	
Jul 31 2006 	Cant understand how the reviews are good for this place!?	After staying at the Oceania Hotel in Paris, we headed for the London Hesperia 4* Hotel! What a dissapointment! Maybe it was because the Oceania was so good?? Either way for 4* I expected more. We arrived at 10pm and had a drink in the bar which was nice. The room we stayed in should have cost a staggering £275 per night but we got a last minute deal online for £97. I would refuse to pay £275 for this place, as soon as we went upstairs there was a leak in the corridoor roof. We informed reception who sent someone up just to put a bucket there for the night!!?? Arrived in the room which was nothing special just like a travelodge really! Very noisy due to helicopters and planes flying by!! In the morning we had breakfast which was superb, choice of continental or Full english! After breakfast we went for a swim! Well not really, more like dipped my foot in then walked off! The pool was dark and a bit dingey and the jacuzzi failed to work! The changing rooms were small and the showers had no hot water! Very poor for a 4*! One of the few advantages was that it was 2 minutes away from Victoria Station so accessibility to and from the city was good! Overall very dissapointed and would not stay there again!!	
Jul 24 2006 	Excellent	My girlfriend and I stayed here for a night. We found the room to be really nice, with imaginative decor and a great large LCD TV. The bathroom is nice, and the toiletries actually really good - not Molton Brown or anything, I think they were the hotel's own brand, but the shower gel and soaps smelt great!The bed was massive and very comfortable.Great location for access to Victoria station.	
Jul 12 2006	Highly Recommend	My wife stayed in this hotel for 2 nights. Our room was lovely. What singles this hotel out from most of the others that we have stayed at in London over the years is the excellent service. Maybe this is because the chain is Spanish and not English run? I say this as a British person ! The breakfast buffet is very extensive. From cereals and pastries to the good old Full English Breakfast. Very close to Victoria rail and underground stations as well as the bus and coach stations. Lots of places to eat. Easy access to Central London. If you are going to be traveliing around London then buy a Day Pass. We would definitely stay here again. Our room did overlook a building site, but we were not troubled by any noise.	
Jul 4 2006	Good location nice stay	We stayed for 4 nights and were very pleased with our stay. We booked via Hotels.com and got a great rate (about $135 per night). The rate didnt include breakfast, but there were enough places within walking distance to eat. Room was roomy, clean, and A/C was a great relief after walking the city all day in the heat. Bathroom was large, great LCD TV in room. We had a room in the back of the hotel, we didnt hear any noise, although did see and hear the construction as we were checking in. I could see where rooms near the construction might be a problem during the day with noise, but the construction stops at 5:00. Great location if your traveling via tube, hotel is right across from station. Overall, very pleased with the accomodations.	
Jul 3 2006	Just as good second time round	This is the second time that I have stayed in this hotel and yet again I was thrilled with the accomodation, service, cleanliness etc. The breakfast was fantastic. The location is fantastic and I don't understand those that complain about the noise from the station. All of the rooms are fully double glazed and I have never heard a sound. I'm looking forward to my next trip which will hopefully be for more nights. If you want an excellent and clean hotel that is easily worth its money then I can recommend this one. It is fantastic!	
Jun 12 2006	Great weekend break	We have just returned from a weekend in this hotel. It was delightlul. The hotel is modern and clean. The staff are friendly and helpful. Our room overlooked the station but were not aware of any noise. The air conditioning was a blessing, especially as it was the hottest weekend in London this year (so far). The buffet breakfast was very good. The location is ideal, across from Victoria train, underground and bus stations. It made it very easy getting about. After a hot day in London it was bliss to get back to the hotel and cool off in the pool. In all, I couldn`t fault the hotel.	
May 31 2006	What a relief!	For my first trip to London, I researched everything (hotel, area, tours, etc.) as thoroughly as I could because it was for my 5th anniversary, and I wanted to be comfortable for the entire week with my husband. We wanted to stay away from any and all plaid bedding, musty and old smoky rooms, unsafe locations, etc. Something not too expensive, but not in some gross old place as old as the City itself. I booked the hotel through their reservation department a few months before the trip (using Trip Advisor, which was very helpful!), with the knowledge that we could cancel anytime, and not pay upfront. The reservation department was very easy to deal with and answered most of my questions (their website wasn't very telling). You know, we Americans have a lot of questions, because we are used to a lot of things that others in this world are not...it isn't that we are snobby, we are just used to getting a lot for our money, and we all work so much, that we don't want any headaches, especially if it is our one and only vacation! People interpret this in other ways, but in my opinion, you have to speak up if you want something (if you want water with ice, ask for a large ICE Water - be SPECIFIC, or else you will get a small glass of warm tap water) about everything or you won't get what you want, and then you will have to ask again, relaying the &quot;unsatisfied American&quot; syndrome)! The fact of the matter is that people seem to deal with things there more that we would deal with them here in the States. Since I used Trip Advisor so much in the planning of the trip, I wanted to return the favor and try to answer some additional questions that you may have, that reservations and photos can not answer. First, after flying in to Heathrow from our Amsterdam leg of the trip, we were tired. We took the train straight to Victoria Station. Maybe a 30 minute trip. No elevators or escalators, so pack light, people! You will be glad you did! There is no such thing as ADA (disability friendly) anywhere, except maybe a few busses and museums. Get off the train and go to Platform 1 - literally, across the street was the hotel. Couldn't be more convenient! Was happy when we walked in to the hotel because it was like a boutique style hotel, and was clean and modern. Just what I wanted. Check in was not a problem. We got to our room (on the 7th floor) and I was very disappointed the minute we walked in. The room seemed old and had red ugly stained carpet. It was small, the bed was smaller, and the view was not any better. They are doing construction next to the hotel and my room overlooked the construction. I called the front desk and asked if they had a room with a larger bed (this bed was the equivalent of a full sized American bed - I sleep in a King at home). The woman who checked us in said that they don't have larger beds like in the States. I was thinking to myself that this country has centuries of history, and KINGS and Queens, they don't have larger beds? That wasn't going to work for me at all, especially for 6 nights! Yes, you are in London to run around and not be in the room, but when you are in the room, you want to be comfortable. When I made my reservations, I asked for a fully refurbished non smoking Queen or King room on a high floor, away from elevators, etc. Then, it was hot in the room, and the air conditioner was not working. So I called the front desk again and told her about the A/C. They sent the nicest guy up to see what was happening - he ended up burning his arm while trying to fix it...and it wasn't fixable! I suggested he tell his supervisor about the burn - he said there was no need. Can you imagine! So I said we wanted to move to another room. He came back and showed me a few other rooms on the same floor. MUCH BETTER!! A big King sized bed, non-red ugly floors, etc. Different decor, a better view, much fresher and cleaner (we moved to Room 711) and everything was good again. My point is to ASK if you don't like. If anything, ask for my room - I was satisfied, and that says a lot. MAKE SURE YOU ASK TO STAY IN THE BACK OF THE HOTEL, OR THE VICTORIA STATION NOISE WILL BOTHER YOU! Also, the minute you arrive and need something, like pillows or towels, be sure to ask ASAP, so you get the &quot;un satisfied American asking for things&quot; issue out of the way. The TV options in the room can not be more boring. If you are looking to fall asleep, watch their TV options. BBC 1, 2, 3, 4, some German, Dutch and Spanish channels - mostly news about the same stuff over and over and over and over again! Plus, Al Jazeera, which I COULD NOT BELIEVE! I was a little annoyed that they would give us that channel and not something decent like a movie channel, etc. Plus, it just offended me that they would have that &quot;negative and totally biased and anti western / American / Jewish / every person in the world&quot; channel there. No good American or English speaking programs (other than BBC channels) - wrestling and the Hall Mark Channel was it. I don't watch wrestling ever! What do they think we like to watch? How about some comedy or movies? But wrestling?? We got the breakfast included with the room. Buffet with service, which was good. Go earlier in the morning, not later. The food was fine, but got old after a week. Nothing new or different everyday - just the same stuff. Croissants, Fruit, meat, eggs, cereal, etc. We never touched the meat or hot bar stuff. I was a little scared of it, especially the blood patties, which people seemed to love. For me, not so much. We kept it very simple in the mornings. On your table is a small menu - you can order some fresh made to order eggs if you want. We did that once or twice. If you opt to not have the breakfast included with your stay, you can always go to the train station and get coffee, pastries, etc. Either way, you will end up eating the same stuff! I told them they needed to have something different each day, like pancakes or french toast. Doubt it will ever happen...but you can get poached kipper! YUM! Just Kidding!We never had a drink in the bar or ate dinner in the restaurant. Too much outside to choose from! Never went to the pool or conference center, sorry. The concierge was not helpful, ever. One barely spoke English (okay, if we were in France, I wouldn't expect excellent English, but in London...I expect it!) I asked where the closest Marks and Spencer (part grocery, part clothing store) was and he tried to send us to the most expensive&quot; restaurant. We didn't ask him for much after that. Too much energy wasted! Use your travel books instead. Even the hotel reception didn't know much in the way of the area, where to go, etc. For those looking to get the VAT refund, be sure the hotel gives you the form. The girl at checkout said we would get that at the airport, and she didn't know, because once at the airport, they said the hotel gives us the form. We lost the $ VAT. For the best noodles ever (seafood and black oyster sauce), go to Jenny Lo's Tea House (recommendation came from my book) at 14 Eccleston Street. YUMMY!!! About a 10 minute walk. Try ASK for great pasta (loved the mushroom and cream sauce!). Go to Masala Zone in SOHO for great Indian food - Lamb curry was excellent. Mr. Kongs in Chinatown - get the beef and peppers dish. If you want Fish and Chips, do yourself a favor and share it with your traveling companion - save the $ for something else- almost $30 for fish and chips in a pub, and was very bland! Check out Nandos in Pimlico for great Peri Peri chicken. Don't bother with Bella Italia. Get a steak pasty from somewhere - so good! There are no ice cream or gelato stores in the Victoria area. If you ask people, they look at you like you are crazy. If you want that, go to Sainsbury's (next to Nandos) - a grocery store. Buy some 6 packs of bottled water, because it is not fun paying $4 for a bottle of water in London. Also, you will find that EAT or PRET a MANGER will become your best friend, especially if you are on a budget!The hotel's area was very busy! Victoria Station is a major station, so there is so much going on. Always felt safe, with no problems. Hotel is very close to everything, it was really fantastic! Buc Palace was about a 15 minute walk. The tube is fast, but hectic. Try to use it during non rush hour times. I swear, there were times when we just could not get on the tube because there were too many people and I was a little scared of that many people in a small crowded area. Just be smart about it. Watch your bags! Wait for another train if too crowded. Also, way finding (signs, etc.) was tough there, so be sure to have a map with you at all times. People are friendly but reserved. Don't get the London Pass unless you really intend to visit everything - or just get a 3 day card. We spent so much time walking and visiting the free stuff, that the pass would not have been worth it - and we were there for 6 nights! Get the Oyster card at the airport (just zones 1 &amp; 2, and pay the difference for another zone if going to Windsor or something) for travel on the tube and busses. We never got in a cab. Never felt that we needed to , and just couldn't bring ourselves to spend the money. We went to Windsor, the London Eye, Tower of London - all worth it! Didn't do St. Pauls (so expensive, and we went to several churches that were free). Go to the free museums, etc. Walk off the main paths and be adventurous! You will be amazed with this city! London is huge and small. Old and new. Clean and dirty. Nice but rude. Check out the Thames walk from the Tower of London and also on the other side of the river, near the London Eye.  If you do anything on the trip, be sure to go to the parks - they were fantastic! Hyde and St James was my favorite. The swans are amazing! Be prepared to spend a lot of money on the simplest of things....the US $ exchange rate is terrible - almost double! Bring a scarf and gloves - it was windy and cold/rainy while we were there, and it was the end of May! Ladies, bring a cute hat or your hair will blow everywhere! Everything is casual, but don't be sloppy, especially at Windsor or at the museums. Beware of eating in the basement at any given restaurant. Don't do it - wait for another table or go elsewhere. Gatwick express is easy - 30 minutes to the airport from the station. No problems at all! Plus much cheaper than a cab, and you really don't want to take the tube. I recommend the hotel because it was convenient, clean, and modern inside. The bathrooms are just fine. Plenty of space. Doesn't match the decor - they refurbished the hotel a few years ago, but they were cheap and didn't get to the bathrooms. Oh well! The housekeeping was fine. After everything was said and done, we were happy with what we got, but if I go to London again, I'd probably check out the Victoria Park Plaza, which was another option for us before we left for London - a little more $, but looked awesome...and also very close to the station. I meant to take photos of the room, etc. but forgot! SORRY!Hope this helps!	
May 9 2006	Handled Unexpected Problems Professionally and Politely	This hotel was between average and above average, although it's difficult to compare it to other UK hotels objectively since I haven't stayed in many. We paid 589 US dollars (inclusive of 17.5% tax) for three nights by booking through the hotel's web site. I will say that the room was clean, contemporary and of sufficent size. Everything was in perfect working order, that is, until the AC broke. We were switched to another room, and when the same thing happened in that room, we were switched to an executive suite! Our first two rooms were at the front of the hotel and faced the railroad tracks of Victoria Station, which is directly across the street. The windows did not provide sufficient noise insulation from the railway noise and loudspeaker announcements. The final room, the suite, faced the rear of the hotel, was quieter, and had a great view. Ask for a rear facing room, The staff was great. Very helpful and polite. There's a great supermarket (great quality and low prices) within five minutes walk and it's surrounded by nontouristy restaurants. We had a great fish and chips meal at Seafresh.	
May 5 2006	Excellent accommodation	Stayed for 2 nights in April, will definitely be back. Booked thru Hotels-london - paid 1/3 of hotel price and was upgraded from single to twin on check in. Not cheap but reasonable for London - have stayed in awful places for same price in past. Was concerned about noise from Victoria station but not disturbed at all. Friendly, efficient staff, lovely accommodation.	
May 1 2006	So convenientfantastic breakfast	I booked this Hotel through Superbreaks on a special deal. I loved the Hotel. It was so convenient for the underground and being a train enthusiast I loved being able to see into Victoria Station. There was no noise from the station. My room was clean and had an excellent television. The Breakfast was superb, a huge choice. Being a Spanish Chain, many of the Staff were Spanish but had an good command of English. I did not have a chance to sample the leisure facilities.	
Apr 13 2006 	Its OK	Have now stayed here 3 times for periods of 2 - 3 days at a time.It's very conventient for business travellers or tourists, literally 100m from Victoria Station. Area is a bit down at heel but as safe as anywhere else in central LondonHotel is totally refurbished with a bit of Spanish style. Reception is efficient and breakfast is superb. Hotel looks great and is good but there are a few niggles.If your travelling on business room lights are awful - I couldnt read documents at the desk in my room, it was so dark. My bed was awful too. Very soft and wobbly!Also underneath it all is a 1960's tower block with noisy (but working) air con and an out of date phone system. It has a nice veneer though and if you dont look too closely its fine! Fairly good value too	
Apr 8 2006	A lovely way to start the New Year	We stayed at this hotel to celebrate my Sons 21st Birthday - New Years Eve we booked 2 jacuzzi suites - this was a special treat, my son and his fiancee loved this. Location was great, really close to victoria station and buckingham palace. Everything clsoe by and tube really close. The following night we were moved - We would have preferred to stay in the original room - however staff ensured that our luggage was moved without any need for us to come back from our day out. Had a few drinks in the hotel bar - the cosmopolitan cocktail was fantastic. Breakfast was really nice on both mornings. The only complaint was that the rooms were too hot - I noted this on the feedback form that we were given. I would stay at this hotel again if we were in London.	
Mar 29 2006	lovely hotel very convenient!	Great location (handy for everything), lovely room, friendly staff and a great breakfast to start off the day, would definately stay here again!	
Mar 26 2006	Pleasant weekend	I found the Hesperia very pleasant. Placed just next to Victoria station (perfect if you are flying to Gatwick).Rooms are quite spacious and clean, like bathrooms are, where youll find all kind of amenities and clean and crips towels. Bedrooms are really confortable and you have a pillows &quot;menu&quot;. My room was on the first floor overlooking Victoria station (I love trains) and the only I disliked was the noise at the morning from people mooving some &quot;cargo&quot;.The staff, at reception and at the bar was really kind.	
Mar 24 2006	not worth the money	Noise levels from building works next to hotel.We booked this hotel for its four star rating,along with its leisure facilities.As far as a view from your room forget it.Location not the best as far as security exists.Lot of vagarents about the streets.The leisure facilities leave a lot to be desired.No heating in pool or dressing room areas.Jacuzzi lot of missing tiles with sharp edges.pool tiny in size and dirty.Shower area seweage water appeared each time my children and i used the showers .Water poured over floor area.No panic button evident in sauna.Water main problem on second day of stay.No sanitary facilities in rooms.Requested to meet duty manager which took some fifteen minutes.Eventually arrived asked what was the problem to be told it will take three hours to fix.We were told to use the hotel around the corner if we need basic sanitary facilities.Why were we not contacted about the situation,the reply from the duty manager was Sir we have some two hundred guests staying hereits not possible.At any one time i counted four to five staff at reception.Maybe the dont now how to use the telephone.We had to pack our bags and move to another hotel within the vinicity ,which was exellent.We declined the offer to return to the hotel when the problem was resolved.We payed our bill of which we recieved twelve pound fifty per person,total fifty pounds.this was we felt an insult.talking to a local the following morning he informed me that since the hotel had changed its had a lot of problems including no electricity but to mention one of their problems.Having spent the amount of money that we did on our stay, we felt we did not get the service nor the facilities.	
Mar 13 2006 	Differing room quality	Superb hotel. I have stayed here more than once. The quality of the rooms can vary though. I have found that if I book a room at a discounted price they give me one of the awful rooms. However, if I book directly through their own website I get a terrific room.	
Mar 6 2006	Hesperia London	Absolutely first class location directly beside victoria train station in the centre of london. its closeness was a real advantage for anyone tending to tour london. rooms in the hotel were exactly as we'd expected although as the receptionist informed me, the only real difference between an executive room and a standard room is the bigger wardrobe, the free bottle of water in the mini bar and the free kit kats in the fridge so i'd advise anyone to book a standard room. the staff we extremly helpful and friendly and were able to reccommend good restaurants and places to eat. avoid having to pay the extra money for breakfast by walking across the road to starbucks in victoria station for coffee and toast. all in all a great spot. Number 24 nbus leaves leicester square every ten mins at nite and stops outside hotel. couldnt get a better location.	
Mar 6 2006	Hospitable Hesperia	We have just returned from a short weekend break in London..We stayed at the Hotel, Hesperia Victoria, 2 Bridge Place. We have had such a lovely time. The check-in was so smooth and straight forward, no time wasted. The staff were friendly &amp; courteous and very helpful. Seemed genuinely happy to greet us.The accommodation was splendid, comfortable room which was immaculately clean. Bathroom a little on the small side but perfectly adequate, plenty of soft fluffy white towells and all the washroom essentials provided.The beds were very comfy and plenty of pillows which we like!!The bar and other facilites were also very good altho we did not use the pool, we did venture there to look around.The location is superb, right close to Victoria station and Victoria Underground. Also useful if you are going to the theatre, the Palace and the Appollo are right on your doorstep.All in all a very central hotel to choose for a superb weekend in London.Highly recommended!!	
Mar 3 2006 	Not impressed	Whilst room was comfortable &amp; clean, it was definately on the small side - an extra foot all round would have made such a difference. My room on 8th floor was quiet but members of our party on other floors complained of external noise (trains, station announcements, workmen) and internal noise (air conditioning). Breakfast was OK but nothing special. It is in a good position for Victoria but I would only recommend it if you can get a room at a good price.	
Mar 2 2006	Good hotel good location	Stayed for two nights in February 06 (Sat and Sun) booked through Superbreaks website. Paid £99 per night for double room including breakfast.Strengths - clean and modern room, spacious and well equipped (only grumble was no biscuits!)Considering proximity to Victoria station, room very quiet. Friendly and helpful staff (although some minor language difficulties)TV in room had full Sky sports channels Weaknesses - nothing significantBreakfast - good selection of hot and cold food (although pastry selection could have been better) - items well stocked and replenished. Above average breakfast for this standard of hotel.Hotel was very busy on Sunday morning and breakfast seating area inadequate for number of guests. Staff did their best to manage the situation. We had to wait in the bar for approx 15 mins - guests were seated in order they arrived, although initially the situation appeared a bit chaotic.Would recommend this hotel at this price.	
Feb 27 2006	pleasant and comfortable	only there for one night,but would have been happy to stay longer,staff helpful,location regarding sights great,would reccomend undoubtly.	
Feb 17 2006	Great for what we wanted	I always use tripadvisor to help me book a hotel so i thought i should also contribute to the site. I stayed at the Hesperia on Valentines day and paid 108 pound inc. tax excluding breakfast for a standard room. We went down to see Billy Elliott (i teach the boy who plays Billy!) and the location was brilliant. We wandered around London and easily found our way back using a map and the underground. We were on the 6th floor facing the station but we rarely heard any noise and if we did it didn`t bother us. The bed was fine...a little soft for our liking but we only had three pillows which i found a little odd! Anyway the room was modern and clean and just what we needed for the few hours we actually spent in our room. The only slight problem we had was the air conditioning wasn`t working in our room so it got a little warm in the night for us as we are both quite hot blooded. I reported this on check out and they apologized. I would definately return to this hotel again when i next visit London.	
