	Will always check here first when staying in London	This was our second stay at the London Elizabeth and we will definitely look into staying again. There is no denying that it is tired and shabby in places but it is only chips and cracks. It is clean and comfortable and has such character. Our first room was quite small but we must have been happy with it as we booked again for our next London trip and our room this last weekend was spacious with two armchairs, fireplace, desk and wardrobe. There was street noise this time but it didn't really bother us. The room was too warm for me but most hotels are (there was air conditioning but we didn't turn it on). There are no tea or coffee facilities so we took our own travel kettle etc, there is no fridge but we found a ledge outside the window to put the milk on. The location is brilliant, (google it, it has street view), bus stop outside, seconds away from Lancaster Gate tube and minutes walk from Kensington Gardens, few more minutes from Hyde Park. We (in our mid fifties) easily walked to and back from the Royal Albert Hall (takes about fifteen - twenty minutes). All staff we met were friendly, check in staff were brilliant and very helpful. There is a lovely pub just around the corner called The Swan. Breakfast comes with the room and on this occasion the bread rolls were stale, but you do have cereals, tinned fruit, yoghurt and fresh blueberry muffins. There were croissants, pastries and some brioche but we didn't have those so can’t comment on the freshness of them. I should add that the breakfast last time (end June) was much better. Both times though, for two of us, with breakfast it didn't cost £80 for everything and at that price (in London) it is a bargain. If you can afford to pay more, maybe you should do so, but if on a budget, I would definitely try this.	
Aug 8 2005	Unexpected deal	I had wanted to stay at this hotel for ages but could never afford the 165 and up GBP cost. I found an online offer of 115 GBP per night including buffet breakfast and reserved two rooms...delux double. When we arrived we were given the price of 97 GBP which was a real deal during summer in London. Yes, the carpet on the stairs was worn, but the room was beautiful. Nice lotions, shampoo, etc. were included and the buffet breakfast included breads, boiled eggs, fresh fruit, juices, yogurt, cereals. A full Engolish breakfast could be added for an additional 4 GBP. The bar was nice, the garden (roses and herbs) was beautiful and the room service was very reasonable and extensive.The staff helped with all questions - and there were many since we were there right after the second bombing and were uncertain about using the tubes. The hotel offers free email access in a private room and some rooms have a small fridge. AND, the lift worked every time - it is small but it is an elevator and will get your luggage up and down. Our 2 delux double rooms were large and kept very clean.I recommend this hotel for those of us who think that paying more than $200 per night per room is a stretch. The location was special - right across the street from the fountain entrance to Hyde Park and the Lancaster Gate tube station.	
Aug 2 2005	London Elizabeth	We were a family of four in a quad room . The room was of good size. Four singles. Good location near lancaster gate tube. I can recommend London Elizabeth.Ian	
Jun 30 2005	Best staff on the planet	The London Elizabeth Hotel has the most friendly, helpful staff of any hotel I ever visited! When I arrived, there was a problem with my reservation, apparently the travel agent cancelled it by accident. I had brief visions of my vacation being ruined, but the concierge sat me down, gave me a beer, and then gave me a room on faith that everything would be straightened out.The entire hotel is in a charming Victorian style, the room was comfortable, and the continental breakfast was very nice. The internet access was free, and the hotel is very conveniently located near Hyde Park and Paddington Station.But the best thing about this hotel is the staff. They were very helpful, and in the week I stayed there, they took the trouble to get to know me. Multiple people recognized me and remembered the conversations we had. Not only did I gather great information about the area, but I also got some insight into the lives of those who live there, the books they were reading, their views on politics. I felt very welcome and like I really belonged there.Any hotel can give you three hots and a cot, but it is a rare place that can let you stay at home, even when you're half a world away.I highly recommend the London Elizabeth Hotel.Cheers, -tom	
Jun 29 2005	Stay in the Hyde Park Suite...tremendous.	We had the pleasure of staying at this lovely establishment for 6 days. The first 4 were in a standard room. Yes, small and no A/C, but hey this is Europe, and as far as I can tell A/C is not often found anywhere there. The last two nights we were upgraded to the Hyde Park Suite. This is a stunning accomodation not done justice by the promotional pictures. If you can afford it, a couple nights in the suite will cap off your visit quite memorably indeed. The breakfast is top notch, and we ate delicious and reasonably priced suppers out on the terrace in the rose garden, served by the gracious and friendly staff. I have stayed many places in London and enjoyed this hotel the most.	
Jun 27 2005	What's Not To Like?	This is the first booking I've made based on the reviews on this site. I looked up hotels based on their rates then cross-referenced them against the reviews on here. I was a bit nerous as I'd got a really good rate and cheap hotel and London don't ususally go together. I needn't have worried, this was lovely. The room was in my view large, the bathroom was spacious with lots of towels, nice Neutrogena shampoos and gels etc.There was a Casablanca fan on the roof, so I didn't feel there was a need for air-conditioning. The lift is indeed very small. I was luckily on the first floor and therefore didn't use it much, but I can see that somebody with a lot of luggage might have difficulty.My only minor gripe was no tea/coffee making facilities in the room. This was compensated by the fact that your choice of tea can be brought to your room in a nice china teapot with a piece of cake from room service.Friendly staff and place with real character.Chances are I'll be back. Thank you Tripadvisor reviewers for pointing me in the direction of the London Elizabeth.	
Jun 21 2005	Magnificent Ambience!	We stayed at the London Elizabeth Hotel from 2nd June to 4th June. Although the passages &amp; lift were small, our room was truly very beautiful. It looked very victorian. Pretty crystal lightings, a huge fireplace and a wonderful view of the street below. We were very close to the Lancaster Gate underground. The bus stop outside was very convenient too. It had a direct bus to Westminister Bridge. The rose garden served very good breakfast. Above all, the staff was very polite and attentive. We had booked under the &quot;Family Fun Break&quot; package and really enjoyed the whole experience. We will surely be back whenever we return to London.	
Jun 2 2005	Beware!	The pictures and the ad were lovely but the reality was a shocker! We knew that rooms are smaller in London but this was a closet! When our luggage was in the room we had to climb over our carry-ons to get to the bed. The room was called a &quot;standard room&quot;, meaning no air conditioning and we were in the attic! You can imagine how hot it was. The rooms shown on the internet were not identified as deluxe rooms. We feel their &quot;standards&quot; are pretty low. The bed was a lumpy mattress on the floor and not even a queen size. The towels were scratchy, thin and smelled funny.The hotel itself is a pretty, very old building in a beautiful setting, right across from Hyde Park. The staff was very patient and informative, they gets lots of praise from us for helping us time and again get to the places we needed to go. If you use this hotel ask lots of questions and try to get a &quot;deluxe&quot; room on the first or second floor. Your chances of getting out of this old place if it caught fire and you were on the third or fourth floor would be pretty slim.	
Jun 2 2005	Great Location Good Value	My wife and I stayed at the London Elizabeth for 12 nights in early to Mid May 2005. The Elizabeth has a nice European feel and charm. It is small, but has a traditional, old fashion ambience. Small but pleasant lobby, attentive staff, and clean and well kempt throughout. Our room was small but nice and certainly adequate for the 2 of us. We booked through a budget site online, and there are larger, more expensive rooms and suites. A continental breakfast was included. It was not extensive, but certainly quite adequate. The breakfast room is pleasant and the staff was very good.We think the location is great. Right across from the Lancaster Gate of Hyde Park, the Elizabeth has a bus stop right out front served by 4 useful bus routes, and is about 50 yards away to the Lancaster Gate Tube stop on the Central Line. It is within easy walk distance of Paddington Station, and it's immediate neighborhood is a pleasant residential area. We loved being just steps away from Hyde Park and all that it offers.	
May 25 2005	Our Home Away From Home	The London Elizabeth Hotel made our London experience amazing. It's location across from Hyde Park and close to tube and bus stations were only a few of the many features that made our stay pleasurable. The best part of the hotel was its staff. Not only were they very knowledgable they were extremely friendly and welcoming - every guest was made to feel like they were at home, a part of the family. While the accomodations are not what we experience in North America, our room was extremely clean and comfortable. It was nice to start our day off with the enjoyable continental breakfast and to return &quot;home&quot; at the end of a long day of walking and sit by the fire with a pot of coffee or tea served in true English style. While the hotel did not offer a restaurant for lunch or dinner, an outstanding room service was available 24 hours a day and could be served in the various areas of the hotel. Any questions we had or concerns we approached the staff with were responded to promptly and effectively. For a bunch of Canadian girls traveling half way around the world the London Elizabeth Hotel become our home away from home.	
May 14 2005	Honeymoon in London	We had a very pleasant 6 nights. This hotel has a very helpful friendly staff, but do not expect the same standards of accommodations as in the States. We had booked a double room but upgraded to the Montague Suite after feeling the double room was very dingy. The Suite was much better, the bathroom a good size, and although we were on the street not real noisy. It would not have matter how noisy it was outside because we were sightseeing from 8am and returning to your room at 11pm dead tired. It was always lovely to return to our suite. It was nice to have breakfast included each morning but by far the best quality of this hotel is the location!!! It is situated right across from beautiful Hyde Park, not far from Kensington Palace/Park, Victoria/Albert Museum, and directly across the street from the Underground! This was a fantastic perk to have the Underground so close as we used it everyday. The Underground in London is suburb, easy to navigate, and an excellent way to get around London!! The bottom line…. London is a very, very expensive city (we have traveled all over the world) and the London Elizabeth is a value for your dollar.	
May 13 2005	Great Place!	Just returned from a week at this hotel. The staff was accomodating and helpful. Although the kitchen wait staff seemed grumpy-- not outwardly, you just got the vibe that they hated their job! We had a split stay. The first part, we were on the first floor however and the room was a little 'tired' and a bit stuffy, but completely adequate. I would also say it was standard size for Europe, a bit on the cosy side. The noise on the first floor didn't bother me, but if you're a light sleeper, bring earplugs. And I'd avoid 1st floor rooms in the summer as the windows do not open (double glazed I assume to cut down on traffic noise) They were willing to move us the next day but we decided to stay.Our return landed us on the 3rd floor with a very much nicer room than the 1st floor, however only a shower, no bath.Its proximity to the Lancaster Gate tube stop is fantastic, literally a 30 second walk.The morning breakfast was completely adequate, I don't know who'd want more. We ended up skipping lunch a couple days. Full English costs extra but there's cereals, yoghurt, fruit, juice, assorted rolls, etc.I think the rates are much higher than what the room was worth if it were in the U.S., but not by London standards where it seems only the dumpiest of places is under $100.	
May 11 2005 	Good (but not more)	I travel to London one week every month and stay at 2-3 star hotels in the £60-80 category. I booked the London Elizabeth at £65 which it was worth, but would not stay there for more.I stayed at the hotel for a week in April while on business and have mixed feelings. The immediate feeling upon entering the hotel was not that great, but lifted by very friendly receptionists. The entrance is on a very busy street and the lobby not very cozy. Getting up to the room might be a problem for anyone who is not fit (the elevator was filled by 2 people and very slow). I had a single room which was (given standards in London) quite pleasant, however the bed-cover was quite seedy and the yellow blanket likewise. The bathroom was small but tidy and seemed newly re-decorated (big plus). Again, given standards in London, the bathroom was very good!The breakfast was sufficient, but in the area both the Westminster Hotel and the Best Western Mornington are far better, if breakfast is important. So all-in-all my general review stays at GOOD.Other hotels in the area you may want to check, if you can get them at the £60-75/night interval, in comparison to the Elizabeth:Best Western Mornington: + for beds and breakfast, - for bathroomWestminster Hotel: + breakfast, - for bathroomCorus Hotel Hyde Park: + design and amenities (in new rooms), = breakfast, - room sizeHope this helps, and enjoy your trip to London!	
Apr 27 2005	Traditional English Style	My sister and I stayed at the London Elizabeth Hotel and were delighted with the style of the hotel.We did book our twin room over the internet, however when we got to the hotel, our twin room was not available. On the brightside however, we were given the Montague Suite. It has a double bed, a sitting area with a couch and pretend fire place setting. The bathroom is quite large and has a hairdryer.The only negative point about the suite was its location in the building. It was in the basement, so there was no view out the window, apart from the legs of people walking by.The continental breakfast was more than adequate with croissants, pastries, yogurt and cereal available. The hotels location was wonderful. Directly across from Hyde Park, and across the road from the Lancaster Gate underground station. It is a short 5 minute walk down the road to Marble Arch, where many shops and tour buses go around.	
Apr 10 2005	Not great	I stayed at the London Elizabeth in 2002 with a friend. Upon arriving in our room, we were met with horrible smell coming from the bathroom vent in the floor. The hotel staff changed our room immediately. Our new room was large, but very noisy at night due to traffic on the outside street. We were very close to Kensington Park, the best part of our stay. The hotel lift is very small, when checking in only one person could ride with the luggage while the other one used the stairs. Hallways were very small and there were serious level changes (uphill/downhill) in the corridors. Breakfast was ok. I was hoping for something a little nicer after looking at the rooms on the website. Perhaps the hotel has been refurbished since 2002....	
Apr 10 2005	Spectacular (but we were lucky...)	Just stayed at the London Elizabeth Hotel in the Hyde Park Suite. It was HUGE!! It had a large sitting area and a grand sleeping area separated by folding leaded glass doors - with lots of dark &quot;antique&quot; furniture, period details and some funky added touches. The bathroom was marble with a 14&quot; shower head in the ceiling. (Neutrogena toiletries). We had both a front and a back baclony. We were upgraded (for free) from a standard room, which appeared much smaller and much less elegant. Breakfast was fine - nothing grand. Room service was speedy and reasonable. The location is great - an easy walk to Paddington, right on Hyde Park/Kennsington Gardens and only a few feet from a tube stop (Lancaster Gate). The neighborhood is pretty and safe. The hotel is on quite a busy street and the trafic noise could be troublesome to some.	
Apr 6 2005	Loved the London Elizabeth	I got a good price for a standard single room at the London Elizabeth hotel for Easter week after reading the reviews here. The room was on the ground floor, but had double windows and was very quiet despite the busy street outside. The room was very nice and large for a London hotel room. The bath was a good size and had a tub with shower and heated towel rack. The room was kept at a very nice temperature with the enclosed radiators under the windows. The room included two twin beds, two night stands, a desk, a table with 2 chairs, a TV cabinet that contained a medium sized TV, and an adequate closet in the entry hall. Everything was well kept and clean. The staff was very friendly and available 24 hours a day. Breakfast was nice. The included breakfast consisted of several kinds of bread and pastries, fruit salad, boiled eggs, several kinds of cereal, yogurt, juice and milk, coffee and tea. You could order a full English breakfast for extra cost. A computer with internet service was available in the Boardroom for guest use. I found the London Elizabeth to be an outstanding value for London and will stay there again.	
Feb 23 2005	Nice Quiet. Convenient Hotel	My two teenage boys and I stayed at the London Elizabeth Hotel for 4 nights in February. We had a very comfortable room called the Conservatory Suite. It had a queen sized bed and a twin sized bed, which suited our group of 3 perfectly. The beds slept very well and the room was very quiet. The room has a small balcony, garden which would have been very nice in good weather. The hotel is a bit shabby and old looking, but not distasteful. The hotel has a small bar which serves drinks and snacks. The breakfast room is very nice. The breakfast included with the room is a continental breakfast. Most of the staff were very helpful and friendly. The neighborhood seems very nice and safe. There are not alot of restaurants near the hotel, but many can be reached by a short walk or underground ride. The hotel is right across from the fountains at Kensington Gardens, which are very beautiful. The best thing about the location is that the Lancaster Gate Underground stop is right across the street. Also, the hotel has a great $1=pound=euro deal which makes the hotel priced right.	
Feb 1 2005	A wonderful London experience	We stayed at the London Elizabeth from the 30th December 04 to the 6th January 05. It is a wonderful hotel for those wanting a true London experience at a good price. The hotel is not new, it is made up of three private Victorian houses, but has great charm and warmth and the staff are very friendly and always helpful. We are two adults and a child of 13 and had Room 449, the only King bedded room, with an extra single bed. The room was large enough for the three of us plus some pretty bulky luggage.The room has two windows that open on to the street, but in winter, we had them only open a few inches for fresh air, so were not unduly disturbed by street noise or traffic. It could be different in summer, and if street noise bothers you, worth asking for a room at the back. The room has a fairsized closet, desk and dressing table with drawer space as well.The bathroom is small, but adequate, a bathtub and shower. Hot water almost all of the time, shower pressure not terrific, but perfectly acceptable. Fresh towels everyday and bed linen changed every alternate day.There is a tiny lift, just two persons at a time, but the staff will deliver your luggage to your room.Continental breakfast is included in the price, with a choice of cereals, croissants and muffins, hot toast to your table, a fruit salad and yoghurt. An English Breakfast is available at a supplement .The Room service menu is quite adequate and reasonably priced for evenings where you don't want to venture out, after a full day.The location of this hotel is ideal for visitors, two minutes walk from Lancaster Gate Tube and a brisk fifteen minutes from Paddington, which has a number of restaurants, most cuisines you would wish for. The Tube gets you into the West End in a few minutes. There is a Bus stop right outside the front door, the buses take you (or easy connections) to most of the major sightseeing districts. Hyde Park is just across the road, ideal for early morning walks. Trish, the Guest Relations Manager and her staff at the front desk are very friendly, always happy to point you in the right direction, make bookings, etc. We used their recommended Taxi service to take us back to Heathrow, a flat rate of GBP 35.00.I had researched this hotel on the web for months prior to our trip and used recommendations by other Tripadvisor users. Both my husband and I are in the Hospitality Industry and therefore quite fussy about where we stay. I can honestly say we were very happy with our choice and would happily stay at the LE again. We took advantage of their Dollar = Pound offer and this made it a great deal. It is not a luxury hotel, but for the price, a wonderful find.A tip for those not quite decided when to travel. Go in the Northern winter, there are no queues, it is easy to get into attractions and restaurants. The weather stayed fine for us most of our five weeks in Europe and we would definitely go in winter the next time round.	
Oct 26 2004	Good location - lots of traffic	Our family of four (two children, 3 and 12) stayed at the Elizabeth hotel from Friday to Monday. We had reserved a family room and were given a room on the second floor with two extra beds - not a lot of extra space though and it faced the street, i.e. a lot of noise from the traffic, quite disturbing. Big bathroom (for London hotels anyway) with excellent shower/bath, but a bit worn. Really small elevator, which our children enjoyed while we climbed the stairs... Good breakfast, even including hardboiled eggs. Great location, very close to the tube and buses to Oxford St stop outside the hotel. Hyde Park just across the street, with beautiful fountains and even a playground for children, which we enjoyed. All in all, very conveniently located - but the room we were given was a bit worn and the traffic noise was disturbing. Would consider staying here again if we could have a room not facing the street.	
Oct 20 2004	Birthday Trip to London	Five great days in London.....ending with my wife's birthday being celebrated on our last day. Doesn't get much better than that!!Our stay at the London Elizabeth Hotel was very pleasant. Our room was large (though not the one we reserved) but we didn't mind. The room was clean (but there is room for improvement with the housekeeping staff). The outstanding features were the delicious breakfast served every morning, and included with the room charge, and the helpful staff at the front desk. After day one, they remembered our names and always interacted with us in a friendly manner. We enjoyed the neighborhood. Tour books spoke of the neighborhood as a wasteland for restaurants. But we had no trouble finding some quaint and charming places to eat. It was unbelieveably close to public transportation. We loved being able to walk across the street to the park and sit by a lovely fountain as we read during the late afternoon. After a busy day of &quot;touring&quot; it was a great way to unwind before dinner.All in all, a very good place to use as home base on your trip to London. If we return to London, we would certainly consider staying at the London Elizabeth Hotel.	
Oct 19 2004	staff great very helpful	The hotel was so convient for us with subway(tube) right across the street.The Elizabeth is a little worn, but staff more than made up for it very helpful giving us a bigger room after night in very very small one . We joked that this was a test and if we passed we get to stay in bigger room .We passed. Hyde Park across the street and real nice Indian restaurant within a block. A2 bus stops across the street so makes a quick trip to and from Heathrow ...very convenient.We highly recommend this hotel.	
Sep 12 2004	Friendly staff great value	Had two very pleasant nights here. Large clean comfortable room, friendly and helpful staff. On the edge of Kensington Gardens, so reasonably quiet and has safe parking at back of hotel. We would certainly use this hotel again anytime we're in London.	
Sep 11 2004	Disappointing Stay	We reserved a double room at this hotel, months in advance, for four nights. The hotel itself is pretty and is in a good location; however, our sleeping room was the tiniest we've ever stayed in anywhere. On a positive note, our room had an incredibly huge stained glass window (which, when opened, overlooked a parking lot) and an enormous walk-in closet that was the size of the sleeping room itself. Weird. Our main complaint stemmed from the consistent odor in the bathroom sink that just never went away...but it's an old property with old plumbing. We wouldn't stay here again.	
Aug 29 2004	Great Family Stay	Just returned from a great stay at the London Elizabeth. We had booked a family suite, when we arrived we found out that the room we were booked in wasn't available, without us requesting the change, the staff put us into two rooms for the family suite price. All staff was very friendly and helpful.The room was quiet and comfortable (on a below ground level), with a good strong shower, but strangely, only half a shower door. (?)Breakfast very tasty and included in the room price.The location is ideal, one block from a subway station, across the street from Hyde Park. My children and I walked across the park past the Albert Memorial to the Natural History and Victoria and Albert Museums.I would stay here again in a heartbeat.	
Aug 1 2004	Pleasant friendly hotel	Our stay at the London Elizabeth in July 2004 was an extremely pleasant one. The staff are helpful, the rooms are spacious, and the locale is a good one to use as a base for exploring London. An added bonus was the generous breakfast included in the room rate.Minor quibbles: adjacent to a main thoroughfare so a little noisy; faulty fire alarm woke us up at 5am!Otherwise a good hotel, reasonably priced for London; I recommend it.	
Jul 12 2004	can't find a better family deal in London!	We chose this hotel because it was one of the cheapest ones recommended on Karen Browne's website. It really is a bargain for families visiting London. The four of us payed GBP250 (all inclusive) for 2 nights in June, including tickets for 4 to the London Eye, cocktails the first night, a dinner and 2 breakfasts! Our small room had 3 single beds and a cot. It was not luxurious; the simple furniture, blankets and carpets are in need of updating. But the hotel is clean and the bathroom was nice and modern. The hotel is conveniently located accross the street from Hyde Park and walking distance from Paddington Station, which is where the Heathrow Express dropped us off. But our room on the 4th floor was very noisy from the traffic on Lancaster Terrrace, starting at 5 in the morning. The hotel has an elevator. The barman was a friendly Polish man and the service at the front desk depends on the receptionist who happens to be there.We met couples there who had booked a theater package -also great value!- and they said their rooms were really nice like the ones they show on their website (4 poster beds etc).	
Jul 5 2004	Friendly staff comfortable rooms great price!	Stayed at the London Elizabeth Hotel for three days last week and loved it! I was worried after reading some of the reviews, especially about concierge knowledge, and learnt that the hotel had two new receptionists. During my stay, there was always someone around who could help. They helped me out with everything, from places to go, restaurants, theatres, everything. The room was cosy and felt very homely. I didn't go for a deluxe room as I was travelling on my own, but I did see them and they are beautiful. For single people travelling on their own, I recommend this hotel, as you feel really at home. I will definitely be back. The staff are great, nothing is too much trouble for them.	
Jul 1 2004	Typical London hotel both good and bad	Purchased a deluxe double off lastminute.com for a one-night stay here. The hotel was as advertised: well situated, cozy, comfortably worn. With the online price break it was a fair value. But the imperfections annoyed me. I was upgraded to the pretty &quot;Elizabeth Room&quot; on the top floor, yet when I requested a room closer to ground level, I was told the hotel was full. (So how'd I get a premium room for 98 pounds?) I asked if the tiny elevator was trustworthy and was told, &quot;well, not 100%,&quot; leaving me to climb 96 steps to my room. I found hair (plural) in my bathtub--not a deal-breaker but truly unpleasant. And my 7:30 wake-up call came at 7:15. I thought the staff was quite accommodating for a London hotel, and my stay worked out fine, but prepare yourself properly.	
Jun 30 2004	home from home	As soon as we walked in we where greeted by a smile and made to feel very welcome, our room was not ready as it was only early Trish the manager on duty ordered us coffee and sat with us and gave us maps and directions. We bought tickets for the London Eye at the Hotel and it was added to our bill. The staff where great and nothing was to much trouble for them, we walked accross the street to the tube station and to Hyde Park armed with a bag of bread from the hotel staff. We stayed here for only four nights our room was nice and at the back, so not so much street noise. This will be our home from home every time we are in London.	
Jun 30 2004	Position comfort and value - a great combination	We stayed at the Elizabeth for 4 nights in April. For the first night we were in a room off to the right of reception which embodied all the negatives that tripadvisors have reported - it was tight and it was tired. However a friendly discussion ensured that we were upgraded to one of the twins at the back with the bathroom up a small flight of stairs. This lovely room with plenty of space made a world of difference.Good breakfast and position - just over the road from Hyde Park. One shower of rain will demonstrate the value of having a bus stop right at the door. Would we go there again? Absolutely.	
Jun 18 2004	Nice rooms but the concierge service was poor	The hotel is charming. The room was nice, clean but hot and stuffy -- could not get the air conditioner to give off any cool air but could open the windows and get a nice breeze. Location is nice, just across the street from the Lancaster Gate tube stop and also just across from Hyde Park. My complaint was with the staff. They were all friendly, but knew absolutely nothing about London. They were unable to answer questions about how to sign up for bus tours of the city, hours of the biggest attractions, or even give recommendations for restaurants. We happened to be in London for the Trooping of the Colours (a celebration of the Queen's birthday) and they had no idea what I was talking about when I asked for more information about it. My best guess is that they were students from another country who were working at the hotel for the summer. Their lack of knowledge of the city made me feel like I was loosing out on a lot of the possibilities that the city offers. I think the hotel is wrong to say they have a concierge when their staff is unable to even make dinner reservations (they just told me I had to call the restaurant myself).	
May 31 2004	Simply great!	My wife and I spent 7 nights at the London Elizabeth Hotel in April 2004 and we were delighted with our choice which we researched through Trip Advisor. I had read other reviews about London hotels being expensive, pokey and worn-out with staff that were less than friendly. I am very pleased to say that none of these things describe this hotel. Our rooms (we had two separate stays) were tastefully furnished with comfortable beds. Most importantly, there was no traffic noise whatsoever. The location of this hotel is perfect for exploring London. The bus stops outside the hotel and the Lancaster Gate underground station is opposite. If you choose to walk, central London is only 15-20 minutes away along Bayswater Road. Harrod's is on the opposite side of Hyde Park which is adjacent to the hotel. We booked this hotel over the internet and had no problems whatsoever. Trish (Hotel Manager) and her staff looked after us very well and ensured that we left with fond memories of our stay. We would certainly recommend this hotel to others. 	
May 23 2004	Wonderful quirky place -- make sure you upgrade	I decided to book at the London Elizabeth primarily due to the good reviews written at Trip Advisor (and carefully reading the bad ones and why people were disappointed).We had a wonderful stay (last week in April 2004), but the best piece of advise is to upgrade your room choice rather than book at the lowest discount levels because there is a huge difference in the quality of room. Even by upgrading, you'll still get a heck of a deal in this most expensive of cities (especially with the dollar to GBP conversion). Plus you're right across the street from Hyde Park, literally steps from the Lancaster Terrace tube stop, and the bus stops directly in front.The staff was wonderful, our room was delightfully quirky, the breakfasts more than adequate, and the pub downstairs had its share of colorful locals. All in all we had a fabulous stay. The only negative for us was the lack of internet connection that made life difficult.Just make that room upgrade!	
May 6 2004	Best location in London	I stayed four nights at the London Elizabeth Hotel and loved the location...right next to beautiful Hyde Park. The staff at the hotel were friendly and helpful and since this was my first trip to England, they were indispensible with their knowledge of where to go and what to see in London. The hotel is a charming Victorian and my room at the back of the hotel was quiet and comfortable. The staff made me feel like one of the family! I would highly recommend the London Elizabeth and will stay here again if in London again.	
May 4 2004	Wonderful stay at the London Elizabeth	I stayed five nights at the London Elizabeth in February 2004. As a former hotel employee, I have very high hotel standards. The London Elizabeth met and exceeded all of them. The staff was incredibly friendly, charming and helpful and the room was beautiful and clean. Add that to the London Elizabeth's perfect location and you have a first rate hotel experience. I'm looking forward to returning to London and when I do I will definitely stay there again.	
May 3 2004	Charming Hotel Friendly Staff	We stayed at the London Elizabeth last winter and had a wonderful time. The rooms were elegant and very clean. The staff was very friendly. It was our first trip to London and they gave us great recommendations on where to go and what to do. Highly recommended.	
Apr 22 2004	Simply the worst. $425.00 thrown away.	We were so disturbed by the shabby and dirty interior that we changed hotels and were charged the full amount for two rooms for one night. The Barrie suite mentioned in another review is below ground, a full flight of narrow stairs, near the kitchen. A kitchen worker helped us with our liggage. We were offered the only other room available for the night on the 4th floor. The elevator fits one person with luggage or two very friendly people and looked completely unreliable so we decided to walk up. After getting up the seemingly endless, steep, rarely vaccuumed, staircases we were shown the smallest, ugliest room ever. The entire hotel was completely dingy, worn, chipped and gloomy. Since I was celebrating my 50th birthday, which they were aware, of I could NOT stay there. We switched to the Royal Horseguards which was CHEAPER and exceptionally lovely, a king room overlooking the Thames. I don't know where those other guests are used to staying but being a frequent traveller, I was appalled.	
Apr 15 2004	Mixed Review	Our experience at the London Elizabeth was mixed. I had taken advantage of the &quot;dollars for pounds&quot; special and reserved 2 non-smoking adjacent rooms for our family of 4. When we arrived and found that the rooms were in different wings, I accepted the explanation that adjacent rooms could be requested but not guaranteed. I was less understanding when we got into bed and discovered the linen smelled strongly of smoke, later finding an ashtray in the room. The next morning I protested and they did put my husband and I into a very nice non-smoking suite for a night. Our things were moved for us, which was thoughtful, but a nice sweater was lost in the move, which was a bummer.  The desk staff were helpful in arranging for us to have a quad room for a discount for the rest of our stay. All of the rooms were too warm for us and we had to choose between a very noisy ceiling fan or a stifling hot room. Didn't sleep well any of the nights.  The breakfast was fairly good with attentive staff. It is right at a tube station and across from Hyde park. Everything was clean. There was a free but very slow internet computer.  All in all a mixed review. I think next time I will try a different hotel.	
Apr 15 2004	Enthusiastically Recommended	A travel companion and I stayed at the LEH for 5 nights in January 2004. We shared a standard twin room. The room was decorated in a frilly victorian style, which is usually not my thing, but here it felt like part of the English experience. The bathroom was clean and modern and we enjoyed the Neutrogena products. Each morning we fortified ourselves with the LEH breakfast and each night, after hoofing around the city, it was a joy to return to the LEH. We took advantage of their 1GBP = $1 promotion and found it to be an excellent value.	
Apr 8 2004	Great Hotel	We stayed in two rooms (four adults) for a week at the London Elizabeth. We all think this is one of the best in its class hotels that we've ever visited. The staff bent over backwards to help us with everything from show tickets to restaurant/pub recommendations to internet access. The hotel is charming and well located. Yes, it's not the Ritz, but we were treated as welcomed and important guests and the rooms and amenities were far better than we expected. Every guest that we met at the hotel (mostly Americans, by the way) loved it. I don't give praise lightly, but the London Elizabeth is a really special place.	
Mar 29 2004	Just okay but for the price it'll do	We had the Barrie Suite which was quite spacious. The room has no view, but we appreciated the fact that it was quiet. The only problem with this room was the fact that the bed was quite small (only a full). The breakfast was boring and we constantly had to ask the wait staff for everything. The front desk staff wasn't overly friendly. The hotel is conveniently located across the street from the tube and you can't beat the pounds for dollars deal. I do not think I would pay full price for this hotel.	
Mar 27 2004	Suitable for one night only and then......	This hotel is suitable if you are desperate and then for one night only. The hotel is worn out and the continental breakfast served was only fair. The only redeeming quality of this hotel is the location. The rate regular rate for single was adveretised as GBP100, tho I got it 30% less thru the internet. I shan't stay here again. By the way, the 10&quot; TV was at least colour.	
Mar 26 2004	A great place to stay	We just spent 7 nights at the London Elizabeth Hotel and loved it. We were upgraded to a Deluxe Twin at the back of the building which was spacious and quiet. The staff were very helpful and went out of their way to help us. One amenity not mentioned by the other reviewers is that they have hot water (although sometimes you had to let it run sometimes) for the shower/tub.The location is great. I would recommend buying the London Transport travel pass which allows you unlimited use of the Tube and buses - you need to order it before you leave the States. You can get a map of all the bus routes at the Tube, although not all of them have the complete map (pink cover).We also found several good restaurants within a five to 10 minute walk, and with the convenience of the Tube/bus you can get to more dining opitons quite quickly and easily. You can have high tea at the Orangery in the Kensington Palace enclave, which is located in Kensington Park across from the hotel.We would stay at the hotel again and especially liked the $1=1 GBP promotion which definitely helped streched our dollars.	
Mar 24 2004	Greatest deal in London!	The location is amazing- the staff is great! I would definately recommned this hotel! it is the best value you will find! Breakfast is good- people are great-Although Something to watch out for: make sure when you book that you ask for a room that is in the back [they are doing construction and the room in the front was very loud from the construction and traffic] They will do everything they can to ccomodate you! I have gone to london 5 times and this is the greatest place I hve found!	
