	3 nights...perfect...nowt wrong with this hotel	stayed for our wedding anniversarya great hotel....good bedrooms...great fym /pool...also thy now have a spa...for spa treatments....lifts were ok.......no probs at all........nice walks to primrose hill and regents park canal...nice parks in area for kids....playgrounds and stuff.....all nice and clean .......fresh towels everyday ....staff very good and friendly.....will defo stay again 10/10.....	
Aug 25 2007 	So nice!!	We stayed here from the 16th through the 22nd. They had just remodeled the hotel so we got the most wonderful room on the 5th floor. It was very, very nice and clean. All the rooms have little balconies and air condition. The only thing that bothered us was that in the restaurants, the staff wasn't very friendly, it was very expensive and it took awhile to get our food. Just breakfast was $80 for me, my husband and daughter. It was a little cheaper to order room service than to go downstairs. There was a breakfast buffet every morning with all kinds of stuff on it. So it was great to get a good meal in before heading out for the day. Theres nothing really close by so we ended up eating at least once a day in the restaurant because it was so much easier. We went to Wagamama a couple of nights and if you love noodles, you will love it! Everything is unbelievably expensive everywhere, but this place is not too bad and really worth it. We really loved this hotel because it was sort of out of the busy hustle and quiet. The Swiss Cottage Tube is right around the corner also. If we go back we would definitely stay here again!	
Aug 25 2007	Really Nice Hotel	Really what you would expect from a Marriott - large clean and comfortable rooms and lovely retaurant and bar area.The staff were really accommodating and the food in the restaurant was great and very reasonably priced. We ate from the 3 course menu which was £25 and included a glass of wine (always a great selling point!!)The bedrooms have just been refurbished and are really modern and airy - the only one thing I would suggest is to provide propoer haidryers in the rooms! The beds live up to the Marriott standard - they are so comfy that you never want to get out of them!!!Locationwise it's great too- only a couple of stops on the tube to Bond Street and a twenty minute walk to Camden!So a big thumbs up for this hotel - will definately be returning!	
Aug 16 2007	A good experience	Stayed here for 1 night in Aug 2007. Had an excellent room on the second floor in a quiet part of the hotel which had an extremely comfortable bed, good sitting area, functioning air con and an excellent bathroom. Breakfast was one of the best expreienced in a hotel of this type and service and facilities were genrally good (apart from somewhat slow reception staff) The only complaint was with regards to the poor quality of food served in the evening. The &quot;prime cut beef&quot; burger had clearly arrived straight from the factory via the freezer and the tiny portion of Caesar salad was made with the very bitter inner leaves of the lettuce. Not good. However, there are plenty of local options to eat out in Swiss Cottage, St Johns Wood High Street and Regents Park Road in Primrose Hill. Would stay here again.	
Aug 3 2007 	Great hotel in London	Me and my husband stayed for 3 nights at the Marriott Regents Park. It was a treat for my Birthday and also an opportunity for my husband to watch the start of the Tour De France. The hotel was in a good location - close to the centre of everything but not too close - the surrounding area wasn't too busy or noisy.We checked in around 1pm (had requested early check-in) and the staff were helpful and friendly.Our room was on the executive floor and it was lovely and spacious with a lovely bathroom, very comfortable bed and a nice balcony where we could watch the world go by. As we were on the executive floor we also had access to the executive lounge which provided free snacks and soft drinks.Breakfast was included in our package and was a typical buffet breakfast - the food was tasty and fresh and the staff were very efficient. We had room service a couple of times and found the service quick, food was delicious and not overly expensive by London standards.Unfortunately we didn't get chance to try the hotel bar because we were so busy every day.The only down side to this hotel was the cost of parking - it cost us nearly £70 to park our car for around 36 hours.All in all though it was a lovely stay in London and I would definately recommend this hotel.	
Jul 19 2007 	Rooms were hot as hell - avoid until air conditioning fixed	I use this hotel a lot for business travel and have always enjoyed the quality of the hotel and the very professional staff. But this time when I booked no reference to the failed air conditioning was mentioned neither at the booking nor the check-in stage 2 days later nor again in the room.It was horribly warm all night and all the staff could do was offer a fan. On objecting it seems the hotel have decided not to inform guests but simply remove 'air conditioning' from the description on their website. However, how can a hotel clasify itself as luxurious if it cannot offer the basics of London's three star hotels; &quot;luxury bedding with custom comforters, thicker mattresses, fluffier pillows&quot; are no substitute.This is an unworthy approach by senior management to an understandable problem which leaves the Marriott's customer-facing staff in a very difficult position. The deliberate lack of information damages customer loyalty and Marriott should know better!!!!! Poor show.	
Jul 17 2007	not going back	This is a fancy hotel with some good service and some terrible service. Good service included the bellmen and concierge (very friendly). However, the guest services department you reach by dialing 0 from your room is useless. They are not knowledgeable about services, are curt and unprofessional, and rush you as they have another phone ringing loudly in the background. The front desk staff is ok, but nothing special. Both the website and the desk staff neglected to inform us that the air conditioning was not working and we were hot and sweaty every night. The kitchen closes at 11pm, right when hungry theatre-goers are returning to their rooms. If you're one of these, your only choice of food is a cold sandwich which is highly overpriced and takes forever to be delivered.I worked for Marriott for several years so I can say with certainty that this property is not up to scratch by Marriott standards.	
Jul 9 2007	Not perfect but pretty good	We stayed at the hotel as part of a wedding. The pros: Great location, close to tube, lovely Primrose Hill and the fabulous Regent's park. Pretty good gym and a large pool (for an urban hotel anyway). The room was large, clean and very comfortable. Good breakfast which was included in the room rate. Very friendly staff. The cons: there was no air conditioning because of renovations and the rooms were sleep-disturbingly hot. Obviously temporary. Access to the pool was a bit strange, looked like it was part of the renovations too. The spa is also being renovated; I was very happy to get a pedicure there but it was very cramped. I would definitely stay at this hotel again. The location is great as long as you are happy not being in dead-centre London. I found this to be a bonus though -- because it is near the parks and has the large pool it is also very relaxing.	
Jul 5 2007 	Marriott Member Benefits	We stayed for 3 nights at the end of June. The main parts of the hotel and at least 20 of the rooms have just been renovated. When booking, ask for a renovated room as they looked much nicer than the older rooms. Since we are Marriott Gold members we were given a room on the 6th floor executive level, which has all newly renovated rooms. The new rooms are great and included robes, slippers, mini bar, and very large bath sheets. If you're a Marriott member, the members only lounge has free wi-fi and access to a computer. Members also get free breakfast and free happy hour snacks. Non-alcoholic beverages are available for free all day. If you use marriott points to stay here, it cost us 55,000 points for 2 nights. That's a lot of points but hotels in London are very expensive.The hotel is located within a 5 minute walk of the Swiss Cottage tube station in a relatively quiet area of the city. The hotel is apparently good enough for celebrities as some members of England's cricket team were staying there, causing quite a bit of excitement for some of the guests who lined up to get Monty Panesar's autograph.	
Jun 26 2007 	Very nice London hotel at a reasonable price	We stayed here for three days. The rooms are very nice, large, clean, and well appointed. The beds are dreamily comfortable. The staff were attentive, friendly and professional. The renovations have shut the air-conditioning off, so it was a little warm in the room, but we kept our sliding door open, so it was very nice and cool in the evening. The hotel staff will supply a fan if you want it. Part of the hotel is under-renovation, so we heard a little noise, but we paid a great price for the rooms in a London hotel of this stature. The hotel is a few minutes walk from the Swiss Cottage underground. From there a zone 1 and 2 pass will take you virtually anywhere in London. So adjust for the temperature, and a little noise in the day, and enjoy this lovely hotel while it is discounted.  We were very pleased with our stay.	
Jun 5 2007 	Fine 3.5 stars rather than the advertised 4 stars	Booked this hotel through Priceline for $125 a night (2 nights). Was disappointed to see that part of the property was under renovation. Finally got PL to contact the hotel and we were promised a room that would not be affected by noise.Checked in and we were given a corner room on the 3rd floor. Room was very spacious, bright and well equipped. Corridoor was quiet.Bathroom was a decent size though the bath was small. Only thing the bathroom was lacking was a magnifying mirror - pretty standard issue for &quot;4 star&quot; hotels, and vital for those of us who need to prettify without our glasses on!Three big let downs from the room:1 - the air conditioning did not work properly. We didn't need it the first night, the second night we returned late to a humid room. Stuck the air con on at the lowest setting and the room got warmer not colder. It was too late at that point to contact maintenance.2 - room was over the banquet hall. Not much fun when the wedding party broke up at 3am, the did not depart quietly and this disturbed our sleep greatly.3 - the plastic matress protector!! This was the most offensive thing about the room. I understand that hotels want to get the maximum life from their mattresses but I woke up at 2am the first night feeling sweaty and uncomfortable. Suspected it may be the bed, removal of the lower sheet revealed a mattress protector with a plastic lining. No wonder my back was clammy! This is unacceptable practice in a 4 star hotel in my opinion, there are plenty of &quot;breathable&quot; alternatives.Didn't eat in the hotel, plenty of affordable options within 5 mins of the hotel and beyond. The area felt safe and the tube station was less than 5 mins walk away.Overall this hotel was fine, just not deserving of a 4 star rating.	
May 21 2007 	Comfortable and Friendly	We stayed here for three days, and were very impressed with the staff. They were friendly and professional. The rooms were large, clean, and well appointed. The hotel is about a three minute walk from the Swiss Cottage underground, which is very convenient to everything you might want to see in the city.We loved the bed, the newly renovated bathrooms. We were especially impressed with the friendly and helpful staff. The neighbourhood was quiet and had relatively easy access to the underground and a bus service (leading to downtown spots) just outside the door.We were very pleased with our stay.	
May 4 2007 	It's fine	We stayed here in March. Yes, all the reviews that mention the hotel are undergoing renovations are correct. Other than the display in the lobby and signs indicating the other wing of the hotel was closed we never would have known. There was no noise, dust, or problems. Our room was one that had been renovated and it was nice, clean, and pretty large by London standards. Web connectivity was really expensive (12 GBP a day, I think). Breakfast in the hotel is also very expensive for a pretty basic spread. We used the pool, too, which was fun.The location is great if you want to be in the northwest, but it isn't in the heart of the hubbub. We had lived in Belsize Park, so this location was great for us. It's very close to the Swiss Cottage tube stop (Jubilee Line), so you can get anywhere. It is also walkable to Regents Park and Primrose Hill, which is a plus.In the end, it's a Marriott, so it feels pretty much like any other Marriott you've stayed in before.	
May 2 2007	Great hotel	We stayed at the Regents Park Marriott a few weeks back and were lucky enough to experience one of the brand new bedrooms which was absolutely gorgeous! And it just got better, we went out in Camden for a few drinks, so the location was perfect - (its just a 5 min bus ride away), when we got back the bar was still open and had some lovely cocktails, followed by the best nights sleep i have had in a while!!Breakfast was fab - all you eat buffet, and to be honest i am not usually a fan of these as the food sits for hours - but this was really tasty - they even made me some waffles while i waited!! All round top experience - would most definately stay again!!	
Apr 27 2007 	Good stay	Let me start by saying that my career causes me to travel and so I have stayed at many Marriotts throuout the world (many time gold member). This is a decent Marriott. Large room for a European Hotel. They offer American electrical outlets. Service was great. Food could have been better. I would walk up the street to one of the pubs or go grab a curry nearby. Fitness facility was good. The pool was real good. It is a short walk to the underground (Swiss Cottage station). My room was on the quiet street side. My colleagues were on the side facing the main street. They complained of the noise at night. But, then again, they are from small town America and are not use to that sort of thing. If that sort of thing bothers you, just ask for a room on the right side of the hotel.The next time I am in London, I will try to stay here.	
Apr 2 2007 	Nice room large pool	Stayed for 2 nights in one of the old rooms. Hotel is currently being refurbised and it was a little noisy in the day time. Room still very good and lots of space. Large pool, good for children as it's shallow at one end. Food generally not that impressive.	
Mar 30 2007 	Good price-Good service. Location---ehh.	I went there by myself to get away for 5 days and watch a Super Bowl, LIVE in London at 11:30 PM. Something is unique about that--plus, it's a good time to get away. No crowds, low price airfare, half empty plane...etc.I picked the Regents Park hotel because of the pool...and I like Marriott's.The hotel itself was nice. Concierge had an opera ticket ready for me on arrival..(as I requested). The staff was helpful. The rooms were nice and the beds were EXCELLENT!..(that is fast becoming a Marriott trademark).The free breakfast..(with the package), was fantastic.The only problems were...the tube is about a 10/15 minute walk to get to and there's not too much around the area itself.The pool was small...but that really wasn't the problem with the pool. There is a NOT SO gradual incline/decline in the pool. It goes from about 1 ft in the beginning to 5 ft at the other end. If you move to halfway in the pool---it's only up to the middle of your thighs...lol.The food selection is sub-par, (excluding breakfast). I got a cheeseburger from room service there one night...and although it was fine--that was the only thing on the menu that seemed like a nice choice.And lastly---the bar is sooo small and sort of uncomfortable.There was an annoying guy there for the Steelers/Seahawks SB that was trying to &quot;shushh&quot; people so he could hear the pregame entertainment...lol. But the proximity of everything was so close that I guess he felt he had to do that. LOL---only a rude American would ask a bar to be quiet for something like that.But still---the bar area is small.One side note---something good and bad at the same time. I loved that all the rooms have balconies---but all the balconies are so small you can't even put a chair out there. Was ok that time since it was Feb. But if I came in the summer and knew they had balconies---I'd have thought I could sit out there and watch the world go by. You can still watch the world go by---but...lol---you'll have to do it standing.Overall---I liked my stay a lot.I'd recommend this hotel if you don't mind not really being in London.Ren	
Mar 10 2007 	Weekend In London	I visited London with a group of friends last weekend. We flew direct to Luton from Alicante. It was really easy to get to the hotel via the M1. The hotel is currently being updated and we stayed in one of the brand new rooms with two double beds. The room looked very modern and each room had it's own balcony. The beds were the comfiest I've ever slept in with matress toppers you sink into. Breakfast was fantastic although very busy as it was the weekend. We were told that during the week and earlier in the mornings the restaurants were less crowded. We had to wait for a few minutes to get a table but the food and service were excellent and soon made me forget the wait. The underground station was a few minutes walk away and could easily access any part of the city pretty much whenever we wanted. My friends and I would recomend this hotel to anyone visiting London as we found it to be great value for money and the staff were all incredibly friendly and helpful.	
Mar 10 2007 	Love the new rooms!	I stayed at the Regents Park Marriott and can not fault it. It's ideal for the business traveler, close to the centre (only 2 stops to bond street) and not the Park Lane price tag. Service can alway be better, but it's what you would expect, the waiting time in the morning at the reception desk is long, but hey you can always do the video check out or the express check out, which I did. Then on to the rooms, they are undergoing a light refurbishment, and I was there for 5 nights, and can really say it didnt bother me at all, I was lucky to get one of the new rooms and they look really nice. Bit more trendy, more 2007 then 1990's but not too try hard.Would recommend this hotel to anyone, whether on business or coming down to London to see a show.Overall good value for money	
Feb 27 2007 	Very poor standard of food	I have just returned from a three night stay in this hotel with my husband and two young daughters. I booked the hotel directly using the Marriott's own website. I was impressed with the ease of the online booking service -particularly with the Online Concierge facility which enables you to prebook a range of free and costed addtional services prior to your arrival. I booked addtional foam pillows (daughter has asthma), kids activity packs, room with balcony, etc. On arrival, we found that not all of the services we had prebooked had not been arranged (no foam pillows or activity packs). We found the reception and housekeeping staff who dealt with our subsequent enquiry unfriendly and dismissive. Our three night stay was on an inclusive dinner, B&amp;B rate. The dinner menu was the same each night and we found it difficult to choose something different we liked by the third night. The quality of the food was shockingly poor for the star rating of this hotel. Apart from the breakfast (which was great) most of the dinner dishes tasted as if they were pre-packed as opposed to being cooked from fresh. The kids menu also has a limited choice and was, on one occasion, inedible - sausage and mash covered in a burnt,. brown concoction which was described as gravy. On two occasions after having eaten dinner in the restaurant, we were &quot;quizzed&quot; about whether or not we were entitled to the inclusive dinner rate because the restuarant manager had been advised by reception staff that this was not the case. This resulted in me having to go to reception to clarify our booking rate again. We felt as if we were being accused of &quot;freeloading&quot;. we have stayed in many hotels over the years on inclusive rates and have never been subjected to this treatment. Saying all of the above, it may well be that we had a particularly unfortunate experience. There were good points - the rooms are well appointed (beds particularly comfortable) and the kids loved the swimming pool. The waiters and waitresses in the restaurant itself were very friendly and helpful. I can say without hesitation, however, that we have no intention of staying in this hotel again. In fact, I would seriously doubt whether or not we would stay in any Marriott hotel again considering the cost against the actual standard of service received.	
Feb 14 2007 	The only hotel to look for in London	This is a great hotel, with a very comfortable feel and excellent, friendly staff. Located within easy reach of the tube, which gets you to all the major sites, and also some nice local places to visit, like Hampstead and Primrose Hill.Good value, and I will definitely be staying here again on my next visit to town!	
Jan 19 2007 	GREAT Hotel Nice People - BEING ROBBED WITH A SMILE	First, the good thigs. The hotel was very nice. Newly remodeled with spacious rooms. Most Americans would feel comfortable in the hotel, especially with added features like American Outlets in the walls. Great location to get to London (by the tube and a couple stops from Oxford St). Overall the lodging was great. Now the bad stuff...Raad Your Bill, Reread Your Bill, then turn-around and READ IT AGAIN!On the first day we went to the restaurant for breakfast. The waiter told us it was included in our room. We went back the next day as well. On the third day the waiter brought us a bill for 60 pounds ($120 for 5 people). He explained that the others were mistaken and we did have to pay for breakfast. I was adament in letting him know that there was no way I would pay and then he relented.The last night of our stay a bill came under the door. Two things stuck out at me. One, they charged us for newspapers. I didn't request them, but they charged me for then. No big deal since I read them anyway -- but they should ask. Second, a bill for 60 pounds per night per room (listed Accomodations). That was 360 pounds and 720 dollars. I prepared this room on Priceline. I went to the counter and they quickly removed the charge with no question. DODGY!!!So, if you don't mind being vigiliant with your bill this is a great hotel.	
Jan 12 2007 	Marriott Swiss Cottage	I stayed at this hotel for one night last week and my overall impression that at the rate they charge for B&amp;B it is not worth it. On arrival in reception a very young, rather dissevelled looking receptionist (whose badge said , 'In Training' ) was alone at the desk and on a phone call. She continued the call as I waited without any back up from another member of staff. Another customer arrived and still she continued the call. She checked me in quickly but without any real warmth or friendliness.Yes... the beds are the best thing about this hotel. Wonderful linen, duvets, mattress toppers and pillows. However upon entering my room I found that the adjoining door to the next room was unlocked and that at the rate quoted on my check in slip of 350 excluding VAT there was not so much as a packet of biscuits on the rather sparce hospitality tray. The bathroom was an average size filled with far too many towels for one person (or even two) but the lever to empty the bath was broken and so I had to leave my dirty bath water in the tub when I left. My room faced onto the main street and I was aware of the traffic passing although it didnt prevent me from sleeping.What did prevent me from sleeping however was a loud tap tap tapping on each and every door on the corridor at precisely 8.15 a .m. As my alarm was set for a half an hour after that I was horrified and disgusted. The 'tapping' came from 'housekeeping' who woke everyone on the corridor I'm sure and then ... nothing !! What was the point??When I complained about this to the Duty Manager I was informed that I should have hung out my 'do not disturb' sign. I replied that even if I did I would have heard the racket as they proceeded along the corridor tapping on every door. It was like chucking out time at a youth hostel !!! I wouldnt have imagined that one would need to hang out the do not disturb sign unless a sleep in after at least 9 a.m. was required. Maybe I 'm wrong...The breakfast room was bright and cheery and a lovely selection of fruits and hot food was available. However, noone came to my table to ask did I require any of the special hot breakfast dishes listed on the menu. Lunch for our meeting that day was limited but freshly prepared , tasty and a little bit different.Having said all that my overall impression of this hotel was of unfriendly staff who didn't honestly appear to enjoy what they were doing.	
Jan 8 2007 	This is now my favorite London hotel	Having stayed in London many times, I will never look for a hotel again - this is it. Wonderful everything - lovely room with nice beds and bedding, beautiful leisure center and a terrific breakfast. Staff were fantastic - especial thanks to George K. at reception and David M. at the concierge desk, who were incredibly kind, efficient and helpful. Tube station (Swiss Cottage, on the Northern Line) is two blocks away and a little out of town, but trust me, it's worth the extra travel time to stay here. We are a family of four, and they were able to put us in a family room, non-smoking, that easily accomodated everybody at an unbelievably low price. A wonderful value - I'll be back time and time again.	
Jan 6 2007 	Loved the Marriott	This is the perfect hotel inLondon for a family of 5! We were able to have a large room with 2 double beds and then a rollaway. There was still room to move and a large clean bathroom! At only 100 pounds it was a great deal. They had lots of families there--a great pool, and a short walk to the metro but in a quiet area. I would definately stay there again!	
Jan 4 2007	Good value	We got two nights free with our BA flight and liked the hotel well enough to stay another two. London hotel prices are very high and this hotel is good valuePluses -its a Marriott with almost American size room (we had two queen beds).well equipped with ironing board and kettle.Nice bed linen, high quality goodies in the bathroom. Swimming pool and sauna in hotelVery close to- Swiss cottage which is a major transport hub for buses as well as the tube.Hampstead theater if you like the &quot;off Broadway &quot;experience. We saw an excellent new play Primrose hill for great views of London centerNegatives- generic kind of Marriott, little feel that you are in London. Outrageous mini bar ($5 for a coke) and phone charges Do not use the phone in the room It will cost you $2 a minute for a local call. Hotel looking a little worn e.g.the chair in our room had a split on the end of the arm.	
Dec 25 2006 	It was OK.	This was a girls week in London and the 3 of us had a great time. The hotel is very close to the Swiss Cottage Tube station and the train station. We took the Heathrow Express and then got a cab to the hotel. The cab was around 14 PBS and took less then 10 min. We had the best cab drivers coming and going. I requested an early check in and only had to wait an hour in the lobby. Since we arrived around 10 am and check in isn't until 2 or 3 pm, we had no problem waiting. Customer service is not the strong point of this hotel. You won't get a big smile or &quot;welcome&quot; when you hit the front door. We had 6 pieces of luggage and no one ever came out to help us bring them in from the cab. Our room was very nice. We had 2 double beds and a rollaway. The bathroom is a little small and the hairdryer is in the desk drawer, which is a huge pain to use while others are trying to sleep or watch TV. I must admit that I am a long time Marriott rewards member, so I ,as well as my 2 roommates, received free access to the executive lounge. I don't know what it costs to gain access to this lounge, but it has to be worth every penny. We had a wonderful breakfast everyday and then heavy appetizers in the evening. This was more then a meal for us. We also enjoyed the unlimited teas, coffees and drinks that were available 24/7. I had read other reviews about having troubles with being charged incorrectly upon check out, so the night before I went to the front desk to just check on my bill and to find out how to get a cab. I'm so glad I did. My room was charged over 200 BPS for someone's dinner and drinking in the pub. At no time did any of my party purchase anything in the hotel. The staff pulled the bill and it was not my signature on the bill. The removed the charges and appolgized. When I checked out the next day, there were more charges on my bill. The receipt was once again pulled and my signature was not on the bill. This time they were less then willing to remove the charges, but did so in the end. I questioned the front desk staff and asked them if they just allow anyone to sign and put a room # down. I was told &quot;no&quot; that you must show your key slip with your signature on it. This is obviously not happening. Watch your bill!	
Oct 31 2006 	Great Family Friendly Hotel	We are a family with two boys aged 12 and 9 and booked this hotel for three nights in the 2006 October half term break.We thought the hotel was fantastic, one of the best we have stayed in. The reception was friendly, with goody bags (loads of sweeties) for the children. Our room was very well decorated and furnished, and was spotlessly clean. It was also a good size and there was plenty of space even though we had two enormous beds (brand new beds and bedding).The hotel seems to be very family friendly, no real restrictions to pool access and all the staff we came across were very friendly. The concierge was extremely knowledgable and helpful.Swiss Cottage tube station is around 5 minutes walk (easy access to Oxford Street, Baker Street and the Thames, just a few stops away) and there are also lots of small shops, plus M&amp;S food, Woolworths, Argos, Habitat and supermarket about 10 minutes walk away. We loved our visit to London and our stay at this hotel!	
Oct 24 2006	Wonderful Hotel. Heavelnly Bed. Highly Recommend	Got an AMAZING deal on this hotel on priceline UK. Paid 47 pounds (plus taxes) per night for 3 nights. I was a little leery from reading the reviews and my husband is very picky about hotels preferring to say in only very nice hotels. I have been to London twice before, and I knew from experience many of their hotels are far below US standards, and you almost never get more than a double bed. Must to my delight we had 3 rooms and got our request on each and every room. No mention of priceline either. One had a king bed, the other 2 had 2 queen beds. The beds were heavenly! The room spacious and immaculate. The bathroom fair sized and the shower wonderful. This hotel is a solid 3 star even by US standards, and we have stayed in many fine 4 star and resort quality hotels in US as well as abroad. It is an easy 5 minute walk to tube stop, and there are many good eating place, as well as chemist, grocery, etc. within 5-10 minute walk. We got a wonderful full English breakfast for 5 pounds (compared to 16 pounds in hotel) close to hotel. Also had good Chinese and Thai food for less than 10 pounds per person. Marks and Spencer, McDonalds, KFC, also very close. The area is NOT bad or seedy in the least. We felt very safe walking around there by day or night. The staff was very friendly (with the exception for a very rude car valet who was French) the lobby attractive, the concierge very helpful. The food and mini bar is astronomical though so we didn't eat there at all. I did not use the pool; however my son used the sauna, and steam room. Yes, it is a little farther out from city center. But for 15 minutes more in travel time you are rewarded with plush accommodations, and getting back to that heavenly bed about a full day on your feet made it all worthwhile. The money we saved by eating at the restaurants close by as opposed to the more expensive ones in city center was also a big savings for us as we had 3 teenagers along. Unless you are extremely hard to please you will not be disappointed in this hotel. Even my hotel snob husband who travels on business and always stays at 3 or 4 star American hotels was impressed. We had no bogus charges on any of our 3 rooms at check out, as another posted had. Hotel also had aromatherapy toilet items, hair dryer, iron and board, slacks presser, in room and automatic shoe shine in hall. Will be happy to answer any question you may have, feel free to email me.	
Oct 18 2006 	A generally good hotel but check your bill	When Priceline offered Regents Park, I was expecting something on the Euston Road. I had forgotten the Marriott - which is really in Swiss Cottage. The check-in and room both excellent.The tube at Swiss C is only a few minutes walk and only three stops to Bond Street. It's actually a great location.However, internet acess at GBP15 for 24 hours starting at mid-day and finishing at midday the following day is not a good deal for most business guests arriving late afternoon, esp since I am now accustomed to getting free WiFi in most mainland European hotels.They also tried to stick me with a bill for GBP60 which they claimed was for a &quot;10 minute 'telephone call&quot;Like most guys I now carry a cellphone (two in fact) and a computer with Skype and I only touched their phone to set the wake-up call. Admittedly they removed the charge without further debate and it may have been a genuine mistake but at 6am departure how many guests get stiffed for this kind of thing. The check out clerk merely commented that &quot;this is the cost of hotel phone calls&quot; Well it should not be - not at a Marriott, not anywhere in this day and age. Even if it were genuine it would be a horrendous charge per minute and it leaves a nasty taste from an otherwise great hotel?	
Sep 14 2006	Fantastic for Families	We have just returned from a long weekend at the London Marriott Hotel Regents Park. The hotel is great as they have a great swimming pool which our children were allowed to use (unlike some stuffy London hotels), they also gave our children goody bags on arrival and were extremely friendly throughout our stay. We have never experienced such incredible service before. It was so lovely that it was hard to drag ourselves away from the hotel, when we went out we couldn't wait to get back to the peace and tranquility of the hotel. The restaurant is great and the chef came out and spoke with us about our food choices and really identified our children as themselves, not talking down to them or speaking to us about their choices.The hotel is extremely convenient for central London and also as I drove down on the M1, has very easy access for my car with a reasonably priced huge secure car park on site.Overall I would say this is probably the best hotel we have ever stayed in in London and I consider myself extremely fussy!	
Sep 4 2006 	A nice surprise	We booked this hotel for a three night stay in London, one week in advance. In the Marriott website we were offered a weekend special package that made our stay a real bargain comparing with other 4-star London hotels. When I later read the reviews posted in TripAdvisor I became a bit worried but fortunately my stay was fairly good.The bed was really comfortable and the room was spacious and well equipped. Besides, I didn't find the neighbourhood dangerous despite one comment I had read in a review.The only problem was the distance to the city centre, but by Jubilee line or by bus nr. 13 it won't take you that long!All in all, comparing with my previous experience in London, I consider that we got good value for our money.	
Aug 8 2006	Too many trainees in hotel	Why I stayed in this marriott regent park was because my client booked me into this hotel, which I did read some reviews on tripadvisor and I was a bit worrying. It turned out to be unsatisfying as well.Good point of this hotel: Ice making machine on the corridor (which in this soso hot weather, you need ice all the time) Also, use ice to store your food if you stay longer time (Mini fridge is forbidden to use because once you take out any bottle, they charge you automatically). Very comfortable bed, clean bathroom and enough spaces for storage. Cold air-conditioning 24 hrs, free cookies and kettle, iron &amp; iron broad in room.Bad point: Beware the air-conditioning will scare you at night, when it suddently made a loud noise. Too many trainees in the hotel, who don't know much and need to ask their superviser all the time. No porter to carry you lugguges unless you ask them to. Location is too far from central, surrounding area has nothing, only M&amp;S within 8 mins walk. When you check out beware of lots of problem, I stand there over half an hour to explain the bill. The cost is not cheap, 130pounds for double room, so I moved to John Howard hotel for my next 3 days, a bargain and near the central.	
Aug 3 2006 	nice hotel	We stayed there from July 29-1 August. No problems, but the rooms on one side of the hotel were so noisy we had to move to the quiet side of the hotel. No problems walking to and from Swiss Cottage station, took about 5 mins. You can't beat using the underground to the city. We even used it to get our luggage to Heathrow airport.	
Jul 6 2006 	As executive as a bus shelter	Stayed here in a Executive room. Lovely king size bed which fills the room. Rooms are too small for the price you pay. No information on what an executive room gives you, ie access to the Executive Lounge, where you also have to pay for Alcoholic drinks. I stayed in a smoking room which smelt like someone had smoked a hundred cigarettes in there, 10 minutes prior my arrival! The location for me is good, access to the tube 5 minute walk, &amp; the staff are always friendly. I always stay here when in London, but just beware that this is not what a Marriott Hotel should be about.	
Jun 28 2006 	Con not very close to Central London	The hotel is an average 3 star hotel and not very close to Central London. In the middle of nowhere and should operate under the 'Marriott' name.	
Feb 7 2006	Good Value for Money Especially with Kids	This hotel works well for a family with children. Rooms can connect and are large (with two decent beds) and well equipped by London standards for the price. The large inviting breakfast buffet and indoor swimming pool are appealing to children. The location is certainly not central London (it would take 20 minutes on the tube to get to Oxford Street) but is well served by train connections, is walking distance to Primrose Hill park, and has the advantage of two movie theatres in the vicinity. This isn't a &quot;charming&quot; choice, but is very practical for families who want to stay someplace decent on a budget. It also has a convenient car garage.	
Jan 27 2006	Loved it.	My family and I stayed here in August, and we all enjoyed it. The service was excellent, esp the bell man, I don't know his name, but he was quite cheery. The rooms were clean and modern. It was a nice change, compared to the dump we stayed in Torquay the previous two nights. I enjoyed the fact that this place had balconies. A big plus. I am a smoker, but I don't like smoking in the same room as my son, so it was nice to stand out there instead of running down to the hotel lobby and outside, like the other places we stayed. The only thing, I didn't like was the beds, the mattresses were too soft, but that wouldn't stop me coming here. As long as I didn't have sleep in them for too long. I know it was out of the way, but I much rather stay here, than go to one of those awful budget tourist hotels closer to the attractions, which my husband and I did once years ago. Terrible. We also got a good deal over the net when we booked, and it was one of the cheaper places we stayed at, during our England trip. I would stay here again in a flash.	
Dec 18 2005	A bit out of the way	This Hotel was fine for a Marriott. It wasn't the nicest Marriott I've stayed in but it wasn't the worst either. The room was large and clean. The lobby was always crowded and smoky. Breakfast was more than a bit overpriced. The hotel is located within a 5 minute walk of the Swiss Cottage tube station which meant we could be anywhere in the city within 30 minutes. There are a couple of cafes near by for a better value breakfast and a Marks &amp; Spencer food shop also for snacks or lunch items.We spent 7 nights and it seemed every time we passed the front desk it was crowded. The pool area was well kept and the sauna/steam room helped ease our legs after a day of sightseeing. The gym area was large and well stocked with quite a bit of high end equipment.For the same price (we used Marriott reward points) you could be closer to the center of London if you want. Now that I’m more familiar with the city I would say that this is a little out of the way for touring London.	
