	Convenient London City Hotel	Well located about 2 minutes walk from the Tower of London and 30 seconds from Tower Hill Underground Station and 1 Minute from the Tower Gate DLR Station. If the Circle Line is in operation, which it hasn't been most weekends, then the hotel is well located for all of London. The room we had overlooked the train line but we never heard anything. My wife is a very light sleeper and she never had an issue. The bed was comfortable, the room was large and so was the bathroom, with a good shower. The staff were helpful enough, but not that friendly, probably owing to their limited grasp of English in some cases.Continental breakfast was included, it was basic but of a good quality. The toast was a bit of a let down, put out in a basket pre-made, so it was a bit cold. Apart from that everything else was good. Didn't eat in the hotel for dinner. There are plenty of other places around including a few nice places at the Marina near Tower Bridge.	
Aug 31 2006 	fantastic view 	We stayed at the Grange recently paying £80 including breakfast for a double ensuite room. However, on checking in we were given an executive room with a balcony on the 6th floor. From here we can see the river, the egg, Tower of London etc. If you can get one of these rooms on the higher floor with a view. The service was generally excellent, checking in and out was good. The breakfast was the usual Grange &quot;5 Star&quot; effort: we wish they would improve their breakfast. City Inn use Loch Fyne products and the Clifton Ford in Oxford Street do a better breakfast. But the Grange breakfast is OK: not great. You can get a better breakie at 3 or 4 star hotels depending. The Swimming pool was fab, the steam room too cool and the jacuzzi so busy it did not have a chance to heat up and so was too cool also. We are now too old and thick to work out how the new entertainment system works! Have fun at the Grange. Miki &amp; Jerry.	
Aug 29 2006	not a 5 star appalling	I was appalled at the standard of service and level of disorganisation that we received from this so-called 5 star hotel. I have stayed at 5 star accommodation before, but never experience the sub-standard I received here. If it is a guaranteed night’s sleep you are looking for then in my opinion don’t stay here! My husband and I decided it would be a good idea to stay in London overnight, rather than do a late commute home. However, this proved to be nightmare, literally, as we were shocked to be woken at 1.30am, to the shrilling sound of the fire alarm. We were completely disorientated for the first few seconds, and fortunately, the alarm soon stopped. We realised that it must have been a false alarm and then endeavoured to return to sleep. Incredibly, at 2.00am and again at 3.00am were woken by the shrill sound of the fire alarm and again these were false alarms. After the final alarm sounded at 3.00am my husband, along with some other guests, made his way to the hotel reception, having to take the stairs as the lifts were now out of action We needed to establish what was actually happening and if there was an emergency. The night porter informed him that it was a technical problem, which was being investigated, but they could not guarantee that that there would be no further alarms. The next morning it was clear that there were a lot of unhappy guests, however, we were appalled that no apology was offered. I requested to speak with the Operations Manager who informed me that the fire alarms were steam sensitive, and that some people had been taking showers, which had activated the alarm on three separate occasions. At this point we did receive a verbal apology for the inconvenience, and we were offered a room upgrade if we booked the hotel in the future. I would not entertain staying at this hotel again nor would I recommend anyone to stay there, if there is any possibility that ultra sensitive fire alarms may be activated falsely by people taking showers during the night.I also very much support the comments, from other travellers, with regards to checking-out as this only added insult to injury. It was horrendous, we waited 25 minutes, and on mentioning this to the manager, we were told that they have 450 guests to check out. I felt like saying this was his problem not mine! I can honestly say I have received a higher standard of service from a Travelodge. We stayed one night, and I wouldn’t have wished to stay any longer. In my opinion it is not worth the money, there is far better available in London	
Aug 20 2006 	Good stay at the Grange	We decided to stay in London for two nights while we went to watch England vs Pakistan at cricket. Having passed the Grange many times we were surprised to find it on Laterooms at quite a resonable price. We arrived early on the Friday, and reception were more than happy to register us, and hold our luggage until we returned later that day.The room was a little small, but very clean and well equiped. View from the room was pointless as it overlooked fenchurch street station, so had to be careful when opening the curtains. Despite being right next to the platform, we did not hear a peep from the trains!Service at breakfast was quite poor, but the restuarant was very busy. Table not fully made - only had one cup &amp; no sugar. But for a continental buffet it was ok, and they had a good choice of things.Very good location, tube on the doorstep, and within walking distance of the City.Pleasant stay.	
Aug 8 2006 	Great hotel	Stayed on a Saturday night in August with 10 friends. We all had rooms with 2 double beds - lovely furnishings, very clean. Great bathroom with a really powerful shower. Molton Brown goodies, bath robe + slippers. Only a small wait at check in. Staff seemed friendly and most said Hello when passing. Check in was from 2pm but we arrived at 10.30 and most rooms were available for us to use straight away.Very convenient for the tube, The Tower of London and boat trips on the Thames. Also only a short walk to St Katherines Dock with its shops and restaurants. Felt safe whilst walking about near to the hotel.Breakfast was fine - I had the continental plenty of choice all very fresh.No wait at check out at 10.30am and we were able to leave our luggage with the concierge until our train was due late afternoon.Would definately recommend the hotel for a short break. They seemed to be child friendly as well.	
Aug 7 2006 	Luxury at a price	Arrived at the hotel and was promptly dealt with. The room was lovely but soon realised the bathroom had not been properly cleaned, the maid was called and there in minutes. Other than this little issue the stay was great, we used the leisure facilities which were excellent. DEF stay here again, but prob not for the full price, booked through the hotels website and for only £80!. Checkout isn't great, there was a queue but staying was well worth the ten minute wait.	
Aug 4 2006	Very enjoyable stay	I had stayed in this hotel with a group of friends some time ago, and again booked a room here through the hotel's website. Sometimes they have special offers on the hotel website which might allow a weekend night stay at a rate of £80. Anyway, the lobby gives an immediately good first impression, and when we got to the room we weren't disappointed either. There wasn't much of a view from the window, except the tube station down below - but the windows blocked out the noise and that wasn't a problem. The room was very nice, and so was breakfast. The one drawback was checking out which took a long time the both times I stayed here. I would definitely, and have, recommend this hotel in the future.	
Aug 1 2006 	Definitely Not 5 Star	These comments are based on the fact that the hotel markets itself as a 5 Star hotel, and therefore should be near perfect.Stayed here at the end of July 06 for a long weekend, attracted by the location, price and sumptuous description on the hotel web site.The first room offered stank of cigarettes and hadn't been cleaned very well as there were still crisps on the carpet. Upgraded at no cost to a very nice room with balcony and we looked forward to a great stay. When showering the next morning we discovered there was only one bath towel. Made the mistake of thinking this would be rectified when the room was cleaned later that day. Arrived back at 5 to the room just as we had left it. Came back to the room after seeing a show to find the bed made, the single bath towel folded but nothing else. Called down for a second towel and this was delivered about 30 minutes later. Found out the next morning that the cups we had used the previous day hadn't been changed either.Took 20 minutes to check out even though there was just one person in front of us.Having said all of the above, the hotel is in a really great location, and as long as you get it for a good price and only expect 3 star service you won't be disappointed.	
Jul 24 2006	a vacation unmatched	. I still remember our vacations last summers. We had our arrangements made at the Grange City hotel . We were impressed by the overall look of the hotel….grand, beautiful and well maintained. At the reception we were helped out by efficient porters who let our baggage to the concierge. I was admiring the way my kids appeared happy from the time we entered the hotel. We booked our tickets at the reception for the tourist buses so we had to get ready in 2 hours time. The fantastic facilities available in the room helped everything go on smoothly. The press was automatic, the laundry had no problem, and room service was available instantly at our call. The other day it Sunday and we had a nice time in the swimming pool. Our kids knew no bound in the children’s swimming pool. As I and my husband are very conscious about our health we had a chance to try our hand at the hotel’s gym. Out of all the eating places in the hotel, Koto was the best. The Lutetia bar with its Roman Wall gave a perfect historic background to enjoy our favorite drinks served chilled. The comfort and punctual services we received there are attracting us again for the coming winters…….	
Jul 22 2006	Great for business travel and for tourists	I joined my husband on a business trip, so he was the business traveller, and I was the tourist. This hotel was able to meet both our needs.The rooms are small, but very nicely decorated and clean. There is everything there you need, including a hairdryer (we had two in our room!). Service was fine - no major complaints. The pool is lovely - salt water. There were only two other people in it when I used it. My husband used the gym a few times and thinks it's very nice. There is a great outdoor terrace in the back if you want to have a drink at the end of the day. There are also two restaurants and an indoor lounge. I ate at the Japanese restaurant - it was OK, but not the best.If you have a laptop with you, there is internet access in the room (I don't know if there is an extra charge - probably!) As a leisure traveller, I didn't have a laptop, and didn't want to spend the 10 pounds per hour to use the business centre in the hotel. I found a Kinko's about 7 minutes (walk) from the hotel on Fenchurch St. and it's very reasonable - about 2 pounds for 1/2 hour. They are open until 10pm during the week. Suggestion: we travelled with three suitcases as we were there for two weeks. Since the rooms are small, you might want to have the bellman store the empty bags for you during your stay, or else you will be tripping over them all the time! Of course, this brilliant idea didn't come to me until the day we were checking out!Location is great - right in financial district, and a stone's throw from Tower of London. The Tower Hill underground station is a 30 second walk from the hotel, and from there you get can anywhere in the city. Lots of good restaurants in the area as well. If you want to take a city tour, you can catch the Original City Tour bus from the Tower of London - you buy your ticket there and catch the bus up the street - very handy.I would return to the Grange City Hotel again - not a bad hotel at all.	
Jul 20 2006	business with pleasure	In one of my recent business conferences at London I had my stay at Grange City. My experience was really different from the other conferences I attended earlier. The spacious conference room was well illuminated with natural day light and was very comfortable. I made my presentation very effectively through computer and technical assistance provided there. Connectivity of data, telephone, state of the art audio and visuals throughout the banquet suits helped my presentation register well among the people. It was an ideal place for conferences and banquet. The double height flexible auditorium was well accommodated with another large dining hall where arrangement for supper was made. I really relished the delicious delicacies not just because of taste but it was also nutritious. At the end we had a good time enjoying our mock tails and cocktails at the mini bar nicely displaying the world’s finest drinks just a hand away.	
Jul 9 2006	Wonderful!	I have to say I was a little worried when I read the reviews of this 5* hotel. I booked a special weekend rate of £80 for a twin room with continental breakfast but on arrival was told that they over allocate the rooms on the internet but we could have the twin rooms we were allocated but would like to offer us an upgrade (free of charge) to a suite - well I don't think that you can really moan about being upgraded (especially at only £80 - the suite was over £300 per night).It was absolutely fantastic - the room was huge at least 35 foot long probably longer, absolutely spotless and mini bar and coffee/tea facilities were well stocked. The leisure facilities were extremely well kept and well equipped.On entering the breakfast room after a wondfully peaceful nights sleep we were asked if we wanted to upgrade our continental breakfast to a full english for £7. We said no but it looked very nice. The continental breakfast was brilliant, croissants, bread rolls, toast, cereals, fruit, nuts, yoghurt with full condiments of jam, marmalade and marmite!The only thing I would suggest to anybody staying at this hotel was be careful about taking anything out of the mini bar as it is computerised and automatically added to the room bill - they were fine about it as I explained we wanted to see what the champagne was and they took it off!Overall I would completely recommend this hotel - don't think I would pay the full whack but definitely worth the special rates on their website!	
Jul 9 2006	Magnificent pool - but a small room	I've stayed at the Grange on 2 occassions and both times the rooms have been on the small side (for a 5 star hotel), but always been spotlessly clean. The view of an office block and railway station were not overly appealing.Best best thing about this hotel is its underground swimming pool and hot tub (with sauna, steam room etc..) - its a bit gothic, but also funky. Nice for couples.I found the service extremely good. I secretly ordered flowers for by girlfriend and these promptly delivered to our room by the conciege.Nice hotel, good central location, but not 5 star.	
Jun 19 2006	Ok but not great	Hotel was clean and quiet, location very good being a minutes walk from the nearest tube. I stayed in an Executive Room which was a nice size although the bathroom was fairly small but very nice. The service was mixed. Check-in was fairly poor - the baggage staff did not seem to be able to communicate with each other. Breakfast was fine, overpriced for what you get but it was ok. The 25m pool and jacuzzi were very nice, changing rooms clean (but a little cold .... too much air con!)I've stayed in 3 hotels in London (two 4 star and one 5 star). This was the best. So as London hotels go it is fairly good. Relative to other 4/5 star hotels I have stayed in around the world I would say it was fairly disappointing.If you go there with medium expectations then you shouldn't be too disappointed.	
Jun 19 2006	Great value for money	We booked an executive room for £100 (Friday night) which I think must be one of the cheapest 5 Star rates around. The room was huge with brand new everything - the bathroom had 2 showers, both very powerful, marble bathroom, huge bed, sofa,air con etc etc.Location is a 5 minutes walk from the Tower of London, and about a 30 second walk from Tower Hill tube which is very convenient.All in all this is one of the best hotels I've stayed in. Service at breakfast was fine, although there was a 5 minute wait to be seated (however they do warn you of this in the room pack you receive). Continental breakfast was included in the room package and there were no problems with it. We had no problems with service either which was effiicient and polite at all times.	
Jun 18 2006	Staff seem very low in Morale this is not a 5 star hotel	I called to ask if I could check in early, the booking desk were fine with this on the phone, but when I arrived the staff at the desk had a very different attitude, I suspect it is because I had a &quot;internet deal&quot; to stay I was not paying full rate, so the service is different.I was told I could check my bags in at concierge,whilst agreeing to do this a member of staff unbelieably gave me a lecture out of nowhere about how this service was only for people who want to check out, I waited for her to finish then I explained front desk had recommended me to do this, and that I had called on the phone earlier. She seemed really annoyed, , by the way when I went back later to get my bags after they gave me a room key, they asked us to pick up our two bags from their back office, there where loads of bags so this place does not look after your bags agaiinst thieves, I could have lifted someone elses designer bags and they would not have been the wiser. Please believe me this is not a five star hotel	
May 29 2006	Great Hotel great price	Stayed at the Grange City over whitsun bank holiday weekend, very easy to get to 200 mtrs from Tower Hill tube station. Arrived 3 hours before published check in, very courtious staff immediately booked me in. Not a huge room but very nice with a huge double bed, all very clean with everything that you need including a safe. The continental breakfast was excellent and we never felt rushed or pressured into eating and leaving, plenty of staff on hand but in a background sort of way.The health spa is a real bonus with a superb pool and not usually busy a lovely way to relax. Had read many reviews before arriving and experienced none of the problems some reviewers had listed, no wait at breakfast even though the hotel was busy, plenty of staff all who spoke good english and were very polite, would reccommend the hotel with no hesitation, and with a JD Wetherspoons pub within 200m ensuring you do not have to pay 5* prices for a drink if you don't want to.	
May 21 2006	Best value for money in London?	Booked the night before and got a double room for £80 incl breakfast. Got upgraded to exec room on arrival at no charge, and were very impressed with the hotel facilities. Pool is huge!! Gym is not busy and v well equipped. We ate at the ISIS bar - which was good food, but service and the slow side - v friendly though and they were quick once we got ourselves to the bar.Rooms are nice and we generally found the staff very helpful and friendly. The hotel is 30 sec walk from the Tube station and views of Tower and Tower bridge.We were at breakfast at 8.30 and the restaurant was fairly busy but we had no trouble getting a table or food.Would definitely stay here again at £80!!!	
Apr 29 2006 	Fantastic hotel with great service	We stayed at the Grange City Hotel last weekend and we can not speak highly enough of this hotel. My partner was running in the London Marathon and obviously it was a very busy weekend for the hotel. We requested breakfast in our room at 5:45 am and it was brought to our room at that exact time. Our room was great as was the facilties in the room, good bathroom, great size room with sofa and coffee table complete with a good selection of magazines. I went for breakfast in the restaurant at around 9 15 am on the sunday morning and the service was great as was the food.We were treated very well during the whole weekend. We ate in the Isis bar which is part of the hotel and the food was really good and reasonably priced. The only downside to the bar was some noisy, drunk football supporters who did marr our enjoyment temporarily but one of the staff soon asked them to be quiet/leave.I note that some of the reviews on this hotel are quite negative but speaking as someone who regularly stays in hotels, I found this hotel to be great and would definitely stay here again. I suspect the location of the hotel at weekends could be inconvenient for some who want to be nearer to the hustle of London as there are hardly any pubs or restaurants open on a Saturday evening but this did not bother us at all. As for being asked to pay £75 in advance for the mini bar, there was no mention of this to us whatsoever so cannot understand how this happened to the other guests writing a review. I always find that generally hotel staff are more than happy to help if spoken to respectfully.I would congratulate the management team on a great hotel and would definitely stay there again. This was a terribly busy weekend for them and they coped admirably.	
Apr 29 2006	Enjoyed our stay	We stayed at this hotel for Easter weekend. We were husband, wife and our 10 year old boy. At many other hotels, you get one double bed and a z-bed squeezed into the room, but at this one we had 2 double beds, as well as 2 huge comfy armchairs and a table in front of the floor to ceiling window and our Tower of London view. This was fab. Many other reviews have spoken about unfriendly staff - our experience couldn't have been more different. No member of staff passed without saying hello, the reception staff couldn't do enough for you and those who served breakfast were helpful, friendly and there was always someone to ask if you needed something. We had to ask for an additional towel and housekeeping were at the door in minutes with a bale of towels for us. Beautiful bathroom, Molton Brown toiletries, power shower, hairdryer in the room (not the bathroom). The location made travel easy - flew into London City airport, hopped on the DLR and the hotel was a very short walk from the station. We arrived at 10.15 am expecting to leave our luggage with the concierge until later that day, but the receptionist insisted on finding us a room which was ready there and then! I wouldn't stay anywhere else in London! We paid £120 per night including breakfast. Excellent value.	
Apr 27 2006 	Service - especially breakfast is 2 star not 5 star!	I have stayed at this hotel several times for business, and whilst it looks shiny and i have always had a good room the service is atrocious. Being a five star hotel i would expect a modicum of good service but the staff seem totally indifferent - they're just not bothered.Breakfast is the worst experience in a hotel i've had. Staff are very hard to locate - i had to wait 15 minutes until i could grab a waitress and ask for a cup of coffee. The buffet was not stocked well and the cooked breakfast was dried out and had obviously been kept warm for quite some time. I requested a fresh egg from the waitress i had located but after another 15 minutes this had still not materialised so i gave up. At £20.00 this breakfast is a joke!I've had better service in a Gtreasy Spoon - don't bother staying here when there are several hotels nearby (the Tower, Apex City etc) that are cheaper and better in every way!	
Apr 24 2006	Appalling Service Appalling Hotel	The hotel service is appalling and I was disgusted by the staff and the overall experience was dreadful. The service and rooms are definately not 5 star!The most outrageous this is that upon arrival every customer is asked for £75 towards mini bar, regardless of whether you plan to use these facilities. This will only be refunded if you request a refund on checkout (note - this is not simply card authorisation, the £75 is taken out of your bank immediately). I asked to speak to the hotel manager who could barely speak English and was rude and obnoxious. After nearly 45 minutes of heated and unprofessional debate I asked the manager to leave me alone. He proceeded to talk to my back for over 10 minutes AND threatened to throw us out of the hotel if we did not pay the £75 or apologise to him for calling him unprofessional. Unbelievable! The hotel bar is also very poor and has no atmosphere whatsoever. The rooms are exceptionally small and the towel rail fell off. To top things off we had to fight for our inclusive breakfast and were accussed of lying about the fact that it was included in our package. The same person who works behind the bar, serves breakfast in the morning. For a 5 star hotel this place is managed like a hostel. In fact you are likely tol get better service in a hostel in my opinion! We were not happy at all, i would strongly advise you against booking this hotel!	
Apr 17 2006	Fantastic Value!	My husband and I have just returned from an Easter break in London. We stayed at the Grange City and were very impressed. As it was a weekend we were able to park literally outside the front entrance for free!We paid £80 a night and had a great room, very large and comfortable with floor to ceiling windows with great views over Thames and Tower of London. Everywhere in the hotel is spotless.Staff were so friendly and helpful even though English was not their native language.Pool and gym are every bit as good as in photos.A few words of caution. If you are staying on a weekend get to breakfast early! Continental breakfast is complimentary at weekends and there was a great selection of pastries, fresh fruit, yoghurts etc and the waiters were happy to bring fresh toast to your table, however if you arrive after 9am expect to queue to get a table and you won't have as much selection as displays take some time to be refilled. The waiting staff work flat out to keep up though. There are signs in the lifts and bedrooms warning about delays at weekends.Also do not attempt to remove mini bar items to store your own wine/water. It is computer controlled and those items will be charged to your account. So we discovered! The reception staff were fine about it and removed the items from our bill. I guess it happens a lot.In summary the Grange City exceeded our expectations. A great location, good size rooms, friendly staff and the best value hotel I have stayed in inside the UK never mind London.	
Apr 15 2006	Gorgeous hotel but be warned about the breakfast experience...	For my 21st birthday my boyfriend and I decided to go away for the weekend and after deciding on London for abit of hardcore shopping, began searching the net for a good deal. I eventually came across this hotel for the bargin price of £100 a night in a double exec room plus continental breakfast!The hotel itself was lovely but very typical for a chain but still it was in good condition and the rooms were tidy with comfy sofas a great selection of magazines, movies etc. We also had a beautiful view of the tower of london ( room 814 i think it was) and the surrouding area. Only downer was size of bathroom, small but bright and clean so it was fine for us.I found the staff to be friendly, polite and helpful much to my relief! They checked us in promply so that was good too.My only qualms really was location, it is quite far out and the tube station shut at 9pm on the saturday night!! But we knew about location before we came, we kinda weighed it up-a fab night in a fab hotel far from shops or a crappy night in a cheap hotel right by Selfridges etc. In the end we made the right choice for sure!The only other problem was breakfast, the queues were horrendous and there were hardly any tables for parties of more than 2 which seemed weird to me. The break itself wasnt great, i ended up with soggy toast and dried fruit. The whole thing was buffet style but never really got filled up so it wasnt too great on the whole.However we enjoyed the hotel, would def come again especially as we didnt have time for a swim and the pools meant to be fab! I would highly recommend the hotel but avoid the breakfast unless you are straving (£12.50-cont, £19.95-full eng) otherwise you will end up with stale toast, rock hard eggs and a 15minute wait for a cup of coffee :)	
Apr 10 2006	Good hotel for the money	I booked this hotel for a one night stay on 8 April 2006. A double including continental breakfast was £80. The hotel is only a 45 second walk from Tower Hill tube station, fairly close to the West End though not walking distance. Check in was straight forward, the staff were reasonably friendly, most seem to be Eastern European. Our room was exactly like the photos of the standard room on the website. The only bad points about the room were- no LCD tv, just a normal one- no Molton Brown toiletries, we had Gilchrist and Soames- no hairdryer in the room which seemed bizarre- the safe didn't work- it had one of those fridges where you can't move any items and put your own stuff in (it automatically charged your room even if you just picked up anything)We had a small balcony too, you could just see the Tower of London and Tower Bridge in one direction, in the other you could see the Gherkin (Swiss Re Tower).When we went out Saturday night there were 3 trays from room service outside different rooms, didn't look very good.Breakfast the next morning was good, toast, croissants, cereal, fruit, yoghurt. There was a small queue for checkout at 11am, after that we left our bags with the concierge and had a swim. The changing rooms were very nice (they had Molton Brown products and hairdryers!) and the pool was lovely. There was also a spa, steam room and sauna. Very relaxing!There seemed to be spaces to park outside the hotel but as I wasn't sure we had parked at a friends.Overall, this is a good hotel, especially if you have time to take advantage of the pool facilities. I would happily go back, but not for more than £80 / night.	
Apr 2 2006	Perfect Hotel right near Tower of London	This hotel was perfect and a big surprise. It's a 5-star hotel and we definitely agreed. Large entrance and clean lobby, very close location to Tower Hill subway station, rooms were HUGE for a London hotel (and even large by US standards), LCD TVs, large windows, nice breakfast. The hotel was also having a sale on the rates at a big discount over the published rates. I'm not sure if they always give cheaper rates.The only small negative was that the entire staff were foreign and did not have English as their native language. There were a couple times that it was difficult to communicate with the receptionist or concierge because of this.Highly recommend this hotel!	
Mar 26 2006 	Decent	Great location, mixed experience with service. TV took repeated (very pleasant) staff visits to get working. Charged me 40 pounds for borrowing an ethernet cord and plug - still waiting for a credit. Breakfast a horrible value. But - great location, nice room, nicely responsive staff, good restaurants.	
Mar 7 2006	5 Star hotel at 3 star prices! Fantastic!!	Having recently stayed at her sister hotel in holborn, I found the position of this hotel far superior. Knowing my way round London, this hotel proved the perfect setting - opposite the Tower of London and Tower Bridge and only a 5 minute walk from HMS Belfast and 10 minute walk from the London Dungeons. With the Tower Hill tube and bus routes within 2 minutes walk, access to the west end (a few stops on the district line tube) was easy. The room sizes were not as large as the Grange Holborn but were well presented and a great double kingsize bed. The bathroom was modern and clean and Molton Brown toiletries were a nice touch. The swimming pool was larger that the Holborn Grange and when checking out, the health club had no issues with using the facilities for the afternoon. Use at the weekends and prices are as low as £80 for a double inc continetal breakfast. (Full english was a reasonable £7.50 supp) Overall, this hotel can be fantastic value for money. 5 star and 3 star prices!!	
Mar 7 2006	Not a 5 star hotel but ok	I agree with some reviews on here that this is certainly not a 5 star hotel. Fortuntely the prices do not reflect this. My room-key card required to be inserted into the slot at the door to allow the air-con and lighting to work; hoiwever this was damaged and the only way I could get it to work was to jam it in with paper! (or call friont desk at 2am). The bathroom was pretty grotty and the hotel overall, although generally ok, is simply a large, slightly anonymous business hotel. Not bad if you don't expect it to be great though.	
Feb 27 2006	Makes for a memorable break	This was a weekend break for my birthday so we wanted something memorable. After deliberating over which hotel to choose, we went for the Grange City at Tower Hill and really glad we did!We arrived Saturday lunchtime and the reception was busy...perhaps chaotic! However, the receptionist was great and even upgraded our room. We had a great room (612) with a balcony with views out to the Thames and the Tower Bridge. All the staff we came into contact with were great and helpful. The swimming pool is probably the best I have ever used in a hotel (although a bit dark in places - not all the lights were working??). Most London hotels are fairly impersonal places and although this was no exception, we couldnt fault it. Well maintained, comfy, very clean, great location, lovely continental breakfast - we will most certainly be coming back for more!Make sure you give it a try.	
Jan 16 2006	Great Relaxing Business hotel	I'd definately use the hotel again, travel connections are great, the bedrooms are in lovely condition, and the shower/bath has hot water pressure to make you want to stay there all day. Two things to bear in mind, neither of which would put me off using the hotel again.1. The Front Desk Staff won't win any prizes for being pleasent (Simple mix up in rooms, and I was made to believe it was my fault)2. The hotel is right beside mainline train, bus, DLR and Tube, without suffering from the associated noise, however come midnight on Friday, there are no bars open, so provided you are not looking for a late night, close to the hotel, you're elected.	
Jan 1 2006	fantastic value weekend rates	Stopped here on new years eve 2005, paid £90 for double room for 2 inc continental breakfast.Very good value, well appointed rooms, very clean, comfy bed, lovley bathroom.The health club &amp; pool is 10/10, great pool, sauna steam room etc...Our stay was over the weekend - its single yellow lines around the hotel so parking was easy and free! - we parked right outside the entrance!negative points: (and this is being picky)Its a bit far from the west end.There arn't many bars/restaurants in the local area that are open at the weekend. At checkout was a long queue.Some of the staff could be a bit happier....On the whole its a good hotel, perhaps not the best 5* ive stopped in, but at the rate we paid (£90) its a fantastic hotel, I dont think there are many hotels in london of this standards at this price, i would stop here again.	
Nov 20 2005	Worth a visit	We were due to stay at the Grange Langham Hotel situated near Oxford Circus for our main focus of our weekend which was christmas shopping. On our train journey to London, we were contacted &amp; informed that due to maintenance problems (flood) we would be moved to the Grange City Hotel. My immediate reaction was annoyance as this was further away. However, we were upgraded from a 4 star to a 5 star &amp; treated superbly. The hotel paid for our taxi's &amp; couldn't do enough for us. The staff were very courtious &amp; helpful. I was impressed with the room ( king size bed, sofa, coffee table, dressing table,tea/coffee facilities, hairdryer &amp; ironing board.)Only downside was that the bathroom was small &amp; the pillows are feather which I don't like. As it turned out, we actually made time to visit Tower Bridge as it is immediately to hand. St Katherines Dock area is also lovely. As we usually go to London twice a year, we like to stay close to the main shopping area, however, I would stay at the Grange City again &amp; travel that little extra, it is worth it.	
Nov 15 2005	Return Visit - Still Excellent	Stayed here a year ago. Just returned from 3 night stay. This time had an Executive room, much smaller than the Club room, but still big by London standards. Bath in the Executive room was much smaller as well - almost laughably small. The rooms and baths are still spotlessly clean, robes/slippers/fancy toiletries. Service has improved. Received a room w/ view of Tower Bridge as requested, also had no problem w/ a late check out request. Desk staff are still unfriendly, but end up getting the job done. Gym and pool are great assets. Being picky here - only complaints this time was in dealing with the rather green/agressive staff... They could still use a little more polish. For example, a rather aggressive MiniBar person felt it appropriate to request to come into my room and restock the bar when I was there - kind of almost pushed his way in - something you don't expect in a higher end hotel (also I am a woman, who was alone in the room). Also, when a call to the &quot;conceirge&quot; wasn't answered, I left a message to simply phone back when available, and the next thing I know a Bellman is knocking at my door, asking to come in my room (again - woman staying alone) and trying to act as the concierge. Finally, Do Not Disturb signs go unheeded. Had 2 members of staff knock on the door with the sign out... Overall this place has improved - they are trying hard and it is still is one of the nicest around. Will continue to return.	
Oct 25 2005	Grange City Hotel	I stayed in the Grange City Hotel for 2 nights on the 21st October with my partner. Check in was slow enough but the staff member checking us in was very nice. The other reception staff at the counter didn't seem very nice at all. The room was lovely and spacious and very clean. Bathroom was also spotless. We didn't have any view from our room but that didn't bother us. The pool and health club facilities were excellent. I cannot fault the hotel but the area at the weekend shuts down as this is in the business district and we had a long walk to find a shop that was open. The Tube station is only a 60 second walk away which made up for the location. I would definately stay here again.	
Sep 29 2005 	Female Friendly	I stayed here for a work conference and booked myself into one of their female friendly rooms. I had 2 beds and lots of space, Molton Brown in the bathroom and a bath and separate shower, the staff were very pleasant and the room was very nice. Good for staying over for work or play!	
Sep 26 2005 	Excellent Business Traveller Hotel	I stopped at the Grange City as the hotel was the preferred supplier for my employers. I checked out the hotel prior to my visit and it lived up to my expectations. I was upgraded to an Executive room which provided a little more living space, sofa, working desk and lounge chair. The bedroom is extremely nice with marble and complementary bath robes and the room service is very good value for money. Be sure to note that you do have to pay for internet access however, as I was on the understanding that this was included in the room rate.Excellent location, 5 mins fro Lloyds of London, Fenchurch St etc.	
Sep 9 2005 	The City Standard	I have stayed at the Grange several times on business, as it is one of the approved hotels for my firm. The rooms vary in shape and size, but they are always comfortable, with good bathrooms, a comfortable chair or sofa to relax in, and good quality beds. The gym and pool are handy to have right on the premises, and the staff are generally quick to respond to problems. Compared to other hotels in London I have stayed at, I have found my stays at the Grange to be pleasant and trouble-free. If you need to stay in the City, this is a safe bet.As others have said, the restaurants are nothing to write home about; I have found the restaurant at the French hotel across the street (sorry - forget the name) offers very good food for standard hotel prices (not cheap in London). They have a good breakfast buffet and an excellent dinner menu, with a variety of wines available by the glass. If you're on a budget, there are many take-out shops within a 5 minute walk (Pret a Manger, etc.) where you can get a quick and reasonably healthy meal for under 5 pounds.Also, if you wake up early in the morning with jet lag, the Tower of London and the Thames are 2 minutes away and perfect for a stroll.	
