	average	hotel clean &amp; well presented. easy access to 02 dlr then one tube stop. room service meal was very poor over priced &amp; not very good. breakfast also poor £17 per person for lukewarm cooked breakfast not ideal.	
Apr 22 2008 	Nice hotel but some issues	Nice hotel, but some teething issues and some problems with staff. The location for me was perfect, because it's right where I used to live when I lived in London, and also it was walking distance from where I needed to be every day on that trip. Nice area, right by the river, but I guess it's inconvenient if you need to go to West End, for example.Room was nice, clean and comfortable - modern design, all amenities in place. No closet for your clothes, though - only an open area with hangers in the bathroom. I didn't appreciate the bottles of shampoo / shower gel and conditioner to be fixed on the wall - after all, this is supposed to be a 4* deluxe property. Soap + other toiletries would be nice. Main light in my shower didn't work - I asked reception to have that fixed, but no action was taken.Room service was quite good (I had dinner once), although it took me 5-10 minutes to reach them in room service - no one was picking up, and in-room breakfast was really nice - again, however, small things let it down - they would forget some small things I ordered, but there'd be something I didn't order on the tray. Staff generally was formally polite, but somewhat aloof and ... weird in their dealings with me. It seemed like either lack of experience or, on the other hand, arrogance of some sort.Also, strange thing happened - I ordered a mini-cab once, and when he came, the driver asked the reception to contact me in my room, but they told him that nobody was picking up. All this time I was in my room waiting by the phone, and of course it never rang - what was it, I will never know.So, overall good hotel, that is let down by some minor things. Human factor, mostly.	
Apr 8 2008 	Superb hotel but miles from anywhere	This hotel is a fantastic one - comfort and service levels superb. Room very spacious, nicely decorated, with iPod dock and sound system, nice flat-screen TV mounted on the wall (in theory I should have been able to plug my laptop in so I could view it on the big screen but it didn't work) and an interesting bathroom.Breakfast was of a good standard with plenty of variety, although no cold milk (one of my pet hates about hotels) for the cereal.The hotel is quite a walk from public transport, if you are not a fan of paying through the nose for London taxis. The nearest station is a good 10 minute walk away, and the station itself is a fair old trek on the Docklands Light Railway and London Underground from the main sights of the city.	
Apr 3 2008 	Lovely Hotel good for the O2	Stayed at this hotel for 2 nights to attend Eagles Concert at the O2. Beautiful Hotel, very clean, new and modern, good facilities in the room, including B&amp;O LCD TV, Alarm Clock with iPod Connection,Tea/Coffee making facilities, full bathroom with separate shower and toiletry dispensers.Loved the electronic Do not Disturb and Please Service the Room, switched on from just inside the door, so no looking for tag's to place on the door.Try and get a rate where breakfast is included, as if not it's an additional £16.50To get to the O2 the nearest DLR station is East India Dock, which is an easy 5-7 minute walk. One stop on DLR to Canning Town then 1 stop to Greenwich on Jubilee LIne for O2. However check before you travel for disruptions to this service, as whilst we were there the DLR was closed for engineering works so had to taxi to the O2 which was £15 each way.IF you park your car at the hotel its £25 for 24 hours, cars are valet parked and placed in the underground car park. However if you don't mind leaving your vehicle on the road and are staying over a weekend there is road parking behind the hotel on the road towards the DLR. Park in the white marked bays for free over the weekends. Be aware however, ensure you park in the correct place as if you park in the vicinity of the hotel itself you will be clamped.Just a couple of minor issues we had with the hotel.Although the beds were very large, the matresses are extremely hard, fine if you like them but uncomfortable if not.Also the hotel did not take notice of our special request of a high floor room with river view, which we requested when we booked. We also checked in on-line the day before arrival and re-itterated our request to the hotel, but when we arrived we were given the 2nd floor at the back of the hotel overlooking the main road. We noticed others checking in at the same time as us who had not made any special requests being allocated the 6th floor. So were disappointed with this. We did try to change rooms but were told nothing else was available.Other than that a lovely hotel if you can get a good deal, and want to be in the vicinity of the O2 / docklands area.	
Mar 31 2008 	Very Nice Hotel	Got a good deal via lastminute and stayed here for three nights while attending a seminar at Excel for two days. Lot of cabbies and others have not heard of it and makes sense when you say next to the Ibis. Checkin was good at 8PM when I arrived, room impressive and close to the impressive CW. Room service was good while the restaurant dinner was alright. Breakfast was excellent though a few rotating dishes would be welcome. When I have work in this area I shall return here providing the rate is good. Free internet worked perfectly. Bathroom was lovely though I wish they would provide bar soap even without the wrapper if they are so worried of the environment. Impossible to get a cab but the have a tie up with a company whose drivers really work hard and drive without seat belts to my shock as the must do at home. The staff though not the check in ones could all be refined a bit. Overall an 8 on 10.	
Mar 26 2008 	Very Nice- Once You Get INSIDE!!!	My partner and I stayed here overnight as we were having a night out in London. We got off at Blackwall as we believed it to be the nearest station to the hotel (On a map anyway!) yet it was nearly impossible to get across to the hotel.. when we did make it across we had to ask how to get into it as there are many roads and pathways around the complex..The staff were friendly and the room was very nice. Though they advertised a cd player in each room this was not the case as we only had an Ipod/ MP3 player- which neither of us had!Despite being quite far out from central London we had a wonderful stay and the breakfast was brilliant.I would love to return!	
Mar 24 2008	Great for the 02	Booked two nights here recently as we were booked to see the Eagles at the 02. Was a little shocked on arrival at East India DLR station by the surrounding area. As we walked towards the hotel (through an area I would describe as a &quot;bit of wasteland&quot; we were a little intimidated by a car full of teenage hoodies!! The entrance to the hotel could have been nearer to the DLR. A little more than a five minute walk I think.Staff at the hotel were fantastic. we were on the third floor in a deluxe room although the view could have been better (the back of the hotel looks out onto a busy road and gas works). I am sure as it was not too busy we could have been given a front view of the Thames and the 02.We had breakfast in our room (my husband has cancer and has problems with his eating). This came on a trolley and was absolutely fantastic (everything I asked for was catered for). The staff on reception were more than helpful.The room was large, modern and clean. All the facilities were fantastic, TV, air conditioning etc. Bath, shower room were more than adequate although two robes would have been better than the one!!!Just be careful if you bring your own supplies to keep cool in the mini bar fridge (milk etc) as I found out when settling the bill, this is sensored and I was charged for Jack Daniels and other drinks just because I moved them to make room for my things. This little error took about 10 minutes to rectify when checking out!!!Best thing when standing outside on the morning before we left having a quick smoke I met the Eagles crew!! They were all staying at the same hotel!!!!Would stay again if I was going to the 02 for another concert otherwise it would be central London as the location is not the best!!	
Mar 24 2008	Staff who went out of their way to be helpful	Stayed 1 night when visiting the Tutankhamen exhibition at the 02. We'd booked 3 rooms as it was a family outing. The staff at reception were friendly, very welcoming and went out of their way to be helpful and find us 3 rooms close together that we could have immediate access to, even though it was early in the day. We were even given 2 free upgrades. All the rooms were excellent, with the one my husband and I stayed in being the best we have stayed in anywhere in London, possibly even in the UK. Spacious, spotless, amazing view over the river and the 02 stadium. Huge bathroom. One of the highlights of my day was relaxing in the stand-alone bath, in the dark, looking through the huge windows out on to the river!Breakfast good, hot (a rarity), in a lovely restaurant.The downside is: finding it, and the distance from the tube, especially with bags, and especially on a freezing cold day! This makes it unlikely we'd use the hotel again unless visiting the 02, it's just too far out.	
Mar 20 2008 	Fantastic hotel great views and VERY nice staff!	Stayed in this hotel, just for one night after reading great reviews on Trip Advisor. The hotel is hard to find but once you are there it is worth it. I would say that the DLR East India Docks station is the nearest although it looks like its in the middle of a building site. You can see the hotel within walking distance (tall skyscraper with 'ski slope' roof - lit up at night).The hotel is very big and modern and the rooms are immaculate with beautiful art (especially room 207!). It was so quiet and peaceful. Breakfast was waiter / buffet service and in a room overlooking the O2 dome - amazing. The staff in the breakfast room and on reception were very helpful and as beautiful as the art surounding them!No complaints whatsoever!	
Mar 14 2008	New and Contemporary - short hop to Canary Wharf	I stayed in room 218 for 5 nights for work in early March 2008. The room was a handicapped room, even though I did not require one. Only real difference is in the bathroom.The room itself is modern and contemporary - flat screen on the wall, iPod docking station - you can wake up to your favorite tune on your iPod. It was bright due to the large windows but there are room darkening drapes.This area just outside of Canary Wharf and is just being built up. The hotel is very new. I like it better than the Marriott at Canary Wharf and it is about 80 gbp cheaper per night as well plus the Internet is free.Bed - comfortable and firm without being back breaking.Bathroom - large - due to being handicapped bathroom. Shower only. Heated towel rack. No robes.Internet: Free wireless throughout the hotel. Good connection - able to VPN to work no problem.Security: need to put in room card in the elevator to access the guest room floors. Peepholes at both eye and wheelchair level. Chain for door. In room safe where you program your own 5 digit code.Minibar - automatic minibar - you touch it you pay for it.Closet space - good with shelves and the closet was deep enough to store my luggage. Pant press / iron in the room. Lighting - good with lots of options.Service: Check in and out was very fast and efficient. Several staff in the lobby at busy times to help people out.Food: No comment. I did not eat any meals at the hotel. I ate most of my meals at Canary Wharf or in the city with colleagues / clients.Groceries - there is a full, large grocery store in Canary Wharf called Waitrose where you can get just about anything (vegetarian / vegan foods, ready made meals etc)Fitness - they have a fitness room open until 11pm (last entry at 10pm). Free to hotel guests. Sorry to say I did not use it this trip (shame on me). Canary Wharf - just a quick trip by taxi - the hotel staff will get you a car - nice one - 5 gbp one way. From Canary Wharf I would just get a black cab and it would be between 3 and 5 gbp depending on how we hit traffic. You can walk to Canary Wharf too - it is not that far - about 10 min walkGetting there: Flew into LHR Heathrow and took the Heathrow Express to Paddington Station (15 gbp). Took a black cab from Paddington to the hotel at 10pm - 36 gbp. Since it is a newer area not all the taxis know where it is so recommend you print the directions off the hotel website. Once you are in the area past Canary Wharf you will see a tall building with a slanted room (with blue neon in the evenings). The hotel is right next door to this residential building. If you take a black cab all the way from LHR expect 120 gbp+ depending on trafficAlternate: you can call a London car service (sorry forgot the name). From Canary Wharf to LHR at 1pm on Friday it cost 37 gbp and took a litle over an hour. They charge a few sterling more to pick you up at the airport since they have to pay for parking. Phone number [--]DLR - Dockland Light Railway - you can get off at the Blackwall stop if you are coming from the city and as you come out you will see an IBIS hotel - behind it you will see a wall with some flag poles - this is the turnoff to the hotel. It is just a couple of blocks.Full directions are on their website.	
Mar 9 2008 	Great hotel overlooking the O2	Stayed at the Radisson on 01 March 2008 while attending the Westlife concert. The hotel is in a great location if you are visiting the O2 Arena, only 2 stops on the underground/DLR.The hotel staff are very polite and helpfull. The hotel rooms are decorated to a high standard. Only 5 minute walk from East India station. The breakfast in the morning was lovely with a brilliant river view from the restaurant.If you are going to the O2 then this is the place to stay!!Had a great weekend, fantastic concert and brilliant hotel.	
Feb 26 2008 	Loved The Radisson Providence Wharf	We stayed at the New Providence Hotel on Friday gone as part of a treat to ourselves as it was our 17th Wedding Anniversary.I must say that we had a lovely time there.The hotel staff are very helpful and bent over backwards to make you feel welcome and at home in everyway.The room was lovely, very modern with all the latest mod cons and internet access, there was even a welcome message on the TV screen when we entered the room.Because it was our anniversary the lovely lady at reception Jonavita, personally brought up a plate full of hand carved fruits and a bottle of white wine on ice. We were both very touched at such a nice gesture.The full breakfast which was brought to our room was huge and had everything you could imagine and was well worth money.The hotel has relaxation rooms and a gym which are all complimentary to guest.The hotel is less than 10 minutes away from the station and the location is great for The O2 or visiting central London which can be easily accessed by the DLR and the Tube.We would definitely stay here again and recommend it to our friends.	
Feb 18 2008 	good location for the 02 but not much else.	We booked 2 nights at this hotel, it was chosen due to the fairly close location to the o2 arena as we had tickets for the friday at the o2 and then we added a extra night in london to make a weekend of it.The location is good for the o2 we had a taxi to and from the o2 for roughly £15 each way, we did intend to use the public transport but the weather was cold and wet and it is a bit of a walk to &quot;Blackwall&quot; DLR station.The hotel its self is bright and modern we paid for a &quot;supeior&quot; room however i did not think we were given one as nothing in the room made it feel any different from the others, the room that we had was nice a bit small, but was well furnished with a very good bathroom which had good toileteries provided.The breakfast which was included was very good, we were lucky as every time we came down we got a table straight away, others were not so lucky and at each breakfast we saw lots of people having to wait for a free table.....Also if you book at this hotel without booking breakfast you will be hard pushed to find anything in the area to get your breakfast.The car parking was £25 for 24 hours, which was very expensive, i know its london, but other hotels do much better rates, and having to pay £50 extra is a pain when you have paid good money to stay at the hotel.The location is ok for the o2, BUT i would not use this hotel for anything else, YES it is easy to get into the centre of london on the DLR, but when we come to london again i would choose a hotel in a much better location.	
Feb 18 2008 	Nice hotel brand new in the middle of nowhere	The hotel is brand new, rooms are nice and stylish (very unusual for London!) and the hotel is fairly priced. However the location is really in the middle of nowhere. I had a conference in Canary Wharf and still it took me 2 days to understand how I could walk to my conference, as the roads in CW are still very complicated and you have to walk through construction sites etc.Nevertheless it is close to DLR, and from there you can go anywhere. Of course, I would not recommend it if you are in London for tourism, but if you need to be in the Docklands for business it's a quite good location. Finally, one small detail, personnel was from everywhere except England, mainly young people from Eastern Europe, and they did not really know much about the city or the neighborhood of the hotel. Anyway overall a good place for businessmen who need to be based in the Docklands.	
Feb 15 2008 	Fantastic new hotel in Docklands	I stayed in the New Providence Wharf for 3 nights mid-February after checking out of a seriously nasty hotel elsewhere in London.It is stunning!Although a little out of the way in Docklands, it's easily walkable from the main shopping and eating areas of Canary Wharf and Blackwall DLR is just round the corner.The hotel is brand new and the entrance to the lobby is breathtaking - think black slate and marble, fountains, beautiful lighting and minimalist sculpures.My company had booked me into a single room, but I was immediately upgraded to a king-size superior room, and this was beautiful; full size floor to ceiling windows, very comfortable leather king-size bed, Bang and Olufsun TV and a fantastic wet-room bathroom with shower and bath. The only thing that was a little strange was that the hanging area for clothes and the chest of drawers was in the bathroom area, but this maximised the space in the bedroom area, so can't complain!Room service was fast, good value and very tasty, and the breakfast was good quality and plentiful - the restaurant looks out over the Dome and is a hell of a view with the sun coming up over it in the morning.They've also got a state-of-the-art gym and spa, both of which I used and thoroughly enjoyed.I suspect the rate that I got of £155 a night is available mainly becasue it is a new hotel trying to build up it's reputation, and it will quickly go up from here, but if you need to be in the Docklands area, don't stay anywhere else!!	
Feb 10 2008 	overlook the dome	stayed here for 3 nights over new year,allocated a disabled room.funny as i,m a nurse.room was small but ok.the hotel is close to blackwall,ldr,near ibis,hotel,a short walk if you have light luggage.check in was quick.like other reviews state,there is no bar area.we booked on the hotels website and were pleased to pay 80£ per room as everywhere for the time of year was expensive.breakfast was expensive around£18 but had this on new years day as a treat.for those on a budget,the ibis over the road charge £5.95 for a smaller but adequate versionthis a very modern hotel with little atmoshphere,ideal for a concert at the o2, overall a good experience for our bargain price,would stay again if we could get another deal.	
Feb 6 2008 	New Years Eve	We stayed here for 2 nights, for New Years Eve. We got a brilliant deal on Hotels.com £159 for the 2 of of us for both nights! The hotel is very modern and spotlessly clean. We had a lovely room with a large bed and TV. Marble bathroom with a shower and bath, huge mirrow in bathroom and room so you can do your makeup! The bar is very relaxing and chic, modern sofas so you can out your feet up, drinks very expensive, a cocktail is £10 and a large glass of wine was £8! Bar stayed open until 3 am New Years eve, we had late checkout until 1.30, they were supposed to charge £10 per hour an they said they couldnt charge us for the new year - excellent! A little way out of london, you do have to walk 15 mins to the tube, lots of stairs ( not good in hight heels !) . Over all would stay here again.	
Feb 4 2008	Go There While It's Cheap!	Stayed here for 2 nights, while we were visiting friends in East London.It's very slightly out of the way at New Providence Wharf, but we walked it from Canary Wharf tube to the hotel and it only took about 15 minutes. The hotel happily took us back to Canary Wharf later on by car when we were feeling lazy - for a fiver. The hotel is right on the Thames, absolutely opposite the O2 Arena.We think this hotel's prices will start creeping up, so book in while it is so new (built September 2007). It cost us £68 per night plus VAT. Breakfast was a tenner which we booked when we got there. There was a full buffet - hot and cold.The bar, public areas, rooms, gym, everything about the place feels so modern and chic. There was every technical gadget you need in the rooms, including Bang and Olufsen TV and iPod dock - I didn't know what some of them were for! There is also a good hairdryer, iron and ironing board in each room.Bedroms are very modern, chic and minimalist. The bathroom or 'wetroom' had a full bath, and also a separate rainshower, and all Gilchrist and Soames products.Hotel guests can use the sauna, gym, steam room and showers, but we didn't because we were so busy!We didn't really see much of the staff, as there were no problems, but check in was efficient and all bar and breakfast staff were very polite.Definitely Recommended!	
Feb 2 2008 	awsome	after searching around for a good hotel for NYE this seemed perfect, was cheap (for london prices) but a lil far out. i think paid about £220 for 2nights for their deluxe room.hotel room wasnt ready when we got there and then again 2hours later when we went back, however the staff were pleasent about this. place isnt difficult to find its a just a lil walk, you can see the building from the station.room stunning!! get room 330 its a deluxe room but its one with a view over the river, bed nice and big and firm, great night sleep.bathroom well apointed with stand alone bath and walk in shower. tv although bang and olefson quite dissapointin as no decent channels without payin extra. room service was good, pizza and sandwiches were nice and not too badly priced. the spa area was also quite nice, small pleasent, steam room sauna and some showers with differnt nozzles, also a relaxation room, (great for a free apple) but as i said main feature of the room was the stunning views and the space in the room.	
Feb 1 2008 	Classy 	Although quite hard to find, this modern, new hotel is a good find!I was lucky as I know the area so the best approach on Public Transport is to take the DLR to Blackwall. Take the underpass across the main road and head down the road to the right of the IBIS Hotel. You will enter the New Providence Wharf complex, the hotel is up to left (signposted).On arrival the entrance and foyer are large and sleek. Check in assistant helpful and friendly. We were on the fourth floor, the hotel is still new, and the carpets have that recently laid feeling and there is still the slight smell of paint in the corridor, but nothing unbearable.The rooms are nicely furnished, very modern and comfortable. The beds are quite hard but still new. Bathroom sleek, although the floor was not brilliant. The shower was good and heated up quickly, however the toiletries were slightly annoying. Reason being that the hotel are trying to be economical and evironmentally friendly by putting the shower gel/shampoo etc in bottles attached to the wall, and you need to press down the top to get it out. Whilst I commend their attempts to help the environment, it is a bit irritating as you only get a tiny bit at a time. In the shower cubicle was the Shower Gel and Conditioner, however the shampoo was over the other end of the bath! Because of the shape of the building, there are very few rooms with a view of the river and the 02, but if you are a leisure traveller, then you probably won't be spending a great deal of time in the room anyway.The television was good quality Bang &amp; Olufsen, but some of the features did not work, the door cam was a good idea though , but these are just minor problems, we only watched the tv late at night anyway. Another nice touch was the IPOD dock in the room.Breakfast was fresh and tasty, however not very plentiful (hot food was replenished) even though the hotel was not particularly busy. The Bar and Restaurant is nice with a view of the O2 and river, and a nice outside terrace.Overall I would stay here again if visiting the O2 or Canary Wharf. But if purely for tourist value, go for somewhere nearer the middle of town.	
Jan 31 2008 	Excellent room and superb room housekeeping not so good	We stayed at the hotel for 2 nights to see the spice girls.We had an upgraded corner room with fantastic views over the river and O2 arena. The bathroom was particularly nice as you could sit in the freestanding tub in front of the floor to ceiling windows which were also in the bedroom. For London and in fact most hotels ithe room was above average in size.The hotel however lacked on service we waited 24hrs for someone to change the batteries in our safe;3 hrs for towels the first day after several phone calls and a visit to reception and the 2nd day the room was not cleaned at all even though we went out at 9.10am and didn't return until 3.30pm and we had put the service room light on. I had to ring again for towels so that we could get ready to go out and it took nearly 2hrs for them to arrive.When we went in the minibar we also discovered half of it missing and half empty drinks in there which wasn't pleasant. They did admit that they hadn't had the opportunity to reset the computer before we checked in and that they wouldn't be able to do it until after we checked out as there was a problem with the system.Breakfast time there was often queues for bacon eggs ect as the kitchen didn't appear to be able to refresh the food quick enough so both mornings we gave up.We got a taxi from the hotel to the 02 and back and it was £15.00 each way but I felt safer than walking down the dark underpass to Blackwall DLR which is about 10mins walk by the time you walk under the underpass ect.Gordon Ramsey has a pub called The NARROW which is a few stops away not far from Limehouse station overlooking the Thames which was really good and reasonably priced, The hotel restaurant was very quiet in the evening, but there are loads of food options in the O2 which had very long queues outside before the concert so get there early.On the whole the room was superb 5* the service was not so good 2/3* however this hotel has fantastic potential.	
Jan 29 2008 	Superb Hotel For A Visit To The O2 Arena	I stayed at this hotel Sat 12 Jan 08 with my sister, we were going to see the Spice Girls at the O2 Arena. We arrived at East India DLR, it took us a little while to actually find the hotel (tip: find Budgens when you exit the DLR..as you are looking at it cross the road so you are the same side, walk to the right and follow the path round in a semi-circle. If you look at the high rise buildings to your left you will see Radisson Edwardian on the side of the building.Its a 5-10min walk).The hotel is very modern, the rooms are lush..especially the wet room..v nice!The beds were the comfiest that we had ever slept in. Thoroughly enjoyed the breakfast the next day, the only critisism is that the tables were not cleared very quickly. This hotel is ideal if you are going to the O2, it only took about 10mins on DLR&amp;tube. Would definatley recommend this hotel to anyone!	
Jan 28 2008 	What a view! Better than the Hilton!	Booked this through visitlondon.com got an amazing deal 2 nights b&amp;b £200! usually £185 per night!Went with my best mate, went to see the spice girls, brilliant location for the o2 and just a couple of tube stops from anywhere else.Booked a double room and i must say this was better than the Hilton (having stayed there over christmas). Room was a good size and spotless. Bed was very comfortable and the bathroom was amazing. Loved the b&amp;o sound system! Plenty of storage for clothes and shoes.Had cooked breakfast each morning which was brought to the room for no extra charge. The plate was piled with bacon, eggs, fried bread need i go on!We also ordered lasagne at 12.30 in the night no problem!The staff were all really helpful and polite didnt feel out of place, i hate snobby hotels!All in all i would definately stay here again.	
Jan 23 2008 	Nice views	I stayed here with my husband when he was working in Canary Wharf a weekend in December. Good points: Amazing lobby, beautiful room and furniture, views across the river to the O2Bad points: A little bit of a hike to the shopping bits and restaurants, they spray loads of air fresheners on the carpet which irritated my feet really badly.	
Jan 22 2008 	Great Hotel	I stayed here by myself when I went to see the Spice Girls at the 02. Being 32 weeks pregnant at the time, I wanted something decent and relatively near to the 02! I booked a single room, but was pleasantly surprised to find a massive double bed when I reached the room. The hotel is not too far, (30-40 mins) from Kings Cross and is relatively easy to find. The 02 is literally 10 minutes on the tube from the hotel and I would recommend it as a great base if you are going to anything at the arena. Rooms lovely, comfy and quiet, breakfast varied and fresh, check in/out pleasant.One of the best hotels I've stayed in for a while!	
Dec 30 2007 	brand new good comparative value	I stayed here the week the hotel opened. The staff was very friendly, the restaurant was good (for english food.) The restaurant has a patio area that overlooks the Thames and there's a nice quay down the Thames as well. The rooms are very modern, quiet, and comfortable, and do have a 110v (American) outlet. The location isn't the greatest - its a bit of a walk (close to a mile) to the Canary Wharf tube, although there are 2 close DLR stations. As of the 9/07 there were no shops or restaurants in the new providence wharf area, but it looked like they were putting some in. The hotel's breakfast buffet was over $40 US, which I wasn't going to pay every day. But the alternative was to walk to Canary Wharf or McDonalds. There are several coffee shops in the CW tube station, and we did find a small grocery by the DLR that had some pretty tasty meat pies in the morning.When I booked, the price of other comparable hotels (such as the Marriott) was around twice the price. For the quality of hotel, this was a great deal.	
Dec 28 2007 	Great location and wonderful view over 02	Very modern hotel quite close to Canary Wharf (10 min walk). Kind of hidden in a residential complex, but if you find MacDonalds, then it's behind there!Rooms very modern, very comfortable bed, great shower.The bar is nice, breakfast good, and it is a five minute walk to the DLR.I really liked it, and would stay again!	
Dec 11 2007 	Modern sleek stylish hotel staff need more attention to detail	I booked this hotel about 2 months ago as a suprise weekend for my parents. There was 3 of us staying which meant I had to book a suite online and advised the hotel there would be 3 staying. Got a decent rate online direct with the hotel. Full breakfast quite pricey at £10 each although there was a great selection. The hotel is very modern, stylish and comfortable. Sofa bed in lounge area which was very comfortable. My parents loved the bedroom decor, and bathroom was fantastic. Overhead rain shower, large bath, tv in wall, excellent. Staff were friendly and helpful although i was disappointed having requested a river view room and noting with the hotel that the booking was for a surpise for my parents that on arrival they asked for my fathers credit card details even though i checked us in. Also on arrival was told they could not meet the request for a river view room as none of the suites have a river view which i felt the staff should have said on booking over the phone. Not a big deal but would have saved a bit of disappointment. Checking out my father was again presented with the bill which was annoying given the confusion on check in, as it was my treat and i didnt want him to see the bill! The suite was lovely however, with a side view of the O2 and river. As previous review states we were only given towels for 2 people, glasses and cups and we had to request more. Given the advance booking these should have already been in the room. Another nice touch was the evening of check in we were left a welcome card, handmades chocs and fresh water. DLR was not running most of the weekend which meant a good 10 min walk to Canary Wharf tube. This wasnt a problem for us although slightly uphill so too far with luggage. Buses replace the DLR running every few minutes. Blackwall and East India DLR stations are both close, Blackwall probably nearer. Compared to the price and quality of more central hotels I would stay here again if you get a similar rate of £140 per night for the suite. If your buying a day travel card anyway for the tube it wouldnt cost you extra to travel out here to the Docklands, it is a good 30-40 min though from the West End.Included in the rate is use of the gym, sauna and steam room but not the swimming pool which is £5. O2 arena is about 10 min on the DLR so makes this hotel a good choice, lots of restaurants there although if there is big concert on be prepared for long queues to eat. Recommended.	
Dec 11 2007 	A few problems but good hotel	Originally booked 2 rooms and wanted an early check in. This wasnt available so we were &quot;upgraded&quot; to a suite. Whilst this did give us the opportunity to change and have a brush up, what we later realised was that having paid for two rooms with two bathrooms and two beds and all the amenities (tea coffee etc) we now only had half of this - one bathroom, a sofa bed and only two mugs etc for tea. Partly our own fault for accepting it, but never the less a bit of a dissapointment. We asked to be changed back, but because the hotel was full it was not possible. On the plus side, staff very helpfull and apologetic, also gave us a very good reduction for the inconvenience. Hotel very smart and also very quiet (considering it was full). Rooms and bathrooms well apointed, liked the TV in the bathroom! Great breakfast in bed -never had so much bacon! On the downside, location is a bit out of town, and as said previous reviews there is nothing to do locally (unless you want a McDonalds - no thanks). Also when we were there the DLR was on maintenance shutdown so had to get taxi to Canary Wharf station.Couldnt get the air con to work, paper that was ordered never turned up. All in all though the hotel is very smart, staff are very helpfull and efficient and the hotel is very quiet.(no banging doors, and the carpet on the corridors seems to have been designed to eliminate all noise completely!). If you are going to 02 it is a definite best choice.	
Dec 9 2007	Great Weekend		
Nov 21 2007 	Great hotel with just minor faults...		
Nov 20 2007 	Perfect Hotel - Perfect Weekend		
Nov 12 2007 	stunning hotel		
Nov 9 2007 	Not value for money		
Oct 30 2007 	Beautiful Hotel		
Oct 17 2007	An enigma		
Oct 16 2007 	Stunning hotel!!!		
Aug 21 2009 	Eleganza assoluta		
Jul 18 2009 	meraviglioso		
Aug 19 2008 	Hotel Fantastique situé au bord de la Tamise		
