	Excellent - we will be back	We have just spent 3 nights at this hotel and really enjoyed our stay. Reception area was very attractive and the Christmas trees were up which added to the ambience. Reception staff were very accommodating when we arrived 2 hours early they found us a double room right away. It was very spacious, clean, well decorated and there were nice products in the bathroom. We ate in the restaurant on the first night, the food was good and there was an exceptionally friendly Spanish waiter who was really helpful. Breakfast was excellent plenty of choice and something for everyone. There is a well equipped little gym with sauna which we intended to use but sadly we ran out of time. Gloucester Road tube station is only 3 mins walk away which made it easy for us to get around the capital. There are two good little pubs nearby and some shops and cafes. The only negative thing I have to say about the hotel is that the towels were really small and thin - it's about time they were changed for new fluffy BIG bath towels.	
Oct 2 2005	Don"t Stay Anywhere Else!	Last week we stayed at the Harrington Hall Hotel. It was chosen because of several reviews I read and because I researched several hotels in London myself. The Hotel is very clean the staff is very friendly and accommodating and the rooms are a very nice size in a city where most of the rooms are so teeny u have to climb over your luggage.Don't get me wrong it isn't the Ritz, but the location is EXCELLENT near all transportation..and ease of hailing a cab.. Many hotels priced much higher are just NOT anywhere near as nice. This is someplace you will actually enjoy coming &quot;home&quot; to after a tiring day of whatever! Plenty of hot water and air conditioning. Its quiet and attractive. We paid a total of 110 pounds per night. A BARGAIN	
Sep 27 2005	Mixed experience	Clean and most of the desk staff were helpful. Was annoyed we only were given one, very small bar of soap to use for both shower and sink. There is a card on the bathroom door to fill out to request more supplies or report things that are not working. It took 2 days to get the request filled for another bar of soap. The TV channels are very limited, CNN had very poor reception most days. The TV remote was marginal, we thought it needed better batteries, which we requested on the hanging card on the bathroom doorknob, but it didn't seem to help, or maybe our request was ignored. We didn't watch TV much, so we didn't follow up on the problem. There were only 2 radio stations, which were provided on the TV. Both were heavy metal! Just not our style, particularly with jet lag. No alarm clocks in the room. The doors to the rooms tended to slam shut which was annoying when we were trying to sleep and recover from jet lag the first day or so. I often wondered if the cleaning staff was just careless when they went in and out of rooms in the morning while they were cleaning, or if they were intentionally making noise to get us up and out so they could get into our room to clean. Room size was ok, on the small side compared to U.S. hotel rooms, but bigger than some European hotels we've been in. Bartender was helpful and loaned us a corkscrew for some wine we had bought to have in our room.	
Sep 14 2005	Best deal and location	We stayed at this hotel for 6 nights, beautiful hotel, wonderful breakfast, and super close to the underground. Around the coner you have markets, starbucks, restaurants and fast foods. A very clean hotel and staff is nice. This is such a nice hotel and area that I am returning in December. I truly recommend this place. I researched so many hotel for 2 months and this one was the best .	
Aug 29 2005	London's Best Value For the US Dollar	My husband and I stayed at Harrington Hall during our London visit in August 25 - 27, 2005. After a &quot;cramped&quot; room in a Paris hotel - which had no lobby - we were delighted when we arrived at Harrington Hall and walked into a large, beautiful lobby and reception area. We were shocked when we entered our spacious room (the size of US hotel rooms) and bath. Having stayed earlier in another London hotel before going over to Paris for a week- where the bathroom was much smaller than those on cruise ships - we weren't expecting much. What a wonderful surprize! I took a tour of the hotel with a staff member and can attest to the variety of facilities including a FREE workout room with lockers and showers, meeting spaces, etc. We dined at the hotel on the first night of our stay and although the hotel itself is rated 4 star, the food in its restaurant was 5 star. The hotel is a mere 2 blocks from the Gloucester Tube which was another great asset. The computer images of the exterior of the hotel do not do it justice. It is a beautiful old building having been erected in the late 1800's and has been declared an historic treasurer. It is quite large. Before being converted to a hotel, it was individual townhouses. I can't say enough good about the staff. They were most accommodating and helpful. Harrington Hall Hotel will be OUR hotel anytime we visit London. It was the best value for our money of any of the hotels where we stayed in either London or Paris.	
Aug 25 2005	what a surprise!	I really enjoyed my stay here, it has a nice location within 5 minutes to Gloucester Tube station.There is a Waitrose,Boots, post office, Sainsbury market and other areas of interest within walking distance. Our room was very nice and extremely clean, with a very efficient staff that catered to our needs. My daughter has extreme food allergies and the head chef made her special meals,and was the most corteous person I've met in a long time. I had a wonderful time and would't hesitate to stay here again.	
Aug 23 2005	Enjoyed Harrington Hall	My husband and I just spent 4 nights at Harrington Hall and were very pleasantly surprised with the facilities and service we received. We had obtained a very good price through Hotels and often the storey is &quot;you only get what you pay for&quot;. This was not the case at Harrington Hall. The room was bright, clean and quiet with lots of attention to details. The staff were friendly and helpful. On the last night of our stay, our daughter joined us and they moved us to a larger room to accommodate a third bed and did not charge an additional cost. It was so nice to find clean, comfortable and affordable accommodation in London where everything else is so costly. Thank you Harrington Hall. We will be back.	
Jul 30 2005	Another enjoyable stay at Harrington Hall!	Another enjoyable stay at Harrington Hall. Very good quality hotel with a friendly staff and excellent location. Didn't use the tube this time (July 2005) but taxis were frequent and it is easy to walk to many areas. Public areas are attractive including an attractive bar (drinks expensive!), bedrooms are of a good size and clean and it is so quiet in the nights, unlike some other locations. Got a very good internet rate for 2 nights (breakfast not included) but there are several very good coffee bars just around the corner plus a range of restaurants and a Tesco Express. Whereas the hotel is not 5* quality like the Royal Garden or Athenaeum, it does exude a charm and cosiness that is often missing in some chain hotels - Harrington Hall is supposedly not part of a chain. Would strongly recommend the Harrington Hall if you can get a good rate and wish to stay in this part of London.	
Jul 9 2005	Great Value Great Accomodations	Stayed at the Harrington Hall the last week in June 2005. Selected the hotel after an extensive search trying to locate a business-class room in a nice neighborhood near a Tube stop for less than $250 US, which is not an easy task. Harrington Hall turned out to be a find. Located in Kensington and a easy walk to the Gloucester Tube station, the hotel is also near good restaurants, shops and other attractions. My room, on the fourth of five floors was uncommonly spacious for London, clean and well appointed. The staff was very helpful with restaurant suggestions, theater tickets and directions. The gym is compact but free and has mostly modern equipment (weights would be a nice addition). One small beef: the lack of an Internet connection in the room. Wireless is available in the lobby for an absurd $7 US for 30 min. I ended up at the Internet cafe two blocks away which offers broadband for $5 US an hour. All in all, it's hard to find anything wrong with Harrington Hall, but much to like.	
Jun 28 2005	My new favorite London hotel...	I would highly recommend this hotel. The neighborhood was great- very close to Glouster Tube Station, lots of restaurants that stay open late, and central to the museums. I loved that it felt a bit swanky with the doormen, marble bathrooms, and yummy room service, but I didn't pay a fortune. I had a little problem with the air conditioning, but they had a technician who responded to the complaint in about 10 minutes and fixed it right away. What more can you ask for?	
Jun 15 2005 	Perfectly fine hotel	My wife &amp; I stayed here in October '04. Great location, right around the corner from Gloucester Road tube stop and within walking distance from Harrod's. The staff were courteous &amp; professional, and while our room was a tad small it was quite comfortable. Had a rather good dinner in the restaurant. While it's not the Grosvenor House, I'd stay here again in a heartbeat.	
Jun 9 2005	Excellent Hotel with Great Staff	My family stayed at Harrington Hall for five days last month. The room was clean and larger than I expected (we were in a triple with two beds plus a rollaway) and included a desk and small table with chairs where we sometimes has a late night snack. We were quite comfortable. Although it would have been nice to have a refrigerator in the room (the minibar was more like a vending machine), the staff was very helpful and friendly and stored my father's insulin at the concierge for us. We even borrowed a plug converter from the front desk when mine failed to work. We were delighted by the complimentary buffet breakfast which we thought was pretty abundant. There was a wide array of fresh fruit, fish, ham, cheeses, pastries, breads, cereals, yoghurts, coffee, tea and various juices and we were nicely fueled for a day of sightseeing. The hotel's location was excellent. It was only a couple minutes from the Gloucester Road station (district, circle and picadilly lines) and there were at least two grocery stores, a Boots pharmacy and several restaurants and fast food places within two to three blocks (including a Burger King, an ok Fish and Chip place, a bistro, and a few more upscale restaurants as well as those in between). Two long blocks on Harrington Gardens Road (road the hotel is on, in the direction of V&amp;A) netted a laundromat where we could wash our all our clothes for about 6 pounds before heading for our next destination. The Tesco on Glouster Road was a good place to buy inexpensive ham and cheese or chicken and stuffing sandwiches to take for a picnic lunch in Hyde Park after walking to the nearby V&amp;A museum and Harrods. All in all, the hotel was not a luxury or resort hotel, but a very good upscale hotel that was very comfortable, quiet, clean, not too crowded and with a helpful and polite staff. We were very satisfied and for the price, would definitely stay here again.	
Jun 6 2005	We loved Harrington Hall!	My husband and I just returned from our first trip to Europe. The first week was in London at Harrington Hall, and I was a bit nervous having booked this hotel based on the comments on this site. I finally took the plunge and picked a hotel, realizing that there is no way to please all the people all the time, and overall the comments were positive. I am happy to report that we thought the hotel was wonderful. We stayed on the 4th floor, in a superior double. I found the room to be a very good size; we had plenty of room to spread out for a week (even though I totally overpacked). I LOVED the bathroom with the heated towel bars. The housekeeping staff was wonderful ~ our room and bathroom were spotless. Location is GREAT ~ close to the Gloucester Road tube station, yet the street where the hotel is located is quiet. There is a lovely little cafe on the way to the tube station, where we stopped most mornings for breakfast and coffee (choosing to bypass the more expensive breakfast in the hotel). We are looking forward to our next London trip &amp; will definitely look at staying at Harrington Hall again.	
Apr 22 2005	Avoid the top floor	The hotel is in a great location and is very grand inside. There are quite a few nice little bars and restaurants in the area, but we spent most of our time around Soho / Leicester Square. The tube is only 2 streets away, 2 minutes walk.On the first night we stayed on the top (4th) floor, which is quite small with a small double bed. The noise at night was unbearable from the aircon fans. Didn't get much sleep that night, but after complaining we were moved to a large luxurious room on the 2nd floor. The reviews of the hotel are quite mixed, probably depending on where you stay.The continental breakfast was lovely. I would recommend this hotel if you get a good rate, but don't stay on the top floor.	
Apr 17 2005	One of my favorites	We had a superior double at this hotel &amp; were very pleased with the size and convenience of the room. High ceilings with lovely draperies floor to ceiling - plenty of windows and SPACE! It was also quiet even though the room was on the road side. The common areas downstairs were pretty plain. The service was good, although the breakfast was very expensive. Less than a block away are excellent places to eat - some cheap, e.g. Burger King, Starbucks, ethnic types, take away and others just a bit more expensive. The best thing about the hotel is the proximity to the Gloucester Road Tube Station - only a block at most and you are connected to the Picadilly, District and Circle lines - awesome!	
Mar 28 2005	Great hotel!	My sister and I stayed in this hotel March 17-18....Gorgeous! About a 2 minute walk to Gloucester Rd Tube Station which has 3 major lines----District, Circle and Picadilly. Although it's located right off a main street, it is very quiet. There are a bunch of little cafes and restaurants right near the hotel. I would recommend this hotel hands down! FYI: for a great Italian restaurant that is reasonably priced, go to Da Marios in Covent Garden.	
Feb 24 2005	Great little find	Stayed here as part of a birthday surprise weekend and were amazed as to how much £100 a night can actually buy you in a very touristy bit of London. Booking directly on the hotel's website turned out to be cheaper than LateRooms (hotel has standard internet rates of £99) and for that we got a bright decent sized room which was clean, comfortable and where everything worked as it should. It may not have been the flashest hotel and we didnt really use any of the facilities the hotel offered but it was tremendous value. Definately recommended if you are visiting the South Kensington area and compared to some dodgy places Ive stayed at £70-80 a night worth the extra £20-30.	
Feb 6 2005	Fantastic	Just got back from a two night stay at the Harrington Hall Hotel, fantastic, would certainly stay there again. We had 3 rooms all on the fifth floor, no complaints from anyone in our group. Staff friendly and very helpful, good sized rooms with comfortable beds and very effective climate control. The hotel is in a good location close to tube &amp; bus routes, taxi's were easily hailed outside.	
Dec 31 2004	Bset Kept Secret In London	My wife and I recently spent 11 days in London and stayed at Harrington Hall. We had a great time and the staff went out of their way to be as helpful as they could be to us.  The Hotel has the best cleaning staff I have ever seen.Our room was kept spotless and the maids were very cheerful and upbeat. The restaurant has a good English breakfast and is served in large portions and the staff is very attentive.The quality of the food is good and the menu options are good. The Hotel had several Christmas Dinners for the patrons and the young women who is in charge is very professional and did a good job with her restaurant  Harrington Hall is located in South Kensington,just two blocks from the Glouster Rd Tube Station and has good shopping near by for essentials as well as a few good restaurants nearby.There is an American restaurant on the corner ,the Texas Lone Star, that has pretty good American burgers and nachos if you get tired of Engish food. Harrington Hall is extermely well maintained and everything worked as it should.The heating system is too good and we had to open our window several times as the room became too warm even in December. I would highly reccomend this Hotel to anyone wanting an intimate upscale hotel that does not break the pocketbook and delivers what it advertises. Tickets for most major London attractions may be purchased at the desk in the Hotel saving you &quot;q&quot; ing time.	
Dec 19 2004	Interesting decor...	My boyfriend and i stayed for just one night as part of a Tour Operator's package to see Morrissey. Having seen some of the reviews I was initially a little dubious of the hotel. We were greeted by a friendly doorman and reception staff. Both the reception staff and concierge were only too pleased to help when we could not operate the key to the door of our room (which as we later discovered was not our fault!!) Although the decor to the room was &quot;a little busy&quot; the room was clean, tidy and well presented. The beds were comfortable as were the slippers and bathrobes!We had to queue for a few minutes for breakfast but we were able to help ourselves to as much as we wanted. Breakfast was perhaps a little cold but not unusual where prepared in quantity and self service. It was of good quality.Although the tv in the bedroom had no sound and the heating seemed to only have one temperature whatever setting you put it on we thoroughly enjoyed our stay. I would certainly stay again.	
Dec 6 2004	Not nice people	I had the displeasure of staying in this hotel last weekend, it was terrible. The staff were just so unhelpful, and so unfriendly. One told me it was because the hotel was understaffed and that they were having to work longer hours. That is not my problem!The room was okay, but quite small, and things just did not work in the room, they had no one to fix my lamp over the weekend. The breakfast was cold and the rate of £140 was high as only last weekend I saw the same hotel for £99.I would not suggest you ever stay there, there is better hotels for less money.	
Nov 9 2004	more than pleased	I was more than pleased with my 4 night stay in Harrington Hall Hotel recently. When i booked it on the internet i did so with some trepitation after reading some of the reviews. As it was to be a birthday gift to a friend i wanted it to go well. To my delight, when i arrived i found the Hotel to be very comfortable and the staff more than happy to fulfill our every need. One small disappointment was that the night we choose to eat in the hotel there was a private conference and we had to eat in a smaller room made available for the dining of hotel guests. This did not have the same atmosphere of course but it was i understand only for the one night. I would recommend this hotel as it was so convenient to the Glouster Road Tube station and in a lovely area. The bedroom in the back of the hotel was a haven of peace and very welcome after a busy day at the shops. I would repeat my experience willingly!!! Sincerely yours,Feena	
Oct 10 2004	Wonderful	I spent one night at the Hotel room was good, Staff were very polite and really helpfull. Food was good and plenty of it. Will look forward to going again	
Oct 5 2004	Location location	My wife and I visited London in August 2004 and stayed at Harrington Hall Hotel. It is a very good facility in an excellent location. There are shops, banks and restaurants close by as is the Gloucester Road tube station. Staff at Harrington Hall were very friendly and helpful. We would stay there again.	
Oct 3 2004	Fantastic location and comfortable accomodations.	I have stayed here twice- once in 1999 and recently, in July 2004. My husband and I loved the neighborhood, the access to the Gloucester St. tube station (which houses 3 tube lines), and the large room. Very clean, quiet, and relaxing. This is not a luxury hotel. but a very comfortable one. Walking distance to Royal Albert Hall, Victoria and Albert Museum, and great tube line 1 and 1/2 block away. Extremely affordable for London.	
Sep 4 2004	Nothing Works at The Harrington Hall Hotel	Stayed for two nights, September 2-3, 2004. Staff was rude and indifferent. Nothing works -- first room the door lock was broken. Second room, bathtub did not have a stopper in the drain (not a big deal unless you really want a bath!) and the AC did not work (a big deal, especially since the windows could not be opened). The third room -- the phone did not work. The staff, including the manager was rude. They must have a lot of problems since most clients in the hotel were complaining about one thing or another. The breakfast was not inlcuded and was very expensive.Great area - but stay elsewhere where they appreciate your business!	
Aug 19 2004	Clean Quiet and convenient	We spent 9 nights here in July, with a room on the top floor at the back. We found the room to be well appointed, clean, comfortable and quiet and our stay there was very enjoyable. The location was excellent with the Gloucester tube station around the corner and many restaurants within walking distance. We had friends staying a few blocks away and were comfortable walking in the area at all hours. Hyde Park, Natural History Museum, Albert &amp; Victoria Museum all within blocks. We found the staff to be very accommodating and friendly. Overall, our experience at Harrington Hall was very good and I would stay there again with no hesitation.	
Jul 19 2004	Poor service no coffee rude staff portion control in the restaurant	1 - Concierge forgot to deliver the bags and was rude when we asked them to take them to the room. He then explained we needed a ticket which we had to show to him in reception so what was the point in him offering to bring them upm to the room - we were in the room already and they had the room number.2 - No coffee in the bar at midnight and no compensation for this. In fact the night manager was quite rude when we asked for a complimentary drink.3 - The smoke alarm and sprinkler has a flashing red light which operates all night and is distracting when sleeping. On covering the led up the staff burst into the room accusing us of smoking in the room. My wife was asleep at the time and was woken by the manager shouting abuse. That may be the way they do things in Turkey but it's not what I expect form Kensington, London.4 - No biscuits in the room.5 - No details of services in the room - everything is on the TV screen and most of the categories ask you to dial 1 for reception so therefore a waste of time.6 - Breakfast was portion control. Only three items could be chosen from the FULL english breakfast menu making it a half english breakfast.7 - As we were out most of the time it was not too much of an issue but it is a bit disappointing when you have paid over £100 a night to stay there.8 - At no time was any apology made.	
Jun 24 2004	A decent Value	The hotel is in a convenient location with a Starbucks and a tube station just down the street. We had a large corner room on an upper floor and felt spoiled by the size of the quiet, clean room. Note that this is a simple hotel - we went to Boots and bought soap because the complimentary soap was both harsh and tiny. Hard beds, scratchy towels, but hey, it was less than half the price of where we stayed on our previous trip to London.	
Jun 4 2004	Exciting trip! Had a good time. Harrington Hall was very nice.	Kim, my travel agent with AAA did a great job on my trip. I thoroughy enjoyed the trip with TrafagerTours. Kim picked a great location for me to stay &amp;Harrington Hall was fun. Most people at the hotelwere very helpful. I had a good time!	
May 29 2004	Would definitely stay again.....	Just returned from a 6 night stay at Harrington Hall. Absolutely loved it! Able to check in early, which was very welcomed after an overnight flight from the US. Hotel was elegant; lovely facade, doorman, polished brass elevator (lift) doors, warm and inviting lobby, elegant (and large) off lobby bathroom, and pretty restaurant. Rooms were very nicely furnished with a victorian motif, and very clean. Bed mattresses appeared new and very comfortable. Marble bathrooms with towel warmer were especially nice, and shower had good water pressure. Only initial problem was with AC on arrival. Room was hot and stuffy, and AC did not seem to be woking poperly. A phone call promptly brought an engineer to the room, however the AC did not seem to work any more efficiently. Had to make another call, which again was answered promptly, and the second&quot;engineer&quot; was able to get AC running fine. Did not encounter lines at breakfast, no matter what time. Continental breakfast was adequate, and wait staff efficient and polite. Safe and pleasant location, close to several attractions and 2 short blocks to Glouster Rd. tube station. Hotel staff all pleasant, respectful and helpful. Concierge(Eddie) absolutely teriffic! Had the patience of a saint, polite, extremely helpful, and had a good sense of humor. Able to book several attractions directly from hotel, which saved time from having to stand on a que. Hotel was quiet at night, and I was pleasantly surprised, after having read several mixed reviews prior to going to London. It was a great experience, felt like a &quot;boutique&quot; hotel, and I would definitely return to Harrington Hall.	
May 27 2004	A good hotel that needs to fix its plumbing	Stayed one night at the hotel. Was able to check in early (9 a.m.) and perhaps because of this, I got shafted with the room (Room 629). The room itself was decent--clean and efficient. Nice towels and large closets. The bathroom is extremely nice--spacious and marble (it was better than the 4-star hotel I stayed in later). However, the hotel seems to have problems with its plumbing. I could hear water leaking somewhere the entire stay--probably from the heated towel rack or the fridge. Drainage for the bathtub was a problem too. The AC system makes a buzzing noise during the day, but it seems o.k. at night. I asked the hotel maintenance staff about it and he said there is nothing he could do. I would stay there again, especially in the winter when I know I don't have to turn on the AC.	
May 1 2004	Great location and room - but the staff left something to be desired	Overall, we enjoyed our stay at Harrington Hall. We flew in from Rome, and the relatively quiet and elegant Harrington Road was a welcome change. First the positive - the room was comfortable and tastefully decorated, with every amenity, and the doormen were helpful and friendly. Continental breakfast was included (a limited variety of cooked selections was available for an extra charge). The concierge was adequate, though not overly helpful. We were able to buy tickets for the bus tour and some attractions at the hotel, which helped us avoid some of the long queues. The Gloucester Road Underground station was just a two minute walk from our hotel. London was unseasonably warm during our April 2004 stay and, unfortunately, so was our room. At night, the temperature in our room was 78 degrees Farenheit. Since we were on the first floor, I was leery of sleeping with the window open. The staff were unresponsive to our requests to adjust the temperature. I overheard another guest with the same complaint. We had a couple of issues with the reception desk, including a very confused staff member at checkin, and being rushed along when checking out. We requested a one hour checkout extension from the reception desk. They did not respond to our request, but did approve it when we asked again. Unfortunately, the front desk and maid kept phoning us that morning asking when we planned to leave, even though we had made specific arrangements just the day before. Aside from the incompetent reception staff and sauna-like room temperature, this was a great hotel in an excellent location.	
Apr 26 2004	Super Hotel	Stayed at Harrington Hall on April 9 &amp; 10, 2004. This is a lovely hotel. It had the best hotel shower I have ever had. Lots of little comforts make this hotel a wonderful place to stay. I would recommend it to anybody.	
Apr 16 2004	Very acceptable at the price	I needed to stay in this area to access Earls Court Exhibition centre and as a fairly regular visitor to this area I am aware that there a handful of true 4 stars available within walking distance. I usually book the Rembrandt thro hotel-assist.com but in this instance the hotel was full so they offered me a similar rate at The Harrington. I was very pleased with it. The hotel is in a good location close to Glocester road metro which is always a bonus. Staff at the front desk were &quot;ok&quot;, not brilliant. The bedroom was well furnished to a good standard and immaculately clean. The bed comfort was excellent. The breakfast was a nice civilised affair with much cup replenishing from the attentive waiters and the food although not served in huge quantities was well presented and cooked. At the discounted price that I was offered from the Hotel-Assist people this hotel is good value and I would stay here again without question - its very brit !	
Mar 2 2004	Nice hotel in a good location	Pretty good experience over all. The room size was adequate and the room was clean and well furnished. The bed was fine - no &quot;grooves&quot; in ours as another reviewer pointed out. The location is great - short walk to gloucester road tube station. The street is quiet and very safe. There is not a whole lot around this area within walking distance. The staff was very friendly. The only real complaint i have about this hotel was that the conceirge was not very helpful. They gave us misinformation and I saw another guest get some odd info. The continental breakfast was good. Overall, I would recommend this hotel. I would stay here again.	
Feb 10 2004	Nice room - just wished they'd taken the rubbish out!	My partner and I stayed at the overnight at Harrington last year and were quite disappointed. The room was basic but comfortable, nothing outstanding about it other than the fact that the rubbish bin had not been emptied from the previous guests!The bar downstairs is actually rather nice, but the drink prices were extortionate even by London standards! Staff were pleasant but not overly so, and, apart from the fact that the hotel is so close to everything we were in London for, I'm not sure whether we'd return.	
Jan 27 2004	Bad atmosphere	Nice standard of fittings, good location, but ... Unhelpful staff, very noisy at night, non-functioning aircon, stale air, hot in December. We were advised to open a window - no apology, no engineer to fix things. Also, looong waits for a table at breakfast, not that the place was crowded - just inefficient.	
Jan 21 2004	Great!	We stayed at The Harrington January 2-5, 2004. It is really well located and well furnished as the rooms are quite roomy by London standards. Their on-line pictures are very true to the rooms. So many of the pictures on line do not accurately reflect the rooms I have found in other instances. The staff were all gracious and helpful and just very nice and accomodating! Because of the unfavorable exchange rate, I was glad I had made a reservation in advance. My son who had been in England 7 months before was impressed that we got such a nice place for 109 pounds versus the dive of a telephone booth size room he paid 70 pounds for. The breakfast was okay, not nearly as nice as Michael Caines in Exeter's Royal Clarence Hotel, but good. The beds were not particularily comfortable and definitely need to be updated though.The staff assisted with a post stay credit card problem expeditiously and graciously as well. I would definitely recommend the Harrington. It is an affordable English experience hotel that is also really very nice as well as convenient.	
Jan 4 2004	Excellent stay but a few details you should know	We just returned from a 5 night stay at Harrington Hall. We arrived Boxing Day and checked out on New Years Eve 2003.I would echo all of the praise listed in other reviews and amend it with the following:We were traveling with three young daughters (4,6,8), and everything was great for them. The staff was nice and understanding with no looks down noses at them. I would comment that we were in the minority there with kids.Our room could have used new mattresses as there was evidence of heavy use &quot;grooves&quot; in them. Uncomfortable to be sure. Other than that the rooms were very clean and the staff was very diligent in keeping them clean.Internet acces - High speed access is available on the 3rd floor only. So, if you need that make sure that's where you book. They do have WiFi in the lobby, but the fee is 5 Pounds a HALF HOUR! This is twice the going rate and needless to say I took a stroll to the Starbucks instead. They should cut the price for tennants IMHO.For breakfast - get your bottoms downstairs before 9:30 AM or you're gonna have to wait in line. Don't say I didn't warn you. :)	
Jan 2 2004	Loved the Harrington	Stayed 4 nights at Harrington Hall in late Dec 2003. Location was great, very close to the Glouster Rd tube. Room was very large (Exec King), and well maintained. Hotel staff very helpful with theatre tix and other resv. The full english breakfast was wonderful. A good start to our day. Would stay there again.	
Oct 9 2003	Excellent hotel!	My daughter and I spent a week in London last month. I think that all of Europe must have evacuated and gone to London! The city was almost overwhelming it was so crowded- however, the bright spot was our hotel in South Kensington- superb service; great included breakfast; beautiful public spaces with a lobby-bar- lounge offering light fare; lovely dining room; a large well-appointed bedroom; helpful concierge; quiet neighborhood with many choices of moderately-priced restaurants (especiallly All Bar One), a mini-mall with drugstore and supermarket, and a tube stop- all within 2-3 blocks. A charter bus line picks up in front for jaunts to the countryside and drops off at the tube around the corner. I will definitely stay there again when I go again with my husband. Oh, and another plus- terrific price found on alpha-beds this is a 4* hotel and I needed the price break!!	
Oct 6 2003	I don't understand the high rating	Just came back from London, stayed at Harrington Hall for 3 nights. Before we left it was #11 in popularity (one of the main reasons I picked this hotel), now it's #5. I'm reading the last review - are we talking about the same place? I'm wondering what kind of shower the reviewer from Minneapolis has at home, without rusty curtain poles? The hotel is not bad, don't get me wrong, clean, nicely furnished - but what else do you expect from a normal hotel? It is a very good 3-star hotel, with larger than usual for a 3-star hotel rooms. One of two elevators has been broken all these days. As for the staff... I travel to Europe 2-3 times a year, and this was the first time, of practiaclly all European countries, that the room was not ready when we arrived - supposedly they had &quot;a big check-out&quot;. There was a superior room available, for 25 pounds extra. What's interesting, while checking out this morning we overheard a conversation at the receiption: a German couple arrived, but the room was not ready. &quot;We do have a superior room available immediately, though&quot;. Believe me, there was no &quot;big check-out&quot; this morning, and the hotel was not fully booked. The only time I encountered this ruse was in Cancun, Bahamas, and Dominican Republic - never in Europe. The bottom line: it's a nice hotel if you get a good rate, very conveniently located, but don't expect 4-stars. And unless it's included, don't even think about having breakfast there - for 12.5 pounds you get practically nothing.	
Oct 6 2003	Very Pleasant Hotel	I stayed at the Harrington for 6 nights in Sept 2003. Location is excellent - only 1.5 blocks from Gloucester Rd tube station, with several cafes along the way. I was traveling alone and received a room far nicer than what I've seen for other single travelers. The decor was extremely pleasant, and the room layout was compact but extremely well planned, with ample closet space, hangers, AC, modern bath and an in-room safe. A few very slight negatives: 1) Continental breakfast was included in my room rate and the breads were excellent, but the staff seemed chitnzy about giving you more than 1/2 cup coffee and tea and the fruit was tasteless (though the color and texture were fine). 2) I did not appreciate the attempt to upsell me upon check-in, even though I hadn't even seen the room. Most staff were very good, but this one particular gentleman at the front desk didn't seem adept at customer service. For example, he hesitated in granting my request to cash a 20 pound traveler's check (passport in hand, and I was just asking for pounds, not dollars!). But overall a very nice facility I'd recommend	
Oct 3 2003	Wondeful hotel		
Sep 30 2003	Quite a treat!		
Sep 24 2003	Good hotel - would recommend.		
Sep 2 2003	Highly recommended		
Aug 31 2003	What a Great Hotel!		
Aug 7 2003	Good location and quiet		
Jul 9 2003	High marks for Harrington Hall		
Jul 2 2003	Great location		
May 12 2003	Great Deal and Location		
Mar 25 2002	Superb		
Nov 11 2009	???????????		
Oct 5 2009 	El techo de la habitación se desplomó encima		
Sep 29 2009 	Buen hotel		
Sep 25 2009 	Muy recomendable		
Sep 15 2009 	Muy bueno		
Aug 27 2009 	Totalmente recomendable.		
Aug 2 2009 	Fantástica elección		
Jul 13 2009 	Un gran hotel en una zona privilegiada de Londres		
Jul 9 2009 	Excelente. Lo que esperas de un NH		
May 25 2009 	Perfecto muy bien comunicado.		
May 5 2009 	Soggiorno perfetto!		
May 1 2009	Muy buena elección		
Mar 31 2009 	Magnifico Hotel		
Jan 29 2009 	Muy recomendable		
Jan 27 2009 	Sin duda ¡recomendable!		
Dec 22 2008 	Bien ubicado y limpio punto.		
Dec 16 2008 	Una buen decision		
Aug 31 2008 	Fantastico!!!!!		
May 26 2008 	Nos gustó mucho		
Feb 20 2008 	Das Harrington war sehr gut		
Jan 7 2008 	ottimo soggiorno all'harrington		
Dec 1 2007 	buon hotel buona posizione		
May 2 2007 	Correcto para 4 estrellas sin lujos		
Jan 4 2007 	Buenísima elección.		
Aug 21 2006 	Impeccable		
