	Mostly good...	Our room was very nice and beautifully decorated. We stayed 4 nights and it was my birthday on the day we arrived and the Ritz had put champagne in the room and a little cake and that was lovely. But we also got some strange treatment in that we asked if we could have a later check-out (not really expecting it because the hotel seemed quite busy) and were told we could have a one hour extension, then got a call at 11.45pm (yes, at night) to say that we couldn't have the extra hour. Very odd to call so late when they could have told us the next morning. We also needed to book our seats on BA and asked if we could use the business centre (meant to be open 24 hours?) computer. No. We had to hire a laptop for $30 or $40AUD and used it for maybe one hour and then had to have the boarding passes emailed to reception at the Ritz, and when we checked if they had them they didn't, but when we checked again they'd been put in the junk folder and they told us so, which was just not professional and the way they handled it was quite insulting. The dining room is spectacular and we enjoyed our dinner there both nights, and we also liked the room service. Breakfast was ordinary. The ladies in the beauty/hair salon were pleasant and thoughtful. If you're the type who gets offended at being asked if you're a guest each time you re-enter the hotel, then don't stay here. We would just have our card handy to show the doormen when we returned. If you aren't the type to dress up each day then don't stay here because there is a dress code and it was great to see all the beautiful clothes, shoes, bags and hairdos, but if you're on a tour then it's difficult to have enough appropriate clothing. We can't rave about the Ritz, but it was an experience we wanted and we get a bit of a buzz to think that we've stayed at such a famous hotel.	
Jul 16 2006	Fantastic	Just returned from an absolutely delightful stay at the Ritz London. We have stayed in many five star establishments in the past but, I have to say, the Ritz far outshines them all. There is an elegance to the Ritz that we have only found once before in Ashford Castle, Ireland. We found the staff extremely friendly &amp; helpful and, of course, being upgraded did add to the overall expereince! The formal dress code at the Ritz only added to the ambience and glamour of the weekend, making it that little bit more special. We will definitely be returning.	
Jul 10 2006	The Ritz	I have just returned home from the Ritz this past weekend 7-10 JulyI booked direct via their website, and doing so requested that a gluten free diet was essential. Within two hours of making the reservation I had a return email from the hotel asking me whether I would like them to order anything specific with regard to my diet requirements, to which I replied with a fair list of specific items. Upon arrival I checked in and at the same time made enquiries with regard to the specific dietry requirements I had given them, after a brief moment I spoke with the reservations clerk who had originally dealt with my enquiry, and she informed me that all of the items I had requested had been ordered specially for me, I could not have asked for better treatment, this alone was for me, first class service. I stayed in one of the suites, and it was expensive, however I personally feel that I had fairly acceptable value for money. I did supply some of my own food, for things such as biscuits and other snack foods. The room itself was superb, I took advantage of room service as I did not want to eat in the hotel public areas, and again I cannot find fault with the service. Everything was as I expected as far as service goes, and with regard to the dietry requirements, beyond expectations. I do not know whether the exceptional service was simply due to the fact that I had indeed spent a considerable sum of money for the room or simply the norm at this establishment as this was my first stay, however I would not hesitate to return again in the future.	
Mar 9 2006 	rubbish	Work requires both my husband and me to stay in London approximately once a month and over the years we have stayed at many top hotels in both London and abroad. Even business trips are never free, since food and drink (plus shopping of course) add considerably to the cost, even if you do get your basics paid for. But the Ritz was a place that I had always fancied staying at - at least once, and once it will remain for ever. The reason is simple, the hotel is simply trading on its past reputation and name. The staff are AWFUL, rude, and discourteous.Nearly all good 5* London hotels treat you with respect and courtesy at all times. The food was average only, overpriced and service SLOW (not the acceptable slow, where you feel you are not having your food thrown at you and being rushed, but properly SLOW (30 minutes for a drink for example). Ambience shouldn't be confused with decor, etc - the hotel is elegant, it is attractive and the rooms are fine but the most accurate review I read and agree with is that the staff feel above their customers.Definitely a training need for staff.BTW, if you want to &quot;dress up&quot;, there should be nothing stopping you, but why should such a rigorous dress code still be imposed these days, and if it is, then it should be applied to everybody, including people visiting hotel staff for business meetings. It's not a genuinely nice place to stay, unless you are a real snob.Try the Carlton Tower, Knightsbridge, or the Mandarin Oriental, Claridges or the Savoy for much better service - and food.	
Feb 16 2006	a wonderful hotel	We were a little apprehensive having read some reviews which advised that the staff were quite haughty. We didnt find this to be the case. We were made to feel welcome by a very professional and friendly staff.Our room was perfect - there is even a 'pillow menu'! As guests of the hotel, we were offered complimentary membership of The Ritz Club, which is well worth experiencing.Yes, the dress code is formal, and we saw people being politely asked to leave because they wore jeans. However, I think its worth the little bit of extra effort. We stayed for 3 nights, and as we approached the hotel after a long and rainy shopping trip on the 2nd day, I found myself self saying &quot;at last, home&quot;. I'm looking forward to a return trip.	
Feb 12 2006	High Class as expected but some reservations....	The Ritz is a beautiful hotel as one mught expect. The rooms are very tastefully decorated, the bathrooms were large and what one might expect to find in an American five-star hotel (which is a real compliment). While it may be beautiful and certainly well-located, I don't know that any hotel is worth the price of a room here. You should know certain things before booking. When you enter the hotel, you can either go to reception or enter a very small waiting area. The main hotel (75% of it) is off-limits unless men are dressed in a suit and tie and women appropriately. They do not allow jeans except at breakfast. At times, I felt like a prisoner in my own hotel. Also, they pride themselves on a certain standard of security. This is really a lot of pretense. The hotel does not even use the electronic card system for room keys. Instead, they give you an old fashioned key that if lost, has both the hotel name and room number on it. They would not give us more than one key which made our stay awkward as we always had to coordinate our coming and going. All in all, a very nice place but at the price, I would definitely look elsewhere.	
Jan 31 2006	a wonderful stay at this magnificent hotel.	We have just returned from a wonderful stay at this magnificent hotel. From the moment we arrived to our departure I could not speak more highly of the welcome and genuine warmth we received from the staff. We reserved two deluxe rooms one for ourselves and one for our children (age 4 and 8). They were most impressed by a bag of goodies which welcomed them and the contents of which kept them occupied for hours. A selection of children’s DVDs was only a call away to the concierge. We organised a babysitter while we went downstairs to dine. The child minding agency was first class and children were most at ease which gave us enough breathing space to enjoy a romantic meal. (If you are in London on a Friday or a Saturday night I'd highly recommend the ambiance and fine food at the Ritz's dinner dance - I'd give it a 10 out of 10). We found the rooms spacious, clean and very well maintained (I'd give the rooms an 8 out of 10) and the Bvlgari bathroom amenities are a nice change to the usual suspects.  I'm a very finicky guest but the restaurant didn’t fail to impress. You will need to book well in advance because if the restaurant is fully booked even being a resident won’t improve your chances of getting a table. The same applies for afternoon tea which can dilute a little of the spontaneity which one enjoys on holidays. Unlike other reports we did not find the Ritz in the least bit snobbish. It has ambiance, you can sense the occasion, it’s romantic. This is a grand hotel and befitting any special occasion it’s a great excuse to dress up. Naturally in such a situation one would feel uncomfortable in jeans or trainers. The numbers of tourists arriving to take photographs certainly keeps security busy but it is most discreet and it’s only right as I feel having hoards of sightseers milling around would spoil this special ambiance which guests experience. For Breakfast we choose the buffet. (I'd give it a 7 on 10). Dress code is smart casual. Children most welcome. On check out the bill I settled was 100% accurate which is the way I like it to be. My passion is to travel and have clocked up 44 countries so far. Good hotels are an integral part of the experience and since my stay at the Ritz I've altered my personal top three favourite hotels to 1. The Peninsula Hong Kong, 2. Ritz London and 3. The Four Seasons Bali. In the years to come I’m sure we will recall fond memories of our stay at the Ritz London and I look forward to staying again sometime soon.	
Jan 30 2006	Afternoon tea is still wonderful	I think we all have to accept that the dear old Ritz has changed considerably since the brothers bought it. The front of house staff are now obsessed with both their particular dress code and security but perhaps you can see why when you visit the Park Lane Hilton and see how they have let standards slip there. The last time I had a drink in Trader Vicks bar I thought I was in the company of drug dealers and dodgy car salesmen.I found the service in the Ritz still absolutely wonderful, afternoon tea is a delight, but it is best to wear a decent suit to command attention. The public rooms are still very impressive but the ccv camera's are a little to numerous and it can be a depressing to know your every move is being monitored.I don't think the door staff are in awe of any sort of motor car as suggested by other reviewers but they are certainly impressed by a Dorchester umbrella!!All in all not great value for money but still an experience	
Jan 30 2006	Hit and Miss	When the staff are good they're very good, when they're bad they're very bad. Good points: restaurant but only if you're a meat eater. The vegetarian food is unimaginative and bistro standard. Sommellier is very good and enthusastic. The decor is beautiful throughout the hotel. The Rivoli Bar was great, and the Ritz Club is very beautiful although the staff outnumber the customers by 10 to 1 (we were the only people in there at a time when a Club should be buzzing). The showers in the bathroom are great. Beds are very comfortable.Bad points: room service not brilliant - this is meant to be a leading hotel of the world, guests shouldn't have to remind staff to do simple parts of their job such as emptying ash trays when cleaning rooms. Stale crisps and peanuts left in the room, fruit basket not refilled and complimentary champagne not delivered and then charged for.I got the overall impression that the hotel was living on past glories and reputation. Whilst it may share a name with the Paris Ritz it's about half as good. It was a beautiful building and an enjoyable weekend, but we won't stay there again.	
Jan 21 2006 	The Rileys stay at The Ritz	Absolutely superb. No other hotel in the world (and we've stayed at plently) even comes close.Our fond memories of our stay at The Ritz shall be remain with us for many years to come and we congratulate The Ritz for maintaining a standard of service, care and duty, that, I had thought, disappeared many years ago.A splendid experience in every respect.	
Jan 18 2006 	April Sandmeyer feels like a queen at The Ritz	I have always loved The Ritz. Being Bureau Chief of two London based international news agencies, I have visited The Ritz often. I usually stay in Mick Jagger's room which has a marble bathroom the size of my bedroom at home in NY. I love the pink satin decor, merino wool blankets and overall posh luxury. I always feel like I am treated like a queen. Having daily afternoon tea in the lobby is grand and a memorable experience even if you don't stay at the hotel.	
Dec 28 2005	disappointing overall	We were staying with friends in London and on a whim walking past decided to spend the last night in the Ritz. Of course, in retrospect it was mistake to walk in and ask if they had a room for the following night - definitely the snobbiest place I have ever been subjected to. The service was a struggle and we didn't have the right clothes to be in the &quot;public areas&quot; of the hotel after 11 am, so we only had breakfast there. We checked out the bar at breakfast time to see what we had missed and we were glad we hadn't bothered. Our room was large and very comfortable - excellent bed and pillows - but that prehistoric hairdryer on the bathroom wall was a joke. I couldn't find a socket near a mirror in the bedroom to use my own dryer. The view over Piccadilly was great and although there was a little traffic noise, we had a great night’s sleep.Breakfast was OK, but not what of the standard we are used to in 5 star hotels. However, this was the first 5 star hotel in the world where there was no bed turn-down in the evening and fresh towels. Not that we need it, but you expect it. Overall, there must be other hotels where the décor is just as grand and the service much better. This hotel is ideal if you stay there very often, the staff know you personally and you like snooty. It probably also helps if you are in the 60 – 90 age-group (we are 43 and 30). We’ll be reading tripadvisor avidly before we book another London hotel on a whim.	
Dec 26 2005	My 30th Birthday	I am surprised by all the reviews I see here as they seem to be negative.I was taken to the Ritz by my husband as a surprise for my 30th Birthday and we had a wonderul time.From the moment we arrived the staff were polite and helpful and from the point of being taken to our suite they appeared to be bending over backwards to do anything they could to make our stay even more enjoyable.The suite was beautiful and there was a selection of fruits and Ritz champayne waiting for us. A member of staff brought some flowers to our room as well whilst we were settling in.The bathroom was large with a shower and separate bath and two sinks. It was nicely decorated in true marble fashion.The bedroom was beautiful, very regal in decor with a big bed and lots of stunning furniture and little extras to make it feel complete. The lounge area was as beautiful with plenty of space. The overall size of the suite was great, there was so much space, in fact it was quite a walk from the bed to the bathroom!The hotel is very well situated and we were there on a beautiful sunny day so we popped in M&amp;S and had a picnic in Green Park and then wandered to the Palace. There are also some good shops in the area so theres always plenty to do.We didn't have supper at the Ritz as my husband had booked us onto the Orient Express that evening, which was just the icing on the cake. We did however order breakfast in the room and we were not disappointed. It was fantastic sat there in big fluffy white dressing gowns as we tucked into breakfast. There was too much but we did our best to get through the cerials, fruits, juices, smoothies, danish pastries, breads, toast and jams, cooked breafast, teas, coffee etc.....I thoroughly enjoyed myself and did not notice any snobbish vibes from anyone but then again maybe I wasn't looking for them. I was there to enjoy my birthday and did a good job of it!I had a wonderful time and couldn't think of anywhere I would rather wake up and open my cards. Wonderful!	
Dec 16 2005	Unprofessional staff beautiful room	I laughed at a previous review for this hotel since I actually did arrive in a Rolls and wasn't treated any better.I'm used to staying at &quot;snooty&quot; type hotels and even this place was over the top for me. We usually stay at Claridges but I've always been curious about the Ritz; I'm sorry we stayed.There were a few pros. We had a one bedroom suite which is beautiful and large with two nice sized bathrooms and beautiful sitting room. Also, the housekeeping staff is exceptional. I think they must be psychic, they anticipated every need. The front desk staff is great.However, I am deeply disturbed by what appears to be inappropriate profiling by the security staff. During our first evening we enjoyed a few drinks at the Rivoli Bar. I excused myself to go to the powder room and was followed by a member of the security staff both to the powder room and back toward the bar. After I seated myself the bartender asked us what our room number was and then mentioned that they “need to ask these things”. I didn’t have an issue with this question as I understand the need for security although I fail to understand the concern since we were appropriately dressed and behaved.During the second evening of our stay we returned from an evening out. Again, I was well dressed. As my husband and I approached the reception I saw the same security staff member. I made eye contact with him and said hello and he acknowledged me as well (this was during our third day of the stay). As we were collecting the room key I heard him mention to the other security staff member “She’s okay to be here” in reference to me. I’m rather confused why he felt the need to explain this. He saw that I overheard and walked away quickly.I suppose my spouse and I seem to be a mismatched pair since he is in his fifties (a young 50) and I appear to be in my twenties (though I am somewhat older). However, we are both successful professionals united in a legitimate marriage. Since we were in the process of collecting our room key from the front desk (you have to leave it at the desk if you leave the hotel), why would there be a question that I belonged at the hotel? At the very least I feel the staff’s comment amounts to sexism, at the most the implication is far more insulting. I was deeply embarrassed by the lack of discretion exhibited. In his zeal to ensure that each guest met his approval, he ruined my stay at the hotel. My husband discussed this the next morning with the concierge; I wasn’t harassed for the remainder of our stay but the damage had been done.The Ritz needs to reeducate their staff as to the importance of discretion and diplomacy. Additionally, it would be helpful if they didn’t apply their own clichéd stereotypes when judging the suitability of those present in the hotel’s public areas. I believe the policy dictates proper attire and presumably acceptable behavior. I met both criteria so treatment with as much respect and dignity as the other guests should have been automatic. I have nothing but respect for their profession, I really didn't deserve this treatment.Both my husband and I travel extensively and enjoy staying at finer hotels. Perhaps we have been scrutinized at some of these hotels but the difference is that their staff is trained to be subtler. We also had dinner at the restaurant. The food was horrible and we actually went to a second restaurant after dining there. I expect service to be at a leisurely pace at a restaurant like this, and it was, but not in an elegant way. We sat there for quite awhile before a server came for our drink order and it's not acceptable to wait 20 minutes for your first bottle of wine or drink. We also had lunch one afternoon, which was fine (had the salmon) and tea twice (entertaining guests). The tea is nothing special but I wasn't expecting much. The sandwiches were typical finger sandwiches and the petit fours were good. Also, a good tea selection.All in all, I'll be staying at Claridge's again. It's a shame since the location is perfect.	
Nov 15 2005	far too snobbish	Found the hotel far too snobbish.if you want a classic hotel with all the style and sophistication you would expect from a hotel of this class, just a lot more friendly, try the Savoy.i stayed here and was made to feel honoured that you deem to spend money with them, i stayed at the savoy as a gift (taking in gordon ramsays chelsea restaurant too, try it, it is amazing) and was given a complimentary upgrade as it was a gift !!! superb !!.the ritz should take some lessons from them.	
Oct 28 2005	You better drive up in a Rolls to be treated well!!!!!	My family has stayed at this hotel for 50+ years. I myself have probably stayed at this hotel 3-4 times a year ever since I was born. I spent my spring semester and summer in London and my parents came to visit several times. On my parents most recent trip, I went to the hotel to pick them up...I had just finished playing soccer and didn't see any reason to change before I walked into the hotel as I had walked through the front door a thousand times before in gym clothes. The valet @ the front actually said, &quot;Um sir, may I help you.&quot; I told him I was there to see my parents - And he wouldn't let me in the hotel!!!! He asked me to wait as he had someone call up to their room(he, of course, asked me for their names)!!!! While I was waiting, another valet realized who I was and apologized...they gave my parents a free night bc I lost it on a manager as he walked me up to their room apologizing the whole way...big deal...I've never paid to stay here, but would bet my family spends more at this hotel/year than most people there make...or more than I make now for that matter. I really could have cared less about this incident but 2 days later I had some friends over to the hotel to charge up my parents bill (w/ their permission of course). 2 girls and a buddy were all stoped at the front and asked if they could be helped for absolutly no reason!!!! One of the girls was british, with a small title might I add. I did loose it on the hotel and they again, apologized over and over again for the rest of my parents stay. However, this behavior seems to be a pattern with this hotel. My parents will still stay @ the hotel, but I will never spend a dime there. The staff is always overly nice to me, with the exception of this one incident, but only because most of them know me and are probably afraid of me now. The employes at this hotel need to remember that the ritz is not a private club, and even if it were, they wouldn't be the members. If you want traditional British Hospitality, stay at Claridges or the Stafford where, like most of the Brits, they treat everyone with kindness...ie, if you are just a tourist and want to walk through the lobby of either hotel, you will be treated kindly. Fell free to email me with questions.	
Oct 12 2005	Tea on TV?	If you're mad enough to go for the afternoon tea you might notice the CCTV cameras peering at you from all over the place. Whether this is because you might steal a tea strainer or streak the palm court, I don't know, but I know I don't like it.You will go away hungry, too.	
Oct 6 2005	ritz? more like the blitz	I went to the ritz london on saturday 01/oct/2005 to reserve a room for the weekend of 29/oct/2005 to celebrate the birthday of my partner. I was rudely greeted by a young man who told me that i could have done this on the internet or over the phone to save 'their' time. I only went down in person as i work a few streets down. I was shocked at the reception i got considering the amount of money i was ready to spend on what i thought was an exceptional hotel, one where i was looking to spend a night to remember. If this was their attitude then i thank my lucky stars that i hadn't booked over the internet or by phone and experienced the first class hostility and arrogance in person and saved myself the disappointment later on. i take reviews i read on tripadviser with a pinch of salt, i now think anyone considering staying here to take them with something a lot more stiffer to prepare them from the shocking, cold, couldn't care less who you are attitude that awaits them. Good luck if you plan to stay here and DON'T assume if you've stayed at a ritz-carlton hotel before that this is more of the same stuff, it's just a bluff !	
Sep 28 2005 	The Staff think they are the customers :(	I am going to be short and sweet about this hotel. I cannot take the ambience away from this hotel, it is grand in its appearance and interior. I booked a standard double and was offered a deluxe suite for about £100 more, over looking Picadilly (the road). All was well, apart from the staff. They have this superior attitude. I felt like I was priviledged to be walking in their presence. All changed of course when I walked out of my chauffered Bentley...suddenly I was not this young guy with the scruffy clothes...enough said. There are better 5* hotels in London who want your business. Try Claridges if you want a classic style hotel.	
Sep 19 2005 	Trading the brand to death.	Unless someone invites me, I won't choose to visit again. Absolutely unremarkable, excepting the enduring legacy of the name. However even that can't take the punishment of the indifferent experience I had.I took the ritual afternoon tea and had to watch the undignified behaviour of a guest (I guess), physically maulling the seated female oriental pianist as if he owned her. Gross. I wish I had got up now and done something about it! She left after finishing what she was playing and did'nt come back.The staff all have a high opinion of themselves, which has to have something to do with the place they work. But when the staff put themselves above the paying customer, showing little humility and not giving the impression that &quot;nothing was too much trouble&quot;; well then I take my dollars elsewhere.I don't regard this as a &quot;Brit&quot; attitude, as most of the staff seemed European.The Casino is a better place to lose your money, than wasting it staying at the Hotel.	
Sep 18 2005	fabulous	Simply fabulous - This hotel is great. The service was terrific and is centrally located to everything. Make sure you eat at the Wollesley (terrific atmosphere), eat at wagamma(asian). Yes, this hotel is upscale but the service and staff were awesome. I couldn't wait to get back to my room to lie on my bed, it is that comfortable. London is extremely pricey, be prepared for that, way more than a New York City.	
Sep 17 2005	A classic hotel	The Ritz is absolutely classic, it is not in the spirit of the mega resorts. I loved the service, room and location! The conceirge desk was incredible, ask for Ray to handle your needs in London.He arranged car to and from Heathrow, restaurant reservations etc.......The rooms large with great beds and character.A world class hotel in a world class city!!	
Jun 26 2005	Fantastic!	Suprerb, is all I can say! I booked a night @ the Ritz for my Wife's 30th with Dinner on the Orient Express, if we are talking value for Money then this has to be it, we had a Junior Suite with flowers, fruit and Champagane, the best service (2 calls to make sure you are happy). Breakfast in bed was a massive feast for 2 and the room was superb. If you fancy treating someone this is the place to go!	
Jun 12 2005	Thoroughly enjoyable	My partner and I stayed for one night on the 9th June. We found the hotel to be exactly what we expected. We were treated courteously and made to feel very welcome. We were in a pleasant room overlooking Arlington St. which isn't too noisy and shortly after our arrival, the duty manager had a complimentary bottle of champagne delivered to our room. Very nice! Yes, a night at The Ritz is pricey, however, it is nice to have 'tried it out'. My partner prefers The Lanesborough but I would be happy to stay at The Ritz again.	
Jun 8 2005	Name 'alone' Does not Ensure Quality	At USD 600 per night my expectations matched the price of the room but I was very disappointed. It is unfortunate but relying on the reputation and name Ritz only gets you so far.I made reservation through LHW and was upgraded to a Jr. Suite.Bathroom- shower spray hose was broken and it did not just happen. Towels were large but rough like sand paper.Room service was poor.What most amazed me was just the lack of hospitality. The front desk manager did move me from one Jr. Suite to another and seemed to realize that there was a problem. She had a good attitude.Rooms are worn and need to be painted and the fabric on furniture is worn. Yes the gold on the ceilings is beautiful but you need to take care of basics.I did write to the GM of the hotel to share my opinion.Bottom line, if I paid USD 200 okay but not USD 600.This should be a wake up call for the hotel management.	
Jun 7 2005	Good but could be better	We received a voucher for the Ritz Finale package as a present - this package included accommodation in a superior room, 2 theatre tickets of choice, either pre or post theatre dinner menu and breakfast the next day. The bedroom we were in was lovely although smaller than expected and expect to pay for everything - even tea/coffee as there's no tea/coffee facilities in the room. Being a light sleeper however, I could hear all the traffic noise at night so soundproofing isn't the best. We found most of the staff extremely polite and helpful although the concierge at the enquiry desk gave us wrong directions to the theatre (it was only 15 mins walk away) and so we were franctically trying to find it before the show started. I would have expected to get the correct directions from 5* star hotel!The restaurant is lovely and the food is tasty - waiting staff are very attentive and the atmosphere is lovely and romantic - a live band were playing the Saturday night we were there and you could get up and dance on the little dancefloor if you wanted.The only thing that I found of very bad service was when I was enquiring via email as to the dates, availability, theatre shows etc - despite constant emails I never got an answer and uended up having to ring the hotel to try and get the information and confirm my bookings and tickets etc, which for a 5-star hotel is shocking service and very annoying!In general though, it makes for a great break for that special occasion for anniversary or birthday, etc	
Jun 1 2005	"return to the ritz every time you can"	my husband and i have stayed at the ritz several times and each time we hate to leave. the hotel is beautiful, but the staff make you feel as if they have been &quot;waiting for you to arrive&quot;. being greeted by name......so very nice. the hall porters, knowing i take lots of photos, often ask in the morning &quot;madam, do you have any film you would like for us to have developed for you today?&quot; one evening while having a drink in the bar, the waiter asked if we would like another drink. we explained we had dinner reservations in ten minutes in the dining room. he said......&quot;i shall bring menus for you and your wife........this is the ritz and we can do anything......to make sure you are happy&quot;. it wasn't arrogant, it was a statement of fact......the ritz wants all who pass through the doors to be happy........! we have been upgraded on occasion.....our favorite room being green park. the doorman (a favorite) the hall porters...there to take very good care of you.......the maids who made the effort to thank me personally for &quot;something left on the pillow&quot;. the ritz is marvelous and we hope to &quot;return to the ritz&quot; soon.	
May 31 2005	Rude Rude Rude	One of our planned visits while in London was The Ritz. Although we were staying at another 5 star Hotel, we made special time for a short visit. As frequent Guests of the Ritz Carlton , we couldn't wait to see this UK gem. Boy--were we shocked at the greeting we received. We entered the Lobby area and were rudely spoken to by someone (apparently worked the Lobby area) and asked &quot;May I help you&quot;?. We explained that we were past guests of the Ritz Carlton and wanted to view the Lobby and restaurant and perhaps reserve Tea--- he scolded back at us replying that this Ritz has nothing to do with Ritz Carlton and any further questions were to be directed to the reception area (off on the side of the Lobby). The reception clerk explained that they are an independent Hotel but use Ritz marketing. So that is why they are so different than our Ritz Carltons that we have frequented and so love? We couldn't believe the rude reception that we and our Friends received-----walked out ---no afternoon tea and will never return !	
May 3 2005 	Old and Young Impressed by the Ritz London	In March I found it necessary to travel to London on a corporate expedition. The trip invovled entertaining guests, so made a booking at the Ritz. Obviously, anyone visiting the Ritz for the 1st time is excited, but I decided to take my mother along for the trip.The Ritz, according to previous reviews may not welcome visitiors. I welcome this wholeheartedly. The staff at the hotel have only one desire - the thorough well being of the guests staying at the hotel. They are proud of being the most secure hotel in the world, and this is evident everywhere you look.We stayed in a lovely suite overlooking Green Park, Buckingham Palace and Picadilly. The suite could not have been more wonderful. While, as a 23 year old man I was impressed by the range of beers in the mini bar and the impressive massive plasma television, my mother was equally as amazed by the wonderful antique fabrics, the brilliant curtains and the bath in which a submarine could be floated.The food and drink at the hotel are expensive, and their is no getting away from that. It is, in my opinion not unreasonably priced given the amazing quality of it and the speed at which it is served. The breakfast is exquisite and dinner menus rival the Ivy and the best hotels around the world.In my opinion, the biggest asset and benefit of staying at the Ritz is the staff. They are amazing. The concierge got us brilliant seats at 8 hours notice to watch Mary Poppins. He managed to get us the best seats in the house (my mother was shocked to discover that she had to sit next to Donald Sutherland)The door staff and concierge are legends and when I am in London again, would not hesistate to stay at the Ritz.If you can afford it, the Ritz is wonderful. If not, get a new credit card and stay there. It truly is the most brilliant place to stay - go with high expectations and you will not be dissapointed.	
Mar 23 2005	Afternoon Tea at The Ritz	I would highly recommend this as a treat for someone special. Its expensive if you purchase it through the hotel direct but (---) do some fabulous deals! The sandwiches were nice, crust cut off and into a rectangular shape with 4 different fillings - Cream cheese and cucumber, cream cheese and smoked salmon, chicken and mayonnaise, and ham. Scones and jam, and then very dainty little pastries. They re filled as much as you liked, you can certainly get your moneys worth! It was also my birthday and i had it played for me on the piano with a free birthday cake! The staff were so friendly and polite, you feel quite humble. Get to the first sitting however, as after that there are queues for the toilets and things but from 11:30 there is no one. The actual hotel itself is spectacular, and the Palm Court were afternoon tea takes place is very oldy worldy. All in all a lovely, and very different day out!	
Feb 2 2005	Very rude - don't like visitors	We stopped at the Ritz on our recent trip to London to have a drink in the bar. It was at 10:30 on a Friday night! Apparently, they try to keep out anyone not staying there because the bar closes to the public by 10:30 PM and you cannot get a drink or even a cup of coffee. The staff was very rude to us and once they told us the policy they turned their backs on us. I have stayed at the Ritz hotels before and have found them okay, not anything exceptional, plus they charge you for every little thing. Anyway, don't stop here to spend your money, they don't want it.	
Jan 17 2005	I expected more	Apart from the public spaces ,which are very elegant and impressive. The rooms are not so spacious although quite confortable: TV and stereo equipment could be better,I expected more from the room service. Afternoon tea worth visiting.The real PRO is the restaurant	
Jan 10 2005	Very over rated	I stayed at the Ritz Hotel in December for a one night stay, on my way through London to Japan. I spend about 30 nights per year away from home and have stayed at many wonderful hotels, so I do regard myself as therfore being capable of an unbiased review. The public areas of this hotel are, absolutely superb, the lobby is gorgeous and very old world, the Rivoli bar is very elegant and almost over the top but the walnut wall paneling with inlaid Lalique crystal is superb and definately worth going to have a drink. There is a high level of formality here at the hotel which means that to enter the bars and restaurants you will require a jacket, some people find this a bit too stuffy however I think it helps to create a very nice atmosphere. i have also had dinner here in the hotels restaurant (not on the night I stayed) and can say that this is one of my favourite dining experiences in London and again I would suggest that everyone must try this at least once in their lifetime. However, Staying at the hotel is a huge dissapointment, while the public areas of the hotel are superb, the rooms leave a lot to be desired, nearly every room at the hotel has furnishings that are unique to that room, however I have seen three rooms in the hotel (all standard rooms) and they are all very tired, the bathrooms are very plain, the room systems such as television and non existant sound system are very very low grade and outdated. The airconditioning system was faulty and was so old, it was very hard to regulate the room temp... it was either too hot or too cold. As a hotel guest the service also left a lot to be desired, staff here seemed to forget that they were employed to assist guests and seemed to beleive that they owned the hotel. I also received a call two hours before check out time and was asked when I would be checking out and then had someone knock on my door to again check tell me that the check out time was 12.00 and since it was now 11.00 would I be checking out soon. The particular evening that I stayed at the hotel I elected to have room service for dinner and ordered a club sandwich. The club sandwich that was served was more akin to something bought at a football match and would be the plainest club sandwich I have ever seen served in a so called 5 star hotel.By the time I checked out of the hotel I was convinced to never again stay at this hotel, which can only be described as outdated and certainly resting on its laurals, old world and antique does not need to equal bad service and tired out dated rooms. I would suggest to anyone coming to London, to stay elsewhere but do go to the Ritz to enjoy their restaurant and bar without the need to accept their low grade rooms. If one is looking for a unique London hotel experience I would suggest The Berkeley Hotel in Knightsbridge, Very English, very discreet, pretty rooms and fabulous relaxed service.	
Jan 5 2005	bargain!	My trip to the Ritz was a bargain. It was free! I won a trip for breakfast at the Ritz (including a nights stay) for four people.It was fantastic. The building was just how I pictured it to be decorated, and the bedrooms were fantastic.The staff were very helpful and didn't seem to be any more polite to the rich people than us!!Breakfast was a bit intimidating, everyone oozed money from every pore (except me), then to make matters worse I spilt something and left a big stain on the tablecloth. The food was beautiful though, smoked salmon, scrambled egg, fresh berries etcOverall, a great experience. I will never forget eating room service, lounging in my ritz bathrobe and slippers, a real treat!!	
Jan 1 2005	What a wonderful experience	Spending Christmas at The Ritz, London is a real treat. We had a Junior Suite that accommodated our family of four nicely. The hotel is just lovely during the holidays. The room was spacious, and very clean. I definitely recommend this hotel in London. It is close to everything.	
Dec 31 2004	Recent stay-Dec 22-26 2004	We spent the Christmas holiday at the Ritz and had a wonderful time. I was travelling with my wife and two daughter (ages 13 and 12) and the staff really went out of their way to accomodate us. Upon arrival I was immediately upgraded to a Junior Suite (because of Amex Platinum) and was allowed to check in at 9.00 am.The room was very large (approx 500 sqft) and the bathrooms were marvelous.Even though the room was quite pricey (340GBP approx $700) it was well worth it, at least for a once in a lifetime experience.The location is perfect with plenty of nice ethnic restaurants around, and the walks in Green Park were wonderful.The staff was excellent, and very courteous. I highly recommend it!!	
