	great location lovely staff but needs double glazing	Arrived early for check in but staff kindly let us in to our room early since we had been travelling from early morning. Room nicely decorated but bathroom very small. The main problem with the room was a very bad draught coming through the window very cold. Think double glazing would solve the problem of the cold and the road noise which kept us awake.Area lovely but not much to do in the immediate area not a great choice of entertainment. Taxis very expensive took one to west end cost us twenty five pounds each way. All said we enjoyed our stay needs a few minor adjustments.	
May 15 2006	Very Nice! I would stay at this hotel again without hesitation.	May, 2006Four of us have just returned from a 6 night stay at the Corus Hotel on Hyde Park, London. We were all very pleased with the staff, the rooms, and the breakfast (which was included in the price for the room). The rooms were clean, more spacious then what we expected, and the service was very good. The staff was accomodating and pleasant at all times. During our stay we had many questions for the Concierge staff, all of whom were very helpful and patient. We reserved two rooms, each for 99 British Pounds per night, including a full English breakfast. Breakfast was served on the bottom floor, in a sunny and very clean room, and breakfast was buffet style. We had cold cereals, a few juices, fruit, sausages, bacon, eggs (both scrambled and fried), fried tomatoes, and sliced fried potatoes from which to choose. Once we were seated, the wait staff was immediately at our side to question our preference for coffee or tea and toast. Prior to our visit, I contacted the hotel about my concern for the size of the rooms, due to the height of the men in our party. The person who spoke to me was pleasant, understanding and typed a note into the computer while we were speaking; the rooms we were given accomodated the height of the men. The window opened part way - enough to receive the cool breeze of May and the air conditioning, although not powerful, did help on a couple of nights. There is a small restaurant in the hotel, as well as a bar area where we could order food late in the evening. We have no complaints about this hotel, and if ever in London again, we would certainly go back.	
May 15 2006	Fabulous!!!	We stayed in this hotel for our wedding anniversary. The location was wonderful. we enjoyed having our coffees by just looking at the Excellent Hyde Park.The room service was very good and the hotel staff was very helpful.Room was very clean and big enough for a short stay.We really enjoyed the next door pub! Swan.The Lancaster Gate tube is only two minutes walking distance from the hotel.The area was very secure and very close to the heart of London.We enjoyed every bit of our stay in Corus Hotel!:)	
May 1 2006	Can't beat the location	Stayed at the Corus for 5 nights and had a wonderful experience. It was the perfect place to stay. Arrived a little early and while a room was available, we chose to wait for a non-smoking room. Checked our bags and went out to explore for an hour. The hotel is a block away from the Lancaster Gate station on the Central Line and is directly across from the beautiful Hyde Park/Kensington Gardens. Paddington Station is also a short distance away. The room we got was great. I'd read about the tiny rooms, but that was not our experience. It was good size room, the beds were comfortable and the bathroom was much larger than most Manhattan apartments! Overall it was inviting enough to relax after a long day of sightseeing. Service was great. While there was a pant press in the room I requested an iron and board and received it five minutes later. Used room service a couple of times and each time satisfied with my selection. The concierge was helpful with getting stamps for postcards and advice on where to eat around the area. The hustle and bustle of paddington is not really in plain sight so what looks like a predominantly residential areas really isn't. I thought that was a plus, because the room was quiet, no real traffic or people noise.	
Apr 20 2006	Great Base for exploring London	The hotel room was smaller than we had anticipated. We were only staying for a weekend, but if we had been there for longer I think we would have had trouble storing our luggage. There was a wardrobe in the room with about 6 coat hangers and also a trouser press. The room had a modern design and the bed although quite small, was really comfortable. The bathroom was also quite small and the towels were very thin.The room was cleaned every day, and the bed was changed and also we recieved clean towels. Location wise, this hotel is brilliant, it is right near Lancaster Tube Station, it has Hyde Park and Kensington Gardens across the road, and if you feel like a walk you can take a stroll through the park to Knightsbridge. We paid £69 for the night and if we were to get this sort of rate again we would definitely visit again.The reception staff and concierge were also helpful and allowed us to leave our bags with them once we had checked out so we had some more time during the day to do some exploring!!	
Apr 11 2006	Would recommend!	Nice hotel. Stayed there for a couple of nights. The reception and concierge were very helpful. They allowed us to check in hours early. The room was indeed small but very manageable, comfortable and very clean. The room was hot and dry but you can crack open the window for air. It also had a safe box which is nice. Lobby is clean and nice place to hang out. We didn't have their breakfast so I can't comment on that.Great location. Across the street is Hyde Park. I went jogging every morning I was there. The Lancaster Gate station is about a minute walk and the bus stops the same.I would definitely come back again given the amenities, location and price.	
Apr 2 2006	Liked the green light in the bathroom!	Had a great stay in the Corus. Weren't able to check in early but we were able to leave our bags at the concierge, which was helpful.The room was small but it wasn't a problem. Room was modern and very clean and the shower was nice. Loved the the green spotlight in the bathroom!The lobby area/bar was nice too - very relaxed.Would certainly stay here again.	
Apr 1 2006 	Decent hotel	I stayed for two nights at the end of March whilst on a business trip. The hotel is well located within 2 minutres walk of Lancaster Gate Tube (Central Line) and only 600yds from Paddington. Some rooms overlook Hyde Park which is a perfect place for an afternoon stroll or early morning jog.My room wasn't massive but then how much time do you spend in a hotel room? The bathroom was small but it had a decent shower in it. Check in was smooth, the staff polite and the concierge service was very helpful. The breakfast was very good with an excellent selection of full cooked English, cereals, fruits, yoghurts etc.All in all it was a pleasant stay and I would consider staying there again.	
Mar 31 2006 	Small but value for money	Stayed here after business function to avoid late train travel to Hertfordshire.As mentioned frequently before rooms are small (and very hot) but clean and functional for short stay. For 2 people I recommend booking Twin room as you will have 2 beds which makes more sense in small room like this.Staff were friendly and location convenient for Oxford Street. Would use it again because of value for money in London.	
Mar 27 2006	short break	Stayed with my husband for 2 nights (23-25 march). Yes the rooms are small but adequate for a short stay. Problem with the safe in the room but this was rectified as soon as possible and an alternate safe was provided with the conseiage at reception. Tea and coffee (excellent selection) was supplied in the room, and replenished daily. Our booking included Full English Breakfast, excellent choice of both cooked and continental. A note had been left in our room on the Friday to warn us that breakfast on Saturday was expected to be busy. We had to wait for about 10 minutes for a table. The Location is good 2 minutes from Tube station giving you instant access to LOndon all its attractions and across the road is hyde park. We would use this hotel again.	
Mar 24 2006	Sure it's small but...	...but it's nice, it's clean, and the staff is very friendly. The concierge was very helpful and gave us some great recommendations. It's a bit out of the way, but the Lancaster Gate tube stop is less than a block away, so you can easily get most anywhere. My recommendation is to worry less about the size of the room and get out and see the city!	
Mar 22 2006 	disinterested staff uninspired digs	this hotel has a lot of problems. it's not dirty but it has the smallest of rooms and worst of all, staff who are clueless lack any sort of interest in their guests...i was seated at a table for one in the restaurant and waited for fifteen minutes for my order to be taken. after i ordered, another fifteen minutes before a young waitress told me they couldnt serve me as there was a large backup in the kitchen. i could come back in two hours (it was 8:30 PM) or go somewhere else.book here before you sleep under the bridge but don't expect anything.the overall ambiance is of that of a cheapo airline lounge...	
Mar 20 2006	One room per half person	I cannot emphasize how small the rooms actually are, you would think that for the price of the room and the location of the hotel you would sacrifice the room size, but when you step in you realize how big of a mistake you've done when you booked your stay in this hotel. Yes, they say all hotel rooms in London are pretty small but this hotel really took it to the next level.The bed (Full) is attached to the wall and you are left with about a 1.5’ on the side of the bed to hang out, if you’re traveling with a spouse be prepared to fall off the bed at some point during your sleep.Don’t even think of turning the TV on, since the size is so small and is placed so far above that you have to squint to make out the faces on the TV set. The channels available are numbered from 1-5. Well, you won’t even want to hang out in the room so forget the TV.The continental breakfast served is basically croissants and cereal, so make sure if that what you have to bring some extra milk or just go somewhere else to eat.All in all this hotel room was free when I booked my airline ticket so I cant really complain, but all I’m doing is stating the facts i went through when I stayed at this hotel.	
Mar 14 2006	Excellent weekend	We have just returned from an excellent weekend in London staying at the Corus Hyde Park Hotel. We arrived in the morning and we were allocated our room straight away, quite spacious, immaculate and spotlessly clean. The food in the restaurant was very good and the breakfast was excellent. From our experience we would recommend this Hotel because of the friendliness of the staff throughout the Hotel , the food and the rooms. All in all a very enjoyable stay. Looking forward to returning later in the year.	
Mar 12 2006	central location	Stayed here March 10-12th 2006. Hotel very central, next to Lancaster gate tube station,and opposite Hyde Park. Nice decor, rooms clean, but small with limited storage. Staff very helpful and pleasant. Nice breakfast buffet.Good for a short break.	
Mar 3 2006 	Fab Hotel Very Compact tho!	Very nice Hotel! I enjoyed my stay very much, the staff were very helpfull. The rooms are small but have everything u need (kettle, hairdrier, iron). They are very nicley decorated and comfortable. I had english breakfast and it was delicious staff were friendly and welcoming. The only problem I had was the room was so hot and I couldnt turn down the heating but im sure if I had mentioned this it would have been sorted. Very central plenty of shops and resturants.	
Mar 3 2006	Very weird rooms?	Just before christmas i took my girlfiend to london for a bit of shopping, we stayed in this hotel only for 1 night, its an alright location.The decor inside is abit cheapy looking for a 4* hotel, we checked in to find out we were sleeping in a rabbit hutch!. and the room is a very weird decor abit chinese?, ive never ever stayed in a smaller room!, hardly any light! the toilet was like something out of Dr Who! with a weird green light.I suppose its ok for you money, but wouldnt stay there again.I didnt think the staff were very helpful, ok i might be 18yrs old but they looked at me as if i wasnt too be in the hotel!.	
Feb 21 2006	As I thought it would be....	My sister and her family met me at the hotel where we stayed one night. My sister had already warned me about how small the rooms would be so I was ready for a smaller room than what I received. My sister's room was about the size that I thought it would be, which was fine for one night. My room was perfect for one person, yes it is small but very clean and when I go back to London I will try my hardest to stay here again. The view of Hyde Park and the hotel is very close to a tube station makes up for the fact that it has small rooms. In my own opinion I had a great stay and will go back.	
Feb 19 2006	Good Value Clean yet compact	I took myself and my daughter to London for a few days and I spend quite a lot of time reviewing the hotels and I am quite fussy.Booked through Superbreaks and 2 nights cost £118.00 - not many hotels offer 1/2 price for kids!! The room was very small but it was well equipped and clean.Breakfast was great and would stay again at this rate.	
Feb 19 2006	Very lovely hotel...	I stayed at the Corus on special offer for a weekend last April. I liked the location- quaint, mellow and after just leaving a hotel in Piccadily it was a welcome change. However, when I checked into the hotel (where I booked a single) I was told that the room was smaller than most thought and that I should consider upgrading. The receptionist was right!! I have never been in a cruise cabin that was as small as that single!! Insanely tiny, almost unable to move around in! But I returned to reception and I was given a complimentary upgrade which I was extremely grateful for. The rooms are well decorated and nicely furnished and the proximity to the Tube station was extremely useful. However, there isn't much going on at night and you have to walk a fair bit to get to the more active section of town. Hyde Park is across the street but for the standard price (not on special offer), I don't think this hotel is worth it!	
Feb 12 2006	Like being in a dolls house!	My husband and I stayed here for one night in Feb 06, and we were amazed at the size of this room! The bathroom was the smallest I have ever seen!The room was clean and tidy, but absolutely NO storage for clothes ect. The windows really need to be double glazed as it is incredibly noisy all night long with sirens and cars speeding past even though we were on the 7th floor we were kept awake most of the night.The tv was tiny so if lazing on your bed you couldn't see the screen clearly.The Full English Breakfast is very good though!But best to get to it early to avoid the long queues.Would I stay at this hotel again? Definatley not, I would only rate this as 2 star and not real value for money.	
Feb 5 2006 	Great London Hotel	Located less than a five minute walk from Oxford Street and overlooking Hyde Park, the Corus Hotel is a modern hotel within an old style building.Freshly decorated with bright colours, the hotels interior was clean and attractive. Sure, the bathroom wasn't the biggest, but the rest of the room was well laid out and comfortable.A good selection for full English breakfast in the morning and staff who were friendly and helpful.Just the one negative - no parking on site and only residents parking in the surrounding area. Nearest public car park was a five minute walk.That said, we would definitely stay here again, car or no car!	
Jan 28 2006 	Clean hotel with great staff	Stayed at the Corus for 2 nights on business and was pleasantly surprised after reading some of the reviews.Yes, the rooms are compact but have everything you could need - right down to a mini ironing board and iron and an in room safe.The rooms are cleanly decorated with excellent lighting and are amongst some of the best maintained I have ever seen in the capital. The bathroom, though very small, was immaculate and the shower fantastic.Not sure why people complain about the heat - I just adjusted the theromstat on the radiator - hardly rocket science!Ate dinner in the restaurant one evening and it was great for the money and served by very friendly staff in a professional manner. The breakfast room is also very pleasantly decorated, clean and well maintained.Staff throughout this hotel were extremely pleasant and helpful, something you don't always find in much more expensive properties.My only complaint would be about some other guests making too much noise - a TV doens't need to be on high volume at 3am! Overall a great hotel, good value and with well trained staff. Would I recommend it? Well I was already booked in for next week before my first stay and I certainly wouldn't think of changing my reservation to another hotel following this first experience.	
Jan 26 2006	Excellent Hotel	My partner and I stayed at this hotel after hours of research on the net for a reasonably priced London hotel. This one definitely exceeded our expectations. It is VERY close to Lancaster Gate tube station, the staff were both knowledgable and helpful, and our room was immaculate and of a very decent size (Room 730), compared to what we were led to believe from reading previous reviews. The only thing we regret is that we didn't book our entire London stay in this hotel.....ah well, we'll know for next time!!!!!	
Jan 18 2006	Agreed with the "midget" review	Smallest toilet ever experienced, only mildly larger than an airplane toilet! No wardrobe, so life is lived out of luggage. Rooms were tropical, no expense spared on heating. Clean, staff pleasant, good area, right beside Tube Station (Lancaster Gate), though not cheap.	
Jan 9 2006	Great Hotel in a Great Location	I stayed for five days the week before Christmas at the Corus Hyde Park. The rooms, albeit very small, were very clean and had good amenities. The room rate included a full English Breakfast Buffet in a clean, well-lighted dining room. The service in both the dining room and the hotel staff were very friendly and courteous. The best part of the hotel is its location. It is located directly across the street from the Lancaster Gate of Hyde Park. You can stroll past the Italian Fountains or walk to Kensington Palace. I jogged every morning in Hyde Park and actually saw a red fox in the park. The hotel is one block from the Lancaster Gate Tube Station on the Central Line of the Underground. The hotel is also conveniently located along several major bus lines that can take you to all the major locations in central London. The hotel is situated in a quiet neighborhood and there are shops, a nice pub and a launder mat all within a short walk. I highly recommend the hotel for its cleanliness and courteous staff.	
Jan 3 2006	Great Hotel	After reading some reviews prior to staying in this hotel we was slightly concerned. We arrived at 10am and checked in, knowing this was a little early, We were advised by a helpful member of staff that a room was ready and we had been upgraded to an executive suite, which was a large room, with lovely large bath and lovely view, so we had no trouble with small rooms etcc.. room service was excellent arrived within about 15 mins and full english buffet breakfast downstairs in restaurant was spot on.Would recommend this hotel, but then again, we did have a larger room, and should we have stayed in one of smaller rooms our opinon may be slightly different.	
Dec 3 2005	Very Good Value	Corus Hotel, November 28, 2005. Very Good.Very good value for money. Although the room was small, it was well designed, very clean and comfortable. Position is excellent, is 1 minute from the tube station, opposite Hyde Park, and near all the attractions. I will definitely stay here again.	
Nov 29 2005 	One of the better London hotels in the price range	I've recently moved to London for work and have been booking hotels on lastminute until I find a flat. Of the several hotels I've been in I prefer the Corus so far. The room is clean, the decor is fairly modern (compared to other places in this area), the lobby is pleasant, and the staff were very friendly. The location is great (right across from Hyde Park). I will caution the average reader that I can sleep through more noise than most people so my comments on noise should be discounted. However, at least from my room (on the 8th floor), noise wasn't a significant problem. I am writing all this based on the good price I got on lastminute[-]. If I had to pay normal rates maybe I would have a different view. Yes, the bathroom was small but I think some reviewers should have some cultural sensitivity. Do you want a strip mall Motel 6 with big bathrooms or do you want beautiful architecture in Central London? One has to make some sacrifices I guess. I personally don't really care so much about the size of the bathroom given that I would rather be sightseeing. Again, do you care more about cool pubs, bars, restaurants, people on the street, aesthetics of a city, parks museums, or large bathrooms. Anyways, I have had a good time here so far. Knock on wood as I'm still here!...	
Nov 21 2005 	great for midgets	I stayed at this hotel 14 November for 2 nights. Lucky there was only me in the room - it had a double bed and with two people in the room it would have been intolerable; I could touch two walls with arms outstreched. Yes it's clean; yes, its centrally located - but you've now said it all. The walls are so thin that you can hear everything going on in the rooms either side - I mean everything! I was on business and had jet lag as well, so being woken at 2.30 was not my idea of heaven, epecially when the noise went on for an hour and no-one did anything about it. Breakfast is a basic continental in a small dining room. They give free room service to try and keep the wait down for breakfast, trouble is room service doesn't work either. Day 1 my breakfast had not arrived after 30 minutes, so ring room service; after 5 minutes constant ringing I gave up and went down for breakfast. Many colleagues had the same problem. If you want a relatively cheap, warm, clean shoebox to hole up in whilst in London then this may be for you. If you want sonmewhere you can actually sleep and a semblance of space - oh, and a drawer to put your smalls in - then try somwhere else.	
Nov 10 2005	Incredibly small room	The Corus was exactly what we expected, an older building with small rooms.......but we were surprised at how small. The worst part however is that there is no dresser, no chest of drawers or armoire for clothing. There was a cubbyhole next to a bar for hanging......that was it for 1 week! Very tight and cramped. Clean though. And the bathtub is so high...if you have the slightest problem with your legs or knees find another hotel. The location is convenient, a 1 min. walk to the tube. The staff were accommodating, in fact it was a very warm day when we arrived and when I inquired about air conditioning I was told the rooms were not air conditioned.....however since we were staying 6 nights they gave us a free upgrade to one of the few with a/c. There is a very nice pub across from Kensington Gardens called the Black Lion which was much nicer that the Swan Pub.....the Toad In The Hole was delish. Breakfast was good......cheeses, ham, cereals, croissant, rolls, fruit, jam etc. and it starts early, 6 am, so you can get an early start to your day. Overall I have nothing terrible to say about the Corus or London.......we had a great time. But I doubt I'll return.	
Oct 31 2005	Very pleasant hotel	Very nice hotel in a convenient location. Rooms lovely and clean. Rooms were quite hot and stuffy though and we requested a fan which arrived within one minute! All in all a good hotel which we will probably return to in the New Year.	
Oct 26 2005	Good location but be careful with your bill.... Check Check Check	The hotel is located in a nice area, very close to Lancastergate tube station, so it is very convenient. The continental breakfast is great! The room is SO small, but clean. The hotel pictures describe exactly what you will find there.Everything was fine until I receive the telephone bill. The amount was incredible unacceptable, so I wanted to speak with the manager since they did not give me the rate's list. They made me speak with the hotel concierge who was very rude. I had to pretend that I wanted to call again, but would like to check the rates before placing the call, since I already had exceeded my budget. By magic the list arrived, and I could check that they were charging me 2 times more than it was in the list. They were charging 3 pounds for a local call!!!! At the end, they gave me 50% discount... meaning that it went back to the correct price (still VERY EXPENSIVE). They told me that I should have bought a calling card, since hotels calls are really expensive, and this is how they make money. I could not believe that I was listening that argument.I will never stay there again, regardless the good location, since vacation is not only location, but whole pleasure package, and I had to stress a lot at the end of my stay.	
Oct 12 2005	Good hotel	This is a functional hotel. It clientele contains a great number of tourists. The location is nicely situated across from Hyde Park. Rooms were clean. However, the quarters could have used a few touch-ups on the paint job. Overall, it is useful place to stay for a good rate during the middle of the business week. On the weekend, you can find better deals at more upscale business hotels.The common areas are sort of decorated in bright Ikea chic, which doesn't always appeal to me when consuming my evening cocktail. But, there are plenty of nearby pubs you can enjoy.	
Sep 12 2005	I Would Stay There Again	My family and I had two rooms in this hotel as part of a British Airways package. Our daughters' (adults) room had been refurbished and was nicer than ours, but ours was acceptable. Breakfast was quite good with a very nice selection of rolls, croissants, cheese, ham, jams and juices.The location was wonderful. The Lancaster Gate tube station is witin a two-minute walk. We did stay an extra night beyond what was included in the package and my impression was that it was a reasonable value compared to what I knew about other prices in London. The area around the hotel offered a lot of local charm and was quite close to Paddington Station -- we took a taxi when we first arrived but could have walked in about 5-10 minutes.	
Sep 7 2005	Hot Hot Hot!	The location of this hotel is excellent and it is immaculately clean. The rooms, however, are incredibly small, even for London! We were there on the hottest day of the year and the temperature inside the room and the corridors was unbearable, there is no air conditioning and we didn't have a fan. We were forced to open the window overnight which meant we were woken by trucks arriving at 6am, having been disturbed constantly by a generator noise! At 8am, the maid let herself in (we were too sleepy to hear the door!) so the next morning we hung a 'Do Not Disturb' sign on the door and were woken again by the maid knocking to ask when we would be leaving! Although the prices were reasonable and I loved the area, I wouldn't stay here again.	
Jul 3 2005	Good Hotel small room	Just got back from the Corus Hyde Park, where we stayed for the Live8 weekend (Fri-Sun). First impressions- nice building, clean, modern. The reception staff are pleasant and courteous and check-in was swift and smooth. We had to pay a £40.00 deposit (£20.00 per night) for any extras which we may have taken during our stay, such as the movies, playstation, room service, telephone calls etc.I was quite taken aback at the size of our double room, as it didn't look the same size as the webphotos. It was wide enough to take the double bed, which was against the wall to one side, and there was about 2 foot of walk space on the other side! The room was quite long though to be fair. The room was immaculately clean and you could tell that it has been recently redecorated. The bathrooom was average size and could accommodate 1 person at a time. We had both bath and shower, which was great. The only really negative issue was the overwhelming heat in the room! The sash window could open about 6 inches and there was a fan attached to the wall near the ceiling, but it didn't do much good. I couldn't close the bathroom door because the heat was suffocating in there when the door was shut. I would strongly recommend an upgrade to an air conditioned room (which we will do if we visit again) if you can't stand your accommodation being too hot. The weather outside wasn't particularly hot this weekend, so I dread to think what it would be like in a heatwave!We booked and paid for continental breakfast (as this was the only option left available for the dates we wanted), but when we arrived in our room we were given the option to upgrade to a full English breakfast for a supplement of only £3.50 pppn, which was fantastic. All you need to do is tell them that you want to upgrade when you go down to breakfast in the morning and have it charged to your room, which is very convenient. The breakfast was piping hot and absolutely delicious with a good variety. We were offered tea/coffee and toast. By the time we collected our breakfast, which is self service, and returned to our table, the coffee and toast was there waiting. If you wanted, you could also have the continental option as well, but we found that the full breakfast was more than sufficient. We are hoping to return to London again this summer and would be happy to stay at the Corus. p.s we scoured the internet for hotels and found the best deal at (---)	
Jun 8 2005	Glad we chose this hotel	Great location. Rooms small but well-designed so very comfortable. Immaculately clean. Large continental breakfast. Breakfast room has lots of windows overlooking Hyde Park. Just under two blocks to the tube which we found very convenient. (The tube station required walking some stairs - which may be a problem for some people carrying baggage.) Our family had two rooms - one with air conditioning and one only with a fan. The highs during the day were about 68 degrees Fahrenheit. With those highs, the fan kept the small room cool and the air conditioning just kept the other room comfortable. I don't know how comfortable the rooms would be in hot weather. Staff was pleasant. The shower is in a very deep bath tub so it's a big step to get out of it - this might be a problem for some people. We were very glad we stayed at this hotel and would recommend it.	
Jun 6 2005	Good Value Great Location	I've just returned from a long weekend at the Corus hotel, Hyde Park. Overall I enjoyed my stay - the hotel is in a great location. It overlooks Hyde Park and is minutes from Lancaster Gate Tube making it an ideal location for those wanting something just out of the main bussle. I occupied a single room. It was clean, well presented and ideal for me. My only complain about the room was the heat. There was no air conditioning, the window would not open and only a wall fan provided any air circulation. Given that the weather was very muggy during the weekend, it made it very difficult to sleep in comfort.The only other problem I encountered was with the lifts. Of the three available, only one was available onne morning and it took almost 20 mins to actually get down to reception (No one seemed to be able to locate any stairs).Overall these were not major issues and id happily stay at this hotel again	
May 25 2005	the smallest rooms in London	I have trouble even giving a 2 star review of this property but it is right along Kensington Park. I'm 5'3&quot; and could lay across the width of the room and touch both ends! Does this give you an idea of how narrow the rooms are? I had to sleep with my suitcase in my bed since there was no room to put it on the available floor space. The wardrobe was so shallow that you had to put your clothes in flat, facing forward and with a capacity for about 3 shirts. The bathrooms are okay. My friend's room was bizarre. The entrance from the hallway was into the hotel room's bathroom. So, you had to go through the bathroom to get to the bed area. The breakfast was okay. No A/C is a very bad thing even in winter since the radiator runs continously. Windows were painted shut. A lot of Cosmos tours stay here. Also, it is a known pick-pocket area.	
May 23 2005	Tiny Needs Updating But Convenient	We booked a vacation through British Airways that included 2 free nights in a London Hotel - we selected the Corus. In our first room, the bed must have been 50 years old. It was the worst bed, the room was falling apart with old wall paper falling down. We were on the first floor and could not open the windows and there was no A/C. It was not hot in London, but was extremely noisy and stuffy. We did change rooms the next day and the staff did not give us much hassle. The second room was the smallest we have ever seen - small for European standards or NYC. The bed was against the wall and there was barely room to walk by and that was the entire room. But, it was an improvement because we could actually sleep on the bed and could open the window. The hotel is extremely convenient - one block from the underground subway and near Paddington Station. And the rooms were relatively clean. Overall, unless the room was free through British Airways, we would not go back.	
May 17 2005	very average	Very average hotel - rooms are tiny (even for London). Our room was skinny and long, we felt like we were in a pencil box with no closet and no view at all (room was overlooking the back of the building where kitchen trucks were arriving). Also it was getting pretty hot at night, so we had to open window a little bit, but then we could hear trucks early in the morning. Bathroom was really tiny as well. Building is very pretty from outside. Our continental breakfast was quite decent - few types of cereal, 2 types of juices, milk, tea, coffee, 2 or 3 types of rolls, jams, cheese, ham... Staff was pretty friendly.We didn't like location a lot - it was o'k, very close to the park and the tube, but nothing else. We liked Tavistock much better (and hotel itself and location). We won't be staying at this hotel again.	
May 7 2005	Good hotel for London - bad attitude from staff	This was my second stay at the Corus. Found the hotel to be well located and good value for London. This time however, I encountered a problem upon check-in. The rate I had selected on the Internet was for bed and full English breakfast but the hotel records showed room only. When I questioned this, the condescending French receptionsit indicated that I was getting a very good rate and proceeded to show me what rack rates were for the hotel (who pays rack rates?). Further that he had been a receptionist for many years and HE knows what hotels should cost(who is interested in his career experiences?) I insisted that I should have breakfast included whereupon they reluctantly agreed, but the next morning I found that it was only continental breakfast being offered. Finally, I had to log on to their website to prove that the rate I selected included full English breakfast. (cost me one pound 50 to log on and get a page printed. )Meanwhile in their rooms, the rates I had been quoted are clearly stated in their hotel info. brochure! It would be good therefore if the desk staff were aware of what was on their website and also what info. is in their rooms. But more importantly they should gain an understanding of the word 'hospitality' and make sure that any individuals with 'attitude' are not put in front of customers. Other than this incident, I would probably stay here again because of the good location and in spite of the microscopic rooms	
Apr 26 2005	Great value	We stayed at this hotel for free thanks to a BA package. We concur with most comments on here: the room was small (there was room for a double bed, and a desk, and that was it (literally); the room was clean; decorations were spartan but nice; and the staff was friendly. The best part is definetely the location; hyde park is a beautiful place to spend the day and the metro is very close. My only caution?: It was only the end of March and the halls were sweltering; our room was cool because we could open the window, but I imagine it would be awful in the summer since there is no air-conditioning. I don't think that I would try in summer even if it were free!	
Mar 23 2005	A nice place to stay	My family stayed here March 12-15 with a British Air package. My sister and I had a twin room, and my parents had a double room (although it was a queen-sized bed). My room was very clean and looked recently renovated. It was small by U.S. standards, but had everything that we would want: comfortable bed, clean bath and shower, desk, tv, phone, and a closet. My parents' room was a bit older, and looked a little more worn. However, it was also clean and came with the same amenities. Breakfast was included with our room and consisted of rolls with butter and jam, ham, cheese, cereal, milk, juice, tea, and coffee. It was pretty good - at least for someone who is not a big breakfast eater! The location was great. It is a block away from Lancaster Gate Tube station. It was closed the first two days, so we took a bus to Marble Arch, which is only about 4-5 blocks further. It is about a 10 minute walk from Paddington Station, which is also very convenient. We took a taxi from the station once we arrive in London (because of all of our luggage), and it was only a few pounds. The hotel is right on Hyde Park, with great views. All in all, it was a great place to stay. I would certainly stay there again.	
Mar 11 2005	Friendly Corus	I stayed at the Corus from 4th - 7th March 2005. I arrived at Euston train station and took the bus (390) direct to hotel - Fare £1 20p Alight at Lancaster Gate by the underground station. My room was a standard single, very small but clean. It was adequate for a few days. There was an open fronted wardrobe with hanging space of about 18&quot;. The single bed was too small for me (I am 6'4&quot;) and the dovet cover only came up to my shoulders but an extra blanket was provided.Breakfast arrangements were excellent and stress free. Guests on Continental B&amp;B use a different restuarant than those wanting a full English breakfast. This cuts down the lengthy wait a busy times. The staff are some of the most helpful and friendly I have ever encountered.I would certainly stay again but hopefully in a larger room	
Mar 8 2005	Great for a moderately priced London hotel	We got this hotel via a British Airways package. I was a little afraid after reading the other reviews but the room was great! It was small but average size for a big city, moderately priced hotel. Breakfast was great as well. Room and bathroom were sparkling clean. Location was top notch. Two complaints -- staff did not give us one wake up call, and lift (elevator) service was spotty. One morning we had to wait about 10-15 minutes before we could get on a lift going down, and the only staircase led out to an alarmed door so that wasn't an option. And one of the concierges could have been a bit more helpful. All in all, a great deal -- we were more than pleased with the Corus. I'd definitely stay there again.	
Feb 27 2005	Nice Hotel	Pros-----* Very Friendly &amp; Helpful Staff, Great Customer Service* Modern Flair* Nice Modern Lobby &amp; in Hotel Restaurant* Very Clean* Near Park* Very Close to Tube Station* Rooms are Decent, a Little Cramped, but Good by European Standards* Had Electronic Safe in Every Room, Ironing Board* Good Place for the MoneyCons------* Standard Breakfast Boring with Little Variety* No Air Conditioning, just a Tiny Fan, so if you are caught in a Heatwave in London, Good Luck* Walls can be a Little Thin if Neighbor turns up the Television Volume* Extreme Fringes of Neighborhood could be unsafe at Night, but Generally Surrounding Neighborhood is Nice &amp; Quiet* Not a Lot of Restaurants in Vincinty - Just a FewA good hotel. Very clean, affordable, convenient, &amp; generally safe	
