	Just ordinary	I stayed in an individual room at the Meliá White House for one night. I found the hotel just ordinary. The decoration and furnishing are pretentious and a bit dated.The staff at the reception desk were nice and both the chek-in and the check-out were fast. The room was small, if not too much for London standards; however there wasn't even one chair and the only &quot;table&quot; in the room was more of a ledge with legs, barely 25cm deep and placed in a narrow, poorly-lit, aisle-like space (which is awkward for a four-star hotel that claims to be ideal for business travelers; but of course with a chair and a desk the room would have appeared crammed). The TV was big and a bit old. The closet looked a bit shabby. The bed was comfortable. The bathroom was up-to-date but really tiny; not even a shelf for the toilet bag, just the small counter around the sink. Everything was clean enough. There is a coffee and tea kit (inside the closet, as there is no other place to put it).There is something odd about the use of the in-room minibar: an note advises that if the customer uses the minibar to cool his own stuff then he will be charged 15 pounds.No free internet at any area of the hotel. Rate is 15 pounds per 24h.I didn't have breakfast at the hotel; I don'd remember the price but it was in the region of 20 pounds, so I had a good breakfast somewhere nearby (Great Portland St. is just across the street).The hotel is well located but you can find plenty of well located hotels in London at similar or cheaper rates and this one does't add any special value.In brief, it was just fine but there's nothing special about it. I've stayed at nicer hotels in London and would recommend this one only if you get a cheap rate.	
Oct 22 2005	Loved the White House!	We stayed at the Melia White House during a long weekend break last summer. Convenient location near Regents Park, Great Portland Street tube stop, pubs (the Green Man was particularly good), and grocery stores.Air conditioning kept our room cool and pleasant during the hot, muggy days and nights. Nice furnishings, pleasant staff, cramped bathrooms... be careful in the high tub and small shower. We paid for the &quot;Royal Service&quot; upgrade, which provided us with an upgraded room, upgraded toiletries, and use of the lounge/breakfast room, including drinks, breakfasts and tapas in the evening. I'm not sure I'd do the upgrade again, but I think my husband probably would...we did enjoy it, I'm just not sure it was good value for money.We'd stay here again anytime, and wouldn't hesitate to recommend this hotel to others.	
Oct 14 2005	I like it and would stay there again	We stayed at the Melia for a week in September 2005. The staff--from the front desk, concierge, porters, housekeeping, to the restaurant staff--were ALL courteous and helpful. The breakfast buffet was fabulous and had something to suit every dietary preference. It's less than one block from a tube station and very close to Regent's Park. Nearby are some good pubs and a pretty good Mediterranean restaurant. We felt comfortable walking around the neighborhood at night.Our room, although small, was clean and comfortable. I did have a problem getting in and out of the bathtub because I'm short, only 5'2&quot;.I have absolutely no complaints about Melia White House and can't wait to stay there again.	
Oct 9 2005	tries hard but not worth its Hotwire rating	The purpose of this review is to warn avid Hotwire fans - like myself before this experience - that this hotel is always offered through Hotwire for a super low price at a four star rating. I paid $125 a night through Hotwire, which was great, but this hotel was NOT 4 stars. Considering that Hotwire rates the Paris InterContinental 4 stars [where I also stayed], it's outrageous they would put Melia White House on the same level. First of all, maybe I'm too chi-chi, but the beds do NOT have any top sheets! I think that's gross! You just go straight into your covers with zero fresh sheet protection - who knows what other stinky feet have been touching the coverlet. I know the Melia is a Mexican/Latin American chain, but I've been to lots of hotels in South America, and they all had sheets! bathroom amenities: the hairdryer was a joke - a vacuum like relic from the 1950s. The soaps/hair shampoos, etc. were a total generic brand that had no scent and that were all orange in color. At the Paris InterContinental, it was all Moulton Brown. More importantly, hotel management (they're all from South America) likes to give you the runaround with what I call, &quot;faux-first-class service.&quot; They try uber-hard to be first class in service with unnecessary pomp such as addressing you as Madame, having a tacky chandeliar in the lobby or a bunch of bellhops in the front, but when push comes to shove and you need extra help, they really don't know how to deal and they'll promise you the world, and then not do anything about it. My word to management: go to a real first class hotel in Europe for training, and then come back, you have NO idea how a real first-class hotel should be. For example, I had an issue with the buffet breakfast [incidentally, it's fantastic] but as the hotel only has one restaurant [which is inferior to begin with since late breakfasters will be rushed out], the buffet ends at 10:30 a.m. If you come in at 10 a.m. and pay full price [$30 US per person], you'll get hosed since they'll start noisily packing up at 10:15. Well, I complained, I definitely did not get my money's worth and the management came over, was trying really hard to be elegant and hospitable, but nonetheless, I was still charged for it and when I complained to upper management, they promised to look into when I left but of course, never heard back from them [although the manager took down my e-mail, phone number, home address, etc.] So, there you have it. It's a decent hotel, I would put it on the same par as a good Holiday Inn, but servicewise and amenities wise, definitely only 3 stars [as TripAdvisor has rated it].	
Sep 16 2005	just okay	There are several good things about the Melia White House: the location is excellent, the service is polite and professional, and the housekeeping is efficient. Yes the rooms are small and the walls are thin, but this is the case in most moderately-priced European hotels - invest in some ear plugs and pick up after yourself and you'll be fine. As some earlier mentioned, sometimes you just need a place to eat and sleep. When it comes down to it, I'd like a convenient location, clean room and comfortable bed. The White House gets two out of three right. The beds (at least in the standard rooms) are terrible - there is no other way to put it. You can feel the springs everytime you roll over, which you end up doing a lot because they sag in the middle. All the polished marble foyers in the world can't make up for a bad night's sleep.I'm assuming that the beds in the deluxe rooms are a big improvement, you should definitely do the upgrade.	
Sep 13 2005 	The Worst Customer Service	DO NOT STAY AT THIS HOTEL.....I have just found I was charged twice for my stay, they say they kept another room and it was all my fault. No offer of refund or and future discount as good will, they just told me they will do nothing. SO NOT MY ERROR but hotel keeps my cash.....SPREAD THE WORD THIS HOTEL IS ONE TO AVOID!!! (Plus the room was tiny!)My not so helpful customer service woman was Berta - thanks for nothing!	
Aug 31 2005	Excellent Hotel	I take it most of these reviews are from the US? here is one from a native Brit, enjoying my own Capital in spite of the bombers!The White House is right out of Agatha Christie; you expect to see Periot coming out of the reception! The decor is excellent, mostly red and gold (Spanish tribute to the managment I take it)We were upgraded to &quot;Royal Service&quot; and got a great room, although I do agree about the &quot;bathtubs&quot; being difficult to get in and out of (and I am only 44!)The breakfast buffet was excellent, freshly cooked (you can ask for your omlette anyway you like it!). The guests were Spanish, American, German and, yes the Italian Aircrew too. It was like staying on the continent with the facilities of home and the beauty of Regents park to relax in just a short 5 mins walk away.	
Aug 24 2005	Great value from Hotwire	I recently spent three nights at the Melia White House, and for the price I paid, I can't complain. Yes, it's true, the standard rooms are tiny. In fact I think it was smaller than my stateroom on my cruiseship that I took prior to my stay here, with the exception of the presence of a bathtub that is awkward getting in and out of as already reported. You can upgrade your room for 20 GBP, but what's the point, if you are only instereted in sleeping there. The hotel looks attractive enough on the inside. Checkin and out was a snap and the Concierge was very helpful. The mattresses really could be a little better. They were rather &quot;springy&quot;. The location was fine, with great access to Great Portland Station. However, if you are lugging suitcases on the tube, beware that there are no escalators at Great Portland, so if your bags are heavy, have fun! It was an adventure. I wouldn't hesitate to stay there again at under $115 U.S. per night including taxes, which is fantastic for London standards (no breakfast included for Hotwire guests).	
Aug 4 2005	4 Star Hotel 3 Star Service	Melia White House was a nice hotel with large rooms for European standards. It was in a nice out of the way location that was quiet. The furniture and carpets were a little worn, but still nice. The breakfast buffet was wonderful and if you ate late you would not need to eat lunch. I was disappointed when they would not let my husband get me breakfast when I was sick. They said he had to order room service. All he wanted was a piece of bread and banana!! No 4 star service there! We were also disappointed when we called for a bellhop to get our bags and no one came. Again, not what you would expect from a star hotel. Nice room---poor service!	
Aug 3 2005	Good location great price online	I stayed at the Melia White House Hotel in London on a three-day trip in June 2005. I booked the hotel on one of the websites that lets you choose the star rating of the establishment, but doesn't reveal the hotel until you have paid. This hotel was definitely worth the suspense! The hotel is situated only a block from Regent's Park, off of Marlyebone, so it is remains quiet during peak traffic times. The Great Portland Street tube station was only a block away and Madame Tussauds was within comfortable walking distance. When we checked in, a flyer at the front desk showed rooms starting at 225 GBP; I only paid $125 through the travel website! The rooms were small but well appointed and the staff, from the front desk to housekeeping, was extremely polite and helpful.	
Jul 27 2005	Rooms Too Small - Avoid	The standard rooms at GBP128 a night are very poor value. The smallest hotel room I've ever been in. Asked to change but that required a GBP30 extra.	
Jul 22 2005	Great for the able	We used this hotel as our choice from a selection offered by Trafalgar Tours. It was rated in the &quot;upper middle&quot; category and the 2005 Trafalgar London/Europe brochure lists it as not having AC. Not true! After a multi-million dollar refurbishment, it was beautiful -- and cool. The Trafalgar book also said that all their tour hotels include a contintental breakfast. Again, they sold the Melia White House short! On our first morning, we asked where the complimentary breakfast was and were directed toward their only dining room with a sign outside that said the breakfast buffet was 19 pounds per person. I said, &quot;Oh, no, we want the FREE breakfast,&quot; but at the Melia, that was it! Eggs, waffles, omlets, pancakes next to an enormous bowl of hot chocolate sauce (whew!); eggs, English breakfast bacon, sandwiches, fruits, piizza, cereals, and on and on and on! Attentive service as well. We saved big bucks by eating a huge breakfast, a mid-afternoon lunch, and then an evening snack instead of dinner. You can save a lot of money this way if you didn't come to London to eat. Hotel is clean and beautifully refurbished, as was our room. Yes it's small, but who goes to London to stay in your room? Hotel backs up on the beautiful Retents Park and is a few steps from the underground. A convenience store (for those aforementioned money saving snacks and fresh fruit) and restaurants are next to the underground station as well. So now the only caveat: in the beautiful remodeling of this hotel, the bathtub in our standard class room was VERY elevated -- apparently to run the drain pipes. This is fine if you're fit and spry (but even then, it's a climb in and out -- hang on to the grab bar); but we talked with an older woman in the lobby who found climbing in and out of the tub downright frightening. Don't know if the higher priced rooms also have this challenge. Other than that, a really wonderful place to stay. Italian airline crews stay there -- usually a good sign.	
Jul 22 2005 	OK. Nice but nothing special	Pros: Clean, nice furniture, nice bathrooms.&quot;Royal Service&quot; worth the upgrade cost. You get full breakfast, beverages throughout the day, and free cosktails, food and dessert from 5 to 10 in a nice lounge.Quiet location for sleeping. Nice neighborhood, serval major tubes within 100 yards.Quick room service. Food alsways came in 10-15 minutes.Pretty friendly staff, although they always assume you speak Spanish - though they switch to english quickly (spanish hotel chain)Cons: Dead at night. Pretty much nothing around there after 9 ish. Internet service. I paid a large (15 pounds) fee to get access in my room for 24 hours. While in the &quot;Royal&quot; lounge, they hve wireless signs on all the talbes. So I get my laptop and come back. Try and go on and they say I need an access code from front desk. Seeing as I have already paid for the next 24 hours, and it is the same provider, I assume I will get access. NOPE. They wnat me to pay ANOTHER 15 pounds to access the internet - through the same company that I have already paid for access. This is &quot;Royal Service&quot; Not.	
Jul 22 2005	Decent experience with Melia White House	Me and my girlfriend went to London for the first time. I was able to get the Melia White house for $105 a night on hotwire. We got a room with two single beds, which by no means were luxorious, but they were adequate enough to be comfortable. I am 6'0 tall, and had no problems. The hotel is located in a prime location of central London. It was very quiet, and well located in a safe area of London, near the edge of Regent's park. The room itself was adequate for our needs, and the location - right across from the great portland tube station couldn't be beat. Great air conditioning, no major noise or slamming of doors. Got a great night sleep each night. positives - location, friendliness of staffnegatives - 95 pence a minute for phone - go to the pay phone in the lobby instead, high mini bar rates. Nothing out of the ordinary for 4* in a major city.	
Jul 19 2005	Decent hotel but terrible service - avoid "standard single" room at all costs	I just got back from staying at the Melia for three nights and wanted to share my not-so-positive experience. I booked by room through hotwire and got a standard single room which had a strange bed that is too short for anyone taller than 5'6&quot; (the bed itself was around 5'9&quot; long). Besides the bed, the room was reasonably clean and comfortable but by no means luxurious. My issue with the hotel came when I asked to be relocated to a room with a bed that fit me. I was shown a &quot;standard double&quot; room that had a normal double mattress in it but the hotel insisited that I had to pay 20 pounds a night (~$40) if I wanted to &quot;upgrade&quot; to this room even though the hotel front desk plainly lists the single and double rooms at the same rate. I eventually got the room without having to pay extra, but I had to argue with the manager for an hour and 20 minutes to get it ... not a fun experience. One other word of caution: the hotel is located in a residential part of town with limited restaurants/nightlife nearby if that matters to you.I wouldn't ever stay at the Melia again unless the staff learned basic customer service skills.	
Jun 21 2005 	Not bad at all	Stayed 20th June 2005. The location is good, the welcome and professionalism of the staff was mediocre, and the lobby is, frankly, pretty cheesy. However, once you battle past the bizarre lift system, and cope with a grim colour scheme in the corridors, the rooms themselves are smart, well-appointed and quiet (by London standards).This would have got a 5-star rating, but the air-conditioning was almost non-existent on one of the hottest nights of the year. I'd certainly stay again in cooler weather.	
Jun 18 2005	Impressive	I chose this hotel through Expedia after an extensive search for a hotel in London. What a wonderful hotel! I upgraded to a superior room which was somewhat small, as I have noticed most European hotels seem to be, but it was beautifully furnished. A very comfortable bed and excellent staff made our stay there thoroughly enjoyable. The business center the hotel offered was very good, as well. Highly recommend this hotel.	
Jun 3 2005	Great Deal for a very nice London hotel	My parents stayed at this hotel while visiting me when I lived in London. They stayed a week, and we were concerned we wouldn't find an affordable place to stay. Seven nights in London can easily run $1400+, so we were very happy when we sought out Priceline and got a hotel near my apartment for $100 per night. As it turned out, this was a superb bargain.The White House is quite luxurious. The lobby has a great marble finish, and there is a nice bar/lounge area. My parents arrived around 10:00 am, and their room (understandably) was not yet ready, but Spanish native working the front desk was extremely courteous and apologetic. After walking around London during the morning, we returned about 1:00 and the room was ready. And what a room it was! By London standards, this room was a palace. As large, if not larger, than a room in a 4-star American hotel. It came complete with a trouser press, coffee maker, and towel warmer. It also had American-style outlets, so converters were not necessary for hair dryers, curling irons, etc. The location of the hotel is also very good. It's within walking distance of the British Museum, and just a block from the Great Portland Street tube stop. The concierge was very helpful in securing theater tickets and recommending other activities.I realize, however, that my parents got this hotel for a STEAL at $100 per night. Be aware that you may not get that price, especially if you are staying for a short period. Furthermore, room service and drinks are quite expensive (as they are at all London hotels). Still this place was great -- I would definitely stay here on my next visit to London.	
May 29 2005	Would Stay Again in a Heartbeat!!	I booked this hotel for a trip with my boyfriend for my birthday. Trying to choose a hotel in London is stressful. I ended up using a blind booking site, Hotwire based on my friend's suggestions. I couldn't have been happier. The location was great, 5 minute walk to the Tube. Regent Park closeby. The staff was very friendly and helpful. The room was very nice. The only thing I think they could improve upon was the mattress. Just not very comfortable, a little lumpy. But all in all, I was tremedously pleased and would stay here again with no issue.	
May 11 2005	Lovin it	my girlfriend and i stayed in the melia white house for valentines weekend this year and we thought it was fabulous!! We arrived in london a few hours before we could check in but the concierge was very helpful and took our bags for us so we could go sightseeing for the day. when we returned we checked in and went to our room. the room was of a high standard with massive bed! very impressed. the breakfasts were very good as well, and you could eat as much as you liked (there was everything from full english to pancakes or sandwiches). we would reccomend this hotel to anyone wanting to stay in london. the rooms arent small like some of the yanks say, theyre fine.	
May 1 2005	Much better than expected	I booked this hotel through Lastminutes secret hotel section where hotel name not known until after payment is made.My girlfriend and I were having dinner in Mayfair and so had searched for hotels in London W1. Was therefore somewhat put out to find that this hotel was in NW1 and feared the worst.However was very pleasantly surprised.Hotel is located within a few minutes taxi ride of West End and so is very convenient.Car parking is a few minutes walk away but the concierge made a space available for us there for a modest charge of £10 per day (compares with £30 per day in NCP.)Staff were mostly Spanish and generally were enthusiastic and friendly.Rooms were better than we expected for price we were paying and were well furnished and almost luxurious. Some of furniture a little chipped around edges and a few stains on carpets but all minor.We had a superior room and it was of reasonable size. The only negative was the bathroom which was small. This conflicts with some of the other reviews on this site so might be worthwhile to enquire about this when checking in.Would definitely stay in this hotel again.	
Apr 19 2005	Loved the White House	After reading reviews of this hotel on Tripadvisor i was looking forward to our stay and we were not dissapointed. We got a free upgrade (without asking !!!) The hotel is 2 mins walk from the tube station and is in a quiet street. The rooms were of good size with a lovely bathroom. Breakfast was included in our stay which was excellent also (note it is £18.50pp if you have to pay for it).To sum up the Melia hotel group as a whole we have found to be excellent and this one is no exception. Great stay and would go back tomorrow.	
Apr 17 2005	Great location	The Melia White House hotel met all of our needs for a 3 day visit to London with friends: clean, good service, and most of all great location. I feel that for a London hotel, the price is superb - that is why I gave it 4 stars instead of 3. The hotel is metres awat from the Great Portland Tube Station, but was also conveniently located neat Regent and Warren Street stations, as well. We did not eat at the hotel as the prices were steep, but there were plenty of other nice and reasonable cafes nearby. The location to Regents Park was superb, as well, for a walk or run through the gardens to start the day and a stop at the cafe there for strawberries and cream! I did not find the rooms to be very impressive, but we did not spend much time there. We had the basic room with 2 twin beds and it was small, but there are other options if it is a concern and you want to spend more money.	
Apr 14 2005	We loved it	I took my partner to London for a surprise birthday trip and had booked the Melia White House by accident rather than recommendation (a special offer where I booked without knowing the hotel). What a very pleasant surprise we had. The reception was not only beautiful and spotless but the service was 2nd to none. We opted to upgrade to a superior room and although the room was slightly small the decor and standard made up for this. Everything was in working order and cleans towels in plentiful suppply. The bar was relaxed, comfortable with superb service and the ideal spot to chill out after a hard days shopping. Although slightly expensive it was no more so than any other 4 star hotel I have stayed at. I enjoyed my stay so much that I have booked again this May as a birthday treat for my son's first London trip and can't wait to get there.	
Apr 7 2005	Great choice	Very pleasantly surprised. Room was smallish, as European rooms seem to be, but beautifully appointed. Comfortable bed, great pillows, some American plugs with no need for converter. Bathroom very nice with great magnifying mirror. Be warned, tub sits very high off the floor which can be challenging even if you are fairly tall. Could have used a step stool! Breakfast buffet was incredible...huge variety of really good food. Hotel staff, particularly one young doorman, were very nice and helpful. Great location, directly across street from underground station (Great Portland).We would most definitely stay there again. Excellent value for your money. Don't forget your washclothes ...European hotels evidently don't provide them. The towels were nice, though. Big bath sheets on a towel warmer.	
Mar 17 2005	Loved it!!	I have stayed here with my partner 2 or 3 times, although usually only for a couple of nights and loved it every time!It is in a great location and we did have nice walk through the park to get to London Zoo one afternoon!The first time we stayed here we were in a standard room which was better then I ever expected, big &amp; spacious with lovely decor and everything you needed! It was a very comfortable bed with an impressive bathroom - apart from the plug in the bath with I kept closing by accident when showering! But I have also experienced a superior room, which was even larger and still really great!The food in the cafe tasted and looked great and was a really good price! And the evening restaurant was absolutely fabulous. Great food and excellent service throughout! We also enjoy a nice cocktail in the bar before bed. This is very relaxing as there are many big lounge sofas and waiters/waitresses getting everything for you!I was also impressed with up to date lift system they used which seems to work well.The atmosphere here makes you feel like you're really on holiday, a million miles away from busy London!I would reccomend this hotel to anyone, if you don't mind paying the price. Its great for a romantic short break not far from home!	
Mar 17 2005	Good start bad finish	This was one of those hotel stays where things started out great and then went downhill fast. We booked a 'mystery hotel' through lastminute and were pleasantly surprised on arrival at how plush and clean the lobby and rooms were for the price we paid.We were also very appreciative of the friendly Spanish lady on reception who got us into the room 2 hours ahead of check-in time, and good, friendly concierge service.Nothing wrong with the room or service but I subsequently had a bad experience with the special Valentine's Day buffet - food poisoning, apparently from shellfish. The local council has since checked the hotel's procedures and reported all OK, and no other reports of illness apart from mine, but the experience has put me off trying this place again.There was also some sleight-of-hand with the buffet pricing - billed as a (pricey, even for London) £35 a head, it turned out that VAT wasn't included and the 'optional' service charge was added to the bill before presentation and easily missed. So the £70 bill expected at the door turned into about £90 (we did add a drink or two)...We were initially impressed with the comprehensiveness of the breakfast buffet but staff took ages to replace empty platters of eggs and we didn't want to wait.I was also unhappy to get - after we returned home - an extra credit card bill for 'minibar' which we hadn't used but we got that refunded without comment, explanation, apology or the returned phone call we were promised. They did, though, efficiently return an item we left in the room.	
Feb 24 2005	Great hotel great service	We stayed at the Melia White House Feb 18-21, 2005 and had a great time. Hotel is centrally located, close to several tube stops, and within walking distance of many restaurants. Our flight was overnight, so we arrived at 10am, (exhausted) and they put us in a room right away. We were so grateful! Nice room with very comfortable bed and great bathtub. Our room included breakfast, and were very pleased with the breakfast buffet and the service in the restaurant. Staff was very helpful, lots of suggestions for our very short stay. My husband's birthday was on the second day of our stay. I ordered a birthday cake from room service, and they sent it on the house. We were very happy with the Melia, and would definitely stay there again.	
Feb 15 2005	Worth a stay	The Melia White House Hotel is very grand, friendly, clean and accessible hotel and one to stay at again.The only critism is that there is no parking (have to use local NCP) and the alcoholic drinks at the bar are extortionate and not for the average budget person. Based on the price of the drinks, we did not entertain the restaurant and decided to venture out to a local Indian in theatreland.	
Jan 22 2005	More of a 2-3 Star Hotel	My wife and I stayed at the Melia for 4 days in January 2004. We checked in after midnight for our first visit to London due to weather delays in NY. The first impression of the staff was that they were definitely not English. There was a bit of confusion with the check-in; front desk claimed they did not have our reservation. Upon showing them the expedia print out recipt, the manager came out and they sorted out the problem. It seemed that the staff was new and there was a language barrier (staff was Spanish). Nevertheless, here are the pros and cons:Pros: Great location with the Great Portland Station across the street. Relatively safe to walk at night. For those of you first time visitors, the tube shuts down around 10-11PM. Therefore, if you plan to stay late in Picadilly Circus the cab ride is relatively cheap. Unlike other reviewers complaining the noise level, we found it relatively quiet. Maybe we got lucky with the that but there were other things we were not lucky with-see below.Cons: As expressed by other reviewers, our room was extremely small. We could barely open our suitcase in the room without putting it on the bed. It sort of resembled Chevy Chases National Lampoon's European Vacation London room, but a tad bigger and with gold crown molding. Another pet peeve was the smell of the bed and pillow. It actually smelled like body odor. That was a pretty bad turnoff. The bathtub is really dangerous to get in and out of. The tub is very high and you have to step into it. The floor is marble (which is nice) but gets very slippery when wet so you have to be very careful when you get into the shower. I often wondered about the older guests who stay at this hotel and if they have a hard time getting in the shower. Another con is the staff, they were not helpful at all. When we inquired for a good English breakfast off premise, they were unable to recommend a place. The staff were just not informative at all.All in all, this is definitely not a 4 star hotel. I have no idea how Expedia can rate this below average establishment a 4 star hotel. At most, it's between 2 - 3 Stars. Depending on what type of traveller you are, Melia may be the hotel for you. If you dont care for service and just want a roof over your head for the night, this may be the place for you. If you're a first time visitor, a good hotel may make a big difference on your trip. Overall, we had a wonderful time in London and would probably vist again, just not to the Melia Whitehouse.	
Dec 19 2004	good hotel at reasonable price	I am well travelled and, over the years, have come to conclude that a good hotel consists of: 1) quiet room, 2) good air circulation in summer AND winter, 3) cleanliness and 4) comfortable bed. After those 4 things, everything else is secondary. The Melia White House ranks high on all 4 criteria making it a worthwhile property. As is reported in some other reviews, here are the ratings on other elements:Location: If you use the underground it is great. Very convenient to the Great Portland stop.Bellman: Excelllent, very helpfulConcierge: Surly and unhelpfulDesk staff: professional but cold (it is Britain after all!)Breakfast buffet: excellent with friendly staffOverall, for London, a fair value.	
Nov 26 2004	Melia is 3 star Hotel at best	Just like one of your reviewers below - I too have stayed at the Ritz + numerous other 4/5 star hotels. Unlike the reviewer I am amazed he/she can make a comparison. The Melia White House is a 3 star Hotel at the very best. The rooms are not sound proofed as advertised and are very noisy. My room was'nt particuarly clean and as noted by your other reviewers extremley small even by London standards. The only positive was the very courteous staff and the location.	
Nov 24 2004	Great breakfast but otherwise average	My Wife and I stayed at the hotel last week. The reception area was very good with friendly staff. We were however very disapointed to be put in a room next door to bedrooms which were being worked on. The workmen had striped the rooms bear and the noise of drilling and banging was awful. I had to ask a member of staff for a plate which was missing from our room and it all appeared to be too much trouble for her. The drink prices in the bar were a rip off eg £7 for a pint of lager and a sparkling water, plus they added a service charge to my bill without asking. Breakfast the following day was however excellent, one of the best we have had anywhere in the world.	
Nov 20 2004	Would recommend and stay here again (and I've been to the Ritz)	My wife and I stayed at the Melia White House hotel in early 2002 (Winter). We got a great rate at that time through AAVacations - please note, this was relatively soon after 9/11 and discounts were greater and the US Dollar was much stronger than it is now.I have stayed at a lot of nice hotels, including both the Hotel d'Aubusson in Paris and the Ritz in Paris. The Melia was really a very decent hotel for the price, and I would not hesitate to stay there again. The rooms were small, but that's pretty much the norm for European hotels. When we stayed in Paris at the Hotel d'Aubusson the rooms were reviewed as &quot;huge&quot; by European standards, which by US standards translates to average to small. When I travel to Europe on vacation I want a nice, clean somewhat above average place to stay. The Melia White House was definitely better than I expected.	
Nov 17 2004 	4 star pretensions 2 star service	Service in the restaurant for breakfast on the 4 days we stayed was poor - slow to clear plates and bring hot drinks. The 'hot' buffet in one restaurant was certainly NOT hot (we were not the only disappointed customers) and the range of breakfast offerings seemd to vary from restaurant to restaurant.While on restaurants - thier flagship Spanish restaurant was closed on Sunday evening. Is the really 4 star service.Food in 'The Place' was average hotel fare.Rooms are flash but although we had a HUGE bed the room was smaller than we woudl have got at a Travelodge.On the positive side, the concierge was great - managed to get us into Le Gavroche at 3 hours' notice!	
Nov 8 2004	Great location!	We booked to stay here at the last minute and got an excellent rate. The best thing about this hotel is its location. It took 15 mins to walk to Oxford Street and Picadilly Circus, which was great for going shopping and out in the evenings. Plus it was really easy to get there as the Great Portland Street tube station is practically right in front of the hotel. The only down side was the room which was incredibly small for a 4star hotel and getting in an out of the bath was pretty tricky too! Apart from that, fantastic place to stay.	
Oct 31 2004	ok	We stayed in the deluxe room which was just an average size room for the States. Although for London, it was supposedly spacious. Lighting in room and bathroom was very dim-hard to see anything in the bathroom! The shower leaks to the floor which was obnoxious. Two of the coincierges were the worst I have ever met-extremely unhelpful and unknowledgable. However, one was very helpful and resourceful. Doormen were friendly and attentive. The Place restaurant food was decent-service was very slow. The gym was small but nice. Unfortuanately, you have to walk thru the lobby to it rather than go from room in the elevator to the gym like most hotels. The location was great-close to the tube and Regents park. Everything was very accessible. I also felt very safe there and could walk home late at night with no worries. The room was disappointing, service could be better-however, if your not looking for a great place but just someplace convienent and decent, this would work. I would consider it more of a three star hotel. We also have stayed at the Landmark. The rooms were large and lovely. Staff was attentive-workout room and spa were great. However, it is at least twice as much as the White house.	
Oct 25 2004	Brilliant!	After reading some not so complimetary reviews about the Melia White House, I feel I needed to tell someone about the fantastic weekend I have just spent there. My partner and I went down for the weekend, having booked a standard room. When we got there we were impressed by its very central location (near the shopping!), and impressive entrance. The Staff at reception were very friendly and polite, and we were quickly checked in. Although all the staff throughout the stay appeared to be Spanish or at least foreign, their level of English could not be faulted, and they were all very nice and friendly.We were shown to our room, which although small, was nothing compaired to some of the rooms you will find in London! It had a massive Queen or King size bed in it, which was lovely and comfy and the decor was very nice. As it was, we later got upgraded to a even nicer room, but I would have been more than happy to stay in the smaller room, after all, we werent planning on spending all day there!I have to admit the Bar was on the expensive side, but which 4* Hotel Bar in London wont be? On the Friday night they had a fantastic band on, 1940's style, very very good to watch, and not too loud!So all in all I would definatly go back to the Melia. Although the rooms are on the small side, this is the same almost everywhere in London, and the Melia is no exception. Everything was clean, bright, smart and very friendly, and I would not hestitate to recomend it.	
Oct 22 2004	Fantastic Location	Like a previous review, when we arrived at the hotel at 4 p.m., we were informed that our room was not ready and to come back in 45 minutes. However, whilst walking away from the reception desk, the receptionist came after us to say that our room had just finished being prepared.Inside, our standard room was nicely decorated and very clean (although you need a step ladder to get in and out of the shower), no noise travelled from the rooms next door or the corridors. For us, most importantly was the location. There are two tube stations across the road, the hotel is within walking distance of Covent Garden, Oxford Street, Leicester Square and Soho, Regent's Park is across the road. We had a great two nights stay at this hotel and would definately go back.	
Aug 10 2004	Weekend trip with teenage daughter	My daughter and I booked a three night stay at the Melia White House from 6th - 9th August incl.We arrived at the allocated check-in time and were kept waiting in the lobby for an hour and a half, because the room was not ready. The male receptionist said it was our own fault for stipulating that we wanted a non-smoking room! No empathy there then! He really wasn't bothered by the fact that we were stood there for that amount of time.When we finally got to our room, we were horrified to discover how tiny it was, and we could hear everything being said in the room next door. I can honestly say I have never been in such a small hotel room, even in Hong Kong!We paid £20 a night to upgrade to a deluxe room, which was infinitely better - a huge bed and altogether much bigger room and bathroom. Very luxurious. It was like being in a different hotel. The rest of our stay was great. We were told that we could check out later than 12 pm (we had a lunch appointment at 12 pm) as long as we paid £10 an hour extra for the room. I do think that this hotel are quite inflexible!! So we left our cases with the Concierge and changed in the loo when we got back. Overall opinion - very clean. Deluxe rooms are the minimum I would consider. Reception staff were great, apart from that one horrible guy! Lifts are groovy. Food and drink is expensive, but as mentioned in another review - there is a shop over the road. Probably would try another before I went back, as you can book other 4 and 5 star hotels slightly more central for the same price as a deluxe room here.	
Aug 10 2004	Badl Housekeeping	Housekeeping really let me down at the hotel. The room that I was booked into in this so called deluxe had some BLOOD on the walls! House keeping came to sort this out whilst I got upgraded into another room. In the second room I find that a used towel was left behind. This was sorted out. However a maintenance person turns up with warning to say that a loose toilet roll holder had been reported and promptly started using his electric screwdriver whilst I was on the phone. I then find that in this 'superior' room that some of the fittings in the shower were broken. On the plus side the Spanish staff were friendly and the breakfast was good. Being located very close to Regents Park is a major plus. Based on my experiences it appears that this hotel is too large to efficiently manage. I cannot therefore recommend this hotel.	
Jul 30 2004 	Fantastic Hotel	The Melia White House was fantastic. We had a deluxe room and it was big. The staff was friendly and helpful. It is located across the street from the Tube and easy walking distance to Regents Park, London Zoo, Baker St, and Madame Tussauds. We had room service a few times and it was ok. It was expensive, but everything is expensive in London especially with the US dollar hurting against the Pound. Highly recommend this hotel.	
