	Super views reasonably priced	Stayed at the Tower for one night on business due to an overnight function in London.The view from some of the rooms or the front of the hotel over Tower Bridge, especially at night, is something to see. Room was comfortable if not a little small but for the rate paid that was fine. Breakfast in the morning was plentiful with a good selection of hot and cold.Check-out was quick on this occasion - have known it to be slower.	
Oct 19 2006 	An OK Stay	Given some of the reviews I was not expecting much from this hotel, but since I was only staying one night as I had to be in the City early the next morning I was not too concerned.As it turned out, my stay was far better than expected.Firstly, I got the Tube to Tower Hill. As a previous reviewer noted, the most direct route through St Katherines Dock is not immediately obvious and I got there more through luck than judgement !As a tip, (if you don't mind a slightly longer walk), when you go through the underpass and are facing the Tower of London, turn right and walk around the Tower down to the Thames walkway, turn left and go along under Tower Bridge. you'll get to see the Tower, the bridge and the river and it will bring you right through the hotel's car park to reception.I feared the worst checking in, however maybe I was just lucky or maybe they have addressed the issue of queues. There were at least 6 or 7 staff checking in there was no-one queueing. I had no sooner stood at the front of the desk, than a lady appeared and asked my name. She went off to a desk nearby and returned in less than a minute with my key and directed me to the lifts. No attempts to upsell, no endless tapping at a keyboard or blank looks at the monitor, just fast, efficient service.Next the lifts, they all appeared to be working and there were again no queues, so no problem there. Although I was only on the first floor and had asked about the stairs, but was told it was easier to get the lift(?).The room itself was fine, good size, plenty storage, clean bathroom, not exactly cutting edge decor but you can't expect them to redecorate everytime a new shade of beige comes into fashion !I was on the opposite side from the river so didn't get the great views of the Bridge, but the room overlooked the Marina and St Katherines Quay which was pleasant enough. Was woken by the sounds of ducks and swans in the morning ! Which is not exactly typical of central London.The only (very minor) thing wrong was the battery in the remote for the TV didn't work.On the advice of other reviewers I didn't eat in the hotel restaurant, although they looked ok (looks can be deceiving though!). I got good directions from the helpful concierge desk and went across the river to Butlers Wharf for dinner which was very nice.I'd got up in good time (thanks to the ducks !), so was geared up for a long wait to check out. But again, the desk was fully staffed and I was out in less than 5 minutes. Being on the 1st floor however, the first lift coming down was full, so it would have been easier getting the stairs, but since they are not signposted anywhere, had to wait on the next one. Didn't take that long though.All in a all, I had no problems with this hotel and would stay there again. Maybe I was just lucky, but to give them the benefit of the doubt perhaps they have listened to some of the issues people have had and taken action. If so, credit to them.	
Oct 18 2006 	Very poor	Our input on staying at the Tower Hotel is that it was a thoroughly disappointing hotel with very poor service and even poorer standards. Fire alarms went off continually into the night and 30 mins after the last alarm the TV's burst into life to apologise. The upgrade we had paid for to achieve a decent room and a river view was a gimmick, if we craned our neck around the obstructing concrete wall we could just see the river. We ended up paying over £200 for a suite for one night to achieve a half decent stay. The pillows were abysmal, the suite had cutlery - even saucepans - and yet no means of making a cup of coffee. The decor was very tired and shabby. The bistro downstairs served up a chicken tortilla containing an abundance of aged, brown salad and 5 MacDonald's style chicken nuggets. My husbands ciabatta closely resembled a soggy bath sponge. All in all a disappointing waste of money, we had expected better from a 4* hotel with a renowned name in the industry. Not to be recommended unless your only alternative is a park bench!	
Oct 16 2006 	Shockingly poor!!!!!	The tower is situated in a pleasant area with a fantastic view of Tower Bridge. However thats as good as it gets. The staff are annoying and take an eternity to get you checked in. Furthermore they question you all the time whether your staying at the hotel, as they presume youve lost your way and just wandered in off the street. The staffs english is wanting too as ive communicated better with the french and thats saying something. Now to the breakfast. Its the most awful ive experienced and ive travelled quite alot. Its just preheated microwave garbage. And the fact they charge you £20 per person is quite astonishing. Ive seen some cons in my life but none as good as this. My pot bellied pig wouldnt even eat their breakfast. Lastly but not least they like to overcharge you thus giving you the headache of trying to claim a refund which is quite tough as the english spoken by some of the staff is terrible. Verdict: For a 4 star hotel in london, the price you pay is not worth it as ive stayed at better 2 star hotels for a third of the cost.	
Oct 11 2006	Solid choice in London	I stay here as a second option to the Thistle Marble Arch, and this hotel is good as well. Great location to the Tower of London and the Tower Bridge, but because when I visited the tube stop nearest it was closed, it is a bit of a hike and journey to other parts of the city. I arrived very early for checking (at about 730am) and they were happy to accommodate me. Similar to other Thistle properties they offer space available room upgrades for between $25 and $100 extra, but I have never used them. Rooms are clean, if a little bit worn around the edges.	
Oct 11 2006	Fantastic Service views and room	Myself and my partner stayed here for 2 nights the weekend of October 7th , 8th. We were dreading the stay after reading reviews! The booking in staff were fantastic, even tho they struggled with our Welsh accents. We had room 569 the view was awesome, we were practically on Tower Bridge! Bed was huge, decor clean and tasteful, everything worked, loved the huge fluffy towels and the fluffy bathrobes. Staff in corridors were always friendly and the room maid only ever knocked our door once and came back later....shower was hot at all times bathroom products were ace! Cant wait to go back...we had an excellent rate for the weekend and paid less than we do at an Ibis or Travel Lodge...shop around! I'd reccomend the hotel to anyone...particular;y room 569!rugbyboyz@hotmail.comBreakfast is awesome!!!	
Oct 3 2006 	good and not so good	Stayed for 2 nights with my wife during my birthday weekend.Booked a standard double room to find we had a twin room. Hotel unable to change or upgrade as full.Room quite spacious with good view of Tower but in need of refurbishment as furniture and soft furnishings probably date from when hotel was opened in 70's.It is a good location and only 5 mins from tube circle and dustrict lines. Most rooms will have view of Tower, Tower Bridge or St Katharines dock.Hotel staff were very helpful and check in and check out were excellent. We were on room only basis and it is much cheaper to get breakfast at one of several cafes in the adjacent dock area. There is a Costa Coffee bar in lobby, another choice for breakfast.Across the River a good choice of restaurants at Butlers Wharf, only 5 mins walk.Lobby area is quite nice but some parts of hotel are a liitle worn and tired looking and need updating.All in all good value for what we paid.	
Sep 25 2006 	good view rubbish hotel	We stayed here for our anniversary for 4 nights this month (september 2006) and i found from the moment you enter the hotel you have to queue to check in for at least half an hour!!! considering they have about ten check in desk you would expect them to have at least half of them used instead we had 3 people behind the desk and one of them not even checkin people in. eventually we got served and we was eventually givin our room key as soon as i eneter i knew it wasnt the room i requested, it may seem stuck up but because it was our anniversary i wanted everything to be perfect, i request and payed the extra £230 a night of having a room on the delux suite and a tower bridge view, so for this price you can under stand how disappointed i was when all we got was the standard room and a view over lookin the east end of london not the most attractive of views. i went back down stairs queued again!! to see a member of staff we was relocated two doors down from where we was before!! by now i'm startin to loose my patients with the staff this time i spoke to the manager and he managed to sort out the staff and got us put in the correct room. much better now although the room is very dated and could do with updating but the view was magnificent. The next morning we woke up and found that the electrics werent workin so i rung reception and was told that the substation next door had difficulties but only our corridor was effected and the lifts. We had a shower in the dark! and my wife was just finishing off washin her hair when the cold water stopped workin and resulted in her burning her skin!! i rung up reception and was told that it was the electricity that had done it!!! which is funny because i thought it would have effected the hot water!! didnt sem to add up to me. i had to then PAY for water so that my wife could get the soap out of her hair which i thought was absolutely disgusting!! we eventually went down for breakfast and found that a hugh line of people where queuin up for breakfast (what is it with this nation and queuing!!!) i also noticed in my 45minutes of standing that the room could only hold maximum of hundred people when this hotel has over 800 people i thought this was appauling, as u enter your greeted by this rude and rash middle-eastern waitress she sat us to the table and i didnt bother sitting down because i was soo hungry i went straight to the buffet i couldnt believe what was on display the sausages looked half cooked and really really cheap lookin bacon was stone cold tomatoes werent much better i took it back to my table and my wife ordered a coffee which never appeared and we left after 5 mins, for 17 pounds a head this restaurant makes me sick. We went straight to the manager and complained. i think this hotel is absolutely appauling we left after the breakfast and got a cab to a much better hotel, and there is an abundance in london. I'M ADVISING YOU NOW DO NOT VISIT THIS HOTEL WITH A BARGE POLE!!!!!!!!!!!!!!!!!!!!!! BE WARNED!	
Sep 23 2006	Great hotel if the rate is right!	The many negative reviews are a sign that people overpaid for this hotel. Much of the clientele at the hotel seemed very swanky and the kind of upper class that it very critical of service. Rather than pay the premium rates, I got this hotel through Priceline for about $100 plus taxes. I was a bit apprehensive after seeing these reviews, but was pleasantly surprised. Checkin was a long process since the hotel seemed understaffed, but they didn't try to get extra money from me with an upgrade offer. I just politely asked for a room with a decent view and they definitely delivered. I got a great, clean room, with a wonderful view out the window of the Tower Bridge. The concierge was always helpful and friendly, even when they seemed to be trying to accommodate several people at once. I knew everything at the hotel was overpriced, so I didn't bother with the restaurants or breakfast there. The dock area right outside the hotel had plenty of wonderful and delicious dining options for a lot less money and even stayed open late at night. The hotel does show it's wear and tear, but a terrific deal through Priceline.	
Sep 21 2006 	Check your room class	I tried to find a decent hotel in the City during the London Fashion week. After rejecting another one based on Tripadvisor review I ended in the Tower. The room price was 200 GBP + VAT so one would expect to get an OK room even in London.How wrong I was. The hotel in general was nice and there was very nice service in the reception: juice was offered to those who were waiting in the queue. The dinner in the brasserie was OK. But when I was offered a 35 GBP upgrade I should have got the warning sign. My room was on the 5th floor and probably last renovation took place early 80s or so. Worn out, old bad floor! Based on the sneak peak through the lift door other floors are quite new. Moreover, in my room I had to crawl under the table to get the Internet working and the maid was knocking the door 8 am for housekeeping.Definitely not worth the money.	
Sep 16 2006 	Well its got a nice view	How does this place rate as a hotel for the business traveler?Well, its got a nice view.How does this place rate for overall friendly, competent, and professional staff?Well, its got a nice view.How does this place deliver on what a upper tier hotel should, given the high cost of doing business in London?Well, its got a nice view.Stayed here one night in mid-September. Of the seven people in our party, all three who tried could not connect to the room internet. The internet was very expensive - but would be written off as the cost of doing business in London IF anyone could get the thing to work! For over $400 (&gt;400 Euros) a night, got a room with two twin beds. Twin beds are not uncommon, even in this tier of hotel. But, were the beds comfortable, with mattresses that didn't sag in the middle? Well, the room had a nice view.Had only one dinner at the restaurant. They managed to get two our of five orders wrong, and over-cooked the meat for two of the other three. Meals in London business hotels are expensive, but if one is paying so much money, there should be a high level of quality and service so as to compete other similar hotels. How did this place rate?Well, the restaurant had a nice view.When we left the restaurant around 11pm, I needed to ask the desk for an iron and ironing board. (I was told each room had one, but at least three in our group did not have one in their room.) I waited behind four people waiting to check in with the lone desk attendant. They were grumbling loudly about having to wait over 20 minutes to check in. Sure: all hotels get busy at weird times when they're under-staffed. However, two or three other (non-registration desk) staff witnessed the situation and did nothing to remedy the situation. So, in general, how did the hotel do at customer service?Well, the registration area really didn't have any views.Rented a conference room and LCD projector. It was over $400 just to rent a projector for 4 hours. This is likely comparable to other places - but then they shouldn't deliver the project 30 minutes late. A catered lunch was $180 dollars - and though likely similar in cost to other places, it fell short on quality and quantity. The hotel provided sandwiches with 1-2 piece of roast beef each, and didn't even supply one entire sandwich for each person! Even water was extra.How did this business meeting experience compare with places like The Four Seasons, where the conference room is free if you stay there?Well, the conference rooms are on the 12th floor and have a nice view.I've traveled to enough expensive hotels in expensive cities to know that any place can have a bad day or a bad situation. However, this hotel constantly failed to deliver what one expects - or should expect - at this level of accomodation. Given how many other hotels there are in this price and amenity bracket, I cannot see how I wouldn't try someplace else instead.Even if that other place didn't have such nice views.	
Sep 14 2006 	Disaster of a hotel	I have just had 6 nights at the Tower and found it to be terrible. On check in they try to upgrade you to a superior room and when you say no they tell you that there aren't any standard rooms available! The rooms are tatty and musty, the windows have paint peeling from them and the furniture is all old and scruffy.The staff are generally unhelpful and sometimes rude - the only exception being the concierge desk. I had no internet connection for three of the six days and just lots of shoulder shrugging when you trie to get something done. I only ate brekfast there and found it to be the cheapest of everything.This hotel is being run on a shoestring and is relying on its position to get guests. At an average rate of £145 a night for my stay it's just plain unacceptable. When I checked out the receptionist looked surprised at my complaints. Judging by the number of people I saw complaining and the experience of my colleages and I she should be used to it. Avoid this hotel.	
Sep 11 2006 	Beware of the 5th Floor!	My mum and I stayed in this hotel for a mid week break and got the deal through the Daily Mail newspaper where they had an offer for £89 per room per night. The hotel was in a fantastic location with fantastic views from all angles whether you were facing the Tower, The Tower Bridge, or St Katherines Dock. The tube is 5mins walk away as is 2 tour bus stops (the Original tour was good value). There was plenty of amenities near by from bars, restaurants, cafes and take aways such as Subway where we found you can purchase lunch at a reasonable price. Beware of the &quot;on the Docks&quot; bar at St Kath's as it was over priced and the food tasted very manufactured. The reception is modern and looks good, and check in was fine however when we arrived at our room on the 5th floor we were disgusted! All the doors and walls along the corridor we battered and scuffed. The room was dark and smelled smokey and musty even though it was a non smoking floor. There was no way we would have stayed in there so went back to reception to ask for the price to upgrade. Reception was busy so a helpful member at guest services was on hand to assist. He said it was £35 per night but took pity on us and offered to upgrade us F.O.C to a room with a fantastic view of the Tower Bridge. Our new room on the 9th floor was more of what we expected! Cozy, decent sized and more importantly no dodgy decor or smell! One thing that made us curious was that when the lift stopped at all the floors there was only floor 5 that had the decrepped look and the others looked very similar to the one that we had been moved to. Is the 5th floor the only one that is not refurbished to a modern acceptable standard? Breakfast was fine. Enough choice and was not busy as some described at 8.30-9am. We were aware that the deal had certain conditions such as cancellations made within 2 days of check in would occur charges and the charge would be equivalent to one nights stay. We had booked 2 rooms as someone else should have been coming too but they had to cancel on the day of check in. We enquired at reception about cancelling the room and the receptionist said that no charges would be made for cancelling, which was very pleasing. It could have gone very wrong if we were not upgraded but all in all the stay was fine. We will be planning on staying again.	
Sep 10 2006 	Another Great British Rip Off	I only use this hotel for business but it's terribly overpriced. Depending on who you book through you can be quoted £70 - £140 for a single room. It proves it's a rip off when you get there and then get offered a free upgrade. However the upgraded rooms I have always been offered have always left me wondering what a basic room is like ! The lighting in all rooms is extremely dark and drab because they insist on using power saving lamps and every room I have ever stayed in has a least one lamp broken, even the interior wardrobelights. The decor is also pretty old fashioned now. - somewhat 70'ish The worst thing is the price of drinks, even house wine is way too expensive. There is no doubt that because of their location they think they can charge a fortune and get away with inferior overpriced facilities.Just a Great British Rip-Off.	
Sep 10 2006 	Getting Better	I have stayed at the Guoman Tower as it's now known, many times over the years and each time it seemed to get steadily worse. The recent reviews did little to ally my fears when my firm could only get me in the Tower last week for 3 nights.My apprehension grew when I checked in as the chap next to me was having an almighty row about not being upgraded. From what I could make out it was his fault anyway and I was impressed how the receptionist dealt with him.However, I got to my room and was pleasantly surprised. I had been upgraded to a superior double and had a great view of Tower Bridge. The TV worked, the bed was comfy and the bathroom was immaculate - I couldn't ask for anything more and thoroughly enjoyed my stay this time. The staff were much more friendly and helpful than previous visits and the bar has been smartened up, although it could do with some windows open, especially how hot it was in London last week.Other snags - the lifts, only ever seemed to be two out of the four lifts working at any one time and one morning it took 30 minutes to get downstairs.The location - great for tourists but as it's right on the extreme eastern edge of the City, no good for me as most of my meetings were up by St. Paul's, although that's not so important.Have to say, well done for trying harder and keep the hard work up and who knows, the Tower might become a great hotel again.	
Aug 31 2006 	very surprised	We stayed at this hotel for one night only as part of a trip organised by our local newspaper. After reading some of the most recent reviews I was very worried about staying there. I didn't tell my husband until we had set off from home, but we were very pleasantly surprised. The lifts are a problem when, as happened on our arrival, two coach parties arrived at the same time. The only other small gripe was the key card, which didn't work first time, but that has happened in many other hotels we have stayed in. The location was superb and we were able to walk across Tower Bridge in the evening to the many restaurants down on the wharf opposite. All in all we had a very pleasant stay and have paid much more and been looked after far worse.	
Aug 23 2006 	horrible	We had a very very disappointing stay at the Tower.On booking into our room, there was a room service trolly directly opposite the door full of old food - despite going down to reception to ask for it to be moved, it took 7 hours before the plates of food were removed. Dirty cups, and the trolly, remained for the weekend we stayed there!!!The room was a good size but the decor and furnishings were old and shabby. The windows were filthy. The mini-bar was not stocked.The bathroom was also shabby with a huge crack in the sink. There was hair in the plughole and a pair of knickers (not belonging to either of us!!) hanging from the shower rail.We went to the bar on one evening and it took ages to get served, the bar was smoky and badly ventilated and the windows were grubby.A really disappointing stay at a supposedly high quality hotel - not an experience we wish to repeat!!!	
Aug 16 2006	Needs to improve its service and facilities	My wife &amp; I (seasoned travellers) recently stayed one night at the Thistle Tower (now a Guoman) hotel. Our room a standard twin on the 9th floor had a pleasant view overlooking St Katherine’s Dock and the City. Although not one of the newer refurbished rooms ours was clean and perfectly acceptable - reasonable London value so long as you get a discount rate. Guoman’s web site portrays this hotel as “one of their luxury hotels with sumptuous dinning facilities and an unwavering commitment to service”.Prior to our visit I tried to e-mail the hotel to ask a question, all attempts were ignored, so I had to phone, twice to get an answer – not a good start!Whilst the hotel is in a great location right next to the Thames and the Tower Bridge, I regret to say it is not really 4* quality, particularly when it comes to serviceand over-stretched facilites. The problem we felt stemmed from the fact that it was very full at the time, no doubt as result of their apparent policy to take in coach loads of visitors. Staff were friendly enough and tried to be helpful, but they and the hotels facilities were unable to properly cope with so many guests.As others have remarked, the lifts at times were extremely busy, and difficult to get on. If you go down for breakfast between 7-30 and 8.30am be prepared to queue for a table, even then you may be disappointed by the limited choice and quality, should you choose the Continental breakfast. The cooked breakfast looked a little better.The evening before we dined in the Carvery, this again was very crowded. Here too we felt the quality of food for £19.95 pp was not good value for money. Drinks in both the restaurant and bar were quite expensive, but I suppose that’s fairly typical of most London hotels. Finally, we noted there were none of the usual Customer Satisfaction forms around to complete- perhaps they don't want to know!	
Aug 16 2006 	Need more lifts	Had a weekend stay here and thought the hotel quite good. The room was good, with safe, ironing board, iron, tea and coffee facilities and had a good view over St Katherine's Dock. The bad points were that there were horrendous queues for the lifts in the morning and the staircase was not adequately signposted. A chambermaid eventually showed us where it was and it was more like a service area than a main staircase. Breakfast was very poor value for the price charged - don't bother if your rate does not include it, there is a Starbucks outside. The selection was very poor for a 4 star hotel. The waitresses spoke little English and did not know how to smile. In the evening we walked over Tower Bridge and had an excellent and very cheap meal at the Weatherspoons pub.	
Aug 8 2006 	"Tower"-ing Inferno	We've stayed in this hotel a few times as never had any major issues with it and seem always to manage to get a good deal on the internet for it - this time directly through the hotels own website. In addition the location is fantastic.Check in was efficient. Interesting point to note we were offered an upgrade for an additional £30 which we refused only to find we were in an upgraded room anyway. Wonder if we would've got the same room if we'd paid the additional £30....Room was good and had a great view over St Katherines dock. Loads of good restaurants and a couple of bars there to sample as well as more if you head across the bridge so no need to eat in the hotel for dinner - why is hotel food always so expensive and such a disappointment?!We were up early for breakfast on Sunday as we had to leave and the room was still packed - however the abrupt woman another reviewer mentioned was there (and seems to have been there for years) sorting everyone out so we got in quickly, Breakfast is good traditional english fry up affair.This hotel does the job as far as i'm concerned .	
Aug 2 2006 	Nice Hotel - Good Value for Money	Stayed at this hotel for 2 nights over a weekend. We got a special deal on the net so it worked out good value for money.Good location I thought. Near to some nice bars and restaurants plus pleasant walk down the river to other attractions.Reception area looked nice when we got there. Receptionist was friendly and helpful. Ate in the Brasserie one night and food was ok. Only thing was not much choice - especially for a vegetarian (like me).Room was only thing that let it down. Comfortable enough and no complaints for the price but seemed quite pokey and small (even though we were 'upgraded' on check in!) Plus decor above ground level could do with some serious updating. It was all quite chintzy and dirty looking.Other than that would be perfectly happy to stay here again for the right price. No probs.	
Jul 28 2006 	Big disappointment	My last stay at The Tower was a very disappointing experience. I was on a business trip during July 18 -20 and had the reservation made by our Travel Manager at the rate of 300GBP/night although the company contracted rate is 125GBP/night! Well, it looks like London hotels were completely booked and the GBP 300 room was the only one left...Once I've reached the hotel on the evening of 18th July I was told that someone had sent a fax to cancel the reservation, but when I asked to see it, the person at the reception desk was not able to show me the fax in question.The fax with the reservation request and confirmation was re-sent on the date of 19th July 2006, but the next morning when I've checked-out of the hotel I was asked to pay the rate of 400 GBP + taxes/night (extra-charge) and have been told the hotel never received the confirmation fax. However I've been promised that if the hotel finally gets the confirmation fax, then the pre-agreed price of GBP 300 will be applied and I'll get reimbursed for the difference.Useless to say that despite the fax confirmation being re-sent to the hotel, my business card has been debited for the equivalent of GBP 400 per night and on the top of it the guarantee of extra GBP 800 has not been lifted yet (10 days after booking with the hotel)!Last but not least, despite the great view to the London Bridge, the room quality I've paid for was poor: there was no handsoap in the bathroom, no bathrobe, the carpet and furniture were old, the minibar was empty, hence no justification for GBP 400 a night!We - the Travel Manager and myself - sent the hotel management 2 complaints so far which are still not being addressed and replied. This is definetely a hotel which I will never ever recommend or book for myself.	
Jul 27 2006 	Bad but bearable.	My sister and I recently stayed at this hotel as part of our tour through Europe. We're from the US and knew it would be pretty bad to begin with, so we were expecting the worst. When we arrived there, it pretty much fulfilled our expectations. The best part of the hotel was the lobby - it looks very modern and clean, but it doesn't do the rest of the hotel justice. Our room was okay in size, but the beds and furniture were horrible! We could clearly see that there was a dip in both of the beds, and the furniture was so dirty and old that we didn't want to sit there at all! In our room, there were also headboards for the beds that were awfully dirty and dusty, and we even had to place the second pillow in front of it, in fear that our heads would touch it. Oh, and I have to mention that there were at least 15 dead bugs next to the window. It was disgusting! Later, I could barely even sleep in my bed because I could feel the box springs of the mattress and my back was dipping so far in. I was SO glad when we left after two nights. As for the pros of this hotel, there are only two. First off, we had a gorgeous view of the Tower Bridge, though we didn't want to go too close to the windows because of the bugs. Second, the bathroom was relatively clean, which was a nice contrast to other parts of the room. BOTTOM LINE: It's a bad hotel, but it's bearable. Even though I didn't enjoy my stay there, it's still okay for a short stay. Anything longer than a few nights and I think it'd ruin your trip. And here's a brief review of the Brasserie restaurant in the hotel's lobby. We went there for dinner on our second night because we were too tired to go out and find somewhere else to eat. The prices were okay compared to other restaurants we had been to and the food sounded okay. But we were so wrong. I ordered a dinner salad for 8 pounds, and when it came, it looked like a side salad from an American restaurant and it tasted awful too. Really, how can you mess up a salad? Well, the leaves were still a little wet and appeared somewhat old and wilted, and there was barely any dressing to cover up the bad taste. My sister ordered a steak sandwich with fries, and she said it tasted as if it had just come out of the microwave. She ordered rare steak, but it was very chewy and tough, and the fries were extremely soggy. The entire meal was quite awful and pretty expensive ($16 US for my salad &amp; around $20 for the steak sandwich). We don't know if it was because we went at 9 at night or if we went on a bad day, but if that was the normal quality of food that we received, then I don't suggest you go near this restaurant if you stay here.	
Jul 17 2006	Not Good	I don't want to come across as one of those moaning people but if you like clean contemporary hotel avoid the Tower its very dated the decor is shabbyThey did upgrade us to a deluxe room but that was again on the shabby side and the carpets where stained.we checked out within 5 minutes of checking in and stayed at the Crown plaza 5 minutes away	
Jul 9 2006	Not like it used to be	I have been staying in the Tower for years - over 15.Lots has changed over that time, and lots has stayed the same. When I turned up late - 11pm having just got out of work, the check in staff member really didnt seem interested in serving me. Not a great start.Unfortunately many of the rooms now seem to need a total overhaul - some of the Club rooms are OK, but otherwise the ones I have stayed in are tatty.The biggest area where the Tower has changed, seems to be the staff and the food. Breakfast at the beginning of June was chaos on Saturday morning and the staff member who was showing guests to their tables was a bit shocking - she was very abrupt.Quality of food is nothing like it used to be - certainly for breakfast at any rate. It would be fair to say that you get a better quality breakfast at a Little Chef.I will be trying to stay somewhere else in future.	
Jul 3 2006	Well above average	We stayed in the hotel from the 30th June until the 2nd of July. We were given an automatic upgrade to a deluxe room. We were staying there on a B &amp; B bases. As we were attending Wimbeldon the next day we had to be up at 4am. Even at this early time they provided us with a full english breakfast to our room. The service we received from all the staff was of an extremely high standard and the room was clean and had a lovely view of the Tower of London. We enjoyed our stay and we will return in the future.	
Jun 28 2006	Nicer than I expected!	I stayed here on a Friday night with my boyfriend as we were going to an event in London. I booked a standard double room at the Travel Agent rate (I work for a corporate booking agency). The room was larger than I expected and the bed looked as though it could have fitted six people! The bathroom was a bit small and the showerhead was a bit short for me (I'm 5' 11&quot;!) but the pressure was good and strong, which is an issue a lot of my clients complain about. I was pleasantly surprised with this. The decor was nice and homely and completely different to what you may be expecting by looking at the foyer when you walk in. The staff were friendly, helpful and very efficient with finding our booking. The breakfast in the morning was of a good size, not the biggest range I've seen but still a good range available and was cooked to perfection. I was pleased with the standards of this hotel as I'd heard some bad stories from client's that I have booked in here, and would definitely consider using this hotel again! I would recommend it to anyone looking for a nice 4* hotel that is reasonably priced.	
Jun 22 2006	A balanced view	I think the reviews on here are by and large unfair. When staying at this hotel you have to bear in mind that you are paying considerably less than for the west end hotels , particularly if you have booked over the internet. If you want complete luxury and wonderful service with lavish breakfasts then you have to stay elsewhere and pay considerably more. We paid £90 for a double room. There are many hotels elsewhere in the UK which charge more. This is the centre of London.The hotel is very large and the facilities cannot always sustain the number of people staying. It is however in a superb location and reasonably priced. The rooms and bathrooms are perfectly adequate for the price. We have stayed three times in differnet rooms and they have all been clean with a reasonable view. Breakfast is edible and plentiful. The staff have always been polite and helpful although hardly any of them are English and communication can be a bit laboured. That is a fact that applies to the service industry by and large in this country without exception. They do their best.I think a sense of proportion is needed. If you want perfection pay 3 times as much and stay at the Ritz. This hotel represents good value for money.	
Jun 21 2006 	Keep away!!!!!	We booked 3 rooms over the internet, £200.00 per night each, I had a room that had the potential to be fantasic 5th floor directly overlooking tower bridge, thats where the good bits end. The room was no bigger that your average cupboard, the carpet looked as if it had been laid 20years ago and only occasionally cleaned, the desk looked like it had been taken from an innercity school with the graffiti and carving to match, combine this with an air-conditioning system that heated my room on the hottest day of the year and you get the picture. When i complained i was told that was the room i had booked so tough, This place need condeming from the outside and the inside it is a typical dont care large hotel with the arrogance to charge high price for poor service and standards, TAKE MY ADVICE AND STAY AWAY	
Jun 18 2006	location location location	Ok, this hotel has had some poor reviews lately and having stayed there recently i can see some of their points. however i am european and i think that i must have a different expectation of hotels because i loved this one. i am a book first tripadvisor later kind of girl and i know you should do it the other way around but this time it worked to my advantage. if i had read the reviews first i would not have booked here. the location is stunning, you can walk to everywhere in central london (we walked home from covent garden on saturday night, it took an hour but was all along the thames path and the southbank it was safe, romantic and good for us after a late dinner).The lobby is big and has a bar, shop, reception and seperate concerige desk. All staff very helpful and plenty of blackcabs outside if you want one. it is a 5min walk to the tube, and you don't even need it if all you want to do is explore a lovely area of london as it is right on your doorstep. there is also a rivertaxi stop outside of hotel with regular daytime service to grenwich or westminster. the rooms were typical of european hotel, however they are small but not tiny two people are comfortable in them. the decor in the rooms is like something from the 70's but all very clean and tidy. the ensuite bathroom had a bath, overbath shower, sink and toilet. Not fancy but very clean and well stocked with soap, towels etc. i enjoyed my stay and feel this hotel has the advantage of a fabulous central location and is of standard with other 4 star london hotels or simular in paris, rome, amsterdam, barcelona. This is a european standard hotel	
Jun 18 2006	Excellent Hotel	We stayed here for one night, our room was on the 8th floor and looked ot over St Katherines Dock. The room was clean, the beds were comfy and there was lots of storage and a spacious bathroom. Excellent location for Tower of LondonWould stay here again!	
Jun 14 2006	One to Avoid	We reserved a standard room, non smoking with a view of the river/tower - bottom line is that the room we got was certainly facing the river but overlooked a very dirty gravel filled roof - if you leaned out the window and looked to the side you could see the water. The room was tatty, smelled smoky (even though it was a non smoking room) and generally badly maintained - stained carpet and wallpaper, windows that did not close properly. We selected this hotel because of its location and views - and will not make that mistake again. FYI review your bill carefully at checkout time - we found several expensive telephone and room charges on our bill that were not our charges. The desk staff was not helpful and became accusatory when we questioned the charges although we eventually got them removed.	
Jun 7 2006	Hate it!	We stayed in tower hotel for 2 nights for our honeymoon last june 2006. My husband (who is british) told me it was the greatest hotel in london. He said its got the greatest view and that it was a 4-star hotel.I didnt enjoy my stay there..i was expecting too much from a 4-star hotel. my husband booked a deluxe room and it was not what i expected.it was dirty. the 3 throw pillows they put in the bed smelled like it hasnt been washed for 5 years. the curtains smelled like they werent changed for 10 years and the chairs smelled the same way. I dont think they even changed the bedsheets everyday coz i wasnt able to sleep well for two nights coz i was just itching all over.THey didnt even vacuumed the room properly in the morning coz there was still stuff in the floor when we came back. There is dust on the tables. Yeah, its a got a view of the river.. but it should be cleaned properly. Also the buffet breakfast didnt have lots of choices of food. they serve the same food everyday, which is sausages,eggs,bacon,beans, mushrooms, french toast and cereals...this wasnt the buffet breakfast i was expecting from a 4-star hotel in a famous city like london( i mean given that i stayed in hotels in developing countries). But even if i complained about this to my husband, he still said that it is already the best hotel in london. He said other hotels might be worse. He said, i should get used to British standards. Well, i told him, i would rather stay at home and live comfortably rather than go on vacation and live miserably.	
May 29 2006	Poor	Stated here for 4 days on business in May 06.Reception staff friendly and pleasant and the hotel lobby is clean and modern. Location is good and the view from the bedrooms is good.However the negatives were:i) a room key which never worked necessitating a hike back to reception to get it fixed each time I wanted to go to bed;ii) an overactive smoke alarm which is triggered by the shower; and iii) vomit on the second floor outside the lift and one of the bedrooms (not mine), which was not cleaned by the morning!	
