	Fantastic Value/location	Stayed at the hotel Nov. 24 - 26 in room #8. Fantastic location for the hotel, the room was spotless and what really impressed my wife was the cleanliness of the washroom. The room was quite small by North American standards but all we did was sleep there. Special thanks to the guys at the front desk, you made our stay very enjoyable. We will be back...	
Nov 10 2007 	Perfect locationfirst rate hospitality from a lovely hotel	Taking note of reviews,we chose the &quot;Luna and Simone' for a 6 night stay and we were not disappointed.My son and I had a twin room,my cousin a single and the 3 of us were all impressed by the rooms,ensuites, and the traditional English breakfast.The family who run the hotel are very sincere in making your stay as enjoyable as possible and will always find time for any needs you may have.The location is ideal being located between Victoria(10minutes walk) and Pimlico(5minutes walk)stations.The other plus is the 24 bus stopping at the front door.The use of the London pass for siteseeing together with a 6 day travelpass, the Luna and Simone as a base made our holiday so enjoyable we have already booked the hotel for May 2008 to see sites we missed in 2007.Exceptional value for London.	
Nov 10 2007 	More praise for Luna 	I'll keep this short because much of what I could say has been said before. The only negative - small room and very small bathroom, but this was as expected. We stayed in room 1a next to breakfast room - 4 of us. Price was more of an issue than space as we intended to use the room only to sleep. Staff very friendly and helpful. Hotel and room very clean. Great shower. Excellent location. 24 bus runs almost every 5 minutes to Westminster, Trafalgar Square, Theatre district, towards Kings Cross.Would recommend and will use again when next in the Capital.	
Nov 9 2007	Wonderful	This Hotel is spotless. Located in a wonderful area of London. The busline is in front of the hotel. Within walking distance of the Victoria Station. Great restaurants and pubs within walking distance. The owners, Peter and Bernard are very gregarious and gracious. Internet access was a plus!! We had a fabulous stay and can't wait to go back Peggy Lee Ristas	
Nov 8 2007 	A perfect little getaway in London	We stayed in this hotel for three nights, and I have nothing but good to say about it. We had a room on the fourth floor, and there was no elevator, but we were told this when we booked. The location was excellent. After spending all day and into the night running around crowded, busy London, the hotel was like a peaceful oasis to come home to. Each morning the breakfast was served with a smile, and it was substantial enough to keep us satisfied until mid afternoon. This was a help with the prices in London and the value of the dollar vs. the pound. I would recommend this hotel to anyone.	
Nov 5 2007 	Great hotel	I found this hotel via trip advisor and was not disappointed. Myself, partner and son stayed in a triple room which was down from the breakfast room. The room was spotless and a decent size. Breakfast is included in the price and that was good too, juice, bacon egg and beans coffee etc. The hotel is about a 15 min walk from Victoria tube station, we arrived at 10 and as the room had been cleaned they allowed us to check in, if not you can leave your case with them in reception, same on checkout day we left our case with them in the morning and collected it at 5pm before heading home. This hotel is in an ideal location and perfectly safe to get to at night, the staff are friendly and we will definately be staying here when we visit London again.	
Nov 4 2007 	What They Said	London is a VERY costly place to visit, but the Luna and Simone is fairly reasonable for budget travelers. The generous breakfast will keep you going through a good part of the day, and the #24 bus is just wonderful -- with this location, and an Oystercard, you are set for convenient sightseeing all over the city. If I have one complaint, it is that our room was VERY small...even smaller than I expected, and I was prepared for close quarters. The problem with our room was that you could not even open the bathroom door all the way as it ran into the side of the bed, so my husband and I were continually having to step out of each other's way when en route to the bathroom. I'm sure some of the rooms must be a little larger as I haven't seen this problem mentioned often. Our room was on the fifth floor and required a climb of 80+ steps, so we tried to have everything we needed for the day with us when we went down to breakfast to avoid too much stairclimbing.All else was fine, and the staff couldn't have been nicer.	
Nov 3 2007 	Comfort value and a warm welcome	I've stayed at the Luna &amp; Simone several times before and continue to be hugely impressed by the way they manage to offer an outstandingly clean, comfortable and welcoming hotel at an excellent price. These are owners whose interest in every guest is absolutely genuine; the attention to detail comes from the heart, not from some corporate training manual. This is a simple place without pretensions. It's well located, walkable from either Pimlico or Victoria tubes and the neighbourhood is very pleasant, with a scattering of small shops and cafés not far away. There is nowhere else in London I'd want to stay.	
Nov 2 2007 	Service with a smile!	After being greeted by a pluthora of frowns and scowls in Barcelona, I was very happy to see the very charming and smiling faces at the Luna &amp; SImone hotel in London. The people were extremely friendly and helpful, but not intrusive. The location was just perfect. I was only there for 2 nights, but was able to see much of London, as all of the main attractions were close by. The rooms were small, but very clean. They were quite stuffy, however, so I'm not sure it would be so enjoyable inthe summer. I was there in the middle of October, so it was perfect. Another treat were the breakfasts. Bacon &amp; eggs! I was so elated to not see hard croissants and unripened melons. Veggie alternatives were also available. We were always greeted with a sincere smile, which again was much appreciated after Barcelona's grumpiness! Our room was 70 pounds for 2 twin beds and a private washroom, which was quite costly for the size of the rooms, but in comparison to other hotels in London, considerably cheaper. I would definately return to Luna &amp; SImone.	
Oct 30 2007 	outstanding!	I can't think of anything original to write about this hotel...all the reviews have been right on the mark! Thank you Peter and Bernard for an awesome stay. This hotel is spotless, comfortable , great location , friendly and a great price for London!  The owners Peter and Bernard are helpful giving directions advice, recommendations etc. all with a smile and a laugh! One of their wifes even looked up Ryanair baggage information while we had breakfast had it printed up and waiting for us as my roommate did WAY too much shopping while there! Its things like this that made our stay outstanding. The breakfast was awesome too...great no hassle way to start a day of sight seeing. The free computer use was un expected also!  Just know what to expect with the rooms being more compact than in the U.S and you will not be dissapointed! This hotel has all you need and MORE!	
Oct 30 2007 	Ideal Location for touring London	We just got back from a three night stay here in Late October. Once again I trusted TripAdvisor, and I wasn't disappointed. We flew to London into Gatwick Airport, took the Gatwick Express from the airport (which is simple and very efficient) and arrived at Victoria Station in 30 minutes. My wife and I had luggage but we still decided to walk from the train station to the hotel, reading other reviews that said it would take 10 minutes. The hotel was very easy to find and it only took 10 minutes as promised. Upon arrival at 10:30 AM, our room was ready and we were allowed to check-in. The hotel is in a quiet, residential neighborhood. We asked for a room on a lower floor, due to the fact there is no elevator and we got it. The room wasn't very big, but it was very clean and we didn't plan on spending too much time in the room so it worked out great. There is no air-conditioning, but we didn't need it in October. Wireless internet is available, but it's not free, unless you can get a signal from a nearby establishment, which we could!! There is, however, a computer for all guests to use on the first floor, but you may have to wait for it. Breakfast was served from 7-8:30 everyday in the downstairs dining room and it was very good, and it was included with your room. If you are in town to tour London, this is a great location. There are two Underground (Subway) stations within a 10 minute walk (Pimlico and Victoria). From Victoria you can get anywhere in the city quickly. The Underground is very easy to use and very clean, I recommend you buy and Oyster Card when you arrive, put 20 Pounds on it and use it on every trip. The Oyster completely refunds any unused funds on you card when your stay in London ends. If you are American, you know the dollar is getting killed against the pound, so anyway to save a bit is key. This hotel was 85 pounds a night, which is really good for central London. I have absolutely no complaints and would stay here again.	
Oct 29 2007 	Super hotel	Just returned from a four night stay at the Luna Simone. We booked this hotel on the strength of reviews and were not disappointed. Upon arrival we were welcomed and given the downstairs room which we had requested. The room was not as small as we had expected, and was immaculately clean and well kept. Everything we needed for our short stay. Tea and coffee replenished every day, and extra pillows provided when we asked. Despite the room being directly onto the street, we were not affected by any unreasonable noise.The ensuite looked as though it had recently been refurbished, and like the room, was beautifully clean. Fantastic power shower. Fresh towels provided every day.My husband enjoyed the cooked breakfast every morning, and said that it was freshly prepared and lovely and hot. Best pot of tea in London! I am not a breakfast person myself, but when we were leaving the owners said that they had missed me, and did I not like the breakfast. I thanked them for their concern, and how thoughtful of them to ask.The staff are the backbone of this lovely hotel, so kind and helpful. Answering questions about our visit and providing information to make our trip more enjoyable.Travelling around London is no problem from the Luna Simone. Excellent bus service (24 hours) outside the hotel, running every ten minutes or so. Also tube connections from either Pimlico (which is slightly nearer) or Victoria.You will not be disappointed if you book a stay - exceptionally good value for central London.	
Oct 22 2007	Lovely Hotel Excellent Location	My husband and I stayed at the Luna &amp; Simone Hotel for one week in October. The location was central and the room immaculate (request a quiet room if you don't wish to face the street). We would highly recommend this hotel as an affordable and convenient option for staying in London.	
Oct 21 2007 	Great Value Great Stay	What a great value for such an expensive city. For only 85 pounds a night, we got a clean, large (for England standards) room, a pretty comfortable bed, an ensuite bathroom, TV, coffee and tea in the room, and a full English breakfast. The staff are very friendly, and there is a computer available for internet use. The location is convenient with Victoria station. There are many affordable and good restraunts, pubs, and grocery stores in the area. I can see why this hotel is so highly rated. You just can't get a better value in London.	
Oct 20 2007 	Clean great location very friendly staff!	I stayed one night at the Luna &amp; Simone Hotel because my flight out of Heathrow the next morning left very very early. They have a contract with a cab company that gets you to Heathrow for 40 pounds - it actually cost me 38 pounds - very friendly driver also. You can get The Tube or the Train, but since my flight left so early neither of those were an option for me. The room was on the top floor - and there is no elevator - but one of the owners of the hotel took my bag up for me, which was very kind. Both of the brothers/owners were downstairs when I checked in - they were friendly, knowledgeable, and extremely helpful. The young man they left at the check-in desk was just as friendly and helpful. The room itself was perfect and the shower was absolutely the best shower that I had during my two weeks in England!! It's better than my shower at home! The room was quiet, clean, and absolutely no problems encountered here. I left too early to have the breakfast so I can't comment on the food. There is no a/c so I don't know what this place is like in the summer, but for a fall/winter/spring stay it was perfect and an easy walk from Victoria Station. I would definitely stay here again!	
Oct 18 2007 	Great Value in London.	My wife and I stayed for 5 nights from September 30 through October 5th, and we enjoyed our stay.The staff was friendly and helpful, and really made an effort to get to know their guests.The hotel may not be ideal for those who plan to spend a lot of time in the room - our room was smallish, and the tiny TV only offered 5 stations (which is par for the course in England). However, the rooms were spotless and comfortable, and the bathrooms were clean with a nice, hot shower.A full English breakfast was included, and was always cooked perfectly, and the breakfast room was always a friendly hub of activity. Those who like to sleep in, though, should take note: breakfast was served only from 7-8:30.The hotel is only a 10 minute walk from Victoria station, and is an ideal location for tourists. There are a couple of great pubs within a few minutes walk, including the CAMRA recommended Jugged Hare.There are bigger and fancier places to stay, to be sure. But considering the cost and location, it is hard to imagine a better value in London.	
Oct 16 2007 	As advertised	Ditto the last two reviews. We were also in the triple room downstairs. Clean and comfortable. Good breakfast and the staff was cordial and accommodating.	
Oct 10 2007 	Nice hotel great location	The Luna &amp; Simone is a great hotel near Victoria Station. The hotel was clean and the staff was very friendly. The rooms were average European size and the bathroom was very modern with plenty of hot water. As mentioned in previous reviews, there is no lift. So if you have trouble with stairs request a lower floor. We slept in every day so we did not try the breakfast. However, we did eat at several of the restaurants nearby and enjoyed all of them.All things considered, the Luna &amp; Simone is a great hotel and we would stay there again.	
Oct 10 2007 	Great Location clean rooms	We pent 3 nights at this location. This review may be the hardest for me to write. We spent 10 nights this trip in various locations. 4 of them were in Travelodge's, 3 in a B&amp;B knowing that you will understand that I don't like to spend allot of money on a room. We booked here solely on Trip Advisor notes and I can say we were not disappointed. After looking at various rooms in London and seeing that most were well over 100 pounds we were glad to find one that was only 85, even though one night here was more then 3 in a Travelodge. Bottom line, we would stay here again in a heartbeat but folks need to know what I consider the Pros and Cons. Pros: PriceLocation to VictoriaNice neighborhoodFriendly staff and ownersIncluded breakfast (saves about 5-6 pounds PP)Internet kiosk, sometimes you have a wait. Clean roomVery nice shower! After the 4 foot high shower head at a Travelodge this was very welcome. Cons:Steps, we had 69 to climb to the 3rd floor if you have bad knees be sure your on the ground floor. Street noise, we were in the front facing Belgrave, with the window open it was quite noisy all night. Bad bed, we could feel the springs, Fan over bed had bad bearings and made more noise then the traffic outside.	
Oct 9 2007 	FANTASTIC	Such a lovely hotel! We stayed in the triple room (1) downstairs for 2 nights which was lovely. The bathroom was spotless and the room was really quiet at night. No road noise or noise from other guests as it's not really joined to any. Just across the coridor to the breakfast room (less than 10 steps), which was great for after we'd stuffed ourselves.Staff at the Luna and Simone are very friendly and will do anything to help and make your stay more enjoyable. Tea and coffee facilities in the room, also a fan and a safe. Towels are lovely and soft and clean. Extra pillows and blankets incase you're cold.Quiet street, but still very close to everything. 10 min walk to the underground (pimlico is probably slightly closer). Close to Victoria station and Coach park. I had a problem with my bed on the first night (spring had broken and poked out of the bottom of my bed) which was very quickly sorted out and the staff couldn't seem to do enough to help. Very friendly and very nice, they all seem to take pride in thier jobs which does make a real difference to the atmosphere of the hotel.Not a problem to leave your luggage behind the reception desk on the morning of your departure. We went off to Buckingham palace (20/30 min walk) after breakfast and they had no problem looking afer our luggage until we were ready to catch our coach in the afternoon (just let them know a rough time that you'll be collecting them) Enjoyed my stay so much i'm going back in December with my Mom to celebrate her birthday :)	
Oct 8 2007 	Affordable with A-1 service!	We stayed in a triple room, and yes as other reviewers have mentioned space was small, but still comparable to London standards and at half the price. Room was clean, bathroom was impeccably clean and modern and shower was large which we loved! The twins were super friendly and super knowledgeable about London, it's like having two guides at your fingertips. Breakfast which was included was hearty and wholesome, and service was fast. The high-speed internet access was an added bonus. Location was great, the tube and Victoria station were within a short walking distance, and the 24 bus that is right outside the hotel goes to all the major tourist attractions in London and runs 24 hours. We would recommend it to anyone!	
Sep 26 2007 	Great value in London!	We enjoyed our stay at the Luna &amp; Simone Hotel. The staff were very helpful, especially Mark. The rooms were great, we were on the 2nd floor, but our friends were on the top floor and had to walk up 8 flights of stairs, that didn't go over so good. But Bernard carried the largest suitcase up the stairs for them. Breakfast was fine. The staff went out of their way to help us with buses, site seeing etc. The location was great, 10 minutes from Victoria Station and the #24 buses pick you up and drop you off at the door. Lots of pubs &amp; restaurants close by. The rooms were very clean. Excellent value.	
Sep 25 2007 	Great experience at the Luna and Simone	I stayed four nights with some friends at the Luna and Simone and liked it very much. I read a few other recent reviews here and I don't agree with the complaints about the room size or the food. The rooms are small, yes, but rooms in city hotels are always small, unless you're staying at an expensive hotel. I've definitely been in smaller places both in London and in New York. I thought the breakfast was good. Not gourmet, but fresh and tasty. The place was spotlessly clean and the location was unbeatable. The staff were friendly, helpful, and very humorous. I would definitely stay there again and would recommend it without hesitation.	
Sep 25 2007	Great value!	Me and my wife just stayed for four nights at the Luna Simone. Relating to other hotels in London - we´ve stayed at different hotels in different price categories earlier - I must say that Luna Simone delivers great value for the money. It´s a exceptionally well kept hotel, spotlessly clean and with very pleasant people running the place. So OK - the rooms aren´t that big but contains everything you need - eg safe, tv, hairdryer, bed ;-), etc.If you expect a ballroom - go somewhere else (and pay double).The breakfast is hot, good, plenty and served with a smile. Again - if it´s a buffe you want - go somewhere else (and pay double, again).So as far as I´m concerned - money for value - the Luna Simone is the best London has to offer (and I´m comparing with at least 10 other hotels). I would gladly recommend it to anyone going to London and will absolutely go back there.Best regardsJoakim, Sweden	
Sep 24 2007 	Book it!	This a true gem in a city full of expensive and not always great hotels. If you're after a luxurious hotel with pools and gyms etc, then give this one a miss. But if you're after a clean hotel in a great location with decent rooms at a decent price and friendly staff to help you out, then this is the one for you. Breakfast and internet access was a welcome inclusion in the room price. We loved it and will definitely book it again next time we're in London. One word of advice - try to book as far ahead as possible because it is very popular and the word is out!	
Sep 22 2007 	Nice hotel no elevator	We stayed at this hotel for three nights. The staff was great - family run operation and they seemed genuinely concerned about our stay. There is no elevator and we had a room on the 3rd floor, which was a lot of steps. Breafast was included and was nice. The room itself was nice - large restroom and even a desk if you need to set up a computer.	
Sep 22 2007 	Loved it!	This is a great hotel. The location is in the Pimlico area - close to the tube and Victoria Station and within walking distance of major attractions. It is extremely clean and well appointed. The room I stayed in had a nice little balcony with a sliding glass door which was very pleasant . The hotel staff is soooo friendly and helpful and has been a family run business for over 35 years. I would stay here again in a second. The rooms are small but you will not be disappointed.	
Sep 20 2007 	Good location but small room	The location is a great one for touring the Victoria area of London. However, the rooms -- at least the one we were in -- was very small with an absolutely tiny bathroom. Clean, though. Also, we found the breakfast mundane and bland and the breakfast room was a bit noisy on this particular occasion. After a series of countryside B&amp;Bs before this stay in London, we were a bit disappointed. I doubt we would stay here again, but it is not a bad option for those who need only a night or maybe two. Beyond that, and you'll feel too cramped.	
Sep 20 2007 	Nice location	We stayed 3 nights and then decided to book another night for our return to London. The hotel is nicely located in a safe neighborhood close to Victoria Station, about a 15 minute walk. It was very clean and well maintained. We were served a hearty English breakfast each morning by Peter and Bernard who were gracious hosts. Rooms were not large but adequate. There was a computer available for guests for free. No lift available so upstairs rooms are an effort with luggage. But that wouldn't stop us from returning. Bus stop right in front of hotel. Nice pubs nearby.	
Sep 13 2007 	Disappointed	Based on the previous reviews, we had our hopes up for our one night stay at this hotel. It is actually rated number 5 in London. The area was pretty good, but the hotel was average. Our room (#13) was very small but clean. The bathroom was nicely decorated, but was tiny and there was no room for your toiletries. Breakfast was served between 0700 and 0830. Too early for us, but since it was included in the price, we got up. You had three choices, and we did enjoy our egg, bacon and beans. The service was good, but all this was totally ruined by all the noise from the kitchen. Just terrible! We will not stay at this hotel again.	
Sep 11 2007 	Good value great location!	My husband and I stayed in this hotel for our first visit to London. We had just spent 6 days in Paris, so we were accustomed to the rather small size of European rooms. We had a very nice stay at the Luna and Simone. We took the Underground from Heathrow to Pimlico station and with a little help from the locals were able to find this hotel a few blocks away. The hotel was quite affordable by London standards, very clean and the room and private bathroom were both adequate in size for the two of us and our luggage. The only complaint I have is that the platform-style bed with its futon mattress was rather lumpy and probably the most uncomfortable bed I slept on during our vacation. We did not mention this to the front desk, so I'm not sure if this problem was unique to our particular room (#8) or if they would have offered to move us. One nice feature about room #8 is that we had our own private little balcony overlooking Belgrave Rd. There is quite a bit of traffic- vehicular and pedestrian, along this street, but with the windows closed it did not keep us awake at night.  Everything else about the hotel was great. The breakfast every morning was good and hot, your basic English breakfast of ham, eggs, beans and toast. The staff were friendly and helpful with booking tours and even letting me use their printer to print out a voucher for a tour I had booked online. They also have a computer for free internet access although it is often busy. Probably the best feature of this hotel is its great location in the neighborhood of Belgravia. We were close to a variety of good pubs and restaurants. We were also a 5-10 minute walk away from the Sainsbury's market where we could get a hot pizza and beer for a cheap dinner. We were a 10-minute walk away from the Victoria train, bus, and Underground station. Also, although we did not go to a show, there are a couple of theaters next to the Victoria station with good shows like &quot;Wicked&quot; playing. I would definitely recommend this hotel to anyone looking for a reasonably priced room in London.	
Sep 8 2007 	Small Tiny Miniscule	We looked at the reviews for this hotel and booked because of them. I feel as if I was in a different hotel. The area is as described but this was the smallest room we have ever been in. I don't think you could have swung a hamster! Even the beds were tiny. No room to put your case anywhere or you could not walk. Amazed that they could manage to get all in the space. Breakfast is absurdly early, finishing at 8.30 in a holiday hotel. You get a choice of orange juice or cornflakes, tea or coffee, small cooked, with bacon, beans and fried egg or spam type ham and one small tomato. Lots of toast. It must cost pennies to do this. It is ok but really down to a price! The owners are nice but just bear this in mind and if you are booking and if you are of a larger size you aint going to get into the room without opening the window!	
Sep 6 2007 	Nice and clean but oh so teeny!	I stayed at Luna &amp; Simone for a week in August. From making the reservations, to check-in, to breakfast and check-out the staff was absolutely wonderful to deal with. When I opened the door to my single room with shower and WC I was shocked how small it was. I could barely fit my two medium sized suitcases in the room (one had to go under the bed). And there is no room whatsoever to put your toiletries or anything else.The room was pretty modern and extremelly clean and kept, but it was like living in a sardine can. I would still recommend this hotel to anyone staying in London a night or two, not carrying anything larger than a dufle bag. As far as the price goes, I paid 60 pounds and that is great for a decent hotel in central London, so it's a nice deal. However, as an USA resident, it still came out to $120 per night which very pricey.	
Aug 28 2007 	Fabulous time with my son.	My son and I traveled to London for the Harry Potter book release and lots of sightseeing. We enjoyed 6 evenings at the Luna Simone. Although we were unable to enjoy breakfast while there (it's rather early for us night owls), everyone we did come into contact with at the front desk was quite lovely. It has the feeling of staying with very nice family who respect your privacy. You are able to come and go as you please and the rooms are very clean. We traveled with some friends and we were able to get rooms right next to each other. They do like to clean the room by noon each day but are very flexible if you need a little extra time if you're running late. If you would like to refrigerate something, you just have to ask them to place it in the fridge in the office as there are no refrigerators in the rooms. The street is not noisy but not incredibly quiet so if you are staying in the summer months (and need to leave the window open for a breeze), you may want to ask for a room at the back of the hotel which I'm assuming are quite quiet as they are not facing the street. Overall I was pleased with our choice of hotel.	
Aug 26 2007 	Lovely London Hotel!!	We stayed here from 13-17 August and really enjoyed it. The staff were extremely helpful and their helpfulness went above and beyond the call of duty!!!Although the rooms are small, they are very clean and the hotel supply wall safes.The breakfast room is lovely and the cooked breakfasts were ample to set you up for a day's sightseening in London.Would definately recomment this hotel to friends, and will definately stay here if we are back in London.	
Aug 26 2007 	A gem of a hotel!	We (me, my husband and college age son) just returned from 6 nights at the Luna &amp; Simone and couldn't have been more pleased with room, location and staff. The room (#1) was clean, pleasantt and comfortable, with a spotless bathroom, cushy carpeting, and plenty of pillows and blankets. A fan added comfort on those warmer days and nights (yes, we had a few!). We stayed in a room for 3 (3 twin beds) on the lower floor and it was quiet and conveniently had an extra bathroom (toilet) just outside the door. We were also just steps away from the dining room. Breakfasts were served promptly and were always to order. If you have special requests, the staff were ready to oblige. Upstairs was a computer for internet access but my son had no problem finding a hot spot in the room for his laptop.The location was perfect for us. Bus #24 runs 24/7 and stops just outside the door. Victoria Tube and Rail station is on the #24 line or just a 10 minute walk away. ATM, banks, restaurants, grocery stores, pubs, all very close by. Also, Victoria Tube has an upstairs eatery which has lots of restaurant choices. From the hotel to the city centre (Westminster) is only about 15 minutes ... and you can continue on to Trafalgar Square and even to the British Museum. Can't say enough about how convient being on the 24 line is. And as far as the staff goes, they were all marvelous. Friendly, helpful, genuinely concerned for our well-being and enjoyment. They will help you book tours, mail post cards (and they sell really nice ones too!), arrange a taxi for you, whatever you need.Can't say enough about the great staff at Luna &amp; Simone!We will recommend to family and friends without reservation!	
Aug 25 2007 	great location	We stayed three nights at the Luna &amp; Simone Hotel and were delighted with the location, the simple but very clean room and the helpful, friendly staff. The hotel is located on Belgrave Road - a pristine Georgian St. only a 10 minute walk from Victoria Station and a few minutes walk to the Thames River. The price was reasonable for expensive London and the location was excellent - Belgrave Road is very quiet and sedate. The family members who own the hotel (for 30 years) are fun, helpful and very friendly. The desk clerk was eager to find information for me and printed out what I needed from the computer. The breakfast menu wasn't large but fresh and tasty. We had a very quiet room downstairs at the back of the hotel. It was spacious, simple and clean.Highly recommended to you, travellers.	
Aug 24 2007 	A Wonderful Discovery	What a wonderful discovery, thanks to Tripadvisor Users: I stayed here for three days from 21-24 August. I was allocated Room Five, a single room without loo etc, however there was a shower/loo beside my room which was fine.My room was small &amp; bijou: about 15' x 7' or thereabouts; tea/coffee facilities, a wardrobe, telly... everything necessary. And very clean too.I cannot speak highly enough about the breakfast: I enjoy a full breakfast so I opted for fruit juice, a cooked brekkie of two very lean rashers of Danish back bacon (no fat at all), one egg, beans and two slices of white, hot toast with butter and tea/coffee. Absolutely perfect. Couldn't wish for anything more.Very amiable staff and the proprietor who has relatives in Northern Ireland; so we had a good natter! They make you feel at home and are most helpful for advice about London, bookings etc.I really loved this place and hope to return again. If the staff read this, I wish to thank them from the bottom of my heart. Thank you. By the way, I do not usually give five stars for my reviews; however, given the value of this guesthouse, I feel it more than merits this.	
Aug 23 2007 	Great Customer Service and a Great Price!	While traveling in London with my 3 gal pals, we stayed at this hotel. It's very conveniently located near the Victoria Tube station and was very affordable. The owners are incredibly nice and having the breakfast included was an added bonus. The rooms are very modest, but everything was clean. I would highly recommend this hotel to anyone looking for an affordable stay at convenient location.	
Aug 17 2007 	Great stay!	We stayed at the Luna Simone hotel in August of 2007 for 3 days. We knew that this hotel should be good because of many good reviews we read about it while looking for an affordable hotel in London, but we still did not expect to see such a modern, cozy and lovely place. When we made reservations there was just one room available with 2 beds on the 3rd floor, but the owner was very nice promising us to change it in case there will be a double room on the lower floor. When we came to the hotel we found our double room on the street level and were wery pleased with it. The owners were very helpful on each step of our stay telling us where to buy tickets and how to get where we wanted. The hot breakfast was big and very good. The location is superb, we were walking most of the time to the main attractions. Next time we are in London we are not looking for any other hotel, but if you want to stay there you have to book it in advance, because it is always full. Tatyana, USA	
Aug 17 2007 	Perfect stay!	We could not have asked for more! I researched hotels in London (100's) for several months in planning our trip, as it was important to me that we stay in a clean, safe, and reputable hotel that fit into our tiny budget. The Luna and Simone was all of that and more. My 13 year daughter and I stayed in room 10 on the Simone side for 9 nights and had the perfect 'home' in London. The rooms were spotless, the bathroom was sparkling clean and beautifully updated, the breakfast was always quick, delicious, and filling, and the owners/staff could not have been better. We LOVED laughing with Rita and 'the two brothers' each day, and the nice Brazilian lady who cleaned our room each day was meticulate in her attention to detail. I'm not sure which brother is which, but you'll come to know their different personalities quickly (both are funny/helpful, with one being a tiny bit more low-key and the other being an animated little bugger). The fact that all of these characters are delightful human beings only makes things better.The location is great (bus 24 is LITERALLY outside the front door and goes to Victoria Station and beyond), and there are many places to eat nearby. The street is quiet but it never felt deserted or dangerous in any way--just beautifully residential.BOOK YOUR ROOM NOW!!!!! They stayed full most nights. We paid 85 pounds for a twin from Aug. 6-15th and, because it included a hot, hearty/traditional English breakfast, we saved atleast 10 pounds each day on breakfast. What a deal!Re: Food, I found that we saved a lot of money by picking up 'ready to eat' items at Sainsburys, Tesco's, and Marks and Spencer. Nowhere in London is cheap with the pound being so strong against the dollar, but we loved having fresh fruit, hummous, sandwiches, pastas, couscous, and other things available at great prices. We were able to keep our meal budget under 25 pounds a day (that's 12.50 pounds per person), and some days, were even under 20 pounds for the two of us. My 13 year old is growing and hungry as well, so we only split an entree once or twice during our entire stay there.Thank you Rita and brothers for maintaining such a stellar hotel in what must be a hard and sometimes frustrating business. We can't wait to stay there if we're ever blessed enough to return to London!We have many other 'tips' that we picked up or learned the hard way while in London and are happy to share. Just ask.	
Aug 14 2007 	Excellent Hotel Great Staff	My husband and I spent 3 nights at this hotel near the end of July. The quality and price of this hotel was above and beyond comparison to anything else I could find in London.The location was perfect...within walking distance of Victoria Station (you can get anywhere in London from this station) and the many restaurants and pubs that surround it. As well you could easily walk to Westminister Abbey, the London Eye and Buckingham Palace if you enjoy walking and taking in the sights.The room was extrordinarily clean and suited our needs perfectly. Both the room and bathroom were very modern and updated. There is no elevator in this hotel, however, so be sure to find out which floor you are staying on, as not everyone can carry their bags up 85 stairs. Breakfast was provided every morning and you could choose from a typical English breakfast or a lighter version of cereal and toast. The staff was friendly and helpful. When I return to London, I will definately stay at this hotel again.	
Aug 14 2007 	L 	We flew to London in July and arrived at Heathrow at around 11:30 AM. We took the National Express coach from the airport to Victoria Station which was wonderful (cheap and relaxing) and then we trundled off with our luggage to find the Luna &amp; Simone. This was somewhat more arduous than I would have liked after a long flight, but we made it after a 10 or 15 minute walk from the bus station. The first impression of the hotel was very positive (as were most of the later impressions). The neighbourhood was clean and stylish. The hotel itself was compact and the staff were friendly and helpful. The room was on the small side, which we expected, but was very clean and comfortable. The #24 bus stops right in front of the hotel and heads towards Trafalgar Square and other central locations before going to Hampstead Heath (highly recommended). The breakfasts were quick and plentiful, but became slightly repetitious after 4 days. All in all the hotel was just what we were hoping for and we felt it was great value for the money.	
